ParlaMint-GB_2019-02-27-commons.u1	1. What recent steps he has taken to promote international trading opportunities for Wales.
ParlaMint-GB_2019-02-27-commons.u404	Order. Before I call the right hon. Member for Meriden (Dame Caroline Spelman), I have now to announce the results of today’s deferred Divisions In respect of the question on the draft Official Listing of Securities Prospectus and Transparency (Amendment etc.) (EU Exit) Regulations 2019, the Ayes were 317 and the Noes were 280, so the Ayes have it In respect of the question on the draft Employment Rights (Amendment) (Northern Ireland) (EU Exit) Regulations 2019, the Ayes were 317 and the Noes were 260, so the Ayes have it In respect of the question on the draft Employment Rights (Amendment) (EU Exit) Regulations 2019, the Ayes were 318 and the Noes were 288, so the Ayes have it In respect of the question on the draft Employment Rights (Amendment) (EU Exit) (No. 2) Regulations 2018, the Ayes were 317 and the Noes were 288, so the Ayes have it In respect of the question on the draft Employment Rights (Amendment) (Northern Ireland) (EU Exit) (No. 2) Regulations 2018, the Ayes were 317 and the Noes were 260, so the Ayes have it Finally—I know the House is ahead of me on all of these matters, and I am merely reminding Members of the prodigious knowledge they possess on these important questions—in respect of the question on draft Financial Services Contracts (Transitional and Saving Provision) (EU Exit) Regulations 2019, the Ayes were 318 and the Noes were 281, so the Ayes have it [The Division lists are published at the end of today’s debates.] It will now be a very great relief to the House to hear Dame Caroline Spelman.
ParlaMint-GB_2019-02-27-commons.u405	Thank you, Mr Speaker. To be honest, I was not expecting to be called quite so early in the debate, so I prepared a relatively short speech, having been conditioned by the time limits that have usually pertained in these debates. So I do not expect to detain the House for too long with my observations I begin by picking up where the right hon. and learned Member for Holborn and St Pancras (Keir Starmer), speaking for the Opposition, left off. In his final words he acknowledged that something important has changed. Indeed his colleague, the right hon. Member for Birkenhead (Frank Field), intervened earlier in the debate to say that the atmosphere is changing, and I think he is right. The pragmatism and courage the Prime Minister showed yesterday in making her statement is a very important change. I also welcome the Brexit Secretary’s recognition that, when my amendment carried on 29 January, Parliament demonstrated a clear majority against no deal. I listened very carefully to him speaking on the “Today” programme on Radio 4 this morning, when he set out that, if that majority should be restated, and if the meaningful vote did not carry before 12 March, Parliament would have an opportunity to vote on an extension to article 50 the following day. I am pleased to see that the will of Parliament will now be respected I absolutely agree with the deputy Prime Minister that the best way to avoid a no-deal Brexit is to vote for a deal. I did just that on 15 January and I will do so again when a deal is next put. I really do appeal to colleagues across the House to do the same. Agreeing a deal would help to ensure an orderly Brexit, which is essential to protect jobs. I have been absolutely consistent on my motivation on this issue, which is to protect the jobs and livelihoods of my constituents and those of my colleagues.
ParlaMint-GB_2019-02-27-commons.u406	The Prime Minister has indeed repeated ad nauseam that the way to avoid no deal is to vote for her deal, but is it not the case that the way to avoid Parliament voting against her deal would have been to talk to Parliament a year ago to find out what kind of a deal would be acceptable to the vast majority of Members of this House?
ParlaMint-GB_2019-02-27-commons.u407	As an experienced former commercial negotiator—I know that the hon. Member for Birmingham, Erdington (Jack Dromey) is one of those as well—I have learned that, in difficult negotiations of this kind, it is no good harping on about the past. We have to focus on the future and to be relentlessly optimistic and bring good will to the table Getting back to the subject that is closest to my heart, I sounded the alarm months ago about the risks to the car industry of a no-deal Brexit. Many workers in my constituency have already lost their jobs, and more recently we heard the sad news about Nissan and Honda. The loss of jobs is devastating, but far more will be risked if auto manufacturers leave these shores. The chairman of Unipart, John Neill, said in the weekend Financial Times: “If we lose the automotive industry, we lose one of the most powerful drivers of productivity and a powerful source of industrial innovation” The UK is now the ninth biggest manufacturing country in the world and we just cannot afford to lose this critical industry A no-deal Brexit threatens not only our car makers. Last night, representatives from the CBI, Next, Bosch, Ford, the TUC, Make UK—formerly the EEF—the Food and Drink Federation, the Investment Association and Virgin Media, to name but a few, spoke to a large number of MPs at an event in Parliament. All those organisations fear the chaos of a no-deal Brexit and implored parliamentarians to come together and agree a deal. Those colleagues who think that leaving without a deal is in the national interest must answer the concerns of the industries that millions of jobs depend on. Chris Cummings, chief executive of the Investment Association, which represents firms collectively managing around £7 trillion, told MPs last night that £19 billion had left the United Kingdom since the referendum. The Investment Association can measure that, because it involves its members. The current run rate of this capital flight is approximately £2.4 billion each month, so the notion that no deal has already been priced into the markets is simply not true. The full consequences have not yet been accounted for The human cost of no deal is not just jobs and livelihoods today, which are very important, especially in constituencies such as mine; it will also impact the value of people’s pensions and savings in the future. Having touched on pensions, I want to make a point that is relevant to amendment (b), which my right hon. Friend the Secretary of State has said that the Government will accept. Colleagues might recall that I have also sounded the alarm about the plight of UK pensioners living in other EU countries, and especially about the provisions for their healthcare. If the United Kingdom were to leave the EU without a deal, there are at present no provisions in place to ensure that their healthcare would be paid for. Given the size of the contingency fund of taxpayers’ money that the Government have had to make available for the risk of a no-deal Brexit, I suggest to my right hon. Friends that some portion of that could be used to bridge the gap for UK citizens in Italy, Germany, France and Spain who are already receiving letters from the authorities warning them that their healthcare costs will not be covered from 29 March. That is a source of real anxiety and human cost to the people concerned Businesses cautiously welcomed the Prime Minister’s announcement yesterday, which has the capacity to take away the threat of no deal on 29 March, and the director of the CBI described it as a “glimpse of sanity”. She called on the Government to permanently rule out no deal to provide the certainty that business needs. That would de-risk the situation and create the space to secure a pragmatic deal. People often confuse risk with uncertainty, because a binary choice between a deal or no deal with 15 days to go is a high-risk situation, which creates uncertainty. The Prime Minister’s pragmatic response yesterday helped to reduce that risk and creates the space to secure a deal The contingency planning for no deal has already cost business millions and the taxpayer billions. Pfizer alone has spent £90 million on no-deal preparations, and that money cannot then be invested or directed to the frontline, so jobs will be lost in the end. The Federation of Small Businesses reports that 85% of its members are not ready for no deal and, as somebody mentioned earlier, very small businesses do not have the capacity to prepare for a no-deal scenario in the same way as some larger ones can Last night’s publication of the Government’s assessment of the state of preparedness for no deal did not provide a lot of reassurance on that, so it is time to be pragmatic—the Prime Minister has taken a lead on that—and to deliver an orderly Brexit. We need to come together across parties to try to get a deal over the line. If we cannot do that, we will fail the nation. If MPs cannot bring themselves to put the national interest first at a time like this, they should consider the risks we face to security, freight delays, air traffic control, visas, food, medicine and energy shortages, healthcare for UK citizens in the EU, scientific research and educational exchange. We have heard more and more about those things, and all that disruption is having and will have an impact on the people whom we represent. As demonstrated on 29 January, there is a clear majority to rule out no deal, and I expect that that majority will increase at the next opportunity. However, we cannot just stand against something; we must urgently build a consensus for a deal that we stand up for in the British national interest It is clear that businesses need a deal to deliver frictionless trade and customs co-operation. Are the parties really so far apart on some form of customs partnership? The 2017 Conservative party manifesto mentioned having a special relationship based on a customs arrangement, and the official Opposition are calling for a customs union, so I feel that we are within touching distance if there is a determined effort to reach a consensus.
ParlaMint-GB_2019-02-27-commons.u408	I would be delighted to hear the right hon. Lady encourage those on the Front Bench to confirm that she and her right hon. and hon. Friends will be allowed a free vote in the event that the Prime Minister again does not win the meaningful vote if we have one before the middle of March. Will the Conservative Government allow Conservative Members to have a free vote in the event of a significant decision about taking no deal off the table?
ParlaMint-GB_2019-02-27-commons.u409	I cannot commit the Government to that, but it is clear to the House that these are not normal political times. I do not envy the job of my party’s Chief Whip, which must be one of the most difficult jobs on the planet at the moment. The main parties have difficulty in operating as we normally would, and much of what has been achieved has been achieved by building cross-party alliances. I think the public feel reassured when they see that happen, leastways my constituents and members of my party have told me that they like to see us working together in the national interest to try to bring about a resolution to this process, because we need it sooner rather than later With good will and determination, I believe we can get there and secure the new relationship with Europe for which people voted. I believe we will enjoy trading on preferential terms with our largest market, while being outside the constraints of the EU institutions to which many object today. That is what more than 17 million people voted for, and that reality is now within our grasp Whether Brexit is delivered on 29 March or is delayed for a few months—I am no great fan of an extended delay, as delay means uncertainty and will cost businesses money—it is up to us to back a deal that delivers certainty and protects prosperity and work. I therefore urge colleagues from all parties carefully to consider the amendments before the House today. More than that, as the debate continues in this place, we must now work more closely together than ever before to deliver Brexit.
ParlaMint-GB_2019-02-27-commons.u410	Order. The hon. Member for North East Fife (Stephen Gethins), who speaks for the Scottish National party, now has a possibly unrivalled opportunity to demonstrate, by comparison with his Front-Bench colleagues, just how brief he can be.
ParlaMint-GB_2019-02-27-commons.u411	Thank you, Mr Speaker Here we are for yet another debate and yet more votes as the clock ticks towards leaving the European Union on 29 March, and towards a no-deal Brexit and a cliff edge that everyone knows will be disastrous and damaging. From day one, this has been a lesson in gross irresponsibility, particularly from the Government Our amendment (k) is simple and straightforward: it would take no deal off the table altogether. The Prime Minister was uncharacteristically clear in her statement yesterday when she said we will have a vote on 13 March to take no deal off the table for the end of March. Our amendment simply goes one step further We know from public statements and from what we hear—Ministers will be well aware of this—that even members of the Cabinet and officials are warning of the devastation that no deal would bring. Everybody knows. This is not a negotiating tactic; it is simply a tactic to hold a fracturing Conservative party together. We have a Government in peacetime who we know are preparing for medicine shortages and food shortages, and who we know have discussed martial law and civil unrest. That is deeply disconcerting to everyone, and it underlines why no deal must be taken off the table Our amendment is not just something that the Scottish National party is calling for, and I am grateful to colleagues from the Green party, Plaid Cymru and the Liberal Democrats for backing it. I know that colleagues from the Labour party and the Conservative party are calling for it, too, including the right hon. Member for Meriden (Dame Caroline Spelman) in the previous speech. We must take no deal off the table altogether, which is why this is such a simple amendment.
ParlaMint-GB_2019-02-27-commons.u412	I should have made it clear to the House that, having been reassured by what the Minister said today and by the consistency with which he said it, I will not be pressing my amendment.
ParlaMint-GB_2019-02-27-commons.u413	I thank the right hon. Lady for that clarification. The amendment standing in my name and that of my colleagues will be pressed to a vote, because we think that as the clock ticks we cannot wait for another two weeks. We have been waiting for “another couple of weeks” or for “another few days” for months and years now. This House needs to take a bit of responsibility for the situation in which we have been left, for which posterity and history will judge us On the way that history will judge us, let me talk about the human element of this. I do not want to embarrass the hon. Member for South Leicestershire (Alberto Costa), but I am going to say a few kinds words about him. Three years ago, in Prime Minister’s questions, he asked the Prime Minister not to make him vote against his parents’ interests. We back his amendment about EU citizens, which he has rightly tabled. We back him, and we think he is doing a brave and decent thing. I note the remarks made by former colleagues of his such as Lord Duncan of Springbank about how valuable they thought it was working for him. I hope I have not damaged his future political prospects too much by saying that, but I remark on the decency of what he is trying to do, his own personal situation and the bravery of what he has done today What I find incredibly striking is that we have a Government where collective responsibility is breaking down, where a Prime Minister remarks that she does not want a Cabinet full of yes-men because she cannot get collective responsibility and where Ministers have been able to say whatever they like, regardless of what Government policy is, yet you end up sacking a member of Government for agreeing with you. What kind of situation are we in? This is an extraordinary set of circumstances in which the Prime Minister fails to sack Cabinet members for disagreeing with her publicly but sacks a member of the Government whom she has agreed with, whom the Chancellor of the Duchy of Lancaster agreed with at the Dispatch Box, although he is not in his place at the moment, and whom the Home Secretary found himself in agreement with this morning. That is an extraordinary state of affairs. Do not worry; I am sure that the hon. Member for South Leicestershire will return to disagreeing with us on other occasions, but I salute what he has done today and the way in which he has conducted himself, with a common decency that we too rarely see in this Brexit debate We get told about “Project Fear”, but it is not that when it is a matter of fact. One in three businesses is planning to relocate some of its operations and one in 10 has done so. The UK is seen as a bad choice for investment. The global chief investment officer at UBS Wealth Management has said: “The consensus among those investors is that the UK is uninvestable at this point” That is not good for anybody. We also have a decline in our public services, where we are seeing a dramatic decline of 87% in the number of applications from European economic area nationals for UK registration, according to the Nursing and Midwifery Council. That is a crucial public service, where EU nationals fill gaps in the workplace to provide it. So much damage is being done by this threat of a no-deal. Our amendment is a simple one and I hope that Members will back it, because it is straightforward and it will help to take this away.
ParlaMint-GB_2019-02-27-commons.u414	The hon. Gentleman tends simply to ignore the fact that the British economy is doing well. We have record inward investment, record low unemployment and record manufacturing output, despite all the so-called “uncertainty”, and the doom and gloom that the SNP predicts. Do not forget that the predictions last time were so badly wrong that the Bank of England had to apologise very publicly for getting it so wrong.
ParlaMint-GB_2019-02-27-commons.u415	I find that this is the extraordinary thing. The hon. Gentleman knows I have huge respect for him—he and I served on the Foreign Affairs Committee together—but he is telling us that we cannot trust the Government’s figures. Who can we trust any more if we cannot trust his own Government? Who can we trust when we are trying to make a judgment? Who can we trust when we are trying to make judgments about the future? We know that this is having a real impact, and I am going to come on to deal with some of this shortly. We are almost three years on from the EU referendum and I am not even entirely sure why we are doing this at the moment. I have just been reading that, apparently, Poundland is going to be doing burgundy and blue passport covers, and we could all have a choice—they will be a pound a go. Perhaps if the Government decide to buy one for everybody in the UK, we can all have our own choice and it will save us a lot of hassle and be a lot cheaper than crashing out of the European Union Let us not lose sight of the gross irresponsibility that has led us to this point. We have a minority Government who are failing to be a minority Government. Other European legislatures manage it, and the Scottish Government manage it. It is not always easy; it is difficult—
ParlaMint-GB_2019-02-27-commons.u416	And the Welsh Government.
ParlaMint-GB_2019-02-27-commons.u417	The Welsh Government do it. A minority Government must speak to the other parties and engage with the Opposition. We have a Government who are trying to run the show as if they have a majority of 100; for their information, they do not. They lost their majority at the last general election. We did not lose our majority at the last general election, but the Government did Let us not lose sight of where we are. It was the charlatans and chancers who backed vote leave on a blank piece of paper. They did not have the decency, courtesy or democratic accountability to put down what vote leave meant, and the Secretary of State was one of them. That is why we are in the mess that we are in today. It is a mess entirely of the Secretary of State and his colleagues’ own making, and one for which not only they but unfortunately the rest of us are paying the price, too.
ParlaMint-GB_2019-02-27-commons.u418	rose—
ParlaMint-GB_2019-02-27-commons.u419	rose—
ParlaMint-GB_2019-02-27-commons.u420	I have taken some interventions from the Government side, so I shall take one from the Labour Benches.
ParlaMint-GB_2019-02-27-commons.u421	Does the hon. Gentleman agree that the mess he refers to includes business confidence falling in the last four quarters—3.7% in the last quarter—and consumer confidence at its lowest ever since 2012?
ParlaMint-GB_2019-02-27-commons.u422	The hon. Gentleman is absolutely right. We are seeing business confidence falling and investment falling. These things are matters of fact I will come to some more figures in a moment, but first I wish to talk about the UK’s standing in the world. People talk about democracy and the UK’s standing. They talk of unelected bureaucrats, but the greatest number of parliamentarians are the unelected ones in the House of Lords. That is not democracy. The European Parliament is elected, the Commission is accountable to that Parliament, and the Council is made up of the 28 elected Governments as well. That is a damn sight more democratic than this place is.
ParlaMint-GB_2019-02-27-commons.u423	My hon. Friend is making a good point about democratic accountability. I have been serving on the Committees for countless financial services statutory instruments that will take powers and give them to the Financial Conduct Authority, the Prudential Regulation Authority and the Treasury, and the Government will not give them to MPs in this House.
ParlaMint-GB_2019-02-27-commons.u424	It has been extraordinary. As usual, my hon. Friend makes an excellent point about how the Government have tried to take powers away. They have tried to take votes from us and they have tried to take away our ability to hold them to account in a way that they just could not get away with in the European institutions, whether they like it or not On the lack of planning and that vote leave on a blank piece of paper, I think Donald Tusk was being restrained when he said that there is a special place in hell for those who backed Brexit without a clue about how to get there. For all those snowflakes who feigned outrage about his remarks, this is a man who fought the communists—he was living under a Soviet vassal state at that point, unlike others—and who stood up for and was arrested for his beliefs, yet when he points out the blindingly obvious, he gets dragged over the coals for it. What outrage. It was faux outrage.
ParlaMint-GB_2019-02-27-commons.u425	rose—
ParlaMint-GB_2019-02-27-commons.u426	I will give way if the hon. Gentleman can possibly justify it.
ParlaMint-GB_2019-02-27-commons.u427	I honestly do not think that Slovenia has anything to do with today’s discussion of the withdrawal agreement. The amendment proposed by the SNP, which is what the hon. Gentleman should be referring to, talks about this House being “determined not to leave the European Union without a withdrawal agreement”, so will he confirm that the SNP will support the Government deal, which will be on the table before 12 March?
ParlaMint-GB_2019-02-27-commons.u428	It is extraordinary: I have not even mentioned Slovenia yet, but the hon. Gentleman knows the reference I am making. I know he is a decent Member and has served his country well in the diplomatic service, and I know he will have been embarrassed by the Foreign Secretary’s recent remarks. I want to talk about—[Interruption.] I am a Front-Bench speaker. I want to talk about the UK’s standing in the world of which we are still a part for the time being There are those who are quite content to compare the EU with the USSR and cannot handle these remarks from Donald Tusk. Just at the point when we need friends and influence around the world—as the hon. Member for Gloucester (Richard Graham), who works so hard on these things, knows full well—we are losing them. Let us look at some of the reactions to that. Carl Bildt, the former Swedish Prime Minister, said that Britain used to be a nation “providing leadership to the world. Now it can’t even provide leadership to itself.” Latvia’s ambassador to London said: “Soviets killed, deported, exiled and imprisoned hundreds of thousands of Latvia’s inhabitants after the illegal occupation in 1940, and ruined lives of three generations, while the EU has brought prosperity, equality, growth, and respect.” I ask Members to please reflect on what our closest friends and allies are telling us. Asked to respond to Hunt’s remarks when he compared the EU with the Soviet Union, the European Commission’s chief spokesman, said: “I say respectfully that we would all benefit, in particular foreign affairs ministers, from opening a history book from time to time.” The Foreign Secretary clearly did not listen. He doubled down when he went to Slovenia and referred to it as a “Soviet vassal state” to which the former Speaker of the Slovenian Parliament said: “The British foreign minister comes to Slovenia asking us for a favour while arrogantly insulting us.” At a time of crisis, the greatest crisis that the UK has faced since the second world war, we are led by political pygmies who do not understand the history of those countries that are closest to us, never mind the history of the nations of these islands. They have turned the UK into the political basket case of Europe. There is utter astonishment and bewilderment in Brussels and elsewhere at the UK’s decline. There is also astonishment in Scotland at what is going on down here, even by those who, unlike me, backed the Union The right hon. Member for Broxtowe (Anna Soubry) was right to raise a point of order last night and I listened to it carefully. I am glad that, because of her work, we got the no-deal papers released, and I thank her for it. It has to be said that the document was pretty flimsy, a very small document. There is much more to the Scottish Government’s document. Their analysis, which they were happy to publish a long time ago without having to be forced, has shown that any form of Brexit will be damaging for Scotland’s economy. The deal will be damaging to Scotland’s economy, which is why we cannot vote for it, but a no-deal Brexit could result in a recession worse than that in 2008, causing Scotland’s GDP to fall by up to 7%, and unemployment to rise by around 100,000.
ParlaMint-GB_2019-02-27-commons.u429	rose—
ParlaMint-GB_2019-02-27-commons.u430	I will give way to the right hon. Lady as I have made reference to her.
ParlaMint-GB_2019-02-27-commons.u431	The point that everybody in this House needs to understand is that, on Privy Council terms, I saw the entirety of the most recent documents that members of this Government’s Cabinet and the important sub-Committee had seen. I saw a large number of those documents, the contents of which make it clear, in the words of the Business Secretary, that a no deal would be ruinous. Last night, I attributed those words to the Brexit Secretary who was very keen for me to set the record straight. I would have liked him to have adopted that view, but it was the Business Secretary who described no deal as ruinous. Notwithstanding that clear information, which was available to the most senior members of this Government, they refuse to take no deal off the table. I say gently to the hon. Gentleman that that is the disgrace. The Government know what a no deal would do to this country, and they refuse point blank to take it off the table.
ParlaMint-GB_2019-02-27-commons.u432	As usual, the right hon. Lady makes a powerful and valid point. As this is the first time I have been able to say this, might I also say that it is nice to hear her speaking so much more closely to me now?
ParlaMint-GB_2019-02-27-commons.u433	You might regret it.
ParlaMint-GB_2019-02-27-commons.u434	The right hon. Lady is right, I might regret it. As so often, she makes a powerful point. That is why our amendment today—I hope she will support it—is a very simple one that will take no deal off the table. The Cabinet knows how damaging it will be; business knows how damaging it will be. These papers are there. They have been seen, as the right hon. Lady correctly points out. On top of that, the Scottish Government analysis shows that EU structural funds are worth €941 million to Scotland across the EU budget period, and we do not know what happens next. That is almost €1 billion and we do not know what happens There are 4,500 EU national staff facing uncertainty in Scottish universities, and I see that daily in my constituency work. A letter from 150 universities says that “leaving the EU without a deal is one of the biggest threats our universities have ever faced” The University of St Andrews, which signed that letter, has been around for more than 600 years, so it has a bit of context; it knows a thing or two Do you know what stings? Scotland never voted for this. We were the first to suggest an extension, as common sense. The Scottish Government were the first to propose a compromise, to which the UK Government did not really have the decency to respond. And here we are proposing to reach out and work with the Government to take no deal off the table as well. We did not vote for this process but we have to engage with it, and we have engaged with it. I pay tribute to our friends and colleagues from different parties who have worked with us, because this is the right thing to do The Scottish food and drink industry thinks that we will lose £2 billion in sales annually. This does not affect the hedge fund managers or those who have pushed money offshore. It affects the poorest and most vulnerable, as well as small businesses, and it has an impact on unemployment in some of the areas of the United Kingdom that can least afford it I hear people saying about the EU as a political union, “Why would you want to be a member of the UK in the EU?” Well, you know what? The EU listens. We are in a partnership of equals in the EU; it cannot force us to do things. We have a Court of Justice, a Parliament and a Council of Ministers—the UK has none of them. The EU is a club for independent, growing and thriving member states. There is no place for independence or a partnership of equals within the United Kingdom Our amendment is a simple and straightforward cross-party proposal that rules out no deal all together. Yes, we want to take things out of the hands of the Prime Minister, but we also want her to commit to this because I am sorry to say that, with her twists and turns, it has become increasingly difficult to trust anything the Prime Minister says. Four weeks away from leaving, our amendment seems to be a responsible course of action, as there are so many pieces of legislation still to be passed I have raised many points, but I now address the hon. Member for Basildon and Billericay (Mr Baron). We have put £4.2 billion into no-deal preparation. Just think what we could have done with that £4.2 billion at a time of continued Westminster austerity, when our public services are crying out for it and when we should be tackling climate change, poverty and many other challenges. Continuing with no deal is irresponsible, irrational and—I appeal to some of the Tories—very, very expensive. I hope that all Members will join us in backing our cross-party amendment.
ParlaMint-GB_2019-02-27-commons.u435	A five-minute limit on Back-Bench speeches now applies, although I warn colleagues that that limit will probably have to fall; it is not compulsory to speak to the full limit.
ParlaMint-GB_2019-02-27-commons.u436	I will try to abide by your instructions, Mr Speaker; thank you for calling me so early It is customary to say what a pleasure it is to follow the previous speaker, but I must suggest to my friend, the hon. Member for North East Fife (Stephen Gethins), that the SNP continually talks down the United Kingdom to such an extent that most people in Scotland do not even listen any more. SNP Members would do well to reflect on this. I gently suggest to the hon. Gentleman that he may be very critical of the UK at the moment—of how the Government conduct themselves and our parliamentary democracy—but we can be proud of the fact that this robust democracy is accommodating a very robust debate. In France, the Government can increase the fuel tax and there are people dead in the streets of Paris. In America, there has not been a Government for months. This is an important debate and there are differences across the House, but we can be proud of our parliamentary democracy in actually accommodating that debate.
ParlaMint-GB_2019-02-27-commons.u437	As the hon. Gentleman is busy lecturing Scots and Scotland, I hope he will reflect on this point—that in Scotland today the EU is far more popular among the people, by about 18 percentage points, than the United Kingdom. He should bear that in mind the next time he wants to lecture Scotland.
ParlaMint-GB_2019-02-27-commons.u438	I actually think that is quite questionable given the SNP’s recent election results and how badly it is doing—
ParlaMint-GB_2019-02-27-commons.u439	rose—
ParlaMint-GB_2019-02-27-commons.u440	Just wait a minute—sit down. I have taken one intervention. We should look at how badly the SNP is doing in terms of representing the interests of the EU, as it were, with regard to election results Let me put the SNP to one side for a second and suggest to my fellow fusilier, the Secretary of State, that, as a leaver, I also accept that there is a need for compromise with regard to the withdrawal agreement. One cannot, after 45 years of integration, move from imperfection to perfection in one bound; there has to be compromise on both sides. That is why, while I have trouble with the transition period—there are many aspects that I do not like—at least it is definite. It is no worse than being in the EU itself—not really. As my right hon. Friend will know, what many Conservative Members have a problem with is the fact that the backstop is indefinite as it is presently constituted. I urge him to ensure that we have a meaningful change to the backstop to address the fact that at the moment we could be locked in an indefinite backstop that only the EU could free us from. No sensible person would enter into a relationship of that sort—it is madness When I say “meaningful” change, I mean that it has to have equal standing with the backstop, or the bit that we are changing. The Northern Ireland protocol containing the backstop is an appendix, so there is scope for a further appendix putting this right. It would be face-saving for the EU, if the agreement itself had not been changed. We could put a meaningful appendix into it. I suggest that the Government give that some thought, because it could assuage the concerns of a lot of Conservative Members with regard to the withdrawal agreement. Instead of worrying about where any additional text would go, agreement about the text itself could first being sought. That could be very helpful, because an awful lot of time could be wasted in trying to agree where that text goes before the text itself has been agreed That is something for the Secretary of State to think about. I wish him and his team well—genuinely so. I have expressed concern that the Prime Minister’s next steps, as outlined yesterday, may, at the margin, make a good deal less likely because the EU could perhaps hope that Parliament does its work for it by taking no deal off the table and by extending article 50. However, I still wish him well, because it is still within our grasp to achieve a withdrawal agreement that could bring us all together—certainly those of us on the Conservative Benches, and a number of hon. Members on the Opposition Benches—to get this agreement through Let me quickly turn to the Labour party’s policy on a second referendum, because that has not been touched on in this debate so far, but it is absolutely scandalous. Labour said that it would respect the wishes of the referendum, and now it is offering a second referendum. In one way, that is good, because it is clear blue water between the Conservative party and the Labour party. However, I would just offer these thoughts to the Labour party with regard to its recent assurances that it is going to offer a second referendum. First, it is a condescending policy—it is saying that people did not understand what they were voting for.
ParlaMint-GB_2019-02-27-commons.u441	Two days ago, the hon. Gentleman told this House that the United Kingdom already trades on WTO terms with everybody outside the European Union, and the Prime Minister had to correct him. If somebody who led the campaign to have an EU referendum still does not know about the trade deals that we have as part of the EU, what chance have the other 60 million people in these islands got?
ParlaMint-GB_2019-02-27-commons.u442	I am afraid the hon. Gentleman misheard me. I said that we trade with the majority of the world outside the EU on WTO terms—that is a fact—and we trade very profitably with them. That is the issue. While it is clear that most of us would prefer a good deal to no deal, the exaggeration of how bad WTO terms are has to be set in context.
ParlaMint-GB_2019-02-27-commons.u443	rose—
ParlaMint-GB_2019-02-27-commons.u444	I am sorry, but I am going to finish because I do not think that a third intervention will add anything to my time, to be perfectly honest. The Labour party policy on a second referendum is condescending because it says that people did not know what they voted for the first time round. The predictions of doom and gloom from the establishment in this country—the Bank of England, the International Monetary Fund, the Government and leaflets through the door—and of 500,000 more people unemployed by December 2016 if we voted leave were so badly wrong that most of those public bodies had to apologise The policy is condescending, but it is also contradictory, because it suggests that people might not have understood it last time but will understand it this time. Why would they understand it this time if we do not have faith in them to understand it the first time? Why not then have a third or fourth referendum? Finally, it is dangerous, because we made a clear pledge that we would respect that referendum result. I thank the Labour party for its policy, but it is wrong.
ParlaMint-GB_2019-02-27-commons.u445	We need to begin by acknowledging that we have made a little bit of progress. Yesterday the Prime Minister finally acknowledged that there is no support in the House of Commons for leaving with no deal. It was interesting that the Chancellor of the Duchy of Lancaster was in most difficulty in his contribution when he was trying to avoid answering questions about how the Government will vote if we get to that point. I will make a prediction to ease his pain: if we do get to that point, I think the Government will vote against us leaving with no deal. How could they do anything other than that given the document released yesterday, which predicts £13 billion of cost to British businesses? For what? To fill in customs declarations, with no benefit to their trade whatsoever. It also predicts rising food prices and delays at the ports. At the moment, French customs officials say, “Go on, go on,” but the moment they put their hands up and say, “Arrêtez”—“Stop”—the chaos will begin At the industrial coalition meeting to which the right hon. Member for Meriden (Dame Caroline Spelman) referred, the most striking moment for those of us who were there was when representatives of two major parts of manufacturing industry said simply, “If there’s a no-deal Brexit, it will be catastrophic for us.” The thing I always find it hard to understand is why people who do not run things and make things for a living think they know better about the consequences of a no-deal Brexit than people who do The other truth that has finally hit home—I hope the Government understand it—is that it does not matter when we are asked to vote against a no-deal Brexit. We will do it in March, we will do it in June and we will do it in October of whatever year, because the House will not allow that to happen If the Prime Minister’s deal is defeated when it comes back, there will be an extension to article 50, and the question that has not really been addressed yet is: for what purpose will we use the time? The amendments that probably will not be pressed to a vote today will be very important in the weeks to come, because they will provide us with the means to answer that question I think that only three options will face us in those circumstances. The first is to try to reach a consensus on a different kind of Brexit deal. The second is again to extend article 50, to enable us to negotiate the future partnership. The third, if we remain deadlocked, is to take the question back to the British people. None of them will be easy–there are no benefits to the British economy from Brexit. I will turn to each of those options The first—Norway plus or Common Market 2.0—would at least minimise the damage to our economy. It would represent a painful compromise for many people, but it would be a much better way forward than the Prime Minister’s deal. Do I think that she will ever agree to it? Sadly not, because she has shown herself to be completely inflexible The second option, which is really the obvious thing to do, is to go to the EU and say, “Why don’t we negotiate the future relationship now and extend article 50 for that purpose?” The House refuses to vote for the Prime Minister’s deal because each of us, for different reasons, says that we do not know what the future will look like, and therefore we are not prepared to take this enormous step of leaving the European Union on the basis of a prospectus that is completely vague and uncertain. How do we answer that question? We negotiate the future partnership.
ParlaMint-GB_2019-02-27-commons.u446	On the point about the purpose of an extension, what does my right hon. Friend think of President Macron saying that there is no way the EU would accept an extension without a “clear objective”? In his view, what should that clear objective be?
