ParlaMint-GB_2019-01-23-commons.u1	1. What assessment he has made of the potential effect of the EU withdrawal agreement on Wales.
ParlaMint-GB_2019-01-23-commons.u206	I am always willing to give the hon. Lady greater reassurance. Lords amendments 42 and 47 ensure that landlords and agents can charge default fees only in specified circumstances, which are listed in the Bill. Lords amendment 48 permits landlords and agents to recover costs for damages only in breach of contract.
ParlaMint-GB_2019-01-23-commons.u207	I thank the Minister for that very helpful further explanation Another Opposition concern about the Lords amendments is that the Bill still does not go far enough to remove the barriers that high deposits pose to millions of renters across the country. Our amendments seek to address two points. The Minister says that reducing the deposit cap from five weeks to three would not help tenants, but I believe it would. A reduction of two weeks’ advance payment will of course help tenants to access properties. It would reduce barriers for private renters and enable them to access the rental markets, including for the first time. Turning that into a negative takes some extraordinary creative gymnastics, on which I congratulate the Minister.
ParlaMint-GB_2019-01-23-commons.u208	The Select Committee looked at the Bill in detail in pre-legislative scrutiny. We all signed up to five weeks, including six distinguished Labour Members, including the Chairman, the hon. Member for Sheffield South East (Mr Betts), who knows the subject well. Why does the hon. Lady believe they are wrong?
ParlaMint-GB_2019-01-23-commons.u209	Having served on that Committee with the hon. Gentleman previously, I absolutely support its work and congratulate it, but it is always in the interests of a Select Committee to achieve consensus whenever possible and to try to agree a report that has unanimous support. That is the purpose and intention, and this case is a demonstration of excellent chairmanship and co-operation I congratulate the hon. Gentleman on playing his part in that, but it is the Opposition’s role to speak up for tenants. If we can make the process better, and if there is an opportunity for the Government to go further in assisting tenants—tenants are hard-pressed and this is a very expensive period of their lives—it is right that we speak up for them. We should try to encourage the Government to accept that they can reduce the barrier of high deposits to assist people directly. I just cannot support the view that charging more will assist renters in any way The Minister mentioned that I welcomed the Government’s reduction. I am delighted that they have listened to common sense and reasonableness, and that they have reduced the cap to five weeks from six, which was far too high, but it is not enough. If the Government can go further, I believe they always should.
ParlaMint-GB_2019-01-23-commons.u210	rose—
ParlaMint-GB_2019-01-23-commons.u211	rose—
ParlaMint-GB_2019-01-23-commons.u212	I will move on because I am absolutely convinced that hon. Members will want to address these points in their speeches—they are committed to the subject and have taken a close interest, whether in the Bill Committee or in Select Committees. I look forward to hearing their comments in the remainder of the debate, but I will move on if that is okay.
ParlaMint-GB_2019-01-23-commons.u213	rose—
ParlaMint-GB_2019-01-23-commons.u214	I have already given way generously The first point that our amendments seek to address is the financial staggering for the cap level that landlords are allowed to impose. I have sympathy with the Government’s aim of prioritising a reduction of the deposit burden on those at the cheaper end of the market, but the specific provisions in Lords amendment 36 could mean that those in joint tenancies end up being subject to the higher cap, despite individually paying significantly less in rent than is used as a threshold in the amendment. It is counterintuitive to create a cap that allows deposits to be relatively higher for someone paying £5,000 a year in rent in a 10-bed large house in multiple occupation than for someone paying £45,000 in an individual rent, so I would welcome reassurance that joint tenants will not be short-changed by the differential cap. If they will be, I would welcome an explanation of the logic behind the decision to allow those in joint tenancies to be charged relatively more Regardless of the functioning of the differential cap, the Lords amendment will do little for the majority of tenants in this country. The cap will have a negligible effect on the majority of deposits in the country and will allow the current system to function virtually unchanged. For the graduate who cannot afford the up-front costs to move to a city for a new job, or for the family given just two months to save enough money to find a new flat and avoid homelessness following a section 21 notice, the system is simply not fit for purpose and needs urgent change According to the English housing survey, a five-week rental deposit will set new tenants back an average of almost £1,000 across the country, and over a staggering £1,500 in London. For many in society who are living pay cheque to pay cheque, saving that sort of money would take an enormous amount of time, and certainly far longer than the two months that tenants are given when they are served with section 21 notices. That means that many struggle to access the flexibility that renting should offer. They fear being served notice to vacate because that could result in homelessness. That is simply not how the private rented sector should function Our amendments would change that. Lords amendment 36 introduces an ill-thought-through staggering system. Amendment (a) in lieu would reduce the cap on deposits from five or six weeks to three, and our amendments together will reduce deposits to three weeks for all, closing the loophole that could be opened by Lords amendment 36 I was interested to hear the Minister’s announcement of the enactment date. A written statement is due today, which I look forward to reading. I was also interested to hear her comments in response to my hon. Friend the Member for Manchester, Withington (Jeff Smith), who is no longer in his place, on enforcement and trading standards. She said that the consumer money protection measures in the Bill would be in place before enactment. I would appreciate clarity on whether she meant enactment on 1 June 2019, which is rapidly approaching, or whether she was referring to the commencement date of April next year Labour’s amendments would give private rented sector tenants a very welcome helping hand at a very expensive time. If passed, the amendments would reduce the deposit barrier by almost £400 across the country, and by over £600 in London, offering significant change to tenants from all backgrounds and building a better private rented sector for the many.
ParlaMint-GB_2019-01-23-commons.u215	I draw the attention of the House to my entry in the Register of Members’ Financial Interests It is a pleasure to follow the hon. Member for Great Grimsby (Melanie Onn). I had the opportunity to chair—and the challenge of chairing—the Housing, Communities and Local Government Committee during pre-legislative scrutiny in the absence of the elected Chairman of the Committee, the hon. Member for Sheffield South East (Mr Betts), who unfortunately was undergoing health treatment at the time. I take absolutely the praise that the hon. Lady pours on me for reaching the judgment of Solomon—[Interruption.] It was possibly unintended at the time. From the outset of our pre-legislative scrutiny, on an all-party basis, we sought to balance good landlords and tenants, who are the overwhelming majority, with the small minority who are rogue landlords and rogue tenants. The risk here is the balance that is struck I do not intend to go over all aspects of the Bill but, clearly, I am absolutely delighted that the Government have seen fit to endorse all the Select Committee’s recommendations, especially the reduction of deposits from six to five weeks’ rent. I will again set out why we came to that conclusion. As Members might recall, we had a long discussion about it in Committee. Some promoted the concept of a six-week deposit and some a four-week deposit. No one but no one on the Select Committee promoted less than four weeks, for very good reasons Our view was that a six-week deposit was clearly too onerous for tenants. I accept what the hon. Member for Great Grimsby says about the cost to tenants of a six-week contribution, but there is also a clear risk with only a four-week deposit—or, worse still, her proposed three-week deposit—because we might get to a position in which, in the last month before the end of a six-month assured shorthold tenancy, a tenant has no incentive whatever to pay their last month’s rent. Tenants could just skip, and the landlord would then have to pursue them through the courts, bearing incredible costs unreasonably The issue for us was that four weeks would lead to a position whereby the tenant had an incentive to say, “Okay, I won’t pay the last month’s rent—just take it out of the deposit,” and then if the landlord could reasonably wish to claim money from the deposit because of damage or other reasons, they would have to pursue court action to recover it. That would be grossly unfair on good landlords, who are the vast majority in this country. Other members of the Committee promoted six weeks, so we ended up with the view that five weeks struck a balance between giving tenants an incentive to pay their last month’s rent, in the knowledge that they would get back their deposit had they been good tenants, and landlords being forced to go through a proper claim process to recover moneys as a result of damage by a tenant.
ParlaMint-GB_2019-01-23-commons.u216	I am afraid that the Opposition spokesperson, the hon. Member for Great Grimsby (Melanie Onn), will not give way on this matter because she is making a purely political point by wishing to appear to be helping tenants more, but the interesting silence in the debate so far has been from Scottish National party Members, because of course there is an eight-week deposit in Scotland. What does my hon. Friend think about that?
ParlaMint-GB_2019-01-23-commons.u217	Clearly we are not talking about the position in Scotland, but I suspect—I might be wrong—that rental levels in Scotland are very much lower than elsewhere in our urban conurbations, and certainly in London. Scotland also perhaps has a lot more social housing than England—
ParlaMint-GB_2019-01-23-commons.u218	indicated assent.
ParlaMint-GB_2019-01-23-commons.u219	I see the hon. Lady nodding about that point. Those two things are equally important Another consideration, which has not yet come out in the debate, is the economic impact of what happens with deposits. If we lowered deposits, I suggest that landlords would likely increase the rent over the period and—this is the key point—tenants would end up far worse off as a direct result, because landlords would have inflated the rent in order to recover the moneys due.
ParlaMint-GB_2019-01-23-commons.u220	Let me clarify something about the ban applying to all new tenancies from 1 June. There will be a 12-month transition for tenancies signed before 1 June during which tenants can be charged. After 1 June 2020, no tenants can be charged fees banned under the Bill, which gives a clear date for when the provisions of the Bill will apply to all tenancies.
ParlaMint-GB_2019-01-23-commons.u221	I thank the Minister for that helpful intervention, which clarified her earlier remarks and what was said when I intervened on her speech It is reasonable to set a position whereby we are abundantly clear in the Bill—I hope it will soon become an Act—that letting agents, estate agents or whoever are working on behalf of landlords, not tenants. I therefore warmly welcome the Lords amendment on holding deposits that was wisely tabled by the Government. What happens at the moment is an absolute outrage: some unscrupulous letting agents take a variety of competing holding deposits to inflate rents by almost having an auction for rental properties. That is grossly unfair on prospective tenants who are just looking for a property, so I warmly welcome that decision. It will be a welcome change for tenants throughout the country I am glad about the clarity of the Lords amendments that ensure that we are clear about the charges a landlord can make, what their purposes are and what the standards of evidence must be so that tenants do not bear a ridiculous price for, say, a lost key. Any charge will have to be evidence-based—the cost of replacing keys or other such security devices will be set out—and any cost will be reasonable, not inflated. One of the problems has been that certain unscrupulous individuals have been getting away with ripping off tenants with such charges in a grossly unfair way I warmly welcome the Lords amendments. The whole Select Committee welcomes the fact that the Government have finally got to where we were in the first place on deposits. I trust that we will reject the spurious Opposition amendments and ensure that the Bill, which has been warmly welcomed throughout the country, rapidly becomes law so that we can implement a process that is fair for tenants One thing that we desperately need to introduce is a national rental deposit scheme. My hon. Friend the Member for Colchester (Will Quince) and I managed to convince the Chancellor to do that at the time of not the most recent Budget, but the one before, and money was allocated to the Department to make that happen. When the Minister sums up, I would welcome her assuring us that we will speed up the process of introducing such a scheme so that those for whom the deposit is the key issue in getting a tenancy can be funded by public money, thus protecting them and giving them the opportunity to get a tenancy and a home of their own.
ParlaMint-GB_2019-01-23-commons.u222	As the lonely Member on the SNP Benches, and given that the Bill applies solely to England, I will endeavour to keep my comments brief. The Government’s Bill is, however, welcome This Government are playing catch-up with the Scottish Government, who abolished tenant fees in 2011. The Scottish reforms gave tenants longer notice periods, indefinite security of tenure and limited rent rises, so it is most welcome that this Government are making changes here now. In Scotland, in many instances, money has gone back into the pockets of Scottish renters, but renters in England are currently losing out due to this Government’s inaction and failure to offer the same protections The Government have maintained the right-to-buy policy, but they must recognise that to give people the greatest choice and flexibility, they have to ensure that the opportunity of the right to buy is matched with an increase in home building and access to socially affordable housing. I am afraid the Government have not quite hit the mark on that yet, and people are simply being driven into the private rented sector, which limits their options and opportunities The Bill is very welcome. As we heard from Conservative Members, there remains the fear that this policy will mean that the costs of the abolished fees will be passed on to tenants in an underhand way, but that concern is unfounded. It has not happened in Scotland, where there has not been a significant spike in rents since the ban on fees, so I hope that the Government will take heed of that fact. Independent research commissioned by Shelter found that since 2012 landlords in Scotland had been no more likely to increase rents than landlords in other parts of the UK. Between 2012 and 2016, rents increased by 5% in Scotland, compared with 9% in England, so the abolition of tenant fees does not appear to have had a significant impact on costs That said, although such a policy has been shown to work in tenants’ favour, we must be vigilant about rent prices, so I hope that the Minister will outline how the Government will ensure that their policy puts tenants first. Landlords in Scotland can only increase rents with three months’ notice and no more than once a year, and tenants can contact a rent officer if they think that a rent increase is too high. I would be interested to know whether the Minister envisages similar protections and criteria for the policy in England. In Scotland, other than rent and a refundable deposit, which is capped at no more than two months’ rent, landlords cannot levy any additional charges, which means no holding deposits, administration fees, premiums or additional charges, whether refundable or not Tenants are secure when landlords can end a tenancy only on strict eviction grounds. The Scottish National party commends the work of charities and campaigners who secured additional renters’ rights from the Government in the House of Lords, and both Shelter UK and Generation Rent are happy for the Bill to pass with the Lords amendments. These rights include a short definitive list limiting default fees to charges for chasing late rents and for replacing lost keys or equivalent security devices. I noted the comments made by the hon. Member for Thirsk and Malton (Kevin Hollinrake) and I hope he is reassured that welcome mechanisms are in place. The provision closes the default fee loophole so that landlords will no longer be able to charge for a whole host of spurious defaults. It is also clear to landlords that they can continue to recover damages as they do now I welcomed the comments of the hon. Member for Harrow East (Bob Blackman), who, when comparing the position with the cap set in Scotland, rightly mentioned the greater availability of social housing in Scotland. He observed that a five-week cap was welcome, especially given that rents in England and Wales can be two to three times higher than those in Scotland. A five-week deposit cap is reasonable and will help renters to meet the initial fees needed to secure a home. Although Shelter originally argued for a lower cap, even it has said that it is “pleased that the government didn’t stick at 6 weeks and we believe the 5-week cap will be a big improvement” That takes heed of the fact that costs are substantially higher in England, meaning that a five-week cap is much more reasonable Holding deposits are now illegal in Scotland, and that ought to be the case in England as well. Under the Lords amendments, if a tenancy does not go ahead, landlords or letting agents will be required to set out in writing the reasons why—they will also be required to give reasons for withholding some of a deposit—and they will have to do so within seven days of the decision not to progress with the tenancy. That will give tenants some clarity on exactly what happened to their money and ensure that there is a paper trail, which will make challenging unfair practices easier. Ultimately, both the landlord and the tenant will have more protection The ban on tenants fees in Scotland has made the rental sector fairer and easier to access. While I congratulate the Government on taking this positive step in the interests of people in rented accommodation, I urge the Minister to consider my points about abolishing tenant fees, while balancing protections for landlords with the rights of renters. The Bill will protect renters, many of whom do not have the luxury of owning their own home, and that ultimately is what we all want.
ParlaMint-GB_2019-01-23-commons.u223	I will try to keep my comments brief—apparently time is pressing—although there is much I would like to say about the Bill. I draw the House’s attention yet again to my entry in the Register of Members’ Financial Interests I am in principle and in practice very supportive of the Bill—I have been right from the start—despite my business interests and despite the extreme consternation within the industry at my support. It is absolutely right that there be a firewall around a tenant’s ability to shop around when they have found a house or flat they want to rent. We are right to believe in free and competitive markets. This was not a free and competitive market, and it is right that we act in this area. It is right that landlords pay for their own tenancy agreements, inventories and referencing. I support all those things. I also want to put on the record my support for the Minister. She has done a great job on the Bill and engaged with me and other colleagues who have had concerns about some of its provisions I would like to touch on two things: deposits and default fees. I will begin with Lords amendments 36 and 37. To say that three weeks would be an appropriate deposit length, as the hon. Member for Great Grimsby (Melanie Onn) has done, shows a complete misunderstanding of the issues. She is absolutely right to want to protect tenants—everyone in this place wants to protect tenants—but to do that we must be fair to landlords as well. She asked how a longer deposit period would help tenants. It would not help tenants not to be able to find properties to rent. If we deterred landlords from entering the marketplace, as a three-week cap would do, that would not help tenants I speak as somebody who has been in this business for 30 years. When I started, the only thing I could find in the marketplace was a shabby, damp, dark terraced house in the middle of York. It was not like today’s marketplace; tenants now have a breadth of choice, and that is because landlords have invested because they are treated fairly. The hon. Lady wants to treat tenants fairly, as I do, but we would not be treating them fairly if our policies resulted in their being refused tenancies by landlords worried about not getting their rent, not regaining possession of a property that had had significant damage done to it or not having enough deposit left for the remedial work. Her proposals would potentially put landlords in that situation, given that many tenants use their deposit as the last month’s rent, meaning there would be nothing left I still have concerns about restricting the deposit length to five weeks. As we know, it is eight weeks in Scotland. The average deposit in London is five and a half to six weeks, and in the rest of England it is not far below that, so the Bill will mean a change for many landlords, and we will have to keep this under review to make sure it does not have adverse consequences for tenants—that is the principle. Landlords are happy as long as they keep their properties well maintained and the rent is paid. If that is not the case, landlords will exit the market, which is not good for the tenants the hon. Lady looks to protect.
ParlaMint-GB_2019-01-23-commons.u224	Does my hon. Friend recall that, during the Select Committee process, one of our considerations was that, if we set a six-week deposit limit, every landlord would rapidly move to six weeks from the current UK average of between four and a half and five and a half weeks?
ParlaMint-GB_2019-01-23-commons.u225	No, I do not agree with that because at the moment we have some flexibility. Under the Bill, we have no flexibility above five weeks. The trouble with that is this. I could charge a tenant five weeks, but what if they have a pet or certain other circumstances that make me less likely to want to rent it to them? I, as a landlord, will be less likely to rent to that person, under this measure, whereas with six weeks I would have some flexibility. We must make sure that this does not deter landlords from renting properties to people with pets. We do not want that, but it could happen. The Minister has promised to keep this measure under review, and I am absolutely sure that she will I want to touch on default fees and amendments 42 to 47. I welcome the clarification from the Minister in the letter she sent me a couple of days ago. She assured me that landlords and agents would still be able to charge for things above and beyond their existing obligations, and that is absolutely right, but the Bill itself only makes a couple of provisions on default fees, and one of those is for the replacement of keys. It sounds like a simple process, but it is possible to spend hours and hours chasing the tenant, chasing the keys, and then chasing the tenant to come and collect the keys. Someone has to pay for that work. It is not a question of the keys themselves; it is a question of the time and labour involved in their delivery.
ParlaMint-GB_2019-01-23-commons.u226	I, too, draw the House’s attention to my entry in the Register of Members’ Financial Interests. The Bill has returned to the Commons in a much better state than it was in when it left. The loophole relating to default fees has now gone. The detail on default fees will be on the face of the Bill, which will specify “a key…or other security device” There is much more transparency in relation to the holding of deposits, with a fairer transaction between letting agents and tenants, and the deposit levels are better aimed at people on low incomes, having been reduced to five weeks’ rent I listened carefully to both sides of the argument about the length of deposits. I listened to what was said by the hon. Member for Great Grimsby (Melanie Onn), but I also listened to the counter-arguments. I entirely agree with the hon. Lady that we need to protect tenants and make the system easier for them, because there is a tough world out there for people on low incomes. I also agree that we should not inadvertently disadvantage renters. As long as we do not have the number of affordable and social homes that we need, they will always be in that tough world in which, ultimately, they are at the mercy of landlords when it comes to charges. This is only the beginning of an overall improvement for renters, and I hope very much that we will continue to make changes in the law that will make life easier for them, but I also hope that we will eventually provide the number of homes that we need in order to create an entirely fair rental market I pay tribute to my colleagues in the House of Lords, Lord Shipley and Baroness Grender. Lady Grender initiated these proposals in a Private Member’s Bill in 2016 and, with Lord Shipley, worked assiduously with the Government to improve the Bill. I also congratulate the groups that have long campaigned for this change in the law, including Shelter, Generation Rent and Citizens Advice For too long, upfront costs—often rip-off fees charged to tenants by unscrupulous lettings agencies—have pushed people into unmanageable levels of debt, and sometimes into homelessness. The current system means that people, particularly those on low incomes, must pay as much as £3,000 to move, even if they will be paying a lower rent. Some have predicted that we will see a rise in rents as a result, but evidence from Scotland suggests that that is unlikely. If rents rise, the relatively small amount per month will be manageable in comparison to the extortionate amount that it costs to move For too long people living in the private rented sector have been treated as second-class citizens, and the Bill goes some way towards putting that right. The Liberal Democrats welcome it, and welcome the Conservatives’ change of heart. We look forward to its introduction on 1 June, with only the small regret that it has taken so long for it to reach this stage. As I said earlier, I hope that we will continue to make changes in the law to make it easier for people to rent in a fair market where there is a good number of affordable and social homes.
ParlaMint-GB_2019-01-23-commons.u227	With the leave of the House, Madam Deputy Speaker. I shall be very short and very pithy I thank Members on both sides of the House for their passionate and constructive contributions to the Bill’s passage. I also thank the civil servants who have worked so hard to bring the Bill to this successful stage. We particularly wanted that to happen quickly so that the lady who is pregnant would not give birth in the Box. I have told her that if the baby is a boy, it must be called Bill I hope we can all agree that improvements have been made, thanks to the work of many Members on both sides of the House, and that as a result the Bill will be even more effective in delivering its promise to protect tenants from unfair charges. I hope that the assurances I have been able to give will mean that the Commons amendments will not be pressed to the vote Lords amendment 1 agreed to. Lords amendments 2 to 35 agreed to. Schedule 1 Permitted Payments Motion made, and Question put, That this House agrees with Lords amendment 36.—(Mrs Wheeler.) The House proceeded to a Division.
ParlaMint-GB_2019-01-23-commons.u228	I remind the House that the motion is subject to double majority voting of the whole House and of Members representing constituencies in England.
ParlaMint-GB_2019-01-23-commons.u229	We now come to motion 4 on private Members’ Bills.
ParlaMint-GB_2019-01-23-commons.u230	Not moved.
ParlaMint-GB_2019-01-23-commons.u231	On a point of order, Madam Deputy Speaker. That motion would have given us some certainty that this House would be sitting on Friday week, for example, to consider private Members’ Bills. Is it not extraordinary that we now have no certainty about that? The presumption now is that we will not be sitting on Friday 1 February. At one stage we were told that we would be sitting on Friday 25 January. My point of order relates to the amendment that I tabled to the business in motion 4. Prior to hearing that the motion was not going to be moved, I sought to find out whether my amendment had been selected. It is the convention of this House that if someone has tabled an amendment, they get advance notice prior to the debate as to whether it has been selected. We often get printed papers telling us which amendments have been selected and in what order. Can you tell us, Madam Deputy Speaker, whether my amendment and/or the one tabled in the name of the Labour environment spokesman, amendment (b), were selected for debate, subject of course to the debate starting at the behest of the Government? The other point I would like to make is to ask whether I am correct in saying that the only way in which we can avoid this sort of scenario is for Back Benchers on both sides to sign Government motions so that they cannot be withdrawn?
ParlaMint-GB_2019-01-23-commons.u232	Order. I beg the House to be a little quieter because, as a matter of practicality, I could not hear the hon. Gentleman—[Interruption.] I am politely asking for a little bit of quiet. Just talk quietly among yourselves The hon. Gentleman makes a perfectly reasonable point. As to whether it is extraordinary, I cannot possibly comment from the Chair. However, he has asked me, as a point of order, whether his amendment (a) to motion 4 was selected and, indeed, whether amendment (b) was selected, and I can tell him that I do not know the answer to his question. The selection of amendments is entirely a matter for Mr Speaker, and the Deputy Speakers have no part in the consideration or discussion of whether an amendment should be selected. I do not know whether either amendment was selected, but I have every sympathy with the hon. Gentleman.
ParlaMint-GB_2019-01-23-commons.u233	Further to that point of order, Madam Deputy Speaker. I accept your ruling in relation to the prerogative of the Speaker to decide which amendments are selected and which are not, but what I was really concerned about was the fact that the Member who tabled the amendment was not notified as to whether it had been selected. Is there now a new convention in this place that a Member does not know whether their amendment has been selected until the debate starts? If that is a new convention, let us all be clear about it, but my understanding, after more than 30 years in this place, is that if a Member moves an amendment, they normally get advance notice of whether it has been selected.
ParlaMint-GB_2019-01-23-commons.u234	The hon. Gentleman again makes a perfectly reasonable point about his experience over the past 30 years, but we live in ever-changing times, and I genuinely do not know the answer to his question.
ParlaMint-GB_2019-01-23-commons.u235	Further to that point of order, Madam Deputy Speaker. First, if the Government Whip had not said, “Not moved,” we would now be in the debate on the motion. If we had had that debate, I would have spoken against the amendment of the hon. Member for Christchurch (Sir Christopher Chope), so at what point would those who had put down amendments have known that they would be put to a vote? Secondly—maybe the Leader of the House can assist with this—have you had any indication that the Government intend to move the order relating to private Members’ Bills days at some point in the future? If so, when might that be?
ParlaMint-GB_2019-01-23-commons.u236	Again, the right hon. Gentleman makes a perfectly reasonable point. I should point out to him and to the House that Mr Speaker‘s selection of amendments is published as a provisional selection of amendments. It is then up to Mr Speaker which amendments he finally selects. That would be the normal course of action. I am unaware of a provisional selection of amendments having been published in relation to motion 4 today.
ParlaMint-GB_2019-01-23-commons.u237	Further to that point of order, Madam Deputy Speaker. As you can well imagine, there may be a lot of interest in this House about the selection of amendments over the next few weeks, so this is not merely some esoteric question. Now, I have been here for only 18 years—I am a relative newbie—but the Speaker’s conference would have taken place this morning, and the usual practice is that a provisional selection of amendments is issued thereafter. As you say, it is provisional, but it can at least guide the House as to what is likely to be available for debate Now, today’s Bill was relatively uncontroversial. Being able to rent a home is important, but it was not as controversial as, say, some of last week’s debates, so it was not beyond the wit of man to work out that the debate on the Tenant Fees Bill would end early. The Speaker’s conference should have practically been able to foresee this situation. That being the case, why was no provisional selection of amendments issued in the normal way?
ParlaMint-GB_2019-01-23-commons.u238	I appreciate the right hon. Gentleman’s point, and I can give him a very direct answer. I will not disclose to the Chamber or in any other way what happens at the Speaker’s conference in the morning. It is a private meeting between Mr Speaker and his Deputies and senior Clerks, and I will not and cannot answer questions about it.
ParlaMint-GB_2019-01-23-commons.u239	Further to that point of order, Madam Deputy Speaker. As someone who has been here for 27 years, my service is obviously larger than that of the right hon. Member for Rayleigh and Wickford (Mr Francois). Can the—[Interruption.]
ParlaMint-GB_2019-01-23-commons.u240	Order. The hon. Lady is making an important point. Just be quiet.
ParlaMint-GB_2019-01-23-commons.u241	While we are living in an era of some creativity with respect to the House’s Standing Orders, can you confirm that we have not been so creative so far that amendments can survive the main motion being withdrawn?
ParlaMint-GB_2019-01-23-commons.u242	I am delighted to answer the hon. Lady’s perspicacious point of order. She is absolutely correct that amendments cannot survive the withdrawal of the main motion. I will say it again that the selection of amendments is entirely a matter for Mr Speaker, and I am sure that if Mr Speaker had been here, as he will be at some future point, he would have been delighted to answer these questions.
ParlaMint-GB_2019-01-23-commons.u243	Further to that point of order, Madam Deputy Speaker. Can you confirm that it would be in order for the Government to propose a future motion—hopefully very quickly—that would allow the Service Animals (Offences) Bill finally to make progress and get its Third Reading? The Bill has support on both sides of the House and had cross-party support in Committee last week.
ParlaMint-GB_2019-01-23-commons.u244	I am happy to confirm to the right hon. and learned Gentleman that that would be perfectly in order. He also reminds me that I did not answer the second point of the right hon. Member for Leeds Central (Hilary Benn) about whether the Government intend to bring forward motion 4 again at a future time. I am not aware at this point of any such intention, but one would hope so.
ParlaMint-GB_2019-01-23-commons.u245	I am grateful for the opportunity to raise the issue of fire safety, which is of great concern to many people in my constituency and throughout the country, particularly since the Grenfell Tower fire 19 months ago. The debate is happening somewhat earlier than we envisaged. I hope that means that there will be more opportunities for other Members to participate, because I know that the issue affects many constituencies I want to cover two areas: first, the major fire that happened at the Shurgard self-storage centre in my constituency on new year’s eve; and secondly, fire safety and the use of flammable cladding in residential and other buildings throughout the country, about which there has been great disquiet since the Grenfell Tower fire The fire at the Shurgard self-storage centre was massive. More than 1,200 people had stored their goods and possessions in that facility, which was one of the largest in London. When I was first alerted to what had happened, my first thought was, “I hope everybody is safe,” and it was reassuring to hear that there had been no loss of life. However, a couple of weeks later I had the opportunity to meet a group of Shurgard customers who had lost everything they had put in storage at that facility. The scale of loss, devastation and harm that that caused cannot be overstated. The losses were enormous As with all self-storage centres, the Shurgard facility was marketed as a safe place to store goods. It was even advertised as a place for those who had suffered a bereavement to store the belongings of a loved one.
ParlaMint-GB_2019-01-23-commons.u246	I thank my hon. Friend for bringing this important debate to the House. Constituents of mine had their goods burnt in the Shurgard fire. I am sure that hon. Members will be interested to know that, having advertised as “safe and secure”, since the fire the Shurgard website has removed 35 mentions of that phrase. Its use is nothing short of mis-selling.
ParlaMint-GB_2019-01-23-commons.u247	I am grateful to my hon. Friend and neighbour for her intervention. It is telling that Shurgard saw fit to remove all the language about safety from its website after the fire. I hope that, during the debate, we will expose the fact that the facility was far from being as safe as it was marketed to its customers.
ParlaMint-GB_2019-01-23-commons.u248	I thank the hon. Gentleman for raising this important issue in the Chamber. Like the constituents of my other neighbour, the hon. Member for Croydon Central (Sarah Jones), many of my constituents had possessions at the facility. Does the hon. Gentleman agree that it is essential that the London fire brigade carries out a full investigation to establish whether the operators of Shurgard had implemented all the relevant fire safety measures? It seems that the fire spread so quickly and so extensively that it requires a thorough investigation.
ParlaMint-GB_2019-01-23-commons.u249	I completely agree and am grateful for that intervention. Everybody who uses self-storage facilities needs to know that their possessions are safe when they put them in storage. We need to know that Shurgard and other providers of such services abide by the regulations, and that the regulations are sufficiently robust to provide the reassurances that customers deserve and need When I spoke to the group of customers, I found that the single biggest reason for storing possessions at the facility was being between homes. People were not just putting some spare goods into self-storage; they had left the place where they were living and had not yet moved into their new home, so everything they owned was stored at the facility. As a result, everything was lost; everything was destroyed in the fire. As one of them said to me, “It’s bad enough to lose a sofa, a bed or a sideboard, but at least you can replace those things. What about your keepsakes from loved ones who have passed away?” The company advertised its facility as a safe space to leave keepsakes for those who had suffered a bereavement. What about someone who has lost a lifetime of family photographs—all their memories of their family experiences and of the people they most love? A price cannot be put on that. It cannot be insured. If it is gone in a fire, it is gone forever and it is irreplaceable. The devastation, pain and stress of losing such things can be incalculable I met one family—a husband, his wife and their three children—who, because of benefit-system failings, had been evicted from the home that they rented just before Christmas. They had put everything they had into this Shurgard self-storage facility. They were penniless because of the problems with universal credit so they could not afford insurance. They have now lost absolutely everything that they owned. They have been left absolutely devastated, without any possessions at all, and they are living in bed-and-breakfast accommodation. That family need help, and they need it urgently, because they are facing critical hardship as a result of what happened.
ParlaMint-GB_2019-01-23-commons.u250	I thank my hon. Friend for securing this debate. He has picked up on a crucial point—that the storage centre claimed that it was safe, and so on. Does he agree that when the Minister responds he should refer to the specific case of those individuals, who have lost everything because of the social system and are now living in a bed and breakfast? These must be considered special cases, in which the Government need to step in and act.
ParlaMint-GB_2019-01-23-commons.u251	I am grateful for my hon. Friend’s intervention and completely agree with her. I hope that when the time comes the Minister is able to respond to that point. People who have been left in severe hardship as a result of what happened have had nowhere to go for the help that they deserve.
ParlaMint-GB_2019-01-23-commons.u252	I thank the hon. Gentleman for bringing this issue to the House. It is important that evaluations are made of properties where the same thing might occur. Does he agree that there has been ample time to assess the number of buildings that are in danger? My local authority in Northern Ireland, Ards and North Down Borough Council, carried out evaluations and provided reports within six weeks of the disaster. Does the hon. Gentleman agree that additional funding must be put in place to help local councils to make evaluations and to help those people who need compensation, and that that needs to be done as a matter of urgency? Furthermore, on the changes to fire safety regulations, does he agree that the real, live testing of materials in the construction sector is urgently required?
ParlaMint-GB_2019-01-23-commons.u253	The hon. Gentleman makes an important point, with which I have great sympathy. I believe that in this particular case the investigation is also in the hands of the police, because we do not yet know whether arson lay behind the tragedy at the Shurgard facility on Purley Way in Croydon.
