ParlaMint-GB_2019-04-08-lords.u1	To ask Her Majesty’s Government what action they are taking to reduce air pollution.
ParlaMint-GB_2019-04-08-lords.u159	My Lords, I am yet another lawyer. I apologise for that. I will not detain the House for long I respectfully agree with the noble and learned Lord, Lord Judge, that this came to the House as a bad Bill—I would say a very bad Bill. It sought to send the Prime Minister into the conference chamber not naked but wearing a straitjacket, and that was clearly inappropriate given the very delicate negotiations that are going to have to take place this week. As it stood, it was not proper legislation but, in the words of Nye Bevan, “an emotional spasm” I fully support the amendments proposed by the noble and noble and learned Lords. They are obviously necessary, bizarrely, to prevent the Bill having the inadvertent effect of increasing the risk of an accidental no-deal exit, so I fully support them. However, I am concerned that, if these amendments pass, the Bill will appear to be, and be, a bit of a mess. The Prime Minister has already, as I recall, made one request for an extension, which is outstanding; I doubt whether it will be accepted. After the Motion is passed in the House of Commons, a further date will be introduced and she will have to write another letter, I think, to the EU specifying another date. That will presumably displace application number one for an extension The amendments, which I support, would make it open to her to make a further, third, application for an extension, specifying a further date. That will displace, as I see it, the second application made pursuant to the Motion in the House of Commons. What is left of the Bill, as I see it, is nothing more than this: an edict from Parliament that the extension that the Prime Minister is able to seek cannot end earlier than 22 May 2019. If it had been restricted to that, we would have saved a lot of time.
ParlaMint-GB_2019-04-08-lords.u160	My Lords, I should like to pick up on something the noble and learned Lord, Lord Goldsmith, said about agreement on dates. As I understand it, the Prime Minister is asking to go to the end of June. Presumably she has Cabinet approval to do that.
ParlaMint-GB_2019-04-08-lords.u161	Very unlikely.
ParlaMint-GB_2019-04-08-lords.u162	I agree, nobody knows. Let us hypothesise that she cannot go beyond that date. She goes to Brussels and says: “I would like to extend until the end of June”. Suppose that Brussels says: “No, we are frightfully sorry but we have agreed two dates with you already. One is in the context of no agreement and the other is in the context of the agreement being agreed by Parliament. We are not prepared to move from that”. I presume that the noble and learned Lord, Lord Goldsmith, will be answering on these amendments —I suspect the noble Lord, Lord Robertson, does not feel that responsible for this Bill, having taken it over from somebody else. What happens if the EU does not move from the two dates that it has already agreed, therefore still leaving us in the position where the Prime Minister will come back on Thursday and say, “I can get no agreement from the EU to change the dates it has already given us”? How in those circumstances will we not come out with no deal on Friday?
ParlaMint-GB_2019-04-08-lords.u163	My Lords, as I mentioned before, there is nothing in this Bill specifically to stop no deal. It requires the Prime Minister to seek and seek again. The root of the trouble is that for more than a hundred years we have observed the separation of powers in our constitution. The noble Lord, Lord Norton, is one of the greatest experts on this—I think he is not in his place, but if he were he would probably say that that separation is sometimes not exact. However, this Bill is a very good illustration of why it is not a good idea to mix up the powers of the Executive and the legislature. I would like to hear from whoever is the surrogate parent of this odd little embryo quite how it will prevent no deal. An abortion?
ParlaMint-GB_2019-04-08-lords.u164	Will the noble Baroness send a copy of her excellent contribution just now to the Minister for Children, who appeared on Radio 4 on Saturday morning and told an astonished nation that it was now illegal for us to leave without a deal?
ParlaMint-GB_2019-04-08-lords.u165	My Lords, I will make a brief intervention in the hope that the noble and learned Lord, Lord Goldsmith, will respond to it. I entirely understand that in negotiations—the noble Lord, Lord Pannick, described the situation in which the Prime Minister and the EU are negotiating—there has to be give and take. What disturbs me is this: the Prime Minister might decide in advance to move outside the dates previously agreed by Parliament and go with an entirely fresh date into a negotiation. That is different in kind from negotiating when they sat down to discussion. It would be a deliberate attempt to go outside what Parliament has previously agreed to. It seems to me that Amendment 7 would enable her to do that, and I am profoundly uneasy about that prospect.
ParlaMint-GB_2019-04-08-lords.u166	My Lords, I will respond on my Amendment 5, which is the one that has been moved. A couple of points need to be emphasised As has been discussed already, we are in unusual circumstances, and they demand some unusual responses. This Bill does not take away or give back the entirety of the royal prerogative. It says—this is why I made an intervention earlier—that it is for the other place, on a Motion put forward by the Prime Minister, to say what date she should seek. It may be that the European Council will accept that date, in which case it is done so far as the negotiations are concerned. It may come back with a different date, and the questions we have been considering are for those circumstances. Does she have to seek approval during the next two to three days before she can respond to it, or is she able to respond by agreeing to it or by putting forward a slightly different proposal? There are two different amendments—my amendment would remove the fetters requiring her to come back, and that of the noble and learned Lord, Lord Judge, and the noble Lord, Lord Pannick, would enable her to reach an agreement without having had that prior approval. It seems to me that a balance is being struck between royal prerogative and necessary control by Parliament. It is absolutely the case—as the noble Lord, Lord Faulks, said—that of course the royal prerogative can be adjusted and amended by what Parliament says. On this occasion, the other place has said: “We believe that we should tell the Prime Minister what date she should seek. What happens after that will depend upon the circumstances but, whatever it is, it has to be done in this time” I invite the House to agree Amendment 5 and then we can move on to the other amendments.
ParlaMint-GB_2019-04-08-lords.u167	As the noble and learned Lord, Lord Goldsmith, was kind enough to point out, I have not benefited from the disadvantages of a legal education, but I think I do know flawed and badly drafted legislation when I see it. Nevertheless, it remains the reality that this has been approved by the House of Commons, and that is a principle that I believe should be respected. Noble Lords opposite can be assured that I will remind them of their newfound enthusiasm to respect the will of the House of Commons when we come to future legislation I will comment first on the amendments. As my noble friend the Leader of the House said, the Government support Amendment 5, moved by the noble and learned Lord, Lord Goldsmith. This seeks to remove Clause 1(6) and (7) from the Bill. As currently drafted, should the European Council propose a different date to extend Article 50 from that agreed in Parliament by virtue of approval of the Motion as set out in the Bill, the Bill would require the Prime Minister to return to the House of Commons on 11 April and put the EU’s counterproposal to that House for approval through a further Motion. As the Government set out last week, we have very real concerns about how that would work in practice The Government hope that Amendment 7 will also be successful, which would allow us to reach agreement with the EU on Wednesday, so long as that extension ends no later than 22 May. The Government have been clear, as I said earlier, that we are seeking an extension to 30 June In response to the question posed by the noble and learned Lord, Lord Goldsmith, and the noble Baroness, Lady Ludford, scheduling of any further debates after the European Council on 10 April is a matter for the other place. I am sure it is paying close attention to our debates.
ParlaMint-GB_2019-04-08-lords.u168	I think the Minister said, in relation to the date, “not later than 22 May”. It should be “not earlier than 22 May”. Perhaps he can confirm that. It is obviously a very important difference.
ParlaMint-GB_2019-04-08-lords.u169	Yes, I take the noble and learned Lord’s point. He is right on that. As I said, I am sure that the other place is paying close attention to our debates and will address this when the Bill returns to the House of Commons for further debate this evening.
ParlaMint-GB_2019-04-08-lords.u170	I will say a brief word in line with the comments I made on a matter that I flagged up at Second Reading. The main issue overshadowing today’s debate is the danger of us reaching midnight this Friday with no agreement and of the UK leaving the EU on a no-deal basis, despite the House of Commons having voted overwhelmingly against such an eventuality I tried to table an amendment to address this along the lines of that tabled by Joanna Cherry MP in the other place—proposed new Clause 20—which was successfully tabled and appeared on the Commons Order Paper for 3 April. My new clause was ruled out by the clerks as being outside the scope of the Bill. If Joanna Cherry’s amendment was in order, I fail to understand how mine could be out of order—a view shared by Jo Maugham QC, who helped me draft it The amendment sought to ensure that, if the UK Government failed to pass its meaningful vote or to secure an extension, and we therefore faced a no-deal scenario, the Government would be required to table a Motion indicating that the House of Commons agreed to leave the European Union without a withdrawal agreement—that is, on a no-deal basis—and if that Motion failed to pass, as might be expected, the Government would be compelled to revoke Article 50 in line with the ruling of the European Court of Justice in the Wightman case. The Labour Party at Westminster has failed to indicate that it would support an amendment to revoke Article 50 at this time; Sir Keir Starmer MP said on the Floor of the House that Labour would cross that bridge when it came to it. However, the First Minister of Wales, Mark Drakeford, has indicated that he would support the revocation of Article 50 in the event of no deal.
ParlaMint-GB_2019-04-08-lords.u171	My Lords, I speak as a member of the Delegated Powers and Regulatory Reform Committee. The chairman of the committee, the noble Lord, Lord Blencathra, is unable to be here today because is absent on parliamentary business. No doubt noble Lords have a copy of the 51st report of the Delegated Powers Committee. The argument set out by the committee is brief, concise and telling. I will not attempt to summarise it or indeed to read out the report, because paragraph 5 could hardly be summarised more briefly than it has been set out by the committee The committee acknowledges in paragraph 4: “The principal justification for clause 2 of this Bill is that it might be necessary to legislate at speed next week”— in other words, this week— “to change exit day. The affirmative procedure might cause delays, with the risk that exit day in domestic law might not be aligned with exit day agreed under EU law” The committee goes on to say that on the other hand, there are powerful and telling arguments in favour of the affirmative procedure. It notes that were Clause 2 to be removed from the Bill, we would simply return to, as it were, the default setting Because this will be a matter of business management, the most helpful thing for your Lordships might be to have some indication from the Minister as to whether there is a balance of advantage of using the negative or the affirmative procedure. On that basis, it may be for your Lordships to decide whether Clause 2 remains in the Bill.
ParlaMint-GB_2019-04-08-lords.u172	My Lords, again, I am disadvantaged as being neither a member of the committee or a lawyer. I am surprised that the noble Lord has not drawn the attention of the House to the fact that, as I understand it, the committee report makes it clear that this House would no longer be able to be consulted on those matters. Is that not correct?
ParlaMint-GB_2019-04-08-lords.u173	It is indeed; the noble Lord is correctly quoting from the final bullet point of paragraph 5. I did not want to delay your Lordships further, but that is a helpful, additional piece of information set out in the report.
ParlaMint-GB_2019-04-08-lords.u174	Perhaps the noble Lord would also say a word about the effect of a petition against. The fact that the instrument is passed is not the end of the day, or at least not necessarily so. Could he elaborate a bit on the consequences if someone objects after the event?
ParlaMint-GB_2019-04-08-lords.u175	I should be happy to do so. The Convenor of the Cross Benches, the noble and learned Lord, Lord Hope of Craighead, has helpfully drawn attention to the possible uncertainty that might arise were the negative procedure to be kept in place and were there to be a successful Motion for annulment of the instrument that was made under that provision. I suggest that that is an additional argument for returning to the affirmative procedure.
ParlaMint-GB_2019-04-08-lords.u176	My Lords, this has been a difficult matter to determine, but the priority as I see it remains ensuring that this can be done in time. That is the concern. I do not want to be disagreeable at this point in the debate, but we all know that the Prime Minister knew last December that the deal that she had done would not pass, but we find ourselves at the very last stages having to deal with the possibilities of what happens if she cannot reach an agreement The affirmative procedure gives rise to the concern that the matter will have to return, perhaps on Friday: it depends what time the European Council meeting finishes. We have already destroyed the recess for many people, and that would destroy the weekend as well. Although we on these Benches are normally strongly in favour of affirmative resolutions, on this occasion we see the force of what is in the Bill.
ParlaMint-GB_2019-04-08-lords.u177	What confuses me is that the noble and learned Lord appears to be answering on the Bill, which is a private Member’s Bill sponsored by the noble Lord, Lord Robertson. He appears to be answering for the Opposition, so is this an opposition Bill or a private Member’s Bill?
ParlaMint-GB_2019-04-08-lords.u178	The noble Lord should know that on any amendment or Bill in this House, the Government and the official Opposition will have a view, and we seek to help noble Lords by providing that view. That is exactly what is happening here.
ParlaMint-GB_2019-04-08-lords.u179	I am not responsible for the Bill, but I offer a further argument in favour of retaining Clause 2. The practical reality is that, on Wednesday night, the Prime Minister will be offered a deal by the European Council. She will either accept it or not. The overwhelming probability is that she will come to some agreement with the European Council If the matter comes back on an affirmative resolution before the House of Commons and this House on Thursday or Friday, there will be only two choices: either we accept the date that has been agreed or we leave on Friday at 11 pm. The House of Commons has overwhelmingly voted that it does not wish to leave with no deal, and the view of this House is perfectly clear that it does not want to leave with no deal. Therefore, it seems to me that, in the extraordinary circumstances we now find ourselves, Clause 2 is entirely acceptable.
ParlaMint-GB_2019-04-08-lords.u180	My Lords, uncharacteristically, I think the noble Lord, Lord Pannick, made a slight slip when he said that the Prime Minister would come back with a deal. She will not be coming back with a deal; she will be coming back with a date. The committee report states: “The date of the UK’s exit from the EU remains a matter of the greatest political and legal significance. It is right that the matter be debated in Parliament before the current date of 12 April is changed in our domestic law” When the Government changed the date from 29 March to 12 April, they did so by statutory instrument placed before both Houses, and we were able to discuss and debate that matter. What is proposed, as the 51st report of the committee makes clear, is to remove that right from both Houses to approve a change I must say that in introducing the debate the noble Lord, Lord Lisvane, was very brief in his description. The outside world may not realise what is proposed here, which is entirely to cut the House of Lords out of approving the date, which the report rightly says is of the greatest political significance. Judging from the amount of grief I had at the weekend from people who are very disillusioned by the performance of Parliament on this matter, it is something that concerns many millions of our fellow citizens. I am therefore very surprised that this should be treated as just a matter of convenience The Delegated Powers and Regulatory Reform Committee, which is held in the highest regard and afforded the highest respect, made clear recommendations. The point made by the noble and learned Lord, Lord Hope, is important: if this is to be done through a negative resolution, we will be invited after the event to consider whether we agreed with it, thus creating uncertainty. Again, we had the same discussion on Thursday. This is not about what the House thinks on whether we should leave the European Union; it is about whether our procedures and processes should be respected. The idea that it might be inconvenient or difficult to meet the timetable, and that we should therefore ignore our processes, is not good.
ParlaMint-GB_2019-04-08-lords.u181	Normally, my noble friend and I disagree on these matters but I am rather inclined to agree with him on this one.
ParlaMint-GB_2019-04-08-lords.u182	Hooray.
ParlaMint-GB_2019-04-08-lords.u183	In the penultimate bullet point, it is clear that if the negative procedure is adopted and a Motion against the date is successful, the exit date will be invalidated and we will have to start again.
ParlaMint-GB_2019-04-08-lords.u184	I am grateful for my noble friend’s intervention. I am most obliged to him as a lawyer for backing up my case—and doing so for free. We should treat the amendment very seriously. I look forward to hearing what my noble friend the Minister has to say. We have not heard a squeak from the noble Lord, Lord Robertson, who is apparently the midwife responsible for the Bill.
ParlaMint-GB_2019-04-08-lords.u185	My Lords, our position is similar to that of the Opposition, as outlined by the noble and learned Lord, Lord Goldsmith. We on these Benches would of course normally want to uphold the affirmative procedure; after all, we fought hard for it in the EU withdrawal Act. However, we are in exceptional times and it would be absurd for us to get to the end of the week with procedure having got in the way of good legal order.
ParlaMint-GB_2019-04-08-lords.u186	At Second Reading, the noble Baroness was inclined to agree with the removal of Clause 2. Indeed, she said so on the basis that the process could be done “expeditiously”, as was done when the date was changed from 29 March to 12 April. Has she changed her mind?
ParlaMint-GB_2019-04-08-lords.u187	I was reflecting the position and view of my colleagues in the other place. As I said, in principle, we prefer the affirmative procedure. However, I would also prefer to avoid the catastrophe of no deal. Therefore, it would be ridiculous for us to get to the end of week and be prevented from amending exit day by the inhibitions of procedure. I take the point that negative procedure can be prayed against but that risk is relatively minimal It is true that Clause 2 is headed, “Procedure for ensuring domestic legislation matches Article 50 extension”. If the Article 50 extension has been agreed to, it is in EU law. I remember the Government being slightly coy two weeks ago in acknowledging that EU law trumps domestic law. Our amending exit day to accord with the date of an extension is an essential tidying-up exercise in domestic law; otherwise, discordance between the two dates leads to uncertainty. It is essential that exit day accords with the Article 50 extension.
ParlaMint-GB_2019-04-08-lords.u188	The noble Baroness was rather dismissive a moment ago about the inhibitions of procedure. Is this whole Bill not designed to put such inhibitions in place? That is what we are discussing. That is what it is all about.
ParlaMint-GB_2019-04-08-lords.u189	I have talked about the specific context. If we get to the end of this week, it would be absurd for us to be prevented from preventing no deal because of the need for an affirmative resolution. That is a very specific scenario which justifies the negative procedure in this case.
ParlaMint-GB_2019-04-08-lords.u190	My Lords, a few days ago, the noble Baroness, Lady Hayter, while hurrying us along, said that she was prepared to sit right through the night and that breakfast would be provided. Our Easter Recess has been removed for the time being. I and, I am sure, all noble Lords are quite prepared to sit on Thursday, Friday, Saturday or whatever it takes.
ParlaMint-GB_2019-04-08-lords.u191	I am not.
ParlaMint-GB_2019-04-08-lords.u192	It does not matter if some of us are not prepared to do so; some of us are Although I am not good at procedure, I hesitate to reject the report of the committee which contains Members who are luminaries in procedure and law. I cite my noble friend Lord Lisvane, the noble Lord, Lord Thomas of Gresford, and others. They must have met over the weekend and they have turned out this report. We cannot just dismiss it. What is our discomfort or the lack of a day or two’s break compared with the terrific constitutional and future issues at stake?
ParlaMint-GB_2019-04-08-lords.u193	My Lords, I should like to add one point to what the noble Baroness has just said. Clause 2 is not concerned with the end of this week. The way it is worded, it will apply whenever the issue arises, and that is a matter of considerable concern. We might be moving forward to May. There will be ample time with ample warning, and yet the thing goes through under the negative procedure and is subject to the risk to which our attention has been drawn—of someone objecting, and in due course the date that was in the negative instrument would be declared invalid. That is a big risk to take and we should not be distracted from the fact that the end of this week has certain tensions about it because we are changing the law for all time. That is a very serious step to take.
ParlaMint-GB_2019-04-08-lords.u194	My Lords, I hope that this is an unnecessary fear, but it ought to be clarified. My worry, which I am sorry to say has been intensified by what happened on Thursday, is that if an affirmative resolution is needed on Friday or Saturday, is there a risk that it could be filibustered and therefore not passed? We would then crash out because of that obstruction to the business of the House. As I say, that worries me very much, so for that reason I support the inclusion of Clause 2.
ParlaMint-GB_2019-04-08-lords.u195	My Lords, I know nothing of these matters but perhaps the noble Lord could explain how you can filibuster a statutory instrument?
ParlaMint-GB_2019-04-08-lords.u196	I imagine that you can filibuster it by continuously talking and thus prolonging the debate until past midnight on 12 April. That is what I fear.
ParlaMint-GB_2019-04-08-lords.u197	As the noble Lord will have discovered, we have a procedure which last Thursday was used on five occasions in order to bring the matter to a close.
ParlaMint-GB_2019-04-08-lords.u198	My Lords, it is worth reminding the Committee that the first steps to dictatorship have, through the centuries, consistently been related to abandoning procedures and precedents which are put in place in order to ensure that legislation is properly considered. I am not saying that we are going as far as the Enabling Act, but this is a very dangerous path.
ParlaMint-GB_2019-04-08-lords.u199	My Lords, this discussion has unearthed some serious issues. I hope therefore that there will be an opportunity to vote on this matter so that people’s votes can be recorded.
ParlaMint-GB_2019-04-08-lords.u200	Let me reassure my noble friend Lord Forsyth that I am not responsible for this Bill either, although I have to say that I am quite enjoying watching the Opposition perform procedural somersaults and disavow everything that has been said previously on matters such as respecting the House of Commons, affirmative resolutions and everything else. Nevertheless, we return to the subject It is the position of the Government that Clause 2 should remain part of the Bill. I appreciate the concerns expressed on this issue and the sentiments behind them, and of course I recall vividly the lengthy debate we had on parliamentary scrutiny of the use of delegated powers more generally during the passage of the EU withdrawal Bill. I seem to recall the Liberals arguing for precisely the opposite position at that stage, but consistency has never been their strong point. As noble Lords are aware, the Government do not support the Bill or the conditions it is attempting to impose on government. However, as I said earlier, given the support commanded in the other place, the Government have decided that they must intervene to improve and limit its most damaging effects The Bill creates a new parliamentary process that the Government must adhere to in order to agree an extension of Article 50 with the European Union, if the European Council proposes an end date to the extension different to that proposed by the House of Commons. Given that the European Council is on Wednesday 10 April and exit day is just two days later, there is a real risk that we will be timed out of agreeing an extension and therefore accidentally leave the EU without a deal. It would be extremely ironic, and it is clear the supporters of this Bill are opposed to that outcome Noble Lords will be well aware—indeed, I answered questions on this topic earlier today—that agreeing an extension is not a decision the UK can take alone. It must be agreed unanimously with all other 27 EU member states. Following this, we must also amend the date of exit in domestic law to ensure that the statute book accurately reflects what is set out in international law Under the draft affirmative procedure, both Houses are required to debate and approve the statutory instrument, which significantly increases the risk of this not being in force in time for 11 pm on 12 April. At that point all other EU exit SIs will come into force, regardless of the agreed extension date, causing considerable uncertainty and confusion for many. It is for that reason that the Government tabled this amendment—now Clause 2 of the Bill—in the other place, changing the procedure applying to the power in the 2018 Act from the draft affirmative to the negative procedure, and it is for this reason that the elected Chamber supported that approach. Nobody wants to take that risk Furthermore, not only has Parliament repeatedly argued in favour of an extension to Article 50 and against leaving the EU without a deal, both Houses have already debated and approved one SI to defer exit day. There is clearly widespread approval to use this power in such a way. As I am sure noble Lords are all aware, while the power has a significant effect—ensuring a functioning statute book—its scope is limited to changing exit day to the date already agreed in international law by the Prime Minister, and the SI cannot be made until that point. It is for this reason that the Government tabled the new clause and that the elected Chamber voted with a large majority to support this. I hope this House will support the same sentiment and allow this clause to stand part of the Bill.
ParlaMint-GB_2019-04-08-lords.u201	In among what is obviously an increasing shambles, can the Minister confirm that we leave the European Union this Friday by an existing Act of Parliament, and that the Government have conceded that—although this is not their chosen course of action—it could be quite successfully managed?
ParlaMint-GB_2019-04-08-lords.u202	I answered a question from the noble Lord earlier today on that, and I am not sure there is much benefit in going back over those subjects. We are extensively prepared for no deal because that is the legal default, but we are now supporting this legislation—however flawed—that has been sent to us by the House of Commons.
ParlaMint-GB_2019-04-08-lords.u203	My Lords, I shall not detain the House long. My amendment would ensure that this legislation ceases to have effect on exit day. It could be said that the amendment is there just for the avoidance of doubt because, clearly, there is nothing to be done with this Bill after exit day. However, I wanted to table the amendment because this is, by almost common consent, a pretty terrible Bill. One of the best things that has been said about it today is that it is a bit of a mess. During the brief passage through your Lordships’ House, it has been improved, which is what customarily happens when this House considers ill-thought-out Bills from the other place As I said at Second Reading, I have accepted that the will of the other place will prevail in the case of this Bill. Therefore, the powers that it creates to restrict the royal prerogative in this important area of international relations will come into force to the extent now drafted. I regret that, but I hope that we will return to the normal practice of leaving the royal prerogative for international relations and negotiations with the Government on an unfettered basis. I have tabled this amendment to make the point more forcefully that this should not be a permanent part of our statute book; we should write it out as soon as the purpose of those who have sought to make it the law of the land for this week comes to an end. I beg to move.
ParlaMint-GB_2019-04-08-lords.u204	My Lords, I support my noble friend Lady Noakes on this amendment. As she explained so clearly on Thursday and in her speech today, the curtailment of prerogative powers envisaged in this Bill is significant. I agree with her that the powers available to the Government to negotiate international treaties are important and should not be curtailed My noble friend Lord Norton of Louth, who is acknowledged across your Lordships’ House as the most knowledgeable constitutional expert, explained that the changes sought by the Bill, and the practices by which it was passed in another place, are not small but highly significant. I consider it unfortunate that your Lordships’ House is likely to pass this Bill, but at least it would be better if its destructive elements could be made temporary. Surely even noble Lords who support the Bill would agree that, against the background of the views of the noble Lord, Lord Norton, on the matter, the restrictions on prerogative powers should be temporary. It would be unfortunate for the House to agree to a precedent created by such a rushed and controversial piece of legislation.
ParlaMint-GB_2019-04-08-lords.u205	My Lords, this amendment is not needed to ensure that the provisions in the Bill are temporary. They are temporary in any event because the Bill is concerned with only the period for negotiations for withdrawing. Once we withdraw, the Bill has no effect whatever.
ParlaMint-GB_2019-04-08-lords.u206	My Lords, if that is the case, there is no reason at all why we should not accept this amendment. The Prime Minister sent her letter asking for an extension on Friday, so I have spent most of the weekend trying to work out what the point of this Bill was in the first place. Given that we have amended it in respect of the prerogative powers, it is just a very bad piece of legislation. My noble friend Lady Noakes is offering the House the opportunity to get rid of a very embarrassing relative. The Bill and its genesis are not something of which this House or the other place can be particularly proud. It is a very bad Bill, conceived for all the wrong reasons. It has ridden roughshod over our procedures. Having a sunset clause, which is what this amendment offers, would be a very good thing indeed. I very much support my noble friend.
ParlaMint-GB_2019-04-08-lords.u207	My Lords, I have been thinking hard over the past few weeks about the meaning of parliamentary sovereignty, which was one of the things that the leave campaign strongly campaigned to restore. Last week, I was struck to hear Mr Jacob Rees-Mogg in the other place defend the relationship between the Government and Parliament at the time of Henry VIII as the most appropriate relationship between monarch and Parliament. Oliver Letwin replied that we had fought a civil war a century later to establish a proper relationship between the Executive and the legislature Much of what we are doing in this Bill is not entirely ideal. We need not have had this Bill if the Government had been more united, if negotiations had been expedited and if Parliament had been more actively engaged at an earlier stage. We are now up against a tight deadline and we have to take some emergency measures. That is where we are and we need to recognise that.
ParlaMint-GB_2019-04-08-lords.u208	I wonder if the noble Lord might add this to the conditions in which this Bill would have been unnecessary: if Parliament had been prepared to respect the result of the referendum.
ParlaMint-GB_2019-04-08-lords.u209	My Lords, I understand the misgivings that many in this House have about this Bill, but I have to say to the noble Baroness that her amendment would not stop the Bill becoming an Act. It is going to become an Act, and that is the mischief, so she cannot stop through her amendment the mischief that she wishes to stop. As the noble Lord, Lord Pannick, said, the Bill ceases to have an effect, so she need not worry about that either There is another reason why we should not pass this amendment: with the amendments we have passed so far, supported by the Government, they will be supported in the House of Commons, and so we will not have ping-pong. If we were to pass the noble Baroness’s amendment and the Government resisted it in the House of Commons, the Bill would have to come back here and there would be further delay. Therefore, I urge her not to press her amendment, because it is unnecessary and it will cause unnecessary prolongation of the procedures.
ParlaMint-GB_2019-04-08-lords.u210	Before the noble Lord sits down, why does he think the Government would resist this?
ParlaMint-GB_2019-04-08-lords.u211	My Lords, the noble Lord, Lord Pannick, is right, though I understand where the noble Baroness, Lady Noakes, is coming from. The point has been made about the Bill itself, but this does not take the Bill away—it will have served its purpose, or not, and therefore we could not support this amendment. I imagine the Government would not either, but I wait to hear.
ParlaMint-GB_2019-04-08-lords.u212	My Lords, I will break my Trappist silence.
ParlaMint-GB_2019-04-08-lords.u213	Oh!
ParlaMint-GB_2019-04-08-lords.u214	Momentarily, of course, because that silence has been purely motivated by my loyalty to the Government Chief Whip and his assurance last Thursday about the speed with which this legislation would be put through. Like the noble Lord, Lord Forsyth, I am not a lawyer, I am simply—like him—a politician. I heard one of the Bishops this morning on “Thought for the Day” quoting somebody as saying that politics is the art of the possible, and indeed it is. It is the possibility that we leave on Friday of this week—my birthday, as it happens—crashing out without any withdrawal agreement, which should frighten us all. Anybody who is in any doubt about that might read the speech of the noble Lord, Lord Stern, at Second Reading last week—a chilling and brief speech about the consensus view of economists A lot of lawyers have spoken in this debate and, indeed, last week as well. The House has a range of opinions from which it can choose, as is usually the case when you commission lawyers. In my case, I choose the view of the noble Lord, Lord Pannick. I simply point to the fact that I have said not a word during these proceedings on the Bill, but people will notice that the size of the majority in the last Division probably achieved record proportions. Maybe some other people should take a lesson from silence.
ParlaMint-GB_2019-04-08-lords.u215	My Lords, it does not surprise me that I have been supported by some of my noble friends and opposed by people on other Benches. I say to the noble Lord, Lord Robertson, that the Bill does not stop us leaving this Friday. If the EU decides not to agree an extension, we will leave on Friday. I am not frightened about that. I believe that the Government have made many significant preparations towards it, as have many on the continent. A lot of scaremongering has been going on. But that is not the point of my amendment, which was to draw attention to the fact that this unfortunate piece of legislation has been brought before this House and the way in which it has been processed in both Houses. I will not delay the Bill further by seeking to call another Division, much though I am sorely tempted to do so. I beg leave to withdraw.
ParlaMint-GB_2019-04-08-lords.u216	My Lords, I am advised that the Public Bill Office will now be accepting amendments for Report. Noble Lords will now have an hour in which to table any further amendments. Further timings for this period of tabling will be confirmed by the annunciator. We will now adjourn during pleasure until 6.22 pm—60 minutes from now—and then repeat the Statement on online harms before returning to the Bill for its Report stage.
ParlaMint-GB_2019-04-08-lords.u217	Given the urgency of this matter, would it not be more appropriate to proceed with the Statement in perhaps 30 minutes so that we can proceed with the Bill in one hour’s time?
ParlaMint-GB_2019-04-08-lords.u218	This is on the threshold, and the clerk was watching the screen to see whether the Statement had started. I thank the noble Lord, because he has intervened at the appropriate time and now there is only 60 minutes to go, so I suggest we adjourn for tabling amendments and resume here at 6.23 pm.
ParlaMint-GB_2019-04-08-lords.u219	Oh!
ParlaMint-GB_2019-04-08-lords.u220	I have been told that the adjournment should be 90 minutes from now.
ParlaMint-GB_2019-04-08-lords.u221	Oh!
ParlaMint-GB_2019-04-08-lords.u222	The Statement has now started in the Commons. That is the point I was trying to make. The Table Office is open for amendments and we will adjourn during pleasure after the Statement has concluded until 90 minutes from now, which is 6.54 pm.
ParlaMint-GB_2019-04-08-lords.u223	Can I suggest to the noble Lord that it might be better to resume in one hour? If the Statement has not finished and we cannot start it, let us proceed with the Report stage of this Bill—given its urgency and given that the House of Commons will be waiting for it, as indeed will Her Majesty.
ParlaMint-GB_2019-04-08-lords.u224	My Lords, I understand that we are able to start the Statement now. I suggest we take it now and, during it, the usual channels confer on a sensible time to restart.
