ParlaMint-GB_2019-05-22-commons.u1	1. What recent assessment she has made of the security situation in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u206	There have been a number of analyses of the impact of leaving without a deal. I think there would be an immediate impact economically of leaving without a deal. Over time, of course, we could restore our fortunes, but I think it is much better to be in a position where we are leaving with a deal, which will unleash, I believe, significant business investment in this country and see that positive future for our economy that is possible by leaving with a deal.
ParlaMint-GB_2019-05-22-commons.u207	I have been listening to the Prime Minister respond to several questions about the consequences of no deal. Given what is likely to happen in the European Parliament elections tomorrow and in the Conservative party leadership election to follow, on which she has fired the starting gun, does she regret legitimising and normalising a no-deal outcome in the minds of the public through the repetition of the mantra, “No deal is better than a bad deal”?
ParlaMint-GB_2019-05-22-commons.u208	No, I don’t. No Government could have said they would accept whatever they were offered, rather than be willing to see no deal. If it had been a bad deal, I stand by what I said in relation to that matter. I also say to the right hon. Gentleman that anybody sitting in this Chamber who believes that we should not have a no-deal situation has to support a deal. That is the only way of making sure we do not leave with no deal. The vehicle for doing that, for determining the details of that leaving, is the withdrawal agreement Bill.
ParlaMint-GB_2019-05-22-commons.u209	Unlike in 1831, the 1832 Reform Bill got through, because some of those who opposed the Government did not vote against it and that led to progress As a national interest Conservative, I have by choice voted with the Government on every single vote, because I think it is right. I hope that others who think that no deal is bad and that trying to reverse the referendum is bad do so The majority in this party, this House and the country would prefer to see the withdrawal agreement Bill at least get through Second Reading, so we can make progress and have a chance of a better future for our country.
ParlaMint-GB_2019-05-22-commons.u210	Absolutely right. If we get through Second Reading we can determine the details, through the progress of the Bill, of the precise nature of our leaving. That will enable us to see progress for this country. To pick up on what my hon. Friend said, I believe it is absolutely in the national interest that we should leave the European Union as the referendum vote set out, but that we should do it with a good deal for this country. That is what is on offer.
ParlaMint-GB_2019-05-22-commons.u211	My right hon. Friend the Member for Islington North (Jeremy Corbyn) asked the Prime Minister if she was intending to offer a free vote on the second referendum. I would like to ask her the same question about the customs arrangements, which she knows are extremely important for manufacturing industry. Would it be her plan to offer a free vote on those customs arrangements?
ParlaMint-GB_2019-05-22-commons.u212	As in the normal progress of these things, whipping decisions will be taken when we see the proposals on the table. I reiterate the point I made in response to the right hon. Gentleman. The key issues raised around manufacturing industry are, yes, the benefits of a customs union—they are in the political declaration already—and ensuring we reduce friction for trade at the border. That is not just about customs, but the benefits of the customs union are in the political declaration already.
ParlaMint-GB_2019-05-22-commons.u213	Ah yes, a Lincolnshire grandee: Sir Edward Leigh.
ParlaMint-GB_2019-05-22-commons.u214	Not so grand, Mr Speaker, but just a question. The Prime Minister knows of my warm, personal support for her. I voted for her deal not once, not twice but three times. I have to say, as somebody who wishes her well and wishes the agreement well, that I am worried about the tactics. I thought we had agreed with the EU that we were going to have binding indicative votes, which would enable people such as me to express our opposition to a permanent customs union or a referendum and vote for the withdrawal agreement. Now when it is not necessary, because Parliament could do it anyway, I have been asked to vote for a Bill that has, on the face of it, a nod towards a second referendum, which I believe would be disastrous to the Union and to the vast majority of people who voted for Brexit I ask the Prime Minister to be very cautious, to listen to our party, to remember that the one vote we won was on the Brady amendment, and, if we cannot get this through, that, given the incalculable disaster of losing the Bill and not being able to bring it back again in this Session, she will, if necessary, think again and not bring it back?
ParlaMint-GB_2019-05-22-commons.u215	My right hon. Friend refers to the indicative votes. I propose that during the passage of the Bill it will be possible to address these issues and to come to binding decisions on them—particularly the one he references on customs. The fact is that regardless of what indicative votes had been taken and what decisions had been put in the Bill from those indicative votes, had that been the way we progressed, those matters would have been within the scope of the Bill—it would still have been possible for Members to put down other amendments to that position and to vote differently from the way in which they had voted in the indicative votes. That is why it is better to bring these matters to the point of decision, which will be the point within the Bill where Members are deciding not just to indicate a position but what position comes into legislation.
ParlaMint-GB_2019-05-22-commons.u216	Is the Prime Minister aware that I sincerely want to help her get a good deal through this House—but could she help me? My good, common-sense folk in Huddersfield, who are very clever people, are saying to me that, after three years and now that we know the full consequences of leaving the EU, why can they not have a chance to say what they think of the deal once it comes out of this House?
ParlaMint-GB_2019-05-22-commons.u217	I have responded to similar points from the hon. Gentleman’s honourable and right honourable colleagues this afternoon. He wants to put a decision back to the people—we have to have a deal to do that, as I think he indicated at the end of his question—which means getting a withdrawal agreement Bill through, and it will be possible for the House to determine its position on this matter within that Bill. As he will know, the House has rejected a second referendum on a number of occasions, but at the point at which it takes that decision within the Bill it will be making that decision in a different environment. As I say, my position continues to be that we should deliver on the first referendum.
ParlaMint-GB_2019-05-22-commons.u218	A choice between such distinguished colleagues—I call Mr Jacob Rees-Mogg.
ParlaMint-GB_2019-05-22-commons.u219	My right hon. Friend must have noticed the response in this House and overnight to her statement. In proposing this folderol, is she going through the motions or does she really believe in it?
ParlaMint-GB_2019-05-22-commons.u220	I do not think I would have been standing here at the Dispatch Box and have been in receipt of some of the comments that I have been in receipt of, from colleagues on my side and across the House, if I did not believe in what I was doing. I am doing it because I genuinely believe that it is in the national interest for us to leave the European Union with a deal. The only way to get a deal through is to get a withdrawal agreement Bill through this House. There are issues that this House disagrees on. I believe that those issues should be put to the House and it will determine them. At that point, the House and all Members of it will have to come to some decisions At the moment, it has been possible through indicative votes to give indications, but they have not been decisions that will be put into legislation. When the time comes to look at this matter, these will be decisions about what should go ahead in the Government’s position and what should be in legislation. People will not be able to duck the issues. It will be necessary to come to an agreement. [Interruption.]
ParlaMint-GB_2019-05-22-commons.u221	The hon. Member for Huddersfield (Mr Sheerman) does not need to chunter from a sedentary position. He is a very illustrious representative of Huddersfield, but the hon. Member for North East Somerset (Mr Rees-Mogg) has just used a noun that, I hazard a guess, has probably not been used on any other occasion in this Parliament, or if it has, only by the hon. Gentleman.
ParlaMint-GB_2019-05-22-commons.u222	It is because he’s got a Lib Dem council now. [Laughter.]
ParlaMint-GB_2019-05-22-commons.u223	I am very grateful to the right hon. Gentleman.
ParlaMint-GB_2019-05-22-commons.u224	What I welcomed most about the statement yesterday was its change in tone, which was markedly different from the ones that had gone before. I express my gratitude to the Prime Minister for the amount of time that she has personally spent with Members from across the House—including me—with whom she has disagreed but engaged in recent weeks. It is clear, though, that the contents of the statement yesterday have widened, not healed, divisions going forward. In the two weeks before the Bill comes before Parliament and this House, I urge her to carry on that engagement with an open mind and to enter into discussions at least about what can be changed on the face of the Bill going into Committee, in which case we will all have something to talk about. Otherwise, it is not even worth putting it forward in the first place.
ParlaMint-GB_2019-05-22-commons.u225	Obviously, I am happy to continue engaging across the House, as I have been, and I thank the hon. Gentleman for his comments. I also suggest that, as his right hon. Friend the Member for Don Valley (Caroline Flint) said, it will be helpful to all Members of the House to wait and see, when the Bill is published, what its actual terms are. He is encouraging me to put a position on the face of the Bill with which I do not agree, but it is right that what we do in the Bill is enable this House to come to a decision.
ParlaMint-GB_2019-05-22-commons.u226	A Hampshire knight who represents a beautiful forest—I call Sir Desmond Swayne.
ParlaMint-GB_2019-05-22-commons.u227	Out by the end of July, she says! A Brexiteer of whatever flavour could grant the Bill a Second Reading, saving their reservations for Committee, and make their final judgment on Third Reading, could they not? And what is a folderol?
ParlaMint-GB_2019-05-22-commons.u228	There are different definitions. A showy and useless item, allegedly, or an unnecessary or inconsequential fuss, or something—but that is only the view of the matter from the hon. Member for North East Somerset (Mr Rees-Mogg). I am not expressing any view on that matter; I was just intrigued by the endless lexicon of the hon. Gentleman.
ParlaMint-GB_2019-05-22-commons.u229	I have to say, I think that when my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) used that word, he was not intending it to be complimentary about the package that the Government have brought forward. My right hon. Friend the Member for New Forest West (Sir Desmond Swayne) is absolutely right: for the Bill to get through, for the treaty to be ratified and for us to be able to leave at the end of July, it is about not only getting Second Reading through but ensuring that the Bill is confirmed on Third Reading. By getting through Second Reading, it is possible to have those debates during the progress of the Bill on the key issues that remain and on which there remains disagreement between Members of this House, such that it will be possible—I believe—to come to an agreement that can see us leave the European Union.
ParlaMint-GB_2019-05-22-commons.u230	The Prime Minister has made it clear that she does not intend to put a commitment to a second referendum on the face of the Bill on Second Reading. In the spirit of compromise, therefore, will she commit to giving her MPs a free vote in Committee when we debate and vote on that measure?
ParlaMint-GB_2019-05-22-commons.u231	As I have said, what we intend to put in the Bill is the commitment to have a vote on whether to have a second referendum and that the Bill cannot be completed and the treaty ratified until that vote has taken place. I hope that that gives confirmation to Members of the House who are in favour of a second referendum that that issue will be addressed properly within the passage of the Bill. As I said, whipping decisions will be taken closer to the time. I note the keenness of some Opposition Members to determine what the whipping arrangements for those on the Government Benches should be, but with no reference to their own whipping arrangements.
ParlaMint-GB_2019-05-22-commons.u232	The Prime Minister asks what it would say about democracy if we put this back to the public. The Leader of the Opposition has said from the Dispatch Box that if the Prime Minister likes her deal so much—this is roughly what he said—she should not be afraid of putting it back to the people, and I agree with him. She is putting it back to us time after time after time when we have already rejected it time after time after time. Why does she not trust the people? Why will she not go back to them and ask them what she thinks of her deal?
ParlaMint-GB_2019-05-22-commons.u233	I do trust the people. That is why I believe that it is our duty to put in place what the people asked us to do.
ParlaMint-GB_2019-05-22-commons.u234	After weeks of negotiations between a pro-Brexit Prime Minister and a pro-Brexit Labour leadership, it is clear that we have not been able to get an agreement on the terms of this process. It is also clear that no Parliament can bind its successor and no lame-duck Prime Minister can bind her successor. Is it not clear that this Parliament is unable to resolve these matters and that we should go back to the people in a people’s vote, or, if we are unable to do that, revoke article 50 and have more time to find a way forward?
ParlaMint-GB_2019-05-22-commons.u235	It is clear from the Court judgment that we cannot just revoke article 50 to create more time to consider a deal and then re-trigger it and go back into a negotiating process. Once we revoke, we revoke, and we stay in. I believe we should not stay in. We should leave.
ParlaMint-GB_2019-05-22-commons.u236	In her statement, the Prime Minister said that “to address concerns that a future Government could roll back hard-won protections for employees, we will publish a new workers’ rights Bill” It was this Government who rolled back those protections in the anti-trade union Bill. If she is serious about workers’ rights, will she reinstate those lost protections in this new Bill?
ParlaMint-GB_2019-05-22-commons.u237	The Government have enhanced workers’ rights and are putting in place the recommendations from the Taylor review. Ours is the first Government to consider seriously what workers’ rights are suitable for the economy of today. We have enhanced workers’ right and will continue to do so.
ParlaMint-GB_2019-05-22-commons.u238	I will support the Bill when it comes to the Floor of the House for the simple reason that it is the only deal on the table that will protect under international law the rights of British citizens living in the EU as well as those of EU nationals living here. I am grateful for the comments the Prime Minister made last September following Salzburg about unilaterally protecting certain rights of EU nationals. I regret that there was no mention of British citizens in her statement. What message does she have for British citizens living in the EU?
ParlaMint-GB_2019-05-22-commons.u239	My message has been consistent. It is that we have been working for their interests as well as those of EU citizens living in the UK. That is why I was pleased that we achieved the reciprocity in the withdrawal agreement—it is an important part of the withdrawal agreement and therefore of the withdrawal agreement Bill. We continue to work with the other 27 member states to ensure they can confirm that in a no-deal situation—as I say, that remains the legal default—they would also protect the rights of British citizens living in those 27 member states.
ParlaMint-GB_2019-05-22-commons.u240	This is the Prime Minister’s deal. Others in the House want to leave on WTO rules, some want Norway plus, some common market 2.0, others Canada plus—the list goes on and on. Which option does she think the people voted for in 2016, and how can the Government know that their definition of Brexit is the option people voted for without asking them?
ParlaMint-GB_2019-05-22-commons.u241	The hon. Gentleman references the different opinions in the House. That is precisely why I think it is important that we crystallise those opinions to a position that can command a majority across the House. People voted in 2016 to leave the EU, to end free movement, to ensure our courts were supreme, and to ensure we did not send vast annual sums to the EU. They wanted us to be that independent nation. I believe that an independent trade policy is part of that independence, which is why I have proposed and supported the position I have on customs, but it will be for the House to determine the customs union objectives—we are talking about the objectives—for future negotiations.
ParlaMint-GB_2019-05-22-commons.u242	With the inevitable end nigh for the Prime Minister and our still being in the EU under an extension to an extension, and with burning injustices still unextinguished everywhere, will the Prime Minister tell us, under her premiership, factoring in the two new Ministries she has created, the civil servants from all over redeployed to this exercise and her costly and sometimes incompetent no-deal planning experiments—she now tells us no deal would be a bad thing—how much Brexit has cost the public purse?
ParlaMint-GB_2019-05-22-commons.u243	The hon. Lady knows full well that the Treasury’s figures for the two Departments preparing for Brexit, in whatever form it takes, have been made public. She alludes to other work the Government have undertaken. I am very pleased that this Government introduced, for example, the race disparity audit and that we are taking action to ensure that those in certain communities who find it harder to get into the workplace are given the support they need, and introducing changes to domestic abuse legislation. There are many areas where this Government are acting to deal with exactly the injustices I have referred to previously.
ParlaMint-GB_2019-05-22-commons.u244	The Prime Minister knows that her promises are only valid for as long as she is Prime Minister—that is probably now measured in hours rather than days—because her successor can tear them up. Even if the House were to vote for what has come to be known as “May’s Brexit mayhem”, we could end up with “Boris’s Brexit boorach”. Is it any surprise that the people of Scotland are not prepared to accept that and that tomorrow they will once again declare our determination that our nation remain in the EU? If her nation insists on leaving, it had better reconcile itself to leaving without us.
ParlaMint-GB_2019-05-22-commons.u245	For those in Scotland who want us to leave the EU with a deal that is good for the whole United Kingdom, including Scotland, there is only one party to vote for, and that is the Conservatives, and for those in Scotland who want Scotland to remain part of what is, economically and in other ways, its most important union—the United Kingdom—there is only one party to vote for, and that is the Conservatives.
ParlaMint-GB_2019-05-22-commons.u246	The Prime Minister states that those of us seeking a public vote should support her withdrawal agreement and make our case to Parliament on Second Reading, but we have already and repeatedly made our case in the Chamber for a public confirmatory vote. If the Prime Minister wishes to be bold with her new offer, she must allow the public a voice on her deal, which would be democratic. Does she agree?
ParlaMint-GB_2019-05-22-commons.u247	I think I answered that question earlier. I refer the hon. Lady to that answer.
ParlaMint-GB_2019-05-22-commons.u248	At the latest count, eight Ministers or Members of Parliament who sit beside or around the Prime Minister are jostling for her job. Most, if not all, appear to be enthusiastic endorsers of a kamikaze no deal. Given what she knows about no deal, can she understand why any of those candidates would want to advocate one?
ParlaMint-GB_2019-05-22-commons.u249	The right hon. Gentleman can leave the issue of the determination of the leadership of the Conservative party to the Conservative party. The House has to decide whether it wants to leave the EU with or without a deal. The withdrawal agreement Bill is the vehicle that enables us to ensure we leave with a deal.
ParlaMint-GB_2019-05-22-commons.u250	The Prime Minister has been very clear that she believes that her deal is what the public want, but she is also very clear that she is not supporting a second referendum or confirmatory vote. Does she see the inconsistency in that argument? What is she scared of?
ParlaMint-GB_2019-05-22-commons.u251	It is very simple. As I say, if we get through Second Reading of the withdrawal agreement Bill, it will be possible for people who want a second referendum to put that case to the House and for the House to come to a decision on that matter. I have made changes to the offer I have put forward. I set those out today in my statement to the House. They reflect the discussions we have had across the House and address concerns raised by Members.
ParlaMint-GB_2019-05-22-commons.u252	In her statement, the Prime Minister talked a lot about compromise. I agree that compromise is required. Since the referendum result in 2016, the Scottish Government have sought to compromise. Can she name one single part of the document “Scotland’s Place in Europe” that she agreed to compromise on?
ParlaMint-GB_2019-05-22-commons.u253	We have had discussions with both the Scottish and Welsh Government about their concerns, particularly around trade across the EU, and our proposals reflect those concerns, together with our discussions with business across the whole UK. As I understand it, the position of the Scottish nationalists now is that they want to revoke article 50. That is not a compromise. It is a position that goes back on the result of the referendum.
ParlaMint-GB_2019-05-22-commons.u254	MPs from around the House have suggested that the Prime Minister’s deal is not sustainable because she has announced her resignation and that it is not future-proofed. Does she agree that neither her deal nor any other deal can be future-proofed or sustainable unless entrenched by a public confirmatory vote? On that basis, if she wants to heal the wounds and make it sustainable, she should put that public confirmatory vote in the Bill itself.
ParlaMint-GB_2019-05-22-commons.u255	No, I am afraid the hon. Gentleman is wrong. The concern people have about entrenching for the future is about the objectives for negotiating in the future stages. Those will not be determined by a people’s vote—by a second referendum—because, by definition, they will be part of a negotiation with the European Union in the future. Nobody can say at this stage absolutely what will come out of those negotiations; it will be part of a process.
ParlaMint-GB_2019-05-22-commons.u256	I spent 24 years on the frontline of the NHS, and like the vast majority of clinicians, I am desperately worried about the impact of a no-deal Brexit—a WTO Brexit—on the NHS, social care, science and research, and public health. I really want to help the Prime Minister get her deal across the line if it is subject to a confirmatory vote, but I do not believe it has the consent of even the loudest voices among the Brexiteers, let alone of constituents across this nation. Will she please commit to ending all of this? Her deal would get across the line with the support of so many colleagues across this House if she would just agree to make sure that it was genuinely the will of the people?
ParlaMint-GB_2019-05-22-commons.u257	If the hon. Lady wants to ensure that we do not leave without a deal, and she wants to press the case for a second referendum, the way to do that is to vote for Second Reading of the withdrawal agreement Bill. Then, during the progress of that Bill, we will be able to have that debate about a second referendum and, indeed, about other issues on which there is disagreement across this House, and come to a determination on them. That is the proper process to follow; it is the process that enables this House to take that decision.
ParlaMint-GB_2019-05-22-commons.u258	The reality is that we are getting the same withdrawal agreement coming back that has already been rejected three times, with some additional legislation on things such as workers’ rights, which the Government could have brought forward over the last nine years. The political reality is that the Prime Minister’s deal is not going to pass in this House unless there is a guarantee of a second referendum. Why is she willing to risk her deal rather than reach a compromise?
ParlaMint-GB_2019-05-22-commons.u259	What I want to see is this House voting to leave the European Union with a deal. I have compromised, and I have moved on the issues that have been raised as concerns by Members across this House. There are two elements of the deal with the European Union—the withdrawal agreement and the political declaration. We have made it clear that we will be seeking changes to the political declaration to reflect the package that I have put to the House today. It is important for the House to make decisions on this matter and to ensure that we can deliver on the result of the 2016 referendum, but to do that with a good deal.
ParlaMint-GB_2019-05-22-commons.u260	May I strongly urge the Prime Minister to look across this House and to understand, as I am sure she does, that there is no majority for any version of Brexit compromise, or therefore for her Bill? That is causing so much harm to our businesses, our communities and our democracy. The only way to avoid the threat of no deal and to get this Bill passed is to put a confirmatory vote back to the people for a democratic say.
ParlaMint-GB_2019-05-22-commons.u261	The hon. Lady talks about the impact of the situation we are in on British business. Yes, uncertainty is never good for business, and business always wants to have the certainty of knowing the way forward, but what she proposes will not remove that uncertainty from British business—
ParlaMint-GB_2019-05-22-commons.u262	indicated dissent.
ParlaMint-GB_2019-05-22-commons.u263	I am sorry, but it will increase the period of uncertainty for the British people. Anything that extends the point of decision making actually increases that uncertainty for a further period of time. It will be for this House to decide. If the hon. Lady is certain of her arguments, she should not be worried about the House having the opportunity to hear those arguments and make a decision.
ParlaMint-GB_2019-05-22-commons.u264	Given that the Prime Minister has indicated that she will publish a new workers’ rights Bill, will she confirm whether the publication of that Bill relies on the withdrawal agreement Bill being passed? It seems to me that the House could decide to pass the workers’ rights Bill and not the withdrawal agreement Bill. Will she also say how the workers’ rights Bill will work in practice? I am thinking specifically of rights for workers in the gig economy, where Europe seems to be offering better and stronger protections than those that our Government have proposed in relation to the Taylor report.
ParlaMint-GB_2019-05-22-commons.u265	What will happen is that the withdrawal agreement Bill will be published and the draft workers’ rights Bill will be published, and we will see them progressing in tandem.
ParlaMint-GB_2019-05-22-commons.u266	The Prime Minister has repeatedly talked about having a democratic mandate. However, the Information Commissioner’s Office found repeated data breaches in Cambridge Analytica’s work for Vote Leave, and Chris Wylie, the Cambridge Analytica whistleblower, said, “if we allow cheating in our democratic process …what about next time? What about the time after that? This is a breach of the law. This is cheating…this is an irreversible change to the constitutional settlement of this country.” Does the Prime Minister not really need a democratic mandate for this withdrawal agreement, considering how tampered with and damaged the campaign was in the last referendum?
ParlaMint-GB_2019-05-22-commons.u267	The hon. Gentleman refers to issues in relation to the conduct of the last referendum. Of course, the Electoral Commission has acted on a number of the issues, but if we look across what happened, we see one of the most significant exercises in democracy in our history from people who came out to vote in the referendum. What the hon. Gentleman is saying is that we cannot actually trust the British people to exercise their vote according to their judgment and their instincts. I believe that is what the British people did, and we should listen to them.
ParlaMint-GB_2019-05-22-commons.u268	Yesterday, in her prequel to this statement, the Prime Minister referred euphemistically to the “devolved lock” that would come forward as part of the withdrawal agreement Bill, but her comments did not stretch as far as whether legislative consent would be required from the devolved Administrations. Will she therefore confirm that she accepts that legislative consent will be required for the Bill, and that she will accept the mandate given to her by the Scottish Parliament as to whether it will grant legislative consent?
ParlaMint-GB_2019-05-22-commons.u269	The hon. Gentleman is, I am sure, very clear about the legislative consent requirements that relate to the Scottish Government and the Welsh Government in relation to these matters. Of course, I am well aware that the Scottish Government have made it clear that they do not wish to give legislative consent to matters that are put forward in relation to this issue, but we will be discussing that with the Scottish Government when the time comes.
ParlaMint-GB_2019-05-22-commons.u270	What is the purpose of bringing forward withdrawal agreement mark 4 if no attempt has been made to address the backstop, which continues to be a key obstacle to any way forward? I reiterate firmly but gently that we seek and need protection for Northern Ireland that is both legally binding and time-limited. What talks have there been, and what effort has been made, to address the backstop?
ParlaMint-GB_2019-05-22-commons.u271	Obviously, the hon. Gentleman has raised this point with me on a number of occasions. As he knows, we have had a number of discussions with the European Union that have led to further commitments in relation to alternative arrangements, for example, and we will also enshrine those in UK domestic legislation. The key issue about the separation of Great Britain and Northern Ireland is one we have committed to dealing with. As I said in my statement, we will work with our confidence and supply partner, the DUP, to look at how that commitment can best be enshrined in law.
ParlaMint-GB_2019-05-22-commons.u272	With your permission, Mr Speaker, I would like to make a statement about British Steel It was announced this morning that the court has granted an application by the directors of British Steel to enter an insolvency process. Control of the company will now pass to the official receiver, an employee of the Insolvency Service, who will run a compulsory liquidation. The official receiver has made it clear that British Steel employees will continue to be paid and employed, and the business will continue to trade and to supply its customers while he considers the company’s position. In fact, employees were paid early, with the May payroll being run yesterday through cash being advanced by the company’s lenders As the House will recall, I made a statement on 1 May setting out details of a bridging facility that the Government agreed to provide to ensure that British Steel was able to meet its obligations under the EU emissions trading scheme, which fell due on 30 April. The Government provided the facility to purchase allowances worth £120 million against the security of 2019 ETS allowances, which are currently suspended pending ratification of the withdrawal agreement Without this facility, British Steel would have faced a financial pressure of over £600 million—the ETS liability, plus a £500 million fine. This would not only have placed British Steel in an insolvent financial position, but the charge attached to its operational assets would have been likely to prevent any new owner from acquiring these assets in the future. This transaction demonstrated the Government’s continuing willingness to work closely with all parties to secure the long-term success of this important business Following this agreement, the Government have worked intensively with the company for many weeks to seek solutions to the broader financial challenges it has been facing. The Government and individual Ministers can only act within the law and this requires that any financial support to a steel company must be made on a commercial basis. In the case of the ETS facility, this was based on the security of future ETS allowances To provide liquidity to the business in the face of its cash-flow difficulties the Government were willing to consider making a cash loan to the company and worked hard to investigate exhaustively the possibilities. However, the absence of adequate security, no reasonable prospect that any loan would have been repaid and the shareholder being unwilling to provide a sufficient cash injection itself meant that this did not meet the required legal tests I am placing in the Library the accounting officer’s assessment of these proposals, drawing on professional and legal advice, which concludes: “It would be unlawful to provide a guarantee or loan on the terms of any of the proposals that the company or any other party has made or any others we have considered. You must note that such an offer cannot be made legally and that by making it you would be in breach of the Ministerial Code.” The insolvency removes Greybull from day-to-day control of British Steel. Given the Government’s willingness to help secure British Steel’s future, demonstrated in the ETS facility, and the discussions that have taken place in recent weeks, the Government will work closely with the official receiver and prospective new owners to achieve the best outcome for these sites The Government have provided an indemnity to the official receiver, who is now responsible for the operations. We will take every possible step to ensure that these vital operations can continue, that jobs are secured and that the sites at Scunthorpe and Skinningrove and on Teesside continue to be important centres of excellent steel-working. During the days and weeks ahead, I will work with the official receiver, the special managers and a British Steel support group of trade unions, management, suppliers, customers and the local communities to pursue remorselessly every possible step to secure the future of these valuable operations This is a very worrying time for everyone associated with British Steel. Each one of British Steel’s sites has a proud record of steelmaking excellence, and I am determined to see it continue. Britain and the world will continue to need high-quality steel, and British steel is among the best in the world. Today is a very big setback for these operations, but it is far from being the end and we will take every step possible to secure a successful future for these vital assets, both people and plant.
ParlaMint-GB_2019-05-22-commons.u273	I thank the Secretary of State for advance sight of his statement This is indeed very worrying news for the workers, their families and the communities who rely on British Steel directly in Scunthorpe, Skinningrove and Teesside and all the way through the supply chain. At least 25,000 people will be worried sick this morning, wondering whether they will have a job this time next week As the Secretary of State knows, however, the sector is critical to our manufacturing base and is strategically important for Government procurement from rail all the way through to defence. It is therefore imperative, given that the Government now have some control via the official receiver, that this business is stabilised and confidence is given to customers, workers and businesses right across the supply chain. The message from the Government today must be that British Steel is one of the linchpins of our industrial strategy and to that end they will move heaven and earth to ensure business as usual continues It is reported that the owner, Greybull Capital, was asking the Government for a loan of £30 million. The shadow Minister for steel, my hon. Friend the Member for Sheffield, Brightside and Hillsborough (Gill Furniss), asked for more information yesterday, but we were given none. Can the Secretary of State confirm today what the asks of British Steel were in the negotiations? Were they just the reported £30 million or was that part of a wider package of measures to support steel production I welcome the publication of the accounting officer’s assessment, but can the Secretary of State confirm Greybull Capital’s reasoning in asking for a loan, while reportedly being unwilling to put money on the table and simultaneously investing over £40 million in a French steelworks last week The Secretary of State has said in his press statement today that he will “pursue remorselessly every possible step to secure the future of the valuable operations in sites at Scunthorpe, Skinningrove and on Teesside”, and I welcome that. I also welcome the indemnity he has referred to, but can he outline exactly what other possible steps he will be pursuing in the coming days? Do they include bringing British Steel into public ownership as Unite the union and the Labour party have called for? Do they include discussions with other interested stakeholders to examine options for saving the company, including with Network Rail, which procures 95% of its rails from the Scunthorpe site? It is clear that we simply cannot countenance warm words and no real action as was the case with the SSI steelworks almost four years ago The truth of the matter is that the cost of British Steel collapsing is far greater than any short-term outlay the Government must make now. The Institute for Public Policy Research has estimated that British Steel’s collapse could lead to £2.8 billion in lost wages, £1.1 billion in lost revenue and extra benefit payments and that it could reduce household spending by £1.2 billion over 10 years. This is a significant economic disturbance, if the Secretary of State would like to dust off his state aid handbook We know Network Rail sources 95% of its rails from Scunthorpe. Last year, Network Rail signed a £200 million contract with the company. The loss of this supply could have serious consequences for Network Rail’s cost base and the quality of the steel used to maintain and upgrade the British rail network. Notwithstanding the great commitment by Network Rail to British Steel, however, we also know the Government’s wider public procurement of UK steel has been disappointing, with only 43% of steel used in Government projects traced to firms based in the UK, according to UK Steel analysis. So will the Secretary of State confirm today what steps he is taking to positively procure British steel for more of our key infrastructure projects Finally, there is no doubt that the UK steel industry is in a difficult place. Uncertainty about future trade with the EU and the dangling prospect of no deal are having a severe impact. Domestic issues like uncompetitive electricity prices, business rates and lack of support for steel in the so-called industrial strategy are also undermining the sector’s ability to compete, but UK steel has a proud history in the UK and there is no reason why this cannot continue. The ball is in the Government’s court: they can take action now to save British Steel and support the wider industry, or they can accept that their legacy will, yet again, be industrial decline. We in the Opposition know which side of history we want to be on, and I hope the Secretary of State wants the same thing.
