ParlaMint-GB_2019-06-06-commons.u1	I call Vicky Ford—not here.
ParlaMint-GB_2019-06-06-commons.u299	I thank all hon. Members who have contributed to this debate. Few of us here will ever forget the awful scenes of summer 2017. I pay tribute to all the families who lost loved ones and to the beautiful community spirit of all the residents who have campaigned tirelessly for justice. I thank Grenfell United and all who have provided support and solidarity. We saw earlier this month the community iftar commemorating those who were lost two years ago The organisation and activism in this community has been exemplary, but let us be clear that they should never have had to be activists. They should not have had to fight for justice—the hon. Member for Bethnal Green and Bow (Rushanara Ali) outlined some of that fight—and they should be living their lives, playing with their kids and spending time with family and friends in safe and appropriate housing I thank the hon. Member for Kensington (Emma Dent Coad) for securing this debate and for her personal commitment to this cause. It touched my heart to hear of all she has been through and of all she has done on behalf of her constituents. I am sure she would agree that we do not want to have another debate six months down the line, although I acknowledge her desire to see this through, whatever it takes. There have been too many debates already, and too little action. Speaking to Katherine Sladden from Grenfell United, it is clear to me that survivors need more than another debate; they need clear and decisive action from this UK Government. It is shocking to hear that they are still waiting to be rehoused in the area In her resignation speech the Prime Minister cited the UK Government’s response in calling an inquiry into Grenfell, as the hon. Members for Lincoln (Karen Lee) and for Easington (Grahame Morris) mentioned, as if this were some kind of achievement. I am afraid that history will not judge the Prime Minister kindly on this. Indeed, even the Secretary of State for Housing, Communities and Local Government has told the House that the Government’s initial response to the Grenfell tragedy was not good enough, and it is beset by delays even now It is equally disappointing that the timescale for the public inquiry has slipped and that phase 2 will not now begin until next year and, further, that Scotland Yard has stated that there will be no criminal charges until 2021. I appreciate that there are complexities, but there is a desperate need for justice. The Grenfell fire was a tragedy, but that does not mean it was unavoidable. The people of Grenfell were systematically failed, and a catalogue of errors led to the fire. They tried time and again to raise their concerns about fire risk and other issues, and it should not have taken this fire to get notice taken of those concerns The Grenfell residents are not alone, and we know there are still too many people living in high rises with ACM cladding and other issues. They are living with no certainty and a great deal of anxiety about their safety. That is unacceptable, and I ask the Minister for an update on the progress on all building types.
ParlaMint-GB_2019-06-06-commons.u300	Does my hon. Friend agree that Grenfell United, the Grenfell community and their wonderful MP, the hon. Member for Kensington (Emma Dent Coad), are fighting for basic human rights? The Edinburgh Trade Union Council and Living Rent are jointly organising a demonstration next week to show their support for the Grenfell community, to pay homage to those who died and to show support for the ongoing fight. Does my hon. Friend the Member for Glasgow Central (Alison Thewliss) agree that it is appropriate for all rights campaigners and trade unionists across the UK to stand with the people of Grenfell?
ParlaMint-GB_2019-06-06-commons.u301	I absolutely agree, and I thank my hon. and learned Friend for what she says. The solidarity across the UK and across the world has been moving. Again, it is a fight that should not have to be fought. The right to safe housing should not be a fight that we are still fighting in 2019 The Equality and Human Rights Commission’s report on Grenfell makes for difficult reading, and it says: that the housing was inadequate to begin with; that the right to life of particular groups, such as disabled people, elderly people and children, was not properly considered; that safety notices were published only in English, a language that some people in the tower did not speak; and that, after the fire, people who had suffered inhumane and degrading treatment were continually let down when trying to access support and basic services. There has been a lack of investment in social rented housing and a lack of value placed on the lives of those who live in such housing. Grenfell United’s briefing says that residents feel short-changed by Kensington and Chelsea Council, with corners cut and concerns ignored. What it calls a “culture of institutional indifference” is chilling, but not as chilling as what the hon. Member for Kensington outlined about the racism and the comments made by people in that institution It struck me at the time that some representatives of Kensington and Chelsea Council had never been inside Grenfell. It quickly emerged that other tower blocks in London had no fire doors or safety procedures, and had been like that for some time. I have been inside every block of flats in my constituency, not least because they are great places to leaflet in the rain—it rains a lot in Glasgow—and I cannot imagine going in and finding no fire doors or finding them in such condition. Most have an on-site concierge who wants to know why a visitor wants to get into the building, and there is maintenance In the past, some blocks that, thankfully, have now been demolished were not great but, as a councillor at the time, I had a relationship with housing officers so I could challenge such things. I listened to constituents’ concerns, as I still do, and I acted on those concerns. I find it hard to understand this fundamental disconnect, and I hope it is not too late to mend that disconnect between those who live in such blocks and those who represent them I urge Ministers to consider the calls from Grenfell United for an independent tenant protection regulator that can put power back into the hands of tenants to ensure that they have full recourse to means of resolving complaints and bringing all properties up to a safe standard. The Scottish Housing Regulator was established in 2011 under the Housing (Scotland) Act 2010, and its statutory objective is to “safeguard and promote the interests of current and future tenants of social landlords, people who are or may become homeless, and people who use housing services provided by registered social landlords (RSLs) and local authorities.” That is a means of recourse I urge the Minister to look at the Scottish model, which includes a process for reporting significant performance failures. That is defined as “something your landlord does or fails to do, which puts the interests of the tenants at risk. This does, or could, affect all your landlord’s tenants.” Such a system would certainly have caught the concerns of Grenfell residents and prompted an investigation What is most disturbing, however, is the Government’s approach to fire safety. It has been nearly two years since the events at Grenfell and, as the hon. Member for Croydon North (Mr Reed) reminded us, nearly 10 years since Lakanal House. The response in England has lagged behind the response in the other nations of the UK. The National Fire Chiefs Council and the Royal Institute of British Architects have called for fire safety regulations in England to be brought in line with those in Scotland and Wales, particularly in requiring sprinklers and a second means of escape The Scottish Parliament set up a ministerial working group in the wake of the Grenfell fire, and legislation will be introduced this year to fulfil those recommendations, which include extending the mandatory installation of sprinklers in new builds to cover buildings that provide care and to larger multi-occupancy flats. A change in building standards will reduce the height of high rises from 18 metres to 11 metres—I note that the UK Government are still talking about 18 metres, but 11 metres is much better because 18 metres is very high—and will extend the range of new buildings that require non-combustible cladding New measures have also been proposed to improve evacuation by using sound alerts and requiring two escape stairs in all new high-rise residential buildings. That will go alongside the development of a database of safety-critical information for existing high-rise residential buildings. The Scottish Government will also issue fire-safety risk assessment guidance to the residents of high rises, the lack of which was a contributing factor at Grenfell For private companies, a positive step from the UK Government would be to zero-rate cladding and sprinkler systems. I have repeatedly called for that, as has the Scottish Government’s Minister for housing, Kevin Stewart MSP. It is in the Government’s gift to incentivise private companies to act responsibly and to relieve some of the burden of costs, and I sincerely hope they will take that small step Some private developers have taken a responsible route and met the costs, but there is still no statutory obligation on them to do so. I call on the Minister to make a move in that direction. As the hon. Member for Sheffield South East (Mr Betts) and others have said, the Minister must also provide revenue funding for ongoing building maintenance—not just for the one-off capital works—because that will keep people safe for years to come I also urge the Minister to look at more advanced testing across various materials, as the hon. Gentleman also said, and to consider the wider context. It has been suggested to me by some in the industry that materials may pass the tests when taken out of context, but they act in quite a different manner once in situ and installed on a building, as the hon. Member for Hammersmith (Andy Slaughter) mentioned. This requires serious investment and testing, with discussions with all involved in building design and manufacture, and I urge the Minister to take that on board The impact on those who endured trauma at Grenfell will continue for some time, and I appreciate that a wellbeing service has been set up to last five years, but we must not assume that this will be the end of the need of some residents or that they will all access such support when it is first offered. The support needs to be there for the long run. I ask the Minister for further consideration of what the needs of residents will be in future years, and an assurance of how those will be met. I also note that although the soil testing that the Minister announced last October has shown low risk, people are still anxious. He must be mindful that some harms, due to the chemicals involved, may take longer to emerge, and I ask him what the plan will be to ensure that everybody is looked after in the years ahead. As the hon. Member for Kensington mentioned, the mental health and social needs of the whole community must also be taken into account; the definition must be as wide as possible. I also understand that there has been a period in which rent and bills have been frozen for some residents who were displaced and rehomed, but that it is due to come to an end relatively soon. I ask the Minister to give more detail on what is going to happen, because I am concerned that for those who have lost everything, a sudden hike, with no gradual transition, could leave some residents struggling. Although I believe sessions have been arranged with Citizens Advice, as much assistance as possible should be offered by the whole of government to those residents who require it Grenfell was a tragedy. It was scandalous. It was avoidable. It was symptomatic of a wider problem with this UK Government’s attitude to social rented housing and to the people and communities who live there. But this is not irredeemable. The residents of Grenfell want to ensure that nobody else will lose their life or the life of a loved one in such an awful way. They will always remember the 72 who died, but they want to create lasting change in their memory. I call on the UK Government and the Minister to honour the survivors and the lost by taking action, and to do it now.
ParlaMint-GB_2019-06-06-commons.u302	Today in this debate and over the next week, above all else we remember the 72 men, women and children who lost their lives that night in the terrible Grenfell Tower fire. We recognise the continued suffering of the survivors and bereaved families. We rededicate ourselves to seeing the survivors get the homes and other help they need; to bringing all those culpable to justice; and to putting in place every measure needed to make sure we can with confidence say that Grenfell can never happen again May I therefore congratulate my hon. Friend the Member for Kensington (Emma Dent Coad) not only on securing today’s important Back-Bench debate but on the extraordinary way in which she has fought for her community over the past two years? She has done so again today, setting out the way in which the trauma and problems of that night continue for the survivors and for the community of north Kensington. Let us also pay tribute to that community—to the churches, faith groups, advice centres and residents associations—for their compassion and commitment to each other, not just in the immediate aftermath of the fire but in the two years since. We especially pay tribute to the Grenfell survivors and families, who, like Grenfell United, have turned their grief into their fight for justice and for wider change It is precisely the wider policy, procurement and political decisions of those in power that the residents and the communities affected by this tragedy want us to tackle. This was not a natural disaster; it was man-made. The hon. Member for Southend West (Sir David Amess) said: “Grenfell should not have happened and it is a stain on this place that it did” May I add to that by saying that all of us in this House have a deep responsibility to make sure that it never happens again? Members on both sides in this debate caught the human side of the tragedy and of the aftermath. My hon. Friends the Members for Westminster North (Ms Buck) and for Hammersmith (Andy Slaughter), both of whom have constituents who were caught and lived in the tower did so, as did the hon. Member for Sutton and Cheam (Paul Scully), although I have to say that he lost Opposition Members when he started lauding the merits of universal credit as a humanised welfare system A series of powerful points made by Members on both sides of the House require action and answers from the Government, and we look to the Minister to provide them. The Chair of the extremely important Housing, Communities and Local Government Committee, my hon. Friend the Member for Sheffield South East (Mr Betts), rightly said that the real problem is of private block owners, where he said almost no progress has been made. He asked a series of important questions about the new £200 million fund for block owners and freeholders, which of course is not yet open for business. The hon. Member for Ayr, Carrick and Cumnock (Bill Grant), whom I was interested to hear spoke as an ex-fire officer, said that sprinklers should become a “natural” thing in all our high-risk buildings. I say to him that it is not a lack of clarity that has led to the fact that they are not, but a lack of will and commitment from the Government to make sure that that happened. My hon. Friend the Member for Poplar and Limehouse (Jim Fitzpatrick), who also has experience as a serving fire officer, made the same strong argument about the value of fire sprinkler systems My hon. Friend the Member for Croydon North (Mr Reed) asked why hotels have been excluded from the Government’s new ban on inflammable cladding and why action has been so slow on testing non-ACM cladding. That was echoed by my hon. Friend the Member for Hammersmith, who rightly described the failure to do this systematically as negligent. He also called for an open-book approach to get to the root of what the problems really are in rehousing the Grenfell survivors My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) talked about the need for residents to have the right to complain about problems in their building and, in particular, about safety concerns—the hon. Member for Glasgow Central (Alison Thewliss) picked up on that My hon. Friend the Member for Easington (Grahame Morris), speaking with the backing of the Fire Brigades Union, rightly reminded the House of the vital role and bravery of firefighters. He made the important point about the impact of the past nine years of austerity, the cut in the number of frontline firefighters and the loss of one in four fire safety officers My hon. Friend the Member for Lincoln (Karen Lee) also cited FBU research, which concludes that at present our fire services are now unprepared for and potentially unable to tackle a fire on a similar scale—that really should worry the Minister We do not underestimate the Government’s challenge in responding to Grenfell. Some progress has certainly been made over these long two years, which we welcome and for which Ministers, including the current Secretary of State, deserve credit. There has been some Government procurement of new housing for survivors, and there is now a ban on combustible materials for new high-rise homes and funding for the cladding remediation on existing blocks. However, a national disaster on the scale of Grenfell Tower requires a national response from the Government—that has not happened. Ministers have been like rabbits in the headlights. For two years, the action they have taken has been too slow and too weak on every front. My hon. Friend the Member for Westminster North rightly set out for the House the background to this fire: the collapse in social house building; and rapidly rising homelessness. This wider context of the night, after seven years of a Conservative Government, is important, because it helps to explain why action from Ministers has fallen so far short Since 2010, Ministers have abolished the tenants’ regulator for social housing and National Tenant Voice; they funded just 1,000 new social homes in the year of the fire, when they also became the first Government since the second world war to stop all national funding to help build new social housing; and they have pursued a regulation policy of “one in, two out”, with the then housing Minister saying after the coroner’s report on the Lakanal House fire that on fire safety measures such as sprinklers it was “not…for the Government to make a case for private industry around what they should be doing.” When the far-reaching changes that are demanded in this country by the Grenfell tragedy must mean tougher safety regulations, stronger enforcement powers for councils, clearer legal duties for private block owners, and greater rights for tenants and for leaseholders, it is clear that the fundamental problem lies not in slow administrative decision making or in the lack of compassion from individual Ministers; it lies in the basic beliefs of the Conservative party in government about hands-off government, light-touch regulation and private sector market solutions So let me set out for the Minister where the Government are still failing and must do more, and I hope that he will be able to respond to these points First, there has been a failure to rehouse the survivors. Two years on, one in 12 of the families from the tower are still living in emergency or temporary accommodation, even though Ministers promised that every victim of the fire would be rehoused in a new home within one year. Will the Minister now give the House and those families his cast-iron assurance that every survivor will be in a permanent home by the two-year anniversary at the end of next week Secondly, there has been a failure to give the Grenfell community justice. Two years on, the public inquiry is moving too slow and its remit is too narrow. The first phase was due to report at Easter 2018, but it has still not been published. Will the Minister now confirm when it will report, when the crucial second phase of the inquiry will start, and when the inquiry will finish Thirdly, there has been a failure to re-clad blocks that have been confirmed to have the same dangerous Grenfell-style ACM cladding. Two years on, eight in 10—that is 272—of those high-rise blocks that are known to be clad in the same dangerous material have not had it removed and replaced. Seventy private block owners do not even have in place a plan to do the work. Will the Minister set a deadline by which all blocks that are known to have this dangerous cladding will be made safe Fourthly, there has been a failure to identify unsafe non-ACM cladding. Two years on, tests on hundreds of blocks with other types of potentially dangerous cladding are still not done, despite the Government’s testing contract having set a deadline for the work to have been completed by November 2018. Will the Minister now confirm, for thousands of high-rise residents, when he will publish the results, and that the tests will be comprehensive pass/fail tests and will cover all, not just some, types of non-ACM cladding Finally, there has been a failure to overhaul the building safety system, as many Members mentioned. The Hackitt review published its final report in May 2018, yet two years on the legislation is still not in place. Following the publication today of the post-Hackitt consultation paper, will the Minister now tell us when he will publish the legislation itself and when the Government will take the steps needed to keep buildings safe? Most importantly, when will the Government retrofit sprinklers in all social housing blocks, as Labour, the fire chiefs and the chairman of the all-party group on fire safety, the hon. Member for Southend West, have all long argued The Government have been too slow to grasp the depth and breadth of the problems that they need to fix, and then too slow to act. A few weeks after that terrible fire in June 2017, a leading housing chief executive said to me, “Grenfell changes everything.” It should have done, but it has not. I desperately want this to be the last anniversary of that terrible fire when the basic duties of Government are unfulfilled and when the necessary fundamental changes to our system are incomplete. Until then, as my hon. Friend the Member for Kensington said, we will return to this issue again. We will continue to press, with the Grenfell community, for justice and for the far-reaching changes that can guarantee that a tragedy like Grenfell can never happen again in our country.
ParlaMint-GB_2019-06-06-commons.u303	I commend the hon. Member for Kensington (Emma Dent Coad) for securing this important debate at a time when, as the right hon. Member for Wentworth and Dearne (John Healey) pointed out, we are all reflecting on the terrible tragedy of Grenfell Tower and remembering the 72 people who tragically died at that time. Since I took up this role last year, doing right by the victims and survivors of the Grenfell Tower has been central to my work as Housing Minister. It has also been part of a personal mission, not least because the tower stands in what was my London Assembly constituency, with which I obviously have a personal connection. I recognise the strength of feeling on this issue from Members from all parties, and I am grateful for all their contributions. A number of complex questions have been raised, and I will attempt to try to address most of them in my remarks, but we will respond in writing to each Member whose questions are not covered I am quite happy to be held to account for our work on this issue. As the right hon. Member for Wentworth and Dearne said, Grenfell does change everything, and I have made commitments, in private and in public, on the need for fundamental change as a fitting legacy to those who died. I am held to account in meetings with Grenfell United and with individual residents, and by the Select Committee, and I have been held to account by the House on a number of occasions. It is quite right that I am, because we need fundamental and swift change. Questions from Members have fallen broadly into four areas, which I shall address specifically. First, several Members expressed concerns about the speed of the rehousing and resettlement of the bereaved survivors. The right hon. Member for Wentworth and Dearne wishes to hold me to a guarantee on rehousing; I hope he appreciates that, such are the complexities of the circumstances of some of the individuals concerned and of rehousing, our ability to move swiftly for them is reliant on their own circumstances, wishes and desires. I have taken specific interest in individual cases, particularly those in emergency accommodation in hotels and serviced apartments, and reviewed them regularly with the council to satisfy myself that not only are those people being catered for but that we are being sensitive to their particular state and their own desires and requirements The fact remains that for the 201 households that needed rehousing, the council acquired more than 300 homes in and around the borough. Of those 201 households, I am pleased that they have all accepted offers of permanent or temporary homes, with 184 households now living in their new permanent accommodation and 14 households in good-quality temporary homes. We have had cases in which those in temporary accommodation have sought to have that accommodation converted into their permanent homes. I do, though, share Members’ concerns about the three households that remain in emergency accommodation, including the one household that remains in a hotel. As I said, it is essential that people move on only when the time is right for them. To make sure that an independent eye is kept on those particular circumstances, I requested that the independent Grenfell recovery taskforce continues to keep us apprised of the evolving situation and looks specifically at those three cases to satisfy itself that the council’s actions are proportionate and that those individuals are catered for appropriately It is fair to point that it would be a mistake to think that people who are in emergency accommodation in a hotel or serviced apartment have been there throughout the whole two years. Such have been the circumstances of individuals and the trauma and difficulties that they have been coping with that some individuals have moved in and out of temporary accommodation. As I said, I hope that Members appreciate the complexity of the situation with which we are dealing. We are working in partnership with the community, the council and local health partners, and we remain determined to ensure that all the families who are recovering from this tragedy have the long-term support that they need to move on with their lives The hon. Member for Kensington raised the issue of the residents on the Walkways. I remind her that all those residents were awarded an extra 900 points to push their priority upwards. Nevertheless, I recognise the situation they are in The second area of questions raised by several Members was on the environmental and health impacts. Public Health England has been monitoring air quality in the area since 2017. We have not taken the community’s concerns lightly and have carried out extensive testing to assess whether there is any ongoing risk to health. We will take all appropriate action to ensure that no risk is posed to residents. Of course, Professor Stec now serves on the Government’s scientific advisory group, to make sure that we all work together to find some kind of resolution or, indeed, to reassure the community that they have nothing to fear The NHS has stepped up health services and checks for the local community, committing more than £50 million over the next five years, including for increased trauma screening, fast-track referrals and long-term follow-up, if required. I thank the NHS for all its incredible work to support the long-term physical and mental health needs of the Grenfell community The third area that has been raised is, quite rightly, the speed of remediation. I can understand the anxiety, fear and insecurity that many people feel on this issue, not least because I have met, on a number of occasions, people who live in these buildings and representatives of the UK Cladding Action Group. In the time since the fire, this Government have acted with the utmost urgency to address the most serious fire and public safety risks that the tragedy so ruthlessly exposed. With the support of local authorities and fire and rescue services, we identified a total of 433 high-rise residential buildings, hotels, hospitals and schools with unsafe ACM cladding. These buildings were assessed by fire and rescue services, and interim safety measures were put in place We have amended the law explicitly to ban combustible materials from use in the exterior walls of all high-rise residential buildings, but I recognise that residents across the country will truly have peace of mind only when unsafe cladding has been removed and replaced with safe materials. We have made £400 million available to pay for the remediation of ACM cladding for those buildings owned by local authorities and housing associations, and that work is almost complete, with 87% of buildings done. We have allocated £259 million of that £400 million to 140 buildings. We do not anticipate that there will be any further claims, but if there are, they will be honoured. We gave owners of buildings in the private sector enough time to step up and meet their responsibilities, and many did, but I regret that some did not. Last month, the Government acted decisively, providing a fund to unblock progress and ensure that remediation takes place on all buildings that need it. That fund stands at £200 million. We estimate that 153 blocks will be eligible. I was quite rightly pressed about detailed criteria, and we will be issuing the application process and what those criteria will be as soon as possible. There was a question from a Member whom I cannot recall about whether buildings that have already been remediated in the sector could seek to recover costs.
ParlaMint-GB_2019-06-06-commons.u304	It was my hon. Friend the Member for Sheffield South East (Mr Betts), the Chair of the Select Committee.
ParlaMint-GB_2019-06-06-commons.u305	Yes, indeed, and that is the case Although I understand the concerns about the speed of the remediation, I hope that Members will be aware that this work requires significant amounts of engineering and construction work, which will necessarily take time. On numbers, at the end of April, of the 175 residential buildings, 15%, or 27, have finished or started their remediation, and a further 116, or 66%, have plans in place. I have asked the Department to report to me as soon as possible on what a timetable might look like to ensure that we can reach completion of that programme within a reasonable length of time. I hope that Members will appreciate that, while there is a requirement or a desire to press me for an end point, it is more complicated than just fixing a date and time, because there are obviously capacity issues. There are planning and engineering issues that need to be taken into account, but I would like to get to that place in pretty short order. The money has only just been provided, and what I would like to get to in pretty short order is a sense of what the industry is capable of achieving and some benchmarks for performance that we can hold it to A number of Members also asked about the testing regime for other materials and that work is now under way. We hope that that will be completed before the summer, and that we can publish the results shortly thereafter. As I have said in previous debates in this House, we have a commitment and a strong imperative to investigate the materials that are being used in these circumstances in a systematic and methodical way. Although there is a range of cladding products, they are used in a range of circumstances and in combination with a range of other materials. That matrix of possibilities creates many dozens of combinations that will need to be assessed over time. We have to start with the cladding itself, and, as I have said, that testing is under way at the Building Research Establishment, and we should be able to publish results soon The fourth area of work is obviously the building safety programme itself. After the tragedy at Grenfell, it became obvious that things had to change around building safety and change very significantly. The Government responded quickly with the Hackitt review, and it has given us an important root and branch look at building safety. We have been vociferous in calling for a culture change across the industry and backed it with serious action. We have consulted on a clarified version of approved document B and issued a call for evidence as the first step towards a technical review. As part of that review—a number of Members raised the issue of sprinklers—we obviously can review the requirement for sprinklers in buildings We have also established an industry early adopters group made up of key players in the construction and housing sector who have just this morning launched a new building safety charter calling for all of industry to commit to putting safety first.
ParlaMint-GB_2019-06-06-commons.u306	Will the Minister also tell us what the Government will do about the “stay put” policy? According to Inside Housing and the FBU briefing for this debate, 209 residential buildings in London alone have changed from “stay put” to evacuation, which has all sorts of implications for guidance, alarm systems and so forth. What are the Government doing to make sure that these matters are addressed and are clear to everyone?
ParlaMint-GB_2019-06-06-commons.u307	As I am sure the hon. Gentleman understands, fire safety policy does not fall within my remit and is effectively a Home Office issue. I did recently meet representatives of the fire service, who said that this policy is under constant review but remains valid. However, I am happy to write to him with details of what the Government are doing with regard to “stay put”. I understand the concern that that policy has produced in the light of the Grenfell disaster and it is important that we are transparent about it. As I have said, I am more than happy to write to him with some details. On building safety, we are determined to bring forward meaningful legislative reform. Just today, we launched a consultation on the new building safety regulatory system. The written ministerial statement was not actually laid, as the hon. Member for Croydon North (Mr Reed) said during the debate. It was raised at 10.30. I asked Doorkeepers to distribute it if they could, and it is now available for Members to read if they wish. In that review, we have accepted all 53 of Dame Judith Hackitt’s recommendations and in some areas we intend to go further. What we are proposing is a radically new building and fire safety system—a system that puts residents’ safety at its very heart. It will be a challenging but essential step to help drive the long-term culture change that we need and restore confidence in our country’s building safety system.
ParlaMint-GB_2019-06-06-commons.u308	I thank the Minister for giving way. I had not seen the details of the statement until when I spoke earlier in the debate, but I welcome the Government laying it. I know that the Minister has made arrangements to speak to me later about it and to come to the Select Committee where I am sure we can ask further questions. May I just draw his attention to one interesting phrase where he says that we have proposed that the new regime should apply from the beginning to all new and existing multi-occupied residential buildings? Does that mean that the Government are having a careful think about whether the ban on materials, which are not of limited combustibility, should apply to existing buildings as well as new buildings? It says that the regime will apply to all buildings, including existing buildings.
ParlaMint-GB_2019-06-06-commons.u309	I am grateful to the Chair of the Select Committee for raising this issue. The hon. Member for Croydon North also implied that we were not willing to look at other buildings retrospectively or indeed at buildings below 18 metres, or at hospital or schools or whatever it might be. What we are trying to do is fix a starting point, but then design a system that allows for flexibility in response to evidence and research in the future. One lesson is that, obviously, as building technology develops and new issues emerge, the system must have the ability to respond. That is what we are seeking to do in the consultation. Certainly, we are open to representations as part of the consultation about whether the scope should be widened. I hope that the Committee will respond.
ParlaMint-GB_2019-06-06-commons.u310	Was that a yes? I was trying to work out whether the Minister would be willing to look again at this matter.
ParlaMint-GB_2019-06-06-commons.u311	The issue of retrospection is obviously a difficult one from a regulatory point of view. One of the things that we have said is that all building owners have a duty to ensure that the buildings that they own are safe. If that means that they have to take remedial action retrospectively to comply, to make it safe, then they should do so. The question of liability, as the hon. Gentleman knows, is also a difficult one. Nevertheless, in the light of the reformed building regulations, it will be for building owners to review whether the buildings that they are maintaining and owning are safe and to take appropriate action. As I said, we have accepted all 53 of Dame Judith Hackitt’s recommendations and we will be going further. Indeed, we may well go further in scope in the light of the issues that are brought forward The final matter raised by a number of Members, particularly the hon. Member for Westminster North (Ms Buck), was the issue of the residents’ voice, the social housing Green Paper and, indeed, the place of social housing in our society. One of the most important legacies of Grenfell must be the rebalancing of the relationship between residents in social housing and their landlords. After the tragedy, we spoke to almost 1,000 people, including the bereaved and survivors of Grenfell Tower. It came through in those conversations, time after time, that residents feel excluded from the discussion about their homes; they feel that their voices are not being heard. I reject the idea that people in social housing can expect only a second-class system. This has been and is fundamentally wrong. Last August, we published our Green Paper, “A new deal for social housing”, and our response and action plan will be published in due course. I have given commitments in the various meetings that I have had around the country that there will be change on that too Nothing can undo the pain and devastation caused by the fire at Grenfell Tower. We remain determined to do right by the victims and survivors of the tragedy, and to provide a legacy of real change for them—to deliver fundamental reform, to end the stigma attached to social housing and to honour the memories of those who lost their lives. I thank everybody who has participated in the debate, and share the determination across the House to ensure that nothing like Grenfell can ever happen again.
ParlaMint-GB_2019-06-06-commons.u312	I thank the Minister and all hon. Members for their insightful and detailed comments. I particularly pay tribute to the work that has come out of the all-party parliamentary groups and Select Committees, including the all-party parliamentary fire safety and rescue group, of which I am vice-chair. But when will all these recommendations and all this good work be implemented? I just see more delay.
ParlaMint-GB_2019-06-06-commons.u313	In due course.
ParlaMint-GB_2019-06-06-commons.u314	Yes, in due course As we have seen recently in the press, Kensington and Chelsea Council behaved like a property developer instead of looking after the residential buildings it already owned. With no governmental oversight, it used our money for its own purposes, building a property portfolio to squeeze out social tenants in Kensington and Chelsea—that was actually openly admitted in council. I am sad to say that, despite protestations, the council continues with much of this agenda under a guise of improvement. For example, part of its new council house building programme includes fully private luxury flats. I really hope that the taskforce, which I have been working with quite closely, will report on that in its first report, and I hope we get a really robust response because the council is still failing people. It seems that the council is also determined to end the Grenfell recovery scrutiny committee when it is doing very good work and there is still a great deal of recovery left to be done. There are various other issues that I hope the taskforce will look at. Our beloved Wornington College is still under threat. The council bought it without any reference to council taxpayers, let alone local councillors. Some £28 million of taxpayers’ money was thrown at a business venture intended for private housing. Where do we expect our young people to get education and training to get them into work, off the streets and out of trouble—something that this damaged community needs now more than ever I have said many times, and I will say it again, that if and when the Government regulate, and the council steps up and treats our people with compassion and justice as they would their own family, I will gladly shout it from the rooftops. It is not too late to bring in commissioners to take over the council. We all know very well that if it had been a Labour council that had failed so catastrophically, that would have happened a long time ago, and I would have applauded the Government for that. Until we see that progress, I will continue to berate the council for the duplicity and at times blatant lies—provable—of those who should be held accountable, for the perpetrators of ongoing failure and for those who deny the failure of the system after two years. I will berate those who are complicit through inaction for the incompetence, cover-ups and refusal to make the clear decisions we need to keep people safe in their beds We in this House need to view this issue as a far higher priority and with more urgency. I would not wish the horror of Grenfell to happen to anybody else. I plead with the Minister not to wait for another anniversary to announce any kind of progress. We need action, not further consultations Question put and agreed to. Resolved, That this House has considered the response to the Grenfell Tower fire.
ParlaMint-GB_2019-06-06-commons.u315	The hon. Member for Dover (Charlie Elphicke), who will move the motion, may speak for up to 15 minutes. I advise other Members that I expect their speeches to last for around eight minutes.
