ParlaMint-GB_2019-10-30-lords.u1	To ask Her Majesty’s Government what is their policy on farm subsidies after 2020.
ParlaMint-GB_2019-10-30-lords.u108	My Lords, for many of your Lordships there will be a “Brenda from Bristol” moment as we receive this Bill. However, I welcome it as a method of breaking the logjam. It gives the Prime Minister the opportunity to do what has until now been denied by Parliament both to him and to his predecessor, Theresa May, and to provide a means of delivering Brexit. Politics is a learning process, and recent history contains many useful lessons to us all, on whichever Benches we sit Despite Parliament’s best intentions, the referendum result pitted the people’s vote against many parliamentarians. Devised to unite Parliament and country, it ended up dividing them. It divided parties and it still does. This was the background against which I conducted my previous role in this House—a role in which I found myself trying to deal with the consequences of the Government’s rightful commitment to respect the leave vote in the referendum and deliver Brexit. Only to a degree was I successful but it became clear that, although this House learned to live with its differences of view, we failed to influence events in the other place. Regrettably, for a number of reasons, the House of Commons failed to provide the necessary forum where conflicts of views and interests are reconciled by debate and accommodation Some noble Lords may think me hopelessly idealistic about the parliamentary process, but we all come to this place driven by ideas and wish to get things done. I turn to the Spiritual Bench and am sorry that the right reverend Prelate the Bishop of Durham has gone, because I too went into the Not-Content Lobby and read the prayer that we have every day. In addition to the quotation that he read, I add the part that asks that we, “lay aside all private interests, prejudices and partial affections” The ethos of Parliament lies in those words. If Parliament, and the House of Commons in particular, is to achieve its commitment to honour the referendum, it is surely right to accept that in passing this Bill the electorate have a right to be represented by a Commons that can get Brexit done. This Bill is part of that process. The uncertainty over Brexit has meant that millions of families and businesses cannot plan for the future. This paralysis and stagnation cannot continue. It is not in the national interest. If we do not have an election, this Parliament will continue to delay and we will not be able to concentrate on the other things that matter to people. An election will return to Parliament a fresh mandate and the ability to deliver on things like the NHS, police numbers and increased funding into schools Meanwhile, despite successfully hindering the Government’s agreements, never in the hours of discussion has the House of Commons as it stands been able to agree on what it wants on Brexit. Do we remember those indicative votes? Now, however, after last week’s abortive attempts to pass agreements under the Fixed-term Parliaments Act, it has passed this short Bill without amendment. We should do likewise.
ParlaMint-GB_2019-10-30-lords.u109	My Lords, it is a pleasure to follow the noble Lord, Lord Taylor, who has been such a popular and respected member of the Government and of your Lordships’ House. I also commend the words spoken by my noble friend Lord Puttnam, who raised a lot of important issues that I hope the Government and Parliament will fully consider I fully accept that when the House of Commons decides on an election, the unelected second Chamber cannot oppose or prevent that, although I was interested to look again at the work of Walter Bagehot, the great Victorian constitutionalist, who said: “I answer that the House of Lords must yield whenever the opinion of the Commons is also the opinion of the nation” I am not sure that people out there are as keen on a pre-Christmas election as the Conservatives and Liberal Democrats seem to be. However, I assure my Whips that I am not advocating our blocking the Bill in this House, although I am sure that if I were still a Member of the Commons then I would have voted against Third Reading, as a number of Labour colleagues did yesterday I do not believe that an election is the best way to decide Brexit. There is a strong risk that we may well be back here after the election with further protracted proceedings as to the way forward. In that sense, I am very sorry that the Liberal Democrats and the Scottish National Party came to the Prime Minister’s aid and gave way over this election Along with my noble friend Lady Smith of Basildon, I am appalled at the Prime Minister’s conduct of business since he took office. We had the illegal Prorogation and the charade of the Queen’s Speech, which I felt was close to a constitutional outrage, with a Government well short of a majority really embarking on an election broadcast rather than a realistic programme of government. Then, although the deal the Prime Minister had negotiated got through at Second Reading, the Government refused to allow it further consideration. That seems absolutely crazy. I pay tribute to those Members of Parliament, many of whom are my honourable friends, who have been trying honestly to do the best for their constituents and the country in this extremely difficult situation. Like the noble and learned Lord, Lord Judge, I was amazed that the Fixed-term Parliaments Act could be overturned in such a speedy and cavalier way. The Liberal Democrats seem to be subverting an Act which I thought they were attached to, although it has to be said that it has not been very successful in recent years. Despite its existence, we are now facing the third general election in four years. None the less, I hope that constitutional experts in this House and the other place can assure me that this is not a precedent for lots of substantial legislation being overturned hastily at record speed. This would be particularly bad news for your Lordships’ House, whose undoubted strength lies in careful, detailed scrutiny I do not like referendums, but have come round to the view that if this process began with a referendum, then logically it should be completed with one. It seems very sad that, at the point that my own party made substantial movement in that direction, we now face an election rather than a confirmatory vote. It is also a great irony that, after all this time, my party seems to be the only one supporting such a referendum Elections are about a whole range of issues facing us and this Government may become painfully aware of this as the election campaign proceeds. My party has a number of policies that could prove very popular with those people who are reeling from austerity and inequality. We may well see that as the campaign progresses, just as we did in 2017. There was a turning point—I remember it well, campaigning on doorsteps—particularly after the then Prime Minister had announced her policy on social care. People suddenly became much more focused on domestic issues and she lost her majority as a result. We have had great difficulties ever since Finally, putting forward the idea of a confirmatory referendum on a deal versus remain, as Labour is doing, is actually the best way forward. I hope it will resolve the Brexit issue, which has sadly dominated our politics for far too long.
ParlaMint-GB_2019-10-30-lords.u110	My Lords, it is a pleasure to follow the noble Baroness, Lady Quin. With her experience and expertise, she has been a pleasure to work with on a cross-party basis in the last three years, although I cannot fully agree with all her remarks just now. I endorse her warm comments on the noble Lord, Lord Taylor of Holbeach, and thank him publicly for a kind note he recently sent me This general election will decide the future of our country for generations. It is an opportunity to build a fair, inclusive, liberal and internationalist Britain that will flourish inside the European Union, compared to an obsession with delivering a Brexit that will impose a huge hit on our economy and therefore jobs, and will affect the country in so many other ways. That this Conservative Government want to deliberately deliver a knock-out blow to our prosperity is dismaying, to put it mildly. As my party leader Jo Swinson said yesterday in the other place, people’s identities of remain or leave run deep, because this is about not only whether we remain in or leave the EU but who we are as a country. It is about our values and whether we are open, inclusive and internationalist in our outlook, facing the future, or closed and insular, wanting to pull up the drawbridge and look to the past. That is the key question that we as a country need to resolve The UK is in a mess and needs to be rescued. The Prime Minister, Boris Johnson, failed to meet his 31 October do or die, die in a ditch deadline to wrench the UK out of the EU. There was no early prospect of a referendum. The Prime Minister paused the withdrawal agreement Bill and there was still a risk that he would try cunningly to effect a crash out no deal, given his form since July and, indeed, for much longer The Liberal Democrats, with SNP support, decided that we had to take the initiative. I am proud of our role in unlocking this gridlock, in Parliament and over the Article 50 extension. Several commentators have confirmed that the Lib Dem/SNP initiative for an early election unblocked the hesitation in Brussels, and specifically in Paris, about an extension to 31 January. We would not have chosen to start from the 2016 referendum result, nor to arrive where we have, but there was an absence of full support from other parties for a people’s vote with the option to remain in the EU. The numbers for that in the Commons are simply not there I realise that some of our friends were taken aback. I was a bit myself, but the more I saw what was happening, or not happening, in the other place and with Brussels watching and waiting, the more I realised that our leader, Jo Swinson, had done exactly the right thing I could never get bored of listening to my leader, my noble friend Lord Newby, or to other colleagues, but it is true that he has made many speeches on Brexit, all of which contained a call for a people’s vote. That bears repeating often. Liberal Democrats want to stop Brexit, to get Brexit gone, so if we form a majority Government—anything could happen—we will have a mandate to revoke Article 50. If not, we will continue to campaign and press for a people’s vote, working across party, as we have since 2016, and with even greater intensity in recent months Many MPs, especially women, have been subject to hate speech, bullying, intimidation and worse. We all remember Jo Cox. The parties, of course, have to ensure that their own houses are in order. Ours is talking to the Parliamentary Commissioner for Standards and to the Jo Cox Foundation about how best to do that, but could the Minister tell us what the Government and the police will do to give protective security to MPs and candidates Lastly, I thank the outgoing European Council President, Donald Tusk, for his friendship and support for the UK, and Michel Barnier for fairly and honourably conducting the Article 50 negotiations. It is not the fault of the European Commission or the EU 27 that we are in a gridlocked mess, but they, as well as we, will be glad to get out of it.
ParlaMint-GB_2019-10-30-lords.u111	My Lords, I shall not be following the noble Baroness, Lady Ludford, with partisan remarks about Brexit. I will concentrate on the Bill before us. I shall not detain the House long because I am keen that the Bill should make rapid progress to the statute book We must rejoice that the other place has spoken in favour of something with a clarity not seen from that place for some considerable time. It voted overwhelmingly for the Bill at Third Reading yesterday and this House should be wary of disturbing that happy alignment. While your Lordships’ House has the power and the right to amend any Bill other than a money Bill, I hope noble Lords will not be tempted to break the spell and ask the other place to think again about any aspect of it. We will not enhance the standing of your Lordships’ House if we are seen to intervene in the calling of a general election that is desired, and indeed much needed, by the other place The Bill has a very narrow purpose. It is to allow a general election to take place on 12 December, and nothing else. It is not about wider issues, such as the definition of the franchise. I hope noble Lords will respect the Long Title and not seek to introduce amendments that go beyond the scope of the Bill. If they do, I hope that the excellent clerks in the Bill Office will be robust with them Lastly, I appeal to all noble Lords to be brief and efficient at all stages of this Bill. We should return it to the other place unchanged and as rapidly as possible. We must then let the country decide who should govern us, and thereby determine the future of Brexit.
ParlaMint-GB_2019-10-30-lords.u112	My Lords, our image externally has not been enhanced, with some bemusement over how we have reached this point. Other noble Lords have underlined what is needed: reaching out, being magnanimous and healing wounds with those of differing Brexit persuasion. Mending differences and closing divides should be the order of the day I rise briefly with one or two personal reflections on what has been a traumatic process that has certainly taken its toll. I commend the noble Lord, Lord Callanan, who is not in his place, together with the respective shadow Front-Benchers who collectively have advocated their positions with effectiveness and good humour The debate in the UK has been domestic in nature. However, the EU side has, understandably, also stuck to its core principles, and I suspect has, on occasion, accommodated the United Kingdom. Future decision makers might wish to reflect on such contributions, remembering that Brexit should not be a winner-takes-all circumstance. This election will give the electorate the opportunity to express their preferences, but this is where I register my personal regret that the political class has been unable to deliver on Brexit. I accept that the Government have had no choice but to call the election, but it would have been preferable to determine the real will of the electorate in isolation from unrelated grievances Finally, there is one point that I wish to belabour. Amid all the talk of extending the franchise to 16 and 17 year-olds and EU citizens, there has not been sufficient consideration of UK citizens living in the EU, who lose the right to vote in general elections after 15 years outside the UK. This group, among the most adversely affected by Brexit, will be anguished not to be able to vote in December, and that includes many thousands in Portugal, where I am resident, and elsewhere on the continent. That said, if I were to offer any suggestion to UK citizens living on the continent, it would be, “Go register with your local immigration authorities in order to spare yourself angst post Brexit”.
ParlaMint-GB_2019-10-30-lords.u113	My Lords, I cannot but agree with the noble Viscount about the failure of the political class over the past two years to resolve this issue. Nevertheless, I have severe reservations about the Bill and the context in which it is being put forward. I was hoping to follow the noble Lord, Lord Dobbs, which would have been interesting, as I have a couple of points on casting in political plays. Boris Johnson likes to portray himself as Winston Churchill but acts more like Oliver Cromwell, who noble Lords will recall was the last person to try to prorogue Parliament against its will. He needed an army to do it. I also recall Cromwell’s words in relation to the rump Parliament—
ParlaMint-GB_2019-10-30-lords.u114	I beg the noble Lord’s pardon for not being able—as he can hear—to precede him this afternoon. However, I remind him that outside Parliament there is a big statue to Oliver Cromwell. Is he implying that there will soon be statues to Boris as well?
ParlaMint-GB_2019-10-30-lords.u115	I would be surprised if our successors agreed to that, but stranger things have happened. There might be a statue to the noble Lord, Lord Dobbs, before there is one to Boris Johnson My reservations are partly constitutional and partly concern the effectiveness of this election on Brexit. My first constitutional point has largely been covered by my noble friend Lord Puttnam. There is a real danger of our political process being corrupted by nefarious forces engaging in digital intervention. We know of various groups who intend to do so, and I have not even spoken to Moscow yet. There is a danger, therefore, of this being the first really seriously disputed election because of unlawful intervention My second constitutional point is the more profound one also made by the noble and learned Lord, Lord Judge. I always had my doubts about the Fixed-term Parliaments Act but, in the end, I went along with it. Since then, however, we have had two elections within two years, and a more honest description of the Bill would be “Delete the title ‘Fixed-term Parliaments Act’ and substitute ‘Two-yearly Elections Act’”. That is where we are. When Oliver Cromwell spoke to the rump Parliament, it had been there a decade, if not more. This Parliament has sat for precisely one Session. It is not a precedent that I hope we follow. The House of Lords has a reputation for being the guardian of our constitution, and we should at least put down a marker that this should not be seen as a precedent for future Governments and Houses of Commons. We should look, perhaps in a broader constitutional convention, at the length of our parliamentary Sessions My political point relates to the designation of this election as a Brexit election, and the slogan that the Prime Minister is apparently likely to use: “Let’s get Brexit done”. We all know that it will do nothing of the sort. Even this stage of Brexit is not clear. Parliament has not yet fully debated the withdrawal agreement arrangements or the Northern Ireland protocol, or indeed the political declaration. The issues raised by businesses and citizens around the country about our future relationship, trading and security arrangements with Europe will not be resolved by this election; they will not be resolved by 31 January; and they stand a good chance of not being resolved at the end of the transition period. If the public are expecting Brexit to be resolved by this general election, or by returning Boris Johnson and his manifesto, they will be very sadly disappointed. That will not resolve the conflicts in our country—it will make them worse I am not sure of the best way to resolve them. My preferred solution—which, I recall, the noble Lord, Lord Cormack, also proposed a few weeks ago—is to have a referendum and a general election on the same day. We would then know where the parties and individual candidates stood and, at the end of the election, you would know where the public stood. We are, however, not going down that road. We will be none the wiser about what Brexit will really bring us on the important issues that matter to citizens and businesses in this country on 12 or 13 December than we are today—or have been at any time in the past year I recognise that the Bill will go through. I regret that. I regret much of the past two years. I have a terrible foreboding that, if we are not careful, we will move into yet another area where statesmanship and leadership are absent from our Parliament. I shall deeply regret that.
ParlaMint-GB_2019-10-30-lords.u116	My Lords, I am truly delighted to follow the noble Lord, Lord Whitty, on the very points that he underlined in his concluding remarks, which I will address shortly I make three brief points. First, my party, Plaid Cymru, does not believe that a general election is an appropriate mechanism for resolving the problems that the Government apparently see in delivering their Brexit policy. We do not quite understand why the Government abandoned the Brexit Bill, for which they secured a Second Reading only earlier this month and which could easily have been on the statute book by 31 January. If the Government at long last recognise what many of us have steadfastly argued, that the Brexit issue has to revert to the people before it is implemented, a confirmatory referendum is the appropriate device for that purpose, not a general election. As it is, all the other vital issues that should dominate a general election campaign—pensions, jobs, the health service, police and crime, education and taxation—will now be subservient to the blasted Brexit demands that will dominate the coming election and are throttling all the other matters that people have a right to expect all potential Governments to address comprehensively during the campaign Secondly, this leads me to ask whether the Government have some devious purpose in having an early general election. I believe that is the case. If we were to stick to the Fixed-term Parliaments Act, we would have the next general election in June 2022, five years since the last one. I believe that it has dawned on the Government that the Brexit issue is, as the noble Lord, Lord Whitty, underlined, not going to go away. It is not going to disappear, and it is not going to be a quiet, tidy end, with the UK leaving the EU on the basis of the Government’s recent agreement with the European Union. All through 2020, the Brexit arguments will persist through the transition period. The Government will argue their case for a free trade agreement, but there is next to no chance of that being agreed by late 2020, so we will again in 12 months’ time be facing the danger of crashing out of the transition phase into a no-deal scenario. Even if transition is extended, the invidious search for a free trade area agreement could run into 2021 and even 2022—in other words, into the 2022 general election. That is what the Government recognise as the timebomb awaiting them just down the road and it is why they are cutting their losses and going for an election now. This is not fantasy scaremongering. The experience of Canada, whose free trade negotiations with the EU went on for year after year, is a warning to us all. That scenario for the next general election in 2022 is one that it is clear the Government just cannot countenance However, for whatever devious reason, we are having an election. My party, Plaid Cymru, will campaign unequivocally on a revoke mandate and will co-operate with other parties and candidates in Wales who are also committed to a revoke referendum to maximise the anti-Brexit presence in the next Parliament I remind this House that I was first elected for Plaid Cymru in the Caernarfon constituency in our last mid-winter election, in February 1974. Yes, it was dark; yes, it was wet; and, yes, it was very cold, but when the good people of Caernarfon saw dozens of young people committed to a cause, knocking three or even four times on their doors, they realised how much it meant to them and they swung to our cause. Let no one believe that today’s young generation is not equally committed. They will walk through rain, snow and darkness to turn every stone to achieve a Parliament which will, with the people’s consent, retrieve for Wales and for Britain a rightful place as part of Europe. That faith in the good sense of the younger generation to kick out this disastrous Government and seek a new relationship in these islands is what allows me to accept the challenge of an election on 12 December and to turn every stone to secure an outstanding outcome for Plaid Cymru, for Wales and for Britain.
ParlaMint-GB_2019-10-30-lords.u117	My Lords, the remarks of the noble Lord, Lord Wigley, illustrate how deeply entrenched views are and how three and a half years’ debate has not made the slightest difference to them. I think that the country is just weary of this—nobody, I suspect, more so than the noble Lord, Lord Callanan, who has done a fantastic job throughout the proceedings on these Bills Until recently, I did not want an election; I thought that we should deal with Brexit before moving on to other, more serious national matters, but recent events, the obduracy and intransigence of some of the parties to the Brexit arrangements, have made it inevitable. We must have a new House of Commons. The nation is weary of it and it has become deeply damaging in so many ways; we simply must start again I feel sure that your Lordships’ House will not stand in the way of this Bill and the general election. Having served in both Houses of Parliament, I am well aware of the delicate balance between the two. It is our job to revise and not to block. The Bill carried in the other place by 438 to 20 could not be clearer. During these many debates, I have warned that by blocking Brexit in this House we were not just damaging the nation’s future but putting in jeopardy our reputation and the future of your Lordships’ House. It remains to be seen just what the different party manifestos say about our future now The time has come to resolve so many issues and for each one of us to stand up and be counted. My personal belief is that, in Boris Johnson, we have someone who, in a few short weeks, has transformed the atmosphere in the country and shown his ability to be a truly great Prime Minister for the whole of the United Kingdom. He has my total support in the enormous task that lies ahead to carry out the will of the people and lead the nation to a confident and bright future.
ParlaMint-GB_2019-10-30-lords.u118	My Lords, like many noble Lords, I have sat through, or read the report of, many lengthy debates in your Lordships’ House about whether we remain in or leave the European Union. Hitherto, I have not made a direct intervention in the Chamber but, like many Members of this House and the British public at large, I have been utterly depressed by the inability of Members of the other place to provide the leadership, clarity of thought and good governance required to guide this country of ours through the turbulent times created by the outcome of the referendum in 2016. Worse than that, I have been further embarrassed by friends and colleagues in Europe and elsewhere who completely fail to see why a mature democracy such as ours has totally failed to meet the challenges that we set ourselves in June 2016. Therefore, if it is to be an early general election on 12 December that presents the opportunity to end this period of drift and embarrassment, I am totally in support of this Motion and hope that it passes through your Lordships’ House speedily and without further amendment As a Cross-Bench Member of this House, I quite properly express no public view on who should win the election, who should be Prime Minister after the election, nor indeed which party or parties should form the next Government, but I can properly state that my overriding priority for the next Government is that everything possible is done to preserve the unity of the United Kingdom and Northern Ireland. Fifty years ago, I joined the British Army and swore an oath of allegiance to Her Majesty the Queen, as the crowned head of the United Kingdom and Northern Ireland. Much of my active service was spent combating those who sought to take Northern Ireland away from the United Kingdom by force. On Remembrance Sunday, which is coming up shortly, I will once again reflect on friends and comrades who gave their lives for that cause. When you have carried the remains of your company commander in a plastic bag away from a field in south Armagh, you do not change your opinion lightly. More recently in 2015, I campaigned publicly to keep Scotland within the union, attracting most welcome criticism on the Radio 4 “Today” programme from Alex Salmond himself. As for Wales, I am a quarter Welsh, so that speaks for itself We need this election and, in the popular vernacular, we need it now. We need it to resolve the Brexit issue and to restore good governance to this country but, above all, we need a Government totally committed to preserving the integrity of this United Kingdom and Northern Ireland. Brexit may be important, but the territorial and constitutional integrity of this country is vital. In the language of military campaign planning, the maintenance of the integrity of this country is the centre of gravity. If we lose sight of that, we lose our identity, our purpose and our strength, and we risk diminishing ourselves at home and abroad.
ParlaMint-GB_2019-10-30-lords.u119	My Lords, the point has been made, but I would like to put it in a slightly different way: I think it is scandalous that something called the Fixed-term Parliaments Act can be used in this way, where we have a Bill with a clause that more or less says that, notwithstanding the Fixed-term Parliaments Act, we will have an election right now and, by the way, does not say in Clause 2 “and hereby repeal the Fixed-term Parliaments Act”. That makes no sense. It was said right at the start of this debate by the noble and learned Lord, Lord Judge, that this was an extraordinary way to proceed Secondly, I would like to reflect on the same point that was made by my noble friend Lord Whitty. Unless one believes in miracles—most people do not—the idea that a general election will now help bridge the divide between the two halves of our split country is not credible. To bridge the divide, something substantive would need to be on the table: for example, that we would leave the EU but stay in the single market with an arrangement, which is not impossible because some of the EFTA countries do exactly that under the EEA; that we would carry on with the free movement of workers, perhaps with some change to the boundaries of that; and that we would keep to the dynamics of regulatory alignment for technical standards, which we need because Europe is the biggest economy in the world—bigger than the United States and bigger than China—and it is a single factory floor. Those of us who worked in the trade union movement and people in the Labour Party at the moment often make this point and are generally solidly, certainly in the private sector, in favour of staying in the EU. How can that come over in a general election when the big lie, in the era of Trump, not only will not bring the people together but increase the amount of anger Something has to change fundamentally. I think the man in the moon—or the woman in the moon—would say, “You have to find some substantive agreement in the middle, or this will lead to more and more cynicism”. This will already be an election based on doubling the level of cynicism of any previous one. There are the two money trees. One side says, “We will spend £500 billion on this”; no, we will not. The other side then says, “We will spend £600 billion on this”; well, jolly good. I know that in Brazil and Argentina elections are always like that, but since when are our elections like that? The best are being driven out in this way, in which the electorate are treated as lacking in intelligence. This destroys public trust and confidence. Those people who believe what is being said along these lines have to get up and keep on saying it By the way, with reference to the statue of Oliver Cromwell, I am one of those campaigning for a statue of Jo Cox to be put outside on College Green. Very few women are represented in the stonework around the Palace. As she was in campaigning mode—as I am now, as it were—she was murdered for doing that. Of course, she was very firmly committed to our staying in Europe, but it could have happened to either side. We need more recognition that this is how British politics should be. We should not be tearing ourselves apart, so we have to look to that outcome Finally, I would like to reflect on the approach of the noble Lord, Lord Taylor of Holbeach. On this side, I add my thanks to him for his courtesy—not deserved by some of us—in the course of his time as Chief Whip. We should build on that sort of good will, as was called for by the right reverend Prelate the Bishop of Durham.
ParlaMint-GB_2019-10-30-lords.u120	My Lords, I strongly support the Bill. Parliament is currently deadlocked; we need to break free from this political paralysis. The country—and above all, business—needs stability and certainty. By the way, to echo the words of the noble and learned Lord, Lord Judge, I hope that the Bill sounds the death knell for the Fixed-term Parliaments Act. Above all, and this is the main point I want to make this afternoon, I hope that this election will restore confidence in representative parliamentary democracy. We had a Scottish referendum in 2014, a general election in 2015, a European referendum in 2016 and another general election in 2017. And the result? Paralysis, uncertainty and at times a very toxic political atmosphere. I see this election as a real opportunity to clear the air We have to understand that this election will not be a single-issue election. No election ever is or can be. It is voters who decide what an election is about, not the politicians. All of us who have trodden the streets and knocked on doors know that there are a thousand reasons and more why people vote for a particular party or candidate. For example, there will no doubt be some natural Labour supporters who will vote Lib Dem or Conservative just to keep Jeremy Corbyn out of Downing Street—there may be quite a lot of them. There may also be strong remainers who will, in the end, vote Conservative because they want Boris Johnson to be Prime Minister. Only the voter knows why he or she voted the way they did; nobody else really does, and we should not pretend to know I say this because occasionally some noble Lords try to reinterpret an election result by saying, “I know that’s how people voted, but you know, they didn’t really vote for this to happen, or that to happen”. The only evidence of what people voted for will be the election result itself and the MPs who are elected. It is then the job of each Member of Parliament to honour their election promises and to represent the interests of their constituents: the voters will have delegated to their MP the responsibility for taking these complicated decisions. This is how effective parliamentary representative government works, and if that is what we want—and I believe it is—then it is goodbye to referendums. Please, no more referendums.
ParlaMint-GB_2019-10-30-lords.u121	My Lords, five minutes is not a long time to speak, so I will not give a long history lesson, but I must observe that the history of winter elections is not very bright. The last one fought in December was fought by Stanley Baldwin, who lost. The last election fought on the question of who governs Britain was fought by Edward Heath and the answer was, “Well, we’re not sure, but definitely not you”. So the precedents are not that good. Even in 1910, the January and December elections produced stalemate; they did not move anything forward. None the less, I live in hope that this election will get it done, because we need to break the logjam In the referendum three-and-a-half years ago, it was argued that people did not know what they were voting for. That could be right: a lot was said and a lot passed under the bridge, but this time, no one can say that. Although I strongly believe in remain, I think the fact that Boris Johnson has made his position very clear is a good thing, because it means that when the result comes in, if he has won, he has a clear mandate for Brexit. I will not be arguing any longer for a referendum; I will say, he has put the matter to the people and he has won a majority for what he wanted to do. I call on all my colleagues to respect that. Similarly, if we get what I am going to call a coalition Government, they must be committed, in some way or another, to a confirmatory referendum. There has been a little too much point-scoring between the Lib Dems, the Labour Party and the SNP. They have to reach a common position, and part of that common position has to be what they will put back to the people and how long before it is done As many noble Lords will know, I have a dual role, doing some jobs in Brussels. The frustration there is about the inability of the political class in Britain to decide what it wants. If a coalition Government went back and said, “Look, we’re going to have a referendum”, it would have to be a referendum that led not to months of wrangling but to a clear decision. Either we are staying on the terms we had before, or we are leaving on the basis negotiated. We cannot carry on and on with this division I make one reflection. We hear a lot about stable government. For a long time, I have advocated proportional representation. I was always told that it would end stable government. My answer has always been that if you had PR, you would not have Jeremy Corbyn leading the Labour Party and you might have a different leader of the Conservative Party. Yes, we would have to put up with the equivalent of Die Linke, the left in Germany, and the equivalent of the AfD. I remind your Lordships that the Norwegian first party and the Finnish now party, as right-wing parties, have played a more constructive role in government than they would have done as outliers within the main parties. I put it to your Lordships that part of the solution might still lie in a reformed electoral system Finally, picking up on something that my good friend, my noble friend Lord Cormack said—I first knew him when I was dealing with the trade unions—I deeply regret the treatment of, in particular, Ken Clarke, with whom I worked closely when the Conservatives were in opposition; even more so David Lidington, who became a personal friend and was, to my mind, probably our best Minister for Europe, widely respected and liked there and able to put an often difficult case across without alienating people; and finally, Patrick McLoughlin, one of the few working men who got on to the Conservative Front Bench and who played a distinctive role in keeping the party’s feet on the ground. They have been treated disgracefully, and it does our party no credit not to readmit them and put them up for membership of this House, which they have all justly earned through their service.
ParlaMint-GB_2019-10-30-lords.u122	My Lords, I am delighted to follow the noble Lord’s celebration of proportional representation. I note his comments on German politics, although he did not note that the German Greens are currently in pole position to provide the next Chancellor—one impact of proportional representation I do not plan to use this speech as a party-political broadcast. Your Lordships’ House can judge who might or might not have chosen to use their speech for that purpose. I shall tell you why, were this to come to a vote—it is fairly clear that it will not—the Green group in this House would be voting against the Bill as it stands We would do that not because we think that this unelected House should not block the Bill. That is not the reason for our choice. It is interesting that so many of your Lordships have referred to that fact as a reason to support the Bill. That is a powerful argument for a modern, functional constitution with an elected upper House, for us to be in a position to make stronger judgments. Were this House to be sitting for longer, your Lordships could have seen the Bill that I tabled for that purpose I am not saying that we would vote against the Bill because, as Caroline Lucas said in the other place, a general election is just that—on general subjects. The sensible, logical, democratic way to solve the Brexit chaos is to give the people the final say, even though that is obviously a fact The reason we would vote against the Bill, were there to be a vote, is the huge number of barriers to a free and fair election on 12 December. The noble Lord, Lord Puttnam, made many references to the huge problems that we have with technological change and how our electoral laws have failed to keep pace with them. Lots of the things to which he referred would require complex legislation and changes, and we do not have time for that, but the Green group, following Caroline Lucas in the other place, proposed a small amendment to the Bill. We were told by the Public Bill Office that this would be out of scope of this Bill, but I will now read this on to the record, so noble Lords can see how simple, quick and easy it would have been The title is “unlimited fines for electoral offences”. It reads: “The Political Parties, Elections and Referendums (Civil Sanctions) Order 2010 is amended as follows: schedule 1, paragraph 5, leave out ‘£20,000’ and insert ‘unlimited’” The Explanatory Statement says: “The new clause would allow the Electoral Commission to impose unlimited fines for electoral offences” That reflects a request from the Electoral Commission, the independent arbiter, that was made to the Government in May 2018, 18 months ago. This would be a simple change. As the noble Lord, Lord Hain, showed earlier, this House can act very rapidly and show its direction to the other place. It is a grave pity that we have not had the chance to do this here, now, with this proposed amendment The current £20,000 maximum fine is peanuts to many of the people who are able to buy the rest of the politics that we all get. An unlimited fine, which would allow the Electoral Commission to act in proportion to the level of the offence, is a simple change and would make the coming election, on 12 December, free and fair—a little freer and fairer anyway Finally, I will reflect on just how broken our politics is and how I fear this election is incapable of fixing it. On Christmas Day, it will be five months since Boris Johnson became Prime Minister, should he still be Prime Minister then. Over that period, the House will have sat for less than one in five days. In those five months, the Prime Minister will have attended Prime Minister’s Questions three times. That record is unmatched by any Prime Minister in history and we all hope it will not be matched by any future Prime Minister. The noble and learned Lord, Lord Judge, suggested that the next election will be in December 2024. That is very optimistic, under the circumstances. Our current politics is broken; we need far more changes. Let us all work towards them together.
ParlaMint-GB_2019-10-30-lords.u123	My Lords, I have not spoken on anything to do with Brexit before, but I have listened to interminable speeches from Peers on all sides of the argument. I feel I know how noble Lords think. Yesterday, the elected House passed the Bill to this House, so I believe it is now the duty of all noble Lords in this unelected House to pass the Bill in its current form. Failure to do so would be intolerable and do long-term damage to this House.
ParlaMint-GB_2019-10-30-lords.u124	My Lords, we need to learn from our experience. It seems to me self-evident that a House of Commons which has lost not only the respect but the confidence of the nation is something that needs to be replaced. I think that a House of Commons in which the Government no longer actually control the business is something that needs to be displaced. It is also self-evident, although I have no knowledge of the dynamics of what goes on in this House of Commons, that in any House of Commons the difficulty of securing a majority for a Dissolution, if a majority is required, increases with the number of people in that body who are likely to lose their jobs and their places. So when there is an urgent need to refresh the House of Commons and it is faced with a Bill which dramatically increases the majority needed until it cannot be reached, the only conclusion I can reach is the same as that of the noble Lord, Lord Lea of Crondall, who I caught as I was going out, and certainly that of the noble and learned Lord, Lord Judge, which is that the Fixed-term Parliaments Act is actually an anti-democratic piece of legislation and should be repealed swiftly. I am speaking now only in order to put on the record that I, and I think many others, would urge the incoming House of Commons to address this problem as quickly as possible.
