ParlaMint-GB_2019-04-30-commons.u1	1. What steps his Department has taken to promote youth entrepreneurship.
ParlaMint-GB_2019-04-30-commons.u237	rose—
ParlaMint-GB_2019-04-30-commons.u238	rose—
ParlaMint-GB_2019-04-30-commons.u239	I call Alison Thewliss.
ParlaMint-GB_2019-04-30-commons.u240	Thank you, Mr Speaker. My tactic of wearing a dress so big I can hide a colleague behind it is working Will the Secretary of State look at the harm that celebrity endorsements on social media can do to young people? The Empowered Woman project in Scotland highlighted how Marnie Simpson of “Geordie Shore” had been plugging Thermosyn diet pills, which are marketed as “skinny caffeine”. When I asked the Secretary of State for Digital, Culture, Media and Sport about that, he said that the UK Government were looking at “user-generated content, not necessarily commercial activities”—[Official Report, 8 April 2019; Vol. 658, c. 73.] Celebrity endorsement veers into the commercial area, however, and has a very significant effect on young people in terms of body image and eating disorders.
ParlaMint-GB_2019-04-30-commons.u241	My colleague the suicide prevention Minister is looking at this area, particularly endorsements of cosmetics, and I am sure she would be very happy to talk to the hon. Lady.
ParlaMint-GB_2019-04-30-commons.u242	My generation growing up might have feared bullying in the playground, but largely home was a refuge and place of safety. The problem for the current generation is that they can find themselves being bullied 24/7 because of social media. It is little wonder that when I contacted Twitter after seeing some rather libellous material it told me that in its view it was not abusive, even though it was against the law in this country. Does the Secretary of State agree that until social media companies understand that they have to operate under the norms and laws of this country, and not just abide by Californian norms, they will never reform?
ParlaMint-GB_2019-04-30-commons.u243	My hon. Friend puts it exactly right. That is what the duty of care is all about. The argument—we hear it less and less, to be honest—that these are international companies and so will abide by somebody else’s laws, thanks very much, is wrong and out of date, as the Online Harms White Paper makes clear. We must establish a proper enforcement mechanism to ensure that it is the rules that this House sets—occasionally amended by the other place—that define the law of the land and that we do not have a wild west. This action to protect people’s health is just one part of the response needed to make the internet safe, especially for children.
ParlaMint-GB_2019-04-30-commons.u244	Thank you for calling me so early, Mr Speaker. [Interruption.] It couldn’t be any worse My son contracted measles one month before he was due to receive his MMR vaccine because of a dip in numbers being vaccinated, so I very much welcome the Secretary of State’s statement about tackling anti-vaccination posts on social media. Last year, the Select Committee on Science and Technology carried out an inquiry into the impact of social media on young people’s health, and one of the statistics presented to us was quite disturbing: 50% of young people between the ages of 11 and 16 had seen pornographic images, and many of them had stumbled across them. When I spoke to my 11-year-old daughter, she confirmed that she had seen images that upset her but had been too scared to speak to me about it. What is the Secretary of State doing to alert parents to the dangers of social media and to give them guidance on how to speak to their children and identify when they might have seen things online that have upset them?
ParlaMint-GB_2019-04-30-commons.u245	Mr Speaker, that question was so good it is only a pity it was not asked earlier in our exchanges I want to address two important points. First, the hon. Lady’s son is a case in point of how, if parents do not vaccinate, they endanger not only their own children but other people’s. It is because of a failure to vaccinate that these diseases still exist, and it is children who are too young to be vaccinated who are at risk. She has made the case more powerfully than anybody for the importance of vaccinating and keeping vaccination rates up, and I am grateful to her for sharing that personal experience. On the second point, she is quite right that we all have a responsibility to act, and act we will.
ParlaMint-GB_2019-04-30-commons.u246	It is a privilege to have the last word The whole House is concerned about the effect that the internet can have on young people’s mental health, and I welcome the action that the Secretary of State is taking. Is there truth and accuracy in the reports that Wikipedia did not attend yesterday’s summit? If so, does he share my disappointment, and does he feel that Wikipedia must take this issue seriously and engage with it?
ParlaMint-GB_2019-04-30-commons.u247	Unfortunately, those reports are true. I share my hon. Friend’s disappointment that Wikipedia did not attend either of the two summits, despite having been invited. At yesterday’s summit, we agreed that we would get in touch with Wikipedia in robust terms, because it is not acceptable for it to shirk its social responsibilities either If I may say so, I think that the statement and the responses to it have shown that there is unanimity in the House. Every speaker has mentioned the need to tackle anti-vaccination misinformation and the social media organisations’ responsibility and duty of care in relation to the health—mental and otherwise—of people on their platforms. The House speaks with one voice, and the social media companies, and the internet companies that have not yet engaged should listen.
ParlaMint-GB_2019-04-30-commons.u248	On a point of order, Mr Speaker. In 2017, the Department for Work and Pensions changed the wording of the ESA65B letters to GPs, wrongly informing them that they no longer needed to provide fit notes for ill and disabled patients who had been found to be “fit for work”. On 18 March this year, in response to an oral question from me, the Secretary of State for Work and Pensions said that the letter had been “cleared by both the British Medical Association and the Royal College of General Practitioners.”—[Official Report, 18 March 2019; Vol. 656, c. 769.] However, letters published yesterday by the BMA and the RCGP state that they do not have the authority to clear, approve or otherwise sign off DWP policies The “Ministerial Code” clearly states: “It is of paramount importance that Ministers give accurate and truthful information to Parliament, correcting any inadvertent error at the earliest opportunity.” I have written to the Secretary of State urging her to come to the House and correct the record. I seek your advice and guidance, Mr Speaker, on how to ensure that that is done promptly.
ParlaMint-GB_2019-04-30-commons.u249	I am grateful to the hon. Lady for her point of order, and for her courtesy in giving me notice of her intention to raise it I have received no indication from the Secretary of State for Work and Pensions of an intention to come to the House to say anything about this matter. It is, of course, incumbent on each and every Member to take responsibility for words spoken in the Chamber—that is to say, for their accuracy. In the event that the Secretary of State feels that it is necessary to correct the record, I expect that will happen. Meanwhile, because I cannot be the arbiter of whether such a correction is required, all I can say is that the hon. Lady has made her point with force and alacrity, and it will have been heard by those on the Treasury Bench.
ParlaMint-GB_2019-04-30-commons.u250	I beg to move, That leave be given to bring in a Bill to require that the net UK carbon account by the year 2050 is zero This Bill would create a legal obligation, the first in any G20 country, for the UK to reach net zero carbon emissions by 2050. Let me be clear: the Bill is radical, and necessarily and unapologetically so. The circumstances of climate change are so serious that nothing less will do. Importantly, however, its central target is achievable Climate change is not some future, theoretical possibility; it is a present, practical reality. The five warmest years in recorded history have been since 2010. Here in the UK, Easter Monday was the hottest on record. In January, Australia experienced its warmest month ever, causing power outages after fuses overheated. Glaciers are retreating almost everywhere in the world, from the Alps to the Himalayas. The Ross ice shelf in Antarctica, which covers an area about the size of France, is melting 10 times faster than expected, according to Cambridge University scientists. Last year, wildfires broke out as far north as the Arctic circle. Some Members have seen changes with their own eyes. During a debate earlier this year, the hon. Member for Manchester, Withington (Jeff Smith) spoke powerfully of going back to the great barrier reef after 25 years to find magnificent corals bleached and dead We can choose to dismiss these events as a coincidence, ignoring the fact that they have taken place alongside soaring levels of greenhouse gases. We can choose the comforting observation that the Earth’s climate has shifted in the past, ignoring the fact that those shifts have tended to happen slowly, over hundreds of thousands of years. Alternatively, we can listen to the overwhelming majority of climate science—to all intents and purposes, a scientific consensus. The conclusions are clear: evidence of humankind’s influence on the climate is compelling and established beyond all reasonable doubt. We therefore need to act Although the Bill seeks a new radicalism in the way in which this issue is tackled, it is only right to recognise that it would not be proceeding from a standing start. The United Kingdom has a strong record of global leadership in this regard. That includes the moment when a British Prime Minister and trained scientist, Margaret Thatcher, went to the United Nations and, unequivocally, made a link between human behaviour and environmental harm. She said: “It is mankind and his activities which are changing the environment of our planet in damaging and dangerous ways.” She did not retreat behind the convenient excuse that the UK is responsible for only a small fraction of world emissions—about 1%. That would be weak and evasive, and it is not the British way; nor, in fairness, was it the British way under a Labour Government. In 2008, the then Government introduced the Bill that became the world-leading Climate Change Act, which enshrined in law a commitment to reduce carbon emissions by 80% from 1990 levels. That Bill was passed by a huge cross-party majority, with only a handful of objections. Indeed, since 1990, we have cut our emissions by a full 42% while our economy has grown by two thirds, which means that, on a per capita basis, we have reduced emissions faster while also growing our economy more than any other G7 nation. That is not my verdict, but the verdict of PricewaterhouseCoopers. Last year, a record amount of UK power was generated from renewable sources, with more than 30% coming from renewables and more than 50% from low carbon sources overall. As the sun shone over the Easter weekend, the UK went for 90 hours and 45 minutes without generating any electricity from coal, smashing the previous record of 76 hours. Meanwhile, our country is making huge strides in protecting biodiversity through, for instance, marine conservation zones However, despite that strong track record, we know that we have to do so much more if we are to keep control of our climate. Although our current trajectory sets us on course for an 80% reduction in our emissions from 1990 levels by 2050, the science is now clear: if we continue to pump even that remaining 20% of greenhouse gases into the atmosphere, it is very likely that climate change will accelerate, and with it global temperatures. Indeed, if we stay on the same path, our children can expect to grow up in a world of surging sea levels, more insecure food supplies, degraded wildlife and destroyed coral reefs. We also risk the deeply alarming prospect of hitting climate tipping points—such as the melting of arctic permafrost and the subsequent release of huge stores of frozen greenhouse gases—which could cause us to lose control of our climate for good All this presents a heightened risk of conflict over scarce resources. My right hon. Friend the Member for West Dorset (Sir Oliver Letwin) has made the point that one of the biggest future risks to international security is the climate fence around Bangladesh and the possibility of rising waters forcing tens of millions of people up towards the border with Kolkata So why 2050? To answer that question, we must recall the Paris climate accord, under which Governments across the world committed themselves to keeping global warming “well below 2 degrees Celsius above pre-industrial levels”, and making efforts to limit it to 1.5°. However, the special report from the Intergovernmental Panel on Climate Change, published in October 2018, states that if there is to be a realistic chance of meeting the 1.5° target, global carbon dioxide emissions will need to reach net zero by about 2050, with net zero for all greenhouse gases reached in future years. The report warns that there are only a dozen years in which to take action. It also states that the impact of 2° warming versus 1.5° is profound. At 2°, more than twice as much wildlife faces a major shrinkage in range. At 2°, sea levels will be 10 cm higher. At 2°, the number of people exposed to water stress would be 50% higher than it would be if we kept to 1.5° If we are to apply the brakes on what could easily become the runaway train of climate change, we have to reduce emissions drastically, and do so as soon as feasibly possible. Our young people realise that, as I know from speaking to them in Cheltenham and beyond. Only last week, I met Balcarras students who have set up Sustain, a Young Enterprise team promoting environmental education. Their energy and sense of mission is inspiring and uplifting Although this Bill was conceived before the Extinction Rebellion protests, those demonstrations were a timely reminder of the growing democratic drumbeat across the generations for the new radicalism about which I have spoken. That has been reflected in this place, too. My hon. Friend the Member for Middlesbrough South and East Cleveland (Mr Clarke) compiled a letter calling for net zero, which was signed by 191 right hon. and hon. Members Importantly, this Bill would create a framework for a project of national economic renewal that is credible and realistic, and one that can generate opportunities for future generations. Unrealistic targets create false hope. The Energy Transitions Commission is a coalition of business, finance and civil society leaders, chaired by the former financial regulator Lord Adair Turner, and its members are drawn from across the spectrum of energy-producing and using industries. In its impressive report, entitled “Mission Possible”, it indicates that it “strongly believes” that the objective of limiting global warming—ideally to 1.5°, and at the very least below 2°, by 2050—is achievable in developed economies, so it can be done, and I look forward to reading the conclusions from the Committee on Climate Change report on Thursday There is growing enthusiasm from business, too. Tesco and Unilever back the move to net zero. The National Farmers Union is advocating net zero for agriculture by 2040. Vattenfall and ArcelorMittal are building facilities to make emissions-free steel. In cement—a notoriously energy-hungry sector—experts believe that improved building design can reduce total demand by 34%. Hydrogen could potentially be used as a heat source in steel and chemicals production British ingenuity from Brunel to Dorothy Hodgkin has placed the UK at the cutting edge of technological advances in science and engineering. We have the talent and the vision, and we need the political will. There are those who say that not all the technology is there yet, and up to a point that is true, but it does not mean we should not start the project It is time for what some have referred to as “cathedral thinking”. When Sir Christopher Wren started St Paul’s, he did not have a definitive design for every last aspect, and the dome ended up being radically revised as improved building technology made a more ambitious design possible. We need to start the project, and then row in behind the target with an ambitious programme of policies on issues ranging from house building standards to transport, agriculture and planting more broad-leaved trees. In due course, the rest of the world will need this technology. Ours can be the country to develop it, perfect it and sell it. This shows the real power of net zero—not just a project of moral necessity, but one of economic renewal, too Of course, we cannot do this alone—that is why the UK is bidding to host the vital UN climate change conference in 2020, so that we can leverage our climate leadership—nor will this be easy, but there is the great prize of a healthy planet, teeming with life and echoing to the sounds of rich and vibrant biodiversity; the prize of a society united in a common purpose of preserving our environment and holding back climate change; and the prize of an economy at the cutting edge of scientific and manufacturing technology. Let us go for net zero.
ParlaMint-GB_2019-04-30-commons.u251	I think it is important that an alternative point of view should be expressed in this short debate, and that is what I intend to do I was one of the Members of this House who voted against the 2008 Climate Change Bill on Third Reading, and I have no regrets whatsoever about having done so. Indeed, the line that those of us who voted against that Bill took has been endorsed in a very important report, issued last year to coincide with the 10th anniversary of the Climate Change Act 2008, in which it was described by Rupert Darwall as “History’s most expensive virtue signal” That was obviously an expensive virtue signal, but what my hon. Friend the Member for Cheltenham (Alex Chalk) is proposing would be an even more expensive and extravagant virtue signal. [Interruption.] It would be well to remind my hon. Friends—some of them are right honourable—of somebody whom I think they held in high esteem. In 2011, the former Member for Tatton the right hon. George Osborne told the Conservative party conference: “We’re not going to save the planet by putting our country out of business. So let’s at the very least resolve that we’re going to cut our carbon emissions no slower but also no faster than our fellow countries in Europe.” At the 2017 election, many of my right hon. and hon. Friends were elected, as I was, on the basis of a Conservative party manifesto that promised there would be an inquiry into energy costs. Soon after the election, that inquiry was set up under the auspices of the Government, and the inquiry—the cost of energy review—was carried out by the distinguished Oxford energy economist Dieter Helm. I find it extraordinary that my hon. Friend made no reference whatsoever in his introductory remarks to the contents of the Helm report, let alone to its conclusions Dieter Helm supports, as I do, the objective of cutting greenhouse gas emissions, but his overall verdict is one of the most damning to be found in any official report on any Government policy in any field. He concluded that continuing with current policy would perpetuate the crisis mentality of energy sector crises, which, he says, are likely to worsen. The report states that this is “challenging the security of supply, undermining the transition to electric transport, and weakening the delivery of the carbon budgets. It will continue the unnecessary high costs of the British energy system, and as a result perpetuate fuel poverty, weaken industrial competitiveness, and undermine public support for decarbonisation.” It is extraordinary that although the Government commissioned that report, they have in effect never responded to Professor Helm’s conclusions. It is almost as though there is a collective state of denial about all this. That is why I think it important, before we engage in any more expenditure on virtue signalling, to pause for a moment and think about the need to carry out proper cost-benefit analyses before we implement changes in legislation Nothing my hon. Friend said in his opening remarks spelled out the specific benefits that will accrue to people in the United Kingdom, as against elsewhere, as a result of this extraordinary act of self-indulgence, whereby we will unilaterally condemn our economy to problems that no other economy is prepared to suffer. He has not set out at all where the benefits will come from, so we have had neither the costs nor the benefits set out. That is exactly one of the problems there was with the climate change legislation in 2008 I recognise that I may be in a minority in this House in articulating this view, as indeed I was in 2008, when a number of us voted against the primary legislation, but however emotionally charged this issue is, I do not believe we should ignore our responsibility as legislators to look in a hard-headed way at the costs and benefits that will accrue to our country. I am not going to seek to divide the House on this issue today, because—[Interruption.]
ParlaMint-GB_2019-04-30-commons.u252	Order. It is very discourteous for Members to witter away from a sedentary position when another point of view is being expressed. The hon. Gentleman might not wish to test the will of the House, but if he wished to do so he would be at liberty so to do. He is entitled to make his speech and to be treated with courtesy by everybody, so those who are not behaving with courtesy ought to reconsider their behaviour.
ParlaMint-GB_2019-04-30-commons.u253	I am grateful to you for that intervention, Mr Speaker. I am sure that none of my colleagues needs to be given lessons in how to conduct themselves in this Chamber, because I know that at heart they are all very polite people, but sometimes their emotions get the better of them. I fear that that is what has been happening today The reason that I will not seek to divide the House today is that, as a matter of principle, I believe that anybody who wishes to bring in a private Member’s Bill should be free so to do. They should not expect that Bill to go through on the nod when presented to the House, but I see no reason why we should not allow people to bring in private Members’ Bills, and that is what the motion seeks to do. My hon. Friend the Member for Cheltenham seeks the leave of the House to bring in his Bill, and I certainly do not wish to deny him that right While I am speaking, I should like to remind the Government of something. Perhaps this is going to be a Parliament of only one Session, which could go on for two, three, four or five years, but let us remember that during each Session of Parliament, a proportionate number of days should be given over to private Members’ Bills. By extending this Session, seemingly indefinitely, the Government should be under a duty to provide more days on which we can debate the sort of measures that my hon. Friend has brought before the House today. As things stand, his Bill will not be able to be debated in this Session because no other days have been set down for private Members’ business Question put and agreed to. Ordered, That Alex Chalk, supported by Zac Goldsmith, Rebecca Pow, Mr Simon Clarke, Richard Benyon, Vicky Ford, Kevin Hollinrake, Sarah Newton, Paul Masterton, Jenny Chapman, Helen Goodman and Tonia Antoniazzi present the Bill Alex Chalk accordingly presented the Bill Bill read the First time; to be read a Second time tomorrow, and to be printed (Bill 384).
ParlaMint-GB_2019-04-30-commons.u254	I beg to move, That the Bill be now read a Second time This is a small and narrowly drawn, but nonetheless important, Bill. It aims to provide a welcome simplification of the tax treatment of termination awards and sporting testimonials. The corresponding rules determining the income tax treatment of termination awards and sporting testimonials were legislated for in the Finance Acts of 2016 and 2017. At that time, it was made clear that we would return and replicate those rules in national insurance legislation in due course, to ensure that there was not a persistent misalignment. Implementation of the measures in this Bill will replicate those rules in national insurance legislation. By the nature of national insurance, it is required to have a separate piece of legislation from the Finance Bill These measures were first announced at Budget 2015. They were then consulted on and published in draft in December 2016. They were subsequently reconfirmed at Budget 2018, so it is reasonable to say that they are expected by those affected and have been subject to much scrutiny. Together, they mean that a 13.8% class 1A employer national insurance charge will be applied to income derived from termination awards and sporting testimonials that are already subject to income tax Let me first set out the measure that covers termination awards. Between 2013 and 2014, the Office of Tax Simplification reviewed the tax treatment of employee benefits and expenses. The OTS published an interim report in August 2013 identifying termination awards as one of a number of priority areas. It found that relatively few employers and employees properly understood the regime. There was confusion, and the regime was therefore ripe for reform and simplification The OTS specifically identified three areas of misunderstanding on which it recommended we take action. First, certain forms of termination awards are exempt from employee and employer national insurance contributions and the first £30,000 is free from income tax. However, there is a common misconception that the first £30,000 of any termination payment is automatically tax free. Secondly, many employers believe that this exemption applies where in fact it does not, and thirdly, employers are unaware of the different income tax and national insurance treatment of termination payments Following the OTS recommendations, the Government announced at Budget 2016 that they would be reforming the tax and national insurance treatment of termination awards. As I said, the reforms to the income tax treatment of termination awards were legislated for in the Finance (No. 2) Act 2017 and took effect from April 2018. The Government confirmed at Budget 2018 that the associated reforms to national insurance legislation would be in place for April 2020. However, the fact that termination awards are currently subject to different income tax and national insurance treatment has created confusion, and that is what we are attempting to deal with today. Moreover, the current misalignment incentivises an admittedly small number of well-advised employers to disguise final payments as compensatory termination awards that benefit from a national insurance charge exemption. These reforms will close that loophole The Bill will place a 13.8% class 1A employer national insurance charge on income derived from termination awards on amounts over £30,000. However, I want to assure hon. Members that, when it comes to employee national insurance, these payments will remain entirely exempt. We have chosen to continue to ensure that employees will not face any additional liability as a result of these changes in terms of employee national insurance. This measure will raise around £200 million per annum for the Exchequer, which will make an important contribution to our public services. As this is a Budget measure, this sum has already been reflected by the Office for Budget Responsibility in its projection for the public finances Let me turn to the second measure in the Bill, which deals with aligning the employer class 1A national insurance treatment of income from sporting testimonials with the income tax treatment. As many hon. Members will be aware, a sporting testimonial is a one-off event—or series of related events—held on behalf of sportspeople who have played for a certain club for a long time. This often takes the form of an exhibition match involving famous players from the past and present. The testimonial can be used to raise money for the sportsperson before retirement, or sometimes to raise money for charity. The relevant income tax changes were debated and came into force from April 2017. As stated at the time of the Finance Bill—later the Finance Act 2016—the rules governing sporting testimonials are now changing to give clarity to the national insurance treatment as well Currently, when a sporting testimonial is non-contractual or non-customary, it can be organised by a third party, rather than the club or employer, to raise money without it being subject to NICs. Where the employer arranges the testimonial, or if it is part of the contract, or if there was an expectation that the sportsperson would be entitled to one, the testimonial is already subject to income tax and NICs.
ParlaMint-GB_2019-04-30-commons.u255	Is there a sense of how common it is for a testimonial to be contractual? We all know that it is commonplace in cricket and football for players to have testimonials or similar events, so one assumes that most of them are contractual.
ParlaMint-GB_2019-04-30-commons.u256	My hon. Friend makes a good point, and our analysis is the same. Last year, only around 220 sporting testimonials of any kind took place in the United Kingdom, and a large number will have been contractual. Certainly, the highest-profile ones, such as those of premiership footballers or leading cricketers for significant county clubs, are usually contractual. As I will go on to say, because the measure has a one-off £100,000 threshold during the career of the sportsperson, a large number of those 220 testimonials will fall below the threshold. Less high-profile sportspeople, who will perhaps have lower earnings, are likely to be within the threshold. We are talking about a small number of relevant testimonials and, as hon. Members will see in the Bill’s accompanying documents, the measure will raise a negligible sum. Our motivation is primarily the simplification of the tax system and the avoidance of doubt for sportspeople and those advising them, rather than to increase revenue materially.
ParlaMint-GB_2019-04-30-commons.u257	The Minister is making a clear point. I want to speak mainly for the cricketers of Somerset County cricket club, and I declare an interest here, because my husband, who is an auctioneer, has helped to raise money at many of their testimonials. A testimonial can make an important contribution to a player’s salary, especially those who have played for a long time. Will the Minister clarify that the legislation will clear up the situation, which does seem somewhat confusing? We do not want players to feel hard done by, but we have to take the right amount of tax and we must be fair. Will he also clarify that the proposals are fair and that players who may earn less will not be jeopardised?
ParlaMint-GB_2019-04-30-commons.u258	Yes, and I must also declare an interest as a member of Nottinghamshire County cricket club. We have given the matter a great deal of thought. The proposal was raised several years ago, as I said, and we consulted at that time with the sporting bodies, including the England and Wales Cricket Board. It was my right hon. Friend the Member for South West Hertfordshire (Mr Gauke), then the Financial Secretary to the Treasury, who discussed the matter with the cricketing bodies. When the proposal was first brought forward, the threshold was £50,000 but, having spoken with the sporting bodies, we made the decision to increase it to £100,000, making it significantly more generous and allaying some of the concerns that my hon. Friend the Member for Taunton Deane (Rebecca Pow) sets out.
ParlaMint-GB_2019-04-30-commons.u259	rose—
ParlaMint-GB_2019-04-30-commons.u260	Let us hear from Essex County cricket club.
ParlaMint-GB_2019-04-30-commons.u261	I just wanted to declare an interest as a member of Essex County cricket club. I thank the Minister for supporting cricket.
ParlaMint-GB_2019-04-30-commons.u262	That is not a problem as long as we do not forget the great county of Lancashire. [Laughter.]
ParlaMint-GB_2019-04-30-commons.u263	Very good. I re-emphasise that not only is there a £100,000 threshold, but that this is about fairness. All sportspeople who have a contractual right to a testimonial, which is commonplace, will have been paying income tax and national insurance on the benefit from that for some time, so this measure merely provides a greater degree of certainty and fairness. Of course, some of the clubs organising such testimonials will be smaller, or they may involve testimonial committees, so providing them with the clearest possible advice will be helpful. It will also ensure that there is no doubt in their minds when doing a good thing that is in the interests of players who may be at the end of their careers or may have been injured prematurely From April 2020, non-contractual and non-customary testimonials arranged by third parties will now be subject to NICs above a £100,000 threshold. A third-party testimonial committee will be liable to pay the class 1A employer NICs charge on the amount raised above £100,000. These types of testimonials will not be subject to employee NICs to ensure that the sportsperson is not adversely affected. Again, as with the termination awards measure, we have chosen to act in relation to employer national insurance contributions, not employee contributions, so there remains a benefit to individuals in that respect I reassure hon. Members that the vast majority of sportspeople will be unaffected by the Bill because they will not exceed the £100,000 threshold. As I have said, Her Majesty’s Revenue and Customs estimates that only around 220 testimonials occur each year, most of which will remain unaffected as they either fall below the £100,000 level or are part of a previous contractual arrangement, which is commonplace in most sports Although the measure will bring in negligible revenue—we estimate less than £3 million a year—its value comes in the alignment and simplification of the tax and NICs treatment of sporting testimonials and clarity for those taking part in testimonials or those on sporting testimonial committees. Sporting bodies and other relevant stakeholders are expecting the changes, because our intention to make them has been known since at least 2015. As the changes required an NICs Bill, there has been a short delay, but that is what we are attempting to do today In conclusion, it may be a small and narrowly drawn Bill, but it is none the less important and includes two measures that simplify our tax code. Like many right hon. and hon. Members, I would like greater simplification of the tax system, but that journey must begin with single steps, and we are taking one of those today in simplifying the tax code in two significant respects that will have real-world consequences for individuals, who will benefit from a simpler system. The Bill will also raise a significant sum for public services and support our continued efforts to improve the public finances. It brings the national insurance and tax treatment of termination awards and sporting testimonials into closer alignment, and I commend it to the House.
ParlaMint-GB_2019-04-30-commons.u264	The condensed national insurance Bill before us is a shadow of its former self. I would have liked to be able to say that I was bowled over or knocked for six by the Minister’s speech, but there were more own goals than anything else. It is far from the extensive Bill that was promised by the Chancellor’s predecessor at the 2016 Budget, which included the Conservative’s 2015 manifesto pledge to abolish class 2 national insurance contributions. Instead, that manifesto pledge, like many of the Government’s promises, has quietly been sent to the landfill, barely even being recycled in this five-clause Bill. As for scrutiny, we have not even been able to amend the last three or four Finance Bills, but I am pleased that we will have an evidence session in Committee. I will be grateful for small mercies because we may be able to tease matters out a little more The cannibalisation of the national insurance Bill, which has been driven by the Chancellor’s volte-face on a tax cut for 3 million self-employed workers, reflects once again why the Conservative party has long ceased to be the party of the self-employed in particular and business in general. To many observers this will be viewed as another missed opportunity—one of the many opportunities that this Government have missed—to seriously address the relationship between the growing levels of self-employment in the UK and the levels of taxation and national insurance contributions that are paid The rushed timetable of this Bill has shown, once again, the Government’s complete lack of respect for parliamentary convention and the procedures of this House. The Opposition were notified only last Wednesday of the Government’s intention to timetable the Bill’s Second Reading, with an updated version of the Bill published last Thursday. The Government do not know one day from the next, although they do try to live from one day to the next. They gave parliamentary colleagues just one sitting day to examine the content of the Bill before today’s debate. The Government might not take their legislative responsibilities seriously, but the Opposition do Of course this is nothing new. Members have become accustomed to the Government’s handling, or mishandling, of legislation. The Government are engulfed in chaos and infighting on Brexit, and The Times reported yesterday that their rushed introduction of this hollow, some may say vacant, Bill is a further desperate attempt by the Prime Minister to keep this zombie Parliament in session Unwilling to face the electorate and unable to bring her dead-in-the-water Brexit deal back to Parliament for the fourth time, the Prime Minister is attempting to pack parliamentary business in the hope of avoiding an early Queen’s Speech that would no doubt be opposed by the DUP and her own Back Benchers. This is a new embarrassing low for a Government who are all at sea. It is high time that the Prime Minister did the honourable thing and set a date for a general election and her departure. We have a kakistocracy dressed up as a Government The Bill is comprised of two key measures: the introduction of a new national insurance contributions charge for employers on the taxable element of termination payments above £30,000, as the Minister set out; and the introduction of a national insurance contributions charge on income from non-contractual sporting testimonials over £100,000 The new class 1A employer NICs charge will be levied at 13.8%, if I understand it, and its introduction will align the NICs treatment of termination awards and income from non-contractual sporting testimonials. On the face of it, the Minister would have us believe that these changes are technical and benign. However, there is nothing technical about fundamental changes to the treatment of termination payments either for the employer paying them or for workers facing redundancy, who regard this final payment as an evaluation of the work they have done for their employer Termination payments, therefore, have both an emotional and a financial significance, and the amount awarded is often determined by painstaking and careful negotiations between managers and trade union representatives. A good employer might offer a generous termination payment to an employee as a sign that, even though they have had to make them redundant, it is not a judgment on the intrinsic worth of staff who are leaving. However, a likely by-product of the Government’s proposed employer NICs charge is that it will incentivise employers to reduce the level of non-statutory termination payments to employees so that the overall level of non-statutory payments declines. This will diminish the level of termination payments available to workers who lose their job, while increasing the amount that the Government receive in NICs receipts The tax information and impact note for this measure goes to great lengths to clarify that this new charge will be limited to employers, and the Minister asserts that the Government have no plans to make further changes to the £30,000 statutory threshold, yet the Government’s own policy note states that this additional cost for employers will be reflected in lower wages The Office of Tax Simplification, which the Minister mentioned, noted in 2015 that imposing tax and national insurance contributions on all termination payments is “likely to have a significant cost impact for some people, particularly those lower paid employees who may…often be the ones receiving smaller termination payments” Despite the clear impact that this measure will have on workers and employers alike, the original consultation noted that the Treasury had failed to undertake a distributional analysis of the impact of this new charge. With that in mind, will the Minister confirm whether, a few years on, that remains the case Similarly, the Chartered Institute of Taxation has raised concerns that the Bill does not set out how the new class 1A charge will be collected by HMRC, stating that it will instead be left to secondary legislation—more secondary legislation, the Government’s default position. The Treasury says it anticipates that the charges will arise and be paid in “real time,” rather than after the end of the tax year. However, tax experts note that this is a break from normal practice and will prove extremely cumbersome, requiring additional resources at a time when the Government are continuing their disastrous reorganisation of HMRC.
ParlaMint-GB_2019-04-30-commons.u265	It is always a great pleasure and highlight to hear the hon. Gentleman talking about distributional analysis, but does he agree that, where we have what are effectively exceptional one-off payments that are hard to predict, it can be difficult to undertake such analysis? Sometimes we just have to be honest and accept that a measure is relatively minor. Although the money it raises is significant, we are unlikely to have the sort of data he is asking for.
