ParlaMint-GB_2019-07-15-commons.u1	1. What steps he is taking to improve the Disclosure and Barring Service.
ParlaMint-GB_2019-07-15-commons.u318	I am generally very supportive of additional high-speed capacity between London, the north-east, the north-west and Scotland, but I have consistently opposed HS2 and the plans for it because this is not the right way to go about it. It is not a question of whether or not my constituency is affected; I would be happy to see a sensible route through my constituency. I and my hon. Friend the Member for Stone (Sir William Cash) were quite happy to see the very large Norton Bridge junction project in our constituencies, because although it caused quite a lot of disruption, we could see the benefit for the west coast main line—for improving capacity and for increasing speeds to the benefit of everybody. He and I and other colleagues do not see such benefits from HS2 as a whole. However, I personally would like to see a different design and lower maximum speeds—not the 400 km per hour that is projected but something more sensible between 250 km and 300 km per hour. That would allow for a route that is not straight as an arrow, but that has some bends in it that could avoid the villages in my constituency. That kind of route, which would also be more consistent with the kind of trains that we currently have running on the west coast main line, would be infinitely preferable to what we have at the moment. Contrary to my right hon. Friend the Member for Wokingham (John Redwood) whom I greatly respect on this matter, I do not think that it is too late to think again about some changes that would make this or a similar project more acceptable to my constituents I will support new clauses 1 and 2, certainly, and new clause 5. My hon. Friend the Member for Eddisbury (Antoinette Sandbach) has already eloquently set out the reasons why we should support new clause 5, and I will certainly do so.
ParlaMint-GB_2019-07-15-commons.u319	I stress that I do not want to stop my hon. Friend getting a better deal for his constituents; I wish him every success in doing that. I was saying that once the contracts had been signed for this project, he will not be able to get change.
ParlaMint-GB_2019-07-15-commons.u320	My right hon. Friend is absolutely right. I am not a believer in breaking contracts if contracts have been signed and if they do not have get-out clauses. I would strongly recommend that we put in get-out clauses, because there will be massive changes over the coming months and years. I accept, however, that once a decision has been taken by this House, if we are in a minority, we are in a minority and it will go ahead. I am just flagging up some of the problems that may be encountered in the future In respect of new clause 1, I welcome the quarterly reports. This is a very sensible approach and it is something that has been lacking. We have had intermittent reports from HS2 to constituency MPs who have been affected. We have had the occasional statement from the Minister—and I welcome the work that the current Minister and indeed previous Ministers have done to keep us informed—but what we have not had is an honest assessment of the cost of this project. We were told originally that it was in the £30 billion to £35 billion range, and then a Minister came forward a few years ago and said that it was going to be about £56 billion, but since then we have had nothing. They have stuck to the figure, and what we are being asked as a House today is to vote on a figure that I simply I do not believe The figures I have seen, calculated by experts in the field, indicate that the cost will be in the region of £80 billion. I have heard it might be more, but let us stick at £80 billion. This House is being asked to agree today to a not insignificant part of a project for which we do not have an accurate cost estimate, and which could be as much as £24 billion a year more. I agree that this is a capital rather than a revenue project, but that is two thirds of what we spend on defence every year; that is an enormous sum of money about which we are not being given any indication. If these estimates are wrong, let the Minister come forward and say that they are wrong and prove that they are wrong. Of course estimates are estimates, and we know that we cannot pin them down to the last million or so pounds, but it is possible to try to disprove the credible figures that have been put in the public domain, and so far they have not been disproved.
ParlaMint-GB_2019-07-15-commons.u321	Does my hon. Friend agree that there could be massive revenue losses once the railway is up and running, because if it turns out that the number of seats provided is greatly in excess of demand, which some people think will be the case, there will be heavy discounts and lots of empty seats, and therefore a very major demand for a taxpayer subsidy?
ParlaMint-GB_2019-07-15-commons.u322	As so often, my right hon. Friend is absolutely right, and what has also not been forthcoming is a proper business case. We have had the business case for HS2, but we have not had—I have asked for this time and again—a business case for the remnant west coast main line, which will still be a much larger transport network than HS2. We are told that there will be freight on it, and it is good that there will be additional freight, but freight is a very competitive market and will not replace the extremely lucrative premium revenues that come from high-speed trains What we will be left with on the west coast main line, which is absolutely vital for my constituency and those of my hon. Friends the Members for Lichfield (Michael Fabricant) and for Stone (Sir William Cash) and so many others, is a line which takes freight, which of course is heavy and causes extra maintenance, and with suburban and stopping services such as the London Northwestern Railway. That is an excellent service and I use it frequently, but I often pay £15 or £20 for a single ticket from London to Stafford. I welcome that, but it is not possible to run a proper, profitable railway on income like that. What it relies on of course is the incredibly expensive £106 or £108 single peak fare from Stafford to London—my hon. Friend the Member for Lichfield will probably be able to quote the figure from Lichfield. These are the fares that pay for the railway at the moment.
ParlaMint-GB_2019-07-15-commons.u323	Does my hon. Friend share my concern that—I do not know whether this is because of HS2 or not—at present the Department for Transport has no plans for the replacement of the ageing Pendolino fleet?
ParlaMint-GB_2019-07-15-commons.u324	Yes, I do. I think the Pendolino fleet, introduced by a previous Labour Government, has done a great job, and I am therefore very disappointed that Virgin Trains and Stagecoach are not going to be involved in the next phase of this service. In the nine years in which I have had the honour to represent my constituents in this House, I have used that service between two and four times a week, and it has been late a handful of times. It is an excellent and reliable service; others may have had different experiences, but that is my experience over the past nine years.
ParlaMint-GB_2019-07-15-commons.u325	I am glad to confirm everything my hon. Friend has said, but I am a little puzzled that he left new clause 4 out of the list of amendments on which he was intending to cast a vote. I wonder if he could throw any light on that: is it because of the point that I and others have made about the report coming into effect only after the Act has received Royal Assent, or is it because of something else? Most of the measures in new clause 4(2) would give rise to the business case my hon. Friend is calling for, and with which I agree.
ParlaMint-GB_2019-07-15-commons.u326	I listened carefully to what my hon. Friend and the hon. Member for York Central (Rachael Maskell) said, and in principle I support the proposal, but I also recognise the points made about the fact that a review is needed now rather than in a year’s time or a year after Royal Assent, which of course will not come until a few months after their lordships have considered the Bill I say to the Minister, for whom I have great regard, that there should be a proper business case for the west coast main line post the introduction of HS2. Although I do not know the east coast main line or the line out of King’s Cross nearly as well, similar questions about the loss of premium fares might apply to it, although I recognise that the geography and the areas served are slightly different.
ParlaMint-GB_2019-07-15-commons.u327	My hon. Friend is making a very important point, although I am not convinced that the new clause is the right way forward. He talks about business cases, and my concern is that there are indirect impacts that should also be considered. For example in my constituency, on the midland main line, there will be an impact on the Chesterfield Canal Trust’s attempt to regenerate our area; that has been held up now for nearly six years because we cannot get a guarantee from HS2 that it will not be impacted. Those kinds of costs must also be considered.
ParlaMint-GB_2019-07-15-commons.u328	My hon. Friend is absolutely right, and I will come on to such matters in a moment. He makes a very important point about the eastern side of the network, which is absolutely vital; we are obviously concentrating today on the west midlands to Crewe line, but we will come to that area later this year or next year Finally on this matter, I ask for my point to be seriously taken into account, because at the moment large subsidies are paid into Network Rail by the operators of the west coast main line, and in my view that will no longer be the case after the introduction of HS2 Turning to other matters, I have serious concerns about the way in which HS2 has handled two or three areas in my constituency. Ingestre Park golf club has given evidence to the Committee and has been listened to by the Committee; however, it has still not reached an agreement with HS2 over what is going to happen. It is seriously concerned about the impact on the club and its employees—is it still going to exist? I ask the Minister to urge HS2 to reach an agreement as soon as possible with the golf club, as it did with Whittington Health golf club in the constituency of my hon. Friend the Member for Lichfield under phase 1 I would also like to raise the village of Hopton, which will be grossly affected by HS2 in the phase we are currently considering. It has constantly asked for more mitigation against the impact of the line, which goes pretty much straight through the village. Because of the impact on Hopton it is the village with possibly the highest proportion of houses that HS2 has had to purchase, certainly in this phase. We are asking for more mitigation. I know that the villagers will attempt to petition their lordships about this, but I ask the Minister to instruct HS2 to be more sympathetic than it has been so far to the needs of the village of Hopton.
ParlaMint-GB_2019-07-15-commons.u329	The position of Hopton is very similar to that of my own villages, and the problem is exacerbated by the fact that there does not seem to be any co-ordination within HS2 itself. On occasions villagers will get advice from engineers or liaison people from HS2 telling them what route HS2 will take, and then only a week later somebody else from HS2 will give a completely different answer. This only exacerbates the worries of constituents.
ParlaMint-GB_2019-07-15-commons.u330	My hon. Friend is absolutely right, and I have had a number of similar cases. In fact I was about to refer to one involving a constituent of mine who does not mind being mentioned: Mr Jim Prenold has a farm that is bisected by HS2 and has been trying to negotiate a proper solution to the problem caused by HS2. After several years—it is now more than six years since the route was initially published—there is still no solution for Mr Prenold and his family. Again, I urge the Minister to instruct HS2 to sort this out. That can be done very easily and quickly, and with good will Let me return to a matter that has an impact on costs and is therefore relevant particularly to new clauses 1 and 4: the whole question of the reuse of soil from the line, about which my hon. Friend the Member for Stone is very knowledgeable. HS2 considers that it can reuse on the line something like 80% of the spoil from cuttings and other excavations. If that is the case, I welcome it, because it would cut down the number of lorry and truck movements required to take away the spoil and to bring in the new spoil needed for embankments and other works. But what we understand—this needs to be proven or disproven—is that the percentage of excavated soil that can be reused on the line is in many cases as low as 20% and possibly even less. Hon. Members can do the maths and understand that we are talking about hundreds of thousands, if not millions, of tonnes of spoil that have to be taken off site because they cannot be used on site, and which then have to be replaced by millions of tonnes of spoil for use on site. That has two major implications: cost, and impact on the transport network in our neck of the woods If my hon. Friend the Member for Stoke-on-Trent South (Jack Brereton) were here, he would refer to junction 15 of the M6, which is already one of the most difficult junctions on the motorway network and needs to be remodelled. The number of truck movements through that junction will increase enormously if the figures about the use of spoil that are built into the provisions of this phase are not correct. The A51/A34 Stone roundabout would also be affected, because it is directly on one of the routes used by vehicles, as would many other parts of my constituency and the constituencies of my hon. Friends the Members for Stone and for Stoke-on-Trent South and the hon. Members for Stoke-on-Trent Central (Gareth Snell) and for Newcastle-under-Lyme (Paul Farrelly).
ParlaMint-GB_2019-07-15-commons.u331	May I take my hon. Friend back to his remarks about his constituent’s farming problem? When I was on the High Speed Rail (London – West Midlands) Bill Committee, we had some problems like this and representatives of the National Farmers Union gave evidence to the Committee. The NFU is constantly in touch with HS2 Ltd. There are well-known valuation techniques for dealing with all the problems relating to land that may be taken; it is just a question of getting HS2 round to actually doing it. May I suggest that if my hon. Friend’s constituent were to contact the NFU, he might get some action?
ParlaMint-GB_2019-07-15-commons.u332	I am most grateful to my hon. Friend. My office has been in touch with the gentleman in question for many years and we are also in touch with the NFU. I agree that there are many cases in which the course of action that my hon. Friend describes has been successful. The NFU has done a great job, as have local land agents and my constituency office. I particularly want to mention my chief of staff, James Cantrell, who has done a fantastic job on this for many constituents over six years. However, there are unfortunately still too many exceptions to the rule. I do not want to do down HS2’s staff, a lot of whom work very hard and try their best to work for my constituents, but they are often frustrated by decisions higher up that do not give them the latitude to make sensible decisions locally on behalf of my constituents.
ParlaMint-GB_2019-07-15-commons.u333	I am grateful to my hon. Friend for giving way again. On the Committee, we also found that cases tended to get resolved much quicker when a Member of Parliament got involved on behalf of a constituent. I say to the Minister, who I hope is listening, that HS2 should have sufficient staff that it should not be necessary for a Member of Parliament to get involved in every single individual case, whether it involves the taking of a house, a bit of a farm or whatever. Unfortunately, it is all too often necessary for a Member of Parliament to get involved, as my hon. Friend has demonstrated with his examples.
ParlaMint-GB_2019-07-15-commons.u334	My hon. Friend is absolutely right, but sadly we have had to get involved in almost every case, and some cases have taken far too long to resolve partly because of the lack of delegation.
ParlaMint-GB_2019-07-15-commons.u335	Only a few days ago the Stone Railhead Crisis Group, which represents the interests of my constituents around Stone, met the regional director of Highways England and discovered that there are some very serious problems for Highways England at both Hanchurch and the proposed HS2 junction at Yarnfield Lane that really require re-evaluation, which I intend to go into a bit on Third Reading. Is my hon. Friend aware of those conversations and the fact that Highways England is in fact very concerned indeed about the situation?
ParlaMint-GB_2019-07-15-commons.u336	I am most grateful to my hon. Friend for making that point. I did in fact refer to junction 15, which is also known as the Hanchurch junction. It is actually a series of junctions that are critical to the national road network, not just the local road network. Junction 15 is one of the most difficult and congested junctions on the motorway network because of the topography of the area, and it finds it difficult to handle the current amount of traffic, let alone the vastly increased amount that there will be under phase 2a of HS2.
ParlaMint-GB_2019-07-15-commons.u337	Mr Deputy Speaker, you will know that I am not a controversial person. Far be it from me for one moment to cause any internecine warfare between my two great friends on the Back Benches, my hon. Friends the Members for Stafford (Jeremy Lefroy) and for The Cotswolds (Sir Geoffrey Clifton-Brown), but I am afraid that I am going to have to take the side of my hon. Friend the Member for Stafford on the case of the NFU. I have been involved both with phase 1 and phase 2a. My staff and I personally have been involved in trying to get people to meet HS2 and to have meetings with the NFU and HS2; it just does not often happen. HS2 has seen a huge turnover of staff, including managing directors and chairmen, so trying to get any form of co-ordination between one lot of HS2 people and another lot—let alone their meeting at the NFU locally—is often impossible. Does my hon. Friend agree?
ParlaMint-GB_2019-07-15-commons.u338	And that is from a non-controversial Member.
ParlaMint-GB_2019-07-15-commons.u339	Sadly, I have to agree that what my hon. Friend says is sometimes the case, but I would hope that with the Minister’s intervention—she has been kind to intervene in a number of cases—matters will speed up Given that the Chair of High Speed Rail (West Midlands - Crewe) Bill Committee, my hon. Friend the Member for Rochford and Southend East (James Duddridge), is in the House, let me just say that it has been remarkable how some matters have been settled just when they were about to go to his Committee. It is therefore a matter not just of an MP getting involved, but sometimes of an issue actually coming before the Committee. That should not be the case. Common sense should prevail; getting common-sense matters put in place should not depend on pressure from a Member of Parliament or the Committee I am most grateful for the forbearance of hon. Members, but there are several very important matters that the House needs to be aware of and which I have tried to summarise. The first is the overall cost, about which we need the Government and HS2 to be honest with the House. The second is the question of the use and reuse of the spoil from the railway, another matter about which HS2 needs to be frank and honest with the House because of the consequences for the transport network and costs. The third is a plea that HS2 is open and transparent with all those affected, that it deals with things on the spot and that it delegates authority to its staff on the ground so that decisions can be made without the great distress that has been caused to so many of my constituents.
ParlaMint-GB_2019-07-15-commons.u340	I thank you for allowing me to speak in the debate, Mr Deputy Speaker, because it gives me an opportunity to put on record my views and those of many of my constituents regarding HS2 I have never voted for any motion relating to HS2 in the House, over many years, and that will be my consistent position today. That is why I will not even be voting for any of the amendments or for the Bill in due course. I cannot condone any expenditure in relation to this project, and I do not believe that the further reviews and reports proposed in new clauses 1 and 4 will do anything other than reinforce my view and that of so many of my constituents that the business case for HS2 has simply not been made It is a hugely expensive project. It will not proportionately benefit my constituents, who time and again say to me that the huge amount of money involved would be much better spent on improving local transport services, whether it is the cycleways; the bus services, which have been reduced and need reinstating, particularly for the elderly; a bypass for Holmes Chapel; or better facilities at Sandbach station I need hardly mention the catalogue of concerns about local rail services that have been brought to my attention. I held a surgery a little while ago at Congleton railway station, and almost 40 constituents turned up to express their concerns about local rail services. They want to see better local rail services. That is a particular concern. If money is going to be invested in some form of Crewe hub, that will simply not be of benefit to my constituents unless there are appropriate local rail services fanning out from Crewe to Alsager, Congleton, Sandbach and Middlewich. That assessment needs to be done. I find myself in agreement with the right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper), who said that we need an assessment of the benefit of these proposals to local towns, not just cities. That is what my constituents have been saying for many years—what is the benefit to them I am entirely in agreement with many of the comments made by my hon. Friend the Member for Stafford (Jeremy Lefroy), in particular regarding the current west coast main line. We need a proper business case for what will happen post-HS2 for the west coast main line. I use it every week, and I know that I am not alone among my constituents in thinking that the service currently supplied by Virgin is perfectly satisfactory. My constituents cannot understand why there is a need for them to contribute to the huge expense of HS2, particularly as only a tiny proportion of them are likely to use it.
ParlaMint-GB_2019-07-15-commons.u341	My hon. Friend will know that the Government argue, as indeed does the Labour party, that the reason for HS2 is to relieve the congestion on the west coast main line. Is she aware that double-tracking from just north of Rugby down to Euston, where two extra platforms are being prepared anyway, would resolve that problem?
ParlaMint-GB_2019-07-15-commons.u342	My constituents have often argued that solutions can be put forward using the west coast main line as it stands and that it should not be necessary to have the additional infrastructure that HS2 necessitates Moreover, there is real concern about the high—possibly too high—ticket prices that HS2 is likely to incur, when many rail charges are already very expensive for those who want to travel down to London. Speaking of London, many of my constituents are concerned that all this will do is draw business down to London. For a constituency like mine, which will not have a direct connection with HS2, there will still need to be local connections, whether it is from Crewe or coming up from Birmingham or down from Manchester. There is no confidence that HS2 will attract business to our area. There are many other reasons why business would be attracted to my part of Cheshire. It is a wonderful place to live—it is very attractive, with great schools and a good quality of life—but there is no confidence that the huge expenditure of HS2 will lead to increased business in our area. A proper business case has never been made for this.
ParlaMint-GB_2019-07-15-commons.u343	Unlike my hon. Friend, I have in the past supported measures related to HS2, but this evening I shall no longer be doing so, because the escalating cost estimates and the lack of apparent accountability for those increases is now quite frankly ridiculous. Does she agree that a fraction of this amount could be much better spent on improving connectivity within the north of England, rather than wasted on this vanity train set?
ParlaMint-GB_2019-07-15-commons.u344	That is exactly the point that I am seeking to make. I agree. It is very interesting that the Lords Economic Affairs Committee found evidence that the costs of HS2 appear to be out of control. That does not inspire confidence in my constituents. If there is going to be improved connectivity outside our constituency, many of them would prefer to see it across from Manchester towards Leeds and Yorkshire, rather than further connectivity down to London, which they already think is quite satisfactory for their purposes The case for speed has never been made. People work on the train and, because my constituents will have to make a connection—whether it is from Crewe or elsewhere—they are not convinced that the slim time saving justifies the expenditure that will be incurred. If the aim of the project is to narrow the gap between the north and London, the investment needs to be in the north.
ParlaMint-GB_2019-07-15-commons.u345	I accept that Governments need to balance the books—they cannot spend the same pound twice. Quite a few times in this debate, we have heard northern MPs call for the money to be shifted across, but when has the same been done in London? When does London have to choose between good infrastructure and capital investment on the one hand, and affordable, efficient transport at a local level on the other? London does not have to choose. Why should we?
ParlaMint-GB_2019-07-15-commons.u346	Absolutely My hon. Friend the Member for Stafford referred to the series of junctions on the M6. Junction 17 of the M6 at Sandbach in my constituency needs improvement to take the additional traffic that is increasingly burdening it, particularly because of the additional house building. It is one of the few junctions in the country without a roundabout serving it. Each morning, we see huge pressure, in particular from those commuting from Sandbach to Manchester and elsewhere. It is highly unsatisfactory and another priority that needs to be looked at—in my constituents’ view, looked at in preference to the proposed investment in HS2 There is going to be an impact in my constituency, because while HS2 does not pass through it, it passes within yards of it. It will pass through Stanthorne and the Bostock Hall estate, literally within yards of Middlewich. Many of my constituents will be impacted—the quality of their lives will be impacted—by this without any compensation being available to them.
ParlaMint-GB_2019-07-15-commons.u347	The hon. Lady is making a compelling case. As a London MP, I want to point out that people on Wells House Road in my seat, which HS2 will pass through, do not welcome this development at all. They are already living on a building site seven days a week, and that will carry on for 10 years. The streets are not paved with gold, and even in London, people do not want this.
ParlaMint-GB_2019-07-15-commons.u348	I fully empathise Of course, there are also environmental concerns. New clause 1 proposes a review of those concerns, but they are self-evident. The Wildlife Trusts says that hundreds of special wildlife habitats are under threat from HS2, including ancient woodlands, lakes, meadows and other important habitats. We do not need an assessment to tell us that—it is obvious.
ParlaMint-GB_2019-07-15-commons.u349	Does my hon. Friend not find it extraordinary that the original proposal by Arup for HS2 was that it should travel parallel to the M40 on an existing transport corridor that would have connected with Heathrow and the channel tunnel, but the Labour Lord, Lord Adonis, changed it to an incredibly environmentally damaging route?
ParlaMint-GB_2019-07-15-commons.u350	It will do so much damage at a time when we are becoming increasingly aware of how important it is to address issues such as environmental protection and climate change My constituents are frustrated that HS2 will effectively terminate at Euston. So many of them would prefer not to fly to the continent from Manchester airport, but to take a train, but it would be impractical to have to trundle heavy suitcases across London We started with a cost of £35 billion and the latest figure is in the region of £56 billion. No one believes that the costs will not escalate, and there are now credible reports of up to £80 billion. Those are still only estimates, and that is unacceptable. My constituents do not see HS2 as a value for money enterprise In the Lords Economic Affairs Committee, Lord Forsyth of Drumlean said: “Commuter services in the north of England are badly overcrowded and reliant on ageing trains. Rail connections between northern cities are poor”— and between northern towns— “rail infrastructure in the north should be the Government’s priority for investment, rather than improving north-south links which are already good. The north is being short-changed by the Government’s present plans, especially as construction on HS2 is starting in the south. Any overcrowding relief from HS2 will mainly benefit London commuters.” If we are to have any assessments, reviews or reports, we need to look at how we can ensure a fair and proportionate benefit to constituents such as mine from an investment of this size.
ParlaMint-GB_2019-07-15-commons.u351	I am happy to support the new clauses as they make a lot of sense in terms of accountability, evaluation and transparency, as well as ensuring constant review of a project as massive as HS2. It is also important to acknowledge the scandalous inequality of investment in the north of England that has been the case under successive Governments The former Chancellor of the Exchequer, George Osborne, deserves some credit for the concept of the northern powerhouse and the whole principle of devolving maximum power, but that has to be accompanied by resources. Since the change of Prime Minister and because it was the former Chancellor’s project, the Government have taken their eye off the ball when it comes to devolution and the northern powerhouse, and it is even less a central component of the Government’s agenda than it was in the past. So I will actually say that the Conservative Government did more in terms of devolution in principle in England than previous Labour Governments had done, but it was not accompanied by investment and, since the change of Prime Minister, that agenda has been sidelined.
ParlaMint-GB_2019-07-15-commons.u352	I should say that I think Labour has a good track record on devolution and devolving power. Does my hon. Friend accept that the concept of the northern powerhouse is like the concept of a cake without the ingredients?
ParlaMint-GB_2019-07-15-commons.u353	I do not want to hear too much about cake.
ParlaMint-GB_2019-07-15-commons.u354	I know exactly what my hon. Friend is saying, although I do not watch “The Great British Bake Off” regularly. He is right and he was in the vanguard as one of the local government leaders in Greater Manchester who were the most dynamic and entrepreneurial in looking at the potential of devolution to transform the communities that he now represents in this place. He demonstrated that local leadership in that capacity could make a transformational difference and I pay tribute to him for that My hon. Friend also articulated, more than most, the risks of the northern powerhouse model that was presented, in terms of the lack of resources and investment, and the failure to transfer adequate powers. He is right that the Labour Government did some good things on devolution. I remember attending seminar after seminar at No.10 Downing Street about how to improve buses outside London. Every time we were asked the question and at every opportunity we said, “Reregulation and integration”, but that was refused by the then Government. While it is true that many good things were done, that Government were reluctant to devolve in the way that they should have done Hon. Members have expressed concerns about the specific nature of HS2, but it is sad that we do not hear enough from them about the centrality of rebalancing the economy if we are to achieve our potential on a long-term basis. Whether we are for or against Brexit, that is a fact. If we continue to ensure that swathes of this country are not supported to fulfil their potential through investment, we are not only damaging those communities and preventing individuals from having the opportunities and life chances that others have, we are damaging UK plc by failing to see that it has a massive dampening effect on our productivity, our competitiveness and our capacity for innovation Hon. Members on both sides of the House and representing all areas of the country should acknowledge that this issue is about the national interest. It is not just about the interests of the north of England, although we are here to represent and articulate those interests, but about the long-term interests of the country. Our constituents have been short-changed for far too long in terms of the share of the cake that is available to be distributed under any Government I say gently to one or two Conservative Members that Lord Adonis has not been a Transport Minister for about nine years, so Conservative Ministers have had opportunities to make one or two amendments to the scheme if they are uncomfortable with it. I wonder whether their concerns about Lord Adonis have something to do with other factors than his tweaking of the route—
ParlaMint-GB_2019-07-15-commons.u355	I am bemused by the hon. Gentleman’s talk of one or two amendments and tweaking. Does he not think it is more than a tweak when the railway line was originally proposed to use an existing transport corridor up the M40 and then suddenly was changed with a ruler to go straight through the most virgin of countryside? That was more than a tweak.
ParlaMint-GB_2019-07-15-commons.u356	Do not give way again.
ParlaMint-GB_2019-07-15-commons.u357	I have been following instructions from you for 20 years, Mr Deputy Speaker, so I will continue to do so in this debate. The hon. Gentleman used his usual colourful language, but my point was that for nine years Lord Adonis has been nowhere near this scheme or the Department for Transport. If the hon. Gentleman genuinely feels that a massive mistake was made, Lord Adonis’s successors have had plenty of opportunities to address those concerns.
ParlaMint-GB_2019-07-15-commons.u358	I want to put on the record that I believe that in the last nine years our Transport Ministers have taken a lot of cognisance of the needs of northern constituencies. My own constituency has funding for bypasses in Congleton and in Middlewich. Ministers are also looking favourably on reinstating Middlewich railway station. It is not as though our Ministers have not taken note of our requirements: it is simply that we feel that the HS2 project could provide better value for money if spent differently.
ParlaMint-GB_2019-07-15-commons.u359	I respect the hon. Lady’s views on some of those issues in the context of the debate, but I have to say assertively to her that, in the context of austerity, those at the bottom of the pile have suffered more than everyone else. When we look at the impact of austerity on the country and on communities, we see that many northern communities were starting at an incredibly low base. The impact of austerity, therefore, is not simply that we have not been able to catch up; the inequality and disparity in terms of the investment in skills, jobs, infrastructure and public services have actually made the situation far worse. That combination of austerity and the low base of investment, which has been an historical reality under successive Governments, is having a devastating effect on many northern communities The hon. Lady therefore really cannot afford to be complacent; she may have had some funding for a bypass in her constituency, but the reality in many of our constituencies in the north of England is that this has been an incredibly challenging and difficult period. If any business had 50% reductions to its budget in a four or five-year period, it would go bankrupt; that is what is happening to many local authorities in the north of England, and especially in Greater Manchester I want to come on specifically to the new clause on the non-disclosure agreements tabled by the hon. Member for Eddisbury (Antoinette Sandbach). My view, having come reasonably late to this topic, is that what we have seen in terms of non-disclosure agreements in the context of HS2 is nothing short of a public scandal. Essentially, many of these agreements have been used to silence people inside that organisation who are concerned that Parliament has been misled on a regular basis about financial information. Let us be clear: people have been given redundancy from HS2 because, internally, they have articulated concerns about misleading information that has been presented to this House in terms of finance and capacity Ministers have a responsibility to disinfect this issue. They should now make it clear that, where former members of staff were subject to non-disclosure clauses and paid redundancy simply because they felt Parliament was being misled, those individuals should be released from those non-disclosure responsibilities and should be able to share their views with Parliament and to put them in the public domain. It is totally hypocritical to talk, quite rightly, about the outrage of the Labour party imposing non-disclosure agreements on its staff, but then for Ministers not to release members of staff in HS2 from such requirements I would like to reveal to the House today that a consultants’ report costing at least £1 million was commissioned from a well-known consultant, which did not say what HS2 wanted it to say. That report was more or less shredded; it was certainly never put in the public domain or shared with Parliament We know that the costs have escalated time and time again and that some people in the organisation have alerted the HS2 board and other senior executives to the difficulties. I am not saying that HS2 should be scrapped, but for parliamentarians to make a rational, proper judgment on its viability, desirability and achievability, we have to have full possession of the facts. There is absolutely no question but that Ministers have not always been given full information by HS2. As a consequence, Select Committees and the House itself have not been given the full information that we and the public are entitled to in any debate about the desirability of this scheme.
ParlaMint-GB_2019-07-15-commons.u360	If a Government had decided to offer all the northern councils involved their proportion of the original budget for HS2 as capital spend, to spend as they saw fit, does the hon. Gentleman think they would have spent it together on the railway or on something else?
ParlaMint-GB_2019-07-15-commons.u361	I say genuinely to the right hon. Gentleman that that is a false choice. In Greater Manchester, thanks to changes the Government have made, we are seeking finally to have the capacity to reintegrate, re-coordinate and, where appropriate, re-regulate our buses. However, the level of subsidy per commuter in Greater Manchester, compared with London, is frankly shocking in terms of the Mayor of Greater Manchester’s capacity to radically improve bus services across the conurbation. I genuinely say to the right hon. Gentleman—this is not a party political point—
ParlaMint-GB_2019-07-15-commons.u362	Order. We are straying way off. We are not about bus services. We are not about subsidies. I am sure the Member for Bury South will not be tempted. That is what Members are trying to do: they are trying to tempt him into a debate that we are not having at this stage.
ParlaMint-GB_2019-07-15-commons.u363	I entirely accept what you say, Mr Deputy Speaker. I simply say to the right hon. Gentleman that he was talking about a genuinely false choice, and we should not go down the road of such false choices I am agnostic about HS2. The reason I have become agnostic is that I am absolutely convinced that Members of this House and people in this country are not being given full, appropriate and adequate information on cost and capacity, both of which are central to whether this project, compared with other projects, should go ahead and whether it can be delivered in budget and on time, in the way that Ministers have suggested I want to conclude by saying this to the Minister. It really is time for Ministers to insist that there is maximum transparency and maximum disclosure of information in terms of the amounts paid and the number of non-disclosure and similar agreements issued. Ministers also need to go further and instruct HS2 to ensure that people are released from these non-disclosure responsibilities where it is clearly in the public interest to do so. It is most definitely in the public interest to do so when senior members of staff were made redundant simply because they articulated concerns within the organisation that false financial information was being put in the public domain, which is not in the public interest. In those circumstances, Ministers have a duty and the right to instruct HS2 to release people from their obligations. For us to make considered and measured judgments about the future of the scheme, we need all the facts in the public domain, as do the people of this country.
