ParlaMint-GB_2018-10-22-commons.u1	1. What steps he is taking to improve veterans’ access to support services.
ParlaMint-GB_2018-10-22-commons.u349	I join other colleagues in utterly condemning the use of language that we saw at the weekend, in the fond hope that we will not see any such language in the future. At the start of the Prime Minister’s statement, she talked about the work that had been done on cyber-security and the OPCW. I remain very concerned about the progress that is being made on the security treaty to enable us to maintain high levels of security when we leave the European Union, so that we can continue to keep British citizens, and indeed EU citizens throughout Europe, safe.
ParlaMint-GB_2018-10-22-commons.u350	I hope to reassure my right hon. Friend by saying that we have been making good progress on the issue of internal and, indeed, external security arrangements for our future relationship with the European Union, although discussions and negotiations are still being undertaken to ensure that we can retain the operational capabilities that enable us to work not only to keep our citizens safe, but to keep citizens across the EU safe.
ParlaMint-GB_2018-10-22-commons.u351	The Economic Secretary invited me earlier to put this question to the Prime Minister, so I will. He told the House that he expected the negotiations on the future partnership to be concluded by December 2020. The Prime Minister has just spoken about a short extension of the implementation period, but the Government said back in June, when they published their backstop proposals, that they expected the future arrangements to be in place by the end of December 2021. Could the Prime Minister tell the House which of those dates represents the Government view? If she wants to continue the game of pass the parcel with the question, will she encourage the Brexit Secretary to keep the promise he made to the Brexit Committee to come and give evidence to us after the October European Council?
ParlaMint-GB_2018-10-22-commons.u352	We are working for and expect to have agreed the terms of the future relationship by the end of December 2020, such that the future relationship can come into place on 1 January 2021. When we published the temporary customs arrangement as the customs proposal for the backstop on Northern Ireland in June, we said that, if it were necessary for that backstop to come into place, because for some reason that future relationship could not come into place on 1 January 2021, we would expect that to last no longer than the end of December 2021.
ParlaMint-GB_2018-10-22-commons.u353	First, may I say that I concur with my right hon. Friend the Member for Hastings and Rye (Amber Rudd)? I believe that most Members on the Government Benches and, indeed, in the House utterly condemn and regard with disdain the tone of some of the language used at the weekend Is it not the case that talk of a second referendum at this crucial stage in the negotiations can only undermine the Prime Minister’s negotiating position? Will she carry on, ignore the siren voices and get the best deal she can for the people of this country?
ParlaMint-GB_2018-10-22-commons.u354	I thank my hon. Friend and my right hon. Friend the Member for Hastings and Rye for their comments in relation to certain language that has been used I agree that it is important, at this stage of the negotiations, that the European Union is in no doubt that we will be leaving the European Union on 29 March next year and that we are negotiating our withdrawal agreement and our future relationship. My determination is to put the national interest first and get a good deal for the UK.
ParlaMint-GB_2018-10-22-commons.u355	I have seen a number of scripts around the House of prepared questions. Given the level of interest, may I gently say that, if a colleague has a question of more than 50 words, the device that I would recommend is the use of the blue pencil?
ParlaMint-GB_2018-10-22-commons.u356	The Prime Minister and I have had many disagreements on many things, but I stand with her completely against the violent, dehumanising and, frankly, misogynistic language that we have heard. I hope the whole House will condemn it, because it demeans every single one of us. The Prime Minister has previously said that nothing is agreed until everything is agreed. Can she tell the House what proportion of the future partnership agreement she thinks has been reached?
ParlaMint-GB_2018-10-22-commons.u357	I thank the right hon. Lady for her comments about the use of language The position we are in is that 95% of the withdrawal agreement has been agreed, as I said, and a substantial part of the future relationship in relation to security, services, transport and other issues has been agreed, in terms of the structure and scope of that future relationship. The point is that none of this is finally agreed until leaders look at the package and agree the whole package together, hence nothing is agreed until everything is agreed.
ParlaMint-GB_2018-10-22-commons.u358	Brevity himself, Sir Desmond Swayne.
ParlaMint-GB_2018-10-22-commons.u359	The original technical proposal and the facilitated customs agreement have both been rejected, so what can the Prime Minister conceive that might be brought forward to solve the Northern Ireland problem in the next two or even three years?
ParlaMint-GB_2018-10-22-commons.u360	Actually, those two have not both been completely rejected, as my right hon. Friend suggests. In fact, as I said, we have made substantial progress, and there has been a substantial shift from the EU since Salzburg in agreeing to look at the arrangements for a UK-EU-wide customs backstop, which was exactly what we put forward in the TCA.
ParlaMint-GB_2018-10-22-commons.u361	Aren’t the hard facts that the European Union will not agree anything that is not in its interests, the Cabinet is split three ways, the House is split at least seven ways, and in terms of any solution the Prime Minister comes up with, half the country will think she has gone too far and the other half will think she has not gone far enough? When will she realise that she has completely lost control of the situation?
ParlaMint-GB_2018-10-22-commons.u362	I think, from the discussions that I have with members of the public on this issue, that the majority of them, regardless of how they voted in the referendum, now have a very simple message to all of us in the House, which is: “Let’s just get on with it and leave the EU.”
ParlaMint-GB_2018-10-22-commons.u363	As we enter the final furlong, with 95% of the agreement reached, does the Prime Minister agree that it has been a cool and calculated approach that has led to this progress? Is it not now time, in the interests of all the businesses in Britain, which want as smooth and frictionless trade as possible, to kick on and get this agreement? Does she agree that it might even be necessary to take the whip out—all within the rules, of course—and push this further, because we have to reach this agreement as soon as possible?
ParlaMint-GB_2018-10-22-commons.u364	I absolutely agree with my right hon. and learned Friend. We should get on and focus on the end point of this, which is getting the agreement, getting a good deal for the UK and enabling us to leave on those good terms.
ParlaMint-GB_2018-10-22-commons.u365	Will the Prime Minister be clear that she is abandoning the promise of a deal that delivers the exact same benefits, particularly as far as services are concerned, and will she acknowledge that that is yet another pledge that has been broken and therefore yet another reason for a people’s vote?
ParlaMint-GB_2018-10-22-commons.u366	If the hon. Lady looks at the various speeches that I have given throughout this process, I have been clear that there would be differences and there would be changes in our relationship with the EU. There will be, but what we are doing is proposing a good relationship with the European Union—a good trading relationship and a good security relationship—which I believe is in the interests of the UK.
ParlaMint-GB_2018-10-22-commons.u367	The person or persons who directed violent language at my right hon. Friend have thoroughly disgraced themselves. I very much hope that they are discovered and that she will withdraw the Whip from them. What acceleration has been made on preparations for no deal since July?
ParlaMint-GB_2018-10-22-commons.u368	I thank my hon. Friend for the supportive comments he has made about the language that was used at the weekend. Significant progress has been made on the no-deal preparations since July, and I commend my hon. Friend for the work that he did on those when he was in the Exiting the EU Department. One can see some of the progress not only from legislation that has been passed in this House, but from the technical notices that have been issued, which have been a crucial part of ensuring that businesses and others outside the Government are aware of what is necessary in a no-deal situation.
ParlaMint-GB_2018-10-22-commons.u369	The Government do seem to have got themselves into a bit of a hole, so it is understandable that they wish to avoid parliamentary scrutiny, but can the Prime Minister not see that attempting to render any vote in Parliament meaningless is the very thing that lends weight to the call for a people’s vote? Would she not prefer the reassurance of going back to the people to ask them if her deal, or any deal, is what they voted for in 2016?
ParlaMint-GB_2018-10-22-commons.u370	We have been very clear that the motion will be an amendable motion, but actually there is a key here: if you went out and asked members of the public what they think MPs should be voting on, I think they would say that they would expect MPs to be able to vote on the deal that the Government bring back from the European Union.
ParlaMint-GB_2018-10-22-commons.u371	The only politicians’ vote would be one which contrived to deny this House a meaningful say and ignored the 700,000 people who walked past the Prime Minister’s door at the weekend to demand a people’s vote. That is because it is important that everyone has the chance to weigh up the evidence, look at the pros and cons of the actual deal and actually give their informed consent before we undertake this major constitutional, economic and social surgery.
ParlaMint-GB_2018-10-22-commons.u372	On the term “people’s vote”, we must accept across this House that we gave the people a vote on this issue, there was a people’s vote, people voted in larger numbers than they had done before and they voted to leave the European Union. My hon. Friend, like me, will I am sure be concerned about ensuring that the people actually can have some faith in their politicians, and that means our politicians delivering on the vote of the people, not telling them to think again.
ParlaMint-GB_2018-10-22-commons.u373	Can the Prime Minister give the House an example of a greater voluntary surrender of sovereignty than the transition deal that she now proposes to extend?
ParlaMint-GB_2018-10-22-commons.u374	First, I am not standing here proposing to extend the transition period or the implementation period. What I am doing is saying, how can we ensure that we have a choice of backstop options to ensure there is no hard border between Northern Ireland and Ireland in the unlikely circumstances that such a backstop is required? That is the basis on which this other proposal has been put forward, alongside the proposal for a UK-EU-wide customs territory, such as the Government first put forward in June.
ParlaMint-GB_2018-10-22-commons.u375	My right hon. Friend has been described as a “bloody difficult” person. I have always found her a very determined person—determined to deliver on the people’s vote that has already taken place. Will she tell us whether she expects the final recommendations to come at 4 am, on another early plane journey, like last time?
ParlaMint-GB_2018-10-22-commons.u376	I thank my right hon. Friend for his comments and say to him that all too often European negotiations end in the early hours of the morning. We shall work to ensure that we do this in a timely fashion, recognising that we need to get legislation through this House and on the statute book by 29 March next year.
ParlaMint-GB_2018-10-22-commons.u377	Is the Prime Minister aware that, on Friday, I was speaking in Belfast’s wonderful Titanic centre? Standing there, I was reminded of that fateful journey where the navigation was got wrong, the captain got it wrong, and all the people on that ship ended in the sea. May I urge her to think again about the direction of the negotiations? The purpose of the negotiations is to keep our country safe, secure and sound. Unlike the people behind her, I support her when she does well in Brussels. Go for it and get us a good deal!
ParlaMint-GB_2018-10-22-commons.u378	Going for it and getting us a good deal is exactly what I am working on.
ParlaMint-GB_2018-10-22-commons.u379	I have no doubt at all that the Prime Minister thinks of every individual person in this country when she is negotiating the best possible deal, but I fail to understand how it can be a politicians’ vote when nearly 700,000 members of the public took to the streets to display their dissatisfaction. I ask her again: what will she do if we come to the position of no deal, which will not get through this House? What other options are there?
ParlaMint-GB_2018-10-22-commons.u380	We should all recall that, in the vote that took place in 2016, larger numbers of people voted than we had ever seen voting before, and the decision was to leave the European Union. We have set out in legislation the process that will be followed by the Government if we are in the situation where a deal brought back from the European Union by the Government and put to this House is rejected by this House.
ParlaMint-GB_2018-10-22-commons.u381	It has been so disappointing to hear the Prime Minister be so dismissive of the 700,000 people from across our country who took to the streets on Saturday to demand a people’s vote on the final deal. What does she say to the thousands of young people who led that march but who did not get a say two years ago, whose future will be most adversely affected if she ploughs on with her disastrous plans?
ParlaMint-GB_2018-10-22-commons.u382	What I say to young people is that this Government are working to get a good deal that will ensure that they have a great future in this country outside the European Union.
ParlaMint-GB_2018-10-22-commons.u383	During the implementation period, the UK would be subject to all EU rules, including on freedom of movement. Why then does my right hon. Friend continue to rule out membership of the European economic area and the European Free Trade Association as an alternative interim state?
ParlaMint-GB_2018-10-22-commons.u384	What we are of course looking at in relation to the proposals that have been put forward is for a limited period to have the backstop that ensures no hard border between Northern Ireland and Ireland. The two proposals that have been put forward deliver on that. Where it would come to the situation, as proposed, where it was a sovereign choice for the UK, of course decisions would have to be taken about the wider issues in terms of the exact arrangements for those proposals, but the key thing is for those proposals to ensure that we have no hard border between Northern Ireland and Ireland.
ParlaMint-GB_2018-10-22-commons.u385	Prime Minister, Chequers is dead, parliamentary maths mean that the current proposal being considered by the EU is dead, and no deal is dead because there is a pragmatic majority in this House that will prevent this economic and social catastrophe for our communities. Will she now switch to EFTA, EEA and time-limited membership of the customs union? History is always kinder to leaders who act in the national interest.
ParlaMint-GB_2018-10-22-commons.u386	I seem to recall the hon. Gentleman asking me a very similar question last Monday, and I am afraid he is not going to get a different answer today. We are working for a good deal in terms of leaving the European Union and ensuring that we have a trading deal that protects jobs in this country.
ParlaMint-GB_2018-10-22-commons.u387	As I often observe, repetition is not a novel phenomenon in the House of Commons.
ParlaMint-GB_2018-10-22-commons.u388	Will the backstop have the same legal status as a treaty? Will the agreement have the same legal status as a treaty?
ParlaMint-GB_2018-10-22-commons.u389	Yes. The backstop for Northern Ireland will be part of the protocol that is attached to the withdrawal agreement, and the withdrawal agreement would have the status of a treaty.
ParlaMint-GB_2018-10-22-commons.u390	Earlier this year, this House voted to stay in the European Medicines Agency, with all that means for the rest of the relationship with the EU. Can I take it, from the Prime Minister’s statement that 95% of the deal is agreed, that we are indeed staying in the EMA?
ParlaMint-GB_2018-10-22-commons.u391	The 95% relates to the withdrawal agreement. We have agreed much of the structure and scope of the future partnership. Staying in the European Medicines Agency is one of the proposals we put forward as part of the plan that came out after the Chequers meeting, our proposals for the future. That is part of the future partnership, not the withdrawal agreement.
ParlaMint-GB_2018-10-22-commons.u392	Does my right hon. Friend appreciate the frustration felt by many of my constituents and others that it is now over two years since the referendum and we have agreed that we will not regain control of our laws, borders and money for over four years after the referendum? Does she understand that for many of them and us that is already too long?
ParlaMint-GB_2018-10-22-commons.u393	I absolutely understand. Some people have said to me that we should not have triggered article 50 when we did. I think it was important that we triggered it when we did. We took time to prepare, but then triggered it precisely in order to get this process into place. My right hon. Friend will know the process within article 50 is for two years. That is why we will leave the EU on 29 March 2019. What we are working to ensure is that we get the future relationship in place at the end of that implementation period, an implementation period that I believe was right and necessary to negotiate to ensure that for both citizens and businesses there were not two cliff-edges in the changed relationship with the EU, but we have a smooth and orderly withdrawal and movement into the future partnership.
ParlaMint-GB_2018-10-22-commons.u394	Can the Prime Minister explain why, if she really has the interests of the people of Northern Ireland in her heart, she recently did not allow the joint leaders who backed remain in Northern Ireland to meet with her? Between them, they represent the majority of voters in Northern Ireland. Is it because she does not want to hear what they have to say because, inconveniently, it does not agree with what she wants?
ParlaMint-GB_2018-10-22-commons.u395	Both I and the Secretary of State for Northern Ireland meet the leaders of all the parties in Northern Ireland and discuss with them a number of issues, including Brexit.
ParlaMint-GB_2018-10-22-commons.u396	A significant number of the 700,000 people who marched for a people’s vote on Saturday were people who run or own their own businesses. They are in a state of despair because they need certainty and they do not have certainty. Two and a half years ago they were told there would be a trade deal in place before we left. Now we are told we will be lucky if we get it in two years. Is this not the truth: the Government’s policy is for us to be in a never-ending transition period to a destiny that is completely unknown, over which we have no say and no control? That is something nobody voted for.
ParlaMint-GB_2018-10-22-commons.u397	No, that is not the Government’s position, that is not what the Government have proposed and that is not what the Government are working on in the negotiations with the European Union. My right hon. Friend is right in saying that business wants certainty as soon as it can have that certainty. That is why we are continuing to work to ensure we can complete the final negotiations—so that business will be able to see what the future deal is and what the future relationship with the European Union will be.
ParlaMint-GB_2018-10-22-commons.u398	On Saturday, more than 700,000 people marched peacefully on Parliament and reasonably requested a people’s vote on the final deal. May I urge the Prime Minister to listen to those reasonable voices and resist the thuggish and brutish threats coming from some on the Government Benches behind her?
ParlaMint-GB_2018-10-22-commons.u399	I have answered that question on a number of occasions already this afternoon. I believe it is right that we gave the people the vote in 2016. They voted to leave and we will deliver on that.
ParlaMint-GB_2018-10-22-commons.u400	The Leader of the Opposition spoke of fudge and shambles, but his policy of leaving the EU but remaining in a customs union would be precisely that. But could my right hon. Friend tell us: in such a situation, whether temporary or permanent, who looks after trade remedies and trade defences of key UK industries such as steel and ceramics? Who sets the tariff policy for the developing world, which at the moment we have through the EU but would like to do on our own? Who is responsible for trade remedies and trade preferences?
ParlaMint-GB_2018-10-22-commons.u401	Obviously, my right hon. Friend, as a former Trade Minister—a position he held with distinction—understands these issues and their intricacies. Of course, in a customs union, trade policy—with all the issues like trade remedies and trade sanctions—will be a matter for the European Union and not the UK. I believe that we should be making those decisions for ourselves here in the UK.
ParlaMint-GB_2018-10-22-commons.u402	Does the Prime Minister agree with me and many, many people in Northern Ireland about the remarks of Taoiseach Varadkar at a dinner—at which I understand the Prime Minister was not present—when showing photographs of a terrible atrocity on the border and implying that that was somehow what would happen if there was a hard border? The EU does not want a hard border and will not put one up. We will not put one up. The Republic of Ireland will not be putting one up. Who is going to put this hard border up?
ParlaMint-GB_2018-10-22-commons.u403	We are obviously committed to no hard border, and we have made it clear that in any circumstances, including in a no-deal situation, we would be doing all that we could to ensure that there was no hard border. We would look to work with Ireland and the European Union to ensure that there was no hard border, but there has been no commitment in relation to that.
ParlaMint-GB_2018-10-22-commons.u404	Given how tantalisingly close we are to a deal, if time were to run out, has the Prime Minister considered, rather than having a general election or a second referendum, the use of applying to extend article 50, even if it is for a limited period, so that she can kick the ball over the line?
ParlaMint-GB_2018-10-22-commons.u405	We have said right from the beginning that we would not be looking to extend article 50. This refers back to an earlier question from one of our right hon. Friends about people actually wanting to see that we are leaving the European Union. I think we owe it to people to deliver on this. What we want now is to have the decisions that finalise the negotiations to ensure that we get that good deal.
ParlaMint-GB_2018-10-22-commons.u406	Would it not be more honest for the Prime Minister, rather than spinning that this is 95% done—I understand why she wants to do that—to explain that, actually, the divorce terms are merely the clearing of the throat before a five-year, or perhaps a seven-year, legal treaty arrangement on our future trading relationship? Would that not be a more honest representation? If people want to end it soon, give the people a final say so that they can decide what to do.
ParlaMint-GB_2018-10-22-commons.u407	No, the reference to the 95% is a factual description of where we are in relation to the withdrawal agreement. Neither side in this negotiation wants to be negotiating for the period of time that the hon. Gentleman has suggested, which is why both sides will be working to ensure that we have that future relationship agreed by December 2020. I suggest that if he looks at the average time that it takes to conduct trade deals, he will see that many trade deals are done in precisely the sort of time that we are talking about.
ParlaMint-GB_2018-10-22-commons.u408	I join those who have condemned the excessive and violent language that has been used and hold up my right hon. Friend the Prime Minister as a role model, as she is always courteous, even to those who disagree with her on this important matter. Coming to the substance of it, when the implementation period was announced, it was going to be the implementation of what had been agreed. It now seems to be a period for further negotiation, not being sure of where we are going. Does the Prime Minister know where we are going?
ParlaMint-GB_2018-10-22-commons.u409	First, I thank my hon. Friend for the comments that he made about the remarks and language that were used at the weekend Yes, we do—we have set out our plan and we are negotiating on the basis of that plan with the European Union. As I say, significant elements of the structure and scope of the future relationship have been agreed. The legal position, as I am sure my hon. Friend knows very well, is that we cannot sign up to legal text in relation to that future relationship until we have left the European Union. I have also said all along that when Parliament looks at the withdrawal agreement, it will also want to have sufficient detail about the future relationship and know what that will be. That is what we are working to deliver.
ParlaMint-GB_2018-10-22-commons.u410	Can the Prime Minister clarify whether 95% of a withdrawal deal has been agreed with the EU? If it has, why has this House no details of it?
ParlaMint-GB_2018-10-22-commons.u411	I will explain the negotiating process: we sit down and talk about the issues; we get to the point of having a text on the table; that text is looked at by leaders, and they take a decision on the text and the future relationship—that is the point at which the negotiations and the deal are completed; and then this House will be able to see all the details of the withdrawal agreement and the future relationship in deciding whether to accept the deal the Government have negotiated.
ParlaMint-GB_2018-10-22-commons.u412	Given that the EU never makes its final concessions until just before any given deadline, what could possibly be gained in 24 months that could not be gained in 21?
ParlaMint-GB_2018-10-22-commons.u413	The purpose of the backstop is to cover the circumstances in which the future relationship cannot be put in place by 1 January 2021. One example might be if it has not been fully ratified by all the Parliaments in the EU that need to ratify it—the process is going through but has not been completed by the end of December 2020. That is why the backstop is in the withdrawal agreement. It is an insurance policy for that period.
ParlaMint-GB_2018-10-22-commons.u414	Will the Prime Minister outline what comprises the 5% that is still to be negotiated?
ParlaMint-GB_2018-10-22-commons.u415	The backstop.
ParlaMint-GB_2018-10-22-commons.u416	Before entering Parliament, I spent 27 years as a commercial negotiator, but there is no blueprint for this negotiation. Will the Prime Minister assure the House that she will continue to negotiate the best deal for our country and not be knocked off course by the continuous speculation from the sidelines?
ParlaMint-GB_2018-10-22-commons.u417	I thank my hon. Friend. At the very beginning of this process, I said that there would always be comments and statements outside the negotiations. What is important is that I and the Government keep our focus on the negotiations and on getting that good deal.
ParlaMint-GB_2018-10-22-commons.u418	Let us be clear what the Prime Minister promised in her Lancaster House speech last year. She promised: “to have reached an agreement about our future partnership by the time the two year Article 50 process has concluded”— not during the transition period or by the end of it. Will she confirm that she will be breaking that promise, that we will not have the detail of a legally binding trade agreement in place before we leave and that she is proposing that we pay a divorce bill of more than £40 billion without getting that trade deal in return?
ParlaMint-GB_2018-10-22-commons.u419	I think there is a misunderstanding about the process that I thought I had explained in response to my hon. Friend the Member for North East Somerset (Mr Rees-Mogg). We cannot finalise and sign the legal text of our future relationship and trade partnership with the EU until we have left the EU, but we can know what that future relationship will be, and that is exactly what we are negotiating and will be part of the final deal.
ParlaMint-GB_2018-10-22-commons.u420	I ask this question on behalf of those of us who support the Prime Minister and want to go on supporting her. Will she confirm what the Brexit Secretary has just said—that the procedures of the House are quite clear and that if there is no deal, there will be a vote on a neutral motion, and if there is a deal, the House will indeed be able to reject it? Will she make it absolutely clear that only the Government can initiate legislation and that while she is Prime Minister, on her watch, deal or no deal, deal accepted or rejected, she will deliver Brexit on 29 March?
ParlaMint-GB_2018-10-22-commons.u421	Yes, I am very happy to do that. My right hon. Friend the Secretary of State for Exiting the European Union set out the position in relation to the procedures of this House in response to questions following the urgent question earlier, but I can absolutely guarantee to my hon. Friend that we will be leaving the EU on 29 March 2019.
ParlaMint-GB_2018-10-22-commons.u422	As the Prime Minister said in answer to an earlier question, the House will be voting not on legal certainty about the future relationship—as she keeps saying to Opposition Members—but on a political assertion. We are being asked to vote on uncertainty. Isn’t that right?
ParlaMint-GB_2018-10-22-commons.u423	No, it is not right. It has been clear from the very beginning that it is not possible for the legal treaty, free trade agreement and other aspects to be signed until we are outside the European Union. However, I have also said that we need to ensure that when Members come to vote on the overall package—the withdrawal agreement and the outline of the future relationship—they have sufficient detail to have confidence in the nature of the future relationship. An important aspect is the link that there will be between the withdrawal agreement and the future relationship, because, as the EU itself has said, nothing is agreed until everything is agreed.
ParlaMint-GB_2018-10-22-commons.u424	Will the Prime Minister confirm that when we leave the common fisheries policy in December 2020, she will not allow our fishing resources to be included in any future trade deal?
ParlaMint-GB_2018-10-22-commons.u425	I am absolutely clear that when we leave the common fisheries policy, we will become an independent coastal state. We will have to sit round the table with others, and negotiate with others, as an independent coastal state, but we will be doing that on our own, for our own purposes. Of course, if the Scottish National party had its way, Scotland would stay in the common fisheries policy, which would be bad for Scottish fishermen.
ParlaMint-GB_2018-10-22-commons.u426	This morning I attended a meeting of the British-Irish Parliamentary Assembly. Parties from across these islands expressed a great deal of concern about the state of the negotiations and the impact on our economy, peace and stability. The Irish Government made it very clear that putting a time limit on the backstop would rather defeat the objective, and that it must be legally certain. Does the Prime Minister agree?
ParlaMint-GB_2018-10-22-commons.u427	As I have said, the purpose of the backstop that we are negotiating is to ensure that if there is a period between the end of the implementation period and the future relationship coming into operation, we can still guarantee no hard border between Northern Ireland and Ireland. The best solution to the issue of no hard border—and this has been said publicly by the Taoiseach as well—will be achieved through that future relationship. That is why it is important for us to work on ensuring that the future relationship will be in place for 1 January 2021.
ParlaMint-GB_2018-10-22-commons.u428	Earlier today, I met a number of business people in my constituency. From the large businesses to the small, the message was “For God’s sake, help her to get a deal over the line.” It may not be perfect—it may not be everything that we want—but a deal we must have. As the pro-business leader of a pro-business party, will my right hon. Friend ensure that she delivers that, and does so without any dogma to get in the way of it?
ParlaMint-GB_2018-10-22-commons.u429	I am very happy to give my hon. Friend that assurance. That is exactly what we are doing. We are working for that deal—a deal that is good for business and good for people.
ParlaMint-GB_2018-10-22-commons.u430	May I say to the Prime Minister that I found the comments made about her by some of her own MPs at the weekend not only deeply offensive, but deeply misogynistic A No. 10 spokesman said recently that “there can be no withdrawal agreement without a precise future framework” on trade. Will the Prime Minister guarantee that the political declaration will deliver frictionless trade with our largest trading partner—or will we be asked to vote on a blind Brexit?
ParlaMint-GB_2018-10-22-commons.u431	I thank the hon. Lady for her comments about the language that was used at the weekend What we will seek to do is bring to the House a deal that incorporates the withdrawal agreement, but, alongside that, sufficient detail about the future relationship so that everyone is able to see what the future relationship will be. That will cover more than trade, but trade will of course be a key element of it.
ParlaMint-GB_2018-10-22-commons.u432	Will my right hon. Friend please confirm that UK fishermen will not be subjected to an additional 12 months in the common fisheries policy, with the crumbs that Europe throws to us, during any extended implementation period?
ParlaMint-GB_2018-10-22-commons.u433	The interests of fishermen throughout the United Kingdom, and their concern to be out of the common fisheries policy, is one of the key issues that are at the forefront of our thinking as we look at the different options that are being put forward. I also recognise that the timing of negotiations on fishing has a particular impact here. Access to waters for 2021 will be determined in December 2020, and that is an aspect that we have already taken into account in our negotiations with the European Union.
ParlaMint-GB_2018-10-22-commons.u434	Will the Prime Minister commit herself to guaranteeing unilaterally the rights of the EU citizens who have chosen to make their lives here, in the event of her being unable to strike a deal with the EU?
ParlaMint-GB_2018-10-22-commons.u435	Yes. In the statement I made after Salzburg I made it clear that in a no deal situation we will guarantee the rights of EU citizens.
ParlaMint-GB_2018-10-22-commons.u436	My right hon. Friend has my full support in dealing with these complex issues through the prism of the national interest. She will know that when we joined the European Economic Community all those years ago, we did so on a cross-party basis comprising women and men of good will. Should we not now seek to replicate that, to deliver a people’s parliamentary Brexit?
ParlaMint-GB_2018-10-22-commons.u437	I thank my hon. Friend. When it comes to Members across the House voting on the deal that we bring back from the European Union, I hope that all Members will recognise the importance of delivering on the vote of the British people and delivering a deal that will be good for the UK.
ParlaMint-GB_2018-10-22-commons.u438	In 2017 the Prime Minister went to the country to get a blank cheque for her approach to negotiating a deal for the UK, and the country said, “No, thank you.” Rather than hectoring the Leader of the Opposition, why does she not reach out, in the spirit of national unity, to try to get a deal in the interests of the country?
ParlaMint-GB_2018-10-22-commons.u439	We are working to get a deal in the interests of the country. As I recall, at last year’s general election 80% of Members of Parliament were elected on the basis that they would deliver on the referendum.
ParlaMint-GB_2018-10-22-commons.u440	This morning I received a text message from Steven North, a leading councillor in my constituency and a stalwart of the Conservative party who has been delivering leaflets and knocking on doors for more than 20 years. His text read: “How can we drag a bad deal on for a year, so that it is watered down even more? Better off sticking to the date, be firm and have no deal” Prime Minister, I agree with Steve. Do you?
ParlaMint-GB_2018-10-22-commons.u441	Let me first thank Steve for all the work he has done for the party over many years—as a former councillor, I know how hard councillors work to represent their local communities. One of the problems is that there is an assumption that we are suddenly saying that we have signed up to extending an implementation period by a year; we have not done so. What we are saying is that we need to ensure that we have a backstop in the withdrawal agreement. On the proposal we put forward on a UK-EU-wide customs territory, there has been a substantial shift from the EU. We are now working with the EU on that proposal. The other proposal that has emerged is for us to have the option, as an alternative, of choosing to extend the implementation period for a short period of time, were that to be necessary. I want to work to make sure that neither of those is necessary.
ParlaMint-GB_2018-10-22-commons.u442	Given that we have apparently made 95% progress on the withdrawal deal, what percentage progress have we made on the substantive deal? Given the answer that the Prime Minister has already given today, what percentage progress does she now think would be sufficient for the House to vote on the deal: 95%, 100%, 60% or 40%? Does she agree that we seem to be putting our finger in the wind on this one?
ParlaMint-GB_2018-10-22-commons.u443	No, I do not agree. As I have said, we will bring forward detail on the future relationship alongside the withdrawal agreement so that the House knows what the future relationship will be.
ParlaMint-GB_2018-10-22-commons.u444	The Prime Minister understandably repeated that nothing is agreed until everything is agreed. May I ask her equally to repeat tirelessly that it is her decision, and this Conservative Government, that will guarantee the rights of EU nationals, deal or no deal?
ParlaMint-GB_2018-10-22-commons.u445	I know that this is an issue that my hon. Friend has campaigned on in particular. I am very happy to reassure him that it is this Conservative Government who will guarantee the rights of EU citizens, deal or no deal.
ParlaMint-GB_2018-10-22-commons.u446	On the question of a second referendum, given where we are now, and given the promises that were made by the Leave campaign, does it not bother the Prime Minister at all that many of those who voted to leave in 2016 did so on a false prospectus?
ParlaMint-GB_2018-10-22-commons.u447	The referendum was held and there were lively and passionate campaigns on both sides of the argument. We gave the people the decision. The people took their decision. We should now deliver on it.
ParlaMint-GB_2018-10-22-commons.u448	Does my right hon. Friend agree that delivering on the referendum is a matter of trust and honour, and that some of her backstop delays could erode that trust? Worse, it plays into the hands of the EU, whose tactics are delay and duplicity.
ParlaMint-GB_2018-10-22-commons.u449	It is precisely because I am aware of people’s concerns about the possibility of an attempt in some circumstances to keep us in some permanent limbo that we are looking at mechanisms to ensure that a backstop, if it is needed, is there for only a limited period of time to provide that bridge to the future relationship, and ideally it would not have to be used at all.
ParlaMint-GB_2018-10-22-commons.u450	The Prime Minister has told us that parts of the political declaration on the future relationship have been agreed, including on services. What has been agreed on financial services?
ParlaMint-GB_2018-10-22-commons.u451	We have indeed made good progress, as I have said, on transport, services and other elements of the economic partnership, and on the security partnership. We are still in the process of negotiating those details so that we can bring them to the House at the point of final agreement.
ParlaMint-GB_2018-10-22-commons.u452	If the transition period is made longer, my understanding is that it will take us into the next EU budget period. If that happens, how much would we need to pay in? Given that we would already have left the EU, how much say would we have over what we pay in?
ParlaMint-GB_2018-10-22-commons.u453	First, as I have made clear, I do not want, intend or expect us to have to go into a further budget period. However, were it the case that a gap appeared between December 2020 and the full start of the future relationship, I am looking at a proposal that would give the UK a choice on which of the backstop options we took forward. Obviously it would be necessary to look at the precise arrangements that would apply in both circumstances so that a clear choice could be made.
ParlaMint-GB_2018-10-22-commons.u454	I think that the language that was directed at the Prime Minister over the weekend was absolutely disgraceful. There is real concern that the meaningful vote that this House was promised will actually become a meaningless vote. Why will MEPs have a greater say in the UK’s final deal than MPs in this House?
