ParlaMint-GB_2018-10-30-lords.u1	To ask Her Majesty’s Government what action they are taking to support the children of prisoners.
ParlaMint-GB_2018-10-30-lords.u104	My Lords, I am pleased to speak for the Government today on the important matter of extradition, a matter in which I know the House has taken a close interest over recent years. By way of introduction, I say to the noble Lord, Lord Collins, that I have observed his disquiet over procedure. In the small number of debates we have had on treaties—I think we had two before tonight—we have not had speakers’ lists, but I am prepared to take it up with the usual channels, because in terms of certainty, and so that people can make a judgment on whether they wish to participate in the debate, further information might be helpful. I undertake to relay that to my very good chum the Chief Whip and see what progress I can make I am grateful to the noble Lord, Lord Collins, for securing this debate to discuss a further step forward in enhancing the close relationship between the UK and an important and valued historical friend in the Middle East: Kuwait. Our co-operation with Kuwait in recent years has spanned the entire spectrum of the UK’s strategic priorities. It has focused on building links between our economies through developing trade and investment, working together to counter the threat from extremism, radicalisation and terrorism that we both face, and continuing to enhance our close and valuable military relationship. Together, we also strive to support peace and stability in a changing region. Kuwait is a major donor in areas of conflict, providing humanitarian aid in Syria and Yemen, as well as supporting projects for the reconstruction of Iraq The UK has strongly supported Kuwait’s mediation efforts in recent talks in the Gulf and its support for de-escalation and Gulf unity has demonstrated its commitment to regional stability. As a non-permanent member of the United Nations Security Council since January 2018, Kuwait has also worked effectively alongside the UK, during which time Kuwait has arranged a fact-finding mission on the Rohingya crisis, supported sanctions against the DPRK and condemned the use of, or threat to use, chemical weapons following the appalling incident of the Salisbury poisoning in our own country. As a close friend, we are also able to offer support and advice, where appropriate, as Kuwait continues to develop its democracy, governance and human rights frameworks. I will come to this point and points specifically raised by noble Lords in the course of my comments The next important frontier in our co-operation with Kuwait is that of criminal justice. The noble Baroness, Lady Northover, asked about the context of all this. I have tried to explain that we value our very close relationship with Kuwait and we want to reach a mutually supportive situation in which we can each play our role in dealing with challenging issues that arise in the field of and in relation to criminal justice. That is why co-operation on criminal justice with Kuwait is very important In July, the Policing Minister laid before Parliament a package of judicial co-operation measures, comprising treaties on mutual legal assistance and extradition. Kuwait has acted with admirable swiftness to be ready to ratify both treaties. I am very pleased that they have now been laid before the House for the requisite number of sitting days to now allow the Government to move towards ratification. As your Lordships may be aware, the mutual legal assistance treaty needs no further legislation to be able to enter into force and will be ratified in the coming months In accordance with the provisions of the Extradition Act, Kuwait must be designated a Part 2 country before ratification of the latter treaty can take place. As the noble Baroness, Lady Northover, observed, there have been pressures on the parliamentary timetable with Brexit, but the Government intend to lay a statutory instrument to effect ratification as soon as the parliamentary timetable allows. Orders made under the Extradition Act are made under the affirmative procedure, so it will not be long before your Lordships have the opportunity to debate this treaty a second time. Work is proceeding on the drafting. As I say, the next task is to find a slot in the parliamentary timetable By way of general comment on extradition, the UK’s extradition framework is an essential tool for ensuring that those who seek to flee from their crimes are not able to evade justice. In a world where crime and terrorism are no longer contained within national borders, the importance of ensuring effective co-operation on criminal justice has never been greater. We all share a deep respect for the fundamental principle that no one should be above the law. The extradition treaty we are discussing tonight is a further building block in an international structure that will facilitate our collective global ability to bear down on terrorism and serious organised crime. The Government are pleased to have the co-operation of Kuwait on this important issue The noble Lord, Lord Collins, and the noble Baroness, Lady Northover, have tonight raised a number of issues relating to Kuwait’s human rights record and the continued use of the death penalty. Let me reaffirm: this Government are committed to upholding human rights and oppose the death penalty in all circumstances as a matter of principle. The safeguards available in the Extradition Act are strong and reliable in that respect. Extradition from the UK is not possible if it would be incompatible with a person’s human rights. The Home Secretary must not, in law, order an individual’s extradition if they have been, will be or could be sentenced to death. I hope that clarifies matters that naturally concerned the noble Lord, Lord Collins, and the noble Baroness On the broader issues raised, the Government of Kuwait respect our position on this matter and we have accordingly included provisions in the treaty before both Houses that make it entirely clear On human rights, the noble Lord, Lord Collins, referred to the position of LGBT persons in Kuwait. I was looking at the grounds for refusal in the treaty.
ParlaMint-GB_2018-10-30-lords.u105	I am sorry to interrupt the Minister. I did read out the grounds and it did not seem clear that sexual orientation was covered, although there is a sentence referring to “sex and other”. Could she clarify that?
ParlaMint-GB_2018-10-30-lords.u106	I would take great pleasure in doing that. I am just talking about the first paragraph, Article 3(1)(a), which I think the noble Lord read out. My understanding is that the specific reference to sex, or indeed to status, is intended to ensure that persons are not wrongly persecuted for their sexual orientation and that extradition under this treaty shall be refused in any such cases. I hope that that clarifies the understanding of the position.
ParlaMint-GB_2018-10-30-lords.u107	Can I seek a further reassurance? As regards the reference to “other” status, as in the UN Declaration of Human Rights, in my dealings with some African, Caribbean and Pacific countries I have noted that some significantly fail to recognise that “other” status includes sexual orientation.
ParlaMint-GB_2018-10-30-lords.u108	I have described the grounds on which extradition under this treaty would be refused. As your Lordships will be aware, the exercise of extradition is a matter for both the Home Secretary and the courts. The courts must consider the actual application. That is our interpretation of what the phrasing means.
ParlaMint-GB_2018-10-30-lords.u109	My question did not relate specifically to crimes because of somebody’s sexuality. There can be circumstances where, if someone is being sent back to a country where homosexuality is illegal—and certainly homosexual acts are—and it becomes known that that person is gay, they might be accused or charged with one crime but could then be subject to treatment because of their sexuality. It is that issue that I sought clarity on.
ParlaMint-GB_2018-10-30-lords.u110	I will write to the noble Lord in further detail. This will come before the House again in the form of the affirmative statutory instrument, but I am very happy to seek further clarification of the points being raised to see whether I can go further than what I have before me this evening The noble Lord, Lord Collins, and the noble Baroness, Lady Northover, also raised the matter of the decision in the cases of Alexanda Kotey and El Shafee Elsheikh. That was not an extradition of individuals. It was a decision by the Home Secretary to provide assistance, including mutual legal assistance. The decisions are taken in accordance with the Government’s overseas security and justice assistance guidance, which requires an assessment of human rights risk, including the death penalty. Overseas security and justice assistance guidance has always permitted the Government not to require assurances in mutual legal assurance requests where there are strong reasons not to do so. I reiterate that the UK remains opposed to the death penalty in all circumstances as a matter of principle I think that the noble Baroness, Lady Northover, raised the particular matter of Al Rajaan. I cannot comment on individual cases, I am afraid; that is not the policy of the Government. On the serious issue of the 2017 executions, I repeat the Government’s position on the death penalty: we believe that the death penalty undermines human dignity, there is no conclusive evidence of its deterrent value, and any miscarriage of justice leading to its imposition is clearly irreparable. We raised our concerns with the Government of Kuwait at the time and expressed our disquiet that this should have taken place. Again, regarding potential extraditions, we do not comment on individual cases The noble Baroness, Lady Northover, raised the matter of other Gulf states. As noble Lords have pointed out, extradition is clearly possible on a case-by-case basis with all countries, regardless of treaties. The Government discuss mutual legal assistance and extradition with partners in the course of bilateral relations. The extradition treaty was negotiated in its own right without linkage to other policy areas. There is a word here that I cannot make out because the writing in the Box is, I am afraid, not of the clarity that I was taught to observe in primary 1 in my Scottish school. I beg the Box’s pardon. It was laid in Parliament as part of a judicial co-operation package alongside a mutual legal assistance treaty. I hope that that reassures the noble Baroness In conclusion, we are committed to the global campaign to abolish the death penalty and continue to maintain this position in discussions with the Government of Kuwait. This forms part of the advice and support, which I mentioned earlier, that we provide as Kuwait continues to develop its democracy, governance and human rights frameworks. We share with Kuwait a commitment to pursuing justice internationally.
ParlaMint-GB_2018-10-30-lords.u111	Perhaps when the Minister writes to the noble Lord, Lord Collins, she might also address some of my other questions with a bit more precision—perhaps she will be able to read the writing of the people in the Box. I would be grateful if she did that.
ParlaMint-GB_2018-10-30-lords.u112	Yes, of course. I will be very happy to do that. As your Lordships are aware, I do look at the Official Report and try to address any points I may have overlooked in the debate. I certainly undertake to do that.
ParlaMint-GB_2018-10-30-lords.u113	In the spirit of writing, perhaps the Minister might wish to reflect on this. Given that she has suggested that this is going to come before the House again, I have been reflecting on it during the debate but I have not fully worked out my thinking. Is there any question in relation to the European arrest warrant? Some odd cases have come through the system where the system has been somewhat abused, if I may say, by certain states. Is there any possibility that European arrest warrant issues will come into play and be relevant to this? People are shaking their heads but perhaps the Minister might wish to respond.
ParlaMint-GB_2018-10-30-lords.u114	It is a rare pleasure to receive comfort from the Liberal Democrat Benches. I understand from the noble Lord, Lord Paddick, that this does not appear to be germane to the issue under discussion—but I hear what the noble Viscount says.
ParlaMint-GB_2018-10-30-lords.u115	Kuwait is not in the EU.
ParlaMint-GB_2018-10-30-lords.u116	Yes, I think the noble Viscount acknowledges that.
ParlaMint-GB_2018-10-30-lords.u117	It was a question of whether any other state within the European Union could come into play and make an issue in relation to the European arrest warrant that might affect the process.
ParlaMint-GB_2018-10-30-lords.u118	I can see a whole debate being possible on this issue alone. I hear what the noble Viscount is saying and we will certainly bear that in mind when we come to a later state of the procedure I am sure your Lordships will have realised that the whole purpose of this is to ensure that criminals are brought to trial. But it also means, as noble Lords have rightly pointed out, ensuring that our judicial system maintains its full respect for human rights and protection of those procedural safeguards necessary to ensure the fairness of our system. Our extradition framework, including this treaty, achieves a balance of these fundamental principles, and we look forward to the success of our future co-operation with Kuwait on this crucial subject In conclusion, I thank the noble Lord, Lord Collins, for introducing this very illuminating debate, which was a helpful prelude to the debate that will take place when the affirmative instrument comes to the Chamber. It has been a useful opportunity to listen to the exchange of views and I thank noble Lords for their contributions.
ParlaMint-GB_2018-10-30-lords.u119	I thank the Minister for her response. I have attended one other debate on the treaty. The noble Baroness who moved that Motion exercised her right of reply and, as there is no speakers list, I will do the same I just want to reassure the Minister that I do not see this treaty as something bad or regrettable. It is an opportunity. As the Minister says, individual cases can be considered anyway by the courts, but in negotiating and agreeing this treaty, the opportunity was there, as she rightly said, to raise issues about due process and human rights and our concerns over the use of the death penalty. I am somewhat reassured by her comments in this regard The Minister said that the purpose of the treaty is that no one should be able to avoid justice—absolutely right. We certainly need to ensure that globally people cannot act with impunity. She knows that I have raised this point on many occasions. No one should avoid justice, and justice must be served and be seen to be served. That is why it is really important for the principles we have raised in the debate to be heard. I am grateful to the noble Baroness, Lady Northover, for her contribution. It is absolutely right that we see these things in context and see them as an opportunity to bring change. The fact that there are still countries in this world where being gay is subject to execution is absolutely disgusting and we need to challenge that.
ParlaMint-GB_2018-10-30-lords.u120	That the draft Regulations laid before the House on 28 June be approved. Considered in Grand Committee on 24 October.
ParlaMint-GB_2018-10-30-lords.u121	My Lords, the other place approved these draft regulations on 15 October and they were considered in great detail in Grand Committee on 24 October. That was followed by a letter on 25 October to all noble Lords who took part in the debate. Of course, a copy of that letter was also placed in the Library The regulations bring into force the draft communications data code of practice and amend the Investigatory Powers Act—IPA—to comply with a European Court of Justice ruling. The ruling requires that there must be independent authorisation for requests to access communications data and, in relation to crime, where the intrusion into private lives would be serious, the offence justifying that intrusion must also be serious. The High Court declared that the Act must be amended by 1 November, which is when these regulations are due to come into force. Therefore, it is important that they are approved today I will explain what these changes will mean in practice. To clarify, we are talking about communications data—information such as the name of someone subscribing to a mobile phone contract, the time a call was made or the number that was dialled—but not the content of any calls or messages. At the moment, a police officer investigating any crime can request any type of communications data to support their investigation if it is necessary and proportionate to do so. A request is sent to a designated senior officer who, having consulted a specialist in the use of communications data, decides whether or not to authorise the request The regulations introduce additional safeguards to the process. The police officer will no longer be able to request any type of communications data in the investigation of all crimes. Instead, the officer will be able to access only the more intrusive types of communications data—such as where the person was when making a call—in the investigation of serious crimes. Instead of the request being authorised internally, it will now be sent externally to an independent organisation overseen by a Court of Appeal judge. The staff of this independent organisation—the Office for Communications Data Authorisations, or OCDA—will assess the request and, weighing up all the factors relating to necessity, proportionality and seriousness, decide whether or not to authorise it. Only once this independent authorisation has taken place can the officer acquire the data There will be cases—such as a missing child, a terrorist attack or another threat to life—where communications data must be accessed more urgently than the new regime will allow. The regulations and code of practice, therefore, include provisions for such circumstances, allowing internal authorisation by a designated senior officer, but make it clear that such authorisations will expire after only three days— not 30 as with ordinary authorisations—and all urgent requests will be reviewed by the Investigatory Powers Commissioner’s office; that is, the OCDA. Your Lordships will see that these regulations are about strengthening safeguards, limiting the availability of communications data to public authorities and ensuring that when it is made available, that happens only after proper independent scrutiny When we debated the regulations in Grand Committee last week, the noble Lord, Lord Paddick, raised concerns that the definition of serious crime in the regulations does not abide by the ruling of the European Court of Justice that I have already mentioned. I strongly disagree. All offences that meet the serious crime definition, and pass the tests of necessity, proportionality and seriousness set out in the code of practice, will in fact be serious and warrant the use of communications data in their investigation. A higher threshold would not allow public authorities to investigate such offences as harassment, stalking, sexual communication with a child, sending grossly offensive messages and contempt of court among others. The Government believe that these are serious and that communications data should be available in their investigation. They are certainly not viewed as trivial by the victims The European Court of Justice itself, in its recent ruling on a Spanish case, Ministerio Fiscal, made it clear that a higher level of intrusion into private lives in accessing different types of data must correlate with the seriousness of the offence being investigated. The more intrusive the data request, the more serious the offence must be. Legislation alone cannot give effect to this, and I ask noble Lords to see these measures as a package, with independent authorisation, a legislative threshold that sets clear limits, and the code of practice, which involves considerations of necessity, proportionality and seriousness. As a result, less intrusive data types will still be available when investigating all crime types, but the more intrusive communications data, such as location data, will be accessed only in the investigation of serious crime. Being able to intercept—bug—phones will continue to be available only for the investigation of offences meeting the higher seriousness threshold already in the Investigatory Powers Act We consider the regulations to be very much in the spirit of the European Court of Justice ruling. We already have strong safeguards and oversight in relation to our investigatory powers. If an individual believes that their communications data have been accessed unlawfully, they can make a complaint to the Investigatory Powers Tribunal, which is independent of government and consists of senior members of the legal profession. The regime as a whole is overseen by the Investigatory Powers Commissioner, a Court of Appeal judge independent of government. Moreover, the Act as a whole must be reviewed after five years, allowing us to consider whether any changes must be made The Government have carefully considered the European court’s decisions in this area and have proposed amendments in good faith, ensuring that this important investigative tool is available to the police for crimes whose impact on the victim is considerable. The regulations are about increasing, not reducing, safeguards. If they are not passed into law by 1 November—Thursday—the new additional safeguards I have talked about will not come into force. I beg to move Amendment to the Motion
ParlaMint-GB_2018-10-30-lords.u122	At end insert “but that this House regrets that the draft Regulations fail to comply with the spirit of the ruling by the Court of Justice of the European Union by failing to restrict the use of communications data to serious offences.”
ParlaMint-GB_2018-10-30-lords.u123	My Lords, I first remind the House that I was a police officer for over 30 years and that— contrary to popular belief—my certificate of service says that my conduct was exemplary. I acknowledge the importance of communications data in the investigation of serious crime, as the Minister has set out. I also welcome the independent authorisation provisions contained in these regulations, as far as they go Secondly, may I give the House some background on the history of the passage of these regulations through this House? At a meeting with the Minister of State for Security and Economic Crime, the Minister of State for Countering Extremism and officials almost three weeks ago, I asked for an explanation of the definition of serious crime in these regulations, which is significantly different from the definition in the Act under which the regulations are made. The Minister for Security was unable to offer an explanation, but undertook to find out and get back to me.
ParlaMint-GB_2018-10-30-lords.u124	My Lords, when Alice was through the looking-glass and having a conversation with Humpty Dumpty, she remarked that he was “exactly like an egg”. He said he found this “very provoking” and Alice explained that he looked like an egg, not that he was one. Their discussion on semantics included the following exchange: “‘When I use a word,’ Humpty Dumpty said, in rather a scornful tone, ‘it means just what I choose it to mean—neither more nor less.’ ‘The question is,’ said Alice, ‘whether you can make words mean so many different things’” We have had what we regard as a novel and inappropriate definition of “serious”. There is a current movement, which I welcome, towards language in legislation being as close as possible to normal-speak, giving words their natural meaning. Sometimes, of course, terms need definition, as I accept “serious” does in this context. However, an offence that could give rise to a 12-month sentence is not what most people would regard as serious in comparative terms—I put it that way because I will not be the only person in the Chamber tonight who thinks all crime is serious—and this is what the European court pulled us up on I think people will be even less inclined to accept the definition in the case of someone not previously convicted of anything or—it does not say so but presumably this is the case—convicted and given a suspended sentence. Stalking and harassment have been prayed in aid. I for one will not be characterised as not regarding these as serious, but I ask what other areas were, to quote the Government, “highlighted by law enforcement agencies”.—[Official Report, 24/10/18; col. GC 42.] Maybe those are the ones that we have already heard about; I do not know. I appreciate that these behaviours often escalate but they are not the only behaviours or offences that can do so. If there is an issue of legislation regarding an offence and the sentence that it may attract, we should address it head-on. The Minister referred in the previous debate to the right of citizens to be protected from crime and terrorism. I have not read through all the terrorism legislation but she may be able to help me: are there any terrorism offences where the sentence is as low as a year She said that the regulations will prevent data being acquired in the investigation of trivial offences, and she mentioned that again today. I think this confuses categories of crime, which are what underlie possible sentences, and the particular infringement, which may be anywhere on a spectrum and the court will give its view in passing sentence as to where on that spectrum the test should be. I accept that there are tests of necessity and proportionality and that these are essential reference points for lawmakers and the commissioner, but it is harder for individuals who consider their privacy to have been invaded to look to these in an effective fashion My noble friend said that he would not mention corporate bodies and then rather effectively did so. I do not think the inclusion of these has been fully justified. There has been no attempt to distinguish between levels of seriousness in their case. I thought it was ironic that a crime that will be subject to—or qualifies for, if you like—the regulations may be an offence involving a breach of a person’s privacy I support my noble friend whose amendment to the Motion—although he opposes the regulations—is, in fact, to regret them, not to oppose them, and not to seek to delay them beyond 1 November.
ParlaMint-GB_2018-10-30-lords.u125	My Lords, the debate on these regulations took place last Wednesday in the Moses Room, when concerns were expressed about the definition of serious crime in respect of communications data acquisition and retention as being for offences carrying a maximum of 12 months’ imprisonment. The definition also covers any crime by a body corporate or any offence that involves as a key part of it, “the sending of a communication or a breach of a person’s privacy” Since then the noble Lord, Lord Paddick, has put down the amendment to the Government’s approval Motion, which we are now considering. The reason for the speed in considering the matter further so soon after last Wednesday’s debate is that the Government seek to have the draft regulations approved by this Thursday. If they are not, we will be in breach of a court order following a ruling of the European Court that the relevant parts of the Investigatory Powers Act 2016 are incompatible with European law. The draft regulations have already been discussed in the Commons, where we the Opposition said that we did not oppose the changes. That remains our position and for that reason we will not be supporting the noble Lord’s regret amendment to the Government’s approval Motion if he decides to test the opinion of the House Since last Wednesday the Minister, as promised, has written to noble Lords who participated in the debate, in the light of the concerns expressed, setting out the Government’s position on their proposed definition of serious crime in the context of retaining and acquiring communications data. They were valid concerns, which the noble Lord, Lord Paddick, has just reiterated in very clear and emphatic terms. In a nutshell, the Government’s argument, both tonight and in the letter of 25 October, is that the draft regulations remove a power from the police to use data to investigate non-serious crimes and provide additional safeguards and restrictions on the retention and acquisition of communications data in respect of the Government’s definition of serious crime. The changes provided for in the draft regulations were prompted by the court judgment on the incompati- bility with European law of the relevant parts of the Investigatory Powers Act 2016. The Government believe that what they have proposed in the draft regulations meets the terms of that court judgment The Government’s second argument is that if they used the definition of serious crime that exists in Section 263 of the Investigatory Powers Act in relation to interception powers in respect also of retaining and acquiring communications data which the Government regard as less intrusive, it would mean that the ability to investigate some crimes considered to be serious would be compromised. The Government also referred to the code of practice and the considerations that have to be taken into account when assessing seriousness, the independent authorisation of communications data requests by the Office for Communications Data Authorisations and the oversight of public authorities and the OCDA by the Investigatory Powers Commissioner In theory, these provisions ought to be enough to prevent the definition of serious crime from being abused through ending up with communications data authorisation in respect of crimes that could not be regarded as serious in their nature by any stretch of the imagination. However, there have been too many examples of powers which have been provided by statute in good faith to address genuine concerns in specific areas which have then been abused by being applied or used by those given the authority to deploy them in ways that were never intended or envisaged. Frankly, no one can give a cast-iron guarantee that this could not happen in relation to the use of the provisions in these draft regulations, which were designed to address a court judgement and which may or may not stand up to further judicial scrutiny. The Minster says in her letter: “I recognise that some noble Lords may consider that our amendments do not go far enough to limit the retention and acquisition of communications data to serious crime. That question is subject to ongoing legal proceedings” The Minister went on to say that the Government would be strongly defending their approach in the courts, but she added: “Should the courts not agree with our position we would of course move to rectify the regime” We understand the concerns being voiced by the noble Lord, Lord Paddick, but likewise—as I am sure the noble Lord does, too—we understand the reasons for these draft regulations and the desire to have provisions that will assist in bringing to justice those who have committed serious, unacceptable acts. The issue is whether the regulations meet the terms of the court judgment—a matter that will presumably be determined in the courts—and whether the authorisation and oversight arrangements and procedures, if they survive legal proceedings intact, will prove strong enough to prevent the powers, the purpose of which we understand, being misused. The Government maintain they will be strong enough, but only time and experience will show. The Government now have a responsibility to make sure that their assurances over how the regulations in reality will be applied and used are adhered to and delivered in full. I am sure that plenty of people will be watching to see whether that happens. As I said at the beginning, we did not oppose the changes provided for in these regulations in the Commons, and that remains our position.
ParlaMint-GB_2018-10-30-lords.u126	My Lords, I am glad that we have been able to debate these regulations so thoroughly and consider carefully the proposed amendments to the Investigatory Powers Act. I thank the noble Lord, Lord Rosser, for his very balanced approach to this important issue, and the noble Lord, Lord Paddick, and the noble Baroness, Lady Hamwee, for their considered view on the issue of what constitutes serious crime. If I may refer them back to my letter, the position that I outlined there remains the Government’s position I will briefly say a few things, but I am conscious that almost everything that has been said tonight was said in Grand Committee—I can see the noble Lord, Lord Paddick, nodding—and I have followed it up in writing to all noble Lords who took part in that debate. I again apologise for any confusion that took place regarding the earlier part of the issue that the noble Lord, Lord Paddick, raised, in relation to the meetings with the Ministers of State. I was not party to those discussions, so I apologise that I am not in a position to comment, but I hope that my letter went some way to addressing the issues that were raised with me in Grand Committee I will say a few things again for clarity. These regulations bring in additional safeguards. They ensure that the more intrusive requests for communications data will be accessed only in the investigation of serious crime and that the vast majority of requests by public authorities to access all communications data—approximately 200,000 requests are made per year—must be authorised by an independent organisation overseen by a Court of Appeal judge. There are very clear safeguards in place. We are taking powers away from our law enforcement agencies in the interests of privacy We are, of course, mindful of our duties to protect the public and properly to investigate crimes that they suffer. A balance must be struck and these regulations strike that balance correctly. As I have said, noble Lords may have differing opinions on whether our definition of serious crime in this context is appropriate. Let me be clear. I do not want our police to be unable to effectively investigate an individual sending grossly offensive messages to someone, causing huge distress to the victim who certainly considers the offence to be serious. I do not want to damage the effectiveness of our judiciary by limiting the ability of the police to investigate contempt of court. These are serious matters I refer the noble Baroness, Lady Hamwee, and the noble Lord, Lord Paddick, to page 2 of my letter. It is not just the sentence that the person who commits the crime receives. That is important in terms of the 12 months, but it is not the only issue. As the code of practice sets out clearly in paragraph 3.33, a range of factors should be considered, including but not limited to the circumstances of the case, the offender, the impact on the victim, the harm suffered and the motive for the crime. I hope that that goes some way to addressing the concerns that noble Lords raised We have a comprehensive code of practice which provides extensive guidance on what considerations must be taken into account by individuals applying for and authorising requests for communications. As I have said, each and every request must be assessed in relation to necessity, proportionality and seriousness. We are strengthening the safeguards and oversight of a regime already world-leading in these aspects, and we are creating a regime that is compliant with EU law I am grateful to Members of the House for their time in ensuring that this has been such a valuable and high-quality debate. We take these issues very seriously. I would now like the regulations to be approved and I commend them to the House.
ParlaMint-GB_2018-10-30-lords.u127	My Lords, I am grateful to the noble Baroness. It is not primarily about the definition of serious crime being an offence punishable by 12 months’ imprisonment or more. It is about the fact that it goes beyond that to include all offences, whether or not they are capable of a 12-month sentence, that have communication as an integral part, all corporate offences, whether or not somebody can be given a 12-month sentence, and all offences involving a breach of privacy. Clearly that is going beyond the definition of serious crime: it includes lots of offences that are not serious I am not reckless enough to jeopardise these regulations by asking noble Lords to vote against approving them, but I hope that noble Lords will agree that the Government’s attempts to get round the CJEU judgment is to be regretted, and I wish to test the opinion of the House on my amendment to the Motion.
ParlaMint-GB_2018-10-30-lords.u128	My Lords, I spoke to this amendment at Second Reading and I will not say anything further, as I want to give the Minister an opportunity to say more about the progress which he and the Secretary of State are making with the parties in Northern Ireland on identifying and appointing a mediator and what the timescale for that might be. This is clearly of huge importance to our debate and to progress towards establishing a new Executive in Northern Ireland. I beg to move.
ParlaMint-GB_2018-10-30-lords.u129	My Lords, thank you for bringing this matter before the Committee. I will make some general points and then some specific ones. The amendment would place the question of a facilitator or mediator in the Bill. We can do that without it going on the face of the Bill. As I indicated earlier today, we now intend to move from the statement which I gave the previous time I addressed your Lordships—that this is part of the mix—to stating that we are now actively consulting with the parties in order to move this matter forward. All elements of the timescale are not yet fixed but I can say that this will be moving forward within the realisable timetable that we have set for the overall movement of the parties gathering. In order for this to be meaningful, such an individual would have to be in play from the earliest stages, in order to move the most intensive form of dialogue forward. We hope and intend that such an individual would be able to act in a much more expansive role than just as a chair. I would rather use the word “Sherpa” in its European context; someone who can be part of the play and engage directly with each participant both behind and before the scenes We hope to move this forward with the consent of all the parties involved to make sure that it is a meaningful contribution. I cannot comment further on the individuals who might be in scope for this role, but others have already sent information through to the department, and we are in the process of sifting and examining it in some detail.
ParlaMint-GB_2018-10-30-lords.u130	My Lords, we have heard the suggestion of the noble Lord, Lord Adonis, that we have a mediator, but we are not comparing like with like. Going back to the time of George Mitchell, we have to remember that everything—the whole constitutional process, from scratch—was on the table. My fear is that if you appoint a mediator, they are not going to be able to confine their activities to the narrow issues that brought the Executive down. I believe Sinn Féin would want to completely open up the whole process, putting on the table the constitution, the principle of consent—all those things. I can see where people are coming from, but it seems to me that it is not beyond the ability of the parties to find a mechanism within themselves whereby talks could be held. To get a mediator to come in to deal with the Irish language Act and the RHI—the two things that brought the Executive down—does not seem particularly realistic The agenda would grow and grow, and the process could go on for years. Everything will end up on the table, including the constitution and the principle of consent. I do think we have to try to keep as open a mind as possible, but there may be a difference between a mediator and a facilitator, or a question as to whether the parties can find a mechanism among themselves; but bear in mind where this could go. If some people want to open up a process, there is no better place for Sinn Féin to be than in a process. They are serial negotiators; they want to continue to negotiate, which avoids having to take any tough decisions, particularly decisions in government. We have been warned by others that there are many who would take the view that Sinn Féin will do nothing until the Irish election is over. They do not want to have to take any tough decisions in government, which they would have to do because of the arithmetic, if nothing else Bear that in mind when considering the options before us. I would caution that that needs to be taken into account.
ParlaMint-GB_2018-10-30-lords.u131	My Lords, the Committee is listening with great attention to the noble Lord. Would he care to elaborate on the distinction between a mediator and a facilitator?
ParlaMint-GB_2018-10-30-lords.u132	I am not personally advocating either, but a mediator is somebody who is negotiating between the parties. A facilitator may be somebody who simply organises the meetings, the paperwork, the breakout sessions and so on. A mediator is playing a Mitchellesque role in meeting the parties, negotiating, putting papers to them and so on. I see it as a step down, if you like, in those terms. I am not personally convinced. If people are not mature enough at this stage, after all these years, to arrange meetings among themselves—and we did have one, admittedly, that was an initiative by one party. I do not believe that we are so far down the road that we could not arrange meetings between ourselves. If the will to talk is there, surely it is not beyond the bounds of possibility that the parties can arrange that among themselves. We have an Assembly Speaker and we have Deputy Speakers. They could chair the meetings. All parties are represented, more or less. There are ways in which it could be done, but believe me, once you get into a process with a mediator, it could go on for years.
ParlaMint-GB_2018-10-30-lords.u133	My Lords, I listened with great attention to the noble Lord, but I listened with equal attention to his speech at Second Reading in which he said that no progress was being made whatsoever in establishing an Executive, and that it was about time that some was made. If it has not been done by the process he has just suggested—the parties coming together—it is hard to see how some external stimulus could lead to a less advantageous situation than the current one.
ParlaMint-GB_2018-10-30-lords.u134	I take the noble Lord’s point, which is pertinent. However, do not forget that if we keep to this three-stranded model, we have a Secretary of State and, where appropriate, an Irish Foreign Minister, and in the proper format there is no reason why they cannot be engaged. I am saying that maybe it would be an incentive if the Secretary of State made it clear that a process was starting and that the parties understood that if they were not prepared to participate in that, perhaps she and others would start to take decisions. I am not trying to be obstructive or rule anything out. I am simply saying, be careful. It sounds like a good idea, but bear in mind that people who are serial negotiators—they have been doing this for 25 or 30 years —will put things on the table and open the whole thing up. My only worry about this is that it just postpones the decisions even further, although I understand fully the noble Lord’s good intentions.
ParlaMint-GB_2018-10-30-lords.u135	I will intervene for a few seconds. The issue is that because the “talks” and “negotiations” have been notoriously unsuccessful over the last couple of years, there has to be some form of structure—although I agree with the noble Lord, Lord Empey, that it has to be on a very restricted number of issues, otherwise you go back to a Good Friday agreement mark 2, and we do not want that. You want to work within the agreement but have some sort of structure. If there is a person who could organise that structure and be acceptable to all the parties, I see nothing wrong with that. I understand that if you expand it beyond the current issues, that could be difficult. However, there are a number of issues beyond those the noble Lord, Lord Empey, mentioned—for example, the Irish language and equal marriage. All those things can be on the table, but it is about getting some form of structure which simply does not exist at the moment. Anything that could help that would be useful.
