ParlaMint-GB_2018-06-12-commons.u1	1. What steps he is taking to support economic growth while decreasing emissions.
ParlaMint-GB_2018-06-12-commons.u341	Order. I remind the House of what it knows, namely that the time available for this debate is very limited. I want to accommodate as many right hon. and hon. Members as possible, so we will begin with a limit on Back-Bench speeches of 10 minutes, although it is not obligatory to take the full allocation of time.
ParlaMint-GB_2018-06-12-commons.u342	I agree with the hon. Member for Glenrothes (Peter Grant) that we should use the language of respect. I, for one—and many of my colleagues, I am sure—would never use words such as “traitor”. We all accept that there are very different views in this place, but this is not the EU negotiating Bill. It is not a Bill designed from its inception to give the Government guidance about what sort of deal we should have. I thought—this has been explained to us many times by the Government—that this Bill was simply to try to transform and transfer, in an orderly way, EU laws into our legal system. That was what I understood the Bill to be; it is not an EU negotiating Bill I said earlier that we should use the language of respect. I know that it is not in order to call any Member “disingenuous”, but I think that it is in order to call an argument disingenuous, and I do so now. I respect the House of Lords. I understand that it is not elected. I understand that it should try to improve legislation. I serve on the Procedure Committee, and when the Committee considered these matters, there was a detailed debate on the sifting committee and I could understand how the House of Lords can try to improve how we deal with legislation. That seems entirely sensible and credible, but many of us suspect that these amendments, particularly Lords amendment 19, are designed not to improve the legislation or to improve the sifting process by which we transfer these laws, but to frustrate the whole process.
ParlaMint-GB_2018-06-12-commons.u343	My hon. Friend will remember that we had many hours of debate and decisive votes before we sent the article 50 letter. That was the point when Parliament made up its mind to back the referendum. We cannot keep chopping and changing.
ParlaMint-GB_2018-06-12-commons.u344	I agree with that. As I was saying, although it is perfectly in order for the other place to try to improve legislation, when it seeks to frustrate it, I think that Members of the elected House should start to get worried. Lords amendment 19 is very clear in saying: “Her Majesty’s Government may implement a withdrawal agreement only if Parliament has approved the withdrawal agreement and any transitional measures…Her Majesty’s Government must follow any direction in relation to the negotiations under Article 50” and so on. What would be the result of that amendment? I say to colleagues that we are not just acting in a vacuum. What would be the result if we fail to overturn this amendment from the other place?
ParlaMint-GB_2018-06-12-commons.u345	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-12-commons.u346	No.
ParlaMint-GB_2018-06-12-commons.u347	Will my hon. Friend give way?
ParlaMint-GB_2018-06-12-commons.u348	My hon. Friend takes a very different point of view from me, so in all courtesy, I give way, but this must be the last time I do so.
ParlaMint-GB_2018-06-12-commons.u349	I am very grateful to my hon. Friend for giving way. Does he agree that the amendment tabled by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) deals with the issues that he is raising?
ParlaMint-GB_2018-06-12-commons.u350	No, I do not agree. I talked to my right hon. Friend the Brexit Secretary earlier today. He simply said—he does understand these things—that all the amendment tabled by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) would do would be to implement what the House of Lords wants to do in fewer words, so I do not accept that, I am afraid. We have to bite this bullet now. We have to support the Government and reject the amendment As I was asking, what would be the result—we do not operate in a vacuum—if the House of Lords had its way? Of course it would be a catastrophe for the Government. There would be banner headlines in every single newspaper tomorrow saying that the Government had been defeated and that the whole Brexit momentum was in danger. Much more important than that—this is why I think the argument is disingenuous—is the fact those who support the House of Lords are dressing up their arguments in terms of parliamentary sovereignty. It is in order, is it not, for Parliament to debate and amend a Bill, as the House of Lords can do? That is what we do all the time, but what the Lords really want to do is to create a situation in which the whole process is frustrated.
ParlaMint-GB_2018-06-12-commons.u351	These arguments were put—almost as forcefully as my hon. Friend is putting them—when we had our debates before Christmas in Committee. This House then passed an amendment on a meaningful vote, defeating the Government. People had foreseen that that would undermine the Prime Minister, cause an election and represent a crisis, but the next morning, apart from the fact that there was now to be a meaningful vote, nothing stirred. The position of the Prime Minister was not weakened and negotiations have not been hindered. My hon. Friend is putting his arguments with his usual great eloquence, but, with great respect, they avoid what we are really talking about, which is the important process of parliamentary accountability.
ParlaMint-GB_2018-06-12-commons.u352	I am afraid that my right hon. and learned Friend was not listening to his own speech. Was I not listening—was I not two or three feet away from him—when he said that the amendment that we passed earlier was not going to make much difference to the whole process? It was like giving a statement, was it not? What we are talking about is completely different. This really is the ultimate wrecking amendment, and it is not the wrecking of parliamentary sovereignty; it is the wrecking of the will of the people and democracy. There are so many compromises that we all have to make. There are so many things that I do not understand about this negotiating process, and about how we have got stuck on the hook of Ireland, the backstop, “max fac” and all these other things, but the essential thing is this: the people want us to leave the EU. They want to regain control of their borders and they want us to be out of the European Court of Justice. All this Bill does—it is not the EU negotiating Bill—is simply to implement the will of the people. Parliament, do not stand against the people! Implement their will.
ParlaMint-GB_2018-06-12-commons.u353	Many Members will today be speaking under pressure or while considering different interests. Some will be observing what the hon. Member for Streatham (Chuka Umunna) called the pure Churchillian principle of accountability and thinking clearly about our consciences and judgments, while others will be concerned about the will of the people as expressed by their own or other people’s constituents, or by parts of the UK such as Scotland that are distinct. Others will be thinking about their party and—dare I say it?—some may even consider the views of their party Whips. People will come to different conclusions and weigh these things differently, and the most vocal people will be those who are not necessarily balancing them with the greatest difficulty. We should respect those on both sides who are struggling to reconcile these different pressures We are weighing up a difficult constitutional matter, and two constitutional questions are wrapped up in Lords amendment 19. One is about how we reconcile the rights of a plebiscite with those of Parliament—we have debated that many times, and the hon. Member for Gainsborough (Sir Edward Leigh) was very unambiguous about where he stands—and the other is about how we balance the rights of the Executive with those of the legislature. We have debated that in different contexts. A few weeks ago, we were talking about exactly how to weigh war powers and accountability Lords amendment 19 takes us forward in one crucial respect with regard to the so-called meaningful vote. It gives additional clarity. It might be better had we taken the wording proposed by the right hon. and learned Member for Beaconsfield (Mr Grieve), but the amendment does give clarity, and it would not have the exaggerated consequences that some have predicted, as was set out very sensibly by the right hon. and learned Member for Rushcliffe (Mr Clarke).
ParlaMint-GB_2018-06-12-commons.u354	Does not the right hon. Gentleman concede that when Lord Bilimoria introduced Lords amendment 19, he said that it had the ability to stop Brexit? Will the right hon. Gentleman not concede that this is a wrecking amendment?
ParlaMint-GB_2018-06-12-commons.u355	The House would have to vote in that way, fully conscious of what it was doing. We just have to wait and see how the House chooses to proceed. The overall effect of the Lords amendment is clearly to—
ParlaMint-GB_2018-06-12-commons.u356	Stop Brexit.
ParlaMint-GB_2018-06-12-commons.u357	No, but stopping Brexit is one option we need to consider Although Lords amendment 19 takes us forward, it would not, as the right hon. and learned Member for Rushcliffe just explained, have the damaging consequences anticipated by many exaggerated predictions. It would not necessarily undermine our negotiating position. The EU countries have their own legislation to consider and have already made it clear that their objective is a smooth, quick, clear Brexit. Anything that might cause major disruption—if they were unfair to the UK, for example—and therefore lead to Parliament’s rejecting the deal would not necessarily be in their interests, and they would, I am sure, reject that The crucial point, which is made in the article by Professor Bogdanor that the Brexit Secretary has quoted at length, is that whereas the amendment is a necessary step, it is not sufficient, and that is because Parliament cannot overthrow the judgment of the people in a referendum. The article is quite clear about that, and so are the Liberal Democrats, although we approach this from the opposite direction to some of the Brexit supporters on the Government Benches. We believe that when Parliament has considered the final deal or the absence of a deal, the public should have the final say on the matter. This is not an extraordinary observation. Countries that rule by plebiscite, such as Switzerland, regard confirmatory referendums as a matter of course. The people vote and then the legislature and Executive review the matter. At the end, there is a confirmatory referendum to determine whether the people accept the proposal. There is no reason why that should present a problem. It is a matter of fundamental—
ParlaMint-GB_2018-06-12-commons.u358	I will complete my remarks and then let others contribute Our amendment (a) to Lords amendment 19 expresses that thought very clearly. I notice that the hon. Member for Bracknell (Dr Lee), who probably more than anyone else is reconciling these different forces today, has accepted that the logic of the position is not simply for the House to have a meaningful vote, but to go back to the people and then accept the result of that vote. Were there to be a vote on the final deal, I would accept it fully, and I would then then work with people who support Brexit to make that work. If we continue on the present path, however, with a definition of Brexit that is narrow and specific, as in the Lancaster House speech—it was supposedly drafted by the Prime Minister’s then adviser—and that many of us would not accept as a proper definition of Brexit, which the Prime Minister has pursued in a stumbling and incoherent way, we will not accept that, and we will not accept the result of the Brexit negotiations even after Brexit has taken place. The public need to have a vote on the final deal at the end of the process.
ParlaMint-GB_2018-06-12-commons.u359	rose—
ParlaMint-GB_2018-06-12-commons.u360	I think the right hon. Gentleman has completed his speech.
ParlaMint-GB_2018-06-12-commons.u361	Will the right hon. Gentleman give way?
ParlaMint-GB_2018-06-12-commons.u362	Order. The right hon. Member for Twickenham (Sir Vince Cable) cannot give way; he has concluded his oration. We await the thoughts of the hon. Member for North West Norfolk (Sir Henry Bellingham) at a later stage, perhaps.
ParlaMint-GB_2018-06-12-commons.u363	I was amused to discover that my right hon. Friend the Secretary of State was a little taken aback by the amendment I tabled late last night. I tabled it with his best interests at heart. Having spent last week understanding that he might imminently be joining me on the Back Benches and realising that Lords amendment 19, if endorsed by the Commons, might precipitate the same thing again, I thought I ought to do what I could to help him. That is why I tabled my amendment, in addition to the one he has tabled, in lieu of the Lords amendment I must tell the House that I really am worried: the irrationality of the debate on the detail of Brexit is truly chilling. A person opens their newspaper and discovers they are about to prevent Brexit, when what the House is doing is legitimately looking at the detail of one of the most complex legal and political exercises in which we have ever engaged in peacetime, and, as a result, our ability to have a rational debate entirely evaporates. If we continue in this way, we will make mistakes and not achieve the best possible outcome The House of Lords was not acting irrationally when it agreed amendment 19. It had picked up on something that ought to be of great concern to everybody in this House—namely, that although we can make provision for achieving a deal, if we do not achieve a deal at all, we will be facing an immense crisis. It might be that some of my colleagues on the Government Benches are excited at this prospect and think it a wonderful moment, but I am not; I think it will be catastrophic. The question, therefore, is: how do we take sensible steps, in anticipation of this, to try to ensure a coherent process for dealing with it? That is what this is about. It is not about obstructing Brexit If we want to obstruct Brexit, there are plenty of other ways to do it. We could replace the Government with one that would like to stop it, although, having already triggered article 50, we would still have to get the consent of our EU partners. There is, then, a complete constitutional incoherence in imagining that the Bill and the way it is presented somehow leads to that dastardly outcome.
ParlaMint-GB_2018-06-12-commons.u364	My concern about my right hon. and learned Friend’s amendment is that it would change the constitutional balance and separation of powers. There is a perfectly reasonable way of ensuring that the Government do the proper thing, and that is a vote of no confidence. As long as the Government maintain the confidence of this House, they ought to be able to negotiate international treaties, but if they fail in their negotiations, the House has a remedy that has been a remedy for very many years.
ParlaMint-GB_2018-06-12-commons.u365	I take my hon. Friend’s point, but I would like him to consider for one moment the last part of my amendment, new section 5C, which deals with what happens if, on 15 February 2019, we have no deal. His invitation would be for the House to express no confidence in the Government and to get rid of them. Can one imagine a more chaotic process than the triggering of a general election five weeks before we fall off the edge of the cliff?
ParlaMint-GB_2018-06-12-commons.u366	I agree with what my right hon. and learned Friend is saying. I think that, far from suggesting that his amendment was wrong, my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) gave the very reason why it is sensible to adopt this structural process to deal with the different scenarios that the House may face.
ParlaMint-GB_2018-06-12-commons.u367	I agree entirely with my right hon. Friend. Let me explain. I did take on board the Government’s concerns regarding the Lords amendment, but I could see that the micro-management of their negotiating position after the autumn, if there were no deal, could present difficulties. My amendment sought to avoid that by doing two things. First, it sought to provide a mechanism whereby no deal, if there is no deal, must come to this House. That would provide great reassurance to all Members that there was a system in place to deal with the position. Similarly, there would be a system in place to deal with the rejection of a deal, and finally—and only then would there be a mandatory condition —a system that would operate if by February we were still faced with an impossible position of having no deal at all.
ParlaMint-GB_2018-06-12-commons.u368	Of course I accept that my right hon. and learned Friend and other colleagues wish to discuss further the role that Parliament will play in all the Brexit scenarios that may present themselves to us. We cannot bind the negotiations, nor can we disrespect the referendum result, but—as my right hon. Friend the Secretary of State said in his speech—we do commit ourselves to meeting to see how we can build on Her Majesty’s Government’s amendment (a) in lieu today, ahead of the Bill’s stages in the House of Lords, and to meeting my right hon. and learned Friend tomorrow to make that important progress on what we have achieved today.
ParlaMint-GB_2018-06-12-commons.u369	I take my hon. and learned Friend’s comments at face value, and I am most grateful to him for making them. He must understand, however, that, as usual when we reach this stage of a process, we face some difficult challenges. There is a Lords amendment, and if we agree to it, that is what will go into the Bill. Alternatively, we may endorse the Government’s approach and support the amendment in lieu. The Government could, I think, adopt my amendment; it is a rather arcane procedure, but they could include it. If they do not want to do that, however, I shall need some pretty cast-iron assurances that when the Bill returns to the Lords, with the Government’s amendment in lieu, we will implement significant parts of what I have put forward, because we cannot allow a situation in which there is no mechanism for dealing with no deal.
ParlaMint-GB_2018-06-12-commons.u370	Overnight, I read my right hon. and learned Friend’s amendment (ii) to Government amendment (a) very carefully, and I think that there is much merit in the approach that he urges the House to adopt in subsection (5A). I need more time to think about the other parts of the amendment—[Interruption] —but by indicating my position on a key part of it, I am indicating that the Government are willing to engage positively ahead of the Lords stages.
ParlaMint-GB_2018-06-12-commons.u371	Again, I am very grateful to my hon. and learned Friend, and let me say to the House that I do not think his views should be dismissed. I am conscious that if we are to make progress, we ought to try to do this by consensus. However, my hon. and learned Friend must also understand—as my right hon. Friend the Secretary of State must understand—the difficulty in which the House finds itself when faced with a choice of this kind. I have been through the same process in opposition and now in government. If the House makes the concession of allowing the dialogue to continue—and I can see the merit in that—it must be done in good faith. Let me say to my hon. and learned Friend that without that good faith, the other place will put the amendment back in, and the good will will be gone when the Bill comes back to this House.
ParlaMint-GB_2018-06-12-commons.u372	I can give my right hon. and learned Friend that assurance. Everything that I do with him and other colleagues is always in good faith, and that will remain the case.
ParlaMint-GB_2018-06-12-commons.u373	I am grateful to my hon. and learned Friend. I was glad to hear what he said about the principle—which, in my view, is entirely innocuous—that “Within seven days of a statement under subsection (4) being laid, a Minister of the Crown must move a motion in the House of Commons to seek approval of the Government’s approach.” That is not exactly rocket science. The second principle is that there must be a mechanism providing for a Minister to come to the House of Commons by a suitable date—and I think 30 November 2018 must be the one—in the event of no deal, so that the Government can tell the House how they intend to proceed and seek the approval of the House for that I know that subsection (5C) causes my hon. and learned Friend much more difficulty. I understand the constitutional issue, and I will come to that before I finish my speech; but the reality is that without a mechanism whereby the House can properly shape the crisis that will be enfolding us at the end of February if we have no deal, we will do it in an ad hoc way, which is likely to be infinitely more damaging to the wellbeing of the citizens of the United Kingdom than putting together a package that can be looked at now.
ParlaMint-GB_2018-06-12-commons.u374	As usual, I am listening very carefully to my right hon. and learned Friend’s observations. They will form a clear basis for a formal set of discussions that we can start at the earliest opportunity ahead of the Lords—
ParlaMint-GB_2018-06-12-commons.u375	Order. I do apologise, but the Solicitor General must address the House. This is not a private conversation with another Member, conducted sotto voce. I want the whole House to hear what the Solicitor General wants to blurt out, preferably briefly.
ParlaMint-GB_2018-06-12-commons.u376	Of course, Mr Speaker. I was about to give a clear undertaking to use my right hon. and learned Friend’s comments as the basis for structured discussions ahead of the Lords stages. [Interruption.]
ParlaMint-GB_2018-06-12-commons.u377	I am grateful to my hon. and learned Friend. Obviously, the House will have to make up its mind about how it wishes to proceed, but, as I have said, there must be a proper understanding of the disquiet that is felt on both sides of the House.
ParlaMint-GB_2018-06-12-commons.u378	I know that the Solicitor General has spoken in good faith, but would it not be best for those discussions to take place in a forthright way, for us to vote with their lordships for their lordships’ amendment and for the Government to return to the matter in the House of Lords after the discussions?
ParlaMint-GB_2018-06-12-commons.u379	I fear not. I think the reality is that if we accept the Lords amendment, that will be the end of the matter. That is the problem that we face in this House.
ParlaMint-GB_2018-06-12-commons.u380	Both my right hon. and learned Friend and I accept without hesitation the good will of our hon. and learned Friend the Solicitor General, who is doing his best to resolve the slightly odd situation that we are all in. I think that the majority of Ministers—although I do not know about my hon. and learned Friend—would give my right hon. and learned Friend the undertaking for which he is asking now, and that the majority of our party would be quite happy with an arrangement of the sort proposed in his amendment. However, all we can have is what we had in Committee—offers of good faith, discussions and earnest attempts—because our proposals will be vetoed by the hard-line Brexiteers in the Government.
ParlaMint-GB_2018-06-12-commons.u381	I am grateful to my right hon. and learned Friend. I think that we will hear more about that as the debate unfolds.
ParlaMint-GB_2018-06-12-commons.u382	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-12-commons.u383	No. I am sorry Let me end by saying this. The idea that it is wrong, in a crisis, for Parliament to direct the Government what to do is plainly fallacious. It cannot be right. We are entitled to do that. Of course, if the Government do not want to do what we direct them to do, that is another matter.
ParlaMint-GB_2018-06-12-commons.u384	Order. We will have one more speech of up to 10 minutes, but then the limit will have to be cut, because I want to accommodate the maximum number of colleagues.
ParlaMint-GB_2018-06-12-commons.u385	It is with some hesitation that I involve myself in the negotiation that the Government are clearly attempting to conduct with their own Back Benchers. I simply want to observe that this is the single most important amendment that we will be discussing today and tomorrow in relation to the role that Parliament should and indeed must play in determining what kind of Brexit happens I simply do not accept the argument that the Secretary of State and other Conservative Members have advanced in trying to suggest that this proposal is somehow illegitimate or improper, or is intended to overturn the result of the referendum. Is it improper for this House to decide that in leaving the EU, we wish to remain within a customs union with it? Is it improper for this House to decide that we wish to remain in a single market, or to continue to have the European arrest warrant system, or that we want to co-operate in future with our friends and neighbours on foreign policy, defence and security? If the answer to all those questions is no, it is not improper; this Lords amendment is about giving Parliament the ability to ensure it can exercise that judgment when the time comes. It seeks to make it clear who will be in control when we come to the end of the process: the Government can go away and negotiate, but they will have to win the consent of the House when they return The Government’s attempts to neuter the Lords amendment will not work for a number of reasons that have been set out already. I say to the Solicitor General that, frankly, we do not have more time, which is why this is the moment when we have to make the choice. Secondly, as has been clearly pointed out, it makes no provision for what happens in the event of there being no deal. The House is aware of what the consequence of no deal would be for the border in Northern Ireland, our trade, the rights of British citizens abroad and EU citizens here, future co-operation on security and many other matters.
ParlaMint-GB_2018-06-12-commons.u386	Given all that the right hon. Gentleman has been outlining, is it not fascinating that when Brexiteer MPs ask themselves about a vote on Brexit, they fear they will lose it and therefore that Brexit will be reversed? That displays no confidence in their argument at all.
ParlaMint-GB_2018-06-12-commons.u387	I say to the hon. Gentleman that the British people have made their decision about the fact that we are leaving the institutions of the European Union in March next year, but it is for this House to decide the way in which we leave and the future of our relationship with our friends and neighbours, who will remain our friends and neighbours after we have left.
ParlaMint-GB_2018-06-12-commons.u388	I will not give way again as many other Members wish to speak The question is: who decides what happens next in the circumstances either of there being no deal or of Parliament rejecting the deal the Government bring back in October or November? In the event of a rejection I think it is pretty safe to assume that Parliament will, in moving an amendment to the motion asking for approval of the withdrawal agreement, set out its reasons why. Parliament might say for example that it declines to give approval to the withdrawal agreement because it makes no provision for the UK remaining in a customs union with the EU. In those circumstances, as many Members— including the right hon. and learned Member for Rushcliffe (Mr Clarke), the Father of the House—have made clear, it is perfectly reasonable for the House of Commons then to expect the Government of the day to go back to those with whom they have been negotiating. As always happens in negotiations, people come back and say, as the Chief Whip is now experiencing, “I’m really sorry, I have tried, but the Members will not wear it; we need to talk about doing something else.” It is perfectly reasonable for the House to do that; otherwise, as we have heard many times, the notion that we have somehow taken back control has no force whatsoever We need a mechanism that can enable the House to have its say both in the event of there being no deal because an agreement cannot be reached and in circumstances where the House of Commons says it does not accept the deal the Government have brought back.
ParlaMint-GB_2018-06-12-commons.u389	The only opportunity.
ParlaMint-GB_2018-06-12-commons.u390	My hon. Friend is correct: it is the only opportunity to make it clear to the Government that we intend to have our say when the negotiations have been concluded. This is the one chance that we have to exercise the sovereignty that we all believe properly rests with this House, whether we voted leave or remain in the referendum. I hope very much that the House, recognising that this is its one chance, will take that opportunity by voting later today for Lords amendment 19.
ParlaMint-GB_2018-06-12-commons.u391	Order. I am sorry to disappoint colleagues but do so in the spirit of maximisation: a six-minute limit now applies.
ParlaMint-GB_2018-06-12-commons.u392	I have never written a speech before and then had it typed out, Mr Speaker, and now I do not know why I bothered: not only have you cut the time, but you can see how the debate has advanced. I am sorry but I am going to speak, as ever, frankly. This has got to stop; this is unseemly; this is the most important piece of legislation that this House has considered arguably since the second world war, and we sit here and watch a peculiar sort of horse-trading over the perfectly excellent amendment put forward by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve), who served in the Government for decades—[Interruption.] He served in the Government for a number of years, but he has served this party for decades and he has never rebelled once. I gently say to my hon. Friend the Member for Gainsborough (Sir Edward Leigh), who in just eight years rebelled 58 times, and to the Secretary of State for Exiting the European Union, who along with my right hon. Friend the Member for Chingford and Woodford Green (Mr Duncan Smith) rebelled in total 160 times, that we here understand the concept of being loyal to leadership and, indeed, being true and honourable to our principles—and I believe they are men of conscience and principle Let us look around us at what is happening. There are good men and women of great ability, and indeed courage, who are, unfortunately, no longer in our Cabinet, such as my right hon. Friends the Members for Ashford (Damian Green), for Putney (Justine Greening) and for Hastings and Rye (Amber Rudd)—all great people who have been lost from our deeply divided Cabinet. Never before have we had a Cabinet that is so divided, and with some of its most senior people, who hold the greatest offices of state, at every twist and turn, when our Prime Minister moves towards securing a Brexit that will serve everybody in our country—the softest, most sensible of Brexits—both publicly and privately undermining her and scuppering her attempts. It simply has to stop, and the moment for it to stop is now I know absolutely that the Solicitor General is a man of great honour, whose word will always be true, but I say with the greatest respect to him that he is not the most senior person around today and it is not his decision. He knows that I say that as somebody with great respect and love for him. So where is the Secretary of State? All he has to do is accept the amendment of my right hon. and learned Friend the Member for Beaconsfield. If he does not, he will force Members who for decades have never before rebelled to traipse through a Lobby or sit and abstain, just as they did in the Lords—and who I will support in each and every one of those important amendments on the EEA and the customs union and amendment 19 Those Lords were Members of this place once; they include a former Chief Whip, a former Deputy Prime Minister, more Secretaries of State than we could shake a stick at, a former Leader of the House and two former party chairmen. For decades they were always loyal to every leader. Meanwhile, there lurk some, I am afraid, who for decades have plotted and connived. They have got rid of leaders and anybody and anything that stood in their way, and they will continue so to do. Even if they are supported by Russian bots and their dirty money, they will do what they have had a lifetime’s ambition to do, which is to take us over the cliff into the hard Brexit that my constituents did not vote for. I will continue to represent my constituents. We reckon that overall 52% voted to leave, but the 48% who voted to remain have been put to one side in this process and ignored. That has to stop. We have to come back together and we have to do the right thing. I know and understand how difficult it is for many of my colleagues to go through the Lobby and vote against their party, but I say this: I am getting a little tired of the right hon. and hon. Members on the Back Benches, in government and even in the Cabinet who come up to me and others in quiet and dark corridors; of the British businesses that demand private meetings in which they lay bare their despair but refuse to go public; of the commentators who say to me, “You’re doing a great job. Keep on going,” in the face of death threats which have meant that one of our number has had to attend a public engagement with six armed undercover police officers—that is the country that we have created and it has got to stop; and of the journalists who fight nobly for every cause but on this most important of issues are mute. It has got to stop. Everybody now has to stand up and be true to what they believe in Finally, Mr Speaker, I hope you will give me time to find and read out some great words: “The House is made up of 651 robust individuals whose position gives them a powerful say in what the Executive can and cannot do. The powers of the House are sovereign and they have the ability to upset the best-laid plans of Ministers and of Government, which no Minister ever forgets, and nor should any Back Bencher” Those words were true then, and they are true now. They were spoken by the Secretary of State for Exiting the European Union. Accept the amendment!
ParlaMint-GB_2018-06-12-commons.u393	The right hon. Member for Broxtowe (Anna Soubry) has spoken with passion and clarity, and above all she has spoken about courage and about putting our country first. I should like to pay particular tribute to the hon. Member for Bracknell (Dr Lee), who has done exactly that today. This involved personal sacrifice—and who knows what the electorate might do in the future—but he is using his judgment and making an assessment about what is in the best interests of his constituents, and that is greatly to be respected I was fascinated to hear the exchange between the right hon. and learned Member for Beaconsfield (Mr Grieve) and those on the Government Front Bench a moment ago. It seems to me that the obvious solution would be for the Government to signal that they will accept the amendment in lieu tabled by the right hon. and learned Gentleman—
ParlaMint-GB_2018-06-12-commons.u394	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-12-commons.u395	No, I am not going to give way. There are lots of others who want to speak—[Interruption.] No, sit down If the Government were to accept the amendment, and if the House were to approve that—as it would, because this would be done by consensus—that issue would then go to the House of Lords. Through the discussions that would subsequently take place there, it might be amended or tweaked in some way, and there would then be an opportunity for the other place to send it back here for final confirmation. However, if the right hon. and learned Gentleman were simply to take the word of Ministers on this question—I understand that that sometimes happens—the leverage of this House could be lost if those discussions came to naught.
ParlaMint-GB_2018-06-12-commons.u396	We have to be realistic, and there is an issue here. If the Government wanted to accept the entirety of the amendment, that could probably be done this afternoon and that would be the amendment that went back to the Lords, incorporated in theirs. In fairness to the Government, I have always appreciated that there might be some tweaking to be done. I understand that. Having said that, does the hon. Gentleman agree that there needs to be some certainty that the substance of this amendment will come with the acceptance of the Government in the other place?
ParlaMint-GB_2018-06-12-commons.u397	That is right, and a bird in the hand is worth two in the bush. I suggest that it is far better to have that amendment in the Bill as it goes to the other place, which may decide to tweak or change it following discussions. That seems to reflect what feels like the majority view in the Chamber today on the need for a sense of certainty that something will be done. This is not just a matter of one Minister, because a Minister’s word can be given and then changed—
ParlaMint-GB_2018-06-12-commons.u398	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-12-commons.u399	No, I will not give way Ministers can come and go, but we across this Chamber need that level of certainty. We of course accept the fact that there will be further discussions. The question about taking back control was put to us consistently throughout the referendum. As someone was saying earlier, we obviously cannot call hon. Members hypocrites, but we can point out the hypocrisy in general of the argument of those who might have said in one breath that we should take back control and then had the audacity to come here and say, “Oh well, the UK Parliament clearly has to be cut out of this issue altogether.” I know that we were all elected in 2017 on a mandate drawn up subsequent to the referendum. Our mandate, collectively, has a value, and we should not diminish that and pretend that we should be cut out of this process altogether when there are so many things at stake This is not a binary question, and I do not believe that the British people voted to take back control from Brussels only to give that control unilaterally and in its entirety to the Prime Minister and her friends. This is a matter for us, and our constituents would expect nothing less than for us to say, “Hang on a minute, what about our jobs in the manufacturing sector? What about the car industry? What about those who work in the financial services sector?” All the people working in those sectors have the right to expect us to do our job with due diligence The right hon. and learned Member for Rushcliffe (Mr Clarke) has rightly pointed out that we could find ourselves in a situation in which no deal is reached because the discussions and negotiations have collapsed. There is no certainty that the motion would then come forward. When the Secretary of State was intervened on and asked what would happen if no deal were to materialise, he said that the Government would come forward with a statement. When he was asked how the Government were going to prevent us from falling over the cliff, no answer was forthcoming. This is an incredibly important point. We have a duty to safeguard our constituents from harm. That harm could affect not only their livelihoods and their jobs but all the revenues that taxpayers pay towards our public services. So if we care about our NHS, we have to ensure that there is a safeguard in place. If we care about schools and council services, we need this insurance policy in place. We should not go through such a crucially important issue without those particular safeguards.
ParlaMint-GB_2018-06-12-commons.u400	Does my hon. Friend recall that, during the general election, the Prime Minister said that she was being obstructed in Parliament and needed a big majority? Well, she got her answer at that election. Coming back to another point that my hon. Friend has made, the midlands rely on trade, and we should not be jeopardising hundreds of thousands of jobs in the west midlands.
ParlaMint-GB_2018-06-12-commons.u401	My hon. Friend says it perfectly. We would be failing in our duty if we were simply to delegate all our decisions to the Prime Minister and say, “That’s it. Everything has been done.” Leaving the customs union or the single market was not on the ballot paper, and those are things on which we have a right to express our view.
ParlaMint-GB_2018-06-12-commons.u402	rose—
ParlaMint-GB_2018-06-12-commons.u403	I want to conclude. The other problem with the deal is the future relationship, because when that motion comes, my constituents expect that it will be about not just the divorce proceedings, the money and the process of leaving, but what our future relationship will be. It must be. If there is simply a side of A4—a flimsy statement of words—with the famous fudge that we are so used to hearing about stapled as an annex to the back of it, that will be unacceptable. We have a duty to press Ministers to do a proper deal that safeguards our constituents’ interests. As MPs, we must ensure that we exercise pressure on the Government to do things properly The right hon. and learned Member for Beaconsfield clearly now has the majority of the House with him, because we would not see the Government Chief Whip scuttling around so rapidly—I have never seen him move so quickly—trying to find a form of words. I hope that the right hon. and learned Gentleman will take this opportunity to get his amendment in lieu in the Bill now and send it to the House of Lords. The Lords can always amend, change it or look at it again, and we can come back to this next week and do things properly. It is not our fault that only 12 hours were allocated to this whole ridiculous process; we could have had far longer. The Government have made their bed, and they must now lie in in it. They set up this process, and they cannot realistically complain, “Ooh, I didn’t have the chance to read this overnight.” If they want a particular change, they need to accept the will of the House. They can always table amendments in the House of Lords. That seems the best way forward.
ParlaMint-GB_2018-06-12-commons.u404	Order. With the last speech on the six-minute limit, I call Sir William Cash.
