ParlaMint-GB_2018-05-01-commons.u1	1. What steps he is taking to ensure that markets work in the interests of consumers.
ParlaMint-GB_2018-05-01-commons.u377	I rise to speak to the amendments in my name. I will rattle through them and say why they have been tabled. The primary concern is about Companies House. Very much as the hon. Member for Oxford East (Anneliese Dodds) has just said, we have laid out our serious concerns at all stages of the Bill. It is disappointing to get to this stage and find that the Government are still not listening to those concerns Companies House does not have the adequate resources or powers sufficiently to monitor and ensure the integrity of the company incorporation data submitted to it.
ParlaMint-GB_2018-05-01-commons.u378	Does my hon. Friend agree that it seems to be harder to open a gym membership than to register a company with Companies House?
ParlaMint-GB_2018-05-01-commons.u379	My hon. Friend is absolutely correct. Registering with Companies House seems to be the easiest thing possible. It is baffling that anything else, such as a tax return, a passport application or a driving licence application, needs to go through the gov.uk verify scheme, but Companies House does not have that requirement. Just tightening up those rules would help hugely both to ensure the accuracy of the information and to clamp down on those who wish to abuse the system. It is in all our interests to make sure the system is accurate, but it is not accurate Worse, there are only about 20 people at Companies House policing some 4 million firms’ compliance with company law. There are no proactive checks on the accuracy of the information submitted, which, as the hon. Member for Oxford East has just said, allows a significant amount of false and misleading data to be submitted to the companies register.
ParlaMint-GB_2018-05-01-commons.u380	The hon. Lady says there are no proactive checks at Companies House, but if an outside person challenges an entry, surely the people at Companies House have to check it out. It is a criminal offence if an entry is wrong, is it not?
ParlaMint-GB_2018-05-01-commons.u381	The difficulty in all this is with enforcement. As the hon. Member for Oxford East pointed out, it has been very difficult to get anything to happen in the case of “the chicken thief”. The only person to be prosecuted so far is a whistleblower, which does not lead me to believe much will be done to those who abuse the system. The volume of data at Companies House makes such abuse very difficult to tackle. Indeed, investigative journalist Richard Smith has flagged up such things and has found it difficult to get any action. If a person submits the wrong name and address on their form, either deliberately or accidentally, how is the agency supposed to track down that person to get them to correct the information Not making the system accurate allows hon. Members to stand up in this place and say that transparency of registers does not work, but we know it does work if it is done properly and if we invest in it properly. We need to be careful to make sure that our own integrity is right, because if we are leading on transparency and beneficial registers across the world, we need to make sure that what we are doing here—the intention around Companies House—is what is carried out in practice. Companies House needs more resource to allow that to happen.
ParlaMint-GB_2018-05-01-commons.u382	I rise to speak briefly in support of various amendments, including amendment 21, which would remove the Henry VIII powers. It has become an unfortunate hallmark of this Government that they have sought to put far too much power in Ministers’ hands. If anything, the whole “take back control” thing should be in the direction of Parliament and the representatives of the people, not to Ministers, with decisions therefore undergoing less scrutiny. I very much support amendment 21 on that basis I am sure that shortly the House will hear from the hon. Member for Brighton, Kemptown (Lloyd Russell-Moyle), who tabled new clause 18, which I very much support. I understand that my support was communicated to the Public Bill Office, but unfortunately my name was not added to the amendment paper. I wanted to put on record the fact that that communication had been sent. My right hon. Friend the Member for Twickenham (Sir Vince Cable) advocated the change in the new clause during our time in coalition, but it was one of those things that was blocked by our coalition partners, who claimed that it would somehow add to regulatory burdens and so would not be possible. I am delighted to support that new clause today On new clause 12, which was tabled by the hon. Members for Oxford East (Anneliese Dodds) and for Bishop Auckland (Helen Goodman), it is absolutely sensible that, just as we have a public register of beneficial ownership for companies, the same requirements should apply to trusts, given that we know how often trusts are used in a way that is conducive to money laundering. I understand that there are concerns about some individuals who may be vulnerable, but a better way to deal with that would be to carve out specific exemptions for such individuals, rather than go in the other direction, with the assumption being secrecy. It is about what the default is, and transparency very much ought to be the default, particularly given the widespread evidence of the use of trusts for the sheltering of wealth and therefore as cover for shady activities Finally, I wish to talk about the Companies House issues raised by new clause 13, because I was formerly the Minister in charge of Companies House, which tries to do a good job, albeit not with significant resources. Some of the changes that have come in—such as the move to do much more online, thereby getting rid of the paper trail caused by requiring every single company registration to be sent in on paper—are positive and often work well. I speak as somebody who used the Companies House service to set up a company when I was out of Parliament I wish to see the process remain simple, straightforward and low cost so that it is easy for people to set up new companies. However, it strikes me that, in that move to online, we have opportunities to undertake many more checks in a more cost-effective way than would have been possible under the paper-based system that existed before. As the hon. Member for Oxford East pointed out, we can have innovations such as drop-down menus which we are familiar with on so many different websites that we interact with in other spheres of life. We can therefore design into the system many of the checks that need to be done For addresses to be entered, we could have a simple checking process against the postcode address file. Anyone in this Chamber who does online shopping—I confess that I have, on occasion, done it myself—knows that it is just not possible to enter an address that is not a straightforwardly understood UK address, which is part of the postcode address file. There are therefore lots of good opportunities for Companies House to update its system so that it is much more adept—still in a cost-effective way—at identifying the small proportion of registrations, out of the large number of companies that register with Companies House, that require enforcement activity. Being able to do that in a risk-averse manner, as well as, no doubt, dealing with other patterns of registrations that might end up needing to be investigated would certainly be helpful. Over time, no doubt, tools could be developed to improve the risk assessment process.
ParlaMint-GB_2018-05-01-commons.u383	The hon. Lady is making some good points. Currently, companies have to pay a nominal fee to register. On the types of registration that she is talking about and the in-depth detail that will need to be considered, has she done any work on the sort of fee that companies will be looking to pay?
ParlaMint-GB_2018-05-01-commons.u384	I welcome the hon. Lady’s intervention. Basically, I am talking about making changes to the system in a cost-effective way. We are talking about system changes to multiple transactions, which, as I have said, are hardly groundbreaking in terms of online systems that exist in other spheres. I am talking about having access to these databases that already exist. Over time, intelligence-led risk profiling would also make sense. It is not about saying that for every company registration there needs to be an incredibly cumbersome process; it is about saying that measures could be taken in a fairly cost-effective way to use the technology and the ability that we now have—while things are being registered online—to identify where the problems are, in much the same way that when we enter a company name with one of those 135 sensitive words, a flag goes up, and it will be looked at by some human eyes. We could certainly have that system in place with a wider set of parameters without impinging on the general efficiency of the system, which no Member would want.
ParlaMint-GB_2018-05-01-commons.u385	rose—
ParlaMint-GB_2018-05-01-commons.u386	I am finishing my remarks shortly, but I will certainly give way.
ParlaMint-GB_2018-05-01-commons.u387	The hon. Lady is very kind in giving way. I have a very quick question for her. She rightly answers the question from my hon. Friend the Member for Lewes (Maria Caulfield) about the process and, potentially, adding additional cost. The hon. Lady probably did it herself but many people use intermediaries—be it solicitors, accountants or other individuals and businesses that do it for them. Does she foresee additional cost being created because of the additional administration involved?
ParlaMint-GB_2018-05-01-commons.u388	What we are discussing here is having additional checks at the Companies House end. For other organisations, some additional checks already happen. The hon. Gentleman is right that I did do a bit of a test run to check what I had said about it being straightforward. Happily, it generally was fairly straight- forward and an easy system to use. None the less, I think that there would be a way we could use new technology to improve enforcement work through the Companies House website. Additional resources will be needed if we are to take this seriously, and I hope that the Government will recognise that in their response.
ParlaMint-GB_2018-05-01-commons.u389	For £12, disreputable individuals can register UK companies and begin trading arms internationally through a network of subsidiaries. For £12, they receive the legitimacy of a trading company and a respectable business. We know that this is the case because it has been happening for 10 years, and it could well be happening right now We know that this has been happening thanks to the investigative work of Amnesty International and other non-governmental organisations. In 2014, Ukranian-based S-Profit Ltd, which was registered here in the UK, was named by the South Sudanese Government as brokering a £44 million small arms deal. The South Sudanese Government are subject to sanctions; yet, astonishingly, S-Profit Ltd is still a registered British company In 2009, the Committees on Arms Export Controls found that a company called Hazel UK had been brokering arms to Libya, Syria and Sri Lanka, which violated sanctions against those countries at the time. This company is still registered. I could go on. For example, System Use Contract Ltd brokered arms to Rwanda. I have a long list.
ParlaMint-GB_2018-05-01-commons.u390	I am intrigued by this. Fundamentally, the hon. Gentleman is saying that there is a brass plate and a registration with Companies House, but there is actually nothing between that and a company working abroad. Is he saying that there is no connection and absolutely no way that these people can be traced, or have I got it wrong?
ParlaMint-GB_2018-05-01-commons.u391	This is not about tracing. These companies use British registration but undertake activities through a set of subsidiary companies or other companies that they are linked to abroad to take part in the nefarious activity. The individuals might be directors of both companies, for example The current threshold of requirement to disbar individuals or strike off a company is at the criminal level of responsibility, but that level is just far too high. If it were brought down to the civil level of responsibility, the Minister would be able to take action. Now, the Minister may feel that he would not want to take action and I am not compelling him to do so. I am simply giving him the powers, if need be, that already exist in the Insolvency Act 1986. This is not about extending powers that have never been used before The Government say that there is no information about these companies at all. Well, let us look at S-Profit Ltd, a UK-registered company that brokered arms to the South Sudanese Government. This Government have received copies of the contracts involved. The Ukrainian directors of the company have even admitted that the contracts were genuine, as did the Ukrainian state company responsible for brokering the weapons. It is not enough for a criminal action, but it is clearly enough for a Minister to invoke the public test—that is, to ask whether the company is acting against the public interest and breaching sanctions. Such companies should be struck off, so that they cannot use the brand Britain as a front for their activities When Sir John Stanley was in this place, he recommended the same powers in the Committees on Arms Export Controls. I am not trying to bring in something that is hugely controversial. The Government have already said today, in general, that they would like to take action on these things. I was really disappointed that we were not able to get the Government to support this. I tried to meet the Government a number of times, even coming up in recess time to do so, with the meeting being cancelled 20 minutes before it was due. It is a real shame, and I would like the Government to give way. However, I will not press the amendment to a vote on this occasion if they make a commitment to look at this further and to take it on, as I think they have done today. I hope we can work together on this.
ParlaMint-GB_2018-05-01-commons.u392	Thank you for letting me speak, Madam Deputy Speaker. I was not expecting to get in, so it is a real privilege to have the opportunity to bring up the rear of the debate I thank my hon. Friend the Member for Glasgow Central (Alison Thewliss) for her steadfast work on this Bill. I also thank other Members across the House. In particular, we heard an excellent speech by the hon. Member for Oxford East (Anneliese Dodds), who spoke about SLPs and the negative impact—the devastating impact—they have had across the UK. I recently met a Moldovan human rights lawyer at the Council of Europe. Many Members will be familiar with the nefarious activities of the Moldovan Government and certain oligarchs. She—I will not name her—has experienced huge tragedy in her life, being separated from her young son in trying to fight the Government, who are using an SLP to launder money and are engaged in criminal activities The point about reputation is really important, not just for Scotland but for the rest of the UK. The Scottish name is being used, and misused, through a piece of legislation. By and large, those who use SLPs are doing so for legitimate reasons, but a few are spoiling it for the many. SLPs are increasingly being abused by money launderers because of their unique characteristics. The hon. Member for Oxford East mentioned the Russian laundromat case, which extracted £16 billion out of Russia between 2010 and 2014. There were 114 SLPs in the laundromat, two of which were core laundering vehicles. Progate Solutions no longer exists—the Sarajevo-based Organised Crime and Corruption Reporting Project uncovered that company and highlighted its activities—but it is still being used to launder money. The hon. Member for Bishop Auckland (Helen Goodman), who has done a lot of work on this, described there being an “explosion” of SLPs. In terms of the statistics, 82% of all SLPs registered at the end of 2016 and 70% of SLPs incorporated during this period are registered at just 10 addresses Getting to the core of the issue of transparency, this is about how business is being done now. We look at gender pay reporting and the impact that that has had on business in this country. That is a move forward. It was interesting to hear some Conservative Members talking about resources for us to have the power to investigate these companies. Our very limited and stretched public resources are being used so that our trained taskforces can investigate them. If we bring about a more transparent system and more transparent laws, our vital resources can be directed towards other crimes to protect our citizens. This is fundamentally about protecting our citizens across the UK With regard to Companies House, it is important to put it on record that I do not think anybody would want to criticise the staff or the job that they do, but what has happened to some consumers cannot be right. I have had constituency cases where people have bought services or goods, the company has gone bust, and they are left with nothing—neither their money back nor the items. A constituent of mine followed the individuals concerned through their registration in Companies House, and discovered that they had set up a new company and started trading again within a few weeks. She was told by the police that there was nothing that she could do because this was an entirely legitimate practice. It cannot be right that people are allowed to do that. That is why we feel that new clause 2 is so important.
ParlaMint-GB_2018-05-01-commons.u393	We have heard from earlier speakers that Companies House is desperately under-resourced, with a small number of staff. Is under-staffing a body not a simple way to make it ineffectual? It should have many more staff.
ParlaMint-GB_2018-05-01-commons.u394	I thank the hon. Gentleman for that point. It is also important to note the point made earlier about how difficult it was to make Companies House bigger or give it more resources or a greater remit. That seems bizarre. I sat on the Public Bill Committee on the Enterprise Bill, in which the Government, in a welcome move, introduced the Small Business Commissioner, which involved setting up a whole new organisation with new resources. The failings of Companies House, to my mind, will work against the Small Business Commissioner and give it more work It would be interesting to hear from the Minister on that point. Companies House needs more resource and better oversight. Companies that are not doing business properly and going about their business in the right way are surely a threat to good businesspeople across the UK. If the Government will not support new clause 2, it would be interesting to hear why The Panama and Paradise papers have been mentioned a number of times. We know from them that the Odessa oil mafia controls a number of British Virgin Islands companies collectively known as the Rubicon Group. One of those individuals controlled a number of BVI companies without officially declaring them, and that group owns at least eight high-end London properties worth tens of millions of pounds. The secrecy afforded to those individuals, who have questionable sources of income, has allowed them to hide their identities and their wealth In the point I made earlier to the hon. Member for Hornsey and Wood Green (Catherine West), I was not criticising the Labour party in any way. I was trying to get across that after the tragedy of Grenfell and given the housing crisis, the rise in homelessness and the fact that these kinds of people own 40,000 properties across London—that is four fifths of my Livingston constituency—and more than 86,000 across England and Wales, we surely face a huge issue and a massive challenge. If we want to tackle the housing crisis, this is how to do it. The Government should be doing something about it, rather than standing by and saying that we already have the powers, when we clearly do not I commend the Government for new clause 6, which is an excellent and positive move. However, if the Prime Minister was really serious when she took office about governing for all the people of the UK, there is a great gulf still to cross. There are some serious and important amendments tabled by Members across the Chamber that the Government could put their support behind and in doing so make a real difference to our citizens Question put and agreed to. New clause 4 accordingly read a Second time, and added to the Bill. New Clause 5 Retained EU rights ‘(1) If and to the extent that anything in the European Union (Withdrawal) Act 2018 would, in the absence of this section, prevent any power within subsection (2) from being exercised so as to modify anything which is retained EU law by virtue of section 4 of that Act (saving for certain rights etc), it does not prevent that power from being so exercised (2) The following powers fall within this subsection— (a) any power conferred by this Act, or by regulations under this Act, on a Minister of the Crown within the meaning of the Ministers of the Crown Act 1975 (however that power is expressed); (b) any power conferred by regulations under Schedule 2 on a supervisory authority (3) In this section “modify” has the same meaning as in the European Union (Withdrawal) Act 2018.”—(Sir Alan Duncan.) This new clause is consequential on government amendments to the European Union (Withdrawal) Bill, and makes clear that any restrictions in that Bill on the modification of retained EU law do not prevent powers under this Bill (for example, powers to impose an asset-freeze or immigration sanction) from being exercised in cases where their exercise will interfere with a retained right that a person would otherwise have under clause 4 of the European Union (Withdrawal) Bill. Brought up, read the First and Second time, and added to the Bill. New Clause 15 Enforcement: goods etc on ships ‘(1) The provision that may be made by virtue of section 17(2) (enforcement of prohibitions or requirements) includes provision as to the powers and duties of prescribed persons in relation to— (a) British ships in foreign waters or international waters, (b) ships without nationality in international waters, and (c) foreign ships in international waters (2) Regulations may make provision by virtue of this section only for the purpose of enforcing relevant prohibitions or requirements (3) A prohibition or requirement is a “relevant prohibition or requirement” for the purposes of this section if it is— (a) a prohibition or requirement specified by the regulations which is imposed by regulations for a purpose mentioned in any of paragraphs 2 to 7, 15(a), (b) or (c) or 16(a) of Schedule 1, or (b) a prohibition or requirement imposed by a condition of a licence or direction issued by virtue of section 15 in relation to a prohibition or requirement mentioned in paragraph (a) (4) The powers that may be conferred by virtue of this section include powers to— (a) stop a ship; (b) board a ship; (c) require any person found on a ship boarded by virtue of this section to provide information or produce documents; (d) inspect and copy such documents or information; (e) stop any person found on such a ship and search that person for— (i) prohibited goods, or (ii) any thing that might be used to cause physical injury or damage to property or to endanger the safety of any ship; (f) search a ship boarded by virtue of this section, or any thing found on such a ship (including cargo), for prohibited goods; (g) seize goods found on a ship, in any thing found on a ship, or on any person found on a ship (but see subsection (8)); (h) for the purpose of exercising a power mentioned in paragraph (e), (f) or (g), require a ship to be taken to, and remain in, a port or anchorage in the United Kingdom or any other country willing to receive it (5) Regulations that confer a power mentioned in subsection (4)(a) to (f) or (h) must provide that a person may not exercise the power in relation to a ship unless the person has reasonable grounds to suspect that the ship is carrying prohibited goods (and the regulations need not require the person to have reasonable grounds to suspect that an offence is being or has been committed) (6) Regulations that confer a power mentioned in subsection (4)(e)(i) or (f) must provide that the power may be exercised only to the extent reasonably required for the purpose of discovering prohibited goods (7) Regulations that confer a power mentioned in subsection (4)(e)(ii) on a person (“the officer”) may permit the search of a person only where the officer has reasonable grounds to believe that that person might use a thing in a way mentioned in subsection (4)(e)(ii) (8) Regulations that confer a power mentioned in subsection (4)(g) on a person— (a) must provide for the power to be exercisable on a ship only where that person is lawfully on the ship (whether in exercise of powers conferred by virtue of this section or otherwise), and (b) may permit the seizure only of— (i) goods which that person has reasonable grounds to suspect are prohibited goods, or (ii) things within subsection (4)(e)(ii) (9) Regulations that confer a power on a person by virtue of this section may authorise that person to use reasonable force, if necessary, in the exercise of the power (10) Regulations that confer a power by virtue of this section must provide that— (a) the power may be exercised in relation to a British ship in foreign waters only with the authority of the Secretary of State, and (b) in relation to foreign waters other than the sea and other waters within the seaward limits of the territorial sea adjacent to any relevant British possession, the Secretary of State may give authority only if the State in whose waters the power would be exercised consents to the exercise of the power (11) Regulations that confer a power by virtue of this section must provide that— (a) the power may be exercised in relation to a foreign ship only with the authority of the Secretary of State, and (b) the Secretary of State may give authority only if— (i) the home state has requested the assistance of the United Kingdom for the purpose of enforcing relevant prohibitions or requirements, (ii) the home state has authorised the United Kingdom to act for that purpose, or (iii) the United Nations Convention on the Law of the Sea 1982 (Cmnd 8941) or a UN Security Council Resolution otherwise permits the exercise of the powers in relation to the ship (12) The reference in subsection (11) to the United Nations Convention on the Law of the Sea includes a reference to any modifications of that Convention agreed after the passing of this Act that have entered into force in relation to the United Kingdom (13) In this section— “arrangements” includes any agreement, understanding, scheme, transaction or series of transactions (whether or not legally enforceable); “British ship” means a ship falling within paragraph (a), (c), (d) or (e) of section 7(12); “foreign ship” means a ship which— (a) is registered in a State other than the United Kingdom, or (b) is not so registered but is entitled to fly the flag of a State other than the United Kingdom; “foreign waters” means the sea and other waters within the seaward limits of the territorial sea adjacent to any relevant British possession or State other than the United Kingdom; “goods” includes technology within the meaning of Schedule 1 (see paragraph 36 of that Schedule); “home state”, in relation to a foreign ship, means— (a) the State in which the ship is registered, or (b) the State whose flag the ship is otherwise entitled to fly; “international waters” means waters beyond the territorial sea of the United Kingdom or of any other State or relevant British possession; “prohibited goods” means goods which have been, or are being, dealt with in contravention of a relevant prohibition or requirement (see subsection (3)); “regulations” means regulations under section 1; “relevant British possession” has the same meaning as in section 7 (see subsection (14) of that section); “ship” has the same meaning as in section 7 (see subsection (14) of that section); “ship without nationality” means a ship which— (a) is not registered in, or otherwise entitled to fly the flag of, any State or relevant British possession, or (b) sails under the flags of two or more States or relevant British possessions, or under the flags of a State and relevant British possession, using them according to convenience (14) In the definition of “prohibited goods” in subsection (13), the reference to goods dealt with in contravention of a relevant prohibition or requirement includes a reference to a case where— (a) arrangements relating to goods have been entered into that have not been fully implemented, and (b) if those arrangements were to be fully implemented, the goods would be dealt with in contravention of that prohibition or requirement.”—(Sir Alan Duncan.) This new clause allows regulations under section 1 to provide for powers to stop and search a ship outside the United Kingdom, and to seize goods or technology found on the ship. The powers are exercisable for the purpose of enforcing prohibitions in sanctions regulations relating to the goods or technology. Brought up, read the First and Second time, and added to the Bill. New Clause 16 Goods etc on ships: non-UK conduct ‘(1) Regulations may make provision conferring on prescribed persons powers exercisable— (a) in relation to— (i) British ships in foreign waters or international waters, (ii) ships without nationality in international waters, and (iii) foreign ships in international waters, (b) for the purpose of— (i) investigating the suspected carriage of relevant goods on such ships, or (ii) preventing the continued carriage on such ships of goods suspected to be relevant goods (2) The powers that may be conferred by virtue of this section include powers to— (a) stop a ship; (b) board a ship; (c) require any person found on a ship boarded by virtue of this section to provide information or produce documents; (d) inspect and copy such documents or information; (e) stop any person found on such a ship and search that person for— (i) relevant goods, or (ii) any thing that might be used to cause physical injury or damage to property or to endanger the safety of any ship; (f) search a ship boarded by virtue of this section, or any thing found on such a ship (including cargo), for relevant goods; (g) seize goods found on a ship, in any thing found on a ship, or on any person found on a ship (but see subsection (6)); (h) for the purpose of exercising a power mentioned in paragraph (e), (f) or (g), require a ship to be taken to, and remain in, a port or anchorage in the United Kingdom or any other country willing to receive it (3) Regulations that confer a power mentioned in subsection (2)(a) to (f) or (h) must provide that a person may not exercise the power in relation to a ship unless the person has reasonable grounds to suspect that the ship is carrying relevant goods (4) Regulations that confer a power mentioned in subsection (2)(e)(i) or (f) must provide that the power may be exercised only to the extent reasonably required for the purpose of discovering relevant goods (5) Regulations that confer a power mentioned in subsection (2)(e)(ii) on a person (“the officer”) may permit the search of a person only where the officer has reasonable grounds to believe that that person might use a thing in a way mentioned in subsection (2)(e)(ii) (6) Regulations that confer a power mentioned in subsection (2)(g) on a person— (a) must provide for the power to be exercisable on a ship only where that person is lawfully on the ship (whether in exercise of powers conferred by virtue of this section or otherwise), and (b) may permit the seizure only of— (i) goods which that person has reasonable grounds to suspect are relevant goods, or (ii) things within subsection (2)(e)(ii) (7) Regulations that confer a power on a person by virtue of this section may authorise that person to use reasonable force, if necessary, in the exercise of the power (8) Regulations that confer a power by virtue of this section must provide that— (a) the power may be exercised in relation to a British ship in foreign waters only with the authority of the Secretary of State, and (b) in relation to foreign waters other than the sea and other waters within the seaward limits of the territorial sea adjacent to any relevant British possession, the Secretary of State may give authority only if the State in whose waters the power would be exercised consents to the exercise of the power (9) Regulations that confer a power by virtue of this section must provide that— (a) the power may be exercised in relation to a foreign ship only with the authority of the Secretary of State, and (b) the Secretary of State may give authority only if— (i) the home state has requested the assistance of the United Kingdom for a purpose mentioned in subsection (1)(b), (ii) the home state has authorised the United Kingdom to act for such a purpose, or (iii) the United Nations Convention on the Law of the Sea 1982 (Cmnd 8941) or a UN Security Council Resolution otherwise permits the exercise of the powers in relation to the ship (10) The reference in subsection (9) to the United Nations Convention on the Law of the Sea includes a reference to any modifications of that Convention agreed after the passing of this Act that have entered into force in relation to the United Kingdom (11) In this section— “regulations” means regulations under section 1; “relevant goods” means goods in relation to which relevant non-UK conduct is occurring or has occurred; “relevant non-UK conduct” means conduct outside the United Kingdom by a person other than a United Kingdom person that would constitute a contravention of a relevant prohibition or requirement if the conduct had been— (a) in the United Kingdom, or (b) by a United Kingdom person; “relevant prohibition or requirement” has the same meaning as in section (Enforcement: goods etc on ships) (see subsection (3) of that section); “United Kingdom person” has the same meaning as in section 19 (see subsection (2) of that section) (12) In the definition of “relevant non-UK conduct” in subsection (11), the reference to conduct that would constitute a contravention of a relevant prohibition or requirement if the conduct had been in the United Kingdom or by a United Kingdom person includes a reference to a case where— (a) arrangements relating to goods have been entered into that have not been fully implemented, and (b) if those arrangements were to be fully implemented (and if the conduct had been in the United Kingdom or by a United Kingdom person) the goods would be dealt with in contravention of that prohibition or requirement (13) In this section, the following expressions have the same meaning as in section (Enforcement: goods etc on ships)— “arrangements”, “British ship”, “foreign ship”, “foreign waters”, “goods”, “home state”, “international waters”, “relevant British possession”, “ship”, and “ship without nationality”.”—(Sir Alan Duncan.) This new clause allows regulations under section 1 to provide for powers to stop and search a ship outside the United Kingdom, and to seize goods or technology found on the ship. The powers are exercisable for the purpose of seizing goods or technology where there has been conduct (or suspected conduct) which would be a contravention of a prohibition in sanctions regulations relating to the goods or technology, but for the fact that the conduct falls outside the territorial scope mentioned in Clause 19 of the Bill. Brought up, read the First and Second time, and added to the Bill. New Clause 17 Procedure for dealing with goods etc seized from ships ‘(1) The Secretary of State may by regulations make provision about the procedure to be followed in connection with goods seized under a power conferred by regulations under section 1 by virtue of section (Enforcement: goods etc on ships) or (Goods etc on ships: non-UK conduct) (2) Regulations under this section relating to goods seized on suspicion of being prohibited goods or relevant goods may include provision— (a) requiring prescribed persons to be notified of the seizure of the goods; (b) requiring the Secretary of State to determine whether the seized goods were, at the time of their seizure, prohibited goods (where the goods were seized under a power conferred by virtue of section (Enforcement: goods etc on ships)) or relevant goods (where the goods were seized under a power conferred by virtue of section (Goods etc on ships: non-UK conduct)); (c) enabling the making of a claim by prescribed persons in relation to the seized goods; (d) about the determination by a prescribed court of any such claim; (e) about the publicity to be given to any such determination by a court; (f) for and about the return of seized goods to prescribed persons before or after any such determination of a claim by a court; (g) about the treatment of seized goods not so returned (including, in prescribed circumstances, their destruction or sale); (h) for and about the payment of compensation by the Secretary of State following a determination by a court that the goods were not, at the time of their seizure, prohibited goods (where the goods were seized under a power conferred by virtue of section (Enforcement: goods etc on ships)) or relevant goods (where the goods were seized under a power conferred by virtue of section (Goods etc on ships: non-UK conduct)). (3) In this section— “goods” has the same meaning as in sections (Enforcement: goods etc on ships) and (Goods etc on ships: non-UK conduct) (see subsections (13) of those sections); “prohibited goods” has the same meaning as in section (Enforcement: goods etc on ships) (see subsection (13) of that section); “relevant goods” has the same meaning as in section (Goods etc on ships: non-UK conduct) (see subsection (11) of that section).”—(Sir Alan Duncan.) This new clause provides a power for the Secretary of State to make regulations setting out how goods or technology seized from ships under the new clauses which would be inserted by NC15 and NC16 must be dealt with. Brought up, read the First and Second time, and added to the Bill. New Clause 8 Public Register of Beneficial Owners of Overseas Entities “(1) The Secretary of State must, in addition to the provisions made under paragraph 6 of Schedule 2, create a public register of beneficial ownership information for companies and other legal entities registered outside of the UK that own or buy UK property, or bid for UK government contracts (2) The register must be implemented within 12 months of the day on which this Act is passed (3) For the purposes of this section “a register of beneficial ownership for companies and other legal entities registered outside of the UK” means a public register— (a) which contains information about overseas entities and persons with significant control over them, and (b) which in the opinion of the Secretary of State will assist in the prevention of money laundering.”—(Anneliese Dodds.) This new clause would create a public register of beneficial ownership information for companies and other legal entities outside of the UK that own or buy UK property, or bid for UK government contracts, within 12 months. Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2018-05-01-commons.u395	I ask the Serjeant at Arms to investigate the delay in the No Lobby.
ParlaMint-GB_2018-05-01-commons.u396	I beg to move, That the Bill be now read the Third time It is a great pleasure to support the concluding stage of this Bill, which has been a long time in the making. Many might say it goes back many, many decades, because in this House we can all be proud that the United Kingdom is a country that fulfils its international obligations Ever since countries went to war with each other, we have been part of the institutions that try to create peace and try to introduce international order under a proper rules-based system. Inevitably, as the decades pass, the world changes and new measures are needed to tackle the problems the world faces We are founder members of the United Nations, and we sit on the Security Council, on which we fulfil our obligations dutifully. We have been a member of the European Union for 40 years, and our membership is now drawing peacefully to a close. That means we need to restructure the manner in which we fulfil our international duties, and to that end we need to pass legislation in this House that empowers us to do the many things we want to do.
ParlaMint-GB_2018-05-01-commons.u397	Some people who want to diminish the vote of the British people to leave the European Union tend to say that standards will drop simply by our leaving the European Union. Does not the passage of this Bill prove how wrong people can be?
ParlaMint-GB_2018-05-01-commons.u398	I am grateful to my hon. Friend for raising that serious underlying benefit of the Bill At the moment, we implement various sanctions. Some we implement because, as members of the United Nations, we have to do so, and others we implement because, as members of the European Union, we do so collectively with the other 27 members. The power that currently allows us to implement sanctions derives from our membership of the European Union; it is not an autonomous legal power that we have sovereign to ourselves. This Bill is therefore needed to give to us, when we leave the European Union, the autonomous powers to have a proper, effective sanctions regime.
ParlaMint-GB_2018-05-01-commons.u399	This will allow us to work on sanctions, in accordance with our allies and with the wishes of the United Nations. The Minister will recall that one argument put in the debate on the referendum was that if we left the European Union, we would be without allies, friends and influence. Does the response to the appalling crime that took place in Salisbury, when 26 countries expelled more than 130 Russian diplomats between them, not show that when it came to it, Britain had friends, allies and influence, and that those allies stood with us when it really mattered?
ParlaMint-GB_2018-05-01-commons.u400	I am grateful to my right hon. Friend because he is absolutely right to say that in this dangerous and unstable world it is very important that there are moments when we act collectively. We do so through many forums: we are a member of the P5—a permanent member of the UN Security Council; we are a member of the G7, G20 and NATO; and, crucially, we are the only major western power to spend 0.7% of our national income on international development. We are therefore in a good position to retain our influence in the world, and we will do so partly by the powers we are taking under this Bill. It will allow us to continue to implement UN sanctions and to implement our own sanctions, no doubt often in concert with the remaining 27 members of the EU.
ParlaMint-GB_2018-05-01-commons.u401	Does the Minister acknowledge, as I do, how important this Bill is in the context of dealing with terrorist money? Only last week, in the Council of Europe, we had a debate about trying to prevent the flow of funds that kept terrorist organisations, and Daesh in particular, afloat. This Bill will play a major role in helping towards that.
