ParlaMint-GB_2018-11-20-commons.u1	1. What his Department's policy is on rooftop solar.
ParlaMint-GB_2018-11-20-commons.u389	As always, my hon. Friend has made a critical and important point. I took him to be alluding, at least, to the issue of technology businesses—typically, social media businesses, search engines and certain online marketplaces—which, while making substantial profits in our country as a consequence of the interaction of UK users with the digital platforms that they host, are not paying a commensurate level of tax. That led the Chancellor, in the recent Budget, to announce our move towards a digital services tax, whereby we will not be addressing a question of avoidance—it is important to make that point—but will be bringing the international tax regime into the 21st century, so that we can tax profits not just on the basis of where the bricks and mortar may be, where the staff may be, where the intellectual property may reside or where the commercial risks and decisions are being taken, but on the basis of where this particular type of value generation is occurring While we have said that we will seek to move forward in a multilateral manner, because we recognise the dangers of double taxation in the event that we move unilaterally, we have made it very clear that we will introduce this measure ourselves as a first mover, or one of the first movers, of the leading countries in the world. We think that it is only right, and we believe that the public feel that it is only right, for these very large businesses to pay an appropriate level of tax.
ParlaMint-GB_2018-11-20-commons.u390	The Minister says that members of the public would expect that. Can he give some examples of intangible assets, so that people watching the debate at home in Willenhall and Bloxwich can be better informed?
ParlaMint-GB_2018-11-20-commons.u391	That is a very good question. In the case of the digital services tax, we are no so much talking about intangible assets, although elements of the Bill—indeed, clauses in this group—relate to ensuring that profits are not artificially shifted as a result of money being moved around in respect of such assets. Here we are talking more about digital platforms, and a particular method of value creation that results from the interaction of UK users with those platforms. However, in terms of intangible assets and intellectual property we might think, for example, of the rights of a particular business based in the UK to carry on business using the branding, know-how and knowledge of a particular piece of intellectual property held in a low or no tax jurisdiction. Any royalties moved from the UK out to that low or no tax jurisdiction will be a form of profit shifting that might be artificial and simply designed to reduce a corporation’s tax bill, which is why we have particular measures in this Bill to address exactly that situation.
ParlaMint-GB_2018-11-20-commons.u392	The Minister gave me a written answer yesterday to a parliamentary question about higher rate Scottish taxpayers who register themselves elsewhere in the United Kingdom. He responded by saying that Her Majesty’s Revenue and Customs holds no data on that. On reflection, does he not think that HMRC should be tackling those trying to avoid tax, specifically the higher rate tax in Scotland?
ParlaMint-GB_2018-11-20-commons.u393	The hon. Gentleman will, of course, be very aware of the devolution of various elements of our tax system to Scotland, and the issue he identifies is fundamentally driven by the different relative rates of taxation in Scotland and in the rest of the United Kingdom. I would argue that it is incumbent upon the Scottish Government to do as the UK Government do where these matters are reserved, which is to keep taxes as low as possible. I know that Conservative Members representing Scottish constituencies are most keen to deliver that for their constituents As we announced at the autumn Budget in 2017, the Government are legislating in this Bill to tax income from intangible property held in low-tax jurisdictions to the extent that it is income that relates to UK sales. Today some large multinationals are able to unfairly reduce their tax bill by arranging to hold their intangible property in offshore entities. That is unacceptable, and we are now going further to level the playing field. Clause 15 requires multinationals that continue to earn intangible property income in low-tax jurisdictions to pay UK income tax on the proportion of that income that relates to UK sales Tax avoidance is not limited to large multinationals of course; businesses of all shapes and sizes attempt to unfairly shift UK profits to jurisdictions where they expect to pay less tax or perhaps no tax at all, so clause 16 introduces carefully targeted anti-avoidance rules to prevent these UK businesses from avoiding UK tax by shifting their profits to lower-tax jurisdictions. The clause targets contrived arrangements that, in broad terms, aim to avoid tax by transferring the profits of a UK’s business offshore in a way that would not be agreed between independent parties.
ParlaMint-GB_2018-11-20-commons.u394	I very much agree with my right hon. Friend on this point. Is it not also true that our small and medium-sized enterprises, particularly those that are currently struggling, perhaps including high street businesses, do not have a cat in hell’s chance of running such schemes? They do not hide their profits and they do not mix and match around territories, so we need a level playing field.
ParlaMint-GB_2018-11-20-commons.u395	My hon. Friend is absolutely right. The tax avoidance activities that I am describing are way beyond the reach of many businesses of a certain size up and down the country. Thinking particularly of our high street businesses, we have a duty to ensure that fixed costs in the form of taxes represented by business rates are reduced to the extent that they can be, and the Chancellor was able to announce a 30% reduction in business rates for those smaller retailers that typically populate our high streets. That was an extremely important move as we work, through our future high streets fund and other approaches, to enable our high streets to transition and become more vibrant and successful places.
ParlaMint-GB_2018-11-20-commons.u396	The Minister is talking about business rates. As a result of the Government’s action, Scotland should receive about £43 million in additional Barnettised revenues. What work will he be doing with the devolved Administration to ensure that that will help high streets in Scotland as much as the Government are helping high streets elsewhere in the UK?
ParlaMint-GB_2018-11-20-commons.u397	As a UK Government, we are always happy, and indeed keen, to work co-operatively with the devolved Administrations, including the Scottish Government, as my hon. Friend suggests. Ultimately, however, these will be decisions for the Scottish Government to make. It will be for them to decide how to spend the revenues that will come through by way of additional funding via the Barnett formula. I can only suggest once again—I think this echoes my hon. Friend’s thoughts—that the best way forward is to keep taxes down and, in the case of Scotland, to have a country that is known for low taxation, rather than gaining a reputation for higher taxation Clauses 46 and 47 address the use of contrived arrangements that seek to avoid stamp duty on shares. The Government are aware that some corporate groups are transferring shares to connected companies for an artificially low consideration. The clauses create a targeted marketed value rule for transfers of listed shares to connected companies. This rule will prevent the use of artificially low consideration by charging stamp taxes on shares on the higher of the market value of, or the sum paid for, the shares transferred The Bill also re-emphasises our commitment to leading the way in implementing internationally agreed initiatives to combat tax avoidance. Clauses 19, 20 and 23 make changes to the UK’s rules on controlled foreign companies, hybrid mismatches and corporation tax exit charges to ensure that they comply with the EU’s anti-tax avoidance directive. The UK is a strong supporter of the objectives of the directive, as it will ensure that member states take a common approach to tackling tax avoidance. The UK’s rules are already comprehensive, and they already meet or exceed most of the requirements set out by the directive, but some limited changes are needed to ensure that we are fully compliant in all areas.
ParlaMint-GB_2018-11-20-commons.u398	On a point of clarity, the Minister has said that stamp duty on shares will be charged at either the market rate or the actual rate, whichever is higher. Will he confirm that shares will still be able to be sold below the market rate so long as the tax is paid on a marked market basis? Is that correct?
ParlaMint-GB_2018-11-20-commons.u399	The Bill will ensure that businesses that typically trade in and acquire shares pay the correct level of stamp duty on those shares, rather than paying a certain market rate having transferred the shares, perhaps internally to another company in the same group, in return for shares from that other company that had been valued at a lower level compared with the original purchase price of the original shares. By doing that, some companies have been exploiting a loophole and paying less stamp duty than they would otherwise have done. In case the hon. Gentleman is wondering, the distinction between the two clauses relating to this matter is that one relates to paper shares and the other to the electronic trading of shares in that manner Amendment 19 would provide for a review of the changes required to the controlled foreign company rules, which protect against the artificial diversion of profits from UK companies to low-tax jurisdictions, including with regard to the impact of a no-deal scenario. While the Government always keep the general tax system under review, a specific review of those provisions would be disproportionate. They are minor changes to ensure that the UK’s anti-avoidance rules on controlled foreign companies are fully aligned with the direction with which the UK agreed during negotiations on the anti-tax avoidance directive, and there is no need for a review Clause 83 enables the introduction of new international rules requiring tax advisers to report to HMRC certain cross-border arrangements that could be used to avoid or evade tax. That information will allow HMRC to build up the full picture of such arrangements. Following a consultation next year, the Government will introduce secondary legislation containing further details of the rules. We have played a leading role in designing that approach, which forms part of our ongoing work to champion international tax transparency and to tackle offshore tax avoidance and evasion Amendment 23 would require the Government to publish a report on how clause 83 will be exercised under various EU exit scenarios before making the proposed regulations. However, the Government are already committed to a formal consultation on the proposed regulations, and all practical aspects of implementing the regulations and EU exit will be taken into consideration as part of that consultation As we depart from the EU, we must continue to honour existing commitments. That is why we are allowing capital gains tax in respect of exit charges to be paid in instalments. Exit charges can arise on unrealised capital gains when a trust ceases to be UK resident, or if a non-resident individual either ceases to trade through a UK branch or agency or moves trading assets abroad. Exit charges ensure that tax cannot be avoided by moving assets overseas. Clause 22 retains those rules. However, when such entities choose to move their place of residence within the European economic area, they will now be given the option to defer the payment of tax, paying in six equal annual instalments with interest, which will not reduce the amount of tax that is due Opposition amendments 3 and 4 would require the beneficiary of a trust that pays capital gains tax on an instalment basis to provide information about the source of its income in a public register. That requirement is disproportionate and unnecessary. Migrating trusts seeking to use the scheme will have paid UK tax, so their income sources will have been declared to HMRC. Information about the nature of the trust’s assets will also be held on the trust register, which applies to trusts with a UK tax liability and is available to law enforcement agencies. Consequently, there is no need for further reporting New clause 5 would require the Government to carry out a review of the equality impact of some of the Bill’s anti-avoidance provisions. The tax information and impact notes published alongside the measures already set out the impact of anti-avoidance measures in the Bill on those sharing protected characteristics. In general, they show that HMRC does not expect the measures to have notably different impacts on people according to their protected characteristics New clauses 6 and 14 would require the Government to publish a review of the effectiveness of the Bill’s provisions to tackle tax avoidance and tax evasion, and to reduce the tax gap. Such a review is unnecessary. The Government keep all taxes under review and will continue to measure and publish annual statistics on the tax gap. I have little doubt that those statistics will continue to show that the tax gap is lower than at any time under the previous Labour Government New clause 15 would require the Government to publish a report on the consultation that we have undertaken on some of the measures in the Bill. The Government are committed to creating a more predictable and stable tax system. Our move to a single fiscal event timetable and the new tax policy-making process ensure that there is more time available to consult on new tax changes. In July, we published draft legislation or detailed technical notes on the majority of the measures covered by the clauses in this group to allow for consultation with interested parties. However, that approach is simply not appropriate for all tax avoidance and evasion measures. Publishing draft legislation can give those targeted by legislation the opportunity to make provision to sidestep it. Although I agree with SNP Members that consulting on tax legislation is important, I do not agree that it is necessary for us to produce a report Conservative Members will continue to be ever mindful of the simple fact that wealth and money do not belong to the Government. In fact, there is no Government money, only that which is generated by hard-working people right across our country. As such, we recognise that we have a duty to keep tax as low as possible to reduce its burden, most especially on the poorest in our society, and so protect living standards and nurture a thriving economy.
ParlaMint-GB_2018-11-20-commons.u400	It is a pleasure to participate in this debate and to follow the Financial Secretary to the Treasury. I will speak to Labour amendments 3, 4, 19 and 23 and to new clauses 5 and 6 As other Opposition Members have noted, it is disappointing, to say the least, that the Government have been unwilling to allow proper scrutiny and challenge of their proposals in this Finance Bill, as they have failed to introduce an amendment to the law resolution. Members will be aware that this approach has been used six times in the past century, each time necessitated by Budget provisions needing to be passed quickly.
ParlaMint-GB_2018-11-20-commons.u401	This is about scrutiny.
ParlaMint-GB_2018-11-20-commons.u402	Indeed. When we are unable to table amendments on provisions within a Budget, it is a severe restriction on the House’s ability appropriately to challenge the Government’s policies. In any case, if the Government can muster backing for their approach to prevent a change in policy, they can do so.
ParlaMint-GB_2018-11-20-commons.u403	If the Labour party is so committed to scrutiny of this Bill, how come the Opposition Benches are virtually empty? The hon. Lady says that it is because Labour Members cannot table amendments, but they could come along and make speeches.
ParlaMint-GB_2018-11-20-commons.u404	The hon. Gentleman has made the point for himself. It is precisely because we do not have the ability to table meaningful amendments that we are in this position. I am sure that he is aware that, when it was possible for Labour Members, often with other Members, to table meaningful amendments to Finance Bills, there was a huge amount of participation, such as when amendments were tabled on country-by-country reporting. Sadly, despite those amendments, we have not yet seen the change in Government policy that we would have liked. When the House is given the power, we exercise it; when we are not given the power, we are unable to exercise it As “Erskine May” sets out very clearly, in these circumstances, the only permissible amendments are “strictly limited to what is authorized by the specific resolutions on which the bill is founded.” Because of those restrictions, the Opposition cannot expand the scope of measures against tax avoidance and evasion beyond the very limited scope presented in the Bill There is a whole host of areas in which the Government should be taking action but where the Bill is completely silent. There has been no new approach from the Conservative Government on the verification of information supplied by companies when they register, despite widespread evidence of tax avoidance and money laundering being facilitated through the registration of fake companies via Companies House On shell companies, the Government have provided only a consultation on partnerships rather than action, and they have failed to use to any great extent their legal ability to impose fines on partnerships that fail to provide beneficial ownership information. Despite their consultation on a new offence of failure to prevent economic crime finishing more than a year ago, we still appear to have no more progress on that. Although our Government now have, as I mentioned, the legal means to require country-by-country reporting wholesale, following that amendment to a Finance Bill two years ago, when we were able properly to amend the Bill, they have refused to take up that option Despite this catalogue of failure, the Government continue to talk up their record. We saw this elevated to the level of farce last night, when Conservative central office—I assume—released a graphic on Facebook with the laughable claim that Labour had just voted against cracking down on tax avoidance. Labour has consistently advocated much stronger measures on tax avoidance than this Government have done. Indeed, the weakness of measures in the Bill is one of many reasons why we oppose it. The graphic included a background of palm trees, presumably a bizarre reference to our overseas territories. It is bizarre, given the woeful lack of action by our Government in this regard.
ParlaMint-GB_2018-11-20-commons.u405	Would the shadow Minister like to join me in congratulating the Government on having reduced the tax gap from 8% under the last Labour Government to 6% today, which is the lowest level in the developed world?
ParlaMint-GB_2018-11-20-commons.u406	I will go on to talk about the assumptions that the Government currently use to calculate that tax gap, and the hon. Gentleman will learn that their claims to have massively reduced the amount of tax avoidance through that measure are potentially questionable, to say the least. Perhaps after we have had that discussion, we will see whether he still holds to that assessment.
ParlaMint-GB_2018-11-20-commons.u407	While we wait for the hon. Lady to congratulate the Government on closing the tax gap, will she recognise that many of the steps taken in the Bill have to be taken in a way that is mindful of how international tax systems work and how we need to ensure that the tax we are gathering does not lead to companies leaving the UK and trading to it from international jurisdictions?
ParlaMint-GB_2018-11-20-commons.u408	Of course we need a business-friendly tax environment, but we should also recognise, just as I find when I talk to many international businesses, as I do in my shadow ministerial position, that the vast majority of businesses want to be compliant. Sadly, a small number of firms are not necessarily complying with the letter of the law and some are also not complying with the spirit of the law. That is leading to a situation where our public services are starved of the funding we need, which has a huge impact on business, as I am sure the hon. Gentleman is aware through his discussions with businesses in his constituency Let me return to the matter of overseas territories, which strangely appear to be referred to in pictorial form in material released by Conservative central office. This Government were forced kicking and screaming by this House to require our overseas territories to produce public registers of beneficial ownership, but I understand that all that has happened since the vote that forced that change in policy is one conference call, leading to a vague commitment to convene a technical working group—but it is not going to meet until 2019. So we have had many months since that vote in this House but almost no action. In addition, rather than fulfil the commitments the Opposition were given that our Government would work with Crown dependencies towards transparency, tax treaties were presented to this House last week that included no such provisions whatsoever The Minister has, as ever, opined that his Government have reduced the tax gap, and indeed other Members have just referred to that. I am sure, however, that he will not illuminate us with the fact that his Government’s tax gap measure excludes the costs of profit shifting and that it starts from the assumption that companies are declaring the correct amount of tax, which surely begs the question. The tax gap for this Government is assessed on the basis of whether Her Majesty’s Revenue and Customs has found errors or evidence of avoidance on tax returns, an approach that has rightly been criticised by the Public Accounts Committee, given that it leads to a situation where much of the tax lost through avoidance simply does not count as part of the tax gap. The Government’s tax gap does not appear to include cases of avoidance or evasion that do not fall under existing legislation, so it fails to capture numerous loopholes that continue to be exploited simply because they are exactly that: loopholes.
ParlaMint-GB_2018-11-20-commons.u409	Did I detect a sigh when the hon. Lady gave way? She is questioning the basis of the tax gap as a sign of progress, so let me try a different statistic that she might feel better about. The amount of corporation tax collected has gone up from £35 billion a year to £55 billion a year; is that not evidence that these tax-raising measures are effective?
ParlaMint-GB_2018-11-20-commons.u410	I am always delighted to hear from the hon. Gentleman, but when he talks about the tax-gap measurement, he is talking about his Government’s tax-gap measurement, not one that is universally accepted. In fact, it is quite the opposite, and many alternative measures suggest that much larger amounts of tax are being avoided and, indeed, that larger sums could be rectified if tax evasion was dealt with. Yet again, we hear this comment about the cut to the corporation tax rate. I am sorry to sound like a stuck record, but I have to remind the hon. Gentleman that every expert commentator on this matter has intimated that the rise in the corporation tax take is not because of the cut to the rate and that, in fact, had the rate not been cut, more revenue would have accrued to the Treasury. As I will go on to discuss, that revenue could have been used to support public services and social security for our constituents.
ParlaMint-GB_2018-11-20-commons.u411	rose—
ParlaMint-GB_2018-11-20-commons.u412	rose—
ParlaMint-GB_2018-11-20-commons.u413	My goodness—who to choose!
ParlaMint-GB_2018-11-20-commons.u414	The hon. Lady will be sighing a bit more when I point this one out. It is very kind of her to give way. She said that the tax take has not gone up because of the rate cut, and she is absolutely right: above all, the reason the tax take has gone up is that the economy has been growing very strongly.
ParlaMint-GB_2018-11-20-commons.u415	I am sorry that the hon. Gentleman views as a badge of pride the recent growth statistics. I would never talk down the British economy—it has a huge amount of promise—but I am deeply concerned about the fact that our growth statistics, particularly for the future, have been revised down. For next year and the following year, I believe that they are 1.6% and 1.4%, so they have been revised down. In the past, in normal times, we would have viewed growth statistics of that kind as a failure. Of course I am pleased that our economy is finally growing again—it was, of course, growing when Labour left office—but I am none the less deeply disappointed that we are not reaching the same levels of growth as many of our competitor countries.
ParlaMint-GB_2018-11-20-commons.u416	With the Committee’s permission, I shall continue with my comments We need a far more serious and engaged approach to countering tax avoidance and evasion. Our amendments are an attempt to provide that—at least within the scope of the limited measures in the Bill. First, with amendments 3 and 4, we are calling for public registers for beneficiaries of trusts who have relocated or plan to relocate to other EEA countries and who seek to defer their corporation tax exit charges, or those relating to capital gains tax, through a payment plan, as the Minister intimated. The Government’s action in this policy area has been necessitated by recent decisions of the European Court of Justice, which considered the compatibility of member state exit charges with article 49 of the treaty on the functioning of the European Union As the Minister intimated, the measures in the Bill will enable those who adopt an exit charge payment plan to pay in six equal instalments, albeit with interest. Given that this approach is necessitated by EU law and applies to individuals and trustees who move to another EU or EEA country, and given that some Government Members sadly flirt recklessly with the prospect of a no-deal Brexit, I would have expected the Government to explain what might happen in this policy area as our relationship with the EU changes. That was not the case in respect of the information about these measures that we were given; nor does anything in the Bill lead us towards greater transparency for trusts, which is desperately needed As of January this year, all trusts that pay beyond a very modest level of tax have had to register with HMRC through its trust registration service, but that is a private register, not a public one. The new iteration of the EU’s anti-money laundering legislation will require changes in the UK approach. First, it makes business-like trusts and those managed in the EU subject to reporting requirements, so potentially enlarging the category of trusts that have to register. Secondly, it enables parties with a legitimate interest to access information about those trusts—not just law enforcement agencies as currently—although the decision on who qualifies as having such a legitimate interest will be under the discretion of member states. Finally, this new legislation requires trusts owning EU companies to disclose full information about trustees, settlors and beneficiaries.
ParlaMint-GB_2018-11-20-commons.u417	My hon. Friend is making a fantastically good forensic case this afternoon, but I am still not sure whether I fully grasp the point. Is she saying that the Government have still not set out how they intend to collaborate with the European Union on information sharing for tax purposes, and/or is she saying that this will be an excuse for a lighter tax regime in this country and in the other EU member states, which will no doubt be taken into account when the future framework is being negotiated?
ParlaMint-GB_2018-11-20-commons.u418	I am very grateful to my hon. Friend for her comments. In fact, I will go on to say both, because that is precisely our concern. So far, the Government have been incredibly vague about what commitments they will make on tax matters in relation to preventing avoidance and evasion. Furthermore, we have had some very, very unhelpful comments—to put it extremely mildly—from the Government about whether they might seek to undercut the rest of the EU on tax matters. I know that my hon. Friend follows these matters very closely, as she does money laundering matters, where I argue that we have not been clear enough about how we will collaborate with others into the future Our new clause 5 is directed at another Government blank spot: the distributional impact of their tax measures. It would require an equality impact assessment of the Government’s tax avoidance measures in relation to child poverty, household income levels, people with protected characteristics, and our nations and regions. That assessment is necessary because of the continuing leakage from our tax system owing to avoidance as well as evasion. Failure to deal with avoidance has put pressure on the rest of the tax system, which, as I have just mentioned, has been exacerbated by unnecessary tax cuts to the very best-off people and to profitable corporations. As many independent observers have noted, these tax cuts have tended to benefit the very best-off people and often men rather than women, while £4 out of every £5 cut from Government budgets has fallen on women’s shoulders. The Women’s Budget Group has shown how, out of all household types, lone mothers have been the hardest hit by cuts to services and tax and benefit changes, followed by lone fathers and single female pensioners. Among lone mothers, it is black and minority ethnic women who have lost the most.
ParlaMint-GB_2018-11-20-commons.u419	Is the hon. Lady suggesting that we should have differential tax rates for men, women and different ethnic groups?
ParlaMint-GB_2018-11-20-commons.u420	I am grateful for the intervention, because it enables me to make the answer clear. Absolutely not. We are asking for something very simple. Sadly, it is something that this Government have not been willing to provide, which is the information about tax incidence. We do not have that information to the extent that the House needs. The process of analysis has been left to bodies such as the Women’s Budget Group and the Child Poverty Action Group. They have to crunch the data. That is an activity that should be carried out by Government, so that we as Members are able appropriately to scrutinise their policy and practice. We do not have that information at the moment.
ParlaMint-GB_2018-11-20-commons.u421	The hon. Lady is being very generous in giving way. As a rejoinder and as a follow-up to the intervention by my hon. Friend the Member for Hitchin and Harpenden (Bim Afolami), that is not the point he was making. He is saying that the implication is that, to change the system, we would need to have discriminatory tax policies to effect a different impact. We cannot just assess it; for it to be different in practice, the measures, by definition, would also have to be discriminatory.
ParlaMint-GB_2018-11-20-commons.u422	I fear that the hon. Gentleman has yet again made the point for himself. This Government’s approach to taxation so far has affected different groups disproportionately. We can call that discrimination, unequal impact or whatever we like. The fact is that we found out about that not through Government figures, but due to analysis conducted by other bodies. We had a lengthy debate about this during the last Finance Bill, and I am very happy to run through all the arguments again. I suggest, however, that it might be easier for him to read analysis by those expert bodies, which will make the point more eloquently than I could.
ParlaMint-GB_2018-11-20-commons.u423	The hon. Lady is extremely generous in giving way. I wonder whether she will accept a point made by a member of one of the groups about which she is speaking—that is, by a woman. Does she accept that there are more women in work now due to this Government’s measures, making women better off compared with the legacy left by her party’s Government, of which I accept she was not a member?
ParlaMint-GB_2018-11-20-commons.u424	I appreciate the hon. Lady’s comments, but is she aware that under her party’s Government, moving into work is sadly no longer the route out of poverty for huge numbers of working women? For example, two thirds of children living in poverty are in working households. Previously, someone who could obtain a job with enough hours would be able to climb out of poverty. That is no longer the case in the UK. Furthermore, as I just mentioned, those who have analysed the impact of tax and benefit changes on different genders have shown very clearly—it is simple to look at the statistics—that £4 out of every £5 cut by this Government have been cut from the pockets of women and from the services that women use.
ParlaMint-GB_2018-11-20-commons.u425	indicated dissent.
ParlaMint-GB_2018-11-20-commons.u426	The hon. Lady can shake her head at me, but she should shake her head at the Women’s Budget Group, which has shown this very clearly.
ParlaMint-GB_2018-11-20-commons.u427	On seriously tackling the tax gap and the lack of analysis that the hon. Lady is identifying, could one of the reasons possibly be the meat cleaver that was taken to the HMRC office network, meaning that there is now a lack of local knowledge? Also, should not the Government employ as many people to tackle tax avoidance as they do for Department for Work and Pensions social security fraud?
ParlaMint-GB_2018-11-20-commons.u428	I know that the hon. Gentleman has worked on the issue of cuts to HMRC’s capacity, as have many Members across the House. I will return to that important issue soon, because sadly the reality does not reflect the rather rosy picture that we were provided with by the Minister on that subject I return to the distributional impact of this Government’s tax measures. We had an interesting discussion about fairness following some comments by the hon. Member for Beckenham (Bob Stewart), who is no longer in his place. The Minister intimated that he was in favour of a fair tax system and said that the wealthiest people pay a large proportion of all tax. He is absolutely right: the wealthiest people do pay a large proportion of income tax. That is because of how wealthy they are. However, if we look at the impact of the tax system on different income groups, we find—I should not say “we” because it is the Office for National Statistics that has discovered this—that the best-off 10% of people pay less of their income in tax than the worst-off 10%. I note that the Conservatives did not contest this statistic when it was mentioned in the House yesterday. Surely that is a ringing indictment of their approach to taxation.
ParlaMint-GB_2018-11-20-commons.u429	I am delighted that the shadow Minister has given way once again, without sighing this time. The poorest in society are not in tax at all thanks to the increase in the threshold. The richest 1% do indeed pay 28% of tax, but they only earn about 12% of all income, so she will see that the amount of tax they pay is a great deal higher than their share of income.
ParlaMint-GB_2018-11-20-commons.u430	It is always a pleasure to hear from the hon. Gentleman, who is always a very friendly face. Sadly, however—I feel bad doing this—I do have to correct him on two of the points that he mentioned. He stated that the poorest people will not pay any tax at all. That is simply not the case. Of course, they will pay—[Interruption.] No, no—he said “any tax”. Let us be clear: of course, large numbers of very badly off people pay a lot of value added tax, which is a regressive tax, even with the exemptions that apply to it In addition to that, increasing numbers of low-income people across this country are now paying council tax, many of them for the first time, because of the swingeing cuts that the hon. Gentleman’s Government have delivered to local authorities’ budgets for council tax relief. So we now have very large numbers of very-low-income people being taken to court because they are unable to pay their council tax. That situation is novel in our country but some might say it approximates things that happened back in the 1980s, which I am sure that the hon. Gentleman is too young to remember but which the history books have certainly not forgotten We also need a thorough understanding of how the failure to tackle tax avoidance affects our different regions, given that austerity’s impact on incomes has been strongest in areas that were already struggling economically. We need a thorough impact assessment of the impact that the failure to deal with tax avoidance is having on child poverty. Yesterday Ministers tried to deflect attention from their record on poverty by using only figures on absolute poverty. They never speak about the measure that is instead used by most academics and experts—relative poverty—because they know that more children are now living in relative poverty under their watch: almost a third of children, in fact. The problem is such that the chief executive of the Child Poverty Action Group has described the Conservative Government as being “in denial” on child poverty I will explain why we need to look at relative poverty. We should not look simply at whether people are destitute, as measured by absolute poverty, even though, sadly, many are having to resort to food banks for bare necessities; we also need to look at what people’s incomes are in relation to the living standards that everyone else enjoys. That is why the concept of relative poverty measures whether people are poor in relation to median-income people. Relative poverty matters because it shows whether people can afford to live a decent life.
ParlaMint-GB_2018-11-20-commons.u431	That is what absolute poverty measures.
ParlaMint-GB_2018-11-20-commons.u432	No, it does not. Absolute poverty measures whether people can afford the bare necessities of life. To be able to participate in society—in their communities—they cannot fall so massively behind the median income. We are talking about families whose children cannot go to birthday parties for their friends because they cannot afford a card and a present. For me, that is a failure of our society, and it is to do with relative poverty, not absolute poverty. Over 4 million children in this country are classified as living in relative poverty, and that number is rising, not diminishing.
ParlaMint-GB_2018-11-20-commons.u433	rose—
ParlaMint-GB_2018-11-20-commons.u434	rose—
ParlaMint-GB_2018-11-20-commons.u435	I will press on for now Labour’s new clause 6 would require a review of the Government’s measures presented in this Finance Bill on tackling avoidance, evasion and the tax gap. It would enable us to consider whether the Government’s reactive approach is sufficient, when many of us suspect that it is anything but. Here we are reminded of one of the biggest gaps in this Bill. Despite much fanfare in the Budget, and indeed in the Minister’s comments just now, there is no digital services tax presented in this Finance Bill. Instead, there will be a consultation on the Government’s approach. Of course, even what is in that consultation is less stringent than European-level proposals, and it includes giant loopholes in its safe harbour and double threshold elements The hon. Member for Walsall North (Eddie Hughes)—who is still in his place, which is fantastic—talked about the regime for intangible assets. He is absolutely right that we need tax authorities to deal with these issues more appropriately. When I think about the major strides that have been made on taxing profits arising out of those intangible assets, I think of the cases that have been taken by the European Commissioner for Competition against Starbucks and others. She showed, for example, that Starbucks’ intellectual property relating to its roasting processes was not based in the Netherlands, as it claimed, and that that was just a ruse to avoid tax.
ParlaMint-GB_2018-11-20-commons.u436	Does the hon. Lady accept that, when we are dealing with the complexity of international tax treaties, judicial precedent and the rule of law, and given that those treaties and lots of judicial precedent were established at a time when we did not have multinationals in the way we do now, it is only prudent to consult properly before we put measures in place? Does she also accept that this Government have been a leader, according to the OECD and the IMF, in dealing with the problem that she outlines, and that she is not being fair at all?
ParlaMint-GB_2018-11-20-commons.u437	I am grateful for the hon. Gentleman’s intervention. However, I am sorry to point out that he is slightly behind the times when it comes to the operation of tax treaties. Those are now multilateral, following the development of the OECD’s multilateral instrument, which aims to amend tax treaties for all signatories, including the UK, in a thorough manner.
ParlaMint-GB_2018-11-20-commons.u438	I thank the hon. Lady for giving way again. The whole point is that this is all a work in progress, as she would accept.
ParlaMint-GB_2018-11-20-commons.u439	That appears to be a slightly different point from the one the hon. Gentleman was making a moment ago. None the less, I agree that this is a work in progress. Sadly, our Government and Conservative Members in other jurisdictions have not always been promoting that process. I gently remind him that his colleagues in the European Parliament have consistently voted against measures that would increase tax transparency and have consistently not supported attempts to hold inquiries into, for example, the Panama papers and the Luxembourg leaks. I hope that, at some point, they will catch up with the need for more tax transparency and enforcement. Perhaps he could encourage them; that would be enormously helpful It is positive to see in this Finance Bill that the Government have adopted some of Labour’s proposed measures in our tax transparency and enforcement programme. They have finally seen the light on giving HMRC back preferred creditor status. They appear to be undertaking some action against umbrella agencies exploiting the employment allowance. They also appear to be looking towards creating an offshore property levy, although it is unclear to me, even following the Minister’s comments, how appropriately that will be targeted, given that it lacks the precision of Labour’s proposed oligarch property levy. But there are few additional measures in the Bill beyond what is already required by either the EU or the OECD, showing an abject lack of ambition and commitment from this Conservative Government. Underlying all this, as the hon. Member for Glasgow South West (Chris Stephens) said, is the Government’s failure to appropriately staff HMRC to deal with tax avoidance and evasion and their determination to press ahead with its reorganisation, despite evidence that it is haemorrhaging experienced staff. Some additional money has been provided, which the Minister referred to in his speech. However, we still lack clarity on exactly where that money will go. The Government have committed to provide 5,000 additional customs staff. I still do not know where they will go. We are looking at a situation where, due to the regional reorganisation, there will not be a single HMRC hub along any of the south coast or beyond the central belt. Where customs officials will go is very unclear In addition, any additional money that is being provided by the Government, or at least much of it, will in any case just backfill what has been sucked out through the recruitment costs necessitated by the need to replace staff who have been lost due to the reorganisation process.
ParlaMint-GB_2018-11-20-commons.u440	The hon. Lady is painting a very negative picture, which I think is a shame. She should give this Government some credit for the fact that they have collected £71 billion more tax than would have been the case, given the tax regime, under Labour. That is £71 billion that has been collected. We all want to go further, but will she not welcome that money, which has gone into our public services?
