ParlaMint-GB_2018-01-31-commons.u1	2. What steps he is taking to support cross-border economic opportunities.
ParlaMint-GB_2018-01-31-commons.u310	This has been a great debate, and I am grateful to all the right hon. and hon. Members who have taken part. I apologise to those whose speeches I was not able to hear today; I know they were listened to closely, and I look forward to reading them in Hansard I am sure that we are all proud to be part of one of the world’s oldest parliamentary democracies. It is right that Parliament holds the Government to account for the decisions they make, but Parliament should be careful not to pursue a course of action that would harm Britain’s national interest, or one that would jeopardise the UK’s prospects during this crucial period in her history In drafting their motion, hon. Members have highlighted the need for material to be kept strictly confidential and unpublished during the negotiations, and we are grateful for that; but I cannot emphasise enough the importance of maintaining that position, in the national interest. In seeing the analysis, Members of the House will be sharing in the responsibility and obligation that the Government have to ensure the security of negotiation-sensitive materials We have reiterated many times that the publication of negotiation-sensitive information would be fundamentally detrimental to the UK’s negotiating position. We would risk undermining the hard work of our tireless officials, seeking to achieve the best deal for the UK in Brussels. The civil service is, quite properly, doing a huge amount of work to support the Government as phase 2 of the negotiations gets under way. As part of that work, analysis is being done as we define the end state. A first draft of that work was being looked at, and Ministers provided comments and asked for further work to be done, and that is the right process At this point, I wish to take on some opening remarks in which it was suggested that I had said that this analysis was rubbish. I said no such thing. It was suggested that I had been disrespectful to civil servants. I did no such thing. In fact, I paid tribute to our excellent officials three times in my remarks yesterday, and I am very happy to work with such high-quality, dedicated, intelligent officials, applying themselves to the task at hand irrespective of how they voted at the referendum. To pick up on the themes explored by the hon. Member for Aberavon (Stephen Kinnock) about the conduct of the debate, I wish to state on the record, in the light of today’s press coverage, my admiration both for the Cabinet Secretary and for the Prime Minister’s Europe adviser, who I am absolutely sure are carrying forward the Government’s policy diligently and properly. They do not deserve the criticism they have received in the press In making the critique I made yesterday, I relied on three things: the caveats that Members will see on the face of the analysis itself, historical experience, and my own long-held beliefs, which I believe are well founded—if I do say so myself. I relied on arguments that I have made in this House throughout my years here, whether in the Chamber or in the Treasury Committee, and I certainly do not resile from what I have said My hon. Friend the Member for Dover (Charlie Elphicke) picked up on the theme of uncertainty. The point here is not to rubbish all analysis, but to do what I suggested at the end of my remarks yesterday—to ensure that we have a healthy scepticism in this Chamber for reports and for analysis of economics based on the things to which I have referred. Parliament has rightly agreed in this House that Ministers have a duty not to publish anything that could risk exposing our negotiating position. We have an obligation to the people of this country to ensure that we strive to achieve the best possible deal for the UK. Forcing the publication of this analysis would put that at risk. Despite the repeated assertions of Members of this House, this draft document is not an impact assessment or a statement of Government policy; it is a very preliminary draft only seen by DExEU Ministers this week and does not constitute a meaningful commentary on the expected outcome of the negotiations As I attested to yesterday, the document has been circulated only to test ideas and design a viable framework for the analysis of our exit from the European Union. As we have said repeatedly, this work is constantly evolving. The report does not consider our desired outcome—the most ambitious relationship possible with the European Union, as set out by the Prime Minister in her Florence speech. All Members must surely agree that the Government cannot be expected to put such analysis into the public domain before it has been completed, particularly when it is sensitive. As I have said before, this Government will not provide a continuing commentary of the analysis we are undertaking. It would be speculative and damaging, especially as the analysis does not reflect the UK’s preferred outcome in the negotiations I wish to emphasise that it is the Government’s view that this is an exceptional request today given the misrepresentation in the press of the reporting of this leak. This motion will therefore be agreed to on an exceptional basis, and it does not set any precedent for future action.
ParlaMint-GB_2018-01-31-commons.u311	Could the Minister confirm, as I asked previously, that he will undertake to release the analysis, at the same time as releasing it to the Select Committee, to the devolved Administrations?
ParlaMint-GB_2018-01-31-commons.u312	The Under-Secretary of State for Exiting the European Union, my hon. Friend the Member for Worcester (Mr Walker), has just told me that he has already given that assurance, but what I will say is that we will work with the Chair of the Select Committee to ensure that we comply scrupulously with the motion. In particular, we will need to discuss the requirements for confidentiality to which the House will be agreeing today.
ParlaMint-GB_2018-01-31-commons.u313	I thank my good friend for allowing me to intervene. I take it from what I have heard in the Chamber that this is a sort of evolving document. It is more like an aide-mémoire to help the negotiators. It is not something set in stone and it will change during the negotiation. Is that the sort of document to which we are referring?
ParlaMint-GB_2018-01-31-commons.u314	As we have said many times, we conduct a wide range of analysis to support our negotiating position as we proceed through this process To reply to the hon. Member for Sheffield Central (Paul Blomfield), I reassure him that we will comply scrupulously with the motion, working with the Chair of the Select Committee. We will ensure that we comply with the confidentiality requirements of the motion and that the House is satisfied. He asked me about future analysis and the reassurance that I gave yesterday stands. We will ensure that, at the time of the meaningful vote, the House is appropriately equipped with the analysis that it needs to make a decision.
ParlaMint-GB_2018-01-31-commons.u315	I just want to be absolutely clear: the papers that we are talking about today are a work in progress and, in discussion with the Chair of the Select Committee, they will be released in full. And given that they are a work in progress and the suggestion is that we should therefore be looking to the final documents as the crucial guidance to this House, will they be released when they are completed?
ParlaMint-GB_2018-01-31-commons.u316	I heard what the hon. Gentleman said the first time, but the commitments that we are giving are that we will comply scrupulously with this motion and that we will make available to both Houses analysis at the time of the meaningful vote. That is the commitment into which we are entering, but I have heard his request for a continuous evolving analysis. What we have said is that we will not give a continuous rolling commentary on our analysis. We will proceed to ensure that the national interest is protected. We made a commitment to provide Parliament with the appropriate analysis it needs to make a decision on the final deal at the time that we vote, in the way that is set out in the written ministerial statement that we laid The Secretary of State has been consistent in stressing the importance of parliamentary scrutiny and oversight of the Brexit process. We have done this willingly to ensure that the parliamentary process is followed. I endorse the actions that we have taken, as I accept collective responsibility regarding the point that was raised earlier Finally, as I reiterated yesterday, the people of this country on 23 June 2016 took the decision to leave the European Union. The purpose of the analysis that we have conducted is not to question that decision—which this House voted to respect when it supported triggering article 50—but to ensure that we have the best possible outcome for the British people. We are accepting this motion today on the exceptional basis of the poor reporting of a leak.
ParlaMint-GB_2018-01-31-commons.u317	Is the Minister giving way or has he concluded his oration?
ParlaMint-GB_2018-01-31-commons.u318	I have concluded.
ParlaMint-GB_2018-01-31-commons.u319	The Minister has concluded his oration, and we are grateful to him Question put and agreed to. Resolved, That an humble Address be presented to Her Majesty, That she will be graciously pleased to give directions that the EU exit analysis which was referred to in his response to an Urgent Question in the House on 30 January by the Parliamentary Under-Secretary of State for Exiting the European Union be provided to the Exiting the European Union Committee and made available to all Members on a confidential basis as a matter of urgency.
ParlaMint-GB_2018-01-31-commons.u320	On a point of order, Mr Speaker. The Government not having voted against the motion, it is—as I understand it—carried, which is a victory for transparency and accountability. Can I seek your guidance that this motion is, as the previous motion was, considered to be binding on the Government? Further, may I ask your guidance on what you might consider to be a reasonable period of time within which the Government should comply with the motion?
ParlaMint-GB_2018-01-31-commons.u321	I am grateful to the right hon. and learned Gentleman for his point of order. The answer is twofold. First, yes, the motion is binding. I think that the Government are clear about that, and the Minister has indicated the intention of the Government to comply with it. Secondly, if memory serves me correctly, the motion refers to “a matter of urgency.” Therefore, the expectation must be that the report that is the subject of the debate will be released, published or made available to those persons mentioned in the motion as a matter of urgency I have now to announce the result of a Division deferred from a previous day. In respect of the Question relating to capital gains tax, the Ayes were 306 and the Noes were 240, so the Ayes have it [The Division list is published at the end of today’s debates.]
ParlaMint-GB_2018-01-31-commons.u322	We now come to the debate on restoration and renewal of the Palace of Westminster. Before I ask the Leader of the House to open the debate, it might be helpful if I explain the meaning of what is on the Order Paper and the implications of particular votes, so that there is clarity at the outset and no one is under any misapprehension Motions 5, 6 and 7 on the Order Paper will be debated together. I inform the House that I have selected the amendments that are listed on the Order Paper. I will shortly invite the Leader of the House to move motion 5 on Restoration and Renewal (Report of the Joint Committee). Debate may continue for up to three hours. At the end of the debate on motion 5, it is expected that the Leader of the House will move formally the Restoration and Renewal (No. 1) motion. I will then call Members to move the selected amendments for decision without any further debate If the Restoration and Renewal (No. 1) motion is not agreed to, I expect the Leader of the House to move formally the Restoration and Renewal (No. 2) motion. I will then call Members to move the selected amendments for decision without further debate. If the Restoration and Renewal (No. 1) motion is agreed to, the Restoration and Renewal (No. 2) motion will fall and neither it nor the amendments to it will be moved I think that, among my perspicacious and highly intelligent colleagues, there is no need for puzzlement. It is all pretty clear if they look at the Order Paper, but if any right hon. or hon. Member proclaims ignorance of the meaning of these matters, that Member can always beetle along to the Chair at a suitable moment and seek enlightenment. I am sure, however, that they are all far too sagacious to require that.
ParlaMint-GB_2018-01-31-commons.u323	I beg to move motion 5, That this House has considered the report of the Joint Committee on Restoration and Renewal of the Palace of Westminster (HL Paper 41, HC 659 of Session 2016-17).
ParlaMint-GB_2018-01-31-commons.u324	With this we shall consider the following: Motion 6—Restoration and Renewal (No. 1)— That this House– (1) affirms its commitment to the historic Palace of Westminster and its unique status as a UNESCO World Heritage Site, Royal Palace and home of our Houses of Parliament; (2) takes note of the report of the Joint Committee on the Palace of Westminster 'Restoration and Renewal of the Palace of Westminster', HL Paper 41, HC 659; (3) accepts that there is a clear and pressing need to repair the services in the Palace of Westminster in a comprehensive and strategic manner to prevent catastrophic failure in this Parliament, whilst acknowledging the demand and burden on public expenditure and fiscal constraints at a time of prudence and restraint; (4) accepts in principle that action should be taken and funding should be limited to facilitate essential work to the services in this Parliament; (5) agrees to review before the end of the Parliament the need for comprehensive works to take place Motion 7—Restoration and Renewal (No. 2)— That this House– (1) affirms its commitment to the historic Palace of Westminster as the permanent home of both Houses of Parliament; (2) takes note of the report of the Joint Committee on the Palace of Westminster 'Restoration and Renewal of the Palace of Westminster', HL Paper 41, HC 659; (3) agrees that there is a clear and pressing need to repair the services in the Palace of Westminster in a comprehensive and strategic manner to prevent catastrophic failure; including steps to safeguard the safety of visitors, schoolchildren, staff and members; (4) notes that works in the Palace should commence as early as possible in the next decade; (5) authorises necessary preliminary work required to avoid unnecessary delay, without prejudice to a parliamentary decision on the preferred option; (6) endorses the Joint Committee’s recommendation that a Sponsor Board and Delivery Authority be established by legislation to commission and oversee the work required, and the establishment of a joint Commission to lay estimates; (7) agrees that steps be taken now to establish a shadow Sponsor Board and shadow Delivery Authority, and to ensure that its members have a range of relevant expertise; (8) instructs the shadow Sponsor Board and Delivery Authority to undertake a sufficiently thorough and detailed analysis of the three options of full decant, partial decant and retaining a parliamentary foothold in the Palace during a full decant; to decide whether each option properly balances costs and benefits, and whether or not the identified risks can be satisfactorily mitigated; to prepare a business case for the preferred option for the approval of both Houses of Parliament; and thereafter to proceed to the design phase; (9) instructs the shadow Sponsor Board and Delivery Authority to apply high standards of cost-effectiveness and demonstrate value for money, and to include measures to ensure: the repair and replacement of mechanical and electrical services, fire safety improvement works, the removal of asbestos, repairs to the external and internal fabric of the Palace, the removal of unnecessary and unsightly accretions to the Palace, the improvement of visitor access including the provision of new educational and other facilities for visitors and full access for people with disabilities; (10) instructs the shadow Sponsor Board and Delivery Authority to ensure the security of Members, Peers, staff, and visitors both during and after the work; (11) affirms that in any event the delivery option must ensure that both Houses will return to their historic Chambers after any essential period of temporary absence.
ParlaMint-GB_2018-01-31-commons.u325	This debate arguably should have taken place about 40 years ago, so I can say that I am delighted that here we are today, finally discussing the future of the Palace of Westminster. There are difficult decisions to make on how we best protect one of the world’s most iconic buildings for future generations, but we must address those decisions head on In any mention of this topic, I am sure the House would like to join me in first paying tribute to the excellent work done by the Joint Committee on the Restoration and Renewal of the Palace of Westminster, chaired by my right hon. Friend the Member for Epsom and Ewell (Chris Grayling) and the right hon. Baroness Stowell of Beeston. A number of members of that Committee are present in the Chamber today, and the House owes them, along with the restoration and renewal programme team and our engineers, a debt of gratitude. Their work, and that of our colleagues in the other place, has laid the foundations for the House to take an informed decision on this important issue The Palace of Westminster is the seat of our democracy, an iconic, world-famous building—and it is in dire need of repair. Both motions and all amendments on the Order Paper recognise the need for that work. Anyone who has read the report of the Joint Committee will be aware of the two core difficulties we face. The first is one that none of us can shy away from: the costs associated with a programme of works of this magnitude will be significant. While it is our responsibility to safeguard this UNESCO world heritage site, it is equally our responsibility to ensure value for taxpayers’ money. We have been clear that there can be no blank cheque for this work, and value for taxpayers’ money will frame the choices we make today The second issue is the state of disrepair within this building. The issue is not a structural one. As the Clerk of the House noted in his evidence to the Public Accounts Committee, the building is believed to be “beautifully built and structurally sound.” The problem, rather, is the services infrastructure that supports the ever-increasing and shifting demands of Parliament—and it is under considerable strain Since 1850, we have developed the hotch-potch of pipework and wiring to such an extent that our essential services are now aging faster than it is possible to repair them. Much of the building is supported by infrastructure that is still in place decades after the substantial rebuild of the Palace following the second world war.
ParlaMint-GB_2018-01-31-commons.u326	If these matters are so pressing, urgent and obvious, why have we been having September sittings, which enormously disrupt any programme of work?
ParlaMint-GB_2018-01-31-commons.u327	In truth, work is going on the whole time, whether we are sitting or not, to manage essential repairs. Of course, the engineers are able to get on with more work when we are not here, but the reality is that we have to take a serious decision today about the future for generations to come, as opposed to the patch and mend that has been going on not just for a couple of years, but for 40 years and more.
ParlaMint-GB_2018-01-31-commons.u328	Will my right hon. Friend confirm that every Member of the House will have a free vote on this matter and that Ministers will not be subject to a payroll Whip?
ParlaMint-GB_2018-01-31-commons.u329	On the Government side of the House, there will be a free vote for all Members, and for Ministers.
ParlaMint-GB_2018-01-31-commons.u330	It is the same on the Opposition side.
ParlaMint-GB_2018-01-31-commons.u331	It sounds as if it is a free vote, and all Members are free to make the choice they wish to make There are some critical risks in the Palace of Westminster. First, the lack of fire compartmentation increases the risk of fire, meaning that 24-hour fire patrols are necessary to keep us safe. Over the past 10 years, 60 incidents have had the potential to cause a serious fire. Secondly, there is a huge amount of asbestos packed into the walls that needs to be carefully and expensively removed to enable repairs. Thirdly, many pipes and cables are decades past their lifespan, with some now being impossible to access. The likelihood of a major failure grows the longer the systems are left unaddressed.
ParlaMint-GB_2018-01-31-commons.u332	As a doctor, I know that asbestos is dangerous when it is exposed, not when it is hidden and packed in walls. To what extent does asbestos hidden and packed in the walls, where it is not disturbed, act as quite good fireproofing for the building?
ParlaMint-GB_2018-01-31-commons.u333	My hon. Friend makes an interesting point that I am really not qualified to answer, but I agree that the health risk is in moving and removing asbestos As Leader of the House, I work closely with the Clerk, the Director General and others who are responsible for the safety and wellbeing of those in this building to ensure that risks are minimised. There are more than 7,500 people working in Parliament, and we welcome 1 million visitors each year, including many schoolchildren. Nevertheless, keeping everyone safe is becoming a growing challenge with each passing year.
ParlaMint-GB_2018-01-31-commons.u334	That is one point that I must confess I fail to understand. We hear the Armageddon scenario that we are going to be washed away in slurry, burnt to death or electrocuted, and yet we have thousands of visitors from the public in this place every day. I see no signs to say, “Welcome to the death trap.”
ParlaMint-GB_2018-01-31-commons.u335	My hon. Friend raises the core issue. We make every effort on the House Commission and through the House authorities, the Clerks, the Director General and the engineers to keep this place safe. We have all the certificates required to evidence that we keep this place safe. The point is that it gets harder to achieve that safety with every year that passes. That is the key point that we are seeking to resolve.
ParlaMint-GB_2018-01-31-commons.u336	Would it be wise to have thousands of visitors coming into a building where the walls have been opened and asbestos is floating around in the atmosphere? What recourse will members of the public have should they get illnesses as a result, given that there is supposedly Crown immunity in this building?
ParlaMint-GB_2018-01-31-commons.u337	As I have made clear, that would not be allowed to happen. We take every step possible to minimise risks. We do not take risks with people’s health and safety. We do not wish to do that. The point I am making is that with every year that passes, it gets more difficult to manage What is the next step? Just as the need for works is pressing, so too is the need to be sure that we are acting in the right way, with the right planning and design capabilities in place. The way forward on R and R must be supported by the House. At the same time, we have to be able to justify to our constituents and to taxpayers that we are doing what is necessary to safeguard the Palace of Westminster and that we have thoroughly examined the costs. I have listened carefully to Members, and I thank all those who have come to drop-in sessions, explored the basements and toured the Palace with the R and R team. I have reflected on all the amendments proposed to the motions I tabled the week before last. Today, there are very clear options before the House I turn first to motion No. 1. This motion recognises that, given the scale of the challenge ahead of us, Members must first consider the vast cost associated with any programme of work. With competing demands on our public services, and calls for capital investment in other areas, Parliament will want to think carefully about the impact this will have on the taxpayer, and may ultimately choose to limit spending on the Palace to essential repairs. The case for further work to be done is, however, compelling, and it is important that we do not impede future progress in any decision made today. So this first option also agrees to reviewing the need for comprehensive works before the next general election The full cost of an R and R programme under this scenario would not be incurred until late into the next decade.
ParlaMint-GB_2018-01-31-commons.u338	Does the Leader of the House accept, after all that she has said up to this point, that there is no cheap option here? If the public think, or if the press think, that we can find a cheap option, they are deluded. There is necessary work that needs to be done, and necessary money that needs to be spent.
ParlaMint-GB_2018-01-31-commons.u339	The Government believe that it is for Parliament to take this decision, and I think the hon. Gentleman makes a very strong and compelling point.
ParlaMint-GB_2018-01-31-commons.u340	The right hon. Lady is quite rightly talking about other people, outside this place, who have a concern and have an interest. When I inquired, at the display table this afternoon, what consultation had taken place with the many thousands of people who work in this building, I was told, “None.” I was told that senior stakeholders were consulted but the workforce were not. What answer does she have? Is it not correct that the people who work here have no voice here this afternoon?
ParlaMint-GB_2018-01-31-commons.u341	There has been much extensive consultation, formal and informal, over many years, so that is not the case. In fact, reports from the Joint Committee, the Public Accounts Committee and the Treasury Committee, and the recent financial and explanatory memorandums, have all been useful tools for Members and staff of this place, who wish to acquaint themselves further with the issues around cost and complexity. These documents have also made clear the wide range of views on costs and varying approaches to the works.
ParlaMint-GB_2018-01-31-commons.u342	As someone who served on the R and R Committee, I can assure my hon. Friend the Member for Ealing North (Stephen Pound) that there was consultation, and we were very keen that the staff of the Palace were very much involved in this whole process.
ParlaMint-GB_2018-01-31-commons.u343	I am grateful to the hon. Gentleman for his clarification and grateful to him also for his contribution to the Joint Committee. That brings me to motion No. 2. If the House accepts that it will bear the cost from the taxpayer’s purse, it will be concluding that the work should be undertaken only on the basis of the most robust cost assessments possible. So the second motion seeks to establish an Olympic-style delivery authority, overseen by a sponsor board that will have a majority of members who are parliamentarians. That would produce up-to-date, fully costed proposals for restoration and renewal as soon as possible. The establishment of an Olympic-style delivery authority with external professionals will guard against unacceptable cost and timetable overruns of the sort that we saw with the Elizabeth Tower refurbishment.
ParlaMint-GB_2018-01-31-commons.u344	If these proposals are to be agreed by the House, can I implore this place to become its own planning authority, so that we are not dependent on the Greater London Authority or Westminster City Council; and not only to be our own planning authority, but to extend that remit to areas such as Parliament Square and even Abingdon Street?
ParlaMint-GB_2018-01-31-commons.u345	My hon. Friend makes a good point, but I think part of the role of the delivery authority will be to look at the best combination of cost, respect for our parliamentary democracy and, of course, the right solution for this Palace, which is what this debate is all about If motion No. 2 is successful, the sponsor board and delivery authority must consider three options: first, full decant; secondly, partial decant with access to one Chamber at all times; and thirdly, full decant with a parliamentary foothold, allowing for parliamentary access during the works, such as to Westminster Hall and Elizabeth Tower. It is important to note that the second motion before the House today does not commit to a final decision. By asking a delivery authority to further evaluate those three options, parliamentarians and the public can be confident that the delivery authority will take into account the risks, costs and benefits of each approach, as well as accommodating the needs of our parliamentary democracy, before recommending its final, preferred, fully costed option in 12 to 18 months’ time. The motion allows those who support the Joint Committee’s recommendations to see them properly stress-tested For the clarification of Members, motion No. 2 differs from amendment (b) to motion No. 1 in two key ways. First, the amendment recommends a single option of full decant. The first problem with this is the lack of decant accommodation available to us under the current plans until 2025. The amendment does not allow us to proceed any quicker with a full programme of work than motion No. 2 allows for. The second problem is the fact that the Joint Committee report itself acknowledged that, while recommending full decant, it had not fully costed that option. Amendment (b) therefore does not settle the issue of value for taxpayers’ money.
ParlaMint-GB_2018-01-31-commons.u346	But the problem is that neither motion makes a decision, and in the end this place is here to make decisions on behalf of the nation. It is time we got a grip and made a decision. I do not mind what the decision is in the end, but make a decision we must, surely to God.
ParlaMint-GB_2018-01-31-commons.u347	I sympathise with the hon. Gentleman’s perspective on this, but the reality is that we have to look at the best value for taxpayers’ money, not simply at the one proposal made by the Joint Committee, which it acknowledged it had not fully costed. To quote the Joint Committee report: “We recognise that there is still work to be completed in order to validate our conclusions.” The costs allocated were not budgets for the programme, and there are real concerns around value for taxpayers’ money arising from the hon. Gentleman’s amendment.
ParlaMint-GB_2018-01-31-commons.u348	The right hon. Lady is seeking to say that her motions suggest better value for the taxpayer, but if we make a decision with three options that have to be fully worked up and costed, that will mean a considerable cost in time and taxpayers’ money. However, making a decision now, as my hon. Friend the Member for Rhondda (Chris Bryant) said, will mean that we can get on with it, set the path forward and get value for taxpayers.
ParlaMint-GB_2018-01-31-commons.u349	I am sorry, but I must absolutely disagree with the hon. Lady. The problem with going for the one solution that she suggests is that the Joint Committee itself made it clear that it had not fully costed the options or even considered the options for fully decanting both Houses. She is also wrong, as is the amendment, on the grounds of the capability for full decant. If Members consider the challenge of decanting from this place, what exactly are they proposing? The planning that will go into fully decanting potentially 7,500 people—the works of art, the furniture, the books—will take a considerable amount of time in itself. That has to be properly planned, properly costed and properly evaluated, so the option for partial decant could, potentially, be a better, more valued option for the taxpayer than the proposal for full decant.
ParlaMint-GB_2018-01-31-commons.u350	The delivery authority that my right hon. Friend has described will, she said, contain a majority of parliamentarians. For the sake of clarity, can she tell the House whether the parliamentarians will be allowed to vote, or will all kinds of other people be able to vote on our future too?
ParlaMint-GB_2018-01-31-commons.u351	The sponsor body will, in effect, be the client of the delivery authority. The delivery authority will be made up of professionals who have expertise in a project of this size and the historical expertise we would need to be able to look at how best to resolve the problem. Parliamentary involvement in the sponsor body will ensure that the views of parliamentarians are taken into account at all points, until the delivery authority comes back to both Houses for a final vote.
ParlaMint-GB_2018-01-31-commons.u352	I am grateful to my right hon. Friend for giving way—she is getting a lot of requests. On the subject of decanting, and just for the record—I will speak to this later—the House should know that until very recently there was a contract with Church House, under which, should we have needed to decant at short notice in an emergency, which can happen at any time, Church House had always stood ready to accommodate Parliament, as it did during the second world war.
ParlaMint-GB_2018-01-31-commons.u353	My right hon. Friend raises a very important point about an emergency decant from this place. The security advice is that it is not safe these days for MPs to be coming in and out of the secure parliamentary state, so that would rule out a decant option off the estate. Secondly, and very importantly, on the day before the recess I attended—as I think you did, Mr Speaker—the emergency decant preparations done by the House in the event of the sudden need to move from this place, so those preparations are going ahead. However, what we are talking about here is about being out of this place for a significant length of time, so options such as Church House would simply not be suitable.
ParlaMint-GB_2018-01-31-commons.u354	I am very grateful to the Lord President of the Council for giving way. I was on the restoration and renewal Committee, and the conclusion that we came to, preliminarily favouring a complete decant, was based on the assumption that a temporary Chamber could be put up in Richmond House. We now understand that the measurements we were given which led to that conclusion were wrong, and that Richmond House would have to be pulled down completely. That is a completely different cost basis, and I for one would not have come to that conclusion had we known the true picture.
ParlaMint-GB_2018-01-31-commons.u355	My hon. Friend raises another key point, which is that the options for decant have recently been examined by the House Commission, with all the various options for refurbishing the northern estate, which many hon. and right hon. Members will know is also in dire need of refurbishment and work on the mechanical and electrical facilities. My hon. Friend is exactly right to point out that, in terms of Richmond House, and having costed the different alternatives, it now becomes clear that to knock down all but the grade I listed facade and to rebuild the building behind it is, in fact, the one solution that has the same cost estimates attached to it as all the various temporary solutions. Yet that project—rebuilding Richmond House—would give a permanent legacy, with better Committee Rooms, more accommodation for staff in this place and a proper business contingency Chamber, as well as offering a solution for the decant.
ParlaMint-GB_2018-01-31-commons.u356	I am going to make some progress, and then I will take some more interventions Crucially, the approval of an arm’s length sponsor board and delivery authority allows the project to be led by those with the necessary skills and the experience of delivering large-scale projects. On behalf of Parliament, the sponsor board will oversee the work of the delivery authority. As it will be crucial for Members’ views to inform and shape the programme as it develops, parliamentarians will have a majority of members on the board. In short, motion No. 2 invites the House to make a clear statement about the need to act with urgency, but it also ensures that a rigorous and professional business case will be drawn up that will provide confidence to Members and to the public.
ParlaMint-GB_2018-01-31-commons.u357	On that point, would my right hon. Friend give way?
ParlaMint-GB_2018-01-31-commons.u358	I will just continue for a moment If the second motion is carried today, the final recommendation, fully costed, of the sponsor board and delivery authority will come back to this House in 12 to 18 months for a vote. Following that vote, the House-approved business case would immediately progress to the design phase The Palace of Westminster will, in all cases, remain the home of our Parliament. That has always been the plan. To make it absolutely clear to all hon. and right hon. Members, full or partial decant will not take place until 2025 at the earliest.
ParlaMint-GB_2018-01-31-commons.u359	The Leader of the House is completely right that we do not yet have anything like enough information to evaluate which option the House should now pursue. I was predisposed to support the decant proposal, but I regret to tell the Chair of the Public Accounts Committee, the hon. Member for Hackney South and Shoreditch (Meg Hillier), that I took my name off her amendment, having done some preparation for this debate. I do not think we begin to have the information, but setting up the delivery authority is a no-brainer for a project of this scale and nature.
ParlaMint-GB_2018-01-31-commons.u360	I am grateful to my hon. Friend for his intervention. The need for action is absolutely vital. Each of the motions provides that opportunity, but it is vital that the House itself makes the decision.
ParlaMint-GB_2018-01-31-commons.u361	I say a huge thank you to my right hon. Friend and her team for all their excellent work, but does she not agree that the time for talking is over? We have to grasp this do the right thing. I cannot believe I am going to say this, but in this instance, in supporting amendment (b), absolutely everybody vote leave.
ParlaMint-GB_2018-01-31-commons.u362	I thank my right hon. Friend for joining that sentiment. I point out that in terms of progress of work, neither motion 2 nor amendment (b) is suggesting any faster progress. As I set out, the difference between them is that amendment (b) offers only one solution. The motion 2 offers the opportunity to discuss the best combination of value for taxpayers’ money as well as solutions for parliamentarians.
ParlaMint-GB_2018-01-31-commons.u363	Leaving aside for a second the merits and demerits of supporting the project or not, the Leader of the House and others have stressed the desperate urgency for this work to be carried out. Why on earth, then, have the Government prevaricated and wasted 18 months in getting this debate to the Floor of this House, before even getting it to the House of Lords?
ParlaMint-GB_2018-01-31-commons.u364	There has been no waste of time. There has been consultation, and work has been ongoing to make some vital repairs. The hon. Gentleman may have noticed that the cast-iron roofs are being repaired—[Interruption.] No, he must appreciate that there is a need to consult, look at different options and make the right assessment. This decision could, and probably should, have been taken 40 years ago. I do not accept his accusation that there has been any prevarication, and certainly not on my watch.
ParlaMint-GB_2018-01-31-commons.u365	On the subject of value for money, does the Leader of the House share my concern that, actually, a decant has already happened? The essential maintenance work that is due to happen around the cloisters, which are heavily damaged, for which offices have already been evacuated, has been brought to a halt, with expensive equipment shoring up the stonework of this place. No date for getting on with it has yet been set. That is a huge waste of money and does not bode well for getting on with the more substantive project we are discussing today.
ParlaMint-GB_2018-01-31-commons.u366	My hon. Friend makes two important points. One is that we do need to get on with it, and the second concerns the importance of planning for this. It is vital that we get good value for taxpayers’ money. Roughly, the projections show that we will be spending £90 million a year, of which roughly half will be throwaway once we get on with R and R, and the other half will be work that needs to be done anyway and will not be throwaway. They are the sorts of numbers we are looking at. We do need to get on and take a decision, but we must fully cost the best value for taxpayers’ money I have listened closely to the very real concerns expressed by colleagues—that in some way we might be forced out, never to return to this place. Both of today’s motions are intended to make it explicit that this is not, and will not be, the case. To put the matter beyond doubt, and recognising the depth of concerns from some colleagues, I am happy to confirm today that were the House to agree that we must take action now, the commitment to returning to the Palace will be enshrined in the legislation that the Government will subsequently introduce to set up the sponsor body and delivery authority. It will be on the face of the Bill, putting the matter beyond doubt.
ParlaMint-GB_2018-01-31-commons.u367	Will my right hon. Friend clarify something? If we adopt the idea of a delivery authority—I take the point my hon. Friend the Member for Harwich and North Essex (Mr Jenkin) made about it being, in many ways, a no-brainer—will it not mean that in 18 months we get a simple “take it or leave it” decision? We will either accept what the delivery authority says or reject it completely. Would it not be better if the delivery authority did the proper costings he rightly said were needed so that we could then make an informed choice?
ParlaMint-GB_2018-01-31-commons.u368	My hon. Friend is exactly right: that is what the delivery authority would do. It would look at the best combination of options—value for taxpayers’ money along with the right solutions for the restoration and renewal of the Palace—and come back, in 12 to 18 months, with its recommended option, which would then be put to the House for a final “take it or leave it” vote.
ParlaMint-GB_2018-01-31-commons.u369	On a point of order, Mr Speaker.
ParlaMint-GB_2018-01-31-commons.u370	I fear it may be a point of frustration, or perhaps a point of attempted clarification, but nevertheless let’s hear the fella.
ParlaMint-GB_2018-01-31-commons.u371	I do not think it is frustration. I think my right hon. Friend may have misunderstood a point I made in my lengthy question. Is it not the case that we will not be able to choose from a number of options put forward by the delivery authority, but will have either to accept its recommendation or to start from square one, which would not be satisfactory?
ParlaMint-GB_2018-01-31-commons.u372	That was really an intervention without permission masquerading as a point of order, but never mind—we have heard it.
