ParlaMint-GB_2018-11-26-lords.u1	To ask Her Majesty’s Government what plans they have to split payments in Universal Credit.
ParlaMint-GB_2018-11-26-lords.u109	Well, my Lords, another day, another Statement. I am grateful to the noble Baroness the Leader of the House for repeating today’s Statement Exactly 886 days have passed since the EU referendum, and it is more than 600 days since the Prime Minister wrote to the President of the European Council to invoke Article 50. At that point, the clock started ticking. Many of us struggled to understand why, in her Lancaster House speech, the Prime Minister tied her own hands with a series of hard red lines. Having set out what appeared to be a hard Brexit before talks had even begun, the most enthusiastic Brexiteers felt emboldened The problem for the Prime Minister is that all too often, rather than taking a clear position she has sought to please one or other of the many camps in her own party, and her message for home has at times been different in both tone and content to her message to the EU. So, as time went on and with negotiations stalling, Mrs May had to fly to Florence to extend an olive branch to the EU 27. But for many of our EU neighbours their good will had already been tested. After she failed once again to make a breakthrough in Brussels, the Cabinet met at Chequers in July, agreeing a proposal that could not even survive a weekend before the first Brexit Secretary resigned, goading Boris Johnson, the then Foreign Secretary, to follow suit. Despite such high-profile resignations, the Prime Minister insisted that her way was the only way. She was clear: there is no alternative. That has a familiar ring. As ever, she forged on I have reflected before that the Prime Minister’s strategy is to live in the moment—to simply get through each week at a time. This has never been as true as it is now. Last week, with a defiant flourish, the Prime Minister presented the political declaration to Parliament, which was a clear admission that the Chequers deal was dead in the water—the deal that she had defended so strongly. Yet again we are told that this is the only proposal on the table—the only show in town. I think I am not alone in failing to understand why the Prime Minister is continuing on this course. She must know that her deal, which is little more than a blind Brexit, cannot possibly win a majority in the other place. As we discussed on Thursday’s Statement, it is pretty much an aspiration without promises or guarantees The Prime Minister also knows that no deal would be as disastrous for UK families, communities and businesses, yet she continues to present this flawed, inadequate deal as though it is “my deal or no deal” and seeks to pray in aid EU Presidents Juncker and Tusk. I can understand senior EU figures lending their support to the Prime Minister at this exceptionally precarious time in her premiership. But, despite the Prime Minister’s “carry on regardless” approach, there are other options on the table, including that, as Michel Barnier has always been clear, the EU’s offer can, and will, evolve if the UK changes its red lines. This is in relation not just to the withdrawal agreement, but to the terms of the future relationship as well We have been very clear that we could accept a deal only if it delivered a permanent UK-EU customs union, a strong, ongoing relationship with the single market and high-level protection for workers, consumers and the environment. Also, it remains obvious that too little consideration was initially given by the Government to the complex issues affecting Northern Ireland and the Good Friday agreement. That is equally true of Gibraltar, which I first raised in your Lordships’ House just four months after the referendum in 2016; for both, the details have yet to be resolved. So, this deal does not deliver on the key priorities. Indeed, leaked emails describing it as “not a good deal” explain last week’s lacklustre response from the CBI. In fact, the only support the Prime Minister has been able to garner is pretty lukewarm and seems to be more about the fear of a no-deal exit if she cannot get her deal There are many, many questions that I could ask the noble Baroness the Leader of the House. I know that she has been inundated with questions in response to recent Statements; it is always hard to answer everything. I therefore want to be very clear and straight to the point with just two questions: Does she consider that the deal before us is the very best that is available? And does she consider that the deal before us is better than what we currently have If Ministers are unable to honestly answer yes to both these questions, then they have failed all those who voted in the referendum, whichever way they voted.
ParlaMint-GB_2018-11-26-lords.u110	My Lords, I too thank the Leader for repeating the Statement. We now have the agreement signed and sealed; the time for wishful thinking is over. Given the constraints that she imposed upon herself, I agree with the Prime Minister when she says that she has probably reached the best deal available. Even if she had had a dream team of negotiators, drawn from the Brexiteers normally to be found on the Conservative Privy Council Bench in your Lordships’ House, she could not have achieved the “cake and eat it” deal which so many of them have advocated In normal circumstances, we would now concentrate on questioning the Government on what they meant in various particularly vague clauses of the political declaration. We might, for example, probe paragraph 107, which is about space and simply reads: “The Parties should consider appropriate arrangements for cooperation on space” This is not a policy on space; it is a waste of space. We might equally probe paragraphs 73 to 76 on fishing. But the truth is that there is absolutely no point in worrying about the details of the declaration because it is now abundantly clear that it will not be approved by the Commons, and this is despite the time-honoured Whips’ tactic of offering baubles to wavering Conservative MPs. Clearly the offer of a knighthood does not do the trick. I would be extremely worried if I were the noble Lord, Lord Burns; I suspect that his hopes for reducing the size of your Lordships’ House are now in vain The Government are promising us an economic assessment of the consequences of the deal later this week. We already have one today from the National Institute of Economic and Social Research, which estimates that the cost of the deal could be up to £1,100 per person by 2030. I know that some people will pooh-pooh this, as they do all forecasts, but no reputable forecast argues that we will be better off, and I suspect that later in the week the Treasury will confirm that. Therefore, I ask the Leader of the House why the Prime Minister repeatedly claims that her deal is good for the economy. It clearly is not If the deal is dead, what are the options? There is much discussion among fevered Conservative MPs about plan Bs, but the problem for them is that all these plans have been examined and rejected by the Government because they are either practically or politically unworkable, and they have not become more workable now The Prime Minister is right to say in the Statement that voting against the deal would take us “back to square one”, if by that she means that the only realistic alternative to the deal is remaining in the EU. Can the Leader confirm that this is indeed what these words mean In her letter to colleagues yesterday, the Prime Minister said that no one should be in any doubt that that there are some who want a second referendum, which she then bizarrely describes as a politician’s vote—Alice in Wonderland in action. Well, too right—they do want a referendum on whether this deal is better than continued EU membership. I suspect that the 59% of people in her own constituency who would now vote remain would like a vote, as would the 56% of the population as a whole who would now vote to remain I understand that the Prime Minister is about to embark on a nationwide tour to promote the Brexit deal. Given that she knows that the deal is dead in the Commons, I can only assume that these are in fact her opening shots in a campaign to win popular support in advance of a people’s vote on the deal. We look forward to joining her on the campaign trail.
ParlaMint-GB_2018-11-26-lords.u111	I thank the noble Baroness and the noble Lord for their comments. In relation to the noble Baroness’s comments on Gibraltar, we have ensured that Gibraltar is covered by the whole of the withdrawal agreement and implementation period. Our position on Gibraltar’s sovereignty has not changed and will not change. The words of the Chief Minister quoted in the Statement were strong. They showed our commitment to Gibraltar during the negotiations, and that will continue This deal will deliver an economic partnership with the EU closer than that enjoyed by any other country, and it will ensure an unprecedented security partnership. It is a good deal and, as Donald Tusk, Jean-Claude Juncker and Michel Barnier have all said, it is the best one available The noble Lord, Lord Newby, asked about Galileo. Of course we have been in discussions with the EU about this, but we could not depend on Galileo for defence and security on the basis of the existing and proposed security restrictions for third countries. We are therefore rapidly advancing the development of a domestic system that will fulfil our defence and security needs and support the world-leading British space sector The noble Lord also talked about the vote, and of course it will be one of the most significant votes that Parliament has held for many years. However, as the Statement made clear, we do not know what will happen if the deal does not pass. All we do know is that further uncertainty and division would inevitably follow, and I do not believe that any of us wants that for this country.
ParlaMint-GB_2018-11-26-lords.u112	As we still have time for the noble Baroness to reply, will she answer the second question that I asked? Does she consider that the deal before us is better than what we currently have?
ParlaMint-GB_2018-11-26-lords.u113	As I said, this deal will deliver a strong economic partnership with the EU and will allow us to develop an independent trade policy—so we will have a bright future going forward under this deal.
ParlaMint-GB_2018-11-26-lords.u114	My Lords, on the second question, it seems to me that the Prime Minister is seeking to operate on the decision of the referendum. In other words, she is operating on the view that the people want to leave the European Union. Therefore, the second question is not appropriate. The question is: is it the best deal that can be obtained if we leave the European Union? I have a feeling that, if this deal is not accepted, the proper question will then be what to do next—and it is for Parliament to answer that question rather than for there to be a further period of delay and indecision, which will damage the livelihoods of so many of our fellow citizens who work in businesses that depend on trade with the European Union.
ParlaMint-GB_2018-11-26-lords.u115	My noble and learned friend is right, and the political declaration sets out a clear vision for our future relationship, covering an economic partnership, a security partnership and specific agreements on cross-cutting co-operation. It will deliver economic benefits and shows that, in our relationship with the EU, we are not just another third country. This will be the most ambitious free trade agreement that the EU has with any other country, and it will allow us to develop our own independent free trade policy to ensure that we remain a global Britain.
ParlaMint-GB_2018-11-26-lords.u116	My Lords, do the Government accept that there has already been a people’s vote, in 2016, and that the major parties undertook to honour its result? Do they accept that to break faith with those undertakings and agree to hold a second referendum would be to intensify and perpetuate social division, political disaffection and economic uncertainty? Will the Minister confirm that, in the event of the House of Commons rejecting the withdrawal deal, the Government will not renege on their stated refusal to accept the calls for a second referendum?
ParlaMint-GB_2018-11-26-lords.u117	I thank the noble Lord for his comments. The Prime Minister has been repeatedly clear, as we in this House have been, that we have had a people’s vote—he is absolutely right—and the people voted to leave. We have now brought forward a deal to the House of Commons—we were told we would not be able to come to a deal, but we have—and it will make its decision. But we do not believe that there should or will be a second referendum.
ParlaMint-GB_2018-11-26-lords.u118	Does the noble Baroness agree that, on this occasion, and very unusually, the noble and learned Lord, Lord Mackay of Clashfern, misspoke? The question I think he posed was: given that we will leave the European Union, this is the best deal and there is no alternative. But that is patently not the case. Whatever the merits of EFTA or the European Union moving from Pillar 1 to Pillar 2, the option is available and has been well covered in many recent pamphlets.
ParlaMint-GB_2018-11-26-lords.u119	An EEA-type agreement is not comprehensive and would not cover issues such as customs, external and internal security, the CAP, the CFP or Euratom. It would leave significant gaps in our wider relationship with the EU. This is a deal that covers all those areas.
ParlaMint-GB_2018-11-26-lords.u120	My Lords, if the EU Court of Justice concludes tomorrow that Article 50 is unilaterally revocable, will the Government give an assurance that they will not rule out the possibility of a temporary pause to avoid unnecessarily crashing out with a shambolic no-deal Brexit?
ParlaMint-GB_2018-11-26-lords.u121	I am sure the noble Lord will realise that I cannot comment on ongoing legal matters.
ParlaMint-GB_2018-11-26-lords.u122	The Minister has just sketched out the enormous agenda that we had to negotiate with the European Union in 21 months, with a Government that seem to still be unprepared and divided as to what they want. The Statement says: “Both sides are committed to making preparations for an immediate start to the formal negotiations after our withdrawal” There are European elections next May and then a change of Commission, which means that there will be four or five months in which the European Union will not be in a fit state to negotiate. We lost three months last year by having an election. Do we anticipate that we really can begin to negotiate with a clear mandate from our side as well before the end of next year?
ParlaMint-GB_2018-11-26-lords.u123	The noble Lord is right. Before our withdrawal in March, both sides have agreed to undertake preparatory work to enable negotiations to begin as soon as possible. There is also a clear programme to deliver an ambitious timetable, which will include the structure of negotiations and the schedule of rounds. He will also be aware that the withdrawal agreement includes a legally binding commitment to ensure that both sides use best endeavours to negotiate the detailed agreements that will give effect to the future relationship, in good faith, so that they come into force by the end of 2020.
ParlaMint-GB_2018-11-26-lords.u124	My Lords, I first thank the Government for their support of the people of Gibraltar. But will the Minister confirm that no concessions whatever have been made to the EU in the past few days over Gibraltar? Will she confirm also that it is not acceptable, either to us or to the European Union as a whole, that Spain should have the right of veto at the last stage of the overall agreement with the EU—if there is such an agreement—because it wants a separate agreement between Britain and Spain on Gibraltar?
ParlaMint-GB_2018-11-26-lords.u125	We are absolutely committed to ensuring a deal that works for the entire UK family, including Gibraltar. Our position on Gibraltar sovereignty has not changed and will not change.
ParlaMint-GB_2018-11-26-lords.u126	My Lords, given that the head of HMRC, Jon Thompson, has again confirmed that, in the event of no deal, no hard border will be built in Northern Ireland; given that the Prime Minister of Ireland offered the same assurance last month; and given that the backstop remains the main source of dispute in this country over the Prime Minister’s deal, can the Leader of the House help us to understand why there is any need for a backstop at all?
ParlaMint-GB_2018-11-26-lords.u127	As we have repeatedly made clear, this is an insurance policy no one wants to use. It is needed in case the future relationship is not ready at the end of the implementation period to ensure that there is no hard border. However, as we have also made clear, it is not the only option. There is a possibility of a short extension to the implementation period. It has also been made clear in both the withdrawal agreement and political declaration that both sides will consider how facilitative arrangements and technologies can be used to avoid a hard border on the island of Ireland. There are other options that we will all be exploring rather than the backstop.
ParlaMint-GB_2018-11-26-lords.u128	My Lords, there is an extraordinary sentence in the Statement that, “if a future Parliament decided to then move from an initially deep trade relationship to a looser one, the backstop could not return” The Prime Minister rightly said that the EU would not have agreed any future partnership deal without the backstop but then this red meat is thrown to Brexiteers. If the backstop is superseded in the future by moving to a looser trade relationship, the Government will show themselves as being completely untrustworthy and saying, “Yah boo, the backstop cannot come back”. How is that generating trust in the long-term commitment of the Government to avoid a hard border in Ireland?
ParlaMint-GB_2018-11-26-lords.u129	It states in the documents that any backstop—which we have repeatedly made clear we do not want to be implemented—will be superseded by a future relationship. Both sides are signed up to that.
ParlaMint-GB_2018-11-26-lords.u130	This political declaration is full of ambiguities and contradictions. Citizens, businesses and consumers have no certainty, stability or sense of security in going forward. Do not this Government continue to set sail on a journey but have no idea where it will end—where the boat will berth, which port it will berth at or what the final destination will be? That is surely why this deal should be rejected and we should move to a position where the country has an opportunity to decide whether it wishes to remain or whether it is willing to put up with this total shambles.
ParlaMint-GB_2018-11-26-lords.u131	The political declaration sets out a clear vision and framework for a future relationship. Once we leave the EU, we will begin negotiating the detail of that. It is set out. We all want an ambitious economic and security partnership and that is what we will be working towards. Of course any final agreements with the EU will be put forward to Parliament in the usual way.
ParlaMint-GB_2018-11-26-lords.u132	My Lords, my noble friend referred to “best endeavours”, which appears to be a crucial phrase in the agreement. Given that we have already seen what “best endeavours” actually means—the EU 27 doing their best to do us over, to be competitively advantageous compared to the UK—why should we suddenly trust that it means completely the opposite: that the EU starts to play fair and that, crucially, it avoids using the backstop or allowing it to come into force?
ParlaMint-GB_2018-11-26-lords.u133	As I said, the withdrawal agreement contains a legally binding commitment to use best endeavours and to ensure that we negotiate in good faith. There will be a mechanism for resolving disputes, first through consultation at the joint committee, with the aim of reaching a mutually acceptable resolution. If that does not work, after three months either party can refer a dispute to independent arbitration. It is there in legally binding text, and that is how we believe both sides will go into the negotiation.
ParlaMint-GB_2018-11-26-lords.u134	My Lords, will the noble Baroness the Leader of the House confirm that, if a matter is referred to independent arbitration and if any issue of European Union law should arise, it should be referred to the Court of Justice of the European Union for a binding ruling, with the arbitration panel obliged to settle a dispute in accordance with the ruling given by the CJEU? That makes a nonsense of saying that the CJEU will not have any relevance after Brexit.
ParlaMint-GB_2018-11-26-lords.u135	The arbitration panel would be the body to consider, decide and resolve disputes. The panel will consider a dispute, make a ruling based on findings of fact and reach conclusions on questions of law or of interpretation of the agreement, other than on points of EU law. If the panel decides that there is a question of EU law which requires interpretation, it will submit a question to the CJEU, but it is for the panel alone to decide whether to refer that question or not, and the resolution of the dispute remains solely with the arbitration panel.
ParlaMint-GB_2018-11-26-lords.u136	My Lords, I apologise—
ParlaMint-GB_2018-11-26-lords.u137	The noble Lord was not here to hear the Statement. He should not be heard.
ParlaMint-GB_2018-11-26-lords.u138	Very well. I was about to apologise and put a point. I think noble Lords will allow me—
ParlaMint-GB_2018-11-26-lords.u139	No.
ParlaMint-GB_2018-11-26-lords.u140	I will sit down.
ParlaMint-GB_2018-11-26-lords.u141	My Lords, I shall return to the point made by the noble Baroness, Lady Ludford, and draw attention again to an entirely new sentence in the Statement that we have not heard before from the Government—that: “if a future Parliament decided to then move from an initially deep trade relationship to a looser one, the backstop could not return” Does the Minister agree that this is the Michael Gove sentence, put in to satisfy him; that it suggests that Conservative MPs will be persuaded to vote for this agreement on the basis that it can later be abandoned without any care for what happens to the situation in Northern Ireland; that looser standards can be introduced—we can have a regulatory competition with the rest of the European Union and do free trade deals with the United States that no one wants—and that the Conservative Party is contemplating reneging on what it is putting before Parliament?
ParlaMint-GB_2018-11-26-lords.u142	I do not accept that. For instance, we have been clear that we propose to maintain current social and employment standards, that we want an independent trade policy, and that we want a strong economic partnership with the EU—one of the most ambitious that it has had. That is what we will work towards.
ParlaMint-GB_2018-11-26-lords.u143	My Lords, I first refer to my interests in the register. The Prime Minister has said that we will be able to strike free trade deals around the world. Will that not mean that large swathes of British industry will have added competition from the free trade of imports from all around the world but, where British industry exports similar products to Europe, those exports will have to jump the common external tariff of the 27? Am I right in thinking that this would be one of the most monumental double whammies for British industry for a long time?
ParlaMint-GB_2018-11-26-lords.u144	No. First, we will be able to develop an independent UK trade policy. The political declaration sets out a plan for a free trade area for goods with the EU, including zero tariffs, with ambitious customs arrangements to enable that. It will be the first such agreement between an advanced economy and the EU.
ParlaMint-GB_2018-11-26-lords.u145	Last Thursday, the Minister told your Lordships that the financial settlement on the deal would cost between £34 billion and £38 billion, but she did not answer my question on when that money will be handed over. In particular, I want to press her on whether it will be handed over only when all the pious hopes in these agreements have been fulfilled. If they are not, surely we will not hand over a penny.
ParlaMint-GB_2018-11-26-lords.u146	It has already been set out that the money will be paid over a period of time. Some of it will be paid up front to cover legal obligations but some of it will be paid according to a schedule, which is available. Not all the money will be paid up front.
ParlaMint-GB_2018-11-26-lords.u147	My Lords, can the Minister clarify her answer to the noble and learned Lord, Lord Mackay of Clashfern? From what he said today and last week, I understand that if the deal does not go through, he is not in favour of a people’s vote but wants Parliament to accept responsibility for deciding future action, which would include staying as a member of the European Union. That is a very tempting way forward. Does the noble Baroness agree with the noble and learned Lord on that?
ParlaMint-GB_2018-11-26-lords.u148	I agree that the House of Commons faces one of its most significant votes for many years. I will not prejudge the outcome of that vote. The deal is a good one, and I hope that the Commons will vote for it.
ParlaMint-GB_2018-11-26-lords.u149	My Lords, is it not the case that the country is heartily sick of the political shenanigans around this subject? The people voted to leave. There is enormous admiration for the Prime Minister’s tenacity, courage, level head and patriotic heart. It is time to settle for the best deal on offer and put the interests of the country and our people first.
ParlaMint-GB_2018-11-26-lords.u150	I thank my noble friend. That chimes very strongly with the message from the public on this issue.
ParlaMint-GB_2018-11-26-lords.u151	Can the noble Baroness think again about her answer to the noble and learned Lord, Lord Wallace of Tankerness? This is the third time that we have been round this course. Surely it is clear in the documents negotiated by the Prime Minister that, if there is a matter of interpretation of European law, the arbitration panel cannot decide it; it has to go to the European Court of Justice, and the European Court of Justice’s ruling on the interpretation of European law is valid. And is it not the case—I have never had an answer from the Government on this—that this withdrawal agreement or withdrawal treaty will be, necessarily, if the European side can conclude it finally before 29 March, European law?
ParlaMint-GB_2018-11-26-lords.u152	As I said, the CJEU would give a view only on the interpretation of the specific point of EU law. The arbitration panel would then take a decision on how to resolve the dispute.
ParlaMint-GB_2018-11-26-lords.u153	My Lords, if the subject of the referendum had been this deal, how many people does the Minister think would have voted for it?
ParlaMint-GB_2018-11-26-lords.u154	The British people voted to leave. They now have a deal that achieves that for them—a deal that many in your Lordships’ House said could not happen. A deal is on the table and it is a good one. Let us hope that the House of Commons sees that and votes for it.
ParlaMint-GB_2018-11-26-lords.u155	My Lords, is there a difference between the £39 billion that was promised and our legal obligations on exit? Is there a difference between what we owe and what we have promised?
ParlaMint-GB_2018-11-26-lords.u156	The financial settlement represents a fair settlement of our obligations as a departing member. As I said, it will between about £35 billion and £39 billion, which is significantly less than many people anticipated. It has been agreed in the spirit of our future relationship.
ParlaMint-GB_2018-11-26-lords.u157	To ask Her Majesty’s Government what plans they have to commemorate the 80th anniversary of the decision to allow Kindertransport children to come to the United Kingdom.
ParlaMint-GB_2018-11-26-lords.u158	My Lords, many of you will be familiar with the plaque just off Central Lobby in the House of Commons, which was unveiled in 1999 and says: “In deep gratitude to the people and Parliament of the United Kingdom for saving the lives of 10,000 Jewish and other children who fled to this country from Nazi persecution on the Kindertransport 1938-1939” It is a big thank you that we rededicated about a year and a half ago in the presence of the Chief Rabbi, the most reverend Primate the Archbishop of Canterbury and the Speaker of the Commons. I was one of the children who came under that scheme The House of Lords Library has produced an excellent briefing on this, for which we should say thank you. It helps to inform our debates and it is a pretty good way of getting the debate started The importance of 1938-39 is that, in under 12 months, Britain accepted 10,000 unaccompanied children. It goes without saying that we are all familiar with Nicky Winton’s contribution to those who came from Prague. He died about two years ago, but he made an enormous contribution: 669 children came from Czechoslovakia. Others came from Germany, Austria and I think some from Poland I understand that the British Government set a condition that children were to be aged 16 or under and were to come to Britain strictly on the condition that they would be emigrated when they reached 18. I say to the Government and the Home Office: I am still here A couple of weeks ago we held a commemoration, hosted jointly with Barbara Winton, daughter of Nicky Winton, and arranged by Safe Passage at Friends House. We had a very distinguished group of people there: the most reverend Primate the Archbishop of Canterbury, the Chief Rabbi, the emeritus Catholic Bishop of Southwark, a German Protestant bishop, Islamic scholar Sheikh Babikir, the Immigration Minister and Dame Esther Rantzen, as well as Kindertransport survivors and recently arrived child refugees. We had 1,000 people there. It was intended to set off a campaign for us to do better than we are doing at the moment. Last week there was another event in Speaker’s House. Many MPs and others read excerpts from Hansard of late 1938 leading up to the decision of the House of Commons to agree to accept child refugees We have set out all along that there should be all-party support as a basis of the campaign for unaccompanied child refugees. Many amendments were moved from the Back Benches. We deliberately sought to gain the support of Government Back-Benchers, as well as those of opposition parties. We called the campaign that started at Friends House Our Turn—our turn to do more. The best way to commemorate the 1938 decision is for the UK to agree to accept 10,000 unaccompanied child refugees over the next 10 years. That is 1,000 per annum, or three per local authority. It is a very modest request indeed, but with an additional difference that these would come from not just Europe but the region. We already have schemes in the region; I will refer to those in a moment. Recently, I visited a refugee camp in Jordan, and a little bit earlier I was on the Greek island of Lesbos, looking at the camps there In 2017, nearly 33,000 children arrived in Europe, mainly unaccompanied. In Greece there are estimated to be 2,800 children waiting for a place in a shelter, living in camps or on the streets—and conditions are pretty awful. On Lesbos, which I visited, conditions are very depressing. I appreciate that the Greek authorities are doing their best, but they are not able to cope very well and they really need a bit more international help than they are getting—although I will say that refugees in Athens are better placed than those on the islands. In Zaatari camp in Jordan, where I was two and a half to three weeks ago, physical conditions are better, but if there is one characteristic feature of refugee camps that is most alarming it is the lack of hope. Even if physical conditions are depressing, where there is hope, human beings can sustain themselves—children can. But where there is no hope, it is absolutely depressing, and what I saw in the camps on Lesbos was a lack of hope. Even in Zaatari in Jordan, where the physical conditions are better, because people are now in prefab huts rather than in tents, there is still a lack of hope To date, our record is not wonderful. Under Section 67—the amendment I moved—we have accepted 280 unaccompanied child refugees from Europe. The Government arbitrarily said that they would cap the number at 480. It was quite an arbitrary decision and I will refer to it in a moment. Then, under the Dublin treaty we have taken about 800. That is the treaty whereby a child in one EU country can join relatives in another: and 800 came from France and some from Greece to join relatives here. I am pleased to say that Parliament passed an amendment to an earlier piece of legislation to say that the Dublin III treaty should be maintained even after Brexit. In other words, we will go on acting as if we were members of that treaty, so we can still accept children from those countries—or, indeed, if they are here they can join relatives in other EU countries Then we had the vulnerable persons resettlement scheme, which the Government set up to take 20,000 refugees—not just children—over five years. To this were added 3,000 mainly children. I understand that of the 3,000 mainly children we have had only about 200 so far, although it was a government commitment. Maybe the figure is better than that and I hope that the Minister can reassure me on that. In the original Section 67 the Government set the cap at 480 because it was alleged that local authorities did not have enough foster places for the children. I have to say that my evidence is different. Recently we have had pledges from local authorities offering 800 places, and even before we asked for these pledges quite a number of local authorities said they were willing to come forward—so I am disappointed that the Government have put on an arbitrary cap. Not that we have reached that figure; we are only just over half way there The answer is simple: we should keep the scheme going and accept unaccompanied child refugees at the same speed that local authorities come forward with places. It seems very easy and straightforward. There is, however, a problem, which is funding for local authorities. Some are finding it quite difficult because they get some money for the first year, after which the going is much more difficult. So a little bit more funding would be extremely helpful I want to make one thing absolutely clear: I do not argue and have never argued that Britain should take all these unaccompanied child refugees—far from it. That would be unrealistic and not very helpful. I think we should share responsibility with other countries. Some other countries, such as Germany and Sweden, have done a pretty good job. Some deny that refugees are anything to do with them, such as the Hungarians. They say that refugees are not their problem and they are interested only in white Christians—which is really not in keeping with the best humanitarian traditions of Europe. So we should share responsibility and in a sense my plea in this debate is not just to the Government but to all European countries, as well as to Northern Ireland and the Crown dependencies I will say a quick word about Northern Ireland. There are people in Northern Ireland who have said to me that they are quite willing to take child refugees. The issue has got stuck on whether there is a power for Northern Ireland to take unaccompanied child refugees under Section 67 in the absence of an Executive. Opinions vary on this, and I understand that the Government are looking into it to see whether it might be possible. I cannot see for the life of me why Northern Ireland should not be able to take refugees: I am not sure what the Executive would have to do with it. I deeply regret that there is no Executive there, but I do think we could make progress there and that the people of Northern Ireland would like to go ahead. The issue has also been raised with the Crown dependencies and they are thinking about it—although the Isle of Man defeated a proposal to take refugees by one vote last week. Northern Ireland is there waiting for the Government to respond and say, “Yes, something can be done” The crucial part of all this is public opinion. We must get public opinion onside. In 1938-39 public opinion was by and large supportive of child refugees. I believe that the same is true today. Whatever the arguments and concerns around immigration, I believe that if it is put to the British people that we can do more for unaccompanied child refugees than we have done until now, most British people will say, “Yes, we could. Yes, we should”. There is no public opinion to be frightened of. I urge the Government to make a positive contribution by responding to this debate in a positive way.
ParlaMint-GB_2018-11-26-lords.u159	Does the noble Lord have any estimate of the number of unaccompanied children still wandering about somewhere on the continent, without any care or reception or anything? If he could give that, it would stimulate the generosity of potential fosterers and adopters in this country.
ParlaMint-GB_2018-11-26-lords.u160	My Lords, these figures are rough estimates but I understand that in 2017, 33,000 children—many unaccompanied—arrived in Europe. In Greece nearly 3,000 children are currently waiting for a place in a shelter, living in camps or on the streets, in deplorable and dangerous conditions. There are also several hundred in France and an unknown number in Italy.
ParlaMint-GB_2018-11-26-lords.u161	My Lords, I pay tribute to the noble Lord, Lord Dubs, for securing the debate and for all the work that he has done and continues to do. If I may say so, we are all glad that he is still here In preparation for my short contribution, I made one visit and one phone call. The visit was to Dr Hilda Cohen, a close friend of my wife’s family, who recently celebrated her 90th birthday. I visited her on Friday morning because as a 10 year-old girl she was sent on the Kindertransport to the UK. She brought Kristallnacht to life for me. She talked of the flames, the burning and the destruction of her own synagogue in Frankfurt on the night of Wednesday 9 November 1938. Just two days later, her father was taken away from the family Shabbat table. Incredibly, Hilda recalled that the discussion was more about whether or not her father should take a suitcase with him as it was forbidden to carry in the public domain on the Sabbath. He was held for a month but was then returned to the family—probably, she recalled, due to the fact that he had received an Iron Cross for his service in World War I. In July 1939 Hilda was taken by her parents to Frankfurt station. They were not a kissing and hugging family but Hilda recalled, some 80 years later, that there was kissing and hugging as she left with a small bag containing her prayer book, her Bible, some silver ladles and a few photos. That, of course, was the last day she saw her parents and brother. The story is all too familiar On 3 September 1939, Hilda, aged 11, found herself in Merthyr in south Wales, and she was looked after by a childless couple who showed her selfless kindness. Hilda went on to study medicine. She became a doctor and worked for many years in the blood transfusion unit. She became a Cardiff city councillor and a JP serving on the Bench in south Wales for more than 40 years. Serving the community and doing for others, Hilda has been an inspiration. She has three children and 16 grandchildren and is expecting her 10th great-grandchild imminently. Hilda’s story is about the selfless kindness of the host family and the generous decision of the Government of the day That sense of community led me to the phone call, which I made yesterday. I called the renowned playwright Diane Samuels, who was in my class in school in Liverpool. Diane wrote the play “Kindertransport”, which was first performed here in the UK in 1993. I recommend it to those noble Lords who may not have seen it. Diane cited three reasons for writing that play, which she published. The first was that she saw a friend, whose father had been on the Kindertransport, struggling with the concept of survival. The second was when she heard another friend being shocked to find out that his mother was in Auschwitz—he did not know this all his life. The third reason was the admission of another woman in her fifties, who had come on the Kindertransport, and had expressed a feeling of rage at her dead parents who had abandoned her, even though that abandonment had led to the saving of her life These are challenging issues but on the call yesterday, I reminded Diane that as young teenagers in Liverpool we and our friends were inspired by Stanley Morris of the Shifrin Foundation. This was an educational drama group that played a huge part in our upbringing and taught us a massive sense of community. Diane was a superstar then, as she is today For me, the 80th anniversary of the Kindertransport is a reminder of acts of kindness and bravery, a commitment to one’s fellows and a striving for a better world. It is the inspiring story of Hilda and the educational creativity of Diane that give me hope for a better future.
