ParlaMint-GB_2018-02-21-lords.u1	To ask Her Majesty’s Government what assessment they have made of living conditions in Gaza.
ParlaMint-GB_2018-02-21-lords.u261	The noble and learned Lord is very clever and experienced at negotiations with different political parties in government. Perhaps I am too stupid, but I cannot think of a way—and I agree with a lot of what he said—to word an amendment that would deliver the result that he suggests is needed. Can he help me? What would an amendment actually say that ensured that there was the kind of continuing co-operation that is needed?
ParlaMint-GB_2018-02-21-lords.u262	My Lords, if the noble Lord will allow me, there is certainly one attached to Clause 11 that has my name on it, as well as the names of a number of other noble Lords. He will find that Amendment 303 sets out a basis for having common frameworks. Indeed, the noble and learned Lord, Lord Hope of Craighead, has one in very similar terms, Amendment 304, which certainly provides a basis for moving forward. We are in opposition. The onus is on the Government to come forward with this. Let us not kid ourselves. The noble Lord, Lord Forsyth, makes a fair point, but it is the Secretary of State for Scotland who promised amendments on Report in the House of Commons. He has made the commitment to amendments, so the onus is not on the Opposition to come forward with these amendments but on the Government I hope that when the Minister replies he will tell us what the colour of the Government’s amendments will be. In the European Union negotiations, TF50 sets out where each of the parties is and gives us great transparency—where there is disagreement and where there are things that have to be clarified. This whole exercise would benefit from far greater transparency so that we can see what progress is or is not being made, who is holding things up and who is genuinely seeking to make progress. I appeal to the Minister to make a commitment when he replies that, following tomorrow’s JMC on the European negotiations, that transparency will become a reality.
ParlaMint-GB_2018-02-21-lords.u263	My Lords, I hope that an Englishman, albeit one with a Scottish name, may be allowed to add something to this debate, because it is depressing for someone who lives in the north of England to hear a debate about how much of a privileged relationship the devolved Administrations should have with the United Kingdom Government, when the north of England is likely to suffer very much from leaving the European Union in terms of the loss of European development funds, and at the moment lacks any sort of forum for negotiation or consultation with the very centralised government of England in order to make its case. I am very conscious that the poorer parts of northern England were among those that voted most heavily to leave and that recent studies have suggested that they are also the regions that are likely to lose most from Brexit Amendment 227, when we come to it, addresses the question of how far a new mechanism will be needed for the central government in London to consult with English local authorities. My understanding is that the Local Government Association has been in conversation with the Government on that and that the Government have not yet come to an agreed view. I just wish to give notice that this is a very important point, politically and constitutionally, and when we come to it I hope that it will be given sufficient weight.
ParlaMint-GB_2018-02-21-lords.u264	My Lords, this has been a shorter debate than the previous one and I will try to honour the Minister’s strictures earlier in the evening and limit my remarks to the Bill and to the issue before us, rather than wander into a premature debate on Clause 11 at this stage. At Second Reading, right at the beginning, while our attention was still good, the noble Baroness, Lady Evans, who introduced the debate, said that it was to be guided by two key principles, the first being the need for a functioning statute book on exit. I pause there to suggest that what I hear from Cardiff and Edinburgh is that there the devolved Governments too want a functioning statute book the day after exit, which is why we need some resolution of these matters, difficult as they may be. Secondly, she said there were to be, “no new barriers to living in and doing business across the UK” We have no difficulty there. She went on to say: “We will shortly be publishing our initial framework analysis” If the noble Lord, Lord Forsyth, has difficulty with the word “normal”, I promise him that I have difficulty with the word “shortly”, especially since, on 30 January, “shortly” suggested to me that we would have something before us now, but we have not. As the noble Lord, Lord Thomas, said, perhaps the amendment is born of frustration. All that time that went by without any consultation at all which could have produced something that we could be looking at, leads us to want to put in a caveat that if what has been promised does not materialise, it is serious enough for us to feel that we have to offer something quite drastic to shake people to their senses. It is in that spirit, I think especially at Second Reading, that we must look at this amendment The noble Baroness said: “Noble Lords will be aware of the Government’s commitment to bring forward amendments to Clause 11” Those are her words, not mine. She said: “This is a complex area”— she would agree with the noble Lord, Lord Forsyth— “that we need to get right, and I hope these amendments will put us on the best possible footing to achieve legislative consent”— her words, which we echo, of course, in the amendment we are looking at— “which remains our overarching objective”.—[Official Report, 30/1/18; cols. 1374-75.] When my noble friend Lady Smith rose to reply to that opening speech, she agreed with those objectives without hesitation and promised that from these Benches we would want to co-operate with the Bill in order to get those agreements in place in time. But where are the amendments? How can we proceed? When will promises be fulfilled? Is it not frustrating—and it is at several stages that I have found this to be happening—that here we are, at this hour of the night, debating this matter, when tomorrow the Joint Ministerial Committee will be meeting? Would it not be lovely if it had met yesterday and then perhaps we could have withdrawn the amendment? But it must stay there until we have a bit more satisfaction than we do.
ParlaMint-GB_2018-02-21-lords.u265	I thank the noble Lord, Lord Griffiths, for his comments and I agree that this matter is totally within the scope of the Bill. I will do what I can to satisfy his requests, but I will probably not be able to satisfy all Members of the House. I understand the frustration on this, but let me take the Committee through our position and where we hope to be when the Committee gets to discuss Clause 11 We have sought legislative consent from the Scottish and Welsh Governments, and it remains our priority to make a positive case in favour of that legislative consent for this important legislation. That is why we committed to work with the devolved Administrations to find a way forward on Clause 11, and to bring forward an amendment in this House. We will debate Clause 11 fully in Committee, and we will table government amendments before then for noble Lords to consider. Although, without an Executive, there is no way to seek legislative consent in Northern Ireland, the Secretary of State for Northern Ireland is working hard to restore devolved government there as soon as possible. We are committed to working to ensure that Northern Irish interests are represented in the meantime. We have explicitly recognised the role of the Sewel convention in the Wales Act 2017 and the Scotland Act 2016. We also have a strong track record on devolution. I make it clear to noble Lords that we are committed to the devolution settlements and the conventions that have been established But these amendments go further than Sewel; as my noble friend Lord Forsyth pointed out, they would prevent this Parliament exercising its sovereignty. They would require this Parliament to seek consent to legislate in some cases that are not within devolved responsibility and do not affect devolved competence. We believe in the importance of this Bill, which is in the interests of the whole of the UK, and will work to deliver it together with the devolved institutions. But it is also not right that one part of the United Kingdom can hold a veto over the decision taken, in the referendum, by the whole of the United Kingdom and risk the certainty this Government are committed to providing Let me address directly some of the points that were raised. The noble Lord, Lord Foulkes, asked about progress on Clause 11 and the Joint Ministerial Committee. The Scottish and Welsh Governments asked us to work with them to amend Clause 11, and that is exactly what we have been doing. Officials have worked extensively on proposals and Ministers discussed these in their recent bilaterals in February. We have preserved the space to engage in meaningful discussion and sought to reach agreement with the devolved Administrations. We have not yet tabled an amendment precisely because those discussions still continue. Our proposed amendment will be discussed, as a number of noble Lords have pointed out, at the Joint Ministerial Committee on EU Negotiations tomorrow In response to the points made by the noble Lord, Lord Foulkes, but also by the noble Lord, Lord Thomas, and the noble and learned Lord, Lord Wallace, we are fully committed to the JMC process as well as to increasing our bilateral engagement between meetings to strengthen relations. Since the referendum, we have had six JMC meetings and, as I have already mentioned, it will meet again tomorrow. In addition, officials are meeting weekly in order to try to take forward the proposals.
ParlaMint-GB_2018-02-21-lords.u266	The Minister said there have been six meetings since the referendum. Given that at the first meeting of the Joint Ministerial Committee on EU Negotiations the communiqué said that they would meet on a monthly basis and that was in November 2016, by my calculation there have been several more months than six since then. Can the Minister tell us how many official meetings took place between February and October 2017?
ParlaMint-GB_2018-02-21-lords.u267	I do not have information about how many official meetings have taken place. I understand that officials are meeting extensively. They are in regular contact. I am told by my officials that contact with officials in the Scottish and Welsh Governments and discussions are extremely positive. That is not the same as getting political agreement, but we are endeavouring to do that. Proposals have been tabled, after extensive discussion, for the meeting tomorrow. We hope there will be agreement. I obviously cannot guarantee that, but we hope there will be. We remain committed to obtaining legislative consent Motions if possible, and we will continue that dialogue in an effort to do that. That is the responsible way to proceed, but I totally understand the frustration expressed from all parts of the Committee that we do not yet have that agreement. We want to get that agreement. We are endeavouring to get that agreement. We will do our best to get it, but we will table amendments for this Committee to consider before we get to Clause 11.
ParlaMint-GB_2018-02-21-lords.u268	Given the difficulties, which are understood, of getting agreement to one legislative consent Motion, can the Minister give us an assurance that whatever amendments he tables will not require us to have legislative consent to even more Motions?
ParlaMint-GB_2018-02-21-lords.u269	I am not quite sure I understand that point. I do not think we can give that assurance at the moment. I will have to have a separate discussion with my noble friend on that point.
ParlaMint-GB_2018-02-21-lords.u270	What happens if there is no agreement tomorrow? Will the Government’s amendment, the one that they are putting to the Joint Ministerial Committee tomorrow, be published so that we can look at it and so that informed opinion throughout the country, throughout Wales, throughout Scotland, can look at it and comment on it and so that we can see where the problem is? At the moment, it is all obscure. As my noble and learned friend said, there is no transparency whatever in this process. What happens if there is no agreement tomorrow?
ParlaMint-GB_2018-02-21-lords.u271	As I said, we will be bringing forward the amendment at the same time that Members of this House have an opportunity to view it. The public at large will be able to comment on it and discuss it, and I am sure there will be extensive comment on it in the media at that time. The reason we have not published so far is that we want to preserve space for discussion and to try to have the discussions with our colleagues in Scotland and Wales and with officials in Northern Ireland in as confidential an atmosphere as possible. The discussions are positive and are proceeding apace. I cannot guarantee that there will be agreement, but we want that agreement and are working to it. We have compromised on many aspects. As soon as we are able to, we will share it with this House. We will definitely be producing an amendment before Committee. I totally understand noble Lords’ frustrations, but we are endeavouring to produce a solution to this difficult issue as quickly as possible.
ParlaMint-GB_2018-02-21-lords.u272	In order that the Joint Ministerial Committee should enjoy its full status, does the Minister accept that it would be desirable if minutes were kept of its meetings, if an agenda were to be published and if it were indeed to agree to meet at least monthly?
ParlaMint-GB_2018-02-21-lords.u273	I understand the noble Lord’s question. I am not a member of the committee; it is handled not by my department but by the Cabinet Office. I will write to the noble Lord giving him details of what agendas are published and whether they are shared with other departments. I do not know the exact format, but I will contact him with it With those assurances in mind—limited assurances, I fully accept—I would be grateful if the noble Lord, Lord Foulkes, agreed to withdraw his amendment.
ParlaMint-GB_2018-02-21-lords.u274	My Lords, this has been a valuable debate—up until the reply. I have been in this House now for 13 years but I have never heard such an inadequate reply to a debate, and I have heard some pretty inadequate ones. I warn the Minister, my colleagues are outside now I was very grateful to my noble friend Lord Griffiths of Burry Port, bringing his eloquence and erudition that we normally hear on “Thought for the Day” to the Labour Front Bench, where it goes down equally well. The only thing I am having difficulty with is picturing Mike Russell in short trousers, but I will try to put that out of my mind To return to the Minister’s reply, I am glad the Government Chief Whip is here. I ask him: why do we have a Minister, who is a nice enough man, replying when he does not know any of the answers? On three occasions he turned to the noble Lord, Lord Duncan, and the noble and learned Lord, Lord Keen, to get briefing. The noble Lord, Lord Duncan, is perfectly able to deal with this matter; he should be up at the Dispatch Box dealing with it. He knows what is happening; he is working at it on a day-to-day basis. He could have dealt with all the questions, as he has on previous debates. Even the noble and learned Lord, Lord Keen, would have done better than the noble Lord, Lord Callanan. [Laughter.] As we know, we are always obliged to the noble and learned Lord for his contributions to this House I say to the Government Chief Whip: please think about this. I know he does not always listen to me, but when we get to Clause 11 it would be much better to put a Minister up to reply who knows what is going on, sits in on these meetings and deals with this matter on a day-to-day basis. I hope it is a case of horses for courses. The Minister could not answer the question from the noble and learned Lord, Lord Wallace. He could not even answer the question from the noble Lord, Lord Forsyth. That is unusual—actually, no, it is not unusual on that side The debate has been very valuable for positive suggestions about the procedures to deal with this issue, and we have had some information about the amendments coming forward and how we deal with them. I am grateful to the noble and learned Lord, Lord Hope, the noble Lord, Lord Warner, and others for their suggestions. As the noble Lord, Lord Thomas, rightly identified, this amendment is born out of frustration. I share the frustration of the devolved Parliament. We saw it when they came down to give a very good briefing to Peers, and this amendment was born out of that The noble Lord, Lord Forsyth, paid me the greatest tribute that he has ever paid me: he likened me to himself. I must say that I was flattered. He understood what I am up to, and I know what he is up to. I know he is a real, committed Brexiteer and he knows I am not. I say to him that we would not have had all this debate about powers being transferred back from Brussels, and we need not have them if we stay in the EU. We can let the EU get on with doing what it is doing well on the environment, health and safety and a whole range of other things. That is what we are aiming for.
ParlaMint-GB_2018-02-21-lords.u275	Does the noble Lord not realise how absurd he looks, arguing that if these powers remained in Brussels then he would not have to make the case for Scotland having those powers to exercise domestically? We on this side want that, but done in such a way that we retain the single market. He has just admitted that he is using this as an argument to try to turn people against what the people of this country voted for and is not actually interested in those powers being exercised in Wales, Scotland and elsewhere by the assemblies and parliaments.
ParlaMint-GB_2018-02-21-lords.u276	If they are going to be transferred back to the UK, then I am; that is obviously the case. But it would be far easier to leave them where they are. That would be far better and more sensible, and would have more logic to it. Still, that is an argument for another day. I look forward to the debates when we come to the amendments to Clause 11, but I hope we will have Ministers who can answer the questions that are asked. In the meantime, I beg leave to withdraw the amendment.
ParlaMint-GB_2018-02-21-lords.u277	Follow that, my Lords. If the theme of my noble friend’s previous debate was frustration, the word on my mind is bewilderment. On the first group of amendments, which we spent many happy hours discussing, there was considerable debate about whether the public, in voting to leave the EU, were aware that the Government would interpret that as a decision also to leave the single market and customs union Whatever noble Lords’ view on that is, I doubt very much that anyone who voted in that referendum understood that one of the most perverse outcomes of the Government’s approach to negotiation would be summarily to announce that the UK was leaving Euratom. This body has enjoyed an excellent track record over many decades. It was established by the European Coal and Steel Community as far back as 1957, around the time of the first civilian nuclear reactors. It has provided secure access to nuclear materials and technology for peaceful purposes. It has provided research, including co-ordinating funding for world-leading nuclear fusion research, much of which takes place in the UK at Culham. It safeguards nuclear material to ensure that it is being used for civil purposes, in line with our non-proliferation responsibilities. It facilitates free and frictionless trade in nuclear goods, services and people, including regulating the supply of isotopes used in nuclear medicine Why is the UK leaving Euratom? This was formally outlined in the Explanatory Notes to the European Union (Notification of Withdrawal) Act 2017, but the reasons for leaving have not been specified. The most likely speculation is because it sits under the jurisdiction of the ECJ, although the ECJ has never, as far as I know, been called on to make any pronouncements in relation to Euratom What are the consequences of leaving? I would identify four, and refer noble Lords to the work of the Institute for Government. First, we will have more difficulty ensuring a long-term supply of nuclear fuel to the UK. Secondly, we risk an immediate shortage of medical isotopes. Thirdly, we may no longer enjoy access to research facilities and funding. Finally, the UK will have to establish its own regulator with regard to nuclear proliferation, which will be both costly and challenging Let me pick up just two points there: first, interruptions to the supply of medical isotopes. Leaving Euratom risks breaking a series of time-sensitive supply chains which supply isotopes used in nuclear medicine. This is causing a lot of concern to people in the health service. Currently, Euratom facilitates free trade of nuclear material across the EU. This gives a secure and consistent supply. It is used extensively in diagnosing particular diseases and in the relief of pain, particularly in palliative care, and biopic analysis in clinical pathology The UK does not have any reactors capable of producing these isotopes, and they decay rapidly, often within a matter of hours or days, so we rely on a continuous supply from reactors in France, Germany and the Netherlands. History suggests that crises in supply can occur. It happened last in 2008-10. That meant that hospitals across Europe had to delay or cancel hundreds of thousands of medical tests. In response, Euratom’s supply agency was given a more prominent role in overseeing the supply chains and ensuring that the crisis did not occur again. Without the support of Euratom, the UK may find it harder to guarantee a supply of these materials to hospitals Pressed on this in the Second Reading of the Nuclear Safeguards Bill, which is a parallel piece of legislation that your Lordships are debating at the moment, and which will have its first day in Committee—oh, joy—tomorrow morning, the noble Lord, Lord Henley, who it is good to see in his place, said that, “changes to our customs arrangements after our withdrawal from the European Union could ... affect the timely supply of medical radioisotopes”, that the Government were working to minimise that risk and that he was confident that, “a future customs arrangement with the European Union that ensures cross-border trade in this area is as frictionless as possible”.—[Official Report, 7/2/2018; cols. 2026-27.] I think anyone who has heard this afternoon’s debate would question the noble Lord’s optimism. He is an eternal optimist, I know, but the reality is that, given the current state of negotiations, and the failure of the Government even to reach an agreement among themselves on what negotiation outcomes should be, this is a very risky prospect indeed The final point I want to make is that the Nuclear Safeguards Bill essentially enables the Office for Nuclear Regulation, one of our very own regulators, to take over Euratom’s vital non-proliferation nuclear safeguarding responsibilities. However, because Euratom is doing such a good job, the Government want us to leave Euratom but to remain in total alignment with the standards set by Euratom, even though we are no longer a member. You could not make it up if you tried. But more than that, having said that they want to stick to Euratom standards, they cannot do it because of the precipitate date of March 2019, by which time the ONR has no chance whatever of recruiting enough inspectors to meet those Euratom standards. So what they have decided is that we will not be able to accord to Euratom standards; we are going to accord to the standards set by the International Atomic Energy Agency. According to evidence given by the ONR to the Public Bill Committee on the Nuclear Safeguards Bill a few weeks ago, that means that there is a lower standard and less frequency of inspections Everyone agrees that Euratom is a good agency and that its standards are high—higher than overall international standards. The Government themselves say that they want to stick to Euratom standards, although we cannot have any influence over them in future, but we cannot do that in 2019 so we will have to live with lower standards until we can actually recruit the number of inspectors that we need. That is plain daft. It is quite clear that we should stay in Euratom. If we cannot do it, we should make sure statutorily that we are as aligned as we possibly can be. All of us noted Mrs May’s comments on the European arrest warrant recently, where she accepted that there was a role for the ECJ. What I say to the Government is that Euratom works really well and that, for the sake of a theoretical involvement of ECJ, surely even at this late moment, it is time to accept that the wrong decision has been made and that it would be much better if we stayed within Euratom. I beg to move.
ParlaMint-GB_2018-02-21-lords.u278	My Lords, I will be very brief. I did not speak at Second Reading because I thought that the decision to leave Euratom was tied irrevocably by law to our withdrawal from the European Union. I discovered, while participating at Second Reading of the Nuclear Safeguards Bill—as the noble Lord, Lord Hunt, has mentioned—that it was in fact a political decision. I still do not know who made the decision but I regard it as a very serious and damaging mistake, and that is why I wish to support this group of amendments. We should do everything we can to avoid the disastrous consequences of leaving Euratom.
ParlaMint-GB_2018-02-21-lords.u279	My Lords, I rise as a co-signatory of Amendment 8, moved by the noble Lord, Lord Hunt. I do not want to repeat all that he has said; I want to talk about this from the point of view of the industry. The industry’s legal opinion is that leaving the EU did not require the UK to leave Euratom. The noble Lord, Lord Hunt, has set out all the conflicting arguments that the Government have had over their attitude to the ECJ. I will not go over those this evening, though I will not be able to resist the temptation tomorrow morning to go over them again with the Minister The fundamental point that I wish to make is that the Government have set out on this reckless course without taking the nuclear industry with them and without allowing sufficient time to put an alternative nuclear safeguards regime in place. I want to quote a few extracts from the excellent briefing provided by EDF, which after all provides 20% of the electricity generated in this country and is the Government’s preferred contractor for delivering new nuclear power stations, including Hinkley Point C. My first quote from the briefing is: “The best thing for the UK nuclear industry would be for the UK to remain within Euratom. However, if the UK exits Euratom, new arrangements must be in place before existing arrangements are terminated, and there must be a smooth and orderly transition to the new arrangements” I have to say, from the Second Reading debate, you would not have been very confident about some of that My second quote is: “It is absolutely essential that following the UK’s exit from Euratom and its EU wide safeguards regime, the nuclear sector in the UK is covered by a UK Safeguards regime. There can be no gap in coverage – the new regime must be ready for deployment on exit day, having already been reviewed and accredited by the IAEA, to ensure the UK can continue to fulfil its international obligations for nuclear non-proliferation” It has just about a year to achieve that My third quote is: “An IAEA accredited nuclear Safeguards regime is a ‘must have’ – it is a pre-requisite for the movement of nuclear materials (including fuel) and for the agreement of NCAs”— nuclear co-operation agreements with other countries outside the EU, such as the US, Japan, Canada and Australia. You would have to be one of life’s great optimists to have listened to the debate so far on the Nuclear Safeguards Bill and be confident that all those objectives set out by EDF will be achieved My final point is that, on the evidence so far provided by the Government, it is almost a racing certainty that by 29 March 2019 the UK will not have in place a nuclear safeguards regime equivalent to that provided by Euratom. Perhaps more worryingly, there is no published plan with clear milestones showing how the UK will have in place by exit day a nuclear safeguards regime accredited by the International Atomic Energy Agency. This is absolutely essential, as EDF has made plain, if the UK is to have nuclear co-operation agreements with a wide range of other countries, as it has said. These agreements are absolutely essential for nuclear trade with these other countries once we leave Euratom. The agreements have to be reached in time for them to be ratified by the political and governmental processes in the various countries. In the case of the US, they have to be ratified by Congress and even, I am told, be approved by the White House—there is a thought for noble Lords We are travelling very dangerously in this area, not least because of the timescales that the Government have allowed for putting in place alternative arrangements to Euratom membership. I suggest that we have a duty to make amendments to the Bill and to the Nuclear Safeguards Bill to give the Government a chance to pause and think more carefully about what they are doing. The amendment of the noble Lord, Lord Hunt, is the very least we should do in the Bill. I suspect that we may well need something stronger on Report which reflects the outcomes of our consideration of the Nuclear Safeguards Bill.
ParlaMint-GB_2018-02-21-lords.u280	My Lords, this issue is not quite as simple as the noble Lord, Lord Hunt, claimed. I too was present at the briefing referred to by the noble Lord, Lord Warner, given by the Nuclear Industry Association and EDF, which was very valuable The issue is not as simple as the noble Lord, Lord Hunt, said—namely, that Euratom is the most marvellous institution and we have to remain a member of it or continue to apply standards equivalent to those which have been developed by it. I recall that EDF explained that the international standards are set by the IAEA, and that it is absolutely necessary that before exit, other than by virtue of a transition or implementation period, which of course applies more generally to the EU, in order to exit from Euratom and continue to be able to trade in nuclear equipment and fuel, we need an IAEA-accredited—not Euratom—safeguards regime. We need nuclear co-operation agreements with four countries: the United States, Canada, Australia and Japan, a nuclear agreement with the European Union and an export licence regime. Euratom’s nuclear safeguards regime concentrates heavily on verifications, whereas the IAEA places more emphasis on process, operations and compliance with international standards The noble Lord referred to isotopes. It is essential to ensure a secure and consistent supply of radioisotopes. Molybdenum-99, for example, has a half-life of 66 hours, similar to human organs, and therefore cannot afford to be delayed by customs at ports and airports. There can be no delay at all. We obtain about 60% of our radioisotopes for medical use from the EU, to which the noble Lord referred, but we obtain 40% of our isotopes from non-EU countries, principally South Africa, which the noble Lord did not refer to. I understand that the procedures for importing both those from the EU, which come through the Channel Tunnel without, obviously, any customs procedure, and those from South Africa, which come through Heathrow under a fast-track procedure, are virtually identical; there is no significant difference at all. Our membership of Euratom does not in any significant way influence our access to the world market in isotopes. Therefore, our leaving the EU does not make much difference to how we get in our medical isotopes However, we need to have this IAEA-accredited regime, and, obviously, there is not enough time for the four essential nuclear partners to get NCAs through their Parliaments before March next year. But given that the Government have committed to an implementation period, we should be able to agree with Euratom that we remain a member of that organisation and therefore we will be able to continue to operate under its standards for that period.
ParlaMint-GB_2018-02-21-lords.u281	I am sorry to interrupt the noble Viscount’s flow, but does he remember that the Government voted down in the Commons an amendment which would have given him more time for a transition period on this issue? So the Government have turned their face away from allowing more time to a transition period to get things right. Whether one believes that the Government have taken the right course or not, they have committed themselves to do all this by 11 pm on 29 March next year. Does the noble Viscount accept that that is an impossible objective because at the moment the Government have not agreed to a transition period for the subject area?
ParlaMint-GB_2018-02-21-lords.u282	I am not familiar with the amendment which was voted down in the Commons. I believe it is perfectly possible for the UK to develop its own IAEA-accredited safeguards regime within the next few months, and I understand that a lot of work is being done on that already. I understand that Euratom’s treaties are mixed up with the EU treaties; therefore, is it not natural that, if there is an implementation period for putting into practice what comes afterward with the EU, the same will apply for Euratom?
ParlaMint-GB_2018-02-21-lords.u283	My Lords, I am also a signatory to this amendment, and I thank the noble Lord, Lord Hunt, for having brought it before the House today. There is another explanation about why this has happened. Soon after the referendum, I submitted a Written Question to the Government to ask whether it was intending to leave Euratom. The answer I got back, after a little bit of foreplay, was that the people of Britain voted to come out of the European Union. It was quite clear that the Government did not realise that Euratom was not part of the European Union. They had not even thought about it. That is the answer that came back. I had to go back and ask the question again, at which point the Government answered that they were still thinking about it. Indeed, during ministerial conversations, there was a full admission that we should be able to remain part of the Euratom organisation. However, at that point it was legally impossible, for some reason which I do not understand at all. Euratom has its own separate Article 50 system, Article 106a; it is an entirely separate treaty, which did not come together during the Maastricht process when the other treaties came together, partly because there was a concern that Austria and Germany, which were anti-nuclear nations at that time—Austria still very much is—would not agree for that treaty to be integrated into the rest of the system I think that the Government agree that it is a good organisation. Coming out of it will certainly cost taxpayers a lot more money in terms of safeguarding and, as the noble Lord, Lord Warner, said, we have a real problem regarding the timescale. As I understand it, it is the Government who are saying that they want Euratom standards. That is their position; it is not ours. It is one that I agree with but the Government’s position is that we need Euratom standards, not purely International Atomic Energy Agency standards. We have a very difficult timetable here.
ParlaMint-GB_2018-02-21-lords.u284	I agree entirely with what has been said already by the noble Lords, Lord Hunt, Lord Warner and Lord Teverson, so I shall try to reduce the length of my remarks. I am puzzled about why we are here, and why we are here today at all. As to why we are here, we do not have to leave Euratom when we leave the European Union. There is absolutely no evidence that Euratom has performed other than well. It may well be that the Court of Justice of the European Union is the shibboleth, because it is related to Euratom and has jurisdiction over it, and our Government feel that because there is that connection our membership can be no more. But there are no cases about Euratom in the European Court of Justice, so Euratom has operated incredibly well I am puzzled as to why we are here today because there is another Bill before Parliament, the Nuclear Safeguards Bill, and, as has already been said, the first Committee day on it is tomorrow. I had assumed that we would be able to debate these issues as part of that Bill. After a three or four-day negotiation with the Public Bill Office I had to accept that that was not the case—so here we are today discussing Euratom, but not in the Nuclear Safeguards Bill, which deals with the nuclear safeguards relating to the products dealt with by Euratom. Alice could not have invented this situation I drafted Amendment 221, which is part of this group. There is nothing particular about the new clause in that amendment; it tries to do the same as all the other amendments and new clauses now being debated. It is clear that medical nuclear and radionuclear devices and products are extremely important. They save lives. For example, in University College Hospital and the Royal Free Hospital in London—I cite them because I have witnessed the process in those hospitals—every day of the week consideration is given to using these products to save the lives of patients suffering from cancer. All the arrangements for bringing those products into the United Kingdom are carried out under the umbrella of Euratom. It was not absolutely necessary for that to be done under the umbrella of Euratom, but it is what has happened. The noble Lord, Lord Teverson, mentioned the European Observatory on the Supply of Medical Radioisotopes. That is the umbrella organisation that supervises all these arrangements The noble Lord, Lord Henley, has been extremely helpful. As I have said in other debates, I am the patron of the Society for Radiological Protection, which contains more than 2,000 professionals who are engaged in various activities, including the use and safety of radioisotopes in the health service. The noble Lord, Lord Henley, as Minister, has answered many questions and had the courtesy to see the two senior members of the Society for Radiological Protection last week. He very kindly produced for me a list of questions with the Government’s original commentary and their additional commentary. It contains some gems, such as: “We agree that continued engagement with ICRP”— that is the International Commission on Radiological Protection— “and IAEA will be important following UK exit from the EU and EURATOM” The trouble is that nothing has been done to ensure that that importance is translated into a process. The Government have said in one of these answers that they, “will seek to maintain close and effective cooperation with Euratom on nuclear safety. This should include future discussions concerning development of Article 34 policy and cooperative structures” Well, hope springs eternal. Nothing has been done about that. I was told that, “the Government is committed to ensuring that the UK regulatory regime covering radiation safety remains effective post-exit and can be updated in the future, including to take account of international best practice” Amen to that. Indeed, the Government are, “considering available options”—this year, next year. This is the flavour of the responses Then we have: “The UK Government is seeking a bold and ambitious Economic Partnership with the EU that is of greater scope and ambition than any such existing agreement” It is Euratom plus, plus. The document continues: “We want to have the greatest possible tariff- and barrier-free trade with our European neighbours” Noble Lords could have fooled me after the earlier debates this evening. It continues: “The Government’s ambition is to maintain as many of these benefits as possible through a close and effective association with Euratom in the future” I mark that tomorrow and tomorrow and tomorrow. So the document goes on “The Government is seeking a bold and ambitious Economic Partnership with the EU that is of greater scope and ambition than any such existing agreement. We want to have the greatest possible tariff- and barrier-free trade with our European neighbours” I mark that as to boldly go where none has been before. There is only a little more, but it is instructive. This is about standards: “HMG are working with BSI to ensure that our future relationship with the European Standards Organisations continues to support a productive, open and competitive business environment in the UK and for the continued benefit of UK patients” I mark that as “where angels fear to tread”. Finally: “There will be regulatory systems in place for both medicines and medical devices after the UK has left the EU” Then we come to the important part: “The future arrangements are a matter for the negotiations and it would not be appropriate to prejudge the outcome” That sounds a little bit like those kids’ films I used to see on Saturday mornings which ended with the words, “That’s all, folks”, but no real conclusion What has happened is that, despite the great attempts at co-operation by Ministers, we have absolutely no system in place, in draft or even in vision for the efficient importation and export of radiopharmaceutical products. We should not allow this legislation to go forward unless we know what plans the Government have, and unless we know that those plans have been discussed, negotiated and are the subject of agreement. Otherwise, there is only one option: let us stay in Euratom, which works very well.
ParlaMint-GB_2018-02-21-lords.u285	Could the noble Lord address the issue raised by the noble Lord, Lord Teverson, about the notice of withdrawal under Article 106a? As a distinguished lawyer, is he of the opinion that Her Majesty’s Government could withdraw that notice unilaterally, which could be an issue of some moment if the Minister who is open to persuasive arguments were to form the view that the right course for the Government now is simply to withdraw the notice of withdrawal and seek to stay in Euratom?
ParlaMint-GB_2018-02-21-lords.u286	If I could be allowed an ad majorem argument, I would recommend to noble Lords an article written on the Monckton Chambers website by the distinguished competition lawyer, George Peretz QC, which—as I understand it because I am not an expert on European law—provides the answer yes to the question put by the noble Lord, Lord Adonis.
