ParlaMint-GB_2018-07-17-commons.u1	1. What steps he is taking to support growth in the offshore wind sector.
ParlaMint-GB_2018-07-17-commons.u345	Will the hon. Gentleman give way?
ParlaMint-GB_2018-07-17-commons.u346	There is no time for me to give way. All I am asking with my simple amendment is that we have the power to know in advance when people ask for concessions. The Government should accept the amendment, because they claim that nobody is asking for any changes and that it is business as usual. If they deny the amendment, they will just be illustrating that, behind closed doors and under the cloak of darkness, we could see our protections and rights undermined.
ParlaMint-GB_2018-07-17-commons.u347	In speaking to the amendments on the transparency and scrutiny of free trade agreements, I ask the House to lift its eyes beyond the detailed scrutiny that will inevitably and necessarily take place in this House and consider whether we should not also be looking to join others not in the European Union but in free trade associations Pretty much every single country in the world is part of some kind of free trade association, whether a very close one or a much more loose-knit one—whether it is Mercosur in South America, the Common Market for Eastern and Southern Africa or the North American free trade agreement. I therefore ask the Government to look at the European Free Trade Association, which is not synonymous with the EEA or with Switzerland. If it will have us, as I very much hope it will, EFTA would provide the ideal vehicle for both the withdrawal agreement and the transition arrangement of 21 months, during which time we will be members of the EEA, and for the association agreement thereafter.
ParlaMint-GB_2018-07-17-commons.u348	The hon. Gentleman is fantastic in making the fundamental point that the rest of the world is in regional trade agreements. He is just about correct. Only five countries are not in regional trade agreements, which is what the UK is heading towards: East Timor, Somalia, South Sudan and, we think, Mauritania—
ParlaMint-GB_2018-07-17-commons.u349	Order. We do not have time for these long interventions. Short question, one sentence. Thank you.
ParlaMint-GB_2018-07-17-commons.u350	Does the hon. Member for Stafford (Jeremy Lefroy) think it is incumbent on the UK to think again about being in that company?
ParlaMint-GB_2018-07-17-commons.u351	Yes.
ParlaMint-GB_2018-07-17-commons.u352	Has the hon. Gentleman concluded his oration?
ParlaMint-GB_2018-07-17-commons.u353	indicated assent.
ParlaMint-GB_2018-07-17-commons.u354	Magnificent. We are very grateful to him.
ParlaMint-GB_2018-07-17-commons.u355	This group of amendments is about parliamentary scrutiny, and in a way it is a shame that some on this subject are in later groups. The key thing I want is to ensure that appointments to the Trade Remedies Authority are subject to confirmation by the International Trade Committee in the same way that the Treasury Committee has confirmation hearings on the Monetary Policy Committee and the Financial Policy Committee New clause 12 gives me a little tickle, a little laugh, because it says that Ministers will now come to report to the House when there are any significant differences in the free trade agreements we have as a member of the EU that will be rolled over. Apparently the agreements will be cut and pasted, and it was only at last year’s Conservative party conference that the Secretary of State for International Trade himself promised that, one second after midnight, all 40 agreements will be rolled over and available from March 2019. Well, it has not quite been going his way, because the Government have not got a single other jurisdiction to sign up legally to doing that.
ParlaMint-GB_2018-07-17-commons.u356	Greg Hands, you have three minutes.
ParlaMint-GB_2018-07-17-commons.u357	I welcome the return of the Bill to the House and, perhaps not surprisingly, I support the Government’s approach, having been the Minister responsible for the Bill until about three weeks ago. I commend the approach taken by my successor in moving a number of these issues forward, particularly in his discussions with my hon. Friend the Member for Huntingdon (Mr Djanogly) Parliamentary scrutiny is crucial for trade agreements, and we have seen the difficulties in recent years with trade agreements that have been insufficiently scrutinised, or where there was a feeling that there had been insufficient scrutiny—the Transatlantic Trade and Investment Partnership perhaps being the most important example. I very much welcome the Secretary of State’s proposals yesterday for the scrutiny of new trade agreements. Returning to where we started, it is vital to distinguish between the 40-plus existing EU trade agreements and what may happen for future agreements. No one should underestimate the importance of those EU agreements. With Japan being in scope, too, the volume of our trade that is done with countries for which there is an EU trade agreement—that is not the same as saying the volume of trade that is dependent on those agreements—rises to around 16%, which is an incredibly important part of our trade. As we know, none of these countries is in principle opposed to doing and rolling over these agreements. I have had productive talks with South Korea and South Africa, as I am sure my successor has. Various memorandums have been signed agreeing to transition these agreements. So I refer anybody who says that these countries have problems doing that to those agreements that were signed, for example, the one signed with the South African Trade Minister, Rob Davies I welcome the approach taken by my hon. Friend the Member for Huntingdon and his agreement that we are now satisfied with and have coalesced around new clauses 12, 13 and 14. We are always trying to get a balance between ensuring that any significant change to a trade agreement is scrutinised by Parliament and not creating a laborious and cumbersome procedure that would potentially jeopardise the future of one or more of those 40-plus agreements. I am delighted that we seem to have reached that agreement. I have visited businesses that are directly impacted by some of these agreements, including the Ford factory just outside Johannesburg, which is very dependent on the EU-South African Development Community agreement, in terms not just of taking components for vehicles from the UK to South Africa, but exporting finished vehicles to the EU. The business voice is very much saying that it wants these agreements to continue—that is business’s principal concern Finally, I wish to argue against new clauses 3 and 16, and other proposals that seek to legislate now for future trade agreements. It is only fair that we look at the proposals made by the Secretary of State yesterday in this House and do not prejudge them by passing legislation today, as it would have an impact on future trade agreements. We must make sure we listen to all voices, so that they are included in consideration of where we take future trade agreements.
ParlaMint-GB_2018-07-17-commons.u358	Order. I want to call the Minister to wind up at 3.25 pm, and I hope that the hon. Member for Bath (Wera Hobhouse) will take account of that.
ParlaMint-GB_2018-07-17-commons.u359	Thank you, Mr Speaker. This Bill would not be needed if we remained in the customs union. The Government are repeating, like an old record, that, “Leaving the EU will transform us into global Britain, striking trade deals around the world. While striking them, we just carry over existing deals.” How realistic is that? Outside the EU, Britain is a much less attractive trading partner. Businesses invest in Britain because we are an entry point to the European market and the single market. Is it reasonable to think that the UK can negotiate alone the same deals it can when part of a bloc of 28 countries? Although some countries have indicated they are prepared to copy and paste over existing deals, others will be watching and waiting, reserving judgment to see exactly what access the UK will have to the EU after Brexit. For that reason, we simply cannot accept that existing trade deals will be copied and pasted; significant changes will come along I am pleased that the Government have recognised that Parliament needs some say in the matter by tabling amendment 75 and accepting my amendment 4. However, the Government’s understanding of parliamentary democracy remains pretty poor. Amendment 75 allows MPs to approve, by affirmative statutory instrument, any changes in the law required by one of these continuity deals. It is a take-it-or-leave-it vote. It is not amendable and it is not meaningful. That is why the Government need to meet the concern raised in new clause 3, which stands in the name of the hon. Member for Brighton, Pavilion (Caroline Lucas) and which I support. People voted leave for different reasons, but nobody voted to make themselves poorer, to lose their job or to have food and product safety standards thrown out the back door With your permission, Mr Speaker, let me just say something about new clause 2, which is in the final group. The Government must be honest about the impact of any trade deals they sign and Parliament must be able to scrutinise this. The Tory leavers say, “Brexit is the will of the people”, but the Tories are in disarray, trying to work out among themselves what the will of the people actually is. As the chaos and confusion grows, it is time that more Members, on both sides of the House, joined the Liberal Democrats in supporting a people’s vote on the deal. We need to be honest with our constituents about the economic realities of Brexit and then give the people a final say on the deal.
ParlaMint-GB_2018-07-17-commons.u360	I shall try to be brief, Mr Speaker. I thank the Opposition spokesman for his remarks, but I am going to limit my comments in return to saying that I am very disappointed that Labour Front Benchers could not welcome what is undeniably a good and robust scrutiny arrangement. We have hugely improved the position. The House will now have adequate and deep opportunity to challenge the Government’s proposals on any transitioned free trade agreement, and I just think it was a shame they could not say so The hon. Member for Brighton, Pavilion (Caroline Lucas) knows very well that this Bill is about the continuity of existing arrangements. The Secretary of State yesterday set out our approach to new trade arrangements in the House, with plans for extensive public consultation, continuous parliamentary engagement and the setting up of the strategic trade advisory group, and clear plans for engagement with the devolved authorities, civil sector and civil society more generally My hon. Friend the Member for Huntingdon (Mr Djanogly) asked several questions. I very much welcome his comments on our discussions and the fact that he is prepared to accept our amendments today. I can confirm that not all transitioned agreements will need clause 2 powers to implement changes. I can further confirm that it is not the intention to use powers in clause 2 to implement a transitioned free trade agreement more than once, although of course these will need to remain operable over time. In relation to the clause 2 power, “exceptional” is modelled on the Constitutional Reform and Governance Act 2010 process. The threshold is high and the flexibility provided is simply a matter of prudence. Finally, he asked for reassurance about powers in the European Union (Withdrawal) Act 2018. That Act allows regulations to be made that deal with matters arising from the UK’s exit from the European Union. The implementation of or transition to free trade agreements is not such a matter, so we cannot use that Act for the purpose of implementing a free trade agreement The hon. Member for Dundee East (Stewart Hosie) will know only too well that the Bill is about continuity: it is about not our future arrangements but our current arrangements. Yesterday, the Secretary of State comprehensively laid out our plans. We are committed to working with the devolved Administrations on our approach to the implementation of trade agreements that are signed after we have exited the EU, and they will also have a role in shaping the UK’s future trade negotiations. The Department held a successful deep dive on trade with devolved authorities in March 2018. A major outcome of that was the joint agreement on a regularised senior officials meeting, to take place every six weeks between the Department and the devolved authorities. A detailed rolling programme of policy and market-focused roundtables will take place over the rest of 2018. Beyond that, the hon. Gentleman has the reassurances that the Secretary of State gave yesterday on the devolved authorities’ participation. I hope that that at least gives him confidence that the Government are serious about their wish to negotiate with devolved authorities.
ParlaMint-GB_2018-07-17-commons.u361	Will the Minister give way?
ParlaMint-GB_2018-07-17-commons.u362	No, I am afraid I will not Finally, I thank my right hon. Friend the Member for Chelsea and Fulham (Greg Hands); my hon. Friends the Members for Chichester (Gillian Keegan) and for Gloucester (Richard Graham); and the hon. Members for Swansea West (Geraint Davies), for Nottingham East (Mr Leslie) and for Bath (Wera Hobhouse) for their contributions to the debate Question put and agreed to. New clause 12 accordingly read a Second time, and added to the Bill. New Clause 13 Reporting requirement not to apply in exceptional cases “(1) Section (Report on proposed free trade agreement) does not apply to a free trade agreement if a Minister of the Crown is of the opinion that, exceptionally, the agreement needs to be ratified without laying before Parliament a report which meets the requirements of subsection (3) of that section (2) If a Minister determines that a free trade agreement is to be ratified without laying before Parliament a report which meets the requirements of section (Report on proposed free trade agreement)(3), the Minister must, as soon as practicable after the agreement is ratified, lay before Parliament— (a) a report which meets those requirements, and (b) a statement indicating that the Minister is of the opinion mentioned in subsection (1) and explaining why.”—(George Hollingbery.) See Member’s explanatory statement for NC12. Brought up, read the First and Second time, and added to the Bill. New Clause 14 Report to be laid with regulations under section 2(1) “(1) This section applies where a Minister of the Crown proposes to make regulations under section 2(1) for the purpose of implementing a free trade agreement to which the United Kingdom and another signatory (or other signatories) are signatories (2) A draft of the statutory instrument containing the regulations may not be laid before Parliament unless, at least 10 Commons sitting days before the draft is laid, a Minister of the Crown has laid before Parliament a report which gives details of, and explains the reasons for, any significant differences between— (a) the trade-related provisions of the free trade agreement to which the United Kingdom and the other signatory (or other signatories) are signatories, and (b) the trade-related provisions of the existing free trade agreement (3) Subsection (2) does not apply if, at least 10 Commons sitting days before a draft of the statutory instrument containing the regulations is laid, a report in relation to the agreement has been laid before Parliament under section (Report on proposed free trade agreement)(3) (4) In this section— ‘Commons sitting day’ means a day on which the House of Commons begins to sit; ‘the existing free trade agreement’ means the free trade agreement to which the European Union and the other signatory (or other signatories)— (a) were signatories immediately before exit day, or (b) where the report is laid before Parliament before exit day, are signatories on the day the report is laid before Parliament; the ‘trade-related provisions’ of a free trade agreement are the provisions of the agreement that mainly relate to trade.”—(George Hollingbery.) This new clause requires a Minister to lay a report before Parliament at least 10 Commons sitting days before regulations implementing a new free trade agreement are laid in draft under clause 2(1). The report is required to explain any significant differences between the new agreement and the existing agreement with the EU. The duty to lay a report does not apply if a report on the agreement has already been laid under NC12. Brought up, read the First and Second time, and added to the Bill. New Clause 3 Free trade agreements: Parliamentary scrutiny and consent “(1) The Secretary of State shall not commence negotiations relating to a free trade agreement unless— (a) a Minister of the Crown has laid before Parliament a sustainability impact assessment conducted by a credible body independent of government following consultation with— (i) each devolved authority, (ii) public bodies, businesses, trade unions and non-governmental organisations which, in the opinion of the Minister, have a relevant interest, and (iii) the public, and the assessment shall include both qualitative and quantitative assessments of the potential impacts of the proposed trade agreement, including social, economic, environmental, gender, human rights, labour, development and regional impacts, (b) a Minister of the Crown has laid before Parliament a draft of a negotiating mandate relating to the proposed trade agreement, setting out— (i) all fields and sectors to be included in the proposed negotiations, (ii) the principles to underpin the proposed negotiations, (iii) any limits on the proposed negotiations, and (iv) the desired outcomes from the proposed negotiations, and (c) the House of Commons has approved by resolution a motion, drafted in terms which permit amendment, setting out a proposed negotiating mandate and authorising the Secretary of State to enter negotiations on the proposed trade agreement on the basis of that mandate, and the House of Lords has approved a resolution in the same terms as that approved by the House of Commons (2) The United Kingdom may not become a signatory to a free trade agreement unless— (a) during the course of the negotiations, the text of the trade agreement as so far agreed or consolidated has been made publicly available within ten working days of the close of each negotiating round, (b) between each round of negotiations, all documents relating to the negotiations have been made available for scrutiny by select committees in both Houses of Parliament, (c) upon conclusion of the negotiations, the House of Commons has approved by resolution a motion, drafted in terms which permit amendment, setting out the text of the trade agreement as negotiated and authorising the Secretary of State to sign the proposed agreement, and the House of Lords has approved a resolution in the same terms as that approved by the House of Commons, and (d) the text of the trade agreement includes provision for a review of the operation and impacts of the agreement no later than ten years after the day on which the agreement comes into force.”—(Caroline Lucas.) This new clause would ensure that all new free trade agreements are subject to parliamentary scrutiny and consent. Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2018-07-17-commons.u363	On a point of order, Mr Speaker. There is a great deal of concern across Parliament about the mysterious disappearance of the right hon. Member for Twickenham (Sir Vince Cable). He has been missing since last night. This morning, he was texting about being the only person really fighting Brexit. I just wonder if you and the parliamentary authorities could ascertain his whereabouts and whether he is indeed safe, and report back to me and all those people who are so concerned.
ParlaMint-GB_2018-07-17-commons.u364	I would not want to take upon my shoulders such a major responsibility. I must advise the hon. Gentleman that I wish all the best to the right hon. Member for Twickenham (Sir Vince Cable). I have no reason to be perturbed on his account. I am not aware that he is indisposed, and I very much hope that he is not. The right hon. Member for Carshalton and Wallington (Tom Brake) is beaming in a mildly eccentric manner from a sedentary position.
ParlaMint-GB_2018-07-17-commons.u365	Further to that point of order, Mr Speaker. Thank you for letting me raise this. On the same subject, have you had any concerns raised with you about the absence of the Leader of the Opposition in relation to fighting against Brexit for the past two years? Has anyone shared any concerns that they may have on that score?
ParlaMint-GB_2018-07-17-commons.u366	I am not concerned unduly about either matter. They do not fall within the auspices of the Chair, but the point has been made by each right hon. and hon. Member, and I trust that we can leave it there Schedule 2 Regulations under Part 1 Amendments made: 4, page 12, line 5, leave out “or 2(1)” Amendment 71, page 12, line 7, leave out “or 2(1)” This amendment is consequential on Amendment 75. Amendment 72, page 12, line 11, leave out “or 2(1)” This amendment is consequential on Amendment 75. Amendment 73, page 12, line 13, leave out “or 2(1)” This amendment is consequential on Amendment 75. Amendment 74, page 12, line 20, leave out “or 2(1)” This amendment is consequential on Amendment 75. Amendment 75, page 13, line 30, at end insert— Part 2A Scrutiny of regulations under section 2(1) Scrutiny of regulations made by Minister of the Crown or devolved authority acting alone “3A (1) A statutory instrument containing regulations of a Minister of the Crown under section 2(1) may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, each House of Parliament (2) Regulations of the Scottish Ministers under section 2(1) are subject to the affirmative procedure (see section 29 of the Interpretation and Legislative Reform (Scotland) Act 2010 (asp 10)). (3) A statutory instrument containing regulations of the Welsh Ministers under section 2(1) may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, the National Assembly for Wales (4) Regulations of a Northern Ireland department under section 2(1) may not be made unless a draft of the regulations has been laid before, and approved by a resolution of, the Northern Ireland Assembly (5) This paragraph does not apply to regulations to which paragraph 3B applies Scrutiny of regulations made by Minister of the Crown and devolved authority acting jointly 3B (1) This paragraph applies to regulations of a Minister of the Crown acting jointly with a devolved authority under section 2(1) (2) The procedure provided for by sub-paragraph (3) applies in relation to regulations to which this paragraph applies as well as any other procedure provided for by this paragraph which is applicable in relation to the regulations concerned (3) A statutory instrument which contains regulations to which this paragraph applies may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, each House of Parliament (4) Regulations to which this paragraph applies which are made jointly with the Scottish Ministers are subject to the affirmative procedure (5) Section 29 of the Interpretation and Legislative Reform (Scotland) Act 2010 (asp 10) (affirmative procedure) applies in relation to regulations to which sub-paragraph (4) applies as it applies in relation to devolved subordinate legislation (within the meaning of Part 2 of that Act) which is subject to the affirmative procedure (but as if references to a Scottish statutory instrument were references to a statutory instrument) (6) Section 32 of the Interpretation and Legislative Reform (Scotland) Act 2010 (laying) applies in relation to the laying before the Scottish Parliament of a statutory instrument containing regulations to which sub-paragraph (4) applies as it applies in relation to the laying before the Scottish Parliament of a Scottish statutory instrument (within the meaning of Part 2 of that Act) (7) A statutory instrument containing regulations to which this paragraph applies which are made jointly with the Welsh Ministers may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, the National Assembly for Wales (8) Regulations to which this paragraph applies which are made jointly with a Northern Ireland department may not be made unless a draft of the regulations has been laid before, and approved by a resolution of, the Northern Ireland Assembly.” —(George Hollingbery.) This amendment provides for regulations under clause 2(1) of the Bill (implementing international trade agreements) to be subject to the affirmative procedure in Parliament when made by a Minister of the Crown, and in the relevant devolved legislature when made by a devolved authority. Where the regulations are made jointly by a Minister and a devolved authority (by virtue of paragraph 5 of Schedule 1) they are required to be approved in draft by both Parliament and the devolved legislature in question. New Clause 4 Convention about Parliament legislating on devolved matters “(1) Regulations made under section 1(1) by a Minister of the Crown, may not normally make provision which would be within the devolved competence of a devolved authority unless— (a) so far as they contain provision which would be within the devolved competence of the Scottish Ministers (within the meaning given in paragraph 7 of Schedule 1), the Scottish Ministers consent, or (b) so far as they contain provision which would be within the devolved competence of the Welsh Ministers (within the meaning given in paragraph 8 of Schedule 1), the Welsh Ministers consent, or (c) so far as they contain provision which would be within the devolved competence of a Northern Ireland department (within the meaning of paragraph 9 of Schedule 1), unless the Northern Ireland department has given consent (2) Regulations made under section 2(1) by a Minister of the Crown, may not normally make provision which would be within the devolved competence of a devolved authority unless— (a) so far as they contain provision which would be within the devolved competence of the Scottish Ministers (within the meaning given in paragraph 7 of Schedule 1), the Scottish Ministers consent, or (b) so far as they contain provision which would be within the devolved competence of the Welsh Ministers (within the meaning given in paragraph 8 of Schedule 1), the Welsh Ministers consent, or (c) so far as they contain provision which would be within the devolved competence of a Northern Ireland department (within the meaning given in paragraph 9 of Schedule 1), unless the Northern Ireland department has given consent (3) This paragraph does not apply to regulations made by the Secretary of State under— (a) section 35 or 58 of the Scotland Act 1998 (as amended), (b) section 82 or 114 of the Government of Wales Act 2006 (as amended), or (c) section 25 or 26 of the Northern Ireland Act 1998 (as amended).”—(Barry Gardiner.) This new clause would ensure that regulations made by a Minister of the Crown within devolved competence require the consent of Ministers in devolved authorities in accordance with the convention about Parliament legislating on devolved matters while making clear that this does not alter the current powers of Ministers of the Crown in respect of international agreements. Brought up, and read the First time.
ParlaMint-GB_2018-07-17-commons.u367	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2018-07-17-commons.u368	With this it will be convenient to discuss the following: New clause 21—Right of devolved authorities to appoint negotiators— “(1) Each devolved authority shall have the right to appoint one member of any delegation tasked with negotiating an agreement with another state on behalf of the UK if that agreement falls within section 2(2) (2) A devolved authority shall not make an appointment under subsection (1) unless the person appointed is reasonably competent to carry out the role of a trade negotiator.” This new clause would permit the devolved authorities to each appoint one member of any negotiating delegation and would ensure that the person appointed is competent to carry out the role. Amendment 25, in clause 1, page 1, line 15, at end insert— “(1A) No regulations may be made under this subsection by a Minister of the Crown, so far as they contain provision which would be within the devolved competence of the Scottish Ministers (within the meaning given in paragraph 7 of Schedule 1), unless the Scottish Ministers consent (1B) No regulations may be made under this subsection by a Minister of the Crown, so far as they contain provision which would be within the devolved competence of the Welsh Ministers (within the meaning given in paragraph 8 of Schedule 1), unless the Welsh Ministers consent.” This amendment and Amendment 26 seek to ensure that regulations cannot be made without consent from devolved Ministers. Amendment 26, in clause 2, page 2, line 40, at end insert— “(7A) No regulations may be made under subsection (1) by a Minister of the Crown, so far as they contain provision which would be within the devolved competence of the Scottish Ministers (within the meaning given in paragraph 7 of Schedule 1), unless the Scottish Ministers consent (7B) No regulations may be made under subsection (1) by a Minister of the Crown, so far as they contain provision which would be within the devolved competence of the Welsh Ministers (within the meaning given in paragraph 8 of Schedule 1), unless the Welsh Ministers consent.” See explanatory statement for Amendment 25. Amendment 27, in clause 2, page 3, line 3, at end insert— “(10) No regulations may be made under subsection (8)(b) unless the Secretary of State has consulted with the Scottish Ministers and the Welsh Ministers.” This amendment would require the Secretary of State to consult with Scottish Ministers and Welsh Ministers before deciding whether or how to prolong the period during which implementing powers can be used. Government amendments 49, 50 and 61 to 63 Amendment 28, in schedule 1, page 7, line 24, at end insert— “(4) This paragraph does not apply to regulations made under section 1(1) or 2(1) by the Scottish Ministers or the Welsh Ministers.” This amendment would remove the constraints on Scottish and Welsh Ministers in making regulations under this Act which modify retained EU law. Government amendments 64 to 67 Amendment 29, in schedule 1, page 8, line 5, at end insert— “(4) This paragraph does not apply to regulations made under section 1(1) or 2(1) by the Scottish Ministers or the Welsh Ministers Requirement for consultation in certain circumstances 3A (1) No regulations may be made by the Scottish Ministers or the Welsh Ministers acting alone under section 1(1) or 2(1) so far as the regulations are to come into force before exit day unless the regulations are, to that extent, made after consulting with a Minister of the Crown (2) No regulations may be made by the Scottish Ministers or the Welsh Ministers acting alone under section 2(1) so far as the regulations make provision about any quota arrangements or are incompatible with any such arrangements unless the regulations are, to that extent, made after consulting with a Minister of the Crown (3) In sub-paragraph (2) ‘quota arrangements’ has the same meaning as in paragraph 3.” This amendment would follow amendments made to the EU (Withdrawal) Bill to replace a requirement to seek the consent of the UK Ministers before making regulations to be commenced before exit day, or regulations making provision about quota arrangements, with a requirement to consult. Government amendments 68, 69 and 76 to 78.
ParlaMint-GB_2018-07-17-commons.u369	I rise to speak to new clause 4, which stands in my name and those of my right hon. and hon. Friends. The extent to which the Bill encroaches on matters of devolved competence and undermines the power of devolved authorities is of particular concern. I am proud that it was a Labour Government who delivered the devolution settlements. They were established with a presumption of full devolution, except in matters considered reserved to the Government of the United Kingdom. Indeed, amendments to devolution legislation contained in the Scotland Act 2016 and the Wales Act 2017 specifically put that presumption on to a legislative footing, stipulating that Ministers would not legislate on matters that fell within devolved competence without “normally” seeking the consent of the appropriate devolved Government. However, the Bill seeks to do exactly that The Public Bill Committee heard in great detail the serious consequences the Bill would have for the United Kingdom and each of the devolved nations and their respective Administrations.
ParlaMint-GB_2018-07-17-commons.u370	Will the hon. Gentleman give way?
ParlaMint-GB_2018-07-17-commons.u371	A little later Certainly, my good friend the shadow Secretary of State for Scotland has impressed on me the deficiencies of the Government’s approach, and it is with her strong advice that I have sought, in consultation with the shadow Secretaries of State for Wales and Northern Ireland, to propose a strong new clause that absolutely and even-handedly respects the devolution settlements and the Sewel convention.
ParlaMint-GB_2018-07-17-commons.u372	Will the hon. Gentleman give way?
ParlaMint-GB_2018-07-17-commons.u373	Once I have explained a little bit about what new clause 4 would do, I will happily give way to the hon. Gentleman The provisions in clauses 1 and 2, taken with the Government’s latest amendment 34, would allow the Government in Westminster to use Henry VIII powers to modify primary legislation or retain direct EU legislation in areas of devolved competence, such as procurement, agriculture and food standards, without the consent of the relevant devolved authority—even without any consultation. That goes far beyond the convention of not “normally” legislating in matters of devolved competence without such consent Just as the Government have erred on one side by proposing in the Bill a disrespectful power grab downwards into areas of devolved competence, so the Scottish National party, in seeking to amend the Bill, have erred in the other direction by failing to respect the boundaries of the devolution settlement and seeking a power of veto and co-decision making in matters that were always reserved to the United Kingdom sovereign Parliament. We must be clear that international trade is a matter of exclusive competence of the UK Government. At no stage has any devolved authority had any competence in respect of matters of international trade, but I will deal with the Government’s amendments first Modern trade agreements are so complex and so extensive that there are areas where matters of trade competence do cross over into matters that would otherwise be devolved competence: food standards, animal welfare standards, access to fishing waters, determination of regulatory and oversight bodies, and so on. All these are the substance of international trade agreements, and where such agreements have been negotiated, a devolved authority is entirely right to consider that its consent must be sought prior to regulations to implement the agreement on such matters being made in accordance with the powers in the Bill That the Bill allows for Ministers to act in contravention of that convention and without seeking consent from or even consulting the relevant devolved authority is precisely why neither the Welsh nor the Scottish Government have agreed to give the Bill their legislative consent. That is why Labour said in Committee that it would table an amendment to require the convention to be observed, while ensuring that no power of veto was afforded to a devolved Government on matters that were the exclusive competence of Her Majesty’s Government.
ParlaMint-GB_2018-07-17-commons.u374	Will the hon. Gentleman give way?
ParlaMint-GB_2018-07-17-commons.u375	I am just about at the point where I will Our new clause 4 would achieve this by setting out that normally the Government must seek the consent of the devolved Governments before making such regulations, ensuring that the convention is protected in the Bill, while similarly allowing the Government to use existing powers where a devolved Government act or—importantly—fail to act in such a way that ensures the UK is in compliance with its legally binding obligations arising from an international trade agreement.
ParlaMint-GB_2018-07-17-commons.u376	The hon. Gentleman is getting this completely wrong. The Scottish Government do not want a veto; the Scottish National party does not want a veto. We recognise that trade is a reserved matter. Our amendments simply say that Scottish Ministers should be consulted, or their consent sought, when UK policy intersects with devolved policy. This is not a veto on a reserved matter. It is common sense. It is equality—it is parity—in respect of implications for devolved matters. Labour Members should go back to the drawing board, because they are simply getting it wrong.
ParlaMint-GB_2018-07-17-commons.u377	I note the hon. Gentleman’s objections. We clearly have a different view of the nature of the devolution settlement. I will try to take his amendments in turn and explain to him precisely why I believe that he is mistaken Let us imagine circumstances in which a devolved Administration simply failed to introduce implementing regulation to an aspect of a trade treaty that that Administration did not like. It would be the UK Government, not the devolved Administration, who were held to be in breach and subject to any penalties that might be imposed. That is why the relevant devolution Acts provide that—not “normally”, but in such exceptional circumstances—the UK could implement such regulations without consent to ensure that the UK complied with its international obligations Of course, other amendments have been tabled on these issues. New clause 20, tabled by SNP Members, calls for the devolved authorities to have a right to vote on whether Her Majesty’s Government may exercise what is currently the Government’s exclusive competence to begin trade talks. Our new clause states that negotiating mandates should be formulated transparently and with formal engagement with key stakeholders, including the devolved authorities. However, a right of veto on whether trade talks can begin is a power that no legislature in the country—including the House of Commons—currently has, and it would constitute a substantial new power for the devolved authorities.
ParlaMint-GB_2018-07-17-commons.u378	My hon. Friend’s definition of a veto seems to be disputed by the Scottish National party. Does he agree that, in terms of initiating as well as ratifying any trade negotiations, if the Scottish Parliament withholds its consent, that is, in effect, a veto?
ParlaMint-GB_2018-07-17-commons.u379	My hon. Friend has put it very succinctly, and he is absolutely correct. That is why the SNP’s new clause 20 does not respect the devolution agreements; nor is it about ensuring that devolved authorities have a say. If that were the case, I would have expected SNP Members to support the amendment that we tabled in Committee, which called for the Joint Ministerial Committee to be convened to consult on the implementation of regulations under the Bill and on negotiations on future trade agreements. Indeed, our new amendment 19 would ensure that such consultation frameworks are established Similarly, in new clause 21, the SNP has sought to ensure that each devolved authority takes aspects of trade competence from Her Majesty’s Government and to provide for devolved authorities to have their own appointed trade negotiators at trade talks. Our new clause 4 could does not support that, because it could ultimately lead to several trade negotiators’ working against each other to secure the best terms only for their respective territories. Such a bunfight at the negotiating table would allow negotiating partners to play our own negotiators off against each other We believe that trade deals must ensure that benefits are delivered across the United Kingdom and that a whole UK approach must be taken to negotiations. That is why we have called for advanced consultation to ensure full and proper representation in those negotiations. It is also why we would have been happy to support new clause 22 had it been put to the vote. It sought to ensure transparency on trade talks, and it would have afforded a right to the devolved Parliaments to scrutinise all aspects of a trade agreement and related correspondence or documents as they so required Our new clause 4 would absolutely guarantee the right of consent to devolved Administrations whenever a Government sought to implement regulations to carry out their obligations under international treaties. What it would not do is give the devolved Administrations a power of veto over the ratification of international treaties, the negotiation of which is a matter for the Westminster Government. SNP Members would seek to secure the ultimate power of veto that has thus far eluded them in other amendments and that they have been very clear about seeking.
ParlaMint-GB_2018-07-17-commons.u380	Will the hon. Gentleman give way?
