ParlaMint-GB_2018-11-01-commons.u1	1. What steps he is taking to support tourism throughout the UK.
ParlaMint-GB_2018-11-01-commons.u422	It is a pleasure to speak in this debate and to highlight the measures in the Budget that will be most welcomed by my constituents Many of my constituents will be thrilled by the increase in the personal allowance threshold, the higher rate threshold and the national living wage. I never tire of reminding people that I am a low-tax Conservative, and any Budget that gives 32 million people a tax break certainly gets my vote. Despite the mocking of Opposition Members, the funding for potholes is something that many of my constituents have been asking for repeatedly. The damage and cost to vehicles and the environment are enormous, and if they are not fixed soon, that will only decrease road safety and cost the Government and the taxpayer so much more later. It is right that we are spending that money Another issue that I must take the opportunity to highlight is crime and policing. My constituents want to see more money spent in this area, because our families and communities want to feel safe. I am glad the Chancellor referenced that in his speech, and I know that residents across Essex will be awaiting a very generous review of the police funding settlement this December I strongly welcome the extra £500 million for the housing infrastructure fund, so that councils can deliver 650,000 more homes. I am pleased that Chelmsford City Council is already shortlisted to receive a £5.7 million investment, to help with the Beaulieu station and north-east bypass projects, which are expected to deliver £250 million to the local economy and support more than 3,500 jobs. I pay tribute to the hard work of my hon. Friend the Member for Chelmsford (Vicky Ford). We have been working together to promote those schemes, to the mutual benefit of our constituents. I also look forward to helping Uttlesford District Council in its bid for housing capacity funding to help deliver the infrastructure we need to provide for three new garden communities in the coming years Last year’s abolition of stamp duty on homes up to £300,000 has led to an 11-year high in the number of first-time buyers, with over 120,000 people being helped by this measure. I welcome the fact that stamp duty is now also being abolished for first-time buyers of shared ownership, because that was the type of property that helped me on to the housing ladder. I would not have what I have today without having had a shared ownership property, and I am glad that this option is being extended to even more people. I am also glad this will be backdated to cover those who have purchased shared ownership properties since last year’s Budget. I also welcome the fact that Help to Buy is being extended by two years, up to 2023, which will help so many more young people to own their own home. As well as helping people to get on the housing ladder, this change will diversify home ownership. So many of our towns and villages will become retirement homes without an influx of younger people bringing their skills and talents to our area, and these measures are to be welcomed This year, like last year, I joined my right hon. Friend the Member for Harlow (Robert Halfon) to lobby for fuel duty to be frozen. I congratulate him on his tireless campaigning on this issue, and the Chancellor on agreeing to our request. In the Chancellor’s own words, freezing fuel duty again will have “saved the average car driver £850 and the average van driver over £2,100.” This is important because it affects not just motorists but their families, and continuing the freeze will help to keep their bills and their overall cost of living low Finally, I welcome the digital services tax and the way the Chancellor has chosen to implement it. A constituent who runs an online business visited me at my surgery with concerns about an online sales tax for small business trading. He felt that an online sales tax for small businesses could be very damaging for him and his family, and he was worried that start-ups run by couples from the homes where they live and work would be affected. Small businesses such as PVC Tube Online in Great Dunmow drive our local economies, and their owners face risk and uncertainty to grow their companies and to provide a better tomorrow for their families. I am therefore delighted that this digital services tax will target only the world’s wealthiest companies with global revenues of at least £500 million. The revenues raised will be money available to spend on our public services, so that families across the country can see more investment in their communities. Addressing the huge profits that the biggest companies make through their activity in the UK recognises the changing nature of the digital economy and the issues that accompany that, and this tax is a stepping stone to addressing those issues properly This Government are looking to the future and at how we can solve the problems of the 21st century. This is a forward-looking Budget, and I will be voting for it later today.
ParlaMint-GB_2018-11-01-commons.u423	I want to develop a point that was made by the right hon. and learned Member for Rushcliffe (Mr Clarke), who said that for many people the Budget was actually a pleasant surprise—it has promised them tax cuts and spending increases—but that in doing so the Chancellor is taking a big risk with an economy that is not particularly strong. It is not particularly strong because, as the Treasury forecast shows, the growth rate looking forward is abysmal—it is about 1.5%, which is one of the worst in the developed world—and that is quite apart from the poor growth at the moment The growth rate is also based on a fundamentally optimistic assumption. Quite apart from the lag on growth caused by Brexit at the moment, the assumption in the Treasury forecast is that the Government will land a deal, and not just a deal but a good deal, with a smooth transition to a trading arrangement not greatly different from the present. Well, it might happen—pigs might fly—but it is optimistic and, if that expectation is not realised, the economy has very little resilience. We have very high public debt, as the Government acknowledged. The domestic savings ratio is appalling—I think it is the worst in the developed world and is now negative. The corporate sector is heavily leveraged, as Governor Carney pointed out the other day. All of this is reflected in the current account deficit, forecast to be 4% of GDP, which is one of the worst in the developed world. If something goes wrong, there is no longer an inflow of capital and the exchange rate falls; we have had a devaluation of 17% since the referendum and we will have another one The main criticism I have of the Budget is that it may have seemed comforting, but the Chancellor did not actually confront the real issue that we have to face: how do we have a mature debate about how to end austerity? That is going to involve people paying more tax, and the issue is how we do it, and how we do it in the fairest and most efficient way. As the hon. Member for Sheffield South East (Mr Betts) has pointed out, we have not really got to the end of austerity, or even to the beginning of the end of it For most parts of public spending, there is a continued squeeze. That is true of schools. We did partially protect them under the coalition, but that is no longer happening. Colleges, which are necessary to deliver the Government’s training and apprenticeships, have been cut to pieces. Local government is potentially in an appalling situation. That means a squeeze on social care, which means that the money going to the health service will be wasted because it will have to accommodate lots of elderly people who should be at home. Bankrupt councils, many of them Tory county councils, will be forced to raise council tax, so we will get a tax increase, but it will be a tax increase by stealth, rather than by confronting the matter openly.
ParlaMint-GB_2018-11-01-commons.u424	On the schools point, does my right hon. Friend agree that the wording the Chancellor used in relation to money for the “little extras” was insulting to teachers, who, day in and day out, find that they have to reach into their own pockets to deliver the basics in schools?
ParlaMint-GB_2018-11-01-commons.u425	My hon. Friend is absolutely right. I am amazed that the Chancellor is not even aware of this. Many mainstream schools have seen cuts in teaching assistants, teachers, curriculums and so on. This will be compounded because there is nothing in the spending envelope that offers any hope that the problem is going to be dealt with That leads on to the question about how tax should be raised. The Government have offered tax cuts in the form of lifting the tax threshold for low earners and for middle earners. In principle, lifting the tax threshold is an attractive policy. I like to think that I was the author of the one we introduced in government. It was strongly resisted by the Conservatives at the time, but they have subsequently adopted it and claimed credit for it. The attraction was not just that poorer people pay less tax, but that the marginal rate of tax is removed when they move out of the welfare system, which encourages work In an ideal world, everybody should have a tax cut, but there is an issue about priorities here. Extending the tax cut to the upper threshold is, frankly, something that the country simply cannot afford. At a time when universal credit is being only partially financed following the cuts made by the Osborne Budget three years ago—only about half of that cut has been reinserted—that should be the priority. It is absolutely wrong that priority has been given to lifting the upper tax threshold. Because the two proposals are amalgamated in the Budget statement, I and my Lib Dem colleagues—and, I hope, others—will vote against this Beyond that, what this country now needs above all is a mature, grown-up debate about how the end of austerity will be managed. It is going to involve higher taxes for almost everybody—obviously, mostly at the top end, but there is going to have to be a general increase in taxation. I am afraid that the Chancellor’s pretence that we can have our cake and eat it is not realistic. It will rebound on him and on the Government.
ParlaMint-GB_2018-11-01-commons.u426	The test of any Budget is: does it take us closer to where we want to get to in 10 years’ time? It seems to me that one of the most important things to do over the next few years, and one of the dreams that so many Conservative Members have had for so many years, is the dream of a balanced budget. Once again, this appears to be a little bit like the apple of Tantalus. I am concerned about that because I believe, as the fiscal conservative I have always been, that we need to head towards a balanced budget Achieving a balanced budget has been delayed, but I am glad that we are still heading in that direction. The OBR says of the Budget policy decisions: “Taken together they turn the £3.5 billion surplus…forecast for 2023-24 into a £19.8 billion deficit.” It also says of the balanced budget objective: “Had there been no fiscal loosening in the Budget, the objective would have been achieved in 2023-24.” As it is, achieving that objective by 2025-26, it says, “looks challenging”. That is still an important aim. We must bear in mind that debt interest payments each year are about £52 billion and measures in the Budget will increase those payments by about £1 billion in future years. Opposition Members argue for ever more increases in spending, but I argue that it is better to ensure restraint, continue on our current track and aim for a balanced budget sooner rather than later We must also think about the kind of country we want to build. We want to build an enterprise powerhouse and a country that supports enterprise, small businesses and the self-employed. That is why it is important to make things easier for small business people and not to sandbag the self-employed with extra taxes and regulations, instead supporting them and ensuring that their enterprise is backed We must be the party of home ownership. Home ownership matters. As I said in an intervention, since about 2001, home ownership among people aged 16 to 34 has halved. We need to increase it. Meanwhile, the number of those renting has gone from about 10% to 20%. We must offer our young people better than a life of renting, and give them the chance to get on the home ownership ladder and build up a stock of wealth in a lower-tax country that ensures that hard work is rewarded.
ParlaMint-GB_2018-11-01-commons.u427	Does my hon. Friend recognise that the recent reduction in corporation tax oxymoronically produced more tax in the coffers? It is worth reducing the tax.
ParlaMint-GB_2018-11-01-commons.u428	My hon. Friend is right: if we cut the rate we up the take. We must support small businesses most of all because, since about 2000, small enterprises and businesses have created 4 million new business jobs. Big business has created just 800,000 jobs, so small businesses are the enterprisers and job creators that take our country forward and turbocharge our economy If we are to have more public spending, it is important to ensure we have public service reform. We must look at how public services are delivered and ask ourselves whether they can be delivered more efficiently. Are there activities that Government should do more of? Are there activities they should do less of? Why do we not have, alongside the Office for Budget Responsibility, an office of spending responsibility, or even a Budget committee so that the House can consider such matters and press individual Departments to embrace reform and fiscal rectitude We also need higher investment. It is all very well having a culture in which we get lots of people with low skills to do low-value-added jobs that lead to no productivity. Why are we not encouraging more investment in more equipment that can be operated by fewer, more highly skilled people who are better paid and drive our productivity forward I must take issue with the comments of the right hon. Member for Twickenham (Sir Vince Cable) about how it is all indebted and about the corporate sector—that is absolute rubbish. Some £750 billion on corporate balance sheets has not been spent. There is a conundrum as to why that money is not being invested. We must consider the possibility of time-limited, perhaps very generous, investment allowances to get those corporates to invest in our economy, and to drive the investment and productivity gains that we need We need more competition in this country. Why do we put up with Openreach and its appalling service? Why has it not been unbuckled from BT with a strong investment target? Why do we have an oligopoly of banks and of big energy providers, and why have we not taken action on that? We need a bit more trust-busting from the Government and a bit more backing for the consumer interest over the corporate interest The Conservative party should be the party of small enterprise and investment. It should be the party that champions the consumer interest and is tough on corporatism and tough on the causes of corporatism. We also need to be the green and environmental party, which is why in the spending review we need a step change in investment in electric car charging points because it is not good enough. Only when we get that straight will big corporate car fleet buyers start to buy the cars that would then go into the second-hand market, so that this country can have the electric future on our roads that it should have.
ParlaMint-GB_2018-11-01-commons.u429	Order. As colleagues can see, a great number of Members still wish to get in, so after the next speaker I shall reduce the time limit to four minutes.
ParlaMint-GB_2018-11-01-commons.u430	This is a deeply uncertain time for our politics and economics, and as my right hon. Friend the Leader of the Opposition said, the challenge for this Budget should be to rebuild Britain and, as the Prime Minister promised, to end austerity. We also need to heal some of the deep divides that face our country, which all of us should care about. Against those challenges this Budget fails, and I will highlight three areas in which that is the case. First, the Government—particularly the Treasury—should be more worried about what will happen to growth in our economy over the next few years. Economic growth of around 1.5% a year over the next few years is far from the 2.5% average long-term growth that we have had for 60 years, and that will have long-term consequences for the wealth that we need for public services, and for our families’ incomes. That growth is also unbalanced. The latest figures show growth of 3% in London, while the north-east economy shrank by 1%. Towns are growing at only two thirds the rate of cities, and many town economies are shrinking. This is not just about needing to invest in our high streets, it is about the jobs and investment we need in towns and communities across the country, in the north as well as in the south, at a time when the focus of major transport capital investment is stuck on Crossrail and High Speed 2 rather than being on the networks that we need around our country Secondly, the Budget does not end austerity, and I particularly wish to highlight cuts to policing. The Home Affairs Committee called for urgent increases in investment in policing, but instead, by failing to fund pensions increases and contributions, the Government are cutting funding for policing by about £420 million. That is at a time when recorded crime is up by a third and arrests are down by a quarter. That means that more criminals are getting off, and the consequences of failing to support our police are frankly becoming dangerous, with serious impacts on public safety, community cohesion, criminal justice and confidence in policing, which, once lost, is hard to regain The third area I want to highlight is the failure to tackle child poverty and growing divisions across our country, because the Budget gives half the money to the richest 10% of households in the country at a time when the poorest 10% face having their incomes cut. Ten years ago I put child poverty legislation before Parliament, and it enjoyed cross-party support as it aimed not just to halve child poverty but to end it. The Government have ripped up that cross-party consensus. Tomorrow I will go to a café in Airedale library where councillors and community leaders are putting on free lunches for children. It is half-term, and they realised that some of the kids going to the library were ravenous when they were getting some of the café leftovers. Without free school meals, their parents were unable to put a hot meal on the table, and those children were going hungry. This is 2018, and it should shame us that that is happening in our country The Government are going ahead with more than £1 billion in real cuts to tax credits and benefits for the poorest families this coming year, at the same time as choosing to spend a similar amount of money on tax cuts for higher rate taxpayers, including those earning more than £100,000 a year. A lone parent with a four-year-old who works part time could be nearly £3,000 worse off after those changes, whereas high earners will end up more than £1,000 better off. As my hon. Friend the Member for Denton and Reddish (Andrew Gwynne) said, we should support extra help for basic rate taxpayers, whether through the tax system or child benefit, but at a time like this, cutting taxes for higher rate taxpayers is the wrong approach. It means that millions of the lowest-paid workers will not benefit at all because they do not pay enough tax, while millions of the highest-paid workers will benefit the most. Hundreds of pounds are being taken from the parents at Airedale library, while hundreds of pounds are being given to people on £100,000 a year, who have benefited the most. It is simply wrong. The Prime Minister promised to those are “just about managing”: “When it comes to taxes, we’ll prioritise not the wealthy, but you.” She has done the opposite. It is wrong. This Budget should be about making us all stronger and the whole country better off. Instead it does the opposite.
ParlaMint-GB_2018-11-01-commons.u431	The Budget contains many good measures for families in my constituency. I am grateful to be able to take part in this important debate, and I have listened to much of what has been said. I will try not to add to what has already been said but instead identify issues that have not yet been covered Families rightly want to feel secure in their homes, and I have three asks that I think could help. The first relates to the use of existing stock. It is still the case, even in west Cornwall, that many properties are not lived in. They are not second homes or holiday lets; they are literally abandoned. I would like the Department and the Chancellor to consider ways of giving councils the incentive to refurbish them to provide homes for local families and give them security of tenure Secondly, just before they lost the election in 2010, the Labour Government introduced the infrastructure levy on house builders. That has had a devastating effect, discouraging builders, particularly small builders, who want to provide housing. For local families, it adds a huge amount of money to the sale of a house. It would therefore be good if the Budget were able to scrap that charge imposed on both house buyers and the sector Finally on housing, many of my constituents appreciate the move across to universal credit from the previous set of benefits, but those who struggle to manage their budget would prefer their rent to be paid directly to the landlord. Will the Chancellor look at how that could be more easily done when it is in the interests of the tenants themselves Families live in communities, and parish and town councils run our local communities. The scrapping of business rates on public toilets, which Cornish MPs have fought for since 2015 when I was first elected, will be of enormous benefit to my local parish and town councils. In my constituency alone that measure will be worth £120,000, which can now be spent on local services that will benefit families and other people living in our parish and town council areas. I will play my part in making sure that that legislation goes through I have been calling for the rate cut for small businesses for some time, and I am grateful for the positive impact that it will have on towns in my constituency. My right hon. Friend the Member for Putney (Justine Greening) covered that issue very well, so I will not say any more about it I was disappointed in the Budget in one respect. It is right that families have access to good sporting facilities, so I was hoping to hear something about the stadium for Cornwall. For 10 years in Cornwall, we have worked to try to put together a scheme worthy of Government support. I believe I did everything I could, along with all Cornish MPs and others, to convince the Chancellor to provide the £3 million we need to give us a 6,000-seater stadium or the £5 million to give us a 10,000-seater stadium. Cornwall does not have a centre where sports can be played easily. Part of the proposal is to extend outreach to every corner of the county, improving the health and wellbeing of children and their families. What more can my colleagues and I do, with the people of Cornwall, to convince the Government that the money is needed and deserved, and that the scheme provides value for money? It could be that, among all the other priorities, the stadium for Cornwall slipped the attention of the Chancellor. I am grateful for the opportunity to remind the Treasury team of this worthy cause and look forward to positive guidance on how we can achieve the stadium for Cornwall.
ParlaMint-GB_2018-11-01-commons.u432	This Budget reflects traditional Tory values that will deepen poverty and inequality and do nothing for struggling families. I will provide three examples: the Government chose to put more money into mending potholes than they granted to our cash-starved schools; they chose to prioritise the motorist over a sustainable future for our planet; and they chose to give away more in tax to those who need it least and ignored those who need most support. Labour should have no truck with that approach. We should pledge to reverse the tax and benefit changes Regrettably, most politicians shy away from an honest conversation about the need to raise enough money through tax to fund good-quality public services. We cannot keep promising excellent schools, effective policing and compassionate care if we refuse to raise the necessary money through taxation. We cannot keep pretending that punishing the wealthy is the solution to underfunding. We need to demonstrate value for money. We need a fair system in which big corporations do not get away with paying minimal tax on their profits. We also need a truthful conversation with voters about how much we need to raise in tax to fund public services I regret that the Government have not used the Budget to build on Parliament’s determination to have greater transparency in British tax havens, so that we know who owns what and where. Following the money is an essential tool to help ensure that everybody pays their fair share. MPs welcomed the Government’s concession on British overseas territories. However, we must now deal with the anomaly of Britain’s Crown dependencies. The right hon. Member for Sutton Coldfield (Mr Mitchell) and I visited Guernsey and the Isle of Man and held positive discussions with elected politicians, and we will soon visit Jersey. Our purpose is persuade the Crown dependencies to co-operate with the UK and agree to publish public registers. Should they not co-operate, however, Parliament must use its powers to insist that they do so. Parliament expressed its views on this issue clearly. We must now ensure consistency and transparency in all UK jurisdictions Finally, I had hoped to welcome the digital services tax, but the Government’s proposal is little more than a public relations stunt. The Red Book projects that it will be 2022-23 before we raise just £400 million from this tax. A recent Tax Watch report calculated that in 2017, Google, which paid only £49 million in corporation tax, should have contributed £356 million, and that Facebook, which paid only £16 million, should have paid £127.5 million. Just two companies, Google and Facebook, should have paid £480 million in 2017, far exceeding the £400 million the Government estimate they will get some five years down the line from all large digital corporations. Hardware companies such as Apple and Microsoft will not be covered by the tax. Video and audio platforms, such as Netflix and Spotify, will not be caught either. Airbnb and Uber will argue that their marketplaces are not online. Even Google and Facebook will be able to exclude some of their profits The tax gives us far too little, far too late. It is an exercise in media management designed to persuade taxpayers that we are all treated equally. It leaves undisturbed the continuing scandal of billions lost to the public purse by the deliberate actions of giant global digital companies. This behaviour is an enduring outrage, and we on the Labour Benches will continue to argue for fair taxation.
ParlaMint-GB_2018-11-01-commons.u433	I am very pleased to be called to speak in this important debate I welcome the Budget very much, especially the cut in business rates, which will have a hugely positive impact on many businesses in my constituency. One such business in Aldershot is the butcher Alf Turner, a long-standing establishment founded in 1956. Madam Deputy Speaker, you will know that it is not only Budget week, but UK Sausage Week. I am pleased to report that Paul Turner, the proprietor of Alf Turner, is a supreme sausage champion, having won the UK Sausage Week award for best traditional sausage. Last night he said to me: “The cuts to business rates from Monday’s Budget are fantastic news for local family-run businesses like mine. Keeping local shops open can only serve our local communities.” I draw attention to that because the real point is that Paul’s business is successful not because the Government are helping it, but because the Government are letting it get on with what it does best: making great sausages. It creates a superb product that local people choose to buy and is now available nationally. The lesson is the importance of choice. When freedom of choice is allied with the free flow of capital and labour, and protected by property rights and the rule of law, we have a flourishing free market. That is the great genius of our economy and many economies in the west.
ParlaMint-GB_2018-11-01-commons.u434	Could my hon. Friend illuminate the House by saying what he fears would happen to small businesses such as the ones in Aldershot that he mentioned if they were subject to the programme of huge tax rises and nationalisation proposed by Labour?
ParlaMint-GB_2018-11-01-commons.u435	I am grateful to my hon. Friend for that intervention. The wholesale economic devastation that would be the consequence of Labour’s nationalisation plan—I do not know whether it has a plan to nationalise sausage production, but I hope not—would be clear. We have to make the case for the free market. In this day and age, it is astonishing that Labour Front Benchers espouse an ideology that totally opposes the free market The shadow Chancellor is a self-declared Marxist. The House will know that in 2006 he said: “I’m honest with people: I’m a Marxist” He said of the 2008 crash: “I’ve been waiting for this for a generation” In 2017, he stood in front of Communist flags at a May Day parade in London, and just this year he attended the Marx 200 conference in London, at which he claimed: “Marxism is about the freedom of spirit”.
ParlaMint-GB_2018-11-01-commons.u436	I understand that Alf Turner served for 20 years in the Royal Army Service Corps—in complete and stark contrast to the shadow Chancellor.
ParlaMint-GB_2018-11-01-commons.u437	I am very grateful for that intervention. Absolutely—it puts those two sets of values into stark and very worrying contrast The free market is not an ideology but an inevitable human condition, which Conservative Members rightly espouse. We must call out at every turn the Marxist ideology of Opposition Front Benchers, and we must also reflect that those who had the unpleasant experience of living in countries with the devastating experience of the doctrine of Marxism being applied in reality, such as the Soviet Union, have bitterly regretted it. Shadow Front Benchers and the shadow Chancellor would do very well to read the moving autobiography of Elena Gorokhova, “A Mountain of Crumbs”, which describes the devastating famines of the 1920s and the wholesale shortages of foodstuffs in the Soviet Union in the 1980s, which meant that when she went to the United States, she was simply amazed by the range and variety of foodstuffs on the shelves of the supermarkets there Before I conclude, I would be happy to take an intervention from an Opposition Front Bencher if they wish to deny that the shadow Chancellor is a self-declared Marxist. There is no movement from them, so the record will show that they are happy to confirm this depressing fact. We must reject the Marxist ideology of the current Labour party and rejoice in the bright future of the free market that we have in our country, burnished by free choice, a growing economy and the freedom to choose.
ParlaMint-GB_2018-11-01-commons.u438	It is a pleasure to follow the hon. Member for Aldershot (Leo Docherty). I think it would be fair to describe his speech as a bit of a mixed grill, but perhaps I should move on In a Westminster Hall debate on Tuesday, the Under-Secretary of State for Housing, Communities and Local Government, the hon. Member for Richmond (Yorks) (Rishi Sunak), talked about local government cuts since 2010. He said that they had been mitigated by what he referred to as “core spending power”, which had gone up by 2% this year and over previous years. He went on to say: “The idea that the funding formulas do not take account of deprivation or the differing ability of areas to raise council tax is totally erroneous.”—[Official Report, 30 October 2018; Vol. 648, c. 332WH.] Note that he said not just “erroneous”, but “totally erroneous”. I want to spend a moment looking at the veracity of that statement. He must know that the Government’s grant cuts since 2010 have hit those councils with the greatest need the hardest. Knowsley’s cut to “core spending power”, as he puts it, amounts to £485 per person, compared with the average for England as a whole of £188.
ParlaMint-GB_2018-11-01-commons.u439	Knowsley is one of the most poorly resourced areas in the country. Indeed, it suffers from one of the highest levels of income deprivation. Does my right hon. Friend agree that the impact on the streets is dangerous and sickening?
ParlaMint-GB_2018-11-01-commons.u440	I very much agree, and if I have time, I will come on to say more about that This is not just about what I or those in local government are saying about why the Under-Secretary’s comments were—I was going to use the word “misleading”—an example of sophistry. Independent analysis from the University of Cambridge says that there are “significant inequalities in cuts to council services across the country, with deprived areas in the north of England and London seeing the biggest drops in local authority spending since 2010.” As councils all point out, that is because—again I quote from the study— “These local authorities tend to be more reliant on central government, with lower property values and fewer additional funding sources, as well as less ability to generate revenue through taxes.” It would not be permissible for me to say too much more about the effect of what the Minister said, but the truth is that it was not a proper portrayal of what is taking place, and his analysis of the grant system was plain wrong In the time that remains, let me say a few words about the consequences of this situation in the Liverpool city region, starting with Knowsley. The impact for the people in Knowsley, which has been the hardest hit of all local authorities anywhere, is that we have had our grant cut by £100 million since 2010. Children’s social care needs are rising faster than the resources for dealing with them, with a £3 million gap currently projected, and the increases announced last week barely scratch the surface of that gap. The same applies to adult care, for which demand is growing, yet the resources are just not there to meet it Since 2010 in the Merseyside police force area, we have lost 1,000 police officers. As the chief constable said, the service is reaching breaking point—it is a chief constable saying that. There has been a 14% rise in crime over the last 12 months. Similarly, 50% of the grant for fire and rescue services has been taken away since 2010. The number of firefighters has fallen from 927 to 580. Fire deaths are up by 10% The worst aspect of these cuts in services, as the Minister was unwilling to concede on Tuesday, is that the people who can least bear the brunt of them are among some of the poorest in the country. Frankly, what the Government have done to public services in the Budget is shameful.
ParlaMint-GB_2018-11-01-commons.u441	It is a pleasure to speak in the debate. First, I would like to address the measures in the Budget that relate to the digital economy, including the digital services tax. I declare an interest: I am a former corporate lawyer —I was even more fun when I was doing that. Someone who deals with international transactions and contracts learns that international tax treaties are very complicated and were designed for a time before the current technological revolution. The UK Government are leading the way in clamping down on the admittedly difficult and perhaps unsavoury practices of multinational tech firms. Of course, the digital services tax will not deal with that completely, but it is a step in the right direction. As I say, we are one of the first Governments in the world to do anything like this, and I commend it to the House Turning to my constituency, I want to address the measures relating to the high street. We all know that the high street has been under significant pressure over the past few years. Whenever I speak to the owners of small independent shops in both Hitchin and Harpenden, they say that business rates are a significant problem, so I look forward to telling them this weekend about the cut of a third in their business rates, if their rateable value is under £51,000. That measure will be of huge benefit to my independent shops and I commend it to the House Even more important than the cut in business rates is the £675 million future high streets fund because it will help to enable our local authorities and local areas to take leadership and act on their own initiative to reshape their high streets to deal with the modern world and its challenges. I urge the Chief Secretary to the Treasury, who is sitting on the Treasury Bench, to make sure that this money gets to local councils as soon as possible so that we can get on with making improvements.
ParlaMint-GB_2018-11-01-commons.u442	Does my hon. Friend agree that the Budget’s tax cuts will also help the high street by ensuring that regular people have more money in their pockets to spend in high street shops, thereby improving the whole economy?
ParlaMint-GB_2018-11-01-commons.u443	I thank my hon. Friend for that intervention. I was coming to tax cuts because, particularly in relation to the high streets, they are a classic piece of positive Conservative economics that will increase demand and help consumer spending, and thereby help the high street. I commend the Chancellor and the Treasury team for putting the policy forward in the Budget On tax cuts more broadly, if someone is one of the 1.74 million people who, in only the last two years, the Government have taken out of tax altogether, that side is against them; this side is for them. If someone is one of the 25 million basic rate taxpayers who have saved more than £1,000 in real terms since 2010, that side is against them; this side is for them. If someone has the temerity to want to earn over £50,000—yes, there are people who want to do that—that side is against them; this side is for them. The Budget not only backs the NHS with the biggest cash increase in its history, not only backs the high street and not only backs working people up and down this country, but backs Britain. This party backs Britain; the other side does not.
ParlaMint-GB_2018-11-01-commons.u444	Order. As colleagues will have noticed, there have been a number of interventions, which have extended people’s time. When that happens, it prevents others from speaking, and I am afraid that after the next speaker, I will have to reduce the time limit to three minutes.
ParlaMint-GB_2018-11-01-commons.u445	It is a privilege to speak in this Budget debate and to represent my constituents in Barnsley and right across the Sheffield city region. I am proud to represent these communities, but I have come to learn that it is not in the halls of Westminster or the corridors of Whitehall that decisions on many of the issues that affect our communities should be made. Decisions on important issues, such as our public transport system, on how our schools, colleges and universities work together and on where best to invest in our infrastructure, should, where possible, be made locally Through devolution, it should be a collective endeavour between the Westminster national Government, combined mayoral authorities and local authorities across our country to work relentlessly together to prepare our people for the challenges of the 21st century. The world has never been more challenging. It is fraught with risk and complexity, but at the same time it is full of opportunity. Technology now connects the far reaches of the planet in ways unimaginable just a generation ago. In reality, however, this is a country where too many of our communities do not believe their best days are in front of them, where too many believe they are being failed by cuts to their vital public services, and where many of our communities feel as though they are ignored because of where and who they are. That is a tragedy. It is also a waste of the ingenuity and potential of so many people Along with many others, I am working to grow our economy and connect our talented people to opportunity. With Brexit on the near horizon, in the Sheffield city region, this work is taking shape, and we are making progress. A story is emerging in south Yorkshire that shows that ours is a region that is resurgent, which is hugely significant because for far too long it has been an area characterised by the decline of heavy industry. Now, for the first time in a generation, we are witnessing a growth in advanced manufacturing and highly skilled engineering jobs It is this spirit of endeavour and innovation that underpins our work to develop a global innovation corridor to connect our businesses, researchers and urban centres and our international airport in Doncaster to create transformational economic growth, but we are doing it with our hands tied behind our backs. We are served by an outdated and antiquated transport network of trains, buses and trams. The north has so much potential, but it needs the Government to realise and unlock that potential. The northern powerhouse offered a framework to do this, but it requires all of the Government to strain every sinew to reduce the inequalities that exist between north and south The Government’s commitment to develop new local industrial strategies is welcome, but to tackle the structural inequalities locked into the regions of this great country, we must make structural changes to the way we prioritise investment. In short, actions speak louder than words, and sadly the Budget is yet another missed opportunity.
ParlaMint-GB_2018-11-01-commons.u446	The Budget of Monday past has been welcomed by many but clearly not by all. I have been asking myself: what will it do for the constituents of Ayr, Carrick and Cumnock? It contains a range of measures that will benefit not just my constituents but the whole of Scotland. The Scottish Government will benefit from a funding boost of almost £l billion. I know my constituents will welcome this increase, and I am sure they will keep a weather eye on how it is spent by the Scottish Government. I hope it will be spent on people projects and not pet projects. Indeed, by 2020 the Scottish Government’s block grant will have grown to over £32 billion before adjustments for tax devolution—a real-terms increase over this spending review period Those of my constituents who, like me, enjoy a dram will very much welcome the freeze on spirit duty. I was pleased to see the concerted efforts of Scottish Conservatives and others recognised by the Chancellor. Indeed, he was listening—I am sorry for doubting him. I know that the industry in Scotland will welcome the freeze I also know a few individuals in Ayr, not least Messrs Brown and McLoughlin, who enjoy a wee dram and I am sure that they will raise a glass as a result of the freeze on spirit duty. I am not linking the two measures in drinking and driving, but the freeze on fuel duty will always be most welcome, particularly in the rural areas of Scotland The national living wage, introduced by a Conservative Government, will now increase to £8.21 per hour.
ParlaMint-GB_2018-11-01-commons.u447	Will the hon. Gentleman give way on that point?
ParlaMint-GB_2018-11-01-commons.u448	I am sorry; no. That measure means that 117,000 of the lowest paid in Scotland will enjoy an increase in their take-home pay. [Interruption.] That is fine. [Interruption.]
ParlaMint-GB_2018-11-01-commons.u449	Order. Can we not have that conversation across the Chamber? We all want to be included.
