ParlaMint-GB_2018-05-21-commons.u1	1. What steps she is taking to implement the 2017 Budget changes to universal credit.
ParlaMint-GB_2018-05-21-commons.u454	This has been a wide-ranging debate. The hon. Member for Manchester, Gorton (Afzal Khan)—I congratulate him on introducing the debate—spoke about the reduction of the number of seats and directly about his private Member’s Bill bringing the number to 650, which has slightly muddied the waters when we look at money resolutions My hon. Friend the Member for North East Somerset (Mr Rees-Mogg) put it better than I possibly could when he quoted the facts. There is a responsibility on the Government to put in place the checks and balances on how legislation comes forward. As has already been said, we are but weeks away from a boundary review decision being taken in this House. The Government’s position is not to dismiss out of hand the Bill of the hon. Member for Manchester, Gorton, but to say that now is not the time to bring it forward, as we should wait until this decision has been made We are a very long way down the line. The Parliamentary Voting System and Constituencies Act was first debated in 2011. I was elected in 2010, so it seems to have travelled through my eight years in this Parliament. Obviously, there is much doubt about whether the order will pass with the proposal to reduce the size of the House to 600 seats. It is a crying shame that, among all other things, we may still end up in a situation whereby we have such unequal seats Those who have done election monitoring with the OSCE will know from the Venice Commission of the Council of Europe that the maximum difference between seats should seldom exceed 10% and should never exceed 15%. Of course, we are in a situation whereby there are such differences. Let us look at two seats that I picked at random: Wirral West has an electorate of 55,995 and East Ham has an electorate of 83,827. That is a difference of 33%. This is not the time to debate the Bill promoted by the hon. Member for Manchester, Gorton. Amending the legislation to review the situation every 10 years does not really sit with the point about updating the registers every five years, but I do not want to get too involved with actually debating the Bill.
ParlaMint-GB_2018-05-21-commons.u455	This is the first speech from the Conservative Benches that has actually touched on what is contained in the Bill. The whole reason that Opposition Members want the Bill to go to Committee is so that we can consider it clause by clause. At the moment, we do not have the power to do that because of the Government’s actions.
ParlaMint-GB_2018-05-21-commons.u456	I say very gently to the hon. Gentleman: patience. Later this autumn, the House will vote on the proposal for 600 seats, as was laid down in statute when the review was pushed forward to 2018. There remains to be very significant work, which may or may not have to be done depending on the outcome of that result. The hon. Member for Rhondda (Chris Bryant) has intervened a couple of times to ask what happens if that proposal is voted down. I believe the point he is making is that it is laid down in statute that the number of seats has to be reduced to 600 so, even if it is voted down, what are we going to do?
ParlaMint-GB_2018-05-21-commons.u457	Well, if the Order in Council is voted down in the autumn, I think that the legislation will remain as it is and we will have 650 seats on very old boundaries and very old registers, until such time as the legislation is changed somehow or other by this House. That is not in the Government’s interest; it is not in the Opposition’s interest; and it is not in the interest of the country. I suspect that the Government will suddenly say, “Hello Mr Member from Manchester, Gorton. We’d like to introduce your Bill ourselves.” That is what is going to happen; we all know it.
ParlaMint-GB_2018-05-21-commons.u458	I am most grateful to the hon. Gentleman, because that is the point that I am driving at. This has gone on for a long time. The reduction to 600 seats has been talked about in this House for seven years, and we are coming to the vote soon. In my city of Leeds, I represent 80,000 people. The seat next doors represents 66,000 people—I am rounding the figures. A vote in my constituency is only worth one eighty-thousandth, while just next door a vote is worth one sixty-six-thousandth. That does not actually preach fairness in any way at all, and this goes back to the statistics I mentioned earlier My concern is that the politics that come to play in changing the number of seats and the boundaries does not end there. When we arrived at the situation of trying to equalise seats, we said that everybody should be roughly equally represented, which indeed is outlined by the Vienna Commission. But of course, how big seats should be used not to be laid down in law. Instead, it was done by looking at communities and bringing things together. When we move down the road of amending new legislation, we start to hear arguments such as, “Well, actually, let’s not set an arbitrary figure by saying plus or minus 7.5%, 10% or 5%; let’s just base it on communities.” That gives an excuse to have very unevenly sized seats The Government are right to hold up the money resolution at this stage, simply because we are at the end of almost seven years of a process and a vote is coming to the House. I hope that the reduction to 600 seats is passed, because this has been long debated. In fact, I believe that it was the hon. Member for Rhondda who was at the Opposition Dispatch Box during our debates on the Parliamentary Voting System and Constituencies Bill. I do beg his pardon—I think he was actually there for the Fixed-term Parliaments Bill.
ParlaMint-GB_2018-05-21-commons.u459	I did both.
ParlaMint-GB_2018-05-21-commons.u460	Yes, the hon. Gentleman did both. I sat through debates on both pieces of legislation. The issue has been well debated and we have to bring the vote forward If the Parliamentary Voting System and Constituencies Act 2011 falls, my concern is that we will rush into the Bill promoted by the hon. Member for Manchester, Gorton, start the process again and spend more public money on a process that has already taken years, got us to this point and may be voted down again. We could then see a Bill go to the House of Lords, probably get amended against the Government because there is such a large majority against the Government up there, and then say, “Actually, we’re going to get rid of the idea of equalising seat sizes. We’re going back to community sizes.” We need to be more sensible when we are thinking about starting another two-year process Let us face it—this House is not going to vote for boundary changes 18 months out from a general election. That would be, as the hon. Member for Manchester, Gorton said, like turkeys voting Christmas. Somebody said that it is a very esoteric argument; it exercises us here, but it does not exercise the public. If the 2011 Act is voted down—I really hope it is not because this needs to be brought to an end and we do need to equalise seats—we should not just rush in and say, “Right we’ll do 650 and carry on with the process.” Instead, we should look at the whole thing. Is not one of the problems that when we in this House are voting on our boundaries, we have a fundamental clash of interests The reality is that we have now taken so long over this that there is barely a seat in the land that will not have a major change, no matter what it is. A few months out from an election, people think, “Hang on a minute. I’ve built this incumbency. I’m not going to change it at this stage.” Once again, we would end up fighting—as I believe will happen if the Act is voted down in October—the 2022 election on the boundaries that we have today. That would be hopelessly out of date We have to give serious consideration to what happens if the Act is voted down. We should not just rush into a private Member’s Bill on the basis of having 650 constituencies. We need to have a careful look at whether we should, in fact, enact a change that would always take place following the next general election and, crucially, that Members would not get to vote on. We could keep the decision for the independent Boundary Commission, which we can lobby and make changes to. That was done across the parties in Leeds and there were some matters on which the parties absolutely agreed. We should not rush into any changes if the Act is voted down The Government have every right to withhold a money resolution on a Bill that seeks to disrupt a piece of legislation that is seven years in the making and is just weeks away from being voted on in the House. As my hon. Friend the Member for North East Somerset said, we could be in a situation whereby we are simply not looking after the public purse, and where we are just spending money willy-nilly on the whim and political argument of the time. That needs to stop. After the vote, if the Government are defeated—I hope they are not—we need time to go away and think very carefully about what we do next. Let us be blunt: as it stands, this system is not fit for purpose.
ParlaMint-GB_2018-05-21-commons.u461	As a relatively new MP, I am still trying to understand how Parliament works and, in particular, the way in which laws are made. One thing that is clear to me is there is very little chance of legislation being made without the support of the Government. As we all know, the Government control the legislative timetable. Apart from the 13 Fridays set aside for private Members’ Bills, there is no other opportunity for such Bills to become law. Even on those 13 Fridays, private Members’ Bills have virtually no chance of becoming law unless they have been lucky enough to have been drawn in the top 10 of the ballot of private Members’ Bills. Even if the Bill has been drawn in the top 10, there is still the prospect that it may be talked out or will not receive sufficient backing from Members For a private Member’s Bill to get through its Second Reading, it must first have been properly debated, which means at least four hours of debate. Secondly, there have to be 100 Members present on that given Friday to make the debate quorate. Thirdly, having overcome those hurdles, the Bill has to secure a majority of Members voting for it to proceed. These are all tall measures for a private Member’s Bill to overcome, so once a private Member’s Bill has navigated these obstacles—and bearing in mind the huge odds stacked against a private Member’s Bill to become law—the Government should surely then make provision for the Bill to progress to its next stages. As I mentioned, the Government have the ability to stop a Bill in its tracks on Fridays by either allowing for it to be talked out or organising MPs to vote against its proceeding to its Second Reading My hon. Friend the Member for Manchester, Gorton (Afzal Khan) secured such a passage for his Bill. In attempting to stop it progressing, the Government have used three different arguments why the money resolution should not be granted: that it is contrary to the Government’s manifesto commitments, that it has insufficient support and that it is for the Government to decide which Bills should receive a money resolution and which should not. I will address each of those in turn There are numerous manifesto commitments that the Government have decided not to take forward. Therefore, the fact that something was not in their manifesto should be no barometer of whether private Members’ Bills should progress. On Wednesday, I am introducing my Terminal Illness (Provision of Palliative Care and Support for Carers) Bill. More funding for palliative care was in the Government’s manifesto, so I am hoping that the Bill will get a smooth ride to Second Reading and have the support of a money resolution for it to progress On attracting sufficient support for a Bill to progress, on Friday 1 December, when the Parliamentary Constituencies (Amendment) Bill was being debated in the House, there was a Division on a closure motion, and the result was 229 to 44 in favour of moving to the vote. In the vote on allowing the Bill to progress to its Second Reading, the House voted unanimously in favour. A total of 275 Members were present on that day—42% of all Members—and there was no dissent to the Bill’s progressing. That, to me, indicates huge support for the Bill, yet the Government refused to grant it a money resolution. That argument therefore does not stack up either. Speaking as a member of the Bill Committee, I remind the House that the Committee met three times, only to have to adjourn because we could not make progress owing to the Government’s refusal to grant a money resolution. That is a complete waste of time for Members and staff who are on the Committee Hon. Members have said that we should wait until the autumn for the Boundary Commission to report. Earlier this year, however, there was an opportunity to take an indicative vote on whether the view of the commission should be voted on. The Public Accounts Committee produced a report proposing to take an in-principle vote on the current boundary review. That would have given an indicative vote on whether the boundary review had the support of this House. That could have been done in February. However, the Government chose to ignore the report of the Public Accounts Committee, which is also made up of Back Benchers By their actions, the Government are attacking the parliamentary process, diminishing the role of Back Benchers and acting in an undemocratic way. When the Procedure Committee produced its report on private Members’ Bills on 13 April 2016, the Government responded by saying: “The Government always endeavours to engage constructively in discussions on money resolutions with Members whose Bills have been granted a Second Reading.” Even with those private Members’ Bills that have received money resolutions, there has sometimes been an inordinate delay in the resolutions being laid—months, in some cases. Money resolutions should be granted immediately after Second Reading to get rid of this power grab by the Executive, who, after all, despite all their controls, still cherry-pick which Bills they give money resolutions to, thus holding the rest of the Bills to ransom This is no way to do business. The system for dealing with private Members’ Bills needs a complete overhaul. If the Government continue to ignore the will of the House and Back-Bench Members, then I fear for democracy. I hope that we will see changes to the way that business is done in this House and that that happens soon.
ParlaMint-GB_2018-05-21-commons.u462	I want to address most of my remarks to the motion before us. I will touch briefly on some of the points that have come up about the substance of the private Member’s Bill, but I will keep those remarks relatively tight, Madam Deputy Speaker, so as not to stray from the subject of the motion First, I want to pick up where my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) left off. He is absolutely right that the Government have the responsibility to bring forward money resolutions and to initiate the spending of money. If we think about it, there is a very good reason for that. In the case of Back Benchers bringing forward a private Member’s Bill under which they propose spending money on a popular cause, people will of course find that very welcome. Members of the public quite frequently like money being spent on good causes. However, if every private Member’s Bill spent a significant amount of money, although each individually might not have a huge impact, collectively they would do so That is one of the good reasons why the Government, when bringing forward Bills under their own programme, have to balance the individual measures not only in relation to the good that they do for the money that is spent, but, as my hon. Friend said, in relation to the ways and means—that is, the taxes that have to be levied to pay for those measures. It is therefore right that the Government initiate the spending of money and ask this House to assent to it. That important constitutional principle is worth maintaining.
ParlaMint-GB_2018-05-21-commons.u463	rose—
ParlaMint-GB_2018-05-21-commons.u464	Of course I give way to my fellow member of the Public Bill Committee.
ParlaMint-GB_2018-05-21-commons.u465	The right hon. Gentleman is speaking at length about the Government having to be careful about how they authorise spending of money and how that money is planned to be spent. Does he have the same feeling about the £1 billion that was bunged to the Democratic Unionist party after the general election?
ParlaMint-GB_2018-05-21-commons.u466	I have not really been speaking at length—I had only been speaking for about a minute when I generously gave way to the hon. Gentleman. The Government do have to spend public money wisely. As they said, spending money on the people—the people—of Northern Ireland, who had to suffer over many decades from the impact of terrorist violence and a divided society, is a perfectly proper spending of public money. I, for one, am very pleased that we have got to a situation where the public realm in Northern Ireland is much more peaceful and the communities are living much more closely together. Dealing with some of that legacy of the past is a very welcome and very proper thing for the Government to spend public money on.
ParlaMint-GB_2018-05-21-commons.u467	I fully appreciate that there is a cost to putting right some of the legacy of the troubles in Northern Ireland, but why was that not an issue for the Government before the general election?
ParlaMint-GB_2018-05-21-commons.u468	I do not want to be taken off the central point that I was making, Madam Deputy Speaker, much as the hon. Gentleman tempts me.
ParlaMint-GB_2018-05-21-commons.u469	Order. For the avoidance of doubt, the right hon. Gentleman is correct. This is a very narrow debate and we must keep to that.
ParlaMint-GB_2018-05-21-commons.u470	I am grateful, Madam Deputy Speaker. I was responding to the intervention by the hon. Member for Glasgow East, but I do not want to be taken off the point It is proper that the Government have that role of financial initiation. It is also clear that there is a convention that the Government will bring forward a money resolution, but it has not been an invariable convention. There have been a number of examples—the Leader of the House set them out—where Ministers have not brought forward money resolutions. I was intrigued by the point made by the right hon. Member for Orkney and Shetland (Mr Carmichael). The private Member’s Bill brought forward by my hon. Friend the Member for Bromley and Chislehurst (Robert Neill) on a European Union referendum was not given a money resolution despite the fact that the then Prime Minister was very keen on doing so. There have been plenty of examples of private Members’ Bills not being given money resolutions I repeat what the Leader of the House said, as did the Parliamentary Secretary, Cabinet Office, my hon. Friend the Member for Norwich North (Chloe Smith)—that the Government simply want to wait for the Boundary Commission’s report. One of my hon. Friends, I think, asked whether it could report earlier. It cannot do that because the primary legislation means that it can report only between September and October of this year, and that is what it is going to do. Given that we have been having boundary commissioners look at the parliamentary boundaries since, in effect, 2011, I do not think it is unreasonable that we allow one of those reviews to reach completion and allow this House to make a decision before we then consider what to do. The position that the Leader of the House has set out is not unreasonable. I think the central thrust is absolutely right I wanted briefly to touch on some of the points that were made in the debate, before you were in the Chair, Madam Deputy Speaker, but I will not dwell on them at length because they touched on the substance of the Bill introduced by the hon. Member for Manchester, Gorton (Afzal Khan). The first is about the timing of his proposed review and about the members of the public who are not on the electoral registers under the arrangement that the current boundary review is considering. That sounds superficially like an attractive point. However, detailed analysis of the changes in the registers between the start of that review and a review that he would like to trigger showed that the distribution of voters across the country was fairly consistent, and so there would not actually be a significant impact on the distribution of constituencies across the country To Members who find that a huge point, I simply reiterate that the general election last year was carried out with boundaries that were drawn based on electoral registers that date from 2000, which was a point strongly made by the Chair of the Public Administration and Constitutional Affairs Committee, my hon. Friend the Member for Harwich and North Essex (Mr Jenkin). If they are worried about voters who were not on the electoral register in the last couple of years, they should surely be concerned that the current boundaries do not take into account voters who have gone on to the register in the last 18 years. That is a much bigger injustice. Allowing the current review to continue and this House to take a view on it is much the best thing to do.
ParlaMint-GB_2018-05-21-commons.u471	If Members are worried about the number of people appearing on the register, is that not a flaw in the argument that we should change to 10-year cycles rather than five-year cycles?
ParlaMint-GB_2018-05-21-commons.u472	My hon. Friend is exactly right. I favour having more frequent reviews—one a Parliament—that are much smaller and less disruptive, rather than less frequent reviews that are much more disruptive because so much population shift has happened. That is a better balance. Indeed, that was what the House decided when it passed the Parliamentary Voting System and Constituencies Act 2011 The hon. Member for Perth and North Perthshire (Pete Wishart) talked about the House of Lords. The Prime Minister’s nomination of peers was very modest; I think it was 13 in total. If we look at the votes on Brexit legislation, I do not think anybody could suggest that it was anything to do with that, given that most of the votes the Government lost in the other place were by significantly more than that number. They were modest and very reasonable proposals There is a very real point about the size of the other place. My understanding is that they themselves recognise that, and I know that work is under way to look at reducing the size of the other place. I hope that some consensus can be reached, so that it can be shrunk. I say somewhat immodestly that I am very pleased when we debate this issue, because as some Members will remember, I made modest proposals to reform the other place by shrinking it quite considerably and making it more democratic, although they did not find favour with the House. Indeed, I do not think we received a huge amount of support from the Scottish National party in getting that legislation through Parliament. As much as SNP Members protest now, they were not supportive when it would have been helpful My final point, to come back to the debate at hand, is about what private Members’ Bills should be used for. My hon. Friend the Member for North East Somerset touched on this. I do not think they should be used for significant constitutional measures. Detailed debate on those should take place on the Floor of the House, as we did with the 2011 Act. My hon. Friend the Member for Christchurch (Sir Christopher Chope) put his finger on it when he suggested that most private Members’ Bills do not need money resolutions because they should not be used for significant areas of public policy that involve spending significant amounts of money. That properly should be the role of the Government, not private Members’ Bills. Private Members’ Bills most often should not require money resolutions because they should not require huge amounts of money to be spent; they should properly be for things that do not require the expenditure of huge amounts of money. We would not then be having the sort of argument we are having today In conclusion, the Government are right. The Leader of the House’s arguments are very reasonable. She has undertaken to keep this matter under review, and I do not think we can say fairer than that.
ParlaMint-GB_2018-05-21-commons.u473	I congratulate my hon. Friend the Member for Manchester, Gorton (Afzal Khan) on securing the debate and on being successful in the ballot Private Members’ Bills are important and have been responsible for some major social change in this country. The Sexual Offences Act 1967, which legalised private consensual sex between males over the age of 21, was a private Member’s Bill promoted by Leo Abse. Sydney Silverman’s private Member’s Bill became the Murder (Abolition of Death Penalty) Act 1965, which suspended the death penalty in Great Britain, excluding Northern Ireland, if I remember correctly Major social change has been made in this country through private Members’ Bills. Sometimes, including in the case of those two Bills, Governments have preferred to use private Members’ Bills to make those changes, rather than to legislate for it themselves. Not as famous as those two Bills was the Christmas Day (Trading) Act 2004, which I successfully piloted through the House, to limit larger shops from opening on Christmas day. If anyone asks you, Madam Deputy Speaker, why they cannot shop in a large hypermarket on Christmas day, you can say that it is my fault The traditional route for private Members’ Bills then was to get selected in the ballot and then argue the Bill through on a Friday. I remind new Members that in those days, we had the formidable Eric Forth in the Chamber, who was the Member for Bromley and Chislehurst. I successfully fought him for a few Fridays, and then we did a deal to get my Bill through. It is an important way for Back-Bench Members to get legislation on to the statute book. That was the traditional route, but we now have a blocking move by the Government. When Members put in for the private Member’s Bill ballot in future, they will have to think about whether the Government will ever give the Bill a money resolution.
ParlaMint-GB_2018-05-21-commons.u474	I am listening carefully to the examples of private Members’ Bills given by the right hon. Gentleman; the thing they all had in common was that they did not involve spending large amounts of public money. I suspect that most of them did not require money resolutions, and that is the proper role for private Members’ Bills
ParlaMint-GB_2018-05-21-commons.u475	I disagree with the right hon. Gentleman, because we then get into a situation where we have to ask who defines what the amount of money is. That is the point—it has to be down to the House to decide whether a money resolution is passed The hon. Member for Christchurch (Sir Christopher Chope) quite rightly asked what is stopping the Government laying down a money resolution to be debated on the Floor of the House. I am sure there are Members in the Chamber tonight who know that I can speak and have spoken at length on money resolutions. Why are the Government not bringing forward a money resolution to be debated on the Floor of the House? If it is the will of the House that this Bill should have a money resolution, it should go forward. It should not be for the Executive to decide which Bill gets a money resolution. Otherwise, we should just scrap the current system of private Members’ Bills I fundamentally disagree with the hon. Member for North East Somerset (Mr Rees-Mogg), who is not in his place. He is wrong in the points he made. It is the convention of the House that we do not vote on estimates, for example, but we could, and we could block them. I would challenge him and ask: if the Government are so confident that they are right, why do they not test the will of the House and bring forward the money resolution for debate on the Floor of the House? We all know the reason: the Government do not have a majority and will not dare do so, for fear that they will lose that vote.
ParlaMint-GB_2018-05-21-commons.u476	Does my right hon. Friend agree that the Government had the opportunity to kill this Bill, by voting against it on Second Reading? That is the normal way in which to kill a Bill. Why did they not do that?
ParlaMint-GB_2018-05-21-commons.u477	Therein lies the problem. Clearly, there are a number of Conservative Back Benchers who will not vote for the current Boundary Commission recommendations, which I will get on to in a minute, and the Government are not confident about getting them through. Not tabling a money resolution to the private Member’s Bill is a new blocking technique. They do not want to test the will of the House because of their fragile majority—or rather lack of a majority; I do not think they could have carried the Democratic Unionists at that stage. What are the Government afraid of? They should bring the resolution before the House and let it decide In terms of the argument that the Bill will somehow be a waste of £8 million, I am taking no lectures from the Government. I remember the coalition Government flipping and changing over whether we should have cats and traps on aircraft carriers, for example, which cost the taxpayer £100 million. There was the decision to renationalise the east coast main line last week; the rebranding of the trains alone is going to cost £13 million. The argument is complete nonsense. My hon. Friend the Member for Rhondda (Chris Bryant) summed it up very well when he said that the Government would not be wasting money because what will happen, if they lose on this matter, is that they will pick up the Bill as a way of enacting the new boundaries May I turn briefly to the new boundaries? I believe in the equalisation of constituencies, which is fair and a part of our democratic process. It is important to have confidence in that, and to keep the link, which is unique in our system, between individual Members and their constituencies and communities. The gerrymandering that was done by the Cameron Government in reducing the number of MPs to 600 has led to the Boundary Commission—and I do feel sorry for it—being given an impossible task. We only have to look at some of the recommendations that have been put forward for the shape of constituencies, with communities put together that have no connection whatsoever. For example, there is one in the north-east that would win a geography prize and, given its odd shape, would clearly not be out of place in Texas in the United States.
ParlaMint-GB_2018-05-21-commons.u478	Order. I hesitate to interrupt the right hon. Gentleman, and I apologise to him. There has been a technical problem with the clock, and the number of minutes apparently left to him is not the number of minutes he has left. He has taken two interventions, so I will add on two minutes of injury time, but I would be very grateful if he did the House the courtesy of finishing at 7.33 pm.
ParlaMint-GB_2018-05-21-commons.u479	As you know, Madam Deputy Speaker, brevity is my style; I will certainly do what you request A fundamental part of our democracy in this country is the link between the constituency and the community, but that has been thrown out completely in this process. I do not blame the Boundary Commission for that; I blame the coalition Government. Let us remember that there was a coalition, and the Liberal Democrats signed up as well There has also been the argument that the cost of democracy will somehow be reduced. My hon. Friend the Member for Birmingham, Perry Barr (Mr Mahmood) asked how many peers David Cameron created. He created 198 in six years, and I understand that the cost of that is an additional £22 million a year.
ParlaMint-GB_2018-05-21-commons.u480	Will my right hon. Friend give way?
ParlaMint-GB_2018-05-21-commons.u481	Unfortunately, I cannot give way because I do not have the time This debate is not about the cost, but about the fact that the Government cannot secure a majority in this House. They do not have a majority among their own Back Benchers to support their legislation, and if they were really thinking about the public purse, they would ditch the Boundary Commission review now, adopt the Bill of my hon. Friend the Member for Manchester, Gorton, so that we can equalise constituencies and get on with the process, which would actually save, not cost, money May I finish by making a point about the Leader of the House, whose job is to uphold and protect our rights as a Chamber? I am sorry, but I do not think she is doing a very good job of that at all. She has found herself on this occasion bowing to the inevitable, with a Government who clearly do not have a majority, but want to get their own way at all costs.
ParlaMint-GB_2018-05-21-commons.u482	It is a great pleasure to follow the right hon. Member for North Durham (Mr Jones), who was unusually succinct. I will concentrate my comments on the question of money resolutions, which is the topic of this Standing Order No. 24 debate. I must say that my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) and my right hon. Friend the Member for Forest of Dean (Mr Harper) put this very well. The nub of this question is whether the right to initiate public expenditure should sit with the House as a whole or with the Government. By requiring Government consent before a money resolution is tabled, we are in effect saying that it is the prerogative of the Government to initiate public expenditure, not the prerogative of the House as the whole. It is the role of the House as a whole to consent to expenditure, but not to initiate it The reason for that is twofold. The first reason why it is important to do it that way is that the Government, in their general duties, have to balance the demands of spending and raising taxes. If the House as a whole seeks to introduce measures that require significant expenditure without at the same time raising the revenue to do so, we quite quickly head towards national bankruptcy. That is why we have a Budget each year in which the Government, with an even hand, balance those things. If we simply allowed the House as a whole to initiate unfunded expenditure, we would rapidly go bust.
ParlaMint-GB_2018-05-21-commons.u483	The hon. Gentleman makes a very compelling case for voting against a money resolution, but does he understand that that is not an argument for not tabling a money resolution?
ParlaMint-GB_2018-05-21-commons.u484	Perhaps I should elaborate further on the distinction I was drawing about the power to initiate expenditure. The Government rightly have the power to initiate debates and votes on expenditure. In this case, the Government are choosing—this may change, but at the moment they are choosing—not to do so The second reason why it is reasonable for the Government rather than the House as a whole to have the power to initiate significant expenditure is that if the House as a whole took that power on itself, the House as a whole would in effect become the Government or the Executive, and rather than having a system of Cabinet Government, the whole House would in effect become the Cabinet and the established system of Government would fundamentally cease to exist. Although this seems like quite an arcane point, there is in fact a profound constitutional principle underpinning it. The whole role of Parliament would fundamentally alter if we took the step being contemplated.
ParlaMint-GB_2018-05-21-commons.u485	The hon. Gentleman is in effect saying that a Member who is successful in the private Members’ Bills ballot should go to the Government to see whether they will give it their approval before progressing with the Bill. Is that what we should do?
ParlaMint-GB_2018-05-21-commons.u486	No, that is not what we should do. I am specifically referring to the expenditure of significant amounts of money that requires budgetary balance—a discipline Labour Members may well want to reflect on The right hon. Member for North Durham listed a number of private Members’ Bills over the years, some of which have been very significant, but as my right hon. Friend the Member for Forest of Dean pointed out in an intervention, almost all—in fact, all—of the private Members’ Bills that were listed did not require significant expenditure. The distinction I draw is about initiating expenditure and the balance between the Executive and the legislature.
ParlaMint-GB_2018-05-21-commons.u487	That is fine, but will we then get a situation in which, when someone initiates a private Member’s Bill, we get into a debate not about whether it needs a money resolution, but whether it needs what is deemed to be a significant amount of expenditure? As we all know, what is significant in the eyes of one person is different from what is significant in the eyes of others.
ParlaMint-GB_2018-05-21-commons.u488	I hope that the right hon. Gentleman is not suggesting that the expenditure in this case—I think it is some £13 million—is insignificant; that money would pay for 300 nurses. If Labour Members are seeking to advance the argument that £13 million of our constituents’ money is insignificant, I think they are sorely mistaken. If that is their attitude, it perhaps explains why the deficit they bequeathed us in 2010 was quite so large To move on to the process, the Government are taking quite a sensible view by saying that they will wait and see when it comes to the money resolution for this private Member’s Bill, because we have an active process that is currently running and on which considerable time and money have already been expended. There will be a report to the Government and also to the House in a matter of three or four months, and to have two separate processes cutting across and indeed contradicting each other before the House has reached a decision on the first process strikes me as duplicative and wasteful. It is therefore quite reasonable to wait for three or four months—it is not very long: a matter of a few weeks—before deciding how to proceed The House itself will reach a decision about the proposed boundaries with 600 constituencies in the month of October, and having waited seven or eight years we can quite comfortably wait until then. At that point, we will of course have a debate about the Boundary Commission proposals, and the fact that the Government are prepared to wait and see with regard to this private Member’s Bill until then hints at some degree of open-mindedness about the outcome of whether we are equalising at 600 or 650 constituencies. That open-mindedness actually shows respect for the House because the Government are saying that they will listen to the House’s opinion in a few months’ time. There are of course good arguments on both sides—in favour of 600 and in favour of 650. The arguments in favour of 600, of course, relate to reducing the cost of and having a more manageable House, but there are clearly good arguments in favour of 650, not least—
ParlaMint-GB_2018-05-21-commons.u489	rose—
ParlaMint-GB_2018-05-21-commons.u490	I want to conclude, as other Members want to speak Not least among the arguments for 650 is the fact that we in this House will have more work to do when powers return from the European Parliament, where they are currently exercised. We will have that debate in due course. The Government are being pragmatic and sensible by keeping the door open for this private Member’s Bill until the House makes its decision known. On the fundamental constitutional principle of who initiates expenditure and whether this House acts as a legislature or as an Executive, I think the Government and the Leader of the House are quite right and she enjoys my enthusiastic and unqualified support.
ParlaMint-GB_2018-05-21-commons.u491	I shall keep my comments brief, as I am aware that my hon. Friend the Member for Manchester, Gorton (Afzal Khan) needs to respond to this very important debate I would like to take at face value the comments made by the Leader of the House about her being a champion for the Chamber. I will not go as far as other Members, but I will say that we have to do far more on the rights of Back-Bench Members to secure new legislation. When I presented my private Member’s Bill to reduce the voting age to 16, it was not the money resolution that blocked it. We had 150-plus MPs present to move a closure motion, but unfortunately the previous Bill was deliberately talked out by the Government. That is very difficult, because the Bill that was considered before mine was legitimate and important, and was on a subject that was very sensitive. How could I object to that? But that tactic is deployed regularly on Bills with broad support in order to frustrate the process a bit further on If David Cameron was serious about reducing the cost of politics, it cannot be right that the payroll vote, as it stands, is the biggest since 1979. The number of people who are paid or unpaid members of the Government —Ministers or Parliamentary Private Secretaries—is high, at 21% of the House of Commons. If the number of MPs is reduced to 600, nearly a quarter of all members of the Commons will be on the Government payroll, which will reduce even further the ability of this Chamber to be independent, to hold the Government to account in the way that a democracy ought to, and to have good governance in place because of that Every Prime Minister has the right to nominate Members to the House of Lords, and every Prime Minister in my memory has exercised that right, but it is hypocritical to say that the decision to reduce the number of MPs by 50 is about reducing the cost of democracy while in the same breath appointing more Members to the House of Lords. If that proposed change goes through, there will be 215 more Members of the House of Lords than of the House of Commons, so the second Chamber would be significantly bigger than the elected Chamber I want to say this in defence of MPs—
ParlaMint-GB_2018-05-21-commons.u492	Will my hon. Friend give way?
ParlaMint-GB_2018-05-21-commons.u493	I am not going to, just because I have only about a minute left In defence of MPs, we ought to be very careful not to downgrade the work we do to represent our constituents. It is all right to say in a flippant way that there could be fewer MPs and the public would not even notice, but what I can say is that in my constituency on a Friday and Saturday there are people who need help. I do not just come to Parliament to make laws; I go back to Oldham to give people support and to help them navigate the system of Government Departments. We do our best. If Member support is part of the cost, it cannot be right for the Government to have it in mind to reduce the number of caseworkers or researchers who support parliamentary activity. MPs have to be given the right support to do the job properly The truth is what we will really be saving is the money around the edges—MPs’ salaries and minor travel and accommodation costs—because the staffing contingent, which is the largest budget, will remain the same. Let us be honest about this: it is about gaming the system, in the way that individual voter registration has gamed the system and in the way that we have seen the House of Lords packed—be honest about it, and at least defend it.
ParlaMint-GB_2018-05-21-commons.u494	With the leave of the House, I thank all Members for their contributions. It has been a wide debate. My Bill has the unanimous support of the House, and the Government should follow the procedures that they have followed and affirmed until recently, and table a money resolution. If they then want to vote against it, they can, but they need to table the money resolution so that we can have a debate. My Bill covers a vital constitutional issue and this cannot happen in the backrooms of Government Question put and agreed to Resolved, That this House has considered the expectation that the Government brings forward a Money resolution relating to a private Member’s bill which has received a second reading.
