ParlaMint-GB_2018-03-23-lords.u1	That the House do now resolve itself into Committee Amendment to the Motion
ParlaMint-GB_2018-03-23-lords.u142	My Lords, does the Minister not understand that he sounds rather complacent on this issue? I have to ask: why do other European countries have state-owned companies? It is because of their concerns around security. To most of us, it seems quite a bizarre decision that, while other countries are producing their passports at home, we have taken that away from a company which, by all accounts, has provided an excellent service to this country. There is a risk of workers in this country losing their jobs now that that company has lost a flagship contract. Given the rhetoric of Ministers that Brexit means taking back control, is the Minister able to tell the House how taking back control means handing out the passport contract to another country I have two further questions on the issue of security. First, the Minister dismissed security implications because the passports are blank, but I would question that and ask whether our security agencies feel the same. How are we going to ensure compliance when a company outside the country is producing the passports? Secondly, as we move forward with the digital development of passports, what plans are being considered now to ensure compliance with security arrangements in those circumstances?
ParlaMint-GB_2018-03-23-lords.u143	I thank the noble Baroness for her questions, in which she made a number of points. There will be jobs created in this country under the new contract. Under the present contract, 20% of the blank passports are already manufactured overseas. As far as the security issue is concerned, under the new contract all passports will continue to be personalised with the passport holder’s personal details, such as name and photograph, in the United Kingdom. This will ensure that no personal data will leave the United Kingdom.
ParlaMint-GB_2018-03-23-lords.u144	My Lords, the farce of the blue passports continues. The Minister has confirmed that the Government could have created a state company to produce these passports and they seem to have been remarkably unprepared for the furore that was bound to welcome this application of EU public procurement rules. Will he also confirm that we could have had whatever colour of passport we wanted, since burgundy was always optional? We could have had pink, for example. Can the Minister also remind the House of the Prime Minister’s Mansion House speech, when she said she wanted a reciprocal binding commitment to fair and open competition with the EU? Presumably that covers not only state-aided competition but public procurement, so we will essentially continue to apply EU competition rules. Finally, will the Minister remind us whether Brexiteers are protectionists or global free traders? Surely they cannot be both.
ParlaMint-GB_2018-03-23-lords.u145	My Lords, the first thing that I should make clear is that the regulations under which this tender was competed for were under EU law, WTO law and UK law. As for the colour, the noble Baroness mentioned pink—rather similar to her rather fine coat—but I like the idea of having a blue passport again. The noble Baroness also drifted off into other areas that are outside this Question, therefore I will not answer.
ParlaMint-GB_2018-03-23-lords.u146	My Lords, can my noble friend not see the irony that jobs will be lost in the north-east, which voted overwhelmingly to leave the European Union, because the Government are arguing that a state company in France, which does not have to make a profit, should be given preference over a company that does have to make a profit and is employing people in Britain? Surely that is an extraordinary position for a Conservative Government to take Will my noble friend indicate why he thinks there is not a security issue concerned with the manufacture of British passports? I note that he has not gone on the security issue: he has chosen another argument, which is that nationalised companies should be given preference over companies that need to make a profit. That is yet another reason why we need to get out of the European Union.
ParlaMint-GB_2018-03-23-lords.u147	My Lords, I thank my noble friend for his question. He rather put words into my mouth in certain areas. What is really important in this issue is to ensure that we get value for money for the taxpayer, as I am sure my noble friend would agree. He must also be aware—I am sure I have heard him say as much in the Chamber and I would be very surprised if I had not—how important it is that the UK is now a global country and able to seek the best deal for the taxpayer for this sort of contract. This is a good contract. It will save the taxpayer money. All these contracts have to go through a commercial process. In this case, as I said, jobs will be created in this country by this new contract.
ParlaMint-GB_2018-03-23-lords.u148	My Lords, the Minister talks as though the contract has already been concluded. My understanding, from those involved in submitting bids, is that it has not been concluded and there is an opportunity for the Government to think again. Will he go back to his Secretary of State—that is as much as I can ask him—and say that, on both sides of this House, there is a desire that this should be reviewed in the name not just of security but of national pride.
ParlaMint-GB_2018-03-23-lords.u149	My Lords, I thank the noble Lord for that question. As far as the process of tendering is concerned, the three bidders were notified of the outcome of the competition on 21 March. Following the notification, there is a regulatory standstill period of a minimum of 10 days before the contract can be signed. A public announcement to confirm the winning bidder will be made once the contract has formally been awarded. I also note what the noble Lord said and I will ensure that the Minister is aware of his concerns.
ParlaMint-GB_2018-03-23-lords.u150	My Lords, Members will realise that Amendment 1 and the amendments associated with it in the grouping go to the heart of the argument in this Bill. I am sorry that I was not able to be here for the debate at Second Reading or I would have spoken then, but it might be helpful to the Committee if I give a brief outline of how the conscience clause arose in the first place. I say that because most noble Lords believe that the Medical Termination of Pregnancy Bill, as it then was, began under me in the House of Commons. That is not the case. That Bill was passed by this House in the mid-1960s. It went through all its stages here and was waiting for a Member to pick it up in the House of Commons In the meantime, going back as far as 1939, there had been an interdepartmental committee of inquiry, involving the Department of Health and the Home Office under the late Sir Norman Birkett KC, which argued that the abortion law should be changed. My Bill, which was passed by this House under the auspices of Lord Silkin, was in fact the sixth attempt in the House of Commons to change the law on abortion. The others had all failed not through lack of support but through lack of time. I drew the third place in the ballot, which meant that I had the time to introduce the Bill The first thing I want to say is that it is wrong that issues of this complexity and seriousness should be left to the lottery, which is what it is, of the annual ballot for Private Member’s Bills in the House of Commons; it is not the right way to proceed. Once an issue like this comes before both Houses, the Government should provide the necessary time, both Houses should of course have a free vote, and we should proceed in that way. The same thing happened with my Bill on retirement. It would never have got through the Commons had it not been for a Conservative MP who picked it up The Bill I presented and which was carried at Second Reading by a large free vote was the Bill that came from this House. However, during the Committee stage many amendments were made to the Bill, largely by myself. Most of them had nothing to do with this Bill and I shall not go into them, but the important one was the conscience clause. How did that come about? Quite simply, I had in my constituency the leading Catholic seminary known as St Andrew’s College, Drygrange. Its representatives were naturally a bit upset that their MP was introducing a Bill to which they were so strongly opposed, so they asked me to speak to them. I think that I went twice, if not three times, for discussions with them. It was they who suggested that in view of the strong opposition to the Bill, there should be a conscience clause, given that under the new legislation no person was required to undergo an abortion, so nor should any person be required to participate in an abortion. I went to meet them armed with an important document which had been published by the Board of Moral and Social Responsibility of the Church of England, entitled Abortion: An Ethical Discussion. Unfortunately it is now out of date and out of print, but perhaps I may quote two short extracts from it In referring back to the fact that Catholic tradition had changed over the centuries—from the moment of animation to the moment of conception—the report argued: “It cannot be maintained, however, that this ‘absolutist’ position has ever commanded, or commands now, general acceptance in the Christian conscience … If we were to accept the absolutist principle and declare the foetus to be in all circumstances inviolable, this pamphlet would end at this point. There would be really nothing more to be said: there could be no further discussion, in terms of Christian ethics, of the problems attending the complicated pregnancy … and a Christian committee could have nothing to say to the legislature except to advocate a total prohibition of all induced abortion. Such a determination would be, in fact, a novel departure from the Christian moral tradition” That was the argument I put to the college representatives, but I accept their argument that it was wrong, in passing the legislation, to inflict responsibility on those who strongly objected to it. I came back from those discussions to talk with other members of the committee, including the late Norman St John-Stevas, who was a leading opponent of the Bill. We worked together to introduce the conscience clause as it now stands in the law Then, a few years ago, two midwives who had reached a senior position in Glasgow objected to being involved in the administration of abortion in the hospital. The health board took them to court and argued that the conscience clause should not be extended to the extent they were arguing for. The case went up to the Supreme Court, which made it quite clear that it supported the original intention of the Act. Its judgment said: “Parliament will not have had in mind the hospital managers who decide to offer an abortion service, the administrators who decide how best that service can be organised within the hospital … the caterers who provide the patients with food, and the cleaners who provide them with a safe and hygienic environment. Yet all may be said in some way to be facilitating the carrying out of the treatment involved” That is why I believe the Bill is wrong in principle. It seeks to reverse the Supreme Court’s decision, which is upholding the law as it was passed by this Parliament. I beg to move.
ParlaMint-GB_2018-03-23-lords.u151	My Lords, my name is added to this group of amendments. I intend to speak very briefly to say that the purpose of the amendments tabled by the noble Lord, Lord Steel, is to redefine in the Bill what constitutes participation in an activity to bring it into line with the existing law. This would mean that healthcare professionals could opt out of hands-on participation, such as performing a surgical abortion or dispensing abortion pills, but not out of things such as organising a staff rota where some of the staff on the rota might be taking part in abortion services. This is because we support the right of healthcare professionals to opt out of participating in a hands-on capacity. The noble Lord explained the history, roots and the discussions that led to this and why it has been maintained for so many years as the acceptable and sensible way forward. It is not just my view or that of these Benches. It is also supported by medical bodies such as the British Medical Association, the Royal College of Obstetricians and Gynaecologists and many other organisations, including the British Pregnancy Advisory Service. I will leave my remarks at that while we have this debate.
ParlaMint-GB_2018-03-23-lords.u152	Does my noble friend not agree that there might be some fellows of the Royal College of Obstetricians and Gynaecologists who do not agree with the briefing material that the council has sent to the House of Lords?
ParlaMint-GB_2018-03-23-lords.u153	That is the point, in a way, of the current situation: it allows people to disagree and to not have to participate in hands-on terminations.
ParlaMint-GB_2018-03-23-lords.u154	My Lords, I too support the amendment and the obvious corollary amendments later, which are designed to confine the conscience exemption to hands-on participation, as explained in the Supreme Court decision to which the noble Lord, Lord Steel of Aikwood, referred—the Doogan case, which came from Scotland. As amended in the proposed way, the Bill would precisely give effect to that unanimous decision of the Supreme Court. It was a single, convincing judgment from the noble and learned Baroness, Lady Hale, who is now, of course, the President of that court. That decision is the last and most authoritative word on the true interpretation of Section 4 of the 1967 Act, the conscientious objection clause, which has now stood for half a century Although an article by the noble Baroness, Lady O’Loan, in The House magazine published shortly before Second Reading suggested that the Doogan decision had in fact narrowed that statutory exemption and that therefore there should now be a wider interpretation in order to “re-establish” or “reaffirm” what Parliament enacted 50 years ago, that is not so. As I have no doubt the noble and learned Lord, Lord Mackay of Clashfern, would confirm, Doogan, on the law as it currently stands, was correctly decided and what this Bill now seeks to do, therefore, is to persuade Parliament to change the law and to give an altogether wider reach to the previous conscience clause than has hitherto been thought appropriate.
ParlaMint-GB_2018-03-23-lords.u155	I hesitate to interrupt the noble and learned Lord, but will he confirm that abortion is not always lawful? Abortion is lawful only in those situations in which it was decriminalised under the Abortion Act 1967.
ParlaMint-GB_2018-03-23-lords.u156	I absolutely accept that of course that is right. I was putting it in that shorthand way simply to make the point. Of course, everything that I say in this respect plainly applies only to lawful abortion under the Act. It is in that context that we are debating the question. I suggest in parenthesis that it is intolerable that, for example, certain abortion clinics are from time to time surrounded by protestors who harass and intimidate those who are attending for—let me insert the word—lawful treatment by termination I return briefly to the judgment in Doogan, which explains, at paragraph 11, that participation means actually taking part in the process. Following a lengthy section of the judgment, which I will not weary the House with but which closely analyses the competing arguments on the case, the noble and learned Baroness, Lady Hale, returns to the all-important question at paragraph 38, the paragraph that the noble Lord, Lord Steel, quoted. I will just give a slightly fuller quotation, because he left out one or two bits that I think are worth reading into the record. He read this bit but I will read on. Paragraph 38 says: “It is unlikely that, in enacting the conscience clause, Parliament had in mind the host of ancillary, administrative and managerial tasks that might be associated with those acts. Parliament will not have had in mind the hospital managers who decide to offer an abortion service, the administrators who decide how best that service can be organised within the hospital (for example, by assigning some terminations to the Labour Ward, some to the Fetal Medicine Unit and some to the Gynaecology Ward), the caterers who provide the patients with food, and the cleaners who provide them with a safe and hygienic environment. Yet all may be said in some way to be facilitating the carrying out of the treatment involved. The managerial and supervisory tasks carried out by the Labour Ward Co-ordinators are closer to these roles than they are to the role of providing the treatment which brings about the termination of the pregnancy. ‘Participate’ in my view means taking part in a ‘hands-on’ capacity” That is the theme taken up by the shorthand encapsulation of this judgment in Amendment 1 and a certain amendment which will follow In the very next paragraph of the judgment, there then follows an enormously helpful and detailed exegesis of that approach—a test of the principle against what was in that decision. It is an agreed list of 13 tasks included in the role of the two petitioners in that case, as labour ward co-ordinators. Some of those tasks were held to be covered by the conscience clause and others were held not to be. Some were specifically held to be covered but to an explicitly defined extent It is tempting to read out the entire paragraph and to invite a clear indication from those who resist these amendments as to where they are suggested to be too restrictive of the exemption provision. But in the interests of brevity I will simply quote three of the shorter sub-paragraphs, which set out certain of the agreed tasks. The first task referred to, “management of resources within the Labour Ward, including taking telephone calls from the Fetal Medicine Unit to arrange medical terminations of pregnancy; this is not covered by the conscience clause as interpreted above” The sixth task referred to is, “responding to requests for assistance, including responding to the nurse call system and the emergency pull; responding by itself is not covered; it would depend upon the assistance requested whether it was part of the treatment for a termination” Finally, there is sub-paragraph 11—no, perhaps sub-paragraph 10, as it is shorter. It refers to: “communicating with other professionals, eg paging anaesthetists; this is a managerial task which is not covered by the conscience clause as interpreted above” If it is unamended, the Bill would provide exemption from all these tasks by those in the position of the two Doogan petitioners.
ParlaMint-GB_2018-03-23-lords.u157	I wonder whether I may press the noble and learned Lord on the specific question of exemption. While I share some of his concerns that a list that included hospital porters and so on would be exhaustive, was never envisaged and is not what I think the sponsor of the Bill would wish to see, where does the noble and learned Lord stand on the question of Mary Doogan and whether she should have the right to opt out of participating, even through facilitation through lists rather than in a hands-on way as the amendment states? Where would he stand on something as specific as that case? Notwithstanding whether it was lawful or not, does he think that the law should be changed to provide reasonable accommodation for someone such as Mary Doogan?
ParlaMint-GB_2018-03-23-lords.u158	With respect, I stand precisely with the Supreme Court. I think those 13 tasks were analysed and responded to by the court in precisely the right place. Of course these borderlines are not easy to draw, but the court went to infinite pains to draw them as precisely as possible, consistent with the proper exercise of conscience if you are what was there described as involved in a hands-on participatory role, but not otherwise. It is simply an ever-widening sphere of activity ever further from the actual direct termination if you simply throw the exemption open to anybody on an administrative or managerial basis. I stand with the Supreme Court; it is a decision to which I would happily have subscribed What is now sought by this Bill is a significant, if necessarily worryingly imprecise, enlargement of the scope of the conscience clause. I shall add only this. As I observed at Second Reading, two responsible and respected bodies, the Royal College of Midwives and the British Pregnancy Advisory Service intervened in the Supreme Court proceedings in the Doogan case, opposed the petitioners and supported the opposite view. They opposed giving a broader scope to the right of conscientious objection. They suggested that to do so put at risk the provision of a safe and accessible abortion service and could put at risk the employment of those with less extreme conscientious objections than the two petitioners. Be that as it may, it certainly must not be assumed that the existing law risks a diminution of the obviously necessary workforce involved in giving effect to lawful abortion rights I concentrated my observations on Clause 1(1)(c), on termination, but in truth they apply similarly across the entire scope of the Bill. I therefore strongly urge the Committee to accept Amendment 1.
ParlaMint-GB_2018-03-23-lords.u159	My Lords, I strongly support the amendments in the name of the noble Lord, Lord Steel, and others. I apologise to the Committee for not being here for Second Reading for various reasons. I was almost prevented from coming today, but I managed to struggle here. I have the utmost respect for the noble Baroness, Lady O’Loan, and for the reasons behind her Bill, but when I examined it I was immediately struck by what seems to be a conflict between, on the one hand, putting a patient’s best interests first and, on the other, the doctor’s conscientious objection to providing certain treatments. I should perhaps explain how I came to that concern and why I support these amendments by expressing my interests I was in the distant past dean of the faculty of medicine in Manchester—a faculty, incidentally, that included nursing and dentistry as well as medicine—and then president of the Royal College of Physicians. In both roles, I was at pains to instil high standards of care in our students and trainees, but I must say that I was brought up short later when I became president of the Medical Protection Society. In that role, I had to face doctors who had failed their patients in one way or another—quite a shock to the system after what I had been trying to do until then to ensure ethical and moral behaviour, focusing heavily on putting the patient at the centre of everything that we do as doctors.
ParlaMint-GB_2018-03-23-lords.u160	I may have misunderstood the noble Lord, but I think that he said that the Bill would enable a doctor who will not engage with a particular process to prevent somebody else from engaging in that process. Is that what the noble Lord said? Could he explain to me why he said it, if so, so that I can understand better?
ParlaMint-GB_2018-03-23-lords.u161	The wording of the Bill makes sure that a doctor who has conscientious objections to a procedure has a responsibility under the Bill to prevent others being involved in such procedures, and in their training and supervision, which makes it very difficult for someone working with them to carry out such procedures.
ParlaMint-GB_2018-03-23-lords.u162	Can I ask the noble Lord to refer me to the section of the Bill that does that, because it is not the intention of the Bill, and I actually do not believe that it is the effect?
ParlaMint-GB_2018-03-23-lords.u163	I can. Clause 1(1)(c) refers to: “No medical practitioner with a conscientious objection to participating in … any activity … required to prepare for, support or perform termination of pregnancy”, in this instance.
ParlaMint-GB_2018-03-23-lords.u164	My Lords, I spoke at Second Reading against this Bill, very much in support of the result of the judgment of the noble and learned Baroness, Lady Hale. From what she says towards the end of her judgment, we are not tied to the literal meaning of “hands on”. I also refer to the article on this Bill in the House magazine by the noble Baroness, Lady O’Loan, in the week of the Second Reading, where she employed the apparently simple phrase the “taking of human life”. In terms of realising that we all do not share our definitions of the same starting point and end point of life, I believe that in this field we do not all have the same premises to anchor our consciences. To the extent that this Bill is built upon a particular version of what is meant by “human life”, we are bound to end up with differing conclusions and disagreements As has been made clear by the noble and learned Baroness, Lady Hale, at the end she enlarged on her “hands on” phrase with her examination and analysis of the 13 tasks of the petitioners’ role. I believe that is the best definition of the phrase that we need, which has been very fully covered by the noble and learned Lord, Lord Brown of Eaton-under-Heywood. He, like me, regards that as an anchor for interpreting the current law. To go back to a much earlier part of the noble and learned Baroness’s judgment, to paragraph 11, she went back in time to help to show how the law had arrived at the present situation, and how “participation” had come to be defined. The noble and learned Lord, Lord Brown, gave details of the case that I was going to mention—the 1989 case, in the House of Lords. The noble and learned Baroness interestingly said that it was, “a case which all parties accept was rightly decided”, the “all parties” being the parties before her in that case I shall not give the details of the Janaway occupation, which the noble and learned Lord, Lord Brown of Eaton-under-Heywood, gave, but it was decided then that participating meant actually taking part in the process of terminating the pregnancy. The noble and learned Baroness, Lady Hale, added that it did not have the extended meaning given to participation in the criminal law, as the noble and learned Lord, Lord Brown, again enlarged on. So that submission failed and, apparently, all parties to the present case agreed it was rightly decided, as I said I mention all this detail in order to ask whether we are in danger, by this Bill, of having to reverse what was decided in 1989, or even earlier. The Bill is trying to solve very complex problems by the very heavy imposition of a statute law that is quite unsuitable and insensitive for what it is trying to achieve. When we come to Amendment 15 it will be seen how much the weight of this statute law proposal would need to be softened by a more balanced and humane approach. For the moment, I fully support Amendments 1 and 3.
ParlaMint-GB_2018-03-23-lords.u165	My Lords, I support Amendment 1, in the name of the noble Lord, Lord Steel, and the other amendments in the group. I will restate what I said at Second Reading, so that there is absolutely no doubt. I completely respect conscientious objection—religious and non-religious. I respect and defend the right to freedom of religion and belief, but not the right to impose them upon others who do not share them and, by so doing, diminish the rights and legal choices of others. It is always a joy to refer to the comments of the noble and learned Lord, Lord Brown of Eaton-under-Heywood, with whom I absolutely agree. This is an attempt to rewrite the law in the light of the Supreme Court judgment delivered by the noble and learned Baroness, Lady Hale, in the Greater Glasgow Health Board v Doogan If the Bill were to become law unamended, we would see conscientious objection so widened beyond the wise judgment of the noble and learned Baroness as to make certain services, such as IVF treatment, end-of-life care and abortions, difficult to access and sustain nationally. We would witness the imposition of belief to curtail the legal choices and options of others. I support these amendments because they would reinforce existing law. As has already been said, conscientious objection is clearly laid out in statute, and has a clear interpretation in law. This is that no person shall be under a duty to participate in a “hands-on” capacity in the termination of pregnancy, except in a clinical emergency. This definition is long established, supported by medical colleges and professional organisations as well as organisations such as the British Pregnancy Advisory Service. There is no convincing, independent, impartial evidence to indicate that it is operating poorly Therefore, these amendments seek to retain the existing scope of conscientious objection, which is already in legislation. It is in the Abortion Act 1967 and the Human Fertilisation and Embryology Act 1980. It is worth restating that the Abortion Act 1967 says that, “no person shall be under any duty, whether by contract or by any statutory or other legal requirement, to participate in any treatment authorised by this Act to which he has a conscientious objection”, but provides an exception for termination, “to save the life or to prevent grave permanent injury to the physical or mental health”, of the woman. The interpretation of this provision is found in the 2014 Supreme Court judgment in Doogan. That judgment absolutely upholds the concept of “hands on”. The noble and learned Lord, Lord Brown, has already gone into the details of that judgment In conclusion, the current law effectively balances rights. Conscientious objection must seek to balance the rights of healthcare professionals to act within their own ethical principles and the rights of patients to access legal medical care. The support of professional bodies and organisations for the principle of conscientious objection makes it clear that healthcare professionals are not expected to take a hands-on role in terminations of pregnancy, IVF or end-of-life care, which I will come on to when we debate later amendments. At the same time, patients must have the ability to exercise their rights to access legal healthcare. Conscientious objection cannot be allowed to undermine the rights of women, and others, to access services.
ParlaMint-GB_2018-03-23-lords.u166	My Lords, I want to speak in very general terms in relation to Amendment 1 by the noble Lord, Lord Steel. As the noble Lord explained, in the Act that he ultimately had the responsibility for leading, it is quite plain that conscientious objection in the area of abortion is recognised and protected. The question really is: what is the extent to which that should be recognised? I should perhaps say that I am an honorary fellow of the Royal College of Obstetricians and Gynaecologists—though, needless to say, I have not sought to put it into practice in any sense I have of course been in this area of responsibility for statutory provision, in particular in relation to the Human Fertilisation and Embryology Act 1990. Your Lordships who are old enough to remember those proceedings will also remember that the Government decided that, for most of the issues that were of significance under that Bill, there should be a free vote. The Bill started in the House of Lords. One key question that needed to be decided, in an open vote—not compulsory, not whipped or anything of that sort—was to what extent research on embryos should be allowed. There was general agreement that, at least up to the first 14 days after conception, matters were not such that there was really a human life involved. It was certainly possible to take the view that, from 14 days onwards, a human life was involved and that, as life developed, ultimately there was hope that there would be a fully developed, healthy child. The dispute, which was very lively in this House, was whether research should be allowed on embryos before that happened. Ultimately, the vote was in favour of allowing research on embryos. The Bill started, as I said, in the House of Lords, and I was extremely glad the vote went that way, and with a fairly substantial majority However, the Bill of course had to go through the House of Commons—again with a free vote, naturally—and I had to hold my breath as to what might happen when the Bill arrived there. There was a strong lobby against any kind of embryonic research; indeed, I know some people who are still of that point of view. Anyway, it went to the House of Commons and the thing that frightened me very much was that it was agreed by parliamentary counsel that the scope of the Bill allowed debate on abortion. With free votes around, noble Lords can understand my anticipation that matters might have become extremely difficult. The debates turned out much better in their result than I had feared. I did not really know what the attitude in the Commons would be, but I was afraid that they might diverge from that of the House of Lords. Fortunately, on both matters, these votes produced the same result. Therefore, I do not come to this Bill without experience of trying to deal with this matter On another aspect of this matter, I had the honour of originally nominating as a judge the noble and learned Baroness, Lady Hale, as she now is. I regard the point of view which I advocated as fully vindicated by what has happened. It has to be said that the Supreme Court interpreted the law that had been laid down by statute. That is the job of the courts, not to make new law where there is a clear statutory law binding the situation. Its judgment is a clear and emphatic interpretation of the law as it has been The difficulty for me—I make it clear that it is a difficulty—is the nature of the objection that most people who have conscientious objection have to the activity of abortion. I contacted one of the authorities that have been in touch with us on the Bill and I have the impression that the number of practitioners who have conscientious objection is not huge. There is not too much in the way of statistics to back up one view or the other, but that is the impression I have in trying to understand what the position is. I do not want to take up too much time looking at the other areas where this Bill deals with conscientious objection, but in relation to abortion the conscientious objection is that the abortion operation destroys a human life. If you really believe that and if that is your conscientious objection, it is difficult to be involved in anything which promotes that. You do not want to kill people. That is the sort of point that the noble Lord, Lord Alton, made at Second Reading, to which my noble and learned friend—he is certainly my noble and learned friend—Lord Brown of Eaton-under-Heywood referred. However, that is the difficulty I have: recognising what the real conscientious objection is and giving effect to it I understand the arguments. The noble Lord, Lord Cashman, stated very precisely and correctly what freedom of religion and freedom of conscience in this country are. They include respect for the rights and freedoms of others. Therefore, it is difficult to see how this measure can be introduced in the ordinary administration of the National Health Service. If that is your conscientious objection, it extends beyond having a hands-on interest in the matter. I understand completely that if it extends beyond that, it will have an effect on the administration of the National Health Service How do you recognise the real objection, not somebody else’s formulation of it, but the people who have this objection? I think I am right in saying that that is basically what they believe. It is very difficult to see why they should be involved in anything that promotes what they object to. I have thought hard about this issue. The words that are used to expand it are difficult and some of them are stretching. I wonder whether the amendment proposed by the noble Lord, Lord Winston, in that connection might deal with that matter. If you have a very broad objection on the basis that I have said, it may be difficult to fit you into the system. There is a balance in this. If the people making the relevant appointments know what your objection is, they can take account of it in determining whether you are suitable to be fitted into the system to do a particular job. There will be jobs that are very close to the killing that they think is happening, and those that are more remote from it. It is difficult to draw that line exactly That is why a solution may be Amendment 25, in the name of the noble Lord, Lord Winston, which would mean that when you are seeking a job you would tell people what your conscientious objection is and what it extends to. An objection to that is that it discriminates against people who have a conscientious objection, and I can quite understand that too. But on the other hand, it seems that some way of limiting the interference with the administration is required to be found. That is what this Committee may be able to do. I have thought myself about what amendment I might put down, but I fear that I am not wise enough to have thought exactly about how you would frame it. Therefore I was comforted by the way the noble Lord, Lord Winston, would do it, finding out when you make an appointment whether the person with this kind of objection can be fitted into that appointment. I have not so far thought of anything better than that, and I will be glad in due course to hear what the noble Lord, Lord Winston, has to say about that. I have had considerable experience of his skills in this area from my history of involvement in this matter It is for us to do our best to try to accommodate the real conscientious objection that exists here consistently with proper administration for the health service. That has been well expressed by the noble Lord, Lord Cashman, who I think wants to say something.
ParlaMint-GB_2018-03-23-lords.u167	I wanted to develop the noble and learned Lord’s theme of recognising the objection then allowing someone else in the chain—in the pool of services—to take that on. However, Clause 1(2) says that: “For the purposes of subsection (1) … ‘participating in an activity’ includes any supervision, delegation, planning or supporting of staff”, so that would prohibit the very approach the noble and learned Lord has outlined. In addition, not that I belong to any religious group at all, but Buddhists approach these issues with the concept of right belief, right livelihood.
ParlaMint-GB_2018-03-23-lords.u168	My Lords, to add to that, in the debate at Second Reading, the noble and learned Lord suggested that there need to be amendments to the Bill, but the movers of the Bill have not brought forward any of those amendments to allow us to have that discussion.
ParlaMint-GB_2018-03-23-lords.u169	I was looking for help in this area from people who know better than me about administration, because I have never participated in the administration of the National Health Service, and I am thankful that I was able to find some other employment. The noble Lord, Lord Winston, has proposed an amendment which—subject to the objections I mentioned, that you would discriminate against people with a conscientious objection—is a way of fitting this into the administration. For example, they may think that the only way you can deal with this is to have the person at a certain grade, but one of the things about conscience is that you must be prepared to make sacrifices to secure your conscientious objection. I do not say for a minute that I want to justify any discrimination on the ground of conscience, but this is not discrimination. It is trying to fit the system to accommodate, so far as possible, the real objection people have. It is not just an objection to being hands-on; they are thinking about killing human life. I think all of us would think, if that idea were correct, that that was a very dangerous operation to have regard to.
ParlaMint-GB_2018-03-23-lords.u170	I take exception to that idea. There are people in this Chamber who do not agree with that definition of killing human life at that stage of an embryo’s growth.
ParlaMint-GB_2018-03-23-lords.u171	I am not saying that this is right; I am trying to describe what I believe to be the conscientious objection. I am not saying that it is proper. I have not applied for the health service, unfortunately, so I do not need to say what the extent of my conscientious objection would be, but there is no doubt in my mind that that is the nature of the conscientious objection, although people may have slightly different views about how far it extends. That is why the suggestion of the noble Lord, Lord Winston—I acknowledge his wisdom—is the best way forward, subject of course to making sure that it was used not in a discriminatory way but in trying to accommodate the full extent of the objection within the framework of the administration of the health service.
ParlaMint-GB_2018-03-23-lords.u172	Does the noble and learned Lord accept, though, that the narrow case of Mary Doogan and the midwives in Scotland—she had after all been involved in more than 5,000 live births, bringing children into the world—illustrates what could never have been in the minds of legislators in 1967, as one can see in the Hansard of that period, and how much things have changed in the intervening years? That is not just about changes in attitude and culture; to pick up the point that the noble Baroness just made to the noble and learned Lord, there are those among us who believe that life begins at conception and that the science is right, and therefore that the law is right in saying that, for instance, as he referred to earlier, only for the first 14 days can experiments take place on the human embryo. That must be 14 days after something, and the law states that explicitly. That is not an unreasonable position, although I accept that these are contested positions. How therefore do we find, in a society where we respect difference, that there can be contested positions without discrimination falling on those who carry out those contests?
ParlaMint-GB_2018-03-23-lords.u173	That is why probably the best solution that I have seen so far is to try to accommodate a contract on which you enter such conscientious objections as you have. I can see that that may limit the opportunities within the health service that a person with a conscientious objection has, but then that may be part of what you have to do.
ParlaMint-GB_2018-03-23-lords.u174	Does the noble and learned Lord therefore think it is a good situation for us to be in that, for instance, people who have religious views or who are atheists and are opposed to taking the life of an unborn child in the womb are by and large pretty well excluded now from gynaecology and obstetrics? The noble Lord, Lord Winston, says from a sedentary position that that is not true. If he can give an example to me of, for instance, people who hold deeply committed Christian evangelical views or who are committed Roman Catholics or, for instance, Orthodox Jews who would support, for instance, the taking of life up to birth, as the law now allows since 1990 in the case of Down’s syndrome, I would be surprised, but I would be interested to hear those names.
ParlaMint-GB_2018-03-23-lords.u175	I would like to correct that impression, if I may. I hope it might be useful if I might still be able to speak in due course about the amendments that I tabled, but not at this stage I cite as an example my own unit, and this situation was not because I was the head of it. There were a number of people with very orthodox religious views from three or four different faiths, including Jews and Catholics, some of whom were involved with in vitro fertilisation at different levels. We could accommodate those because we had the staff to do so. I am not convinced that, in the field of obstetrics and gynaecology, the health service has been inimical to people who are orthodox Catholics.
