ParlaMint-GB_2018-06-13-commons.u1	1. What progress is being made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u420	I call Stephen Gethins.
ParlaMint-GB_2018-06-13-commons.u421	Thank you, Mr Speaker—[Interruption.] As you can tell, there is huge strength of feeling on this issue across the House of Commons, and that is right, because what happens here has a significant impact outside this place. That is why SNP Members will continue to make the case for our constituents in this place. This matters. We have a clear and coherent position on such issues, unlike the two biggest parties in this place. We know that the customs union is important to trade, that the single market is important to jobs, as the UK Government’s own analysis has demonstrated, and that the fundamental rights that we enjoy as European citizens are critical to our constituents. People deserve their voices to be heard well outside this place. I have heard from Government Members that this is just procedural, that we should just roll over and that we should not have a voice in this particular debate. Well, that is not what we are here for. Even if we just left this to the Government, they are not making much of a job of persuading even their own MPs.
ParlaMint-GB_2018-06-13-commons.u422	The hon. Gentleman and I share a friendship as members of the Foreign Affairs Committee, and I welcome him back to the Chamber. People watching these proceedings will have seen that the Minister took more than an hour to make the Government’s case We have to be here to represent our constituents, and the hon. Member for North East Fife (Stephen Gethins) will be as disappointed as I am that the Scottish National party had five questions at Prime Minister’s questions today that, incidentally, went to Government Members, because SNP Members had walked out and were not here to ask them.
ParlaMint-GB_2018-06-13-commons.u423	I have great respect for the hon. Gentleman—[Interruption.]
ParlaMint-GB_2018-06-13-commons.u424	Order. The House must calm down. I do not think the hon. Gentleman will be entirely surprised that his rising to his feet occasioned an immediate response from colleagues—he is a grown up and he can look after himself—but, that said, he must be heard.
ParlaMint-GB_2018-06-13-commons.u425	Thank you, Mr Speaker I remind the hon. Member for Edinburgh South (Ian Murray) that, in 1987, Scottish Labour Members marched out of this Chamber because they did not think the Government were taking Scotland’s interests seriously. It is remarkable: the Government have not changed in their attitude, but the Labour party certainly has. That is why there are so many fewer Labour MPs.
ParlaMint-GB_2018-06-13-commons.u426	What my hon. Friend will see, as I see and the people of Scotland will observe right now, is representatives from Scotland being shouted down the minute they get to their feet to put the Scottish interest. It is no surprise and no wonder that the people of Scotland find all these unedifying scenes appalling and repellent. That is why we will continue to put the voices of Scotland.
ParlaMint-GB_2018-06-13-commons.u427	I will teach Members a lesson on the matter at hand, and maybe they will learn something. If the Government are proposing a very significant change that affects everybody—it affects generations to come much more than it affects anybody in this Chamber—which is what is happening with the EU withdrawal Bill, they should have the courage and the confidence to campaign on more than a blank sheet of paper, which was all the leave campaigners did. They should set out their arguments in a detailed White Paper, for example, and get experts together—maybe even some Nobel laureates—to discuss the key issues, perhaps in a fiscal commission working group. They should then look at the challenges we have, and bring politicians and practitioners together in, say, a sustainable growth commission. That is a sensible way of preparing. We are in this situation now because two years—two years!—have passed since the EU referendum, but we still do not know what leave looks like. We still cannot get agreement from Government Members. I know that we are to blame the Prime Minister for all this, but I will briefly say something kind about her. Regardless of her failings, those who spent years arguing for leave have had their entire political careers to prepare for this moment, yet they did not lay the groundwork, which has led us into the mess that not just this place and the devolution settlement have been left in, but our economy has been left in, according to the Government’s own analysis.
ParlaMint-GB_2018-06-13-commons.u428	I take the hon. Gentleman back to the question about immigration that the hon. Member for Perth and North Perthshire (Pete Wishart) raised earlier. Perhaps this was in the Sustainable Growth Commission’s report but, when we have net migration to the United Kingdom of over 200,000 people, why are so few of them choosing to make their home in Scotland?
ParlaMint-GB_2018-06-13-commons.u429	My constituency is rich in immigrants who make our community richer, and not just financially—we welcome them. The hostile environment created by the Government is an abomination that should shame us all From the very start—from before the 2015 general election—this has been nothing but an exercise in Conservative party management, and not a terribly successful one at that, yet we all pay the price. Farmers do not know whether they should plant their crops for next year—indeed, the National Farmers Union of Scotland has called for the UK to remain in the customs union. Young people do not know whether they will have the same opportunities that we had, with uncertainty about programmes such as Erasmus. Researchers do not know the kind of collaboration they will be able to rely on, but we all benefit from such collaboration Just this week I opened a conference at the University of St Andrews, where Professor Stephen Gillespie, Dr Wilber Sabiiti and Dr Derek Sloan are at the forefront of the international fight against tuberculosis—the conference was held using EU funding. We know that Brexit will be economically devastating—the Treasury has told us that. The Scottish Government have shown that every single Brexit scenario makes us worse off. The Fraser of Allander Institute has also reflected that Scotland is set to lose £8 billion over the rest of the decade Before we get catcalls from Government Members, I should say that FAI director Professor Graeme Roy says that the rest of the UK could be even harder hit. That is not something that we or others want to see. That means less cash for public services, and the situation is made worse by the Government’s other policies on immigration, with 2,500 doctors refused visas in the first five months of this year. It is a hostile environment. That is why the Lord Dubs amendment—it is being debated today—on the rights of unaccompanied minors and child refugees, the most vulnerable in society, is so important Scotland voted to remain, and we know that every Brexit scenario is damaging. That is why the Scottish Government proposed the compromise—the least worst option—of staying in the single market and the customs union. Last night, we had 19 minutes to discuss devolution in the context of legislation that will have the biggest impact on the devolution process since its establishment. That smacks of a lack of respect The 2017 general election gave all Members an opportunity. When the Prime Minister asked UK voters for their views on Brexit, they returned a hung Parliament. Only the SNP—and the Democratic Unionist party, to be fair—was returned in a majority of the seats in which we stood. But there should be an opportunity to reach out. Some of the SNP’s best policy achievements came during a period of minority Government between 2007 to 2011, when Scottish Government Ministers were required to work constructively with other parties and needed other parties to work constructively with them. No one got everything they wanted in that particular set of circumstances—I know that the hon. Member for Caithness, Sutherland and Easter Ross (Jamie Stone) was in that Parliament—but that is something that we can all learn from. [Interruption.] I hear chuntering from Government Members saying that we lost. Actually, the SNP gained an unprecedented majority having pursued those particular policies There has been a particular impact on Ireland—[Interruption.] Government Members would do well to listen to this. The Good Friday agreement has been undermined by Government Members, and right now, we should be listening to Ireland. The best friends anyone can have are honest and we all rely on critical friends. Frankly, right now the UK has no better friend than Ireland. In fact, the UK has benefited from Ireland being a full member state of the EU, as it would if Scotland were a full member state. I have heard so much about how canny the Commission is and how we cannot trust its negotiating position. No one is trying to pull the wool over Brexiteers’ eyes; it is just that they have come up against the brick wall of hard reality, and that is clear two years on All this comes at a time when politics in this place, as has been demonstrated today, could not be poorer. Notwithstanding some fine individuals whom I respect on both sides of the House, we have the most ineffective and incompetent Government in living memory, and they are let off the hook only because they are shadowed by the most ineffective Opposition most of us have ever known, and hopefully will ever know. We want Labour Members to be doing better and we rely on them to be doing better, but at just the time when we need an effective Opposition and Government, we have neither. Given the devastating impact that leaving the EU is having on jobs, the economy and those who have made the UK their home, the UK is on the cusp of becoming a failed state that does not represent its constituent parts and, for the first time ever, leaves the following generation worse off than the ones that came before it. One way or another, there is a better way to do this.
ParlaMint-GB_2018-06-13-commons.u430	Mr Speaker, an English Member may restore some of the calm that has not accompanied the Scottish exchanges—thank you very much for calling me. I will try to be as brief as possible. We have a ridiculous situation thanks to the programme motion—we have about three hours left to cover amendments on a whole variety of different subjects that have all been lumped together. In the interests of time, I will confine myself to discussing the future trading arrangements of this country with Europe and the rest of the world, and the Government amendment seeking to get rid of the reference to “a customs union”. Obviously I will not follow all the Front-Bench spokesmen in being extremely generous in giving way. I apologise in advance, because I do not think I will give way much, if at all, because otherwise a large number of other Members will wind up speaking, as they did yesterday, with three-minute time limits and other absurdities that this House has inflicted on itself by accepting the programme motion I come to the issue that we are currently addressing most vigorously, although there are many, many more to come: our future trading and economic arrangements with the rest of Europe and the world. My views are well known, and I set them out in Committee. I wish to see absolutely no new barriers to trade and investment erected between ourselves and the rest of continental Europe. I do not think such barriers are necessary to fulfil Brexit. I certainly do not go along with some of the more extreme advocates, who seem to be positively relishing the idea that we should erect new barriers of all kinds between ourselves and 27 nation states on the continent, while having the most open and exotic free trade approach to the rest of the world, reducing barriers of every kind to other trading nations. In today’s globalised world and rule-based order, free trade is particularly essential to the British, and we have to minimise the damage that might otherwise be caused when we implement Brexit Let me deal briefly with the argument that is bound to be raised by some—“the moment you mention this, you are defying the referendum.” Again, I shall not repeat what I said yesterday, but I do not think the referendum remotely addressed the important subjects we are debating today; it was a yes/no question on a very broad-brush issue. I took part in a lot of debates up and down the country, doing one or two against Dan Hannan MEP, whom I know well. He is a difficult man to debate against. In my opinion, he is one of the most articulate and informed of the Brexiteer campaigners. I disagreed with him, but I got the clear impression that Dan Hannan was not against the single market and the customs union—that was not his view at all. None of that came through in the debate Unfortunately, the national media reporting of the referendum debate was pretty pathetic; it was all about Turks and how much money was going to go to the health service and so on. All this argument about trading arrangements was brought to a head only after the referendum, when the Prime Minister was induced by her then special adviser, Mr Timothy, to give the unfortunate speech at Lancaster House. Suddenly, new red lines were introduced: we were leaving the single market, leaving the customs union and rejecting the jurisdiction of the European Court of Justice. I will not go further on that, as I made the same point yesterday I do not remember any ordinary member of the public asking me anything during the campaign about the customs union and the single market. To this day, when I go to my constituency nobody is quizzing me about the customs union and the single market. Nobody is following these debates, except when there is reference to the fact that if we get this wrong, we could do immense damage to the livelihood and wellbeing of very many people. If we do get it wrong and unintentionally create borders to trade, we will make the prospects for future generations even more difficult. In this debate we have heard great vehemence about the customs union and “the single market” and how appalling they are, but the arguments used against them are very narrow The Prime Minister has been absolutely consistent for months. She does not say, “Oh, we’re against the single market”—and not surprisingly, because it was the Thatcher Government who created the whole institution in the first place. Although the Prime Minister is not a Thatcherite entirely, on economic policy she and I both believe in open, free markets. There is nothing undesirable about the single market arrangement, except that it allows the freedom of movement of labour. That is the only objection to it that most Conservative Brexiteers ever raised, unless they are of the hard-line head-banging variety, who go much further than that. That is the only objection that they have.
ParlaMint-GB_2018-06-13-commons.u431	Will my right hon. and learned Friend give way?
ParlaMint-GB_2018-06-13-commons.u432	No, because I have almost taken longer than I intended already Let us address freedom of movement. Personally, I do not have any hang-ups about freedom of movement—people coming to work here, contribute to the economy, provide skills that we do not have or do unskilled work that British people will not do—but it could be tightened up. People should not come here for benefits and so on, or hang around if they have lost their job. I am sure that we could start to negotiate on the basis of tightening that up.
ParlaMint-GB_2018-06-13-commons.u433	Will my right hon. and learned Friend give way on that point?
ParlaMint-GB_2018-06-13-commons.u434	If I start giving way, we will go back to where we were before Similarly, on trade deals with the rest of the world, if anybody can devise a method of trading with other countries on our own that is consistent with a sensible customs arrangement and better than the deals that we have now used very successfully for a long time—with our being the leading nation pushing for EU deals with the rest of the world—that is fine, but let us not accidentally drift into a position in which we are making absurd demands of the EU that mean our leaving not only the customs union and single market, but losing all the advantages that particularly the best and most competitive sectors of our economy have by way of their existing access to the European market Some people seem to think that we can have an altogether different and better type of trade deal with other parts of the world. Quite irrelevant statistics are misused to make the case, such as that growth is faster in the rest of the world than it is in Europe. It is an underlying truth that growth in emerging and developing markets, which was very poor until we got going with the rules-based order in the 1990s, is faster than that of developed countries such as our own, and it is always going to be faster. There is also the argument that there is more of the outside world than there is of Europe. That is indeed the case, but for the past 20 years in particular, the United Kingdom has been the most influential player in the European Union in insisting on the steady attempt to negotiate trade deals with the world in general, and the numbers keep growing On the British Government’s behalf, I was involved on the fringes of the constant efforts to get an EU deal with the US—the so-called Transatlantic Trade and Investment Partnership. It did not fail because there was something wicked about the EU; the fact is that, unfortunately, protectionist influences in America are very strong, and were even under the Obama Administration. One cannot get any response. I have been involved in all these things—I have talked about trading openings with India and Brazil, which are of course where the population is. It is absolutely absurd to think that there are no protectionist pressures in India and Brazil and that it is simply a question of our present Foreign Secretary walking in, with his bonhomie, and saying, “You will of course now throw your markets open to us” It is also absurd to argue that somehow this approach will produce deals with less damage to our sovereignty and fewer constraints. I do not understand those arguments. What is the nature of a treaty embodying a trade deal—or any other treaty, come to that? Both sides agree mutually binding obligations. They agree on tariffs, and remove them where they can. But what is far more important in trade with developed countries, such as the US—I personally think that the few tariffs left there could be abolished both ways with no disadvantage—is talking about regulatory alignment In the EU, we have achieved regulatory harmonisation. What one wants is mutual recognition. We agree to say, “We will abide by arrangements on regulatory standards, on which we both agree, and we, the British, will not change them in our House of Commons. We will not go back on them, and you won’t go back on them.” If we listen, again, to the more zealous Eurosceptics, they seem to think that the world will throw open its doors when we arrive saying, “We want a trade deal with you—open trade.” “Fine”, say the Australians. So we say, “The rules are that you agree to this, this and this, and you take this, and we take that.” But then we say, “Of course, we may change the rules—we may change the scope occasionally. We do not, of course, undertake to fetter ourselves by any lasting obligation to what we have agreed with you.” There are no such deals. It is fanciful, as the Secretary of State for International Trade discovered when he went to America. He no doubt believed, as they all did just after the referendum, that the doors were about to be thrown open and that we would get a deal with the Trump Administration by Christmas. He found, as indeed I did in my dealings with America, that things are different. The current President is hopeless. He wants to reduce the amount that we and others export to America, and he wants to use force in what he says are easy-to-win trade wars to get us to open up more of our markets to exports from the United States in sensitive areas. That is what he is about What is a constant in America—it is also true in Australia, New Zealand and Brazil, thinking of some of the bigger and easier markets—is that they are always anxious to have access to our market for their farmers. They produce food on an industrial scale to lower standards of animal welfare and food regulation than we have. President Trump will say, “We are going to sell you our beef and our chicken and some of our cereals on a bigger scale.” What will those countries want us to get rid of? They will want us to abandon the European regulations on animal welfare and food standards and take up theirs. It would cost us the European market if we did that, and we would have to have border guards everywhere because nobody would let us export to the rest of Europe or to Ireland, or be a route for, chlorinated chicken and hormone-treated beef. Australia has hormone-treated beef; it is not just the Americans. I will not go on, because I think I have made my point People are of course dismissed any time they try to point out the consequences of our ignoring reality in the modern world and what might happen to our economy—to Scotland and the rest of the UK—if we accidentally put all kinds of new barriers in the way of our trade. Unfortunately, the public have been persuaded by the Eurosceptics to ignore the Bank of England, the Treasury, the CBI, chambers of commerce, and people from key sectors of the economy such as the car industry and pharmaceuticals. It is all scaremongering, apparently —so we are told Actually, I do not see how anybody can argue that erecting new barriers between ourselves and the biggest, richest international free trade market in the world can do anything other than make us poorer than we were. That is why I do not understand why the Government are resisting the not very strong or compelling Lords amendment 1, on customs union, at all. They are only being asked to report on what efforts they are making to get there, and I think they are going to have to make efforts to get there The amendments in lieu are an attempt to devoid substantial amendments of any meaning. I would not vote with the Government on the meaningful vote yesterday, because I could not see that any commitment had been given; nor could I see any argument against what was on the amendment paper. I was very worried, because I thought that some of my close hon. Friends and colleagues were going to be very angry when they discovered that they had been fobbed off with an agreement just to discuss the possibility of changing the provision. They may yet have the last laugh on me—I am getting to be a cynic in my old age—as this morning they appeared to be getting somewhere in getting a more substantial system put in place, but we have yet to see the Brexiteers mount their full counter-attack. I will wait and see I will come back to the subject of this particular debate, as you will want me to do, Mr Speaker. What is being offered as an amendment in lieu, to use the jargon, is pathetic and utterly meaningless. We could save a bit of public money by saving the paper involved in putting it in the amendment paper and printing it. That probably explains why the amendments in lieu have been tabled by an extraordinarily wide range of Conservative MPs. As well as the Secretary of State, the list includes my hon. Friend the Member for Stone (Sir William Cash), my right hon. Friend the Member for Loughborough (Nicky Morgan), my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) and so on. I know all these people and I do not believe that they agree on anything that has anything to do with the European Union, so what has induced them all to do this? I quite accept that there is a sense of deep loyalty to our party, which I assure the House I actually feel in every other way myself. I think that this is an excellent Government if it were not for their policy on leaving the European Union, but there we are What are we being asked to sign up to? The amendment says that it is “a customs arrangement”. Well, that covers anything. It is a phrase that the Prime Minister, for reasons that I have always understood, has slipped into several times because she cannot get the members of her Cabinet to agree on her using any other form of words. So for the time being she has been obliged to slip into talking about “a customs arrangement”. But that includes absolutely everything, from the kind of arrangements that would suit my hon. Friend the Member for North East Somerset to those that would suit my right hon. Friend the Member for Loughborough, but everything in between as well. It is a bit of a waste of a statement, coming back to say what efforts they have made to reach that extremely amorphous destination. Of course, that takes us back to the root of the whole problem, which is trying to arrive at a border policy To end on a more optimistic note, I think that most of us have noticed that a most important stride was made yesterday, as I have said, with an amendment tabled by the Government that was described as the Irish amendment. It is part of dealing with the argument about the Belfast agreement, and actually embodies the Belfast agreement in law. It goes further by reinforcing what the Prime Minister has actually been saying for some time, if we have been listening to her—that we are going to have a customs union, in effect, in Ireland, because there is going to be nothing new and no checks on the border. We are, in effect, going to be in the single market as far as Ireland is concerned, because we are having regulatory alignment. We agreed that. I think that the Cabinet agreed it—although some of them do not seem to have noticed—not too long ago, back at the time of the draft withdrawal agreement, which the Government are now trying to finalise. I actually think that that is where we should go The Government are still talking about frictionless trade. Unfortunately, thanks to the rows there have been, the slogan is now “as frictionless as possible” trade, which no doubt cheers up the Foreign Secretary. The truth is that we will have to have genuinely frictionless trade through arrangements on customs and regulatory alignment that preserve the benefits of all this for Ireland. Actually, the one thing that I think every Member of the House agrees on is that we do not want new barriers down the Irish sea. Northern Ireland is part of the Union—I am as Unionist as anybody here—and we are not putting up new barriers between the mainland and Northern Ireland when we leave.
ParlaMint-GB_2018-06-13-commons.u435	Order. The last speech without a time limit—although I know that he will be sensitive to the demands of time—is from Hilary Benn.
ParlaMint-GB_2018-06-13-commons.u436	It is a great pleasure to follow the right hon. and learned Member for Rushcliffe (Mr Clarke). I shall also follow him in not taking interventions, because many Members wish to speak. I wish to talk about the EEA amendment tabled by our Front Benchers and the EEA amendment that came from the House of Lords, and to explain why I shall be voting for both. Time is running out, not just in the debate this afternoon but for the country. For far too long over the past two years, we have wasted time with a lot of dreaming—dreaming about the easiest trade deal in history, dreaming about us holding all the cards and dreaming that we will get the exact same benefits. The moment when that finally came to an end was when the Prime Minister spoke at the Mansion House and admitted that it was not really going to be like that. This is the moment when we need to tell each other the truth: there are choices that we face; there are trade-offs that we have to accept; and there are decisions that need to be made, which is the point just made by the right hon. and learned Member for Rushcliffe If I may use an analogy, it seems to me that we have decided as a country to disembark from a liner in the middle of the ocean, and we have two basic choices: we can jump into the sea, which is what a hard no-deal Brexit would mean, or we can climb down into a lifeboat and decide where we are going. What are those in the Cabinet doing at the moment? They have spent two years arguing, first about how to create a deep and special lifeboat. They are trying to come up with a lifeboat that will not breach their red lines, and they have broken up into working groups, probably discussing the size, colour and shape of the lifeboat. The only thing that has not happened yet is a Minister getting up at the Dispatch Box and announcing that no lifeboat is better than a bad lifeboat. I tell you, Mr Speaker, it is not funny. The truth is that it is extremely serious indeed What does all of this mean? It means that we have not yet agreed as a country what we want for the future of the relationship. Not only is the promised White Paper now not going to appear until next month, but we learned this week that there will be a two-day away day in Chequers where the Cabinet tries to thrash things out. That means there will be one European Council left on 18 October—one—at which to sort out all the things we have been debating yesterday and today and to agree the political declaration, which is all about the future of our country. As a result, we have barely begun to discuss what might be in that political declaration at a time when, as the Prime Minister said in her G7 statement on Monday, the international rules-based order is under a threat that it has not been under at any time since it was created at the end of the second world war We are in a perilous place. Business is losing patience; we know that. The EU is frankly bewildered about what is going on in this country. The British people, to judge by the polls, think the whole thing is going very badly. The right hon. Member for Broxtowe (Anna Soubry) made the point really well—it is true—that in this place and outside, people have whispered conversations in which we say, “What on earth is going on?” The consequences of getting this wrong for the country will be deeply damaging for our future and for the jobs, livelihoods and public services that depend upon our economic strength. That is what we are debating. There is so much at stake that it is frankly difficult to overstate it. Let me say it plainly: we have had enough of management in the party interest. What we desperately need now is leadership in the national interest That brings me to the EEA amendment and the question of our future relationship with our biggest, nearest and most important trading partner: the 27 countries of the EU. The truth is that on both sides of the House we are all debating, and sometimes disagreeing on, what kind of framework would be best. The Government now accept that we will be staying in a customs union and, in all likelihood, aligning with the rules of the single market for quite some time to come, because nothing has yet been agreed that can possibly replace the benefits we derive from both The same outcome will inevitably result from the proposed Northern Ireland backstop, although it is currently silent on the question of regulations and the internal market, which is why I described it last week as half a backstop. That omission will have to be remedied between now and the end of this month, because half a backstop will not do the business when it comes to getting the European Council to agree with it. And by the way, it is ludicrous to debate whether the backstop is time-limited, because the truth is terribly simple: the backstop will remain in place as long as necessary, until something else comes along that can replace it and achieve the same objective, which is maintaining an open border between Northern Ireland and the Republic of Ireland. I am afraid that was about politics, not about policy That is also true of the debate about maximum facilitation and the customs partnership, although both ideas strike many people as costly, bureaucratic, burdensome and reliant on technology that is not yet in operation. However, being a generous soul, let me say that even if the Cabinet, on its away day, manages to reach agreement on one or the other, and even if the EU negotiators said, “Okay, let’s give it a go”—I do not think there is any prospect of that whatsoever—we all know that neither of them could be put in place by December 2020. It is too late: too much time has been wasted. That is why the transition period, or a transition period, is going to have to be extended by one means or another, whether that is with the backstop or an agreement on a way forward. That is where we are heading by default, so the question is: what form should the next transition, from January 2021 onwards, take? This is where the EEA comes in, because that would be one way of doing it Let me turn to the amendment moved by my right hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer) and Lords amendment 51 on the EEA. Both are about a future framework and the internal market, and the difference here—apart from the free movement issue, which I will say a word about in a moment—is really quite small, and I very much welcome what was said by my right hon. and learned Friend, who leads for the Opposition, about having an open mind. I will of course vote for his amendment, because who could argue with the notion of full access to the single market? If it is not successful, I will vote for the EEA amendment, because we need to keep our options open. To return to my analogy, it has the one great advantage that it at least looks like a lifeboat, and I have to say that the closer we get to October, the less inviting the cold sea appears to those thinking of jumping off the side of the ship I am the first to acknowledge that the EEA option is not perfect. I do not want us to be like Norway, and I am not arguing that we should have a deal like Norway’s. Apart from anything else, we want to remain in a customs union. As Michel Barnier repeated yesterday, it would be an option to have the EEA plus a customs union. Let us acknowledge that We should seek some changes to the way in which free movement currently operates. Some of those could be made within the current rules of the European Union, which we will be leaving. Others would involve discussion of the emergency brake, which is why my right hon. Friend the Member for Normanton, Pontefract and Castleford (Yvette Cooper) and I have tabled amendment (b), which refers to “safeguard measures”. The Exiting the European Union Committee, which I have the honour to chair, drew attention, in its report on the future UK-EU relationship, to the possibility of additional flexibility on free movement. We need to make sure that our agricultural and fish exports can continue to move freely.
ParlaMint-GB_2018-06-13-commons.u437	Will my right hon. Friend give way?
ParlaMint-GB_2018-06-13-commons.u438	I will not give way, because of the time Who knows whether the EEA option may turn out to be a temporary state, but as a potential starting point, with a customs union, it would provide a means of solving the Northern Ireland problem, keep goods flowing freely, ensure common standards, maintain the flow of data, protect employment and environmental rights and enable us to continue to co-operate in really important areas such as aviation, consumer safety, medicines and space research. Crucially, it would also gain us a place in the room when some future decisions are being taken. In the EEA, not all EU legislation has to be transposed, and there are consultation mechanisms and a separate court. When it comes to EU agencies, in many of which UK regulators have led the way, we could continue to influence what happens because we would be part of the conversation, even though we would not have a vote, which is not the case under the transition period that we will shortly be entering The EEA option would diminish in part—I acknowledge that it would do so only in part—the rule taker problem. However, given that we are leaving, I see no outcome in which the United Kingdom will be a rule maker. We will have to follow the rules of our biggest export market for goods and services because so much of our prosperity depends on doing so. I think the Solicitor General accepted that in his answer to my earlier question, although he tried to couch it—and I see the argument—in terms of us, as a free sovereign country, being able to choose to follow the rules of other people. Indeed we can, and the same is true of the European Court of Justice and any other part of the agreement that we may seek to reach.
ParlaMint-GB_2018-06-13-commons.u439	Order. For a short period there will be a 10-minute limit, but I emphasise that it will be short. I call Mr Dominic Grieve.
ParlaMint-GB_2018-06-13-commons.u440	Thank you, Mr Speaker. I shall be brief, because I am endeavouring during the course of this afternoon to finalise agreement with the Government concerning matters we debated yesterday, so I have every incentive to be out of the Chamber. However, I would not wish to leave without pausing for a moment to deal with two issues—one of a rather more specific nature, and one of a wider nature, which has already been touched on by the right hon. Member for Leeds Central (Hilary Benn) and my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) Let me start with the specific matter. We have had a very interesting debate during the passage of this Bill about what we do with retained EU law and human rights. We have felt our way through this, and at the end of his speech my hon. and learned Friend the Solicitor General made some sensible points about the difficulties around the charter of fundamental rights. I do accept that it sits uneasily with a situation in which we bring laws back to this country, although I highlighted to him the inconsistency of having retained EU law without having general principles potentially to override it, because it itself can override other of our domestic laws. That was the justification for it, and I regret that we are not going to keep it, but I welcome the fact that we are at least going to keep it for three years. To that extent, we have made a little progress; I am genuinely grateful to my hon. and learned Friend, and I will accept that That still, however, leaves amendment 4—that of Baroness Hayter in the other place—which sought to provide some enhanced protection for certain areas of EU law. These are areas of EU law that I think many Members of this House would recognise as being of special significance, including “employment entitlements, rights and protection” and “equality entitlements, rights and protection”— something that has featured more and more in our jurisprudence. In the recent case, for example, of Benkharbouche, a lady was discriminated against in an employment setting within an embassy and succeeded, by going to the Supreme Court, in setting aside our existing laws on diplomatic immunity, because they in fact went beyond what was required under the Vienna convention. Those are real areas of progress for our legal system Those things will be lost without the charter and the general principles. The worry is that, while I certainly do not think my right hon. and hon. Friends want to diminish areas of equality, employment, health and safety law or consumer standards—we have covered environmental protection, interestingly enough—they have given no protective status whatever to those areas. At some point, the House will have to come back to this and consider whether we should amend the Human Rights Act 1998, which we could do, to do this in a way compatible with our parliamentary tradition and our parliamentary sovereignty. Until we do that, they do not enjoy protection Baroness Hayter’s amendment would at least give them this protection: that they could be altered only by primary legislation or by subordinate legislation, which would have to be subject to an enhanced scrutiny procedure to be established by regulations made by the Secretary of State. My hon. and learned Friend the Solicitor General will say that that is massively unwieldy, but actually it is not. All we need is to have a set of regulations that distinguish between technical amendments, which can go through just like that, or other amendments, which would have to be dealt with in a more enhanced form. The flexibility, therefore, is in fact there in the amendment and I do not think it is as unwieldy as the Government suggest. I am afraid that the truth is that, for reasons of their own, the Government just do not want to go down this road. We discussed and debated it at great length in Committee, and although we received delightful and repeated assurances that there was an understanding that these were areas of law that really matter, I am afraid that we did not succeed in getting any further I am afraid, because I do not like to have to rebel against the Government line, that I will vote for amendment 4 to retain those protections, when the Government seek to remove them. It is as simple as that. It is, perhaps, a gesture, but it is a gesture designed to put down a marker to say that we cannot ignore this issue for the future. We have pretty consistently ignored them, with the one great exception of what my hon. and learned Friend secured over the three years on the general principles. Respectfully, I will differ from the Government’s approach The second issue, which was touched on with great eloquence by the right hon. Member for Leeds Central and my right hon. and learned Friend the Member for Rushcliffe, concerns our future relationship structure with the EU, encapsulated in the EEA Lords amendment, the amendment tabled by those on the Labour Front Bench, and, to an extent, the amendment relating to the customs union or a customs union or a customs arrangement. Mr Speaker, I do despair. I listen over and over again—every time I stand up in this place, I receive streams of emails—to angry people insisting that the sovereignty of this country is linked to the single issue of being free of the jurisdiction of the European Court of Justice, free of any form of customs union, and free, above all, to keep people we do not like out. That is all very well, and of course one can do those things, but the first thing that completely ignores is the fact that we are subject to myriad international laws, which we observe to the letter—because we are a rule-of-law state—quite cheerfully, and which greatly enhance our commerce, peace and security. We do it all the time because that is the way the world works in a globalised environment, but we have got ourselves so angry and so fixated that we cannot see the wood for the trees anymore The consequence of that, which I thought was beautifully put by the right hon. Member for Leeds Central, is that we are careering off trying to do a deal on leaving the EU which entirely ignores the reality of the relationship we have. We have been discussing Ireland’s role. We have dealt with the Irish border issue very well and I am pleased with that. I hesitate to say this here, but I remember once going to Dublin and a very nice Irish economist with the Irish Government said, “Of course, we may not like it here, but the reality is that the subzone we operate in is the British economic zone and it dictates how we operate.” That is of course why we have a common travel area. Similarly, we are—for all our 65 million people, being the fifth largest economy in the world and all the other things we like to trot out, and our pride in our nation state—part of the European economic zone. That is where we trade and where our commerce goes, and although I would love it if we could enhance it, trade elsewhere and encourage the EU to trade elsewhere, that will never be a substitute for where we are.
ParlaMint-GB_2018-06-13-commons.u441	I have a lot of sympathy with the points that my right hon. and learned Friend is making, and indeed those that the right hon. Member for Leeds Central (Hilary Benn) made earlier about the EMA, but will he not agree that the purpose of the Bill is to give effect to the continuity of the law at the moment? We have a Trade and a customs Bill coming after the summit. Is that not where these issues should substantively be addressed? In my view, these are mischievous amendments dealing with substantive issues with which I have a lot of sympathy, but this is the wrong Bill to give effect to them.
