ParlaMint-GB_2018-10-10-commons.u1	1. What recent assessment she has made of the humanitarian situation in Yemen.
ParlaMint-GB_2018-10-10-commons.u295	It is a pleasure to follow the hon. Member for Upper Bann (David Simpson), and it is always a great pleasure to hear his wise and knowledgeable words in any agricultural debate in this House. I congratulate the Secretary of State and his ministerial team on bringing forward this Bill and delivering the principle of support for agriculture in this House for the first time in over 40 years Many aspects of the CAP were of course very unpopular, but it did provide a vital lifeline for farm businesses and farming families in my constituency and many upland constituencies right across the country. However, change needs to come, and thank goodness the Government have worked long and hard on this and change is going in the right direction We need to reduce the administrative burden on farmers. This is a very overburdened industry, and we have a great opportunity to reduce the burden. I know the Minister in particular is keen to see this happen and has great ideas that will come forward in future statutory instruments We must also think about how the payments are going to be made. Many of my constituents are concerned about the Rural Payments Agency, as in the past it has not exactly covered itself in glory. If it is to be in charge of our new scheme, there must be tighter control, and greater regulation must be placed on it by DEFRA. I hope Ministers will take that request back to the Department with them I am pleased that the Welsh Government have decided to couple themselves with the Bill and the British Government, and I am very disappointed that the Scottish Government are not following suit. That is a massive disappointment to the people of Scotland, and the hon. Member for Gordon (Colin Clark), who serves as my vice-chair on the Back-Bench DEFRA committee, works particularly hard for farmers in Scotland, as do all the other Scottish Conservative Members, so I am very disappointed at what we have heard from the Scottish National Benches today.
ParlaMint-GB_2018-10-10-commons.u296	If the hon. Gentleman would bother to consult the NFU Scotland, he would find that its primary concern is of farming being run from here in Westminster, not only with a centralising agenda but by a Parliament that took £160 million of EU money from Scottish farmers. [Interruption]
ParlaMint-GB_2018-10-10-commons.u297	I do not agree with the hon. Lady and it is clear that other Conservative Members also disagree.
ParlaMint-GB_2018-10-10-commons.u298	In fact the briefing states very clearly that the biggest concern that the NFUS has is the politicisation of the process by the SNP, which is governing Scotland not in the national interest but in the nationalist interest.
ParlaMint-GB_2018-10-10-commons.u299	I would go further: I would be interested to know if DEFRA would consider ring-fencing the agricultural budget to all devolved nations as time goes on, because certainly in Wales we are concerned that the money will not be spent on agriculture. We hope that Scotland will spend its money on agriculture, but time will tell Importantly, the NFU right around the country is keen to see a national framework. All the countries in the UK need to work under a national framework; otherwise, farming will become fragmented, with Scottish farmers competing against Welsh farmers and English against Northern Irish and so on, which will be to the detriment of the whole farming industry in the UK. It is therefore important that we have a national framework.
ParlaMint-GB_2018-10-10-commons.u300	Does the hon. Gentleman not share my concern that DEFRA here in London has been listening to, and had the ear of, English farming lobbyists for the last 19 years? That raises the question of how the Government will best represent the interests of farming in Wales and Scotland.
ParlaMint-GB_2018-10-10-commons.u301	I do not share the hon. Lady’s concern. My constituency lies on the border, and there are of course border farmers between Scotland and England as well as between Wales and England, and we are concerned that we might see different processes taking place on either side of the border, causing great problems for cross-border farmers. I am afraid the hon. Lady, the leader of Plaid Cymru in Westminster, does not share that concern with Welsh farmers on the Welsh side of the border Farmers are also conservationists. They have a dual role; there is no difference—there is no difference at all. The Secretary of State visited a farm in my constituency just before the summer recess, and met farmers there—family farmers and Young Farmers’ Club members The Painscastle valley is a typical farming valley in Wales. It has a river at the bottom and well fenced and hedged green fields leading up to the commons above. This was not designed by a young civil servant with an environmental degree sitting in Westminster, Cardiff or Scotland, or by a bearded, sandal-wearing lifetime environmental campaigner, or even by a fashionable environmentalist who writes a blog and has thousands of Twitter followers. That scene, that valley and that countryside were designed and managed by generations of farmers over 300 years and more. Farmers really are the best people to take the environment and farming forward, and livestock farmers should be right to the fore in this brave new world of farming. They should be looking after our payments, guiding our policies and ensuring that they are there to provide the true knowledge of agriculture As the chair of the all-party parliamentary group on forestry, I should like to touch briefly on the subject of forestry. It has not been touched on a great deal in the debate so far. The Bill focuses on agriculture, as has my speech so far, but it is important to consider tree planting in this country. Brecon and Radnorshire is a large constituency in which forestry and timber production support many rural livelihoods. We have the largest sawmill in Wales, based in Newbridge-on-Wye and employing nearly 200 people. It is important that we support tree planting, and I was delighted to hear the Secretary of State giving a firm commitment during our conference a week or so ago to planting 11 million trees during this Parliament. I hope that he will be able to achieve that aim, because it is vital to maintain the timber processing industry, whether for flood prevention and mitigation or purely for products for the future, to enable it to thrive and prosper.
ParlaMint-GB_2018-10-10-commons.u302	Does my hon. Friend agree that it is intensely regrettable that the current Mayor of London has not continued to plant as many trees in London as his predecessors did?
ParlaMint-GB_2018-10-10-commons.u303	I fully agree with my right hon. Friend. It is important that we plant trees in this country, wherever they might be: in the countryside, in the streets or in the middle of dual carriageways. The public want that to happen, and I hope that DEFRA will ensure that it does We might not all be farmers or foresters, and we might not all be cheese makers or honey producers, but whatever we do and wherever we reside, it is important that we live in a clean and healthy environment. And of course, we all need to eat. Unlike some Members who might sit on the Opposition Front Bench, we cannot all live on avocados from Mexico or mung beans from India. We need to feed ourselves on great British products, and it is important that we support our farming industry. We clearly produce the best products in the world, including livestock in the form of beef and sheep, and fruit and vegetables. Here in Britain, we have the best welfare standards in the world and our products are of the best quality. Through this Agriculture Bill, we need to support that and support our farmers.
ParlaMint-GB_2018-10-10-commons.u304	No matter what our views on Brexit are, there is near-universal consensus that the common agricultural policy is in dire need of reform. I want a farming system that is both economically viable and environmentally sustainable, with the highest possible animal welfare standards. I chair the all-party parliamentary group on agro-ecology for sustainable food and farming, and we have long called for more support for organic farming, agroforestry, pasture-based livestock systems, integrated pest management and low-input mixed farming—mixed farming is very important—as well as for a move away from unsustainable intensification and an over-reliance on agrochemicals and cheap fossil fuels We want to see whole-farm systems that support nature-friendly farming. I believe that the Bill, with its emphasis on public money for public goods, could provide an ideal opportunity to support that sort of farming, through rewarding farmers for what they do as custodians of the land for future generations, and not simply on the basis of how much land they own. Public money should be used not to subsidise market failure but to reward behaviour, which the market does not do. That means farming in a way that addresses the serious environmental challenges facing us, such as biodiversity loss, habitat destruction, disappearing pollinators, soil degradation, polluted rivers, water run-off and much more. It is vital that we get this right There are fundamental weaknesses in the Bill, however, including the uncertainty around funding beyond 2022, the emphasis on powers rather than duties, and the absence of any information on how the money will be split between productivity payments and environmental payments. The Bill needs to set a multiannual budgetary framework under clause 33 to provide more certainty for farmers. I would endorse Greener UK’s recommendation for a duty on Ministers to introduce an environmental land management scheme by a set date, and its call for targets and benchmarks for public goods. We also need clarity that the public goods listed in clause 1 are the priority for funding, and that any payments for productivity must contribute to their delivery I am concerned that there is no regulatory baseline in the Bill. The Minister will no doubt tell us that this will be determined by Dame Glenys Stacey’s review, which is due to report by the end of December, and that it might then be included in the environment Bill, but that would be the wrong place for it. Cross-compliance is a fundamental part of the common agricultural policy. It underpins taxpayer investment, and this Bill is setting out a replacement for the CAP. Can the Minister therefore assure us that the Government will introduce amendments to this legislation, most likely by the time it is in the other place, on the basis of Dame Glenys Stacey’s review It is also time that we looked far more seriously at reducing farming’s carbon footprint. This has already been mentioned, and all I will say at this point is that I would like to see a goal in the Bill for agricultural emissions to reach net zero by 2050, in line with the Paris agreement. That is absolutely necessary following Monday’s report from the Intergovernmental Panel on Climate Change The Bill is also missing an opportunity to link farm payments to public health goals. It is predicted that diet-related ill health will overtake smoking as the biggest cause of preventable death before too long. We spend more on the treatment of obesity and diabetes than we spend on the police, the fire service and the judicial system combined. I am quite excited by what I have heard so far about DEFRA’s future food strategy. It sounds promising, but we need to see measures in the Bill to increase the availability, affordability and accessibility of healthy food, including UK-grown fruit, vegetables and pulses. Also, as the Chair of the Health Committee said, we urgently need to act to address the public health crisis of growing antimicrobial resistance, and the associated rise in superbugs, by eliminating the overuse of antibiotics in farming and rewarding good animal husbandry. As I said to the Secretary of State earlier, I will be keen to hear where the bar for animal welfare will be set when it is defined in 2020. At the moment, we are too complacent about animal welfare standards in this country, and I would like to see far more ambitious targets and a more ambitious definition There have been calls to amend the Bill to include food production as a public good—this is basically about maintaining direct payments under another name—but we are talking about a limited pot of public money. Food production is ultimately rewarded by the market, or it certainly should be. We need to ensure that the market is fair and that farmers get what the president of the Country Land and Business Association, Tim Breitmeyer, describes as “a fairer share of the food pound”, along with the security that comes from a longer-term funding settlement The Government clearly accept, with the new fair dealing measures in the Bill, that they were wrong not to extend the remit of the Groceries Code Adjudicator to cover indirect suppliers, but they need to go further to ensure the fair treatment of all those who produce our food, along the whole supply chain. I have just been told that I have a Back-Bench business debate next Thursday on ending modern slavery, human rights abuses and the exploitation of workers in the supermarket food supply chain, and I urge as many Members as possible to come along to support it. Cheap food in our supermarkets often comes at the cost of worker exploitation. The fair dealing measures in clause 25 must apply to all sectors and to all stages of the supply chain. I gather that dairy will be the priority because the existing voluntary code of practice is not deemed to have worked well, but fruit and veg farmers need protection, too The Bill alone will not be enough to safeguard farming in this country. The real battle and the real danger come from the global Britain Brexiteers and their enthusiasm for cheap food imports and the scrapping of standards post-Brexit. The US Secretary of Commerce, Wilbur Ross, made it clear that any post-Brexit trade deal will hinge on the UK ditching its higher, EU-derived food safety laws, which currently prohibit chlorinated chicken, hormone-pumped beef, ractopamine growth promoters in pork and much more. The implications of that would be huge for UK food and farming. It would drive out higher-welfare and smaller-scale UK farmers, who would be unable to compete on price, and make it more difficult for us to export to the EU There are also food safety issues. One in seven people in the US contracts a food-borne illness every year, compared with just over one in 70 in the UK, which must have something to do with US food production system standards. The Secretary of State has repeatedly said he has no intention of reducing standards, and I think he is entirely sincere, but I am not convinced that all his colleagues agree. We often hear them say that there will be no drop in British standards, but that does not mean that goods produced to a lower standard in other countries will not make it into this country under a trade deal, and I want reassurance about that. Without such a commitment, even the most generous and sensitively structured support that emerges from the legislation could be fatally undermined.
ParlaMint-GB_2018-10-10-commons.u305	I start by drawing the House’s attention to my entry in the Register of Members’ Financial Interests. This is a historic moment for British agriculture, and I warmly welcome certainty and clarity for the sector regarding the shape of future agreements that the Bill provides. Certainty is as vital for agriculture as it is for any other business sector. That is highlighted by the proposals for a seven-year transition period, beginning in 2021, between CAP and the new policy, which will provide farmers with much-needed time to refashion their business models and plan for the future. The transition period is longer than predicted, which must be welcomed, and demonstrates the Government’s commitment to the progressive evolution of the sector rather than the cliff-edge revolution that was once discussed I also welcome the phasing out and delinking of basic payments, including lump-sum payments, to assist farmers in diversification or exiting the market, including through funding retirement, thereby supporting new entrants to the sector. Proposals to encourage new blood into agriculture should be promoted enthusiastically.
ParlaMint-GB_2018-10-10-commons.u306	While we may welcome payments that enable farmers to exit farming, does the hon. Gentleman agree that there should be protections for the taxpayer in the statutory instruments that flow from this Bill? We cannot have a farmer taking seven years’ payments up front to retire and then signing the farm over to his son or daughter the next day, thereby double claiming on the same land for the next seven years.
ParlaMint-GB_2018-10-10-commons.u307	I accept that fair point, but my reading is that land belonging to those who take their retirement money up front and leave the sector—land that we hope would go to a new entrant—would not be entitled to any payments. However, the devil will be in the detail.
ParlaMint-GB_2018-10-10-commons.u308	Does my hon. Friend share my concern that financiers from the City, rather than new entrants, may purchase that land? That is an issue that I see in East Sussex, where the possibility is that we may lose farming altogether.
ParlaMint-GB_2018-10-10-commons.u309	My hon. Friend makes a good point, but is that not more about our tax system than this Agriculture Bill? Perhaps that is something to consider going forward As chair of the all-party parliamentary group on science and technology in agriculture, I support the principle of shifting state funding for the sector towards supporting innovation and productivity gains, alongside public money for public goods. Leading technologies of the fourth industrial revolution, such as robotics, data science, autonomous vehicles and biotechnology, have the potential to transform agriculture, so it is wise to concentrate support on facilitating the growth and efficiency gains of tomorrow. To that end, a commitment from Ministers to a certain level of funding for productivity and innovation after the “same cash total to 2022” guarantee expires would be most useful in this area I note that, as some Members have already said, soil health is not specifically mentioned in the text of the Bill as a public good that deserves financial assistance. There are, though, very encouraging references to it in the Department’s policy statement; that is important given the importance of soil for flood prevention, for the preservation of fertility and for productivity for future generations. I hope that Ministers can give greater prominence to soil health as the Bill progresses I broadly support the transition to a system of public money for public goods, but I urge the Government not to lose sight of the fact that the main activity of most farmers will and should remain the production of food. Moreover, food production and environmental stewardship are already two sides of the same coin, as several Members have said. A resilient and profitable agricultural sector is nature’s best friend. If we remember that, we can have a good environmental policy The supposedly natural landscapes and countryside of today have been shaped by centuries of agriculture, from the clearing of the forests that once covered virtually all our islands to the first planting of cereals. Policy making in this subject area will therefore benefit from the constant understanding that farming is not some imposition on or extraction from the country, but a positive evolutionary force that has shaped the green and pleasant land that we all seek to protect I am glad to see that food security is covered in DEFRA’s accompanying policy statement, but it is not specifically mentioned in the Bill. The National Farmers Union recently estimated that if the UK tried to live solely off locally produced food for a whole year, starting in January, we would run out by 6 August. Global population growth means that humanity will have to produce sustainably 70% more food by 2050. That represents 1 billion more tonnes of rice, wheat or other cereals alone. Such figures illustrate the question to which any comprehensive farming and environmental policy will have to stand up. I know that Ministers are deeply aware of this policy aspect, but it would be reassuring to hear further detail on the Government’s vision for food security as it relates to domestic food production The Government need to make sure that the move towards supporting public goods does not have unintended negative consequences. I have spoken to the Minister about this issue in the past. The classic example of the unintended consequences of the CAP is the renowned three-crop rule. Although it might have been put in place for the right environmental reasons, it has had huge negative impacts, certainly throughout the UK. The Secretary of State rightly emphasised that the CAP currently incentivises farmers to put every possible acre into food production, so less public funding is available for natural capital assets such as wetlands and forests. Equally, I am sure that he does not want to see a situation in which policy incentivises farmers to take as many acres as possible out of food production, or to cease farming altogether, lay off workers and just collect payments for managing land to provide public goods. Balance is needed, and we have to find that balance for the policy and in the Bill Similarly, in designing the policy, Ministers must take care to ensure that funding for the sector is not substantially transferred to people who just own land and are not actually farmers. That might best be done by putting in place clear commitments on future funding to support innovation and productivity increases on farms I applaud the measures in the Bill that will allow the Secretary of State to introduce regulations to ensure fair dealing with agricultural producers and to facilitate that through the collection of data, which is mentioned in the Bill a lot. It is important that Ministers make clear as soon as possible how they intend to use the powers and how they can be made as comprehensive and effective as possible, with real teeth, ultimately. There are many positive aspects to the Bill that I support, but the devil will always be in the detail, and that is what I will scrutinise as the Bill progresses through Parliament.
ParlaMint-GB_2018-10-10-commons.u310	Order. Many Members want to speak, so can we try to shave some time off speeches? If Members do not do that, I will have to take the limit down, or we will not get everybody in. I call Pete Wishart.
ParlaMint-GB_2018-10-10-commons.u311	I am grateful to you for calling me so early in the debate, Mr Deputy Speaker. MP4 will forever be grateful to you for enabling us to go and make the video we are supposed to be doing today Let me say to the hon. Member for North Herefordshire (Bill Wiggin) that it might be a bit tiresome to hear another Member from the Scottish National party speak, but we have every right to speak in this Parliament. We will make our points and continue to do so Of all the matters we need to consider in the fallout from Brexit, our agricultural policy and the needs of our rural economy are probably the most acute, with farming the sector hardest hit by the no deal, hard deal Brexit. Probably for the first time since the war, we are faced with searching questions about the nation’s food security. We know that astronomical tariffs might be placed on British agricultural products, driving many farmers out of business and leading to an almost unprecedented reinvention of rural Britain. Agricultural goods are perishable, yet they could be sitting in a giant car park in south-east England, waiting to get to market. Those are the type of issues we will be facing, but in the face of the incoming storm, we have this Agriculture Bill—this modest Government response to a Brexit that could decimate the productivity of our agriculture and our countryside. It is an Agriculture Bill without agriculture; a Bill for farming that pays scant regard to food production; a sort of “let them eat environmental strategies” approach; an aspirational land management Bill for a countryside that does not really exist and probably never will come to be The vision in the Bill is of a countryside that is better managed for the environment, but not as a location for thriving small businesses providing the healthy, diverse foods we need. We are asked to believe that the Government’s newfound enthusiasm for greening is real—a Government who would probably prefer to frack the countryside than farm it. Many farmers in my constituency take great exception to the suggestion implicit in the Bill that they are doing nothing to improve the environment and their land. Every day, they are doing everything to manage the land for the benefit of us all, and the suggestion that they need incentives to do that is doubly insulting. The hon. Member for Westmorland and Lonsdale (Tim Farron) made a good point: this is a seven-year phasing out of direct payments to farmers. For many of them, it will be nothing other than an opportunity to quit farming once and for all The UK Government kindly invited the Scottish Government to be covered by the Bill’s provisions. My colleagues in Edinburgh, quite rightly, have declined. Scotland has a very different rural economy from that in the rest of the United Kingdom, requiring an altogether different approach. As has been said a couple of times now, some 80% of the land in Scotland is made up of less favoured areas. We depend more on support. Our food and drinks sector depends on excellence, and in particular on protected geographical indication status, which is threatened by Brexit I have in my constituency half the berry farmers in Scotland. There is nothing in the Bill about immigration. Apparently, we have a pilot seasonal workers scheme, which will provide 2,500 workers—2,500 workers, when in a response to a written question from me, DEFRA said 64,500 workers were required. What are we supposed to do with 2,500—one or two per farm? Is that the Minister’s plan to try to save the many berry farms in my constituency? Agriculture is fully devolved to Scotland, and we will not compromise on anything that threatens our Government’s ability to serve Scottish farming.
ParlaMint-GB_2018-10-10-commons.u312	I will give way to the hon. Member for Dumfries and Galloway (Mr Jack), as I have not heard from him for a while.
ParlaMint-GB_2018-10-10-commons.u313	The hon. Gentleman speaks in apocalyptic tones. Can he explain why the Scottish Government do not have a schedule to the Bill? Their refusal of any offers from the UK Government will leave us in a position where, in 2020, Scottish farmers will have no mechanism to enable them to receive their support payments.
ParlaMint-GB_2018-10-10-commons.u314	I am grateful to the hon. Gentleman, because I was just coming on to that. I thought that he would perhaps lead me on to the key of this agenda—and the objections and screams from the Scottish Conservatives. We will not agree to a schedule to this Bill for as long as this Parliament and this Government fail to respect the devolution settlement and indulge in this grotesque grab of powers that should rightly belong in the Scottish Parliament. That is what has happened. As long as it continues to happen, and as long as the Secretary of State refuses to respect devolution, there will not be a legislative consent motion from the Scottish Parliament. We are happy to have common frameworks across the United Kingdom, as we have said again and again, but they have to be agreed and negotiated; they cannot be imposed. As long as he continues to approach devolution as something that he can control and manipulate, this is not going to happen. The sooner he gets beyond that mindset, the better things will be The key dispute, where I ask the Secretary of State to respond, is about the World Trade Organisation regulations in the Bill. In his view, everything to do with the WTO is reserved. Does he not accept that the administration of WTO terms is a matter for the Scottish Parliament? We do not have to take the Scottish Government’s word for that, because in a piece of very useful legal advice from NFU Scotland yesterday we learned that it is indeed the case. The advice says that “Scottish Ministers will not have total freedom to apply domestic support as they see fit if the Secretary of State makes regulations setting limits in relation to WTO classifications.” It also says that “it would not be a legitimate use of regulation-making power to prescribe within the limits how Scottish Ministers would be able to exercise the powers to apply support.” NFU Scotland agrees with us that WTO rules administration is a matter for the Scottish Parliament. [Interruption.] If the Secretary of State does not agree, what is his basis for not agreeing with the legal opinion of NFU Scotland?
ParlaMint-GB_2018-10-10-commons.u315	How many farmers did the hon. Gentleman speak to in his constituency prior to writing his speech? As he knows, my constituency borders his, and farmers in Angus are calling out for clarity from the SNP Government in Edinburgh. They want them to put the national interest before the nationalist interest. They want to ensure that farming has a prosperous future. They want to ensure that the SNP puts its country before party. Can he tell me when—
ParlaMint-GB_2018-10-10-commons.u316	Order. I must say to hon. Members that interventions are meant to be short, not speeches. I am very concerned about the number of Members who wish to get in. I am going to drop the time limit after this to six minutes, but Members should not be surprised if shortly after I have to drop it again.
ParlaMint-GB_2018-10-10-commons.u317	I am sincerely grateful to the hon. Lady because the other key point we have been hearing from Conservative Members today is that, apparently, there is no plan or policy from the Scottish Government. Of course we will have a Government Bill. But let me tell Conservative Members that this Bill presented by the Secretary of State is nothing other than an aspirational wish list. What we are doing is consulting with the sector. We will be hearing from our rural champions. Once we have heard back, a clear agricultural policy Bill will be secured to ensure that Scottish agricultural interests are properly looked after—it will not be this aspirational nonsense that we are hearing from this Government. We need an agricultural approach that acknowledges the full horror of a hard deal Brexit and the absolute disaster of a no deal if it comes along The Scottish Government’s “Stability and Simplicity” paper sets out a detailed five-year plan to minimise the potential disruption of this Tory Brexit to our rural communities. Our plan will give farmers and crofters stability during a period of unprecedented change not of Scotland’s making. We have always to remember that Scotland wanted nothing to do with this disastrous Brexit policy, and it is up to us to try to clear up this mess to ensure that our farmers are properly protected and that they will be able to do their business. When that consultation is concluded, the Scottish Government will set out their plans, taking into account recommendations from our own agricultural champions and the National Council of Rural Advisers. That is how to frame legislation: speak to the sector involved, ask it what it wants and what it would like to see in the Bill, and then legislate.
ParlaMint-GB_2018-10-10-commons.u318	Can the hon. Gentleman explain why there are more Scottish Conservative MPs in this debate than Scottish nationalist MPs?
ParlaMint-GB_2018-10-10-commons.u319	I will just finish my point given that it is about the Secretary of State, and then, if I have time, I will respond to the question. I particularly enjoyed the Secretary of State’s histrionics when challenged on convergence funding. I have never seen him so rattled. The question back to him is this: when will he do the right thing by Scottish farmers and give back the money that is due to them as soon as possible?
ParlaMint-GB_2018-10-10-commons.u320	On a point of order, Mr Deputy Speaker. I believe that the hon. Member for Perth and North Perthshire (Pete Wishart) inadvertently misled the House. He can look at the record and see that I definitely said that the SNP should be heard, and to say otherwise is obviously wrong. I hope that he will check that and put what he said right.
ParlaMint-GB_2018-10-10-commons.u321	It is open to any Member to check. Let us crash on now. David Warburton has six minutes.
ParlaMint-GB_2018-10-10-commons.u322	Some months ago, in this House, I reminded the Prime Minister of the fact that my constituency contains more cows than any other. I have that on firm authority, although the exact source has slipped my mind, and as far as I know Somerton and Frome’s bovine supremacy is under no immediate threat Those cows, and our entire farming industry, face an enormous opportunity in the shape of the Bill: although perhaps not a giant leap, it is certainly not a small step. It is more a confident stride towards a confident future in which it is this country that decides how to frame our own agriculture policy in the interests of our own countryside, our own farmers and our own producers. After almost 50 years of having policy levers pulled by the hands of others—although, I am quite sure, with our best interests at heart—our hands are now back on the controls for a healthier environment, a cleaner environment, better soil health, better animal welfare standards, better public access to the countryside and, rather importantly for Somerset, better flooding control Let us not forget food production. Land management and food production must work hand in hand not only to provide the greatest environmental benefits, but to feed the country. With that in mind, I am delighted to welcome the Bill and, in particular, the financial powers in part 1, in which we at last depart from the area-based system of direct payments and arrive at a system of assistance based on providing environmental outcomes and, crucially, on improving productivity—be that to an agricultural, horticultural or a forestry business The focus really needs to be on how, by virtue of the best practice in improving productivity, we can deliver those environmental benefits. The two aims must run together. It is, after all, the Somerset grass that feeds the Somerset cow and gives forth our glorious Somerset milk and cheese.
ParlaMint-GB_2018-10-10-commons.u323	My hon. Friend will know, because his constituency neighbours mine, that Arla, one of the biggest producers of dairy products, is in my constituency. In welcoming this Bill, as both he and I clearly do, does he nevertheless share the concerns of Arla as a first purchaser that clause 25 in particular might cause difficulties for it, while also trying to eschew the bad behaviour of rogue producers?
ParlaMint-GB_2018-10-10-commons.u324	My hon. Friend is absolutely right. I have also spoken to Arla and I understand that there are concerns around that issue. I suspect that, during the passage of this Bill, there will be much scope for tweaks and additions. Our food security must come from targeting support for domestic agriculture so that we achieve not only the stability of food supply, but the environmental outcomes that pave the way to a sustainable countryside Agriculture in the west country, as elsewhere, needs help with both competitiveness and resilience. It needs to manage risk, market fluctuations and changeable conditions on a daily basis. The financial provisions in part 1 will be vital in helping farmers improve productivity, thereby shoring them up against adverse conditions.
ParlaMint-GB_2018-10-10-commons.u325	Will my hon. Friend also draw attention to clause 25, which deals with the outrage that dares not speak its name in the countryside, namely the treatment of primary and secondary producers by monolithic, all-powerful supermarkets? For a long time, as he will recognise, the supermarkets have ridden roughshod over good commercial practice and it is time that this wise and insightful Secretary of State took action and rebalanced the food chain in the interests of farmers and growers.
ParlaMint-GB_2018-10-10-commons.u326	I add my voice to that of my right hon. Friend in hoping that Ministers are fully aware of the misbehaviours of supermarkets and are prepared to push them in the right direction, but farmers also need to know what to expect My constituency is ornamented with innumerable orchards and fruit farms, from which pour the juices that make the finest—sometimes dangerously fine—cider. Clause 10 allows the Government to modify and discontinue the EU fruit and vegetable scheme, as the Secretary of State alluded to. I understand that existing programmes will continue to completion and a successor scheme is planned, but I ask Ministers exactly how that scheme will be framed. Any details would be enormously valuable Equally, it would be useful to know from the Minister a little more of the details of the Government’s intentions around the reduction of direct payments in the first year and beyond of the agricultural transition described in clause 7. Although it is desirable to move away from the current system, it is important that this is done in a phased and controlled way; and although it is also important to move towards the environmental land management system, it is also possible that the coming years may prove challenging for farming. In these circumstances there needs to be sufficient scope for the Government to make the necessary interventions to ease pressure We can set out clear objectives for improving soil and water quality, improving access to the countryside, protecting habitats and the environment, and flood mitigation. These are all worthy and essential elements of policy, but the Government understand well that food production is the key to unlocking our golden environmental heritage. Managing the financial and policy framework for our growers and livestock farmers will allow them to hold that key and use it effectively While I am on the subject of risk, I must mention my private Member’s Bill, the Rivers Authorities and Land Drainage Bill, which is due to have its Second Reading later this month. It would give the Secretary of State the power to put rivers authorities such as the Somerset Rivers Authority on a statutory basis, raise the precept and allow them to plan effectively. Should my Bill fall at this fence, perhaps the Minister would like to take those ideas forward; there may be room in this Bill As we face continued uncertainty—tempered, of course, with optimism and confidence—about the outcome of negotiations in Brussels, we must ensure that agricultural policy is not only firm, but flexible enough to accommodate the shifting sands between us. I am quite sure that the Government’s will is very much in that direction. While admiring the confident stride of the Bill, I look forward to our next steps with great anticipation, as do the innumerable cows scattered across the Somerset fields.
ParlaMint-GB_2018-10-10-commons.u327	Order. I will have to bring the time limit down to five minutes; I did ask Members to help, but they did not wish to.
ParlaMint-GB_2018-10-10-commons.u328	It is a pleasure to follow the hon. Member for Somerton and Frome (David Warburton). I agree that we need more certainty, but not that this is an excellent Bill without that lack of certainty. Without any certainty, I cannot see that it is a particularly valuable Bill I think that the Secretary of State would readily acknowledge that this is essentially an enabling Bill. It enables him to make regulations: to protect our environment, or not to protect our environment; to support some farmers financially, but not necessarily to tell them beforehand whether they would get that support, or what they would get it for; to support the public access to the countryside, or not; and even to create offences without Parliament knowing what they will be before agreeing to give him those powers What the Bill does not do is lay out a duty, a process, a funding mechanism or any other indication of how the Secretary of State will ensure that farmers in this country will produce food that is healthy, environmentally friendly, animal welfare friendly—or, indeed, any food at all. What on earth is the point of our giving the Secretary of State vague and plenipotentiary powers to encourage and enforce the highest possible environmental, health and animal welfare standards in English agriculture if we end up buying all our food from non-European countries where we have no influence whatever over the environmental impact of their agriculture and cannot be certain of the animal welfare regimes or employment regimes under which that food is produced? If the Government are serious about promoting healthy food, why is there no food and farming framework? Why are they not willing to use any future funding regime to promote the production of healthy foods Some mention has been made of mung beans. I am actually very fond of broad beans. I would eat far more broad beans if more were available in the shops, but I hardly ever find them. Why, among all the various powers that the Secretary of State is taking, does he not wish to take any to encourage the production of healthy food that I always thought agriculture was meant to be about?
ParlaMint-GB_2018-10-10-commons.u329	I am grateful for the opportunity to speak in this debate. May I begin by endorsing what the Secretary of State said about my hon. Friend the Minister for Agriculture, Fisheries and Food, who is widely respected and has overseen this subject during our five years in government? I realise that for him and for the Secretary of State, withdrawal from the European community will give them the power so importantly contained in the Bill, which frees us from the common agricultural policy. Although I personally thought that we should remain in the European Union, I well understand the desire in the agricultural industry to put the Bill on the statute book and to see how the future will be laid out It is worth bearing in mind the reason why our countryside is so attractive and visited by many people, particularly in my constituency and the Peak district: it has been farmed and looked after by our farmers for generations. I hope that the Minister of State can speak in his winding-up speech about the importance that we place on food production. Some of the less favoured areas in my constituency cannot be easily farmed without some form of support. That is very important indeed, and I wonder why we have not copied what is available in schedule 3 to Wales so that it is available to England Replacing the current system, which pays farmers according to the total land farmed, rather than a specific public benefit, is very important indeed. At the present moment in time, the top 10% of recipients receive almost 50% of payments, while the bottom 20% receive just 2%, which does not reflect the farming or agricultural good provided by many smallholdings and small farms in the uplands. I very much want that to be encouraged A lot has changed in agriculture over the past few years. I remember thinking that the foot-and-mouth crisis would be a big problem for me, as I had a large agricultural constituency. In fact, it was the tourism industry, which is important in the Derbyshire dales, that suffered the most. A third of total farm business comes from farm diversification. Rural tourism provides £90 billion a year to the UK economy. There are opportunities, and we need to support our farms The Bill has been welcomed by a number of organisations, but I hope that we do not somehow replace a Brussels bureaucracy with a bureaucracy that is even more constraining for farmers and the way they farm. I am pretty sure that the Secretary of State would not want that. However, I fear that some of the bodies that he works with and some of the Government bodies responsible for countryside issues may take a different view, so I look forward to his ensuring that there is an iron rod to tackle how regulations are imposed on agriculture, so that we let British farmers get on with farming.
