ParlaMint-GB_2015-10-21-commons.u1	1. What progress is being made on completing the electoral register
ParlaMint-GB_2015-10-21-commons.u270	I entirely concur with the arguments my hon. Friend is putting forward. Unfortunately, in the north-east of England, where there are seven local authorities involved in the North Eastern local enterprise partnership area, many councillors from different authorities have said to me and to colleagues, “We’ve been told it’s the only game in town” and that only with an elected mayor will the financial incentives for the LEP area be forthcoming. That is totally unfair and undemocratic.
ParlaMint-GB_2015-10-21-commons.u271	Absolutely. I thank my hon. Friend for that intervention. Those constraints are being imposed by the Government on that region. It should be up to the region to choose the most appropriate model of governance as we proceed, rightly, with devolving powers down to that area Our new clause 21 seeks to ensure that the community is involved in any decision about the model of governance. Open engagement needs to go much further than that. Devolution deals that are shaped with the local community are more likely to have the support of the local community. Just as important, they are more likely to be better deals. The Government should not close the door on meaningful engagement that is open and transparent. The deals the Minister is making may not feel obscure to him, because he is the one inside the closed door. The people on the other side of the closed door—those on the outside—need to know what is going on and to be able to influence and shape it. If the Government really believe in devolution, why will they not devolve decisions over the appropriate form of governance so that local areas can decide for themselves? I wonder what they are afraid would happen.
ParlaMint-GB_2015-10-21-commons.u272	We have had an interesting and wide-ranging discussion that none the less has retained the cross-party support for the Bill’s broad objectives that I detected on Second Reading. There are concerns about some of the amendments, and the shadow Minister has indicated his intention to test the will of the Committee on some of them, but on others I have listened carefully to, and will consider, the informed contributions of hon. Members on both sides. However, I do not think that detracts from the fundamental truth that many Members of different political views would like the devolution agenda advanced and the Bill to succeed. I am pleased that that is the case and hope that we can move forward in that vein. I want to touch on some of the specific comments made in today’s debate The hon. Member for Nottingham North (Mr Allen), who kindly described me as a benign Minister—I have been described as benign and as a velvet glove this afternoon, although at least one Member indicated from a sedentary position disagreement with at least one of those statements—is on the record as a supporter of devolution. I have discussed the issue with him in this place and outside it. I recognise that through his amendments he wants to make his position clear that devolution should go further—he anticipates that in due course it will go further—and wants to entrench elements of devolution as part of our constitutional settlement. I understand his desire to deliver that, but some of his amendments may go a little too far from the nature and scope of this Bill in respect of what he wants to deliver constitutionally. I listened carefully to what he had to say and I recognise his expertise in this area and welcome his contributions My hon. Friend the Member for Amber Valley (Nigel Mills) talked about his desire to see local government reorganisation tied in with some of the devolution deals that are being delivered. We do not resile from that prospect—it is not something that we are necessarily against—but we are cautious when it comes to any proposal that would move towards imposition of that sort of reorganisation. This is going to be a consensual process—the Bill is designed to allow for that—and that is what it must be if devolution is to be a lasting settlement. I recognise the point of my hon. Friend’s amendment 39 and the consultation that he envisages within it, but I do not think that it is a step that we want to include at this time The hon. Member for Bristol South (Karin Smyth) made a cogent argument about the mayor and the provisions for people to have a say about that mayor, bringing the provisions into line with requirements and legislation that exist for mayors in other areas. I recognise what she said and hope that we can find some agreement on this area that she will support. I have certainly taken note of her comments and her useful contribution today My hon. Friends the Members for Altrincham and Sale West (Mr Brady) and for Hazel Grove (William Wragg) commented on a range of issues and a range of amendments, including on their desire for referendums. I talked about the issue in my opening remarks and set out why I think the process we are talking about here is different, with different types of mayors from those we have seen before and differences in the nature of what we are doing, with the transfer of powers down rather than up. I have listened to my hon. Friends’ comments and hope that, while we may disagree on some of the specifics, we will find broad agreement, and I look forward to having further discussions with them about how best to achieve that.
ParlaMint-GB_2015-10-21-commons.u273	I want to return to the point, mentioned across the Chamber, about the work that can be done collaboratively on health issues. We saw the work done on dealing with violence against women, and I want to reiterate the importance of devolving health to these larger areas.
ParlaMint-GB_2015-10-21-commons.u274	My hon. Friend brings a wealth of experience to this place, and I welcome her comments and interventions. She has stated her position very clearly on the record. As we move through the course of today’s debate, we will have further opportunities to discuss the potential for health devolution. I recognise my hon. Friend’s case particularly in respect of London. The Government have the capacity to discuss and continue to discuss with the Mayor of London and London local authorities the sorts of changes they would like to see to the existing settlement. It is important to recognise my hon. Friend’s comments, to welcome the co-operative spirit in her approach and her desire for London to benefit from the sort of changes that are going to be delivered to other areas through this Bill.
ParlaMint-GB_2015-10-21-commons.u275	I am listening to the Minister’s comments about referendums and what we discussed on Second Reading about metro mayors. In the balance of the debate, there still seems to be some confusion among the Opposition Front-Bench team about whether this is an imposition. It is not; it is an enabling process. Will the Minister confirm that that is the case?
ParlaMint-GB_2015-10-21-commons.u276	My hon. Friend pre-empts what I was coming on to say. He is, of course, absolutely right, and is perhaps more generous than I would be inclined to be when he says that there is only “some” confusion on the shadow Front-Bench. He makes an important and relevant point—one that I intend to develop in my later remarks this afternoon.
ParlaMint-GB_2015-10-21-commons.u277	I appreciate the Minister’s confirmation that nothing will be imposed on any area where it is not wanted. However, in areas where it is wanted and councils want to come together to get powers devolved from Westminster to their areas, does my hon. Friend agree that it is important to have a single person who can be held accountable by the public for those new powers and new responsibilities?
ParlaMint-GB_2015-10-21-commons.u278	My hon. Friend is of course right about the importance of sharp accountability with respect to the ability of a metro mayor to drive the change that devolution presents an opportunity to deliver. This direct approach from the elected metro mayor should help to ensure that we get the maximum benefit from a process of devolution. That has been shown the world over, when many big cities with mayors deliver real improvement and success for the areas they represent. It is a proven model, one that we want to see delivered through this devolution agenda. It is also one, importantly, that will not be imposed on any area.
ParlaMint-GB_2015-10-21-commons.u279	Will the Minister just be honest? He says that he is not going to impose a system, but he well knows the alternative. Unless the north-east accepts an elected mayor, no devolution will take place. That is a take-it-or-leave-it provision; it is an imposition by any other name. The Minister should admit that he wants to impose an elected mayor on the north-east irrespective of what local people or local politicians want.
ParlaMint-GB_2015-10-21-commons.u280	I listened carefully to hon. Gentleman’s contribution, and I know that he is exercised by this issue. I do not recognise the narrative that he put forward as entirely fulsome in its representation of the processes that are under way. [Interruption.] I will explain my comments thus. The Bill does not allow the Government to impose devolution or a model of devolution on any area. It allows areas to reach agreement with the Government about devolution when they see the benefits to their areas from it In the north-east—an area represented by the hon. Member for North Durham (Mr Jones) and one close to my heart and interests—we have had productive discussions with local authority leaders. Those leaders are not exclusively Conservative or even Liberal Democrat, as we are talking to Labour local authority leaders, too, and they are working with us to find the right package to deliver devolution. The Bill gives no power to impose devolution on the north-east and we would not attempt to impose a model of that devolution without the two going in tandem. The opportunity is there in the legislation for areas to ask for devolution; we can enter into discussions and deals can be made in a bespoke and bottom-up way to ensure that every area gets the right deal We have been clear throughout this process—it was clear in the manifesto on which this party stood at the last election—that if areas with large metropolitan city centres want a devolution package similar to the one that Greater Manchester has agreed with the Government, we would expect a metro mayor to be part of the package.
ParlaMint-GB_2015-10-21-commons.u281	Will the Minister confirm that for the area of the North Eastern local enterprise partnership, which includes Durham, Northumberland and Tyne and Wear, a £30 million investment package is on the table, but that that £30 million is available only in the eventuality of an elected mayor being accepted by the seven authorities?
ParlaMint-GB_2015-10-21-commons.u282	I am happy to confirm that we are in discussions with local authority leaders in that area, but that leads me on the hon. Gentleman’s earlier comments about the geography. He has raised the point—and is perfectly entitled to do so—that this is a diverse area with rural and urban communities. I should make it clear, first, that we are talking about powers that are currently controlled in Whitehall and currently controlled nationally by public bodies and by Ministers here, and we are taking them closer to the people affected by them. Secondly, I must make it clear that we will not tell any area what its geography must be. We have left it for areas to come forward with proposals that they believe best suit the economic opportunities that exist in those areas.
ParlaMint-GB_2015-10-21-commons.u283	Does the Minister think it would be in the best interests of the north-east to have an elected mayor?
ParlaMint-GB_2015-10-21-commons.u284	My hon. Friend raises a valid point. An elected mayor provides the focus and accountability; it means there is someone to drive the agenda forward and be accountable for it. However, we would not impose this on any area. It will be delivered only by agreement. That is true of the north-east as it is for the country as a whole, and it is true of the text in this Bill, which does not give us the power to impose. It gives us the power to make deals with the areas that want them. Devolution should be on the table for any area that wants it, but it should be imposed on no one, and that is what the Bill ensures will happen.
ParlaMint-GB_2015-10-21-commons.u285	I am grateful for my hon. Friend’s very clear answer. Is it therefore the case that if an area refuses devolution, the money stays with Whitehall but can still be spent in that area, and that refusing devolution results in no financial loss?
ParlaMint-GB_2015-10-21-commons.u286	Of course. Areas that choose not to be part of devolution—and it is their choice; devolution will not be imposed on anyone—will suffer no disadvantage as a result of that choice. I shall be happy to meet my hon. Friend and his colleagues to discuss any concerns that they may have about what may come to be proposed for the area that my hon. Friend represents, and also about the implications should an area choose not to be part of the process. This is not about imposition; it is about consensus, working together and co-operation.
ParlaMint-GB_2015-10-21-commons.u287	Will the Minister give way?
ParlaMint-GB_2015-10-21-commons.u288	I will if the hon. Gentleman is very brief. I know that he is enthusiastic to have his say.
ParlaMint-GB_2015-10-21-commons.u289	I am, because what the Minister has just said is not true. What has been said to the seven local authority leaders in the north-east is they must either accept the mayor and the devolution settlement or not receive the extra money that has been trumpeted by the Tory party in the north-east and by the Minister’s friends. The only way to get extra resources for the north-east is to accept an elected mayor and the system to which the Minister is agreeing.
ParlaMint-GB_2015-10-21-commons.u290	I am not sure how much more clearly I can express myself. We will not impose devolution on any area, but any area is free to come forward and negotiate with the Government to make a deal for the delivery of devolution if it wishes. Areas that do not choose to be part of devolution will not have anything taken away from them as a consequence, and when devolution is delivered, it will be about powers coming down. Local authorities will only see powers transferred up to a metro mayor when they opt for that to happen. I think I have made myself very clear on that important point There is one more important point that I want to make to Opposition Front Benchers, about amendment 4. It is imperative that when the conditionality amendment that was made in the other place is put forward, we are able to deliver on our manifesto commitments, and so that we can do that, the changes that the Government have proposed today need to be made.
ParlaMint-GB_2015-10-21-commons.u291	I beg to move amendment 45, in page 4, line 18, at end add ‘provided that in each exercise of that function the mayor has the consent of each constituent part of a combined authority.’ The intention of this amendment is that any constituent part of a combined authority may veto any decision made by a mayor of a combined authority.
ParlaMint-GB_2015-10-21-commons.u292	With this it will be convenient to discuss the following: Amendment 40, in page 4, line 18, at end insert— ‘(1A) An order under subsection (1) may only be made with the consent of the relevant combined authority; and that consent must be obtained prior to the creation of the office of mayor in the combined authority concerned’ The intention of this amendment is that a function of a mayoral authority may only be transferred to the mayor with the consent of the relevant combined authority, which must be obtained prior to the creation of the relevant office of mayor. Government amendments 5 to 7 Amendment 60, in page 5, leave out lines 9 and 10 As it stands the Bill removes the right of the Secretary of State to give borrowing powers to an elected mayor but allows for borrowing powers to be given to a combined authority. The amendment will allow borrowing powers to be given to an elected mayor. Government amendment 8 Clause 5 stand part Government amendments 23 to 25 That schedule 2 be the Second schedule to the Bill Clauses 6 and 7 stand part Amendment 41, in clause 8, page 8, line 20, leave out from beginning to end of line 12 on page 10 and insert— ‘(1) The Secretary of State may by order make provision for a function of the Secretary of State that is exercisable in relation to a combined authority’s area to be a function of a mayor of a combined authority; (2) An order under subsection (1) may not include provision about the exercise of functions currently exercised by local authorities.’ The intention of this amendment is that the only powers that can be given to a mayor of a combined authority are powers currently exercised by central government. Amendment 54, page 8, line 27, at end insert— ‘(c) make provision for conferring on a combined authority, upon the request of that authority in relation to its area the full retention of business rates, business rate supplements, council tax, stamp duty land tax, annual tax on enveloped dwellings, capital gains property disposal tax, and multi- year finance settlements.’ This amendment will allow local authorities to retain all of their local taxation, including Business Rates and Council Tax. Amendment 55, page 8, line 27, at end insert— ‘(c) make provision for conferring on a combined authority in relation to its area discretionary control of council tax discounts, business rate discounts and supplements, and other local fees, charges and subsidies in relation to other retained taxes.’ This amendment will allow local authorities to control all of their local taxation discounts, including those applicable to Business Rates and Council Tax. Clause 8 stand part Clause 17 stand part Amendment 48, in clause 18, page 17, line 48, after “consents,” insert ‘and in the County of Somerset, as defined by the Lieutenancies Act 1997, approved by a referendum in the local authority area’ Government amendment 15 Clause 18 stand part Clause 9 stand part Amendment 1, in schedule 3, page 32, line 12, after “persons” insert ‘including representatives of parish, neighbourhood, community and other councils in the area of the combined authority’. This amendment would allow local representation from parish, neighbourhood, community and other council is to attend combined authority scrutiny meetings. That schedule 3 be the Third schedule to the Bill Government amendment 9 Amendment 58, in clause 10, page 11, line 26, at end insert— ‘(5) The Secretary of State may by order make provision for conferring powers on a combined authority to set multi-year finance settlements.’ This amendment is intended to offer financial stability to city regions, allowing them long-term planning which is something not currently offered by the finance settlement or the funding of local enterprise partnerships (LEPs). Clauses 10 to 14 stand part Amendment 49, in clause 15, page 14, line 43, at end insert— ‘(d) In the County of Somerset, as defined by the Lieutenancies Act 1997, approved by a referendum in the local authority area.’ Clause 15 stand part Government amendment 10 Amendment 2, in clause 16, page 16, line 6, at end insert— ‘(d) the creation of a Constitutional Convention to discuss further local authority governance, functions and related democratic issues.’ This amendment creates the means by which every UK citizen can participate in a national public discussion on local devolution in the context of the wider renewal of UK democracy. Government amendment 11 Amendment 47, in page 16, line 11, after “apply” insert ‘and in the County of Somerset, as defined by the Lieutenancies Act 1997, approved by a referendum in the local authority area’ Amendment 50, in page 16, line 11, at end insert— ‘( ) In the case of two tier authorities, consent under section 16(3) may also be given where a majority of local authorities in the local authority area have indicated their support.’ Government amendments 12, 14 and 13 Clause 16 stand part New clause 2—Subsidiarity— ‘That Subsidiarity as defined by the Maastricht Treaty 1992 Article 5(3) shall apply to the functions of national and local government.’ This new clause would build in local government’s independence by using the principle of subsidiarity found in European law. New clause 4—Local Government Constitutional Convention— ‘(1) A convention is to be held to consider and make recommendations on the constitution of local government in the United Kingdom (2) The Secretary of State must make regulations to— (a) appoint a day on which the convention must commence its operations, (b) make fair and transparent rules about how the convention is to operate and how evidence is to be adduced, (c) make further provision about the terms of reference prescribed under section (Local Government Constitutional Convention: terms of reference), and (d) specify how those who are to be part of the convention are to be chosen in accordance with section (Local Government Constitutional Convention: composition). (3) The date appointed under subsection (2)(a) must not be later than 31 December 2016.’ This new clause creates the means by which every UK citizen can engage in a national public discussion of devolution local government, governance and electoral systems and make recommendations and receive a response from government and parliament to that national debate. New clause 5—Local Government Constitutional Convention: terms of reference— ‘The convention must consider the following terms of reference— ‘(a) the devolution of legislative and fiscal competence to local authorities within the United Kingdom, (b) the reform of the electoral system for local government, (c) constitutional matters relating to local government to be considered in further conventions, and (d) procedures to govern the consideration and implementation of any future constitutional reforms in relation to local government.’ This new clause creates the means by which every UK citizen can engage in a national public discussion of devolution local government, governance and electoral systems and make recommendations and receive a response from government and parliament to that national debate. New clause 6—Local Government Constitutional Convention: recommendations— ‘(1) The Local Government Constitutional Convention must publish recommendations within the period of one year beginning with the day appointed under section (Local Government Constitutional Convention) (2) The Secretary of State must lay responses to each of the recommendations before each House of Parliament within six months beginning with the day on which the recommendations are published.’ This new clause creates the means by which every UK citizen can engage in a national public discussion of devolution local government, governance and electoral systems and make recommendations and receive a response from government and parliament to that national debate. New clause 7—Local Government Constitutional Convention: composition— ‘(1) The Local Government Constitutional Convention must be composed of representatives of the following— (a) registered political parties within the United Kingdom, (b) local authorities, and (c) the nations and regions of the United Kingdom (2) At least 50% of the members of the convention must not be employed in a role which can reasonably be considered to be political.” This new clause creates the means by which every UK citizen can engage in a national public discussion of devolution local government, governance and electoral systems and make recommendations and receive a response from government and parliament to that national debate. New clause 10—Housing devolution to London— “In any enactment relating to housing, any power or duty of the Secretary of State applicable to any person or dwelling shall be exercisable in the Greater London area only by the Mayor of London, with the consent of the Greater London Assembly.’ This new clause provides for devolution to London of the Secretary of State’s housing powers. New clause 11—Local property taxes devolution to London— ‘(1) There shall be London Consolidated Fund into which shall be paid each month a sum equivalent to the previous month’s tax receipts in relation to properties in the greater London area accruing from— (a) the stamp duty land tax, (b) capital transfer tax, (c) the annual tax on enveloped dwellings, and (d) capital gains property disposal tax (2) The Treasury must consult the Mayor of London and the Greater London Assembly on what band and rates should be applied in respect of the Greater London area for the next financial year in respect of each of the taxes mentioned in subsection (1).’ This new clause provides for devolution to London of the receipts from taxes on property and for formal consultation with the Treasury on the rates of those taxes to be set for the greater London area. New clause 12—Local Government Financial Integrity— ‘(1) Local authorities shall be financially independent of central government, save as otherwise provided for by this section (2) Central government may not place any restriction on decisions by local authorities about the exercise of their financial powers (3) The distribution of central government funds between local authorities shall continue on the basis of existing equalisation arrangements. Distribution will continue to be based on the principle of ensuring fairness and balance between local authorities. The basis on which this distribution is carried out must continue to be made public (4) Each local authority shall receive from central government a guaranteed share of the annual yield of income tax, as follows. Central government must in each financial year assign to the Secretary of State responsible for the distribution of central government funds between local authorities an amount of money equivalent to the yield from ten pence in the pound of income tax. The Secretary of State must make arrangements to inform each taxpayer in England of the amount of their income tax which makes up the central government funding distributed to English local authorities as a whole (5) The amount of the income tax yield referred to in subsection (4) shall be renegotiated between central and local government whenever service provision responsibilities are transferred between central government and local authorities (6) Local authorities may raise additional sources of income in their areas in any way they wish, and with the consent of their electorates as expressed through arrangements to be determined and put in place by the local authority concerned (7) Local authorities shall be able to raise any loans, bonds or other financial instruments which their credit rating allows and as independent entities will be exclusively responsible for their repayment. All local authorities shall operate a balanced budget so that in any one financial year all outgoings, including interest repayments on borrowings, shall not exceed income (8) Central government may not cap, or in any other way limit, local authorities’ taxation powers (9) The financial transparency standards that apply to central government shall apply to local authorities (10) Central government and local authorities may contract with each other in order to pursue their own policy objectives.’ The intention of this new clause is that receipts from income tax should be assigned to the Department for Communities and Local Government who will then pass it on to councils. New clause 14—Power to create new council tax bands— ‘(1) Section 5 of the Local Government Finance Act 1992 is amended as follows (2) In subsection (4) omit “The Secretary of State may by order, as regards financial years beginning on or after such date as is specified in the order” and insert “A local authority may for any future financial year” (3) Omit subsection (5).’ The intention of this new clause is to devolve to councils the power to create new council tax bands. New clause 15—Abolition of referendums relating to council tax increases— ‘(1) In Part 1of the Local Government Finance Act 1992 (council tax: England and Wales) after Chapter 4 omit the Chapter set out in Schedule 5 to the Localism Act 2011 (2) Schedule 6 to the Localism Act 2011(council tax referendums: further amendments) ceases to have effect.’ The intention of this new clause is to end the council tax referendum system. New clause 16—Effective devolution committees— ‘(1) The functions of local authorities include the formation of committees to collect and analyse data on effective performance by local authorities of powers and functions devolved to them (2) The Secretary of State must not give any directions to such committees.’ The intention of this new clause is to enable Local Government to set up its own “what works” organisation on devolution to examine what’s effective, either independently or in partnership with, but separate from, the Department for Communities and Local Government. New clause 17—Scale of devolution— ‘(1) The extent of the devolution of powers and functions to local authorities must not be dependent on the size of the population of the local authority.’ The intention of this new clause is to provide flexibility for devolution on varying scales and foot prints instead of linking the amount of devolution to the size of the recipient. Government amendments 26, 30 and 31.
ParlaMint-GB_2015-10-21-commons.u293	I shall be brief. Amendments 40, 41 and 45 relate to a variety of questions regarding the precise powers that are to be transferred under a devolution settlement, including whether powers can be devolved down from Government and whether there is any danger or any possibility that might preclude the danger of powers being pulled up from local government and vested at a level further from the people, which I believe to be the case under the Bill as it stands Essentially, amendment 45, by providing a veto for any one authority in a combined authority or mayoral authority area over any decision, would establish what, in the context of the Prime Minister’s negotiations on the EU relationship, we would refer to as sovereignty. It is the opposite of the arrangement in the Bill, which we would, I suppose, call qualified majority voting. The current provisions would clearly allow a majority position in the mayoral authority to prevail over a serious objection from one, two or perhaps three authorities. If I read the Bill correctly, in fact, I think that most of the vetoes in the Greater Manchester agreement would require two-thirds opposition to a measure to prevent it from proceeding Amendment 45 makes it very clear that although we are pleased to participate in the new arrangement, or to enhance the existing arrangement of a combined authority, which works very well, we believe that the fundamental power in this relationship ought to reside with the local authority or with each of the local authorities in the area. If the amendment were to be agreed, it would provide that protection. As with the amendments we discussed in the earlier group, which I did not press to a vote, I do not intend to press these amendments to a Division in Committee, in the hope that Ministers will reflect on them and consider whether there are more effective ways in which these guarantees and safeguards could be provided. Similarly, amendment 40 seeks to establish what one might call a “foundation status”. It would give a special status to the original devolution agreement, which has been acceded to by the leaders of the local authorities in Greater Manchester, which is obviously the instance I know best. The intention is that it would limit the transfer of powers from local authorities, in particular, to any transfer that might take place before the establishment of the mayoral authority and would therefore prevent any further transfers. The amendment might not be perfect, and there might be flaws in how it is drafted, but I hope that my hon. Friend the Minister will accept that there is a real and important point that at the moment of the inception of the mayoral authority there is a degree of consent from the local authorities, but that consent might be less certain at a later stage Finally, amendment 41 seeks to provide an explicit guarantee. Ministers are very clear in their statements and Members on both sides of the House have been quite enthusiastic about the principle that we are seeking to move decision making and spending closer to people, taking functions away from central Government and moving them to a more local or regional tier. The hon. Member for Nottingham North (Mr Allen) spoke previously to his amendments seeking to establish a principle that could allow powers always to cascade down to the lowest level—something with which many of us feel a natural sympathy However, the Bill as it stands provides the possibility for powers to move in the opposite direction—for a local authority in any one year under any political control to decide that it wishes to cede decision making to the mayoral authority level. It is conceivable that the present Conservative Government will last for no more than another three or four Parliaments, and at some point in the future there could be a Government of another party in place. It is conceivable that a Minister less benign and less wise than my hon. Friend on the Front Bench may seek to lock into a mayoral tier of government powers sucked up from the local level Amendment 41 would provide a guarantee that what Ministers say they intend to achieve through the Bill and what most of us would like to see—the transfer of powers down from central Government—will indeed be the effect of the Bill, and not the reverse, the danger that the process will lead to decisions being taken further away from people, rather than closer to them.
ParlaMint-GB_2015-10-21-commons.u294	Again, I shall speak about a number of issues that relate to the bigger principles and can perhaps be considered as a warm-up for the next devolution Bill, which must surely come within a couple of years, as I said in my earlier contribution, to knock the edges off this pioneering Bill, which brings serious devolution to England for the first time in my political lifetime. I tabled a number of amendments and I shall speak first to amendment 2, which is about a constitutional convention The work that I have been doing on a constitutional convention, which is the policy of my party and others, becomes ever more pertinent. We do not want to do parts of the jigsaw, but never see the bigger picture. Unless we step back and have a constitutional convention, we will not see how voting systems interlock with the role of a second Chamber, with the nations within the Union, and with the role of independent and devolved local government as the agents of devolution in England. This is an important Bill providing one part of that jigsaw, but at some point in the next five years we need a mechanism to allow us—hopefully, all parties—to get together, take a pace back and ask, “Where does this leave us? Where does it leave the Union? Where does it leave our democracy?” I have spoken about the evolutionary approach to English devolution of the Minister and the Secretary of State, and I have commended both. Where does that necessarily piecemeal approach leave us in terms of the future of our country? That cannot be the property of any one party, nor should it be. The parties here have a role as a midwife, ensuring that this concept has a fair wind and is set up properly, is properly funded and provided for and has proper means of public participation, but that is all The political parties should take a step back from any convention, whether on local Government or on our wider democracy, and allow the citizens of the United Kingdom their say, perhaps under the auspices of one of the great and the good—an archbishop, a High Court judge or whoever they want to suggest—as worked so well in Scotland. That led to the smooth—it was also protracted, but necessarily so—development of devolution there, culminating in the Scotland Bill that was before us only a few weeks ago.
ParlaMint-GB_2015-10-21-commons.u295	I agree with my hon. Friend’s argument on income tax. Might the full suite of property taxes, not just business rates, also be worth considering in this context? I draw his attention to my amendment, clearly not as well drafted as his, suggesting that property taxes should be devolved in full to London. I hope to catch Mrs Main’s eye and say a few words on that later.
ParlaMint-GB_2015-10-21-commons.u296	Our London colleagues have done some fantastic work on how to localise taxation that is currently held by the centre. That has to be done sensitively and carefully, but as I said earlier—I do not think my hon. Friend was present then—every other western democracy manages that difficulty without a problem. In Sweden, America, Canada, Italy, Germany and Holland, it is second nature to retain money locally from business rates, landfill taxes and land taxes such as stamp duty. They get by pretty well. In fact, because that system is institutionalised, their local government has immense power over and above what we have as vassals. In effect, we do what we are commanded to do according to the crumbs left in the begging bowl after the Chancellor has done his bit for the national economy It is absolutely open to us to do work similar to that done by my hon. Friend, Professor Tony Travers and consecutive London Mayors to liberate people. Nottingham gets a lot of tourists because of the Robin Hood tradition and the castle, so we could have a hotel tax or a bed tax of £1 a night. That happens in other western democratic countries and the people endorse it. There is a big caveat though: no council should do this unless the people have okayed it and bought into it. Councils should also be able to borrow on the open market on the basis of their credit rating, but they need to have the consent of the people. It is perfectly possible for us to do what my hon. Friend suggests.
ParlaMint-GB_2015-10-21-commons.u297	I have been listening carefully to my hon. Friend and, while I do not disagree with him, the proposal to retain 100% of business rates will be a disaster for some poorer areas. It is fine for areas of central London, such as Westminster, to argue for the ability to retain 100% of their business rates. However, business rates in poorer areas of the north-east and elsewhere are never going to generate a great deal. In fact, one large closure can devastate the local income base. There has to be a redistribution mechanism.
ParlaMint-GB_2015-10-21-commons.u298	My hon. Friend is absolutely right. A proper redistribution mechanism—whether it is based on the amount received from income tax, business rates or any other taxation—must be in place; otherwise the system could be distorted and deeply unfair. That is why my amendments, which my hon. Friend will have read, suggest that equalisation should be central to the process; otherwise we will end up with the disjointedness he mentions.
ParlaMint-GB_2015-10-21-commons.u299	In addition to the point made by the hon. Member for North Durham (Mr Jones), does the hon. Member for Nottingham North (Mr Allen) think there is a relationship between fiscal decentralisation and the geographical wealth of the countries that he mentioned, including the United States, which is far more balanced than the gross imbalances in the UK?
ParlaMint-GB_2015-10-21-commons.u300	No, I do not believe that is the case. That happens everywhere. Although I am very much an ardent devolver, I believe there is always a place for the federal level. President Clinton was not denied his wish to introduce Head Start to every state in the union. He did not impose it, but he offered it as a federal programme and virtually every state picked it up. Devolution would not diminish our role in this place to do good things, and it certainly should not diminish our role in insisting on the sort of equalisation that my hon. Friend the Member for North Durham (Mr Jones) has in mind.
ParlaMint-GB_2015-10-21-commons.u301	Does my hon. Friend agree, though, that that is not what is being offered by this Government? They are offering retention of 100% of business rates without equalisation, which will have a dramatic effect on those areas with low business rate receipts. It will also be to the advantage of some areas that perhaps do not need extra resources.
ParlaMint-GB_2015-10-21-commons.u302	I again agree with my hon. Friend. We are not there yet and it is not a done deal yet. We need to make the points that he very ably makes about equalisation. I will say to him, however, that if it is a choice between being instructed by Whitehall how to spend not very much money and having not very much money to spend locally, I would go for spending it locally every time, because we will maximise value and spend the money sensitively. Whatever money is available, it is better spent by those who know what they are doing, rather than by the man in Whitehall. I totally accept my hon. Friend’s points.
ParlaMint-GB_2015-10-21-commons.u303	Will my hon. Friend give way?
ParlaMint-GB_2015-10-21-commons.u304	I am very conscious of the time, but I will give way.
ParlaMint-GB_2015-10-21-commons.u305	Is not a further argument for local taxes being controlled at local level that it allows local government a full range of policy responses to deal with local problems? I offer the example—I hope to catch your eye on this later, Mrs Main—of the housing crisis in London, where an ability to impose higher taxes on empty homes might be one part of the solution to the housing crisis.
ParlaMint-GB_2015-10-21-commons.u306	The nuance that I would add to my hon. Friend’s excellent point is that local taxation need not necessarily always be collected locally. Income tax is a very good example. Provided that it is distributed fairly from the centre, it makes a lot of sense for collection to be a central function, with Her Majesty’s Revenue and Customs simply continuing to do what it does, openly and transparently. Other things—he mentioned a hotel tax, business rates and so on—are much more amenable to local decision making, but we are long way from that.
ParlaMint-GB_2015-10-21-commons.u307	Will my hon. Friend give way?
ParlaMint-GB_2015-10-21-commons.u308	I will, but if I may, I will make that the last intervention, otherwise you will start to twitch, Mrs Main.
ParlaMint-GB_2015-10-21-commons.u309	My hon. Friend is committed to and searching for radical localist solutions. He mentioned the efficiency of decisions taken locally. My experience is that local government is much more efficient than central Government. Would not the most radical constitutional change be to make central Government responsible to local government, not the other way round?
ParlaMint-GB_2015-10-21-commons.u310	I would not ever wish to do to central Government what they have done to local government. I will therefore resist the temptation that my hon. Friend puts in my way. Sometimes, however, when we are being lectured about fiscal prudence, I ask myself: who has the triple A rating in this country? It is local government, rather than central Government. Who goes cap in hand to international lenders? Central Government. Who runs tight and balanced budgets? Local government. A central Government of any political colour who lectures local government should look in the mirror first I just want to mention one last new clause, new clause 16. It relates to having an institution, created by local government, as one of the What Works institutions that, thankfully, are now springing up across and outside government. They take the best possible practice out there and spread it around. A national-level inspectorate can tell local government what to do, but I am saying that there is a different model. We should draw up from the localities to national level something selected by the localities to spread best practice. We all want to do better and to hear who is doing the good stuff I will boast about the fact that the city of Nottingham has just come with the idea of an energy broker. Anybody can phone up and get the best deal—done. It will save people several hundred pounds a year. It is a not-for-profit service. As a Nottingham patriot, I could go on about our trams and many other innovations that we are introducing with two hands tied behind our back. If we release people in the way I am describing, we can show them best practice and we can see what they are doing. I ask the Minister to consider that point very seriously. The Government have very generously created What Works institutions in policing and early intervention —I played a small part in creating the Early Intervention Foundation—and there are about 10 of them across the board. We need an organisation created by local government and that local government will respect—based in the LGA, the Department for Communities and Local Government or wherever—to give advice, offer evidence and fight local government’s corner. That is something for the Minister to take away and consider, and I hope it will reappear in the next of the two other devolution Bills I anticipate before 2020.
