ParlaMint-GB_2015-10-26-commons.u1	1. What support her Department offers to kinship carers.
ParlaMint-GB_2015-10-26-commons.u285	Does my hon. Friend agree that the policy will further escalate the inequality between the people in our communities and throughout the nation? There are people who may work very hard but must depend on the likes of tax credits in order to exist, and have no opportunity to build any wealth whatsoever; and there are people who can inherit a property that may be worth £2 million, and then simply exploit that wealth in order to become even wealthier, to the detriment of everyone else in the country.
ParlaMint-GB_2015-10-26-commons.u286	My hon. Friend is right. In the constituency that I have the honour to represent, and in which I have lived for almost all my life, I could find no house worth more than £2 million when I looked in April this year. Indeed, none of them was near that value. There is barely a house that is worth over £1 million in the whole constituency, and of the three Wolverhampton constituencies, the one that I represent is undoubtedly the most affluent. The same will apply across swathes of constituencies: there will no houses worth that amount. The idea that an affordable house, as has now been defined by the Prime Minister, is £450,000 in London or £250,000 outside London is frankly a joke in constituencies like mine. For £250,000 it is possible to get a fantastic house in Wolverhampton. We welcome people in Wolverhampton—come to Wolverhampton: decent schools, good cheap housing, no traffic jams to speak of; fantastic, so come—but £450,000 will buy almost any house in Wolverhampton South West.
ParlaMint-GB_2015-10-26-commons.u287	Does my hon. Friend share my concern that the Government have been unable to drive forward the economy on any basis of productivity and are therefore relying on property price speculation, and that this would be a way to drive up property prices to cover up their failings in other parts of the economy?
ParlaMint-GB_2015-10-26-commons.u288	I agree with my hon. Friend, and if I can catch the Speaker’s eye on Third Reading I will be making points along those lines. The true state of our economy, driven by a housing bubble and household debt, is actually quite frightening. In terms of inheritance tax, new clause 9 simply asks the Government, after the Budget is in surplus, to look at the inheritance tax regime. Of course the Government could do it now, and I would welcome a commitment from the Minister, if he is able to make one, that the Government will do so, because the tax breaks in this Finance Bill will be about £940 million a year by 2020-21. That does not seem a wise use of revenue when it is coming in from some of the most well-to-do families—a small number of estates, as I said. It is not a good idea to be in one sense spending money in that way. I appreciate that it is not actually spending money because, technically, it is a case of simply not collecting it in taxes, but in everyday terms it is spending money, because so much of what we do in this House is to do with priorities, and so much of the prioritisation we decide on is predicated on how much money there is with which to do those things.
ParlaMint-GB_2015-10-26-commons.u289	Does my hon. Friend agree that we cannot afford this measure in this Parliament, not least because it will cost, as the Budget Red Book tells us, about £2.5 billion in this Parliament?
ParlaMint-GB_2015-10-26-commons.u290	It is difficult to tell what we can afford as the Conservative party, in government since 2010, has consistently failed to meet financial targets for dealing with the deficit. The Opposition agree with the Government that the deficit needs to be tackled, but we disagree on the way in which it should be done. Forgoing £2.5 billion —if that is the exact figure, and I think my hon. Friend is probably right that it is of that order of magnitude—in a very regressive way is something that Labour Members would not countenance, but we need to look at the whole regime, hence the wording of new clause 9 There will also be complications with the wording of the inheritance tax provisions. There is a feeling of unfairness among some as to the definitions—which I will not go through tonight—of a linear descendent. Many, if not all, Members will know from our own lives, advice surgeries and places we live that the definition of a family and those who are regarded by someone as being a member of their family are somewhat fluid in our society, and have become much more fluid in the last 50 years in terms of social recognition. For example, the Labour Government introduced civil partnership legislation, which I welcome—it is possible this Parliament will extend that to opposite-sex couples—and, commendably, in the last Parliament gay marriage was put on to the statute book. Those are concrete examples, dealt with by this House, of the fluidity and changing nature of family structures, but the provisions in this Bill rather lock in whether somebody is, or is not, regarded as a member of a family. Inheritance tax in this Bill is a bit of a problem, therefore, and I urge the Government to accept new clause 9 and amendment 89, which in a sense is a stand part motion I will now turn to value added tax, enforcement by deduction from accounts and the climate change levy—unless any Member wishes a quick run-around again on inheritance tax, but I suspect not.
ParlaMint-GB_2015-10-26-commons.u291	On the question of equality in our nation, we have seen the Government deliver huge tax cuts for their friends in the City and the hedge fund managers. We would rather that money went to the needy in our society, so that they do not have to rely on loans from the loan sharks that our friends on the Government Benches make some money from as well. Does my hon. Friend agree that the Government’s proposals will do us out of the chance of recovering some of this wealth when these people die?
ParlaMint-GB_2015-10-26-commons.u292	I agree that it sometimes seems that the policies of this Government are not only to shrink the state, but to give to those who already have and take away from those who have not, for example in terms of tax credits. I will not be drawn by my hon. Friend on the subject of tax credits, but it does seem a rum state of affairs. It is the sort of thing that drew people like me to join the Labour party, to fight for that kind of equality and to fight against regressive taxation.
ParlaMint-GB_2015-10-26-commons.u293	The hon. Gentleman has been inviting interventions on this issue. On new clause 9, why has he tied in the holy grail of a Budget surplus with asking for a review? As he has said, the Government proposals in the Finance Bill will make it more difficult to reach a Budget surplus.
ParlaMint-GB_2015-10-26-commons.u294	That is in the interests of having some clarity as to when this should kick-in. The Government could do it now if they chose. They do not need primary legislation to do it, but the proposal for a review of inheritance tax is in the context of the Government now being five years behind the original projections made by the current Chancellor as to when we will be in surplus. We are giving the Chancellor a lot of latitude now. We hoped that there would not be draconian cuts, which are now being planned by the Government, to public spending and that we could, through adopting a growth strategy, get to a Budget surplus with no deficit earlier than 2019-20, but I fear we will not do so. So a review now is fine, but Labour Members are reasonable people and we are giving the Government lots of latitude. They ought to think again on this regressive tax, as on others.
ParlaMint-GB_2015-10-26-commons.u295	On the issue of inheritance tax, does my hon. Friend recognise that it is odd that the Government in this Budget and in the language of the legislation have moved to do away with any concept of child poverty? They are moving on work and family tax credits with very little discussion on their part about the impact on children. When they talk about inheritance tax changes, they use the word “children” a lot, but of course the children they are talking about there are people who are well-off.
ParlaMint-GB_2015-10-26-commons.u296	My hon. Friend is quite right. If I may be so bold, in this context, the word “child” means people of around my age and that of my hon. Friend rather than minors. I wish the Government had paid a little more attention to minors and to child poverty. One of the achievements of the Labour Government was that child poverty fell significantly while we were in office. I regret, however, that that Labour Government, under Gordon Brown, cut inheritance tax by introducing the doubler—the Minister referred to this in Committee—whereby the £325,000 personal allowance could be utilised by the surviving spouse if the first spouse to die had not used that allowance. I expressed my regret about that at the time. At that point, when the threshold was around £300,000, only 6% of estates in England paid inheritance tax. Then the threshold was raised to £325,000, and then the doubling up came in. That was regressive and regrettable, but so be it: that is the regime that the coalition Government inherited.
ParlaMint-GB_2015-10-26-commons.u297	I accept the point that the hon. Gentleman is making, but will he explain why he believes that we are more likely to have a successful review of inheritance tax when we move into a surplus, when the pressure on public finance is less, than when we are in deficit? Does he not think that the best time for a review of inheritance tax—that is, the giving up of tax revenue—is when we have a deficit problem?
ParlaMint-GB_2015-10-26-commons.u298	No; I disagree with the hon. Gentleman. We want to achieve economic stability—something that has been sadly lacking over the past seven years and that will probably continue to elude us for the rest of this Parliament—at which point we can pause for breath. This is part of the Labour Opposition’s overall approach: we believe that our Government finances need something called zero-based budgeting. This will be a major undertaking, in which we start by looking at what society needs rather than looking at what it has been spending its money on and simply topping that up, salami-slicing it away or whatever. We need to step back from that, but we can do so only at a time when we have a budget surplus and are not running a current—I stress the word “current”—deficit. That is the right time to look at this question I want briefly to talk about new clause 1, which has been tabled by Scottish National party Members, and to which I imagine they will speak later. It seems slightly odd that they wish to evade the consequences of devolution. As I understand it, a decision was taken in Scotland to amalgamate eight police forces and, I think, a similar number of fire and rescue services to create a single police force and a single fire and rescue service. My understanding is that, because they were new organisations, they became liable to VAT, which their predecessor organisations had not been. I quite understand the sentiment behind new clause 1, but it seems a little strange that, having used the powers of devolution which were quite properly passed by this House, the people of Scotland—refracted through their Parliament—should wish to change the rules on VAT. That said, we are heading towards a position of full fiscal devolution—[Hon. Members: “Are we?”] Well, I am not saying that we have got there yet, but we are heading towards it. That is the trajectory, and we would therefore not oppose new clause 1.
ParlaMint-GB_2015-10-26-commons.u299	I congratulate the hon. Gentleman on reaching the Front Bench after far too long a wait. I can tell him that we would be more than happy to take over the setting of VAT in Scotland. That could remove the anomaly.
ParlaMint-GB_2015-10-26-commons.u300	I thank the hon. Gentleman for that. We shall shortly be having a discussion about the mechanics of setting VAT in the United Kingdom New clause 7 has been tabled by my hon. Friend the Member for Dewsbury (Paula Sherriff). New clause 2, tabled by the Scottish National party, is similar but not as good. It was also tabled in Committee. The greater virtue of my hon. Friend’s new clause—in contradistinction to new clause 2—is that she has carefully listened to what the Government said in Committee about the road map, as we say these days, to achieving this worthy goal. She has worded her new clause in the light of the remarks made by the Minister in Committee, and I commend her for that. Her proposal has gained considerable momentum on both sides of the House, for obvious reasons. Of course, those of us on the Labour Front Bench will support it and I urge hon. Members on both sides of the House to do the same. I will not say a great deal more about the new clause—
ParlaMint-GB_2015-10-26-commons.u301	Some of us do have a certain amount to say about it. These are weasel words. The Opposition know perfectly well that they are not going for a full relief, or any relief, and are instead going for a pathetic little report, because of sections 2 and 3 of the European Communities Act 1972. The hon. Gentleman knows it, and we know it. These are weasel words, and the proposal would make no real change.
ParlaMint-GB_2015-10-26-commons.u302	I wish no disrespect to the hon. Gentleman, but I am not going to get into a big debate about this subject. It is not a great idea for a man to stand at the Dispatch Box and get into such a debate. On the broader issue of the European Union, it might surprise him to learn that more than half the population of the EU is female. It might also surprise him to contemplate the fact that this measure could be on the shopping list that our Prime Minister takes to Brussels, and that it could gain considerable support—from the Chancellor of Germany, Mrs Merkel, for example.
ParlaMint-GB_2015-10-26-commons.u303	If the new clause were passed this evening, as it should be, it would be interesting if it became the only demand that we were aware of in the negotiations. Would not that be a welcome development? The Prime Minister and the Chancellor have not said anything about their negotiating position yet.
ParlaMint-GB_2015-10-26-commons.u304	It would be a welcome development. As I have indicated—
ParlaMint-GB_2015-10-26-commons.u305	Will the hon. Gentleman give way?
ParlaMint-GB_2015-10-26-commons.u306	No, I will not give way—
ParlaMint-GB_2015-10-26-commons.u307	Why not?
ParlaMint-GB_2015-10-26-commons.u308	I will not give way for two reasons. First, the hon. Gentleman can seek to catch the Deputy Speaker’s eye later. Secondly, as I have said, I do not propose to get drawn into a debate on this issue. I support my sisters in the Labour party and around the House, and they are more capable than I am of putting forward the reasons behind the measure being proposed by my hon. Friend the Member for Dewsbury. They are more than capable. They do not need me to do it, and I shall say no more than I have already done New clause 10 seeks to place a statutory requirement on the Government to produce a report, within two years of the passing of the legislation, on the effects of clause 47 and schedule 8. In lay terms, clause 47 and schedule 8 will—with safeguards—allow HMRC to nick money out of our bank accounts without a court order Of course, under these provisions HMRC would not, in any legal sense, be stealing money from a bank account. Were it to do so, that would be covered by section 1 of the Theft Act 1968—I am not a criminal lawyer, but that is my recollection of it. What HMRC would be doing is something that other people cannot do: it would, with safeguards, be removing money from a debtor’s bank account without a court order and without the agreement of that debtor. That is a very big step forward for our society to agree to, refracted through clause 47. In Committee, the Labour Members tried to persuade the Government not to press ahead with the clause, as did other organisations, but we failed on that. We are not trying that again tonight directly, but we are saying that we take cognisance of the safeguards the Government have introduced and beefed up as a result of representations, and that a report should be produced within two years to see how they are working Before I deal with the safeguards, I wish to remind the House of why clause 47, allowing HMRC to go into people’s bank accounts without a court order, has been introduced. One major driver is HMRC’s fears about revenue loss through non-compliance. In an earlier Budget speech, the Chancellor said: “I am increasing the budget of Her Majesty’s Revenue and Customs to tackle non-compliance.”—[Official Report, 19 March 2014; Vol. 577, c. 785.] That was welcome: there is too much non-compliance going on, some of it blatant, some of it immoral avoidance but not illegal evasion, such as large corporations squirreling away money in tax havens and in places such as Luxembourg; and there are people who owe money to HMRC but fail to pay, and so HMRC has to take steps to recover that money Another major reason given by HMRC, which might trouble the hon. Member for Stone (Sir William Cash), was as follows: “The current processes for recovering debts…can be costly” That was said on page 2 of the consultation document, which contains an introduction by the Financial Secretary to the Treasury—the words I read out were not his but they were contained in a document whose preface he wrote. Paragraph 2.31 on page 9 goes on to say that “a county court judgment…can be a slow and expensive process.” In clause 47, the Government are therefore saying, “We find the court system a bit slow and a bit costly, so we are going to have our own system to take money out of people’s bank accounts, with safeguards.” That is echoed in clause 48 Where someone wins at court, there is a calculation to be made as to how much they are owed on a debt. I believe the basis for calculating what is known as the judgment debt rate goes back to about 1837, but the Government are not having that either in clause 48. Under the interest rate provision in clause 48, and in clause 47 on HMRC taking money out of bank accounts without a court order, we have one rule for them and one rule for the rest of us. We have to ask ourselves: are they right about the court system? Is it a slow and expensive process? I have not practised law for almost 15 years, but I try to keep up with it and I think the process is getting slower and more “costly”. That is because it has been starved of money by this Government and their predecessor Conservative-led Government.
ParlaMint-GB_2015-10-26-commons.u309	I hope my hon. Friend will indulge me further on the question of equality. Not everybody can go into court or argue with HMRC, as they do not have the skills and understanding always to take on all these intricacies of debts, claims and this, that and the other. Where people do get to court, they find protection there for them, because they can argue their case in front of a judge and make various points, and the judge can actually aid them. These people cannot afford to have legal representation, because there is no legal aid any more, and so they are in a better position because the judge can actually help them a little.
ParlaMint-GB_2015-10-26-commons.u310	I agree with my hon. Friend on that. It is no coincidence that my hon. Friend the Member for Walthamstow (Stella Creasy) is in her place tonight, as she has done sterling work on trying to stand up for the financially disadvantaged. I thank her for her work on so-called “payday lenders”, because when I tried as a Back Bencher under the last Labour Government to amend a Finance Bill to give the Government the power—just the power—to cap payday loan rates, I could not get a Labour Government to go even that far. She has done magnificent work because, as my hon. Friend the Member for Stockton North (Alex Cunningham) said, this is to do with protecting the financially vulnerable. That is why it is a big step forward. I congratulate the Government on introducing the safeguard that an assessment must be made of the vulnerability or otherwise of the alleged debtor and that that assessment must be recorded in writing.
ParlaMint-GB_2015-10-26-commons.u311	I can scarcely believe my ears. I think that the hon. Gentleman is congratulating the hon. Member for Walthamstow (Stella Creasy) on helping a Conservative-led Government do more to protect the poorest in our society than a Labour Government would do. Have I heard him correctly?
ParlaMint-GB_2015-10-26-commons.u312	In that particular respect, the hon. Gentleman has heard me correctly. However, if he had heard my earlier remarks, he would also be aware of my great unease at many other policies put forward by the current Government as well as by the previous Conservative-led Government. But in the narrow respect to which he refers, he did understand me correctly.
ParlaMint-GB_2015-10-26-commons.u313	Does my hon. Friend agree that a Government who voted three times against a cap on the cost of credit should not be lecturing the Opposition on how to protect the vulnerable? Perhaps if they had listened earlier to the concerns expressed from the Labour Benches about people who are vulnerable and who have personal debt in this current economic climate, this country would have made much more progress.
ParlaMint-GB_2015-10-26-commons.u314	I agree that progress can be pitifully slow under Conservative-led Governments, and that sometimes those Governments are very slow learners. With regard to the work that my hon. Friend has done, which has an echo in the safeguards under clause 47, she has persuaded the Government to be less hard-nosed and to be more “listening” about financial vulnerability than they had previously been and much credit for that success must go to her for her work with charities and others New clause 10 seeks in a very reasonable and moderate way to have a review of the effects of clause 47. The review would cover the total amount recovered, and whether it was as expected. It would cover the number of cases dealt with: would it be 11,000, because at one point the Government thought that it might be 19,000? It might also provide some measure of the effectiveness of the new procedure. I say to the Minister that we on the Labour Benches do not like the procedure, because it smacks of hypocrisy—of the Government, not of him personally. It is a case of, “It’s one rule for them and another for us. The court system is not working, so we will do a workaround on that.” I now wish to turn to new clause 11 on the climate change levy, and to amendment 90, which would delete clause 45 on the CCL. In a sense, the proposal is a double negative. If clause 45 were deleted, the exemption would be restored. Again, I urge the Government to look at both these measures, which retain, certainly for the moment, the exemption on the climate change levy and, as stated in new clause 11, look at the effect of the abolition of that exemption. As I understand it, there was no consultation to speak of before the measure was announced. In contradistinction, when a fundamental change to the tax regime of combined heat and power units was introduced, that industry got two years’ notice of exemptions. In this case, this year, there was 28 days’ notice, which is next to no notice at all, because these things have long lead times I accept the Government’s figure that a third of this exemption is claimed by overseas producers—if only that were not the case. When many, if not all, western countries address the issue of greenhouse gas emissions, which is the nub of what we are talking about, they tend to offshore the problem. Carbon dioxide intensive manufacturing, using lots of non-renewable fossil fuels, gets relocated by capitalists to places such as China and India, making it look as if the CO2 emissions per capita in the United Kingdom are falling quite dramatically, but if the CO2 emissions in the United Kingdom were to include those for which UK residents and consumers are responsible, we would see a rather different picture. Of course Labour Members are not happy about a third of this exemption money going overseas, but in one sense that is all part of offshoring. As far as one can see, successive Governments have been turning a blind eye to the offshoring of greenhouse gas emissions to China and India and so on, but when we are talking about measures to lessen that, no offshoring is to be allowed under this Government. They should think again I am not intimate with the industry—this is after all a finance debate and not an energy debate—but I accept that the cost of the CCL exemption in the five years of this Parliament could be in the order of £4 billion. We are talking about a lot of money. It is symptomatic of this Government being penny wise and pound foolish—if one can be penny wise with £4 billion—because they are cutting the exemption too soon, before the industry reaches self-sufficiency. If the industry were treated like the nuclear industry, we would have 100 years of subsidy before deciding whether the technology worked and it was self-sufficient. I am not suggesting that, but what we have is an industry in which the UK has been pretty successful. Indeed, it is a desirable industry. It is a renewables industry which, on all the evidence of which I am aware, is likely to grow in future years around the world, not shrink. We had some technological lead and a skilled UK workforce, but then the Government take us a step back with what they do at 28 days’ notice to the CCL exemption. I understand that prospective onshore wind projects are, almost as we speak, being abandoned, which is regrettable. That is not to say that every one of those projects should proceed, but it is regrettable if the whole industry is shrinking As I understand it, the impact assessment for the changes to the CCL exemption and the feed-in tariff is that there will be 1 million more tonnes of CO2 produced in the UK each year, which seems to be going in the wrong direction. What other financial incentives are there to encourage UK non-domestic users—I am talking about business and the public sector, not households—to use renewables? Secondly, in what ways are the renewables obligation and contracts for difference more efficient and more effective?
ParlaMint-GB_2015-10-26-commons.u315	This whole issue cannot be divorced from carbon capture and storage and the need for the Government to confirm their support for the two projects in the competition—I think we are due a decision on that in the new year. After that, we need to encourage industry with industrial CCS, especially on Teesside where my constituency sits and where, nearby, we have just lost a large section of the British steel industry.
ParlaMint-GB_2015-10-26-commons.u316	It is a tragedy what is happening to steel production around the country, and energy prices are part of the mixture behind it. They are as high as they are partly because we have not got to grips with technology like carbon capture and storage, and that is shackling companies in our country.
ParlaMint-GB_2015-10-26-commons.u317	Does the hon. Gentleman not see the contradiction in saying that the Government should be looking for ways to encourage high-intensity energy users to use more renewables, which are three times more expensive than producing electricity from gas, while lamenting the decline in energy-intensive industries in the UK?
ParlaMint-GB_2015-10-26-commons.u318	I disagree with the hon. Gentleman. The difficulty is that we have high energy prices because we have not invested in new technology to bring them down. For example, if we had cracked the holy grail of carbon capture and storage on a commercial basis—it is already cracked on a scientific basis—this country would be quids in, because of all the coal we have.
ParlaMint-GB_2015-10-26-commons.u319	The short response to what the hon. Gentleman is saying is that massive subsidies deployed in other countries are being authorised by the European Commission, but we do not get them. As the hon. Member for East Antrim (Sammy Wilson) said just now, there is an increasing failure in renewable energy because it is too expensive and the subsidies are a complete disaster zone.
ParlaMint-GB_2015-10-26-commons.u320	The hon. Gentleman is right that the European energy market and the production of energy within the European Union are a bit of a mess. The United Kingdom is part of that mess because we are in the European Union, but it is a mess here anyway because we have not tackled energy security. Again, the problem started under the previous Labour Government and I berated them for it at the time. I was berating a Labour Government on energy security before I lost my seat in 2010, and on returning to this House five years later, so far as I can tell almost nothing has been done on that front apart from the poisonous deal—in many senses of the word—backed by China and EDF for new nuclear power stations in this country One can see a bit of a pattern with what is happening with the removal at 28 days’ notice of the climate change levy exemption for electricity from renewable sources used by non-domestics—non-doms, as it were. The Liberal Democrat policy was for the percentage of taxation to come from environmental taxes to keep rising year on year, and when the Liberal Democrats first came up with that crazy idea in about 2007 I pointed out that it was a bit self-defeating. That has been formally abandoned by this Government, which is not necessarily a mistake, but in the context the issue is what has or has not replaced that policy. Support for large onshore wind is being cut, and support for photovoltaics is being ended one year early. The Government’s policy is to lessen air passenger duty, and they aim to abolish it and to expand airports. That is not good news for the environment. The policy on zero-carbon homes for 2016 is being scrapped, not just diluted. There is a massive nuclear subsidy, which we heard about last week with the visit from China. What will our nuclear industry be built on? State support from China and from France.
ParlaMint-GB_2015-10-26-commons.u321	I should have declared that I was chair of the all-party group on carbon capture and storage, and I am also chair of the all-party group on energy intensive industries. My grandfather was a miner, so I am pleased to hear the word “coal” mentioned in the Chamber. We have huge resources, particularly under the North sea close to Teesside. Does my hon. Friend agree that we need to see investment now in coal gasification if we are going to provide the natural gas needed by companies such as GrowHow, the UK’s only remaining fertiliser producer?
ParlaMint-GB_2015-10-26-commons.u322	I did not know that my hon. Friend had gathered so many accolades, but I thank him for the work he has done on these energy matters, which is particularly important for his constituency interests and for our country. As I said, if we could get the holy grail of carbon capture and storage, our country would be quids in because of the amount of coal we have. I am sadly old enough to remember what was called town gas; I do not know whether my hon. Friend remembers it. Town gas was made from coal, produced and piped, before we discovered abundant natural gas in commercial quantities under the North sea. Yes, we could go back to that, but we need the technology Instead, we have a massive subsidy for nuclear energy. Leaving aside the safety issues for the moment, that subsidy is just twice the price per kilowatt hour guaranteed with indexation. Who is proposing it? A combination of France and China—China with, as I understand it, a reactor that has not yet been built anywhere in the world, and France, through EDF, with the wonderful record we see at Flamanville in Normandy, where the reactor is now three times behind schedule at twice the predicted cost and still has not opened. There is a similar story with a similar reactor, also being helped by France, in Finland. The Government are contemplating huge subsidies in a panic over energy security, which of course will not guarantee energy security as it will take so long to build a new fleet, as they are pleased to call it, of nuclear power stations. Meanwhile, as my hon. Friend the Member for Stockton North points out, we have the craziness of all this abundant coal yet quite insufficient Government-funded CCS research and development through which we could proceed to the gasification of coal as North sea gas is running out.
ParlaMint-GB_2015-10-26-commons.u323	My hon. Friend may be surprised to learn that I spent 17 years of my career in the gas industry, so I know very well what town gas is. I was pleased to play a part in seeing natural gas come to large parts of the country. It does not matter whether subsidies are for wind, for panels on people’s roofs or whatever else; this is also about the creation of jobs. If we get carbon capture and storage right, a place like Teesside could start to replace the highly skilled jobs we have seen going down the pan over the past few weeks.
ParlaMint-GB_2015-10-26-commons.u324	I quite agree with my hon. Friend. We want those highly skilled jobs and we want the cheaper energy that one hopes we can get from that technology. We need the Government to kick-start research and development investment to develop that technology. However, I must caution my hon. Friend. There is only so far I can go in agreeing with him. Yes, we want those jobs, and quite a lot of them will be highly skilled, but it is a dead end for us as a country always to have subsidised jobs. That is the obvious thing to say, but it is a dead end. We need a plan to get from where we are, without energy security and without technological development, to the sunlit uplands where we have that technology and development, and where they are self-sufficient and commercially viable. That will need some support from Government, and the removal under clause 45 of the CCL exemption for electricity from renewable resources used by non-doms is a step in the wrong direction The Department of Energy and Climate Change Minister Lord Bourne of Aberystwyth wrote to me on 26 August saying that the Government had committed to delivering on the national infrastructure plan published in December 2014, which contained a number of priority investments. He went on to list some of them. One is rail electrification, and we know what has happened to that—it is on pause. Another is low-carbon energy such as nuclear; we know the cost of that, which is enormous. A third is low-carbon energy such as renewables, but clause 45 is going in the wrong direction on that. Lord Bourne also cites energy efficiency measures such as smart meters, but the evidence on them is mixed, to say the least. Before Conservative Members jump up, I know that it was a Labour Government who started down that route and it struck me as a very odd thing to do at the time The final point that Lord Bourne mentions, which will please my hon. Friend the Member for Stockton North, is carbon capture and storage. We need to go down that route, but as I say, we need a bit more help from Government, and the measure in clause 45 goes in the wrong direction—at least, we are uncertain what direction it is going in as there has not been a whole bunch of consultation on it as far as I can tell and I am not aware of an impact assessment On 8 July—Budget day, I believe—HMRC put out a consultation document on the subject, which said that one of the factors being examined was the “operational impact” in pounds. It stated: “Changes in HMRC costs are estimated to be negligible and would fall as part of the existing operational cost of administering CCL. The government will consult Ofgem and NIAUR”— that is, the utility regulator— “over summer/autumn 2015 to establish the costs and other impacts on the regulators of removing the exemption.” That is a consultation, as I understand it, only on the impacts on the regulators, but that might shed some light on the impact on the industry and on employment. I hope that when he responds to the debate, the Minister can address that point
ParlaMint-GB_2015-10-26-commons.u325	I do not think new clause 7 is strong enough. It just asks for progress. We are not doing enough. Let me explain why The hon. Member for Wolverhampton South West (Rob Marris), who presumably helped to draft this proposal, knows perfectly well that he is trying to find a way of satisfying those who would like to see a serious attempt made to reduce the VAT on these products. They are clearly necessary and the tax on them should be reduced in the way that has been proposed. Unfortunately, however, he also knows that because of sections 2 and 3 of the European Communities Act, it is impossible to do that without getting the agreement of all the other member states. There is a variation as between other member states and ourselves to the advantage of those states, the net result of which is that supporters of new clause 7 are not going to get that agreement and they know it I am completely on the side of those who want to see a total elimination of VAT on these products.
ParlaMint-GB_2015-10-26-commons.u326	I note with pleasure the hon. Gentleman’s support for the idea that tampons, as they are called, and sanitary towels are an essential. I am an avid follower of many of his debates in Parliament, and I know that he has raised concerns before about the European Union. Having discovered his support for this proposal, I wonder whether he can update us on when he last raised in this House the issue of VAT on tampons.
ParlaMint-GB_2015-10-26-commons.u327	I am not going to say that I did, but I put through an Act of Parliament, the International Development (Gender Equality) Act 2014, both to protect women and to promote their interests, with massive support from all parts of the House, so I want no suggestion that I am backward in coming forward on these issues New clause 7 contains weasel words. It does not solve anything. It is not in the interests of the United Kingdom not to deal with the problem properly.
ParlaMint-GB_2015-10-26-commons.u328	I have raised the issue over a number of years, and I am pleased that we are debating it tonight. Does the hon. Gentleman agree that this is one of the ridiculous things that the European Union does, and that we need to get back in our own country control of how we levy VAT, which is why we should vote to leave the European Union?
ParlaMint-GB_2015-10-26-commons.u329	I entirely agree with the hon. Lady’s last remark, for the reasons that she has given. We need to get back control over our own power to make laws, levy taxation and deal with all the matters which we do not need to go into today. The supremacy of this House affects tax, spending, and the way in which we run our own country. We have a right and a duty to return to the people of this country the right to govern themselves. This happens to be an extremely good example of the kind of thing that would help women in a way that I would much like to see.
ParlaMint-GB_2015-10-26-commons.u330	I am pleased to hear the hon. Gentleman talk about his concern for global gender inequality, and his support for the idea that tampons are an essential and therefore should not be zero-rated. There is another way to read the amendment, is there not? Were we to pass it and to propose these matters at the European Union and secure zero-rating on tampons across the whole EU, he would be showing solidarity with his sisters in France, Belgium, Germany, Italy—indeed, he could be helping many more women by supporting zero-rating across the European Union.
ParlaMint-GB_2015-10-26-commons.u331	If there were a cat in hell’s chance that we would get this through the European Union, I would entirely endorse the hon. Lady’s sentiments. I would like to see the changes. The problem is that everybody on the Opposition Benches and the Government know quite well that they are not going to be able to achieve that with the kind of progress report that is mentioned in the new clause. It would be a great opportunity now to propose a provision that would override European law to make sure that we could achieve the objectives that she and I clearly share.
ParlaMint-GB_2015-10-26-commons.u332	I thank the hon. Gentleman for giving way again. I do not want to pursue this, not least because I am avidly waiting for the speech from my hon. Friend the Member for Dewsbury (Paula Sherriff), which I think will be compelling, but may I give him a spark of hope? It is not just on these shores that there are women—and men—fighting for zero-rating on tampons; there are others doing so in France. The proposal was put forward just this summer. Should he choose to vote with us and support the new clause, he will be joining many people across the European Union. I want him to have hope that we can win this at the European level, rather than the despair that he currently feels.
ParlaMint-GB_2015-10-26-commons.u333	My final remarks on the issue are these: that is wishful thinking. What is needed is not a report, but action—action to return to this Parliament the right to determine its own levels of taxation. I regard the proposals in the new clause as aspirations without substance, yet I agree with the underlying principle, which can be implemented only by an effective legislative change to the Finance Bill, whereby we take back control over our own affairs and govern not only the men but the women of this country in the way in which they would like.
ParlaMint-GB_2015-10-26-commons.u334	New clause 7 is tabled in my name and supported both by my hon. Friends and by a number of Members on the Government Benches It is time to end the tampon tax once and for all, and we have the chance to take a step towards achieving that today. It is absurd that in Britain tampons and sanitary towels are taxed as luxuries, not essentials, and not treated as a public service activity or medical provision by EU law. Almost 250,000 people from across the country have signed up to a call for that to change, and it is about time they were heard in Westminster and Brussels. Quite simply, a tax system that lets someone dine on crocodile steak on their private jet without paying a penny, when we cannot survive a period without the Treasury taxing us for it, cannot be a fair one That is why the Minister’s predecessor, Dawn Primarolo, urged on by many of my predecessors on these Benches, reduced the rate to 5% under a previous Labour Government, and it is why Laura Coryton and other feminist campaigners are running a campaign to finish the job with a zero rate now. Hon. Members can still sign up at change.org/EndTamponTax Periods are a fact of life and it is not as though women have a choice. Many were shocked to see Kiran Ghandi run the London marathon without a tampon to highlight the fact that too many women around the world do not have access to sanitary products. But that is the point—this is a basic matter of biology and it is time to end the taboo We can buy tampons in this country, but we are taxed for doing so. This is an issue for all women, but, as with so many things, it hits the poorest the hardest. Imagine being homeless when that time of the month comes. Think about what it is like to face a period without even having a bathroom.
ParlaMint-GB_2015-10-26-commons.u335	My hon. Friend refers to the plight of the homeless. As I am sure she is aware, homeless shelters can request free condoms from the NHS, but not free sanitary products. Does she agree that it really is time we dealt with that indignity, because homeless women face enough challenges already?
