ParlaMint-GB_2015-09-15-commons.u1	1. What recent assessment he has made of the UK’s membership of the EU on businesses.
ParlaMint-GB_2015-09-15-commons.u367	I understand why the shadow Minister does not want to defend the position of the current leader of the Labour party, but let me make this point clear. The Prime Minister came into office in 2010 with a mission to turn around the UK economy. He succeeded and was re-elected with a majority in 2015. The hon. Member for Luton North always makes entertaining and thoughtful speeches. I noted that he praised the tax system of Denmark, but I would point out that its VAT rate is 25% and it does not have any lower rates. I can assure him that we will not follow Denmark’s example and put VAT up to 25%.
ParlaMint-GB_2015-09-15-commons.u368	I would be happy if the Danes lowered their VAT rate, but can the Minister tell us what Danish income tax rates are?
ParlaMint-GB_2015-09-15-commons.u369	I do not have all the numbers in front of me, but I take it from the hon. Gentleman’s remarks that he would like to put income tax rates up, not down—[Interruption.] Well, I know he is very close to the Labour leadership and I suspect that he may prove to be an influential figure in deciding policy I am delighted that we do not appear to be divided on this measure, even though we heard some doubts about it from Labour Back Benchers. I am grateful to hon. Members for their contributions. This is an important part of the Government’s long-term economic plan, providing certainty and stability to the taxpayers of this country. I am pleased that we are making progress on providing that certainty and stability, as well as protecting the British people from tax increases, at least for the course of this Parliament and—we hope—future years as well Question put and agreed to. Bill accordingly read a Second time. NATIONAL INSURANCE CONTRIBUTIONS (RATE CEILINGS) BILL (PROGRAMME) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the following provisions shall apply to the National Insurance Contributions (Rate Ceilings) Bill: Committal (1) The Bill shall be committed to a Public Bill Committee Proceedings in Public Bill Committee (2) Proceedings in the Public Bill Committee shall (so far as not previously concluded) be brought to a conclusion on Tuesday 27 October 2015 (3) The Public Bill Committee shall have leave to sit twice on the first day on which it meets Consideration and Third Reading (4) Proceedings on Consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which those proceedings are commenced (5) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day (6) Standing Order No. 83B (Programming committees) shall not apply to proceedings on Consideration and Third Reading Other proceedings (7) Any other proceedings on the Bill (including any proceedings on consideration of Lords Amendments or on any further messages from the Lords) may be programmed.—(Charlie Elphicke.) Question agreed to.
ParlaMint-GB_2015-09-15-commons.u370	I beg to move, That the draft Tax Credits (Income Thresholds and Determination of Rates) (Amendment) Regulations 2015, which were laid before this House on 7 September, be approved I confirm, as required, that the provisions before the House today are compatible with the European convention on human rights The aspects of tax credits we are voting on today are amendable by statutory instruments, as laid down in primary legislation in 2002 by the then Labour Government. These and other aspects of welfare reform have of course been debated at length in the Budget debate, as well as in departmental questions and elsewhere. The underlying issues will also be debated in the Welfare Reform and Work Bill. In a response to a request from the right hon. Member for Birkenhead (Frank Field), the Government have brought the vote on the statutory instrument measures to the Floor of the House to allow all hon. Members the opportunity to vote.
ParlaMint-GB_2015-09-15-commons.u371	Will the Minister give way?
ParlaMint-GB_2015-09-15-commons.u372	Allow me to make a wee bit of progress Reforming tax credits and other benefits forms the first of five pillars of the Government’s approach to supporting working Britain. The second is the increase in the personal tax allowance; the third is the national living wage, the fourth is the major extensions to child care provision; and fifth is the overall sound economic management that is delivering growth in the number and quality of jobs, earnings and living standards.
ParlaMint-GB_2015-09-15-commons.u373	A couple with two children, in which one works as a senior schools admission official earning £26,000 a year, will be more than £2,500 worse off next year because of the measure the Minister is proposing. Does he recognise that it will wreck the solvency of that working family? What does he think they should do?
ParlaMint-GB_2015-09-15-commons.u374	It is important we see these changes in the overall context. I outlined some of the additional elements that are relevant. I certainly accept that they do not all come into play at exactly the same time, but in the course of time they do and by 2017-18 eight out of 10 households will be better off.
ParlaMint-GB_2015-09-15-commons.u375	I am most grateful to the Minister for allowing me to intervene at this early stage. A number of my constituents in Northern Ireland feel extremely aggrieved about the change to the income thresholds for eligibility for tax credits. Before I could support the measure, I have to urge the Minister to give some guarantees on how the Government plan to mitigate its worst effects for families throughout the United Kingdom—not just in Northern Ireland.
ParlaMint-GB_2015-09-15-commons.u376	I have been talking about some of the other elements, but these are matters on which the hon. Lady has a long track record of campaigning. Northern Ireland has a particular situation with regard to welfare reform and I hope all parties will come together to get through that. Discretionary payments are designed for housing issues in particular and were increased substantially in the summer Budget. It is possible that local authorities can use some of those funds to help out people who find themselves in particular difficulty, but I am of course very happy to meet her to go through this in more detail.
ParlaMint-GB_2015-09-15-commons.u377	How would families in my constituency be affected by a Government who went back to borrow and spend, who wrecked the economy, and who allowed unemployment to rise again? How would that affect the welfare of families working in Sherwood?
ParlaMint-GB_2015-09-15-commons.u378	My hon. Friend is correct that everyone benefits from the economic security that comes from the country living within its means.
ParlaMint-GB_2015-09-15-commons.u379	rose—
ParlaMint-GB_2015-09-15-commons.u380	If Opposition Members will allow, I will take some time to set out the regulations The regulations make three changes to the tax credit system. First, they reduce the working tax credit threshold from £6,420 to £3,850 and the child tax credit threshold from £16,105 to £12,125. Secondly, they increase the taper rate from 41% to 48%, meaning that when a claimant’s earnings reach the new tax credit income threshold, their award will be gradually removed by 48p in the pound, rather than the current 41p, ensuring that state taxpayer help is focused on those who need it most. For recipients of housing benefit, the interaction between the two systems of support means the overall change in the withdrawal rate will be 2p, not 7p Thirdly, the regulations reduce the income rise disregard from £5,000 to £2,500, taking it back to its level between 2003 and 2006 and matching the rate of the income fall disregard. Following the introduction of real-time information, Her Majesty’s Revenue and Customs has much more up-to-date information on claimants’ earnings, so there is no good reason to have such a high disregard figure. These three changes form part of a wider set of welfare reforms, most of which are currently under consideration in the Welfare Reform and Work Bill.
ParlaMint-GB_2015-09-15-commons.u381	The Institute for Fiscal Studies, following a request from the Treasury Select Committee, sent us a new analysis showing that lone parents earning less than £20,000 will have marginal deduction rates of either over 90%, if they are on the old legacy system, or 75%, if they are on universal credit. How does the Minister square that with his claims at the Dispatch Box?
ParlaMint-GB_2015-09-15-commons.u382	I am afraid that high marginal deduction rates have long been a feature of the social security and welfare system. As many Opposition Members know, universal credit will change that by making a substantive change in the withdrawal rates.
ParlaMint-GB_2015-09-15-commons.u383	The Minister knows that this is a serious matter, and Members on both sides are concerned about the work incentives and making sure we do not unfairly penalise people who want to get back into work. My hon. Friend the Member for Bishop Auckland (Helen Goodman) was right about the rapid increase in the marginal deduction rate to 93% from next April. He needs to address that specific point. How is it not a penalty to work?
ParlaMint-GB_2015-09-15-commons.u384	For people in receipt of housing benefit, the change in the marginal withdrawal rate will be 2p in the pound. The changes do not reduce the incentive to work, and, as the hon. Gentleman knows, equally important are the incentive, ability and support to work more hours once in work and the fact that there are now more jobs offering more hours. Our reforms to childcare are another key part of our support for people who want to increase their hours The context to these changes is that, despite making great progress towards balancing the budget, we still ran a deficit of 4.9% last year and are expected to have the second-highest deficit in the G7 in 2015. We need to eliminate the deficit and start cutting the national debt in order to build up our resilience to global economic shocks.
ParlaMint-GB_2015-09-15-commons.u385	Will the Minister confirm that when tax credits were introduced, they cost the Government £1.1 billion a year and this year will cost £30 billion, which is unsustainable, and that these reforms are necessary to balance the country’s books?
ParlaMint-GB_2015-09-15-commons.u386	My hon. Friend is right about the rapid escalation in the cost of tax credits—it trebled in real terms up to 2010—and that we are in the business of getting the country back into balance, because when we lose control of the economy, the people who lose out the most are those on the lowest incomes and in the toughest circumstances The burden of eliminating the deficit has meant a bigger tax contribution from those on higher incomes and now calls for further reductions in departmental spending while protecting our national health service. A further £5 billion comes from addressing tax imbalances and £12 billion from the welfare budget. That is the mandate on which we were elected. With near record employment, rising wages and stronger business confidence, now is the time to put the welfare system on a more sustainable, long-term footing, moving our country to a higher wage, lower tax, less welfare-reliant economy.
ParlaMint-GB_2015-09-15-commons.u387	rose—
ParlaMint-GB_2015-09-15-commons.u388	What a choice!
ParlaMint-GB_2015-09-15-commons.u389	I am grateful to the Minister. He talks about an environment in which wages are rising. Wages are rising in some areas, but public sector workers have seen a tremendous reduction in their income capacity, and many of them will be affected massively by what the Government want to do. The Government need to think more about public sector workers, whose wages are not going up.
ParlaMint-GB_2015-09-15-commons.u390	The hon. Gentleman is absolutely right to note the hard work done by public sector employees. There are pay restraints going on in the public sector—I do not deny that for a moment—but wages are growing at 2.8% in real terms this year, which is pretty broadly based across the country, while output per head is growing more in the north than the south.
ParlaMint-GB_2015-09-15-commons.u391	rose—
ParlaMint-GB_2015-09-15-commons.u392	Time is short, so I am going to make some more progress For too long in this country—[Interruption.]
ParlaMint-GB_2015-09-15-commons.u393	Order.
ParlaMint-GB_2015-09-15-commons.u394	On a point of order, Mr Deputy Speaker. For clarification, will the Minister please explain that the wages of public sector workers are going up not by 2.8% this year, but by only 1%?
ParlaMint-GB_2015-09-15-commons.u395	That is not a point of order.
ParlaMint-GB_2015-09-15-commons.u396	For too long, low pay has been addressed in this country not by genuine reform and driving productivity, but by subsidising it through the tax credit system. In the decade to 2010, tax credit expenditure more than trebled in real terms. The changes introduced in this order will build on the last Parliament’s reforms and return real-terms tax credit spending to its 2007-08 levels—a decade into the Labour party’s tenure in government. It is not a stand-alone measure, but part of what my right hon. Friend the Chancellor called a “new contract” with working Britain. It says to businesses, “You will have to pay higher wages, but you will get lower business taxes and a stable economy”; it says to people, “You can get higher pay and lower tax, but with less benefit top-up”; and it says to the country, “We are going to spend less and live within our means”. These regulations are an important part of that, and I commend them to the House.
ParlaMint-GB_2015-09-15-commons.u397	What we have just heard is a Government in denial about the impact these changes will have on what my right hon. Friend the Member for East Ham (Stephen Timms) has described as “wrecking family finances”. We are here today only because of the efforts of the Chairman of the Select Committee on Work and Pensions and of my right hon. and learned Friend the Member for Camberwell and Peckham (Ms Harman), who wrote to the Prime Minister in July to insist on a full debate on these cuts to tax credits, which were not included in the Tory manifesto. The original intention had been to implement these changes with the scantiest possible parliamentary scrutiny—through a statutory instrument not debated by the whole House, but considered by a short Committee session of no more than 15 MPs and without scrutiny in the House of Lords.
ParlaMint-GB_2015-09-15-commons.u398	I am obliged to the hon. Lady for giving way so early in her speech. Does she not recognise that rebalancing the financial relationship between the state, employers and employees was in the Conservative party manifesto, which was voted on and led to the return of a Conservative Government?
ParlaMint-GB_2015-09-15-commons.u399	The hon. Gentleman does not make it any better for his Front-Bench team, as what we have seen is a rise in child poverty. We absolutely agree that we need to find ways to encourage families to come off tax credits, but it should be done by a rise in income and through growth in the economy.
ParlaMint-GB_2015-09-15-commons.u400	During the election campaign, the Prime Minister told the country that the value of tax credits would not fall. Does my hon. Friend agree that the Government’s behaviour is putting democracy in peril?
ParlaMint-GB_2015-09-15-commons.u401	My hon. Friend is absolutely right, and it is shocking that a Government who profess to care about democracy should be so afraid of scrutiny Today’s changes are substantial and highly controversial, and we oppose them.
ParlaMint-GB_2015-09-15-commons.u402	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u403	I will in a moment These cuts in tax credits will hit working families in every constituency, and they were to be sneaked in through the back door. Indeed, when asked directly during the election campaign whether the Government would cut child tax credit, the Prime Minister said: “No, I don’t want to do that.” His statement was repeated on “Question Time” on 1 May. Today’s debate is about a political decision made by the Chancellor which is set to see more than 3 million families lose an average of £1,000 a year.
ParlaMint-GB_2015-09-15-commons.u404	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u405	I will in a minute This measure is ideologically driven, it is cynical, and it will directly increase levels of poverty in Britain.
ParlaMint-GB_2015-09-15-commons.u406	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u407	If the measure is passed, will it be Labour’s policy to reverse it?
ParlaMint-GB_2015-09-15-commons.u408	I am unclear—[Laughter.] I am unclear about why the hon. Gentleman wishes to make this an issue about the Labour party, and not an issue about why his Government have presented the House with a measure that will have a negative impact on his constituents as well. He will have to account to his constituents for the decision that he chooses to make today when they come to his surgery, knowing that—[Interruption.]
ParlaMint-GB_2015-09-15-commons.u409	Order. I certainly want to hear the shadow Minister, and I would expect Conservative Members to want to hear her as well. If they do not, I am sure that the Tea Room awaits them.
ParlaMint-GB_2015-09-15-commons.u410	Thank you, Mr Deputy Speaker. As I was saying, this measure is ideologically driven, it is cynical, and it will directly increase levels of poverty in Britain.
ParlaMint-GB_2015-09-15-commons.u411	rose—
ParlaMint-GB_2015-09-15-commons.u412	I will give way in a minute The measure is part of an ongoing attack on the incomes of some of the most hard-working families in our constituencies, the very strivers whom the Chancellor purported to support.
ParlaMint-GB_2015-09-15-commons.u413	The Chancellor said that Britain deserved a pay increase and Britain was going to get a pay increase. The Tories over there cheered him to the rafters when he increased the national minimum wage, but we now know from a document produced by the House of Commons Library—I have a copy here—that the changes in tax credits will more than wipe out the increase in the national minimum wage. At the same time, the Tories are cutting taxes for millionaires. It is an absolute disgrace.
ParlaMint-GB_2015-09-15-commons.u414	My hon. Friend is absolutely right. It is indeed shameful that we are seeing a cut in the incomes of the poorest people in our constituencies.
ParlaMint-GB_2015-09-15-commons.u415	Will my hon. Friend give way?
ParlaMint-GB_2015-09-15-commons.u416	I will in a moment This measure will attack families in which people are working hard to do the right thing and to achieve what we all want to see: a higher-wage economy in which people are less reliant on tax credits to make ends meet. What is before us today must be called out for what it is. According to the Office for Budget Responsibility, it amounts to what will be a cut of more than £3.4 billion annually by 2020—a cut that the Government have sought to slip through without even having the courage to carry out an impact assessment.
ParlaMint-GB_2015-09-15-commons.u417	I welcome my hon. Friend to her new position. I am very pleased that we are taking such a strong stance on tax credits. After the Prime Minister said that he would not cut tax credits, we are seeing the most pernicious and unfair cut imposed on some of the poorest people in society. Is that not why it is right for us to stand up for them today?
ParlaMint-GB_2015-09-15-commons.u418	My hon. Friend is entirely right. We are standing up for families who are doing the right thing: going out, working hard and trying to support themselves and their children.
ParlaMint-GB_2015-09-15-commons.u419	As a founder member of the drive, initially in London, for the real living wage, may I ask whether my hon. Friend agrees that the phoney living wage of the Chancellor of the Exchequer will not begin to compensate for the tax credit cuts, which will hit those in work particularly hard and will therefore punish the very strivers about whom the Chancellor is always lecturing us?
ParlaMint-GB_2015-09-15-commons.u420	I thank my hon. Friend for that intervention and for highlighting that the living wage will be lower than in any year since 2011. That is another example of this Government’s lack of transparency This move today amounts to a huge cut in the income levels of hard-working families.
ParlaMint-GB_2015-09-15-commons.u421	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u422	I will give way in a moment Effectively, these regulations, which come into force in April next year, will lower the level at which working tax credit starts to be withdrawn from £6,420 to £3,850, and increase the taper rate at which tax credits are withdrawn from 41% to 48%, meaning that for every £1 earned over the threshold there will be a 48p reduction in the level of tax credit entitlement. As a consequence of these changes to working tax credit, the level at which child tax credit begins to be taken away is lowered from £16,105 to £12,125. This change was not announced in the summer Budget, but is a consequence of steepening the taper for working tax credit.
ParlaMint-GB_2015-09-15-commons.u423	Does my hon. Friend agree that the Government have created a new phenomenon regarding zero-hour contracts? Women cannot get tax credits because of those contracts, as they have no continuity of employment, which affects families in many different ways.
ParlaMint-GB_2015-09-15-commons.u424	I thank my hon. Friend for that intervention. He highlights the collective impact of the decisions this Government are making on the income levels of many of the poorest families in our constituencies.
ParlaMint-GB_2015-09-15-commons.u425	rose—
ParlaMint-GB_2015-09-15-commons.u426	I will make a little progress, and then I will give way Far from increasing work incentives, these measures will reduce them. Reducing the work allowances or thresholds and increasing the taper rates mean families will have their incomes reduced earlier and more quickly than would otherwise have been the case.
ParlaMint-GB_2015-09-15-commons.u427	Does the hon. Lady accept that the vast majority of Members in this Chamber probably agree that we would like to see Britain move away from being a low pay, low productivity economy to a more advanced, higher productivity, better paid one? Can she explain how she thinks we can possibly move in that direction, even now the economy is recovering, if we do not tackle the absurd level of taxpayer subsidy to low pay from the tax credit system?
ParlaMint-GB_2015-09-15-commons.u428	I—[Interruption.]
ParlaMint-GB_2015-09-15-commons.u429	Order. I want to hear the hon. Lady’s reply.
ParlaMint-GB_2015-09-15-commons.u430	I thank the right hon. and learned Gentleman for his intervention. He may first want to explain why he voted against the national minimum wage when it was put to this House. We agree about people needing to come off tax credits, but we would do that through an increase in wages and in productivity The Government have sought to argue that working people will be compensated for the cuts by the increases in the minimum or living wage. That is contested by the Institute for Fiscal Studies, which says that it is “arithmetically impossible”. Although we welcome the increase to the personal allowance and the introduction of the so-called national living wage, as the Low Incomes Tax Reform Group has stated, any gains from those measures will not negate the impact of these tax credit cuts from April 2016. The IFS recently concluded that families will lose over £1,000 a year on average from cuts to tax credits, while they will gain between £100 and £200 a year at most from the proposed national living wage, and even that is seen as optimistic The IFS analysis has also shown that those on the lowest incomes are hit hardest by the Government’s tax and benefits changes. The reduction in annual income over the next five years is most marked for the poorest four income decile groups, highlighting the regressive nature of this Government’s fiscal choices.
ParlaMint-GB_2015-09-15-commons.u431	I am grateful to the hon. Lady for giving way when there is such stiff competition. Does she agree with Alistair Darling that tax credits are a subsidy to unscrupulous employers who underpay their staff, and that by rebalancing our economy away from tax credits and towards higher pay, everyone will be better off?
ParlaMint-GB_2015-09-15-commons.u432	The hon. Gentleman continues to miss the point. We cannot remove tax credits in that way without ensuring first that there is an increase in wages for families so that they can support themselves and not see an increase in household debt.
ParlaMint-GB_2015-09-15-commons.u433	On that point, the Institute for Fiscal Studies figures that were given to the Treasury Committee show that the average gain is only £200 for the 8.4 million working age households who are estimated to lose £750 through this measure. Does that not show that the Conservatives’ claim of being the party of working people is a complete fraud?
ParlaMint-GB_2015-09-15-commons.u434	My hon. Friend has made his point incredibly well. I now wish to make some progress The IFS has also shown that those on the lowest incomes are being hit the hardest by the Government’s tax and benefits changes. It is also of great concern that many tax credit claimants will not be aware of the cuts and will suffer additional hardship from April without any time to adjust their budgets. Cuts in families’ income will have wider economic impacts. For example, the changes will hit local businesses, and less will be spent in our local shops It is staggering that the Budget document did not include a distributional analysis of the impact of the Chancellor’s spending decisions. It is no wonder that people believe that that was deliberate and part of the intent to hide the impact of these changes. That pattern has continued today.
ParlaMint-GB_2015-09-15-commons.u435	Was my hon. Friend as astounded as I was to hear the Minister say that these changes protect those with the least and are being paid for by those with the most? Not only have the London School of Economics and the IFS demonstrated that the Government have hit those in the lower half of the income distribution, but I have evidence of a real family in Merseyside who will be £32 a week worse off. Does that not prove that what the Government are saying is a falsehood?
ParlaMint-GB_2015-09-15-commons.u436	My hon. Friend is absolutely right, and I can guarantee that all Members in this House will see more people with exactly the same problems in their advice surgeries The pattern has continued with no Government impact assessment for the statutory instrument that we are debating today. The Low Incomes Tax Reform Group has emphasised that fact along with the Social Security Advisory Committee, which complained in a letter last week about the lack of information that it was given on these regulations and the impact of the changes. It also said that more information should be made available to Parliament to allow for proper scrutiny. It said: “In the case of the Tax Credits (Income Thresholds and Determination of rates) (Amendment) Regulations, which are affirmative, we would expect Parliament to want more detailed information that clearly explains the changes and potential impacts to ensure that they can be subject to effective scrutiny. We would encourage you to take those steps to make that material available for that purpose.” The Members who are here today have no official information from the Government about the impact of the changes on which they are voting. I am talking about the impact that those changes are likely to have on their constituents. Instead, we have to use the IFS figures, which are the most authoritative figures available.
ParlaMint-GB_2015-09-15-commons.u437	rose—
ParlaMint-GB_2015-09-15-commons.u438	I will not give way These measures will hit families with children the hardest and impact on child poverty at a time when the Government are also abandoning their commitment to eradicating child poverty by 2020, and effectively abolishing the child poverty watchdog. The Social Mobility and Child Poverty Commission’s remit will now just be social mobility. Tax credits have played an enormous role in tackling child poverty. I hope that Government Members will think twice before they go through the Lobby tonight.
ParlaMint-GB_2015-09-15-commons.u439	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u440	I will give way to the hon. Gentleman.
ParlaMint-GB_2015-09-15-commons.u441	Hurrah!
ParlaMint-GB_2015-09-15-commons.u442	I am very grateful to the hon. Lady for giving way and I congratulate her on her promotion and her new appointment. She is now more than quarter of an hour into her speech, but we still do not know where the £3.4 billion would be saved from, if not from this measure? The Opposition cannot be credible if they are still going to go for further deficit spending.
ParlaMint-GB_2015-09-15-commons.u443	The hon. Gentleman’s constituents will certainly be pleased to hear him raising their concerns about the likely impact of these changes on their incomes. I hope that he will engage—[Hon. Members: “Answer!”] He has heard the answer before from the Labour party. We certainly would not give tax cuts to the very wealthy in this country, which his party has had a good record of doing over the past five years Around 10 million people—a sixth of the population—will be affected by these changes. Every Member in the House represents some of those who will be hit—around half the working families in our constituencies. However, it is heartening to read in media reports today that at least five Members on the Government Back Benches are planning to vote against the changes. We have also heard reports, cited by the Chair of the Work and Pensions Committee, that the Chancellor spent yesterday talking to anxious Tory MPs and urging them not to defeat him in the vote today, after they took him at his word when he said that the Government represented low-paid workers. I am sorry that Conservative Back Benchers feel let down by their Chancellor, but it is not too late for the Government to change their mind It is disappointing that the Government have failed to tackle the real drivers of welfare spending—notably, low pay and the high cost of rent. That failure caused the Department for Work and Pensions to overspend by £25 billion over the last Parliament. The Chancellor has slashed entitlement to housing benefit, including through the bedroom tax and the benefit cap, yet the number of working people being paid housing benefit has still risen by 400,000 since 2010 because working people are not bringing home enough money to pay the rent. The number of people paid less than a living wage has risen by 45% since 2009, with 4.9 million workers today being paid less than the living wage This week the Government also launched the most sustained attack on rights at work in 30 years. The Trade Union Bill amounts to a suppression of the democratic rights of ordinary people, and the Government’s cuts to tax credits are a disgraceful attack on the incomes of families up and down the country. Labour would bring down welfare spending not by punishing the most vulnerable but through supporting a higher wage economy, introducing a real £10-an-hour living wage, tackling high rents by addressing the housing crisis, and supporting trade unions to ensure fair pay The proposed changes arguably represent the largest single cut to family incomes ever implemented by a Government. I hope that Conservative Members will search their consciences on this issue and vote with their hearts and their heads by joining us in the No Lobby today.
ParlaMint-GB_2015-09-15-commons.u444	rose—
ParlaMint-GB_2015-09-15-commons.u445	Order. A lot of Members want to get in, so let us crack on with a four-minute limit on Back-Bench speeches.
ParlaMint-GB_2015-09-15-commons.u446	I am not going to pretend that it is easy to stand up and speak in favour of something that is, as the hon. Member for Feltham and Heston (Seema Malhotra) has said, going to be tough on families, but this is none the less the right thing to do. We have heard a great many estimates of how families are going to be affected, with a variety being produced by the Institute for Fiscal Studies. The one that I have seen gives a figure of £750 This measure will affect families, but it is worth bearing in mind the fact that there are mitigating factors that will make a difference for those families. We have heard about the tax threshold increases, and it is also worth bearing it in mind that many of those families are also small and micro-business owners who have benefited from reliefs on business taxes and small business rate relief. The economy is also a lot better, with very low inflation rates at the moment.
ParlaMint-GB_2015-09-15-commons.u447	Would the hon. Gentleman like to reflect on the fact that someone working full time and earning £17,000 a year will lose close to £2,000 as a result of these measures? Why do the Government want to punish hard-working families in this way, at the same time as they are increasing the inheritance tax threshold? This is vindictive and nasty.
ParlaMint-GB_2015-09-15-commons.u448	I am not sure I recognise the figure of £2,000 on a £17,000 income, and I do not accept that this Government are punishing hard-working people. I see a Government who are doing an enormous amount by reducing the threshold tax rates and by helping small businesses. We have seen more people come into work than there have ever been before. This Government have had a huge number of successes, so I do not recognise what the hon. Gentleman is describing There are two particular reasons why I support this measure, the first of which was highlighted by my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke), the former Chancellor, and my hon. Friend the Member for Croydon South (Chris Philp) in talking about the effect that tax credits have on employers. We do not know exactly the extent to which this has been the case, but without a shadow of a doubt some employers will have been not paying the right salary or pay, given that the Government are subsidising not necessarily those people on low incomes but the employers employing people on low incomes. We also know that if that did happen early on, it is much more difficult to unravel it now, which is why it is very important that we have the new national minimum living wage. It is there to ensure that wages do start going up, although I concede that this does not necessarily cover it all.
ParlaMint-GB_2015-09-15-commons.u449	How can employers take account of the tax credits, given that the tax credits are paid according to family circumstance and the wage is not?
ParlaMint-GB_2015-09-15-commons.u450	Because employees will work for a wage that they can afford to work at, and if the Government are subsiding those household incomes the employers can take advantage of that. It is difficult—I completely concede that—to unravel this.
ParlaMint-GB_2015-09-15-commons.u451	Conservative Members are clear that the macro picture is absolutely right and we have to reduce the welfare bill. Does my hon. Friend agree that the Government could do one specific thing that would help enormously? The BBC has withdrawn its online calculator for people who want to know how much they will be affected by this, and online forums suggest that different calculations are produced by different newspapers. Could the Government produce their own calculator so that our constituents can find out—
ParlaMint-GB_2015-09-15-commons.u452	Order. Mr Graham, you know you are pushing your luck. The hon. Gentleman has already given way twice and you are taking up your colleague’s time.
ParlaMint-GB_2015-09-15-commons.u453	A very wise idea The second reason I am very supportive of these changes goes back to the old argument about reducing the deficit. Conservatives made it perfectly clear at the last election that we would seek to find £12 billion through benefit changes, and that was a manifesto pledge. We were elected with an increase in our number of Members of Parliament and a rise in the sitting MPs’ majorities. We have been asked by the country to deliver on our manifesto pledges, and this is part of that delivery We still have a budget deficit, and the tax credits system costs the taxpayer about £30 billion a year. The IFS this morning said that it expects these changes potentially to deliver £6 billion in savings. It is worth remembering that, as has been said, tax credits cost just £1.1 billion when they were first introduced, but that has now ballooned to the current level and that is simply not acceptable. It is also worth remembering that they ballooned in a period of so-called “high economic growth”. The then Chancellor, famous for many things but in particular for claiming to have ended boom and bust, was running a bizarre programme of increasing benefits at the same time as telling us that the economy was fine and growing steadily. Perhaps he knew something that he was not telling us, increasing benefits in anticipation of the collapse caused by the crisis—perhaps he knew it was coming. By 2010, 90% of families with children were receiving tax benefits. Do 90% of families actually need these tax credits, even after all those years of the Labour Government, when we would have thought that the families would be doing better? Apparently, they are not. These tax changes take us back to the real levels in 2007 and 2008 I wish to finish by discussing one point. I was very struck, as were many Members, by the election whose result we saw on Saturday. I was particularly struck by the number of young people who were voting in that leadership election. They were voting in the name of voting against austerity. They were objecting to what they see as cuts being delivered to them today. In 20 or 30 years’ time, they will have to take responsibility for the mess that they find—we have to do something now. If we hand over the shop to them as we found it five years ago, austerity would not mean some managed cuts; it would mean devastating cuts that would be unbelievably painful. We have to take responsibility for the way things are now. I am not in the business of mortgaging the next generation’s future. I want to take responsibility for the problems we have today and not kick the can down the road. This is not austerity-heavy; it is common sense.
ParlaMint-GB_2015-09-15-commons.u454	Let there be no mistake: this statutory instrument will mean drastic cuts in the incomes of families with parents in low-paid work. Across the UK, about 7.5 million children live in about 4 million families that are in receipt of tax credits, and the vast majority of those families are in work. The key impact of the measure will be to reduce the incomes of more than 3 million working families by an average of more than £1,000 a year. We have a very short time today to debate a statutory instrument that will, at a stroke, make dramatic cuts to the incomes and life chances of millions of our citizens, and it deserves a lot more scrutiny then we are giving it today The Government have tried to argue this afternoon that their changes to benefits and tax credits are part of a plan to encourage people into work, but this measure overwhelmingly affects people who are already in work. Far from providing incentives for parents to enter the workforce, it actively reduces work incentives and makes it harder than ever for parents in low-paid work to support their families This is a hugely regressive measure. Our poorest working families are set to lose a dramatic proportion of their income. If we pass the regulations today, tax credits will start to be withdrawn from any family earning more than £3,850 a year rather than from those earning more than £6,420 a year, as is currently the case. More than half a million families earning less than £6,420 a year will lose out disproportionately because of these cuts to work allowances. That is a massive reduction in the amount that families can earn before tax credits start be withdrawn. Combined with the lower level at which universal credit will be withdrawn it means that, for example, a single parent earning £6,410 a year—roughly 20 hours’ work a week on the minimum wage—will lose 48p in tax credits for every pound they earn above the new threshold, which will leave them about £1,200 worse off a year One hundred pounds a month probably does not sound like a lot to Conservative Members—[Interruption.] It might not be a lot to them, but for those on low incomes a drop in income of that magnitude will almost certainly mean very difficult choices about very basic things, such as the quality and quantity of the food they eat and how to heat their home. Many poorer families already struggle with heating costs in winter, especially in my part of the world, but it is not only people’s health that is affected by living in cold and damp conditions. This is also about whether children have an adequately heated place to study and do their homework and the long-term consequences if they do not I recognise that disadvantage takes many forms, and we have heard a lot of rhetoric lately about social mobility, but the harsh fact is that income poverty is the single biggest driver of long-term disparities in children’s outcomes. Children who grow up in income-poor households are likely to have poorer health throughout their lives. They attain fewer qualifications at school, end up in lower-paid jobs and die younger than their peer group.
ParlaMint-GB_2015-09-15-commons.u455	The hon. Lady says that income-poor families have much poorer physical and mental health as well as educational attainment, but is that the case? The fact is that someone on benefits or welfare has poorer outcomes, so the route out is by gaining work and earning a decent wage.
