ParlaMint-GB_2015-06-15-commons.u1	1. What plans she has to review the school funding formula.
ParlaMint-GB_2015-06-15-commons.u368	I am not saying that.
ParlaMint-GB_2015-06-15-commons.u369	Sorry, I was expecting a bit more of a substantial contribution from the hon. Gentleman, and I am almost disappointed we did not get some more fulsome prose from him. I thought he made quite a good case for his new clause, but I say ever so gently to him that we favour our amendment, because it is the way we should be doing this. It seeks to give time for the Scottish Parliament to progress towards full fiscal autonomy. If we suppose Government Members are right that there is this huge deficit that we keep hearing about again and again, surely they should be working with us, through a fiscal framework, to work towards full fiscal autonomy. Surely what should happen is a process that starts by giving us the important early new powers—powers over the minimum wage, national insurance contributions and welfare. There is a process of moving towards this. If they are right about that, what is wrong with working with us to try to achieve and secure it? Surely that is how we should be doing this. As I have said, the themes are the same; oil and gas is a burden and a curse with independence, as it is with full fiscal autonomy. It is as though they have learned absolutely nothing, because these were the very themes put to the Scottish people during the general election campaign. I am not trying to speak for the Scottish people, but on the doorstep I was hearing that there is a tiredness and a deep despondency among the Scottish people at being told that they cannot do something, that they are in such a diminished position that we cannot take responsibility. That argument does not work any more. We have been through a process of national self-definition, of finding ourselves and of ensuring that we try to do something different.
ParlaMint-GB_2015-06-15-commons.u370	That despondency and disbelief among the Scottish people becomes even stronger when we look at those islands close to Scotland. The Faroe Islands, for example, have 50,000 people and full control of their taxes. The Isle of Man has 80,000 people and full control of its taxes. Scotland, which is the size of Denmark, cannot have full control of its taxes, because the Government say so. That time is now over.
ParlaMint-GB_2015-06-15-commons.u371	I am grateful to my hon. Friend for his intervention. He is a great champion and passionate advocate of the island nations. This evening, we invite this Committee to support us in the next stage of Scotland’s constitutional journey, which is about securing more powers, making our Parliament permanent, and granting full fiscal autonomy to our nation so that decisions about how we run our country are made in Scotland by the elected Members who represent the people of Scotland. Tonight, I invite the Committee to support us in that effort.
ParlaMint-GB_2015-06-15-commons.u372	We are talking here about the government of Scotland, so I hope it is not contentious to say that what should be uppermost in all our minds are the views of the people who live there. I am very much in favour of evidence-based policy, by which I mean that we should try to make things right according to the facts of the situation. We are in a fortunate position in this debate because we do not have to guess what the people of Scotland think, as they have been consulted quite extensively over the past year We are having this debate today because of the referendum that took place on 18 September, when the people of Scotland voted on whether they wanted to be an independent country. They decided by 55% to 45% that they did not want to be an independent country and leave the United Kingdom, and I respect that result and that opinion. But no one can deny that one thing that swung that vote in favour of the no campaign was the intervention by the leaders of all three Unionist parties who promised substantial new powers for Scotland should it decide to stay within the United Kingdom. The vow that was published and signed in The Daily Record and promoted the length and breadth of the country was definitely a major factor on which the outcome of that result depended The response was to set up the Smith commission, and Lord Smith has now reported and given his view. We took part in that commission and we signed up to it, but we made it very clear that the Smith commission is a floor, not a ceiling, on the ambition of Scotland for additional powers. We made that clear from the word go. We argued for that in the run-up to the election. There was a raging debate during the election campaign about whether the Smith commission was an adequate response to the wishes expressed by the people of Scotland in the referendum. We said that it was not, but that it was a start and that we needed to go further to satisfy the aspirations and hopes that were given to us by the Prime Minister, by Gordon Brown and by others who said that we would get substantial new powers. They said that we would have home rule and that it would be as near to federalism as possible. That is what the people of Scotland were promised, and the Smith commission does not add up to that. We took that argument and put it before the Scottish people in a general election, and we asked them to say whether they agreed with our analysis that we should go beyond the current Smith commission. What happened? They voted for us. They voted for us not just by a little bit but by a lot. More than 50% of the people who turned out at that election voted for members of the Scottish National party—I ask Members to try to get the name of our party right The question now is: does the Bill before us respond to what happened at the general election. I must say—the Secretary of State can correct me if I am wrong—that the Bill looks as though it was drafted before the election; its clauses are very similar to those that were published in January. The speed with which the Bill was published makes me think that there has been very little reflection over what happened at the election, and over the views of the Scottish people. Very little has been included in the Bill in response to those things I ask the Secretary of State and the Government to consider making changes to the Bill so that it reflects the views of the people of Scotland, delivers the promises of the Smith commission and, where possible, goes beyond the commission to do things on which Smith is silent—I am talking about the administrative changes that the third sector and specialist organisations in Scotland are asking for and that could easily be granted—and responds to our argument for granting substantial new powers that would be tantamount to the vow that was made One thing the Secretary of State could do quite easily is say, “We will accept the amendments about the permanence of the Scottish Parliament, albeit within our flawed and unwritten constitution.” The Government could make a statement that “This Chamber agrees that the Scottish Parliament will never ever be taken away without a referendum of the people who live in Scotland.” It would cost the Government nothing to accede to that amendment, so why do they not do it? They would be demonstrating some respect towards the people who have sent us to this Chamber to argue these points. Let me turn now to the issue of full financial autonomy. Last week, I was in the strange position of finding myself misquoted by the Prime Minister, the Secretary of State, shadow Ministers and—just to complete the pack—the leader of the Scottish Liberal Democrats in the Scottish Parliament. I did not know whether to feel victimised or honoured. I am delighted, both in recent press articles and in this Chamber today, to be able to put the record straight. I am absolutely committed to the idea that the Scottish Government should be responsible for raising the revenues that they spend. To be honest, that should be a non-contentious point. In any structure in the world where there is a federal relationship and a federal-type Government, or even a devolved Assembly, those arrangements are commonplace. I have yet to hear the argument against that view.
ParlaMint-GB_2015-06-15-commons.u373	I thank the hon. Gentleman for giving way. Indeed, he is my hon. Friend, as he is both a canny Ulster man and a County Antrim man. Of course he will know in his heart—the heart of a County Antrim man—that before a person can say that they want to spend money on something, they should know the price. Does he agree that, before we vote on his party’s amendments tonight, it is important that we know the price, especially for corporation tax? What will it mean for the ordinary Scot?
ParlaMint-GB_2015-06-15-commons.u374	I am a Derry man as it happens. If the hon. Gentleman wants to make a point of such substance, perhaps he should indicate to the Chair and take part in the debate. What we are talking about is a matter of political principle. It is about the direction in which we want to go forward. It is entirely possible, with good will, to put in place proper fiscal arrangements I wish to turn to the amendment of the hon. Member for Gainsborough (Sir Edward Leigh). I have not been in this job long—
ParlaMint-GB_2015-06-15-commons.u375	rose—
ParlaMint-GB_2015-06-15-commons.u376	May I deal with this point, and then take an intervention? I have not been in this job long, but I am surprised—I expect I will be surprised by various things over the next five years—to find such a passionate and eloquent exposition from the Conservative Back Benches of a position with which I agree. I suspect that there is little else on which the hon. Gentleman and I would agree. On this point, he makes his case very well. However, I wonder whether there is an element of mischief at the back of his mind. Perhaps he believed the propaganda from his own Front Bench several weeks ago that we were weakening in our commitment to full financial autonomy, and he thought that he might embarrass us in this debate today. I must reassure him that we are not lukewarm and our commitment is not weakening. In fact, we like the idea so much we have brought our own amendment before the Committee. I am intrigued at the suggestion that all we need to do is vote for it—
ParlaMint-GB_2015-06-15-commons.u377	I am completely sincere. I believe that the case for full fiscal autonomy is unanswerable in logic.
ParlaMint-GB_2015-06-15-commons.u378	I am pleased to hear it. I therefore expect the hon. Gentleman to vote for our amendment later.
ParlaMint-GB_2015-06-15-commons.u379	Vote for mine.
ParlaMint-GB_2015-06-15-commons.u380	Why do we not do a deal? I will try to ensure that all my colleagues vote for the hon. Gentleman’s amendment, if he makes sure that all of his party do as well. Perhaps we can have it sewn up by 10 o’clock this evening. The strange thing about this debate so far—
ParlaMint-GB_2015-06-15-commons.u381	This is very important. The hon. Member for Dundee East (Stewart Hosie) made an absolute commitment that he would vote for my new clause. I will press it to a Division and at 10 o’clock I expect to see the hon. Member for Edinburgh East (Tommy Sheppard) in the Lobby.
ParlaMint-GB_2015-06-15-commons.u382	If the new clause is moved, the hon. Gentleman will see me there, for sure. I hope that I will see him in the Lobby to vote on our amendment The interesting thing about the debate so far is that the case has not been made against full fiscal—
ParlaMint-GB_2015-06-15-commons.u383	rose—
ParlaMint-GB_2015-06-15-commons.u384	Is this perhaps on the subject of the hon. Gentleman’s misrepresentation of my views?
ParlaMint-GB_2015-06-15-commons.u385	I am grateful to the hon. Gentleman, who has just confirmed that he will walk through the Lobby with the hon. Member for Gainsborough (Sir Edward Leigh). He said on the radio—I was on with him—that the delivery of full fiscal autonomy for Scotland would be utterly devastating. Does he stand by those comments?
ParlaMint-GB_2015-06-15-commons.u386	The hon. Gentleman must apologise for misquoting me. I said—[Interruption.] Yes, I have the transcript as well as the hon. Gentleman. I said in the context of a debate that if this was done wrongly it would be possible to get it wrong. To my mind, that is a tautology: if we do not do something right, we get it wrong. The hon. Gentleman then decided that that somehow meant that I was against the whole principle of full financial autonomy and took to the Twittersphere to promote that. It does not, I am not and the fact that he had to do that shows the paucity of the arguments against our proposals We have yet to hear the argument against full financial autonomy for the Scottish Government, and I hope that we shall before the debate concludes. We have heard talk of a black hole, which other people will regard as a deficit when in fact it pertains to all economies at this point in time. We have heard that a policy of principle should be based on a snapshot from one point of time in an academic survey of what might happen in a year that will not even be covered by the process. That has somehow been extrapolated into an argument of principle against the proposal. It is not. If it was, would that mean that if there was not a deficit but a surplus in the Scottish budget, as there has been on many occasions, the policy would be flipped again and autonomy would suddenly become okay? We need to hear the arguments of principle against the proposal The difference between us is that, although there is a deficit in the Scottish budget, the SNP believes that it is possible for Scotland to prosper if it has control of its own resources, if it can manage its own economy, if it can grow its own revenue base and if it can steward its own budgets properly. Full financial autonomy would mean that the people of Scotland could get the benefits of that economic growth. That seems a laudable objective.
ParlaMint-GB_2015-06-15-commons.u387	rose—
ParlaMint-GB_2015-06-15-commons.u388	I am sorry, but I am just coming to the end of my speech My hon. Friend the Member for Dundee East (Stewart Hosie) has given some clear examples of how economic powers could be deployed. If Members, many of whom are on the Labour Benches although some might be on the Government Benches, are against that in principle, they need to tell us. If they are against it just because of the economics that might pertain to it, it is entirely possible to make an argument about equalisation measures and other mechanisms that could be introduced if we wanted it to happen. They need to tell us why on principle they do not want it to happen. I hope that we will hear that before the night is out, but in the meantime I commend the amendments to the Committee
ParlaMint-GB_2015-06-15-commons.u389	May I personally congratulate the hon. Member for Edinburgh East (Tommy Sheppard) on his stunning victory at the general election? I miss my colleague, Sheila Gilmore, whom I wish well, but I congratulate him It is a great pleasure to speak in support of our amendments. I could not help noticing that Lionel Richie was in the Gallery earlier, and I hope he enjoyed the first part of our debate as much as we enjoy his music These days in Committee are important in ensuring that the Smith agreement is delivered in full in both spirit and substance, as we said consistently on Second Reading. It is also essential to ensure that we go further than the Smith agreement, as Labour has said time after time, and we have set out a number of clear improvements Scotland has had an in-depth and passionate debate about its future and concluded that a fair and more prosperous Scotland is best delivered by shared tax and spending across the UK, with Scotland taking more control over the levels of tax and spending alongside greater accountability. I agree with the hon. Member for Perth and North Perthshire (Pete Wishart) that if anyone is under any illusion that the centre of political gravity in Scotland is not at Holyrood, they have not grasped the modern political landscape in Scotland. That is why the clauses and amendments recognise the Scottish Parliament as the seat of political power and the catalyst for change in Scotland. Our amendments attempt to deliver that change. This is a great responsibility on us all, but in the end it is much more important that we debate how powers are used than where they lie. We have tried to tease out some of those issues in interventions today, but without much success.
ParlaMint-GB_2015-06-15-commons.u390	At the time of the referendum, the yes side included full fiscal autonomy in its proposals. After the vow, the no side also included full fiscal autonomy. What has changed since the referendum that has made the no side resile from that? The vow was as near to federalism as possible, and it would have included full fiscal autonomy. Why does the hon. Gentleman now want to leave those powers in the hands of the Tories at Westminster rather than with the Parliament of the Scots in Edinburgh?
ParlaMint-GB_2015-06-15-commons.u391	There is a very simple answer to that question. We all want what is best for Scotland. The latter part of my speech sets out how full fiscal autonomy would be bad for Scotland according to all the information we have. We can either have a sensible debate in this Chamber about our fundamental principles on people’s lives and livelihoods in Scotland, or we can have a political knockabout on who will vote with who, who prefers who and who said what to whom during the referendum debate. The Bill is critical to future livelihoods in Scotland, and if all we can get from those on the SNP Benches is simple party point scoring we will get no further forward in improving the Bill To answer the question asked by the hon. Member for Na h-Eileanan an Iar (Mr MacNeil), we are here today because the vow put together the Smith agreement. The five political parties, including the SNP, which was represented on the commission, have come forward with proposals that are now in the Bill. Labour wants to take the Bill a little further. I keep emphasising that and I emphasised it consistently on Second Reading.
ParlaMint-GB_2015-06-15-commons.u392	rose—
ParlaMint-GB_2015-06-15-commons.u393	I am going to make a little progress, but I will come back to the hon. Gentleman if he wants to intervene a little later As Labour said at the time of the referendum, and as we have said many times since, the no vote was not a vote for no change. Labour played an active part in the Smith commission, the recommendations of which bring us to where we stand today, considering the Bill. It was a compromise position and with all good compromises there will be some gains and some losses. I hope and believe that the Bill will strike the right balance, affording the Scottish Parliament the power to make a real difference to people’s lives while ensuring that Scotland remains part of and secure in the United Kingdom.
ParlaMint-GB_2015-06-15-commons.u394	Will the hon. Gentleman give way?
ParlaMint-GB_2015-06-15-commons.u395	I will give way to the hon. Member for Ross, Skye and Lochaber (Ian Blackford), who got in before the hon. Member for Na h-Eileanan an Iar.
ParlaMint-GB_2015-06-15-commons.u396	Will the hon. Gentleman not accept that the Scottish people voted overwhelmingly for the Scottish National party in the general election on 7 May? Fifty-six Members of Parliament were sent to this Chamber with the express view of the Scottish people that we want home rule—the home rule that Gordon Brown talked about before the referendum. Why does the hon. Gentleman not accept that Labour lost the general election in Scotland because it was out of tune with the Scottish people? It is about time it started to listen to what the people of Scotland want and to deliver it.
ParlaMint-GB_2015-06-15-commons.u397	It seems to me that the SNP, in its fantastic victory, on which I have congratulated and complimented its Members on a number of occasions from this Dispatch Box, does not want any scrutiny at all. Just because the SNP has made a proposal for full fiscal autonomy does not mean that we should not scrutinise that proposal. In fact, if it was not for the hon. Member for Gainsborough (Sir Edward Leigh), we probably would not even be discussing full fiscal autonomy today. He forced the hand of the Scottish National party so that it brought forward its manifesto commitment, which it was rowing back on incredibly quickly.
ParlaMint-GB_2015-06-15-commons.u398	Will the hon. Gentleman give way?
ParlaMint-GB_2015-06-15-commons.u399	Let me make a little progress and then I will give way, as the hon. Gentleman was generous in giving way to me In the past couple of years it has become increasingly apparent that devolution is a matter not just for Scotland, Wales and Northern Ireland, but for England and the United Kingdom as a whole. The Labour movement has always been an engine of reform and the party of devolution. People want to see power devolved and exercised at local level, affording greater decision making and enhanced accountability.
ParlaMint-GB_2015-06-15-commons.u400	Will the hon. Gentleman give way?
ParlaMint-GB_2015-06-15-commons.u401	I will give way, but let me make a little progress first as people want to speak on other amendments If those ambitions are to be realised, we need to depart from the divisive rhetoric employed during the general election campaign, which set Scots against the English and against one another and risks tearing the UK apart at the seams. Labour believes in the historic Union of the UK nations working together for the common good. However, it is clear that the Union now needs to evolve, and that evolution means dispersing power from the centre, from Whitehall and from this Parliament. With devolution to Scotland, Wales and Northern Ireland continuing apace, this evolutionary process is in danger of becoming lopsided That is why, had Labour won in May, we would immediately have started to devolve power away from Whitehall not just to Scotland, Wales and Northern Ireland, but to the regions and localities across the United Kingdom. That is because we recognise that regions can and must be given more of a voice in our political process, and that we must find new ways to give further voice to regional and national culture and identity, and crucially without the strings that this Government have attached.
ParlaMint-GB_2015-06-15-commons.u402	I am grateful to the hon. Gentleman for giving way and I apologise to my hon. Friend the Member for North Ayrshire and Arran (Patricia Gibson) for intervening first. The hon. Gentleman makes an important point about taking power out of the hands of this place and of the Scottish Parliament and giving it to local communities. Others on the Labour Benches have made the same point. Why then did Labour-controlled Glasgow city council continue to act as a roadblock against our legislation in the Scottish Parliament? I see him rolling his eyes and chuntering to his mate beside him. Why is Labour against our Bill in the Scottish Parliament to give power to local communities through the Scottish Parliament? Why is Labour such a roadblock in Glasgow?
ParlaMint-GB_2015-06-15-commons.u403	I am not sure of the entire detail of the proposal that the hon. Gentleman refers to, but there is a general consensus across Scotland that the Scottish Parliament has been one of the most centralist Parliaments in the world by grappling power away from local government. What we are trying to do as part of this Bill, which I think is a major positive, and I hope the Government—
ParlaMint-GB_2015-06-15-commons.u404	Will the hon. Gentleman give way?
ParlaMint-GB_2015-06-15-commons.u405	Will the hon. Gentleman allow me to answer the previous intervention first? He is a seasoned professional in this Chamber, so he should allow me to get at least halfway through the response to his hon. Friend’s intervention One of the key questions—I hope the Secretary of State and those on the Treasury Bench look at some of these principles in the context of the Bill—is whether those principles go further towards double devolution. There is no point in sending powers from one Parliament to another. [Hon. Members: “Give way!”] Those powers also have to be spread across Scotland from Holyrood to local authorities. Without that process, hon. Members cannot take power closer to the people they seek to represent I will give way to the hon. Member for Dundee East (Stewart Hosie) and then to the hon. Member for North Ayrshire and Arran (Patricia Gibson). [Interruption.] The hon. Lady can blame her boss if she likes; he wants to come in first.
ParlaMint-GB_2015-06-15-commons.u406	The hon. Gentleman suggested about 10 minutes ago that the Scottish National party was not going to table an amendment to deliver full fiscal autonomy, and he suggested that it happened only because of the amendment tabled by the hon. Member for Gainsborough (Sir Edward Leigh). That is completely false. Amendment 89 is on the amendment paper to deliver full fiscal autonomy. Will the hon. Gentleman withdraw that daft allegation from the Labour Front Bench and, more importantly, confirm that Labour Members intend to go through the Lobby with members of the Tory Front-Bench team to stop power coming to Scotland?
ParlaMint-GB_2015-06-15-commons.u407	It is wonderful. We are now being accused of voting not with the Tories, but with the Tory Front Bench, while SNP Members troop through the Lobby with the most right-wing Conservatives. It is incredible. The hon. Gentleman is not listening to the answer, although he insisted on the intervention. If he was so keen on full fiscal autonomy before he tabled amendment 89, he could have just signed new clause 3, tabled by the hon. Member for Gainsborough.
ParlaMint-GB_2015-06-15-commons.u408	My amendment gives what SNP Members say they want straight away, whereas their amendment is a bit of a fudge and slightly kicks the matter into the long grass. It is a bit like St Augustine saying, “Let me stop sinning, but not quite yet.”
ParlaMint-GB_2015-06-15-commons.u409	The SNP position can be summed up with the words, “What do we want? Full fiscal autonomy. When do we want it? We’re not quite sure.”
ParlaMint-GB_2015-06-15-commons.u410	Does the hon. Gentleman agree that the powers proposed in the Smith commission report and in the Bill are utterly inadequate? By way of illustration, the powers of the Scottish Parliament are so feeble that it cannot even ban parking on pavements, such is its lack of teeth. Further, does the hon. Gentleman agree that all power should be devolved to Scotland unless there is a compelling reason to reserve that power at Westminster?
ParlaMint-GB_2015-06-15-commons.u411	The hon. Lady is right: there is a deficiency in respect of parking on pavements and all hon. Members have been lobbied about trying to change that in the Bill. We will table amendments, which she is welcome to sign.
ParlaMint-GB_2015-06-15-commons.u412	rose—
ParlaMint-GB_2015-06-15-commons.u413	Let me give this commitment: if the hon. Lady brings forward an amendment on parking on pavements, we will sign it Let me explain why we tabled new clause 2 in terms of the constitutional convention and the practical steps we need to take so that, where appropriate and desirable, decisions are taken as close to communities as possible. Our new clause proposes that members of the constitutional convention must include members of the public, which is the key part of any constitutional convention, elected representatives across all levels of government, including this place and local government, representatives of civic society organisations and, in an advisory role, academia. What we cannot have is a Prime Minister and Government cooking up a devolution settlement in a back room of the Cabinet Office without proper recourse to the public. As I said on Second Reading, the Prime Minister’s cack-handed approach to the way he dealt with the post-Scottish referendum landscape has in itself threatened the very viability of the UK that Scots voted to maintain Let us have a wide-ranging discussion on the constitutional settlement of the whole of the UK. The recommendations by the constitutional committee would include, but not be restricted to, matters that we have already discussed today—the role and voting rights of Members in this Chamber, democratic reform of the House of Lords, further sub-national devolution to England, Wales, Northern Ireland and Scotland, votes at 16 and codification of the constitution, the absence of a proper written constitution being one of the problems we have when discussing the Bill Our amendment 37 and 38 are very similar in substance to those tabled by the right hon. Member for Orkney and Shetland (Mr Carmichael). The opening lines of the vow declared that “The Scottish parliament is permanent and extensive new powers of the Parliament will be delivered” Equally, the Smith commission agreement said that “UK legislation will state that the Scottish Parliament and the Scottish Government are permanent institutions” As I have said, the centre of political power in Scotland is the Scottish Parliament. It has powers over most things that affect the day-to-day lives of most Scots, but as things stand and as was noted by the Political and Constitutional Reform Committee, the Scotland Act 1998 stated: “There shall be a Scottish Parliament”, but did not provide that it be permanent, nor does it set out any special procedures or grounds on which it could be dissolved. Would there be a simple repeal of the Scotland Act There has been agreement among legal experts that the clause could be made clearer, more concise and more in keeping with the overall spirit and tenor of the Smith recommendations. For example, the Law Society of Scotland—I thank it and particularly Michael Clancy for all his advice on the legalities of these clauses—stated: “The phrasing in the draft clause does not literally implement the terms of Paragraph 21 of the Smith Report. The use of the phrase ‘recognised as’ permanent has a different nuance from a statement that the Scottish Parliament and the Scottish Government are permanent institutions.”
ParlaMint-GB_2015-06-15-commons.u414	Given that the Scottish Parliament, at the insistence of the Labour party, was founded through the process of a referendum, will the hon. Gentleman support our clause to ensure that it cannot be abolished without a referendum?
ParlaMint-GB_2015-06-15-commons.u415	I am delighted that the hon. Gentleman has raised that point. That is exactly what our amendment does as well. We are very happy for SNP Members to sign our amendment, given that ours was tabled before theirs. We agree on this; there is no division on this. We need a robust devolution architecture. That means making sure that the legal restrictions in the Bill are removed so that we have a permanent Scottish Parliament in statute as well as in spirit Amendment 16 would alter clause 1 by exchanging the indefinite article for the definite article in reference to the Scottish Parliament. There is only one Scottish Parliament, after all, so there is no need for a double reference. Amendment 38 would add to clause 1 the stipulation that the Scottish Parliament and the Act on which it is predicated can be abrogated only with the consent of the Scottish people given effect by an Act of the Scottish Parliament. That is the referendum section of our amendment. I believe that amounts to what is known in constitutional law as contingent entrenchment. Given the limited time available, I will not go through the other issues relating to contingent entrenchment, but I am sure that the Secretary of State realises the desire of all three opposition parties to strengthen clause 1 and include a referendum requirement so that permanency is determined by the Scottish people. Amendments 58 and 59 make similar proposals.
ParlaMint-GB_2015-06-15-commons.u416	At the end of this debate, has the shadow Secretary of State any inkling whatsoever of when the Barnett formula calculations for Scotland would cease and what impact that would have on the rest of the United Kingdom?
ParlaMint-GB_2015-06-15-commons.u417	The Barnett formula would cease as soon as the powers for full fiscal autonomy were transferred. That is something everyone should be aware of. The hon. Gentleman has consistently challenged SNP Members to say what the cost of full fiscal autonomy would be for the ordinary Scottish person in the street, and we are yet to have an answer. We have been told, “Let’s get the principle of full fiscal autonomy together and then work out the consequences later.”
ParlaMint-GB_2015-06-15-commons.u418	rose—
ParlaMint-GB_2015-06-15-commons.u419	I will give way again, but first let me make some progress It is simple: the pooling and sharing of resources across the UK, and the maintenance of the Barnett formula, benefits Scotland. The much-quoted Institute for Fiscal Studies, which the SNP continually rubbishes, has demonstrated beyond argument that full fiscal autonomy would result in Scotland having a deficit of some £7.6 billion. Before SNP Members jump up to challenge those expert figures, I want to put it on the record that that is over and above any current UK deficit and UK spending projections.
ParlaMint-GB_2015-06-15-commons.u420	Does the hon. Gentleman agree that all this talk of black holes with full fiscal autonomy fails to recognise that a black hole exists already as a result of the policies of successive Westminster Governments, both Tory and Labour, and for which the Tories are now making the poorest and most vulnerable in our society pay? [Hon. Members: “Speech.”] The case that Labour is making in attacking full fiscal autonomy is that things are so bad that letting the Tories fix the deficit their way is better—[Interruption.] I am going to keep going—[Interruption.]
ParlaMint-GB_2015-06-15-commons.u421	Order. Interventions should be short, and the Committee should be tolerant of that.
ParlaMint-GB_2015-06-15-commons.u422	Does the hon. Gentleman agree that his party should have more ambition for Scotland?
ParlaMint-GB_2015-06-15-commons.u423	This is the nub of the matter: if we try to scrutinise what would be a devastating policy for Scotland, we are accused of not being ambitious for Scotland. For the avoidance of doubt, that £7.6 billion is over and above the UK deficit. I agree with the hon. Lady that the Conservative Government made a complete shambles of getting rid of the deficit in the previous Parliament, breaking all their promises and only halving it. But the actual deficit—I have the IFS paper here—is not just £7.6 billion, but £7.6 billion over and above the current UK deficit, which is £14.2 billion. That is not a lack of ambition for Scotland, but a warning against a fiscal policy that would be folly for families up and down Scotland.
ParlaMint-GB_2015-06-15-commons.u424	rose—
ParlaMint-GB_2015-06-15-commons.u425	I will give way to the hon. Gentleman, before he bursts a blood vessel.
ParlaMint-GB_2015-06-15-commons.u426	It is now clear that the policy of Labour’s Front Benchers is to leave Scotland’s tax powers in the hands of this Tory Government. The vow did not say that; the vow included full fiscal autonomy. Will the hon. Gentleman tell us when he changed his mind?
ParlaMint-GB_2015-06-15-commons.u427	The Bill before us will transfer nearly 50% of tax and 60% of spending to the Scottish Parliament. We promised to make it the most powerful devolved Parliament in the world, and that is a promise we will keep. As I have always said, we will ensure that the Bill is delivered in full, both in spirit and in substance. We will go further, as we will debate in Committee in due course Let me return to the £7.6 billion deficit—[Interruption.] I know that SNP Members do not like to talk about the £7.6 billion deficit, but it is important to get it on the record. It is unfortunate that they have consistently misquoted the figures from the Institute for Fiscal Studies, and indeed it has had to ask them to retract what they have said about its figures We have also heard no mention of the Office for Budget Responsibility’s oil report, which was published last week. It showed that the reliance on oil as an underpinning of the Scottish economy is no longer a viable projection. The collapse of revenues from oil will see the tax take from that source drop from £37 billion to just £2 billion over the 20-year period to 2040. That would be catastrophic for Scottish public finances. The question, then, is this: will SNP Members vote with the Tories to deliver what they want, as they have said they will do, or will they finally admit that their flagship policy of full fiscal autonomy is economically illiterate?
ParlaMint-GB_2015-06-15-commons.u428	rose—
ParlaMint-GB_2015-06-15-commons.u429	And there is no better time to go to the hon. Member for Dundee East.
ParlaMint-GB_2015-06-15-commons.u430	The hon. Gentleman is extremely generous. He mentioned the OBR. He will want to confirm, for the sake of completeness, that the OBR itself has said that the forecasts were very uncertain, even over the short term. It implies 8 billion barrels of oil extracted, rather than the normal industry 14 billion to 24 billion, and of course the figures it uses are contradicted by other expert groups that have higher prices and higher forecast extraction figures.
ParlaMint-GB_2015-06-15-commons.u431	Well, the hon. Gentleman is wasted in this House; he should be in the City, buying and selling futures in oil price shares. I think that is the best way for him to go. The three points that fall from the OBR report are the unpredictability of the oil price, the difficulty of extraction in the North sea and the fact that, whatever way we look at it, oil revenues will be declining sharply over the next 20-year period. It would appear that the hon. Gentleman—[Interruption.] I am happy to take other interventions, but it is quite clear that SNP Members cannot defend their policy for full fiscal autonomy. Indeed, they should listen to their hon. Friend, the hon. Member for East Lothian (George Kerevan), who said that it would be economic suicide. He is an experienced journalist and economist, so they would do well to listen to him In conclusion, we will push amendment 38 to the vote because we feel that the permanency of the Scottish Parliament should have the underpinning of the Scottish people by any means that would be appropriate, including a referendum. We will push to a vote new clause 2, which proposes a constitutional convention to resolve some of the larger issues on a constitutional settlement across the country. We will oppose full fiscal autonomy in all its forms, because it would be bad for the Scottish people, bad for the Scottish economy and bad for the future of Scotland.
ParlaMint-GB_2015-06-15-commons.u432	Today is the first of four days in Committee on the Scotland Bill. I assure the hon. Member for Edinburgh East (Tommy Sheppard), whose contribution I enjoyed, that I will be listening and reflecting. Contrary to the suggestion made by the hon. Member for Perth and North Perthshire (Pete Wishart), this is not the only opportunity for changes to be made to the Bill. I will be meeting the Devolution (Further Powers) Committee of the Scottish Parliament next week to discuss points that it has raised in its report I would not normally begin a contribution by suggesting that anyone read one of Gordon Brown’s books, but tonight I will do so. Gordon Brown has been misquoted a number of times in the Chamber today, and it is important to put on the record the fact that in his book “My Scotland, Our Britain: A Future Worth Sharing”, he states that neither his proposals nor those of any of the pro-UK parties involved a federal solution. Although they came close to the idea of home rule, they were not home rule. Therefore, it is a myth, which has been perpetuated this evening, that Gordon Brown has called for either federalism or home rule.
ParlaMint-GB_2015-06-15-commons.u433	rose—
ParlaMint-GB_2015-06-15-commons.u434	The hon. Gentleman has already spoken a great deal on the subject this evening. I would also like to see empirical evidence to back up the suggestion made by the hon. Member for Edinburgh East that the vow and the offer of additional powers made a significant change to the referendum result, because I do not believe that such empirical evidence exists.
ParlaMint-GB_2015-06-15-commons.u435	Is the Secretary of State suggesting that they had no effect at all? In that case, what was the point of them?
ParlaMint-GB_2015-06-15-commons.u436	What I am suggesting is that the hon. Gentleman cannot bring forward a shred of evidence to suggest that those proposals changed the referendum result and that somehow the people of Scotland have been defrauded. The people of Scotland voted decisively no in the referendum. They voted for a strong Scottish Parliament within the United Kingdom. The vow, which was set out in the Daily Record and other outlets, was taken forward on the basis of the Smith commission, of which the Scottish National Party was a part and to which it was a signatory. I received an interesting letter today from John Swinney, the Deputy First Minister of Scotland, who was a signatory to the Smith commission recommendations. He now tells me that the Smith commission recommendations, which he signed, were incoherent. I do not understand how he came to sign those recommendations if he genuinely believed that they were incoherent. If that was the case, he should have been making some of the arguments that we have heard this evening and during the general election campaign.
ParlaMint-GB_2015-06-15-commons.u437	Will the Secretary of State give way?
ParlaMint-GB_2015-06-15-commons.u438	Not at this stage. The result of the general election represented a call from the people of Scotland for the delivery of the powers in the Smith commission recommendations. The Scottish National party set itself up as the voice of the people of Scotland to ensure that those powers were delivered, and they will be delivered in the Scotland Bill.
