ParlaMint-GB_2015-03-23-commons.u1	1. What her policy is on the net migration target; and if she will make a statement.
ParlaMint-GB_2015-03-23-commons.u329	Having been a Member of this House for 36 years, I suspect that I have listened to about 45 Budget statements, but I must say that I cannot remember one that was so self-congratulatory—the Chancellor of the Exchequer delivered it almost like a lap of honour. I must concede that he can claim one great success: he has been very effective in getting across the idea that the worldwide recession was created by the Labour party, not by the stupidities of the banking system worldwide, and that the British economy was in decline when this Government took over. The fact is that the economy was actually growing when they took over. It then went into decline and is only now creeping out. If we are now seeing a bigger than usual increase in output and growth, that is because we had fallen so low and are growing our way out of a very deep pit One of the things that the Tories promised before the previous general election was that there would be no rise in VAT, but their first Budget did just that.
ParlaMint-GB_2015-03-23-commons.u330	Will the right hon. Gentleman give way?
ParlaMint-GB_2015-03-23-commons.u331	No, because that would take up other Members’ time The Tories also promised to clear the deficit. The right hon. and learned Member for Rushcliffe (Mr Clarke) said that nobody can forecast that. Well, perhaps they cannot forecast it, but they did make that promise and they have not kept it; they have reduced the deficit by a third. They promised to reduce the national debt but, as my right hon. Friend the Member for Edinburgh South West (Mr Darling) pointed out, they have managed to reduce it by a fraction only by fiddling the books—that is as good a way of describing it as any. They said that they would rebalance the economy, but they have no more done that than the Liverpool captain rebalanced the membership of his team the other night. Then there is the claim that we are all in it together. Well, a lot of people have been dropped in it together, and they are not the rich people I would like to deal with something that, in a sense, has nothing directly to do with the Budget: taxation. The fact of the matter is that the House of Commons has had a pathetic record over the past 50 or 60 years when it comes to determining what the levels of taxation should be and how they should be applied. Time and again we have come up with a system that helps tax evasion and avoidance and lets people get away with late payment. It is no good simply blaming the civil service, because there has been a failure to deliver what every Government have said about people avoiding tax The problem is that the details of all taxation are formulated in secret with Treasury officials plus some experts, many of whom return to their day jobs in the private sector afterwards to pursue what they call “tax efficiency”. In other words, they exploit the loopholes in the taxation system that they helped formulate a year or two before. Years ago our predecessors decided to do away with secret treaties. I think that we now need to do away with secretly formulated taxation. I believe that in future the House of Commons should decide on the principle of a particular tax and then a Committee of the House should summon all the experts before it and decide on the detailed implementation so that we do not have the hole-and-corner fiddling and special pleading that has left us open to so much tax evasion and avoidance and late payment that people have been allowed to get away with If the House of Commons is to restore its reputation, we need to take our duty to check on the raising of taxation much more seriously than we have done. If we fail to do that, our reputation will continue to be low, because people expect that when Parliament passes a law, that law will work and it will do what Ministers said it would do. When we pass laws that do not do what Ministers said they would do, that undermines all of us, not just those Ministers. I think that the House of Commons has to take its duties in relation to taxation far more seriously in future, and I hope that it will.
ParlaMint-GB_2015-03-23-commons.u332	It is a pleasure to follow the right hon. Member for Holborn and St Pancras (Frank Dobson), and I agree with a great deal of what he said about taxation and the importance of clamping down on tax avoidance, although I gently point out that this Government, having closed the tax gap and, as my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) pointed out, made our tax system more progressive, have a better record than their predecessor I welcome the Budget, which is about securing this Government’s legacy of growth, jobs and recovery in the economy. It is about delivering on a plan, and a plan that is working. To see that, we need only look back at where we have come from. After the previous Government left the biggest peacetime deficit in our nation’s long history, the deficit has been halved and we have started to pay down the debt as a percentage of GDP. We are achieving record employment against Labour’s legacy of mass unemployment, and growth against its record-breaking recession. The number of apprenticeships has doubled, youth unemployment has been slashed, businesses are confident to invest and people are beginning to be confident to save once again Under the previous Government, many people were afraid to go to the bank in case they could not get their money out. We took over in a crisis and at the end of five years of difficult decisions we will leave the country emerging into the sun. I remember, under the previous Government, walking down streets in Worcester where every third door displayed a repossession notice. Those streets now show none. I remember seeing unemployment in Worcester above the national average—well above 2,500 people. Now it is below a falling national average, more than halved since the general election, and long-term unemployment has fallen for each of the past 11 months in my constituency The number of people in work nationally is at its highest ever level and around 80% of the new jobs created have been full time. Opposition Members like to talk about zero-hours contracts and part-time work. Both increased hugely in the latter years of their Government, but they chose to do nothing about them. This Government have acted to ban exclusive use of zero-hours contracts and increased full-time jobs by well over 1 million. Labour Members also talk about a cost of living crisis, and it is true that over a long period wages failed to keep pace with inflation. This was the consequence of our economy being £112 billion smaller on their watch, more people being in competition for fewer jobs as a result of the 2009 crash, and the inflation caused by higher energy costs.
ParlaMint-GB_2015-03-23-commons.u333	rose—
ParlaMint-GB_2015-03-23-commons.u334	I shall not give way. I am sorry; I want to keep time for other Members However, this Government have presided over falling inflation, which is now at its lowest level on record, more jobs and, in the current year, above-inflation increases not just in the minimum wage, but in average wages and take-home pay. The crucial decision to cut income tax for the lowest paid contrasts starkly with Labour’s decisions while in power to scrap the 10p rate and to push up employers’ national insurance. Instead of driving up the cost of employment and taking more of people’s wages in tax, we have helped businesses to create more jobs and, crucially, let people in the lowest paid jobs—part-time workers and those on the minimum wage—keep more of what they earn As the Chancellor set out, families are £900 a year better off than they were in 2010 and the official figures showing this are borne out by independent research, which Opposition Members used to quote when it suited their arguments. The latest figures from the Asda income tracker show average family discretionary spending power at £185 per week—the first time since its records began in January 2009 that that figure has risen above £180, and an increase of £16 per week since the same time a year ago. In April 2010, before the general election, the equivalent was £172 As a member of the Business, Innovation and Skills Committee I welcome the fact that this Budget delivers further for business by cutting corporation tax to one of the most competitive rates anywhere in the world, incentivising the employment of young people and apprentices through further changes to employers’ national insurance liabilities, and launching the long-awaited reform of business rates. I welcome the extension of small business rates relief and the high street discount, as well as progress with the valuation system review but, as the Committee’s high streets inquiry concluded: “The short-term tweaking of the Business Rates system is building up problems for the future and, instead, the....system needs fundamental reform.” I look forward to supporting the case for fundamental reform. We need to look for a system that removes the bias against our high streets and town centres and rewards businesses that invest and expand. Business rates are currently the only area of taxation where there is not only no incentive, but a positive disincentive to take more people on, and this needs to change. I know that the British Retail Consortium and the Federation of Small Businesses have warmly welcomed the commitment to reform, and I hope that both will be extensively consulted on how it can best be delivered. I also welcome the continuing focus on investing in skills and helping businesses to do so. The Budget saw the launch of apprenticeship vouchers for businesses to manage their own schemes, and businesses such as Worcester Bosch, Yamazaki Mazak, Titania cyber security, Comco and Green Lighting, which I visited during national apprenticeship week, will welcome the Government’s focus on this aspect One of the best things about this Budget is its support for saving. As chairman of the all-party group on credit unions, I warmly welcome both the £1,000 tax-free allowance for savings and the administrative changes that will remove a burden from savings organisations, including credit unions. Last week I attended my local hospital to see the launch of a payroll saving scheme from the Castle and Crystal credit union, which expanded into Worcestershire at my invitation. Such schemes will benefit from the Chancellor’s efforts to make saving more attractive In an age where saving for the deposit on a first home has become ever more challenging, I particularly welcome the launch of the Help to Buy ISA. My late father pioneered the policy of right to buy which helped thousands of people to own their first home in the 1980s, and I am hopeful that Help to Buy, combined with this innovative savings scheme, can help thousands more to enjoy the security of owning their own home in the 21st century. Help to Buy has already helped 184 families in Worcester and more than 900 in Worcestershire to get on the housing ladder. With the Help to Buy ISA I hope we can make a difference for hundreds more I welcome this Budget continuing the increase in the basic state pension. On the doorsteps of Worcester I often hear from pensioners who are very concerned about the fact that they may be paying income tax on a small pension inherited from a deceased partner. The move to increase the income tax threshold to £12,500 in the future will take thousands of those pensioners out of income tax altogether, which will be an extremely positive reform.
ParlaMint-GB_2015-03-23-commons.u335	It is a pleasure to follow the hon. Member for Worcester (Mr Walker). Perhaps he has caught a bit of the virus of optimism bias this evening, but it was a pleasure to hear what he had to say This is probably my last chance to speak in Parliament. I am sorry that it sounds to colleagues like a series of valedictory speeches, but we are all taking our opportunity, which I want to use to talk about an issue close to my heart, and it is what brought me into politics more than 30 years ago Poverty in Salford was all around me—poor housing, no jobs, but above all at that time a sense of hopelessness and a belief that things could never be different. I was brought up by parents who both left school at 14. They had no chance to stay on, but they were determined that their children would have the chance to do well and get on in life. I think my mum thought of the phrase, “Education, education, education” long before the former Prime Minister ever dreamed of it. Education was then and is now the key to progress and success, not just for individuals, but for our economy and our country as a whole. Social mobility is at the heart of that. I shall start by saying a few words of thanks and congratulations—do not worry, it will not all be this nice—to the Chancellor and to the Chief Secretary to the Treasury, in particular for finding £200,000 a year for the next couple of years to support the Speaker’s parliamentary placement scheme, which has been such a success and has changed the lives of so many young people over the past four years. I set it up because I was very worried about the fact that so many of our leading Members of Parliament and our Ministers came from what I called the transmission belt—being a special adviser, working for a Minister, getting a safe seat and being fast-tracked into the Cabinet. In 1979 only 3% of all MPs took that route. At the last election the figure was 25% and rising Our scheme aimed to bring working-class young people to work in Parliament—people who would never have got a foot in the door. They included Kay Nuttall from Salford, who had a fantastic experience here, went back to Salford, got a great job and stood to be a parent governor at her child’s school—a contested election that she won, and she is Labour. It is amazing. Another participant was Siraj Odedra, who stayed in Parliament and is working for my right hon. Friend the Member for Slough (Fiona Mactaggart). He no doubt will have a long and, I hope, successful career in politics as well. Thanks very much for taking that step. I thank all the Members of Parliament who helped me establish the scheme and those from all parties who have agreed to take it on. I hope we will have a long-lasting scheme that gives young people the sense that they come here and can make a difference to politics I thank Alan Milburn for his work on the Social Mobility and Child Poverty Commission. In his recent report, “Fair Access”, he said: “Unpaid internships clearly disadvantage those from less affluent backgrounds who cannot afford to work for free for any length of time…Given their centrality to young people’s career prospects, internships should no longer be treated as part of the informal economy.” That means that we should introduce proper terms and conditions, including remuneration. I am pleased to say that long-term unpaid internships are virtually a thing of the past in Parliament. When I came here, they were widespread. Unfortunately, they still exist in the media, fashion, culture and the creative industries. That means that unless young people have the bank of mum and dad, they cannot make that first step in life I thank the Social Mobility Foundation and Victor Blank, the chairman, and David Johnston, the chief executive officer, who have done so much to remedy that situation. The Institute for Fiscal Studies has just done an evaluation of the Social Mobility Foundation’s work. It found that those programmes give people the kind of back-up they would get if they had had a private school education or a good family background, which means that among those who go to university, the Social Mobility Foundation projects increase the likelihood of attending a Russell Group institution by between 17% and 27%, compared with those with similar attainment from similar backgrounds who do not participate in the SMF programme. It is making a real change to hundreds and thousands of young people’s opportunities in the future The final thing I want to highlight is a local project, because for all my political career, I have been extremely proud of the things that happen in my constituency. We have the RECLAIM project, which is a two-year leadership programme, again for young people, men and women, who would never get a chance to do such work. It aims to inspire, challenge and develop people to become true leaders for the future. A young woman called Jaimeel, a local girl, who has been through the project, says: “When I started RECLAIM I had very little idea about who I was, who I wanted to be or where I wanted to go. Due to RECLAIM I have completed several work experience placements, including a project to design a gym. I am a member of a music collective. I have had a work experience placement with the Co-op and with Investec Specialist Banking.” She is now on the second year of an accountancy degree at Birmingham university. Her life has been changed by the RECLAIM project The thing that concerns me most is that in real terms in the next period, education spending will fall by 7% and the widening participation budget has been slashed from £130 million to £67 million. This a false economy. All the examples I have given show that our young people have talent. If we give them hope, encouragement and support, they will have the same chances that people like me have had. I hope that the next Government will take that on and make it a reality.
ParlaMint-GB_2015-03-23-commons.u336	During most of her speech, the right hon. Member for Salford and Eccles (Hazel Blears) spoke of optimism, a word that might have been coined for her. She is never knowingly under-optimistic, and we will certainly miss her sunny disposition Five years ago, like the right hon. Lady, I was canvassing for election. At that time, Tamworth was a town in trouble. Unemployment was climbing to 6%, businesses, including well-known names such as Woolworths, were going to the wall and people were losing hope. If you walked from the great city of Worcester to Tamworth, and then down Glascote road, you would see in window after window repossession notices as banks took possession of people’s homes. The grisly legacy of the previous Labour Government was that people were not just losing their jobs or their shops, but losing their homes as well. Walk around Tamworth today and you will see a town that is rebuilding. Just 427 people in the working-age population—fewer than 1%—are claiming jobseeker’s allowance. Unemployment is falling faster in Tamworth than anywhere else in the country: the BBC tells us so. It also tells us that wages are outstripping inflation. Since 2010, 105 new businesses have been created in the town. New jobs and new skills are being created, and with those new jobs and new skills comes new hope. Jobs are transforming people’s lives, and this Budget was a Budget for jobs I should like to speak about some of the more detailed elements of the Red Book that will help people and their jobs in Tamworth. Every year, I hold an export conference at Drayton Manor to help small and medium-sized enterprises in my constituency to build the knowledge and confidence to export their goods and services. I am especially pleased that the Chancellor announced £3.5 million of new funding to help our trade with that great, unfathomable market—China. I mention that particularly because Birmingham airport has just extended its runway and it is now possible to travel long-haul directly to China, sending business folk to that place to do better business with it I hope that when the Chancellor considers that investment, he also remembers the £7.5 million that he has given to the northern powerhouse to aid its overseas trade delegations. In his next Budget, I hope that he will consider matching that funding to create a midlands powerhouse. Although we have in this Budget the £60 million invested in the Energy Research Accelerator in the midlands, Birmingham and surrounding areas could benefit from a midlands powerhouse strategy to help our economy to grow and prosper. I trust that the Chancellor will take that on board Also buried deeply in the Red Book is the determination to build up a study of regeneration on our larger estates in the midlands. That is welcome, but I hope that the Government, in their determination to look at the challenges that we face on big estates in Birmingham and Coventry, will also recognise that smaller towns in Staffordshire, such as Tamworth, Burton and Cannock, have smaller estates that face challenges and also require study and investment. I hope that the study that the Chancellor is considering will look at those smaller estates as well I end with a plea for a business in my constituency that benefits from the Budget. It is called Invotec, and it exports electronic circuit boards around the world—very successfully so. It employs 250 people in Tamworth and in Telford in Shropshire. However, while this Government and this Budget tear up more and more red tape, there is still a problem with exporting those circuit boards because they are used for defence purposes. No other country in the EU applies a licence regime for every circuit board that is exported. As a result, Invotec faces difficulty in selling to its clients. BIS undertook to review the situation, but the report that was due to resolve it has not been published. I encourage those on the Treasury Bench to find the time to encourage BIS to publish that report and that resolution so that Invotec can export its wares around the world and compete with our European competitors This Budget will be welcomed in the boardrooms and in the living rooms of Tamworth. It is a Budget for jobs—jobs that pay the mortgage, pay for the foreign holiday, and pay the taxes that pay for the schools and hospitals that we all want and need, and that must be fit for purpose in the 21st century.
ParlaMint-GB_2015-03-23-commons.u337	This Budget was summed up by the chief executive of Citizens Advice as a disappointment because “People on the lowest income and those without savings benefit least” “But what about the increase in the personal allowance?”, I may hear those on the Government Benches say. There are two issues with that for the lowest-paid. First, there is the relationship with the benefits system. The lowest earners claiming housing benefit and council tax benefit lose 79p in every £1 that they gain through the increase in the personal allowance. Secondly, once they are out of tax, they are out of tax—they cannot gain any more for being even more out of tax. Raising the threshold at which national insurance is paid would be much more targeted at low-paid workers and enable them to keep much more of their income, and I am disappointed that that was not in the Budget Let us move on to the unexplained £12 billion saving in the social security budget. From where—or rather from whom—will this come? Will it be low-paid families who are claiming in-work benefits? They have already been hard hit by this Government. Will it be people with disabilities? They have already been hard hit by this Government. Will it be children in poverty or young people? They have already been hard hit by this Government. I suggest that people have a look at Real Life Reform’s reports to see the real stories of those who have been hit by this Government’s welfare changes. Those people are certainly not feeling any optimism. In fact, one of its most recent reports says that at least 75% of them were feeling “not at all” or “not very” optimistic about their chances for the future. Will this £12 billion saving be clarified before the election so that people know exactly what they are voting for and exactly who they are voting for to be hard hit even further “Northern powerhouse” is easy to say, and I would love us to have one, but what is actually being delivered to councils in the north by this Tory-Liberal Democrat coalition is cuts of 75% more than in the rest of the country. Simply devolving responsibility and cutting budgets will not empower anybody It is good that savings are not double-taxed, but I regret the level being set at £1,000 of interest. Most of my constituents can only dream of £1,000 in total savings. The Chancellor’s figures are predicated on an unprecedented rise in household debt. Surely we should be looking at ways of preventing that. It seems that debt for the country is bad, but debt for the individual is welcomed. We should at least be looking to provide help for those who fall into unmanageable debt. It is worth remembering that an extra 0.5% of interest on a rising mortgage rate will put a further 600,000 people at risk of losing their homes. Where is the help for low-income savers to build a small pot for a rainy day, keeping them out of the clutches of the payday lenders and rent-to-own companies like BrightHouse Talking of exploitation, what extra protection are the Government putting in place to prevent the most vulnerable from being ripped off by companies offering to help unlock their pension pot? This is Money spent one hour and £100 to set up a fake website that popped up on Google alongside the Government’s own site when a search was done for Pension Wise. We already know that this happens in many other areas. For example, there are many sites offering to help people get the European health card for a fee of £49, even though it is free. Con artists are already looking at this as a great opportunity to make a fast buck. What is being done to protect people who are googling for information on who can help? The helpline is not yet up and running, so what is being done to help those people now The Budget has been called a “rollercoaster” by the Office for Budget Responsibility, but I would rather describe it as a game of snakes and ladders. Unfortunately, the ladders appear to be targeted at the rich, while the snakes are for the poorest and most vulnerable. Let us stop playing games with people’s lives and make the next Budget a Labour Budget, with a strong economic foundation that delivers a fairer recovery for all.
ParlaMint-GB_2015-03-23-commons.u338	It is a great pleasure to participate in this debate. This is a good Budget not only because it is fiscally neutral, as my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) has said, but because it underlines the fact that the long-term economic plan is producing solid results. It has been endorsed by none other than President Obama, who has pointed out that the UK and US economies are the only two that are really growing, so we must be doing something right. It has also been endorsed by the OECD, which has noted the solid performance of our strategy and suggests that we should not turn away from it. The Institute for Fiscal Studies has also pointed out that living costs are now becoming more favourable. That is the overall background The plan is good for another set of reasons. First, it is making sure that getting a job is a good thing, which is what we want to see. I inherited 1,488 unemployed people in my constituency, but we have got the figure down to 551. That is fantastic and exactly the direction of travel we should be taking. It is part of the strategy we have pursued, and that was underlined in last week’s Budget We need more savings and we need to turn the economy into a saving economy rather than one of debt. The actions taken to encourage not only pensioners to save, but young people to save for mortgages, are absolutely fabulous. Our course is absolutely right and we can only conclude that we have cause to celebrate The Budget is also about rebalancing the economy and creating a real economy that actually makes and sells things. We need infrastructure not only to enable our manufacturers and engineers to operate, but to promote and save the environment. That is why I was really pleased that the Chancellor recognised the need for more investment in my constituency to defend our land and houses against flooding. That is appropriate because it is both a real economy activity and worth while Training and education is another big area. I have been campaigning for some time for a university technical college in my constituency and we are going to get one on the site of the old Berkeley power station. This Government are committed to training, because it makes it possible for people to get jobs that last and that are highly skilled and worth while. That is exactly what the Secretary of State for Work and Pensions said earlier: 80% of all new jobs are full time and 80% are highly skilled. That is what we want to see, and that is what I am seeing in my constituency. The situation has been buttressed by the performance of our economy and strengthened by the Budget I have also been campaigning for action to make it easier for road hauliers to recruit and train drivers. The Chancellor has helpfully responded by signalling in the Budget that that is exactly what is going to happen Not only have I successfully campaigned for a university technical college in my constituency; I have also been at pains to make sure that manufacturing and engineering are put under the spotlight and that schools and colleges work with business to make it a reality. We have to continue to attract investment, so what has the Chancellor done? He has made it easier and more attractive for businesses from afar to come to my constituency. That is absolutely brilliant, because we need high-tech modern businesses with plans to invest and the ability to translate research and development into products and services that people want I salute the overall approach the Chancellor has been at pains to take over the past five years. The real problem is that we inherited an economy that was swamped by debt, which does nothing for investors, hard-working families, the unemployed or people who need proper care. The challenge was, “Where is the money going to come from and what are we going to do to solve the problem of debt?” The Government have done something about that.
ParlaMint-GB_2015-03-23-commons.u339	Will the hon. Gentleman give way?
ParlaMint-GB_2015-03-23-commons.u340	I am not going to give way, because a lot of Members want to speak and it would be unfair to do so We have to make sure that we deal with our debt. We are on the right course The point I want to leave Members with is that it is essential that we continue to make our economy work for families, pensioners and people who need assistance, because that is how we will generate the capacity to pay for all the things we need. That is why the growth rate of 2.6% is very welcome: it is sustainable and reliable and we should embed it. The long-term economic plan should be saluted and cheered at every opportunity.
ParlaMint-GB_2015-03-23-commons.u341	I am pleased to speak in my final Budget debate. In his Budget speech, the Chancellor said: “Future economic success depends on future scientific success”.—[Official Report, 18 March 2015; Vol. 594, c. 776.] I agree entirely, but this Budget does not do enough to unlock the potential of our science, engineering and technology industries, which have the capacity to grow and to invent and develop new products that will create jobs and wealth. Research by EngineeringUK shows that simply filling the demand for new engineering jobs could generate an additional £27 billion a year for the UK economy from 2022 The Government claim that 8% of jobs created while they have been in power have been in skilled occupations, but the large demand for more skilled people is not being met. We need more engineers. Companies need 182,000 people with relevant engineering skills per year.
ParlaMint-GB_2015-03-23-commons.u342	I think I speak on behalf of the whole House when I say that we regret that this is my hon. Friend’s last ever speech in a Budget debate. On the need for more engineers and qualified people, will she reflect on the particular need for more women in engineering roles?
ParlaMint-GB_2015-03-23-commons.u343	My right hon. Friend may know that I have been banging on about that for years; I will come to it shortly There is currently an annual shortfall of about 55,000 skilled workers. The Chancellor’s commitment for financial support for PhD and research masters degrees will certainly help, but to keep up with demand we need to nearly double the number of engineering graduates. We need action on a much larger scale. We should be slashing tuition fees for engineering courses and providing bursaries to help students with living costs The Government tried using a programme to increase the number of skilled women engineers, but it was a complete failure. The employee ownership fund had £10 million to develop women engineers, but just £104,000 has been allocated. Unfortunately, despite me and the Women’s Engineering Society—of which I am a patron— pressing them, the Government have refused to reinvest the unspent funds into schemes specifically aimed at women Public services have been neglected not only in the Budget speech, but in reality. The Chancellor tried to give the impression that the Budget devolves resources to northern cities. He also claimed that “the quality of public services has not gone down—it has gone up.”—[Official Report, 18 March 2015; Vol. 594, c. 770.] However, the reality is that our front-line services have been cut to the bone. The fundamental question is: how they will be funded in the future? The silence from the Government Benches is deafening In the next 10 years, there will be a 27% increase in the number of those aged 80 or over in Sheffield. Without a new funding settlement, social care services will be severely affected, with more and more of my constituents unable to receive the preventive, joined-up services they need, and some will receive no support at all. How much longer are the Government going to spin the better care fund as a fund? They claim that my local authority will revive £37.8 million, but that figure represents the total amount of pooled budget shared with the NHS: they are top-slicing existing resources. Not surprisingly, decimating social care puts more pressure on the NHS. I am not surprised that Sheffield Teaching Hospitals NHS Foundation Trust has rejected the Government’s most recent offer on budget cuts, under which it would have had to find an additional £40 million in savings. Enough is enough In recent months, reports of child sexual abuse have been widespread, but a recent Ofsted report concluded that three quarters of councils do not deliver children’s social care to a good enough standard. The Public Accounts Committee has found that there has been little or no improvement in outcomes for children in foster and residential care, nor in how well they are looked after. It highlighted the abject failure of the Department for Education to take any responsibility for driving up standards. Let us not underestimate the effect of the downward pressures on local authority budgets in contributing to these issues. The College of Social Work has called on the Government to allow real social work to thrive and to invest in the service. It is hugely disappointing that the Government have again failed to make extra funding available to protect children from sexual abuse Social workers are often the glue that holds integrated services together. They possess the skills and expertise to lead multi-disciplinary teams and to provide help, care and, where necessary, protection. As such, the profession plays a key role in reducing delayed discharge, bringing mental health services into the mainstream, preventing emergency admissions, and supporting and enabling people to live full, independent lives. By contrast, the Budget will do little or nothing to contribute to these services When I was first elected 14 years ago, my constituents were seeing the start of the investment in the public realm that characterised the Labour years—new schools, hospitals and health centres and improved roads all led to better lives. This year, the revenue support grant for my local authority will have been cut by 50% compared with 2010. Local government cannot continue to absorb such pressures. It is no wonder that the people of my city have little time for the Tories. This Budget did not try to tackle the real issues at local level or to provide solutions to real problems, and it will do little to improve the lives of the constituents whom it has been my privilege to represent for the past 14 years.
ParlaMint-GB_2015-03-23-commons.u344	It is a great honour to follow the hon. Member for Sheffield, Heeley (Meg Munn). I entirely agree with her on two matters. The first is the need for more engineers, particularly women engineers. I saw that when I visited Alstom in my constituency recently and met women engineers, all of whom came from outside the UK. They are very welcome there, but with one exception, there were no British female engineers. The second is her call for a new model for health and social care funding, which the next Parliament will have to look at. At the moment, what we have from most—in fact, all—of the major parties is a sort of patchwork of funding for health and social care, but that is not enough to meet the demographic needs of the future In May 2010, the number of jobseeker’s allowance claimants in my constituency was 1,530, but it is now well below 600, the lowest figure since the current series of records began. However, there is absolutely no room for complacency. Not only are we working for full employment in Stafford, we want wage levels to rise in real terms. I will give a few examples of where the additional jobs have come from On Friday, I visited Turner Construction, which specialises in civil engineering works, house building and fitting. It plans to more than treble its turnover and work force between now and 2018, having already trebled its work force since 2009. That reflects two things: one is people’s increasing confidence in the performance of the economy, which means that they are investing in extensions and new kitchens; and the other is that house building is picking up again. Figures from the National House Building Council show that the number of homes started in my constituency has increased from 317 in 2013—compared with a national average of 188—to 473 last year. That includes a welcome increase in social house building, particularly through Stafford and Rural Homes. The increase is partly owing to the arrival of 1,000 servicemen and women and their families from this year. That has brought Stafford an investment of £150 million in military facilities and homes, and should provide a permanent boost of at least £15 million annually to the local economy, as well contributing greatly to community life Last month, I attended the opening of the Risual academy at Stafford college. Risual is an IT business, which was established in 2006, and now employs 120 people, with much of its increase having come in the past three years. It, too, intends to expand its staff considerably in the coming years, but it has run up against a skills shortage, as other hon. Members have mentioned. That is why it has decided to work with the local college to train young people to take up such positions If businesses are to expand or modernise, they need the space to do so. That is why Staffordshire county council has invested in a new business park to the north of Stafford. The wisdom of doing so was shown when Alstom announced in late 2014 that it would build its new world-class research and manufacturing facility for automation at Redhill, despite the fact that, as an international company, it could have chosen to go elsewhere. Its large transformer factory, which is the only one in the UK, has a full order book, almost all for exports. The Perkins engine plant in Stafford has also invested in the past few years, both in plant and in apprentices, and it too makes a considerable contribution to the UK’s balance of payments If we are to continue that story of successful job creation and investment, there is much we need to do. First, we need to improve careers guidance and advice. That issue has been raised with me by students and employers, and it is part of the manifesto of the Institute of Chartered Accountants in England and Wales, of which I am a member. Secondly, the increase in apprenticeships during this Parliament to more than 2 million needs to be maintained. I welcome the pledge to increase the number of apprenticeships to 3 million, but we need to work continuously to improve their quality. Thirdly, we have to continue to increase investment in infrastructure. Fourthly, we need to improve productivity. As hon. Members have mentioned, we still lag well behind our competitors. There is no simple solution: better training, more spending on research and development and greater investment in plant and equipment will all help, but education about work and working effectively at school are also essential. Finally, we need to maintain the drive to improve exports. UK Export Finance has been expanded, and the UK’s diplomatic network has been put at the service of exporters, but we need to do far more if we are to reach our target of £1 trillion of exports by 2020 In conclusion, I want to address the opportunities in the heath sector. In Stafford, we are very aware of the importance of our national health service. We have been through extremely difficult times, but we have worked together as a community to ensure that we retain an excellent district general hospital with an accident and emergency department, when some people told us that it would be closed or privatised, or would become a cottage hospital. We are still campaigning for a return to 24/7 A and E with paediatrics and consultant-led maternity, and we will continue to fight. At the same time, however, I welcome the investment being made in refurbished wards, operating theatres, the expanded A and E department, chemotherapy and dialysis. In Stafford, we are building the district general hospital of the future, with an emphasis on acute care for the frail and elderly, alongside first-class general services for children and adults. I am determined to work with everybody to make that dream a reality.
ParlaMint-GB_2015-03-23-commons.u345	The thematic focus on jobs in this debate helps us to get to the heart of why last week’s Budget was a huge missed opportunity. The Government had a chance to move away from a cuts agenda that has stifled recovery, but they failed to take it. Instead, Scotland alone is looking at a further £12 billion of cuts over the next four years, which will hamper our economic recovery, damage our public services and harm our poorest communities and families Everyone welcomes the fact that finally the economy is recovering and unemployment is falling, but it has been a painfully slow process. It is the slowest recovery from recession in history. The OBR does not expect real wages to return to 2008 levels until the second quarter of 2016. On the most recent figures, the UK’s GDP per capita is still 1.8% below pre-recession levels and the current account deficit—a measure of our trade and income flows with the rest of the world—is worse than at any point in the UK’s history In 2010, the Chancellor said that the UK would run a surplus of £5 billion in the current structural budget this financial year. Instead, he now expects a structural current deficit of over £45 billion. In the six years to March 2016, the Chancellor’s borrowing target from 2010 is set to be missed by £150 billion. The austerity programme simply has not worked in the way he led us to expect If austerity has failed in economic terms, it has been a disaster for people, especially people on the lower half of the income spectrum. When we look at the cumulative winners and losers from the changes to the tax and benefits system over the past five years, we see that those who are trying to raise children have taken some of the heaviest hits to their incomes and living standards. The distributional analysis by the Institute for Fiscal Studies demonstrates that in every income group households with children have lost relative to those without children Given the rapid growth of child poverty levels, we should be particularly concerned about those in the lowest-income households. The Child Poverty Action Group points out that almost two thirds of the children who are growing up in poverty in the UK today have at least one parent in work. I have said before in the House that in-work poverty is one of the greatest challenges we face. The Budget offers little that will help those families. Indeed, measures such as the increase in the personal allowance tend to benefit higher-paid workers and higher-rate taxpayers far more than those in low-paid work. That is symptomatic of the wrong priorities that we have seen from this Government. On the Government’s own figures, the poorest 20% of households will be worse off by an equivalent of £466 a year. I am fortunate to represent a constituency in Aberdeenshire where unemployment is extremely low, yet in parts of Banff and Buchan, one in four children is growing up in poverty.
