ParlaMint-GB_2015-02-11-commons.u1	1. What recent representations he has received on religious organisations and charitable status.
ParlaMint-GB_2015-02-11-commons.u348	I have now to announce the result of the deferred Division on the draft Smoke-Free (Private Vehicles) Regulations 2015. The Ayes were 342 and the Noes were 74, so the Question was agreed to [The Division list is published at the end of today’s debate]
ParlaMint-GB_2015-02-11-commons.u349	I inform the House that I have selected the amendment in the name of the Prime Minister.
ParlaMint-GB_2015-02-11-commons.u350	I beg to move, That this House notes with concern that following the revelations of malpractice at HSBC bank, which were first given to the Government in May 2010, just one out of 1,100 people who have avoided or evaded tax have been prosecuted; calls upon Lord Green and the Prime Minister to make a full statement about Lord Green’s role at HSBC and his appointment as a Minister; regrets the failure of the Government’s deal on tax disclosure with Switzerland, which has raised less than a third of the amount promised by Ministers; welcomes the proposals of charities and campaigning organisations for an anti-tax dodging Bill; and further calls on the Government to clamp down on tax avoidance by introducing a penalty regime for the general anti-abuse rule, which is currently too weak to be effective, closing the Quoted Eurobonds exemption loophole, ensuring that hedge funds trading shares pay the same amount of tax as other investors, introducing deeming criteria to restrict false self-employment in the construction industry, and scrapping the shares for rights scheme, which the Office for Budget Responsibility has warned could cost £1 billion in avoidance When citizens hand over their hard-earned cash to the Government in the form of taxation, they do so on the basis that at some level they have faith in our system of democratic governance—a system in which the Government are entrusted to make decisions about how to use that money in the best interests of all their people, and to keep them safe. The collection of tax is a core responsibility, and trust underpins the whole structure—trust that if I pay my fair share, so will my neighbour, and trust that the rules are applied as vigorously to the sole trader as to the huge multinational, and as fairly to the basic rate taxpayer as to those in the higher band. However, that foundation has been profoundly shaken The global crisis, austerity and a series of media disclosures about the low tax bills and complex avoidance schemes of multinationals and high net worth individuals have led members of the public to question like never before whether, when they pay their tax, their neighbour is doing the same. This week’s revelation that an arm of a leading high street bank, HSBC, helped clients to evade and avoid tax using Swiss bank accounts has simply added fuel to an already roaring fire. It seems that the Government have neither the will nor the ability to get a grip on the situation, which is fast spiralling out of control.
ParlaMint-GB_2015-02-11-commons.u351	The hon. Lady is quite right that the news is coming out this week, but is it not fair to say that the crime, if you like, happened in 2007 during the lead-up to the financial crisis? This is old news being brought out today, not new news.
ParlaMint-GB_2015-02-11-commons.u352	I am grateful to the hon. Gentleman for his intervention. He and I have had a number of discussions on the airwaves about these issues, given that the Government have failed to field any Ministers to debate on those media channels. He has been doing a grand job of trying to defend the indefensible, but he is quite wrong. The central point in what we have discovered about HSBC this week is that the data with evidence of what had happened with tax avoidance and tax evasion were handed over by the French authorities to this Government in May 2010. That is the central point: that is the point at which we had evidence of wrongdoing that needed to be acted on, but that is not what happened.
ParlaMint-GB_2015-02-11-commons.u353	Is the hon. Lady’s case that Ministers should have direct and executive responsibility and decision-making powers over how and when Her Majesty’s Revenue and Customs should prosecute and collect taxes in specific taxpayers’ cases? Yes or no?
ParlaMint-GB_2015-02-11-commons.u354	The hon. Gentleman is completely missing the point about the debate we have been having this week about the HSBC affair. As I said in answer to the intervention from the hon. Member for Wyre Forest (Mark Garnier), we know that data with evidence of tax avoidance and tax evasion were handed over to the Government in May 2010. That raises serious questions about due diligence and the appointment of Lord Green, the man in charge of the bank at the time, as a Minister in this Government only eight months after the data were handed over. Nobody on the Government Benches has answered the point about why that happened, and I hope that the Minister might try to answer some of those questions today.
ParlaMint-GB_2015-02-11-commons.u355	When David Hartnett said that the whole nation knows we had our disc from the Swiss, is it conceivable that he meant that everybody but the Prime Minister? Or is it the case that rather than sunlight being the best disinfectant, the stench from Downing street would knock over a horse?
ParlaMint-GB_2015-02-11-commons.u356	My hon. Friend makes a powerful point. I agree and I shall come on to that a little later in my speech. We have had an ever-moving, ever-changing story about what the Government or members of the Government knew or did not know and the questions that they asked or did not ask about HSBC. That goes to my central issue of trust: trust is being undermined in our tax system, which absolutely depends on it The Government have tried to trumpet their record in recent days, but I am afraid that it is not the great source of pride that they have been trying to pretend it is. We know that the tax gap—that is, the difference between how much tax should be collected and how much is collected—rose from £31 billion in 2009-10 to £33 billion in 2011-12 and now to £34 billion in 2012-13, which is the information available for the latest year.
ParlaMint-GB_2015-02-11-commons.u357	Alongside the appalling impact of the tax gap on our public services and the public finances, does my hon. Friend agree that it has a massive impact on the businesses that are playing by the rules and paying their taxes? To stand up for law-abiding businesses and say that everyone should pay their taxes is not an anti-business argument but a profoundly pro-business one.
ParlaMint-GB_2015-02-11-commons.u358	My hon. Friend makes an incredibly powerful point. All businesses and all individual taxpayers need to know that the tax system is based on a level playing field, that nobody is getting away with gaming the system, and that when the system is being gamed we have robust measures to deal with it. That is profoundly pro-business and it is also in the interests of individual taxpayers, UK plc and our economy as a whole.
ParlaMint-GB_2015-02-11-commons.u359	rose—
ParlaMint-GB_2015-02-11-commons.u360	I am going to make a little progress; then I shall give way again The famous Swiss deal between the UK and Swiss Governments in 2011 came into force on 1 January 2013. Ministers told us it would mean that British domiciles would start to be taxed on their banking deposits in Swiss institutions and raise £3.12 billion. We are now told that this has raised just a fraction of that amount—just £873 million, or a shortfall of £2.247 billion The Government have increased opportunities for tax avoidance. We know that the Office for Budget Responsibility has warned that the Government’s shares for rights scheme could open a tax avoidance loophole costing hundreds of millions of pounds. On page 52 of the policy costings section of the 2012 autumn statement, the OBR states: “It is hard to predict how quickly the increased scope for tax planning will be exploited...this could be quantitatively significant as a quarter of the costing already arises from tax planning” I have to say to the Minister that it is one thing to have to close loopholes that have been an unforeseen consequence of legislative change, but quite another to make changes in the full knowledge that they will lead to a loss in the tax take.
ParlaMint-GB_2015-02-11-commons.u361	Not so long ago, the Opposition opposed the Government measure on disguised remuneration, effectively a tax anti-avoidance measure taken by this Government in relation to hedge funds. Why did the Opposition do that?
ParlaMint-GB_2015-02-11-commons.u362	I am surprised the hon. Gentleman has not done his homework. If he were to read the debate on that measure in the Finance Bill Committee, he would know that concerns were raised about the effectiveness of the initial draft legislation put forward by the Government. In fact, the Government had to table 100 amendments to their own legislation at the last moment on Report before the Bill became law. At the time, the concern was that nobody even understood what the impact of those 100 amendments would be. That is why the Opposition took that view at that time. If all the issues relating to the 100 amendments were remedied, of course we would support the thrust of that measure, but that was a technical issue discussed in Committee. The hon. Gentleman does himself no favours by not knowing the detail, given how much of an interest he takes in Finance Bill Committees and how much I have enjoyed debating with him in those Committees.
ParlaMint-GB_2015-02-11-commons.u363	I thank my hon. Friend for giving way. Has she thought that had the Government collected all the taxes due to them, rather than protecting their friends, they might not have needed to inflict cuts and could have paid off a good bit of the national debt?
ParlaMint-GB_2015-02-11-commons.u364	I am grateful to my hon. Friend for his intervention, which goes to the central point: we need to make sure we are collecting all the tax that is owed. That is fundamental not just for trust in the system for our taxpayers and businesses, but for our public services that depend on that tax take.
ParlaMint-GB_2015-02-11-commons.u365	Does the hon. Lady not accept that Labour was lax on tax? Look at the arrangements for hedge fund managers paying 18% tax, when their cleaners were paying a lot more. It is quite wrong for her to take this high position. When was the Lagarde list from? It was from 2007, when the shadow Chancellor was City Minister.
ParlaMint-GB_2015-02-11-commons.u366	The hon. and learned Gentleman should look at last week’s Financial Times report on tax avoidance and tax collection. It compared the Government’s anti-avoidance measures for companies with the measures Labour put in place to tackle corporate tax avoidance during its time in office. It found that the tax collected by the Government’s measures was going to be 90% lower than under measures introduced by the previous Labour Government: “Measures put in place by Labour during its 13 years in power to counter corporate tax avoidance are projected to raise ten times as much over the next four years as those introduced by the current coalition government.”
ParlaMint-GB_2015-02-11-commons.u367	Does this not come down to a question of priorities? In the current economic climate, money for public services is very tight. We need to really clamp down on tax avoidance measures that have been abused for far too long—for example, by closing the tax loopholes that allow hedge funds to avoid paying stamp duty. That money, which we have identified, will go towards paying Labour’s £2.5 billion time to care fund to save our national health service.
ParlaMint-GB_2015-02-11-commons.u368	My hon. Friend makes a powerful point. I entirely agree with him, and it is something I shall come to later.
ParlaMint-GB_2015-02-11-commons.u369	I am grateful to the shadow Minister for giving way; she has been generous in taking interventions. I think that everyone in the House agrees that every company should pay the tax it owes. The hon. Member for Chesterfield (Toby Perkins) is right that it is not encouraging for companies that pay the right amount of tax when others do not, but Labour first talked about introducing a general anti-abuse rule in 1997. It has taken 16 years and this Government to introduce one. Does she not agree that it is this Government who are implementing steps to prevent serious avoidance?
ParlaMint-GB_2015-02-11-commons.u370	I shall deal with the substantive thrust of that intervention when I come to the general anti-abuse rule later In the context of what has been happening on the Government’s watch in revelations to tax avoidance, we have now had the shocking revelations about HSBC. We now learn that the Government were handed information about malpractice at HSBC, and that one of their first acts was to make the then boss of the bank, Stephen Green, a lord and then a trade Minister. Richard Brooks, a former HMRC tax inspector and BBC reporter, has said that the Treasury and HMRC “knew that there was a mass of evidence of tax evasion at the heart of HSBC” in 2011, but that they “simply washed their hands of it”— a damning indictment, if ever there was one The consequences are clear. More than 1,100 individuals were identified as allegedly guilty of tax avoidance or evasion, but we are led to believe that in only one case was there sufficient evidence to prosecute. In November 2012, a senior HMRC official told The Times that the Government had adopted “a selective prosecution policy” towards cases related to HSBC. Later that month, HMRC told the Public Accounts Committee that another dozen criminal prosecutions were to follow. However, there have been none since. It seems that HMRC adopted a deliberate strategy to minimise the number of prosecutions, rather than pursue them, which explains why just £135 million has been recouped, which contrasts unfavourably with France, for example, which has prosecuted more cases and raised more money on the basis of fewer account files being handed over.
ParlaMint-GB_2015-02-11-commons.u371	My hon. Friend is making some excellent points. Has she contrasted this Government’s aggressive sanctioning and demonisation of benefit claimants with their lax approach to those who avoid tax, and does she think it might be because they know far more tax avoiders than benefits claimants?
ParlaMint-GB_2015-02-11-commons.u372	My hon. Friend makes a powerful point. We should pursue with equal vigour all those who game the rules in our country, whether it be benefit fraud or tax avoidance and evasion There remain serious questions for the Government to answer. I hope we hear some answers from the Financial Secretary to the Treasury to these pressing questions. Did he ever speak to Lord Green about tax avoidance and evasion at HSBC? If not, why not? I am happy to give way to him, if he wants to clarify those matters now, but it does not seem as though he is willing to take up that offer. I hope he will see fit to answer some of those questions in his speech. The Prime Minister was asked about conversations with Lord Green four times during Prime Minister’s questions today, but he failed to answer each time It has been difficult to keep up with the conflicting reports about who knew what and when, but today the Government have claimed they knew that HSBC customers were in the frame for tax avoidance and evasion but not about any possible culpability by the bank itself. It is ridiculous to suggest that, despite having files showing that 1,100 customers of a bank possibly avoided or evaded tax, Ministers did not consider the possibility that perhaps the bank itself had a hand in it and did not bother to ask any questions of a ministerial colleague they knew was head of the bank over the period in question The Government were given the data in May 2010; Lord Green took office in January 2011; and the Swiss tax deal was signed in August 2011. In fact, the Minister and David Hartnett, the senior tax official, started negotiating the Swiss tax deal straight after the data on HSBC were received from the French authorities, so at a time when the Government knew, or should have known, that serious wrongdoing had been going on I think we need some answers from the Minister about whether he ever discussed the Swiss tax deal with Lord Green, who was, after all, a colleague who had run an organisation with a Swiss banking arm. We need the Minister to explain the conversations he had—or the conversations that, on reflection, he now feels he should have had—with colleagues in government, and to clarify whether he has any regrets We also need to hear explicitly from Lord Green—our motion calls for this—with a full and frank statement about what he knew and what discussions he had with those in government about his knowledge of what was going on in the Swiss arm of HSBC. I also think it is about time we heard from the Chancellor. He has been quiet since Sunday, when all this started to come to light, so we need to hear from him as the head of the Treasury what he knew.
ParlaMint-GB_2015-02-11-commons.u373	Richard Brooks is a fine journalist for Private Eye, not the BBC, and has done seminal work in investigating tax avoidance and evasion. Does my hon. Friend agree that the fact that neither HSBC nor any of the individuals involved are being prosecuted shows that HMRC is still a pussycat when it comes to big tax avoiders, yet will eagerly go after the small fry and small businesses?
ParlaMint-GB_2015-02-11-commons.u374	There are real questions to be answered about how HMRC conducts its investigations and the rigour with which it pursues its different investigations. These take place, of course, within the context of legislation set by this Government, so ultimately these are matters for the Government. It is also the Government who decide on the amount of resources HMRC gets to do its job—an issue that I have discussed with the Minister on a number of occasions Fundamentally, the failure to act is symptomatic of the Government’s failure to tackle abuse within the tax system. That is why people are losing faith in it. Our motion sets out what we would do to restore that faith in the system. First, we have said that we will introduce penalties for those caught by the general anti-abuse rule, which is supposed to catch those who set up abusive schemes—the most egregious forms of abuse. However, there is currently no penalty scheme association with the so-called GAAR, which lacks teeth A Labour Government would introduce a tough penalty regime with fines of up to 100% of the value of the tax avoided. That will provide a tough and genuine deterrent to those who try to abuse the system and avoid paying their fair share of tax. [Interruption.] The Minister says from a sedentary position that the Government are now consulting on whether to have a penalties regime for the GAAR—but only after we announced our policy that we would have such a regime The truth is that when the GAAR was introduced, there was a huge amount of discussion and a review was carried out for the Government, with lots of academic work done on whether or not we should have a general anti-abuse rule in this country. The Government could and should have introduced penalties immediately. Where they have failed to act, we will act Secondly, the quoted eurobond exemption is used legitimately by many companies to raise finance on the international bond market, but it is also abused by some companies to shift profits out of the UK into tax havens, and so reduce the amount of corporation tax they pay. HMRC itself identified the problem, but the Government failed to act. Again, where they failed to act, we will act.
ParlaMint-GB_2015-02-11-commons.u375	rose—
ParlaMint-GB_2015-02-11-commons.u376	I will not give way; I want to make some progress. Thirdly, we have had much discussion relating to—
ParlaMint-GB_2015-02-11-commons.u377	Will the hon. Lady give way?
ParlaMint-GB_2015-02-11-commons.u378	Of course.
ParlaMint-GB_2015-02-11-commons.u379	On the quoted eurobond exemption, the hon. Lady will be aware—we have debated the issue on a number of occasions, and it is a quite technical matter—that I made available Treasury and HMRC officials to talk through with her the reasons why it would be ill advised to pursue this policy; it would not raise any significant sums of money, but would just create an administrative burden. I made that offer over a year ago, and the offer still stands. Will she take me up on it?
ParlaMint-GB_2015-02-11-commons.u380	At the risk of repeating our previous debate about the quoted eurobond exemption, I said at the time that I was fearful that the Minister was patronising me. He assured me then that he was not, and I take that point on board again. I have not taken the Minister up on his offer of a meeting and I have no intention of doing so. The HMRC’s proposal for closing down the exemption on which the Treasury consulted involved instances in which there was no regular or substantial trading of the bonds in question We all accept that there is limited liquidity for many legitimate eurobond issues, so such a criterion would be difficult to put into operation. However, we propose to explore the possibility of removing the exemption when bonds are issued to connected persons. We are making a substantially different offer with the aim of closing a loophole that everyone knows is being abused, and on which the Government have failed to act. I should be happy to meet the Minister and talk to him about how we propose to close down the eurobond exemption. I do not have access to the same officials as he does, but I do have another way of closing down that exemption.
ParlaMint-GB_2015-02-11-commons.u381	Will the hon. Gentleman give way?
ParlaMint-GB_2015-02-11-commons.u382	I will not, because I am going to make some more progress Thirdly, we have said that we will prevent hedge funds that are avoiding stamp duty on shares from being able to do so. Hedge funds currently avoid stamp duty by not buying the shares directly; instead, they get intermediaries to buy them on their behalf. Those intermediaries are investment banks, which benefit from tax relief on stamp duty. The hedge funds then enter into a contract for difference with the banks, which means that they benefit from changes in the share prices without holding the shares directly. That is an exploitation of intermediaries’ relief by hedge funds We have had a great deal of discussion about hedge funds in the past few days. I note, in particular, that during Prime Minister’s Question Time today, the Prime Minister did not address the point of the relief that is being abused. He wanted to get involved in a debate about who had introduced the relief, rather than about the fact that it is currently being abused by hedge funds. We have said that we will stop the practice, but we hear nothing from the Government about what they intend to do about an issue of which they too are fully aware Fourthly, we will take forward proposals that we were developing in government to deem construction workers to be employed for tax purposes if they meet criteria that most people would regard as obvious signs of employment. That would reverse the Government’s decision to abandon these measures, thereby dealing with a major cause of avoidance in the construction sector Finally, we would scrap the Government’s shares for rights scheme, which allows individuals to trade key employment rights for shares in a company. The policy has received widespread criticism. Writing in the Financial Times, Paul Johnson of the Institute for Fiscal Studies has said: “just as concern over tax avoidance is at its highest in living memory, just as government ministers are falling over themselves to condemn such behaviour, that same government is trumpeting a new tax policy that looks like it will foster a whole new avoidance industry. Its own fiscal watchdog seems to suggest that the policy could cost a staggering £1 billion a year, and that a large portion of that could arise from ‘tax planning’.” Labour will scrap the shares for rights scheme and redeploy HMRC resources to other areas where they are greatly needed.
ParlaMint-GB_2015-02-11-commons.u383	I welcome the proposal for an anti-tax-dodging Bill, to which the motion refers. Does the hon. Lady support the idea of country-by-country reporting requirements, which I proposed in a private Member’s Bill a few years ago? They could at least have helped to show just how dependent HSBC was on Switzerland, and begun to ring alarm bells for the tax authorities at a much earlier stage.
ParlaMint-GB_2015-02-11-commons.u384	I agree that we need a public form of country-by-country reporting. In government, we would seek an international agreement, if possible, on public forms of such reporting. At present, the agreement arising from the base erosion and profit-shifting process is to make country-by-country reporting available to tax authorities, but we believe that there is a strong case for the information to be made public. We will seek a multilateral agreement, but if that is not possible, we will discuss with business in this country the best way to introduce a public country-by-country reporting format on a unilateral basis As I have said, we will take further action to stop umbrella companies exploiting tax relief, and to force the United Kingdom’s overseas territories and Crown dependencies to produce publicly available registers of beneficial ownership. [Interruption.] The Minister again chunters from a sedentary position. I note that there was no chuntering from him when it came to his record and the decisions that he made about Stephen Green, but he has suddenly come back to life. He says from a sedentary position, “How?” I say to him that the Prime Minister himself said this was a vitally important policy, which was desperately needed in order to open up the secrecy associated with the overseas territories and the Crown dependencies The Prime Minister has been writing increasingly shirty letters to the Crown dependencies and overseas territories, saying that they need to move forward with a publicly available register of beneficial ownership, and nothing has happened. Actually, since my right hon. Friend the Leader of the Opposition made his announcement at the weekend that we would seek a blacklisting of overseas territories and Crown dependencies if there was no movement on a public register of beneficial ownership within six months of the next Labour Government, today Gibraltar, for example, has said it will take very seriously our call for a public register. I think that turning up the heat on this issue and being serious about action can gain a lot more than the Government’s approach thus far As I said in response to the intervention by the hon. Member for Brighton, Pavilion (Caroline Lucas), we will make country-by-country reporting information publicly available. We will tackle the use of dormant companies to avoid tax by requiring them to report more frequently, and we will ensure stronger, independent scrutiny of the tax system, including reliefs, and the Government’s efforts to tackle tax avoidance The problem of tax avoidance and tax evasion is not new. For as long as the state has been levying tax, people have tried to avoid it—a fact that, rightly and understandably, is resented by those who do pay what they owe. Members on the Government Benches have failed to understand that those levels of resentment, frustration and mistrust have risen to critical levels. This is a problem that requires a new level of determination to fix. The problem corrodes the central tenet of the contract between the Government and their people. It is simply not okay to have one set of rules for those who have enough money to require a Swiss bank account and another set for those who do not, one set of rules for those with armies of accountants and another set for those who do not, and one set of rules for those who are well connected and another for those who are not. The Government have failed to rise to the enormity of the challenge; the motion I speak in favour of this evening shows how the next Labour Government will do so.
ParlaMint-GB_2015-02-11-commons.u385	I beg to move an amendment, to leave out from “House” to the end of the Question and add: “notes that while the release of information pertaining to malpractice between 2005 to 2007 by individual HSBC accountholders was public knowledge, at no point were Ministers made aware of individual cases due to taxpayer confidentiality or made aware of leaked information suggesting wrongdoing by HSBC itself; notes that this Government has specifically taken action to get back money lost in Swiss bank accounts; welcomes the over £85 billion secured in compliance yield as a result of that action, including £850 million from high net worth individuals; notes the previous administration’s record, where private equity managers could pay a lower tax rate than their cleaners, very wealthy homebuyers could avoid stamp duty and companies could shift their profits to tax havens; further recognises that this Government has closed tax loopholes left open by the previous administration in every year of this Parliament, introduced the UK’s first General Anti-Abuse Rule, removed the cashflow advantage of holding onto the money whilst disputing tax due with HMRC, and allowed HMRC to monitor, fine and publicly name promoters of tax avoidance schemes; notes this Government’s leading international role in tackling base erosion and profit shifting; welcomes the commitment to implement the G20-OECD agreed model for country-by-country reporting and rules for neutralising hybrid mismatch arrangements; notes the role of the diverted profits tax in countering aggressive tax planning by large multinationals; supports the Government’s adoption of the early adopters initiative; and recognises that as a result the UK is collecting more tax than ever before.” The disclosures of the last few days have reminded us of an era when it was all too easy to squirrel assets offshore, reliant on offshore centres providing secrecy from tax authorities; a time when mass market avoidance schemes were prevalent, tax avoiders could enter schemes, however artificial or contrived, and wait for years before paying their taxes; a time when highly paid employees could disguise their remuneration and avoid tax on it; a time when the payment of stamp duty on expensive properties was seen as voluntary; and a time when HMRC did not get the support it needed to take effective action against those dodging taxes That time is behind us. Under this Government, loopholes are being closed, tax avoiders are paying their tax up-front, bank secrecy is being abolished, prosecutions are increasing, the international tax rules on multinationals are being reformed, and HMRC is bringing in the money to a greater extent than ever before. For all the bluster we hear, look at the record. As a Government who care about the public finances, we have done far more than our predecessors I will set out what we have done over the course of this Parliament. First, let me turn to the issue of HMRC. Lord Green was a very effective trade Minister, but let me be crystal clear: there is no suggestion, and no regulator has suggested, that Lord Green was at fault with regard to what happened with the Swiss subsidiary of HSBC. Ministers, and indeed the general public, were aware of the release of information pertaining to individual HSBC account holders. There is a long-standing legal requirement for taxpayer confidentiality. Ministers cannot under any circumstances be made aware of individual cases. At no point were Ministers made aware of the evidence that has emerged in recent days of wrongdoing by HSBC itself.
ParlaMint-GB_2015-02-11-commons.u386	I am glad that the Financial Secretary to the Treasury is giving us some answers, although they are not shedding quite enough light on what actually happened. Let us look at the media reports. In September 2010, for example, everyone knew that The Daily Telegraph was talking about the number of HSBC customers who were involved. It therefore beggars belief that the matter was not raised with Stephen Green when he was appointed trade Minister just a few months later.
ParlaMint-GB_2015-02-11-commons.u387	Let me put it this way. It was, and is, the case that UK residents can have bank accounts in Switzerland without committing any illegal acts. It is also the case that a Swiss bank can provide banking services to a UK resident without committing any wrongdoing. It was the case, in terms of what was known at that time, that a disc was acquired by HMRC relating to HSBC accounts. The question that HMRC was asking was whether the UK residents whose names were listed within those data had paid the tax they should have. Were they declaring their income as required under UK law? That was what the investigation was about. [Interruption.] I am afraid that the hon. Member for Birmingham, Ladywood (Shabana Mahmood) is making a non-point. It was known that there was an investigation into HSBC account holders—that was in the public domain. However, regarding the evidence we have seen of, for example, bricks of cash being handed out and advice being given to keep several steps ahead of the taxman who is dealing with tax evasion, that information has come to light in the public domain—and, indeed, to Ministers—in the past few days.
ParlaMint-GB_2015-02-11-commons.u388	If the information was in the public domain, will the Minister answer the question that the Prime Minister refused to answer four times today? Did the Prime Minister discuss these matters with Lord Green when he appointed him to the Government?
ParlaMint-GB_2015-02-11-commons.u389	The position is this: Lord Green was appointed in January 2011 and at that point the information about the fact that there was an investigation into HSBC account holders was in the public domain. There was no big secret about that. Of course, I was not privy to the specific conversations that were held, but there is no suggestion that Lord Green had acted improperly, that he was complicit in tax evasion or that he was involved in this particular activity. That could not be clearer.
ParlaMint-GB_2015-02-11-commons.u390	I am grateful to the Minister for giving way; he is being generous. Does he agree that Lord Green’s continued silence on what he knew about what was going on at HSBC is creating a climate in which more questions are being asked? Does he also agree that what we need—and what our motion calls for—is a full and frank statement from Lord Green about what he knew? Yes or no?
ParlaMint-GB_2015-02-11-commons.u391	It is a matter for Lord Green as to what he says. It is clear that the Government have taken the strongest action to deal with tax avoidance and tax evasion. Ministers are responsible for tax law and for resourcing HMRC’s enforcement of that law, so I would suggest that questions about activities that took place between 2005 and 2007 should be directed to those who were Ministers at that time. They might be in a better position to answer them.
ParlaMint-GB_2015-02-11-commons.u392	The Minister will be aware that in November 2012, a senior HMRC official who was being questioned by the Public Accounts Committee said that 12 prosecutions relating to HSBC cases were in line to be proceeded with. None of those prosecutions has been brought. Has the Minister received any explanation from HMRC as to why? Why did the Minister not, in turn, advise the House and the Public Accounts Committee of the change in tack?
ParlaMint-GB_2015-02-11-commons.u393	Let me address the point about decisions to make a prosecution. First, HMRC determines whether to bring a prosecution and build up a criminal case, and then it is a matter for the Crown Prosecution Service to make a judgment as to whether it is confident that a conviction can be achieved. Rightly—I would hope there is consensus on this point—those decisions are made by HMRC and the CPS, not by politicians. It is very important that that independence be maintained. I do not believe it would be right for politicians to decide how many prosecutions are made, and that has not happened in this particular case.
ParlaMint-GB_2015-02-11-commons.u394	The Minister continues to insist that Lord Green had neither knowledge of nor involvement in these matters while he was chairman of HSBC, having said that during Monday’s urgent question. That still suggests that the Government must have asked those questions, given that they are so certain in their answers. This is not just a matter for Lord Green; it is simply a matter for Ministers and the Prime Minister. The easiest way to resolve it is for the Prime Minister to place all the information in the House of Commons Library, so that Members of this House can be the judge.
ParlaMint-GB_2015-02-11-commons.u395	I make the point that I have made before: there is no suggestion and no evidence that Lord Green was complicit in any wrongdoing—that remains the case. Opposition Members can stand up to make allegations and suggestions, but there is no evidence that he was engaged in that type of behaviour and certainly no information was available to Ministers to suggest that he was.
ParlaMint-GB_2015-02-11-commons.u396	The Minister made the important point in earlier exchanges that there should never be any political inference, whichever Government are in power, in disciplining or legal action over these sorts of matters. We would be going down an incredibly dangerous path, particularly this close to an election, if the pressure became so strong that politicians tried to play to the gallery and interfere in any way with the legal process.
ParlaMint-GB_2015-02-11-commons.u397	My hon. Friend makes an extremely good point, and the fact that some Opposition Members do not appear to agree with it is troubling. The role of the Government is to set out the policy. Our philosophy is clear: individuals and businesses must pay what they owe, just like the vast majority of UK taxpayers. That point has been reiterated by the Prime Minister and the Chancellor again and again. Aggressive tax planning and, indeed, tax evasion are simply not acceptable. As I will set out, this Government have a proud record on that front.
ParlaMint-GB_2015-02-11-commons.u398	I agree with the point made by the hon. Member for Cities of London and Westminster (Mark Field), but let me come back to the question of what the Prime Minister discussed with Lord Green about the political matter of his appointment as a Minister, and these allegations. Why will the Prime Minister not tell us whether he had conversations with Lord Green about these matters?
ParlaMint-GB_2015-02-11-commons.u399	I have nothing further to say on that point. The position is that Lord Green was appointed as a trade Minister. His appointment was supported across this House; many people from both sides of the House welcomed it.
ParlaMint-GB_2015-02-11-commons.u400	We did not have the information.
ParlaMint-GB_2015-02-11-commons.u401	The hon. Gentleman says from the Front Bench that the Opposition did not have the information, but just a few minutes ago he was saying that it was all in the public domain. He cannot have it both ways. The position is that Lord Green was appointed and his appointment was widely welcomed. We can hear the rhetoric from the Opposition, but the reality is that this Government have backed up rhetoric with hard, decisive action. Since we came to power in 2010—
ParlaMint-GB_2015-02-11-commons.u402	Will the Minister give way?
ParlaMint-GB_2015-02-11-commons.u403	I am going to make a little progress. Since we came to power in 2010, we have made a huge investment in HMRC to tackle avoidance, evasion and non-compliance. That investment has clearly made a difference. HMRC has secured more than £85 billion in compliance yield since the beginning of the Parliament, £31 billion of which was from large businesses and £850 million of which was from high net worth individuals HMRC’s successes were recognised last week by the National Audit Office in its report “Increasing the effectiveness of tax collection: a stock-take of progress since 2010”. In that report, HMRC’s response to the recommendations to tackling marketed tax avoidance has been exemplary, particularly in terms of co-ordinating action and seeking new powers to tackle promoters and scheme users. In every year of this Parliament, my right hon. Friend the Chancellor has stood up at the Dispatch Box and closed loophole after loophole, which, I am afraid to say, had been left open by the previous Administration We have made more than 40 changes to tax laws since 2010. Let me trot through just a few of them as I am conscious of time. We stopped groups of companies clubbing together to reduce their overall tax bill by using loans and derivatives between themselves; we stopped businesses using trusts to pay employees in order to pay less tax; we stopped banking groups avoiding tax on profits that they were able to make by buying back their own debt cheaply; we blocked the practice by which companies could wipe out their tax bills by accessing losses made in a different group and we stopped hedge fund managers in partnerships obtaining unfair tax advantages by allocating profits to companies they controlled In 2013, we introduced the UK’s first general anti-abuse rule to tackle abusive tax avoidance arrangements and to deter those who might be tempted to use them. We are not stopping there. We are currently consulting on options to target serial avoiders and, on the very measure the Opposition seek in their motion, a general anti-abuse rule penalty In the Finance Act 2014, we introduced a set of ground-breaking measures aimed at the small minority of wealthy people in this country who involve themselves in tax avoidance schemes. If individuals and businesses are suspected of involvement in tax avoidance schemes, they have to pay HMRC the disputed amount of tax up front while the dispute is being resolved Accelerated payments remove the cash-flow advantage that those who deliberately try to bend the tax rules by avoiding tax previously had over the majority who paid their tax up front. We saw the problem and we dealt with it.
ParlaMint-GB_2015-02-11-commons.u404	Given that list, will the Minister explain to the House why tax avoidance schemes used by multinationals such as the double Irish and the Dutch sandwich are still in existence and what the Government are doing to tackle that sort of multinational tax avoidance, which we have debated and scrutinised here on many occasions?
ParlaMint-GB_2015-02-11-commons.u405	I will happily deal with that point. Indeed, if the hon. Gentleman will forgive me, I will turn to that very point in a moment or so. He raises a very fair question.
ParlaMint-GB_2015-02-11-commons.u406	Will the hon. Gentleman also address the controlled foreign companies rules that were introduced by this Government? Those rules cost revenue here and in developing countries. Sir Martin Sorrell told “Newsnight” that they, and not the change in corporation tax, were the main reason why he was coming back from his business in Dublin.
