ParlaMint-GB_2015-10-15-commons.u1	Object To be considered on Thursday 22 October.
ParlaMint-GB_2015-10-15-commons.u297	We have perhaps been somewhat neglectful of armed forces personnel when they cease to be serving and become veterans. Does the Secretary of State agree that we must place a greater priority on ensuring that veterans have ongoing help and support because of the difficulties that many of them may still face as a result of their service in Iraq and Afghanistan?
ParlaMint-GB_2015-10-15-commons.u298	I certainly do agree with that. This work is ongoing and is not yet done. We will continue to try to make progress. As the hon. Lady knows, we have implemented a number of reviews, not least Lord Ashcroft’s review of the mental health services that are available to veterans I assure the House that our commitment to the covenant remains unshakeable. Today, we are launching a credit union for armed forces personnel. By paying a regular amount of their salary directly into the credit union, they will be able to avoid the struggle for credit approval and the siren call of the payday lenders. Thirdly and finally, the Bill gives us the opportunity to ensure that the 2006 Act remains fit for purpose for the next five years. The first clause keeps the 2006 Act in force beyond the end of 2016; provides for the continuation of the 2006 Act for a year from the date on which this Bill receives Royal Assent; and provides for renewal thereafter by Order in Council, for up to a year at a time, until the end of 2021. That will give Parliament a regular opportunity to debate the systems of the armed forces for command, discipline and justice Clauses 2 to 6 modernise and strengthen the service justice system by making sensible and proportionate changes to the existing provisions. I will take each of those clauses, very briefly, in turn Clause 2, on post-accident testing for alcohol and drugs, deals with the situation whereby a commanding officer may require a member of the armed forces or a civilian who is subject to service discipline to co-operate in a preliminary test for alcohol or drugs only when he or she suspects that an offence has been committed. The clause extends those circumstances by providing for post-accident preliminary testing without the need for suspicion that the person being tested has committed an offence. The new powers to require co-operation with tests will apply only after accidents involving aircraft or ships or other serious accidents. They are derived from, although not identical to, those in the railway and transport safety legislation under which civilians are required to co-operate with tests for alcohol and drugs Clauses 3 to 5 simplify the process of investigation and charging of criminal and disciplinary offences under the 2006 Act. The commanding officer rightly deals with 90% of cases in the service justice system, and that will not change. The remaining 10% of cases are those that the commanding officer does not have the power to hear, which involve offences such as perverting the course of justice and sexual assault. Some cases that cannot be dealt with by the commanding officer have to be referred by the investigating service police to the commanding officer and then by the commanding officer to the director of service prosecutions for a decision. That is an unnecessarily complex process Clause 3 provides for the service police to refer straight to the director of service prosecutions in any case where there is sufficient evidence to charge for an offence that the commanding officer cannot deal with on his own. That brings the service justice system into line with the civilian system.
ParlaMint-GB_2015-10-15-commons.u299	Does that mean that the commanding officer is taken out of the loop entirely in cases concerning soldiers, sailors or airmen who are his or her responsibility?
ParlaMint-GB_2015-10-15-commons.u300	No, because the commanding officer will be kept informed about the investigation and the stage it has got to. They are not being removed from the process; we are merely simplifying the procedure and shortening it so that the matter does not have to be referred automatically to the commanding officer and then back to the director of service prosecutions Clause 3 also deals with linked cases such as separate offences that occur during the same incident. Some cases may need to be sent to a commanding officer, even though they are connected to a case that has been sent to the director of service prosecutions, and that can result in separate decisions on whether to prosecute, and separate trials. Clause 3 allows the service police to refer a case to the director of service prosecutions if, after consultation, they consider it appropriate to do so because of a connection with another case that has also been referred to that director Clause 4 clarifies the procedure for the referral of those linked cases from the commanding officer to the director of service prosecutions, and clause 5 allows the director to bring charges. Currently, when the director of service prosecutions decides that a charge must be brought, they must direct the suspect’s commanding officer to bring that charge. Clause 5 allows the director to bring that charge, just as the Crown Prosecution Service brings charges in the civilian criminal justice system Clause 6 increases the range of sentencing options available to the court martial. Civilian courts are currently able to suspend sentences of imprisonment for up to 24 months, but service courts can suspend them for only 12 months. We would like courts martial to be given greater flexibility to vary the deterrent effect of service detention. In some cases it is right for suspended sentences to allow continued service alongside rehabilitation activities. The clause simply corrects the anomaly by giving courts martial the ability to suspend sentences of service detention for up to 24 months Clauses 7 and 8 give the director of service prosecutions power to give offenders immunity from prosecution, or an undertaking that the information they provide will not be used against them, in return for assistance that the offender may give to an investigator or prosecutor.
ParlaMint-GB_2015-10-15-commons.u301	Will my right hon. Friend say what service offences he has in mind for immunity from prosecution? Will he reassure the House that that does not involve any form of plea bargaining, and say whether there are civilian equivalents of the kind of offences that he has in mind?
ParlaMint-GB_2015-10-15-commons.u302	Only the most serious cases would involve that kind of immunity—perhaps the Minister will provide my hon. Friend with more examples of what such cases might be when he winds up the debate. These are cases where the evidence from a witness or defendant could be crucial, but where fears about self-incrimination stop someone coming forward and providing essential information In the civilian criminal justice system prosecutors such as the Director of Public Prosecutions have statutory powers to offer immunity and restrictions on the use of evidence, but the director of service prosecutions in the service justice system does not. That damages their ability to prosecute the most serious cases, because it may be necessary to rely on evidence from individuals who may not be willing to come forward and give evidence without conditional immunity, or an undertaking that that information will not be used against them. These clauses closely follow those in the Serious Organised Crime and Police Act 2005 that apply to the civilian criminal justice system I assure my hon. Friend that as in the civilian criminal justice system, the intention is for immunity and undertakings not to use information to be offered only in the most serious circumstances for those who are found, after proper investigation, to have fallen short of the high standards that we set. Clause 13 brings the Armed Forces Act 2006 back into force in the Isle of Man and British overseas territories except for Gibraltar. Under United Kingdom law, the 2006 Act has always applied to members of the armed forces, wherever in the world they are operating, and that will remain the case. That means that a member of the armed forces commits an offence under UK law if they do something in another jurisdiction which, had they done it in England or Wales, would have been a criminal offence In addition, the 2006 Act originally formed part of the law of the Isle of Man and the British overseas territories. However, the Act expired in those jurisdictions in 2011. Clause 13 and the schedule to the Bill revive the Act in those jurisdictions so that, as it currently has effect in the UK, it will also be in force there. That ensures that things that members of the armed forces might do under the 2006 Act in those jurisdictions, such as the exercise of service police powers of arrest or search, would be lawful there not only as a matter of UK law but as a matter of the local law. It also ensures that the civilian authorities within those jurisdictions can do things under the 2006 Act which they might not otherwise have powers to do under the local law, such as the arrest of a person suspected of a service offence under a warrant issued by a judge advocate An exception is being made for Gibraltar. This is because we are currently consulting the Government of Gibraltar on how best to extend the provisions of the 2006 Act—and, therefore, of the Bill—to that territory Clauses 14 and 15 relate to Ministry of Defence firefighters. The Defence Fire Risk Management Organisation has more than 2,000 personnel operating over 70 fire stations. Yet those firefighters currently have no specific emergency powers to act to prevent or deal with fires to protect life or preserve property. That could lead to a situation where firefighters entering a property to put out the flames might have to defend themselves against charges of breaking and entering, or where restraining family members from returning to a burning building might leave them open to a charge of assault Fire and rescue services at some MOD sites are currently provided by a contractor. They, too, should be able to deal with an emergency in the same way as MOD firefighters. Clauses 14 and 15 address this issue by giving defence firefighters the same powers to act in emergencies as employees of a civilian fire and rescue authority In conclusion, the Bill is an important act in continuing the authority of the armed forces. It makes modest but relevant upgrades to the existing system for the armed forces of command, discipline and justice. The world-class reputation that our armed forces enjoy is underpinned by many factors, one of which is that system of command, discipline and justice. We need to make sure that that system continues to be fit for the modern age. I commend the Bill to the House.
ParlaMint-GB_2015-10-15-commons.u303	I welcome the opportunity to speak in today’s Second Reading debate on the Armed Forces Bill. This is my first opportunity to fulfil my new role in the House as shadow Secretary of State for Defence and I would like to begin by thanking the Secretary of State for the courtesy he has shown me so far in arranging appropriate briefing for me from his Department. I am grateful Let me start by offering my sincere condolences to the family and friends of Flight Lieutenant Alan Scott of 33 Squadron RAF and Flight Lieutenant Geraint Roberts of 230 Squadron RAF, who died in Afghanistan on Sunday. From the tributes I have read, both men were highly experienced, respected and valued members of the RAF family. Their deaths serve as a reminder of the commitment and dedication of our armed forces personnel, and of the sacrifices they make. The continuing work of our service personnel in Afghanistan makes a positive contribution to the safety and stability of that nation and beyond. I would also like to express my deepest sympathy and extend my condolences to the family of Megan Park, a young Army recruit who died last month while undertaking training in Pirbright. By undertaking her training, she showed her willingness to put herself in harm’s way for her country. My thoughts are with her family and friends The Bill renews the legal basis for retaining our armed forces in peacetime for another five years, while we are fulfilling Parliament’s hard-won right to give consent to the Government for so doing. As parliamentarians, we are fulfilling a key function when we consider whether to consent to this measure. That is one reason why the Bill is important. While our armed forces comprise some of our finest and most dedicated public servants, their actions are not protected or circumscribed by contracts of employment. They owe a duty of allegiance to Her Majesty the Queen, which requires them to obey lawful orders. It is the system of service discipline and justice, therefore, that enables commanding officers to enforce that obligation when necessary. We certainly have an interest in ensuring that the system of military discipline and justice is fit for purpose, up to date and works well. That is the second reason the Bill is so important The Secretary of State has set out the main provisions in the Bill. It seems to me that they are largely non-contentious, technical and simplifying provisions, all of which we will seek to probe in Committee to ensure they work as intended and to satisfy ourselves that they are fit for purpose. I welcome the provisions extending the circumstances in which commanding officers can require service personnel and civilians subject to service law to be tested for drugs and alcohol after accidents. We will want to be satisfied that the rationale for extending the provisions to cover the three new situations set out in the Bill is sound and to have a fuller explanation for the differences between the powers being taken and those upon which they are based in the Railways and Transport Safety Act 2003. We will also want to be clear that the new provisions are sufficiently comprehensive to encompass all likely circumstances We welcome the intention of the Bill in setting out to simplify how people are charged with offences within the service justice system. No one benefits from unnecessary delay or bureaucracy in the administration of justice, in whatever system such potential problems might arise. On the face of it, it seems entirely sensible to remove the delay that might be caused by the requirement to refer a case to the commanding officer when he is not in practice able to try it. If he must simply refer it to the director of service prosecutions, it seems sensible for that to happen without the reference from the commanding officer, but he must of course know what is going on with the men under his control. It also seems entirely sensible to refer to the DSP cases that are connected. We will want to probe further in Committee how much of the existing caseload is likely to be affected—I think the Secretary of State referred to some figures in his opening remarks—and where any disadvantages are perceived in the provisions as drafted. Similarly, provisions relating to enabling the DSP to charge directly instead of directing a commanding officer to do so seem sensible, but we will wish to have full assurances in Committee We will also want to be satisfied on the necessity of applying equivalent provisions to those in the Serious Organised Crime and Police Act 2005 relating to immunity from prosecution, undertakings not to use information as evidence and sentence reductions for offenders who co-operate with investigations and prosecutions. We will start from the assumption, however, that if they are useful in the civilian justice system, they might well be useful in the service justice system as well The Bill does not cover how UK disciplinary procedures apply to foreign troops trained by British service personnel on British soil. Following the serious and regrettable incidents last year involving recruits from the Libyan general purpose force undertaking training at Bassingbourn camp, the Government published a summary of a report that looked at the Libyan training programme—the full report has now also been published. In January, following the publication of the summary, the Secretary of State said he had asked officials to consider applying UK service discipline to training foreign troops in the UK. In a recent Adjournment debate, the Minister for the Armed Forces said: “The report asked whether we could apply UK service discipline to troops training in the UK. This would involve bringing foreign troops into the British military chain of command and require significant amendments to the Armed Forces Act 2006. My Department has assessed the challenges and downsides of making those changes and decided that they would currently outweigh any benefits, particularly as we are keen to provide training in-country. I have therefore not instructed my Department to instigate such changes now, but I will keep the matter under review.”—[Official Report, 10 September 2015; Vol. 599, c. 651.] It is important that lessons are learned from that very serious incident and that foreign troops who come to the UK to train with our military adhere to the same code of conduct as British troops. It is equally important that disciplinary procedures can be put into effect swiftly in cases where criminal offences are committed. The Minister appears to be saying it is too difficult to do this at present, but I hope she will consider fully whether that is an adequate response. As the House will recall, these matters included very serious crimes of sexual assault and rape. Sexual harassment, sexual assault and rape are among the most serious of criminal offences in both civilian and military spheres, and the service justice system must take such crimes as seriously as does the ordinary criminal law From meetings I understand have taken place at ministerial and official level, the Minister will know about the military justice campaign being run by Liberty. It has raised serious issues about the collection of statistics on sexual assault and rape and how the service justice system deals with allegations of these serious offences. We will want to probe in Committee what the current state of play is in respect of ensuring that such offences are treated as seriously within the service justice system as they are outside it.
ParlaMint-GB_2015-10-15-commons.u304	On the argument about people visiting this country being subject to our military law, a big worry would be that we do not want other nations to apply their military law to our servicemen when they allegedly do something wrong in those countries. We want our military law to extend to our servicemen, wherever they are in the world.
ParlaMint-GB_2015-10-15-commons.u305	Of course, the hon. Gentleman has a lot of knowledge of these matters, and I appreciate that such issues, as the Minister must have found, are very complex and difficult. Given the seriousness of the incidents and the fact that the Government undertook to look at the matter, it is important to have a full discussion about why they have come to the conclusion they have. I have not said that I disagree with the conclusion, but I think the House needs to probe fully why the decision, which she undertook to keep under review, was made. We will seek to probe that further during the Bill’s passage. I say no more than that.
ParlaMint-GB_2015-10-15-commons.u306	May I say how much I welcome my hon. Friend’s appointment? I totally agree about the need to probe the issue of extending British law to troops based and training here. The people of Cambridgeshire need a full explanation of why that was not possible. Whether it proves possible is moot. The important thing is that they know it is being fully explored. Will she also say something about the importance of opening up the ability of members of the armed forces to come forward when they have experienced rape and sexual assault, as often they are advised by people in the chain of command that it might damage their career to do so?
ParlaMint-GB_2015-10-15-commons.u307	Order. There is plenty of time to speak. If the hon. Lady wishes to make a speech, I will put her on the list with pleasure.
ParlaMint-GB_2015-10-15-commons.u308	I thank my hon. Friend, who is a member of the Defence Select Committee, for her welcome for my appointment, and I hear what she has to say about these matters. The reason Liberty is campaigning on some of these issues is that, if things go wrong, it can destroy people’s lives and cause many difficulties, not only for the individuals affected but for the services. In Committee, I want us to debate the matter further with Ministers, who I know have met and considered these matters with campaigners, and to hear a bit more detail about policy development and where they are in respect of some of these things We have already heard from the Secretary of State the rationale for extending the provisions in the Armed Forces Act 2006 to the Isle of Man and British overseas territories, except Gibraltar, but we will want to make sure, by way of the normal scrutiny one would expect of a Bill, that the provisions are correctly drafted, fit for purpose and will do what he said he wants them to do We are concerned about the rationale for the provisions in clauses 14 and 15 relating to the powers of Ministry of Defence firefighters in an emergency. There is no discernible problem, or any reason why those provisions need to be in the Bill. The explanatory notes suggest, as the Secretary of State did, that MOD firefighters currently have no power in an emergency to act to protect life and property, but I wonder whether there have been instances of the kind of difficulty to which he referred. Have there been instances of such firefighters being prosecuted, or being sued for assault or for breaking and entering? If there have been any such instances, I can see why he might want to introduce these provisions. If there have been no such instances and this is simply a tidying-up exercise, how come he perceives a problem now?
ParlaMint-GB_2015-10-15-commons.u309	Let me try to answer that, but first may I welcome the hon. Lady and her team to the Dispatch Box for the first time? This measure is, of course, a precautionary one to reinforce the powers of those firefighters. There may well be instances where they might have to enter service accommodation or a civilian house on or near an MOD airfield. In other circumstances, perhaps in a remote area, MOD firefighters may be the first to reach a civilian fire in a civilian area, having got there in advance of the local authority fire service, but they do not have exactly the same powers. The purpose of these clauses is to deal with these things.
ParlaMint-GB_2015-10-15-commons.u310	I am grateful to the Secretary of State for that further explanation. In preparing for my remarks, I gave the chief fire officer of Merseyside’s fire and rescue authority a ring to ask whether the Chief Fire Officers Association, of which he is a member, has been consulted about these provisions. I thought it might have asked for this kind of measure. My contact with him was the first he had heard of these provisions, although he was of the opinion that he would have expected the CFOA or the local authority fire and rescue authorities to have been consulted ahead of their introduction. They are category 1 responders and would have expected to have been consulted on these provisions. There are well-known, regular opportunities for the MOD to consult and liaise with the civilian fire authorities and chief officers, but that has not been done in this instance, which made me wonder precisely what was going on. The provisions seem to imply the deployment of MOD firefighters beyond the confines of their current role on MOD property. The definition of “firefighter” includes, as I believe the Secretary of State said, contractors and subcontractors employed by private companies, and we are at a time when the work the Defence Fire Risk Management Organisation does is being outsourced or tendered. We will want to probe this matter further in Committee The Secretary of State has sought to reassure me, and I am open to being reassured. I am pleased to confirm that, with those few remarks and slight concerns notwithstanding, we will be supporting the Bill and seeking in Committee to probe its provisions, improving them where we can. Of course, if they cannot be improved, we will support them. [Interruption.]
ParlaMint-GB_2015-10-15-commons.u311	Is anybody interested in speaking? I call Jack Lopresti.
ParlaMint-GB_2015-10-15-commons.u312	I was extremely interested in speaking, but I was being very courteous in waiting to be called, Mr Deputy Speaker. Like the hon. Member for Garston and Halewood (Maria Eagle), I wish to send my condolences to the families of our service people who have recently died on operations and during training, and I echo the comments she made. That is a further example, as if we needed one, of the sacrifice and sense of duty of our service people, and the debt of gratitude we owe all of them I particularly welcome the Bill’s overall objectives and its content. It is in a noble tradition, stemming, as the Secretary of State said, from the Bill of Rights, under which no standing Army—obviously, that is now extended to our armed forces—may be maintained during peacetime without the consent of Parliament. That provision under the Bill of Rights is one of this country’s enviable documents that form our uncodified constitution, which balances the power of the monarch, the Government and the Houses of Parliament This Bill, enabling our country to maintain standing armed forces, could not come at a more relevant time, given the challenges we face around the world. We live in an increasingly dangerous age, with Putin’s army on the march in Crimea and Syria, and the problems we face in the middle east with ISIS. I understand that for some, although not I would think those on the Opposition Front Bench today, there is confusion about the importance of the defence of the realm; the Leader of the Opposition has said that he questions why “a country of 65 million people on the north-west coast of Europe” needs “to have global reach”. I am sure that none of the Opposition Front Benchers would agree with his comments on abolishing the armed forces and leaving NATO We of course need armed forces, and I am extremely proud of them, as I am sure everybody else here is. Our armed forces are the best in the world. I have some modest experience in this area, having had one of the best years of my life—so far—when I served with the fantastic men and women of 3 Commando Brigade in Afghanistan on Operation Herrick. I am very proud that 4,000 brave and extremely capable men and women are deployed around the clock on 21 different joint operations in 19 countries, which is double the figure of five years ago Britain has the biggest defence budget in the whole of the European Union and the second largest in NATO. I was delighted when the Chancellor rightly announced in July that the UK had committed to meet the NATO pledge to spend at least 2% of GDP on defence every year of this decade, with the MOD’s budget rising by 0.5% per year. Of course, an additional £1.5 billion a year by 2020-21 will be made available to the armed forces, and security and intelligence agencies in a new joint security fund. I do not think anybody here needs reminding of the significance of our armed forces; the defence of the realm is the first duty and responsibility of any Government. I have said it before, but one of my favourite quotes is from the late Lord Healey who served with the Royal Engineers during world war two and was military landing officer for the British assault brigade at Anzio. He said: “Once we cut defence expenditure to the extent where our security is imperilled, we have no houses, we have no hospitals, we have no schools. We have a heap of cinders.”—[Official Report, 5 March 1969; Vol. 779, c. 551.] But the UK is investing in British security, British prosperity and our place in the world, which transforms our ability to project power globally, whether independently or with allies I also had the privilege of serving on the Armed Forces Bill Committee during the last Parliament, when the Government took the historic step of enshrining the armed forces covenant in law for the first time. We now have an increasing number of veterans who have seen active service in Iraq, Afghanistan and elsewhere, and we have a duty and responsibility as a nation to make sure they are looked after and are not in any way disadvantaged by their previous military service. I worked with my local authorities to ensure that they signed the community covenant, too This Bill has some interesting aspects that we ought to explore further in some detail. We have talked about provisions whereby a commanding officer may require a member of the armed forces or a civilian subject to service discipline to be tested for alcohol and drugs, and about how we are looking to change things in that area. I share the concerns of my hon. and gallant Friend the Member for Beckenham (Bob Stewart), who said that he was worried that under the new provisions a commanding officer could be a little out of the loop when it comes to the welfare of, and duty of care towards, his or her men. I think we will look at that in more detail. As far as I am aware, the last two major deployments were largely “dry” operations, but when our military personnel are on duty they must not be under the influence of alcohol or drugs Cutting red tape and potentially simplifying the way justice is carried out is sensible. The increase of the period that a sentence of service detention may be suspended from 12 to 24 months could enable a more flexible form of justice. As the chairman of the all-party group on Gibraltar, I will be interested to see how Gibraltar is incorporated in the extension of the Armed Forces Act 2006 to the whole of the UK, the Isle of Man and British overseas territories. I know that conversations are taking place and work is going on, but I will be interested to see how that will work out The House will obviously have to look in some detail at clauses 14 and 15, which propose extending the statutory powers to MOD firefighters in an emergency, providing the same powers to act as those of civilian fire and rescue authorities. I look forward to working with colleagues from all parts of the House on the progress of this very important Bill.
ParlaMint-GB_2015-10-15-commons.u313	I, too, welcome the hon. Member for Garston and Halewood (Maria Eagle) to her new role; I look forward to working constructively with her and her colleagues in the coming weeks and months. On behalf of the Scottish National party, may I also express our deep sadness at the loss of Flight Lieutenant Alan Scott and Flight Lieutenant Geraint Roberts? We, too, extend our most sincere condolences to their families and friends on the tragic loss of such highly regarded servicemen It goes without saying that we support the renewal of the Armed Forces Acts that enable our dedicated and professional service personnel to defend and protect the people and the interests of all four constituent parts of this United Kingdom. We will fully engage with the Bill as it progresses through Committee Let me put on the record at the first opportunity to do so since coming to this place that we wish to highlight some serious concerns about the current state of the armed forces, particularly pertaining to Scotland. It is an inescapable fact that since the last Armed Forces Bill came before this place, a record number of servicemen and women have been betrayed by a Government who have overseen historic levels of cuts to the number of service personnel and the military footprint in Scotland. Year on year, we have had to endure cuts to the number of people serving in our armed forces. The Scottish Government’s employment figures show a 9.5% drop in the number of people employed in the armed forces in Scotland. That is a staggering 2,800 jobs lost in just five years. It is a matter not just of military personnel but of Scotland’s military footprint Since the strategic defence and security review of 2010, we have lost two of our three air bases—Leuchars and Kinloss—and we have had to witness an act of gross military vandalism when the Nimrods, the nation’s strategically vital maritime patrol aircraft, were chopped into pieces and sent for scrap. Given the United Kingdom’s geographic position in the north Atlantic, not having maritime patrol aircraft is quite remarkable, but for the United Kingdom to have had MPAs and then to have had them chopped into pieces and scrapped simply beggars belief.
ParlaMint-GB_2015-10-15-commons.u314	Many of us in the House would agree with what the hon. Gentleman says, and we opposed many of these sad cuts, which were necessary for the nation to break even. Will he enlighten the House? If the outcome of last year’s referendum had been different and we now had an independent Scotland, would he guarantee that the pre-cuts strength that he decries that we have lost would be replaced by the Scottish National party and the Scottish Government? Also, how many jobs would be lost if Trident were to be removed from Scotland?
ParlaMint-GB_2015-10-15-commons.u315	rose—
ParlaMint-GB_2015-10-15-commons.u316	Order. I can understand the temptation, but I do not want to open this pretty technical debate into a general point-scoring debate on policy. As I say, I can understand the temptation, but I am sure the hon. Member for Argyll and Bute (Brendan O'Hara) will want to stick to what we are debating.
ParlaMint-GB_2015-10-15-commons.u317	Thank you, Mr Deputy Speaker. To respond very briefly, I refer the hon. Member for North Wiltshire (Mr Gray) to the White Paper published before the referendum. Everything would be contained therein. The Scottish National party is quite clear about its paramount commitment to conventional defences. We would thus obviously invest in such defences I shall take your advice, Mr Deputy Speaker, and perhaps not engage further, other than to say that we shall support the Bill as it makes its way through Committee. Most notably, at the 2015 general election, the SNP was the only party to make a commitment to providing a statutory footing for a British Armed Forces Federation. We would like to introduce such provisions into the Bill in Committee. There is, of course, already an established British Armed Forces Federation, which provides a professional, independent and apolitical voice for service personnel. The BAFF is, in its own words, “a specifically British solution for the British Armed Forces”, which campaigns on range of issues such as armed forces housing, compensation and improved medical care for veterans Veterans’ mental health is particularly important. I recommend anyone attending last night’s Adjournment debate—and those who did not attend it—to get hold of the Hansard and read the fantastic contribution from my hon. Friend the Member for East Kilbride, Strathaven and Lesmahagow (Dr Cameron), ably supported by the hon. Member for Plymouth, Moor View (Johnny Mercer). This was a learned and informed debate—a shining example, I believe, of this House at its best If the BAFF were given statutory status, it would be a far more robust organisation in providing legal advice, aid for the writing of wills, anti-bullying advice, grievance reporting and, of course, aid to those with mental health problems. The idea of having an armed forces federation is not new and it is not radical. Indeed, there are several such federations operating extremely well within the armed forces of many of our NATO allies. Norway, Denmark, Belgium, Germany and Hungary all have armed forces federations, while there are also recognised and functioning armed forces federations in Australia and, closer to home, in Ireland. I firmly believe that a mature and responsible military such as that of the United Kingdom has nothing to fear from an armed forces federation As I said elsewhere, it should be seen as complementary rather than in opposition to the chain of command. A federation would not impinge in any way on the chain of command, but would rather give support to service personnel and their families—and, of course, to our veterans, to whom we all have a duty of care. If a federation works well for the police force, surely it is wholly appropriate that we extend the same right to our military personnel, who put their lives on the line every time they go on duty In conclusion, we support the Bill and will continue to support it, but we will go through it, as the hon. Member for Garston and Halewood said, line by line to make sure that the Bill will be the best that it can be. Our service personnel deserve no less.
ParlaMint-GB_2015-10-15-commons.u318	I welcome the Bill, which allows our armed forces to be recruited and maintained as disciplined bodies. I want to pay tribute to our brave armed forces personnel, particularly in the Royal Navy. The House will know of my special interest in this service because my daughter is a serving Royal Navy officer. My interest goes further than that, however. HMS Raleigh, the premier initial sea training establishment, is based in my constituency. It provides considerable employment, as does the Devonport naval base and dockyard. There is also the Thanckes oil fuel depot at Wilcove. The Royal Navy is thus at the very heart of my constituency. Young recruits experience their first six weeks of what it is like to serve in our armed forces there. That is why the Bill is important—because we must maintain recruitment. I welcome the clauses to modernise and update the Armed Forces Act 2006 to ensure that our armed forces are appropriate for modern times. It is important to pass the Bill to ensure that we recruit and maintain disciplined armed forces who will be able to operate professionally in our services. I particularly want to ensure that we man our Vanguard submarines, and I am delighted that my right hon. Friend the Secretary of State has confirmed that four new successor submarines will be introduced. This Bill will ensure that the manpower is available for them to remain fully operational Devonport dockyard in Plymouth is the sole nuclear repair and refuelling facility for the Royal Navy. Its excellent work has been long championed by my hon. Friend the Member for Plymouth, Sutton and Devonport (Oliver Colvile). I understand that my right hon. Friend may not be able to do so today, but I would be grateful if he could confirm as soon as possible that the continuing refuelling programme for the ballistic submarines will continue at Devonport as the new submarines are integrated into the fleet I feel that I should also mention my surprise that the Leader of the Opposition seems determined to compromise the security of our armed forces and this nation when he talks of abandoning our continuous at-sea deterrent I welcome the Government’s commitment to the new aircraft carriers. My right hon. Friend the Secretary of State has already told me that they will be manned by a crew whose numbers will be similar to those on HMS Invincible, despite being three times its size. He has also told me that the Royal Navy is planning to ensure that it has the suitably trained and qualified people it needs, and that that will include training on HMS Raleigh in Devonport. It would be good to hear that he is confident that we have enough suitably qualified and experienced personnel who are ready when they are needed to develop the operational capability of both ships Let me finally say something about clause 14. I am pleased that the Act is being amended to recognise the brave firefighters in our armed forces, and to give them the same authority as our civilian firemen and women. I thank them for their brave work in keeping our military safe.
ParlaMint-GB_2015-10-15-commons.u319	It is a pleasure to speak in this debate. Let me begin by expressing, on behalf of my party, sincere sympathies to the families of Flight Lieutenant Alan Scott and Flight Lieutenant Geraint Roberts, who gave their lives in Afghanistan I thank, with sincere appreciation, all who have contributed to the Bill’s progress so far, and who have introduced changes that have been in reserve until now. The issue that we are discussing is of the utmost importance to every Member. Those who are present have a specific interest in it, but many others who would like to be present are unable to attend. For the record, let me convey an apology from the Chair of the Defence Committee, and from other Committee members who cannot be here because they are dealing with other business, but who would have wished to participate if that had been possible. A strong, effective and renowned armed forces has always been at the heart of our great nation—that united nation of the United Kingdom of Great Britain and Northern Ireland, with all four of its regions together—and has always been a proud and important pillar of our national identity. Like others who are present, I am strongly committed to the armed forces covenant, which I want to see delivered in its entirety throughout all four regions in the United Kingdom. I also believe that it is important to look after veterans with mental and physical disabilities. Last night, we had the opportunity to listen to an excellent speech by the hon. Member for East Kilbride, Strathaven and Lesmahagow (Dr Cameron), who presented the case for those veterans. As we heard just now from the hon. Member for Argyll and Bute (Brendan O’Hara), the report of that debate is well worth reading, including the positive response from the Minister for Community and Social Care I am sure Members agree that when our armed forces are having a positive impact, whether delivering aid to the needy or toppling a tyrant, that instils in us a great sense of pride in being British—and no one is prouder than I am of being British. That said, however, when something is broken it needs to be fixed, and when something could be better, it needs reform. Unfortunately, not all our personnel are receiving the protection that they deserve in terms of their human rights. It is time for a review and time for change, and that is what the Bill proposes. The key focus of the Bill must be on ensuring that we protect and uphold the human rights of those who serve in our armed forces I commend the Defence Secretary for creating a service complaints ombudsman. That positive legislative change was necessary, and it is vitally important to ensuring that our armed forces receive the fair treatment that they have earned and deserve. I was delighted with the amendment to the Armed Forces (Services Complaints and Financial Assistance) Act 2015, which granted the new ombudsman power to investigate the nature of service complaints rather than merely processing claims of maladministration. That was clearly a positive step However, while those developments are most welcome, more could and needs to be done. Members have mentioned alcohol and drugs: the Secretary of State did so in setting the scene, and no doubt others will do so as well. We need armed forces that are accountable and responsible, we need a system of regulating and legislating, and we need testing for alcohol and drugs There is overwhelming evidence that sexual assault and rape are a pressing issue for many of our service personnel, especially our servicewomen. In its 2015 sexual harassment report, the Army recorded that 39% of servicewomen questioned had received unwelcome comments about their appearance, body or sexual activities, compared with just 22% of servicemen. Furthermore, 33% of servicewomen had been subject to unwelcome attempts to talk about sexual matters, compared with only 19% of servicemen; 12% of servicewomen had received unwanted attempts to talk about sexual matters, compared with just 6% of servicemen; 10% of servicewomen had received unwanted attempts to establish a sexual relationship, despite discouragement, compared with only 2% of servicemen; 4% of servicewomen had been told that they would be treated better in return for a sexual relationship; and 2% reported that they had been sexually assaulted Those statistics reveal something that is totally horrendous and totally unacceptable, and the need for significant change. The Bill gives us a chance to make that change, which is good news. Some of the figures may seem small, but that does not make them any less unacceptable. Would any other line of work tolerate such figures? The Departments concerned would certainly be asked to make legislative changes. Indeed, would such figures feature in any other line of work? The figures that I have given show that sexual assault and rape are a problem that needs to be tackled within our armed forces—not least for women, who fare far worse than men.
