ParlaMint-GB_2015-12-15-commons.u1	1. What steps he is taking to support higher-level skills in further education.
ParlaMint-GB_2015-12-15-commons.u336	Will my right hon. Friend give way?
ParlaMint-GB_2015-12-15-commons.u337	I am sorry, but I will not give way. As I was saying, that is the answer to the question put by the right hon. Member for Doncaster North (Edward Miliband) about ambition and to the question highlighted by my hon. Friend the Member for Taunton Deane (Rebecca Pow). We will reach this ambition—the 2° is operational; the 1.5° is the aspiration—only through our plans to link with other countries in an international low-carbon energy innovation taskforce called Mission Innovation. That goes back to the leadership to which the hon. Member for Ogmore (Huw Irranca-Davies) referred, and we believe that we can achieve that The last Labour Government left behind in 2010 an energy security black hole: no nuclear power plants built; a legacy of under-investment; and low carbon targets and no plan to meet them. The advice of the hon. Member for Wigan (Lisa Nandy) never considers the consumer. In her endless recommendations to increase subsidies, it is unknown what the Opposition actually have in their plan. It is clear to Conservative Members that a responsible national energy policy demands a willingness to take decisions today for the good of tomorrow. It is this Government who will not take any risks with our energy security, and that is why we agree with the position set out clearly by my hon. Friend the Member for Thirsk and Malton (Kevin Hollinrake) that shale would provide a low-carbon bridge. We will get on with the job of building a system of new energy infrastructure fit for the 21st century Question put.
ParlaMint-GB_2015-12-15-commons.u338	I beg to move, That this House notes that the Government’s record on housing is one of five years of failure with rising homelessness, falling home-ownership, escalating rents, deep cuts in investment and the lowest level of house-building since the 1920s; further notes that the Spending Review and Autumn Statement will not result in the homes that young people and families on ordinary incomes need being built because it cuts the level of investment from that of 2010 and fails to prioritise genuinely affordable homes to rent and buy; notes Shelter Scotland's report of September 2015, Affordable Housing Need in Scotland, which states that overall house-building levels are well below their peak in 2007 and that the number of new social homes built has fallen by 44 per cent from 2010 to 2014; notes the widespread concern that the Government’s Housing and Planning Bill will lead to the severe loss of affordable homes, will be a let-down for aspiring home-owners, and will do nothing to help England’s private renters struggling with poor conditions and high renting costs; and calls on the Government to help families who are struggling with the cost of housing, including by building more affordable homes to rent and buy Above schools, wages, crime, foreign affairs and terrorism, people now place housing as their most pressing concern. It is fourth in Ipsos MORI’s latest long-running “Issues Facing Britain” survey. In all parts of this House, we know of the increasing pressure, frustration and sometimes despair that our constituents feel when a decent, affordable home to rent or buy is totally beyond them That is why we have called today’s debate on the Government’s record on housing. It is a truly shameful record, with five years of failure on every front. For the Housing Minister, who I know is a fan of social media, we could call it #fiveyearsoffailure. There have been five years of failure on homelessness—[Interruption.]—which, despite the laughter of Conservative Members, we all feel keenly at Christmas. Rough sleeping has increased by more than half in the past five years, while statutory homelessness is up by more than a third and is rising rapidly There have been five years of failure on home ownership. The rate of home ownership has fallen each and every year since 2010, and the total number of home-owning households in this country is now more than 200,000 fewer than when the Tories took control. It is young people who are being hit the hardest, with the number of homeowners under the age of 35 down by a fifth in the past five years There have been five years of failure on private rents. While incomes have stagnated, private rents on new lets have soared—up by £1,400 a year—since 2010 There have been five years of failure on housing benefit costs, which rose by £4.3 billion in the last Parliament, despite punishing cuts such as the bedroom tax, even as housing investment was slashed Finally, there have been five years of failure on house building. The House of Commons Library has confirmed to me that the previous Government built fewer new homes than any peacetime Government since David Lloyd George’s in the 1920s.
ParlaMint-GB_2015-12-15-commons.u339	Speaking of house building, is not the most important statistic that, in the last year of the last Labour Government, on the right hon. Gentleman’s watch, there were 124,000 housing starts across the UK, whereas last year that figure had gone up to 165,000, which is a very impressive record? If he is so concerned about the topic, why did he not—
ParlaMint-GB_2015-12-15-commons.u340	Order. I think you intend to speak, don’t you?
ParlaMint-GB_2015-12-15-commons.u341	Yes, Mr Deputy Speaker.
ParlaMint-GB_2015-12-15-commons.u342	In which case, it should be a very short intervention. I do not think we need to hear any more, because I want to get you on the list.
ParlaMint-GB_2015-12-15-commons.u343	The statistic that matters most is the number of homes that were actually built. The hon. Gentleman is right to say that 2009 saw the lowest level of house building under 13 years of Labour, but that figure was still higher than that in the best year in the past five years of a Tory Government There have been five years of failure on every front, by every measure and in every area. Two weeks ago, the Prime Minister gave a speech in which housing was a central theme. He said—I am not making this up—that “this is a government that delivers” Well, it does not deliver on housing. The Government spent the last five years blaming Labour, but they have their own track record now—and it is one of five years of failure on housing under Conservative Ministers The Chancellor gave his autumn statement and spending review three weeks ago and, again, housing was a central theme.
ParlaMint-GB_2015-12-15-commons.u344	Doubling!
ParlaMint-GB_2015-12-15-commons.u345	That is exactly what the Chancellor said: “We’re doubling the money for housing to build 400,000 new affordable homes” After the Chancellor’s autumn statement, the Government’s annual investment in housing will be £1.7 billion. Under the money inherited in 2010 from Labour, it was £3.1 billion. That is not an increase, but a cut—it is not a doubling, but a halving—of vital investment in housing in our country for our people.
ParlaMint-GB_2015-12-15-commons.u346	The right hon. Gentleman was a long-serving Minister. Will he reflect on the fact that, on his Government’s watch, the number of households on the housing waiting list went up from 1 million to 1.8 million and that there were 420,000 fewer social homes to rent at the end of his term in office than before? Is that not 13 years of failure?
ParlaMint-GB_2015-12-15-commons.u347	The hon. Gentleman might like to reflect on the fact that, under 13 years of Labour, more than 2 million new homes were built in this country and the number of homeowners rose by more than 1 million, but in the five years under his Government that figure has fallen by more than 200,000. So much for the party of the so-called homeowners.
ParlaMint-GB_2015-12-15-commons.u348	We should remind the Government that it was the Conservatives, when they were last in power, who stopped local authorities building social housing. As a result, rents have gone through the roof and young people cannot get a house today.
ParlaMint-GB_2015-12-15-commons.u349	My hon. Friend is right. He probably shares my view of our own Labour record. We are deeply proud of the billions of investment we made to make homes decent again, but we were perhaps too slow to start building new homes. When I was the Minister for Housing in the final year of the previous Labour Government, we got under way the largest council house building programme we had had for more than two decades. For the first time, councils were able to get the support on the same terms as housing associations to build the new affordable homes that were so badly needed in this country I want to return to the Chancellor’s boast about doubling the money for housing for 400,000 new affordable homes. It was not a doubling, but a halving of the investment under Labour. Most of those 400,000 homes had been announced before, so there is also double counting. Finally, many of the new homes will not be affordable for those on ordinary incomes either to rent or to buy. I would say to the Minister that we perhaps need a new hashtag. How about #fivemoreyearsoffailure?
ParlaMint-GB_2015-12-15-commons.u350	My right hon. Friend makes an important point about just how affordable the new affordable homes are likely to be. The data I have seen show that, in areas such as Stockport, somebody would need an average income of about £53,000 just to have a deposit for one of the new starter homes.
ParlaMint-GB_2015-12-15-commons.u351	My hon. Friend is right. I will come on to starter homes and how Tory Ministers try to fiddle the figures by fiddling the definition, but this is not the first time they have redefined what constitutes “affordable”. The level of so-called affordable rented homes we are now seeing in many parts of London means that rents are more than £1,000 each month. That may be affordable in their book, but for many people—with ordinary jobs, on ordinary incomes—it is totally beyond their reach. More is required of this Government to help the people who are working hard and struggling most.
ParlaMint-GB_2015-12-15-commons.u352	The right hon. Gentleman is being generous in giving way. He did not attend the Housing and Planning Public Bill Committee, for the reasons he has given us, but will he confirm that it was comprehensively demonstrated by all the witnesses during the evidence sessions that there was no evidence that starter homes would be unaffordable for anyone north of a line between the Bristol channel and the Wash—most of the north-west, the north-east, Yorkshire and Humberside, and the east and west midlands?
ParlaMint-GB_2015-12-15-commons.u353	I am not sure how much attention the hon. Gentleman was paying. He should have looked at the reports from Savills and from Shelter, and he should have listened to my hon. Friends who led for Labour so ably and so strongly throughout the many scrutiny sessions in Committee. I want to the return to the fact that we have seen such a serious failure during the past five years under Conservative Governments.
ParlaMint-GB_2015-12-15-commons.u354	Does my right hon. Friend not think that the forced sale of council homes will exacerbate the homelessness crisis? Will he encourage the hon. Member for Uxbridge and South Ruislip (Boris Johnson) to speak in this debate to set out his view of the potential for extending Help to Buy to pay for the voluntary right to buy for housing associations?
ParlaMint-GB_2015-12-15-commons.u355	My hon. Friend led in making those very arguments in Committee, and I hope we will get a chance to make those arguments again when the Bill returns to the House straight after the Christmas recess. He asked for my view about whether the forced sale of council homes, particularly in London, is likely to lead to a rise in homelessness. I agree with him that it will. In some ways, however, it is much more significant that the Conservative-led Local Government Association agrees, which is clearly why it opposes the plan. It has warned of the consequences, “in particular on council waiting lists, homelessness and housing benefit.” In many ways, these are not simply abstract political arguments or dry statistics, but the lives of our friends, our neighbours and our constituents: the young couple on average income who want to start a family, but are now less, not more, likely to be able to get a home of their own; the family, renting privately, whose kids—like 1.4 million others in the same situation—are less, not more, likely to go through school without being forced out by their landlords and forced to move areas; and the pensioner needing affordable supported accommodation who is now less, not more, likely to find a suitable home and the help they need. These are the human stories of this housing crisis, which has worsened during the past five years.
ParlaMint-GB_2015-12-15-commons.u356	Do we not need a bit of contrition, rather than laughter and synthetic anger, from Government Members? Is it not a fact that homelessness and rough sleeping have risen 55% since the Prime Minister took office, even though he said they were a public disgrace?
ParlaMint-GB_2015-12-15-commons.u357	My hon. Friend is right. He will remember how serious the levels of homelessness and rough sleeping were when Labour came to office in 1997 and how they fell with the policies that we put in place over 13 years. He is right to say that he, like Members on both sides of the House, has seen homelessness and rough sleeping rising again. We should pause ahead of the Christmas period, reflect on that and ask hard questions of the Housing Minister about why it is happening, what he will do about it and, in particular, what he will do over the Christmas period to help.
ParlaMint-GB_2015-12-15-commons.u358	The right hon. Gentleman will be aware that homelessness peaked in 2004. He makes the serious point that we should all consider homelessness at Christmas. That peak came under a Labour Government, but I am not making a political point. As he has worked on this issue and will have been involved in part of the solution, perhaps he can tell the House what he believes the solution is.
ParlaMint-GB_2015-12-15-commons.u359	I was, indeed, involved in part of the solution. I have to tell the hon. Gentleman that part of the solution is not the deep cuts in local council budgets that we will hear the detail of later this week. Part of the solution is not cutting the rents for supported housing, because that will lead to a cut in the provision for many of the most vulnerable people in this country Unfortunately, we are still close to the start of a five-year Parliament. This is the most crucial part of the political cycle, when policy direction is set. It should be a time for stock-taking and fresh thinking, but the Budget, the autumn statement and the Housing and Planning Bill do nothing to correct the causes of the five years of failure and, in many areas, will make problems much worse.
ParlaMint-GB_2015-12-15-commons.u360	The right hon. Gentleman is raising very serious matters. If his facts are correct, why did the property website Zoopla state just before the general election earlier this year: “A win for the Labour party in the General Election could spell trouble for first-time buyers” Why would Zoopla have said that?
ParlaMint-GB_2015-12-15-commons.u361	Search me, guv. Ask Zoopla. I have to tell the hon. Gentleman—[Interruption.] I’m not sure I’ll bother, Mr Deputy Speaker. He is not listening anyway.
ParlaMint-GB_2015-12-15-commons.u362	Order. That is a very good point. I am struggling to hear the shadow Minister express his views on housing. Can we please be a bit more tolerant and have less shouting?
ParlaMint-GB_2015-12-15-commons.u363	rose—
ParlaMint-GB_2015-12-15-commons.u364	I give way to my hon. Friend.
ParlaMint-GB_2015-12-15-commons.u365	Does my right hon. Friend agree that it is time that the Conservatives took some responsibility for their failure in government? Their housing policy has been based on a misunderstanding of capitalism. It has all been focused on helping people to buy one of the insufficient number of houses, rather than on increasing the supply.
ParlaMint-GB_2015-12-15-commons.u366	May I also say that a lot of Members want to speak? If we are going to have interventions, let us make them short.
ParlaMint-GB_2015-12-15-commons.u367	My hon. Friend makes a really important point that I hope will be a point of debate this afternoon. A serious question that must be asked in respect of the plans before us is whether it is the right use of public money to subsidise the demand for new housing, at a time when the housing market in many parts of the country is already out of control.
ParlaMint-GB_2015-12-15-commons.u368	Will the right hon. Gentleman give way?
ParlaMint-GB_2015-12-15-commons.u369	No, I will make some progress. If the hon. Lady really wants to intervene later, I will give way At this point in the political cycle, we need to look at what is ahead. Two areas demonstrate the direction that the Tory Government are taking on housing and serve as a warning of what is to come. The first is a systematic attack on housing opportunity for young people and families on ordinary incomes, the very people the housing market is failing most at the moment. Ministers have launched a full-frontal assault on council and housing association homes which will hit those on low and middle incomes hardest. The Office for Budget Responsibility has said that the result of both the Budget and the autumn statement together will be 34,000 fewer housing association homes built. Meanwhile, the Housing and Planning Bill strangles the ability and obligation of both private and public sectors to build the affordable homes to rent and to buy that are badly needed in both urban and rural areas alike In addition there is an extraordinary forced sell-off of council homes to fund an extension of the right to buy, with no prospect or commitment, as Labour has urged, of like-for-like, one-for-one replacements in the local area. I have to say that in many areas of the country, both rural and urban but especially in London, these council homes will go not to families struggling to buy, but to speculators, second homeowners, and buy-to-let landlords—and of course the greater the demand for affordable housing in an area, the higher the value of the houses, and the more the Chancellor will take in his annual levy.
ParlaMint-GB_2015-12-15-commons.u370	Does the shadow Minister not agree that council house building is actually at a record 23-year high and that more council housing has been built in the last five years than under the 13 years of the last Labour Government?
ParlaMint-GB_2015-12-15-commons.u371	The hon. Lady raises an interesting point. If she looks at the Homes and Communities Agency data, they will confirm—as my hon. Friend the Member for Sheffield South East (Mr Betts), a member of the Select Committee, said at DCLG questions yesterday—that more than eight in 10 of the social homes and council homes built under the hon. Lady’s Government over the last five years were started and funded under the Labour programme.
ParlaMint-GB_2015-12-15-commons.u372	Before my right hon. Friend moves on from the point about speculation, is he aware that the largest amount of foreign money coming into the London property market is from Russia and the average price Russians pay is £6.3 million?
ParlaMint-GB_2015-12-15-commons.u373	That detail had escaped me, but I am very grateful to my hon. Friend for mentioning it.
ParlaMint-GB_2015-12-15-commons.u374	I think my right hon. Friend will agree with me that it is time to kill this myth that the Tories are the people’s friend and that they build council houses. The reality is that those council houses were left in a right mess by the previous Tory Government and the last Labour Government had to put a large amount of money into refurbishing them. It was a disgraceful legacy.
ParlaMint-GB_2015-12-15-commons.u375	My hon. Friend is right. The last Labour Government invested £22 billion to bring homes that were barely decent up to scratch—some 1.4 million council homes were given new kitchens, central heating, doors that fitted, double-glazing. Those homes were, for the first time, fit to live in, but they had been left as a legacy from the previous Tory Government. My fear for the future is that when Labour gets back into government, we will be faced with a similar legacy of neglect of our council housing Over the next five years, we look ahead to a huge loss of affordable homes to rent and to buy in this country. In total, the Chartered Institute of Housing expects the loss of 195,000 affordable homes for social rent over the next five years On top of this, in the very last sitting of the Housing and Planning Bill Committee, Ministers introduced plans to scrap the secure tenancies that Margaret Thatcher herself brought in for council tenants, restricting them instead to fixed-term tenancies of between two and five years. So the message from this Government could not be clearer: “If you’re on a low or middle income and rent a council home, then a stable family home is too good for the likes of you.”
ParlaMint-GB_2015-12-15-commons.u376	Thanks to years of Tory leadership in Redbridge, we have the lowest amount of social housing stock in London. Does my right hon. Friend also know that one in 27 households in the private rented sector is at risk of eviction because of a whole load of factors, the majority of which are due to the Government’s policies?
ParlaMint-GB_2015-12-15-commons.u377	I do indeed, and I say to the Minister, because there is still time for him to think again, that the Housing and Planning Bill is a huge missed opportunity to help 11 million people who live in the private rented sector without the security to start their lives and bring up their families. He could legislate for longer tenancies, better consumer rights, and better and more decent standards and obligations on landlords. He has refused to do that so far. I hope that he will think again.
ParlaMint-GB_2015-12-15-commons.u378	I ask the right hon. Gentleman to clear up one point upon which I—and, I am sure, many people—am still in doubt. Is he in favour of giving housing association tenants the right to buy their home? Is he in favour of aspiration for those people to buy homes, in the way that Opposition Members have done? Yes or no?
ParlaMint-GB_2015-12-15-commons.u379	I am certainly in favour of aspiration and of home ownership. Under the last Labour Government, the number of homeowners increased by more than 1 million. However, I confirmed on Second Reading that we will oppose right to buy funded by forced sale of council homes because it will lead to a huge loss of affordable homes to rent and buy that people in this country need. That policy will penalise people on ordinary, modest incomes.
ParlaMint-GB_2015-12-15-commons.u380	Is my right hon. Friend not amazed that, despite the Government’s claim that their policy of selling off high value council homes will fund the replacement of housing association properties and council homes, as well as a contribution towards the remediation of brownfield sites, they still cannot table for hon. Members the figures to justify that?
ParlaMint-GB_2015-12-15-commons.u381	My hon. Friend is right. Obviously, the Select Committee is examining those matters. It is not the first time that the sums do not add up, but if the Government are going to force the sale of council assets to fund the programme to extend the right to buy to housing associations, why do they not start with some of their own assets? Why do they not start by funding their policy with Government support, instead of taking it, like some medieval baron, from councils because their coffers are empty Ministers made much of starter homes and there is clearly a need for more affordable homes to buy, especially given that the number has fallen in the past five years by nearly 30%. However, the Government’s starter homes will be a non-starter for families on ordinary incomes. Shelter calculates that, across the country, one would need an annual income of around £50,000 and a deposit of £40,000 to afford a starter home. In London, one would need an income of £77,000 and a deposit of £98,000. That is simply out of reach for most of those on middle incomes—working families, who need help to buy the most. Of course, there are no controls to stop those who can afford to buy without help from the Government taking advantage of the scheme. There is a big risk that those who need it least will benefit most.
ParlaMint-GB_2015-12-15-commons.u382	The right hon. Gentleman is being most generous in giving way. If right to buy is, as he suggests, such a disaster for housing associations, why have they entered into a voluntary arrangement with the Government to deliver it? Will the right hon. Gentleman explain that?
ParlaMint-GB_2015-12-15-commons.u383	Has the hon. Gentleman ever heard the term, “shotgun arrangement”? If he talks to a lot of housing association chief executives, their boards or their tenants, as I have done, he will find that they feel that they are left with no choice. They do not like it, they do not believe it, they do not trust Ministers, but they signed up to it because it is the least worst option for them With so many people’s dreams of buying their own home out of reach, Ministers have responded by announcing plans to fiddle the figures again, by changing the definition of affordable homes to include so-called starter homes for sale at up to £450,000. That is an insult to young people and families on ordinary incomes, and a mockery of common sense and sound policy. It is like the Health Minister tackling the GP shortage by reclassifying cashiers at Boots pharmacy as qualified doctors The second area that demonstrates the direction that the Government are taking in this Parliament is the systematic side-lining of local people and local decision making. Whatever they say, Ministers’ actions are anti-localist. At every turn since the election, housing policy has been set to undermine the say of local people and override their local representatives. The Housing and Planning Bill puts 33 new centralising powers in the hands of the Secretary of State, from directing starter homes to be built instead of affordable homes, to fixing rents for so-called high-income tenants Those powers include a legalised annual cash grab from councils, which totally undermines their ability to plan for housing need in their area. The Bill also rips up the contract of localising local finance for housing, which until this point has been the subject of all-party support. Ministers will have sweeping new powers to award “automatic planning permission”—the so-called “permission in principle”. That is not, as the House has been led to believe, simply a policy for dealing with brownfield sites; it is a power and policy for any site allocated for use in a local plan. There will be no need to apply for full planning permission, no limitations on what sort of development can be built, and no planning gain or obligation on developers. Only the technical details will be left for the elected local planning authorities to deal with A host of organisations now echo Labour’s concerns about such open-ended powers, including the Campaign to Protect Rural England, Friends of the Earth and the Woodland Trust. There will be deep concern in all parts of the House if the Government’s dramatic failure on housing leads to such drastic steps and denies local communities a voice on development in their areas.
ParlaMint-GB_2015-12-15-commons.u384	I am following what the right hon. Gentleman is saying, but would his argument have rather more weight if he had not been part of a Government who imposed regional spatial strategies that gave no choice to local communities on how housing was imposed? Is he contradicting his own policy in government?
ParlaMint-GB_2015-12-15-commons.u385	The hon. Gentleman is a master of distraction. I am making a point about clause 1 of the Bill, and he has enough experience to know what is at stake. If he reads the Bill, I know he will be worried about the sweeping, open-ended powers that it contains. If the Minister wants those powers, he should justify that in this House and the other place during the passage of the Bill, or tighten them up so that they do what he says he wants them to do. I look forward to the Minister’s response on that point, but I am not holding my breath In the housing world the Minister has become known as “Mr Million Homes”. He said: “By the end of this Parliament success would mean that we have seen a build in total of something like a million homes” In other words, an average of 200,000 homes a year. Now we know that the Minister is prone to a bit of bullish bluster, but that is going some. In his first year as Housing Minister, not 200,000, but 115,590 homes were built. Last year—the best year out of the previous Government’s five years—only 117,720 homes were built. The total number of homes built in that Government’s best year was still lower than in the worst year of the Labour Government’s 13 years, which was in the depths of the global banking crisis and recession. Even the Prime Minister has not gone as far as the Minister In conclusion, no Government can sit back and see a whole generation priced out of a decent home, and call themselves a “one nation” Government. No political party can say nothing in their manifesto to the 11 million people living in private rented accommodation, and call itself a “party of aspiration”. No party can have a programme that will lead to a huge loss of genuinely affordable housing, and call itself the “party of working people”. This country has seen five years of failure on housing under Conservative Ministers. People desperately need and deserve better, and during this Parliament, this party—the Labour party—will prove itself to be the party of working people, of aspiration, and of one nation.
ParlaMint-GB_2015-12-15-commons.u386	I warmly thank Her Majesty’s Opposition for choosing the subject of today’s debate. It is an important subject, and I am always eager to compare and contrast our records on housing. It is now five months since the previous such debate, and much has changed. In that time, we have announced the largest Government house building programme for 40 years. And of course, we now have a new shadow Housing Minister, the right hon. Member for Wentworth and Dearne (John Healey). He was briefly Minister for Housing at the end of the last Labour Government, so this is rather a “Back to the Future” experience. I think I am now on my third shadow Housing Minister If we continue with that “Back to the Future” analogy, I recall that it is the third part of the trilogy—the one about cowboys—that nobody really likes very much. The question is: which “Back to the Future” film are we dealing with here? I hope it is not the cowboy one, but I also hope it is not the Soviet version from 1973. I should warn any hon. Members who do not have this kind of film library at home that that is a terrifying tale, in which Ivan the Terrible is accidentally transported into the future to become the superintendent of an apartment building in Moscow. Who knows? Stranger things are happening in the Labour party Shadow Ministers might come and go, but one thing remains the same: the curious phenomenon of Labour Members claiming that their record is preferable to ours. The right hon. Gentleman condemns our plans to support the aspirations of home buyers but, in a speech lasting more than 32 minutes, he did not suggest any alternatives. He talks about a housing crisis yet fails to admit who created it. And he claims that he will take Labour’s record over ours without any rational justification for his preference.
ParlaMint-GB_2015-12-15-commons.u387	Has my hon. Friend given any thought to the fact that when Labour estimated in 2003-04 that only 5,000 to 13,000 Polish migrants would come in, more than 100,000 actually did so? Where did the Labour Government think those people were going to live? Does my hon. Friend think that might be part of the issue?
ParlaMint-GB_2015-12-15-commons.u388	The right hon. Member for Wentworth and Dearne has put on record his views on home ownership and house building, certainly going back to 2005. Obviously, we have challenges going right across as our population grows Let me remind the House of the situation we inherited in 2010. Perhaps some of my hon. Friends who were not here before then will be interested to know about this. We inherited: a housing bubble that burst with devastating consequences; an industry in debt; sites mothballed; workers laid off; skills lost; a loss of 420,000 affordable homes; rocketing waiting lists; and collapsing right-to-buy sales. In their 13 years in office, the Labour Government built only one home for every 170 that were sold. There was a sustained fall in home ownership. To be fair, the right hon. Gentleman knows that very well, because he himself said, “I’m not sure that’s such a bad thing”. It was no coincidence that that disregard for aspiring home owners was matched by chaos in the regulation of lending, a planning system in disarray controlled from the centre, a post-war low in house building by councils and the lowest level of house building since the 1920s.
ParlaMint-GB_2015-12-15-commons.u389	Is my hon. Friend as disappointed as I am that in the course of the 32-minute churlish whinge-athon by the Opposition spokesman, he could not even give this Government credit for using the Housing and Planning Bill to tackle slum landlords? The Labour Government did nothing about that in 13 years.
ParlaMint-GB_2015-12-15-commons.u390	Perhaps the right hon. Member for Wentworth and Dearne has not been involved in the Bill’s progress in Committee, as I know my hon. Friend the Member for Peterborough (Mr Jackson) has been. That might be why, despite what is in the Opposition motion, he has oddly not picked up on the fact that we are going further to crack down on and drive out rogue landlords than any Government have done before. The previous Labour Government oversaw the lowest level of house building since the 1920s, with just 88,000 starts being overseen by the right hon. Members for Don Valley (Caroline Flint) and for Derby South (Margaret Beckett) and, of course, the right hon. Member for Wentworth and Dearne. That was their housing crisis, that was their record, and that is the state of affairs that the right hon. Member for Wentworth and Dearne claims the public should prefer.
ParlaMint-GB_2015-12-15-commons.u391	Does the Minister feel that those people who voted Tory at the last election will be surprised by this Housing and Planning Bill?
ParlaMint-GB_2015-12-15-commons.u392	As it contains two of our key manifesto pledges, on which we are mandated to deliver, I suspect that people will be pleased to see that we are a Government who are getting on and delivering for the people of this country. To take the hon. Lady’s very direct question, the public gave their verdict on the performance of the last Government at two general elections. At the last time of asking, the electorate were offered by the Opposition party a reprise of Labour’s centrally controlled, top-down housing nightmare—land grabs, the mansion tax, rent controls, red tape and restrictions on right to buy.
ParlaMint-GB_2015-12-15-commons.u393	Is the Minister pleased to see how many people have already expressed their interest in our aspirational policy and are already queuing up to take advantage of it?
ParlaMint-GB_2015-12-15-commons.u394	My hon. Friend makes a good point. The right hon. Member for Wentworth and Dearne does not seem to want to give housing association tenants the opportunity to buy their home, even though some 11,000 people have already expressed their interest in doing just that The public did consider the cocktail of regressive options being put forward by the main Opposition party, and they politely declined to take it up.
ParlaMint-GB_2015-12-15-commons.u395	Actually, people in Redbridge were tired of the Conservatives running the council, which is why they elected a Labour council in May 2014. One of our pledges—I am still an unpaid councillor in Redbridge —was to introduce a landlord licensing scheme. When can we expect to hear from the Minister’s Department the go-ahead to deliver the manifesto pledge that so many residents are crying out for?
ParlaMint-GB_2015-12-15-commons.u396	Obviously, we took through selective licensing just before the general election. That cracked down on rogue landlords, which are mentioned in the Bill. I will be coming back to that matter as we make progress with the Bill. I am sure that the hon. Gentleman’s residents will be delighted to see that we are going further than any Labour Government ever did. Under our watch, the number of first-time buyers doubled, the number of new homes doubled and public support for new house building doubled.
ParlaMint-GB_2015-12-15-commons.u397	rose—
ParlaMint-GB_2015-12-15-commons.u398	I am sure that the hon. Gentleman is rising to congratulate us on our success.
ParlaMint-GB_2015-12-15-commons.u399	Well, actually I do want to congratulate the Minister on his measures to tackle rogue landlords. It is a step forward. Does he think it would be a good idea also to tackle rogue developers, so that we do not have an explosion of rogue landlords?
ParlaMint-GB_2015-12-15-commons.u400	I am sure that the hon. Gentleman will want to explain what he means by rogue developers. Certainly, I want to ensure that good quality developers are building the houses that we need across the country for the people who need them.
ParlaMint-GB_2015-12-15-commons.u401	I thank the Minister for giving way. May I suggest that he speaks to Mr Toon, the economic director of the National Crime Agency, who says that, “the London property market has been skewed by laundered money.” He said that prices are being artificially driven up through the use of the proceeds of crime. If he wants to do something, he should just pick up the phone.
ParlaMint-GB_2015-12-15-commons.u402	Obviously, I would be happy to support anybody who is looking to crack down on crime in London. Equally, I know that the hon. Lady seems to think that affordable houses in London start at £6 million. That may be so for those on the Labour Benches, but not for those of us on the Government Benches.
ParlaMint-GB_2015-12-15-commons.u403	I thank the Minister for giving way. In this long list of successes, will he include that wonderful policy, the green deal?
ParlaMint-GB_2015-12-15-commons.u404	One day, the hon. Gentleman or one of his colleagues will intervene to explain the wonders of eco-towns and just how many got built under the Labour Government.
ParlaMint-GB_2015-12-15-commons.u405	Perhaps I could bring my hon. Friend back to the London housing market. Does he agree that one of the worst things that could happen to the London housing market is the imposition of rent controls on the private sector, as it invariably drives up costs, reduces supply and encourages the bad landlord rather than the good one whom we need to see in the capital?
ParlaMint-GB_2015-12-15-commons.u406	My hon. Friend makes a good point. One lesson we have learned from around the world, in places such as New York, is that rent controls simply drive down supply. They drive a black market and send rents upwards. Certainly, it is not something that we will be seeing under this Government.
ParlaMint-GB_2015-12-15-commons.u407	rose—
ParlaMint-GB_2015-12-15-commons.u408	I will make a little more progress, and then I will take some more interventions Since 2010, we have helped more than 270,000 households buy a home through Government schemes. We have provided more than 270,000 affordable homes to rent, which went beyond our target, nearly one third of which were in London. We are the first Government since the 1980s to finish a term of office with a higher stock of affordable homes than we started with I gently remind the right hon. Member for Wentworth and Dearne, who has set out his preference for council house building, that twice as many council homes were built in the past five years of our Government than were built during 13 years of the Labour Government. More new council housing was started in London last year than during the whole of the Labour Government, shocking as that may seem. In all, £20 billion was invested over the course of the last Parliament, achieving the same rate of affordable house building with half the rate of grant as under the Labour Government In many ways, that is a clear metaphor for our record on housing: building more for less and doing it faster. We were not afraid of difficult decisions and of doing things differently. That has continued. The right hon. Gentleman mentioned our decision to end lifetime tenancies for new tenants to ensure that we make the best use of social housing based on need and income.
ParlaMint-GB_2015-12-15-commons.u409	When the Minister introduced that amendment to the Housing and Planning Bill, he referred to 380 households that occupy social housing with two or more spare bedrooms, and cited that as a reason for wanting to manage the stock more efficiently and to move people around social housing. Given that the Government are concerned about under-occupation, is it their policy not to allow people who under-occupy properties the right to buy?
ParlaMint-GB_2015-12-15-commons.u410	On lifetime tenancies, it is only right that tenancies are reviewed after several years to identify whether the circumstances of tenants have changed. Through the voluntary extension of right to buy—it will be for housing associations to decide—we want to extend that opportunity to all 1.3 million people.
ParlaMint-GB_2015-12-15-commons.u411	rose—
ParlaMint-GB_2015-12-15-commons.u412	I will give way in just a moment Of course, that move was opposed by the Labour party, which prefers renters to remain renters—
ParlaMint-GB_2015-12-15-commons.u413	rose—
ParlaMint-GB_2015-12-15-commons.u414	Order. Mr Efford, you have to sit back down. The Minister has given way once and he will give way again, but you can’t just stand there—[Interruption.] I am sorry, but you just can’t hang around stood up.
ParlaMint-GB_2015-12-15-commons.u415	On a point of order, Mr Deputy Speaker. I am sorry, but the reason I tried to intervene again is that the Minister, discourteously, completely ignored the point I made, presumably because it was too awkward for him.
