ParlaMint-GB_2015-06-30-commons.u1	1. What steps he is taking to support small and medium-sized businesses to become more competitive.
ParlaMint-GB_2015-06-30-commons.u238	The Minister says that the Government do not want to place unnecessary restrictions on the Scottish Parliament. Which of the amendments that hon. Members have spoken to would do that?
ParlaMint-GB_2015-06-30-commons.u239	I am talking about the definition of a disability benefit, which we want to ensure provides ample flexibility for the Scottish Parliament to legislate for a range of outcomes for people who would not otherwise meet the requirements Amendment 48 relates to carers’ benefits. As with disability benefits, our approach has been to describe the key features of the existing carer’s allowance, but clause 19 will not restrict the Scottish Parliament to following all the detailed features of that allowance. For example, it will not be restricted to making a benefit payment to only one carer in respect of each disabled person. Taken together with existing devolved powers in areas such as social care, the clause will ensure that the Scottish Parliament has powers to set out how support for carers is provided, including the rate at which it is paid and whether it is paid as a benefit or provided in some other way There is also a broad definition of a disabled person in respect of whom a carer’s benefit can be paid. Amendment 48 would extend the Scottish Parliament’s legislative competence still further, allowing it to provide a carer’s benefit to children under 16, people in full-time education or those who are gainfully employed. I will take each category in turn and explain why we do not consider that there is a case for that expansion of competence It is a long-standing principle of the social security system that those under 16 are normally supported not by the benefits system but by guardians, local authorities or parents. With regard to those not gainfully employed, carer’s allowance is designed to recognise those whose opportunities to work are limited because of the time that they dedicate to caring duties. There needs to be a threshold so that we can judge whether a claimant is in employment. The reference to gainful employment provides that threshold Those in full-time education are normally supported not by the benefits system but by the education maintenance system of loans and grants. Clause 19 will allow the Scottish Parliament to decide on the details of who carers’ benefits are paid to, how much is paid and what the eligibility criteria should be. The parameters of the definition of “relevant carer” are appropriate and reflect long-standing principles about the purpose of carers’ benefits.
ParlaMint-GB_2015-06-30-commons.u240	The Minister has explained the restricted definition of carers, but if the Scottish Parliament has full power to set up a new devolved benefit on top of a reserved benefit, why should it not be up to the Scottish Parliament to decide on its own definition of carers? That should not affect the provisions in the Bill.
ParlaMint-GB_2015-06-30-commons.u241	As I have said, the clause will allow the Scottish Parliament to decide on the details of who carers’ benefits are paid to. I want to make progress now, because I need to come to many other points that have been made.
ParlaMint-GB_2015-06-30-commons.u242	Will my right hon. Friend give way?
ParlaMint-GB_2015-06-30-commons.u243	I will briefly give way.
ParlaMint-GB_2015-06-30-commons.u244	I am grateful to the Minister; I think there is some problem with Ministers getting to the House How will the block grant be adjusted to take into account both the extra welfare responsibilities and the extra revenues? That is a rather important point if we are to understand the significance of the clauses on benefits.
ParlaMint-GB_2015-06-30-commons.u245	That is subject to the discussions taking place on the fiscal framework. Returning to carers, we recognise and appreciate, as everybody in the House will, the contribution of informal carers, who provide tremendous support to parents and other family members Amendment 115 relates to the powers being devolved on the provision of the regulated social fund. Clause 20 will give the Scottish Parliament legislative competence over support currently provided through a number of reserved benefits such as funeral payments and maternity grants, which some Members have briefly touched on today. As with our approach to disability benefits and carers’ benefits, the clause devolves not simply the existing benefits but the subject matter of them. That will give the Scottish Parliament wide-ranging powers to make its own provision for the areas in question I wish to respond briefly to Members’ points about amendments 132 and 117—the hon. Member for Nottingham North (Mr Allen), who is no longer in his place, spoke to the former. The Government have made significant changes to the clauses on discretionary payments since they were first published in draft in January, having listened to the views of the Scottish Government, the Scottish Parliament and key stakeholders. The Bill now includes new top-up provisions in clause 21, and we have removed some provisions on discretionary housing payments that people felt would unnecessarily constrain the powers being devolved. Together, clauses 21 to 23 will give the Scottish Parliament significant powers to legislate for discretionary payments to people in Scotland, whether by topping up a reserved benefit or by providing assistance to meet short-term needs. The Scottish Government will be able to provide people with money additional to that provided by the UK Government Some Members mentioned welfare reforms and tax credits. I should point out that my right hon. Friend the Chancellor will bring his Budget to the House next week, when further measures will be highlighted. The hon. Member for Banff and Buchan mentioned the letter in today’s Herald and spoke about children, and I want to put it on the record that the proportion of children in poverty is at its lowest level since the mid-1980s There has been some discussion of welfare reform. The Government are absolutely committed not just to reforming welfare but to supporting families into work. The best route out of poverty is work, and I make no apology for all our efforts to raise incomes by expanding employment opportunities. We will of course have a debate about employment opportunities in a later group of amendments this afternoon, and because we are short of time I will not touch on that subject now Members mentioned sanctions and conditionality. Conditionality is an important feature of our welfare system, and I note that both the Labour party and the Scottish National party have always stated that they agree that there should be conditionality in the system. I put it on the record again that there has been an independent review of sanctions, the Oakley review. The Government have accepted all the recommendations highlighted in it and have already implemented a number of provisions, including improvements to the hardship payments process.
ParlaMint-GB_2015-06-30-commons.u246	The Minister is right that the Oakley report made a number of recommendations about process, but Oakley was not asked to address the real concerns of the Select Committee on Work and Pensions, which were about whether sanctions were being applied fairly and proportionately. What can the Minister say in response to the Select Committee’s recommendations on the problems with the substance of how sanctions are operated?
ParlaMint-GB_2015-06-30-commons.u247	I am aware of the Select Committee’s report, and the Department will put its views on the record. I urge Members, particularly SNP Members, who have previously mentioned sanctions cases in the House, to write to me directly with specific cases and the points that they wish to make.
ParlaMint-GB_2015-06-30-commons.u248	rose—
ParlaMint-GB_2015-06-30-commons.u249	I will not give way, because we are running out of time Members mentioned clause 23, on discretionary payments. I assure the Committee that the clause will not limit the Scottish Parliament’s existing competence and will not prevent the making of discretionary payments to people in families under exceptional pressure Finally, I turn to new clause 31, which would insert a new exception into the social security reservation in the Scotland Act 1998, giving the Scottish Parliament the power to create new benefits. As set out on Second Reading and in our discussions with the Scottish Government, the Government agree with the principle in the Smith commission agreement that the Scottish Parliament should be able to create new benefits.
ParlaMint-GB_2015-06-30-commons.u250	Will the Minister give way?
ParlaMint-GB_2015-06-30-commons.u251	No. I have taken interventions and I want to make my point. Time is running out.
ParlaMint-GB_2015-06-30-commons.u252	On a point of order, Mr Crausby. The Minister has repeatedly said that she cannot respond to the House because time is short. We have until 7 o’clock.
ParlaMint-GB_2015-06-30-commons.u253	For the record, let me say that we have other groups of amendments to discuss this afternoon. I will happily have that discussion and I will come on to some of those other points in later discussions. There is no excuse Perhaps I may continue. We believe that the Scottish Parliament can already create new benefits under either existing powers or those devolved by the Bill. The Smith commission was clear about which welfare powers were to be devolved to the Scottish Parliament, and the Bill delivers those powers in a way that allows that Parliament to replace the benefits and payments for which powers are being devolved On areas of devolved responsibility outside welfare, we believe that the Scottish Parliament has the powers to provide financial assistance to people in devolved areas—it currently does so in some areas already. We do not consider that the social security reservation prevents the Scottish Parliament from providing such financial assistance. The proposed new exception would give the Scottish Parliament competence to legislate to create new benefits in any area other than those where reserved powers existed on 28 May 2015—the date on which the Bill was introduced. That would flip the social security reservation on its head. As such, that would not provide a new power to create benefits in areas of devolved responsibility; rather, it would devolve further areas of responsibility to the Scottish Parliament, which is not what the Smith commission agreement called for Undermining the social security reservation in that way would simply limit the freedom of the UK Parliament when introducing new welfare benefits, or making changes to existing reserved benefits in the future. We will discuss many other clauses and groups of amendments this afternoon, and I will happily cover some of those points in those discussions. At this stage, however, I urge hon. Members to withdraw their amendments.
ParlaMint-GB_2015-06-30-commons.u254	I appreciate that the Minister has come to the Dispatch Box to respond to the amendments, but I am slightly disappointed that she has used the excuse of restricted time; we have another five hours left and only two more groups of amendments. As I said at the end of my initial contribution, if the Government are to accept any amendments at all it would be useful for them to accept new clause 31, as that would give the Scottish Parliament power to establish any new benefit in a devolved area and top up any benefit in the reserved area. That would give it a wide-ranging power to design a system of welfare in Scotland that fits the needs of the Scottish people, which is incredibly important. I will push new clause 31 to the vote later today, but in the meantime I will push amendments 128 and 48 to the vote Question put, That the amendment be made.
ParlaMint-GB_2015-06-30-commons.u255	I beg to move amendment 118, page 26, line 20, leave out from “unless” to end of line 25 and insert “they have consulted the Secretary of State” This amendment would remove the requirement for the Scottish Government to obtain consent from a UK Secretary of State in relation to Universal Credit and the costs of claimants who rent accommodation.
ParlaMint-GB_2015-06-30-commons.u256	With this it will be convenient to discuss the following: Amendment 5, page 26, line 23, leave out paragraph (b) and insert— “(b) they have consulted the Secretary of State as to when any change made by the regulations is to start to have effect.’ Clause 24 stand part Amendment 119, in clause 25, page 26, line 45, leave out from “unless” to end of line 5 on page 27 and insert “they have consulted the Secretary of State” This amendment would remove the requirement for the Scottish Government to obtain consent from a UK Secretary of State in relation to persons to whom, and time when, Universal Credit is paid. Amendment 7, page 27, line 1, after second “of”, insert “the delivery mechanism for” Amendment 6, page 27, line 3, leave out paragraph (b) and insert— “(b) they have consulted the Secretary of State as to when any change made by the regulations is to start to have effect.’ Clause 25 stand part New clause 28—Housing benefit— In Section F1 of Part 2 of Schedule 5 to the Scotland Act 1998, in the Exceptions, after exception 8 (see section 23 above) insert— “Exception 9 Housing benefit.”” This New Clause provides for the full devolution of Housing Benefit, allowing Scottish Ministers to abolish the Spare Room Subsidy in Scotland, and to provide £1.8 billion of investment in housing in Scotland. New clause 39—National Insurance— ‘(1) Section F1 of Schedule 5 to the Scotland Act 1998 is amended as follows (2) In the illustrations, omit “National Insurance;” (3) In the exceptions, at the beginning insert— “National Insurance.” This new clause would devolve National Insurance to the Scottish Parliament New clause 40—National Insurance: employers’ contributions— ‘(1) Section F1 of Schedule 5 to the Scotland Act 1998 is amended as follows (2) In the illustrations, omit “National Insurance;” (3) In the Exceptions, after exception 11 (see section (Benefits relating to children)) insert— “Exception 12 National Insurance so far as relating to contributions payable by employers.”” This new clause would devolve employers’ National Insurance contributions to the Scottish Parliament. New clause 44—Working age benefits— In Section F1 of Part 2 of Schedule 5 to the Scotland Act 1998, in the Exceptions, after exception 9 (see section 23A above) insert— “Exception 10 Benefits entitlement to which, or the purposes of which, are the same as or similar to those of any of the following benefits— (a) universal credit under Part 1 of the Welfare Reform Act 2012, (b) jobseeker’s allowance (whether contributions-based or income-based) under the Jobseekers Act 1995, (c) employment and support allowance (whether contributory or income-related) under Part 1 of the Welfare Reform Act 2007, (d) income support under section 124 of the Social Security and Benefits Act 1992, (e) housing benefit under section 130 of that Act, (f) child tax credit and working tax credit under the Tax Credits Act 2002 The benefits referred to in paragraphs (a) to (f) above are— (a) in the case of income-based jobseeker’s allowance and income-related employment support allowance, those benefits as they existed on 28 April 2013 (the day before their abolition), (b) in the case of the other benefits, those benefits as they existed on 28 May 2015 (the date of introduction into Parliament of the Bill for the Scotland Act 2015).” This new clause would devolve working age benefits to the Scottish Parliament. New clause 45—Universal credit: powers to vary other elements— ‘(1) A function of making regulations to which this section applies, so far as it is exercisable by the Secretary of State in or as regards Scotland, is exercisable by the Scottish Ministers concurrently with the Secretary of State (2) This section applies to— (a) regulations under section 8(3)(a) of the Welfare Reform Act 2012 (amount in respect of earned income) so far relating to the work allowance (that is, the amount of a claimant’s earned income that is to be disregarded in calculating the amounts to be deducted from the maximum amount in accordance with section 8(3) of that Act), (b) regulations under section 10 of that Act (amount in respect of responsibility for children and young persons), (c) regulations under section 12 of that Act (amounts in respect of other particular needs or circumstances) so far as relating to— (i) the needs or circumstances referred to in subsection (2)(c) of that section (caring responsibilities for a severely disabled person), or (ii) needs or circumstances of a claimant in paid work relating to childcare costs, (d) regulations under any of sections 14 to 22, 24 and 25 of that Act (work-related requirements), and (e) regulations under any of sections 26 to 28 of that Act (sanctions) (3) The Scottish Ministers may not exercise the function of making regulations to which this section applies unless they have consulted the Secretary of State (4) The Secretary of State may not exercise the function of making regulations to which this section applies in or as regards Scotland unless he or she has consulted the Scottish Ministers (5) Where regulations are made by the Scottish Ministers by virtue of subsection (1)— (a) section 43 of the Welfare Reform Act 2012 (regulations: procedure) does not apply, and (b) the regulations are subject to the negative procedure (see Part 2 of the Interpretation and Legislative Reform (Scotland) Act 2010).” This new clause would give the Scottish Parliament greater flexibility to make changes in Universal Credit. New clause 46—Benefits relating to children— In Section F1 of Part 2 of Schedule 5 to the Scotland Act 1998, in the Exceptions, after exception 10 (see section (Working age benefits) above) insert— “Exception 11 Benefits entitlement to which, or the purposes of which, are the same as or similar to those of any of the following benefits— (a) guardian’s allowance under section 77 of the Social Security Contributions and Benefits Act 1992, (b) child benefit under Part 9 of that Act The benefits referred to in paragraphs (a) and (b) are those benefits as they existed on 28 May 2015 (the date of introduction into Parliament of the Bill for the Scotland Act 2015).” This new clause would devolve benefits relating to children to the Scottish Parliament. New clause 53—Childcare element of universal credit— In Section F1 of Part 2 of Schedule 5 to the Scotland Act 1998, in Exceptions, after exception 6 (see section 22 above) insert— “Exception 7 The subject-matter of regulations 31 to 34 of the Universal Credit Regulations 2013.”” This will allow the Scottish Government to help parents and families in Scotland by devolving to the Scottish Parliament control over, and the power to vary, the childcare element of Universal Credit. New clause 55—Social security— In Part 2 of Schedule 5 to the Scotland Act 1998, leave out Head F (Social security).” This new Clause would remove from the list of reserved matters in the 1998 Act (and so transfer to the Scottish Parliament) all social security schemes, including National Insurance and housing benefit, as well as child support, occupational and personal pensions and war pensions.
ParlaMint-GB_2015-06-30-commons.u257	I am pleased to move amendment 118 and to speak to our amendment 119 and new clauses 40, 44, 45 and 46, all of which relate to universal credit and further powers over social security Throughout the debates on the Scotland Bill, its failure to enact properly the recommendations of the Smith commission has been the key point of contention, and I am conscious that these shortcomings are nowhere more acutely evident than in this part of the Bill. The Smith agreement was crystal clear in paragraphs 43 to 48 that, although universal credit was to remain a reserved benefit, the Scottish Parliament should have specific powers and responsibilities, most notably the “power to change the frequency of UC payments, vary the existing plans for single household payments, and pay landlords direct for housing costs in Scotland.” It also states: “The Scottish Parliament will have the power to vary the housing cost elements of UC, including varying the under-occupancy charge and local housing allowance rates, eligible rent, and deductions for non-dependants.” The dispute over whether the Bill delivers on the Smith agreement was well aired on Second Reading. Amendment 118, which I intend to push to a vote, and amendment 119 would put the issue to bed. They would remove from the Bill the requirement for the Scottish Government to obtain consent from a UK Secretary of State in relation to universal credit before exercising the new powers. New clause 44 would devolve all working-age benefits to the Scottish Parliament. New clause 45 would broaden the Scottish Parliament’s administrative flexibilities over universal credit. New clause 46 would devolve child benefit and responsibility for the conditionality and sanctions regime. It is important that the House understands how the dispute is perceived in Scotland by elected parliamentarians and wider civil society. The Scottish Parliament’s cross-party Devolution (Further Powers) Committee, which considered the Bill, did not mince its words. In paragraph 318 of its interim report, it expressed concerns about a number of the welfare provisions. It states that “the relevant clauses do not yet meet the spirit and substance of the Smith Commission‘s recommendations and potentially pose challenges in any attempt to implement them.” I hope Conservative Members realise that this was the view shared by their Conservative colleagues in the Scottish Parliament, who were properly represented on that committee The committee suggested that this issue and the form of words should be resolved between the two Governments before the Bill’s introduction, but that has not happened. The Scottish Government made proposals to the UK Government for alternative approaches to ensure effective intergovernmental working, but there has been no progress, and consequently this aspect of the Bill has not changed. It is therefore very important that we address the matter today, and that is what our amendments seek to do A number of key stakeholder organisations in Scotland have been outspoken in setting out their concerns about the current wording of the Bill and have helped to highlight exactly why we need those powers in Scotland and what we could do with them. The Wise Group, for example, has argued: “The power to split Universal Credit payments within households, to increase the frequency of payments and to make housing element payments direct to landlords will allow the flexibility in benefit payments to fit with the needs of some of the most vulnerable groups in society.” The Poverty Alliance has expressed disappointment over what it says is “ultimately a veto given to the Secretary of State over any future changes to the devolved elements of Universal Credit by the Scottish Government.” Inclusion Scotland has pointed out that the Bill, as it stands, could result in delays to the implementation of mitigation policies agreed by the Scottish Parliament. It also says that that “may not be consistent with the spirit of the Smith Commission which implies that the devolved welfare powers can be exercised without the need to obtain prior permission from the DWP.”
ParlaMint-GB_2015-06-30-commons.u258	I am paying close attention to the hon. Lady’s remarks. If, as the previous Government did, we start to rein back tax credits, which were effectively a sop to employers allowing them to pay lower wages and thereby depressed the wage market, employers would be forced in the court of public opinion to pay more. In that way, could we not solve the problem, but on the employers’ side of the argument rather than the taxpayers’?
ParlaMint-GB_2015-06-30-commons.u259	If the hon. Gentleman is proposing that we start paying people a living wage and ensuring that people can actually live on the minimum wage, I could not agree with him more. Fundamentally, until we have living wages, those in low and middle-income families will always live below the breadline and struggle to make ends meet Those 12 organisations posed a fundamental challenge. As we begin defining the shape of Scotland’s social security system, we need to understand how high the stakes are for people who have been struggling for years and seeing their incomes reduce in real terms.
ParlaMint-GB_2015-06-30-commons.u260	I am impressed by the hon. Lady’s speech and am obviously listening to it intently, but is it true that the SNP five times voted against making the living wage a requirement in public procurement legislation?
ParlaMint-GB_2015-06-30-commons.u261	The hon. Lady is mistaken. The procurement legislation was hampered by EU legislation. In recent public sector contracts, however, the Scottish Government have started to integrate living wage requirements from the outset. In fact, all the people for whom the Scottish Government are now responsible are on a living wage. There remain many challenges with contracted-out services, particularly at local authority level, but we are trying hard to move towards a living wage in all parts of the public sector. In recent months, we have also made real progress in making sure that private sector employers move towards a living wage. After all, most low-paid jobs are found in the private sector. We need the power to raise the minimum wage to a living wage. When people on low incomes have money in their pockets, they spend it, thereby boosting and strengthening the economy and creating jobs. We saw that when the minimum wage was introduced It is incumbent on everyone in the House to listen to the voices of people in Scotland who have put their heads above the parapet on this issue, because they are some of Scotland’s largest and most influential civil society organisations: Citizens Advice Scotland, Barnardo’s Scotland, the Child Poverty Action Group Scotland, the Church of Scotland, Inclusion Scotland, One Parent Families Scotland, Oxfam Scotland, the Poverty Alliance, the Scottish Council for Voluntary Organisations, Shelter Scotland, the Scottish Federation of Housing Associations, the Trussell Trust and last, but by no means least, the Scottish Trades Union Congress. The veto in the Scotland Bill is a barrier to responsive and responsible governance in Scotland.
ParlaMint-GB_2015-06-30-commons.u262	If the Scottish Government did have wider-ranging powers on welfare, as the hon. Lady would like, by how much would they need to put up benefits compared with UK levels to tackle the problems she has identified?
ParlaMint-GB_2015-06-30-commons.u263	The right hon. Gentleman raises an interesting point. It is worth pointing out that, over the past five years, Scotland has spent a lower proportion of its GDP on pensions and benefits than the UK as a whole. The question of what a social security system can afford is dependent on the success of the economy. That is why our amendments are all designed to bring into the ambit of the Scottish Government and the Scottish Parliament those powers that would enable us to grow our economy, run it more effectively and join up the existing devolved powers with the new powers that we propose. Frankly, getting powers over work and powers over benefits covered by universal credit is extremely important. The other really important point is that we protect the most disadvantaged people in our society from the onslaught of Tory cuts. Again and again, the people of Scotland have made it clear that they want an alternative to this austerity regime—and that is what we want to be in a position to deliver The Deputy First Minister, John Swinney has pointed out that it is not difficult to foresee that what might appear to be pretty innocuous requirements to consult the Secretary of State and secure his or her agreement could be translated into what is essentially a blocking power. All sorts of excuses could be used to prevent something from happening. As the Deputy First Minister put it, if the Secretary of State has a “reasonable explanation” for why he is acting in such a way, that passes the test as it currently exists in clause 24. In practice, the Bill gives the UK Government the ability to veto decisions made by the Scottish Government and Scottish Parliament. This is not a hypothetical scenario. The Deputy First Minister has pointed out how he spent two years trying to make progress on the block grant adjustment, and was stalled and delayed with more analysis at every turn by the UK Government For me, no issue illustrates the shortcomings of the Scotland Bill better than the restrictions it would place on the power of the Scottish Parliament to abolish the bedroom tax. As the Secretary of State knows only too well, this has been an issue close to my heart over the last few years, because of its punitive impact on disabled people in Scotland, its gross unfairness and the enormous pressure it puts on councils and other social housing providers. In Scotland, 80% of people affected by the bedroom tax are in homes with a disabled adult, and there is a chronic mismatch between the house size requirements of tenants and the available housing stock. Back in April 2013, I led one of the SNP’s very few Opposition day debates here in this Chamber during the previous Parliament on that very topic, and the Secretary of State knows that I questioned him on several occasions about the failure of the policy and its deep unpopularity right across the country The Scottish Government have mitigated the impact of the bedroom tax by providing discretionary housing payments to everyone affected, but it is important to recognise that we still cannot abolish that legislation, which remains on the statute book. Moreover, the money to mitigate its worst side-effects has had to be found from other devolved policy budgets—and, crucially, the legal liability remains with tenants. It is far from an ideal solution. In order to mitigate the bedroom tax by lifting the cap on discretionary housing payments, the Scottish Government first had to secure the permission of the UK Government, and the protracted and frustrating process they encountered in attempting to secure that permission illustrates, I think perfectly, why we need to lift this veto. It shows how a need for permission can be drawn out for months at a time.
ParlaMint-GB_2015-06-30-commons.u264	I am familiar with the hon. Lady’s point on this issue, but even the First Minister acknowledges that the point from which a request was made to increase the cap, to the legislation reaching the Privy Council, was achieved at a record rate—and it was achieved by the two Governments working very closely together, which can be done on so many occasions.
ParlaMint-GB_2015-06-30-commons.u265	The Secretary of State and I have a different perception of time frames and what they mean to people living on limited incomes. When the Scottish Government sought permission to raise the cap on DHPs, the UK Government used exactly the kind of blocking and delaying tactics that will be left open under the Scotland Bill. These are not theoretical, worst-case scenarios. I would like to refresh the Secretary of State’s memory, as it was early in 2014 when the Scottish Government first sought the UK Government’s permission to lift the cap on DHPs, and I raised the issue on more than one occasion in this Chamber subsequently. In fact, it took until May last year for the Government to grant permission—for something that could have been done overnight. Most of the public organisations I deal with in my capacity as an MP have a 21-day turnaround, yet the Government take months at a time. That is an awful long time for someone living on their uppers and struggling with their income.
ParlaMint-GB_2015-06-30-commons.u266	My hon. Friend is making a fantastic speech. Is it not amazing to hear the nanny-esque statements coming from the Conservative Front-Bench team about the Government giving the Parliament permission? That is the sort of thing that they would not tolerate themselves if the European Commission, the French or the German Government were involved, but they expect the Scottish Government to come cap in hand to Westminster when all they want is to do the decent thing for people. It is ridiculous.
ParlaMint-GB_2015-06-30-commons.u267	My hon. Friend makes a very pertinent point. During the intervening months between the simple request and getting the permission we needed, some of our most disadvantaged citizens continued to accrue rent arrears or had to do without essentials in order to meet their liabilities. That is just one concrete example of how restrictions of this type currently act as a stalling mechanism and a barrier to progressive change, and they demonstrate why we need to get rid of the veto Other examples of things we could do with these provisions include the power to maintain direct payments of housing benefit to social landlords—something that I think is in everybody’s interests—and the power to ensure that under universal credit claimants can receive individual payments, which potentially benefits women and children and protects their interests. Then there is the power to equalise the earnings disregard between the first and second earners in a household. Again, given the persistent pay gap in Scotland between women and men, that measure could predominantly benefit up to 70,000 women by up to £1,200 a year. By contrast, if we leave the Bill unamended, we curtail the powers of the Scottish Parliament to enact policies that are overwhelmingly in the interests of our citizens and are supported by them. We risk seeing such measures batted off into the long grass We also store up trouble down the line. It is fair to say that the Secretary of State got himself in a richt kirn earlier this month on the “Scotland 2015” programme when he was asked directly about the veto. When the presenter put it to him that “it could be used to block if there was a political will to do that because who would decide if the Secretary of State was unreasonably withholding consent?”, the Secretary of State said: “Well, I would hope that it would never come to that, but because it’s on the face of the legislation ultimately it might be the courts that would decide.” I fear that the Secretary of State has let the cat out of the bag; I suspect he was a lot more candid than he intended to be. I think we can infer from that very revealing remark that he knows that, in practice, this Bill’s measures will act as a veto on the Scottish Parliament—pure and simple. I put it to the Committee that if the Scottish Parliament has to go to court to enforce the powers devolved in the Bill, it is not worth the paper it is written on.
ParlaMint-GB_2015-06-30-commons.u268	Does the hon. Lady accept that there is a potential constitutional point, too, in that what is being suggested is, in effect, a breach of the Sewel convention, whereby power is given with one hand, but is possibly taken away with the other?
ParlaMint-GB_2015-06-30-commons.u269	That is an astute point. It shows that if we get ourselves into a muddle with the legislation and it is just a kirn, we are storing up trouble down the line. The legislation has to be future-proof as well as present-proof. We must prepare for every eventuality We can dance around the semantics of the current wording of the Bill all afternoon, but if Scottish Ministers have to obtain the agreement from UK Ministers on when their measures are to take effect, that is, in effect, handing the UK the ability to block or delay the implementation of policy, frustrating the legitimate democratic process and contravening both the letter and the spirit of the Smith agreement. If the Government have to go to court to enforce these measures, it should be obvious that they are less than adequate. If the Secretary of State still maintains there is no veto, I challenge him to accept amendments 118 and 119, which make that explicit and beyond all doubt.
ParlaMint-GB_2015-06-30-commons.u270	rose—
ParlaMint-GB_2015-06-30-commons.u271	I am not giving way, as I am about to wind up my remarks This group of amendments comes down to respect—respect for the promises made to the people of Scotland; respect for our Parliament; respect for the democratic process; and, above all, respect for our citizens and our ability to make decisions in our own interests. That is, after all, what meaningful devolution is really all about.
ParlaMint-GB_2015-06-30-commons.u272	I think that the Committee wants to implement the spirit and the letter of Smith, and I look forward to hearing the Secretary of State’s response to the detailed arguments advanced by the hon. Member for Banff and Buchan (Dr Whiteford). I think, however, that when we are dealing with a matter as potentially wide-ranging as universal credit, we also need to think about the money, and about how far it is possible to operate a very different welfare system in different parts of a country such as the United Kingdom. What we have seen in the unfolding and dreadful Greek crisis is that, if a country belongs to a currency union but has not brought its benefits system into line, and if there is no proper system of sharing revenues and expenditures throughout the eurozone, that becomes extremely damaging, as it has for the poor Greeks.
ParlaMint-GB_2015-06-30-commons.u273	I am sure the right hon. Gentleman is not suggesting that there is an in-line benefits system across Europe. The real problem is austerity. The Greeks were told five years ago that, if they followed austerity measures, their problems would end, but their problems have not ended. They have become worse, because austerity makes things worse. It is nothing to do with welfare; it is to do with austerity.
ParlaMint-GB_2015-06-30-commons.u274	I think that welfare has quite a lot to do with austerity, and I think that we agree. I think that the policies that have been forced on Greece have been too austere. It is quite wrong to make the Greeks cut public spending when they cannot expand their money supply, expand credit or expand the private sector to create the jobs that they clearly need to create in order to make some success out of the cuts imposed on the public sector When, after 2010, we conducted policy as a coalition to bring about recovery in Britain—including Scotland—it worked very well, and it was private sector led. We were able to do that because we had a full range of powers over interest rates, money creation, credit and banking, which a nation that has joined a currency union does not have. That is the Greek tragedy. The Greeks are able to carry out only the public sector part of the EU fix, which is the bit that is austere. They are not able to carry out the private sector-led recovery Of course, we are not here to talk about Greece; we are here to talk about our currency union. However, I wanted to make that point because, whereas Greece is having to move away from a position in which it shared only currency and is now discovering that it needs to share a great many other policies with the European Union in order to achieve success, in Scotland things are going in the opposite direction We have a currency union—a perfectly good currency union, which is supported on all sides. I believe that Members of the SNP are great fans of the currency union and do not wish Scotland to have an independent currency, but they need to consider this: if they do not want proper independence in the sense of having their own currency, and if the currency is to work in the way in which it has worked in the past, there will have to be some basic standards of welfare that are common across the country, and there will have to be agreed systems of transferring money from rich areas to poor ones. There are rich towns and cities in both Scotland and in England. The rule of our system is that those in areas of high income or relative success pay more tax, and those in, say, towns or counties with a lot of poverty benefit from big transfers.
ParlaMint-GB_2015-06-30-commons.u275	I almost feel sorry for interrupting the right hon. Gentleman when he is advancing a good argument for the redistribution of wealth through taxation, and has also admitted that austerity is not a good idea. However, I think that the mention of Greece is erroneous. If we are talking about an optimal currency zone, a better parallel would be Germany and the Netherlands. The independence that those countries have from each other is welcomed by SNP Members. I hope that the right hon. Gentleman will go a little further than the enlightened remarks that he has made so far, and will agree with us that Scotland and England should be as independent from each other as Germany and the Netherlands.
ParlaMint-GB_2015-06-30-commons.u276	I am not prepared to go that far. I think that there can be problems in the euro currency zone between Germany and the Netherlands, because they do not have the full range of common policies that they may need. At present, it appears that the Dutch and German economies are sufficiently synchronised for the arrangement not to cause problems in the Netherlands, but that is clearly not true of Portugal, Spain, Ireland or Greece. The fact that there are more countries that it does not fit than countries that it does fit implies that there is something wrong with the fundamental architecture of the euro. That is why I am anxious for us to bear it in mind, when we are debating the issue of how much welfare discretion there should be, that a common welfare system is normally one of the characteristics of successful currency unions Yes, I do believe in redistribution. We all believe in redistribution. We believe that, in a civilised country such as ours, we should tax the rich more and give money to those who need support. We have arguments about how much the amounts should be and about the conditions, but we all believe in transfers, and we all believe that the balance must be right When I asked the hon. Member for Banff and Buchan to say how much more an enlightened Scottish Government would like to give, by means of welfare payments, to tackle immediate problems of low income or poverty, she was not able to tell me. That was a pity, because I took it that her intention, and the purpose of the amendments, was to give the Scottish Executive power to increase benefit levels in comparison with the levels, or the range, of benefits currently on offer in the Union. I did not think that SNP Members were seeking these powers in order to be meaner than the Union Government are proposing to be, and I see them consenting to that. I feel that this debate would be richer and fuller if they shared with us the amount of extra money that they would like to spend.
ParlaMint-GB_2015-06-30-commons.u277	Surely the point is that it is for the Scottish Government, whatever their colour, to decide how they want to use the powers. Perhaps one day a Government of the right hon. Gentleman’s colour will be using them. However, no Government would be able to use any powers that had been vetoed by the Secretary of State.
