ParlaMint-GB_2015-12-14-commons.u1	1. What support his Department is providing to the northern powerhouse initiative.
ParlaMint-GB_2015-12-14-commons.u351	One of the people who served on the Airports Commission was a member of the Committee on Climate Change, Dame Julia King, who has since been ennobled, so we and the Davies commission took that matter into account. There have obviously been further developments since then, such as the Volkswagen scandal. As the Environmental Audit Committee said, it is right that we should judge our response based on the new information that has become available. Sir Howard Davies also said that in his evidence to that Committee, and I want that to be done. As I have said, I still believe that we can deliver on the 2030 timetable set out in the commission’s report.
ParlaMint-GB_2015-12-14-commons.u352	Does my right hon. Friend agree that the decision is important for our regional airports, such as Birmingham International airport, which I recently visited to see its increased capacity and success? Will he acknowledge that we may see a second runway in Birmingham in the future, along with High Speed 2?
ParlaMint-GB_2015-12-14-commons.u353	My hon. Friend never misses an opportunity to promote Birmingham airport. The only thing I slightly disagree with her about is that I do not regard airports such as Birmingham, Manchester, Newcastle, East Midlands, Glasgow and Edinburgh as regional airports.
ParlaMint-GB_2015-12-14-commons.u354	I thank my right hon. Friend for confirming that the Government will not outsource key policy decisions to unelected commissions and will not be rushed into making a decision about a runway that will not be operational until 2030. Will he confirm that if the third runway is still to be considered, it will only be with the three caveats that Davies placed on it, about a fourth runway, night flights and meeting EU air quality limits?
ParlaMint-GB_2015-12-14-commons.u355	My hon. Friend is absolutely right, in that whatever decision is finally taken—three options are still being discussed—we must get the best mitigation deals possible for the people affected. The three points he mentioned would certainly be important considerations in any decision, including if the decision should be taken for Heathrow. As I say, we are looking at three options.
ParlaMint-GB_2015-12-14-commons.u356	The Government seem to have one of two positions, and I would be interested to understand which one it is. Either we have accepted the Davies commission, subject to sorting out these environmental issues, and therefore we will go down that route if we are able, or we have now decided that there are three equal options and we are looking at all three from scratch. Which of the two routes are we going to go down?
ParlaMint-GB_2015-12-14-commons.u357	We have accepted the Davies report on the need for capacity by 2030 and the three options, and it is those three options that we are looking at. I know the Davies commission supported one in particular, but the Government have to look at all three of the options available.
ParlaMint-GB_2015-12-14-commons.u358	In the Secretary of State’s defence, we have not built a full runway in the south-east of England since 1946 and so I am not sure whether another six months will make so much difference—so long as he does make the decision in the summer of 2016. When he decides, will he make his decision in the interests of the whole country, including the 9.5 million residents of the midlands, whom he and I represent, and not just in the interests of the denizens of west London?
ParlaMint-GB_2015-12-14-commons.u359	If one looks as the record of this Government, one sees that we have always acted in the national interest. We have done that on extra railway capacity and we are going to do it on the other big infrastructure investment proposals. They are always controversial and it is right, in this day and age, that we take every measure we can to mitigate the environmental impacts of any decisions we take.
ParlaMint-GB_2015-12-14-commons.u360	Job prospects in the south-west and in the rest of the country outside the south-east would clearly be best enhanced by an expansion at Heathrow, but it needs to be legally secure. Does my right hon. Friend agree that sometimes it is best to have a thorough look at these things and that a stitch in time might in this case save nine?
ParlaMint-GB_2015-12-14-commons.u361	I am grateful to my hon. Friend for that. One thing I have learned from taking through some of the big infrastructure projects that I have been responsible for is that it is right to make sure we can prove on all the possible challenges we will face that we have done the right amount of work in preparation for whatever decisions we put before the House.
ParlaMint-GB_2015-12-14-commons.u362	What drives air quality is car emissions. Heathrow has far superior and far more rapid public transport links, including four rail links. Gatwick has the one rail link, which, as the Secretary of State is well aware, is not the best one in the country. Will he assure us that in any analysis of air quality, a full understanding will be taken of the impact of the extra car journeys that would inevitably result from the vast increase in passengers and from the employees required, none of whom would be local, were Gatwick to be chosen as the option?
ParlaMint-GB_2015-12-14-commons.u363	Those are all points that have to be put forward and addressed in the work that we are going to do in the coming months on air quality. As I say, a lot of this work has been covered by Davies, but a lot more is still to be done. My hon. Friend is right to show his concern and also to point out that there is no easy or straightforward answer on aviation capacity. We must also accept that aviation is a very important industry for this country, employing many thousands of people, including right across the supply chain and the delivery chain. On that basis, I hope that he will accept my assurances.
ParlaMint-GB_2015-12-14-commons.u364	On a point of order, Madam Deputy Speaker. I think you were in the Chair when the hon. Member for Blackley and Broughton (Graham Stringer) accused my hon. Friend the Member for Richmond Park (Zac Goldsmith), who has sat quietly and respectfully throughout this exchange, of not being in his place. Although my hon. Friend is completely wrong on absolutely everything to do with runways, it is extremely unfair to his constituents and to his future supporters in the mayoral election that they should think he was not here for the whole of the time that this statement took place.
ParlaMint-GB_2015-12-14-commons.u365	I thank the right hon. Gentleman for that point of order. I thought it was very clear from the response given from the Government Benches that the hon. Member for Richmond Park was indeed here and had been here throughout. That was the case even at the time the point was made, but the right hon. Gentleman has made it once again and it is now firmly on the record.
ParlaMint-GB_2015-12-14-commons.u366	Further to that point of order, Madam Deputy Speaker. I would, however, like to point out that at the point the Secretary of State started his statement the hon. Member for Richmond Park was not in his place.
ParlaMint-GB_2015-12-14-commons.u367	I was not in the Chair when that happened, but that is now also on the record.
ParlaMint-GB_2015-12-14-commons.u368	On a point of order, Madam Deputy Speaker. It was with complete horror that I read in the papers yesterday allegations that a British official was present in January 2002 when Shaker Aamer was tortured and that further officials arrived at Bagram airbase on the same plane as the then Prime Minister. Such serious accusations of a UK Government being complicit in torture not only bring disrepute on this institution, but cause grave concern about the UK Government’s record on upholding the universal declaration of human rights and on honouring the historic values of the right to a fair trial. I am looking for the Government to make an urgent statement on this matter and am calling on the Prime Minister to honour his words from 2010, when he said: “For public confidence, and for independence from Parliament, party and Government, it is right to have a judge-led inquiry” He also said: “That is what we need to get to the bottom of the case. The fact that it is led by a judge will help ensure that we get it done properly.”—[Official Report, 6 July 2010; Vol. 513, c. 180.]
ParlaMint-GB_2015-12-14-commons.u369	I thank the hon. Lady for her point of order and for the notice she gave the Chair about it. This is obviously not a matter for the Chair, but, as she can see, a Foreign Office Minister is on the Treasury Bench, he will have heard what she has said and I am sure he will respond in due course.
ParlaMint-GB_2015-12-14-commons.u370	With this it will be convenient to discuss clause 2.
ParlaMint-GB_2015-12-14-commons.u371	Clause 1 provides for approval by Parliament of two draft EU legislative measures, as required under section 8 of the European Union Act 2011. Such approval is needed because both measures are made under article 352 of the treaty on the functioning of the European Union. Section 8 of the Act does provide for exemptions, in order to avoid the requirement for an Act of Parliament, but the measures here do not fall within any of the exempt purposes Clause 2 concerns the territorial extent of the Bill, its commencement date and short title. Subsection (1) 2 provides that the Bill extends to the whole of the United Kingdom. Subsection (2) provides that the Bill will come into force on the day that it receives Royal Assent. Subsection (3) provides for the Bill’s short title. I ask hon. Members to agree to clauses 1 and 2 standing part of the Bill Question put and agreed to. Clause 1 accordingly ordered to stand part of the Bill. Clause 2 ordered to stand part of the Bill. The Deputy Speaker resumed the Chair. Bill reported, without amendment. Third Reading
ParlaMint-GB_2015-12-14-commons.u372	I beg to move, That the Bill be now read the Third time The brief explanation that accompanied the clause stand parts in the Committee stage covered all the points that need to be made about the content of this very short Bill and the reason it is required. Obviously, we covered some of the points on Second Reading. It is fair to say that our debates on this Bill have covered the two clauses sufficiently. Perhaps it is worth reflecting on the fact that the Bill before us forms part of the ability of Parliament to examine and give clearance through the much broader protection and oversight that the European Union Act 2011 affords us. Bills such as this give another layer of protection in dealing with European Union legislation.
ParlaMint-GB_2015-12-14-commons.u373	As my right hon. Friend rightly says, the only concern is why such trivial matters are being dealt with by way of an Act of Parliament. Does she agree that, while these might be trivial matters and while the public might be concerned that they are being dealt with by way of an Act of Parliament, the public will be equally concerned that major matters such as perhaps the accession of Turkey to the European Union will go through exactly the same procedure?
ParlaMint-GB_2015-12-14-commons.u374	I thank my hon. Friend for his remarks. It is fair to say that, when it comes to debating such matters, I would not use the term “trivial”. The European Union covers not just that particular area, but other aspects, such as the accession of Turkey to the European Union. There will be debates on that matter and engagement with the European Scrutiny Committee. I am delighted to see the Chair of the European Scrutiny Committee in his place this afternoon I was very clear on Second Reading that there were concerns over what this legislation meant—whether it was burdensome and whether there were costs to the taxpayer. I use Third Reading to emphasise again that there are no burdens of administration or extra costs to the taxpayer. The Bill covers two clauses, one of which relates to the tripartite social summit, the other to the participation as an observer of the former Yugoslav Republic of Macedonia in the work of the European Union Agency for Fundamental Rights. They are two very straightforward clauses in a very straightforward Bill. On that basis, I commend the Bill to the House.
ParlaMint-GB_2015-12-14-commons.u375	I must admit that I find myself called to the Dispatch Box today in a state of some bewilderment. We are here to debate two matters. The first is whether a new position should be established within an organisation with the somewhat abstruse name of the former Yugoslav Republic of Macedonia Stabilisation and Association Council. Establishing that new position in some way facilitates the admission of Macedonia as an observer to the European Union Agency for Fundamental Rights. The second provision relates to the continuation of the tripartite social summit for growth and employment. I think that is why I am here There appears to be a need to update the formal basis of this summit, mostly in recognition of the fact that its function now relates to the “agenda for jobs and growth” and not the “agenda for employment and growth” as was previously the case. Will the Minister confirm that that is the case? If it is, the substance of this Bill is almost the definition of bureaucratic minutiae. Although I understand that both provisions relate to draft decisions of the European Council, which need to be approved by each individual member state as well as by the European Parliament, I find the use of primary legislation in these circumstances quite extraordinary. It comes at a time when the Government are hacking away at the social safety net via secondary legislation, on which it is frankly an uphill struggle to get Minsters to agree even to a short debate up in the Committee corridor. It suggests that the Government do not have their priorities in order Anyway, here we are, and I will use my time briefly to recap some of the context of these proposals, which I do not expect to be the subject of raging controversy in today’s debate. As we have heard, the first part of the Bill relates to the admission of Macedonia as an observer at the European Union Agency for Fundamental Rights. That move follows a report from the European Commission, which was published earlier this year and which set out a number of recommendations to revive Macedonia’s long-stalled candidacy for accession to the EU.
ParlaMint-GB_2015-12-14-commons.u376	My hon. Friend will be aware that the Greeks get very upset when the former Yugoslav Republic of Macedonia is called Macedonia. Perhaps she could use the full title to ensure that we do not upset our Greek colleagues.
ParlaMint-GB_2015-12-14-commons.u377	My hon. Friend is quite right. I do apologise. I hope that Hansard will get it right even if I do not This process was initiated in 2005, but has been put on hold as a result of widespread concerns more recently over the country’s deteriorating record on human rights. The admission as an observer of the former Yugoslav Republic of Macedonia to the EU’s Agency for Fundamental Rights was one of a number of recommendations made in the European Commission’s recent report. As the Minister helpfully explained during the debate on Second Reading, it is hoped that “Observer status at the agency could allow the country to have access to advice and assistance on fundamental rights issues to help to tackle its reform challenges, and provide assistance and help to the country on human rights issues.”—[Official Report, 3 November 2015; Vol. 601, c. 897.] At the rate this Government are going—I am talking about removing the requirement to respect international law from the Ministerial Code and pressing ahead with their plan to repeal the Human Rights Act—perhaps the Minister and a few of her colleagues should join the Macedonian delegation and learn a few lessons The second provision relates to changes to the basis of the EU’s tripartite social summit for growth and employment. The Bill’s explanatory notes describe this summit as: “a regular forum for meetings of representatives of the European social partner organisations, the European Commission, and the Council to enable high level discussion between the three parties of employment and social aspects of the European agenda for growth and jobs.” Beyond those exceptionally vague generalities, further details of the summit’s role are surprisingly hard to come by. Nevertheless, any discussion of jobs and growth is hardly objectionable, and certainly not objected to by me. In fact, should representatives of the UK take part in any upcoming meetings, it might provide an ideal opportunity for Ministers to take on board some of the valuable lessons that our European friends may have to offer. At a time when our jobs market is not exactly the envy of the entire continent, the Government should welcome such an opportunity. We have, for example, a higher proportion of graduates doing jobs for which they are over qualified—at 59%—than any other country in the European Union, apart from Greece and Estonia. We have a higher rate of underemployment—with a 10th of our entire workforce working less than they want to—than any other EU country except for Ireland, Spain and again Greece. That particular problem appears to be getting worse. The most recent employment figures from the Office for National Statistics showed that, even though the number of people in work in the UK has risen, the total number of hours worked by the UK has actually fallen. Perhaps the Minister’s European counterparts could teach her a thing or two We do not intend to oppose this Bill. In fact, I welcome it, at least as far as it goes, as it offers a reminder of some of the things for which we have to be grateful in our membership of the EU, not least the protection of fundamental rights and freedoms, including some of the most basic rights in the workplace, which many people take for granted. At a time when the Government are undermining those rights on a number of fronts, particularly in the Trade Union Bill, we should welcome the opportunity that this debate provides to remember the positive role that the EU can play in our lives, particularly when it comes to protecting dignity and security in the workplace. It is disappointing that the Government do not seem to share those values.
ParlaMint-GB_2015-12-14-commons.u378	I am sure that Members from across the Committee will be delighted to hear that the SNP will be supporting the Bill; they will be even more delighted to hear that I will try to keep my comments as brief as possible. [Hon. Members: “Hear, hear!”] I think that is the most popular thing I have said since I became a Member EU expansion has been a great success, and it is good to see our friends and colleagues from across the European Union working more closely together. I am particularly pleased to see Macedonia join the EU Agency for Fundamental Rights as an observer; that will be particularly helpful as it deals with the refugee crisis. I hope the country will benefit. It is also a reminder of the countries that have the biggest burden in dealing with the refugee crisis, and the UK could certainly do more On the second point, we wholeheartedly support any work to improve dialogue between the EU institutions, employers and workers’ representatives through the tripartite social summit for growth and employment We need to remain part of the European Union. There are great benefits to that, as I am sure Members across the Committee agree. We support the Bill.
ParlaMint-GB_2015-12-14-commons.u379	It looks as if the Bill will go through without too much controversy, but it is worth commenting on the state of employment across the whole European Union, including the UK. I am glad that my hon. Friend the Member for Islington South and Finsbury (Emily Thornberry) has drawn attention to our own problems. Before some hon. Members were born, here in Britain we had the biggest TUC demonstration in history when unemployment went over 1 million; it is now closer to 2 million. We will leave that to one side The Bill seeks approval for amendments to be made to the tripartite social summit for growth and employment following institutional changes brought in by the Lisbon treaty. The organisation is meant to discuss increasing the employment rate and investing 3% of gross domestic product in research and development—all sorts of worthy things. However, the EU is living in a dream world if it really thinks it is doing well economically. Austerity has been imposed in many EU countries and there are incredible rates of unemployment—typically 25% in the worst-off states; in Britain, that would mean 4.5 million people unemployed rather than 1.8 million or whatever it is. The situation is in a very bad way and some of the larger countries are quietly suffering—particularly France. People in France are nervous about their futures while they remain stuck inside the euro, if not the European Union Anyone who thinks that everything is fine and dandy is being Panglossian—“all is for the best in this best of all possible worlds”. If people in the European Union really believe that, they are living in a dream world The reality is that the EU is economically failing. I have mentioned Greece, Italy and France, but Finland also has serious problems; it is thinking of printing billions of euros to try to stop the country from sinking. There are all sorts of serious economic problems inside the eurozone and indeed the European Union. The only way those countries are ever going to get the jobs and growth that are so often talked about is for them to be able to reflate their economies on a national basis. That means they have to be able to control the value of their currencies in relation to others as well as their interest rates. They also need their own fiscal policies. When they can reflate behind their own barriers, Europe as a continent will start to grow again and millions of people who have been out of work for a long time can get back into work This is an innocuous Bill, but we should focus occasionally on some of the points about jobs and growth that it covers to show how bad the situation is. When I was a young person, everyone had a job. There was full employment—in fact, there was a labour shortage. Between 1945 and the 1970s there was a growth in living standards such as we had never seen before. Since then, things have gone badly wrong and there have been crises. As I have said from these Benches before, there are more serious crises to come. I do not think that the European Union is being economically successful and when it talks constantly about growth, stability and jobs, it is living in a dream world Question put and agreed to. Bill accordingly read the Third time and passed, without amendment.
ParlaMint-GB_2015-12-14-commons.u380	I beg to move, That this House takes note of European Union Documents No. 9355/15 and Addendum and No. 11132/15, international protection for the benefit of Italy and Greece, No. 11843/15 and Addendum, establishing a crisis relocation mechanism, and No. 11844/15 and Addendum, international protection for the benefit of Italy, Greece and Hungary; and agrees with the Government’s decision not to opt in to proposals establishing provisional measures for the relocation of individuals in need of international protection or to the proposal establishing a crisis relocation mechanism The motion covers a series of EU proposals on the relocation of migrants within the EU. They formed a central part of the EU’s summer response to the ongoing migration crisis and have been the subject of long negotiations within the EU and of previous debates in the House The current migration crisis has been described as the worst refugee crisis since world war two. It has severely tested the ability and resolve of the EU and member states to provide a comprehensive and sustainable response that is able to support member states under the most pressure and ensure protection for those in real need of it. The situation has been and remains complex and fast moving. Proposals have been brought forward and adopted extremely quickly; at times, Interior Ministers have met almost weekly, and as soon as proposals were adopted, they were often superseded by others Since the crisis began, the Government have been clear about our views on relocation: it is the wrong response. It does absolutely nothing to address the underlying causes of the crisis and does nothing more than move the problem around Europe. Relocation also reduces incentives for member states to tackle abuse, process applications and strengthen their borders. It may also encourage more migrants to travel illegally to the EU. We must ensure that the permanent relocation proposal does not reduce the obligation on all member states to have fully functioning border and asylum systems The Government have consistently stated that the UK would not opt in to measures, whether temporary or permanent. I apologise to the House for the fact that we have had to override scrutiny on these relocation measures. The European Commission brought forward proposals on relocation as a response to an emergency situation. The Prime Minister and Home Secretary were required to make the Government’s views on such measures clear in hastily arranged EU Council meetings The debates on relocation continue within the EU. Only a tiny number of people have been relocated under the agreed temporary measures and many member states are now stepping back from their previous commitments. Concern is growing about the merits of the permanent mechanism.
ParlaMint-GB_2015-12-14-commons.u381	Does my hon. Friend agree with the position of Slovakia? It believes that the decision should have been taken by unanimity.
ParlaMint-GB_2015-12-14-commons.u382	Obviously, we are not party to the arrangements as we are using our opt-out. My hon. Friend highlights some of the issues that have arisen since the measures were put into place. I am aware that Slovakia and Hungary have recently filed legal challenges in the European Court of Justice against the relocation scheme. There are relevant concerns. In our view, the proposals are ill conceived and many more now question the viability of relocation as a tool to manage the migration crisis.
ParlaMint-GB_2015-12-14-commons.u383	I strongly support the Government’s decision to opt out. Will the Minister explain something? Under the scheme that was agreed, if migrants were allocated a given country to settle in but then decided they would rather live in another EU country, what would stop them from moving?
ParlaMint-GB_2015-12-14-commons.u384	My right hon. Friend has highlighted what might be described as secondary movement, and we remain conscious of that. Obviously, there is secondary movement within the Schengen area, but we maintain our own border controls and visa requirements. Practical issues with the scheme have been highlighted; to date, only about 160 people have been relocated under the measures thus far Rather than relocating those arriving in Europe, the Government have made clear that our policy is to focus our efforts on resettling vulnerable people in need of international protection. We continue to make the case that this is not just an EU problem but an international issue requiring concerted action from a whole range of international parties.
ParlaMint-GB_2015-12-14-commons.u385	Is not the problem on secondary movement the fact that once migrants have become citizens of an EU member state, the free movement of people means that they are entitled to go anywhere? Even under our own laws, asylum seekers go to the head of the queue in getting nationality.
ParlaMint-GB_2015-12-14-commons.u386	My hon. Friend makes an important point in respect of rights and entitlement to citizenship, but he will know that there are certain tests that we adopt—good character requirements, for example—and other steps that we take to assure ourselves in respect of those who may be granted citizenship, and that that process is conducted over a number of years before someone would be so entitled. Citizenship is certainly not automatic. I underline the point that I made—we maintain our own visa and border requirements in respect of those who come here, and adhere to them clearly for those who are not EU citizens.
ParlaMint-GB_2015-12-14-commons.u387	There is another problem that arises before secondary movement. What if the refugees do not want to go to the countries to which they have been allocated? If they are put on trains and forcibly sent to countries that they do not want to go to, that has echoes of uncomfortable times in the past.
ParlaMint-GB_2015-12-14-commons.u388	The hon. Gentleman makes a valid point about the operation of the scheme. That has been a practical issue for EU member states that are party to the scheme when migrants have displayed an unwillingness to participate in the relocation arrangements envisaged by the measures to be debated this evening. Such practical issues have to be confronted The migration crisis is constantly changing and requires a flexible but robust response. Our approach has been designed to protect the UK interest while making a contribution to helping those in need and addressing the unprecedented challenge faced by our partners. Relocation is not proving to be successful. In our view, time would be better spent on measures that would make a real difference. We must secure the external border, quickly provide protection to those who need it and return those who do not. That is where the focus of this Government will remain, and I trust that the House will be minded to support the motion.
ParlaMint-GB_2015-12-14-commons.u389	I am glad we have the opportunity to debate this vitally important issue today. Political unrest and widespread violations of human rights have led to millions of people being displaced. The UNHCR says that there are 4.3 million Syrian refugees alone. This is, as the Minister said, the worst humanitarian crisis in Europe since the second world war, and it is clearly the most important issue now facing the EU Over the past nine months, the EU has seen unprecedented levels of migration, with more than 812,000 asylum seekers registered in the EU up till the end of September. The UNHCR says that more than 3,000 people are tragically dead or missing as a result of attempted crossings of the Mediterranean. The vast majority of the pressures of those incoming migrants has fallen on Italy and Greece, with 99.5% of migrants who cross the Mediterranean arriving in these two countries. That is the background to the EU-proposed programme of relocation in the UK. Britain rightly has an opt-out in relation to migration matters and has decided not to opt back into these measures Although we support that decision, it is disappointing that it has taken over six months and repeated prompting by the European Scrutiny Committee to secure this debate on the Floor of the House. We recognise, of course, that situations are often fast-moving and that the Government should not be constrained, but we think the Government should reflect on the approach they have taken so far in relation to the procedure On the substance of the matter, although we do not want to see Britain opt into mandatory quotas, we believe that we should take an active role in tackling the migration crisis across the EU, as well as on our doorstep. In this respect we take issue with the Government’s response. Just as we have joined military operations to play our part in tackling ISIS, so we have a moral responsibility to work with other EU states to help to deal with the large numbers of refugees who are fleeing the barbaric conditions in Syria and elsewhere. The Government have pledged to accept 20,000 refugees over this Parliament—4,000 a year. After more than two years of Labour calling on the Government to take action, this is undoubtedly a welcome step and was welcomed by the House, but the Government still refuse to accept people in desperate need who need relocation from other EU states Four thousand refugees represents less than 0.5% of the refugees entering the EU this year. That is not good enough. The UK has a proud history of offering sanctuary to those in need of refuge and should not shrink from its responsibilities because it has the fortune not to be on the frontline of the crisis.
ParlaMint-GB_2015-12-14-commons.u390	Can the hon. Gentleman explain how many refugees he thinks we ought to take and what the criteria would be?
ParlaMint-GB_2015-12-14-commons.u391	Our position is that mandatory quotas are not the way forward. Any numbers taken in this country should be on only a voluntary basis. In view of what we see as the current failure of relocation policy, the Government should rethink whether we should take some numbers from Europe on a voluntary basis. It would be for the Government to decide what number, on a voluntary basis, would be the right number. It has been suggested that if every city or county in Britain took just 10 refugee families, we would be able to help perhaps 10,000 individuals. As I say, in the first instance we call on the Government to reconsider their approach in the light of the prevailing situation It goes without saying that under any scheme, and under a voluntary scheme in particular, there should be robust and effective vetting and safeguarding procedures, wherever those procedures take place. We therefore call on the Government to reconsider the refusal to take people relocated from other member states on a voluntary basis, without opting into a mandatory system. Even if we are not part of the mandatory relocation scheme, we should do everything in our power to ensure that it works effectively. The EU relocation scheme has so far relocated just 130 individuals from Italy and 30 from Greece of its intended 160,000 people, which seems to indicate that it may be incapable of dealing successfully with the pressures being faced in Italy and Greece. In addition, only six of the 22 member states have notified the EU that they have the capacity to host relocated individuals What steps, if any, are the Government taking to support the relocation programme and to help to cope with this volume? On a point that has been raised on more than one occasion by the European Scrutiny Committee, in the absence of voluntary relocation how do the Government interpret the principle of solidarity and fair sharing of responsibility in the EU Let me turn to the questions that we have on the motion, which we support. Can the Minister update the House on the number of Syrian refugees who have arrived in Britain since the Prime Minister announced that we would take 20,000 over the course of this Parliament? In addition, the Home Office has stated that 55 local authorities will welcome Syrian refugees into their communities before Christmas. How many of those authorities have so far welcomed refugees? The Government say they are reluctant to take migrants relocated from within the EU for fear of creating new pull factors, but they have consistently produced little evidence that this would be the result of allowing internal relocation. As the European Scrutiny Committee has observed, the Government have been thin on substance on this issue. Can the Minister now give some substance on the pull factor argument? Surely we must recognise the level of desperation that forces people to leave their homes and attempt the journey to the EU in the knowledge that they or their loved ones might not make it. That will be a significant factor whatever relocation programme is put in place.
ParlaMint-GB_2015-12-14-commons.u392	Can the shadow Minister assist us by explaining how many people leave Syria, how many come into Greece and why there is a large difference between the two numbers?
ParlaMint-GB_2015-12-14-commons.u393	I am not sure that I am in a position to deal with that intervention; it is probably better put to the Minister The Government have rightly said that they will take refugees from outside Europe, and we support that, but what about those who have made it into Europe? Of course the Government do not want to get drawn into a mandatory relocation programme within Europe, but why cannot there be a voluntary arrangement that we could enter into in order to play our full part in solidarity and fair responsibility for refugees across Europe? Just as we have joined with our European and other international allies in trying to defeat ISIS and other causes of refugees and migration, so we should play our full part in dealing with the crisis here in Europe, with huge numbers already desperately needing relocation. On the basis of the figures, at least at first blush, it looks as though the relocation programme is not working as was anticipated. As I say, only 160 or so individuals have been relocated. In those circumstances, we ask whether the Government could and should do more I finish where I started and return to the way in which this matter now comes before the House. Recognising that the situation is moving fast, will the Minister give an assurance that the House will be properly updated and that time will be allowed for proper scrutiny and debate as the relocation policy rolls out over the coming weeks and months?
ParlaMint-GB_2015-12-14-commons.u394	As Chairman of the European Scrutiny Committee, I have been invited to attend four meetings—two in Luxembourg, one in Brussels, and one in Italy this last weekend—bringing together most of the national parliamentary chairmen with responsibilities in the area we are discussing. I pay tribute to the chairman of the Schengen committee in the Italian Parliament, Laura Ravetto, for taking this extremely important initiative I would like first to refer to a meeting that took place under the auspices of COSAC—Conference of Parliamentary Committees for Union Affairs of Parliaments of the European Union. That body, which consists of the chairmen of the national parliamentary EU committees, is given a very wide remit in matters of the kind that we are discussing. Although its meetings are webcast and published, it does not get anything like the attention that it really deserves. Having served on the European Scrutiny Committee for 30 years, having been its Chairman for the past five years, and now having been re-elected as Chairman for this Parliament, it is important for me to say that I have never seen such an explosion of anger at a meeting of COSAC in all the time that I have been taking part in those meetings The reason for that is the lack of democracy that lies at the heart of this proposal. The hon. Member for Luton North (Kelvin Hopkins) was with me in Luxembourg, and he will bear witness to the sheer anger about its imposition against the wishes of the individual countries concerned—about five in all, from central and eastern Europe. They were absolutely furious about having these mandatory controls imposed on them. This raises a fundamental question of intense sensitivity to the people who live in these countries. The way in which the issues are debated and discussed in the upper echelons—the rarefied atmosphere—of the European Union in its institutional framework bears almost no relationship to what is going on on the ground as regards the voters themselves. When the national chairmen came together at the meeting, they expressed themselves in very clear language indeed Apart from all the other things that are going on with the referendum and our complaints about the single currency—and the exchange rate mechanism before that—this raises the whole question of the straitjacket, ever further political integration, and the compression chamber, which I have been referring to since I led the rebellion on the Maastricht treaty back in 1990. I mentioned then, in black and white, in pamphlets and in debates, the compression chamber that was building up. This is an example of that compression chamber, which is now exploding, as was made clear in the COSAC meeting and replicated yet again in our discussions last weekend on the Schengen agreement. I know that we are not members of Schengen, and we will perhaps have an opportunity to discuss that in a moment.
ParlaMint-GB_2015-12-14-commons.u395	I was with the hon. Gentleman at the meeting in Luxembourg, as he rightly said. Does he agree that there seemed to be some intimidation of smaller, less economically powerful nations by larger, more economically powerful nations?
ParlaMint-GB_2015-12-14-commons.u396	There is the case of Germany, to come straight to the point At the meeting it was discussed whether the 28 member states represented there, excluding us and Ireland because we are not part of Schengen, would welcome the proposals that were set out in the motion. In a nutshell, the countries concerned—the Czech Republic, Slovakia, Hungary and Romania—were being told that they should go along with these mandatory arrangements irrespective of their resentment about that, their parliamentary votes against it, and their application to the European Court of Justice. As the Minister said, Hungary and Slovakia had brought proceedings in the Court of Justice to challenge the validity of this. These countries were, in effect, being told that they were wrong, and that in saying that the motion should merely “take note” of the relocation proposals, which was almost over-generous of them in the circumstances, they were refusing to accept the notion that they should welcome it. That is what led to the explosion. The debate went on for nearly four hours. This must not be underestimated. It is not just something to be floated over as, with respect, the Minister did; I understand why he probably did so. It is fissile material. It is a perfect example of the total want of democracy in the European Union in imposing, by mandatory arrangements, a settlement on countries that simply do not want it. It is a perfect example of what I have described as the compression chamber blowing up in such circumstances That is the background against which we should consider this. It is not just a question of whether we like it or not, but of how the European Union operates in practice. One need only look at how the Greeks were treated by the Germans with regard to the whole austerity programme or how the Portuguese president, a few weeks ago, disregarded, ignored and refused to accept the decision of the voters by not acknowledging the new party of government. The list is considerable, and, as far as I am concerned, that is the basis against which this issue ought to be judged I am, of course, delighted, but not surprised, that the Government have decided not to opt into the arrangements. I say with enthusiasm that our policy of trying to deal with the problem of refugees at source, which I have applauded from the very beginning, is the best way to go about it, not to allow these people in. At Friday’s meeting, the issue was raised of why Germany took the line it did. The answer, as I have said on the Floor of the House on a number of occasions over the past couple of months, is that it was very much to do with its desire to have more people working in the country, not just for altruistic reasons but for economic reasons. It wants to compensate for the fact that it will soon have a much lower working-age population. It made the decision because that is what Germany wants, irrespective of the impact it will have on the European Union. Angela Merkel’s popularity happens to have plummeted over the past few weeks because, in my opinion and that of many other commentators, she has misjudged the situation The real point is that, to bring in 1 million people to Germany—that is basically what is happening—is not the end but the beginning of the story. Those 1 million people will themselves have their own children and probably bring their families over as well, because the charter of fundamental rights will be made available to them. This is, in fact, an opening of what I described the other day as a tsunami On top of that—I have referred to this on a number of occasions on the Floor of the House—nobody can doubt for a moment that there are a number, albeit perhaps small, of jihadists among those people who have come over. The reality is that only a few are needed in order to wreak the kind of carnage and havoc that we witnessed in Paris. To those who would criticise people like me for mentioning that, I say that it is a fact that that is what is happening, and on a scale unprecedented since the second world war.
ParlaMint-GB_2015-12-14-commons.u397	I am very concerned to hear what the hon. Gentleman has just said. Does he actually have hard evidence that jihadists are arriving in the United Kingdom under the disguise of migrants? Given that some people pose as police officers and social workers in order to commit heinous crimes, does he think we should abolish the police and social workers as well?
