ParlaMint-GB_2015-01-29-commons.u1	1. What steps she has taken to improve the cleanliness of Britain's rivers and waterways.
ParlaMint-GB_2015-01-29-commons.u337	It is always a pleasure to follow the hon. Member for Broadland (Mr Simpson), but I disagree with him on the idea that we see the events of 2003 as history. We see them under the cold light of eternity. They are not a matter of history for the loved ones of the 179 of our brave soldiers who fell. They still suffer a living wound that will never heal. I would like to repeat a speech I made in 2009 when I was sitting where the hon. Gentleman is sitting now. I am not allowed to repeat that speech, but not a word of it would change. The speech consisted of 10 minutes of reading out the names of all the British soldiers who died. I believe that that is a far more effective way of making the point that, as the result of a decision taken here in this House by many of us, those young people lost their lives An American-British enterprise was not inevitable. We need not have been involved. The Americans were going in anyway and we had the choice to stay out, as Harold Wilson did many years ago. The main reason I am offering myself to my electorate in a few months’ time is because of this. I want to see the end of this and I want to see us get to the nub of the terrible mistake we made. It is to do with the role of Prime Ministers and their relationship with Back Benchers in this House Something happens to Prime Ministers when the war drums start to beat. They talk in a different way. They drag out the old Churchillian rhetoric. The rolling phrases come out. They walk in a different way—they strut like Napoleon—and they are overwhelmed by hubris. No longer are they dealing with the boring detail of day-to-day operations; they are writing their own page in history. Usually, it is a bloody page in history We do not need an inquiry into the whole Afghanistan enterprise, on which there was general agreement, but we certainly need one into why we went into Helmand when only half a dozen British soldiers had been killed in combat. We went in with a belief that not a shot would be fired and we would be out in three years, but 453 deaths followed. That is what we need an inquiry into. There has been a profound change in this House. It happened on 29 August 2013, when the Prime Minister came here to encourage us—I believe, with a certain complicity with other party leaders—to go into Syria to attack Assad, who was the deadly enemy of ISIS. Now we are attacking ISIS, which is the deadly enemy of Assad. How on earth could we have been persuaded to be dragged into the middle of that conflict, which is ancient, deep and incomprehensible to us? Thank goodness the good sense and pooled wisdom of 650 MPs, informed by the terrible tragedies of Iraq and Afghanistan, persuaded this House not to follow the prime ministerial instinct for war. That will change this House for a long time Along with others, I believe there is nothing political about this in any way. Those of us who remember the vote, which was the most serious vote we ever took, remember the imprecations of the Front Benchers. One hundred and thirty-nine Labour MPs voted not to go to war, against the strongest three-line Whip of my time here, but 50 others, who were very doubtful, were bamboozled, bribed and bullied into the wrong Lobby or into abstaining—and nearly all of them bitterly regret it now. It was a misuse of the organs of this House. Virtually every Committee that looked into it—those that are supposed to know better, such as the Intelligence and Security Committee, the Defence Committee, the Foreign Affairs Committee—were all cheerleaders for the war. And where were the Opposition? There is nothing political here. The then Leader of the Opposition was more gung-ho for war than Tony Blair. Only half a dozen hon. Members on the Conservative side voted against the war, and to their great credit, of course, the Liberal Democrats and Plaid Cymru voted the same way We are being denied the truth. I find it astonishing that the right hon. Member for Blackburn (Mr Straw) does not agree there were no weapons of mass destruction. It is amazing if he still believes there was an imminent threat to British territory. I have a document—I have no time to go into its detail—referenced by Tony Blair as evidence of the existence of weapons of mass destruction and the threat posed. It concerns a meeting on 22 August 1995 at which the principal person giving evidence was a General Hussein Kamal. For goodness’ sake, read the document!
ParlaMint-GB_2015-01-29-commons.u338	I dealt only briefly with the intervention from the hon. Member for Basildon and Billericay (Mr Baron) because this debate is about the Iraq inquiry and its timing, not about the substance, and I would have been slapped down very quickly. For the avoidance of doubt, however, the whole Security Council judged in November 2002 that there was a threat to international peace and security from Saddam’s weapons of mass destruction.
ParlaMint-GB_2015-01-29-commons.u339	Because they believed you and Colin Powell.
ParlaMint-GB_2015-01-29-commons.u340	Because they were fooled. The right hon. Gentleman should recall—[Interruption.]
ParlaMint-GB_2015-01-29-commons.u341	Order. This has been a good debate, and we do not want to spoil it. Let us continue in the manner we have done so far. I want to get to the end and make sure everybody gets to speak.
ParlaMint-GB_2015-01-29-commons.u342	The intervention was contemptible. On that point, I share the view of the hon. Member for Bradford West (George Galloway). We remember the ignominy of the right hon. Member for Blackburn walking behind Colin Powell after the latter had presented a tissue of lies about the threat. It was not true, and our representative was supporting him in those lies, and they sent all those young men and others to their deaths At the time, I wrote a letter and got a reply from the right hon. Gentleman. It was on my blog, and I will put it back up now. In March 2003, I told Tony Blair, “If we go into Iraq alongside George Bush, we will deepen the division in the world between the Christian western world and the Muslim eastern world, and we will create a division that will cause bloodshed from my local mosque to the far corners of the world.” The right hon. Gentleman replied to that letter, and a contemptible reply it was too—as was his reply today. He should recognise the terrible error of his ways and what he did. I agree with the hon. Member for Basildon and Billericay (Mr Baron). It is nonsense to suggest there were weapons of mass destruction or a 45-minute threat to Britain. We, as Members of Parliament, the people who took that decision, should be thoroughly ashamed of it, and I will stay in this House, and I will fight to be here, until the truth is known and those who committed this terrible crime are brought to book.
ParlaMint-GB_2015-01-29-commons.u343	I am grateful for the chance to take part in an important debate that strikes at the heart of our role as Members of Parliament, for many of the uncomfortable reasons presented by the hon. Members for Newport West (Paul Flynn) and for Bradford West (George Galloway). It touches particularly on our responsibility, as the legislature, to our constituents. Our reaction, therefore, as Members of the House of Commons and on behalf of our constituents, to the grotesque delays in producing the report is a matter of great importance This debate is not about former Prime Minister Tony Blair. However, like my right hon. Friend the Member for Croydon South (Sir Richard Ottaway), the Chairman of the Foreign Affairs Committee, I was here for that debate in 2003. Although advised by the Opposition Whips, I had not made up my mind how to vote when I entered the Chamber. I could not get a seat, so I sat in the Gangway, and I listened to the Prime Minister. To some extent, this answers the important question from the hon. Member for Bradford West about how we, who were supposedly well educated and informed, knew less than the phenomenal number of people out on the streets demonstrating against the Iraq war. Sitting in the Gangway, with the Prime Minister a few feet away, speaking about the threat to Britain and the international order and the importance of military action, I was persuaded.
ParlaMint-GB_2015-01-29-commons.u344	May I suggest that the right hon. Gentleman was not persuaded by the Prime Minister, but duped by the Prime Minister, with a fabrication, a fallacy and a pack of lies? Does he not now see that he was misled?
ParlaMint-GB_2015-01-29-commons.u345	The question whether we were duped is exactly the reason the process of this inquiry is so important. As I sat there, I firmly believed that the Prime Minister of Great Britain and Northern Ireland was making a case that I had a duty to support This was a hugely divisive matter. In my constituency, there were very deep divisions that had nothing to do with party politics. I remember the bizarre occasion when the entire executive committee of the Sutton Coldfield Labour party—not a large body—came to urge me as their Conservative Member of Parliament to vote against the Iraq war and their own party’s Prime Minister. During the debate, I remember going home to have dinner with my wife, who has always been viscerally opposed to the war and believes it was a terrible mistake. So these divisions run deep At the end of the day, however, this is not an attack on the former Prime Minister. It is inconceivable—this is an incredibly important point—that he could have made the case he did that afternoon without the passive acquiescence, if not the active support, of the full panoply of the Government machine. In my judgment, the Chilcot report is required not to expose an idiosyncratic Prime Minister—if that is the charge—but to hold to public account the workings of our Government machine Last December, we saw the long-awaited publication in the US of the Senate Intelligence Committee’s report into the CIA’s use of torture in the aftermath of 9/11. It was certainly controversial, possibly flawed, but such reports, and the problems they throw up for politicians and Administrations, are crucial to the democratic process and our ability, as the legislature, to hold to account those who make these decisions. There is a clear benefit to be derived from revisiting these profound and significant decisions and actions, and although it might leave us open to criticism and reopen old wounds, it is a fundamental step in the process of moving forward and building on past actions For this House, therefore, this debate is an important and timely one. It follows the pertinent and important comments made in the other place by former Foreign Secretary Lord Hurd. His remarks should ring around the political establishment. I also congratulate the three promoters of the debate, and as ever my right hon. Friend the Member for Haltemprice and Howden (Mr Davis) did the House credit in introducing it. It is a debate not about the substance of Sir John’s report, which none of us should prejudice, but about the manner of its conduct and timing and the way these issues have been pursued In allowing the inquiry to drift on in this way, Sir John and all of us are doing great damage to the process of accountability—a process that Parliament has a right to expect and a duty to pursue in order to hold the Government to account. It really matters that it is taking so desperately long for the report to be delivered. The failure to have this report before us will undoubtedly have had some impact—probably both ways—on the way in which Members voted on the Government motion for action on Syria On the Libya campaign, when I was the International Development Secretary, I had responsibility for the Government’s humanitarian duties and role, and my first question to officials in my Department was about the lessons to be drawn from the Iraq war, most especially on the plans for the aftermath of that conflict, which were fundamental to the plans we were making in respect of Libya. The lack of a proper inquiry meant relying on the memory and understanding of officials, which is what we had to do We come to the meat of the matter. This inquiry is entering its sixth year; it has already cost £9 million. That is clearly not the fault of the current Government. The events did not take place on our watch. Indeed, both the Prime Minister and I voted to set up this inquiry in 2006. The delay is an insult to every one of our constituents, to every taxpayer in the country and to every parent, spouse and loved one of the 179 servicemen and women who died in the Iraq war and of the many who were wounded and still live with those wounds today The Foreign Affairs Committee, led so ably by my right hon. Friend the Member for Croydon South, is absolutely right to call Sir John before it next week to ask him not for the contents of his report, but for a full and detailed explanation of the delays, the timing and the process over which he has presided. It is essential that we, the legislature, prosecute this matter vigorously and fully if we are not to bring ourselves into considerable disrepute. It is our role to hold the Government to account, and what could be more important than the issues surrounding a decision like this one—to go to war?
ParlaMint-GB_2015-01-29-commons.u346	It was 18 March 2003, and both you and I were in the House that day, Mr Deputy Speaker. It was an ugly, brutal day. It was one of these huge set-piece occasions that we have in the House of Commons when every single thing is reported and every single nuance noted. It was the day that we voted to go to war. I will never, ever forget it I was a Whip that day, and I remember observing the Government Whips rounding up the recalcitrant, the doubters and those who were trying to make up their minds. I remember lots of good women and men being dragooned into the Lobby—against their better judgment —to support the Prime Minister and the fabrication of a case on Iraq. It was a horrible day—a day that should be ingrained in the collective consciousness of this House and remembered for its eternal shame. It was the day that we voted to go to war on a total fabrication, and we must find out why this House decided to do that.
ParlaMint-GB_2015-01-29-commons.u347	I was not a Member of the House at that time, but my hon. Friend reminds me of the time when the then Deputy Prime Minister was arguing that the road map for Palestine was somehow connected to the maiming and the murder in Iraq.
ParlaMint-GB_2015-01-29-commons.u348	To try to get a flavour of what the House was like that day, I watched a YouTube video of Tony Blair’s speech that morning. I know that sounds a bit masochistic, but I wanted to find out what was said and what the case for war was. What I had to listen to was absolute and utter nonsense—fabrications and flights of fancy that Blair must have known were totally false and ridiculous. He said there were weapons of mass destruction that could, without doubt, reach us within 45 minutes. But there were none—there was nothing there. This House was misled; this House was duped. I have listened to Conservative Members saying that they believed the Prime Minister. The rest of the country knew. The rest of the country was not fooled by his mendacious nonsense—of course not. We were on a march in central Glasgow, and 100,000 people turned up to march against that war. Some 1 million people turned up in London to march against it. Yet this House voted to go to war on the basis of a lie—a House that was duped and misled. If anybody needs to know the reason why this House was misled, it is because of us, the parliamentarians I am disappointed in the right hon. Member for Haltemprice and Howden (Mr Davis). He should not have changed his motion. We should have demanded today that we got that report. I do not want to hear the reasons why we are not getting it. I do not want to hear about the process of getting it in the future—we should have it now. We should have it before the general election, and this suggestion that it is political and somehow gets in the way of a democratic process in the run-up to an election is just fatuous nonsense.
ParlaMint-GB_2015-01-29-commons.u349	I, too, recall that day, and I concur with everything the hon. Gentleman says about how people who were feeling very strongly about the issue were pushed and cajoled, with notes and letters being sent asking me to meet all sorts of people. Does he agree that this tells us the lesson that this House must always be very careful that the Whips and the party machine do not always get their way?
ParlaMint-GB_2015-01-29-commons.u350	I am very grateful to the hon. Lady, who makes such a powerful and potent point about something as important as going to war. I was just a new Member, having been in the House for just a year; I was a young whippersnapper barely out of my shorts, yet I was listening to a Prime Minister making this case. I thought, “Surely, there must be something in it,” but I realise now, along with many other Members, that an issue as important as going to war should not have been whipped on this basis The House passed the vote on Iraq by 412 to 149. I was among the 149; my right hon. Friend the Member for Dwyfor Meirionnydd (Mr Llwyd) was among the 149; I see two Liberal Democrat Members in their places —the right hon. Member for Hazel Grove (Sir Andrew Stunell) and the right hon. Member for Lewes (Norman Baker)—who were among the 149. This was the proudest vote of my 14 years in this House. It was a vote that defined the Parliament between 2001 to 2005. It was a vote, I now believe, that characterised the Labour Government. It was a vote that is now personally associated with Tony Blair, and it will follow him to the grave and be on his tombstone. Such is his association with it that he might as well have it tattooed on his forehead. The Iraq war will for ever be bound up with the last Labour Government and the personality of the last but one Prime Minister.
ParlaMint-GB_2015-01-29-commons.u351	Is there not a danger of this debate becoming an opportunity for self-congratulation or self-laceration on the part of Members of Parliament rather than focusing on the real lessons for how Britain acts in the world?
ParlaMint-GB_2015-01-29-commons.u352	I want to come on to that; it is so important because this House was misled. I do not know whether the hon. Gentleman agrees with that, but I am sure that, as someone who looks at and understands these issues, he knows that this was a total fabrication. I see him shaking his head. The case for war was non-existent. We have got to understand why a majority of Members voted for it. We have to start to get to the bottom of why this was allowed to happen We are still feeling the implications and repercussions: half a million presumed dead; a region destabilised; a country divided; international diplomacy discredited. A point that the hon. Member for Bradford West (George Galloway) made was that we have alienated a generation of young Muslims—here and around the world—dangerously radicalising many of them, giving them a grievance for some of the perverted causes that have been picked up to justify what they see as their perverted agenda. These are things that we now have to deal with for our own security. That is what Iraq bequeathed us. We have got to find out how this happened and why this set of conditions was allowed, enabling us to pursue this particular course of action I remember the almost ingenious lengths to which the Labour Government went to try to invent this case. I remember that the House was recalled. It was not just that day in March; we were recalled in September of the previous year. We were told to come down and find in our pigeon-holes the document that subsequently became known as “the dodgy dossier”—100-odd pages of utter drivel, manufactured fabrications and plagiarised sources. We found that most of it came from the post-doctoral work of some student called Ibrahim al-Marashi. It almost seemed like a script for a comedy sketch, yet this was the UK getting prepared to go to war in the 21st century We now know, of course, that there were never any weapons of mass destruction—still less any that could be deployed in 45 minutes. There was no collusion with al-Qaeda, even though jihadists now wander at will in the IS forces across Iraq. There was no evidence of any uranium project, and nothing whatsoever could be found relating to any nuclear programme. We were misled; this House was misled There are several Members in the House who understand and realise that they were duped, but there are still some who believe that it was right to go to war. I am very fond of the right hon. Member for Blackburn (Mr Straw), but he must at some point say that this was a total fabrication, that the House was misled, and that a case was fabricated to go to war. The sooner the right hon. Gentleman does that, the sooner he will get himself off the hook, because this will pursue him, and the others who made the case for war, to the very end of their careers I do not think that the issue will end with the publication of the Chilcot report. We seen had four whitewashes—there have been four attempts to put this to bed—but it is not going to end. We will have the Chilcot report, but I do not think that it will get us there; I think it will be another generation before we get to the truth of Iraq. It is possible that there will be a judge-led inquiry, and that might help to get us there, but this is going to go all the way. I foresee that significant people will eventually be taken to The Hague, because this is such an important issue which has redefined so much contemporary foreign history. People say that it was a disaster bigger than Suez—of course it was. This was the biggest single foreign policy blunder and disaster ever made by any Government in modern history. So we need the Chilcot report. Do I believe that it we will get us to the heart of this with the Chilcot report? No, I do not, but I think it will go a long way towards describing and explaining some of the things that happened. It will be another generation before we arrive at the absolute truth. There are too many big reputations to be tarnished—again, I say that to the right hon. Member for Blackburn. There are people who will be in a position to try to ensure that this is kicked into the long grass. The only reason I have any confidence in the Chilcot report is that the establishment is trying to prevent us from seeing it, so there must be something good in it. I hope that that means that we may get a glimpse into the workings of this Government We are where we are. We hope that we shall see the Chilcot report soon. We should have demanded its publication in this debate, and I am disappointed that we have not been given an opportunity to do so. However, I do not think that the report will be the end of the process. I believe that this will go all the way to The Hague. We engaged in an illegal war on the basis of a fabrication and a downright lie, and we deserve to know the truth. Some day we will get the truth, but I do not believe that we will get it from Chilcot.
ParlaMint-GB_2015-01-29-commons.u353	It seems to me that the challenge in relation to the Chilcot inquiry is our inability in Britain to come to terms with failure, our inability to come to terms with what exactly went wrong with Iraq, and our inability to reform. As a result of all that, we have a real problem when it comes to acting in the world in the future. Unless we go through the process of coming to terms with who we are and how we got this wrong—whether through the Chilcot inquiry, through our Parliament, or by some other means—we will remain paralysed At present, Iraq is sitting like some rotting corpse in a cupboard, the nature of which we do not quite understand. We can see the consequences of that in the problems of British foreign and defence policy in the last 13 years. We can see the inability to come to terms with Iraq in our mistakes in Afghanistan. We can also see the inability to come to terms with Iraq in our current inaction. Britain is currently in a very paralysed state. There is a deep insecurity, and an anxiety. We are not pulling enough weight in NATO, and we are not pulling enough weight in the United Nations. We are failing to commit ourselves to spending 2% of our GDP on defence, which is symptomatic of our inability to come to terms with Putin or Ukraine All that brings us back to the four-letter word “Iraq”. Iraq has become, for us, a kind of Vietnam. It has become, in the British consciousness, something that we cannot get beyond, something that we cannot see through. The Chilcot report needs to be published to enable us in Britain to understand what happened in Iraq—understand exactly what happened in Iraq—to enable us to introduce the reforms that the Government need in order to be able to act again in the future, and to enable us to recover our confidence as a nation One of our problems with the debate, and, perhaps, with the Chilcot inquiry, has been that the understanding of what went wrong in Iraq is still too limited. We are still understandably obsessed with the legality of the war, and also with the issue of post-war planning. In Afghanistan we went into a war that was legal, in those terms, and in which, at least in Helmand, a great deal of planning took place; yet the results there were also a mess. In other words, the problem of Iraq cannot simply be reduced to legality and post-war planning. There is a deeper problem in Iraq, and the deeper problem in Iraq, with which I think we all struggle to deal, is a problem with ourselves. It is the problem of who Britain is, and what Britain does in the world. One way of expressing it is that we are failing to come to terms with our limits—the limits of our knowledge, the limits of our capacity, and the limits of our legitimacy.
ParlaMint-GB_2015-01-29-commons.u354	The hon. Gentleman has called for reflection. He may recall the reaction of the American ambassador, when he appeared on “Question Time” after 9/11, to some of the things that were being said to him. There seemed to be an inability to look in the mirror, and to see the effects of foreign policy in the west pre-9/11 in the form of some of the things that were happening in the world and the anger that was being created in the world. I congratulate the hon. Gentleman on his call for us to use a mirror to look at ourselves, and to look at ourselves very hard.
ParlaMint-GB_2015-01-29-commons.u355	I disagree with the hon. Gentleman in that I am calling for more confidence and more seriousness, not less. The problem with our interpretation of Iraq is that we have ended up with despair. This empty House, the lack of interest among journalists, and the general lack of focus on the issue imply that Britain wants to put this in the past—to put it in its history—and to behave as though it related to some other country and some other Government rather than to us The lessons of Iraq must be, among other things, lessons of seriousness. We are not serious, as a country. What Chilcot needs to focus on, above all, is our lack of seriousness on the ground—one problem with the Chilcot inquiry is that it did not spend enough time taking evidence from people who had operated in civilian roles in provincial areas—and that will involve our criticising ourselves in ways that we do not like to criticise ourselves. It will involve us, as a country, getting beyond our anxieties—and this is a very difficult thing to say—about soldiers dying in vain A soldier’s life cannot be held relative to the decisions of politicians. A soldier’s courage, a soldier’s sacrifice, is a commitment to his or her country. The danger of reducing every mistake that this country has made—from the Boer war to the Afghan war of 1842 to our recent debacle in Iraq—to the question of a soldiers’ life is that it stifles debate. No one can stand up and criticise what we did for fear that someone might say that soldiers died in vain Criticism begins with accepting that we were not serious enough in our commitment to Iraq. American soldiers did 13-month tours; why did we only do six-month tours? American civilians took leave once every six months; British diplomats took leave every six weeks, for two weeks. We remained highly isolated in compounds, under security restrictions which made it very difficult for us to engage with the local population. There was a serious failure to reach out to people who understood Iraq and the area. There was a lack of seriousness and commitment on the ground. There was also an obsession with abstraction and jargon. We stood up in the House, and we stood up in the foreign service, talking all the time about “the rule of law”, “governance”, “civil society” and “human rights”. We had absolutely no idea how to relate that kind of jargon to the reality on the ground in Iraq. In fact, what we were doing, again and again, was using words that looked like a plan, but were simply a description of what we did not have. Every time we said that what we needed to bring to Iraq were “governance, the rule of law and security”, we were simply saying that Iraq was corrupt, unjust and violent. Every time we said that we needed to create transparent, predictable, accountable financial processes, we were simply saying what we did not have As we move forward, and as Chilcot—hopefully—helps us to come to terms with this catastrophe, we must reform, but what does reform mean? Reform means becoming serious. What I hope we can take from the Chilcot inquiry is that seriousness begins with investing in knowledge and understanding of other people’s countries. Where I differ, perhaps, from the Scottish nationalists is that I do not think that this means that the future for Britain is to become Denmark. I do not think that the future for Britain is to withdraw. I think that the future for Britain is to reach out, and to understand.
ParlaMint-GB_2015-01-29-commons.u356	I have got to disagree with the hon. Gentleman. Denmark was once in the empire game, but historians have noted that Denmark withdrew itself from that. It is time for us to learn from Denmark.
ParlaMint-GB_2015-01-29-commons.u357	I understand absolutely that that is the hon. Gentleman’s position, but our position should be different, and this is where Britain differs from a country like Denmark. First, we should be investing in knowledge—investing in knowledge in the Foreign Office, which means ensuring that there are proper language allowances and that we dismantle the grisly core competency framework for promotion, and that we get out of the situation of there being only three out of 15 ambassadors in the middle east who can speak Arabic.
ParlaMint-GB_2015-01-29-commons.u358	I do not know whether my hon. Friend remembers this, but in 2007 or 2008, I think, there were no fluent Pashto speakers across the Foreign Office, the MOD or DFID in Afghanistan.
ParlaMint-GB_2015-01-29-commons.u359	There were absolutely no fluent Pashto speakers, and only two operational Dari speakers in our embassy in Kabul We must also develop the habit of challenge.
ParlaMint-GB_2015-01-29-commons.u360	I admire the hon. Gentleman, but as he is speaking I can almost see him in his pith helmet striding across the Punjab as a district commissioner in another era, and his remarks about Denmark compound that. He and I both know that we almost lost our own country just last September; we were almost severed—dismembered—because of the collapse in the credibility of the British political class, and I promise him that we are not going to get that back by being better imperialists than the last group of politicians.
ParlaMint-GB_2015-01-29-commons.u361	We will get it back by being serious again. We will get it back by showing the British public that we have acknowledged the failure and we have understood that failure—that we have learned the lessons and that we have reformed—and we will get it back by showing the superiority of Britain through a smaller conception of ourselves that is ultimately to do not with wearing pith helmets but with being an engaged global power. That does include, within the Ministry of Defence, having an ability to challenge ourselves, and having an ability, which we have lost in Iraq today, to provide an independent assessment of US missions. It includes, ultimately, our chiefs of staff recovering their confidence This is a good time to remember that, because I think where I and Opposition Members will agree is that on the 70th anniversary of the liberation of Auschwitz-Birkenau the conclusion that Britain should draw from Iraq is not one of isolation. It should not be that we should be doing nothing; it should instead be that we need to recover our confidence as a country—recover the confidence that we are the fifth largest economy in the world, that we have unique skills and expertise, that we have an enormous amount to contribute to the world—and that what we should take from the Chilcot inquiry is not despair or paralysis, but a need to recover our compassion, our common sense and our confidence.
ParlaMint-GB_2015-01-29-commons.u362	rose—
ParlaMint-GB_2015-01-29-commons.u363	Order. It will be helpful to other hon. Members if speakers restrict their remarks to about nine minutes, which is quite a long time.
ParlaMint-GB_2015-01-29-commons.u364	Thank you, Madam Deputy Speaker. I was worried for a moment that you were going to come up with the dreaded four-minute warning, so I am obliged to you It is a pleasure to be able to speak in this debate, but it is a pretty big indictment of our Parliament that there are hardly any Members here to take part in what ought to be an incredibly serious discussion, and a process of very serious self-criticism of the failure of Parliament both in 2003 and since to hold to account those who took crucial decisions on our behalf, the consequences of which all of us will live with for the rest of our lives, and the population of this country, and indeed of western Europe and the USA, are going to live with for many, many decades and generations to come. What happened in 2003 was a seminal disaster I respect the hon. Member for Penrith and The Border (Rory Stewart) for his knowledge, his interest and his commitment, but I profoundly disagree with his analysis. It is essentially that we were good imperialists, then we became weak imperialists, and now we have got to be better imperialists. I have two messages. The first is that we cannot afford it. The second is that the lesson from the disaster of Auschwitz in the 70th anniversary of its liberation should surely be to say never again—never let racism raise its ugly head, be it against Jews, Muslims or anybody else—and also that we must learn a fundamental lesson: that the crazy triumphalism of the treaty of Versailles and that whole period in the 1920s led to the growth of the Nazis and to the disasters. The whole middle east region is still living with the disasters of Versailles—of the Sykes-Picot agreement and the borders we inherited.
ParlaMint-GB_2015-01-29-commons.u365	The danger of the hon. Gentleman’s anti-imperialist rhetoric is that we are not going to come to terms with how to prevent genocides in the future. What is he proposing in terms of reform, energy, compassion and confidence to deal with an Auschwitz-Birkenau, a Bosnia or a Rwanda in the future, if all he has to say is that we are a small country that cannot afford to do anything in the world?
ParlaMint-GB_2015-01-29-commons.u366	I propose a process of international law, a process of human rights engagement, a process of truth and honesty, and a process whereby we do not denigrate whole peoples and turn the other way when human rights abuses take place On a lesser example, but nevertheless an important one, we are apparently more interested in selling weapons to Saudi Arabia than we are in human rights in Saudi Arabia. That example can be multiplied in country after country across the world. If we were serious about human rights, we would not provide the Government of Bahrain with equipment to kill and injure demonstrators who oppose what they do. There has to be some honesty in the whole of our foreign policy, and if this debate does anything to make us start to think more seriously about foreign policy, rather than racing headlong into spending £100 million on Trident, developing more weapons and yet more weapons for our armoury, that will be something We have had inquiry after inquiry on Iraq. Parliament showed itself to be a failure and could not do it, and then there was the Butler inquiry and a Foreign Affairs Committee inquiry. We ended up with the Chilcot inquiry In 2006 I voted for an Opposition motion, despite the endeavours of the Labour Whips Office. I was not that bothered with its endeavours at that time—or on one or two other occasions for that matter—because I thought setting up an inquiry was the right thing to do. However, I do not think it is the job of Parliament to pass its duties on to somebody else and then complain vaguely when they do not report while saying that we are not going to interfere with the inquiry. This really is our failure. There should have been a serious inquiry, judicial-led in my opinion, with counsel that could have asked some really good questions of Tony Blair, the right hon. friend the Member for Blackburn (Mr Straw) and a whole lot of other people. Michael Mansfield QC would have been a very good interrogator, and I think that after a few days of interrogation by him we would have gained far more truth than we did from these showman-like trips by Tony Blair to the inquiry and his lucrative tours around the world to say he would do the same again. He clearly has not learned the lessons from this I remember those debates very well. I am chair of the Stop the War coalition, and I have been involved in every demonstration I can think of against this war. Indeed, I spoke to that million-strong audience in Hyde park on 15 February 2003. There was something amazing about that day. I was there with many others in this House on that huge platform looking out on Hyde park, with 1 million people and hundreds of thousands more who could not even get into the park. That was after we had been told by the Cabinet Office that Hyde park was not available and we should hold the meeting in Battersea park. I resisted the temptation to go into Battersea park on a Saturday afternoon, however, and we persisted with Hyde park. I saw people there who politically profoundly disagree with me, and people who had never been at a public meeting or demonstration in their lives, but who were moved to oppose the war because of the obvious lies about weapons of mass destruction in Iraq and why we had to go to war. Everyone there learned a lesson that day. The cynicism that we meet on the doorstep as we approach the next election is in part due to the contempt shown by Parliament on that day I shall not go on much longer, Madam Deputy Speaker, but I just want to say this. The idea that Members were not aware of the misinformation concerning Iraq really does not cut much ice. We had the dodgy dossier. I remember arriving in Parliament at 8 am to read that heroic document; I was the first to arrive at the downstairs Table Office. I knocked on the door at 1 minute to 8 and the people there would not open it, but the moment the door opened at 8 o’clock I put my hand in and grabbed two copies. I gave one to Glen Rangwala, an excellent academic from Cambridge, and I kept the other for myself. He went off to read his, and I went to my office to read mine. When we spoke on the phone 20 minutes later, we said, “This thing is utter nonsense. Who could possibly believe this stuff?” But the House did, and some members of the Security Council did, although France, Russia, China and a lot of other countries did not I also remember the extraordinary pressure that MPs were put under to vote in that debate. A number of us who could reasonably be described as Iraq sceptics met Tony Blair in a room at the back of the Chamber. After we had been around the track several times, with him not wishing to engage in the discussion and others wishing to do so, he started looking at his watch and saying, “We’ve got to go now.” I said, “Tony, just one question: why are we doing this?” He slapped his hand on the table and said, “It’s the right thing to do. That’s why we’re doing it.” When I said, “That’s not an answer”, he said, “That’s the only one you’re going to get.” That was the enthralling answer that we got from him The lesson surely must be that when the Foreign Affairs Committee interviews Sir John Chilcot next week, they must ask him how he is getting on with obtaining records of the barbecue discussion between Blair and Bush and the correspondence that took place, along with the handwritten notes that civil servants and the Foreign Office maybe did not know about. Perhaps a lot of people did not know about them, because I understand that it was part of Tony Blair’s charm and style to do things differently from anyone else so that people did not know what was going on. I also hope that the Committee will get from him an exact date for the publication of the report, but I think I shall be disappointed when it is published. I suspect that it will be full of redactions and that we will have to read a million words before we discover which bits have been redacted. This issue is not going to go away. We need to get to the truth, and we need a war powers Act to ensure that every MP is involved in decisions to send British troops abroad to war To follow up on something that the hon. Member for Penrith and The Border said, I agree that we need a serious debate on foreign policy and on our place in the world. Other countries that once had massive empires have learned these lessons. I recall being in Vienna in December when the Austrian Government proudly said, “Our Government have no nuclear weapons, want no nuclear weapons and will never have any nuclear weapons. We want to be a force for peace in the world.” That was once the centre of the Austro-Hungarian empire. Most of the other European countries that were once the centre of empires have learned lessons. Maybe the disaster of Iraq and the growth of al-Qaeda, ISIS and all those other forces that have been let loose by the disaster of the Iraq war will provide a lesson that we will have to learn the hard way, but if we do not learn it, we will suffer by having to repeat it again and again. I do not want to go to war memorials. I do not want to go to memorial services. I want us to be a real influence for peace, for justice and for human rights around the world. We do not achieve that by lying to Parliament. We do not achieve that by invading countries that do not have the weapons it was claimed they had.
ParlaMint-GB_2015-01-29-commons.u367	rose—
ParlaMint-GB_2015-01-29-commons.u368	Order. There is now a competition to see who is the most honourable Member by sticking to nine minutes. I call Mr Adam Holloway.
