ParlaMint-GB_2015-02-05-lords.u1	To ask Her Majesty’s Government what recent assessment they have made of the Russian armed forces.
ParlaMint-GB_2015-02-05-lords.u140	My Lords, I also rise to support the amendment, and in so doing declare a very particular interest as chairman of a public service broadcaster, STV. We are on Report and had a very full debate on this issue in Committee where, as the noble Lord, Lord Black, said, there was very little between any of us in understanding and appreciating the issues in front of us. I do not think there is any issue with saying that the original legislation is very out of date. It is not just the pay TV platforms that are benefiting from this; every day, new online content creators and online aggregators also benefit hugely from public service investment in all this. There is no doubt or dispute that the regulations are massively out of date, and the debate on the iniquitous nature of the investment in public service broadcasting has been very well rehearsed. My concern really is that the Government have a complete open goal here and have had it for quite some time. The Deregulation Bill, as we said in Committee, is a perfect vehicle for dealing with this as removing “unnecessary and outdated regulation” is exactly what it was set up to do. This is outdated and unnecessary regulation. However, the Government have chosen to go down the route of a consultation instead of taking the open goal in front of them. This consultation has now been very widely trailed over many months. At the Royal Television Society conference in early September, the Secretary of State said that now is the time to reconsider all the regulation around broadcasting. He signalled very strongly to the audience that day that the consultation was pretty imminent. That was September. We have managed to have a consultation—the Smith commission—on new powers for Scotland. We have managed to negotiate all that in that time, yet we have not managed to even get out of the blocks on a consultation on deregulation of this section. It is pathetic, quite frankly The amendment in the name of the noble Lord, Lord Clement-Jones, is excellent. It is simply belt and braces. There is no reason why the Government cannot accept it. But if for some reason the Minister is going to tell us that he cannot accept it and that there are sensible reasons for that, I would really like the House and the whole industry to hear, on the record, the timescale for this, because, as the noble Lord, Lord Dubs, said, there is a strong whiff of kicking this into the long grass The question of the general election is a complete red herring. This ought not to be a party-political matter. Losing hundreds of millions of pounds of income out of this country every single year instead of retaining that investment in the country and reinvesting it into the creative industries ought not to be an issue between any of the political parties. It should be a no-brainer. I do not understand why the general election should even be a feature in thinking about the timescale for this. I would really like the Minister to give us some very clear assurances about the Government’s intention and the timescale that they are going to adopt here.
ParlaMint-GB_2015-02-05-lords.u141	My Lords, I am the first to agree with my noble friend Lord Clement-Jones that this review is, if anything, overdue and that it is quite wrong for the public sector broadcasters to be subsidising cable operators in this way. But what I find absolutely fascinating is that the debate on Clause 64 hinged on the Government putting the cart before the force. Now my noble friend is putting exactly the opposite thought forward, and I would be grateful if, when he winds up on the amendment, he would explain why.
ParlaMint-GB_2015-02-05-lords.u142	My Lords, I very much support the amendment. There is a clear case for removing a superfluous piece of legislation such as Section 73, which is causing demonstrable damage to the public service broadcasting system and leaking value each and every day. Deregulation to remove harmful out-of-date legislation makes sense and is the point of the Bill, but I do not think anyone can sensibly argue that the prominence we give to public service broadcasters is damaging or harmful or needs deregulating. Put simply, what is the point of public service content if it is not discoverable Prominence enables huge levels of investment in original UK content by our public service broadcasters each and every year. Prominence is a key pillar of the PSB system and removing it or even watering it down would be nothing short of a death knell for public service content in this country. Prominence not only ensures that people can actually find the public service content we require our PSBs to produce, but it enables the PSBs that are funded by commercial means to maximise viewing figures and therefore maximise the value of the advertising they sell. This is what enables them to pay for what is often loss-leading content, such as impartial news and current affairs coverage, which we as a society have deemed important and require them to produce because the market simply would not produce this kind of content by itself. I very much hope that the amendment will be accepted, and I support it.
ParlaMint-GB_2015-02-05-lords.u143	My Lords, I, too, support the amendment. I echo the comments of the noble Baroness, Lady Howe, that platform owners and content providers actually depend on each other. The content provider needs the platform owner to disseminate the product. Equally, the platform owner needs content to make his platform in any way relevant. It is worth recalling that many years ago the old British Broadcasting Company, as it was first known, was formed by radio manufacturers who realised that nobody was ever going to use this new device called a radio unless there was some content to listen to. So they set up the British Broadcasting Company, which Lord Reith transformed into the BBC as we know it today. There is a mutual dependency I suppose the object of any legislation on this subject will be to try to mimic as far as possible what a free market would deliver. If I am the content provider and the noble Lord, Lord Clement-Jones, is the platform owner, clearly I need to pay him something for carrying my product; equally, he needs to pay me something for having that product, and we will strike a deal. That deal is going to be modified. First of all, the role of Parliament here is to set the rules by which both sides are going to operate. If we say, for example, that I as a content provider must offer it to him, it weakens my bargaining position. Equally, if we say to him that he must carry it, it weakens his bargaining position The public service broadcasters may have to face up to the fact that the price they will get for the product will be somewhat lower than what a free market might deliver simply because the platform owner will be obliged to take it—unless, of course, the Government are contemplating making it no longer obligatory for platform owners to carry public service content. If that rule were taken away, public service content would stand or fall on its own merits and attract a much higher price—or no price at all if somebody decided to run a channel without the BBC, which I think would be rather risky if we look at the viewing figures. We have a role first of all in deciding what the overall environment is going to be. There is going to be a degree of regulation because even the most free market-orientated of us recognise that there is a public interest here in making sure that public service content is universally available, which in some areas will mean using platforms that otherwise are of very little relevance. Equally, if the platform owner is going to be required to take that content, it will reduce the price it pays for it but there still will be a price. At the moment the transfer of resources from public service broadcasting to platform owners is wholly inappropriate and I hope the Government will address it urgently.
ParlaMint-GB_2015-02-05-lords.u144	My Lords, I, too, support the amendment. With the UK now the second largest exporter of television programmes, the commercial PSBs’ investment in content is part of the engine of the UK TV content market, driving the independent production sector and playing a critical role in supporting the rich talent pool, both on- and off-screen, across the UK, including the north-west, where I live UK programmes are not only hugely popular with UK viewers but have global appeal. These programmes demonstrate that the commercial PSBs are not only producing high-quality entertainment for viewers in the UK, free at the point of use, but producing a highly valued product that can be exported around the world and contribute to the growth of the creative industries, including in the regions, such as mine of the north-west. To be able to continue making these programmes, the commercial PSBs need to make a return on successful content investment, which my noble friends have clearly demonstrated that Section 73 is undermining Many noble Lords have referenced the Ofcom figures that show that between 2004 and 2012 there was a significant real-terms decline in PSB investment in original new programmes of around £800 million, and that between 2007 and 2012 there was a 29% real-terms decline in PSB spend on original new drama programmes. We should be very concerned about these numbers. The drama figure in particular links directly to the impact of personal video recorders and ad-skipping As has been pointed out, the UK broadcast market is evolving very rapidly as technology changes and convergence continues, altering the economics of the industry fundamentally. Therefore, retaining legislation such as Section 73, which was designed for the challenges of an analogue era, makes little sense in today’s highly competitive global media market Section 73 does not support the growth of the UK’s international television sector. It is putting our commercial PSBs’ ability to compete in a global market at risk. Contrast this with the UK’s main competitor internationally, the USA, which has a system that provides a “retransmission consent scheme”, which means that free-to-air broadcasters in North America are paid for delivering content to competing platforms. These payments, which amounted to $3.3 billion in 2013—nearly 15% of total broadcast television revenue—have been crucial to the continued viability of television broadcasters, contributing significantly to the new “golden age of television” in the US. They also accounted for less than 3% of cable operators’ revenues and have had little or no impact on pay-TV prices These fees have helped to sustain programmes that could not otherwise be made, such as regional news. They have also helped free-to-air broadcasters secure rights to sporting events that would otherwise be shown on pay-TV channels and have helped, or are helping, with technological changes such as the move to HD television No two television markets are exactly the same, but it is instructive that our key rival in international TV markets is taking such a different approach to maximising investment in original TV content. It cannot be right that we hold on to a system that increasingly does the opposite, particularly given that it has long since achieved its policy objective Like many of my noble friends, I have been waiting to see what the Government propose to examine with their intended consultation and, like them, I have been waiting some time to see when the proposed review will be published. I am also eager to know whether the recommendations that result from this consultation have any chance of being implemented. How will the Government ensure that this does not become just another issue kicked into the long grass as part of a consultation doomed never to see the light of day again, with commercial PSBs’ investment being put at risk all the while Section 73 has been discussed in detail as the Bill has progressed through Parliament, and I welcome this sensible amendment that would ensure that the Secretary of State has the power to repeal the whole of Section 73 without primary legislation. It seems a sensible solution that would not pre-empt the findings of the review yet would still mean that action could be taken at the earliest possible opportunity.
ParlaMint-GB_2015-02-05-lords.u145	My Lords, there could hardly be a more learned, well informed set of people than those of your Lordships who have spoken up till now. My connection with commercial television ended in 1980. The amendment before us sets right what was put wrong then. It was put wrong largely out of prejudice against the commercial sector and a failure to believe in the public service broadcasting demands that were even then made on commercial television, which were often regarded with suspicion. It seems to me well beyond the time when this amendment should be accepted. The thought that we have to wait still longer for a review, the contents of which we do not know, is quite absurd. I urge the Government to accept the amendment here and now.
ParlaMint-GB_2015-02-05-lords.u146	My Lords, once again, we have had a very good discussion about this topic. Although much stress was placed on the unanimity of view last time, I seem to recall myself being somewhat isolated and not in favour of what was proposed. I plead on this that I was simply arguing for good governance and not for a radical change in approach, because I share many of the views that have been expressed today. I simply think that the complexity of the matter is undervalued. The technological changes and all the other things that people are asserting without much evidence need to be tested by proper evidence-gathering and a proper report Like other noble Lords, I think that the way forward is to do something with Section 73 of the Copyright, Designs and Patents Act. There is some obvious logic in having the primary legislation already banked in order that it can be implemented when the time comes, but the right process would be to carry out the review to be absolutely certain that the complexities which are present are properly analysed, that the regulatory structure—in so far as it can be—is made future-proof, and that we come forward with a proposal in a coherent and proper way. I hope that the Minister will be able to shed light on the complicated manoeuvrings that are going on behind the scenes but have yet to see the light of day.
ParlaMint-GB_2015-02-05-lords.u147	My Lords, I am most grateful to my noble friend for his amendment. We certainly missed him in Committee, when we had an excellent debate—and we have had a similarly excellent debate today The amendment would create the power for the Secretary of State to repeal in whole or in part Section 73 of the Copyright, Designs and Patents Act 1988. Section 73 permits the retransmission, on cable, of the main PSB channels by providing that the copyright in the broadcast is not infringed by such retransmission. The resulting effect of Section 73 is that public service broadcasters are not able to charge cable operators for the retransmission of their services. This is clearly an area where many competing interests, particularly those of broadcasters, platforms and viewers, must in some way be balanced The Government’s approach is not to abolish Section 73 without exploring these interactions within the wider framework of regulation that impacts the balance of payments between platforms and PSBs. As has already been mentioned today, the Culture Secretary announced last October that the Government were looking at whether the time was right to remove Section 73 of the 1988 Act, which could allow PSBs to invest more in high-quality content Our view is that, rather than doing so in isolation, we need to look at this in the wider context, examining the framework of regulation that governs the balance of payments between broadcasters and platforms. I have heard it said in my short time in your Lordships’ House that when the two Front Benches agree, we are into very difficult territory—but this is an area of complexity that we need to look at properly We are very sympathetic—I emphasise, very sympathetic—with the aim of this amendment, which seeks to give Ministers the power to repeal Section 73 following consultations, but our view is that it would not give us all the powers necessary to repeal it fully. As I think everyone accepts, Section 73 does not exist in isolation. It underpins complex commercial arrangements between the cable operator Virgin and the public service broadcasters. We need to consider carefully what the impact of the repeal would be on these existing arrangements and consider what consequential and/or transitional provision would be needed when repealing Section 73. Parliamentary counsel advised that the amendment as drafted does not give Ministers the powers to make such a provision The Government intend to consult shortly. I fully understand the impatience, frustration and perhaps more than that, which many of your Lordships have expressed. I want to take this opportunity to run through the detail that I have available to me. I do not have all the answers, but I would like to explain the following. Part of this issue has been complicated by the Court of Appeal case, and we still await the judgment. But my understanding is that the consultation will definitely be before the election; in fact, we are proposing for it to be launched in a week or so. I understand that it will take eight to 12 weeks to complete, and then it will have to be assessed. I will make sure that all noble Lords who have spoken in this debate receive a copy of the consultation document so that it is available immediately It will be a broad consultation on the whole infrastructure, obviously including Section 73. However, it is important that Parliament has evidence of what may be the unforeseen consequences: for example, with arrangements for addressing areas that are difficult to broadcast to, such as houses in very steep valleys. As with all these things, it is the unintended consequences for the viewer that we need to watch out for I understand my noble friend’s frustration and am sure that in his winding up remarks he will stress that he does not think that the Government have acted as expeditiously as he would like. However, it is important that we make sure we get this right. As I said, we could not accept this amendment in any event because it is defective so far as parliamentary counsel is concerned. Our proposal is that we will consult—as I said—and then bring forward legislation to repeal Section 73 once the process and all the permutations and unforeseen circumstances that there potentially may be have been properly addressed. It is for those reasons and not for reasons of delay or lack of concern that I ask my noble friend to withdraw his amendment.
ParlaMint-GB_2015-02-05-lords.u148	My Lords, first, I thank noble Lords all around the House for their very strong support for this amendment. We heard a great deal of experience and understanding of the industry and the issues involved, and some very cogent arguments as to why this review is extremely important and indeed urgent, and why a mechanism is needed by which the review recommendations when they come out can be implemented quickly It is not quite a Damascene conversion from the Opposition Front Bench, but certainly there was an indication of some wavering there. Whatever it was, it was appreciated. Also, I thought that “banking the primary legislation” was a good phrase, because that is entirely the intention of this amendment. The only area of suspicion was exactly as my noble friend the Minister indicated: when both Front Benches agree that a matter is complex, we are in very dangerous territory indeed The absolute essence of this, agreed upon by virtually every speaker, was the need to pursue this matter with vigour. It is not party political. The noble Baroness, Lady Ford, had it absolutely right. This is a matter for forensic inquiry into the best way of stimulating investment in the industry. In response to the noble Lord, Lord Skelmersdale, the reason for wanting a mechanism in place before the review comes to a conclusion is because speed is of the essence It is not often that Ministers pray in aid parliamentary counsel’s views in opposition to an amendment. I am deeply admiring of the fact that parliamentary counsel had time to cast his eye over my humble amendment. Clearly, there is further work is to be done on it I do not think that the Minister really answered a number of issues in his reply. I understand that he does not have a great deal of detail about the review or its terms of reference. We heard about the timescale and I am grateful for that, but really, considering that the review was announced some months ago, we should have had a great deal more progress made on this. We should have an answer as to why the whole EPG prominence issue has been included in this. The noble Lord, Lord Gordon, had it absolutely right in terms of the interdependence of the content providers and platforms. It is extremely important in this day and age as convergence takes place that we set the rules very clearly. There is a problem of declining investment in programme content by PSBs, as my noble friend Lord Storey mentioned; it is a real worry The Minister said that my amendment would not give the necessary powers, and I must accept that. The weight of parliamentary counsel coming down against it is like Ministers saying there are technical flaws in one’s amendment. I would dearly love to have an all-powerful amendment to put before the Minister. Perhaps—who knows?—that might be forthcoming at some stage The Minister promised a broad consultation, which is probably a matter of concern rather than reassurance. I hope that he is aware that the intent behind this amendment was either to get him to agree to it—which of course he has not—or to get satisfactory assurances from him about the progress of the review. Sadly, I appear to have failed on both counts. The phrases most commonly used throughout this debate by all noble Lords were “long grass” and “back burner”, while “red herring” was also mentioned. Although I will withdraw the amendment, I do so without feeling too assured of the current state of play. I was very pleased to hear that the Minister will keep us in touch with the start date of this great review, and that it will take eight to 12 weeks, and I hope that we will make rather better progress than we have done to date. In the mean time, I beg leave to withdraw the amendment.
ParlaMint-GB_2015-02-05-lords.u149	My Lords, it is just the stroke of fate that means the House must hear another amendment from me straight after the previous one, but I am sure noble Lords never get bored of hearing about busking and the issues surrounding it. I very much hope that we have some aficionados around the House who will support my amendment I am sorry that I was not able to be present in Committee for the equivalent amendment moved at that time. However, my noble friend Lord Stoneham very ably put the case there and I am extremely grateful to him for doing so. He emphasised that busking is an essential part of London’s street culture. My noble friend Lord Gardiner of Kimble, too, in response said: “The Government are clear that busking can enrich a community’s quality of life and generate a positive atmosphere enjoyed by many people” He also said: “The Government do not start from the position that busking requires regulation and control. Busking should be about freedom of the individual, and only if necessary should local action be taken to curb certain excesses”.—[Official Report, 11/11/14; cols. GC 46-7.] My starting point today is precisely from those words. My aim is to show not only that across the UK are many voluntary schemes coming into effect to promote and ensure that there is a thriving and popular busking scene but that, particularly in London, there are myriad ways of tackling noise and other nuisance if necessary other than by introducing repressive local authority licensing schemes under the 2000 Act, or using outdated legislation in London under a 170 year- old Metropolitan Police Act In Liverpool, York and many other cities, voluntary codes have been or are being agreed which obviate the need for licensing. Following work by the mayor’s busking task force and drawing inspiration in particular from Liverpool’s experience, Busk in London has been created. It is organising National Busking Day in July and a young buskers’ competition. With the MU and others, it is co-ordinating agreement across the London boroughs on a new busking code and voluntary online registration as the way forward in London. That will be launched on 18 March and celebrated on National Busking Day I hope my noble friend will agree that the aim must be to minimise the amount of regulation surrounding the performance of live music and continue the work begun with the Live Music Act 2012. I am sure that this voluntary action will demonstrate, as it has in Liverpool, that we can encourage appropriate busking without a cumbersome licensing system and only relying on statutory powers inter alia against noise, nuisance, obstruction and vagrancy as a backstop against those who do not stick within acceptable boundaries However, as my noble friend said in Committee: “Regrettably, though, street entertainment can sometimes be a source of conflict between buskers, businesses and residents. Complaints of noise, nuisance and anti-social behaviour can arise, and police and local councils have to respond and try to find solutions”.—[Official Report, 11/11/14; col. GC 46.] In response, some councils and the police have actively used inappropriate or archaic legislation to discourage busking in a disproportionate way. My noble friend Lord Stoneham gave the example of the London Borough of Camden using Part 5 of the London Local Authorities Act to ban street music at any time, amplified or unamplified, except through a special busking licence. Breach carries a fine of up to £1,000. Again, in Committee, my noble friend Lord Gardiner said: “If we were to accept the amendment, the Government would indeed be saying that London councils should not have the option to decide whether or not to license busking based on local circumstances. Indeed, we feel that this is not a subject for top-down government solutions; it is for local authorities to determine fair, reasonable and transparent policies in relation to managing our streets”.—[Official Report, 11/11/14; col. GC 47.] Why not? The Licensing Acts regulate the parameters of action for local authorities. Those powers are not held by any other locality. Why should London be the exception The amendment would also remove Section 54(14) of the Metropolitan Police Act 1839. My noble friend Lord Stoneham reminded us of the experience of the King’s Parade, the winners of the mayor’s busking competition, Gigs, who were busking in Leicester Square and were bundled into a van by eight officers and held at Paddington police station for more than six hours. The Minister said that although Section 54(14) is rarely used, the Metropolitan Police need to retain the provision to give their officers the tactical option of dealing with what they call busking-related offences. What are they? Are we talking of three-card trick artists on Westminster Bridge or pickpockets in Covent Garden—that is, activities totally irrelevant to legitimate busking? Does that not show a completely false understanding by the Metropolitan Police of what busking is I was struck by and grateful for what my noble friend Lord Paddick, who has great experience of London policing, said. He said: “My Lords, as a former Metropolitan Police officer of 30 years’ experience, I cannot think of any offence that a busker might commit that is not covered by other legislation or requires the use of the Metropolitan Police Act”.—[Official Report, 11/11/14; col. GC 47.] There are effective solutions and adequate powers that are proportional to deal with noise nuisance and other problems to which busking occasionally gives rise. Busk in London plans to work with the local authority noise and licensing teams in London to ensure that we bust any myths about current legislation not being usable against problem buskers. The Environmental Protection Act 1990 enables councils to issue noise abatement notices against buskers who cause noise nuisance. A breach of a Section 80 notice carries heavy fines and allows a local authority to seize and confiscate instruments and equipment. Section 80 notices can also be issued pre-emptively if it is likely that a busker will cause a noise nuisance. There are many examples—in Cardiff, Boston, Oxford and Newcastle—of the EPA and noise abatement notices being successfully used against problem buskers. The EPA is flexible enough to impose conditions on buskers who have caused issues, and able to deal successfully with complaints about a busker while allowing him to play for agreed intervals Likewise, I could take the House through the extensive powers available to deal with obstruction, illegal street trading, begging and other problems. In passing, I should say that, sadly, there are new powers under the Anti-social Behaviour, Crime and Policing Act 2014, which came into force last year, which could be used in a heavy-handed way. The new community protection notices and public space protection orders create new powers that could be used disproportionately and pre-emptively by local authorities. I have an Oral Question about the use of those powers against busking to be debated soon, so I will not pursue the matter today, except to say that it appears that Canterbury is already invoking them and Bath may be about to I hope that the Minister will applaud the initiatives that are taking place in London and elsewhere in our major cities to promote busking and encourage it as an art form, but I also hope that he will accept that there is quite enough general legislation to deal with noisy busking without specific legislation for London. There are quite enough powers in existence to ensure that nuisance busking can be prevented without having to keep Part 5 of the 2000 Act or Section 54(14) of the Metropolitan Police Act 1839. I beg to move.
ParlaMint-GB_2015-02-05-lords.u150	My Lords, I certainly support the amendment of the noble Lord, Lord Clement-Jones, to repeal this legislation and agree with everything he said. The point about those two sets of legislation, one old and one much more recent, is that they are blunt instruments that deliberately set out to penalise buskers and therefore—this is an important point—do not get to the bottom of what the problem or complaint against them might be, or whether there is one The licensing of buskers in London allowed by the second piece of legislation referenced in the amendment, Part V of the London Local Authorities Act 2000, is an extremely unsatisfactory solution all round, and the introduction of licences in Camden was a knee-jerk reaction to complaints. The licences are expensive and there is the threat of heavy penalties and the power forcibly to sell off instruments, but buskers move around the country and it should be a reasonable assumption that they can expect the same measure of treatment wherever they are, as there ought to be similar expectations of their behaviour wherever they are in the country Last year, in an article in the Guardian, Munira Mirza, deputy mayor of London for education and culture said: “A myriad of regulations in different parts of the city are causing confusion. Some local authorities are imposing licensing fees which can make it prohibitive for many musicians … Busking is a crucial part of the music eco-system in the capital; a chance to develop and grow in front of the public” I hope that the Minister will agree that the solution to that is not catch-all legislation but guidelines produced on the ground as a result of sensitive investigations between buskers, councillors and local people. Jonny Walker, the busker who heads up the Keep Streets Live! campaign, has done a lot of work on that—successfully with Liverpool and he is now working with Canterbury and elsewhere The GLA is now producing its own guidelines, with input from Jonny Walker, and it would probably be helpful if the Minister, if he has not already had a preview, were to see the guidelines when they are ready. I say that in part because the proper overall solution is national guidelines, so that every busker and member of the public knows where they stand, wherever they are in the country Of course, buskers have responsibilities, just like any user of or participant in public space, but legislation already exists to deal with specifics—as the GLA guidelines make clear, and the noble Lord, Lord Clement-Jones, has described in detail. That is what should be used as back-up, not this heavy-handed legislation which goes in all guns blazing. The question of the quality of buskers should not be an issue. We have all heard some who are pretty dire and then we hear some who are amazing, and many who are in-between. The issue is, rather, about public space being used as it is intended to be used—which is, to spell it out, as public space—and spontaneous music should be a part of that In this context, I remind the House of the long debates it had a year ago on the amendment of the noble Lord, Lord Dear, to the Anti-social Behaviour, Crime and Policing Bill, which is now of course an Act. It carefully drew the line between nuisance and annoyance, with music made in streets and parks being cited as an example that is perhaps annoying to some, but not to all. I am not necessarily saying that that legislation is appropriate to be used for buskers either, if it becomes another knee-jerk threat that precedes the use of guidance. Public space is an important aspect of our democracy. How sensitively we negotiate that space is a mark of how democratic our solutions will be.
ParlaMint-GB_2015-02-05-lords.u151	My Lords, there have been moments during the debates on this Deregulation Bill when I have been forced to ask the Government why on earth they are bothering to get rid of some bits and pieces when they will not have any effect at all. That is why I find myself particularly encouraged by the amendment here We can draw the sort of people who do not like busking very simply: they are general kill-joys. I have always thought that life is divided between those who are life enhancers and those who are life destroyers. One of the problems is that many life destroyers are worthy, honourable and decent members of society, but they are deeply boring and therefore entirely to be opposed. My problem with this amendment is that it does not go far enough. It is a disgrace that there are so many bits from Acts which can be used against buskers by local authorities and by the Metropolitan Police I draw my noble friend’s attention to the phrase “busking-related offences”. I have spent some time, since we last discussed this, trying to imagine an offence which was busking related and not an offence in any other way. I am quite an imaginative person and I do not have too pure a mind but, even putting those two things together, I have so far been unable to discover any offence which is both busking related and not covered by something else in the statute. To go back to “So who said it?”, I may now say something which many will object to, for it was said by the police —well, they would, would they not? The Metropolitan Police always have a reason for leaving any way which enables them to do what they want I spent hours and hours discussing the simple business of applying to the space outside your Lordships’ House the same rules as were applied by the House of Commons to the space outside it. I cannot tell your Lordships how much of that time was made up of people explaining why it was utterly impossible, and would probably cause the collapse of western civilisation, that the extent from one to the other should be done. I know that it has been a mere six or nine months since we passed that provision, but I have not noticed any real effect of the kind of major disaster since that small change. I feel that we are in the same position here. I do not know why we should have this. Indeed, because we have been over this before, in the previous debates I thought that there was no reasonable explanation as to why these two provisions should not be removed. I say to my noble friend—and he is indeed a friend—that, to dissuade us from this amendment, the following proof has to be shown First, it has to be shown that there is something in the presence of these provisions in the law which is unique. It should be different and cover something which nothing else covers. If we cannot prove that first thing, then of its nature the Deregulation Bill says that we should get rid of it. That is why we have a Deregulation Bill. It is what the Government have been wittering on about: how we have got to have deregulation because there are too many regulations. However, if this is a regulation that shall be kept, it must be seen to cover something which nothing else covers Secondly, it must be shown to cover it appropriately: in other words, not to give powers to the police, or to the miserable local authorities such as Camden, which will be misused either in an excess of energy, as certainly took place when people were bundled into a police van in Leicester Square, or by a determination to respond to any complaint, however pathetic, of the kind which explains Camden’s treatment of buskers. It has to be necessary and appropriate Lastly, it seems to me—and I hope that my noble friend will be able to explain this, too—that it has to be relevant to today. Many things which were appropriate to yesterday we would today find unacceptable. London is the greatest city in the world. It is the only “world city” and we are immensely lucky to live in this great city. We should be thrilled every day about London, but it is like that because of its variety and difference—its mix of different races and communities, and the like. It is the great triumph of immigration. When people talk about immigration, I tell them to come to London and see what immigration can do to a great city. It is a thrill to be here. In those circumstances, though, this great centre in the European Union—its capital, in many ways—needs as much busking as possible. There are some miserable places where more buskers would cheer us enormously. Anything that inhibits busking unnecessarily seems to be not of our day, and not of today’s London. The idea that buskers should find it more difficult in London than they do in Liverpool seems to be manifestly barmy I hope that my noble friend can rise to the occasion and, if he cannot answer those three things, say that he will take this away and get rid of the nonsense.
ParlaMint-GB_2015-02-05-lords.u152	It is really unfortunate to have drawn the straw following that contribution. The noble Lord has spoilt my day, but that was a very nice way of doing it; I thank him very much I was going to start with a little riff on why the true author of this amendment was being withheld from us, as the noble Lord, Lord Clement-Jones, mentioned that he had not been able to be in Committee. It is an irony beyond irony that the first amendment in his name was the rather beautifully named “parasitic packaging” amendment, for which he produced a parasitic package—the noble Lord, Lord Stoneham, who not only replicated every word and phrase that the noble Lord, Lord Clement-Jones, would have used but did so in such a brilliant and concise way that he immediately won the hearts of all of us in Committee. We welcomed back the noble Lord, Lord Stoneham, for round two, on the amendment to remove Section 73, which was not quite so successful but was pretty good, and then he went on to busking. Busking was a tour de force; it was almost as good as what we have just heard from the noble Lord, Lord Deben, because he listed every one of the blooming regulations—I think there were 11 of them—that we are told are inhibiting busking in our greatest world city. I have to say to him, though, that he had obviously missed three because the noble Lord, Lord Clement-Jones, has now done even more research and produced another few that he has added to the list I absolutely buy what the noble Lord, Lord Deben is selling today, that this is a ridiculous farrago of regulation that needs to be sorted out. There has to be some clarity about what the authorities want out of the regulations that they wish to put forward. There has to be some sense of equity between those who wish to perform and those who wish to listen, and the rights and responsibilities of neighbourhoods in terms of pollution and other things. There has to be the clarity of a single piece of legislation that everyone can refer to When the Minister responded in Committee, he used a ridiculous phrase, a chilling remark that I still sometimes wake up and think about in the middle of the night: “the Metropolitan Police have a desire to retain necessary powers”.—[Official Report, 11/11/14; col. GC 48.] Come on. It is so easy to say that, and so difficult to get up the energy to say, “Okay, let’s know what these things are”. What are these necessary powers, and what exactly is this desire that the police seem to bear in their corporate bosom to do something about those who wish to entertain and perform in a way that I would have thought to most people would be a very appropriate thing to do in such a major city? It is up to the Minister to come back on this amendment. I hope that he can step up to the mark and give us a bravura performance, on whatever instrument he chooses, but he should pick up on one point that was raised in discussion in Committee by my noble friend Lord Rooker, who said that there is an obvious and clear remedy for this. The Law Commission exists to tidy up exactly this sort of arrangement, and the Minister said that he would go off and consult on whether it was the appropriate body. First, of course, he said that it was not the appropriate body, but then he was told in no uncertain terms—because that is what my noble friend does—that the commission does indeed look at these things; it is quite happy to update, refresh and reform legislation or regulation that needs it. Surely that is the way forward, and I look forward to hearing from the Minister—in music.
ParlaMint-GB_2015-02-05-lords.u153	My Lords, I thank my noble friend for his amendment because it has precipitated a most enjoyable debate. As has been said, these matters were considered in Committee. I assure my noble friend that, following that debate, we have looked again at these issues even more thoroughly. However, I repeat my own sentiments from Committee: the Government are clear that live music and street entertainment play an important role in community life, and can generate a positive atmosphere that can be enjoyed by all. Indeed, only this morning a guitarist in Westminster station was doing precisely that. If I might digress and respond to my noble friend Lord Deben, my definition in life is “drains and radiators” as to how people perform in their lives The Government therefore do not start from the position that busking requires regulation and control. However, in our view it is important that backstops are in place on those rare occasions when an anti-social busker does not respond to requests from the police, or when other legislation, such as that relating to noise or anti-social behaviour, is found to be insufficient. It is in those circumstances that we believe the two pieces of legislation mentioned still have a role to play As I explained in Committee, the Metropolitan Police Service has advised that it still uses the powers under the 1839 Act for operational and tactical reasons. I am sure that I am not going to satisfy all my noble friend Lord Deben’s demands. I was most grateful to the noble Lord, Lord Stevenson, for mentioning the intervention from the noble Lord, Lord Rooker; that helpful intervention precipitated officials having detailed discussions with the Law Commission regarding Section 54 of the 1839 Act. The Law Commission has advised that it would be able to recommend repeal of a specific provision only if it appeared, following research and consultation, not to have any practical utility. In this case, the Law Commission has advised that it would be highly unlikely to recommend repeal in the face of sustained opposition from the police.
