ParlaMint-GB_2015-01-27-commons.u1	1. What recent estimate HM Revenue and Customs has made of the amount of uncollected tax in the UK.
ParlaMint-GB_2015-01-27-commons.u277	That is exactly the point. We should concentrate on continuity and relationships. At times we are sidetracked by posts and appointments I want to move on to local authorities, whose responsibilities change when a young person turns 18. Too many people think that local authorities interpret that change as meaning that their responsibilities diminish, despite the fact that they have a continuing obligation to those young people until the age of 21, or 25 for those still in education and training. As we have heard several times, the Minister has recently extended the previous Government’s pilots to create a new obligation or arrangement for staying put in foster care until the age of 21. Like others, I think that that is a welcome measure, although I urge him to look at authorities that are trying to avoid paying foster rates, arguing that such arrangements are in fact board and lodging provision. I have recently been made aware that that is happening in one or two places, and the Minister will agree that that is certainly not what he had in mind I welcome the part of the Government’s response to the report which says that they believe that fewer young people should leave care before the age of 18 unless there are exceptional circumstances. In his reply, can the Minister say a little more about what practical steps the Government will take to translate this belief into reality? Despite personal advisers and strengthened guidance, the Committee found that young people are often given neither a choice of placement nor the opportunity to voice a preference. The Coram Group, an excellent organisation, said in its evidence: “The young person’s views are frequently not adequately considered and advocacy support is vital to ensure this happens” An independent advocate is a statutory requirement, yet it is not a service that is always offered or that enough young people are made aware of The Government say in their response that they have given the Children’s Commissioner a new power to provide advice and assistance to individual children in receipt of social care services and to make representations on behalf of care leavers. Am I right in thinking that the commissioner has no real new powers? Is the Minister satisfied that the power to make representations is a sufficient new power for the Children’s Commissioner? The Government argue that they have strengthened the guidance on pathway planning and point to the fact that directors of children’s services are now required to sign off the arrangements for any 16 or 17-year-old leaving care. However, as we have heard from a number of speakers today, the evidence suggests that the pathway plans are weak, and one glaring omission is the failure to consider maintaining positive relationships with siblings and other people thought to be important in the young person’s life My hon. Friends the Members for Stockton North (Alex Cunningham) and for Stockport (Ann Coffey) both drew attention to the impact that this can have, particularly when it is almost ignored in the planning arrangements. Like others, I wonder how we can expect young people to develop into normal, well-adjusted adults if we deny them the opportunities that we take for granted for our own children and many others. I welcome the addition to the guidance on the pathway plans in this respect and I trust that the Minister will continue to focus on this area in the months ahead One of the inevitable results of the “Staying Put” initiative is that, as we heard, it has raised the question of those in residential care and the related issue of staying close. There appears to be a perception in some local authorities that their responsibilities decrease when a child reaches 16. That is certainly the sense among young people who feel that 16 is the cut-off point when they are required to leave care. This came across in the evidence that the Committee took. I am not sure about the equality aspect of “Staying Put” for non-foster care. I do not know whether it would withstand a legal challenge. From his previous incarnation the Minister might be much more familiar with how the law would deal with that. Aside from that, my own view is that 16 is the age for most young people to set out on their own. Like the hon. Member for Calder Valley (Craig Whittaker) I attended a recent meeting of the all-party group for looked-after children, where many of those said that even at the age of 18 they did not feel that they were ready to move on I know that this is a difficult matter for many people. I have some doubts about whether it is realistic for someone to continue in a children’s home to the age of 21 or beyond, although I am rather sceptical of the validity of some of the counter-arguments. Particularly on safeguarding, I tend to agree with the Every Child Leaving Care Matters group, which said that it is difficult “to see how a young person who is settled in a children’s home and enjoys positive relationships with staff and peers should suddenly become a safeguarding risk at 18 when they never were before.” I am keen that the Government set to work as soon as possible on addressing this matter. We have heard about some of the work involving the National Children’s Bureau, the Who Cares? Trust, Barnardo’s and others. Will the Minister tell us how much money from the innovation programme has gone into that work to date, and what time scale he is considering for further proposals indicating his plans for staying close and “Staying Put”?
ParlaMint-GB_2015-01-27-commons.u278	The hon. Gentleman says that he has misgivings about the extension and that some of the arguments are bogus or weak. What are his concerns? As a Committee, we made these proposals in a cross-party spirit in the hope that parties such as his would adopt them and put them in their manifestos. Why will he not be making that recommendation to his party’s manifesto group?
ParlaMint-GB_2015-01-27-commons.u279	I said that I had some doubts. The hon. Member for Calder Valley said that the difference is that there is not necessarily the same stability with regard to children’s homes. The situation is not guaranteed in the same way. Fostering arrangements, by definition, tend to be stable. The turnover of staff and other children at a children’s home means that the situation may not be the same. That is my major reservation.
ParlaMint-GB_2015-01-27-commons.u280	The idea of staying put, wherever it is, is that it is suitable for all concerned. The aim is not to impose it on anybody. Like our recommendation on extending care services to the age of 25 for those who are not looking for a job or training, it is there if people want it, and if it is not appropriate, there is no suggestion that it should have to happen.
ParlaMint-GB_2015-01-27-commons.u281	I entirely accept the point that the Committee Chairman is making. The hon. Member for Calder Valley said that there may well be options. My point is simply that the situation is not directly comparable. I am minded that we look at this carefully. We cannot say that children in foster care get the benefit of “Staying Put” until the age of 21 and children in children’s homes are completely disregarded. That would not be acceptable, and I do not think that anyone is saying that. I am simply suggesting that the situation may be slightly different. I want to take up the Committee’s point about the problems of making full-time education and training central to continuing support until the age of 25. We were all rather encouraged when the Minister said in Committee that he intended to rewrite the guidance so that it would be sufficiently clear that he was concerned about those who were in danger of falling through the net. So far, the rewritten guidance does not appear to have achieved that. Surely the real issue is that it is too easy for those we refer to as NEETs— not in education, employment or training—to disappear. Unless directors of children’s services and others are under a specific obligation to track and monitor these young people, there is every danger that they will fall by the wayside I want to turn to “other arrangements”. As we have heard, the Committee was very concerned about accommodation that it felt was not of an acceptable standard and might fail the statutory guidance tests of being suitable for the child in the light of his or her needs, including health needs, and of the responsible authority having satisfied itself as to the character and suitability of the landlord. I acknowledge that the YMCA said in evidence to the Committee that some local authorities provide a decent variety of accommodation, and I do not dismiss the fact that there are examples of success out there. However, Ofsted found significant variations in the quality and sufficiency of accommodation for care leavers. The Who Cares? Trust has also reported examples of unsafe and unsuitable accommodation. I will not go over them all, as they have been mentioned by other speakers, but they include people being threatened or assaulted; living with those with drink and drugs problems; and having dirty accommodation infested with bedbugs and cockroaches. The British Association of Social Workers has said that it is “firmly of the view that the government needs to apply regulatory duties to all accommodation providers who accommodate looked after children in order that they are appropriately safeguarded and the provision meets acceptable standards.” I noticed that the report highlights an interesting dilemma on regulation. It is fair to point out that one witness warned of the risk that if regulation is too onerous it will stifle creativity in support arrangements and inhibit independence projects. I was interested in Catch22’s suggestion for a national standards framework, which, if I have read the report accurately, the Committee appears to have liked. I am not sure that the Government’s proposals go anything like far enough, and I urge the Minister to reflect again on that point. About 3,000 young people are covered by other arrangements, and that is an awful lot of lives at risk.
ParlaMint-GB_2015-01-27-commons.u282	On what my hon. Friend is saying about our recommendation for a framework of individual regulatory oversight, I confirm that we recommended that the DFE consult on setting one up. Does he agree that that is a sensible way forward?
ParlaMint-GB_2015-01-27-commons.u283	I would welcome that, and I urge the Minister to think again Finally, there is general consensus that bed-and-breakfast accommodation is unacceptable and that a deadline must be set for phasing it out altogether, although I acknowledge that that cannot happen until more work has been done on developing alternatives. I welcome the fact that the Minister has set a maximum of two days for the time a child can spend in a bed and breakfast. How will that guideline be monitored, because that will be the first test of whether it is having any impact I must say that I am disappointed that the Minister does not seem to have accepted the need to set a date by which the use of bed and breakfasts must be phased out. I welcome the decision to collect more data on the use of this arrangement, although I am not clear why he did not accept the suggestion that the Department simply mirror the current arrangement for housing authorities to report to the Department for Communities and Local Government. It seems to me that that is a tried and tested system, so it would make sense and be quite helpful to repeat it Will the Minister say when the Department will commence work with stakeholders to understand the issues better, as was mentioned in the Government response? When can we expect to see substantial progress? The use of bed and breakfasts for vulnerable young people who need care must rank alongside other great housing scandals of the past, such as those highlighted by the drama “Cathy Come Home”. I do not accept that it has a continuing place in the plans to care for vulnerable young people I again thank the Committee for its excellent report and the Minister for the Government response, but I feel that there is more to do before we can be satisfied that the arrangements for children over the age of 16—for whom we, the state, are responsible—are adequately cared for
ParlaMint-GB_2015-01-27-commons.u284	I thank the Chairman of the Education Committee, my hon. Friend the Member for Beverley and Holderness (Mr Stuart), who secured this important debate. I also reiterate my gratitude to his Committee and its members for their continued interest in our collective efforts to improve the lives of children in and leaving care—a group of young people who are among the most vulnerable in our society and who have not always received the support that they need to overcome the difficulties they often face in making a successful transition to adulthood Before dealing with the specific points that have been raised by hon. Members in the Select Committee report and in the thoughtful contributions today, I will take a few moments to set out the wider work of the Government on our commitment to improve the lives of care leavers. As the Chairman of the Select Committee fairly set out, since 2010, we have put in place a series of measures that mean that young people who leave care receive more help than ever before. In 2013, we published the first cross-Government care leavers strategy, which illustrates the priority that the Government give to improving the lives of care leavers. It includes measures to improve care leavers’ access to education, training and employment; help to access appropriate benefits and health support; and extra support for care leavers who have unfortunately ended up in the criminal justice system. Many of those measures cut across departmental budgets The strategy was preceded by a number of important changes that were designed to improve the level of support that care leavers receive from their local council. We have made it clear in statutory guidance that all care leavers should receive support from a personal adviser up to the age of 21, or 25 if they are in education or returning to education, or if they have a desire to do so. We have introduced bursaries for those who are participating in further or higher education. We have pushed all local authorities to provide a setting up home allowance of at least £2,000. We have been responsible for the introduction of more than 54,000 junior individual savings accounts for children in care. We have made it easier for care leavers to access their social care records. I am pleased to report that the vast majority of local authorities have signed up to delivering the care leavers charter Since launching the care leavers strategy, we have continued to look at further ways to support care leavers. Most notably, we have introduced the “Staying Put” duty, which will allow thousands of children in foster placements to remain with their foster carers until the age of 21. We are providing local councils with more than £40 million over three years to implement the new duty. I will return to that later We have strengthened the Ofsted inspection framework so that it includes a specific judgment on the quality of care leavers’ services. As Ofsted told the Education Committee: “The quality and suitability of accommodation for care leavers contributes significantly to the judgement that inspectors make on the experiences and outcomes of care leavers.” As the hon. Member for Sefton Central (Bill Esterson) and my hon. Friend the Member for Calder Valley (Craig Whittaker) said, care leavers often have difficulties accessing mental health support when they need it. We are determined to address that problem and have announced the creation of the children and young people’s mental health and well-being taskforce to consider what changes are needed to improve outcomes for children and young people with mental health difficulties. Crucially, that work will include a focus on the needs of vulnerable groups, including those who have been in the care system.
ParlaMint-GB_2015-01-27-commons.u285	I know that the Minister is aware of the shortage of CAMHS workers. He will appreciate that unless that is addressed, it will be difficult for him to live up to what he has just pledged. What work is he doing with colleagues at the Department of Health to ensure that there is an increase in the number of staff who are available to deliver what he has promised?
ParlaMint-GB_2015-01-27-commons.u286	As is often the case, the strange dissection of responsibilities across Government means that ministerial responsibility for CAMHS resides elsewhere in the Department, but the Under-Secretary of State for Education, my hon. Friend the Member for East Surrey (Mr Gyimah) works directly with the Department of Health, through the taskforce, to look at what resources are required. In recent weeks, it has been announced that further money has been made available to improve the services that are available to children who have mental health problems Every party in the House recognises that the mental health services that are on offer to children, particularly those who are in care, on the edge of care or leaving care, are simply not good enough. That is why we need a fundamental review of how we commission, deliver and review the progress of children and young people who should have access to those services. We have made some significant changes to how we approach special educational needs—there is joint commissioning, and we are looking at a system that can be used from birth to 25—and we can learn a lot of lessons from that in how we deal with mental health services, particularly for children in care and care leavers As part of our commitment to improving services for care leavers, we have funded a number of projects designed to stimulate new and innovative approaches. For example, we have given funding to the Care Leavers Foundation to run the New Belongings project, in which care leavers play a central role by helping to identify barriers and find solutions to improve services in nine local authorities. I am pleased to tell the House that we will provide further funding to extend the New Belongings project. The second phase will be rolled out shortly and will involve embedding progress in those nine councils. It will also extend the project to more local authorities. We will also continue to fund the From Care2Work programme, which helps care leavers to get a foot in the door with some of our major employers, providing work experience, apprenticeships and employment opportunities. It is only right that we record the progress that has been made in recent years, but as the debate has shown, we clearly still have some way to go before every care leaver will be getting the support they need I turn to the specific issues that have been raised in the Education Committee report and by hon. Members today, beginning with the difficult but important issue of bed-and-breakfast accommodation. I agree with all Members, led by the Chair of the Education Committee, who have said that bed-and-breakfast accommodation is not suitable for care leavers. That is, of course, what the law says. However, as I said in our response to the Committee’s report, we do not think an outright ban is the right approach. We are not a lone voice—the chief social worker for children and families has said: “A total ban on bed and breakfast restricts the ability of professionals to exercise their judgement in making best interest decisions about young people’s safety and welfare.” The charity Catch22 has said: “The reality is that there is a need for emergency, crash-pad accommodation for a very distressed young person who is in an urgent situation and needs accommodation. An outright ban could deny them access to much needed support in an emergency.” That position is supported by the Association of Directors of Children’s Services and by the Local Government Association. The Care Leavers Foundation has said that it “reluctantly concedes that permitting use of B&B in emergency situations is probably a necessary caveat, as there may be circumstances where in the absence of a B&B option a care leaver could potentially be at risk of street homelessness or being warehoused in a hostel.” As I indicated to the Education Committee, in light of those concerns we want to test further the practical implications for local authorities if a total ban were introduced. We have started that process and are continuing to talk to relevant parties such as the independent reviewing officers group, Barnardo’s, Catch22, the Care Leavers Foundation, homelessness charities and others to better understand the issue. I know that the hon. Member for Strangford (Jim Shannon) raised that point. We know that there are some excellent examples, which hon. Members have noted today. The hon. Member for Stockton North (Alex Cunningham) mentioned Hartlepool and other parts of the north-east, and Wiltshire has also managed to find ways to provide suitable accommodation without needing to resort to bed and breakfast, so it can be done. I should add that the Department for Communities and Local Government has provided £1.9 million to support local authorities in developing sustainable solutions to stop the unlawful use of bed and breakfast for families and children. The seven funded councils have achieved and sustained a 96% reduction in the number of households with children in bed and breakfast for longer than six weeks.
ParlaMint-GB_2015-01-27-commons.u287	I do not want to tease the Minister, but if a large number of authorities across the country can achieve a 100% reduction, the best practice is out there and authorities know how it can be done. Is it not time just to say, “Do it”?
ParlaMint-GB_2015-01-27-commons.u288	Of course we want every local authority to do it, and the more that we can help them achieve that the better, but we have to consider the practicalities of a ban, bearing in mind the mixed views about how it could be implemented and the emergency situations in which bed and breakfast might be required. We must also ensure that local authorities that are falling short understand how ending the use of bed and breakfast can be achieved, and that is one purpose of the innovation programme—to spread good practice so that places such as Wiltshire and Hartlepool do not hold a secret but can impart their knowledge successfully across the country I can confirm that, following the Committee’s report, we have further strengthened our statutory guidance to make it clear that for 16 and 17-year-olds emergency placements in B and B should be used only in exceptional circumstances and be limited to no more than two working days. I will write to all directors of children’s services shortly on a range of matters relating to children in care and care leavers, and I will bring to their attention in that correspondence the amended guidance on bed and breakfast. It may be a good opportunity to let them know about the good practice in other parts of the country On 31 March, we will receive data collected on the accommodation of 19, 20 and 21-year-olds and whether it was deemed suitable, including a breakdown on bed and breakfast. For the first time next year we will collect data on 17 and 18-year-olds too, and that will help us to establish the impact of the strengthened statutory guidance on bed and breakfast. I return to the arguments made by the chief social worker and the central premise that if we have a high-quality professional body making sound decisions and backed by tailored support, no care leaver need be put in unsuitable accommodation.
ParlaMint-GB_2015-01-27-commons.u289	The Minister said that data are collected on 19 and 20-year-olds and next year they will be collected on 17 and 18-year-olds. What is the situation for 16-year-olds?
ParlaMint-GB_2015-01-27-commons.u290	I anticipated that I might be asked that question and, in his usual manner, the Chairman of the Committee has established my exact thoughts. I am told that, for technical reasons, we cannot collect data until after the age of 16 as young people are still in care before that point, but we intend to refine the data when we receive them to establish whether any 16-year-olds are in bed and breakfast. The data are collected on the young person’s birthday as opposed to at financial year end. They cannot be collected on their 16th birthday so we have to wait until their 17th birthday. We will look at how we can retrospectively analyse the data and establish how many 16-year-olds have been in bed-and-breakfast accommodation during that year. If we can refine the data in the future, we will look to do so Several hon. Members raised the issue of alternative accommodation. It is right that all forms of alternative accommodation—bed and breakfast, supported lodgings, foyers and so on—should provide care leavers with a safe and secure place to live. Clear legal duties require that children are placed only in accommodation that meets their needs. Ofsted, through its new single inspection framework, monitors local authorities’ performance in supporting care leavers in the round, including the quality of accommodation provided. Care leavers have access to a personal adviser who can advocate on their behalf and challenge decisions by the local authority if, for example, they believe that the accommodation provided is unsuitable We are considering whether further external oversight is needed of the decisions that local authorities make. I am not persuaded, having listened carefully to hon. Members, that we need to establish a new inspection regime in order to achieve our aims, and others share that view. The chief social worker, Isabelle Trowler, has said that regulating all alternative accommodation would severely limit placement choice and the ability of professionals to use their discretion. Social workers should be visiting placements on a regular basis to ensure that the accommodation remains suitable for the individual. Most critically, we already have checks and balances in place As I have said, Ofsted inspects the quality of support provided to care leavers as part of the single inspection framework, and independent reviewing officers consider the decisions made about a child and would, of course, be expected to raise any concerns about unsuitable accommodation placements. We need to trust and support professionals to make sound judgments in the best interests of the child, rather than creating further bureaucratic processes. Local areas already have a clear duty to ensure that children are placed only in accommodation that meets their needs and, as mentioned, we already have checks and balances in the system to ensure that the best interests of the child are met.
ParlaMint-GB_2015-01-27-commons.u291	The Minister will recollect the story that the Chair and I shared about the young woman in extremely unsuitable accommodation. She was there for some time, with men braying at the door trying to gain entry. If the current inspection regime is not stopping that sort of thing, what will the Minister do to ensure that it does not happen again in future?
ParlaMint-GB_2015-01-27-commons.u292	Clearly the situation that the hon. Gentleman describes is totally unacceptable, and we would not wish it on any young person. The statutory guidance makes it clear what checks local authorities have to make before they commission any alternative accommodation place. The hon. Member for Birmingham, Selly Oak (Steve McCabe) referred to the view of Catch22 that any universal approach to regulation on quality assurance would face considerable challenges. It may also stifle the creativity and support arrangements needed to allow young people to practise their independence skills. Ofsted was not convinced that stronger regulation of a complex and varied sector would address the uneven quality of care and support for young children. I take very seriously the point raised by the hon. Member for Stockport (Ann Coffey) about safety checks and ensuring that those charged with the care and protection of children and young children make every effort to place them where they are safe and secure. The DFE statutory guidance could not be clearer: “Young people should only be placed in accommodation where they receive high quality support which meets the needs set out in their care plan. Where local authorities use unregulated supported accommodation for young people aged 16 and 17, they should ensure that all providers are vetted and approved to the standards they require.” That is being achieved by local authorities such as Hertfordshire, which uses a clear framework of quality assurance to assess provision before placement I understand the desire of hon. Members to be confident that all possible avenues have been explored fully to help to improve placement decisions on alternative accommodation for care leavers, as well as the accountability and oversight surrounding those decisions. To that end, I intend to commission a piece of work in the Department to look carefully at other arrangements to establish in more detail the veracity and likely consequences of taking a different approach, as proposed by the Committee, together with other potential options “Staying Put” was mentioned by a number of hon. Members, particularly my hon. Friend the Member for Calder Valley (Craig Whittaker). The “Staying Put” duty, which we introduced last year, is giving more young people the opportunity to remain in a stable and secure family setting beyond the age of 18. The hon. Member for Birmingham, Selly Oak wanted to know how the implementation was going. I will happily write to him with the details, as time prevents me from going into detail at this stage Some Members would like to see the extension of the Staying Put principle to those in residential care settings. As they may be aware, we are continuing to work with the NCB, the Who Cares? Trust and others to explore how that might work, and providing funding from the innovation programme to test a model of “Staying Put” for those in residential care. That is with North Yorkshire county council, to the tune of £2 million, under its No Wrong Door project. That will work with about 700 young people and, importantly, ensure that if young care leavers up to the age of 21 need it, they will be able to use that intensive period of extra support through the hub linked to their independent living Early feedback from children in care suggests that, while the majority of young people in residential care would like to have some kind of “Staying Put” arrangement, a single model of “Staying Put” would not be suitable—a view I think endorsed by my hon. Friend the Member for East Worthing and Shoreham (Tim Loughton). I will of course consider carefully the scoping study and its recommendations. I have only just received that advice and cannot comment further at this stage. We commissioned that important work and I look forward to considering it in the next few weeks I am aware that my hon. Friend the Member for Beverley and Holderness will want to say a few words at the end of the debate, so in conclusion, I once again thank hon. Members for demonstrating that they, like me, care deeply about what happens to children who have been in the care of the state. It would be good if we could widen the field of Members at these debates beyond those present, so they too could demonstrate their commitment. The Government have worked hard to put children in care and care leavers at the heart of our efforts to improve the lives of some of the most disadvantaged and vulnerable in our society. We have taken a series of important steps to achieve just that, but I accept there is still more to do. I, and the Government, remain fully committed to giving children in and leaving care the support and future they deserve.
ParlaMint-GB_2015-01-27-commons.u293	The Minister should not have feared my words so much that he needed to limit them quite so strictly One thing we should say at the end of this Parliament is that there has been a significant advance in this Parliament, against a pretty tough economic backdrop, to improve material outcomes for some of the most vulnerable children in care. That is something we should be proud of. Casting aside my impartial Select Committee hat, as a Conservative politician I have to say that, as part of this coalition Government, that is significant. Regardless of who wins the election in May, I hope we can take that forward and that we have a Minister in place as committed as this one to ensuring that we do more to look after young people whose life chances we know are horribly stunted by their time in care. We have a duty to act as their parents. We should give them the care, consideration and extended support that we would give to our own children, because the children in care are our children. We have the same responsibility to them Question put and agreed to. Resolved, That this House notes the Second Report from the Education Committee, Into independence, not out of care: 16 plus care options, HC 259, and the Government’s response, HC 647; welcomes the progress made and the commitment to improve the care provided to these vulnerable young people shown in the Government’s response; regrets that the Government has not gone further by exploring with local authorities how to ban the use of bed and breakfast accommodation for this age group and by moving to inspect and regulate all accommodation provided to children in care; and calls on the Government to do all it can to improve the accommodation and care given to these young people.
ParlaMint-GB_2015-01-27-commons.u294	I am grateful to you, Mr Speaker, for giving me the opportunity to hold this debate, which, in my opinion, is much needed, given local anxiety about the situation of Durham free school and the strong interest in its future I begin by expressing great sympathy for the parents and children facing this most unfortunate set of circumstances, but I called the debate to put in the public domain factual information about why the school is facing an announcement by the Secretary of State of her intention to withdraw its funding. Members will know that I have had concerns about the free school for some time, partly because it has been so difficult to get accurate information about it and its funding. However, even I was surprised by the response from the Secretary of State to my question last Monday. I thank her and the Minister for the honesty and decisiveness of her response.
ParlaMint-GB_2015-01-27-commons.u295	This report is probably the worst I have ever seen during my years in education. I have been inundated by e-mails from parents who still think it is a great school, that there have been inappropriate conversations with children and that there is some sort of political agenda, yet a Conservative Secretary of State has taken the decision to close a school that is part of the Government’s flagship policy. Does my hon. Friend think that the inspectors could get it so badly wrong in such circumstances?
ParlaMint-GB_2015-01-27-commons.u296	My hon. Friend raises an interesting point. As I will say later, the decision has been made not just on the basis of the Ofsted inspection, but in the light of other information To date, 18 parents have written to me about the school, and an additional 25 with no direct knowledge of the school have also written about the proposed closure, requesting that the decision be reversed. Nearly all these letters concentrate on challenging very selective aspects of the Ofsted report. A handful of parents have also written to say that the school should be closed in the light of the Ofsted report and to urge that their voices be heard too Information I have obtained from the Education Funding Agency and elsewhere indicates that a thorough analysis and evaluation of the school has taken place. As I suspect most people now know, the Department was alerted to problems at the free school by a whistleblower, which prompted the inspections due to take place early in 2015 to be brought forward to November 2014. The EFA inspection was comprehensive and included representatives from the EFA, the office of the schools commissioner, the Department and the due diligence unit, as well as the free schools section The inspection findings underpinned the financial notice to improve that the school received in December, with a time scale for it to reply by 19 December 2014. The notice chronicled failure not only in financial management, but in other aspects of governance, and prompted a request from the schools commissioner to the Secretary of State for an Ofsted inspection. This, too, was carried out in November 2014. The Ofsted report chronicled failure at every level and showed the school to be inadequate in every category, including in leadership and management; behaviour and safety of pupils; and quality of teaching and pupil achievement. It found that students’ achievement was weak; that leaders, including governors, did not have high enough expectations; that governors placed too much emphasis on religious credentials when recruiting staff; that teaching was inadequate over time; that teachers’ assessment of student work was inaccurate; that the behaviour of some students led to unsafe situations; that leaders, including governors, had inaccurate views of the quality of teaching and students’ achievements; and that targets for achievement were set too low. That is in great contrast to what I think the parents believed the school would deliver. In 2012, the head teacher said that it would be a “unique secondary school providing a high quality of education in a close-knit” scaring—[Interruption]—or rather, a close-knit “caring school environment.” Indeed, it appears to have gone from being caring to scaring for some of those young people As my hon. Friend the Member for Stockton North (Alex Cunningham) has said, it is unusual for a school to receive such a negative report. To put that in context, as of 31 October 2014, the proportion of all schools judged good or outstanding by Ofsted at the most recent inspection had reached 81%. That compares with 70% for free schools. Even so, it is highly unusual to get a school rated as inadequate across all its categories. The report would be worrying for any school and community, but, coupled with the detailed report from the Education Funding Agency, it is obvious why the Secretary of State would consider issuing a notice to close the school. It appears to be based not on any one aspect of the school’s weakness, but on the combined picture of mismanagement and poor quality education observed and inspected thoroughly by the EFA, the Department and Ofsted. I am aware of no evidence to date that these inspections were not in any way suitably robust or conducted in a way that they should not have been.
ParlaMint-GB_2015-01-27-commons.u297	Tomorrow the chief executive of Ofsted is due to appear before the Select Committee on Education. Parents will want us to hold him to account for the decisions made at Durham and in Sunderland, where just last week Grindon Hall free school was also put into special measures. Does my hon. Friend think there are any particular challenges we should be laying at his door tomorrow?
ParlaMint-GB_2015-01-27-commons.u298	It is important that the chief executive of Ofsted establishes very clearly that the inspections were carried out in a suitable way and following the correct guidance, and therefore that there should be public confidence in their outcomes, because I know that a number of colleagues have received letters from a variety of people calling into question the veracity of the Ofsted inspection.
ParlaMint-GB_2015-01-27-commons.u299	As my hon. Friend will know, Grindon Hall Christian school is in my constituency. Following on from the intervention by our hon. Friend the Member for Stockton North (Alex Cunningham), I would like to ask her, on behalf of the hundreds of parents who have written to me, whether she agrees that Ofsted has questions to answer about the inspection, to ensure that the public can have confidence in Ofsted, which is something that the parents who have written to me do not have.
ParlaMint-GB_2015-01-27-commons.u300	It is important that we maintain confidence in Ofsted, which I hope will get—as I am sure it will—challenging questions from the Select Committee tomorrow. Again, I hope that Ofsted is able robustly to defend the way in which it carried out these inspections Clearly a number of parents are very upset and want the school to stay open. I genuinely sympathise with them, but given the inadequate rating, I am not clear on what grounds it can do so.
ParlaMint-GB_2015-01-27-commons.u301	I am most grateful to the hon. Lady for her courtesy in giving way again. The chairman of the governors has written to a number of us, including me, to say that they feel that the Ofsted report was grossly unfair. One of the things Ofsted said in that report was that “RE is a narrow study of the Bible,” when in fact it took up only 5% of the time. The school feels—along with many parents, as she obviously understands—that it has been seriously badly treated by Ofsted, which has asked inappropriate questions of young people. I hope that she and the Committee will be able to hold Ofsted to account tomorrow.
ParlaMint-GB_2015-01-27-commons.u302	That is a very interesting intervention given that I started the debate by asking for information about the decision to be in the public domain. I understand that the decision taken by the Secretary of State was based not only on the Ofsted report, but on the detailed assessment carried out late last year by the Education Funding Agency and representatives from the Department for Education and the free school unit. I know that the school is concerned about aspects of the Ofsted inspection, but there are many more aspects of that inspection that need to be taken into consideration. Given the inadequate rating, I am not clear on what grounds the school can challenge, but I understand that it has until next Tuesday to set out its case In addition to being clear about the extensive nature of the information on which the decision to remove the school’s funding was based, I want to see what lessons can be learned from this sorry saga, whether or not the school remains open. First, I am totally unclear about why this school was given approval to start up in the first place in a city that has good quality schools and surplus places. Community acceptance of the free school was not helped by the fact that this new school of 30 pupils was expected to be set up on the site of a school that had just closed down because it was not considered to be financially viable with 400 pupils. Numbers at the free school remained low, even though as soon as it was established the local authority was obliged to inform parents in the area that it was their nearest school, and that if they wanted free school transport they would have to send their children to that school—they did not have a choice.
ParlaMint-GB_2015-01-27-commons.u303	I am grateful to my hon. Friend and parliamentary neighbour for giving way. Does she agree that another scandalous aspect is that millions of pounds of taxpayers’ money has been sunk into a school in an area, as she rightly says, of surplus places, where other local schools, such as the excellent St Leonard’s, which serves both her and my constituency, are crying out for resources? Is it not a scandal that just last Saturday this school was spending taxpayers’ money on a half-page advert in The Northern Echo? Is that a good use of public money?
ParlaMint-GB_2015-01-27-commons.u304	My hon. Friend reiterates a point that I have made many times. I have been greatly concerned about the amount of money the school has received, how it has been spent and the impact of that on other schools in the community Secondly, on lessons learned, how much money has the school received so far and has any analysis been made of how that money could have been better spent to assist local schools, especially as they had to accommodate the 400 children from the closed school with no additional resources? Why did the Department think it was better to support a free school for the few rather than invest in the planned academy, which would have supported many more children One of the first things the then Secretary of State, the right hon. Member for Surrey Heath (Michael Gove), did on the election of the current Government was to cancel the academy for Durham city that was very much needed locally and that was supposed to raise standards for the school that closed. This is particularly concerning in the light of findings by the National Audit Office that “the primary factor in decision making has been opening schools at pace, rather than maximising value for money” Surely it was wrong to put ideology before evidence-based education policy The shadow Secretary of State picked up on that in highlighting the deficiencies now emerging from the Swedish system, which saw a radical expansion of free schools, accounting for a quarter of all pupils by 2013. This seems to have come at a great cost for those pupils, as Sweden saw a massive drop in standards during this period. In 2003, Sweden was ranked 17th in the global league table for mathematics; now it is ranked 38th. I hope that the Department is keeping a good check on what is happening to overall standards for schools such as Durham free school I regret the accusation that some of us are turning this into a political issue. That is not the case. I want a rational debate about the school’s future. When parents approached me in 2011-12 for support to set up the free school, I did what I think was the right thing and pointed them to the Department so that they could get the information and support they needed. I do not know whether that happened in practice. What I do know is that when things go wrong, we need decisive action. I know that the local authority is trying to work with the school and with parents by offering alternative places. It is interesting that we always expect local authorities to step in and sort out problems; perhaps we should consider giving them a much bigger role in the management of all schools The main thing that I wanted to do this evening was put my concerns on record. I look forward to hearing what the Minister will say about how they will be addressed, but I hope that, before he speaks, I can crave the indulgence of the House and allow my hon. Friend the Member for North West Durham (Pat Glass) a few minutes in which to comment on the issue from the point of view of the Education Committee.
