ParlaMint-GB_2015-10-14-commons.u1	1. What estimate she has made of the number of people killed by the IRA.
ParlaMint-GB_2015-10-14-commons.u323	I am grateful for the opportunity to speak in this most important Second Reading debate, and it is a pleasure to follow the hon. Member for Bootle (Peter Dowd). The partnerships between local authorities and businesses that the Bill encourages will present areas such as mine in the north of England with an opportunity to unlock the necessary drive and ambition to address our specific needs, so that we can maximise our potential and strive to build an economy that will address historic divisions such as the north-south divide that have hung over us for far too long I recognise the fact that London and the south-east have been an economic driver for the rest of the country, but that should not stop us being ambitious about other parts of the United Kingdom. We have only to look at the effects of the recession to see that the need to rebuild our economy is long overdue. The dependence on one economic area in such circumstances fails to capitalise on what much of the rest of the country has to offer. The concentrated and centralised power in Whitehall can often fail to understand the need for economic growth in a variety of areas across the UK. After all, the growth of cities such as Leeds and Manchester occurred not because Whitehall demanded it but because local businesses and leaders understood their communities, their resources and, more importantly, their people Today, we are seeing a real drive to boost the economy of the north. I can see the potential in my own area, the Leeds city region, with close to 3 million people, a resident workforce of 1.4 million and more than 100,000 businesses creating an economy that was worth £55 billion in 2012. We are seeing massive and unprecedented investment in our transport systems, with new railway stations at Kirkstall Forge and Apperley Bridge serving my constituency and a southern access to Leeds City station that will help to unlock the regeneration we need in the south of the city. There is increased capacity across the TransPennine link and we are now preparing for HS2, which will connect Leeds with Sheffield, Birmingham and London. We are also investing millions and billions of pounds in major road schemes across the north. All these developments make connectivity much easier and enable people to change jobs if they want without necessarily moving home. There is still so much more that we can do, and this Bill offers us the chance to have our say on the issues that people in our area understand I want us to take advantage of this Bill in a most ambitious way. I know that my right hon. Friend has had a number of bids for our area, and he faces an unenviable task. Just as we have seen ambition and vision across the Pennines with the Greater Manchester deal, so too should we, on the right side of the Pennines—I mean geographically and spiritually—be equally ambitious, if not more so Recently, the South Yorkshire deal was announced, leaving the rest of Yorkshire to come up with a bid. I know that there has been a lot of lobbying for a Leeds city region bid, but we could go further and create a serious player in the UK economy. The Greater Yorkshire bid, which would include West, North and East Yorkshire, would be one of the biggest deals—if not the only deal—in the UK. The area’s great cities, major towns and rural and coastal areas have always had complementary and inter-related roles. Whether we are talking about people travelling to work or people enjoying our tourism, these areas are better connected economically than ever before. With the Greater Yorkshire deal, we could progress that even further The growth that we have seen economically in the city region and the huge interest there is in tourism create both pressures and opportunities. That is no more so than in housing where councils are merely looking at their own housing targets within their boundaries. We need a much more regional approach to this matter, so that we can ensure that we are protecting as much of our greenbelt as possible It is also important that we ensure that we have access to the world markets. I was pleased to hear Hull mentioned. Building a strategic approach for the M62 economic corridor and expanding the entrepreneurial capacity of our rural and coastal areas offer great potential for the areas to work together for a combined approach to economic growth rather than competing with each other Very many opportunities exist in this bid—in healthcare, in renewable energy and in the food markets. Logistically, the port in Hull offers access to more than 230 million consumers. We also have a big airport, motorways, HS2, tourism and so much more. This is a fantastic bid that has been put forward, and I seriously hope that it will be considered, not least because it will build the skills and aspirations that we and business need and it will offer greater and improved outcomes for our young people This bid makes sense. It has the drive, ambition and aspiration that I want to see. It would also make us a serious player in the UK and across the world. This Bill gives us the power and opportunity to do that, so that we no longer have to look at London and the south-east with envy. We can become a driver not just to rival it but to exceed it and become an ambitious contributor to the northern powerhouse.
ParlaMint-GB_2015-10-14-commons.u324	The great city of Birmingham is the city of Chamberlain and the birthplace of municipal government and municipal enterprise. It is the city of 1,000 trades; the workshop of the world. It is a city that, to this day, has immense strengths and potential, but it is a city with high unemployment. The bitter irony is that, just as the economy is strengthening, there is an acute and growing skills shortage. I see that in my own constituency of Erdington, which has the eighth highest unemployment rate in England. The city is ambitious and, with our partners, we want to go for it at the next stages, not least because Britain cannot succeed through London and the south-east alone Historically, Labour has been the party of devolution—Scotland, Wales and London. I have always believed in the dynamic role of local government in driving economic growth. I was a founder member of one of the first enterprise boards in Greater London back in the 1980s. Indeed, together with the Secretary of State, we piloted the Heseltine project in the west midlands in 2012. What that demonstrated was a real enthusiasm for the city region agenda The strong view within the region is that there is now an historic moment of opportunity, and we want to seize that moment with both hands. We want to see the economic success of the region and also what can be delivered through the West Midlands Combined Authority—a somewhat clunky title but an appropriate one nevertheless. We want to build upon our strengths, such as the automotive sector. We want to provide ladders of opportunity at the next stages. We are going to have 10 years of major construction, so we want to ensure that those without work or an apprenticeship can get both We also want to pursue a wider agenda through the combined authority. This is not just about jobs, apprenticeships, homes and transport; in the words of Stephen Rimmer, who has been seconded to Birmingham from the Home Office, it is also about people and wellbeing. Let me give one brief example. In July I co-chaired a summit of all the local authorities, together with West Midlands police and other agencies, on a highly effective strategy to prevent child sexual exploitation and abuse. We will now roll it out across the region, through the combined authority, as part of a wider strategy to tackle vulnerability in the west midlands. That is effective inter-agency working If I am enthusiastic about the potential at the next stages—and I am—there are three problems. First, the Government cannot empower and then impoverish. In Birmingham we have already seen £700 million of cuts to our budget, and we are facing a further cut of £200 million. Already £2,000 has been cut for every household in Birmingham. I must say that there has been grotesque unfairness in the approach, when we look at what has happened in, for example, the leafy shires of east Cheshire or Surrey. At the next stages, Birmingham will struggle to cope with cuts of up to 40%. I therefore urge the Government to think again, including about the fairness of their approach Secondly, the local enterprise partnership, together with the seven leaders, has submitted an ambitious bid to the Government. However, in the words of one Conservative colleague, the response thus far has been derisory. Therefore, the offer at the next stages will be key, both in its own right, to enable us to do great things in the west midlands, and also to bind in those who would otherwise say, “Why should we take part if there are peanuts on offer?” Again, those are the words of a Conservative colleague Thirdly, the Bill stands localism on its head. I had the pleasure of working with the current Secretary of State when the Localism Act 2011 was going through Parliament—I remember those 20 sittings in Committee with great fondness. Therefore, I cannot understand how the Government can reconcile what they said then with what they are saying now. They are now saying, “We will set you free to be the master of your own destiny, provided you do what we tell you to do, and in this case it’s the imposition of a metro mayor.” When I compare that with European examples, such as Bologna, Rotterdam and Barcelona, I simply do not understand why the Government should take such a position I will make two brief points in conclusion. First, I think that police and fire services logically sit within the context of a combined authority. I think that the Home Secretary has been right to say that has to be by agreement, but it is also crucial that local people, police forces and police and crime commissioners are consulted, because there are real problems with boundaries, coterminosity and local accountability. The voice of local people must be heard if police and fire services are to be included in the new arrangements Secondly, in the little time remaining I want to make a point about Sunday trading. There is already provision for limited Sunday trading. The Association of Convenience Stores is right that what the Government are proposing fails the family test. The Union of Shop, Distributive and Allied Workers is right that shop workers would have to work when they do not want to. The proposal would threaten many local stores and disrupt local communities on a day when they want peace and quiet. I urge the Government to drop the proposal and keep Sundays special.
ParlaMint-GB_2015-10-14-commons.u325	Let me say at the outset that I believe in the principle that, as far as possible, decisions should be taken at the level of government closest to the people who those decisions will affect After local government reorganisation in the 1970s, a Greater Manchester county council was created that brought together the 10 local authorities around the city of Manchester. It was not seen as a great success and was abolished a few years later, in 1986. It was seen as an artificial creation. However, we are now seeing, in effect, the recreation of that body, albeit by a different process and with a different name. We now have a Greater Manchester combined authority. We already have an interim mayor covering the area of the same 10 authorities that together made up the Greater Manchester county council. The problem that my constituents have with the whole concept of a Greater Manchester council is that they do not see themselves as living within a county of Greater Manchester. It is an artificial construct. Very few say that their address is Bury, Greater Manchester; they say that it is Bury in Lancashire. In Ramsbottom, people still ask why they were separated from their historical roots in Rossendale valley On Bury Council, which covers my constituency and that of Bury South, there are 51 councillors. Across the 10 local authorities that together make up the Greater Manchester combined authority, there are no fewer than 645 councillors. It is therefore no surprise when people ask me, “If 645 people can’t sort things out for us, what difference are 646 going to make?” It is a difficult question to answer. Very few of my constituents think that the answer to their particular problem will be the creation of a new tier of local government. Recreating that new tier above the existing 10 councils creates the danger of powers being devolved down to the new tier rather than down to where they could go if the new tier had not been created. Thus we finish up with decisions being taken further away from, rather than closer to, the people who are affected by them. I hope that safeguards can be included in the Bill as it passes through its later stages—for example, to provide a clear mechanism for a council to leave a combined authority, should it so choose, without being penalised for doing so Fortunately, I do not have to rely just on anecdotes and the many conversations I have had with my constituents to know what the people of Bury think about the idea of having an elected mayor, because back in July 2008 they voted in a borough-wide referendum, and they rejected the idea by 15,425 votes to 10,338. I would hazard a guess that the margin would be even greater if the referendum question related to the whole of Greater Manchester. I support the idea of my constituents having a direct say on this proposal in such a referendum The Bill is largely technical, so let me deal briefly with some of the detail within it. I believe that the new mayors, if we are to have them, should be elected by the first-past-the-post system. Whichever candidate gets the most votes should be elected. That is the tried-and-tested method of elections in this country, and I see no need to change it I do not believe that 16 and 17-year-olds should vote in these local elections. Let me give just one example of the unintended consequences of such a move. If someone votes in local elections, it is reasonable to assume that they should be paying council tax. A single parent with a 16-year-old living at home would, at present, be entitled to a 25% single person’s discount on their council tax. If their son or daughter gets the right to vote, should they not then lose their 25% discount and have to pay their council tax in full? This has not been fully thought through I hope, for the sake of my constituents, that this Bill does bring about the benefits that have been suggested, but I do not think that many of them will be losing much sleep about it. For all that we get worked up about it, they want to see real improvements in the services they receive rather than tinkering about with the mechanics of local government.
ParlaMint-GB_2015-10-14-commons.u326	I am very pleased to be able to speak in this debate. I want to support the Bill and the principles at its heart, and to join many Labour colleagues in paying tribute to the Secretary of State for the way in which—with the guile, cunning and charm for which he has become famous—he has pursued the principles we are debating. This afternoon, I want briefly to encourage the Secretary of State to be more flexible on the one hand and more ambitious on the other I was not actually born in a town hall, although at times it felt like that. I am the son of a local government officer who, inspired by the practical idealism of the new towns movement, spent his career in town halls around the country. I grew up in a home in which the practical idealism of the Attlee Government was very much part of the atmosphere. I support the Bill not because of that upbringing, but because of my experience as a Minister in the Cabinet Office, in No. 10, in the Treasury and, most importantly, as the first Minister for the west midlands. Every lesson that I learned in that time in government taught me that decisions are made faster and better if they are taken locally Many Members of the House will have seen the glory that is the new New Street station. For years, Whitehall ran around the issues, ran away from the issues and failed to get the funding in place. It was only once we had a Minister for the west midlands that we were able to get people in a room, bang heads together and make sure that the deal was done. Four or five years later we can celebrate exactly what can be done when we get power out of Whitehall and vested more locally I want the Secretary of State to be more flexible in his approach to metro mayors. As a keen student of local government history, he will know that we only ever make incremental progress in this country. If we can encourage more power to leave Whitehall by encouraging authorities to come together, we should not let the issue of metro mayors get in the way, but just get on with it The real message I want to give the Secretary of State is that he needs to be more ambitious. The Bill strengthens his hand in relation to local councils in this country, but not in relation to other Departments. When I was Chief Secretary, we invented the new concept of Total Place, which showed the ideas and savings that could come from putting services together. I was also the chair of the Manchester Whitehall group, and I had to negotiate with other Departments for the powers we gave to Manchester. I can tell the Secretary of State that that was like drawing teeth. If he is to make the impact we think he could, he needs powers in relation to other Departments to force them to give away the powers that will make the difference locally I will illustrate that point with a few comments about my home town of Birmingham and the combined authority of the west midlands. As the Secretary of State knows, the challenge we face is that wealth per head in our region is 20%, or about £4,000 a year, below the national average. Our knowledge economy—the jobs of the future—is actually shrinking, not getting bigger. In fact, it has 2,000 fewer jobs than it had before the recession, whereas other regions, such as the north-west, have about 35,000 more jobs. We can expand opportunity for the people we serve only if we can create a bigger knowledge economy for the years to come. We therefore need more powers locally over science, skills and start-ups. First, on science, I want our region to be the enterprise and engineering capital of the country, but our universities currently draw just 3.5% of their income from the science budget. We need a bigger science budget and a bigger budget for the work that universities and industry can do together, and we need our combined authority to be able to shape those projects locally for the years to come. We have great firms, such as Jaguar Land Rover, and the serious gaming industry around Coventry, but at the moment we do not have enough resource or power to put together our university powerhouses with our industrial powerhouses to do great things for the future Secondly, we need more powers on skills. We need to create in the west midlands a German-style dual-track system that would allow our young people to take an earn-while-you-learn route up to degree level skills. Right now, just 200 young people in the west midlands are on such a route to a degree level skill, including just 70 in the great city of Birmingham and just 10 in Wolverhampton. We should be giving at least half of our young people an earn-while-you-learn route to a degree. That would be in line with Government policy, but we cannot do it because we cannot bring together apprenticeship agencies and colleges, we cannot co-ordinate with academies and university technical colleges, and we do not have much latitude to co-ordinate with universities. We could pull that together in a new system in the west midlands, if only we had the power and resources to do so Thirdly, we need more power to support an entrepreneurial revolution in our region. That was always the way in which we made our fortune. A new business is opening every 43 minutes in the west midlands. Up in Manchester, 20% more businesses are opening than in the west midlands. We need to be able to deliver more enterprise training and more start-up loans. Those are the kinds of powers that we need to make a difference That is why I say that the Secretary of State needs to be more ambitious with the Bill. He needs more powers in relation to other Whitehall Departments if he is fully to achieve his ambitions. If we get that right, there is a great deal more that we can do. There is no better example than Sir Albert Bore, whom my hon. Friend the Member for Birmingham, Erdington (Jack Dromey) praised earlier, of what can be done. I hope that the Secretary of State gives us the powers to get on with the job.
ParlaMint-GB_2015-10-14-commons.u327	I listened intently to the shadow Secretary of State’s response to the Secretary of State. He suggested that the devolution agreements so far had been imposed on local communities by the Chancellor of the Exchequer. I can only speak from our experience in Cornwall, which is of a rural area that has advanced a significant way into the nuts and bolts of the detail of a deal. We are way beyond aspiration. I believe that there will be a Cornwall deal I assure the House that that deal comes in response to the long-standing desire of the Cornish people for a greater say in key decisions and greater control over the delivery of public services such as transport, health and economic regeneration. Cornwall Council, health leaders and the six MPs have been intensely involved in the development of the Cornwall deal with the Secretary of State, not the Chancellor, and it does the good people of Cornwall and all those who have worked so hard to get where we are today a disservice to suggest that it has been imposed from the top down by the Treasury As a Cornwall MP, I have good reason to welcome the Bill. Our keenest challenges in Cornwall and on the Isles of Scilly are addressing the wage gap with the rest of the UK and bringing meaningful integration between health and social care. Cornwall should no longer accept its low-wage economy. Our low wages harm people’s ability to access the housing they need, encourage an exodus of young people as they seek well-paid jobs elsewhere, reduce the money that people have to spend in our town centres and hamper efforts to provide well-resourced community facilities and services What the Bill allows and the Cornwall deal achieves is a greater resolve than ever before to tackle the well-documented deprivation in Cornwall. They provide the tools to address low wages by giving local elected representatives and business leaders the necessary powers, tools and resources to create the skills and jobs we need. In Cornwall and on Scilly, we welcome that and relish the opportunity to use the expertise and goodwill that exists locally to sort out the problem of our low-wage economy More than ever, we need the meaningful integration of health and social care in Cornwall and on the Isles of Scilly. The current scene is confusing and wasteful, and patients are not getting the care and support that they need and deserve, and that could be available to them. The Cornwall deal brings all those who are concerned around the table. Already, work is being done to understand how services can be integrated, patient care improved and resources concentrated where they are needed most. The deal builds on pioneering work that is already taking place to integrate health and social care, particularly by the Penwith pioneer project in my west Cornwall constituency. It is my belief that the Bill will increase the pace of the development of integrated services Finally, Cornwall Council has led the way over recent years in devolving responsibilities to town and parish councils. The problem is that there seems to be a habit of devolving responsibilities with no funds attached. There is an appetite among town and parish councils to take on services so that they can be delivered closer to home. I would welcome it if the Government took the lead, through the Bill, in enabling local councils to cluster together, if they choose to do so, to take on services and receive the funding that they need to deliver them for the people they serve.
ParlaMint-GB_2015-10-14-commons.u328	I will start by breaking the habit of a lifetime and agreeing with some of the contribution made by the hon. Member for Bury North (Mr Nuttall). I also urge the Secretary of State not to get too carried away with identity, and I will let him into a secret: I am a proud Mancunian by birth, and also a proud Dentonian. I suppose I am a Greater Mancunian, because I was born two months after the local government reorganisation. Many of my constituents will have allegiances to their old historical counties. Someone who lives in Denton and Audenshaw in my constituency is Lancastrian, but someone who lives in Dukinfield is from Cheshire and proud of it. Someone who lives in Reddish, Heaton Chapel or Heaton Norris in the Stockport part of my constituency has dual identity, because they started off in Lancashire in the 20th century, and were transferred to Cheshire when the area became part of Stockport county borough. People identify with their old historical communities as much as they do with the reality of local government administration on the ground I disagree with the hon. Member for Bury North in that when the Government of the late Baroness Thatcher abolished the old Greater Manchester Council—along with other metropolitan county councils and the Greater London Council across the river from here—she did not do so to create a patchwork of unitary government. The then Government recognised that it was impossible to create unitary government in the metropolitan counties because some functions had to be carried out at county-wide level. We ended up with a hotch-potch of joint boards: the Greater Manchester passenger transport authority, Greater Manchester waste disposal authority, Greater Manchester fire authority, and Greater Manchester police authority. There were still functions at county level The difference was that in many respects those bodies were less accountable than the old Greater Manchester Council which, for all its faults, at least had directly elected representation. The problem with joint boards—we see this today with Transport for Greater Manchester—is that although they include councillor representatives, the district councils do not hold those councillors or that joint body to account. In some respects, having some level of direct accountability at city region level makes sense My concern is about the accountability of the individual. I accept that the mayor will be accountable to the electorate every four years in local elections, but the difference between the London model and that proposed in Greater Manchester is that a small Assembly at London level holds the Mayor of London to account. It has a call-in procedure and can question the Mayor, but I do not see where that function lies in the Greater Manchester model. I was pleased to hear the Secretary of State say that he expects the call-in procedure and key procedures on cabinet decisions at local government level to apply to the mayoral model for metro mayors, and I look forward to him fleshing that out Part of the problem with a combined authority—certainly the Greater Manchester model—is that each of the 10 council leaders in Greater Manchester will have an executive portfolio. They are the Executive, and there is nobody to hold them to account. There is no clear process to call in cabinet decisions that affect one or more metropolitan districts in Greater Manchester.
ParlaMint-GB_2015-10-14-commons.u329	My hon. Friend is making excellent points, as did the hon. Member for Bury North (Mr Nuttall), with whom I found myself in agreement for the first time in my 10-year parliamentary career. The key point is the lack of accountability, which will not be improved in the ways we are looking for. Transport for Greater Manchester has been doing a major infrastructure project, and my constituents are at the end of their tether about the lack of accountability. They and I do not know who to go to, and it has been a disaster. My hon. Friend’s point about joint bodies is right.
ParlaMint-GB_2015-10-14-commons.u330	I am glad my hon. Friend mentions Transport for Greater Manchester. One of the functions that will be passed to the mayor is transport and the regulation of the bus network. I very much welcome and look forward to that. I have to say, however, that I hope it is done in a better way than some of TfGM’s current franchising arrangements. We have a deregulated bus system, but one area over which TfGM has responsibility for setting a network is school buses. Just this term, we have the bizarre situation whereby TfGM has awarded the school bus contract for Fairfield school—where, incidentally, my daughter studies—to Stagecoach for the mornings and Belle Vue buses for the evenings, and neither will accept the other’s tickets. TfGM has set that contract and I think it is absolutely barmy. Quite frankly, if it cannot get it right with a school bus service I really worry about its capacity to set the whole network in Greater Manchester. I therefore hope we get better accountability and decision making On devolution of health, my one concern is this: who is ultimately accountable for the NHS in Greater Manchester? It is not clear from the memorandum of understanding signed between the Association of Greater Manchester Authorities and the Government. The mayor seems not to be part of that memorandum at this stage and I hope very much that that is reviewed. If I were an NHS provider in Greater Manchester, to whom do I look to make the decisions? Is it NHS England, the combined authority, the mayor, or am I looking in all directions? That lack of clarity really needs to be sorted out, so we have clear levels of responsibility.
ParlaMint-GB_2015-10-14-commons.u331	My hon. Friend, a fellow Mancunian, is making an excellent impassioned speech about devolution. We are in favour of the devolution package, and the interim mayor, Tony Lloyd, will have powers over transport, business rates, skills retention and spatial planning. However, the problem as it stands is that the people of Greater Manchester do not know where the health portfolio is going to sit. Who will be accountable? At the moment, it will be one of the 10 local leaders. The devolution deal, as currently put forward by the Government, is not joined up.
ParlaMint-GB_2015-10-14-commons.u332	My hon. Friend is absolutely right. We need absolute clarity from the Department of Health. I understand that the Secretary of State for Communities and Local Government will be having those discussions, but before devolution takes place Greater Manchester MPs need clarity On fire and rescue, the intention in Greater Manchester is for police and crime commissioner functions, and, eventually, fire and rescue, to go to the mayor. That might require an amendment to the Local Government Act 1985, which set up the Greater Manchester fire and rescue authority. I do not see anything in this Bill relating to that. Perhaps it can be dealt with by a statutory instrument. I hope the Secretary of State will confirm that the intention is still to devolve them I want to make a plea about local government funding. Greater Manchester has agreed to a pooling and sharing of business rates. I very much support that, because some parts of Greater Manchester have more potential to grow the economy than other districts in the county, and it is right that we share that wealth across the whole of the conurbation. The funding is still very important, because we have a low council tax base. Unless there is a stratospheric increase in business growth, we will not fill the gap. That is where Ministers’ plans might fail.
ParlaMint-GB_2015-10-14-commons.u333	I am pleased to rise in broad support of the Bill not only as a Member of Parliament for Hampshire, an area that has put forward a proposal for a combined authority, but, like many Members, as a former councillor. I served as deputy leader of Basingstoke and Deane Borough Council, representing a ward within my constituency, and saw at first hand the potential local government has to deliver for local people The borough council invested its resources, on behalf of taxpayers, into regeneration schemes, and I was pleased to sign off a number of projects bringing a plethora of new businesses to Basingstoke, ranging from a market-leading Waitrose and John Lewis at Home combined store to a small Costa Coffee drive-through. In making those investments—I stress that they are investments, not spending—the borough council was able to keep its council tax, which is unchanged for six years, the sixth lowest in the country while having the sixth highest spend per head.
ParlaMint-GB_2015-10-14-commons.u334	Does my hon. Friend agree that freezing council tax is a good opportunity for local authorities to not only provide efficient services, but help hard-working people during difficult financial times?
ParlaMint-GB_2015-10-14-commons.u335	My hon. Friend knows from his distinguished service as leader of a borough council that it is absolutely right for local councils to do their best by their local communities. Indeed, the Hampshire combined authority is doing what he says. It states: “We will live within our means” That is embedded in its proposal, and that is one reason why I want further devolution of powers. Councils should be able to take responsibility for their own funding, and local people should be able to shape the future of their area As Hampshire’s proposal recognises, it is of the utmost importance to have control over planning and infrastructure, too. The Hampshire combined authority proposal states: “We will protect the local character of our diverse area” Combined authorities provide a great opportunity for Government to devolve more planning powers to a local level. Of course, with great power comes great responsibility. As the hon. Member for Bootle (Peter Dowd) has said, combined authorities should be able to set out new strategic plans identifying broad areas where housing growth can be developed in a timely fashion, where new homes will genuinely support growth by supporting economies that are underperforming, and where infrastructure investment is required to unlock the right development.
ParlaMint-GB_2015-10-14-commons.u336	As a fellow Hampshire MP, I am delighted that my hon. Friend has been able to speak. Does he agree that the Bill will enable us to work with the Hampshire authority to build infrastructure, particularly a fast railway, which will help the southern part of the county?
ParlaMint-GB_2015-10-14-commons.u337	My hon. Friend is a passionate champion of faster railways, and I agree that it is important not only that we build the right homes in the right places at the right time, but, crucially, that we have the right infrastructure. She makes her point very well indeed. I will come back to infrastructure in a moment, because it is a very important issue The Secretary of State has said: “We are determined to end the hoarding of power in Whitehall” I commend that, but it should apply to Bristol, too The Hampshire combined authority proposal says: “We will build more homes” In return, instead of a planning inspector deciding whether or not an appeal is justified, we should trust local people to monitor and review decisions made in their own local area. Combined authorities should be able to set out that important open spaces between settlements are maintained by restricting the growth of some towns and villages ever outwards, preventing distinct communities, each with their own unique charm, from becoming urban sprawl. And yes, combined authorities should be given powers over green belt, including the ability to create new green belt, providing certainty about the future to residents and communities as part of a development deal I have always been clear, however, that I want brownfield development to be prioritised, instead of greenfield being developed unnecessarily. There is plenty of brownfield land in my own constituency and in neighbouring areas, although it is not all being promoted for development at present. I would like North East Hampshire to become a beacon of top-quality, 21st-century, architecturally mighty brownfield regeneration. It is such a shame to see rundown buildings, but my constituency has such an opportunity. I genuinely believe that the demographics and geography of North East Hampshire mean that communities could be transformed for the better, uplifted in look and feel, and improved in quality of offer. That will happen through assembling landownership in the centre of communities, building iteratively through an area and sticking to a common vision To return to my hon. Friend’s point, the Hampshire combined authority proposal states: “We will invest in infrastructure” It is clear that infrastructure improvements are an absolute necessity, and Government has a role in that part of the equation. Whether the land is brownfield or greenfield, infrastructure is critical in ensuring that these developments not only provide homes for our friends and children but take the opportunity to improve the way of life for existing residents. Whether the land is brownfield or greenfield, development should not come before infrastructure. That is why I welcome Hampshire councils’ proposal, which specifically sets out a 10-year transport investment fund to be used significantly to improve our roads and public transport. That is a good start, but in planning our future we must also look to the past. As I mentioned a moment ago, we should think about the existing infrastructure deficit and how it can be mitigated so that existing residents end up with a better deal. It is only right that infrastructure should be delivered alongside any new development rather than communities being left hoping for improvements in the future when our roads are already jammed and our trains are already crammed. I urge the Secretary of State to consider how infrastructure deficits can be remedied through devolution and how communities can secure infrastructure improvements ahead of agreeing to development—whether through strategic plans, local plans or neighbourhood plans—so that they are confident that infrastructure will be delivered, as that has too often not been the case. There is another way to fund infrastructure, of course. If regeneration is led by combined authorities and by local government, the profit that local government can make from redevelopment if it owns the land allows reinvestment in infrastructure or for the benefit of taxpayers. That is particularly important with brownfield sites, since sites might not be viable after taking into account a developer’s profit if they are also required to pay the community infrastructure levy and section 106 at the normal level Through that vision of active local government, brownfield regeneration will genuinely benefit local people rather than simply the shareholders of a developer through improved infrastructure and lower council tax. I strongly believe that local government has a role to play in outlining how it wishes comprehensively to improve its built environment That takes me to compulsory purchase orders. I believe, perhaps unusually for a Conservative, that CPOs can be in the public interest, and they should be streamlined. Through devolution, there is a great opportunity to do that. The national infrastructure plan identified that it was critical in making available more brownfield land Let us be ambitious about devolution. Let us devolve powers to local councils to decide the future development of their area. Let us reform compulsory purchase powers to kick-start brownfield regeneration and improve communities for residents new and old. Let us enable that much-needed infrastructure for existing communities, and, above all, let us deliver devolution that has democratic roots in the community, in keeping with the core purpose of devolution—greater power for local people and a greater Britain for all.
ParlaMint-GB_2015-10-14-commons.u338	I shall support the Bill on Second Reading. It follows closely some of what the Liberal Democrats were proposing through devolution on demand, which was also advocated by the Chair of the Select Committee, the hon. Member for Sheffield South East (Mr Betts), although we would like to go further by offering a menu of powers that local authorities could take, perhaps without needing to go through the bargaining and bartering process that has taken place with the city deals. We welcome the Bill, but we would like to go further. We have consistently supported devolutionary measures over many years, from the Scottish Parliament through to the changes in Cornwall I am enthusiastic about the Bill, but I would not say that I was violently enthusiastic, as one Conservative Member did earlier. My enthusiasm is tempered by what is happening to local authorities’ budgets, which are under huge pressure. I am sure that this is true for all Members in the Chamber this afternoon, but my local authority, having made as many savings as possible though initiatives such as combining back-office functions with other local authorities, is now having to make some serious and more challenging decisions about libraries and youth services As I said, we will support the Bill on Second Reading. I am surprised at the position taken by the official Opposition, and I am afraid I agreed with those senior Labour Back Benchers who expressed surprise and concern that it might be more about opposition for opposition’s sake than about concrete concerns. This is genuine devolution on offer, and local authorities should be willing to grasp it I wish to comment briefly on some of the amendments made to the Bill in the other place. Greater accountability was built in, which is essential, particularly if there are to be many more elected mayors. I hope that the sort of scrutiny one sees in London, with the London Mayor and London Assembly, will happen for elected mayors in combined authorities. I do not want to be suspicious of what the Secretary of State said earlier, but he seemed to be saying that elected mayors would not be imposed, but in subsequent questions, the look on his face suggested that perhaps there would be some imposition. From the discussions behind closed doors, which others have referred to, it seems that there will be a requirement for elected mayors to be adopted. I agree there is a fundamental question about what sort of governance structure an authority puts in place if it does not have an elected mayor but, as I said earlier, combined authorities should be able to decide that question.
ParlaMint-GB_2015-10-14-commons.u339	That has not been the Government’s approach in the north-east, where combined authorities have been told, “You can have an elected mayor. Take it or leave it.”
ParlaMint-GB_2015-10-14-commons.u340	Indeed, and that is not something I would support. It should be for the combined authorities to decide I do not think the Secretary of State mentioned votes for 16 and 17-year-olds, which are provided for in the Bill and are my reason for supporting it on Second Reading. Whether we support it in future stages, however, will depend on what he intends to do about amendments around the imposition of elected mayors, votes at 16 and 17 and allowing Bristol, for instance, to vote in a referendum to get rid of its elected mayor. If people are not happy with a governance arrangement, they should have the power to change it I want to stress our concerns about the concentration of power in elected mayors. The Secretary of State will know that under the first-past-the-post system, one party often ends up controlling an authority, and potentially all the combined authorities, even though the percentage of votes cast for it should not give it a majority. One of the central questions is how to ensure that the powers of the mayor are checked by the appropriate mechanisms I am pleased with what Lord Warner, Lord Patel and Baroness Walmsley did at the other end to make it clear that NHS standards would apply, because we needed some certainty about that. In conclusion, however, whether our support continues into Committee will depend on what the Secretary of State intends to do about some of the positive changes made in the House of Lords around elected mayors, votes at 16 and ensuring greater accountability for the proposed new governance arrangements. The Bill is a positive development, but there are still some areas to watch.
