ParlaMint-GB_2015-01-12-commons.u1	1. What steps he is taking to increase the number of cadet units in schools.
ParlaMint-GB_2015-01-12-commons.u259	My right hon. Friend is absolutely right. The point is that people could easily get round the law by selling other things with the ticket to ensure they do not breach the terms of the amendment. They could charge different amounts for the various things being sold as a package. It would be complete nonsense As I mentioned, the OFT decided that the current regime worked in the consumer’s best interest. [Interruption.] My hon. Friend the Member for North East Cambridgeshire (Stephen Barclay) keeps chuntering from the sidelines. If he wants to make a speech, I am sure that you, Mr Deputy Speaker, will look on him favourably.
ParlaMint-GB_2015-01-12-commons.u260	My hon. Friend will not take my intervention.
ParlaMint-GB_2015-01-12-commons.u261	I have already taken an intervention from my hon. Friend. It was not a very good one, if I remember rightly Not only did the OFT make it clear that the current regime worked in the best interests of the customer, but we have practical arguments from the US showing that the kind of price cap the hon. Lady wants to introduce does not work. In fact, when America introduced the price cap, it led to higher prices on both the primary and secondary markets. A study by the university of California found that by focusing on penalties for those who engage in prohibited transactions, anti-ticket scalping —as they call it—regulations seemed to lead to higher prices in the resale market. If a seller is taking more of a risk, they will want to command a higher price—that is what happens with the free market, supply and demand and the rest of it. I am surprised my hon. Friend the Member for North East Cambridgeshire is not aware of that. The university of Texas found that such regulation increased prices not only in the secondary market, but in the primary market. The hon. Member for Washington and Sunderland West says she wants to stand up for consumers, but by rejecting the amendment, we will do just that If I buy a ticket to the opening day of the test match at Lords and walk into the pub and say, “I’ve got a ticket for the opening day of the test match at Lords”, and a chap comes up to me and says, “You know what? It’s my lifetime’s ambition to go to the opening day of the test match at Lords. It’s the one thing I’ve wanted to do all my life. I will give you £500 for that ticket”, and if I decide to sell him the ticket at that price, who loses out? I do not lose out—because I am happy to sell it at that price; the other person does not lose out—they have left absolutely delighted at having paid a price they are happy to pay to fulfil their lifetime’s dream; and Lords has not lost out—because it has already sold the ticket and the England and Wales Cricket Board has got the income it was hoping for when it put the ticket up for sale. Nobody loses out. Why on earth should the Government intervene to make that transaction illegal? It would be absolute nonsense if the Government were to make that transaction illegal.
ParlaMint-GB_2015-01-12-commons.u262	I agree with the hon. Gentleman. When he buys that ticket, he becomes the owner of that ticket, and it becomes his to do with as he wishes. He can sell it for £500 or give it away to the gentleman whose lifetime’s ambition it is to go to Lords. It is his ticket to do with as he pleases. It is called living in a free society.
ParlaMint-GB_2015-01-12-commons.u263	The hon. Gentleman has hit the nail on the head, although he is obviously much more generous than me, because he said he would give the ticket away—but of course he is from Lancashire and I am from Yorkshire, where we are a bit more careful about these matters. In Yorkshire, the idea of giving away a valuable commodity brings us out in a rash—we would at least want to get a good deal—but I take his point. Whether he wants to give it away or sell it, it should be no business of the Government to tell him he cannot The law would quickly become an ass. Does anybody really think that in the utopia the hon. Lady seems to think would result, if somebody could not sell their ticket for £500, they would sell it at cost price or less on eBay? Of course they would not. If anybody thinks that would happen, they need to get out more, to be perfectly honest. That person would be out on the streets, outside the event, touting the ticket to whomever they could find—all the spivs and Arthur Daley types, with their hats and their Mackintoshes and the rest of it. The idea that they would be selling at cost price or less is for the birds. It is an absolute load of nonsense, to be perfectly honest. Anybody who thinks that all sales would go at cost price or less is living in cloud cuckoo land.
ParlaMint-GB_2015-01-12-commons.u264	I do not know whether my hon. Friend has looked online recently to try to buy a ticket for the first day of the Ashes, but I think he would find that £500 would not buy one. I believe that £545 is the going price. I have some sympathy with what my hon. Friend says about the amendment placing a cap on what tickets could be sold for—at face value, for example. Surely, however, transparency is crucial so people know that they will not get stitched up by buying a ticket that is behind a pillar, reserved for children or whatever. I know he is a great Conservative, so he should believe in transparency.
ParlaMint-GB_2015-01-12-commons.u265	The point is this. Places such as viagogo guarantee the tickets. If someone enters into a transaction on a viagogo site and anything untoward or amiss takes place, viagogo will stand behind the transaction and ensure that no consumer loses out. When it comes to selling something that is fraudulent or counterfeit or selling a ticket that does not exist, there are already laws in place to stop that. We cannot create another law to make something that is already illegal more illegal. If the ticket exists and is genuine, I could not care less who is selling it, as long as it guarantees me my place in the grounds to watch the game I want to watch. I do not care who the original owner was, particularly when the secondary market exists and respectable companies such as viagogo are there, guaranteeing to the buyer that nothing untoward will happen.
ParlaMint-GB_2015-01-12-commons.u266	Will the hon. Gentleman give way?
ParlaMint-GB_2015-01-12-commons.u267	I am going to press on because others want to speak If we stop this legitimate market, all the protections that the secondary market has introduced into it will disappear. What will happen is that it will not be possible to go to a legitimate company such as viagogo to buy a ticket and have it guaranteed that nothing can go wrong; rather, everyone will be competing outside with the Arthur Daley types with the mackintosh jackets and trilby hats trying to buy a ticket. Then people are taking their lives into their hands, as some of those tickets might not be what they seem If we want to protect the interest of consumers, it is essential to allow the legitimate secondary ticketing market to flourish. An event that I want to go to might come along, but I am not sure whether I can go to it because of my work commitments. All the tickets are sold out. I then find out that I am free to go to the event. Here the secondary market is the only one that allows me the opportunity to go to it. It will ask for a certain price, and if I do not want to pay it, I will not have to pay it. Nobody is fleecing anyone, because I will not pay the price if I do not want to. At least I would have had the opportunity to choose in a way that would not arise if no secondary market was available. That is why the secondary market works in the best interests of consumers. It also means that if someone has a ticket but cannot go, they can get rid of it. Some events do not even accept refunds when a ticket is bought, so it is possible to be left with a ticket and not be able to get shot of it The secondary market is good and a price cap does not work. Anybody who believes in the free market could not possibly agree with the amendment to the Lords amendment. I hope that common sense will prevail. I have no doubt that the hon. Member for Washington and Sunderland West will keep trying to peddle her socialist ideal outcome, with the Government interfering in every single market going just because she thinks certain things are too expensive. When she starts arguing that house prices should be capped because there are too few of them and too many people want to buy them, I will at that point have a little more respect for her. In the meantime, this is just pure political opportunism, which she thinks is populist but it is not in the best interests of anybody.
ParlaMint-GB_2015-01-12-commons.u268	It is always entertaining to follow the hon. Member for Shipley (Philip Davies), who puts his case firmly and securely before the House, but I am rather more taken with the arguments of my hon. Friend the Member for Washington and Sunderland West (Mrs Hodgson), so I shall speak in favour of amendment (a), tabled by her and the hon. Member for Hove (Mike Weatherley) I approach this issue merely from the perspective of the constituents who got in touch with me after Paul Weller tickets went on sale at Scunthorpe’s magnificent Baths Hall. There have has been some fantastic programming at the Baths Hall in recent years, featuring a rich variety of events. Great comedians such as Jimmy Carr, Paul Merton and Alan Davies have appeared there, as have the Moscow City Ballet and the Royal Philharmonic orchestra. We in Scunthorpe are very proud of the Baths Hall, and when someone like Paul Weller is due to appear locally, many of my constituents want to go along and enjoy the act The tickets for the Paul Weller event sold out pretty quickly, at £38 each. Within hours of their ceasing to be available at that price on the Baths Hall site, a large number popped up for sale at significantly higher prices on secondary ticket sites.
ParlaMint-GB_2015-01-12-commons.u269	Does the hon. Gentleman not agree that when Paul Weller or his management team first put those tickets on the market, they must have known that the tickets were underpriced and that a great many people would be prepared to pay a much higher price?
ParlaMint-GB_2015-01-12-commons.u270	Other Members know far more about this than I do, but I suspect that promoters want to promote events to their real fans at fair prices, and that that is their motivation.
ParlaMint-GB_2015-01-12-commons.u271	rose—
ParlaMint-GB_2015-01-12-commons.u272	rose—
ParlaMint-GB_2015-01-12-commons.u273	I will take further interventions later. Let me first describe my constituents’ experiences in relation to the Paul Weller concert, which is to take place on 17 March 2015. Some arrived early to join the queue at the Baths Hall ticket office, while others applied by telephone and via the website, but many failed to obtain tickets. Shortly afterwards, tickets cropped up on secondary sites. Today I looked into where I could buy a ticket for the event, and how much it would cost me. I discovered that it would cost me £102 to obtain one through a secondary site. According to my maths, that is a mark-up of £64 for someone in the system. It would be better to allow more of my constituents to have access to the tickets locally, or to put money into the local community via the venue, or to give more to the performers.
ParlaMint-GB_2015-01-12-commons.u274	What that example demonstrates—Conservative Members refuse to see this for some reason—is complete market failure. A Select Committee and the Office of Fair Trading looked into the matter, but what Conservative Members fail to mention is that they did so 10 years ago, and because they did not act then, the market is now skewed to the extent that my hon. Friend has described. Is that not exactly why, 10 years later, we need to do something, and would not the amendment solve the problem that he has highlighted?
ParlaMint-GB_2015-01-12-commons.u275	With the benefit of her knowledge of this matter, my hon. Friend has made her point extremely well. As she says, what we are seeing is market failure, and it is interesting to note that the main evidence base that was drawn on by the hon. Member for Shipley is many years old.
ParlaMint-GB_2015-01-12-commons.u276	rose—
ParlaMint-GB_2015-01-12-commons.u277	rose—
ParlaMint-GB_2015-01-12-commons.u278	I must move on, as other Members want to speak Points made by Members on both sides of the House have reinforced what was said by my hon. Friend the Member for Washington and Sunderland West (Mrs Hodgson). We should be focusing on market failure, and the need to make the market operate well in the interests of performers, venues and consumers. I did not expect to speak in this debate, but I am doing so because constituents have knocked on my door and said that they consider the present system to be unfair and not in their interests, and I tend to agree with them. However, it is not only my constituents and me—and other Members—who take that view. In a letter that it sent to Members, UK Music says: “UK Music's position is that we would prefer there was no secondary ticketing market as it is often understood as it does a disservice to our customers. Profiteering undermines the enterprise, endeavours and investment of those whose livelihoods depend on the future sustainability of the music industry.” We should focus on customers and on those whose livelihoods depend on the music industry, and the same applies to sporting and other events I agreed with my hon. Friend the Member for Washington and Sunderland West when she said, in simple terms, that at the heart of the debate, the amendment and consideration of the Lords amendment was the question of whose side we were on. Are we on the side of consumers, or are we on the side of ticket touts? That is the choice before the House, and I hope that we bear it in mind later when we vote.
ParlaMint-GB_2015-01-12-commons.u279	While the speech by my hon. Friend the Member for Shipley (Philip Davies) was thoroughly entertaining, the “facts” in it were totally wrong. I hope that both he and my hon. Friend the Member for Bury North (Mr Nuttall) will listen to my speech, because it will address many of the points that they made I thank the hon. Member for Washington and Sunderland West (Mrs Hodgson) for her contributions, which were very good. I shall try not to duplicate the points that she made, and to make additional points. I also thank the Minister for telephoning me earlier today to talk about the issue. I appreciate that. It was the right approach to the debate, unlike some of the references to trilby hats and so forth that we have heard from other speakers. Let us debate this in a serious manner, because it is a serious matter Live events, whether they consist of sport, music or theatre, are essential not only to the British economy, but to British society. Each year our creative industries generate more than £36 billion, and employ 1.5 million people. If they are to continue to be so successful, we need to ensure that performers and fans are given a fair deal through a transparent ticket market. Otherwise, inflated prices will mean that fans continue to pay more for tickets, and performers will lose revenue.
ParlaMint-GB_2015-01-12-commons.u280	How?
ParlaMint-GB_2015-01-12-commons.u281	I will explain that to my hon. Friend in a moment, and I shall be happy to take interventions later Society has moved on from the time when there were a few cheeky-chappie touts outside venues selling tickets at marked-up prices. There are some who would reasonably argue that the small scale “street” touts provided a reasonable free-market service. The new issue with which the ticketing industry is dealing is the use of computer programmes, known as botnets, which buy up tens of thousands of tickets only seconds after they have gone on sale, so genuine fans are unable to purchase them at source. That is happening on an industrial scale, and the tickets are then sold on the secondary market. Some botnets in themselves are illegal because they have been used through hacked computers. They are immensely useful to touts, who are able to conceal their identity while purchasing large volumes of tickets with minimal questions asked. Botnets allow touts to seize control of the market, thereby increasing ticket prices. Part of the reluctance of some to consider allowing the proposed measures to be implemented is based on the mistaken premise that those who are buying and reselling are in some way “classic entrepreneurs”. If that were the case, I would be on their side. I am a Conservative because of Sir Keith Joseph and his principles of the free market. In this instance, however, the free-market scenario has been broken owing to severe supply shortage and unequal purchasing ability. [Interruption.] If my hon. Friend the Member for Shipley wishes to intervene to tell me the five principles of the free market and explain why they apply to secondary ticketing, I shall be glad to debate the point. However, the free market has clearly collapsed because the principles of the free market do not apply in this instance There is another important dimension, which was raised by my hon. Friend the Member for Shipley. A ticket is not a commodity like a car; it is a licence to view, owned by the artist. The performances are not a commodity, but a licence to experience. There is the principle of allowing artists to remain in control of their performances. Let me give an example. A football club could sell all its family and juvenile ticket allocations for much more, but it recognises the importance of building a fan base. If all under-16 tickets were bought by “classic entrepreneurs” and sold to adults, tourists or the highest bidder, football clubs would not be developing their long- term fan base. The football clubs know that making a short-term price profit is not in their long-term interests, and it is surely right for the provider of the entertainment to be able to make a commercial decision not to sell at top dollar but to invest in the future fan base. It is the same for live bands and many other events. What the free market does do, which I support, is allow football clubs, bands and theatres to choose how much to charge for their event.
ParlaMint-GB_2015-01-12-commons.u282	indicated assent.
ParlaMint-GB_2015-01-12-commons.u283	indicated assent.
ParlaMint-GB_2015-01-12-commons.u284	My hon. Friends are nodding away, which is great, but that is a mistaken point of view. On taking money away from the artists and putting it in the pockets of these “classic entrepreneurs” and others in the entertainment industry, let us just say—[Interruption.] Let me explain to my hon. Friend the Member for Bury North, who is shouting from a sedentary position—
ParlaMint-GB_2015-01-12-commons.u285	May I ask a question on an intervention? My hon. Friend has said they are taking money away, but how can that be as the vendor has received full price for the ticket? They have not lost a penny.
ParlaMint-GB_2015-01-12-commons.u286	That is a very good intervention as I have the answer in the very next sentence of my speech Let us say that my hon. Friend has decided that he has £200 to spend on his entertainment budget for the year and he would like to go to four concerts at £50 a throw. If he has to pay his entire annual budget on buying just one ticket, he is going to go to only one concert, not four concerts. My hon. Friend the Member for Shipley mentioned the cricket. If someone has paid £500 to go to the cricket game, he will not be buying the T-shirts, the food and all the other things the promoters and artists rely on. Almost more money is paid for merchandise than for tickets. Promoters and artists want people to buy things at the concerts, not for that to be taken away. [Interruption.] If my hon. Friend will not listen, there is no point in his coming to the debate The bands will make it clear that it is not just the ticket price for the gig that gets them the money that allows them to tour; it is also merchandising and other things. If my hon. Friend the Member for Bury North has spent his whole annual budget getting to one gig, he is not going to buy the T-shirt and the other things. That is how bands lose out. It is not possible to argue with the economics of that; it is entirely right.
ParlaMint-GB_2015-01-12-commons.u287	I want to reiterate that point. Most bands nowadays have to sell merchandise to survive because very few people are paying full price, as they once used to, for the music itself. They therefore rely on selling merchandise on the evening; otherwise, they are not able to survive and produce the fantastic music that British bands do.
ParlaMint-GB_2015-01-12-commons.u288	Absolutely, and there is no doubt that merchandising plays a significant part in allowing bands to continue touring.
ParlaMint-GB_2015-01-12-commons.u289	The hon. Gentleman is making a very powerful point, which I recognise from my experience of touring with a band. It is uneconomic to go out with two trucks and all the equipment to play in front of fans. Bands rely on their merchandise and on being able to sell other products to enable them to continue to work and make the fantastic records they do, and ensure that people of any age group can watch them play live. Distortion caused by these appalling ticket prices threatens the industry.
ParlaMint-GB_2015-01-12-commons.u290	I thank the hon. Gentleman, and I would like to thank him for his contributions over the years; we have had good debates in this Chamber It is probably true that my hon. Friends the Members for Bury North and for Shipley have unlimited budgets, but most people have a finite budget and they have to make decisions on how to spend their money. If they spend it all on ticketing, they will not spend it on other things As has been mentioned, different methods have been tried to control secondary ticketing and to protect purchasers, such as named ticketing. It has been proved, however, that this will not work for every event. It works in some situations, but not others. The industry would like to take other steps to control these abuses but it cannot do so. It has been argued by the ticketing organisations that the measures already in place are enough. If that was the case, why are we still seeing cases where fans or performers are not protected from exploitation and revenue loss These amendments do not restrict the buying and resale of tickets. All they ask is that the process is transparent so that buyers have information such as where the seat is, who the seller is, and what the original price of the ticket was, and whether the resale of the ticket is against the terms and conditions of the original purchase. It does not expose the seller to data protection problems. Only those sellers whose job is related to the live entertainment sector will need to provide employment details. This means that an informed decision can be made whether or not to buy a ticket. Similarly, it would mean that in cases where tickets were resold by industry insiders for a profit, it was out in the open Creating such transparency means that it will be easier to prevent and detect ticket fraud, expose and reduce insider dealing of tickets, and assist event-holders in protecting their customers from the worst excesses of ticket touting. It will also assist the artists in ensuring that they are able to deliver tickets to the intended market at the intended price. In my view, these amendments provide the right balance to avoid full legislation criminalising the activity by implementing sensible, reasonable information requests. To quote Steve Parker, managing editor of Audience and Live UK: “The proposed amendment to the Consumer Rights Bill simply requires transparency and the restoration of fairness to the market. It is not a threat, restriction or burden to anyone operating honestly in this sector—it is a threat to those that seek to secretly manipulate the market for their own greedy ends.” Only the operators who want to hide this information could possibly object to a request for the system to be transparent. The proposed measures have been formally supported by a wide range of stakeholders from the live event sector, promoters including Harvey Goldsmith, the Lawn Tennis Association, the National Theatre, the Musicians Union, the England and Wales Cricket Board, UK Music, the premier music booking agencies, managers of major British bands like One Direction, Iron Maiden, Arctic Monkeys, Muse, Radiohead and Mumford and Sons, and over 50 more in a letter issued over the weekend. These amendments are only opposed by those profiteering from the confusion and technological shortcomings of event ticketing.
ParlaMint-GB_2015-01-12-commons.u291	The list of those that support this which my hon. Friend rattled off were, from what I could tell, all big businesses in the entertainment world, but has he looked at opinion polls which show that when people are asked, “If you have a ticket, should you be able to sell it on to somebody else at a price you determine yourself?”, an overwhelming majority say yes? The idea that only a few people are against this flies in the face of all the opinion poll evidence.
ParlaMint-GB_2015-01-12-commons.u292	I am so glad my hon. Friend intervened because I would like to quote back to him some things he said in the previous debate we had on the Consumer Rights Bill, on Report on 13 May 2014: “I think that one of the fundamental rights of the consumer is to know what they are purchasing.” That is what this measure proposes. [Interruption.] If I may continue, he went on to say that “legislation requiring labelling is essential for consumers to exercise their right to make an informed decision.”—[Official Report, 13 May 2014; Vol. 580, c. 672-73.] My goodness, he could be giving this speech for me, Mr Deputy Speaker! On mobile phone internet usage coverage, which is important, my hon. Friend said on 16 June 2014: “The lack of transparency and clarity that has persisted in the market has allowed consumers to be deceived.” That is amazing; it could apply to the area under discussion now. He went on to say: “It seems like the voluntary ways of ensuring greater transparency...have failed.”—[Official Report, 16 June 2014; Vol. 582, c. 896.] He said that about mobile phones, but why should it not apply to this debate?
ParlaMint-GB_2015-01-12-commons.u293	Will my hon. Friend give way?
ParlaMint-GB_2015-01-12-commons.u294	I have one more quote, but I will give way.
ParlaMint-GB_2015-01-12-commons.u295	I am sorry to urinate on my hon. Friend’s bonfire, but the point is that if I buy a ticket for the Lords test match, I know what I have got. There is no transparency issue; it is a ticket for the test match at Lords. The quotes he is giving on halal meat and all the rest of it are completely different from a ticket to a Lords test match, where it is perfectly clear what I have bought.
ParlaMint-GB_2015-01-12-commons.u296	rose—
ParlaMint-GB_2015-01-12-commons.u297	Order. We should be more gracious to each other. I am frightened that we might undermine that, and that this whole debate is going to descend, which I do not want.
ParlaMint-GB_2015-01-12-commons.u298	Thank you, Mr Deputy Speaker. I was just trying to point out that we ask for transparency in almost every other aspect of our society, and we should be asking for it on tickets. We are only asking for the name, the seat location and so on to be given. I think I have made that point crystal clear It should also be noted that the police are generally supportive of the suggested changes to the secondary ticketing markets. Ticketing legislation was recommended in the final report from Operation Podium, the Metropolitan police unit set up to monitor crime around the Olympic games. The police said the Government should intervene in the ticketing market because, among other things, certain aspects of it are funding criminal activity. We cannot argue against that; the police are saying it There is one more thing: many ticketing companies argue that should a ticket be invalid, counterfeit or fraudulent, a full refund will be given. We heard that earlier. That is very laudable, but it does not address the full problem. Refunding the price of a ticket will not make up for the travel expenses and accommodation costs of going to the concert, show or event; nor will it make up for the time spent acquiring the ticket Refunds look like a fair deal on paper, but even though the buyer will get their money back, the process actually sets up losses across the board. The seller of the ticket does not make any money, the company loses money by having to pay a refund and the buyer does not get the satisfaction of going to the event. The buyer is deprived of the experience that he or she worked hard for and spent money to secure. With the proposed transparent system, that would not be the case. There is another quirk to the existing system that affects not only the artists but the taxpayer. Some venues, such as the National Theatre and the Donmar Warehouse, are subsidised by the state in order to ensure that opportunities to see productions are available to the widest possible audience. When ticket prices are vastly inflated—as in one case, from £20 to more than £2,000 for a Shakespeare production at the Donmar Warehouse—not only are potential purchasers priced out of the market but the Government’s programme of subsidising the arts is undermined and money that could be ploughed back into new productions is lost. Why would we, as taxpayers, want to subsidise theatre to make it more available to people while at the same time allowing others to make £2,000 on a ticket? That is absolutely bonkers The Secretary of State for Culture, Media and Sport has told me that he supports the right of ticket providers to have terms and conditions and for those terms and conditions to be respected, and that any buyer should be aware of and adhere to them. Others who have spoken today have said that there should be terms and conditions, and that they should be respected, just as any other contractual arrangement is respected. That is how purchasing works. If I go on a train, I buy a ticket that is not transferrable. That applies in many other areas of society, too, so it seems bizarre that it does not apply to ticketing. These measures would enable those terms and conditions to be respected, and the Secretary of State should therefore fully support the amendment. I find it bizarre that he does not What we are asking for would give artists and venues the opportunity to regain control of ticket pricing and of the terms and conditions that they put on tickets. This would ensure that genuine fans had access to the events they wanted to attend. It would also hinder the ability of those using new methods of mass ticket-buying to artificially inflate the market in such a way as to creative negative impacts on the UK’s creative and sporting industries. If a band, artist or promoter wants to sell tickets at an inflated price, they are absolutely at liberty to use the secondary market to do so, but our proposals would mean that they would need to print on the ticket the fact that they had done so. I see nothing wrong with that. If we can make a small step in supporting the artists and fans, as we can with these amendments, we will have taken a very large step forward.
ParlaMint-GB_2015-01-12-commons.u299	It is a pleasure to follow my fellow co-chair of the all-party parliamentary group on music, the hon. Member for Hove (Mike Weatherley), and it will be difficult to follow such an excellent speech. I agree with every point he made. I shall make my contribution a little more personal I got involved in ticket touting—in the sense of complaining about it, not actually doing it—many years ago. I became an MP 14 years ago and about a year later, Take That got back together. My three daughters were desperate to get tickets to see them, but I am sad to say that they did not, although they have seen the band since. After a lot of shouting and ear-bashing and being told that I should do something about the problem because I was an MP, I looked into the situation and found it to be nearly as bad as it is today. Things were not so technically advanced back then, but they were certainly shaping up that way.
ParlaMint-GB_2015-01-12-commons.u300	It was tickets for the Take That reunion tour that garnered my interest in this topic. I want to place on the record my gratitude to my hon. Friend for the leadership that he showed on this issue before anyone else in the House did. Others have picked up the reins now that he has led the way in getting us to where we are today.
ParlaMint-GB_2015-01-12-commons.u301	I think my hon. Friend might be over-egging the pudding a bit, but I am always grateful when people recognise that someone has done something, particularly in this place.
ParlaMint-GB_2015-01-12-commons.u302	I had exactly the same experience, albeit not with Foo Fighters. I was trying to get tickets for the Jesus and Mary Chain recently, and there seemed to be a lot of sites advertising the tickets as being available. Those sites lure us in, but eventually we get transferred to other sites. By that time, we have wasted a huge amount of time and end up buying the more expensive tickets. Sometimes we try to hunt for the original tickets, but I suspect that that offer no longer exists by that stage.
ParlaMint-GB_2015-01-12-commons.u303	My hon. Friend is absolutely right This is not a free market; it is what I call a con market. I believe in a fair market. I believe that people should be treated fairly and given a chance to buy something at the advertised price. If 100,000 people want to go to a concert and they get to the tickets before I do, that is fine, as long as there are really 100,000 people. I do not expect the machines that the hon. Member for Hove mentioned to buy up all those tickets in a matter of seconds so that I cannot get one. That is not a free market, and it is certainly not a fair one The previous Labour Government, with whom I had lots of arguments, could not quite see this my way. I hope that the Under-Secretary of State for Business, Innovation and Skills, the hon. Member for East Dunbartonshire (Jo Swinson), will listen to these points, because she now has a chance to do something that my Government never did—put the situation right. Things are getting worse and as technology becomes more advanced, people use it for the wrong ends. They used it to prevent my kids from getting those Take That tickets all those years ago—my kids are still looking for those tickets, even though they are parents themselves now—and they are preventing me from getting the tickets I want We just want to be treated fairly. I do not mind paying the going rate of £68 or whatever, but I do mind someone buying up 100,000 tickets at £68 each and then selling them for £100 each. That is not right, and it should be against the law—it is taking ticket touting to an extreme. I am not talking about the happy chappie who sells tickets for a game of football before the match, although that used to upset me as well. We cannot allow people to do this on a large scale We can allow someone who has bought a ticket to pass it on to a family member or a friend, and I do not have a problem with them making a profit on it, provided it is not too much. However, I do have a problem with the guy with £500 getting ripped off by the hon. Member for Shipley (Philip Davies) with his Lord’s ticket. Why anybody would want to pay that kind of money to watch a game of cricket I do not know! Having said that, if someone really wanted to see the event, I can understand them paying it, but I do not understand why some people should be able to corner the market and then resell tickets to others at a vast profit. That undermines our music industry. At the end of the day, the issue comes back to the people who are trying to give us a service and the benefit of their life’s work.
ParlaMint-GB_2015-01-12-commons.u304	Let me take the hon. Gentleman back to the discussions about the ticket from Lord’s. I am torn on this issue: I am sympathetic to the amendments, but I am also sympathetic to some of the remarks made by my hon. Friend the Member for Shipley. If someone is prepared to, and can afford to, pay £500 a ticket to go to the test match, that is their choice. However, that individual should be able to find out and know where that ticket is located—where in the ground they are going to be sat—and whether or not it is legitimate. That is where the transparency angle of these amendments is correct.
ParlaMint-GB_2015-01-12-commons.u305	Therein lies a problem, because sometimes the tickets being sold are not even proper tickets—someone might just have made a very good copy. The person with the £500 would be taking that chance. I do not believe that is right—that is probably why the hon. Gentleman is sat on the other side of the Chamber and I am sat here. If the ticket says £25, £60 or £100—whatever the figure is—I expect to pay that. I do not have a problem if I have to pay a wee bit extra, but I would not be paying £500 or £1,000. The worst case I ever heard of was when two tickets for Wimbledon finals day, which were for disabled people, were being sold on eBay for £2,000 each, and the buyer had to buy the pair. That is not right, and I am talking about only a couple of tickets.
ParlaMint-GB_2015-01-12-commons.u306	Would my hon. Friend like to say something about venues? I understand that millions of pounds are being taken out of the music industry, in particular. I support small venues in my constituency. They really do struggle. I do not mind paying top dollar for a ticket for a band I want to see, but I want to know that that money goes to the person who bought the ticket at a fair price, the venue or the artist.
ParlaMint-GB_2015-01-12-commons.u307	My hon. Friend makes a good point. I like to think that the small venues are for new bands—people who are up and coming and do not have a great following. I have bought a ticket to see AC/DC at Hampden Park, which I had no problem doing because it holds 50,000 people. That was easy, but there is a genuine problem in respect of the small venues. We have a new venue in Glasgow called the Hydro, which holds 13,000 people. I have been there and it is fantastic, but even there, depending on who is coming, the ticket touts are out selling the tickets.
ParlaMint-GB_2015-01-12-commons.u308	The hon. Gentleman is making a fine speech and covering a range of new issues. One thing we have not thought about is that because the Government have failed to do anything about this, it has been left to the big festivals such as Glastonbury and T in the Park to try to put in place some sort of inventive, creative measure to protect their own audience. Why should it be left up to large festivals to deal with the problem? Surely it is the Government’s responsibility to protect fans.
ParlaMint-GB_2015-01-12-commons.u309	The hon. Gentleman is right about that. I have met various promoters for T in the Park and they have done their level best to try to stop the touts, but even they admit that they cannot do it completely. If we make this illegal, that puts a different front on it. If we tell everybody it is illegal to do something and someone does it, they know it is illegal. If we do not tell them it is illegal, they will continue to do it. As we have already said, they will continue to use all the new technologies that are coming online and they will rip people off. There will be people who are so desperate to buy a ticket to see somebody that they will pay these prices, and as long as somebody is willing to pay them, the problem will continue and prices will keep increasing.
ParlaMint-GB_2015-01-12-commons.u310	The hon. Gentleman is right that some things should be illegal, but I can reassure him that where someone creates an artificial ticket and it is not a proper ticket, that is either fraud or theft. We have already made that an illegal situation.
ParlaMint-GB_2015-01-12-commons.u311	I appreciate what the right hon. Gentleman is saying, but what is the difference between that person making a forgery and other people having a machine that can buy up 100,000 tickets for a venue? Is that not illegal? Is it not outrageous? Would you not want to do something about it? I am not talking about you, Mr Speaker; I am talking about the right hon. Gentleman I feel very strongly about this issue, as you can probably tell, Mr Speaker. Sometimes it is difficult to put things into words, but as politicians and Members of Parliament we should be putting our constituents first, not big business. We should not be hindering big business, but we should not be putting it before our constituents. Some in the Chamber tonight would rather put big business before their constituents.
ParlaMint-GB_2015-01-12-commons.u312	It is a pleasure to follow the hon. Member for Glasgow North West (John Robertson). He makes his points passionately, but I disagree with them all. I am unashamedly on the side of the free market on this one. The whole problem with the Lords amendment is that it simply strikes at the heart of the free market—no more, no less. This is not really an issue about consumer protection, although it is dressed up as that—it is about the free market. If this measure were passed, it is likely to have the consequence—I accept this might be unintended —of providing less protection for the consumer.
ParlaMint-GB_2015-01-12-commons.u313	The hon. Member for Glasgow North West seemed to suggest that my hon. Friend and I were arguing on the side of big business and that he was arguing in favour of the consumer, but does my hon. Friend agree that the hon. Gentleman is actually arguing in favour of the big music business? Does anyone think Harvey Goldsmith is not big business? I do not know whether the hon. Gentleman would take that as an insult or a compliment, but arguing on the side of those big music businesses is not arguing in favour of the small consumer, is it?
