ParlaMint-GB_2015-10-13-commons.u1	1. What plans his Department has to increase capacity in general practice and primary care.
ParlaMint-GB_2015-10-13-commons.u372	As well as providing him with a little more time, I would like my right hon. Friend to consider the effect on his constituency and mine of the changes to the immigration rules that the Government want to introduce with respect to earnings. This could force a lot of nurses currently working in the NHS to leave the country. Nurse training has been cut and the NHS is over-reliant on agency staff; now the Government are about to force thousands of nurses to go back. Does he agree with me that we need a rethink and a change of heart on this issue?
ParlaMint-GB_2015-10-13-commons.u373	When I go, as I no doubt shortly shall, for my flu jab, the person who gives it to me would not be regarded by many people who support this Bill as British, but services are being provided for people in this country. The work situation is going to be made more difficult, with potential employees afraid that they will be prosecuted for recruiting people illegally I do not know whether the Home Secretary went to any of the many wonderful Asian restaurants when she was in Manchester. My constituency has a “curry mile”, which is one of the best places to go to in the whole of the world for an overseas diet. I wonder how many of them will be under suspicion by the Home Office trying to decide, minutiae by minutiae, whether people are the “right kind” of British, who seem to be the only kind of British that they want to welcome into this country As the TUC says, huge poverty will be created by this Government. The children of asylum seekers will live in houses for which the amount of money being made available is £30 and a little bit more. I am proud of this country; I love this country. I do not know, however, whether the Government who are introducing this Bill love the country that Britain really is rather than the country into which they would like to transform it.
ParlaMint-GB_2015-10-13-commons.u374	I am grateful for the opportunity to speak in this important debate. Like many, if not most, Members, I was acutely aware long before the general election of just how important the issue of immigration had become to the people in this country. Of all the issues raised with me on the doorstep by my constituents, immigration was unquestionably the number one concern, and scenes throughout the summer, across Europe and in Calais, have done nothing but exacerbate that concern in recent months Like my right hon. and hon. Friends, I welcomed the reforms brought about by the Immigration Act 2014, but there is still work to be done. My constituents are absolutely clear about the fact that they want us to control our borders, and that includes dealing with those who have already managed to evade our border controls While there are, of course, many benefits to Britain from some controlled immigration, we must face the fact that the current levels are unsustainable. It is well documented that mass immigration forces down wages and makes it more difficult for residents like mine to find work. However, illegal immigration is the major source of frustration and grievance for my residents. I therefore welcome the Bill’s attempts to support working people by clamping down on illegal immigration. These measures will help to protect our public services, and will send a message to those who try to exploit our system for their own gain There are those who seek to take advantage of some of the most vulnerable people by promising them a better life in Britain, but the reality for those who arrive is often exactly the opposite, so I welcome the proposals to introduce new, tougher sanctions for rogue employers. It is right that we make it an offence for anyone to employ someone whom he or she knows, or has reason to suspect, is an illegal worker. We cannot allow ruthless criminal gangs to continue to exploit the vulnerable, or to bring undocumented, even potentially dangerous, individuals into the country. The Bill sends a clear message to those gangs: “You will not win.” It also sends a clear message to potential illegal migrants that it will not be as easy to establish themselves in the United Kingdom as they were promised it would be Since 2010 the Government have worked hard to support new businesses, many of which have been set up in my constituency. We should be ensuring that those hard-working, law-abiding entrepreneurs are rewarded. Equally, we must punish those who continue to flout the law by employing illegal labour and giving themselves an unfair and illegal competitive advantage. Illegal labour not only exploits the workers whom it employs, but denies work to UK citizens and drives down wages. Businesses that ignore the law should be closed, and those who run them should be prosecuted, and seen to be prosecuted, for their actions Legal immigrants can make, and often have made, an enormous and valuable contribution to our society, but there is no doubt that illegal migration, and even the current levels of legal migration, have an adverse effect on our most important public services. By 2024, if current levels are maintained, we shall have to find an extra 900,000 school places. There is already pressure on primary school places in my constituency, and there is even pressure for schools to be built to provide more places. We already have to build 210,000 new homes every year to keep up with population fluctuations. It is hard for anyone to argue that such numbers are sustainable. It is not bigoted to note those facts; we need a pragmatic solution to the problems In Castle Point we have a shortage of housing, a shortage of space for housing, and, most acutely, a serious shortage of affordable and private rental accommodation. Hard-working families must wait for accommodation, sometimes for months and months. They naturally feel that it is just plain wrong if even part of the reason for that is illegal workers taking up private rental properties.
ParlaMint-GB_2015-10-13-commons.u375	I know that the hon. Lady takes a particular interest in Northern Ireland, and I hope that she will therefore be as alarmed as I am—along with, I am sure, others on these Benches—that part 7 of the Bill, which requires public sector workers to speak fluent English, does not extend to Northern Ireland. The last time I checked, Northern Ireland was guaranteed its place in the United Kingdom by the Belfast agreement. Why should not part 7, which the hon. Lady praises, apply to it?
ParlaMint-GB_2015-10-13-commons.u376	I apologise for not having picked up on that point, but I am sure we will be addressing it very vigorously through Northern Irish channels Creating a new offence for rogue landlords who fail to take steps to remove illegal migrants from their properties will be a strong reassurance to the public that we are doing all we can to deal with what they feel to be a genuine injustice. It will also be a good way to help better establish the true scale of illegal immigration. Estimates vary wildly, but it is clear that the public perception is that it is a much more widespread problem than reported. Therefore measures that make it harder to live under the radar will increase public confidence, which is currently very much lacking. This Government have already made it much more difficult for immigrants to come to this country and immediately have access to our public services and our welfare system. This legislation will build upon those reforms and will strengthen our commitment to ensuring that only those who come here and contribute to our society can benefit from it It is a duty of us all in this House to listen to our constituents and try to address their concerns. I have listened to my constituents in Castle Point and they tell me they want something done about illegal immigration in the UK. This legislation will protect our public services, will further crack down on illegal immigration and will limit the access of illegal migrants to essential services. I welcome these proposals and urge Members to support them.
ParlaMint-GB_2015-10-13-commons.u377	In April 1939, a 10-year-old Jewish boy from a place called Ostrava in what was then Czechoslovakia was put on a train by his mum and teenage sisters. He never saw them again; they were killed during the war He was the only member of his family able to leave. He arrived in the UK only able to speak three words of English but became the youngest grammar school head teacher in the country, and was honoured by the Queen with an MBE for his education and charity work. He adopted four children, of whom I am the second, so I know all about the benefits that immigration can bring to individuals, our communities and our country I also know that immigration is something many people are very worried about. Research from the Oxford Migration Observatory shows immigration has ranked in the top five issues for many years and has ranked as the top issue for our country in many of the most recent polls. There is no point in mainstream politicians trying to ignore this or refusing to listen to people. It is our job to listen to people on this and come up with fair and reasonable ways of addressing their concerns. It is when we fail to do so that reasonable people with legitimate concerns turn to UKIP or, in the past, the BNP So I have worked hard to listen to local people in Dudley and I have held dozens of community meetings over the last couple of years on this issue. The truth is that most people are reasonable, fair and pragmatic when it comes to immigration and other contentious issues. Detailed research from British Future shows most people wanting fair controls on immigration but not a closed border. Mainstream politicians should be working in their communities to come up with fair and reasonable solutions to tackle exploitation, the undercutting of wages or some of the other challenges presented by immigration That is not, as some have said, “trying to out-UKIP UKIP”. It is being part of a mainstream Labour party that takes the concerns and worries that ordinary people have seriously. The vast majority of the hundreds of people who came to my meetings on immigration and the many thousands who completed the detailed surveys I distributed agree that we should welcome people who come to Britain and work hard and contribute, and they agree that Britain has always provided a safe haven for people fleeing persecution abroad Because of that, I welcome plans to help to train the next generation of skilled workers here in Britain instead of hiring from abroad. Our proposals at the election would have required large firms to take on a local apprentice every time they took on a skilled foreign worker, so I think this should go further, but it is good that some funding from skilled worker visas will now be put towards apprenticeships.
ParlaMint-GB_2015-10-13-commons.u378	Is the hon. Gentleman just talking about people from outside Europe, or is he talking about people from within Europe as well? Should there be the same requirements in respect of both?
ParlaMint-GB_2015-10-13-commons.u379	I think that jobs should be advertised in Britain before they are advertised abroad. I also think that if large firms or public sector organisations cannot find people in Britain with the necessary skills and have to employ someone from abroad, they should also have to provide an apprenticeship for a British youngster so that we can train up the next generation of British people as well At the last election, we also proposed tougher measures to tackle the illegal exploitation of foreign workers, and the creation of a new Home Office unit to enforce the law, so I support the Bill’s proposals for a director of labour market enforcement and for stronger sanctions against those who employ illegal workers. I have always thought that if you want to live in Britain you must be prepared to work hard and pay your way, obey the law and learn to speak English, because there is no other way to play a full role in British society, so it is right that the Bill will make it easier to monitor foreign nationals who have broken the law and to ensure that customer-facing public workers speak fluent English. Most people will think it is also completely right that the Bill proposes to tackle illegal immigration and its links with organised crime, people trafficking and exploitation, which have a knock-on effect on our communities, on wages and on public services As we heard earlier, however, the Government have not yet provided any evidence that the trial of plans to intensify the right to rent scheme, which requires landlords to check the immigration status of prospective tenants, has cut illegal migration. Indeed, there are worrying signs that it has made it much harder for British people from other backgrounds to find a home. I do not think that reasonable people would support a measure that could prevent British people who have worked and contributed to this country for decades from finding a home just because they have a foreign-sounding name or a different accent The Government must go much further to enforce the minimum wage so that unscrupulous employers cannot exploit foreign labour to cut costs and drive down wages. I want bigger fines for breaking the rules, and a ban on recruitment agencies hiring solely from overseas. We should also introduce changes to benefit entitlement right now, instead of waiting for the outcome of the Prime Minister’s negotiations with the EU. There should be a much clearer relationship between benefits and contributions so that people receive benefits if they have worked and paid in for at least two years. Furthermore, there is absolutely no reason why people should be able to claim child benefit for children who are living abroad. People in Dudley also want to see tighter border controls. We proposed to introduce a levy on US visitors to pay for 1,000 extra border guards and to do more to strengthen checks for illegal immigrants in Calais I would like to see the Government acknowledge that the costs and benefits of immigration are not shared equally across the United Kingdom. Lots of people have moved to places such as Dudley in search of work and a better life, and they are making a contribution. However, immigration can clearly put pressure on public services such as housing, schools and the NHS. The answer, of course, is to build more housing, stop cutting the NHS and ensure that schools have the teachers and staff that they need in order to cope. That could be funded by the benefits of immigration in other parts of the country. We do not get many millionaire American bankers, German city traders or French hedge fund managers moving to the black country. I would like to see an immigration Bill that ensures that the benefits migration brings to some parts of Britain help to fund the extra housing, NHS staff and teachers necessary to reduce the pressures in communities like mine I support some measures in the Bill, but I can think of other measures that would address mainstream concerns about immigration while providing fair, reasonable and progressive ways of doing so. Let us focus our efforts on the unscrupulous employers and organised gangs that bring people to this country illegally. Let us strengthen our border force so that Britain can have confidence that the rules are being enforced, and let us ensure that the costs and benefits of immigration are shared across the country.
ParlaMint-GB_2015-10-13-commons.u380	It is a great pleasure to follow the hon. Member for Dudley North (Ian Austin), who is the voice of reason in his party. It is also a pleasure to follow my hon. Friends the Members for Peterborough (Mr Jackson), for Folkestone and Hythe (Damian Collins) and for Castle Point (Rebecca Harris), as well as the Father of the House, the right hon. Member for Manchester, Gorton (Sir Gerald Kaufman), who gave one of his inimitable performances a few minutes ago. It is always a pleasure to hear what he has to say The Home Secretary made a candid and honest speech the other day. I do not believe that there is anything controversial in stating that every sovereign state should be the sole judge and arbiter of the level of immigration that can be sensibly absorbed and taken care of. The only way effectively to analyse this question is to examine the integration of the migrant communities into Britain and to look at their impact on essential services such as schools, housing and the NHS. Her conclusions were in line with the view expressed by the vast majority of people in this country—that the current levels of migration are totally unsustainable. That is why the UK must address the challenge of completely regaining control of its borders. That means carrying on the policy of strict controls on non-EU migration, but this must be in the national interest—I wish to say something about the nursing profession in a moment. It also must mean Britain looking again at the EU principle of the free movement of people across Europe. I feel that strongly. To my mind, it will be one of the red lines that will come up in the future referendum, and I say that as someone who wants to have reasons for voting to stay in Europe, if at all possible.
ParlaMint-GB_2015-10-13-commons.u381	Does the hon. Gentleman also have a concern about the 700,000 to 1 million UK citizens who live in other EU countries? Is he suggesting that they should not be allowed to live there and should be forced to come back to the UK, where they clearly do not want to be?
ParlaMint-GB_2015-10-13-commons.u382	I agree with the hon. Gentleman 100% on that. One must distinguish between the right to travel in the UK and people retiring, and people going to and working in any country they feel like and claiming benefits. This is a huge issue, but it is a debate we cannot have now, because you would call me to order, Mr Deputy Speaker The Bill contains a number of important measures, and I agree with the Home Secretary that it builds on the coalition’s Immigration Act 2014. I welcome the approach of looking with a relentless focus at the mechanisms of the labour market. In the past, a constituency such as mine, with a large food and agriculture sector, has been plagued by the actions of illegal gangmasters—now licensed under the Gangmasters Licensing Authority—and the unscrupulous behaviour of some rogue employers and rogue landlords. That is why we need additional measures to deal with and clamp down on those residual practices taking place. My hon. Friend the Member for Castle Point put it well when she pointed out that there is still some way to go, and we must have zero tolerance towards any malpractice In many ways, the Bill is a modest measure and many parts of it are long overdue. I particularly welcome the new powers that are going to be given to immigration officers and the powers that are going to be given to Border Force to target boats in British waters. I find it bizarre that hitherto Border Force has had no power to target boats in British waters that officers suspect of helping illegal migrants enter Britain, and I am glad that that is going to be changed As I said, I want briefly to say something about the nursing crisis in this country, not only because I have been in talks with my local hospital, but because I noticed that yesterday Jan Stevens, the chief nurse at London’s biggest NHS hospital trust, pointed out that there is likely to be a real problem in that trust and in other hospitals as a result of the cap being applied. She has estimated that it will affect up to nearly 3,700 nurses working in the UK and will deter others from coming here. She said: “It would be catastrophic if we had to send all our international nurses home as a result of the cap.” The Queen Elizabeth hospital in my constituency is excellent, but it faces a number of financial challenges, the biggest of which is the amount of money being spent on agency nurses—that figure is rising very rapidly. I know that the hospital, under the excellent leadership of Dorothy Hosein, the chief executive officer, and Edward Libbey, the chairman, has been making every effort to employ local nurses. They have held a number of events locally, including roadshows to try to attract people back into nursing, but after a great deal of effort they have secured the return of only one local nurse to the hospital. In the past, they have recruited a significant number of EU nurses from places such as Portugal and Spain, but I have to tell the House that this pool of talent is slowly diminishing and they now have to look further afield, to India and the Philippines, where there is a ready supply of nurses who speak very good English, who want to come here and who are properly qualified.
ParlaMint-GB_2015-10-13-commons.u383	Is the answer to this to enable more British youngsters to train as nurses in this country and to expand the number of training places available? Surely that is the answer.
ParlaMint-GB_2015-10-13-commons.u384	I entirely agree, but it is of no consolation to a hospital in Norfolk that needs to recruit 90 nurses over the next few months to avoid those penal payments to agencies. I agree that this is a matter that the NHS and the Ministers in the Department of Health must deal with. There is a long lead-in time; we cannot suddenly train nurses. There are many retired nurses whom we need to bring back into the profession, but many of them cannot come back, or do not want to come back.
ParlaMint-GB_2015-10-13-commons.u385	I am not sure whether the hon. Gentleman was at today’s Health questions, but the Minister proudly claimed that he had record numbers of nurses in training. In fact, there are four applicants for every nurse training place in Britain today, and we are training fewer nurses than we did in 2009.
ParlaMint-GB_2015-10-13-commons.u386	I absolutely take on board what the right hon. Lady says. It is very important indeed that Ministers look urgently and with relentless energy at that problem. If they do not look at it or at the training and the supply of nurses, these problems will continue. In the meantime, I ask the Minister of State to look very carefully at what I have said and tell me exactly what the updated position is of the Migration Advisory Committee. I gather that it is looking at evidence being produced by a number of trusts around the country. If the problem is not addressed, hospitals such as the one in my constituency will be running up debts completely beyond their control We are living in an ever more troubled and turbulent world. I do not think that any of us could have been anything but moved by those pictures of Alan Kurdi, the three-year-old Syrian boy who was drowned along with 12 other Syrians. When I look at the tragedy going on in Syria, I fear that it will be replicated in other countries around the world such as in Yemen and Egypt. Sudan, too, is in a very vulnerable state. I support the vulnerable persons relocation scheme, but feel that it is essential that we target people in country, which is why I strongly favour the idea of safe havens, overseen by the UN and the EU. It makes far more sense to have safe havens in the south of Dimashq and in the al-Suwayda province along the Jordanian border. It is a turbulent world and we face many challenges, but this Bill is a small, but essential step in helping Britain to secure its borders.
ParlaMint-GB_2015-10-13-commons.u387	I wish to concentrate my remarks on part 1 of the Bill Less than two years ago, in November 2013, the Home Secretary said that combating modern slavery was her top priority. It was an aim that won wide support on both sides of the House and it found expression in the Modern Slavery Act 2015, but this Bill risks undoing the progress made with that Act I am sure that the Government do not intend to undermine their own legislation so soon after it has become law, but all the evidence shows that the more vulnerable workers are, the stronger the hand of the gangmasters over them and the less likely they are to come forward and report their abusers. So what does this Bill do? It increases their vulnerability and strengthens the hand of the gangmasters. It does that by threatening exploited workers with 12 months in prison if they are deemed to have committed the offence of “illegal working” in clause 8 Let us be in no doubt: many will think that they have committed that offence even if they have not. Some 78% of those the National Crime Agency says have been exploited for labour in the UK actually have the right to work here as European economic area nationals, but rights awareness among these workers is very low, and options are limited, which allows unscrupulous employers to hold the threat of removal, and now imprisonment, over them—even when it is not a real possibility The charity Focus on Labour Exploitation, which works directly with victims of trafficking and of which I am a trustee, has identified three drivers of labour exploitation: the feeling among migrant workers that they deserve less, or have fewer rights than UK citizens; the lack of checks on labour standards in the workplace, from health and safety to minimum wage enforcement; and a fear of officials, especially immigration officials On each of the three drivers, the Bill makes the situation worse. First, on the rights of migrant workers, it puts the focus on immigration status as a condition of asserting labour rights. On that note, it would be helpful to hear from the Minister why the definition of “worker” in the Gangmasters (Licensing) Act 2004 has not been used. The Bill criminalises the exploited worker who, whether they are committing the offence of illegal working or not, can be treated or threatened by a gangmaster as if they are Secondly, on labour market enforcement, it is deeply unfortunate that the review was published only today, meaning that we did not have the opportunity to consider it fully before the debate, and that the consultation will still close on 9 November, not giving adequate time for proper consideration of the proposals. From the quick look I have had at the Government’s proposals, I have found no evidence of the increased resources or powers that are clearly needed for the director of labour market enforcement. Last year, the Migration Advisory Committee powerfully found that “on average, a firm can expect a visit from HMRC inspectors once in every 250 years and expect to be prosecuted once in a million years.” Let us be clear that those of us who were calling for an extension of the Gangmasters Licensing Authority’s remit during the debate on the Modern Slavery Bill meant a genuine extension, building on the good work in the sectors where it already operates, and not the pick-and-mix approach with no additional resources suggested by the Bill and the consultation The third driver of labour exploitation is the overlap between labour market enforcement and immigration enforcement, which is at the heart of the Bill. The very decision to include labour in market enforcement measures in an Immigration Bill is hugely counter-productive, and the mistrust of immigration officials exists regardless of migrant status. The consequence will be that labour exploitation is not rooted out and that it will continue, contrary to all the wishes of this Government, to be a pull factor for migration In May, the Prime Minister set out the need for what he described as the labour market enforcement agency, of which the post of director suggested in the Bill falls far short. He set out that ambition to prevent exploitation and to stop migrants undercutting British workers.
ParlaMint-GB_2015-10-13-commons.u388	There is one further area of what we might call “legacy work” from the Modern Slavery Act, which is the position of overseas domestic workers. That was being reviewed by James Ewins, but we have heard nothing about it. Does the hon. Gentleman share my hope that we will hear something about that review during the Bill’s passage?
ParlaMint-GB_2015-10-13-commons.u389	I thank the right hon. Gentleman for his intervention, as he puts his finger on one of the crucial issues in the 2015 Act about which many of us have reservations and which needs to be addressed. That is exactly the point that I am making: unless we give migrants the confidence to come forward and whistleblow on exploitation we will weaken the position and strengthen the hands of the gangmasters. Sadly, the Bill as it stands will fail to meet the Prime Minister’s aspiration to prevent exploitation and to stop migrants undercutting British workers. I genuinely hope that the Minister, for whom I have high regard, will take on board the comments of those of us who worked constructively with the Government during the passage of the Modern Slavery Bill so that we do not undo its legacy.
ParlaMint-GB_2015-10-13-commons.u390	I am pleased to support the Bill, which will, I know, enjoy the support of many of the residents I represent across Pendle for the range of important measures it introduces and for those that it strengthens. There is, of course, deep concern that our migration system needs to be much better controlled in general and, perhaps above all, there is concern that politicians have failed to get to grips with the scale of net migration. That came across loud and clear on the doorstep during the election campaign, as has been said by many hon. Members Therefore I welcome the Bill as part of the Government’s ongoing work to restore trust in politics and to improve our immigration system for those who need it to work, both British residents and migrants alike. Not least, there is a concern about the harm that some migrants suffer when they arrive in Britain, only to be introduced to a life of exploitation and abuse. I wish to focus particularly on the Government’s proposals to tackle labour market abuses and illegal working—issues which, sadly, we have had to deal with in Pendle and across east Lancashire On 11 September—last month—one of Britain’s first interim slavery and trafficking risk orders was successfully applied for by Lancashire police and served on a man from Nelson in my constituency because of his alleged treatment of two migrants from Poland, whom he stands accused of exploiting and forcing into servitude. The case is to be heard in court next month so it may be best for me not to comment further until we know its outcome. However, I am encouraged that our police now have these powers given to them through the previous Government’s historic Modern Slavery Act 2015 to protect those at risk from modern slavery, very many of whom will be migrants forced to work or live in appalling conditions for appalling pay, if they are even paid at all. The Bill will help us to tackle such issues further Many in Pendle will be surprised to learn that under the current rules there is little to prevent a business found to have used illegal workers from carrying on its business. Some employers will continue to operate their business, and there is a risk that they may still use illegal workers, possibly not detected by immigration officers as they were not present at the premises at the time of the visit. The new powers for immigration officers to close down premises for up to two days, like the closure notices served on premises associated with nuisance or disorder, may often not be appropriate, especially if an employer is co-operating with officials or where it could affect a large number of staff who were working legally. However, these additional powers send the right message and could be useful in disrupting businesses that rely on exploiting illegal workers. Alongside making it easier to bring prosecutions against those who knowingly employ an illegal worker, this puts the responsibility on unscrupulous business owners and employers—exactly where it should be I welcome the proposal for a director of labour market enforcement. In 2013 I asked the then Immigration Minister, my right hon. Friend the Parliamentary Secretary to the Treasury, to set out how many illegal working enforcement visits there had been on a yearly basis across the north-west of England. The answer showed that these visits fluctuate year by year, with hundreds more in one year than in the next. This feast-to-famine approach cannot be the best available, and reports of illegal working in the area I represent are, if anything, increasing steadily. It is therefore reassuring to know that there will be a central point for co-ordination of information and resources if we have the director. Illegal working does not come and go from year to year, so the efforts to keep on top of the problem should not do so either if we are to prevent illegal working and, most importantly, protect migrant workers from exploitation I am aware of the criticism that this role will not go as far as a fair employment commission would go, which has been proposed elsewhere. I hope the Minister can address how far the director’s remit should extend and whether it ought also to include local authorities with statutory responsibilities to enforce health and safety legislation and the Health and Safety Executive—a point that has been made by the Immigration Law Practitioners Association and a number of other groups The Bill builds on the reforms we have made to the Immigration Act 2014 to tackle illegal immigration from the bottom up. Both across the globe and here in the UK, we see that migrant workers are particularly vulnerable to labour market exploitation, and many find themselves living and working in dangerous and degrading conditions.
ParlaMint-GB_2015-10-13-commons.u391	The hon. Gentleman made it clear that he will support the Bill. I have listened carefully to his speech and I am pleased that prosecutions are being brought in the circumstances that he outlined. However, some of us are very disturbed that the increased powers to be given to immigration officers under the Bill include the power to strip search for nationality documents. How can he and those who share the Government Benches with him defend that?
ParlaMint-GB_2015-10-13-commons.u392	I think that the measures outlined in the Bill represent an important step forward. A series of measures have been introduced under this Government, as the Home Secretary set out today. The Bill takes us a step further in the right direction. The people who pay the highest cost and who are the most vulnerable and exploited are the migrants themselves—it is the gangmasters and criminals who are making the money and profiteering —so we must have them at the centre of everything we do. I feel—the hon. Lady might disagree—that the Government’s approach is right. The Bill helps to fulfil the Conservative party’s manifesto commitment to introduce tougher labour market regulations to tackle illegal working and exploitation I conclude by briefly paying tribute to Lancashire police for the excellent work they are doing to protect people from the sort of criminal activity I have been talking about. The team is gearing up for its human trafficking week of action later this month, and it is also holding an anti-slavery day over the weekend. Lancashire police are working with immigration agencies to educate businesses that might be linked to illegal employment and to enforce the current rules. I strongly welcome the work of our dedicated police officers and immigration officials. I welcome just as strongly the tough measures contained in the Bill, which are necessary to ensure that vulnerable people in Pendle are protected from exploitation and that those who make use of illegal workers feel the full force of the law.
ParlaMint-GB_2015-10-13-commons.u393	I think that it is universally accepted that the British people want properly controlled immigration. Their objection is to unfair and uncontrolled immigration. This Bill has been dressed up as a powerful response to that demand for effective immigration control, but it is in fact the opposite; it is a sign that the Home Office has given up on doing its job Instead of fixing that which is broken—the ports of entry that passengers go through without seeing an immigration officer; the practice, when police officers intercept people who have been smuggled in lorries, of sending them on their way and asking them kindly to present themselves at the Home Office in Croydon; and even appeals where, having refused an application, the Home Office fails to send a representative to defend the decision—the Home Office has instead allowed terrible delays in listing appeals, resulting in people who have no valid claim to remain here staying longer and putting down roots so that they become more difficult to remove The Home Office has rejected calls to extend the role and remit of the Gangmasters Licensing Authority so that practical action can be taken to prevent labour exploitation in sectors where we know it exists, such as the hotel trade and construction. Instead, it is delegating the problem to us—to ordinary people and not just employers, who rightly should check the immigration status of people who apply to work for them, in order to protect themselves and their customers. Those employers regularly complain to me that the information on the advice line is at best confusing, and at worst wrong We are told that there will be an advice line for some of the new groups who will have to check someone’s immigration status. Banks already have some experience, but landlords will now be expected to refer to an advice line in order to spy on the immigration status of their tenants. In effect, the Bill is setting us all up as snoopers on other people’s immigration status. We know that that is ineffective. Of 75,000 allegations to the Home Office in 2013, there were 4,000 arrests and only 1,000 removals. Even privatised Capita, when given 120,000 records of overstayers, managed to persuade only 1,000 to leave I have been advising people about immigration status for over 35 years, but I still need to check with up-to-date experts about what some of my constituents’ entitlements are. The Home Office is not providing the tools that would allow citizens to be sure of the status of someone who might seek services from them. The result is unsurprising, and it is confirmed by the Joint Council for the Welfare of Immigrants report on west midlands landlords: people will just stop taking the risk Britain, having been a tolerant and welcoming society in which iconic British successes have often been created by refugees and migrants—businesses such as Marks & Spencer and inventions such as the Mini, which was designed here by an Italian—will become a place where people with foreign names and accents face a kind of pass law system in which, in order to play a full part in society, they have to keep proving their status and the fact that they have rights. The MPs who opposed the national ID card system did so on the basis that it was an infringement of civil liberties. The consequence of failing to introduce such a system is that all of us will have to make these checks, and minorities will bear the brunt of infringements of their civil liberties.
ParlaMint-GB_2015-10-13-commons.u394	I do not know when the hon. Lady last rented a property or opened a bank account, but when doing so, as British citizens, we are all required to provide information, be it a passport, a utility bill, proof of address or a driving licence, and so on. Surely it is just common sense that when landlords are letting a property these safeguards and checks should be made. They are made on the rest of us, as things stand now.
ParlaMint-GB_2015-10-13-commons.u395	The point is that if someone has a full British passport, it is very easy to say that they are entitled. The Residential Landlords Association predicts, rightly in my view, that the consequence of this measure will be that people who do not have a British passport, even those who are British—we should remember that some 12 million people in Britain do not carry a passport—will find themselves discriminated against because the landlord thinks that the situation is difficult We need to make sure that the only landlords prosecuted are those to whom Ministers have referred, who are sometimes complicit in illegal migration and the exploitation of vulnerable migrant workers. Can the Minister point to a provision saying that only people like the pimps who are exploiting trafficked workers in brothels will be prosecuted but innocent landlords who make a mistake and do not understand the documents will not? I do not believe that this Bill is going to help these women. The clause 8 offence of illegal working will apply to them, as my hon. Friend the Member for Sheffield Central (Paul Blomfield) clearly explained. Will the Minister give specific details about what action he will take to make sure that victims who are coerced by others to work are not criminalised by the offence? Will they have a statutory defence under the Bill? We know that the results of the assessment of landlords experiment will not be available until after this debate, but has he conducted an assessment of the impact of these measures on victims of modern slavery This Bill is horribly un-British. It gives immigration officers extreme powers without submitting them to abiding by protections like the Police and Criminal Evidence Act 1984—protections that police officers have to abide by. It forces people to appeal from overseas, and by doing so ignores the rights of children who will be separated from their parents. The Children’s Commissioner has said that the current arrangements already fail to meet our obligations on children’s rights Overseas appeals will not deal with cases such as the one in my constituency of a husband whose documents showed that he lived in Slough while his wife lived in Bradford, so the Home Office said, “This is a marriage of convenience.” In fact, Slough was the only place he could get work, so he was coming down there to work from Monday to Friday and then returning to his family at the weekend. Without an oral hearing, he would not have been able to win his case. He did win it, and the immigration judge praised him for working so hard to support his family. This Bill is going to lead to un-British injustice, and we should reject it.
ParlaMint-GB_2015-10-13-commons.u396	I am delighted to speak in full support of what the Government are doing to tackle the problem of illegal immigration, and to put on record my support for every single word of the speech that the Home Secretary made at the recent Conservative party conference. The Government are absolutely right to be doing this. Nobody has any problem with legal migration into Britain; no Conservative Member has suggested that there is a problem with it. Speaking for myself, I am married to somebody who migrated into this country from eastern Europe. My children are bilingual and have dual nationality. My sister-in-law is Chinese. Davies family Christmas get-togethers can be like the United Nations This is not about racism or xenophobia at all. Conservative Members are concerned that migration needs to be managed in a careful fashion, and to be legal and controlled. Illegal mass migration is causing all sorts of problems, not just for the UK, but for many of those who have been illegally brought into this country. Pressure is being put on housing and it is important that we take action against rogue landlords. I remember going out with the police in a part of London—I think it was Ealing, but it may have been elsewhere—and they openly said, “Look at all these sheds that have been converted into accommodation. It’s all for people who have come over here illegally.” It is such a widespread problem that very little is being done about it.
ParlaMint-GB_2015-10-13-commons.u397	I represent a constituency in which many such sheds exist, and the housing pressures in Slough are such that most of the residents of those sheds are now perfectly legal.
ParlaMint-GB_2015-10-13-commons.u398	We do not know that, do we? But we will no doubt be able to find out because we are giving people the powers to check There is pressure on schools when pupils cannot speak English. There is a cost for translators and the issue also causes problems for the health service. It undermines wages and creates wider public concerns.
ParlaMint-GB_2015-10-13-commons.u399	I am glad to hear the hon. Gentleman say that his children are bilingual. English-language courses are, of course, free. Given that the Welsh language has equal status under the Welsh Language Act 1993, does he agree that the Government should ensure that Welsh-language courses should also be free?
