ParlaMint-GB_2015-12-16-commons.u1	1. How her Department monitors outcomes of its spending in the Palestinian territories.
ParlaMint-GB_2015-12-16-commons.u286	First, I would say to the hon. Gentleman, do not believe everything you read in the papers, especially at the weekends. As I have said before, this is a complex military task that requires careful planning and careful execution. I am sorry if it does not suit him that we have a debate and 14 days later he has not seen the level of attack in a particular spot that he, as a military strategist, would like to see, but I have to defer to the military strategists in the Ministry of Defence and in the combined air operations centres and let them execute the objectives that this House has clearly endorsed.
ParlaMint-GB_2015-12-16-commons.u287	The Foreign Secretary was right to highlight the importance of Syria’s neighbours, particularly Arab states. I am sure that he will be aware of this comment by the US Defence Secretary: “Saudi Arabia and the Gulf states joined the air campaign in the early days but have since been preoccupied by the conflict in Yemen.” Is he concerned by that, and has there been a decrease in sorties by Arab allies?
ParlaMint-GB_2015-12-16-commons.u288	Yes, there has been a decrease in air sorties by Arab allies. Of course, we recognise the challenges of the conflict on their southern border. The hon. Gentleman will be pleased to hear, and I am sure the House will be pleased to hear, that talks are currently going on between the two sides in the Yemeni civil war. A ceasefire of sorts has been in place over the past couple of days, and although there have been violations, I understand that it is broadly holding. We are therefore hopeful that we are seeing the beginning of the end of the military phase of the conflict in Yemen.
ParlaMint-GB_2015-12-16-commons.u289	In his previous statement the Prime Minister mentioned the memorandum of understanding regarding communication between the coalition and Russia, which is hugely important. We need only look at the shooting down of a Russian jet by Turkey to see how crucial it is that those communications are going on daily at an operational level. The House has heard loud and clear about the difficulties in dealing diplomatically with Russia, and we must continue to endeavour to be more successful in doing that. How well is the memorandum of understanding working, given that it is for the safety of our troops as well as Russia’s that it is working?
ParlaMint-GB_2015-12-16-commons.u290	This is about de-confliction. It is about ensuring that we are not flying our aircraft in the same bit of airspace where, inadvertently or by accident, they might come into conflict with others. That has been working well. In fact, coalition aircraft and Russian aircraft are generally operating in different areas. Of course, the situation with regard to Turkey is different. The Turkish aircraft in question in the incident that the hon. Gentleman refers to, which tragically led to the death of a Russian lieutenant colonel, the pilot, were defending Turkish airspace. It was a routine air defence patrol of the type that we fly in the UK, and we would be in the same position if our airspace was threatened or challenged. The de-confliction of airspace for operations between the coalition and Russia is working well, but the conflict—the tension—remains along the border, where Turkish aircraft are flying in their airspace and Russian aircraft are flying in Syrian airspace. We are all extremely keen to see any risks in that area de-escalating, and we are working hard to achieve that.
ParlaMint-GB_2015-12-16-commons.u291	The Foreign Secretary says that a minimum of £1 billion has been put aside for reconstruction. Is that a blank cheque, and, if so, what alternatives is it at the expense of? What needs analysis is that figure based on? What plans exist for spending it, and over what timescale?
ParlaMint-GB_2015-12-16-commons.u292	I do not think it is a blank cheque: it says on the top line, “People of Syria”, and on the next line, “£1 billion”, so it is clearly not a blank cheque. The Prime Minister has made it clear that we are going to remain committed to the Syrian people through this conflict, through the formation of a transitional Government and in the rebuilding of their country after the creation of that transitional Government and the end of the conflict. He made it very clear in the debate two weeks ago that £1 billion is not the limit of our support for the Syrian people; it is a first instalment to which we have committed.
ParlaMint-GB_2015-12-16-commons.u293	A veritable feast of points of order.
ParlaMint-GB_2015-12-16-commons.u294	On a point of order, Mr Speaker. I am starting to panic. You will recall that on 2 December the Prime Minister, in response to a question asked by my hon. Friend the Member for Westmorland and Lonsdale (Tim Farron), the leader of the Liberal Democrats, said: “I am very happy to look at that issue again”— the issue being the 3,000 unaccompanied children— “to see whether Britain can do more to fulfil our moral responsibilities.”—[Official Report, 2 December 2015; Vol. 603, c. 339.] The Prime Minister has been silent on the matter ever since. Can you, Mr Speaker, clarify whether the rules of the House require, when matters of moral responsibility are in play, the Prime Minister to return to this Chamber urgently to set out how he intends to fulfil those moral responsibilities?
ParlaMint-GB_2015-12-16-commons.u295	The matter that the right hon. Gentleman raises is certainly important, but I am bound to tell him that it is treated of neither in “Erskine May”, which, of course, is the bible of parliamentary precedent and procedure, nor in Standing Orders. Therefore, although it may seem imperative in the mind of the right hon. Gentleman and, indeed, in that of his leader that the Prime Minister should return to the House to satisfy them on this matter before the Christmas recess, there is no procedural imperative to that effect.
ParlaMint-GB_2015-12-16-commons.u296	Shame.
ParlaMint-GB_2015-12-16-commons.u297	The right hon. Gentleman mutters “Shame” from a sedentary position, and I feel sure that it is a matter to which he will return, quite possibly before the Christmas recess. We shall wait to see.
ParlaMint-GB_2015-12-16-commons.u298	rose—
ParlaMint-GB_2015-12-16-commons.u299	rose—
ParlaMint-GB_2015-12-16-commons.u300	I think we shall have a change of party for a moment, but we will return to the hon. Member for Leeds North West (Greg Mulholland).
ParlaMint-GB_2015-12-16-commons.u301	On a point of order, Mr Speaker. This is my first point of order, just in time for Christmas. On a very serious point, it has come to my attention recently that the Department for Work and Pensions plans to operate “business as usual”, as it did for the first time last year, in the run-up to Christmas. That basically means that people will be sanctioned up until and on Christmas eve. How can I hold the Secretary of State to account on this matter and have it dealt with, hopefully positively, so that we do not have a Scrooge-like approach in the run-up to Christmas?
ParlaMint-GB_2015-12-16-commons.u302	I think the hon. Lady has just done it, although there is one further parliamentary day. Of course, the scheduled debates for tomorrow are what they are and I am not at all sure that either of them would facilitate her in that respect, but there are other opportunities on every parliamentary day and she will have to use her ingenuity, which is not inconsiderable, to see if she can refer to the matter again and extract some sort of ministerial response in the Chamber.
ParlaMint-GB_2015-12-16-commons.u303	rose—
ParlaMint-GB_2015-12-16-commons.u304	rose—
ParlaMint-GB_2015-12-16-commons.u305	I think the hon. Member for Leeds North West is going to think he is always left until last if I do not call him now. Members do develop persecution complexes from time to time. We will come to the hon. Gentleman, who is a hardy fellow and will not mind waiting.
ParlaMint-GB_2015-12-16-commons.u306	On a point of order, Mr Speaker. The last question at today’s Department for International Development Question Time was asked by my hon. Friend the Member for Edinburgh North and Leith (Deidre Brock). It concerned a very serious matter regarding reports that two men from Malawi—Cuthbert Kulemela and Kelvin Gonani—have been arrested in the capital city for having consensual sex together. Essentially, it appears that they have been arrested for being gay. This is probably as much of an issue for the Foreign and Commonwealth Office as it is for DFID, so I am glad that there are FCO Ministers present. I hope the Government will respond in the same way as the Secretary of State for International Development did by condemning the action My point of order is that the question asked by my hon. Friend could barely be heard because of the noise that always rises in the prelude to Prime Minister’s questions. What advice can you give to Members, Mr Speaker, about noise levels during Question Time, and what opportunities are there for us to ask the Government to look at rotating the questions and when they are heard?
ParlaMint-GB_2015-12-16-commons.u307	I am very grateful to the hon. Gentleman. The news that he reports on a very serious matter is, frankly, horrifying—it is absolutely horrifying news indeed. Of course, there is a direct locus for the Secretary of State and the Department for International Development in view of our continuing commitment to Malawi, with which country I know the hon. Gentleman, from his personal experience, is intensely familiar, so, I think probably on behalf of the House, I can empathise with what he has said The noise at Question Time is very disturbing. I do often say to the House that we are dealing with extremely important matters. In some cases they are important matters not only from our point of view, but to people elsewhere in the world who are in very much more vulnerable situations than we are, so common courtesy would dictate that there should be a civilised atmosphere and that questions and answers should be heard. The hon. Gentleman knows, to be fair, that it is ordinarily not a calculated insult; it is that colleagues are very excited and animated about the upcoming Prime Minister’s questions and are engaging in often protracted and noisy private conversations. I can only exhort colleagues to remember their responsibilities to each other and to people whose concerns we are discussing. More widely, the hon. Gentleman makes quite an important point about possible rotation. There is no procedural bar to rotation. If there is a significant body of Members who feel that it is wrong that one Department should have to occupy that very difficult slot for an extended period, they can make representations—I am trying to be helpful to the hon. Gentleman; I cannot solve the problem overnight—to the Leader of the House and, indeed, if I may say so, to the Chair of the Procedure Committee, the hon. Member for Broxbourne (Mr Walker), who is, in my experience, unfailingly helpful to, and courteous in his dealings with, Members of the House.
ParlaMint-GB_2015-12-16-commons.u308	On a point of order, Mr Speaker. I do not at all mind waiting to seek your advice or to share some very good news. I know that you will be delighted, as will the House, with today’s news that the National Institute for Health and Care Excellence has approved the drug Vimizim for sufferers of Morquio disease. That is life-changing news for the 88 people and their families, and it is the result of a large campaign I seek your advice, Mr Speaker, because this is a hugely important matter that has exercised considerable time and a number of questions in this House. Given that there will be no pre-recess Adjournment debate tomorrow, and given the very limited time available for a statement from the Department of Health—which would be very welcome, particularly because it is such good news—I seek your advice on how the issue might be raised in the time remaining to us, considering not only its importance, but the importance of the ultra-rare diseases that have not received this news, such as tuberous sclerosis and Duchenne muscular dystrophy.
ParlaMint-GB_2015-12-16-commons.u309	There are two points in response to the hon. Gentleman’s point of order. First, I am absolutely delighted to hear that excellent news. Although the hon. Gentleman was too modest to draw direct attention to his own work on the subject, I think Members across the whole House know just how indefatigable he has been in his efforts on behalf of those very vulnerable people, so I would like to congratulate him and other Members on their persistence. It is absolutely magnificent news. We are here to serve other people and this is a very good example of where that has been done, not least due to the prodigious efforts of Back Benchers such as himself and a number of his colleagues Secondly, there is every opportunity for statements to be made tomorrow. Ministers will have heard what the hon. Gentleman has said. Whether a Minister wishes to come to announce and elaborate on the good news, and potentially to answer queries about other categories of people who might also be helped, I do not know. The hon. Gentleman also knows that, whether or not a statement is offered, there is an opportunity for Members to submit urgent questions. The hon. Gentleman has done it many times himself, sometimes with success. I cannot possibly give a commitment in advance, because we do not deal with the matter in that way. One thing the hon. Gentleman knows is that if he does not extract a commitment by a Minister to make an oral statement tomorrow and he chooses to submit an urgent question, I will see that question and read it in full, and it will be considered and adjudicated on at the morning meeting at 8.45 am tomorrow. I hope that that is helpful to him and, indeed, to other Members of the House.
ParlaMint-GB_2015-12-16-commons.u310	On a point of order, Mr Speaker. In that context, have you received any indication from the Government that a Minister intends to make a statement tomorrow about the outcome of their consultation on cutting the solar feed-in tariff, which I understand they will announce tomorrow. This is a matter of huge public and industrial concern, with 37,000 jobs—87% of the jobs in the solar industry—at risk if the Government do not change their proposals. It would be completely unacceptable for this announcement to be sneaked out on the last sitting Thursday before Christmas when, with a one-line Whip, many Members will not be in Parliament. I hope that you will take up that matter with the Government on our behalf.
ParlaMint-GB_2015-12-16-commons.u311	I am not aware of any intention on the part of a Minister to make a statement on that subject tomorrow, although I must say to the right hon. Gentleman, who is extremely experienced in the House, that the fact that I am not aware of any such intention at this point is itself unexceptional. There is no particular reason why I would have been notified. I have not been notified, but that does not mean that the Government are not planning to make a statement. As the right hon. Gentleman will know, that is little comfort to him. There might be an oral statement or there might not be. It is perfectly possible that there might be a written statement, which I suspect would satisfy him even less I cannot do anything about the point we have reached in the timetable. Tomorrow is the last day and some Members may not be present. That is unfortunate, but I can do nothing about it. However, just as I said to the hon. Member for Leeds North West that there is the opportunity of an urgent question for him and for other Members on matters of concern to them, it is perfectly open to the right hon. Gentleman to submit an urgent question. I simply inform colleagues that on a Thursday such applications must be in by 8.15 am. I feel sure that the hon. Gentleman and the right hon. Gentleman are both eager beavers and early birds If there are no further points of order—the appetite has been satisfied, at least for today—we come now to the ten-minute rule motion, for which the hon. Member for Stalybridge and Hyde (Jonathan Reynolds) has been so patiently waiting.
ParlaMint-GB_2015-12-16-commons.u312	I beg to move, That leave be given to bring in a Bill to amend the Representation of the People Acts to provide for the introduction of proportional representation as a method for electing a certain number of Members of the House of Commons; to make provision about changing existing constituencies and reducing their number; and for connected purposes It is said that in 1830, the Duke of Wellington, as Prime Minister, declared himself opposed to any reform of Parliament on the basis that the state of the representation of the people had been designed by providence and therefore “cannot be improved”. He was of course deeply wrong, as just two years later the Great Reform Act of 1832 was passed. However, that attitude—that the means of representing the people at Westminster cannot be improved—is one that has lived on and remains strong to this day. Indeed, many Members of the House can find no reason to question a system that has had the infinite wisdom to elect each and every one of us who sits in the House today I put it to the House that the means of electing the House of Commons—namely, the first-past-the-post electoral system—is no longer fit for purpose. It has led to a narrow and unrepresentative politics, increasingly poor decision making, poorly conducted elections and, at times, poor government. Moreover, it now threatens the constitutional integrity of the United Kingdom and the cohesion of the constituent nations of the UK, by failing to produce representation that truly reflects the diversity of political views contained therein My Bill, which is modestly entitled a representation of the people Bill, seeks to correct these failings by introducing for the House of Commons the same electoral system used in Scotland and Wales, and in Germany—the additional member system. I believe that that system delivers the best of both worlds: a local MP with a constituency link, and a representative election that successfully reflects the intentions of the electorate. There would still be constituency MPs, but there would also be representative elections. There would still be strong one-party Governments if the public wanted them, but not if they did not I will set out why I believe the change to be so desirable. I believe our current voting system is bad for politics in the UK. It forces the major parties to devote their resources overwhelmingly to just a handful of constituencies that they regard as swing or marginal seats. That fails to treat voters equally, regardless of where they live, which creates a two-tier system of political engagement. As we all know, in some parts of the country the opposition parties put up nothing more than a token effort at election time. Most worryingly, it creates false electoral deserts, where whole regions of the country are dominated by one party despite its opponents recording substantial numbers of votes First past the post has been a huge contributing factor in how remote people feel from politics. As vote share for the major two parties has declined, it is a fact that our general elections have become less and less representative. If winning an argument with the British public becomes a different task from that of winning the votes required to form a Government, something has gone terribly wrong. It should be a source of national concern that there have been three general elections in history in which the party with the most votes has actually lost the general election. If that were to happen in the modern day, we would legitimately face a constitutional crisis I wish to stress that none of this is a means to dispute the formation of the new Conservative Government. No electoral system would have produced a Labour Government in 2015, because people simply did not trust Labour sufficiently. However, the result of the last election should concern anyone with an interest in democracy, or simply a desire for national unity. In the south-east, the Tories got 51% of the vote, but took 93% of the seats. In the south-west, they got 47% of the vote, but took 94% of the seats. In the north-east, the situation was reversed: Labour took 47% of the vote, but won 90% of the MPs. In Scotland, the SNP won an impressive 50% of the vote, but a thoroughly disproportionate 95% of the seats. The Lib Dems actually got 1 million more votes than the SNP, but are treated as though they got less. Four million people voted for the UK Independence party to get just one MP. That is simply not conducive to a representative Parliament As much as I wish the whole country would simply elect Labour MPs like me, if they do not do so, they should—as best we can deliver—get the MPs they did vote for. Moreover, the electoral system should not write off large parts of the country to one party or another, because that forces those parties to behave rationally and devote their scarce resources to areas where they are competitive. That then creates a perpetual cycle of disengagement, rather than the challenging and robust competition of views on which democracy thrives Because of the unrepresentative nature of modern elections, the Governments that are formed after them are prone to make poor decisions or to govern inequitably. At times, the British people have given a clear, decisive mandate for change—1905, 1945, 1979 and 1997—but that has not been their verdict at other times, when they have been unwilling or reluctant to hand one party exclusive access to Downing Street. If that is the British people’s verdict, there should be coalition or minority Governments. Using the electoral system to create an artificial mandate for one-party rule is not conducive to good government. The argument that proportional voting unfairly empowers smaller parties does not stand up when one considers that exactly the same charge could be levelled at the recent functioning of first past the post, be that the coalition Government in the last Parliament, the Lib-Lab pact in the 1970s, Sir John Major’s deal with the Democratic Unionist party, or the historical example of the Irish nationalists. The status quo does of course produce absurdities. During the last Parliament, a coalition Government in Westminster were elected under first past the post, and a one-party majority Government were elected in Holyrood under the proportional system that I am proposing we introduce via this Bill. I know that some people will say to me that they do not wish to change the voting system for fear of seeing more UKIP or other minority parties elected. I share their disdain for some of those parties, but I would say to them that if people vote for those parties, that is surely what they should get. Parties defeat their political opponents by debate and campaigning, not by rigging the rules in their favour. Ultimately, the alienation caused by rigging the rules in their favour will create the resentment that means those minority parties actually win under first past the post, as we saw just over a decade ago when the British National party won substantial numbers of council seats in the north-west I may be this Parliament’s pre-eminent Jonny, but I am no Jonny-come-lately to this cause. In fact, I am prepared to admit to the House that, as a young man, I travelled the long journey from Sunderland all the way to Newcastle to hear the late Roy Jenkins address a public meeting as part of his Jenkins commission. However, I believe that the issue has now assumed a much greater urgency. That has been produced not just by the declining vote share of the two major parties, but by the consequences of further constitutional change in Scotland, be it in the form of independence, as the SNP would like, or the much greater devolution that the Unionist parties favour. Such developments have profound implications for the rest of the Union I do not believe that the cohesion of England can be maintained by retaining the first-past-the-post electoral system. In all honesty, Labour Members ignored the consequences of devolution for England for far too long, simply because we did not want to admit that, under first past the post, Labour has historically rarely won a majority in England alone. A fairer and more competitive system would be better for everyone, because it would render such narrow calculations redundant and create a one nation political system for a country that sorely needs it I am extremely grateful for the cross-party support I have achieved for the Bill, which includes support from hon. Members from political parties, such as the Greens and the Lib Dems, that have positions in favour of a different type of electoral reform, such as the single transferable vote. However, we are as one on the need for change. If there is one thing that my time as a Member of this House has genuinely taught me, it is that the stereotypes of different political parties and the people who represent them in this place are unhelpful and unfair. The basis exists for us all to work together in the national interest and it would be better if we were part of a political system that placed on us an obligation to do so. Therefore, I make a plea today for not just a proportional voting system, but a patriotic voting system, in which all parts of the country and all shades of opinion are treated equally and fairly, and the functioning of which brings the whole country together. I commend the Bill to the House.
ParlaMint-GB_2015-12-16-commons.u313	I am slightly surprised to be congratulating my hon. Friend the Member for Stalybridge and Hyde (Jonathan Reynolds)—and he is a friend—on his honesty in admitting that he once sat at the feet of Roy Jenkins. That is not something to which people are normally prepared to admit. I find it astonishing that, in a month when the Front National in France has made considerable advances, someone in this House should argue for changing the electoral system. I do not want to detain the House for too long, so I will not go into detail about how damaging this proposal would be to effective government; how it would transfer power away from constituents and local parties to party leaders, kitchen Cabinets and bureaucrats; how it would empower fringe parties at the expense of parties that are fit for government; how it would damage the direct link between many MPs and a constituency; and how, interestingly enough, countries that have such systems always have to amend them as those problems start to come through.
ParlaMint-GB_2015-12-16-commons.u314	Germany?
ParlaMint-GB_2015-12-16-commons.u315	Germany has changed the system. It has introduced thresholds and it regularly changes the thresholds to deal with exactly the problems I am describing The proposal flies in the face of British public opinion, which was made absolutely clear in the referendum by more than two to one. In fact, 68% of people voted no and 32% voted yes. Of the 440 counting areas, only 10 recorded yes votes: the inner-London boroughs of Lambeth, Southwark, Camden, Hackney, Haringey and Islington—all those boroughs that used to feature in national headlines in the days of the loony left councils; Oxford, which has a great university and was described once as the city of lost causes; Cambridge; and Edinburgh Central and Glasgow Kelvin, which I think—SNP colleagues will correct me if I am wrong—are the seats of the universities in those two cities. Interestingly, in the seat of my hon. Friend the Member for Stalybridge and Hyde, the borough of Tameside voted more than two to one against, with 72% against and 28% for. To my chagrin, that was a bigger margin than in my borough of Sandwell, which managed a mere 71% against to 29% for I merely ask those who are considering voting for this proposition a simple question: what part of “no” is it that you don’t understand Question put (Standing Order No. 23).
ParlaMint-GB_2015-12-16-commons.u316	I have now to announce the result of the deferred Division on the question relating to petroleum. The Ayes were 298 and the Noes were 261, so the Question was agreed to [The Division list is published at the end of today’s debates.] Armed Forces Bill (Programme) (No. 2) Ordered, That the Order of 15 October 2015 (Armed Forces Bill (Programme)) be varied as follows: (1) Paragraphs (4), (5) and (6) of the Order shall be omitted (2) Proceedings in Committee of the whole House on re-committal shall (so far as not previously concluded) be brought to a conclusion, at today’s sitting, three hours after the commencement of proceedings on the motion for this Order (3) Any proceedings on Consideration and proceedings on Third Reading shall be taken in one day in accordance with the following provisions of this Order (4) Any proceedings on Consideration shall (so far as not previously concluded) be brought to a conclusion two hours after their commencement on that day (5) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion three hours after the commencement of proceedings on the Bill on that day.—(Mark Lancaster.)
ParlaMint-GB_2015-12-16-commons.u317	It is a pleasure to serve under your chairmanship, Mr Bone The primary purpose of the Bill is to provide for the continuation in force of the Armed Forces Act 2006, which would otherwise expire at the end of 2016. Clause 1 provides for continuation of that Act for a year from the date on which the Bill receives Royal Assent. Thereafter it allows further renewal by Order in Council for up to a year at a time, but not beyond the end of 2021 The 2006 Act provides nearly all the provisions for an armed forces system of command, discipline and justice. Crucially, it confers powers and sets out procedures to enforce the duty of members of the armed forces to obey lawful commands. The central effect of the expiry of the 2006 Act would be to end the powers and provisions to maintain the armed forces as disciplined bodies.
ParlaMint-GB_2015-12-16-commons.u318	It is a pleasure to serve under your chairmanship, Mr Bone I think this is my third Armed Forces Bill, and it is a minnow compared, for example, with the 2006 Act. However, it covers important issues that affect not only the operation of Her Majesty’s armed forces, but the discipline needed to ensure their effectiveness. As the Minister has outlined, it is an important constitutional Bill because it reaffirms the need for a standing Army to protect the freedoms that we have all come to rely on in this country. I look forward to the progress of the Bill and of the amendments in my name.
ParlaMint-GB_2015-12-16-commons.u319	The SNP fully supports the Bill. We appreciate the requirement that Parliament’s consent is given to maintain an Army, as well as the significant contribution made by members of our armed forces. As such, one of the Bill’s most important functions is to provide the legal basis for the armed forces to continue to exist as a disciplined force, and we must continue to develop and support our armed forces as they undertake their difficult jobs. We support progressive change such as that found in the amendment that calls for a review into compensation for veterans who are suffering from mesothelioma, and that on the publication of statistics on sexual assault and rape. We want robust legislation that is fit for our dedicated armed forces Question put and agreed to. Clause 1 ordered to stand part of the Bill. Clause 2 Commanding officer’s power to require preliminary alcohol and drugs tests Question proposed, That the clause stand part of the Bill.
ParlaMint-GB_2015-12-16-commons.u320	Currently, a commanding officer may require a member of the armed forces, or a civilian subject to service discipline, to co-operate with a preliminary test for drugs or alcohol on suspicion of a relevant offence. Clause 2 extends the circumstances in which a commanding officer may require co-operation with such a test. It provides for post-accident preliminary testing without the need for suspicion that the person to be tested may have committed an offence. The new powers to require co-operation with such tests apply only after accidents involving aircraft or ships, or after other serious accidents The powers will apply in the event of any maritime or aviation accident and other serious accidents that result in, or have created the risk of death, serious injury to any person, serious damage to any property, or serious environmental harm involving prescribed or other safety critical functions. The results of preliminary tests can be used in support of any type of investigation arising from the accident. The new powers are similar to those provided to the civilian police by the Railways and Transport Safety Act 2003 in relation to aviation and maritime accidents, and the Road Traffic Act 1998 in relation to road traffic accidents, but apply to a wider range of accidents.
ParlaMint-GB_2015-12-16-commons.u321	We support clause 2. As the Minister has outlined, it brings into line the legislation that covers our armed forces and gives commanding officers the tools to investigate accidents in which drugs or alcohol may have played a part.
ParlaMint-GB_2015-12-16-commons.u322	It is appropriate to enable commanding officers to require testing for drugs and/or alcohol after incidents associated with personnel carrying out safety critical duties. We support the ability of the commanding officer to deal with these matters. It is for them to consider and to proceed with the most appropriate action in relation to the requirement for testing Question put and agreed to. Clause 2 ordered to stand part of the Bill. Clause 3 Duty of service policeman following investigation Question proposed, That the clause stand part of the Bill.
ParlaMint-GB_2015-12-16-commons.u323	With this it will be convenient to consider clauses 4 and 5.
ParlaMint-GB_2015-12-16-commons.u324	Clauses 3 to 5 relate to investigations and charging. They make a number of changes to provisions in part 5 of the 2006 Act, which deal with the process of deciding whether a person is to be charged with a service offence under that Act. The changes simplify the process. For example, currently some cases that cannot be dealt with by the commanding officer must none the less be referred by the investigating service police to the commanding officer and then from the CO to the Director of Service Prosecutions for a decision on the charge and prosecution. Clause 3 provides that where the service police consider there is sufficient evidence to charge an offence that the commanding officer cannot try summarily, the case must be sent to the Service Prosecuting Authority for a decision on charging. The Director of Service Prosecutions is responsible for decisions on the charge and prosecution in all cases that cannot be dealt with by the commanding officer. However, currently some of those cases have to be referred by the investigating service police to the commanding officer, and then, as I have said, from the commanding officer to the Director of Service Prosecutions. This adds unnecessary delay and bureaucracy to the process, which the clause seeks to remove The other main change made by clause 3 intends to deal with the problem that the 2006 Act currently requires some cases to be sent to a commanding officer to deal with, although they are closely connected with a case that must be sent to the director—for example, where separate offences occurred during the same incident. This can result in separate decisions on whether to prosecute, and separate trials. Clause 3 amends the 2006 Act so that the service police will also be able to refer a case to the Director of Service Prosecutions if, after consultation with the director, they consider it appropriate to do so because of a connection with another case that has been referred to the director Clause 4 makes a minor technical clarification to the procedure for the referral of linked cases from the commanding officer to the Director of Service Prosecutions. Currently, if the commanding officer is required to transfer a linked case to the director, the transfer is deemed to take place. Under clause 4, the commanding officer will actually have to make the transfer Clause 5 provides for the Director of Service Prosecutions to bring charges himself. Currently, where the director decides that a charge should be brought in a case, he cannot bring the charge directly but must direct the suspect’s commanding officer to bring the charge, and the commanding officer must then bring the charge The changes have the support of the Director of Service Prosecutions and the Judge Advocate General. No change is proposed to the circumstances in which the commanding officer is under duty to ensure that the service police are aware of an allegation.
ParlaMint-GB_2015-12-16-commons.u325	We are debating clauses 3, 4 and 5 together if any Member wants to speak on them.
ParlaMint-GB_2015-12-16-commons.u326	Thank you, Mr Bone, for clarifying the process. I have put this all together, if the Minister could just bear with me The Minister referred to investigation and charging in relation to clauses 3 to 5 and I want to ask a question about that. We see a simplification of the process relating to service personnel charged with offences. I assume the Minister is saying that that will be achieved by reducing the number of stages required for the decision to bring charges. Not only will the provision make it easier to bring charges where appropriate, and ensure discipline and order are maintained in our armed forces, it will streamline the process and reduce bureaucracy so that commanding officers are free to go about other duties essential to the smooth running of all aspects of our armed services. Will the Minister clarify the role of the commanding officer in an investigation? If the Minister will bear with me, clause 2 related to alcohol and drugs. As we are talking about investigation, I want to comment on that. The new rules on drug and alcohol testing are similar, but not identical, to the provisions under the Railways and Transport Safety Act 2003. The 2003 Act provides for an alcohol and drug testing regime that is applicable to both the maritime and aviation environments, but the armed forces have Crown exemption. Will the Minister clarify this matter in relation to the new rules on drug and alcohol testing and investigations The Bill will remedy that and strengthen the approach to alcohol or drug misuse within the armed forces, as well as being more specific about what grounds justify a drug or alcohol test. It will make it easier for those in charge of an investigation to order a drug or alcohol test when needed, which can only make our armed forces safer and more secure, while simplifying the process to make it easier for commanding officers to secure a drug or alcohol test The new statutory framework for immunity from prosecution will give the Director of Service Prosecutions and service courts powers that may assist investigators and prosecutors in cases where it may otherwise be difficult to persuade service personnel to co-operate with the service police and to give evidence. The Minister will be aware of a specific case in Northern Ireland where investigations are ongoing. I believe the provisions are a positive development that will improve transparency across our armed forces and improve the security of individuals. Of course, this could be particularly important to Northern Ireland where there have been continuous attempts, through spurious allegations, to drag the names of former soldiers through the mud. We must never let the legitimate forces of law and order be equated with cold-blooded murderous terrorists. I hope that this aspect of the Bill can ensure that the brave service personnel who fought terrorism in Northern Ireland will never be dragged through the courts by those who terrorised our state, or by their sympathisers and supporters On investigation and prosecution in relation to this particular issue, what role will the Minister play? I am sure we are keen to put in place a transparent method of investigation and prosecution. There has to be protection for our brave service personnel. Where we can, we should give them immunity, but we must always give them our full and unreserved legal support and aid, should they need it I hope that was clear for the Minister. I have raised several issues about investigation that have to be addressed.
ParlaMint-GB_2015-12-16-commons.u327	As it is coming towards Christmas, we let the hon. Gentleman go back slightly to clause 2. [Hon. Members: “And forward!”]. And forward, yes. But we have been moving rapidly, and he was seeking advice as he went.
ParlaMint-GB_2015-12-16-commons.u328	Thank you, Mr Bone. I will aim not to go backwards or forwards We support these common sense and proportionate clauses. As the 2006 Act beds in, they will improve the investigation and charging system by making it as efficient as possible.
ParlaMint-GB_2015-12-16-commons.u329	Thank you, Mr Bone, for allowing me to go back, very briefly, to clause 2 The new powers in clause 2 reflect the range of duties undertaken in the military environment—for example, diving, driving and commanding a mechanically propelled vehicle—not covered by road transport legislation. The use of firearms would not be covered either, and neither would other duties considered to be safety critical, such as running adventurous training. So there are some extra duties not covered by other legislation, which is why these provisions go slightly further On clause 3 and the question of whether we are effectively reducing the powers of the CO, the change to the procedure followed by the service police after an investigation relates only to cases where the CO does not have jurisdiction over the recommended charge. Such a case could still be referred back to the CO by the Director of Service Prosecutions if an alternative charge within his powers was considered appropriate. The uncertain power of the CO to wait and see and do nothing will be removed, but it is, in any event, vulnerable to attack, particularly given that it applies to serious cases in relation to which the service police have determined there is sufficient evidence to charge an individual with an offence that can be tried only by court martial. The change to the process of charging means that the DSP will have the power to bring a charge, whereas currently only the CO has the power, although he might be directed by the DSP to do it. I realise it sounds complicated, but actually it simplifies the process to avoid having to refer cases to the CO over which he has no power anyway. In more than 90% of cases, the CO will still be involved I am sure that the hon. Member for Strangford (Jim Shannon) will remain in his place for the duration of the Committee, so I will deal with the other points he raised when we get to those clauses Question put and agreed to. Clause 3 accordingly ordered to stand part of the Bill. Clauses 4 and 5 ordered to stand part of the Bill. Clause 6 Period for which sentence of service detention may be suspended Question proposed, That the clause stand part of the Bill.
