ParlaMint-GB_2015-11-19-commons.u1	1. What steps she is taking to ensure that the UK meets its EU renewable energy target by 2020.
ParlaMint-GB_2015-11-19-commons.u298	I agree with most of the speech by the right hon. Gentleman. Providing certainty, and ratcheting and tightening up a deal in Paris over time, send a signal to the investment market. That means that we will get investment in innovation, research and development and the supply chain, which is a prerequisite of driving down costs. Only by that level of commitment will we get the acceleration of a cost curve downwards, which is the way that we will deliver for the planet while also protecting the consumer. That is why we need certainty and those kinds of framework.
ParlaMint-GB_2015-11-19-commons.u299	The hon. Gentleman’s point is important and well made, and it takes me to what I was about to say. This is not just about hoping that we can make that kind of progress with technology and so on; by setting the right framework we make it more likely that such progress will be made, and that the constructive, imaginative and inventive side of humankind will defeat our destructive side.
ParlaMint-GB_2015-11-19-commons.u300	My right hon. Friend is making an incredibly powerful and important speech with his immense knowledge in this area. Does he share my concern that the word coming out of the Foreign and Commonwealth Office is that the numbers of officials who are engaged on climate diplomacy will be cut around the globe, just as the case is being made that we need to proselytise even more in that area with our fellow nations?
ParlaMint-GB_2015-11-19-commons.u301	I think that the FCO and every Department must be concerned with these matters, and I am sure that the Secretary of State, who is a champion on these issues, will argue for that. I know from my experience that that sometimes feels a bit lonely in government, but in our case we had support across the Government from the Foreign Secretary and the Prime Minister In response to the point from the hon. Member for Beverley and Holderness (Graham Stuart), ensuring progress means that we must keep on track here at home. Next Thursday there is an important moment when the Energy and Climate Change Committee publishes its recommendations for the fifth carbon budget, and I hope the Government will support that Let me move on to the period after 2030. Every excess tonne of carbon that we emit between now and 2030 means that we will have to do more later—we must be clear about that. The easiest way to think about it is that we have a finite carbon budget, which has been helpfully estimated by the UN to be about 1,000 gigatonnes—a round number. Once that is used up, we can emit no more if we are to avoid dangerous warming. Frighteningly, the UN tells us that on current pledges to 2030, 75% of that total carbon budget will be used up by 2030. That suggests the scale of the task facing us, particularly if we do not improve the pledges between now and 2030. The crucial point, whether we do that or not, is that the world will at some point have to reach zero emissions. I commend the Government and the Secretary of State for signing up to the G7 pledge, made recently, that the world will have to get to zero emissions sometime in the second half of this century It is striking that increasing numbers of business leaders—this again relates to the point made by the hon. Member for Beverley and Holderness—are putting their energies and thinking into the so-called net zero commitment. Ratan Tata, Paul Polman of Unilever, Richard Branson of Virgin and many others from the so-called B-team of business leaders, recently sent a letter to all those attending Paris calling for the adoption of the long-term goal of zero emissions. They are right: the long-term goal is an essential part of a successful Paris agreement What does zero emissions mean? It means a 100% clean energy system. It means the right decisions about infrastructure. It also means—this is where the inventers and engineers will be incredibly important—technological advance on how to capture carbon, reforestation and a whole range of other matters. Increasingly, the question of when and how we get to zero emissions will become our focus and energy after Paris. It will need to become the benchmark for the decisions we make in the years ahead Finally, we will also have to continue to work on the all-important question of a fair and equitable approach. The reality that all of us in the House have to face is that industrialised countries have grown in a high carbon way and we are now saying to poorer countries that they have to grow in a low carbon way. That is an unprecedented challenge of equity. It makes it all the more important that rich countries cut their emissions to allow space for poorer countries to develop. It also means, and I commend the Government for this, that it is right to be leading on development aid around climate change. That will enable countries to leapfrog the high carbon path and go to a low carbon path Those are the ways in which I think Paris must lay the ground for future ambition, and a future ambition that is fairly shared.
ParlaMint-GB_2015-11-19-commons.u302	Does the right hon. Gentleman agree that we have to ensure there is engagement and understanding on this issue in Parliaments across the world? That is why today’s debate, and others like it, are so important. I refer the House to my declaration of interests. I will be chairing a GLOBE International two-day conference at the Assemblée Nationale on 4 and 5 December. About 250 legislators from around the world will be talking about the role of national Parliaments in setting the law, scrutinising government and making sure that international promises are turned into domestic reality.
ParlaMint-GB_2015-11-19-commons.u303	Let me take the opportunity to congratulate the hon. Gentleman on the role he plays in GLOBE International, which is an incredibly important organisation. My hon. Friend the Member for Brent North (Barry Gardiner) has also played a very important role in that organisation. By bringing legislators together, it plays a crucial role in building support for tackling climate change I want to end by making two observations. My first observation is about the process of what we might call summitry. Many people thought Copenhagen was a failure—I referred to it at the beginning of my speech—and that it did not achieve what we wanted. It certainly did not meet people’s expectations. The reality, however, is that it laid the groundwork for some of what we are seeing in Paris: a 2° commitment, the $100 billion of climate finance and the whole notion of bottom-up pledges Trying to get countries to sign up to these issues is such a knotty problem that we will not get all the way the first, second or even third time. We just have to move things forward and make progress. The negotiations in Paris look like an elite-level exercise and people will often ask what the point is of all those leaders gathering together. I believe, however, that it is a forcing mechanism. I do not think we would have seen the progress from a lot of countries around the world if there had not been a moment when countries came together. World leaders know they will be judged on whether they are doing something or just ignoring the problem. We will not get everything we want from Paris, but that does not mean we should be discouraged. In fact, we should redouble our efforts at home and around the world.
ParlaMint-GB_2015-11-19-commons.u304	Does my right hon. Friend accept that many people will look to Paris as a first test of whether the very worthy spirit of the sustainable development goals are truly the working ethic of international action? As this is the first generation that can eradicate extreme poverty and possibly the last generation that can address climate change, people want to see that ethic at Paris and to see it proven afterwards.
ParlaMint-GB_2015-11-19-commons.u305	My hon. Friend is absolutely right. This is an incredibly important year, with the sustainable development goals and the Paris talks. He makes the point very well My second and final observation—we have already had a bit of to and fro on policy questions—is on cross-party consensus. It is worth making the point that we came together, as political parties, to pass the Climate Change Act in 2008. It is hard to remember this—I checked back and even I was surprised—but the Act passed by 463 votes to three. That is an extraordinary achievement. The Prime Minister and I have had our differences over the years, but I have to say that, as Leader of the Opposition, he did indeed break new ground by putting this front and centre. The extraordinary consensus that was built sent a message about the commitment of the parties across this House. That was important in Britain. It was also—I do not think this is British arrogance—important around the world, too, as it sent an international message. Since 2008, we have seen the Climate Change Act emulated in many countries. Parties across this House should be proud of what we achieved together The point, to which I referred earlier, that I would perhaps mostly direct towards the Secretary of State is that it is hard being the biggest fighter for tackling climate change in government. There are many competing pressures, but I know she is totally a believer on these issues. I think that part of her role, if I may suggest this, is to find ways of maintaining and strengthening that consensus. This is not just in relation to the policies, but for the idea that somehow a good economy and a good environment are not in contradiction, but that the two go together. The CBI has made huge advances on this issue There will, of course, be disagreements. There is, however, a basic set of assumptions: the science on climate change is real; we know that, as human beings, we are responsible for it; and we are conscious—this is crucial—that we have in our hands the ingenuity to tackle the problem and deal with it. Whatever party we are from, we care about our responsibilities to hold the planet in trust for future generations. Whatever party we are from, we know we will be held to account for the actions we take or do not take now. Whatever party we are from—this relates to what the hon. Member for Foyle (Mark Durkan) said in his intervention—our children will either see us as the last generation not to get climate change or the first generation to get it. That is why I believe we cannot afford to fail. I will be supporting the Secretary of State in getting the best possible agreement out of Paris.
ParlaMint-GB_2015-11-19-commons.u306	It is a pleasure to follow the right hon. Member for Doncaster North (Edward Miliband), who made an excellent speech. I regret to tell the House that I am the first speaker this afternoon who has not read the encyclical, but I shall be speaking specifically about the Paris agreement: what the objectives are; whether we appear to be on track to meet them, and, given that we are not, where the problem is; what structural issues in my view we need to address, which are similar to, but not the same as, the ones we have just heard; and what all that means for UK policy The objective of the Paris summit is the 2° limit. In objective terms, that means either 1,000 gigatonnes of carbon, or something like 550 parts per million of carbon. In truth, there are a lot of probabilities around that: we could meet the targets and still have more than a 2° increase; we could fail to meet them and get less. Nevertheless, those are the numbers we are dealing with. The right hon. Member for Doncaster North made the point that on current progress we will have reached 75% by 2030. A figure I prefer to use is that by 2036 it will have all gone: by 2036, our business-as-usual scenario will be finished Are we on track or not? A couple of Members have mentioned the intended nationally determined contributions. However, about only 80% of all participants in Paris have delivered them. The first problem with the INDCs—this is an indicator of the issues the Secretary of State will have to face—is that we could not even agree a common benchmark or starting point for the INDCs. The Europeans prefer 1990 and the Americans prefer 2005. We both have our own reasons: they make us look better It is not surprising, given that we could not agree a benchmark or common template, that the INDCs, 80% of which are now in, are all over the place. The right hon. Member for Doncaster North said they implied a 3° outcome. I find this surprising. A report by the secretariat of the United Nations framework convention on climate change mentioned 2.73°. This is an optimistic analysis—that is unusual as these guys are usually over-pessimistic—because it assumes we will continue on broadly the same trajectory after the initial INDC period. That will be hard, however, because there are low-hanging fruit and it will be easier to make progress on the first things. The other key points are that we need five-year reviews and that only the EU and China have put in place policies reflecting their INDCs, suggesting that regulating the process might be harder than we think Where is the problem? It is not the UK. The Climate Change Act mandates an 80% reduction in emissions over 60 years: a rate of 1.33% a year, which is significantly higher than the EU INDC in Paris. I would like a Front-Bench spokesperson to contradict me if I am wrong, because it is an important point. The Act commits the UK to an emissions target 33% higher than the EU INDC submission, of which we are part. That is an extraordinary statistic. With our policies—the carbon budgets and everything that goes with them—we have imposed on ourselves requirements more stringent than those set by the EU as a whole, let alone individual member states. I do not agree with the right hon. Gentleman that other countries have passed climate change Acts. If only they had! We expected they would—we thought we were taking a worldwide position—but it has not happened to anything like the extent we hoped it would. I note that neither Front-Bench team has intervened, so I think I am right The INDC we submitted to Paris requires a 40% emissions reduction by 2030, which is significantly less than we are legally obliged to achieve in the UK. How are some of our European partners getting on? There is a database called the Emissions Database for Global Atmospheric Research—EDGAR—and it is a rattling good yarn. It details carbon emissions by country, capita and unit of GDP for every year up to 2013. Since 1990, Austria, a wealthy European country, has increased its emissions by 20%, while we have reduced ours by 20%, in accordance with the Climate Change Act. That is the same country, by the way, that is suing us for building nuclear power stations. Holland and Belgium are flat. Germany has reduced its emissions, but, in spite of being a leader on renewables, its emissions are 30% higher than ours per capita. That is because it is going heavily for coal, and what makes the difference on emissions is not how many renewables a country has, but how much coal it does not have. We need to examine that. That is a slightly pessimistic analysis of the INDCs—I know we are going to negotiate—but I wanted to make the point that the European submission to Paris is 33% lower than what this Parliament has already mandated for this country. I wonder why that is What is causing this apparent possibility of failure? There is actually one piece of good news from the last few years. I am pleasantly surprised that we appear to have broken the link between GDP and energy intensity. The only caveat is the issue that dare not speak its name: embedded carbon. If we have broken the link only by importing carbon in the form of embedded carbon, we will have undermined much of what we are doing A bigger issue concerns an error that was made before and at Copenhagen and by the EU, and one that we are still making—I heard it in DECC questions again today: we have tended to over-emphasise renewables targets and under-emphasise decarbonisation, yet for too long we have used those words interchangeably. I am in favour of renewables, but because all the EU targets were for renewables, not decarbonisation, we placed a false emphasis on certain technologies. In particular, we did not develop nuclear power and carbon capture and storage as quickly as we should have. That error is still being made. This morning, I received a document from Friends of the Earth in preparation for this debate. It cannot bring itself to use the words “nuclear power” in this context. I can only conclude that although it cares about climate change, it does not care enough to countenance the dominant technology that is by far the best chance the world has.
ParlaMint-GB_2015-11-19-commons.u307	Those of us who are deeply sceptical about nuclear power are not sceptical for ideological reasons. Nuclear is slow and deeply expensive. We need to reduce our emissions quickly, but the next nuclear power stations will not be on grid for at least another 10 years. It is an issue of speed and cost, as well as ideology.
ParlaMint-GB_2015-11-19-commons.u308	As an advocate of nuclear power, I accept we have not solved the waste issue, but it is one that the human race is capable of solving, whereas I am not certain that climate change is. And I do not agree with the hon. Lady’s point about cost Returning to the coal and gas debate, another issue is that we confuse post-2030 emissions pathways with the cumulative impact. The gigatonne target is a cumulative one. The effect of carbon and burning coal is cumulative. It is not just about post-2030 pathways or saying that gas has to be an interim energy source. In an intervention earlier, I made the point that were we able to replace all the coal in the world with gas—just like that—it would have the same effect as a fivefold increase in the level of renewable energy. We all ought to think about that statistic. This is not just about renewables. Of course they are vital, but we have to use other technologies, such as nuclear and CCS. The Copenhagen analysis and the EU’s approach have focused too heavily on renewables and not enough on decarbonisation, so I am pleased we appear to be fixing that now In that regard, I would make one final point. I have mentioned Austria and—to an extent—Germany as countries that are doing badly, but one country in Europe is a shining example: France has the lowest emissions, the lowest emissions pathway and the lowest level of emissions per capita and GDP, and that is because it is 80% nuclear. There is an emperor’s new clothes element to this. I wish we could be where France is What does all this mean for the UK? We have our Climate Change Act, and next Thursday we will get the next ratchet of that. We have to be careful that we do not act unilaterally—I have bought into all this stuff—and do not take a worldwide leadership position for a world that does not wish to or will not be led. That is why Paris is so important and why, for me, it is so disappointing that the EU submission to Paris is so unambitious vis-à-vis our Climate Change Act. The issues of fuel poverty will not be resolved by having the highest electricity prices in the world. I mentioned earlier in DECC questions that a number of EU leaders had sent the Secretary of State texts congratulating her on her announcement yesterday about removing coal from the system and replacing it with gas. I would just say that texts are no substitute for action by some of those countries. I am sure she will be telling them that in Paris, and I wish her luck.
ParlaMint-GB_2015-11-19-commons.u309	Climate change is the biggest challenge that any of us or any future generations will face. It is absolutely right that the House should be given the opportunity to debate this important issue, particularly with Paris just a couple of weeks away. I thank the Backbench Business Committee for giving us time to debate this subject. I shall confine my remarks almost entirely to the domestic issues and the Government’s policy on renewable energy and its impact on Britain’s CO2 reduction targets, but also on jobs more widely and the UK’s reputation going into the Paris conference As we have already heard from my hon. Friend the Member for Bishop Auckland (Helen Goodman), thanks to the information we received via a leaked letter from the Energy Secretary, we now know that Britain is likely to miss our 2020 target of 15% of energy production from renewables by some margin, in all likelihood reaching just 11%. That compares to Germany, which already produces 31% of its energy from renewables. As we have also heard, the cheapest renewable energy by far is onshore wind. It is so cost-effective that it no longer needs any subsidy, but as we have also heard, it has been virtually stopped in its tracks in England by the Government’s planning changes Now the Government are proposing to abandon support for solar almost completely, in spite of the growing scientific and political consensus around the world that it holds the secret to our future carbon-free energy needs. The proposed cut in solar feed-in tariffs by a staggering 87% from 1 January will devastate our fledging solar industry and make meeting the legally binding target of 15% by 2020 far more difficult. At the same time, the Government are announcing huge subsidies for nuclear, gas and highly polluting diesel generators. How can that make sense We now face a situation in which in a couple of years’ time, renewables could be the only sector not to receive any subsidy. There is also the impact on jobs, our economy and our science base. Our solar industry alone provides 35,000 jobs, including nearly 4,000 in the south-west of England. We face losing 27,000 of those jobs nationally, including more than 3,000 in the south-west, if the proposal goes ahead unaltered. That figure is similar to—indeed, higher than—the job losses recently announced in the steel industry, but these jobs have a far lower profile because they are at small companies, they are scattered all over the country and they do not have a loud enough political voice. The irony is that by 2020 our solar industry could be operating subsidy-free. Indeed, the sector itself acknowledges the common sense in reducing the feed-in tariff, but it believes it should be done in a tapered way, not with a cliff edge, as is currently proposed. As my hon. Friend said, jobs are already being lost because of the uncertainty. We had the announcement of another 35 job losses in Exeter this week alone I would like to say a little about the situation facing hundreds of community renewable energy projects up and down the country in the light of recent announcements of changes to the way in which tax relief is administered. As hon. Members will remember, that was announced without any consultation on Third Reading of the Finance Act 2015 at the end of October and is to take effect at the end of this month—just one month’s notice. This, I am afraid, is a disgrace. Those renewable energy schemes at community level get off the ground as the result of the blood, sweat and tears—often over years—of thousands of ordinary, civic-minded citizens, who have now had the rug pulled from under them My community energy project in Exeter has been working tirelessly for more than two years preparing its share offer, but it had to rush it out this week, before it was really ready, in order to beat the loss of tax relief at the end of the month. The project has, heroically, managed to raise more than a quarter of the funds it needs, but raising the rest will be much more difficult without the tax reliefs, which have suddenly been taken away. Community Energy England estimates that £127 million of current investment and £242 million of potential future investment is at risk from the decision. When the Secretary of State responds, I would like to know whether she or her fellow Minister were consulted on the change, and if not, why not? If they were, why did they agree to it? I understand that the community energy sector feels so angry and betrayed by the decision that it is considering taking legal action, and I am sure there are many people in this House and outside who would support that The Secretary of State asserted earlier in departmental questions that she believed that Britain under the current Government had maintained its leadership role and its international reputation on climate change, but in that case why has Ernst & Young dropped the United Kingdom from the top 10 countries for renewable energy attractiveness? Why did the UN chief environment scientist, Jacquie McGlade, say recently on the BBC that it was “disappointing…when we see countries such as the United Kingdom that have really been in the lead in terms of getting their renewable energy up and going—we see subsidies being withdrawn and the fossil fuel industry being enhanced” She went on to say that she thought Britain was sending a worrying signal in the run-up to Paris by shifting away from clean energy just when the rest of the world was rushing towards it.
ParlaMint-GB_2015-11-19-commons.u310	I made the point earlier that one of the issues we face is that we confuse decarbonisation with renewables, and I think many of the right hon. Gentleman’s remarks are along those lines. He talked earlier about Germany, which has 34% renewables but very high emissions because it is building coal-powered stations. The Government’s position is to reduce carbon, but not just by using renewables.
ParlaMint-GB_2015-11-19-commons.u311	I entirely agree with the hon. Gentleman: it is not an either/or. What he says about Germany is absolutely right and is due in large part to the, in my view, unusually foolish policy decision by the Merkel Government to withdraw from nuclear. Germany is paying a high price for that, and it is a very good lesson to those of us who advocate an anti-nuclear policy.
ParlaMint-GB_2015-11-19-commons.u312	I disagree with the right hon. Gentleman’s analysis. Real analysis of what has happened in Germany shows that the reason why coal has come up and taken that space is the lowering of the price, not least because of the dash for gas in the US which has resulted in a low price for coal. That is what has undercut the situation in Germany, not the fact that it has had to get rid of nuclear.
ParlaMint-GB_2015-11-19-commons.u313	I am not going to have a ping-pong about it, but I am sure there is a price driver as well. The simple fact is that Germany needed that coal because it had abandoned nuclear energy so suddenly When the Secretary of State responds at the end of this debate, I want her to explain to the House and the British public why the Government have adopted the approach they have on renewables since the election. I want an honest assessment from her, given what I have said, of how she feels that has impacted on Britain’s reputation internationally and on our leadership role. I would also like a clearer explanation than we have heard so far from the Government of how they intend to close the gap between our legally binding 2020 target and the current trajectory I remember climate change summits not that long ago when Britain was a world leader. The commitment, hard work and leadership of Tony Blair, Gordon Brown, John Prescott and my right hon. Friend the Member for Doncaster North (Edward Miliband) delivered real and vital progress globally and at home. Even the current Prime Minister felt the need for a while at least to pay lip service to this agenda, but I am afraid that since 2010, and particularly since this year’s election, the Conservatives appear to have stopped even pretending to take climate change seriously. They are doing real damage to our renewable energy industry, and I believe they are damaging Britain’s reputation in the process I hope we will see more progress and a more positive approach in the run-up to Paris, and I hope that the Secretary of State and her colleagues can persuade the rest of their colleagues in government to take this—the biggest challenge both in Britain and globally—far more seriously than they are.
ParlaMint-GB_2015-11-19-commons.u314	I too welcome this cross-party debate. It is essential that we work together not just nationally, but internationally, as so many of my colleagues have said. Climate change is bigger than the internal political debate. It was my work over many years as a television environment correspondent that really put climate change on my radar, which is why I wanted to speak in today’s debate. It showed me that tackling this issue is pivotal to the future of the planet I congratulate the hon. Member for Bishop Auckland (Helen Goodman) on securing this debate, but we should also be praising the Pope for focusing on this issue in his encyclicals. It is the Pope who has raised the issue of climate change and its inextricable links to poverty, as mentioned earlier, and that has put the issue right at the top of the agenda—and amen to that. As a good convent girl, although not a Catholic, I know that when the Pope speaks, we listen Speaking as a member of the Environmental Audit Committee, I am heartened that the Pope has made the direct link between climate change and the sustainability of the planet. If we do not tackle climate change, the biodiversity of our environment will be in jeopardy, and if we do not look after our land, our soil and our water for the long term, not the short term, we will not be able to feed the population. There will be increased famine and floods, our natural world will be decimated, and we will head for environmental disaster. There is no beating about the bush on this By setting a new set of sustainable development goals running until 2030, I am pleased to say that the UN has recognised that we must act in this area. I am also pleased that we have a 25-year environment strategy right here in the Department for Environment, Food and Rural Affairs, in which climate change is firmly embodied. I shall press to ensure that we have a firm strategy for putting that into place. Lord Krebs, chairman of the Climate Change Committee, specifically highlighted that recently in a sustainability conference. I am confident that our Government are taking this on board. Just yesterday, as mentioned earlier, the Secretary of State said that we are committed to delivering our climate change commitment and that we are the greenest Government ever, so she must stick by it. She echoed the past words of the Prime Minister, who said the same thing not long ago in Prime Minister’s Question Time. He said that climate change was the “greatest danger” we have ever faced. I believe he is a great leader, as my hon. Friend the Member for Warrington South (David Mowat) said, and we need him to champion the cause The Climate Change Act 2008 gave us the tools to become a low carbon economy. No other country has commitments to match those Climate Change Act commitments, and we also have the independent Committee on Climate Change, which must keep holding our feet to the fire to ensure that we remain committed to cutting by 40% our 1990 levels of carbon dioxide emissions by 2030 and to have reduced the six greenhouse gases by 80% by 2050 As a new Conservative MP, tackling climate change is a personal priority for me. It may seem strange, but in Taunton Deane, there is a great appetite for this. I was approached by an incredible number of people who raised the issue of climate change during my electoral campaign. They included groups such as Transition Taunton, Transition Athelney, the Quantock Eco group, and wildlife groups such as the Somerset wildlife trust—I declare an interest as a trustee—as well as farmers who had to combat flooding. They all came to me, some travelling to London, to urge me to press our Government to ensure that we keep to our climate change commitments. That is another reason why I am speaking today We have heard that Governments have agreed to limit global warming to 2 °C, which means that greenhouse gas emissions will have to fall by 80% to 95% by 2050. The statistics were eloquently put by my hon. Friend the Member for Warrington South. We need in Paris a clear global climate deal that sets out how each country is going to achieve that. But it is not all about what goes on internationally. We have to lead by example at home, as there is an indissoluble link between our methods of energy production and emissions. I think everybody is quite clear about that. Cutting emissions relies on transferring to a low carbon economy Yesterday’s announcement by the Energy Secretary to phase out all our coal-fired power stations by 2023 means that we are leading the way in this area, and we are one of the very first countries to make that commitment to phase out fossil fuels. It is a great message with which to head to Paris. As the Secretary of State said earlier, many people are talking about it. Coal is the most polluting way to generate power, and it still produces 30% of our energy. Coal plants are the single largest source of greenhouse gas emissions in the world, and this is one of the main reasons why we are facing the challenge of climate change. Running one large coal plant full time as far ahead as 2030 would provide only 3% of our electricity, yet it would use up 50% of the UK’s emissions targets, so it makes absolute sense to get rid of coal-fired energy.
ParlaMint-GB_2015-11-19-commons.u315	I completely agree with my hon. Friend and with the Secretary of State’s statement yesterday. I understand that Indonesia is planning to build coal-fired power plants equivalent to about two thirds of the entire UK grid capacity. While it is great that we are doing this, we are a very small player. That is why Paris is so important. We can lead by example, but we need the rest of the world to follow. Otherwise it is literally fiddling while Indonesia burns.
ParlaMint-GB_2015-11-19-commons.u316	I thank my hon. Friend for his intervention. I am coming on to talk a little more about the international context. He is absolutely right, but that is not a reason for us not acting. We still have to do everything we can to set the example, and then we need to go along and hopefully encourage others to join the team.
ParlaMint-GB_2015-11-19-commons.u317	I agree with much of what the hon. Lady is saying. Does she agree that it is not just about setting an example, but about recognising historic responsibility? If we are looking at the cumulative emissions of CO2 in the atmosphere, the UK is one hell of a lot more responsible than Indonesia.
ParlaMint-GB_2015-11-19-commons.u318	I am not going to disagree with that, but it is again no reason for not doing something. That is historic, and we did not have all the science at that time. We do have the science now, which is why we are going to move forward.
ParlaMint-GB_2015-11-19-commons.u319	The hon. Member for Brighton, Pavilion (Caroline Lucas) is quite right that the UK is more responsible than Indonesia, but that is why it is disappointing that Germany is building brand-new coal-fired power stations, as in Holland. The point about Indonesia is right; it does not apply to Germany. While we are on the subject of coal, we need to understand that the world is still increasing its use of coal in absolute terms at a faster rate than its use of renewables.
ParlaMint-GB_2015-11-19-commons.u320	I thank my hon. Friend for that valuable intervention. While we are talking about the best kinds of energy that we should use, it is of course important to mention nuclear energy, which is another crucial part of our clean energy strategy. I mention it in particular because Hinkley C is on my doorstep and it will have a massive knock-on effect on Taunton Deane. It is the first new nuclear power station that we have built for 20 years. This is low carbon energy, and it will provide 7% of our energy requirements and keep the lights on for 6 million homes. It is so important as the baseload of non-fossil fuel energy The right hon. Member for Exeter (Mr Bradshaw), who is almost a parliamentary neighbour, was talking about jobs lost in the renewables sector, but 25,000 jobs should be created with the development of Hinkley C, and 5,000 of them are going to be in Somerset. Hinkley C will spawn a raft of low carbon technologies, which are already starting up. That is very positive and heartening, and we should raise the flag, because this is the direction in which we should be going. Moreover, this power station is largely fuelled by private investment, which we must encourage, because we cannot keep demanding that the state supply everything. It is a model for the way forward, and I have high hopes that it will be used as a model for other nuclear power stations built in this country We have made progress on renewables, although things are changing slightly at the moment. It is welcome that 16% of our energy comes from renewables, and that £42 billion has been invested in renewable energy so far. Yes, the tariffs are changing, but the Secretary of State is considering what to do about solar companies that are in that “in-between” phase. We are continuing to encourage the use of offshore wind, which is a valuable addition to our energy supplies. However, in developing what I would describe as a new model for energy production in the UK, we must ensure that it does not damage the environment. As I said earlier, it must be sustainable. It must also be affordable, involving the lowest possible cost to the taxpayer. We must meet the Government’s fuel poverty targets, and we must do so at a time when the country is still in debt. The Pope was at pains to point out that energy costs must not penalise the poor and the vulnerable Given that we are getting hot under the collar, this is an appropriate moment at which to mention heat. A third of our emissions in the UK result from the inefficient use and waste of heat. I have spoken to the Secretary of State about the issue, and she assures me that the Department will look into it. It is a difficult issue to deal with, and it is expensive, but it is essential that we tackle it at a later stage. Decarbonising heat from buildings will definitely help us to close the carbon gap. Local authorities could work with low carbon roadmaps. The development of zero-carbon homes—which we should encourage when it is possible—and of more localised heating systems, such as district heating systems, will also help us to cut our emissions and secure higher energy efficiency, lower carbon emissions and less climate-warming.
ParlaMint-GB_2015-11-19-commons.u321	I thank my hon. Friend for giving way a second time. She is being very generous During the last Parliament, I served on the Bill Committee that considered what became the Energy Act 2011, which created the green deal. Like many other Members on both sides of the House, I am disappointed that the green deal is not continuing, although it would have been crazy to continue with something that was not working and was not delivering as we wanted it to. I hope my hon. Friend agrees that the issue of existing housing stock and its emissions is still critical, and that we need to reinvent the green deal in a new form in order to address it.
ParlaMint-GB_2015-11-19-commons.u322	I too was concerned about the green deal, but it clearly was not working. It was so complicated that there was no take-up. I know that lessons will be learnt, and I think that eventually we will come up with some sort of plan to make houses more efficient. The builders are certainly not averse to that As we have just heard, the UK is responsible for only 1.5% of the world’s carbon emissions, whereas China, for example, produces 26%. This is a global issue, and I am pleased that the Prime Minister has announced the provision of £5.8 billion of aid to help developing countries to tackle climate change through the international climate change fund between 2016 and 2021. I am also pleased that we are contributing £720 million to the green climate fund.
ParlaMint-GB_2015-11-19-commons.u323	Will the hon. Lady give way?
ParlaMint-GB_2015-11-19-commons.u324	I will, although I am about to finish.
ParlaMint-GB_2015-11-19-commons.u325	The lady is very honourable, and very generous; too generous, perhaps. As she says, the UK is responsible for only 1.5% of global emissions while China is responsible for 26%, but China’s emissions percentage reflects its percentage of the world’s population. Per head, the UK’s emissions are far higher.
ParlaMint-GB_2015-11-19-commons.u326	That is a good point, although China’s population is already falling, and we hope that it will continue to fall. We have to advise other countries, which is why Paris is so important. We must set the trend, and explain why it is important for others to buy into this.
ParlaMint-GB_2015-11-19-commons.u327	It is interesting to note that China’s emissions per capita are the same as ours this year. I know that that does not detract from the point about embedded carbon, but it is interesting none the less.
ParlaMint-GB_2015-11-19-commons.u328	I thank my hon. Friend for that intervention Trees have been mentioned only briefly, but I am a great tree person, and I must speak up for them. We must encourage partnerships to reduce deforestation. We need to work with countries such as Brazil to stop the cutting down of rain forests, which is the single largest contributor to the release of carbon. Reducing cutting will have an enormous impact on climate change, and will also maintain our biodiversity—and placing a value on the benefits of biodiversity is part and parcel of the climate change debate. In that context, I am pleased that the Government are now talking about the importance of nature capital. Maintaining tree cover, whether it is done in Brazil or elsewhere in the world—including on the Somerset levels—will reduce flooding and soil erosion, aid soil maintenance, and give us cleaner water The Pope has called for increased action. We should bear in mind that not everything can be achieved in a stuffy room in Paris; a lot can be done there, but we in the House can do a lot as well.
ParlaMint-GB_2015-11-19-commons.u329	Will the hon. Lady give way?
ParlaMint-GB_2015-11-19-commons.u330	I will not, because I am about to end my speech I urge you, Mr Deputy Speaker, to join me and play your part in cutting emissions by running your washing machine on a very low heat. I do that, and the washing is still clean. You can also reduce your wash time, and you can turn down the heating or not put it on at all: my husband hardly ever lets me turn ours on. You can also use public transport, and grow your own food. Look after your soil Those are all things that we can do at home, but Paris is important in the long term. It is essential that the Government work to get the very best that they can out of it, and that we continue to lead by example.
ParlaMint-GB_2015-11-19-commons.u331	Order. I do not want to impose a time limit as such, but if Members speak for no more than 10 minutes, everyone will have an equal amount of time.
ParlaMint-GB_2015-11-19-commons.u332	It is a pleasure to follow the hon. Member for Taunton Deane (Rebecca Pow). She stressed the importance of combining the twin goals of tackling climate change and poverty globally, and I could not agree with her more. We must show a way forward that is about hope and optimism, and about making it clear that tackling climate change need not lead to impoverishment. Something that our country and other developed countries can contribute to—and, in a sense, we may be a bit jealous in this regard—is the ability of many countries to leapfrog over where we are to a cleaner and greener future. We can enrich the lives of communities and villages and children who live without light, which affects everything that they do in their daily lives If we do not challenge climate change, we will not tackle the potential for conflict in the world. The impact of climate change on our food production and water supplies is a starting point for more conflicts. Those who own the means of food production, and have access to and control of water supplies, can be a force for bad as well as good in the communities around the world in which they live.
ParlaMint-GB_2015-11-19-commons.u333	My right hon. Friend is kicking off what will clearly be a fantastic speech. The present appalling situation in which people are fleeing Syria could occur again, through devastation caused by climate change or, as she says, because people simply want access to drinking water.
