ParlaMint-GB_2015-09-09-commons.u1	We begin today with speeches to mark Her Majesty the Queen becoming our longest serving monarch.
ParlaMint-GB_2015-09-09-commons.u204	I pay tribute both to the hon. Member for Moray (Angus Robertson), who is not in his place at the moment, for his speech and to the Scottish National party for its collegiate approach to this debate; it is massively to its credit. The language of this debate has been thoughtful and positive. We must acknowledge that over the past couple of months the language has not always been so conciliatory or so thoughtful. Only six weeks or two months ago, we heard people, including the Prime Minister, use phrases such as “migrants swarming through Europe” I took the opportunity at the beginning of August, during the recess, to go to the Jules Ferry camp in Calais and spend some time there. That does not make me an expert, but I discovered a number of things. First, I found that these “swarms of economic migrants” included far fewer people than the media presented. They were not economic migrants, not that there is anything disgraceful about that, but were by any sensible definition refugees from Syria, Eritrea, Sudan and Afghanistan—from places that meant they were fleeing war, tyranny and instability. It was clear to me that although the vast majority of the people were men there were far more women and children than appeared from what was being presented I took the chance to talk to about 20 or so refugees and quiz them about their desire to come to the UK. Their answer was that they wanted to come to the UK because it represents the good life—“Ah!” I hear from some on the Tory Benches, “They are coming here to sponge off us.” But no, when I drilled down about what the good life meant to those people I found that it meant stability, peace, an absence of conflict, civilisation and being able to bring their kids up and work their socks off without the fear of losing their home or their family. That is what Britain’s good life is and that is why we are an attractive place to be. Let us not decry that; let us be dead proud of the fact that we have that reputation Volunteers in the camp are painfully aware of where Britain stands, and of the fact that, when it comes to asylum applications, France takes more than twice the number we do every year and Germany five or six times the number. The thought that we are being targeted to be sponged off by economic migrants swarming through Europe is dishonest and not true. I came away from Calais with the overall impression that the Prime Minister, the Government and indeed others were reacting not to the reality—they have no excuse not to react to it as they have far better access to research than I do—but to the political story. That is shameful. When they react with dogs, tear gas and fences, that is a political reaction and not the way to solve the problem and make things better I said that language is important, but a picture is important too. A week ago, the decision by The Independent, in particular, to print the absolutely heartbreaking picture of the body of Alan Kurdi was one of the most powerful things any journalist could choose to do. There are times when we are critical of the media, but we should be dead proud that that newspaper and others chose to print the picture. It was edgy, it was appallingly hard to look at as a father—I find it hard even to imagine it now—but it changed the tone of the debate in this country. A week ago, there was no plan whatsoever from those on the Government Benches to make the kind of proposals that were made yesterday. They were made because they were led by British public opinion and I am proud of the British public and how they led that change in the debate We all have our own stories, but we should all be proud of the values shown in the response of the British people, whatever part of the United Kingdom we come from. In my patch, hundreds of people have offered accommodation, food, money and other things, and that is a reminder that this is not accidental, not a rare thing. It is true to our character as a nation and as a family of nations. It is 70 years since half of the children from Auschwitz arrived—where? It was on the banks of Windermere, believe it or not, in probably the least diverse constituency in the country. Between Windermere and Ambleside, on the banks of the lake, were 350 survivors from the camps at Auschwitz and elsewhere—mostly 13, 14 and 15-year-old lads, including the great Ben Helfgott, who went on to lift weights for Britain in the Olympics in the 1950s but came as a little lad from Auschwitz. The reception of the people in the south Lakeland area to those people was immense. It was true to their character then and the response to today’s refugee crisis is true to their character today. I am proud of them I also share a sense of admiration, and even a little envy, when I look at the German response and leadership of the response to the refugee crisis. For what it is worth, I am always up for Scotland, and that support is always repaid, I know, when Scots are so fervently up for England when we play games of various sorts Germany’s response to the refugee crisis has added to its standing in the world, it has made it more relevant in the world, and it will clearly be of economic value in the years to come. The Liberal Democrats welcome the plan set out by the Government yesterday to take up to 20,000 refugees, but we are bound to criticise many of the details, not least the fact that we are proposing to take up to 20,000 over five years, so over five years we will take, at best, as many people as the Germans will take in a weekend. We are also critical of the fact that no hope is offered for those in transit. Those are many of the people who are in most danger, under most threat, and for whom we should have most concern I am one of two people in the Chamber who would make the point that the commitment of 0.7% of GDP to international aid was achieved with the Liberal Democrats in government, with our unanimous support. Although the Secretary of State and others rightly claim credit for it too, I can point out that there was nobody on my Back Benches decrying the Government commitment to that 0.7%.
ParlaMint-GB_2015-09-09-commons.u205	Does my hon. Friend agree that it is outrageous that the Conservative party claims that we tried to cut the international development budget, on the back of a report in the Daily Mail, which is hardly a supporter of the Liberal Democrats?
ParlaMint-GB_2015-09-09-commons.u206	My right hon. Friend is correct. It is a great shame. The story of the coalition on this issue is that all the Liberal Democrats and all the Conservatives who were in Government positions supported that target, but there were dozens and dozens of Conservative Back Benchers who, if they had had their way, would have taken that money away.
ParlaMint-GB_2015-09-09-commons.u207	The Liberals and the Government are taking credit for the 0.7%. We have all played a part—the Labour party played a part when in government. More importantly, does the hon. Gentleman agree that it is vital that refugees are resettled in such a way that they fit into the community and that ghettos are not created through lack of resources? Previous Governments have used urban aid budgets to do that.
ParlaMint-GB_2015-09-09-commons.u208	I am grateful to the hon. Gentleman for making that point. It was exactly the reason why I raised the issue of the DFID funding. It is right that funds should be given to local communities to allow for that resettlement. My key concern is that we are taking from the DFID budget, and therefore taking from that 0.7%, in order to fund this work. That money should come from other sources. We ought to remember that the 0.7% commitment to international aid is about conflict prevention, to make sure that the refugee crisis does not get worse in the years to come. It is short-sighted to raid the DFID budget in order to fund refugee settlement; the money should come from other sources I am bound to decry the fact that this Government refuse once again to co-operate with others in the European Union on a collective approach. That affects our standing in the EU and the world. We are seen as a country that turns its back on its neighbours, that is not a good team player and that is not able to roll up its sleeves collectively to try to make a difference. The Prime Minister will spend time over the coming months in the capitals of Europe trying to build the case for concessions so that he can make the case for a yes vote in an EU referendum. What chance has he now of getting concessions from people who believe he has been such a non-team player over this most critical issue? He has damaged Britain’s standing and he has potentially put at greater risk Britain’s membership of the European Union.
ParlaMint-GB_2015-09-09-commons.u209	rose—
ParlaMint-GB_2015-09-09-commons.u210	I will not give way; I want to make progress By limiting the number of refugees we will take to a maximum of 20,000 over five years, the Prime Minister lets down many thousands of refugees. As others have said before me, we support Jean-Claude Juncker’s proposals for an EU common plan. That makes sense and would add to the UK’s stature in these matters. As was mentioned earlier, the UK’s response has been tardy and has not been good, although it is better today than it was a day or two ago. However, there are others whose contribution is utterly risible, not least Kuwait, Qatar, the United Arab Emirates and Saudi Arabia. They are wealthy countries that our Government have close connections with. What moral authority do our Government have in banging those countries’ heads together to get them to play a role when they themselves have been dragged to the table so reluctantly? This is about moral authority as much as anything else.
ParlaMint-GB_2015-09-09-commons.u211	rose—
ParlaMint-GB_2015-09-09-commons.u212	I will not give way We expect our Governments to lead and not to follow, but over the past week we have found that this Government have followed. I am glad that they have, but it is a great shame that it took months, and the public outcry after that tragic photograph, to bring them to the table. In the past 24 hours or so we have seen the Government commit to what I suggest—forgive me if you think this is cynical—is the least they think they can get away with in the face of public opinion. I want to encourage us all to commit to the most we can do, for the benefit of our collective humanity, for those refugees and for our nation’s standing in the world
ParlaMint-GB_2015-09-09-commons.u213	Last week’s heartbreaking images united the country in horror and compassion. I have been deluged with letters and emails from constituents wishing to express their compassion, and I am sure the same is true for all hon. Members. This House has shown an unusual unity on the issue and has brought it on to our agenda for three days in a row. I welcome the tone of the motion tabled by the hon. Member for Moray (Angus Robertson) and his support for the Government’s long-term humanitarian commitment. I was rather disappointed that the hon. Member for Westmorland and Lonsdale (Tim Farron) set a contrasting tone and that he feels less pride in Britain’s long-term commitment to humanitarian support for refugees Personally, and on behalf of many of my constituents, I welcome the Prime Minister’s commitment to taking in 20,000 more Syrian refugees, on top of the 5,000 already here, and particularly the fact that they will be taken directly from the camps. That gives a safer route for the most vulnerable refugees, who would be unable to make the trek across Europe to Calais My constituency, and Kent overall, has felt the consequences of people making that trek across Europe in recent months. In particular, we have seen a large increase in the number of unaccompanied asylum-seeking children, and they need looking after. Kent County Council has worked extremely hard to find homes for those children, but it has run out of foster homes for them and for local children. Other councils have helped, but not nearly enough. In the coming weeks and months we need the rhetoric from local authority leaders across the country to be matched with action, with them taking in more families and, in particular, more children. I hope that we will now see a nationwide response, and that response needs to be centrally co-ordinated to ensure that those children are given homes across Britain, as the right hon. Member for Leicester East (Keith Vaz) suggested Although it is wonderful to welcome refugees, there is a cost. Kent County Council has estimated that there is an unfunded cost of £6 million in taking in extra asylum-seeking children this year. That financial burden needs to be shared across the country, not just in the areas that take a greater proportion of refugees. I welcome the proposal to use the foreign aid budget to help contribute to those costs.
ParlaMint-GB_2015-09-09-commons.u214	The hon. Lady makes an important point. I think that I am right in saying that the north-west of England has taken the most refugees, so I agree that our job is to ensure that all parts of the country have the resources they need to welcome refugees should they want to.
ParlaMint-GB_2015-09-09-commons.u215	I thank the hon. Lady for that intervention. She is right that we need not only to welcome refugees in what we say, but to plan how to care for them properly. As my hon. and learned Friend the Member for South East Cambridgeshire (Lucy Frazer) said, we need to give them the chance of a good life in this country As the Opposition parties have recognised, the UK has made a huge contribution to helping refugees through our £1 billion aid commitment, which has not always been as popular as it is now. It is good to see that the country is rallying behind the virtues of making a contribution on that scale. However, we need to make sure that our emotional response to the images of last week does not cloud the reason in our response. I believe very strongly that we should concentrate our help where it can do most good. Most of the 12 million people displaced are still in the region, with 7.6 million in Syria, 1.9 million in Turkey, and 1.1 million in Lebanon. Being in those countries means they are more likely to return home when eventually their homes are safe, and then they will be in a position to help rebuild Syria, so we would be right to focus our aid there.
ParlaMint-GB_2015-09-09-commons.u216	May I make a suggestion that will not cost the Government a single penny? Will the hon. Lady join me in calling on the Under-Secretary of State for Foreign and Commonwealth Affairs, the hon. Member for Bournemouth East (Mr Ellwood), who is in his place, to get on the phone to the Saudi Arabian embassy here in the UK and ask that country to start taking some refugees, and Kuwait and Qatar too, because they do not even recognise refugees in their constitution? Many Members have mentioned Lebanon, but it is a fraction of the size of Saudi Arabia, so perhaps the Government could start to look at that side of things as well.
ParlaMint-GB_2015-09-09-commons.u217	Indeed, the other neighbouring countries, not just Lebanon and Turkey, should be taking refugees. I understand that in fact Saudi Arabia is taking some refugees and that families have invited other families to come and live with them. There may be more happening than we are aware. However, the hon. Gentleman makes an important point I want to talk about how our aid could be used in the refugee camps. It is important that it is used not only to provide shelter and food but to make life in those camps bearable. As we have heard, it is far from that now; in fact, many refugees do not even feel safe in them. My hon. Friend the Member for Oxford West and Abingdon (Nicola Blackwood) described this from the experience of her own visits to refugee camps. We must try to ensure that refugees have some quality of life. I recognise that the Government are doing what they can. A quarter of a million children are benefiting from having support for their education, thanks to our aid. I have read of a figure of £10 million being used specifically for building local capacity and longer-term stability in the region, but that sounds like a rather small share of £1 billion. More must be done to give refugees in the camps a chance to work, to learn and to develop their skills so that they will be able to contribute as and when Syria is safe to return to, and to give them purpose and a sense of hope.
ParlaMint-GB_2015-09-09-commons.u218	The hon. Lady mentions £10 million. Perhaps the Government would take up the point that rather than replacing Trident on the Clyde with £500 million, they should send that money to deal with some of the refugee crisis issues that we are facing.
ParlaMint-GB_2015-09-09-commons.u219	That is a completely separate debate and it is not appropriate to have it as part of this debate The battle against ISIL is ideological as much as military. We absolutely must win hearts and minds. As this is Britain’s largest ever humanitarian effort, it must not just be about providing sanctuary but must also count towards future peace and stability across the region.
ParlaMint-GB_2015-09-09-commons.u220	I am very grateful for the opportunity to speak on this hugely important issue This is the most challenging refugee crisis since the second world war. It has brought some of the most miserable and wretched images to our television screens and newspaper front pages, but it has also brought out some of the best qualities in so many people across the UK and Europe. As other hon. Members have said, it is impossible not to have been impressed—indeed, bowled over—by the efforts of local organisations, community groups and individuals. It has also been clear to many in this Chamber that how we handle the global movement of refugees, including in the Mediterranean, is one of the rare issues that will come to define the legacy of this Parliament, as my hon. Friend the Member for West Dunbartonshire (Martin John Docherty) said. This is a test of policy and of leadership, but, more importantly, we are being tested on our humanity I fear that to date the Government have fallen short of pass marks, although, as the motion recognises, they do deserve credit for their support for humanitarian initiatives in the middle east. Of course, like colleagues, I give a warm but somewhat guarded welcome to the change in approach that has been signalled in the past few days—in particular, the decision to increase the number of Syrians being resettled in this country, as announced by the Prime Minister a few days ago. Nevertheless, I share the view that in many ways the Government have been too slow to respond and their response still falls short. If they listen to the arguments being made today by the united opposition and to the very clear message coming from people across the United Kingdom, they will still have a chance to salvage their position and, indeed, to help save more lives What more could and should the Government do? On the issue of resettlement from the middle east, I welcome the plans to increase the number of Syrians to be resettled directly in the UK. However, as many have made clear, people cannot wait until 2020 to reach safety, so we will scrutinise the Home Secretary’s forthcoming statement closely. We need to resettle more people and to resettle most of them very soon, not in five years. As the right hon. Member for Leicester East (Keith Vaz) has said, we need a strong target for this year We also need to think again about the position of unaccompanied minors who will come to the UK under the Government scheme, particularly the nature of the status they will be granted and their prospects for settlement and stability, which they need immediately. It is all very well to say that it may be possible for them to apply for settlement in the future, but many children’s organisations say that they need settlement and stability immediately I also wish to raise the issue of “double refugees.” I understand from people working in refugee camps in Lebanon that a significant number of refugees there have previously fled from Palestine and had been protected as refugees in Syrian camps. They have had to flee again and, despite not being documented as Syrians, that is the country from which they have been forced to flee. Is there not a powerful case for including them in the resettlement scheme? Let us consider the scope of the programme very carefully. The key question is the relocation of people who have already reached Europe. Other Members have already set out in considerable detail the conditions of squalor, tension and sometimes even violence that vulnerable people arriving in Europe too often have to endure. My own constituents have contacted me to speak about their horror on seeing such situations at first hand when visiting places such as Kos and Lesbos The people arriving on these islands and in the EU need our help. They need a co-ordinated EU response and the UK should play its part. For two or three countries to take on 350,000 people arriving in desperate circumstances is an impossible task. Among a union of 500 million people it is a challenge, but an eminently surmountable one, representing just 0.5% of the population Whatever our differences on the balance to be struck between relocation and resettlement, the one argument I cannot accept from Government Members is the claim that taking part in European Union programmes will encourage more people to take on the dangerous journey. First and foremost, that view fundamentally misunderstands the nature of the crisis. People are being driven to cross the Mediterranean through fear of persecution and human rights abuses and through desperation, not because of some distant possibility of relocation to the United Kingdom. Of course, back in May the UK shied away from the first EU attempt at agreeing 40,000 relocations. Has that stopped a single person making that trip? Of course not, so it is time for this myth peddling to stop and for the Government to step up to the plate by working with their European Union neighbours There are other ways in which the Government can respond to this motion’s call for them to play their full and proper role in providing sanctuary to our fellow human beings. At the very least, will they consider the call from Save the Children that the UK Government “takes its fair share—3,000 of the most vulnerable children who are arriving in Europe—those who have arrived without family members, completely alone” As the charity says: “We must ensure these children are safe and protected.” I also hope there can be broader consensus on the need to reconsider how refugee family reunion rules apply in this particular situation. I appreciate that the Minister for Immigration will have already heard this two or three times this week, but one group of people for whom surely the UK is the most appropriate place to be is those with family members who have already been granted refugee status here. As they stand, the UK’s family reunion rules are tightly drawn. For example, a 19-year-old girl in a refugee camp in Lebanon, or who is stranded alone in Turkey, whose father has managed to make it to the United Kingdom and is recognised as a refugee will not usually be able to come here under those family reunion rules. Her family would be sorely tempted to resort to people smugglers to get her here Surely the Government will agree to look again at how the family reunion rules are being applied to those who are caught up in this crisis. The argument for that has been made forcefully by the Refugee Council, the Scottish Refugee Council, the Red Cross and many others. I note that Sweden and Switzerland have extended their family reunion programmes. Additionally, we need to see what further steps can be taken to provide practical support for those who wish to make family reunion applications. Lawyers and charities that are working for families here speak of the impossible bureaucracy when people approach UK embassies in the region. Let us make it as easy as we can for people to exercise their family reunion rights Finally, does this situation not illustrate how outrageous it is for refugees to be included in any net migration target? The Government appear to be incentivising the rejection of refugees. Is that not the worst possible signal to send out This was a chance for the Prime Minister to show leadership in one of the defining moments of his time in office. I regret that he has been guilty of belatedly following, instead of leading. He still has a chance to lead and I hope, for the sake of the refugees from Syria and elsewhere, that he grasps it urgently.
ParlaMint-GB_2015-09-09-commons.u221	Thank you, Madam Deputy Speaker, for calling me to talk about an issue that defines this summer and probably a longer period I congratulate the hon. Member for Moray (Angus Robertson) on tabling a motion on this humanitarian issue, which is vital not just to all of us here, but to many of our constituents. I would argue that the underlying issue is broader than that laid out in his motion. Why are there so many failing states in the middle east and north Africa? How can we help to prevent those states from reaching the chaos where so many millions of people are displaced, mostly outside their own country? What is it that states such as Jordan and Morocco have that makes them so much more successful? How can a region take ownership both of its people, as Lebanon, Jordan and Turkey are doing so spectacularly with help from the west, and of its stability and security? Those are critical questions, but I recognise that they are for another day and I hope that it comes soon The hon. Member for Moray introduced his motion with moving reference to his own story about the arrival of his mother in this country, which helps to explain his commitment to helping other refugees. There is much to agree with in his motion. It recognises the Government’s huge contribution to the camps for refugees from Syria and the commitment to take on 20,000 vulnerable Syrian refugees from those camps. It calls for a “full and proper role” for the UK in providing sanctuary However, the motion is very short of detail in some ways and divisive in one critical way. It calls for “a greater international effort through the United Nations to secure the position of such displaced people”, but what does that mean? The hon. Gentleman did not shed any light on what he expects the United Nations to do. Does it encompass the proposal from my right hon. Friend the Member for Sutton Coldfield (Mr Mitchell) for safe havens inside Syria? Is the hon. Gentleman thinking of no-fly zones? He said nothing about what he wants from the United Nations. I offer the thought that perhaps the most successful intervention by the United Nations in a state that had been through civil war was in Bosnia and Herzegovina, which was run by the United Nations for a period of years before being successfully returned under democratic elections. We need to look at that more closely in the longer term. The line that reveals the divisiveness of the motion is that which calls for the Government to report on “how that number can be increased” That comes only two days after the Prime Minister’s announcement that our country would take 20,000 refugees. The hon. Member for Moray denied that this was a bidding war, but that is exactly what it looks and feels like. A cry goes up, “Something must be done.” A Labour leadership candidate agrees and says, “Yes, we should take 10,000.” The Prime Minister agrees and announces the framework and terms for taking 20,000 refugees, but the SNP, on its Opposition day, asks how that number can be increased, without mentioning a figure—neither the hon. Member for Moray, nor anybody else speaking for his party today has done so. We can be sure that if the Government did come back to raise the figure, whatever it was raised to would not be enough, and the SNP and others would ask how we could increase it further.
ParlaMint-GB_2015-09-09-commons.u222	If it is a bidding war, how did the Government reach a figure of 20,000, rather than 20,001 or 19,999? I did ask the Secretary of State that precise question earlier—I do not know whether the hon. Gentleman was in his place then—and she was unable to give me a proper answer.
ParlaMint-GB_2015-09-09-commons.u223	I am not sure whether there was a question in there, Madam Deputy Speaker, although there may be one for the Government to offer on. The important thing I was going to say is that we should not get obsessed with a particular figure. We have heard moving speeches this afternoon from Members echoing what I believe to be the core point of the motion, which we all share: the requirement on the nation and on all of us to respond with compassion to an international disaster Several Members, most movingly my hon. Friend the Member for Oxford West and Abingdon (Nicola Blackwood), in an echo of what the hon. Member for Moray said, have told us that they are from immigrant families. I was working on aid projects in Africa almost 30 years ago, helping displaced people from neighbouring countries around there, and I was in Hong Kong when its Government, on behalf of the British Government, were trying to deal with the Vietnamese boat people. It is incredibly easy for people to be critical of situations involving refugees if they are not dealing with it themselves and do not have the responsibility at the time. We should recognise that, as many Members have said. This nation does have a strong record, and we should be pulling together and doing our best to help people in the ways that we can On that note, I thought the most discordant speech heard in this Chamber for a long while—it was almost a disgraceful speech—was that by the hon. Member for Westmorland and Lonsdale (Tim Farron). He seems to have entirely forgotten that his party, when in coalition government with my party, was responsible for bringing together this considerable increase in our commitment to international development, which has led to our being able to provide huge sums in funding and help hundreds of thousands of people, if not more than 1 million, in the refugee camps just outside Syria. It was extraordinary that all he could bring himself to say was that this Government “react with dogs” and barbed wire, in a reference to Calais. He made no reference to what is being achieved for the refugees from Syria. Unfortunately, a number of Members have descended into making party political points, especially the hon. Member for Hammersmith (Andy Slaughter), who sounded the most extraordinary, tribal note, referring to a “rush to arms”, which is not even the subject of this debate. Instead of doing that, we should be focusing today on what we all share and what we can achieve together On that note, I wish to make a practical suggestion that I believe would make a real difference to this nation’s handling of the refugee crisis. I touched on it earlier in an intervention on my right hon. Friend the Secretary of State. The most practical thing we can do is encourage the leading charities and non-governmental organisations, perhaps in that meeting on Friday with the Government, to come together to create a new Syrian refugee fund, perhaps administered by Save the Children in particular, although others should be involved. Such a fund would allow so many of our generous constituents around the whole country to contribute, and it should be matched pound for pound by the Government. That would enable a significant fund to be available to help the refugees when they come to this country. It could be disbursed through local government authorities or it could be done directly, but all these are issues that should be resolved. We have done this before. We did it successfully in response to the typhoon in the Philippines about 18 months ago, when many people in our constituencies contributed. St Peter’s school in my constituency raised funds and gave a lot of time towards doing so. Such an approach helps the people of Britain to realise that the Government share their sympathy and compassion, and will match what they give pound for pound. That is a practical suggestion that would help us Some hon. Members have intimated that we should do almost everything that Germany is doing. It seems to me extraordinary that we should feel obliged to get into some form of bidding war with Germany, of all nations. We should surely recognise that Germany is dealing not only with today’s humanitarian crisis—[Interruption.] The SNP would do well to listen—but with her own modern history. We should respect and admire that but not see German commitments as a competitive challenge We should recognise that each country can contribute differently. For example, the role of the Royal Navy in the Mediterranean in saving more than 6,000 people who might otherwise have drowned is not something that many countries in the European Union could emulate, and certainly not Germany. We should recognise that we can all make our own separate and different contribution to the crisis. We should pull together; make sure that we get on with implementing what has already been announced by the Prime Minister, and not try to split hairs about numbers of refugees; encourage the charities to create the fund in which the Government will match what individuals donate; locally capture significant offers of help through the asylum and refugee offices in our own counties; and make it happen.
ParlaMint-GB_2015-09-09-commons.u224	It is good to speak in this important debate. I listened carefully to the contribution from the hon. Member for Gloucester (Richard Graham) and the remarks that he made about whether numbers matter. Of course, it is not numbers that matter, but need. If some of us are exasperated about numbers, it is because the Government are not doing enough and we are trying to encourage them in that direction I want to send out a message from this House that I hope everyone will agree with. It was a fine innovation when we decided that it would not just be for the Government to dictate our agenda, but for the public. Hundreds of thousands of people have signed e-petitions and the House has listened and put the issues that matter onto our agenda. One of those issues is one that the British people care about not for their own sakes, but for the sake of others. It is testimony to everybody who bothered to sign the petition that they are changing politics today One of the great moral puzzles is working out what we owe to others who are far away—who are not of our own family but of someone else’s family far away—and the Secretary of State answered that question in her contribution. She has met refugees and she told us about them. She has met people who have fled Syria, and she told us what she had heard from them. I ask whether anyone can hear those stories, or the contributions from the hon. Members for Glasgow North East (Anne McLaughlin) and for Oxford West and Abingdon (Nicola Blackwood), and not wonder if we can do a little more When we meet people, we realise they are just like us. I want to read out the words of Hassan, who is 14 and from Syria. He said: “The children in Syria need help. They need help because they are being tortured, shelled, shot at. They take children and put them in front of them. They create a human shield of children. They know that the people in the town will not shoot their own children. I saw this with my own eyes I want children in Syria to escape. They should run away so they don’t die in the shelling What do I remember of Syria? I remember that whenever shelling took place we ran to a shelter. Inside, children shouted and wept a lot, they were so afraid. I remember that so many children were being tortured Because of what is happening in Syria we don’t play any more. I miss my house. I miss my neighbourhood. I miss playing football.” Football, the universal language. The more we find out about the refugees, the more we realise that we are just like them, and that is why we need to help them The problem is that progress feels painfully slow. Back in 2014, we had a debate about whether the Government should join the UN resettlement scheme. The Government said that they would not join it, and in the end they came up with their own scheme. As Member after Member has said, that scheme has taken insufficient numbers. My right hon. Friend the Member for Leicester East (Keith Vaz) mentioned the debate I held about refugees. In June, I asked the Prime Minister whether he felt that we were doing enough to help vulnerable children from Syria. In his words, he said that he was “convinced that we are”. It took the events in August to make him realise how wrong he was. Forgive me, Madam Deputy Speaker, if I am a little bit infuriated at times at such very slow progress I want to make two brief points and then say a final word. First, I know that the Government are capable of listening. The Secretary of State for International Development has listened and, as evidence has come before her, she has changed her position. She is a reasonable person who has done the right thing. I know that Ministers are prepared to do the right thing, so I say this to them. Let us be a part of Europe. Let us see what is happening on the southern coast of our continent, in Greece and in Italy, and say to the people there, “We stand with you. We know that you cannot deal with this alone.” Let us in this House listen to Matteo Renzi’s call to be a part of Europe and to demonstrate our European values by saying that we believe in freedom, tolerance and respect, as well as a place to live and a decent life for each and every person. Let us show some leadership. My right hon. Friend the Member for Leicester East, the Chair of the Home Affairs Committee, said that leadership has been lacking. Let us change that, because the rest of Europe is crying out for the UK to play a role, in part by offering sanctuary to some of the people who, perhaps in exceptional circumstances, are already in Europe.
ParlaMint-GB_2015-09-09-commons.u225	My hon. Friend may recall that she questioned the Prime Minister in October 2013, following the EU Council, on precisely these issues in the Mediterranean. At that time, the Prime Minister told her that “we should try to avoid the sense that there are…front-line states…that are under particular pressure.”—[Official Report, 28 October 2013; Vol. 569, c. 664.] He went on to use Hungary as a comparator to show that the UK was taking its fair share of the burden.
ParlaMint-GB_2015-09-09-commons.u226	In this debate, several hon. Members have reminded me of my previous contributions, and I thank them for doing so. I will not shut up about this because these people matter. In response to what we said in 2013, 2014 and this year, the Government have demonstrated that they have the capacity to change their mind. All I ask is that they show what sensible, reasonable people they are and change their mind again We need to play such a role in Europe. We need to demonstrate—whether in exceptional circumstances, or under whatever definition we set—that we are prepared to help our friends in Europe. The UK needs to be “a piece of the Continent, a part of the main”, as John Donne, one of our country’s finest poets, said Secondly, we need truly to respond in policy terms to the outpouring of good will towards refugees and victims of the conflict in Syria. Never mind the numbers; let us show that we have heard what the people of Britain think and take refugees out of the migration target. I think that the Government have failed on their migration target, which was ill-conceived for loads of reasons to do with the place of universities in our economy and the needs of great businesses, such as Unilever in my patch. It was a bad idea, but they are the Government and they have a right to do it. What they do not have the right to do is to say that we should decide whether we are living up to our duty towards the people coming to our country needing our help and needing sanctuary on the basis of some arbitrary statistical target that they have set for themselves in the heat of an election.
ParlaMint-GB_2015-09-09-commons.u227	I congratulate the hon. Lady on her incredible and hugely impassioned speech. Does she agree that this is not about numbers? We must stop talking about such people as numbers; they are human beings. This is a human tragedy, and it needs a human response. Every time somebody has to flee their country as a result of what is happening, it is a tragedy. I share her views.
ParlaMint-GB_2015-09-09-commons.u228	I thank the hon. Lady for her contribution. She makes my point for me perhaps more eloquently than I was able to when I said earlier that one is better than none. For each person we can help, we should be glad we have done so in the knowledge that immigrants to this country make a massive contribution and build us up to what we are today I ask the Government to think again. They have shown they can do it. They have shown that they are prepared to listen. I ask them to show that compassion and reason once more. It makes no sense to say on the one hand that we will decide whether somebody can claim asylum and seek sanctuary in this country based on need and based on their circumstances, while on the other hand counting in refugees with a migration target that is essentially just a number that has been decided for other reasons. We should decide each case based on its merits I do not underestimate the size and scale of what we are asking local authority leaders to do. I do not underestimate that for a moment, and I thought the hon. Member for Faversham and Mid Kent (Helen Whately) made some serious and excellent points on that, but that is why it is all the more deeply impressive that local authority leaders, such as Richard Leese and Joe Anderson in the north-west of England, have stood up to be counted. They have said that their parts of the world will welcome refugees and will do all that is necessary to provide sanctuary for them. Of course, the Government will have to work hard to make sure there are resources and we need to empower local communities so that they feel able to welcome refugees, but working together we can do it. As it happens, DFID resources have often been spent, as necessary, on people in this country. We need to find different ways to fund this effort, but I applaud all local authority leaders who have shown that they are prepared to welcome refugees into their city, town or county In closing, I want to say a final word on refugee camps. I have never visited a refugee camp, but the Secretary of State has and she made an excellent case for why they are not the best idea in terms of sanctuary. They are temporary and they are unsafe. They can be good places where people can get medical care, but in the end it comes down to this: nobody’s home should be a camp. That is why we need to truly understand what it means to give sanctuary. It does not just mean, “Here’s a roof over your head for the moment,” necessary though that is. It does not just mean a way to feed somebody’s children and give them medical care, absolutely necessary though that is. It means: here is the place where you can belong. That is sanctuary, that is what we should offer refugees, and that is why we will keep asking the Government until they do more.
