ParlaMint-GB_2015-01-15-commons.u1	1. What estimate he has made of the contribution of tourism to the economy.
ParlaMint-GB_2015-01-15-commons.u284	I did not challenge; I added.
ParlaMint-GB_2015-01-15-commons.u285	Added, quite right We honour our military with a covenant. For the sacrifices they make for us— facing danger, injury and death—we give our respect, our support and fair treatment. We acknowledge a moral obligation. This Government should be congratulated on aiming to ensure that no disadvantage is suffered in gaining public services, and they acknowledge that there can be a case for special treatment in certain cases In no way do I try to cheapen either of those situations—the need for a military covenant or the needs of the people whom we are talking about today—but it is clear to me as a constituency MP that my constituent Anne seeks much the same as the sort of help that I have tried to get for veterans: doctors to act on the wider effects of their illness; getting the benefits system to see what they are suffering; and getting public services in general to join the dots of what they know I know it is controversial in the military covenant to emphasise preferential treatment, but in the case of Anne, who has wanted drugs and a new liver against the might of the NICE guidelines, when her appalling, sapping illness was no fault of her own, I think that she, too, and many like her, should receive respect, support and fair treatment. I see a moral obligation and every moral argument for doing as she asks. Perhaps the Government might consider having a covenant for contaminated blood.
ParlaMint-GB_2015-01-15-commons.u286	I congratulate the right hon. Member for North East Bedfordshire (Alistair Burt) on the typically thoughtful and sensitive way in which he introduced and framed the debate. I think we are all grateful to him for that. I also thank the all-party group, co-chaired by my hon. Friend the Member for Kingston upon Hull North (Diana Johnson), for its important work and for what I consider to be a very important report Once in every generation, a handful of issues arise that I tend to describe as debts of honour. The right hon. Gentleman mentioned Hillsborough, I could mention the thalidomide scandal, and I am sure that other examples have already been given or will be given during the debate. I shall give two examples from my constituency, which, I think, underline the fact that this is a debt of honour that needs to be addressed My first example concerns a lady called Mrs Phoenix. In 1980, Mrs Phoenix had an operation on her jaw at Broadgreen hospital in Liverpool, during which she received contaminated blood. In 1995—15 years later—she was diagnosed with hepatitis C, after which she began a course of interferon that lasted for approximately a year. That failed to eradicate the virus. In 2003-04, she began a further course of interferon, and, thankfully, this time the virus was eradicated In subsequent years, Mrs Phoenix was told repeatedly that she was not entitled to claim compensation for the hepatitis C that she had contracted from contaminated blood, because the medical professionals had not been aware at the time that the disease was being transmitted from person to person through blood transfusions. In 2011 her solicitor told her about the Skipton Fund, but when she tried to complete the relevant forms in order to submit a claim to the fund, she was told that the details of her NHS operation had gone missing. That is a not unfamiliar story. Luckily, she was able to carry out the necessary research and appeal against the decision, and her appeal was successful This is what Mrs Phoenix has asked me to tell the House: “As far back as the 1950s some US doctors were raising concerns about paid blood donations from so called ‘skid row’ donors. I feel health officials here cannot cloud the issue by claiming ignorance of risks buying in blood from the USA. Personally I do not want to rely on charity, I don’t want tweaks to the current system, I would like a full and final settlement. This has been called the worst treatment disaster in the NHS; warnings were ignored and I feel gross maladministration is to blame.” Mrs Phoenix has made three requests. First, she wants the Department of Health to acknowledge that purchasing blood products from the United States, including blood products from inside the US prison system, without testing them was negligent. Secondly, she seeks what many others have called for—an apology—and thirdly, she seeks adequate financial compensation.
ParlaMint-GB_2015-01-15-commons.u287	I have listened to many of these stories with growing anger. Constituents of mine have also been affected. Does the right hon. Gentleman agree that Governments of both parties have failed our constituents for many years, and that the House will have no patience with any Government of any party who do not produce a final resolution of these matters?
ParlaMint-GB_2015-01-15-commons.u288	In a word, yes.
ParlaMint-GB_2015-01-15-commons.u289	The right hon. Gentleman has said that the risks must have been known. Is he aware that the move to set up a compensation scheme in the Irish Republic was made before full state liability was recognised? That liability was recognised only when a second inquiry showed that the state had known there was a risk, but had continued to use contaminated blood products on the basis that, because the United Kingdom and others were using them, it could carry the risk.
ParlaMint-GB_2015-01-15-commons.u290	The hon. Gentleman has made an important point, which I fully accept My second example comes from a constituent who wishes to remain anonymous. Her husband, who was a haemophiliac, died at the age of 59 after contracting hepatitis A, B and C through contaminated blood administered in the late 1970s and early 1980s. As a result of receiving that contaminated blood, he had developed cirrhosis of the liver, oesophageal varices, ascites, encephalopathy and liver cancer. Understandably, my constituent says, his quality of life deteriorated year by year and month by month until his eventual and sad death. His haemophilia had prevented him from accessing insurance products such as mortgage protection, and the early retirement necessitated by his ill health had decimated his pension, which had left both him and his wife struggling financially My constituent had close family members who also died as a result of receiving contaminated blood. The family has been hit hard by a terrible scandal. Twenty years after the death of her husband, my constituent is still campaigning for justice. The family has been given no explanation of why the scandal was allowed to happen, and why the medical records went missing at local hospitals and in the NHS My constituent is now 76 years old, and is herself in ill health. She is looking for answers to a number of questions that are still arising, and she hopes to receive those answers in her lifetime and as soon as possible. The family sent me the following statement, which they asked me to read out: “My family holds that what has long been needed is for this tragedy, which has already directly claimed the lives of 2,000 haemophiliacs” to be addressed and put into perspective, in terms of its “scale” and in terms of “financial support”. The statement continues: “We believe that this disaster…is finally seen as one event…the ‘UK Contaminated Blood Scandal’….the scandal is already Britain and Ireland’s 15th biggest peacetime disaster in terms of death toll, since records began, yet very few people know about it…the UK Contaminated Blood Scandal claimed the third biggest collective peacetime death toll in the UK in the 20th Century. My family believes that until this tragedy is finally seen in the proper terms of its fatalities, and is recorded as such…very few people outside of those whose lives have been obliterated will ever be able to grasp the enormity of a scandal” The family make two specific requests. First, they call for the current support groups to be disbanded and a new, comprehensive method of support to be introduced to replace the support schemes that are currently available, which they consider to be confusing and unfit for purpose. Secondly, they call for substantial, regular financial support that will meet the care needs of those affected I began my speech by saying that this was a debt of honour. I end it by saying that it is a debt of honour that should now be redeemed in full.
ParlaMint-GB_2015-01-15-commons.u291	I echo the right hon. Member for Knowsley (Mr Howarth) in describing this as a debt of honour. That, I think, sums up what the debate is all about. We caused this. We did not cause it personally, of course, but it was caused by the state and the national health service, so we are responsible I congratulate all Members who have spoken—particularly, of course, my right hon. Friend the Member for North East Bedfordshire (Alistair Burt), who has campaigned so effectively. I also pay tribute to my late friend Jim Dobbin. As has already been mentioned, his memorial service took place yesterday, and, in paying tribute to him, the Bishop of Southwark described him as an MP of causes. I know the House of Commons and politicians are often criticised, perhaps quite rightly, but I think this debate shows the House of Commons at its best. There are many MPs, like Jim, who do not necessarily see their political life as one of holding high office but who realise we are here to try to promote causes, particularly as, because of our constituency system, when we speak here we often do so because our constituents have approached us. In other political systems Members of national Parliaments are perhaps more remote One national politician who is not remote is the shadow Secretary of State, the right hon. Member for Leigh (Andy Burnham). We are all very grateful that he is here today given his other responsibilities, and I am working with him on another issue where people’s lives have been ruined through no fault of their own. We value his presence here today I have said that many of us are here today because of constituents, and I am here because of my constituent Gary Jones from Scotter, who has raised this issue with me several times. I want to share some of his thoughts with the House. First, however, may I make an apology: I am on the Panel of Chairs and quite soon I will have to go and chair a private Bill, so I may miss the winding-up speeches As I have said, I want to talk about the issues Gary Jones has raised and, in particular the Irish compensation scheme. Before doing so, however, I want to echo and emphasise what my hon. Friend the Member for Aldershot (Sir Gerald Howarth) said in an intervention as it makes the point very clearly. I have already said this once and I will say it again, and it will be said several times during this debate: let right be done. We caused this, and we have to put it right. The state—or the establishment—is responsible. I do not know who is really responsible—probably no particular individual; no doubt everybody was trying their best—but there has been gross negligence over several decades, since perhaps as early as the 1940s when the viral risks associated with the blood products in question were known and patients were not informed. One of the greatest scandals in all this is that so many patients have been kept in the dark.
ParlaMint-GB_2015-01-15-commons.u292	My hon. Friend said that this was an example of gross negligence by the state. In addition to what the Penrose inquiry will show that is specific to the contaminated blood issue, does he agree this is also an opportunity for us to set some guidelines and rules for those occasions when there are failures by the state health service on how it will deal with compensation so that we avoid a patchwork of problems similar to those that affected our constituents?
ParlaMint-GB_2015-01-15-commons.u293	I entirely agree, and I do not think this is just a question of money. If we attack the Government just in terms of money, we might not succeed in this campaign. It is also a question of learning lessons, and what the victims want above all is some sense of involvement in future schemes. We must learn lessons, and I am sure we are doing so The screening of blood donors was totally inadequate, allowing those with a history of jaundice to donate. Even in response to the rise of AIDS the Government failed to implement the best technology available at the time to render blood products safe. The results of this neglect have been appalling: the infection of over 5,000 haemophiliacs with hepatitis B and C, over 1,000 of whom were also infected with HIV from NHS blood products, resulting in 2,500 deaths. Although there has been compensation in many cases, it has been inadequate—indeed, they would claim it has been miserly. For instance, although there is a one-off payment available for hepatitis stage 1, there is no ongoing payment. All this is plainly unacceptable; I think everybody who has spoken agrees with that. It is also obvious that there must be a suitable scheme for compensation to the victims—not that any monetary amount can repair the damage that has been done The Irish scheme has perhaps not received as much attention as it should have done in this debate so far, and again I am quoting here from the arguments given to me by my constituent. It is not, as I am afraid some of my hon. and right hon. Friends on the Front Bench have suggested, that we want to link the UK compensation payment scheme to that which exists in Ireland. It is worth repeating that campaigners have never expressed a wish to place the Government’s funding of any compensation scheme in Irish hands. For myself, I do not suggest that the compensation should be exactly the same, but the Irish scheme is worth looking at in terms of compassion: it puts compassion first; it accepts liability; and it is substantial enough for the victims to gain closure. So I encourage Ministers to look further into the compensation scheme the Republic of Ireland has established and to see what lessons might be applicable to us here in the UK.
ParlaMint-GB_2015-01-15-commons.u294	Does the hon. Gentleman agree that, because we are talking about quite a small number of people, fairly generous packages of compensation would be affordable? We are not looking at millions of people; we are looking at a small number of people who have suffered very seriously as a result of the NHS.
ParlaMint-GB_2015-01-15-commons.u295	Yes, I want to deal with that point, and I am glad that the hon. Lady has made that intervention. I can quite understand where the Government are coming from, but both my hon. Friend the Member for Aldershot and I—and others who have spoken—cannot ever be accused of wanting to waste public money. We are very aware of the pressures on Government. Again I am grateful to my constituent for some of the figures that have been given to me. He says—and I hope the Minister will reply to this point—that: “The figures quoted in the Written Ministerial Statement are completely incorrect. The Government have refuted suggestions that they based their calculations on a typographical error in the Archer Report and claim that the costings were based on an average of £750,000 per person. The CEO of the Irish Haemophilia Society has confirmed that the average figures paid out in Ireland was ‘around €350,000’ per person.” So the total figure we are talking about here is £1.5 billion. That is very similar to the compensation paid to the victims of Equitable Life. I have campaigned on Equitable Life, as we all have, and it is pretty awful for someone to lose their life savings and there was appalling suffering, but at the end of the day they have lost their savings; they have not lost their life. So if we are prepared to pay this sort of compensation to the victims of Equitable Life, why do we baulk at similar figures for those whose whole lives have been ruined, and ultimately many of them lost My hon. Friend the Member for Gosport (Caroline Dinenage) put it very well: “I recently met a delegation of people who had suffered through the Equitable Life disaster. Although I have every sympathy with their plight, today’s debate puts that matter into perspective because we are talking not about the loss of life savings, but about the loss of life itself, loss of livelihood and of the chance to grow old, and losing the chance to become a parent and see one’s children grow up.”—[Official Report, 14 October 2010; Vol. 516, c. 556-7.] I could not put it any better, and I end on the following point. We recognise that we are at fault. We recognise that these people’s lives have been ruined. We recognise that the current compensation scheme has not fulfilled their expectations and is not fair. Let right be done.
ParlaMint-GB_2015-01-15-commons.u296	I stand in this House in the footsteps of giants. My predecessor Paul Goggins was a tireless campaigner on this issue, and his predecessor, Lord Morris of Manchester and former Member for Wythenshawe, was also a tireless campaigner on it, so I am humbled to stand before the House as their successor I pay tribute to the right hon. Member for North East Bedfordshire (Alistair Burt) for securing the debate and congratulate him on his work. There are days in this Chamber, particularly as we approach a general election with the cut and thrust of politics, when I do not know what we do here. Today is not one of those days. The hon. Member for Gainsborough (Sir Edward Leigh) summed it up correctly: this debate shows the House of Commons at its best I want to relate the tale of a few constituents of mine: Fred and Eleanor Bates and Peter Mossman. I have been working with them over the few months that I have been a Member of Parliament and we have had the full support of my right hon. Friend the Member for Leigh (Andy Burnham), for which we are grateful. Eleanor is now 60 years old. She has been married to Fred for 38 years. Fred is a haemophiliac who used to have a 5% clotting factor but now has a 0.0001% clotting factor. It is believed that this reduction is a result of the contamination. Before 1982-83, he received plasma and cryoprecipitate on demand when he had a bleed. After that, he was switched to factor VIII. In 1991, he was visited by another constituent of mine, Peter Mossman of the north-west group of the Haemophilia Society, who brought Fred a leaflet about hepatitis C. Fred visited the hospital to check this out and discovered that he did indeed have the condition. In fact, the hospital had known about his condition for almost a decade. Frightened and worried, Fred and Eleanor researched the main symptoms of hepatitis C: fatigue, sclerosis of the liver, liver cancer and ultimately death. They believe that the disease is now having an impact on Fred’s short-term memory function Fred worked as a weigher at C. H. Johnson on Bradnor road on the Sharston industrial estate in my constituency. In 1980, he was given a choice by his consultant: he could carry on working and face possible death within a year or retire and live longer. Fred was 31 years of age when he faced that choice. The choice was made more complicated by the fact that he and Eleanor were raising two small children. His income went from a respectable £145 a week to £45 in state benefit With hardly any clotting agent left, Fred now receives prophylactic treatment every other day, in the form of 1,500 units of factor VIII. It is not just the victims of this injustice that suffer; it is often their carers as well. Eleanor was unable to return to work after the kids fled the nest, because hepatitis C is an unpredictable disease. Fred can be fine at 8 am but have a bleed half an hour later and have to go back to bed. Eleanor has to dress his wounds, as well as doing the cooking and cleaning. She has felt unemployable for a numbers of years because of her home care duties Fred and Eleanor now have to deal with the Caxton Foundation. May I make this promise to the House? If I am ever fortunate enough to stand at either of those Dispatch Boxes, I will never hide behind the fact that we have set up a third-party organisation to pass the buck to. We should accept responsibility here in this House; this is where the buck should stop. Eleanor has described the Caxton Foundation to me as a sheer and utter waste of time; she feels as though she is begging when claiming. The system does not allow a retrospective claim. She put in for a respite holiday, but it did not come through, so she missed her holiday slot. Other issues have been identified. There are no separate forms for carers to apply for their own grants, and winter fuel payments are counted as income. The stress has ruined the lives of many carers of those who suffer from this condition I want to talk about some of the organisers. I mentioned Peter Mossman earlier. He is 71 years old, and he has a 5% clotting factor. He was a woodcutter, a machinist and a professional driver with Goodwin’s coaches in Manchester. Like Fred, he too faced the choice between giving up work and carrying on. He gave up work when he was 42. He has searched high and low for answers on the disease. His kids have only ever known him fighting. Working with Alf Morris, he set up the Manor House support group, and I pay tribute to him and Alf for that. He lost his sister, Margaret, recently. She was an affected carrier, and she died at the age of 63, her liver ravaged These campaigners believe that there should be no differentiation between stages 1 and 2 when it comes to payments. As has been mentioned, we are one of the few countries not to have adequately compensated the victims. There should be a decent one-off payment with subsequent annual payments.
ParlaMint-GB_2015-01-15-commons.u297	A constituent of mine has also raised this point. Does the hon. Gentleman not find it odd that, as a result of this failure by the Government, the victims have to apply for a discretionary payment and that there is no substantial up-front payment? There seems to be a complete imbalance between right and wrong.
ParlaMint-GB_2015-01-15-commons.u298	I agree with the hon. Gentleman Many of the victims have lost the will to fight. There should be greater anger there, but they cannot deal with that anger and fight at the same time. Fred, Eleanor and Peter tell me that they will fight until they die. They have seen their stock of affected friends die horribly, and they feel that that is all they have to look forward to. They believe that it is time to admit that we made a mistake, and to allow those people to get on with their lives. Hope is real. There is no such thing as false hope. There might be false science, and there might have been false starts, but hope is real for those people. We in this Chamber today should help them to reignite that hope.
ParlaMint-GB_2015-01-15-commons.u299	Today’s debate has been very well informed, and I pay tribute to my right hon. Friend the Member for North East Bedfordshire (Alistair Burt) for bringing it to the House. This is about justice, and justice delayed is justice denied. Justice that has been delayed for such a long time is really no justice at all It has been noted that we are coming up to the general election, and I know that the NHS will be on the front of many of our leaflets. Our political literature will talk about the NHS and what it means to us and to our families, and about our hopes for it and the amount of money that we hope to spend on it. I do not want contaminated blood to be a subject of debate only for today This is about the trust that we and our families put in the NHS, but that trust was broken many years ago for many families, including one that I want to talk about today. It is important to recognise that we expect the NHS to give us the best medical treatment and advice available at the time. Many Members have pointed out that that advice was often ignored or pushed under the carpet; it was covered up even though it was known about. That is simply not good enough. This tragedy has affected multiple members of many families. It has affected the quality of people’s lives and their aspirations over many years. People have described the situation to me as being forced by the state to join a club of whose existence they were unaware with rules that they did not understand, and being denied the ability to call it to account. People, including children, were unaware that they were being subjected—that is the right word—to treatment that was not in their best interests or appropriate for their condition. That failure by the state has been left to fester for too long, and it has left them with a legacy that is a disgrace and a stain on this House and on the NHS. Whoever is in the next Government, if they have used the term “NHS” on their leaflets, they must bear in mind that this debate today has joined the House in saying that we want better for those families I concur with what my right hon. Friend the Member for North East Bedfordshire said about reading out 1,800 names. In fact, we could read out the names of all the family members and carers involved. They are all victims; they have all lost a huge amount. We should not read out all those names, however, because many people do not want their names linked to the debate and made public. I am going to talk about my constituent, Nicola Enstone Jones. I asked her permission to use her name today, because I know that many people do not wish to have the stigma of being associated with all this, and with having to go cap in hand to get their rights recognised. I should like to give the House a flavour of some of the hardships that Nicola’s family have had to endure, and of the unfairness of a system that has no transparency Like many other Members, I have campaigned for Equitable Life victims. We have had many strong debates in the House about whether people’s estates should be included when the compensation payments were being made and about coming up with fair formulas. I have not heard the same zeal applied to this subject, although this is about people losing their lives, not their livelihoods. This is about people losing their hopes and dreams—just as the Equitable Life people did—but often losing them at a very young age I want to give Nicola’s story a brief airing today. It mirrors many of the stories that we have heard today, and it is important that we record as many of them as possible, because they show the unfairness, the anomalies and the degree to which families have to scrape to get a degree of justice. We have heard mention of very young children being affected, and Nicola was diagnosed with haemophilia at the age of seven or eight. In 1978 and 1979, she had tooth extractions—not exactly a hazardous thing—and treatment for a broken arm. In 1980, after a tonsillectomy, this young child was given factor VIII. It was by then known to be contaminated. Since that very day, her health has deteriorated, with symptoms associated with hepatitis C. Despite her mother’s concerns, she was told at the time that her daughter’s problems were psychological. Things were covered up. Throughout the years she continued to receive factor VIII for other operations and her health was always poor Over the years Nicola has lobbied me, as other hon. Members have been lobbied. When the Skipton Fund was announced, she was told that she could apply, but because in 1997 a consultant had stated that the virus had cleared, 17 years after she had been infected, she suddenly did not seem to meet the criteria. She has been turned down “on the balance of probabilities” by the Skipton Fund because her condition had been cleared for six months. Her mother, Mrs Enstone Jones, lived with that all those years, but because of a brief period when the virus was thought to have cleared, Nicola did not meet the criteria. She has been let down by the Skipton fund The report which has been mentioned so many times in the Chamber today stressed that the fund—the “third arm”, as I think it was called by the hon. Member for Wythenshawe and Sale East (Mike Kane), whose predecessor, Paul Goggins, worked tirelessly on the issue—is creating a barrier to justice, not facilitating justice. We must have a better system so that people do not feel that they have to jump through hoops, justify themselves, or make early applications in order to be able to go on holiday or get essential funding. The funds set up to deal with the issue are not dealing with it and, if anything, are trying to avoid dealing with it if they can and keep money back We do not wish to save the state money because, as the right hon. Member for Cardiff Central (Jenny Willott) said, we are speaking about a relatively small number of people. Let us get the matter sorted. Let us put in place a fair system. Let us make sure that all the other Enstone Joneses and all the other names that we cannot mention today for reasons of privacy do not feel that they have somebody acting against them, instead of acting for them. If nothing else comes of the debate in the House today, we should remember not just the NHS, but what the NHS means to those affected and their families. They trusted their health to the NHS many years ago, and the issue is as relevant today as it was then. Any of us who campaigns on the NHS in a few months’ time should remember that and pledge to do something about it if they are part of the next Government.
ParlaMint-GB_2015-01-15-commons.u300	I apologise for my cold, but I promised my constituent, John Prior from Moodiesburn, this morning that I would seek to put on record a very controversial letter—some would say a lengthy letter—which he sent to me and which I thought I should share with the House Before doing that, I congratulate the all-party group on its comprehensive report and the right hon. Member for North East Bedfordshire (Alistair Burt) on the way in which he introduced the debate and on the work that he is doing. I welcome the other speeches that we have heard, including the one from my hon. Friend the Member for Kingston upon Hull North (Diana Johnson) I turn to the letter from my constituent, a voice that I think should be heard. John Prior said this: “I was told aged 20 in 1994 that I had chronic hepatitis C by my haemophilia consultant at the Glasgow Royal Infirmary. I had been given contaminated blood as a child at Yorkhill children’s hospital in Glasgow The blood was donated from pooled donations of thousands of donors including prisoners in US jails. The haemophilia doctor told me I would eventually need a liver transplant but did not know when. He said it could be 3 months, 3 years or 30 years. I was in complete shock, myself and my family thought I had AIDS. It’s been like living on death row not knowing when I would need a liver transplant To my horror, my GP wrote to my employer and told them I had hepatitis C and did not expect me to work for more than 7 years due to my infection. The letter was dated one year before I was told I had hepatitis C, so my work knew about my infection before myself As an adult I kept my hepatitis C status to myself and close friends and family. I never told my colleagues. I only told one of my bosses as I was struggling in work, I couldn’t concentrate and kept nodding off at my desk. He’s been very supportive and lets me do menial jobs that don’t require much thought. My sick record at work is horrendous and I’m lucky to still have a job Relationships were virtually impossible for me as I felt worthless and frightened I would infect someone. I could not get a mortgage, and life insurance and travel insurance are prohibitive My treatment at one stage was 20 tablets a day and 2 injections a week into my stomach which I did myself for 6 months. It was a horrific experience and I felt I just wanted to die. At one point the nurse took blood from me for part of a study into why people with hepatitis C are dying at different rates. She told me she was surprised I was not taking anti-depressants My liver consultant applied to Skipton for the stage 2 payment but my application was rejected because I had not reached the ‘crisis’ point. How can a charity ignore the recommendations of a liver consultant? My experience with Caxton was just as bad. It would take numerous emails and phone calls to get in contact with them. I felt like I was begging the way, they treated me, they insisted I provide a letter from my consultant to confirm I was on treatment. It was I who had to run around seriously ill arranging everything for Caxton. I will never contact Caxton again. These charities are not fit for purpose” My constituent goes on to make other comments which I think it best not to repeat. His letter goes on to say: “Over 80% of victims do not receive any ongoing financial help from Skipton yet we are ill.” He concludes: “After all that’s happened to myself I will have to be reassessed by the DWP for my entitlement to DLA which I use for my Motability car. I was originally awarded DLA for life 24 years ago. I am worried sick that I will lose my car as I need it to get me to work/hospital appointments. Does my Government expect me to take infected dirty syringes onto a bus? My health will only deteriorate. There is no cure for severe haemophilia. Government policy gave me hepatitis C yet they want to reassess me for DLA.” That took some time, but I do not apologise. It is right that people who have had such experience should have their voices heard I referred earlier to legislation. So complex are the issues and so long have they gone on that legislation is necessary. I attempted to carry through this House the Alf Morris Bill which had made its way through the House of Lords. Unfortunately, we ran out of time. In March last year I succeeded in introducing a ten-minute rule Bill, which went a little further than the report. For example, it included the need for an NHS compensation card, which would lead to priority treatment. Following that, I had a meeting with the then Leader of the House, where it was made clear to me that time would not be made available. I am not sure that he shared the sense of urgency that I tried to impart I believe profoundly that an apology, important though it is, is not enough. Compensation is appropriate. There ought to be closer working between the DWP and the NHS. We have many lessons to learn from Ireland and elsewhere. I acknowledge those who have worked so very hard on this issue, especially Lord Morris, whom we remember with great affection today. We owe it to them to deliver.
ParlaMint-GB_2015-01-15-commons.u301	In supporting this motion, I congratulate my right hon. Friend the Member for North East Bedfordshire (Alistair Burt) on securing this important debate. I praise him and the all-party group on haemophilia and contaminated blood for leading their campaigns to ensure that those infected by contaminated blood in the 1970s and 1980s, and their families, receive the support and justice they deserve. It is justice for which they have waited far too long. We often hear in this House the statement, “Justice delayed is justice denied”, but it is rarely so apt as in this case Like many Members here today, I was first alerted to this terrible situation by a constituent. My constituent’s father had been jointly infected by hepatitis C and HIV via contaminated blood products. My constituent told me: “My father lost his battle with these joint diseases on the 17 January 2000, after 19 years of suffering…His story is a long one with distressing details.” I do not propose to go into those details, but I will say that it is a heartbreaking, twisted tragedy that my constituent’s father could go to hospital to receive treatment to help with haemophilia and yet it would be that very treatment that would kill him, having caused him 19 years of suffering. It is a tragedy for that man and for his whole family, one similarly suffered by nearly 5,000 people in 5,000 families, so many of them going to our own national health service hospitals to be treated but receiving what would turn out to be lethal injections If proper support and a proper inquiry had been provided in 2000, it would, even then, have been tragically too late for my constituent’s father. This Saturday will mark 15 years since he passed away, and here we are still—in 2015—with no proper inquiry, unsatisfactory support for survivors, unsatisfactory support for families, inadequate compensation provision and, not least, no apology. Not only is this tragedy heartbreaking, but it is a double tragedy and a double scandal. The first is that anyone—let alone 5,000 people—was infected through contaminated blood. The second is that decades later— 24 years after my constituent’s father was contaminated and 15 years after his death—we find that my constituent and his family, and so many others like them, still have received no satisfactory response or justice. That must change. It is nothing less than appalling that successive Governments have failed to address this issue: a situation caused by a failure in our NHS provision My constituent’s letter continued by saying that “it is the survivors and the widows who most need help now, and those who have died need a voice. The largest tragedy of this is that unlike other countries, there has never been a public inquiry.” As a member of the Select Committee on International Development, it is my privilege to travel the world, and wherever I go I hear people admiring the high standards of our country’s justice system, rule of law and provision of access to justice. This country is respected globally for those things, yet it is a terrible stain on our reputation, of which we should feel ashamed and embarrassed, that we have failed as a nation, by such a long way and over such a long time, to adhere to those high standards of justice expected by our constituents, and which they deserve What now needs to be done is clear, thanks to the work of my right hon. Friend the Member for North East Bedfordshire and the all-party group, who have identified the main priorities of those who suffered from these situations and their relatives. The priorities are reasonable, just, possible, necessary and, above all, urgent, because, as we have been reminded today, justice delayed is justice denied—indeed, it is no justice at all. Let us hope that today’s debate signals the beginning of the end of this terrible scandal. In closing, may I apologise for the fact that I may miss the wind-ups, because I am shortly hoping to speak in another debate?
ParlaMint-GB_2015-01-15-commons.u302	Like other Members, it is appropriate that I should pay tribute to the right hon. Member for North East Bedfordshire (Alistair Burt) and the hon. Member for Colne Valley (Jason McCartney), who secured today’s debate, and, most of all, to my hon. Friend the Member for Kingston upon Hull North (Diana Johnson), who has been responsible for getting the all-party group report out earlier this month. While we support and congratulate each other, we have to remember that the real victims in all this are those who have been infected and suffered this terrible disaster and tragedy, which has now been with us for more than 30 years. It is unique in one way, in that it is, alone in the health field, the fault of successive Governments. In no sense is this a party political debate, and the tone of today’s debate is a great credit to the Members who have taken part. It shows the growing awareness throughout the House and, I hope the civil service, too, of the seriousness of what took place all those years ago and the extent of our maladministration—let me put no finer point on it—in the handling of it since then The wide geographical spread of constituencies represented today is a testimony to the impact that this issue has had throughout the country. It has been pleasing to see two new Labour Members, my hon. Friends the Members for Wythenshawe and Sale East (Mike Kane) and for Heywood and Middleton (Liz McInnes), who have clearly taken on the role of successor MPs in the campaigning sense to their predecessors. My hon. Friend the Member for Wythenshawe and Sale East has already spoken to great effect, and he follows in the footsteps of Lord Morris and Paul Goggins, both of whom campaigned with us very effectively. Sadly, however, we have not really been successful yet. One point I wish to make to the new Members in the House is that they should not think we are starting all over again, because we are really at the end of this campaign now and they will, I hope, see the—I was going to say fruits, but there are none to reap here—thing brought to some sort of satisfactory conclusion, after all this time.
ParlaMint-GB_2015-01-15-commons.u303	I thank my hon. Friend for his kind comments and I wish to pay tribute to the tireless work of the late Jim Dobbin on this campaign. Let me add that I have been contacted by two constituents who praised the work that Jim had done and asked me specifically to attend this debate. They do not want their names to be made public, but they wanted me to be here and to take in what was said, and I will be meeting my constituents afterwards.
