ParlaMint-GB_2015-03-24-commons.u1	1. What progress he has made on the Northern Futures project; and if he will make a statement.
ParlaMint-GB_2015-03-24-commons.u323	It is a pleasure to speak at the final stage of this important Bill. I shall of course speak about the pubs code. I am delighted that there is a string of amendments from the other place which I and my colleagues on the all-party parliamentary save the pub group and the Fair Deal for Your Local campaign can support and welcome I thank all Members from all parts of the House who voted for the market rent only option on 18 November 2014, which will go down as a historic day for the British pub. I thank the hon. Member for Chesterfield (Toby Perkins) for bringing his side firmly behind that proposal. I especially thank the Government Members who had the courage to defy their Whip in what was the only defeat of the Government Whip in this Parliament I warmly welcomed it when the Government said that they would accept the will of the House. However, as most right hon. and hon. Members know, it appeared that that would not to be the case a few weeks ago. I and others expressed concern when, at the Grand Committee stage in the House of Lords, we no longer had a workable market rent only option that would definitely be introduced at a certain trigger point. We had to get that back into the Bill and we did I thank my right hon. Friend the Secretary of State for Business, Innovation and Skills, the Under-Secretary of State for Business, Innovation and Skills, my hon. Friend the Member for East Dunbartonshire (Jo Swinson), and all the other Ministers, including the Minister for Business and Enterprise. I thank the whole team who have worked on this issue. It has been a challenge for all of them to balance the different views. In the end, they have achieved that. They have achieved something remarkable: a proposal that people accept will be the future of the tied pub sector I must express a few notes of concern because this is not the end of the matter. I was not sure whether to raise a pint this evening or next week when the Bill has gained Royal Assent, so I have decided to do both. This is not the end of the matter, because we still have the passage of the statutory instruments and the consultation over the pubs code, which will take a year. I and others will certainly be engaged in that. We understand and support the principle, but we must get it right Let me say firmly that there must not be any watering down of the fundamental principle in the Bill—[Interruption.] As the hon. Member for Hartlepool (Mr Wright) said, that would be as disgraceful as watering down the beer, and just as illegal. We must ensure that that principle is honoured, whoever is in government after the election—a question that none of us can answer at the moment I wish to say quite forcefully that we must not be fooled by the idea that somehow the beer orders were the problem; it was the watering down of the beer orders as a result of industry lobbying that led to the tragedy and disaster of the beer orders. That watering down happened in the House of Lords, and I am delighted that this time we have collectively managed to stop it. It was precisely that watering down, with large companies saying, “Okay, well you’re going to legislate the beer orders, but give us that loophole and allow us to have that freedom if we don’t brew beer”, which led to the problem, although I believe we have avoided it this time. A number of changes have been made to the clause, but it does not apply to all tenants of large companies as we intended it to. If someone exercises their right to take the market rent only option, they suddenly exclude themselves from any protection under the code, which seems strange and perverse. Despite all the sound and fury, the market rent option is only the right to an independent rent assessment on a free-of-tie basis, and the right to pay that. There is no logic in saying that it should apply only to tied or part-tied tenants, and not to any tenant who believes that they may be being exploited at their rent review The loopholes in the beer orders are the problem, and an obvious loophole—a new vehicle for some of the large, less scrupulous companies to exploit—allows companies to have excessive rental only agreements and excessive costs for insurance. There is an insurance scam in parts of the industry whereby people are forced to pay considerably more for insurance to their pub-owning company, even on a free-of-tie basis, than they would if they got insurance on the open market. The Government must be aware of that Clearly we would have liked the sale of a pub to be a trigger, but I welcome the fact that the Government have sought to deal with the issue. We shall look further at the detail of the measure because there is a problem with companies, including developers, buying pubs and using the terms of tied agreements to force people out of those pubs so that they can get vacant possession and develop a site. There is a danger that large companies will seek to use the loophole to put themselves deliberately into administration, restructure and form smaller companies that would come under the limit, and then carry on business as usual Investment is clearly a big issue, and I have had helpful and sensible discussions with Heineken, Greene King and Marston’s—all sustainable companies that will continue to survive and thrive. As I have made clear, it was never our intention to stop or discourage investment in pubs, and one of the biggest problems of the tied pubco model was the grotesque lack of investment—those scruffy pubs with the threadbare carpets that people could tell were Punch Taverns or Enterprise Inns pubs. Investment was left to the tenants, but they were not able to invest anything in their pub. James Baer of Amber Taverns said that the large companies were walking around with as much debt as Lance Armstrong had dope in his arm, and that that was one of the biggest problems in the pub sector—stopping investment in pubs The intention behind our clause was always that if two partners agreed an investment, there would be a new rent and therefore no need for a rent review for another five years. We must avoid any sense that the market rent only option can or will be waived for investment that happens before a tenant signs an agreement, or signs up to one during a tenancy at will. Often the previous tenant asked for that investment but it was refused, even if it should have been made anyway to keep the pub in a fit state to let in the first place. That is not the kind of investment we should be talking about.
ParlaMint-GB_2015-03-24-commons.u324	I shall not linger long on this matter, although it has been very complicated and at times the debate has been robust. This is a victory for Parliament. The Bill has been properly contested and thoroughly debated, and the outcome is impressive. I want to signal my support for the amendments today and for the overall direction of the debate During the passage of the Bill there were times when we disagreed, but those disagreements were based on a deep belief that we had to get it right. Overall, that is what has happened. I take on board the points relating to the code and to delegated legislation. It is absolutely right that more thinking will need to be done. Fundamentally, however, the direction of travel is now correct. Some of my concerns have been responded to properly by the House of Lords, which is absolutely fabulous. I think that anyone watching this debate will have been impressed by the way in which the two Houses have worked together to deal with this complicated Bill. They have produced an outcome that is good for the pub industry, good for the brewing industry and good for our communities and our pubs Ultimately, we want successful pubs and successful breweries. I want pubs in my constituency to continue to thrive and for brewers to feel confident about opportunities in the marketplace in the years ahead. Small brewers need to be supported and promoted. The changes made to the Bill in the past few months will do exactly that. I therefore have great pleasure in signalling my support for the Bill today.
ParlaMint-GB_2015-03-24-commons.u325	With the leave of the House, I wish to respond briefly to the debate and thank hon. Members for their contributions. The hon. Member for Chesterfield (Toby Perkins) was kind. As others have said, this is an example of where the Government have listened, Parliament has spoken and we have worked genuinely with stakeholders and people from all parties to come to the right outcome Some outstanding concerns have been raised. The hon. Gentleman asked whether the investment waiver would end up being too broad for too little investment, and obviously it is important that we consult to get those details right. He also sought clarity as to whether the principles laid out would be upheld. The Minister for Business and Enterprise made the Conservative position clear in an intervention, and I am happy to confirm that the Liberal Democrats stand behind these principles. I hope that the consensus across the three main parties on those principles will give the industry and tenants some welcome confidence, certainty and reassurance My hon. Friend the Member for Burton (Andrew Griffiths) was concerned about potential unintended consequences, and my hon. Friend the Member for Leeds North West (Greg Mulholland) about some of the issues still to be discussed when we come to the secondary legislation. It is right that these matters be discussed properly during the secondary legislation phase and that we get them right. The long string of amendments to which my hon. Friend the Member for Leeds North West referred is testimony to the challenge of the detail we had to go into to get the issues right, and in that connection I would like to put on record my thanks to the officials who have worked tirelessly on this—not one of the more straightforward policy areas in the Department—over the last few months. I owe them a great deal of thanks for the wonderful job they have done There are issues still to be wrangled over come the secondary legislation stage, but I do not know whether I will be the Minister or if somebody else will have the great joy of steering that through the House. These are debates for another day. Today we should just be pleased with the proposed primary legislation before us Lords amendment 34 agreed to. Lords amendments 35 to 62, 86, 132 and 136 to 141 agreed to. Clause 3 Companies: duty to publish report on payment practices
ParlaMint-GB_2015-03-24-commons.u326	I beg to move, That this House agrees with Lords amendment 1.
ParlaMint-GB_2015-03-24-commons.u327	With this it will be convenient to take Lords amendments 2 to 33, 63 to 85, 87 to 131, 133 to 135 and 142 to 193.
ParlaMint-GB_2015-03-24-commons.u328	With only a few days remaining in this Parliament, the Government continue to work tirelessly to make the UK the best place in the world to start and grow a business. We are proud of our record over this Parliament, including the 760,000 extra businesses, the 2.2 million extra jobs that business has created and the rising pay that has benefited millions. This has been possible only because of our unstinting and unambiguous support for businesses. Last week’s Budget built on this record with a fundamental review of business rates, and last week we set out our intentions for using the new prompt payment transparency powers. The Bill takes this commitment to support small business further. It is the first ever small business Bill and I hope will shortly become the first ever small business Act In the other place, the Bill was, as we would expect, subjected to careful and robust scrutiny, and I am grateful to Baroness Neville-Rolfe for ably steering it through the other place, where it was enhanced and improved. As part of that, several amendments were made, both substantive and technical. The Government supported all the successful amendments, and I hope that the House will agree them today. I shall go through each in turn, beginning with late payment. The Bill takes unprecedented steps to tackle late payment, so understandably the matter was debated in detail in this House and the other place. Late payment is a major issue for businesses large and small, and we are taking steps in the Bill and elsewhere to bring an end to the UK’s late payment culture once and for all Transparency has a pivotal role to play. Clause 3 introduces a tough new prompt payment reporting requirement for the UK’s largest companies. In the other place, this clause was further strengthened by amendments 1 to 3, which insert a reference to performance on the face of the Bill and make express reference to late payment interest as an example of the type of information that will be included in the report. Beyond the Bill, we have strengthened the prompt payment code with our announcement last month that 30-day payment terms will be the norm of acceptable behaviour, with 60 days as the maximum in all but exceptional circumstances. The public sector will play its part, as 30-day terms are now legally required right down the public sector supply chain The transparency measures in the Bill will shine a light on poor payment practices and make a company’s payment terms a reputational boardroom issue. We will drive a culture change to redress the current economic imbalance of power between large companies and their suppliers. The amendments under consideration today will help to ensure suppliers are fairly compensated. We are determined to make 30-day terms the norm and 60 days the maximum acceptable payment terms. With this Bill, we will make unacceptable late payment a thing of the past.
ParlaMint-GB_2015-03-24-commons.u329	I very much welcome what the Minister said and I welcome the clause. When I was running a small business of my own, late payments bedevilled the business, and it was always the larger companies that were responsible for it. I am very glad that this amendment is being made.
ParlaMint-GB_2015-03-24-commons.u330	I am grateful for that intervention. I, too, have personal experience of poor payment performance having a massive impact on the businesses I worked in. Frankly, the late payment culture is a problem with our contract law. Good contract law means good payment against a contract. I think these transparency measures will have a significant impact, changing prompt payment from being an issue for finance directors to being an issue for the board. Through these transparency measures, we will not allow it to be deemed reasonable to pay late. I think that 60 days as a maximum and 30 days as a norm is a perfectly reasonable place to settle.
ParlaMint-GB_2015-03-24-commons.u331	I fear that the Minister is rather over-selling the measures he proposes, welcome though they are. When he says that 30 days will be the norm and 60 days the exception and nothing beyond it, will he make clear what happens when businesses do not pay within that time frame? What sanctions will they face under this new regime?
ParlaMint-GB_2015-03-24-commons.u332	There are already sanctions under EU law relating to interest payments, but the transparency measures will crucially mean that we can have league tables of payment performance. The transparency in this area, alongside the public sector payment practices, will change the culture. We considered and debated in detail going further in changing contract law, but a contract is signed up to by both sides, and no practical amendment was put down to make it more binding than the existing law, which already says that 60 days should be the maximum unless both sides agree to it. Any contract, of course, has to be agreed to by both sides. It is a matter of finding a way to make this practical in law Part 2 deals with regulatory reform, and the Bill brings forward significant measures to reduce the burden of regulation. The small business appeals champion will ensure that small businesses’ concerns about regulators are heard. There was extensive debate in the other place on whether the Equality and Human Rights Commission should be excluded from these measures We have always maintained that the EHRC should not be subject to the duty to appoint a champion and had originally considered that an exemption in secondary legislation would be sufficient. Concerns were expressed, however, that this might put at risk the EHRC’s “A” status as a national human rights institution. In the light of those concerns, we agreed to eliminate this potential risk by excluding the EHRC from scope of the duty on the face of the Bill On the business impact target, the other place questioned the definition of voluntary and community bodies in clause 27. The Government listened to this concern and amendment 28 simplifies the definition by removing the minimum membership threshold for certain smaller unincorporated associations. It also ensures that such bodies are not excluded from the proposed definitions of small and micro businesses later in the Bill by virtue of the size of their membership. Those are relatively technical changes. The principle of a business impact target to ensure that in future Governments are transparent—as this Government have been—about the impact of their overall regulatory approach on the burdens of business was well supported, and is made clear in the Bill.
ParlaMint-GB_2015-03-24-commons.u333	The Minister questioned whether the amendments will have the support of the Opposition. They will do, of course; we proposed a good deal of them, so it would be rather foolish for us not to be supporting them at this stage. He is right to say the Bill arrives back in this House in stronger order than it left it. It looks far more like the kind of small business Bill I was talking about back in July 2014 when I said the Government ought to be taking far greater steps, and I agree with the Minister that the Bill is improved We said steps needed to be taken to strengthen enforcement of the compensatory award in employment tribunal cases. We are pleased that the Government have today announced a naming and shaming programme that will ensure exposure of businesses that do not pay compensatory awards identified by a tribunal. We said that insolvency creditors meetings were an important part of our world-class regime and we are glad the Government accepted our amendment on that. We are glad, too, that the Government decided to exempt the Equality and Human Rights Commission from the work of the small business appeals champion—although not from the growth duty section of the Deregulation Bill, as we called for at the time. On late payment as well, we have been saying for a long time that stronger action was needed. I am therefore bound to say that the fact that these are issues Her Majesty’s Opposition have been raising, from abuse of zero-hours contracts to late payments to small firms, and from non-payment of the national minimum wage to supplier pay and stay deals—an area of pub company legislation we have already discussed—shows that it is the Opposition who have been leading the way, and the Government have been following us reluctantly It rather undermines the charge that Labour is anti-business when the Government keep taking action in so many of the ways we have called for. I know the Government have form in this regard; they used to suggest UKIP was mad before they adopted its No. 1 policy. However, we support the principle that the Government should be willing to listen and take action where they have got things wrong, and we think the Bill before us today is a good deal stronger as a result of that. I want to take up the Minister’s challenge on late payments. As I said in my intervention, he is overplaying his hand when he suggests that the measures brought forward, welcome though they are, signal the end of egregious late payment practices. The steps the Minister has taken on the public sector are welcome. Particularly at the time of the bank-induced global economic crisis, the previous Labour Government took significant steps to ensure that the public sector paid on time and this is putting that on to a more permanent footing, which is a positive step. However, the Minister suggested that the transparency he is introducing will create a reputational risk that means businesses and boardrooms around the country will think carefully before paying late. While the way this is going to be marketed will be different, many of the transparency measures proposed here are currently available if people choose to look. There has been no reputational risk for many of the companies that have operated in that way In response to what the Minister said a few minutes ago, the truth is that no new sanctions have been proposed. He said that businesses could avail themselves of the sanctions in the EU late payment directive, but they have been able to do that for several years. If a major business chooses to say, “We’ll supply you, but our terms are 90 days”, a small business will have the choice of whether to deal with it on those terms or not at all. That means that nothing has changed, and we are still in exactly the same position The steps that the Government are proposing on late payment are fine, as far as they go, but this is a missed opportunity. I am willing to predict that, in the next Parliament, we will not consider this issue to have been dealt with and that, at some point in the next four or five years, we will all be back here discussing late payment again and saying that something must be done, that we must change the culture, that we need to get across to businesses that late payments are unacceptable, and that we need greater transparency so that small businesses know what they are letting themselves in for. My right hon. Friend the Member for Doncaster North (Edward Miliband) stated powerfully at the Federation of Small Businesses conference last week that late payments are one of the great scandals in our economy. Small businesses are disadvantaged by the practice, and more should have been done Clause 3 initially created a duty for companies to publish only their payment policies. We have consistently argued that publishing policies is not enough and that small businesses also need concrete information on the performance in practice, and not just what is written in a policy book. We tabled amendments in Committee in the Commons and on Report in the Lords that would have created a compulsory reporting regime to ensure that large companies’ reporting records would be open to quarterly scrutiny with automatic interest paid for late payment. The Government voted down our proposals on both occasions. The Minister said a few minutes ago that no practicable proposals had been tabled in this regard, but that is not true. We tabled specific proposals that would have put the late payment directive on a statutory footing. He might have decided that he did not want to support our proposals, but it is not true to say that they did not exist. However, we are pleased that the Government have made some concessions and accepted our fundamental argument that information on performance, as well as policies, must be published. This will allow large companies to be judged by their deeds, not just by their words. However, we believe that there should be a financial backstop, such as an automatic interest payment or a fines regime, as outlined in our proposals. So it remains to be seen how effective the Bill will be. It is stronger as a result of the interventions by the Labour Opposition but more could have been done and, regrettably, we will have to return to this issue in the next Parliament The Bill establishes small business appeals champions, whose role will be to watch non-economic Government regulators and encourage them to improve the impact on business of their policies, their processes and their approach on appeals and complaints. In broad terms we welcome this idea, but many bodies have questioned how the champions will work in practice and what relationship they will have with the general growth duty in the Deregulation Bill. We welcome the fact that the Government have taken up our argument that the guidance to the small business appeals champions in relation to the exercise of their functions should be laid before Parliament for full scrutiny and debate On Lords amendment 25, we are pleased that the Government have acceded to our demand that the Equality and Human Rights Commission be excluded from any of the regulatory provisions in the Bill. This will relate specifically to the work of the small business appeals champions On the subject of creditor meetings, I should like to draw to the attention of the House the donation made to my office of employment support from R3, the insolvency regulator. The intention of the original Bill was to end once and for all the practice of insolvency practitioners holding physical creditor meetings in all types of insolvency procedures. We felt that that was a mistake and that it could disengage creditors and weaken the strength of the world-leading insolvency regime that we have here in the UK. We very much welcome the fact that the Government have listened to some of the specific proposals we made on ensuring that the threshold for a creditors meeting should be changed to “(a) 10% in value of the creditors; (b) 10% in number of the creditors; (c) 10 creditors.” We think that is a much stronger amendment, providing the support that that industry needs to ensure that it continues to provide a service that gets record amounts of money back to creditors and is also successful in saving jobs and businesses.
ParlaMint-GB_2015-03-24-commons.u334	I beg to move, That this House approves, for the purposes of section 5 of the European Communities (Amendment) Act 1993, the Government’s assessment as set out in Budget 2015 and Autumn Statement 2014, combined with the Office for Budget Responsibility’s Economic and Fiscal Outlook (2015) and Fiscal Sustainability Report (2014), which forms the basis of the United Kingdom’s Convergence Programme As in previous years, the Government inform the Commission of the UK’s economic and budgetary position in line with our commitments under the EU’s stability and growth pact. The Government plan to submit their convergence programme, with the approval of both Houses. The convergence programme explains the Government’s medium-term fiscal policies, as set out in the 2014 autumn statement and Budget 2015, and also includes the Office for Budget Responsibility forecasts. As such, it is based entirely on previously published documents that have been presented to Parliament With the Budget on 18 March this year, and the debate much earlier than normal because of the electoral timetable, I appreciate that the time to prepare for this debate has been particularly tight. Against that backdrop the Treasury has made every effort to provide early copies of the convergence programme document in advance of the debate today. The document makes it clear that since 2010 the Government’s long-term economic plan has delivered the stability and security needed to build a resilient economy: the UK had the fastest growth among G7 economies in 2014; employment has reached its highest ever level; and inflation—the consumer prices index—is at a record low. Debt as a share of GDP is now forecast to start falling in 2015-16, meeting the debt target set out in 2010 There are differing views on the value of submitting that information to the Commission. To be clear, as a result of the UK’s opt out from the single currency, no sanctions can be imposed on the UK as part of this process. The UK’s record is a good one, and there is some value in sharing the UK experience across Europe and demonstrating that there is no conflict between central fiscal consolidation on the one hand and robust economic growth on the other Last week’s Budget set out the Government’s assessment of the UK’s medium-term economic and budgetary position. GDP grew 2.6% in 2014, which is the strongest annual growth since 2007 and the fastest in the G7. Debt is forecast to fall as a share of GDP in 2015-16, meeting the debt target set out by the Government in 2010. Borrowing is forecast to be lower in every year to 2018-19 than at autumn statement 2014, and the public finances are forecast to achieve a larger surplus in 2018-19. Falling debt and improving borrowing mean that consolidation can end a year earlier than planned, and that spending will grow in line with GDP in 2019-20. Budget 2015 builds on existing reforms to create a dynamic, regionally balanced and stronger economy. Latest data show that employment is at its highest ever level, with 1.9 million more people in work since the current Government came to power. Business investment has increased by 25.6% since the first quarter of 2010, and the UK will have the joint lowest rate of corporation tax in the G20 from April 2015 Budget 2015 sets out a significant package of measures for a truly national recovery by investing in infrastructure, housing, and science and innovation across the whole of the UK, and building a northern powerhouse. Fuel duty will be frozen for another year. The Government will substantially reduce oil and gas taxes to improve competitiveness in the North sea. Further support for energy-intensive industries will begin in 2015-16. A comprehensive review of business rates has been launched, and there will be a radical simplification of the tax system by abolishing the annual tax return Restoring growth and competitiveness across the EU is critical. The euro area outlook is for slow, but positive growth, supported by lower oil prices and European Central Bank sovereign quantitative easing. The European Commission’s own forecasts from February this year predict growth in 2015 of just 1.7% in the EU as a whole, and 1.3% in the euro area. Some 45% of our exports are destined for the EU and seven of the UK’s top 10 trading partners are EU member states The UK recovery has been based on a number of policy responses: supportive monetary policy, clear and credible fiscal consolidation, and structural reform, all of which must mutually reinforce each other. Although the challenges across member states differ, countries across the EU need to consider a similar response, and these processes of European co-ordination, including the sharing of information through the shared reporting of fiscal and reform progress, can play a part in making that happen Much of the answer lies in national level reforms such as creating flexible labour markets. Clearly, the European semester has a key role to play in encouraging member states to make ambitious reform commitments, and the UK has an interest in making those reforms happen. However, an ambitious EU-level reform agenda is also a key part of the equation and an essential counterpart to national level reforms In conclusion, the Government are committed to ensuring that, in line with section 5 of the European Communities (Amendment) Act 1993, this House approves the economic and budgetary assessment that forms the basis of the convergence programme. Following the House’s approval of that assessment, the Government will submit the convergence programme to the European Commission, which is expected to make its recommendations to all EU member states in late May. Those recommendations will then be considered by ECOFIN council and agreed by Heads of State or Governments at the European Council The convergence programme explains the Government’s medium-term fiscal policies as set out in the 2014 autumn statement and Budget 2015, and also includes the Office for Budget Responsibility forecasts. As such it is based entirely on previously published documents that have been presented to Parliament. Unlike other member states, the UK does not submit its Budget to the Commission for approval, and cannot be subject to any action or sanctions as a result of its commitments under the stability and growth pact. I look forward to the debate.
ParlaMint-GB_2015-03-24-commons.u335	I am grateful for the opportunity to respond to the motion on behalf of the Opposition. Looking back over the corresponding debate last year, I was interested to see that the Minister’s predecessor, the right hon. Member for Loughborough (Nicky Morgan), told the House that, due to the tight timetable, “the Treasury has made every effort to provide early copies of the convergence programme document in advance of today’s debate.”—[Official Report, 30 April 2014; Vol. 579, c. 851.] I acknowledge that today the Financial Secretary indicated the difficulties in providing the document in a timely fashion. I received a copy only on Friday. At more than 250 pages long, it was perhaps not ideal, but it certainly made for interesting weekend reading.
ParlaMint-GB_2015-03-24-commons.u336	Does the hon. Lady recognise that many of those pages were familiar, having been in the Budget documents? No doubt, by Friday, she had already read and digested all the Budget documentation.
ParlaMint-GB_2015-03-24-commons.u337	I was just about to say that I know the Minister is courteous and accommodating, so I understand that the delay might have been unavoidable. As he quite often does, he has anticipated a number of the questions and points I intended to raise—indeed, the whole thrust of my remarks is just how familiar some of the documents and the issues they cover are, given that they have been discussed already and are likely to be debated again tomorrow. I hope to be able to do the subject justice this afternoon Some things have changed since last year. Looking across the Chamber, I see that, unlike last time, the hon. Member for North East Somerset (Jacob Rees-Mogg) is not in his customary place. I know what a keen interest he normally takes in European matters, having had the pleasure of his company in many European Committees, including one only this morning. As the Minister last year observed, the hon. Gentleman “could go on for hours and hours on that particular subject.” —[Official Report, 30 April 2014; Vol. 579, c. 854.] Given his absence from the Chamber this afternoon, the debate might be shorter than was anticipated As the Financial Secretary observed, once again we have been provided with a barrage of figures, accompanied by bouts of backslapping, boasts and congratulations from the Government to themselves. The overarching theme of the document is to show just how well the Government have done—and, no doubt, the Government would say that is entirely in order from their perspective. However, the document—and to some extent this debate—is something of an exercise in repackaging. Bits of the Red Book and bits of the Office for Budget Responsibility’s “Economic and fiscal outlook” are spliced together with a new binding—a theme and variations on the Budget, except there is little theme and scant variation. Although the Government can try to repackage the Budget, I would argue that they cannot mask some of the problems we have already raised and the reality of the failure Part of me thinks that the Minister’s tune, like the Chancellor’s last week, strikes a pretty discordant note, because the truth is that, under even the mildest scrutiny, the Government’s economic credibility behaves like a sand castle in the waves, melting away before our eyes. Attempts have been made, through choice language and careful presentation, to obscure the impact that this Government have had, and continue to have, on the people and public services of this country. The theme that runs through the Red Book and the report we are discussing today is that everyone can put away their umbrella, because the sun is shining, people across the country are better off, and we should all be very grateful as we walk hand in hand into the sunlit uplands of peace and prosperity. [Hon. Members: “Hear, hear!”] I hear the cheers from the Government Benches. Hon. Members may wish to wait for the next part of my speech before further congratulating the Government. The picture is very different for the millions of people across the country who are still firmly mired in the slough of despond because of what has happened to their lives. For example, there are those who are £1,600 a year worse off since this Government took office, or those who are £1,100 a year worse off as a result of the tax and benefit changes made by this Government, including the rise in VAT. The hundreds and thousands of people across the country, including many in my constituency, who are forced to rely on food banks—a persistent and pernicious feature of Tory Britain—are not feeling the benefits of the recovery. For them the sun is not shining. They can see through the smoke and mirrors that the Government use to try to paint a glowing picture To judge only by the language and tone of the document in which the Government claim to have laid the foundations for a strong economy and a fairer society, one might be forgiven for thinking that the worst was over. In some ways that is the most troubling aspect, because we know that the worst is yet to come. The Chancellor may have shuffled the numbers around, but no shuffling can conceal the truth about the Government’s economic plans. As the OBR said, the Budget will mean “a much sharper squeeze on real spending in 2016-17 and 2017-18 than anything seen over the past five years”, and a “sharp acceleration in the pace of implied real cuts to day-to-day spending on public services” Perhaps I do not share the Chancellor’s or the Minister’s sunny disposition, or perhaps I am more in touch with the reality of the lives of people across the country. I do not see much fairness in the document before us or in the Government’s approach. The cuts of more than 5% planned for 2016-17 and 2017-18 are twice the size of any annual cuts in this Parliament. That has resulted in a somewhat erratic trajectory, described by the OBR as a “rollercoaster ride” of public spending. Remarkably, for all the cuts yet to come, the Government continue to repeat the tired mantra that “we are all in this together.” That is not borne out by the evidence. Wage growth has been stagnant over the course of the Parliament. Energy bills, on the other hand, have gone up by around £300 over the past five years. Although the Government boast of more jobs and high rates of employment, we have to consider what kind of jobs these are. Many are low paid. For evidence of that, one need look no further than the state of the nation’s tax receipts. Income tax receipts and national insurance contributions are £97 billion lower over the course of the Parliament than was forecast in 2010. Jobs are often insecure and uncertain, typified by the over-reliance on zero-hours contracts. Alongside the proliferation of insecure, low-paid jobs, the wealthiest have been handed a £3 billion tax cut, while the poorest have lost out disproportionately from the cuts to tax receipts and the increase in VAT.
ParlaMint-GB_2015-03-24-commons.u338	Will the hon. Lady give way?
ParlaMint-GB_2015-03-24-commons.u339	I will give way in a moment Labour has announced today that under no circumstances will we increase VAT in the next Parliament. Perhaps the hon. Gentleman is about to say something from his Government’s point of view. Perhaps he will give the same assurance.
ParlaMint-GB_2015-03-24-commons.u340	As the hon. Lady mentioned income tax, I was thinking of the millions of people taken out of tax and the 27 million people benefiting from the increases in the personal allowance, many of whom, in my constituency, are among the lowest paid. It is all very well to say that we are helping the rich, but we are helping the low paid even more.
ParlaMint-GB_2015-03-24-commons.u341	Under a Labour Government, there would be a new 10p starting rate for tax, and we would also reverse the tax cut for millionaires, which this Government gave and which by no stretch of the imagination can be seen to be fair. It is interesting that the hon. Gentleman did not mention VAT. I assume the Minister does not want to intervene at this point to give me an assurance that his Government would not raise VAT in the next Parliament It is worth looking back and considering that this is the first Parliament since the early 1920s in which the average person in work will be worse off at the end than they were at the beginning, and the poorest are worse off than the rest. Last week Paul Johnson of the Institute for Fiscal Studies spelt it out in language that I think everyone, including the Government, can understand: “Looking only at changes implemented by the coalition the poorest have seen the biggest proportionate losses.” That sounds pretty conclusive to me: the poor have lost the most The Minister has given his account of what will happen, but I think that he has been pretty coy about what is really in store for the future. What about the £12 billion of welfare cuts that the Government have committed to? They have already overspent on their welfare plans by £25 billion over the course of this Parliament, while at the same time imposing the unfair and iniquitous bedroom tax, so it is difficult to see how that £12 billion squeeze will be achieved When interviewed by Andrew Neil a few days ago, the Minister gallantly held the Government line and steadfastly refused to say where the cuts will be made. While we can perhaps applaud his loyal and resolute nature, he really should be more forthcoming about just where the axe will fall next, because voters across the country will be wondering what the Government are keeping from us. What more can he tell us today? He appears still not to want to say anything about VAT, so I will move on and deal with the Government’s pretentions to fiscal credibility For most people, a Government who are fiscally credible are a Government who meet their own fiscal targets. The budget deficit will be around £90 billion this year, and next year’s budget, far from being balanced, as was promised in 2010, is projected to show a £75 billion deficit. Meanwhile, public sector net debt will be £217 billion higher in 2015-16 than was projected in 2010. How can the Government claim to be credible when they have missed their own targets by such wide margins? The end result of all that failure, all those missed targets and broken promises, is even bigger spending cuts As my right hon. Friend the shadow Chancellor pointed out last week, it really has come to something when a Government are forced to boast that spending as a proportion of GDP will fall only to 1964 levels—levels last seen over 50 years ago. It is not a pretty picture. Close scrutiny of the OBR tables shows that 2018 spending, on the historical comparative measure that the OBR uses for day-to-day spending on public services, will fall to its lowest level since 1938. Despite their best efforts, the Tories are still the party that wants to take us back to the 1930s The Red Book is trying to perform a delicate balancing act; it is trying to assure us that the worst is over and that stability has been restored while at the same time plotting deeper cuts than anything we have seen in this Parliament. I think that it is seeking simply to paper over the cracks of failure and evade the debris of broken promises. It is for that reason that we will be voting against the Government’s motion today.
ParlaMint-GB_2015-03-24-commons.u342	We seem to have entered day five of the Budget debate. Let me make one or two brief points in response to the hon. Lady. First, let us remember what the state of the economy was in 2010, and the state of the public finances. Our borrowing levels were over 10% of GDP, which is a peacetime record, and we were forecast to have the highest level of borrowing in the G20. Over half of that amount has now been dealt with, but we have further to go and further steps are needed to deal with borrowing. That is why this House overwhelmingly voted for the charter for fiscal responsibility, which means that the cyclical current budget will be balanced by 2017-18. That is a target that those in all parts of the House signed up to, including Labour Members, but we heard nothing from them during the Budget debates, or today, about how they would meet that ambition. Whereas my party has set out our plans for finding £12 billion from welfare cuts, £13 billion from departmental spending and £5 billion from tax evasion, tax avoidance and aggressive tax planning, we have had no such indications from Labour. There is a huge hole where there should be an Opposition party policy.
ParlaMint-GB_2015-03-24-commons.u343	The hon. Gentleman constantly talks about cuts—very unpleasant cuts that are going to affect a lot of poor people—but the real problem is an income problem, because we have a tax gap of £120 billion through evasion and avoidance that the Government refuse to recognise to its full extent. If we looked at the income side and made sure we collected the tax that should be paid, then we could address the problems with the deficit—if they are serious problems—and, at the same time, not inflict cuts on poor people.
