ParlaMint-GB_2015-03-12-commons.u1	1. What steps she is taking to assist dairy farmers.
ParlaMint-GB_2015-03-12-commons.u272	May I counter that argument by saying that, with defence, if we cut ships, regiments or planes, we cannot just reinvent them when we need them? It takes months or years to bring them back.
ParlaMint-GB_2015-03-12-commons.u273	My hon. Friend helps to take me to exactly the next point I was going to make. What also enabled me to modify my concerns—to not feel the need to speak out during those few years—was the way in which the MOD addressed the difficult decisions it had to make. To a considerable extent, it tried to preserve the major improvements to our overall capability —our carrier capability, for example, and the need to renew the Trident submarines because of our strategic requirements. A lot of the reductions were made in the areas of manpower. That is painful and difficult, but the reality is that if we had cancelled the carriers, they could never have been reintroduced. That would be gone for ever, with profound and permanent impacts on our maritime capability. When we reduce Army manpower, it is painful, but the changes can be reversed, if the resources are available and the need is there, over not too long a period. That will still be difficult, but it can be done without the implications that come from a major reduction in capability Perhaps the most important thing that reassured me—rightly, I hope—over the last five years was the clear assurance that my right hon. Friend the Prime Minister gave that once we had resolved the immediate economic crisis, and had economic growth and economic development, there would be, as an absolute necessity, real-terms increases, year on year, in our defence expenditure. That was, so far as anything can seem to be a commitment, a commitment at the very highest levels of our Government five years ago, and we have been told ever since that that remains the Prime Minister’s view We face a most extraordinary situation. The Government say—I happen to agree with them—that the United Kingdom is going through a period of remarkable economic recovery. We are now one of the strongest economies in Europe, we are told; our economic growth is now higher than that of almost any other country in Europe, and our employment situation has improved. All these economic developments, which will rightly be very important in the forthcoming general election, are being shown as examples of how we have succeeded in our strategy, and how the UK is therefore stronger than many other countries in the western world. Yet ironically, simultaneously, precisely because our GDP is growing substantially, meeting that 2% requirement becomes that much more difficult, if not unattainable. It is a great irony that the more our economy improves, the more we seem likely to fall below the 2% requirement, when the reverse should be the case: if our economy is growing and doing well, it should be easier to find the resources required, because the revenues coming into Government will also increase considerably. That irony is not one that I have yet heard explained I hope that when the Minister winds up, he can reassure us on how we will benefit from the remarkable economic growth for which we are taking the credit. We certainly did not expect increases in defence spending when the economy was in a mess. Now it seems to be much healthier. I recognise that the budget deficit continues, but that is only part of the overall economic situation Something else worries me, too, and it has been mentioned by colleagues and those outside this House. Of course this 2% is a nominal figure, a totem, and it is the real resources that are important, but I find it difficult, if not impossible, to reconcile a cavalier approach towards the 2% objective, which we have held for many years, with saying that overseas development is somehow untouchable, and indeed may have to be given statutory protection in the current economic circumstances. Indeed, it now has statutory protection of a kind that I find extraordinary. These are very curious situations The consequence of what is happening, particularly if it continues after the general election, will be not just pain for our armed forces and their capability, but an irreversible change to Britain’s ability to conduct a credible foreign policy. After the United States, our armed forces and those of France are unique around the world. We are the only other two countries that have been able to make a meaningful contribution—albeit that we come far behind the United States—to providing a global deployment of armed forces to assist with overall issues of global security. Our role and credibility in the Security Council of the United Nations as not just a member, but a permanent member, is because of our ability to contribute towards security. That is what the Security Council is all about Our foreign policy is conducted on the basis of three assets that we have: first, of course, our diplomatic capability, which is impressive, although it has been under considerable strain in recent years; secondly, our intelligence capability, which is strong, and I pay credit to the Government for the resources provided there; and, thirdly, our military capability. The UK’s military capability is in a serious condition, of a kind that we are all familiar with, and that has an impact on our diplomatic credibility I read some years ago a remark that I have used since—colleagues may have heard me use it. It is attributed to Frederick the Great: “Diplomacy without arms is like music without instruments.” That remains true, not because we will necessarily always wish to use our armed forces, but because if we are pursuing, with good faith, a desire to develop a political and diplomatic solution to some intractable problem—there is a perfect example in our relations with Russia and Mr Putin at present—the fact that we have as the ultimate back-stop a military capability has a significant and profound impact on the likelihood of our delivering the result that we are trying to obtain. However, if we are seen as once having had that military capability, but as having opted, as a deliberate act of Government policy, to reduce that capability so that it remains significant but is not in any profound sense impressive, we will have seriously reduced our diplomatic clout and made the ultimate problem that much greater It is always dangerous to draw comparisons with the 1930s, but we know perfectly well that those in Berlin who were planning aggression believed that the western democracies were incapable of providing the resources required for a strong defence, and that influenced their foreign policy. I am not saying that the threats that we face today are of that order, or that the individuals concerned are comparable to the people who led Germany at that time—of course that would be unfair—but the fundamental principle is nevertheless the same What I beg of the Government, or any Government who emerge after the general election, is that they do not ask the facile question, “Does this win votes? Are the public demanding it? Is this therefore something we must respond to, or it will hurt us politically?” If a Government have one justification in a democratic society, it is that they do not just follow, or seek to follow, public opinion, but occasionally recognise the need to lead public opinion, and to take decisions that may involve painful choices, and that may be difficult in terms of newspaper headlines, but may have profound and beneficial impacts on our ability to make our contribution to sorting out some of the problems of the world Looking around the world, there are very few countries indeed that combine strong democratic institutions, genuine respect for the rule of law, and a military capability that can help build up security, restore peace and achieve the global objectives with which this country has always been proud to be associated. Let it not be the legacy of this Government, or any Government who emerge after this election, that we can no longer say that or make that contribution, not because the public rejected the idea, but because politicians failed to provide the right level of leadership.
ParlaMint-GB_2015-03-12-commons.u274	It is a pleasure to participate in this debate. I commend all who have spoken, especially the Chair of the Select Committee on Defence, the hon. Member for Penrith and The Border (Rory Stewart). I have the privilege of being a member of the Committee but do not attend as often as I might like because of other commitments back home in Northern Ireland to do with the peace process, but what he said made a lot of sense. The hon. Member for Merthyr Tydfil and Rhymney (Mr Havard), vice-Chair of the Committee, made an excellent contribution, too. It has been a pleasure to serve on the Committee during this Parliament. The work that it has done has been of real value, and when a cross-party Committee of this nature comes together and says clearly to the Government that a minimum of 2% of GDP should be allotted to defence spending, the Government should listen to the wisdom of that Committee. We look at these issues week in and week out, taking evidence and examining all the facts Judging by what I have heard today, there is a high degree of support for the need to get on with the task of strengthening our armed forces and the United Kingdom’s defences, especially in the light of our improved economic conditions. Other speakers have rightly said that the world around us is changing, as is the nature of the threat against the United Kingdom and our allies. That threat emerges in various locations, and our capacity is being spread and stretched. I know that there are plans to enhance and improve our armed forces, but we believe that it will be critical for the incoming Government to make a clear commitment to spending 2% of our GDP on defence I shall go further than that. I acknowledge what the hon. Member for Birmingham, Edgbaston (Ms Stuart) said about the debate not being party political, and I entirely accept that. However, the Democratic Unionists are a small regional party in this Parliament and we might have some influence over who forms the next Government. Let me therefore place clearly on record, so that there can be no doubt, and so that this does not become a bargaining chip—it will not—that we will only support a Government of this nation who make the commitment to a minimum of 2% of GDP being spent on defence. That is not a party political comment; it is simply something that we believe to be important We have been accused in the past of focusing our interest narrowly on Northern Ireland. It has been said that when it comes to negotiating with coalition Governments or in confidence and supply arrangements, we will always be there with the begging bowl on behalf of Northern Ireland, but that is not the case. We have spelled out today certain key areas on which we want the next Government to make commitments on national issues. We are focusing on the national need and what is in the interests of the United Kingdom, and right at the top of that list are the defence and security of this nation and the need for a commitment to 2% of our national income being spent on defence. I agree that it is not enough just to make that commitment, and that it needs to be made clear how the money will be spent. It must be spent wisely and it must be prioritised towards the areas in which it is required Looking at the world around us, we see that we have two aircraft carriers under construction. The Queen Elizabeth is now being fitted out and the Prince of Wales is being built. There must be certainty that both ships will be brought into service and properly equipped with airframes and aircraft. We need a credible carrier force. That will be an essential component of our defence strategy’s capacity and global reach, not only in defending this nation’s security but in providing security to our allies. That needs to be a priority If I may say so, one of the mistakes that this Government made was to scrap our surveillance aircraft and to cut up the Nimrod aircraft. That was frankly an act of madness. We now have Russian aircraft flying around the coastline of the United Kingdom but we do not have the capacity to deal with it properly. We need to do something about that. That is an area of our armed forces that could, with extra expenditure, be re-equipped, to enable surveillance globally but particularly around the shores of the United Kingdom. The British Isles need defending—they need watching in the most literal sense—but our maritime surveillance capabilities are currently well below par. Vladimir Putin respects force, and we need to respect it too. We need to be able to show that we as a nation have the military capacity to defend ourselves against any possible attack Beyond equipment, we need to get the strategy right. Many Members have already referred to the strategic defence and security review. I stated in an earlier debate that we needed to bring forward that review, but in any event it is clear that the current SDSR is not fit for purpose, because the world has changed and things have moved on. It is therefore essential that we get the next SDSR absolutely right. We will need to know why and on what the 2% of national income will be spent, and to set that in the context of our strategic needs and defence requirements. That is not just some marketing commitment to be waved around as a policy commitment during the election. We need to know exactly what the policy will mean in terms of the numbers, what the money will be spent on, and what our strategic requirements are for national defence and security Beyond capabilities and strategy, we have to consider the daily needs of the men and women who serve in our armed forces. I get worried when I see the provision of housing and catering for our armed forces personnel, because decisions on these matters are often taken on the basis of the lowest tender that comes into the Department. I have had many complaints from members of the armed forces about the quality of the services that are put in place to support them. We need to improve on that. It should not always be about the lowest tender.
ParlaMint-GB_2015-03-12-commons.u275	I am listening intently to the right hon. Gentleman’s excellent speech. Does he agree that we do not give sufficient consideration to the funding for treating those who have been wounded once they return to this country? Does he acknowledge how much our armed forces have to rely on charity to take care of those who have been wounded, both physically and mentally?
ParlaMint-GB_2015-03-12-commons.u276	I thank the hon. Gentleman for that intervention. The military charities play an important role in supporting our veterans, but the military covenant must mean something and it must be real. I still meet too many armed forces veterans who feel, rightly or wrongly, that they have been abandoned after a number of years. That applies particularly to those suffering from post-traumatic stress disorder. Sadly, as a result of Operation Banner being conducted in Northern Ireland for more than 30 years, we have a large number of ex-security force and ex-military personnel suffering from PTSD, and recent research has shown that the number is growing. The armed forces charities are really struggling to support those personnel, and more needs to be done. The hon. Gentleman is right to suggest that if we are going to increase our spending we should ensure that our veterans, especially those who have been injured on operational deployment, get the support, care and treatment that they need, and that they can continue to do so.
ParlaMint-GB_2015-03-12-commons.u277	Specifically on injured service personnel, I would like to give the House just one example of how we have tried to do better. We managed to get £6.5 million from the Treasury special reserve, with the Treasury’s full approval, to provide the latest generation of prosthetics—the so-called geniums, or what The Sun describes as “bionic” legs—for our wounded from Iraq and Afghanistan. They set the world standard in prosthetics. We spent £6.5 million of taxpayers’ money—which no one would object to—to give our wounded service personnel the best that money could buy.
ParlaMint-GB_2015-03-12-commons.u278	I appreciate that. I have the greatest respect for the Minister and I know from our conversations how deeply and strongly he feels about supporting those who have served in our armed forces. I take on board the point that he has made. My concern, however, is for those who are beyond that point, particularly those who are suffering from mental trauma. There is a need to do more to support those members of our armed forces. We need to support, through infrastructure, those who serve our nation I want to conclude by mentioning the reserve forces. We have put a lot of emphasis on their work and there is an urgent need to embed more regular personnel into the reserve forces to help with the training regime there, so that they are better trained and so that we improve the levels of manpower retention. As Ministers know, we have been very successful in Northern Ireland in our recruitment capacity. Many of our units are already fully recruited and we want to build on that work I welcome this debate. The Chancellor recently said: “We can afford whatever it takes to provide adequate security. Defence comes first.” If in the next Parliament my party is called upon to support a Government, that Government will need to be one who mean just what the Chancellor said.
ParlaMint-GB_2015-03-12-commons.u279	rose—
ParlaMint-GB_2015-03-12-commons.u280	Order, I call Sir Menzies Campbell
ParlaMint-GB_2015-03-12-commons.u281	Thank you, Mr Deputy Speaker. I am not sure whether to call you colonel on this occasion I, like others, have been greatly impressed by the quality of the debate so far. I agree with much of what has been said, but let me pick up on a couple of points. First, it is right to say that defence does not win votes, but poor defence can certainly lose them if the public form the view that we are not fulfilling our primary objective—their protection. Secondly, the right hon. Member for Lagan Valley (Mr Donaldson) made an extremely eloquent speech, but I say to him that there was no option but to abandon the maritime patrol aircraft. The original decision to go with Nimrod was questioned by the Defence Committee at the time. Other alternatives were available, for example, the P-3 Orion, but the decision was taken, I believe by Mr Secretary Portillo, that Nimrod it should be. A final irony was that Nimrod, the mighty hunter, never actually fulfilled his responsibility Let us consider the following: “The Ministry of Defence is being led by the nose by the Treasury towards reductions in Britain’s armed forces which have no rational basis” The House will not recognise that quotation, and neither did I until the BBC drew to my attention, in an article written for its website, that in my capacity as defence spokesman for the Liberal Democrats in August 1991 I had said just that. I do not introduce that to offer some support for the view that I am wise; I do so to point out that nothing seems to have changed. My proposition was put rather more pithily by my right hon. Friend the Member for Mid Sussex (Sir Nicholas Soames), who said that after four years as Minister of State for the Armed Forces he formed the clear view that the enemy was not the Russians, but the Treasury Some things have changed, though, and the point has been made by the hon. Member for Merthyr Tydfil and Rhymney (Mr Havard). When I first came into this House and took an interest in these matters, we had five days of the parliamentary year to consider defence. We had a two-day debate on the annual White Paper at the beginning of October, and then each of the services had a single day of discussion devoted to them. When the three service days were amalgamated we were confidently assured that it would not result in fewer opportunities to hold the Government to account—people can form their own view about the value of that assurance I have been through it all: “Options for Change”; Front Line First; and Labour’s so-called defence review of 1998. That came closest of all to being a proper defence review, except for one thing: Labour refused to publish its foreign policy baseline attributes or intentions. As a consequence, what was otherwise a first-class exercise, with consultation the length and breadth of the country, driven by the then Secretary of State, now Lord Robertson, and with Lord Reid, as he now is, a very important part of it, that was the closest we have come to a defence review. We have not, even in this Parliament, had a defence review. It is an open secret that in 2010 the MOD was told, “Here is a metaphorical envelope containing money. Go away and find a defence policy that fits that sum of money.”
ParlaMint-GB_2015-03-12-commons.u282	It is a fact that in spring 2010 the Labour Government produced a Green Paper, which would have fed into the defence—[Interruption.] What happened afterwards was what the Conservatives did with it, but we did produce the Green Paper to start the process.
ParlaMint-GB_2015-03-12-commons.u283	The hon. Gentleman is right about that. I know a bit about this because I was invited by the then Defence Secretary to be part of the group of politicians, of all parties, who participated in debates with officials as to what should be in the Green Paper. A defence review is not a hugely impossible concept to understand. What one needs to do is set out one’s foreign policy objectives; decide what military resources are necessary to fulfil those objectives; and then allocate the financial resources necessary to provide the military capability. We have not had a defence review that fulfils those three principles in all the time I have been in the House of Commons The hon. Member for Merthyr Tydfil and Rhymney made a sound point when he said that 2% cannot be described as a panacea for all the ills of defence. If 2% is to be spent, it must be spent wisely. We do not have to go far in Europe to see that several of our allies spend money, perhaps getting up towards 2%—there are not enough of those countries—which could much more readily be spent otherwise. For example, it could be spent on a greater amount of interoperability, force specialisation and such things. There is no point Mr Juncker talking about a European defence policy when European states have not yet properly fulfilled their responsibilities to NATO, of which almost all of them are members.
ParlaMint-GB_2015-03-12-commons.u284	May I take the right hon. and learned Gentleman back a little to the defence and security review? We can have a defence review and we can have a security review, or we can have an integrated process that looks at the whole business of future resilience, which I think is what he is suggesting we have not done and are not doing now. Does he think that when the new Parliament forms, the circumstances will be such that the current budgets for defence might be maintained in order to allow time for a proper, integrated assessment of defence and security, possibly in the next calendar year, if not this one?
ParlaMint-GB_2015-03-12-commons.u285	The hon. Gentleman makes a very sound point. I am sorry that I cannot give any commitments in relation to the next Parliament, as I shall not be here, but as a spectator outside I shall firmly cling to the view that a proper, full-scale defence review of the kind I have described, and with which he agrees, is necessary if we are to provide ourselves with the proper defences for the foreseeable future The situation is worse than I have described, in a way. Not only is the 2% a public commitment, but it was restated at Celtic Manor during the NATO summit and in the final communiqué from that summit. Of course, it is also one that the British Government have been at pains to emphasise to other allies. How are we going to explain away the fact that in recent months, even years, we have been complaining about the level of defence expenditure of other allies yet we are about to breach the very standard we signed up to and advocated only a few months ago? It is a bit worse than that, too, because we know that the possibility that we should fall below 2% has caused great anxiety, particularly in the United States, which is our closely military ally. Senior official after senior official has made exactly that point I have another source of embarrassment: in about 10 days’ time, the United Kingdom delegation to the NATO Parliamentary Assembly, which I have the honour to lead, will be the hosts of the Standing Committee of the NATO Parliamentary Assembly. We have in the past 12 months, with the encouragement of Ministers, sought to persuade the other members of the Assembly of the importance of the 2% figure. We will look rather embarrassed in 10 days if the consequences of the actions that appear to be taken in this country are that we will fall below the very figure which we have been advocating and on which we have been seeking to hold the feet of others to the fire Let me finish by saying this: if we do not have sufficient defence—and 2% may not be enough—we will diminish our capability, we will reduce our influence and we will limit the options of government. We cannot afford any of those.
ParlaMint-GB_2015-03-12-commons.u286	When the cold war ended in the early 1990s, the established view was that there would be a peace dividend. Defence spending would decline as countries spent money on initiatives that would create peace and stability rather than on arms. Russia was expected to become a fully integrated member of the international community; deadlock in the UN Security Council would become a thing of the past; and Russia would engage productively with its European neighbours. There was even talk of it joining NATO Those aspirations have since dissolved, and the illusion that we live in relative peace has now been lifted. The hon. Member for Penrith and The Border (Rory Stewart) painted a very good picture of this new insecurity in the world. The most pressing concern is the continued ambition of Russian President Vladimir Putin to establish his dominance over eastern Europe. His tactics go beyond conventional warfare. Using subversive tactics such as political destabilisation, informal military units, information warfare and energy blockades, he has destabilised and partly occupied Ukraine. We saw such tactics for the first time in the 2008 Georgian war in which, under the pretext of aiding Russian citizens, he annexed South Ossetia and Abkhazia. We have now seen him do the same with Crimea and large parts of eastern Ukraine Russia seeks to flex its military muscles across the whole of Europe, as we have seen recently with the incursion into our airspace by Russian bombers. That is not the first time that that has happened and it will not be the last. In 2013 and 2014, there were eight similar incidents of Russian military aircraft invading UK airspace Aside from Russia, we are also once again faced with the threat of the spread of nuclear weapons and the question of nuclear proliferation. Since 2006, North Korea has conducted three nuclear weapons tests, and Iran, while at the negotiating table, continues to work on its nuclear weapons programme International terrorism has taken on a new form with the rise of Islamic State, which, every day, conducts grotesque, barbaric and despicable acts. Now is certainly not the time for Britain to shirk its responsibilities. After all, we pride ourselves on being a world power. As a permanent member of the UN Security Council, a member of the European Union and a member of NATO, we should make a minimum 2% GDP commitment to defence. Listening to the debate today, I get the impression that one or two Members think that 2% of GDP is a target, but it is not; it is a floor below which spending should not drop.
ParlaMint-GB_2015-03-12-commons.u287	In endorsing that important point, may I point out that, during the cold war in the 1980s, we were spending, at times, more than 5% of GDP on defence?
ParlaMint-GB_2015-03-12-commons.u288	I was not aware of that fact, but I totally concur with the idea of spending anything up to 5%. As I said, 2% should be considered the floor. I am very concerned that some of our NATO and European partners are not getting anywhere near that figure. How can it be argued that we should shut our doors to Europe and, at the same time, commit to working closer with European nations if we cannot work together to reach at least that 2% figure The recent report by the Royal United Services Institute says that the strength of our Army, Navy and Air Force could fall from 145,000 to 115,000 by 2020, which is a 26% decline. If we follow that trajectory, we could face a situation in which our armed forces numbers drop below 100,000. If we consider that Wembley stadium can accommodate 90,000 people, our entire armed forces might soon be able to fit into the stadium, which does not bear thinking about. There are also around 92,000 people currently in prison in Britain. We could well end up with more people incarcerated than in our armed forces This country has always had a powerful air force. We have always built and supplied the best military aircraft in the world, from the Harrier to the Typhoon. Yet air support today accounts for only £13.8 billion of our £162.9 billion defence budget, which is 8.8%. The numbers of RAF servicemen have been continually cut over the past few years. There are 8,810 fewer servicemen in the RAF in 2015 than there were in 2010, which is a decline of nearly 25%. That is despite the fact that limited military intervention via the deployment of aircraft for bombing campaigns has once again become the norm. We saw that in Libya and we now see it in Iraq where Tornadoes and Reaper drones have flown 374 missions and released 206 weapons against ISIL targets.
ParlaMint-GB_2015-03-12-commons.u289	My hon. Friend makes a very good point about the continual use of the Air Force. That pressure on the Air Force coupled with the cuts that are taking place means that we will not be able to sustain that sort of use in the long term.
ParlaMint-GB_2015-03-12-commons.u290	That is the point I am making. As I have said, we may soon be in a position where all our defence forces will fit into a football stadium and where our prison population will outnumber our military personnel The technological edge that we have in military aerospace has created huge dividends for our economy and is an indispensable part of our economic infrastructure. That is particularly evident in my region in the north-west of England where BAE Systems employs around 15,000 people at sites in Lancashire, Cumbria and Cheshire. Some 10,000 people, including many of my constituents, make military jets at Samlesbury and Warton just outside Preston, which means a great deal for the local economy. BAE Systems currently trains 264 apprentices across those sites and young people are trained to use the high-technology equipment and to develop engineering skills that will secure them permanent jobs into the future. To maintain our existing military air superiority, our priority is twofold: the upgrading of the existing Typhoon fleet and the purchasing of the F-35 Lightning II joint strike fighters. The upgrading of our Typhoon fleet has to be of the upmost importance. Our RAF pilots currently rely on our ageing fleet of Tornado GR4 bombers to conduct missions against ISIL positions in Iraq. That is because of delays to the RAF's upgrade programme for the Typhoon fleet, principally caused by the lack of funding available for the new equipment The next UK Government will decide the size of our new fleet of F-35 Lightning II joint strike fighters. So far, the Government have approved the purchase of 14 aircraft to provide the first operational squadron, plus four aircraft for testing and training. The current cost of their development is more than £5 billion and their completion is vital for our economy and the future of our security. The next Government must commit to offering clarity over the size of our F-35 fleet and a timetable for its completion There can be no doubt that the future security of Europe should be our main priority. Irrespective of whether we are in the EU, Britain will always be a European power and an internationally strong mid-league military power. The threats to European security are threats to Britain’s security. We must maintain our technological edge. Technological advancements and investment in skills not only have a direct spin off into other industries in our economy, but support thousands of independent small to medium-sized businesses in the supply chain The key to security for the future is our mastery of technology and our ability to stay one step ahead. We see that now with the development of unmanned aerial vehicles. We are leading the way with projects such as BAE Systems Taranis stealth attack drone, which is part of an Anglo-French project to develop unmanned capability by pooling technology from each nation’s work so far. In November 2014, a £120 million contract was awarded to six industry partners across the UK and France to invest in the development of future unmanned combat aerial vehicle technology A commitment from the next Government in the strategic defence spending review for the next generation of drones would reinvigorate our domestic aerospace industry. Without it, says one BAE senior executive, there will be no UK aerospace industry to speak of in the future. Our military aerospace industry is a source of jobs, skills and pride for many in this country. It is an area where, technologically, we are leading the way. I fear that, if our spending commitment falls below 2%, we could put many of these skills and jobs in jeopardy, not to mention our national security. Therefore, I strongly believe that the next Government, whichever colour they are, should commit to meeting that target and going beyond it. We cannot put too high a price on our security. Our security must come first.
ParlaMint-GB_2015-03-12-commons.u291	As for others who have spoken in this debate, it is likely that this will be my last debate in Parliament. I am glad that it is on defence—the defining purpose of the state and of Parliament. I will seek not to repeat what others have said, but I want to say this. We have no more important role than to keep those who elect us safe from our enemies. This view is not as popular as it was. Elections, we are told, are not won and lost on defence; there are no votes in defence. I am not so sure. If the political establishment is seen to be playing fast and loose with our security, we will all pay a heavy price in further disillusionment and alienation The 2% NATO floor or target, to which we are all politically and morally committed, is the minimum that we should spend, yet it is far from safe. I do not generally favour targets for spending of any kind, and I certainly do not favour writing them into law, but the unavoidable truth is that if we are to achieve our current objectives, spending of that order is needed. I understand the scope for increased efficiency in the area of human activity; indeed the increased sophistication of the technology behind military equipment enables us to do more with less, which means that fewer people are needed to deliver the same effect than even a decade ago A Type 45 destroyer is considerably more capable than the Type 42 that it replaces and needs a smaller crew. And there are opportunities to do more with less. That is one of the purposes of the UK-French defence relationship. The application of the whole force concept could increase the effect and efficiency of defence. So our debate about national security must not lapse into sentimentality. It is not sentimental to speak up for defence. I want to do so by addressing three things—the financial background, the fact that defence is a long-term game and the threat to essential investment in science and technology The Chancellor is right to say that strong defence depends on a strong economy. That is why as a Minister in 2010, I swallowed hard and accepted significant cuts to defence capabilities, even though they led to some very challenging gaps in capability. But for a trading nation like ours, the protection of the sea lanes and the maintenance of an open rules-based trading system are crucial. So a strong economy also depends on strong defence. Prosperity is built on peace. The urgent question to both Front-Bench teams today is this. The funding post-2015 that is needed just to achieve Future Force 2020 is based on a 1% per annum increase in the equipment budget and flat real for the non-equipment budget. That is what the chiefs of staff and Ministers were promised at the time. So will Ministers and shadow Ministers commit today to both the equipment and non-equipment figures that we were promised The commitment on the equipment budget made only by my party is welcome. There is a long list of very important capabilities, but it is not enough on its own. The significant cuts that appear to be pencilled in for current expenditure—RDEL, or resource departmental expenditure limit—are deeply worrying. I commend Professor Malcolm Chalmers excellent paper, “Mind the gap; the MOD’s emerging budgetary challenge.” It is an objective, factual assessment of the cost pressures facing defence. I doubt that the Minister can offer reasons to disagree with any of its deeply worrying conclusions, but even in the optimistic scenario that Professor Chalmers outlines, under which defence is given the same protection as health and education, those cost pressures would still force a total cut of 8.7% over the next 10 years—about £35 billion in total. If further cuts are to be made, they would sadly have to be based on a refreshed and less ambitious strategic approach. The decisions in the 2015 review, then, could redefine Britain’s role in the world. There are other strategies, depending more on diplomacy, soft power and development assistance, for example. They are all vital components of our national security, but are they credible without strong defences too? No. Not when, for the first time since the cold war, Europe faces a real military threat on its borders. The world is more dangerous than it has been for decades In some ways, though, the 2015 SDSR will be easier than the last one. Crucially, a major programme of reform has rebuilt the MOD’s credibility, and its performance on equipment acquisition has been transformed. From both the industrial and security perspectives, the 2010 SDSR succeeded in protecting the very special US-UK defence relationship, but will this last? President Obama, the US Chief of Staff and the US ambassador to the UN have all warned us and are sending us a clear message about what they fear is the future of UK defence spending So to my second theme—the need to take long-term decisions to protect our operational advantage and our freedom of action. In layman’s terms, that means making sure that we have superior capabilities to our enemies and that we can use them and sustain them whenever we want to. At the heart of this for me is the alarming engineering skills shortage that we face as a nation, especially in defence. This is the area of the 2012 White Paper on defence acquisition, to which I put my name, with which I am least satisfied. The ingredients were all there, but the urgency of the issue was not properly articulated and opportunities were missed. Crucially, commentators did not understand what the White Paper said. It made it clear that “We will take action to protect our operational advantages and freedom of action, but only where this is essential for national security.” Here is the commitment to invest in what industry calls the body of knowledge essential to sustain capabilities in the long terms. We cannot protect all the skills and capabilities that we need and would like to on current budgets, but there are areas of capability that we simply must invest in to sustain our security. Short-term budget cuts make this White Paper promise, which is essential to our security, impossible to deliver, with serious long-term consequences My third theme is the priority that we must attach to sustaining investment in technology. The centrality of research investment to UK national security takes on greater significance in a new global security context—a context defined by state fragmentation, asymmetric threats and technology proliferation. Belligerent non-state actors are increasingly using technology to counter the traditional technological advantage of conventional military and security forces. Since the end of the cold war, we have seen widespread development of technology by commercial organisations and individuals driven by a consumer society and business sector hungry for tomorrow’s technology today. This has lowered the bar for entry to conflict, espionage, terrorism and serious and organised crime, meaning that there are far more threats out there now than there were. As a result “conflict” will be far less predictable than we have seen before. It simply will not conform to set-piece scenarios in the same way that the west planned for in the last century or in the last SDSR If we are not committing to investing a realistic amount in science and technology, I see several things happening. First, we will become less relevant to our key strategic allies—the United States and France. Secondly, we will miss the opportunities to build capability by adapting the best of the commercial and international technology sector because we simply will not know what the cutting edge looks like. Thirdly, we will cease to act as an intelligent client. How do you know what you are buying if you do not know what good looks like? Fourthly, we will be unable to evolve during a conflict. This is potentially the most serious if we cannot defeat the novel threats deployed against us If the 2015 SDSR correctly prioritises science and technology, logically the MOD must spend more on it.
ParlaMint-GB_2015-03-12-commons.u292	The hon. Gentleman is making an important point. The Defence Committee in reports in this Parliament and the previous Parliament has talked about the MOD devoting 2% of the money that it has to S and T as well as R and D so that such spending is structured into budgets.
ParlaMint-GB_2015-03-12-commons.u293	I could not agree with the hon. Gentleman more strongly. That is the precise figure that I have in mind for the level of resources from the defence budget that should be spent on S and T. It was 2.6% under the previous Government, but it declined under them to 1.2%. The White Paper on technology put a floor under it of 1.2%. It is far too low a floor, and what is more, as defence budgets have shrunk, the sum being spent has gone down too. It is only a third higher than what the Department for International Development now spends on research. Two per cent. is the bare minimum, of rising budgets as well. The trouble is that the Department sees S and T as the cash cow of the spending round. It is a resource that is easily cut because contracts are short term, but the consequences for our security are devastating If cuts to revenue spending happen, the science and technology budget will go straight back into the firing line of the Treasury and the bean counters of the MOD. We must not let that happen. Maintaining operational advantage is a race against time to take innovation from the lab and into the battle-space Our partners envy our ability to do more with less. Key to this is understanding the operational advantage of technology and moving it quickly into the hands of the military. As Bernard Gray, Chief of Defence Matériel, put it recently, “The key question is, of all the desirable things in the world, which are the ones you can afford?” But the country can afford more, as it should choose to do. In the end, this is not about votes, it is about leadership. We must all in this place do everything we can to sustain the national understanding that we maintain peace through strength, not weakness. That is why it is imperative that the next SDSR is well argued, persuasive and properly funded, and why all the political leaders of our nation must show their deep personal commitment to this outcome. After every major conflict we have cut defence and regretted it. The Crimean war, the first world war, the second world war, the cold war—cut and regret, cut and regret, cut and regret, cut and regret. As Hegel said, “We learn from history that we do not learn from history.” In 2015 we celebrate the 800th anniversary of the foundation of our freedoms, Magna Carta, and the 750th anniversary of the beginning of our representative democracy and Simon de Montfort. It would be depressingly ironic if in 2015 of all years a timid Parliament, an intellectually feeble SDSR and another round of austerity combined further to weaken our defences and threaten our freedoms at such a dangerous moment in world history.
