ParlaMint-GB_2015-11-10-commons.u1	1. What assessment he has made of recent trends in apprenticeship starts.
ParlaMint-GB_2015-11-10-commons.u415	The hon. Member for Cardiff South and Penarth (Stephen Doughty) managed to ascertain from the UK Government that a UK Government Minister would decide the facility time for health workers in Scotland and Wales. Does the shadow Minister think that is fair?
ParlaMint-GB_2015-11-10-commons.u416	I am coming on in a few moments to talk about the so-called respect agenda, and I hope that I will then answer the hon. Gentleman’s point. Our amendments would ensure that devolved Administrations could decide how best to engage with their staff and trade unions when delivering devolved public services, rather than being subject to a highly partisan central diktat—I believe this what the hon. Gentleman was referring to—from a Government in possession of no mandate in many parts of the UK I can recall the Prime Minister travelling to Wales when he was first elected, and declaring that when it came to Wales and the other devolved Administrations, he would govern on the basis of respect. He called that his “respect agenda”. With that promise in mind, the Welsh First Minister, Carwyn Jones, wrote to the Prime Minister expressing his concerns about the Trade Union Bill and its complete lack of respect for the role of the Welsh Government and the National Assembly for Wales. He pointed out that the Supreme Court, in its judgment on the Agricultural Sector (Wales) Bill, ruled that depending on a UK Government Bill’s impact on devolved services, it could be subject to a legislative consent motion, even if it could also be classified as relating to matters that were otherwise reserved. Our Scottish Labour leader, Kezia Dugdale, wrote today to the Presiding Officer of the Scottish Parliament, calling for a legislative consent motion; she has also called for Scottish local authorities, regardless of political persuasion, to refuse to implement changes when there is no consent I want to make it clear that our commitment to solidarity for all workers means that Labour opposes the Bill on behalf of workers and trade unions throughout the United Kingdom. We believe that simply devolving employment and industrial relations—for example, to Scotland—would play into the Conservative Government’s hands, and would result in a race to the bottom on workplace rights and privatisation, which could only have a detrimental impact on workers throughout the UK.
ParlaMint-GB_2015-11-10-commons.u417	Can the hon. Gentleman confirm that the Welsh Government will present a legislative consent motion in relation to Wales? I can assure him that he will have the support of Plaid Cymru if they do.
ParlaMint-GB_2015-11-10-commons.u418	I think that I would be equally guilty of arrogance were I to assume the role of devolved Ministers in the Welsh Government. However, the letter from the First Minister clearly indicated that a legislative consent motion was under consideration.
ParlaMint-GB_2015-11-10-commons.u419	The Minister for Public Services, Leighton Andrews, made it clear in his oral evidence to the Select Committee that he, too, was considering the matter. He also said today that the Bill, unamended, was “an all-out assault on the devolution settlement”.
ParlaMint-GB_2015-11-10-commons.u420	I am always slightly nervous when I give way to my hon. Friend, because his expertise on all these matters is so thorough. He is absolutely right.
ParlaMint-GB_2015-11-10-commons.u421	I thank the hon. Gentleman for giving way to me again. Is he aware that the Bill is opposed by the Convention of Scottish Local Authorities, whose human resources spokesperson is none other than a Conservative councillor by the name of Billy Hendry?
ParlaMint-GB_2015-11-10-commons.u422	If that is the case, it does not surprise me, although it might surprise some Members. I should have thought most Conservatives would believe that arrangements entered into voluntarily, at a local level, between an employer and employees should not be interfered with by central Government. I should have thought that that was in the DNA of Conservative principles. Surely Conservatives believe that voluntary arrangements and transactions between parties that are entered into freely, and are not immoral or criminal, should not be tinkered with by central Government. That is what is extraordinary about some of the provisions in the Bill, which illustrate the blinkered nature of the Government’s views on trade unions and their role in our society.
ParlaMint-GB_2015-11-10-commons.u423	Taken in conjunction with the Government’s wish to pull out of the Human Rights Act 1998 and the cuts in legal aid, the Bill constitutes a direct attack not only on the trade union movement, but on the general public in general terms.
ParlaMint-GB_2015-11-10-commons.u424	I am sure that many of those human rights implications will be examined further in the other place, although the unfortunate time constraints prevent us from doing so here. No doubt many of those in the other place will consider the Bill with a great deal of interest Under current legislation, trade union workplace representatives have a right to reasonable paid time off to perform duties, which has huge benefits for employees and employers alike. Clause 13 could allow the Government to set a cap on the percentage of the employer’s pay bill that could be invested in facility time. It would also give the Government power to impose an arbitrary limit on the amount of time that union officials could spend not just negotiating improved pay and conditions, but training, promoting learning opportunities for the workforce, accompanying people to grievance and disciplinary proceedings, and carrying out health and safety duties Furthermore, as was pointed out in Committee by my hon. Friend the Member for Cardiff South and Penarth, the clause establishes a democratic deficit. First, Ministers will be able to use secondary legislation to restrict or repeal trade union rights, so this place will have no opportunity to amend that legislation. Secondly, the clause will prevent democratically elected devolved Administrations from deciding how to manage their employment relations in their workplaces, and how to engage with their own staff. Thirdly, it will enable the Government to pick and choose politically which local authorities it will force to impose a cap. That is an extremely dangerous precedent.
ParlaMint-GB_2015-11-10-commons.u425	Does the hon. Gentleman agree that the “reserved powers” elements of the Bill show that the Government intend to use that opportunity?
ParlaMint-GB_2015-11-10-commons.u426	The hon. Lady is absolutely right; I do not think that those provisions would be in the Bill if the Government did not intend to use them. Parliament should not grant the Government those reserved powers on any assumption other than the assumption that they intend to use them. Conservative Members should think very carefully about what they are granting in this Bill There are significant questions to be asked about the legal basis of such a change in relation to European Union law on health and safety representatives, on the rights of trade union representatives to facility time during consultations on collective redundancies, on outsourcing, and on rights protected by the European convention on human rights and the International Labour Organisation conventions. Moreover, according to research commissioned in 2007 by the Department of Trade and Industry—now the Department for Business, Innovation and Skills—workplaces with facility arrangements have lower voluntary exit rates, which leads to significant savings in recruitment costs.
ParlaMint-GB_2015-11-10-commons.u427	Does my hon. Friend agree that the cuts in facility time, along with the employment tribunal charges, will deter women from pursuing cases of maternity discrimination? The number of those cases is apparently rising, but women have not been receiving justice recently.
ParlaMint-GB_2015-11-10-commons.u428	My hon. Friend is quite right. Other Members have also drawn attention to the degree to which the Bill discriminates against women in the workplace.
ParlaMint-GB_2015-11-10-commons.u429	rose—
ParlaMint-GB_2015-11-10-commons.u430	I will give way to my hon. Friend and neighbour.
ParlaMint-GB_2015-11-10-commons.u431	Is my hon. Friend aware of any other cases in which the Government have retrospectively interfered in private agreements between consenting parties in order to undo them?
ParlaMint-GB_2015-11-10-commons.u432	My research may have been inadequate, but I have not come across any such examples. However, the Minister must have dozens. Surely he would not single out one particular group in society for this draconian treatment unless he were meting out such treatment to other organisations as well.
ParlaMint-GB_2015-11-10-commons.u433	rose—
ParlaMint-GB_2015-11-10-commons.u434	Oh! The hon. and learned Lady has an example.
ParlaMint-GB_2015-11-10-commons.u435	Does the hon. Gentleman accept that when an employer and an employee enter into a contract, it is agreed between them that the employee will turn up for work and will not engage with others to disrupt the employment—[Interruption.] May I finish? The unions’ power to engage in collective activity is an exception to that principle—an exception that must be exercised only in circumstances in which it is justifiable and legitimate.
ParlaMint-GB_2015-11-10-commons.u436	I understand the basis on which, under our law, it has, for more than 100 years, been possible to undertake industrial action lawfully. The hon. and learned Lady may well know that it was a judgment in the part of the world that I represent—along with my hon. Friends the Member for Cardiff South and Penarth and for Cardiff Central—that, more than 100 years ago, led to the requirement for changes to ensure that, as in any civilised democratic society, working people had the right to withdraw their labour if they were involved in a trade dispute. I hope the hon. and learned Lady is not suggesting in any way, shape or form that there should not be that right. As I said earlier, if she was serious about wanting more people to be involved in decisions around trade disputes—in balloting and so on—she would support our new clauses and amendments, which allow for workplace balloting and e-balloting, and easier access to democracy for the people she purports to speak about.
ParlaMint-GB_2015-11-10-commons.u437	Does my hon. Friend agree that having facility time improves industrial relations in the workplace and therefore lessens industrial action?
ParlaMint-GB_2015-11-10-commons.u438	I agree; there is plenty of evidence that it saves money and facilitates good industrial relations. It is draconian and illiberal of the Government to interfere in voluntary agreements between employers and employees by means of central diktat in this way, and as regards their reputation, I believe that they will live to regret that.
ParlaMint-GB_2015-11-10-commons.u439	Surely the biggest impact on individual contracts will be where it is written into employees’ contracts that they can have their trade union subscription deducted from their salary. The cost of that to other public sector employers will be considerable, as they will have to issue new contracts.
ParlaMint-GB_2015-11-10-commons.u440	The hon. Gentleman must be a mind-reader; I am coming on to that shortly.
ParlaMint-GB_2015-11-10-commons.u441	rose—
ParlaMint-GB_2015-11-10-commons.u442	I give way to the Chairman of the Select Committee, whose expertise it will be interesting to hear.
ParlaMint-GB_2015-11-10-commons.u443	Following on from the points made by my hon. Friend the Member for York Central (Rachael Maskell), does the shadow Minister agree that the hallmarks of a good, productive, innovative economy are collaborative, harmonious industrial relations? The likes of Airbus with Unite, and Community throughout the beleaguered steel industry, will help to make sure that we can stay competitive. Trade unions are good for not just individual workers but for a modern, productive economy.
ParlaMint-GB_2015-11-10-commons.u444	Yes, and they would be part of an industrial strategy if this Government believed in one, but instead, the Government are basically walking across the street to pick a fight where no provocation exists.
ParlaMint-GB_2015-11-10-commons.u445	Let me make a bit more progress, because I want other colleagues to have an opportunity to participate in this section of the debate Negotiations between employers and unions can play a very positive role in workplaces. The Welsh Government realised the value of such benefits, and based relations with trade unions on a partnership approach. As Carwyn Jones said in his letter, “it cannot be right for the UK Government—blind to policy priorities and devolved service delivery reforms in Wales—to specify how much union ‘facility time’ devolved public sector employers should allow. Nor am I convinced that the intention to end ‘check off’ arrangements for trade union subscriptions in the public sector is necessary or appropriate. The Welsh Government operates these arrangements as part of its approach to effective social partnership and is not seeking to change this.” Despite this, the Tory Government plough on. This is not the agenda of respect. This is an attitude of contempt towards devolved Administrations. Since I have referred to “check off”, I will now move on to amendment 9—
ParlaMint-GB_2015-11-10-commons.u446	rose—
ParlaMint-GB_2015-11-10-commons.u447	But prior to moving on, I will give way to my right hon. Friend.
ParlaMint-GB_2015-11-10-commons.u448	I rise to offer my hon. Friend support. Some 60 local councils and NHS organisations agree with the point he is making on behalf of Carwyn Jones. The leader of Enfield Council has said: “It would seem rather farcical to expect a Council to develop efficient organisational structures, internal employee consultation and negotiation systems, and deliver million pound services to the public but deny its right to set the level of facility time appropriate to meeting these objectives.”
ParlaMint-GB_2015-11-10-commons.u449	The leader of the council has put it succinctly and appropriately.
ParlaMint-GB_2015-11-10-commons.u450	I have been both a shop steward and the leader of a council, so I have seen this from both sides. Let me explode the myth: most good employers in big companies will say that facility time saves them money; they do not want hundreds of their employees disrupting the foreman when he is organising production. It is apparent that those on the Conservative Benches do not have any experience of industrial relations or employment practices.
ParlaMint-GB_2015-11-10-commons.u451	If it was felt there had been abuse in some areas, that could be dealt with, but to legislate to outlaw something of this kind is shocking. Yet that is, in effect, what the Government are doing.
ParlaMint-GB_2015-11-10-commons.u452	The point is that under the law, a human resources director of a large company would still have to consult individuals. Through collective consultation, a lot of agreements can be made very quickly; the union can communicate with its members very quickly and negotiate with an HR director. With this legislation, an HR director will have to go round to every single employee. We are talking about the NHS, and councils that have several thousand employees. That will cost vast amounts of money, take vast amounts of time and leave the Government and those employees in a really peculiar situation in which they could be taken to judicial review.
ParlaMint-GB_2015-11-10-commons.u453	As ever, my hon. Friend brings his vast experience of these matters to bear in the debate Our amendment 9 would ensure that the ban on check-off arrangements would not apply to services that were wholly or partly devolved. In Committee, the Government introduced a new clause—it is now clause 14 of the Bill—to prevent all public sector employers from deducting union subscriptions via the payroll. The proposed ban is clearly designed to target union finances and to make it harder for individuals, including lower-paid workers, to access union representation in the workplace. Under the clause, the Government will be able to introduce regulations imposing a ban on check-off arrangements across the entire public sector The Government claim that that will save the taxpayer £6 million, but many unions already cover the cost of check-off services. There is a real risk that if the ban on check-off services comes into effect, the Government— and therefore the taxpayer—will actually incur costs, potentially including legal costs arising from the need to compensate trade union members for the loss of their contractual right to have their union subscription deducted at source The proposed ban on check-off arrangements has been introduced without consultation with employers, without engagement with the unions and without any proper assessment of its impact on employment relations. It was not in the Conservative party’s manifesto or in the Queen’s Speech, and there was no reference to it in any of the Department for Business, Innovation and Skills consultations or the impact assessments that accompanied the Bill. I note the concern that has been expressed by Conservative Members on this matter in amendments that we will consider later today.
ParlaMint-GB_2015-11-10-commons.u454	Does the hon. Gentleman agree that, when many organisations already make provision for payroll deductions for credit unions, charitable giving, cycle schemes and for many other purposes, it is an absolute farce for the Government to suggest that it places a burden on such organisations to make deductions for trade union subscriptions?
ParlaMint-GB_2015-11-10-commons.u455	I have to disagree with the hon. Lady: it is a tragedy rather than a farce that the Government are doing this. I understand the point that she makes.
ParlaMint-GB_2015-11-10-commons.u456	My hon. Friend has already punched holes in the figure of £6 million and the calculations that underpin it. Does he agree that if the Government are to have any credibility, they should also publish an estimate of the extra costs that the taxpayer will be landed with as a result of the increasing unrest and decreasing co-operation that these ridiculous arrangements might engender in the public sector workforce?
ParlaMint-GB_2015-11-10-commons.u457	I do indeed. My hon. Friend represents an area that has many trade union members, and he is absolutely right. It is shocking that the Government have not published those figures. I hope that the Minister has deep pockets, because he might well have to dip into them when he finds out how much this policy is going to cost.
ParlaMint-GB_2015-11-10-commons.u458	Some councils actually make money from check-off arrangements. One or two examples have been given to me of councils not only repaying the costs of check-off but getting extra funding that supports council services.
ParlaMint-GB_2015-11-10-commons.u459	The hon. Gentleman is right. As I have said, he has put his finger on the matter in his amendment, which we will discuss later. His intervention now has drawn to my attention the point that the state should not be interfering in this kind of voluntary transaction, which is entered into freely by all the parties concerned and which is neither illegal nor immoral. What is wrong with an employer in the private or public sectors voluntarily agreeing to help to collect trade union subscriptions, as part of an attempt to maintain good relations with its employees, in exchange for an administrative payment? In what other field would a Conservative Government legislate to ban a simple, mutually beneficial transaction of this kind? The hon. Gentleman is to be congratulated on spotting that flaw, and the basic illiberalism, at the heart of this measure in the Bill.
ParlaMint-GB_2015-11-10-commons.u460	I, too, disagree slightly with the shadow Minister: I do not think this is a tragedy; I think it is sinister. In a collective bargaining unit that had a staff association alongside a trade union, it would be permissible for the staff association subs, but not the trade union subs, to be collected from people’s salaries. Is that not biased?
ParlaMint-GB_2015-11-10-commons.u461	I am not going to escalate our dispute as to whether this is a farce, a tragedy or simply sinister, but the hon. Gentleman is right.
ParlaMint-GB_2015-11-10-commons.u462	In Committee, we raised this issue about other things that can be collected centrally by an HR department or the payroll. For example, some members of staff may be chartered accountants or nurses who pay for their qualifications on an annual basis through their payroll, and that would not be affected but their trade union membership of course would be.
ParlaMint-GB_2015-11-10-commons.u463	It is entirely appropriate from time to time for payroll to be used in this way. Often, members pay into a credit union through their payroll. These things should be encouraged; they are very good for industrial relations This ban was not included in the Conservative manifesto or the Queen’s Speech, and no reference was made to it in any of the Department for Business, Innovation and Skills consultations or the Department’s impact assessment. As we have heard, there have been concerns among Government Members about this move as well. It is almost universally opposed, except by the TaxPayers Alliance, known colloquially as the tax-dodgers alliance, which gave evidence during the oral evidence stage In pressing ahead, the Government have failed to secure substantial employer support for their proposals, with many employers, particularly in local government and the health sector, having expressed concern that they could undermine positive industrial relations, which are vital for the delivery of quality public services. Is it any wonder that that is the case, given that employers and trade unions were not consulted? We believe these provisions are unnecessary and draconian, and I give notice that we may wish to press amendment 9 to a vote later—for some strange parliamentary reason, it does not come at this knife.
ParlaMint-GB_2015-11-10-commons.u464	Does my hon. Friend agree that this further complicates the situation in the health environment when people pay not only a levy for the industrial support of a trade union, but a professional levy that goes towards the professional support they have with their work?
ParlaMint-GB_2015-11-10-commons.u465	My hon. Friend highlights the lack of thought, consultation and proper scrutiny that has gone into this proposal. It is unravelling by the minute as hon. Members bring their expertise to bear on the implications that it has out there in the real world Let me draw attention to some of the other amendments in this group. The Scottish National party has tabled a raft of amendments, some of which were moved in Committee. I understand that the SNP may wish to divide the House on new clause 2, which is in the spirit of our new clauses 5, 6, 7, 8 and 9. Given the time available, if the SNP does that, we will support it in lieu of our new clauses—the same applies in respect of new clause 10. At this point, I should allow somebody else an opportunity.
ParlaMint-GB_2015-11-10-commons.u466	Trade unions play an important role in protecting the rights of employees: through their collective power, they have the ability to balance the scales against an employer, who invariably has greater economic and social power than the employees in its workforce. Last week, I met a few trade union officials from my constituency, and was struck by the passion and desire they have to do their job in representing others. But therein lies the crux of this legislation: it is a union’s job to represent its workforce, so its actions must represent their wishes. It is important that when a union has the power to bring a school, hospital or factory to a temporary standstill, its actions actually reflect the will of its members. I say that for three reasons.
ParlaMint-GB_2015-11-10-commons.u467	rose—
ParlaMint-GB_2015-11-10-commons.u468	I ask the hon. Lady to let me develop my argument a little further. First, those who suffer most in a strike are not the employees or employers but the public. The employees do not suffer, because any loss of income from the strike may well be covered by the union. The employers of the large concern do not suffer, because they will be paid their salary in any event. It is the public, and only the public, who suffer, first as the consumer and later, when the bill comes in, as the taxpayer. The public end up picking up the tab for both sides In the winter of discontent, the main victims of the low pay offensive in the public service were the old, the sick, the bereaved, children and the poor. It is not only this Government who have made the point that it is right that action by a trade union should reflect the mood of its members. The need for democratic accountability by the union was also recognised by the Labour Government. Their White Paper in 1998 entitled “Fairness at Work” specifically drew attention to the need for accountability: “Laws on picketing, on ballots before industrial action and for increasing democratic accountability in trade unions have all helped to improve employment relations. They will stay.” It is for that reason that it is right that these measures, which are right as a matter of principle, should apply to the whole of the UK .
ParlaMint-GB_2015-11-10-commons.u469	That legislation was brought in during Baroness Thatcher’s period of Government. Is the hon. and learned Lady saying that she was wrong, incorrect or flawed in any way for bringing in that legislation?
ParlaMint-GB_2015-11-10-commons.u470	The legislation that we have at any time must reflect the position of the country at the time. This is the place in which we find ourselves, and this is the Bill that is right for the moment.
ParlaMint-GB_2015-11-10-commons.u471	I will not give way, as I wish to press on I was not a member of the Bill Committee, but I have read some of the submissions on this issue from the unions. The Fire Brigades Union said that it had met the thresholds in its recent ballots. Such unions, which are already ensuring an effective turnout, need not be concerned about this proposed legislation. Furthermore, they do not need to be concerned about the provisions as they currently stand, unamended in the Bill. Indeed, where it is right that action should be taken—it is clear that this method of negotiation is needed—they should be confident that their members will make every effort to vote for it These measures are meant to ensure that, where there is not such support, the interests of the public are protected and weighed into the balance. In one intervention in this debate, it was suggested that the thresholds have been met in transport. In fact, the bus drivers strike earlier this year took place at the behest of a turnout of 21%, inconveniencing all the workers who were attempting to get to work. Transport for London reported that there were 6.5 million passengers in London who needed to make alternative arrangements.
ParlaMint-GB_2015-11-10-commons.u472	I am sure my hon. and learned Friend will agree that those people will be among the most vulnerable and lowest paid in the city who rely entirely on that transport system.
ParlaMint-GB_2015-11-10-commons.u473	That is absolutely right. When there are strikes, the people who suffer are the low paid workers who have to get alternative childcare, whose hospital appointments are affected and who cannot get to work.
ParlaMint-GB_2015-11-10-commons.u474	I will not give way, as I want to continue Although it may be possible to increase methods of voting, we need to ensure that there are sufficient safeguards in place. New clause 5 suggests that electronic means should be provided as is determined by the unions. In an area potentially rife with practical concerns, we need to be sure that there will be no issue with the amendments before they are allowed. If the unions have the power to bring major industries to a standstill, they need to exercise that power responsibly and democratically. It is essential that any ballot is seen to be conducted fairly and transparently. If there is any risk, or perceived flaw in the ballot, the legitimacy of the ballot may be in question. The vote that is taken by the union members—
ParlaMint-GB_2015-11-10-commons.u475	Will the hon. and learned Lady give way?
ParlaMint-GB_2015-11-10-commons.u476	I am about to finish The vote taken by the union will not garner public support and public trust that the representation of the unions demands, and it is for that reason that we should pass clauses 2 and 3 without amendment at this stage.
ParlaMint-GB_2015-11-10-commons.u477	This is a Bill that nobody has asked for and that nobody wants. Even the latest polls in the national press show that the general public are opposed to this union-bashing Bill—this gagging Bill part two. It was the deputy chairman of the Conservative party who said it was about time that we stopped bashing the trade unions. Let us be completely clear on this issue. It is undoubtedly a ferocious, full-frontal attack on the 6 million-plus members of the trade union movement. I take exception to some comments that have been made, not by everybody on the Government Benches but certainly by a number who seem to want to distinguish between trade union members and ordinary people. The trade union members that I know and mix with are more than ordinary people; they are absolutely fantastic individuals who go the extra mile to try to help colleagues at every opportunity.
ParlaMint-GB_2015-11-10-commons.u478	A good friend of mine, a local community activist in my constituency, is very proud of her roots. Her mum is Evelyn Allard, one of the Dagenham women who took industrial action in pursuit of equal pay. Does my hon. Friend agree that under this Bill the employer might have prevented such an action from even starting, let alone succeeding, and the Bill will therefore have a particular impact on women?
ParlaMint-GB_2015-11-10-commons.u479	There is no doubt about that. I fully concur with my hon. Friend about the impact this will have on women in particular. Whether we like it or not, the Bill will have a disproportionately negative impact on women in the workplace Getting back to these ordinary people, trade union members are taxpayers. They want their children to get to school in the morning, to counter the argument made by a number of Members on the Government Benches. Do people think that trade union members do not have children?
ParlaMint-GB_2015-11-10-commons.u480	Does my hon. Friend agree that the tone of this debate is very similar to that on working tax credits? How do Conservative Members think they can make the case for working people if they are going to be ideologically driven on the subject of working people? It does not make sense.
ParlaMint-GB_2015-11-10-commons.u481	I fully agree and hope to develop that point This is the gagging Bill, part 2. It is about disarming any dissent, particularly in the public sector. When we look at the thresholds, the ballot provisions, the measures on agency workers and all the new clauses and amendments, we begin to see the big picture. The Bill is about criminalising working people and eradicating any resistance, particularly in the public sector and particularly with regard to women. Why are the Government bashing low-paid people in the public sector, imposing pay restraints on them and coming up with crazy ideas about stripping tax credits from hard-working, low-paid people? They do not want to give those people the right to fight back. That is what the Bill is about. It is about eradicating that dissent while the Conservative Government keep their foot firmly on the necks of the low paid who are struggling even to make ends meet.
ParlaMint-GB_2015-11-10-commons.u482	My hon. Friend is right about the way that people are being treated at work, but the other disgraceful thing about the Bill is that it is a clear attempt to break the relationship between the trade union movement and this party. It is about undermining this party, which represents the people he is talking about, so it is not only the trade unions that will be affected but every man and woman in this country. If this party is less strong, the Conservatives will continue to discriminate against working people.
ParlaMint-GB_2015-11-10-commons.u483	Absolutely. My hon. Friend makes an excellent point about the Bill’s provisions on opting in to, rather than out of, the political fund. There has for many years been a gentlemen’s agreement that political funding should be decided on a cross-party basis. Many Conservative Members would agree that this is not the type of Bill into which they should insert a clause which would so greatly restrict the finances of an opposing party that it would struggle to fight a general election. As well as tackling the issue of dissent, the Bill is an attempt to ensure that the Opposition do not even have the finances to fight. It is about the Conservatives believing that they have the right to rule—not govern, but rule, and that is quite different.
ParlaMint-GB_2015-11-10-commons.u484	My hon. Friend is making a powerful point. I cannot help reflecting on the comments of the hon. and learned Member for South East Cambridgeshire (Lucy Frazer), who said that legislation should be appropriate to the time. We are in a time when industrial action in this country is at an all-time low. What problem to do with industrial action is the Bill trying to sort out?
ParlaMint-GB_2015-11-10-commons.u485	We are in a time when more than a million people, most of them in work, are claiming family tax credits, and more than a million people who are in work and have families need to use food banks. I mentioned gagging and eradicating dissent. The Bill is about keeping people quiet.
ParlaMint-GB_2015-11-10-commons.u486	The hon. Gentleman has slightly widened the debate, with tax credits and so on. He talks about us putting our foot on the neck of the poor. Does he think we are doing that by delivering the record lowest number of workless households that this country has ever seen?
ParlaMint-GB_2015-11-10-commons.u487	That comment would give me the opportunity, if the Deputy Speaker were to allow it, to diversify my contribution. The Conservative Government have increased to record levels zero-hour contracts, lower-paid work and the number of apprentices, but before Mr Deputy Speaker chastises me, I will move on from that immediately because it is nothing to do with the Bill.
ParlaMint-GB_2015-11-10-commons.u488	Does the hon. Gentleman accept that 788,000 days were lost last year in strike action, at a time when every party in this House says that productivity is key?
ParlaMint-GB_2015-11-10-commons.u489	If that is the figure, so be it, but in every case industrial action would have been taken through the legal process and as a last resort by individuals who need to take strike action to make their voice heard. We have the most restrictive anti-trade union legislation in the western world, and to take a day’s action or any other type of action, workers have to go through all the hoops set out in legislation.
ParlaMint-GB_2015-11-10-commons.u490	My hon. Friend is making an excellent speech. The hon. and learned Member for South East Cambridgeshire (Lucy Frazer) commented on statistics and days and hours lost. My hon. Friend will recall from Committee that the hours lost in the provision of transport in London were for reasons other than industrial action. The overwhelming majority of time lost is due to breakdowns, signal failure, overcrowding, leaves on the line and so on. Industrial action has accounted for barely 2% or 3% in most of the past 10 years. Is that not the fact that we are dealing with today?
ParlaMint-GB_2015-11-10-commons.u491	I fully accept that. If we want to talk about productivity, we need to look at that, instead of trying to highlight something that is not really a problem.
ParlaMint-GB_2015-11-10-commons.u492	Days have been lost through industrial action because the negotiators, whether that is the Mayor of London or the Secretary of State for Health, refused to come to the negotiating table, refused to talk to the trade unions, and have been spoiling for a strike, as we are seeing now over the junior doctors contract. Surely the Bill should be about improved industrial relations which give a voice to working people, as opposed to crushing that voice.
ParlaMint-GB_2015-11-10-commons.u493	I entirely agree. As I said earlier, does anybody want this Bill? Has anybody asked for it? Even some of the major Tory party donors have said it is purely union-bashing. As my hon. Friend the Member for Cardiff West (Kevin Brennan) said, and he was absolutely right, that is what Tories do. [Interruption.]
ParlaMint-GB_2015-11-10-commons.u494	The Minister just said that the Tories voted for it at the last election. You did not declare that as a policy prior to the last election. You also did not declare the NHS Act or the changes to the tax credits. If you are so proud of this planned legislation, why did you not declare it before the general election?
ParlaMint-GB_2015-11-10-commons.u495	Order. First of all, I am not responsible. I want to clear that up. [Interruption.] No, “you” refers to me. Mr Blenkinsop, you were wrong: it is not me. It may be those on the Government Benches, but you said “you”. Secondly, we need to speak about the amendment. I have allowed some latitude, Mr Lavery, because you have been tempted away, and I know that you want to get back to where you were.
ParlaMint-GB_2015-11-10-commons.u496	That is absolutely correct, Mr Deputy Speaker. I think the reason my hon. Friend spoke in the way he did is that Government Front Benchers were having a separate conversation and not listening to a single word he was saying. That is not unusual This Bill is simply here to do three things: to restrict the right to organise, to restrict the right to collective bargaining, and to restrict the right to strike action. I did not serve on the Bill Committee, but I listened to many of the arguments in the evidence sessions, which were quite enlightening. I think the Minister himself would say that the Government found it extremely difficult to get anybody who had a clue what the Bill was about to speak for them at the evidence sessions. One of their witnesses, the chief executive of 2020Health, spoke about facility time. Facility time is a huge issue in this Bill, as the hon. Member for Glasgow South West (Chris Stephens) said. He asked my hon. Friend the Member for Cardiff West (Kevin Brennan) whether it is right that Government Ministers can intervene to dictate on facility time in Scotland and Wales. I would ask whether it is right that Government Ministers can intervene in facility time in any workplace anywhere in the UK. The answer, quite simply, is that it is not right: they should keep out of the workplace with regard to the likes of facility time.
ParlaMint-GB_2015-11-10-commons.u497	The hon. Member for Glasgow South West (Chris Stephens) pointed out that that self-same witness had no idea what life and limb cover was, nor did she know that it has been in existence since at least the early ’80s, if not the late ’70s, as a TUC agreement with the emergency services to make sure that there was always cover in the event of an emergency. The fact that witnesses called by the Government had no idea about long-term existing legislation shows how poor this Bill is and how poor the Minister’s work on it has been.
ParlaMint-GB_2015-11-10-commons.u498	This individual, who runs a private health organisation the length and breadth of the UK, was asked if she had read the Bill. She said, “Not really.” She was then asked, “Have you read most of the Bill?” “Not really.” “Do you understand what facility time is?” “Not really. What is facility time?” She did not even understand life and limb cover, which is integral to trade union law, whereby if there is a problem that is a life and limb issue, trade union representatives will break off industrial action to ensure that people are safe. And, let me say, she was the best witness we had.
ParlaMint-GB_2015-11-10-commons.u499	Does my hon. Friend agree that the existence of facility time is beneficial to the good running of any public authority or business, and that eroding it will cause immense difficulties in terms of productivity if union representation cannot be provided for union members in the workplace?
ParlaMint-GB_2015-11-10-commons.u500	Absolutely. Many, many papers have been presented by professors, doctors and other experts with regard to facility time. There have been many battles on industrial relations problems over many, many years—decades and decades—resulting in a decent industrial relations policy that allows for facility time. Facility time could involve, for example, discussions on health and safety, avoidance of industrial disputes or avoidance of the progression of court cases. It is not about people sitting in an office on the telephone organising disputes—quite the opposite; it is about trying to avoid these disputes.
ParlaMint-GB_2015-11-10-commons.u501	When I was a council leader employing thousands of staff, facility time was given to cope with all the casework as a result of the then Government forcing cuts on local government that led to many redundancies. We had to triple the amount of casework time, which was crucial in ensuring that that terrible period of redundancy was managed in a humane way that helped people.
ParlaMint-GB_2015-11-10-commons.u502	I agree with my hon. Friend’s sentiments. If the Government start to decide how much, or how little, facility time individuals should have, there will be a breakdown in communication between the trade unions, the workforce and, indeed, the employers. In local government and the NHS, facility time is much valued and to the benefit of the general public If we applied the 40% and 50% thresholds to members of the coalition Cabinet prior to the election, not one of them would have been elected. We have to be fair and consistent with regard to thresholds. The average turnout for the police and crime commissioner elections was 17%, but nobody is saying that we should not listen to anything they have to say. The Government themselves were elected by only 24% of the electorate, but not many people are saying—although a lot of people are wishing it—that they should not have the right to govern. Fairness should prevail There have been many discussions about how e-balloting would provide for a much bigger turnout. That is what the Conservative Government want, and I agree: we want more people to participate in the ballot, hence the threshold issue. It is terribly unfair to suggest that e-balloting is not a secure way to ballot individuals, because it is.
