ParlaMint-GB_2015-09-14-commons.u1	1. What support his Department is providing to areas seeking a devolution deal.
ParlaMint-GB_2015-09-14-commons.u424	But does the hon. Gentleman accept that those strikes have tripled since the Tories took over in London in 2008? It is an absolute disgrace that the Mayor of London has never sat down and met the trade unions and treated them as though they were equal partners or human beings in the same race.
ParlaMint-GB_2015-09-14-commons.u425	I think that it is very unfortunate that the RMT has chosen to be so confrontational. As my hon. Friend the Member for Uxbridge and South Ruislip (Boris Johnson) pointed out earlier, even his predecessor, Ken Livingstone, met RMT officials only once, and he insulted them in the meeting Questions were asked earlier about the mandate for this legislation. I remind those Members who oppose the Bill that a YouGov poll conducted only four weeks ago found that 53% of Londoners are in favour of these measures and only 26% are opposed. Moreover, I challenge the assertion made by some Opposition Members that union activity does not stoke excessive strike action. It is instructive to compare days lost due to strike action in the private sector, where union membership is relatively low, with days lost in the public sector, where union membership is more widespread. We find that last year the number was 40 times higher in the public sector than it was in the private sector, despite the fact that terms and conditions—pay, holidays and so on—are, if anything, slightly better in the public sector I would like briefly to address the issue of facility time. The TaxPayers Alliance—[Interruption]—which clearly commands widespread support on the Opposition Benches, has calculated that the effective subsidy to unions from the public purse as a result of facility time is £108 million every year. The unions do not necessarily need that money—they have plenty of money to make political donations with—and it is not reasonable for the public purse to fund what is often party political activity In conclusion, I think that the Bill is a reasonable, moderate measure that will protect people from the often very disruptive effects of strike action.
ParlaMint-GB_2015-09-14-commons.u426	I draw the House’s attention to my entry in the Register of Members’ Financial Interests, and to the fact that I am a member of the GMB and Unison This Bill is illegal, illiberal and illiterate: illegal because it contravenes international standards; illiberal because it takes a hatchet to civil liberties; and illiterate because it is badly drafted and will leave the law in a mess, creating uncertainty and cost not only for trade unions, but for employers. The reason it is so badly drafted is that it is a crudely partisan measure that the Conservative party is seeking to rush through for purely political ends Why are we debating the Bill today? Is there any urgency for these provisions, or any demand resulting from the parliamentary timetable? No, there is not. We all know why we are here today. We are here today because the Government deliberately timetabled the Bill’s Second Reading to coincide with the first full day of the Trades Union Congress, when those MPs who are proud trade unionists, as I am, would have been in Brighton talking with working people about the issues that really matter, such as low pay, zero-hours contracts, inequality and insecurity at work. Instead, we are here to discuss this shabby, shameful Bill. That shows the Government’s contempt not only for trade unions, but for democracy The Bill was published on 16 July. Consultations were scheduled to take place over the summer recess and closed only five days ago. This debate was scheduled for today even though the Bill is incomplete and the Government have accepted that it will require many amendments. The clearest example of that is on the deduction of union subscriptions. On 6 August the Minister for the Cabinet Office and Paymaster General announced the Government’s intention “to abolish the practice of checkoff across all public sector organisations” He announced that those changes would be in the Bill, so where are they? Where are the proposals and the draft clauses? They are nowhere to be seen. There is neither a timetable for publication of those clauses, nor a commitment to any period of consultation. The Bill is a disgraceful attack on the right of employers and unions to freely negotiate arrangements that best secure constructive industrial relations Before being elected to this House, I was a director of a significant private sector employer, responsible for industrial relations with around 1,000 members of staff. We recognised a trade union to represent our staff, to collectively bargain on their behalf, to represent their interests and to ensure that we could discuss with them any changes necessary for the continued success of the business in the best interests of staff. To do that, we had check-off and facility time in place. As we have heard from many Members today, deductions from payroll are a common way for employers to help employees with regular payments. Many Members make payments to charity through our payroll and the Independent Parliamentary Standards Authority. It is good enough for them, but it seems that it will not be good enough for trade union members. Check-off arrangements worked for us as an employer and for our staff, and it was freely agreed. Many employers in both the private and public sectors feel the same I will finish with a point about devolution and the inadequacies of the Bill. The Bill deals with public services that are devolved to Wales, including the way public sector bodies work with trade unions to ensure effective delivery of services to the public, including my constituents in Cardiff Central. Therefore, I ask the Secretary of State to heed the warning from my Labour colleague, the First Minister of Wales, that there are necessary and critically important changes that must be made to the Bill. But I would go further. It is an unnecessary, dangerous and flawed Bill.
ParlaMint-GB_2015-09-14-commons.u427	Will the hon. Lady give way?
ParlaMint-GB_2015-09-14-commons.u428	I will not give way I urge the Government to listen not only to me and to my colleagues on the Opposition Benches, but to the business community, civil liberties organisations, respected academics, trade unions and, most importantly, the public—
ParlaMint-GB_2015-09-14-commons.u429	Order. Mr Alan Mak.
ParlaMint-GB_2015-09-14-commons.u430	I am grateful for the opportunity to speak in this important debate on reforming and modernising our trade unions and helping to secure Britain’s economic recovery Trade unions have an incredibly important and constructive role to play in terms of industrial relations, helping their members, and as a part of wider civil society. For generations, trade unions have played an important role at the heart of their communities and in many workplaces, offering services from education and training to legal and financial assistance. For that reason, there are trade union members in all parts of the House, including my own However, trade unions are also powerful, well-funded organisations that must accept that power, wealth and influence come with responsibility and accountability. We must therefore balance their rights with those of working people, communities and businesses that have the right to expect that the services they rely on day in, day out are not disrupted at short notice by strikes supported by only a small proportion of union members. Similarly, there must be clear and positive mandates for any disruptive union action, as well as reform of trade union practices such as funding, picketing and use of facility time. This Bill sets out those necessary reforms Equally importantly, these Government reforms strengthen Britain’s economic competitiveness on the world stage. Britain is in a global race for success, engaged in a big fight not only with established economies in Europe and north America but fast-growing economies in Asia, Latin America and Africa. To build a strong and growing economy and, in turn, a more prosperous and fair society, we need employers that are open for business, schools and colleges that are not closed by strikes, and transport systems that let our commuters, visitors and shoppers go about their business Last-minute strikes and poor trade union practices hurt Britain’s productivity and growth at home and hinder our competitiveness abroad. The reforms in this Bill are welcome, beginning with reform of balloting for strikes. Strikes should only ever be a last resort and held as a result of a clear, positive decision. I therefore welcome the measures in the Bill to provide more clarity and democracy. The Bill will improve trade union practices and increase transparency. I particularly commend three measures: first, time-limited mandates, which will improve clarity and democratic legitimacy; secondly, the requirement for a clear description of the planned industrial action, which is fair and reasonable; and thirdly, the proposal for a new, transparent opt-in system for political subscriptions, which is welcome A poll by the Federation of Small Businesses found that last year’s strike action on the London underground cost about £600 million in lost hours, lost business, and lost productivity. Across Britain this year, we have again seen the shut-down of the London underground, strikes on ferries in western Scotland, strikes on trains on the First Great Western network, and strikes on buses in Cardiff, with future strikes potentially affecting the rugby world cup.
ParlaMint-GB_2015-09-14-commons.u431	Does my hon. Friend agree that often it is not trade union members in general who cause these strikes to happen, but a very small, politically motivated number of union organisers, and that is why it is right to have the threshold in the Bill?
ParlaMint-GB_2015-09-14-commons.u432	I thank my hon. Friend for his positive intervention; I completely agree. It is members of trade unions, who are working people, that the Bill seeks to protect The cost of this last-minute, poorly supported industrial action is substantial. It hurts our economy at home and hinders our competitiveness on the world stage. If we are to run and win the global race for success in an increasingly competitive global market, we need our shops and businesses to be open, generating wealth; we need our students and apprentices at school or college learning and developing the skills to win; and we need our workers and communities on the move, not stuck at home. We simply cannot afford the lost wealth that poorly supported strikes cause. Trade unions have a constructive role to play, but like all organisations they must modernise, move with the times, and accept that with power and influence comes the need for more accountability and more transparency.
ParlaMint-GB_2015-09-14-commons.u433	Can the hon. Gentleman give some recent examples of “last-minute” industrial action?
ParlaMint-GB_2015-09-14-commons.u434	Anyone who has used the London underground will know that the trade unions strike on a whim and compromise the ability of shoppers, businesses and investors to go about their business. That is why it is right that the Bill brings in measures to make sure that that can never happen in future This Bill balances the rights of trade unions with those of working people, commuters and businesses. It also creates a new framework of industrial relations that allows Britain to grow at home and makes sure our economy is strong while competing and succeeding on the world stage. The Bill deserves the support of the whole House, and I commend it to all hon. Members.
ParlaMint-GB_2015-09-14-commons.u435	Over the course of history, the workplace has been the scene of many grave injustices: slavery, child labour, squalid and dangerous working conditions, and desperately low pay. A lot of that has been eradicated, although sadly not for all in the United Kingdom Even in the modern workplace, there still exists an imbalance of power between the employer, who can decide, often unilaterally, on terms, conditions and pay, and the employee, who is dependent on the employer for work. Individuals who want to negotiate with their employer to improve their lot may not have direct access to them or fear recriminations if they approach them alone. That is well known in this House, as it should be. In a world where there is always someone else available to do a job, potentially for less money, this power structure can lead to poor pay, unsafe conditions, discrimination, and exploitation In the UK, a lot of the bad things have been got rid of because of what the unions and other campaigning organisations have done. Even so, only a short time ago we were legislating against modern-day slavery. We have made changes in this House in relation to employment tribunals and unfair dismissals. The reintroduction of charges on individuals who want to claim for unfair dismissal has reduced the number of such claims by 70%.
ParlaMint-GB_2015-09-14-commons.u436	Does my right hon. Friend share my concern that successive Conservative Members have praised trade unions and extolled their virtues and their value, and in the next breath said that they want to restrict their freedoms and abilities to function as trade unions? Does he find that that rings hollow?
ParlaMint-GB_2015-09-14-commons.u437	It rings very hollow The Government would have us believe that they are impartial in passing legislation relating to the balance between employer and employee, but they are not impartial at all. In fact, in their capacity as an employer they have a significant vested interest in undermining the actions and the future of trade unions. The state is a huge employer, and over 54% of public sector employees belong to a trade union. We should not be surprised that in some parts of this Bill the Government are looking particularly to attack public sector trade unions, because trade unionism now stands more in the public sector than in the private sector Over the past five years, the relationship between the Government and a number of public sector unions has been particularly difficult. It is called austerity. It is called having your income limited, perhaps when you have a partner and children at home and have to try to keep their heads above water. It is about being called “difficult” when perhaps some of your neighbours who work in the private sector are able to carry on getting their income increased and looking after themselves. That is why there is disgruntlement. I genuinely believe that this Bill is about the Government acting as an employer, not as somebody who is impartial to industrial relations in this country, to attack the public sector and its workforce There is little evidence—in fact, there is an overwhelming lack of evidence—that change in this area is needed. The Secretary of State mentioned the Carr review, which was set up in April 2014 and reported in October 2014. It looked at issues of intimidation. Frankly, it was right to do so. However, it found little evidence of intimidation. Nevertheless, on the basis of that report the Government have decided to introduce this legislation. The review said: “I have reached the conclusion that it will simply not be possible for the review to put together a substantial enough body of evidence from which to provide a sound basis for making recommendations for change” Yet here we are, a few months later, with the Government attempting to legislate in this area. It is absolutely ridiculous Individually and cumulatively, these proposals will fundamentally damage the capacity of unions to organise strikes. Many of these are not needed, but having the right to go on strike is an important tool on the table when you are sat down negotiating on behalf of members. I did it in the coal industry for many years before I came here. I understand why trade unionism was right, and my father and his father understood it as well—it is because people used to get killed down the pits on a daily basis until the unions came in and fought for members. This Bill undermines that.
ParlaMint-GB_2015-09-14-commons.u438	Within a few months of starting as a foreman in a motor factory in the early 1980s, I managed to cause a walk-out. It only lasted half an hour and I subsequently discovered that it was a part of choreography between the management and the unions to settle a particular dispute. I think they settled on my shift as the one in which to do it because I was probably the most naive of the factory foremen I tell that story to show how far we have come since then in relationships between management and unions. I can think of one instance in my own constituency just a few years ago when an hon. Member, whose name I will not mention, helped to sort out a strike action that could have been very damaging. I understand the great importance of that kind of work. I entirely agree with my right hon. Friend the Member for Haltemprice and Howden (Mr Davis). There is a real need to protect the interests of the public and to ensure that they are as little inconvenienced as possible. I pay tribute to the Fire Brigades Union, which in my experience has always ensured, even when involved in ongoing strike action, that it is done in a responsible manner. That was particularly the case when the fire brigade had to attend a devastating and tragic fire—it led to the deaths of two people—in my constituency last October. It put all its concerns aside to attend to the needs of those who were in great difficulty.
ParlaMint-GB_2015-09-14-commons.u439	The hon. Gentleman has said that he has worked in industry as a foreman. Surely he agrees that it is far better in the private sector when major companies are prepared to deal with trade unions and give them time to go about their trade union duties. Does he agree that that is more enlightened employment than the stone-age stuff we are getting from the Government?
ParlaMint-GB_2015-09-14-commons.u440	I absolutely agree that it is extremely important to have time to conduct those duties in a responsible manner, but it is also extremely important to protect the interests of the public, particularly those who have to get to work and who need childcare. On the other hand, I do not think that we as a Parliament or a Government should be looking to interfere in the running of trade unions in some of the ways set out in the Bill I will mention three or four of those areas. First, I cannot see what the problem is with check-off, provided that the cost of it is paid for. The Staffordshire County Council representatives who operate check-off tell me that the union pays 2% for it, which is probably more than it costs the council to operate it. The same applies in other public services. I have no problem with that and I ask the Government to look again at the issue and perhaps not introduce that proposal I do not see the problem with electronic voting, either. It will eventually be introduced, and if we are to ask for higher turnouts, electronic voting is a must. I will not go into the picket line issues, because my right hon. Friend the Member for Haltemprice and Howden has already addressed them more eloquently than I ever could Finally, on the political fund, I believe that the right way forward is proper reform of political funding across the board. It is very difficult to do that without a comprehensive solution. I know it was tried in the last Parliament and it did not work, but I urge the Government and the Opposition to sit down and try to sort it out once and for all.
ParlaMint-GB_2015-09-14-commons.u441	Thank you, Mr Deputy Speaker, for the opportunity to speak in this debate on a Bill that has, at its heart, substantial and ill-considered threats to some of our most fundamental freedoms As the SNP’s spokesperson on fair work and employment, I rise to speak against this Bill, which does nothing to promote the concept of fair work in employment. It goes to the heart of destroying many rights that were long fought-for by our foremothers and forefathers. Were they to be lost, it would certainly take a very long time to regain them. The SNP Scottish Government’s Cabinet Secretary for Fair Work, Skills and Training, Roseanna Cunningham, said recently: “Scotland is historically viewed as the birthplace of workers’ rights” The approach we take in Scotland is fundamentally respectful, acknowledging the overwhelming prevalence and importance of negotiation in trade union activity. That negotiation contributes to improved employment practice and improved outcomes for both the workforce and employers. I am not the first, and I will not be the last, to say this today, but the contrast could not be greater between the respectful and constructive approach taken in Scotland and in other parts of the UK and the draconian, intrusive, discriminatory, impractical and unnecessary measures the Tory Government have laid before us today Tony Benn once said: “I think there are two ways in which people are controlled. First of all frighten people and secondly, demoralise them.” This Bill does both of those things and simultaneously undermines our place in the world as a progressive, democratic family of nations. Slowly but surely, this Tory Government are chipping away at our fundamental civil liberties and human rights.
ParlaMint-GB_2015-09-14-commons.u442	Will the hon. Lady give way?
ParlaMint-GB_2015-09-14-commons.u443	No, I will not: I want to make some progress This Bill undermines a number of basic, fundamental human rights. As we all know, this Tory Government also seek to remove the Human Rights Act from the statute book altogether. As with their targets on child poverty, they will remove any aspirational standards that enable us to be a forward-thinking and progressive society This Tory Government are not just ideologically driven, but ruthlessly politically opportunistic. They claim to believe in a smaller state in relation to providing public services, but are happy for it to have a very long arm to interfere in the lives of its citizens, especially those who are less powerful or less fortunate The history of trade union legislation is probably the most politicised area of legislation. Liberty, one of the UK’s leading civil liberties and human rights organisations, has said of the Bill: “Ideological motivations of any Government are part and parcel of politics but should not imperil the protection of rights and freedoms of individuals. Yet this relatively short Bill has the potential to cause significant damage to fair and effective industrial relations in this country—and would set a dangerous precedent for the wider curtailment of freedom of assembly and association.” In essence, this Bill is about restrictions on fundamental freedoms. It introduces increased restrictions on the abilities of trade unions to ballot for strike action; reduces the amount of paid facility time; requires trade unions to become certified by the UK Government for legal protection; and introduces new investigatory powers against trade unions. The Bill introduces measures requiring a 50% threshold and 40% turnout for all ballots declaring strike action. That is the same undemocratic practice that the Conservatives used in the 1979 Scottish devolution referendum. This Bill is a fundamental attack on human rights and civil liberties, and a reminder that the Tories fear the trade union movement. This Government want to take away some of our most fundamental and basic rights, while shrinking the space for us to debate and protest. The SNP—
ParlaMint-GB_2015-09-14-commons.u444	Order.
ParlaMint-GB_2015-09-14-commons.u445	It is a pleasure to follow the hon. Member for Livingston (Hannah Bardell) I was brought up by parents who were trade union stewards, one for the then National and Local Government Officers’ Association and the other for the NASUWT. Like many of my Conservative colleagues, I am supportive of trade unions and what they do—I certainly feel that from a family perspective. The hon. Lady referred to the Bill as draconian and an ill-considered threat to our public freedoms. I have spent hours listening to the debate while simultaneously reading the Bill, and I cannot find in it anything that matches some of the rhetoric we have heard today This Bill gives added legitimacy and transparency not only to the public, but to trade unions. If transparency and legitimacy increase, surely trade unions will find it a much easier sell to both the public and their members and, indeed, to the employers they are seeking to persuade that their action should be taken seriously. To that extent, I welcome the new minimum threshold. Again, when it is met, one would assume that employers will actually take the threat seriously and the chances of resolution will be increased. When it is not met, however, the public can be reassured, as taxpayers who in many respects fund public services, that their lives will not be disrupted as a result. I am so minded by personal experience: when the National Union of Teachers was on strike in 2012, that had an impact on me as a parent. I certainly remember that the turnout was 27% of all members, so the impact on children and parents—my constituents—seemed completely disproportionate to the number who voted in favour of the strike On legitimacy, looking at the current labour market, a four-month limitation seems entirely proportionate with how labour and mobility change. That will make union legislation in tune with the current labour market and, again, it increases legitimacy. I also believe that opting in—members having to make a conscious decision to join a union—makes absolute sense. In every other walk of life, we would expect our constituents to have to join up to a party, not become members by default. On transparency, it can only be a good thing for members to have more clarity and information, so that they know what they are striking for. I echo the points made earlier about having the right balance on reporting information. It is important to show how much public money is being given to permit union activities, and that those activities are completely and correctly identified. I believe that will be addressed in Committee The Bill is ultimately sensible. It brings the legislation up to speed with the current employment market and increases legitimacy and transparency. All hon. Members who believe in such factors in relation to strikes should surely welcome the Bill.
ParlaMint-GB_2015-09-14-commons.u446	I refer the House to my entry in the Register of Members’ Financial Interests and declare that I am proud to be a trade union member. I am a member of Unite and of the Trade Union Group. I am delighted to show solidarity with the more than 6 million people who are part of the UK’s largest voluntary organisation—the trade unions I do not share the analysis of the hon. Member for Bexhill and Battle (Huw Merriman) about the nature of the Bill, which attacks fundamental civil liberties and the democratic rights of trade union members. I believe that it is politically motivated. It will deepen the UK’s anti-trade union laws, which are the most restrictive in the western world. The changes will worsen industrial relations and push us further down the path to a more confrontational labour-relations policy. I abhor the thought that it could potentially criminalise firefighters, nurses, teachers and other workers who are simply trying to defend a fair and safer workplace The Government are demanding a democratic standard in relation to balloting not sought by any other organisation, or by many Members of the House. I was disappointed by the Secretary of State’s responses in the opening statements. If the Government want to enhance workplace democracy, I ask them to engage with trade unions on the introduction of e-balloting and secure workplace ballots, which would help to increase participation and turnout in trade union ballots.
ParlaMint-GB_2015-09-14-commons.u447	Will my hon. Friend explain the benefits of e-balloting and workplace ballots?
ParlaMint-GB_2015-09-14-commons.u448	There is a contradiction in the Government’s position. E-balloting is accepted for the first stages of the election for the Conservative party mayoral candidate—it is secure enough for that—and for secure workplace balloting on recognition agreements, which is enshrined in legislation, but e-balloting is not accepted in the Bill.
ParlaMint-GB_2015-09-14-commons.u449	Is my hon. Friend aware that e-balloting is also used for the Royal National Institute of Blind People, the Institute of Chartered Accountants, the National Trust, the Magistrates Association, the Countryside Alliance and the Royal College of Surgeons?
ParlaMint-GB_2015-09-14-commons.u450	Absolutely. I am grateful to my hon. Friend for his intervention. A plethora of organisations —[Interruption.]
ParlaMint-GB_2015-09-14-commons.u451	Order. I am desperate to hear the hon. Gentleman, but I cannot hear him because there are too many conversations or too many interruptions. Whichever it is, I call Grahame M. Morris.
ParlaMint-GB_2015-09-14-commons.u452	I am grateful, Mr Deputy Speaker. My hon. Friend’s point was excellent and well made. In modern times, e-balloting is an accepted method of improving participation In truth, the Bill is a smokescreen to divert attention away from the Government’s policies of austerity and to limit the response of working people to object to the assault on their pay, pensions and working conditions. My hon. Friend the Member for Blyth Valley (Mr Campbell) and other hon. Members have made interesting comparisons with hedge funds, the banking system and the financial sector. Such organisations and institutions promoted the casino economy that brought Britain, and indeed the world, to the brink of financial disaster. Yet, they seem to be allowed to wield considerable and unfettered political influence, and there is no proposal for similar constraints or levels of transparency. Our recovery is being built on a private debt bubble, and as austerity fails to eradicate the deficit or to improve the income or living standards for ordinary people, it is more important than ever for them to have a trade union to represent their interests In addition to significant and unnecessary new burdens, trade unions will also be expected to pay a levy to fund the certification officers’ new role. As we heard from the Secretary of State, the role will be much more proactive. They will have new powers to impose financial penalties and to scrutinise how unions use their political funds and for what purposes. Several Members have talked about the diverse reasons for which funds are used, but I hope that Government Members would agree that HOPE not hate and Bite the Ballot, as well as voter registration and improving public services, are all laudable aims that political funds support Unions must secure the continued consent of members to maintain a political fund, but that happens already as there must be a separate ballot every 10 years. Other Members, including the hon. Member for Stafford (Jeremy Lefroy), have mentioned that. Winston Churchill said: “It has become a well-established custom that matters affecting the interests of rival parties should not be settled by the imposition of the will of one side over the other, but by an agreement reached…between the leaders of the main parties”.—[Official Report, 16 February 1948; Vol. 447, c. 859-860.] I ask all Members to vote against this most pernicious, partisan and overtly political Bill, which is one of the most objectionable that I have seen in my time in the House. I ask those with a genuine interest in enhancing workplace democracy and improving industrial relations to engage and work with trade unions, not to see them as an enemy. They aim to create safer, fairer workplaces for our constituents and address grievances in an amicable manner—
ParlaMint-GB_2015-09-14-commons.u453	Order.
ParlaMint-GB_2015-09-14-commons.u454	I would like to declare myself as a proud trade unionist all my working life. I am grateful for the support that I have received from the trade union movement I believe that this Bill is designed to restrict and undermine the role that trade unions play in our society by making it harder for working people to organise in the workplace. It seeks to do so by tying trade unions up in an excessive amount of red tape, by attacking facility time and by gagging them, thus curtailing their ability to speak out on behalf of working people It seems clear to me that, in putting forward this Bill, the Government fail to understand the value of trade unions’ contribution to working practices, health and safety, productivity and the economy. The Government say that the aims of this Bill are to enable the UK to pursue an ambition to become the most prosperous major economy in the world by 2030, and to ensure that hard-working people are not disrupted by strike action. I believe that, far from delivering those aims, the Bill is likely to work against them. Many colleagues have commented on the latter, so I will focus on the former Trade unions make a positive contribution to the lives of millions of working people in Britain: they champion the kind of fair, reasonable and safe working environments we all expect as the norm in a civilised society; they secure reasonable contracts of employment so that people can be healthy and productive in their workplaces; they promote equality so that people can be treated fairly regardless of race, religion, gender or politics; and they mediate between employers and employees when difficulties arise. Unions have been responsible for changes in legislation that have benefited all, regardless of union membership, such as the eight-hour day, paid holidays, equal pay for men and women—though we have a way to go on that one—and health and safety at work. This role of ensuring safe workplaces should not be underestimated. I recently met a nurse who told me why she joined a union more than 20 years ago. In her workplace, it had been common practice for nurses to mop up bodily fluids off the floor without wearing gloves. It was only the intervention of the union that led to this practice being stopped. She joined as a result and has never looked back I believe it is time for us to look for a more balanced and constructive approach to industrial relations in Britain, yet this Bill is an attack on the facility time of trade union representatives, which flies in the face of good industrial relations. The director general of the CBI said in 2009: “Union reps constitute a major resource: there are approximately 2,000 workers who act as lay union representatives. We believe that modern representatives have lots to give their fellow employees and to the organisations that employ them.” In addition, unions have always done useful work in providing training and skills improvement in the workplace. Earlier this year, I visited Vauxhall Motors’ plant in Ellesmere Port, where many of my constituents work. Vauxhall is a global success story. I saw at first hand the work done by Unite the union to develop education and training within the plant, upskilling the workforce and providing working people with the means to reach their potential. In Britain, we are seeing an increase in workplace insecurity, with the number of people on zero-hours contracts rising rapidly, and many of those on such contracts are employed in the health care and education sectors. It is highly unlikely they will receive skills training and education at work, which will add to the trend of ever decreasing pay and skills and the low-pay, low-skill economy, which as a nation we cannot afford If we want a more productive economy, the Government would do better to make investment in skills and technology a priority, rather than weakening the role of trade unions. The Bill is an unnecessary and vindictive attack on trade unions and undermines the democratic rights of working people, and I urge everybody in the House to vote against it.
ParlaMint-GB_2015-09-14-commons.u455	For the record, I am not, and never have been, a member of a trade union. I want to bring to the debate my perspective as a former council leader at Midlothian council, where I worked closely with the local trade unions. In that role, essentially working between the management and the unions, I saw the real benefits and genuine improvements, which we can never take away from, that trade unions can bring to their members and wider society I have always found that working together across disagreements and towards a common goal is the best way to achieve success, not the Dickensian-style sledgehammer proposed in the Bill. When even Conservative Members are referring to the Bill as “Franco-style”, we have to recognise that there is something seriously wrong. In Midlothian council, by working closely with our trade unions and negotiating between the unions and the management, and thanks to the SNP Administration, we were able to introduce a living wage—a genuine living wage, not the pretend one the Government are trying to palm off on people—within a few months of coming to office in May 2012 That is not the only thing we managed. We worked closely with union representatives to deliver a non-compulsory redundancy policy that allowed further staff development. By doing so, we engaged the unions when it came to the difficult budget decisions necessary as a result of the Government’s austerity agenda. The Bill, by alienating trade unions and making it almost impossible for them to operate in a reasonable environment, would utterly threaten that approach and completely undermine the positive progress that is possible when people work together Only this afternoon, a group of scientists employed at the Centre for Ecology and Hydrology in Midlothian had to take the unprecedented step of strike action. These are members of the Prospect trade union who felt there was no choice left other than to take strike action. These are not the kind of people many Government Members have talked about—they have painted a picture of bully picket lines and monstrous picket actions—but workers who have tried all other possible measures and felt they needed to take strike action for the first time in over 30 years.
ParlaMint-GB_2015-09-14-commons.u456	My hon. Friend is indeed giving a different perspective from the other side of the table from the trade unions. Does he agree that in Scotland this law is not needed or wanted and is in fact an alien law that will create difficulties rather than help?
ParlaMint-GB_2015-09-14-commons.u457	I absolutely agree with my hon. Friend. In fact, many of the issues raised could be dealt with through general legislation rather than a specific trade union Bill.
ParlaMint-GB_2015-09-14-commons.u458	On the SNP’s trade union group website, there is a page entitled “Labour’s Levy”. Can we agree that the SNP would support our move towards greater transparency on the political levy that funds political parties and trade unions?
ParlaMint-GB_2015-09-14-commons.u459	Whatever views there might be on the political levy, the Bill is most certainly not the way to deal with it. Members are perfectly entitled to withdraw their support from the Labour party, as I know many SNP members have done, but the Bill is not the way to deal with that As I mentioned, the strikers this afternoon were not involved in the sort of wildcat or intimidating protests mentioned by Government Members, but simply workers with no other option. As others have pointed out, disorder is uncommon and can be dealt with by other means; there is no need for a specific trade union Bill. The Bill is absolutely wrong. I can think of no other way to put it. The Government need to take a step back, listen to the contributions of Opposition Members, think again and introduce something completely different that respects and moves the trade union movement forward, rather than using a sledgehammer to shut it down.
ParlaMint-GB_2015-09-14-commons.u460	I rise to oppose the Bill in the strongest terms on behalf of Plaid Cymru. As the son of a retired trade union shop steward and the representative of an area steeped in coal-mining history, I value the role the trade union movement has played in advancing the lives of working people since it was legalised in 1871. It should be remembered that a royal commission in 1867 advocated the legalisation of unions as it would benefit both employees and, crucially, employers. My party believes that instead of pursuing further draconian measures aimed at restricting trade union activity, a speedy inquiry on industrial relations and employee rights should be convened to look into the role trade unions should play in a modern economy and the challenges faced by working people, such as zero-hours contracts, low pay and the increasing lack of workplace rights If we are serious about creating a more socially just society, trade unions have a vital role to play. Instead of reducing their influence, I would like to see Government action to increase workplace democracy. In Germany, for instance, in an economy that has outperformed the UK’s over many decades and is more balanced both in terms of industrial sectors and geographical wealth, trade unions play a key economic role in formulating industrial strategy. In the German legal framework of co-determination, representatives also sit on company boards, giving workers a direct say on company strategy and the hiring of management. I would also add that Germany’s decentralist federal governance system has also greatly helped to distribute its economic success more evenly geographically, unlike in the UK The Bill has been labelled the biggest attack on trade union activity for 30 years and follows a long line of anti-trade union laws brought in by Conservative Governments, most of which were not overturned by Labour Governments between 1997 and 2010.
ParlaMint-GB_2015-09-14-commons.u461	Will the hon. Gentleman confirm that there are trade union traditions within many of the political parties, even the Conservative party, which has the equivalent of what can only be described as a “walk out”—a privilege denied to the trade union movement in this country?
ParlaMint-GB_2015-09-14-commons.u462	I am grateful for that well-made point. I congratulate the hon. Gentleman on his excellent speech as the spokesman for the SNP By my counting, there were 10 Acts between 1980 and 1996 that attacked the trade unions. The coalition Government, much to their shame, tied in a further assault on trade unions with the issue of trust in politics in the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act 2014. The Bill aims to make it more difficult to take industrial action by forcing unions to give further notice before striking, introducing even higher thresholds for successful strike ballots and further restricting the right to picket. I note from elsewhere—this is critical to how the Bill will work—that the Government are minded to allow employers to bring in agency workers in the event of a strike. They are consulting on that currently. The Bill will undermine facility time, which will reduce the ability of union officials to represent their members at work The UK has some of the most restrictive trade union laws in the western world. It is a shame that an early priority for the new Government is to bring in another Bill at rapid speed, less than a week after three separate consultations on some of the measures in the Bill were completed. That raises the question of whether the consultations were valid exercises The Bill applies to Wales, Scotland and England. It does not apply to Northern Ireland, where employment law is a devolved issue. Regressive measures such as those in the Bill should make progressive politicians and individuals in Wales consider whether the responsibility for these issues should be devolved, instead of being held here in Westminster. I note that the Scottish Government are keen to press ahead with the devolution of employment rights. If these issues were devolved to Wales under a future Plaid Cymru Government, I suggest that there would be an alternative scenario to the one that we are faced with here today with this Bill—a scenario where the role of trade unions in the workplace and public life is enhanced, helping to shape economic and industrial strategy; one where trade unions play a pivotal role in the management structures of the public and private sectors; and one where the pay and conditions of employees are strengthened to resemble European norms.
