ParlaMint-GB_2015-09-16-commons.u1	1. What assessment he has made of the effect of the summer Budget 2015 on people in Wales.
ParlaMint-GB_2015-09-16-commons.u259	Thank you, Madam Deputy Speaker, for inviting me to contribute to this very important debate. I supported the academies programme long before the last Government were elected. I thought that the Labour Government were right to create academies, and it is also right for the current Government to continue with that programme. It is my firm belief that a system that encourages autonomy, focuses on good leadership and draws attention to the ability of schools to work together is all about self-improvement and improvement in general. We should salute and welcome that, and my comments on the proposed new clauses and amendments should be seen in that context The current direction of travel is to create more academy trusts and to make sure that each one contains a range of schools that, first and foremost, meet pupils’ needs. My vision of a multi-academy trust is one that has a university technical college, ordinary secondary schools and a group of primary schools. In short, a MAT should offer a wide range of support so that a pupil can move around it, getting the education he or she needs and, above all, deserves. That is the very important direction we should be heading in.
ParlaMint-GB_2015-09-16-commons.u260	In Kingston and Surbiton, we have the two Tiffin schools. One is just outside my constituency, and one is in it. They are excellent examples of grammar schools, and I would certainly support maintaining them. Does my hon. Friend agree that schools can create a variety of educational models, albeit non-selective ones, within the free schools system? Those models follow the traditional academic grammar school route without the selective element, which is a successful way of preserving the grammar school ethos without the problems of selectivity.
ParlaMint-GB_2015-09-16-commons.u261	I thank my hon. Friend for his very helpful intervention. That point justifies the free schools programme, which is all about bringing in choice and making sure that parents and staff can make decisions about their school, including about having a school of that type On that point, the shadow Minister quite rightly referred to what the New Schools Network has said about parent involvement. I have written about that in the past, and I am pleased that the idea has now been given more traction. On the particular proposal of empowering parents to take action about the leadership of a school, I would say that they should do so only if the very highest threshold is met.
ParlaMint-GB_2015-09-16-commons.u262	I am grateful to the hon. Gentleman for his comments about parents. Is he at all concerned about the way in which the Bill sweeps away the right of parents to have a say on the future of their local schools?
ParlaMint-GB_2015-09-16-commons.u263	I thank the hon. Gentleman for his question, because it goes to the heart of the Bill. The Bill is largely about schools in which action needs to be taken to get them to a better place. Such action has to be taken urgently, it must be about leadership and governance and, where necessary, it must take the form of intervention. As I have said, the principal focus should be on whether pupils benefit from delay or from action to take their school to a better place I do not want to say that parents should not be consulted, because I think they should. For example, there is a strong role for parent teacher associations to play in the interface with the community about a school’s future. I spoke to the chief executive of PTA UK just a few days ago, and I was struck by the role that PTAs can play in such dialogue. When a school is failing, however, we must take action. That is implicit in the Bill. Action is absolutely necessary for any failing school.
ParlaMint-GB_2015-09-16-commons.u264	The hon. Gentleman mentioned meeting a representative of PTA UK, but is he aware that it submitted evidence to the Public Bill Committee? It stated that the Bill “signals to parents that their views aren’t to be considered and positions them as unimportant despite the prevailing research that confirms their engagement as important to their child’s education.” I invite him to comment.
ParlaMint-GB_2015-09-16-commons.u265	It is absolutely right for there to be engagement, but I think that we are confusing two different things. I would have thought that PTA UK was talking about engagement with the school more generally. I am referring to the issues in the Bill and the specific question of whether intervention should be swift and effective, and the degree of consultation that should be involved Of course there should be consultation and the Bill makes clear the role of regional schools commissioners, who should consult fairly widely. The Education Committee will look into the role and capacity of the regional schools commissioners. One question that we will ask is how that consultation process is undertaken. I do not think that that point is at variance with the spirit of the Bill On amendment 12, we cannot have coasting schools and when we see them we must act. In the last Parliament, the chief inspector produced a powerful report about the long tail of underachievement, which detailed the problem that many schools carry on coasting without being noticed. It is striking that many of those schools are in rural and coastal areas. That tells us that the mechanism is not in place to properly check what a coasting school is doing. I therefore believe that amendment 12 would take us in the wrong direction A coasting school is a very bad place to be. If a school is coasting along then, even if everybody thinks it is doing okay, it is not doing its job properly. It is therefore a real challenge for the teachers and governors to move it forward. Of course, we need to discuss in some detail the definition of a coasting school, but if the teachers and governors of a coasting school are not moving it forward, we must act. I therefore do not believe that amendment 12 is appropriate.
ParlaMint-GB_2015-09-16-commons.u266	Just for clarity, amendment 12 is consequential to new clause 1, which would replace the Government’s version of a coasting school with the Opposition’s provision. The amendment would not sweep away the need for action to be taken when schools have problems of that kind.
ParlaMint-GB_2015-09-16-commons.u267	According to the “Member’s explanatory statement”, amendment 12 would “remove the clause that establishes that ‘coasting’ schools shall be eligible for intervention.” That is what I read, and I do not think that that should be the direction of travel. However, I take the hon. Gentleman’s point about its connection to new clause 1 The important point to make about amendment 13 is that if a school is in trouble, appeals from the governing body, which is probably responsible for a large part of those difficulties, ought to be put into perspective. Instead, a governing body should recognise that it has a duty and responsibility to participate in improving the school The Bill has a lot going for it. We need to address the issue of school leadership. In my judgment, we need more multi-academy trusts because they provide the right framework for schools to help each other and pursue self-improvement. It is critical that we focus on coasting schools and use powers to ensure that they stop coasting and, instead, do what they are supposed to be doing, which is raising the standard of delivery for pupils
ParlaMint-GB_2015-09-16-commons.u268	I rise in support of new clauses 3 and 9, and to make a few remarks about amendment 11 What bothers me about this legislation is the issue of consultation, which was alluded to by the hon. Member for Stroud (Neil Carmichael), and parental consultation in particular. That is a long-term anxiety for me, because I am aware of local schools in my constituency that have been subjected to horrific bullying by academy brokers to convert to academies, and I would not wish that replicated anywhere else.
ParlaMint-GB_2015-09-16-commons.u269	I wholeheartedly agree with the hon. Gentleman on that last point, as I am sure would most Members who take an interest in education, but may I bring him to the precise point of the amendment? As an agnostic on structures, does he accept that if the population distribution changes in an area that is selective, an additional grammar might be needed to maintain the existing balance of selection and not drive existing grammar schools to become more selective?
ParlaMint-GB_2015-09-16-commons.u270	I will consider the hon. Gentleman’s comments carefully. I am certainly happy with the idea of local decision making—I just wish the Government were more comfortable with it—and I think that we as politicians can do little to improve the educational landscape. We can change structures all the time, but they are not what makes a substantial difference: what makes a difference are the things that we normally cannot control or create but which, if we introduce the wrong kind of legislation, we can certainly frustrate.
ParlaMint-GB_2015-09-16-commons.u271	I rise to speak in favour of my new clauses 4 and 5 and the new clauses and amendments in the names of my hon. Friends on the Front Bench and of my hon. Friend the Member for Gateshead (Ian Mearns) We need to make a wealth of important changes to the Bill. It is a great honour to follow excellent contributions from hon. Members who are clearly passionate about educational standards. I do not doubt that the Government share that passion, but the problem is that none of the measures in the Bill will improve those standards. The Bill is based on an overriding assumption that academisation will automatically drive up standards and that the centralisation of power is the way to deliver it. Unfortunately, the Government have been simply unable to evidence that assumption at any stage of this Bill As such, the Bill before us today is a missed opportunity—a missed opportunity to address the profound teacher recruitment and retention crisis, which my hon. Friend the Member for Cardiff West (Kevin Brennan)outlined, that is predicated on a demoralised, overstretched workforce and a burgeoning young population. It is a missed opportunity to drive up standards in academies where underperformance stubbornly persists—an issue that the Bill inexplicably excludes. It is a missed opportunity to put parents, teachers, assistants and the local school community at the heart of the agenda. That is why Labour Members were disappointed that the Minister refused to take up any of our sensible amendments in Committee, which would have demonstrated a cross-party willingness to drive up educational standards Let me explain the contrasting principles behind my new clauses 4 and 5. First, school improvement simply cannot take place without the consultation and involvement of parents, teachers and the school community. Secondly, we must strengthen the accountability system that is, even in its current form, all too lacking, particularly for academy chains New clause 5 would place a new duty on the chief inspector of Ofsted to inspect the overall performance of any academy chain to ascertain whether it is carrying out its functions appropriately; and it would give the Secretary of State power to direct the chief inspector to inspect any academy chain and specify which areas need inspecting. That is particularly important for financial stability, where several academy chains such as E-ACT have come unstuck. The new clause, supported by the chief inspector of Ofsted, will go some way towards opening up the accountability system for academy sponsors, which has not caught up with the rapid expansion of academies generally The speed at which schools converted into academies or joined multi-academy trusts has increased at a dramatic rate over the past three years. In 2012-13, the Department opened three times as many sponsored academies as in 2011-12, and by December 2014, 3,062 schools had converted to academy status—far in excess of expectations. This, of course, will continue apace under the Bill, as regional school commissioners scrabble to find sponsors in pursuit of centrally set targets It is therefore reasonable for systems of accountability to keep pace. That is all the more important because, as we have heard, performance levels among chains still suffer from significant variation. The Sutton Trust concluded in its recent report that the very poor results for pupils of some chains are of urgent concern. These concerns are about what happens not just in the classroom, but in the boardroom. The National Audit Office warned that the inability of Ofsted to inspect academy chains means that there is no independent source of information about the quality of their work, and called on the Government to ensure that the Department has an independent source of information for assessing the quality, capacity and performance of academy sponsors The lack of accountability and oversight by an independent body has its consequences—finance, audit and governance systems will suffer without rigorous independent inspections, and in some cases may not exist at all. In particular, the funding arrangements have been found to be open to abuse and conflicts of interests.
ParlaMint-GB_2015-09-16-commons.u272	I thank my hon. Friend for giving way. Our hon. Friend the Member for North West Durham (Pat Glass) touched earlier on the issue of transparency. Are you aware of the school in my constituency—the Hewett school, a local authority school—that was handed over to an academy chain called the Inspiration Trust by ministerial fiat against the wishes of the community and the parents of that school? One problem we have with the Inspiration Trust is that it refuses to publish the individual accounts of individual schools. Instead, it simply publishes very basic group accounts. I think there is a concern about conflicts of interests, which are not being highlighted in the way we would like. Will your new clause be able to challenge that and do something about it?
ParlaMint-GB_2015-09-16-commons.u273	Order. I know that the hon. Gentleman means well, but when he says “your” in the Chamber, he is referring to the Chair, and it is clearly not my new clause, but the new clause of the hon. Member for Sheffield, Heeley (Louise Haigh). Perhaps the hon. Gentleman will rephrase what he said.
ParlaMint-GB_2015-09-16-commons.u274	My hon. Friend the Member for Sheffield, Heeley (Louise Haigh) is indeed honourable for giving way. I was wondering whether my hon. Friend’s new clause could tackle the issue I raised.
ParlaMint-GB_2015-09-16-commons.u275	I am very grateful for that intervention. My hon. Friend raises an example—one he has raised on several occasions—that is exactly the kind of example my new clause intends to address The Institute of Education reported on the case of the Academy Enterprise Trust, a chain of some 80 academies, which paid nearly £500,000 into the private business interests of trustees and executives, with the payments ranging from project management to consultancy. In all cases, the services had not been put out to competitive tender and the AET’s accounts demonstrated a serious budget deficit.
ParlaMint-GB_2015-09-16-commons.u276	Is the hon. Lady seriously criticising these individuals, who are looking to assist in the education of young people, just because they are Conservative party members? If she is, I think this debate has got to a very sad state. I thought, when we were members of the Public Bill Committee, that both our parties were looking to further education opportunities for young people, not simply make cheap party political jibes and pot shots.
ParlaMint-GB_2015-09-16-commons.u277	The Minister made the same point in Committee when I was raising these issues then. This is not an issue of Conservative party membership; this is an issue of transparency and serious conflicts of interest that have been raised by the cross-party Education Committee. It is not a cheap party political jibe, but one that has been seriously raised about parliamentary accountability and transparency, something Conservative Members are supposedly in favour of The Harris chain is particularly relevant, because it has sometimes been chosen as a sponsor by the Department against the wishes of staff, parents, and communities who have preferred other high-performing local options. That brings me to the Minister’s colleague, Lord Nash, who is another Conservative donor. He sits not only in the other place, but in the Department as Minister for Academies, where he is involved in choosing sponsors despite having been involved in specific academy chains. Frankly, there have been suspicions of political favouritism and intervention in these choices, and there are too few safeguards against them The vast majority of academy trusts are staffed by people working hard to address educational underperformance, but it is appropriate to ask, as the Education Committee did, what processes the Minister has in place to guard against certain trusts being given preferential treatment if, as we expect, the Government refuse to allow independent scrutiny. Indeed, the Clarke report, following the so-called Trojan horse affair, made a number of very significant recommendations which it appears the Government have yet to implement fully. Recommendation 7 stated that the Department for Education should consider urgently how best to capture local concerns driving the conversion process and review the brokerage system through which schools are matched with academy sponsors to ensure that the process is transparent and understood by all parties. The Government have previously claimed that all the recommendations have been implemented, but perhaps the Minister could comment on how the Bill fulfils them. What we are hearing from education professionals is that in some cases school leaders will go to the Department with recommendations for a preferred sponsor for their school, only to be overruled by the Department That brings me to new clause 4, which is intended to put the voices of parents and the local community at the centre of any decision to choose the identity of an academy sponsor. Apart from questions about the principle and pace of the academy programme, there will be questions about the identity, values and track record of particular academy sponsors for particular schools. Labour Members simply do not understand what the Government have to fear from the voices of parents, teachers, governors and support staff. We consult those groups constantly, and we value their input extremely highly. Indeed, the head of the National Association of Head Teachers argued, very wisely, in a blog ahead of today’s debate, that “removing the right to consultation and engagement with local communities, in my experience, tends to alienate and promote opposition where previously the local community was neutral.”
ParlaMint-GB_2015-09-16-commons.u278	As we know, the academic evidence shows that when there is parental support for and buy-in to a school, the results of that school are often better. What we are seeing from the Government, however—whether we are talking about the Charities (Protection and Social Investment) Bill, the Trade Union Bill or this Bill—is a sustained Tory assault on democracy and free speech, on the very anniversary of Magna Carta. I have to say that it fills me with dread.
ParlaMint-GB_2015-09-16-commons.u279	My hon. Friend is absolutely right. Communication and consultation can only be positive, and significantly improve the process of schools’ conversion to academy status There is another perfectly legitimate reason why parents have a right to be involved in the decision. As we have heard, there is a stark variation between the performances of academy chains. Parents, teachers, local authorities and the school community could be handing a school over to a chain that might perform markedly worse than the existing maintained school In a report that is as detailed and comprehensive as any could be found, the much-respected Sutton Trust demonstrated that sponsored academies are twice as likely to be below the floor standards as other mainstream schools. Half the chains examined by the trust did less well than the mainstream school average. Indeed, in 2014, 44% of the academies in the analysis group covered in the report were below the Government’s new “coasting level” Our education system must be a collaborative effort between parents, pupils and schools, and Labour Members believe that it is the right of parents to have a substantial say in how their children are educated. The Conservative Education Act 1996 set out in law the general principle that “pupils are to be educated in accordance with the wishes of their parents” That has been a principle in law since school attendance became compulsory more than a century ago It is strange that the Government’s talk of localism and involving service users in decisions does not apply to schools. After the election, the Chancellor of the Exchequer remarked in a speech on devolution that “the old model” of running things from London “made people feel remote from the decisions that affect their lives. It’s not good for our prosperity or for our democracy.” He will find some agreement among Members on both sides of the House on that general point, but perhaps the Education Secretary failed to get the memo, as she removed the right of parents and the local school community to have a say in the future of their schools. I ask once again, why are the Government so afraid of the voices of parents and the school communities My new clause would go a small way towards repairing the democratic deficit that is opening up as a result of a Bill that puts too much power in the hands of the Secretary of State, and far too little in the hands of our school communities.
ParlaMint-GB_2015-09-16-commons.u280	It is great to be called for the first time under your stewardship, Madam Deputy Speaker. I rise to support new clause 1 I have already paid tribute to my hon. Friend the Member for Cardiff West (Kevin Brennan); let me now extend my thanks to the Schools Minister, who sat opposite me for the many weeks of the Committee stage, and took my interventions very graciously during that period despite my frequent fumbling breaches of protocol No one, in Committee or today, has disputed the need to challenge coasting in any school—least of all me, because I went to a school which, by today’s standards, could be deemed to have been coasting. I left with very few qualifications, and, at the age of 25, I had to return to the same state secondary school and take my exams again. I spent a year in a secondary school as a 25-year-old. Anyone who has done that—spent a year with teenagers as a 25-year-old, and had the experience of going through education for the second time—will never, ever allow any other person to go through the same thing, or allow any other person to leave school without the right qualifications. It seems an irony that the school I left and had to return to is in the constituency of Bognor Regis and Littlehampton, because the Minister for Schools is the MP for that constituency. This has therefore come full circle now, and I hope that what was Felpham comprehensive school—I do not know what it is called now, but I presume Felpham community college—is doing much better today than it was doing then Nobody disputes the need to tackle coasting wherever it is, least of all me, and nobody disputes that academies are the answer in some cases, but only the Government think they are always the answer. That is the nub of why I support new clause 1 The Government could not produce a single witness in the witness stage of the Bill to say conversion to an academy was always the answer to coasting. In fact their star witness, Sir Daniel Moynihan, a remarkable man who set up and is chief executive of a fantastic organisation, the Harris Federation, was asked directly by me whether he thought academisation is the only response to coasting. His answer was simple: “No,” and he went on to explain why in more detail The sum of that, of the experience there has been, and of the evidence given in writing and in person by experts is that academisation is one tool of many, and is not the only tool. I should make a declaration here: I am chair of governors of an academy that has fundamentally transformed the ability of young people to go through education successfully with fantastic outcomes My second point is that the regulatory framework that will underpin schooling as a consequence of this Bill is confused and complicated. Given this Government’s philosophical approach to deregulation, it is extraordinary that schools from different sectors—state maintained, academies and the private sector—are all regulated in different ways. This is absurd and it is becoming a regulatory nightmare which will produce some real absurdities For example, as a consequence of this Bill, a school could in future be rated as outstanding by Ofsted yet the Department for Education could deem it as coasting. What are parents going to make of this new world? How will they decide where to send their children We will have a regulatory framework where academies that are deemed to be coasting by every other measure are not allowed to be converted to another status. The Bill focuses on organisational status as opposed to what we now know works: a focus on standards and educational outcomes. All the international evidence throughout the world shows that a focus on standards is what drives up educational outcomes, yet this Bill completely ignores all that evidence. It is turning into an ideological Bill, which I fundamentally oppose It is extraordinary that someone who comes from my background and has been involved in the conversion from local authority-maintained schools to academies should stand here in such opposition to a Bill that refers to academies.
ParlaMint-GB_2015-09-16-commons.u281	This has been a short, but high-quality, debate, with excellent contributions from Members on both sides of the House The Bill is the next step in this Government’s drive to change our education system so that every child, from whatever background and in every part of the country, receives the standard of education they need to succeed in a demanding and competitive world, and where every local school is a good school. The Bill builds on the sponsored academies programme, designed to tackle underperformance through new leadership and governance. It builds on the converter academy programme, designed to liberate highly successful state schools to allow them to flourish and spread their proven formula to other schools. It builds on the free schools programme, designed to encourage innovation and provide a break with failed education orthodoxies.
ParlaMint-GB_2015-09-16-commons.u282	In the Minister’s list of Government policies, he omitted to mention the policy on free school meals. Will he put on record the Government’s commitment to that policy over the course of this Parliament, as set out in his party’s manifesto?
ParlaMint-GB_2015-09-16-commons.u283	The hon. Gentleman will know what we achieved in the last Parliament. He will hear later, when the spending review is completed, what we can commit to in the next few years, not only on that issue but on a whole of range of issues across Whitehall that we have to look at in great detail A coasting school is one that is not consistently ensuring that children reach their potential. Clause 1 gives the Secretary of State the power to define which schools will be deemed to be coasting and therefore eligible for intervention. To assist scrutiny of the clause, we have already published draft regulations setting out our proposed definition. They provide a clear and transparent data-based definition, based on a school’s performance data over three years, rather than on a single Ofsted judgment or a snapshot of a single year’s results. Our proposed definition of a coasting school will be based on the new accountability system that comes into place from 2016, but it will be 2018 by the time three years’ data are available under the new system. We do not think it acceptable to wait so long before acting on coasting schools so we have also proposed interim measures for 2014 and 2015, based on existing metrics, so that regional schools commissioners can start to take action in 2016 New clause 1, tabled by the hon. Members for Cardiff West (Kevin Brennan) and for Birmingham, Selly Oak (Steve McCabe), proposes an alternative approach to identifying and addressing schools that fail to ensure children reach their potential. Subsections (1) and (2) of the new clause propose to set out in legislation a new definition and put the decision about which schools are to be regarded as coasting in the hands of Ofsted and the local authority. This would remove all transparency for schools about what would constitute coasting, meaning that a school would have no certainty about whether it might be deemed to be coasting. The new clause proposes an opaque, confusing approach to the definition of a coasting school, in contrast to the clear definition that we have set out in draft regulations Subsection (3) of the new clause includes a number of factors that Ofsted would be required to take into account, such as the availability of teachers in the area, the number of pupils, the reliability of performance data, the socio-economic challenges and the gender balance of the pupil population of the school. I am not sure that those factors should be explicitly set out in primary legislation, because to do so would restrict the ability to respond appropriately and flexibly to the individual circumstances of a school. Regional schools commissioners will of course take into account the challenges a school faces from its intake, along with other issues, when they assess a school’s performance The hon. Member for Cardiff West cited a number of examples of maintained Catholic schools in Bexley that had improved their Ofsted rating without becoming sponsored academies, but he omitted to say that seven Catholic primary schools in the borough had expressed an interest in converting, including St Joseph’s, the school that he cited as previously having been judged inadequate. Both the Catholic secondary schools in the borough are already academies, including St Catherine’s, the school that he cited as providing effective support for improving the quality of the education at St Joseph’s Where a school does fall within the coasting definition, the regional schools commissioner’s first task will be to see whether the school has the capacity itself to raise standards. In some cases, the school’s own leadership, perhaps a recently appointed new headteacher, may have an effective plan to raise standards. In other cases, more support will be needed. Coasting schools will be able to work with other experienced headteachers, with national leaders of education, with stronger schools in the area and with other relevant experts to raise standards.
ParlaMint-GB_2015-09-16-commons.u284	rose—
ParlaMint-GB_2015-09-16-commons.u285	I give way again to the hon. Gentleman. I suspect he is missing his Front-Bench role, given his intervention in this debate.
ParlaMint-GB_2015-09-16-commons.u286	The whole House is. I am just representing the views of my constituents, which is why I am sent here The Minister puts great faith in the role of regional schools commissioners. A number of my local schools in Stoke-on-Trent are in special measures and require improvement. They are not at the coasting stage; things are much more serious than that. The regional schools commissioner has failed to help to improve those schools, so why does the Minister think the RSCs will be able to sort out coasting schools, given that at the moment they cannot even sort out schools that require improvement or are in special measures?
ParlaMint-GB_2015-09-16-commons.u287	Of course the RSCs have been established only recently, and already 60% of all secondary schools in the country have become academies and an increasing number of primary schools are now academies. The transformation of schools from the maintained sector into academisation has been phenomenally rapid. We are now moving a step further forward to ensuring that we do not just tackle failing schools. If this Bill gets through this House—I hope the hon. Gentleman will support it this evening—any failing school, including any school in his constituency that is in special measures, will automatically become an academy, have new leadership and have new sponsorship, driving forward higher standards in that school. He should be supporting the measure Having said that, academisation will not always be the default solution for coasting schools, because where it is clear that the existing leadership does have the capacity to improve, they will be given the support and backing to do just that. But having the discretion to make an academy order is important, even for coasting schools, as a backstop provision I could cite many examples where becoming a sponsored academy has helped to improve academic standards, but let me highlight just one. In January 2014, Our Lady and St Bede Roman Catholic secondary school in Stockton-on-Tees was judged as requiring improvement by Ofsted. It became an academy sponsored by the Carmel Education Trust. In 2014, only 54% of pupils achieved five or more A* to C GCSEs including English and maths. Under the new sponsorship the headteacher has reported that that figure has risen to 72% this year; which is an increase on last year of 18 percentage points in just 12 months.
ParlaMint-GB_2015-09-16-commons.u288	I am grateful to the Minister for his work in Committee, where I served, alongside other colleagues in the House. Does he agree that we see that the Opposition’s challenge that this is not an evidence-based policy simply does not stack up when we look at the example he has cited and at academy sponsor trusts such as REAch2, Applegarth, STEP Academy Trust and WISE Academies, which have achieved astonishing turnarounds in a short time? Is this policy not just speeding up what works best?
ParlaMint-GB_2015-09-16-commons.u289	My hon. Friend is absolutely right about that, and I was grateful for her involvement in, and contribution to, our deliberations in Committee. She knows what she is talking about, because she is chair at an extraordinary academy trust, the Michaela community school in Wembley, which was established by the formidable Katherine Birbalsingh. It is now into its second year and I recommend a visit to that school to any hon. Member who is interested in education. They will see a school that serves one of the most deprived parts of London delivering education of a quality that will astonish them. It is an astonishingly good school, and I am looking forward to its first set of GCSE results in three or four years’ time.
ParlaMint-GB_2015-09-16-commons.u290	During the evidence session, the hon. Member for Fareham (Suella Fernandes) put the same question to Emma Knights from the National Governors Association. She got this response from an expert who studies this matter day in, day out “The main bit of evidence was produced by the National Audit Office last year and it showed that 60% of schools deemed inadequate did improve without any sort of formal intervention because they had exactly that: a school improvement plan, and that worked in 60% of cases. Sponsored academisation worked in 44% of cases”.––[Official Report, Education and Adoption Public Bill Committee, 31 June 2015; c. 16, Q33.] I thank the hon. Lady for allowing me to point that out and to add to her experience and also to make worthwhile the night that I spent putting tabs on to my evidence session notes.
ParlaMint-GB_2015-09-16-commons.u291	I thank the hon. Gentleman for that intervention on my hon. Friend the Member for Fareham (Suella Fernandes) via me, but I am delighted to respond. Of course sponsored academies are taking on some of the most challenging schools in the country. Where schools are coasting, we want them to do everything they can with the current leadership to improve, but there must be a fast-track method for dealing with schools that have been put into special measures. Our manifesto was very clear that we wanted to ensure swift, consistent action from day one in every failing school. When a school is failing, it needs, as my hon. Friend the Member for Stroud (Neil Carmichael), who is the Chair of the Education Committee said, strong leadership and effective governance to ensure rapid improvements, which is delivered by academy sponsorship. That is why clause 7 places a duty on the Secretary of State to make an academy order for any maintained school that Ofsted has rated inadequate Sponsored academies have been hugely successful in raising standards in what were failing schools. In 2015, primary sponsored academies open for just one academic year have improved by five percentage points—from 66% to 71%—the number of children achieving the expected level in reading, writing and maths. Those open for more than two years have seen their results improve by 10 percentage points since opening. The proportion of pupils that gained five good GCSEs including English and maths was, on average, 6.4 percentage points higher in sponsored secondary academies that had been open for four years in 2014 than in their predecessor schools. Those are remarkable achievements for some of the most challenging schools in the country.
ParlaMint-GB_2015-09-16-commons.u292	Will the Minister give the House the figures for maintained schools that have used some of the alternative school improvement approaches that I have outlined and that started off on the same level of achievement as the schools that were converted to academies that he has just quoted? In that way, we can make a proper evidential comparison.
ParlaMint-GB_2015-09-16-commons.u293	As I said in Committee, these figures are significantly higher than the school system as a whole, which shows that these schools are raising standards. I can give some examples. Individual schools across the country have benefited from becoming sponsored academies. For example, Bramford primary school, which Ofsted placed in special measures in 2012, but which, having joined Griffin Schools Trust in 2013, has made huge improvements. In April 2015, Ofsted judged the school to be good, with Ofsted attributing that to the sponsor trust’s “good leadership and management.” The hon. Member for Hove (Peter Kyle) quoted Sir Dan Moynihan and his evidence to our proceedings, but he did not quote him when he said: “Local authorities often do not use the freedoms that they have. There is nothing that we have done in any of our schools that were failing that a local authority could not have done. In every case, the local authority simply did not do it and it had to have someone else take it over and make it better.”––[Official Report, Education and Adoption Public Bill Committee, 30 June 2015; c. 18, Q38.] Those are the words of a highly successful chief executive of a highly successful academy chain When a school is failing, we need the academy conversion process to be swift. Every day’s delay is a day of weak education for the pupils at a failing school, which was acknowledged by the hon. Member for Southport (John Pugh) in his contribution to our debate.
ParlaMint-GB_2015-09-16-commons.u294	Presumably, the Minister will tell us why the immediate remedy always has to be academisation.
ParlaMint-GB_2015-09-16-commons.u295	It is because for too long they have been languishing as underperforming schools. The authorities and governing bodies that were overseeing them have had their opportunity to improve them over many years. We feel that pupils should not have to waste a single day more in those schools. They need new leadership and new governance, and they need them now.
ParlaMint-GB_2015-09-16-commons.u296	Does the Minister share my concern that schools that wish to convert to academy status, such as Bromley Pensnett school in my constituency, are finding a series of obstacles being put in their way by the local authority? Will he ensure that the Bill stops local authorities blocking the improvements that are urgently needed to turn around the schools that need the most support?
