ParlaMint-GB_2015-03-25-commons.u1	1. What steps he is taking to support small businesses through public procurement.
ParlaMint-GB_2015-03-25-commons.u312	I do not want my hon. Friend to be too charitable to the Chancellor of the Exchequer, so may I remind her that in addition to the 2010 increase in the standard rate of VAT, the Chancellor made proposals in 2012, in the middle of his disastrous economic policy, to extend VAT through the pasty tax and the caravan tax? Not only did he increase VAT in 2010, but he went back to the well in 2012 when the policy was collapsing.
ParlaMint-GB_2015-03-25-commons.u313	I was just about to make exactly that point. My hon. Friend is absolutely right that in 2012, having already done what all Conservative Chancellors do and put up VAT, the Chancellor sought to expand it by applying it to pasties and caravans in the so-called omnishambles Budget. I have always thought that it was a bit of a shame that that term from “The Thick of It” was used, because if the sequence of events that unfolded following that Budget had been presented to the scriptwriters of “The Thick of It”, they would not have touched it. They would have said that even for “The Thick of It” it was an unbelievable series of events. Yet that is what the Chancellor delivered. My hon. Friend is absolutely right that the Chancellor tried to expand the scope of VAT, yet today the Conservatives wonder why nobody will believe what the Prime Minister said at Prime Minister’s questions We do not have to go back over the past 20 or 30 years. We can just look at the record of the current Chancellor and Prime Minister on VAT. They like to put it up, and they sought to expand its application. I noticed that earlier the Financial Secretary appeared to rule out an expansion of VAT, but I was not entirely sure whether he had done that deliberately. Will he intervene on me to confirm that not only will VAT not go up—that is according to the Prime Minister, although I do not believe it—but it will not be expanded? I wonder why the Financial Secretary is not biting my arm off to intervene and confirm that.
ParlaMint-GB_2015-03-25-commons.u314	rose—
ParlaMint-GB_2015-03-25-commons.u315	I am grateful.
ParlaMint-GB_2015-03-25-commons.u316	The Prime Minister has been clear: we do not need to increase VAT or put VAT on essentials such as food and children’s clothes.
ParlaMint-GB_2015-03-25-commons.u317	So basically, both those things are definitely going to happen if the Financial Secretary’s party is elected in a few weeks’ time Where are we today? The same old Tories and the same old story. Whatever the Prime Minister has said today simply will not answer the justifiable charge against the Government about why they should be trusted if we look only at their record and at what they have delivered in this Parliament. They broke their promise after the last general election and they will do the same after the next one. At the end of each Parliament since 1979 in which the Tories have been in government, they have raised an average of £13.5 billion from VAT changes. The electorate know that when it comes to VAT and the Tories, actions will always speak louder than words. People know that they cannot be trusted because they break their promises again and again. They broke their promises in 1979, 1992 and 2010, and they will break them in 2015.
ParlaMint-GB_2015-03-25-commons.u318	This debate seems to be based on a false premise. The Government have been clear that a rise in VAT is not necessary to balance the books because we do not have a hole in our plans for public finances. The Labour party does have a black hole and it cannot be trusted on anything it says about the jobs tax.
ParlaMint-GB_2015-03-25-commons.u319	If the hon. Gentleman will allow me I will answer that by posing a simple question back to him, and then I will give way so that he can answer it. Where will the £12 billion of cuts to welfare come from? How will the £5 billion for tax avoidance be found? If he can answer those questions he will go further than those on his Front Bench have managed to do while making those promises. Perhaps he can shed some light on the issue for the British public.
ParlaMint-GB_2015-03-25-commons.u320	The Government have been clear in setting out their plans in the Red Book, and they have been audited, considered and reviewed by the Office for Budget Responsibility. What are not clear are the plans of the Opposition, although it is increasingly clear that there is a black hole in those plans and that they consistently make it up as they go along. I suggest to the hon. Lady that Labour’s so-called pledge on the jobs tax cannot be believed at all.
ParlaMint-GB_2015-03-25-commons.u321	That was not even a valiant attempt to try to answer my questions, but the hon. Gentleman is not on the Front Bench and I suppose I am being a little uncharitable in suggesting that he cannot answer a question that his own Chancellor is not prepared to answer either We have numbers of £12 billion, £13 billion and £5 billion from the Chancellor, yet with all the might of the Treasury behind him and lots of officials to do the numbers we have no detail on how those figures will be found. The Government spent a whole Parliament trying to talk up their record on tax avoidance and they are saying that they will get £5 billion in the next Parliament, yet there is no detail on how those amounts will be made up and no guarantee that they will be delivered. I am not surprised that the hon. Gentleman cannot answer those questions if those on the Government Front Bench will not either The Conservative party’s plans for what they would like to do if elected in a few weeks’ time are extreme and go much further than deficit reduction. They are trying to deliver a surplus of £7 billion. That had to be changed from the previous desire to get a surplus of £23 billion, because the Government got spooked by recognition across the country of what that would mean for the size of the state. They have now come down to £7 billion, which still means that they have to go further and faster in the early part of the next Parliament than they have in the previous five years Those choices have to be paid for. Given that some budgets are protected and that commitments to international development and aid spending will not change, and given the scale of what the Conservative party wants to achieve with the country’s finances, it is physically not possible to do such things without putting the NHS at risk of cuts or potentially of charging, or without raising VAT. That is the charge being made—it is not just about the history and the record. The hon. Gentleman could have resiled from the Conservative party’s record, but he chose not to do so. The combination of the Conservative party’s history on VAT and its figures for the next Parliament tells us that if it is elected a VAT rise is coming. There can be no doubt about it, given the combination of those two factors The hon. Gentleman attacked our plans and commitments, but for every commitment that involves raising revenue, we have highlighted where that revenue will come from and we have made the figures public. It was the Labour party that called for the OBR to conduct an independent audit of all parties’ manifesto commitments. We could have avoided this debate if we had allowed the OBR to do so. I was very happy to submit my party’s plans to an independent audit. I wonder why the Government chose not to do so. Perhaps they had something to hide. Perhaps they did not want to be robbed of the ability to have a “tax bombshell”-type poster. The needs of the Conservative party’s election marketing material should not have trumped the responsible thing to do: to allow the OBR independently to audit all parties’ manifesto commitments. I was very happy for that to happen The bankers bonus tax would pay for one policy and one policy alone: the compulsory youth jobs guarantee. [Interruption.] If the hon. Gentleman thinks the stubbornly high rate of youth unemployment is a laughing matter, he is mistaken. The Conservatives stole a few of our policies in last week’s Budget. Rather than laughing off the idea of the bankers bonus tax, I would have been happy for them to have stolen that policy, as it would have delivered jobs for the young people in my constituency who could find themselves on the jobs scrap-heap for many years to come. The Conservatives should have adopted it; it would have made a real and practical difference.
ParlaMint-GB_2015-03-25-commons.u322	I am extremely grateful to my hon. Friend for her innate generosity in giving way. Does she not agree that new clause 1 would provide transparency and openness, and that the report would be immensely useful? Does she honestly think that any true democrat and believer in fiscal transparency could do anything other than support the Labour amendment?
ParlaMint-GB_2015-03-25-commons.u323	My hon. Friend is absolutely right. We have been debating whether VAT will go up, but new clause 1 is pretty innocuous. It calls only for a review and an assessment of the impact the rise in VAT has had on living standards. If the Minister wanted us to believe what the Prime Minister said today in Prime Minister’s questions—that he is ruling out a rise in VAT—then what is the problem? Adopt the new clause, add it to the Bill and let us have the assessment. He would be able to show how VAT has had an impact and why the Conservatives are doing such a good job, if they are elected again, in not letting it go up.
ParlaMint-GB_2015-03-25-commons.u324	Given the lack of a response from Government Members, may I suggest that seeing the impact of the increase in VAT written down might make it harder for the Tories and the Liberal Democrats to break their promise the second time around?
ParlaMint-GB_2015-03-25-commons.u325	My hon. Friend is absolutely right. That is the only conclusion we can draw from what the Minister and the Prime Minister have been saying today. If the Minister really wanted to back up the Prime Minister’s claims, and to give us a hint that he might be believed, he should have just accepted our new clause. It is straightforward, and adding it to the Bill would shine some light on the impact of VAT. We are very clear that we will not raise VAT. It may be that the Government do not want the facts out in the public domain because they plan to do so.
ParlaMint-GB_2015-03-25-commons.u326	Will my hon. Friend give way?
ParlaMint-GB_2015-03-25-commons.u327	I am going to finish now, because I want to give time to everybody else who wishes to speak in the debate We all know what is coming if the Conservatives are elected at the next general election: VAT will go up. That is what their record tells us and that is what their plans require. If the Minister wants to be even a little bit believable—even 1% believable—he should at the very least accept new clause 1 and set the cat among the pigeons, but I do not think he will take that opportunity today.
ParlaMint-GB_2015-03-25-commons.u328	It is pleasure to speak in this debate—I hope it will have been worth the wait—and to serve under your chairmanship, Mr Hood. I hope that we both have the opportunity to repeat the experience after 7 May I rise to support this excellent improvement to the Bill proposed by my hon. Friends on the Front Bench, because I would like to better understand the impact of the VAT increase in my constituency. The Tory long-term economic plan is a marketing con and a rebranding of a five-year failed economic plan—five years of broken promises on borrowing, the deficit and VAT. I do not know if Government Members have been watching a new programme—on ITV down here, but on STV in my constituency—in which hypnosis is used to shift people’s perception of reality. I am not sure if that is what they are doing, although there does not seem to be anyone asleep in the Chamber. We all seem to be wide awake—certainly Labour Members are wide awake to the impact of the Government’s failure to deliver on their economic promises. Simply saying, “We’ll now call it a long-term economic plan, because it has not quite worked out in the short term”, is not going to fool anyone On the increase in VAT, I remember meeting my local chamber of commerce. In East Lothian, we do not have large-scale manufacturing or large employers, apart from in the public sector, so the private sector is largely made up of small and medium-sized enterprises. When I asked them how they were coping with the changes in the economy they said that the single-biggest factor for them was the VAT increase. It had done the most damage to their businesses. Other Members have spoken about its impact on the poorest in our communities, but in East Lothian it has also had an adverse impact on entrepreneurs and businesses—the people who should be creating the jobs that could eradicate unemployment in my constituency.
ParlaMint-GB_2015-03-25-commons.u329	As my hon. Friend will have noted, the new clause states that the Chancellor should produce a report within three months of the passing of the Act. I suspect that the Treasury already have these figures and could probably move more quickly. If her point about businesses is right and businesses are complaining to Members, they must also be feeding this information back to the Treasury, so I suspect that it already has these figures and could publish the report any time it wanted.
ParlaMint-GB_2015-03-25-commons.u330	My hon. Friend has been doing this job much longer than me, so I suppose he has earned the right to be more cynical. I am still flush with the newness of this change of role in my life, and I would like to think that that was not the Government’s intention, but I shall bow to his longer service in this place and more expert analysis It was interesting to hear the Financial Secretary speak about the role that VAT had played in the Government’s short-term failed economic plan over the last five years. He talked about the mess the previous Labour Government had left, but the economy was growing when we left office, and, as other hon. Members have said, part of the reason it reversed was the increase in VAT, which stifled confidence and the spending power of many in our communities. I would also like to hear from a Government Member whether a great deal of the deficit resulted from the decision by the then Chancellor, my right hon. Friend the Member for Edinburgh South West (Mr Darling), to bail out the banks. Would Government Members have bailed out the banks, or do they think we should have left them to fail? Is anyone going to jump up? Anyone? No, they are all hypnotised, it would appear, and unable to respond. Bailing out the banks was the responsible thing to do. It might have seemed unfair, but it was important to people in my constituency that when they went to the ATMs the next day they could still draw out their wages The Financial Secretary talked about the Government’s sustained economic growth agenda. I do not remember sustained economic growth following the increase in VAT. I seem to remember the worst recession that this country has ever had, following that intervention by the Government. That has hurt people in my communities and, I am sure, in communities right across the country.
ParlaMint-GB_2015-03-25-commons.u331	It is a pleasure to speak under your chairmanship, Mr Hood. I want to say first how much my hon. Friend the Member for Edmonton (Mr Love), who is no longer in his place, has been valued in our economic debates. His contribution will be missed, and we all wish him well for the future The new clause is eminently reasonable, and it should not be a matter of dispute between the parties in the House that such a report would make a valuable contribution to any decision the Government take on VAT. We have had an interesting day on VAT because it was raised in Prime Minister’s questions. As hon. Members know—certainly the Minister will know—VAT is a subject in which I have an interest. Throughout this Parliament, I have pressed not just the Government Front-Bench team but the Labour Front-Bench team on the issue of VAT The Prime Minister is an honourable man. He has made a commitment from the Dispatch Box today that is different from the position outlined by the Chancellor of the Exchequer to the Treasury Select Committee only yesterday. I am interested to see the Treasury Minister nodding to confirm that there has, in fact, been a change in Government policy since yesterday. When I woke up this morning, I heard on the “Today” programme my hon. Friend the Member for Bassetlaw (John Mann) questioning the Chancellor on the issue of VAT. I heard the Chancellor set out the same mantra that there were no plans to extend VAT or increase its rate. My understanding of what the Prime Minister said today is that he has given a cast-iron guarantee—to use a phrase that the Prime Minister has used before—not to extend or increase the rate of VAT So the position has changed today, and it is a change that I welcome. For that reason, I think that the information requested under the new clause would be valuable. It is always better for us all to have more information about the impact of tax changes. We know, of course, that this Government introduced this tax change in June 2010 when they said that they would eliminate the deficit by 2015. The plan—the “long-term economic plan” then—was to eliminate it by 2015, and part of the plan was to increase the rate of VAT. It would be valuable to know what happened as a result of the raising of VAT in January 2011. In my constituency, people are under real financial pressure, and VAT affects all of us.
ParlaMint-GB_2015-03-25-commons.u332	When the Chancellor decided to increase VAT, he must have asked Treasury officials to produce projections on its likely impact on the economy at that point. It would be interesting, would it not, to compare the projections given to him by Treasury officials with an official report, which this new clause suggests should be commissioned, to see whether the two tally up?
ParlaMint-GB_2015-03-25-commons.u333	Indeed. My hon. Friend has made a very valid point. I think that we should all be interested to know what was the impact of the last Tory-Liberal Democrat increase in VAT, which was introduced in January 2011, because it should inform future policy. It seems extraordinary to me that that should be resisted According to the Office for National Statistics, the median salary in my constituency, Wrexham, has fallen by 7.4% in the last year. The town centre is, unfortunately, populated—like many other town centres throughout the country—by too many empty shops, and part of the reason for the emptying of those shops over the past few years has been a decrease in consumer activity. What VAT does—and this is why I am passionate about VAT—is take money out of the pockets of consumers on the high street and send it straight to the Treasury. It has a massive impact on local businesses. Those of us who run local businesses and employ people want to ensure that we have the best and fairest type of tax system to develop local economies That is why I want to know the impact of the 2011 VAT increase. I think that the Minister is a reasonable man. I cannot for the life of me understand why he does not want to have that information, or, if he has that information, why he does not want to share it with the House We have made a lot of progress today. The Prime Minister has been dragged, kicking and screaming, to a point at which he has ruled out a VAT increase by the Conservatives in the next Parliament—if he is ever in a position to make such a decision. That is major progress. It is certainly a change, not just from the Prime Minister’s position earlier in the current Parliament, but from the position that the Chancellor outlined in his Budget statement last Wednesday, when he set out the spending and taxation plans that he expected to be implemented. Why did he not tell us that the Tories were going to rule out a VAT increase in the next Parliament? That is what amazes me. What has happened between last week and this week? What happened yesterday What has happened, in my view, is that because the Labour party, in opposition, made a commitment not to increase VAT in the next Parliament, Lynton has been on the blower. He has said. “We are under pressure, Dave. We are under pressure, Prime Minister. We have to match the commitment that the Labour party has made. You have to rule out a VAT increase in the next Parliament.” So that is why the Prime Minister made his statement at the Dispatch Box today—a statement that I welcomed History will judge whether that promise will be kept. We heard from my hon. Friend the Member for Birmingham, Ladywood (Shabana Mahmood) about the history of Conservative commitments on VAT: about what happens before elections, and about what happens after them. When I speak to my constituents over the next six weeks, I shall remind them of that record. I shall remind them of what the Conservative party and the Liberal Democrats said before 2010 and what they did afterwards, and I shall remind them of what this Chancellor tried to do in 2012 with the pasty tax and the caravan tax The tax of choice for the Conservative party is VAT. History tells us that. If the Conservatives want to increase taxes, they increase VAT. The country will have to judge whether the commitment that the Prime Minister has given today is one that will stand the test of time.
ParlaMint-GB_2015-03-25-commons.u334	It is a pleasure to serve under your chairmanship, Mr Hood. I was also going to say that it was a pleasure to be in the company of so many Members who had participated in Finance Bill Committees during this Parliament, but one by one they have disappeared from the Chamber—even the hon. Member for Dover (Charlie Elphicke), who has been one of the most assiduous Committee members—which is a shame as I was looking forward to hearing the usually very robust views they express, when we are upstairs in Committee at least. Presumably they have something else on their mind today The period we are in, which spans one VAT increase to possibly another, is a very interesting one. One of the things that the Government are trying to say—interestingly, some of the other parties are trying to say the same—is that there is no difference between the policies of the Government and the Opposition and that we would all have to make the same decisions. However, the Institute for Fiscal Studies has clearly stated that there is a huge difference between the forward plans of the Government and those of the Opposition. Our policies involve a different attitude towards spending cuts and tax increases in order to reduce the deficit over a period. That is what we said back in 2010; we were clear that we would be following a different pathway. We were not deficit deniers, as was sometimes suggested, but we were clear that we had a different view on how this could best be handled and that there would therefore be fairness in our measures. That remains the case because, prior to the Budget, the IFS said that, given our forward plans and taxation proposals, in contrast to the £55 billion of spending cuts the Conservatives would have to find, the Labour Opposition would be looking to make only £4 billion of spending cuts. More recently the IFS has said that in order to carry out our plans we would not need to make any further spending cuts in the forthcoming Government. So that is a very big difference in our policies. From that point of view, we are in a position to say not just that we would not increase VAT, but that we have a different and much fairer road to go down It is right for us to ask what the Government—whether the coalition or the Conservative party; it is not always clear—would be doing. Not only have they said that they need to find those spending cuts to carry out their deficit reduction proposals, but they have also suggested further tax reductions through the continued raising of the tax threshold. At no time since that announcement was made by the Prime Minister at the Conservative party conference has there been any clarity as to where that money would be coming from. So not only are they clearly tied to making substantial departmental spending cuts, but they have not shown us how they are going to close this financial gap. That is why people are saying, “We think it’s going to be VAT.” It is hard to tell where else it might come from. Of course, if it is coming from somewhere else, we would expect that to be said. So the Prime Minister stands up and says, “Oh no, we won’t be increasing VAT,” but the other half of that statement has not been made. We do not know how he is going to square this circle.
ParlaMint-GB_2015-03-25-commons.u335	As we saw in 2010, what the Prime Minister says this side of an election is not necessarily the same as what then happens in future Conservative Budgets. Has my hon. Friend also pondered the quandary that they might stick to their pledge not to increase VAT this time, but they have not ruled out extending the scope of VAT to currently exempt items?
ParlaMint-GB_2015-03-25-commons.u336	That is clearly another way the Conservatives might seek to close this gap they have opened up for themselves We need to know a lot more about this going forward, and so do the electorate. As hon. Members have said, VAT is a regressive tax. Even though those who have bigger spending power sometimes spend more and so may, in cash terms, spend more in VAT. It is a regressive tax, as are all these indirect taxes. Our position on this is clearly different: we do not believe it is right that people on low incomes should be taxed, in effect, to give other people tax cuts We have said a great deal about the 50p issue, which we will discuss later this afternoon, but one of my big concerns for some considerable time has been that low-paid workers already under the tax threshold were being offered nothing from the Government, who constantly talk about raising the tax threshold further. They have no plans to help those people any more. Those people face a real risk that if VAT is increased, they will end up paying the price of a reduction in income tax from which they will not benefit by one penny.
ParlaMint-GB_2015-03-25-commons.u337	Does my hon. Friend agree that a rise in VAT will not only have an impact on the living standards of millions, but do something to inflation? Does she think, as I do, that inflation may well rise with a VAT rise, again inflating the costs of ordinary, basic things for ordinary people?
ParlaMint-GB_2015-03-25-commons.u338	I thank my hon. Friend for her intervention. Of course the position she sets out is exactly what we saw in the early part of this Parliament when VAT was increased and a number of other measures were put in place. At that point, inflation hit about 5.5%, which then allowed the Government to say, “Aren’t we wonderful? We have just put pensions up by the biggest ever amount.” But that increase would have come even under the old system—even under a system that was simply tracking pensions to inflation—because of the inflation rate. Pensioners were not getting some amazing extra increase that year; there was a simple tracking of what had happened, largely because of the VAT issue Not only have many of those low-paid people not got any further gain to get if the tax threshold keeps increasing, but they have actually lost out at the same time, because one thing that has helped to pay for all this has been the reductions in things such as tax credits. Many low-paid people lost more in tax credits than they gained in the rise in the tax threshold. The Government keep endlessly repeating that low-paid people are the ones who have benefited, but that has not been the case in practice for many of these people, particularly those with families and children—they have particularly suffered. For them, the Budget is a bit of non-event and it will continue to be so That is why the £12 billion of welfare cuts that have been pencilled in for some two years now in various statements by the Treasury, and by the Chancellor in particular, are very important. Part of that approach might be to cut away further the support given to people in work, perhaps through the tax credits system, at some future point. Tax credit is to be replaced by universal credit, but the issue remains much the same in terms of how it tapers off and where the losses might come We already know that in many respects universal credit will be less beneficial for a lot of people in work, as they increase the hours of work they do. So how much of this £12 billion will come from that source? Again, people may be given a little bit with one hand, through the increase in the tax threshold, but find that they lose as a result of what the other hand is taking. We just do not know because we have been given no detail; it has been deliberately withheld, although one suspects that someone, somewhere has a plan. It would be strange if they did not have a plan. If, under welfare cuts, we are taking away things such as support for people who are in work, it is extremely important The other area is housing benefit, because, again, that is increasingly being claimed by people who are in work, not just by people who are out of work. Those people who are in work will be hurt again if there are further attempts to reduce the housing benefit bill, by eroding the amounts that individuals get. Again, we have this lack of clarity and detail. It is understandable why some of us are extremely suspicious about the alacrity with which the Prime Minister wished to distance himself from a VAT increase. For all the talk about a long-term economic plan, we have a lack of any clear policy and detail about what the Conservatives will do if they are re-elected. I hope that they will not be in government, so perhaps they do not need to give any detail, but the people who will be voting in a few weeks’ time deserve to know such things. We should not be in the position that we were in before the 2010 election when we were promised things, such as that there would be no VAT increase, that were undone very, very quickly. I do not think that people were told about the scale of the reductions that would be made.
ParlaMint-GB_2015-03-25-commons.u339	My hon. Friend is making a very good speech. She has returned to the point about the scale of the cuts. Is she as concerned as I am about that? My local council has been cut by 43% since 2010. We now have 1,000 people losing their social care packages this year. Is it not very frightening that what we face in the next couple of years are cuts that are deeper than anything we have seen before? I find that prospect frightening for social care and local services, which are already crippled, and for policing—for keeping our local community safe. Does she feel that way, too? We have already seen what has happened—
ParlaMint-GB_2015-03-25-commons.u340	Order.
ParlaMint-GB_2015-03-25-commons.u341	I thank my hon. Friend for her intervention. Clearly, those are the kinds of concern that people have On the VAT proposals, the changes and exemptions that the Government may wish to make for some worthy cause are welcome. I am talking here about the help for organisations such as hospices. But there is scope to go further. I will say something now that, although not Front-Bench policy, is perfectly legitimate to raise in Committee. As someone who has been very involved in housing, I know that the housing world is keen to see VAT relief on improving and restoring properties VAT can make refurbishing properties more expensive than rebuilding. Demolition and rebuild has become a cheaper option than preserving some of our properties. Having worked with many housing associations, I know that there have been times when they have wanted to do that kind of refurbishment and preservation work, but they had to do a massive upgrade behind that to bring the homes up to the required standard. Such a VAT exemption is something for which the housing world has campaigned for a long time. As we all want to increase sustainability, I hope that that is an issue that my own Front-Bench team will reconsider when they are in government.
ParlaMint-GB_2015-03-25-commons.u342	I understand that we are not talking to a benevolent Government here, but as my hon. Friend is listing what she would like to see VAT removed from, I would like to include sanitary products. I know that many of my constituents think that, as those are not luxury goods, they should be exempt from VAT. I just thought that I would add that to the list of things that should have VAT removed.
ParlaMint-GB_2015-03-25-commons.u343	I think that campaign has taken off again, having been going for a considerable number of years.
ParlaMint-GB_2015-03-25-commons.u344	Decades.
ParlaMint-GB_2015-03-25-commons.u345	Indeed. As the current campaigners have noted, there is no VAT on shaving cream, but there is on sanitary products, which suggests—
ParlaMint-GB_2015-03-25-commons.u346	It suggests that men made the law.
ParlaMint-GB_2015-03-25-commons.u347	Yes, it is gender-made law. We will all have received a considerable number of e-mails about that recently, and I am sure that the campaigners would be pleased to hear the Minister commit at least to reviewing the situation.
ParlaMint-GB_2015-03-25-commons.u348	On that issue, growing a beard is an option for a man, but being unhygienic is not an option for a woman. My local food bank is increasingly having to offer women sanitary products because they simply cannot afford them.
ParlaMint-GB_2015-03-25-commons.u349	That is a very interesting piece of information, and it is something that people should bear in mind—
ParlaMint-GB_2015-03-25-commons.u350	Order. It is very interesting, but we are straying a wee bit from what we are supposed to be debating.
ParlaMint-GB_2015-03-25-commons.u351	Thank you for your guidance, Mr Hood. I am sure that you would not want me to stray on to the whole issue of food banks, which would probably take us to midnight In conclusion, new clause 1 would provide us with an opportunity to look at the impact of VAT changes over this Parliament. We believe that they have been regressive and that many of our constituents have been affected, and we are concerned about the future. We need to look very carefully at what has happened before any decisions are made on further increases. We are always taken to task for proposing new clauses to Finance Bills that would set up reviews, and I understand that there are technical difficulties. I am sure that current Government Members will have the same difficulty when they come to scrutinise a Finance Bill in opposition in the next Parliament. Perhaps we will then make the alternative criticisms It is important that we fully understand the impact of the VAT changes, and not just through some kind of impact assessment that is done theoretically, but through an assessment of what has actually happened; they are not always the same thing. However, such proposals have been turned down in every Finance Bill I have encountered in this Parliament. The hon. Member for Dover (Charlie Elphicke)—he has still not returned to his seat—and I are obviously similar; we are either terribly keen to serve on Finance Bill Committees, or we are such a soft touch that when our Front Bench teams or Whips ask, “Wouldn’t you like to serve on the Finance Bill Committee?”, we say, “Oh, all right then.” Some of us have certainly done our stints on Finance Bill Committees, and I am sure that we all hope to be able to do so again from a governmental position.
ParlaMint-GB_2015-03-25-commons.u352	We have had a lively debate and heard contributions from a number of Members who could be described as Finance Bill recidivists. I am delighted that so many of them were able to participate on this, the last occasion to debate tax matters in this Parliament. The hon. Member for Edinburgh East (Sheila Gilmore) talked about VAT on sanitary products. Under EU law, we are permitted to have a reduced rate for sanitary products—indeed, it has been reduced to 5%—but they are not among the products for which we can have a zero rate under EU law. Consequently, without changes at EU level, it is not possible to reduce it further. I have a lot of sympathy with the argument that is made on that point, but it would need to be addressed at EU level.
ParlaMint-GB_2015-03-25-commons.u353	The Chancellor fought incredibly hard in the EU to protect bankers bonuses, so can the Minister tell us what efforts the Government have made to have that rule changed?
ParlaMint-GB_2015-03-25-commons.u354	This has been a long-standing issue. The experience of trying to bring in new zero rates has been very difficult. If an opportunity arose, any future Government would want to pursue that Let me make a couple of points. We need to make progress on a number of items of business this afternoon. On living standards, this Government have taken many steps to help with living standards in difficult circumstances, such as the increase in the personal allowance, the freezing of fuel duty and the freezing of council tax. With reference to the impact on small businesses, this Government have a proud record of helping small businesses in the current difficult circumstances, not least by introducing the employment allowance, which is a cut in the jobs tax, and introducing an exemption for under 21s starting in April, which is a cut in the jobs tax. The following year, there will be no jobs tax for apprentices under the age of 25. We have a record of reducing the jobs tax. That is not the position of Labour My party has set out how we will reduce the deficit in terms of departmental spending, welfare and tax evasion and tax avoidance. Our plans are clear. The same is not the case with the Opposition. There is a black hole in their finances. As a consequence, the risk of a big increase in tax from the Opposition is clear. Their tax of choice is employers national insurance contributions. That is the one that the British public should be frightened of. The Leader of the Opposition refused to rule it out earlier. I understand that a panicky press release was issued this afternoon, but the British public know very clearly what will happen under a Labour Government—borrowing and taxes will go up. Consequently, I urge the British people not to allow that to happen, and I urge the Committee to reject new clause 1 today Question put and agreed to. Clause 66 accordingly ordered to stand part of the Bill. Clause 67 ordered to stand part of the Bill. New Clause 1 Report on impact of value added tax (1) The Chancellor of the Exchequer shall, within three months of the passing of this Act, publish a report on the impact of the increase in the standard rate of VAT which took effect from 4 January 2011 (2) The report must estimate the impact of the increase in the standard rate of value added tax on— (a) living standards; (b) small businesses; (c) the fairness of the taxation system; and (d) economic growth.—(Shabana Mahmood.) Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2015-03-25-commons.u355	I beg to move amendment 1, page 2, line 1, at end insert— “(3) The Chancellor of the Exchequer shall, within three months of the passing of this Act, publish a report on the impact of setting the additional rate of income tax at 50 per cent. (4) The report must estimate the impact of setting the additional rate for 2015-16 at 45 per cent and at 50 per cent on the amount of income tax currently paid by someone with a taxable income of— (a) £150,000 per year; and (b) £1,000,000 per year.”
ParlaMint-GB_2015-03-25-commons.u356	With this it will be convenient to discuss clause 1 stand part and clauses 2 to 5 stand part.
ParlaMint-GB_2015-03-25-commons.u357	It is a pleasure to serve under your chairmanship, Sir Roger. Amendment 1 stands in my name and those of my right hon. Friend the Member for Morley and Outwood (Ed Balls), my hon. Friends the Members for Nottingham East (Chris Leslie) and for Kilmarnock and Loudoun (Cathy Jamieson), and the hon. Member for Brighton, Pavilion (Caroline Lucas). It calls on the Chancellor to produce within three months of the enactment of this Bill a report on the impact of setting the additional rate of income tax at 50%. The report must estimate the impact of setting the additional rate for 2015-16 at 45%—the current higher rate—and at 50% on the amount of income tax currently paid by people with a taxable income of £150,000 and £1 million a year As we all know, the 50p rate of tax for those earning more than £150,000 was reduced to 45p by this Government in 2012. That was hotly debated at the time and it has been hotly debated ever since. The Minister refers to a debate on the additional rate of tax as an annual event whenever we discuss a Finance Bill. Government Members may groan that the debate is rearing its head again, but I am, if nothing else, an optimistic person and I continue to hope that Government Members will be swayed by my arguments and be persuaded to accept our eminently sensible and reasonable amendment.
ParlaMint-GB_2015-03-25-commons.u358	indicated dissent.
ParlaMint-GB_2015-03-25-commons.u359	It is a little unfair of the hon. Gentleman to shake his head at such an early stage of my speech. He should at least give me a chance to develop my arguments.
ParlaMint-GB_2015-03-25-commons.u360	Does my hon. Friend agree that one of the worst aspects is the massive loss to the Revenue? Am I right in recollecting that the projected annual revenue loss to the public purse in 2011 was some £3 billion?
ParlaMint-GB_2015-03-25-commons.u361	My hon. Friend is absolutely right. The measure has a static cost of £3 billion a year, and behavioural changes also have an impact. That is the hot debate in which the Minister and I have been engaged ever since I have been in the shadow Treasury team.
ParlaMint-GB_2015-03-25-commons.u362	The hon. Lady raises an interesting point about the static and behavioural effects. She will be aware that the shadow Chief Secretary to the Treasury said: “We have a choice about a tax rate that would raise £3 billion”.—[Official Report, 5 November 2014; Vol. 587, c. 849.] Does she believe that putting the 45p rate back to 50p would raise £3 billion for the Exchequer?
ParlaMint-GB_2015-03-25-commons.u363	The Minister is tempting me to go further than I want to at this stage, because I am going to develop exactly those arguments about the costing, what the measure is likely to raise, and the inherent uncertainty in the Government’s work and the report that they produced. The Minister will be welcome to intervene once I have reached that point in my speech.
ParlaMint-GB_2015-03-25-commons.u364	As always when it comes to talking about the 50p tax rate, my hon. Friend is incredibly persuasive. Does she not find it strange that the Government are projecting a £7 billion tax cut but refusing to raise tax in this way, so the only conclusion the public can come to is that they must be looking to break their promise and raise VAT?
