ParlaMint-GB_2015-03-05-commons.u1	1. What recent progress has been made by the Airports Commission.
ParlaMint-GB_2015-03-05-commons.u305	I partially agree with the hon. Gentleman about the Barnett floor, but there is one other glaring omission: there is no discussion about taking fair funding for Wales forward. That is a big mistake and should have been considered within the purview of this Command Paper.
ParlaMint-GB_2015-03-05-commons.u306	The right hon. Gentleman is a man for whom I have huge respect as a Member of this House. He is retiring, so may I wish him well in the future and say that he has made a wonderful contribution to this House This is an area on which I am a bit unsure. To my mind, the win we have tackles that problem. We have virtually eliminated the deficit and if that becomes the Barnett floor, funding can rise but cannot fall below it. That is an absolutely fantastic win, and I would be surprised if the Secretary of State did not go in to a little more detail about it in his speech.
ParlaMint-GB_2015-03-05-commons.u307	As ever, the hon. Gentleman is giving a thoughtful and heartfelt speech. I forgive him for suggesting that the deficit has been dealt with, as he put it; it was still £75 billion the last time I looked. However, does he think that Wales would definitely be better off or worse off if we were to have and exercise tax-raising powers? That is the great lacuna in the Tory proposals.
ParlaMint-GB_2015-03-05-commons.u308	This is how the antipathy towards being responsible through income tax in Wales manifests itself in questions and comments from the Opposition. There should not necessarily be any difference. We will be responsible just as we are now; it is just that the people of Wales will have a responsibility to know what the Welsh Government are doing. If the Welsh Government want to raise more money, they can suggest it and they can become accountable for what they doing rather than just blaming Westminster for virtually everything that people do not like My final point is about the proposal to devolve power over energy projects of up to 350 MW to Wales. I accept the logic of the proposal and supported it during most of my eight years as an Assembly Member, but since 2005 the obscene determination of the Welsh Government to desecrate mid-Wales with hundreds of wind turbines and pylons has made it impossible for me to continue to support it. The behaviour of the Welsh Government, and particularly the First Minister, has been shocking and has demonstrated total contempt for the people of Montgomeryshire, whom I represent. It should be a real concern to every Welsh MP that because the people of Powys have refused to bow down before the Welsh Government’s bullying, the First Minister intends to remove planning powers from local planning authorities and to take them for the Government in an act of power centralisation, to ensure that the Welsh Government can push things through despite any local resistance. The Secretary of State may well want to comment on this anti-devolution tendency While we talk about devolution in this place, we have a Welsh Government who are bringing everything back to themselves simply so they can get their own way in the parts of Wales that do not do exactly what they—the Welsh Government—say. In England, we are seeing a drive to devolve powers to city regions and local councils, whereas in Wales we are seeing a centralisation of power in the hands of the Welsh Government St David chose Wales as his home. He was a very wise man. He created a hill that, together with thousands of other hills, makes Wales the wondrous landscape that it is today. I was born among those hills, I shall always live among them. We have a duty to protect Wales for our children so that they can enjoy it as much as we have and as we do today.
ParlaMint-GB_2015-03-05-commons.u309	I remind the House that this used to be called the St David’s day debate. This is not St David’s day, but the feast day of St Caron of Tregaron, a third century Cardiganshire saint. I hope that we can remember him during the course of the day. I do not know whether this will be my last speech in this Chamber, but it might be. It will certainly be my last speech in a Welsh day debate The hon. Member for Montgomeryshire (Glyn Davies) mentioned the first time that the House met to consider Welsh affairs in this format in 1944. I cannot remember that, as old as I am, nor can I remember Lady Megan Lloyd George in the House, although I remember her. However, I remember my first contribution to a debate on Welsh affairs 27 years ago, from the Opposition Benches. Peter Walker was the Secretary of State and the late Alan Williams, whose life we have commemorated and celebrated this week, was the shadow Secretary of State. When I looked at the speeches that I and others made on that occasion, I could see that things have not changed all that much. We had a Conservative Government with Mrs Thatcher as the Prime Minister and the burning issue was the poll tax. Today, of course, we have the right hon. Member for Witney (Mr Cameron) as Prime Minister and in the valleys of south Wales and elsewhere we have the bedroom tax as the poll tax mark 2, something that will undoubtedly be a major issue in the weeks and months ahead and in the general election I was interested in the points that the hon. Member for Montgomeryshire made about accountability and fairness and about the need not to blame Westminster all the time for the ills that confront Wales. Let us remember that when we were debating Welsh matters 27 years ago, there was no Welsh Assembly. There was a Welsh Office and the Secretary of State was a Member of the British Cabinet. In 1987, the amount of money being taken away from Welsh local authorities was significant, and that has not changed either. Many local authorities in Wales are setting their budgets this week. Mine in Torfaen set its budget yesterday; the very able Councillor Anthony Hunt presented the budget to the local authority. He said that he had to see a reduction of £6 million this year from my local authority’s budget on top of £6 million last year and probably another £6 million next year. The Government have reduced the amount of money given to the Welsh Government, so £1.5 billion has been cut from the Welsh budget. Cuts are being pushed from one tier of government to another, so ultimately the local council has to implement the decisions that result from that. Those cuts have come indirectly from Whitehall to Cardiff, whereas 27 years ago it was a more direct route, but the effect is exactly the same. Local authorities today and then face enormous difficulties in dealing with them. I want to turn the attention of the House to the nature of Welsh matters in this Parliament after the general election of 7 May. My hon. Friend the Member for Ynys Môn (Albert Owen) and the hon. Member for Montgomeryshire did well to go to the Backbench Business Committee and secure this important debate, but I regret that they had to. It is not as well attended as it would normally be, for obvious reasons; we face a general election in some weeks time. The Welsh day debate was set up in 1944 to ensure that there was a forum here in the House of Commons not just for Welsh MPs to discuss here in Westminster what matters in Wales, but for every Member who wished to do so take part.
ParlaMint-GB_2015-03-05-commons.u310	I agree with what the right hon. Gentleman says. He will recall that a couple of years ago he and I applied for such a debate and were eventually successful. The point that he makes is correct. Everyone should be able to participate in the debate, not just Welsh Members. It is important that that should be so.
ParlaMint-GB_2015-03-05-commons.u311	As an aside, I add my tribute to my right hon. Friend. He is leaving, like me. We have been good friends for a long time, and we have attended these debates in the House over many years. It is important that we retain the Welsh day debate, the Welsh Grand Committee and the Select Committee on Welsh Affairs, chaired very ably by my neighbour the hon. Member for Monmouth (David T. C. Davies). It is important that we retain the position of Secretary of State for Wales, to be held either by my hon. Friend the Member for Pontypridd (Owen Smith) or by the right hon. Member for Preseli Pembrokeshire (Stephen Crabb), the current Secretary of State, after the election. I have nothing against the current Secretary of State—he is a fine man—but I hope that the positions are reversed, for obvious reasons If we do not ensure that the institutions affecting Wales are retained here in the United Kingdom Parliament, we will affect the way in which our country, by which I mean the United Kingdom, goes forward constitutionally in the decades ahead. We have already seen an enormous change in the political landscape, not simply because we have had devolution for 15 years or so in Wales, Scotland and Northern Ireland. The changes have been beneficial to the people of Wales and undoubtedly, as a consequence of the Command Paper, that will continue. However, we face even greater seismic change The Scottish referendum was won—ish—by we who opposed separation for Scotland, but in a sense it was a pyrrhic victory. I do not know what is going to happen—obviously, no one does—after 7 May, but an earthquake may well occur in Scotland if the Scottish National party gains the number of seats that pollsters and Lord Ashcroft have predicted only today. They suggest that almost every seat in Scotland will be represented by the SNP. I do not think that that will be the case—I certainly hope that it is not—but clearly a big change is happening. We have to reflect on all the changes and how they impact on this place I think that the Prime Minister made a fundamental mistake the day after the referendum by referring to the issue of English votes and English laws. I am not saying that there is not an issue; the so-called West Lothian question has been an issue for every year that I have been in this place. It has to be resolved, but in a consensual manner. The impression that was given in Scotland, and indeed beyond, the day after the result of the referendum was, “Okay, you voted to stay in the United Kingdom, and now we are going to take away the powers of Scottish Members of Parliament.” That was a grave error, not in terms of the constitutional question—we have to resolve that one way or the other—but presentationally. It meant that those of us who wanted the Union to continue, especially in Scotland, were put in a difficult position. We were told that, despite the so-called victory for those who wanted the Union, they would have to be denigrated as Members of this House So when everyone except a few of us is returned to this House of Commons from Wales, we will have to reflect seriously on the responsibility and role of Welsh Members of Parliament as Members of a United Kingdom Parliament. I am a British Member of the United Kingdom Parliament who happens to represent a Welsh constituency. Everything that I do can be done by any other Member, whether they represent Scotland, Northern Ireland or England. That in my view should be the case. We may be able to change the methods by which the House of Commons works in order to deal with the West Lothian question, but essentially we are all the same in this place I have done a bit of research on other countries, and I can find no country in Europe or beyond that makes a distinction between Members of the federal Parliaments and their national Parliaments in what they can or cannot do. Therefore, although many English Members are aggrieved, their grievance cannot go to the extent that it undermines the fundamental nature of the United Kingdom and this Parliament. It would be a grave mistake if we went down that particular line I have had the great privilege of doing the job of Secretary of State for Wales on two occasions under two Prime Ministers, and I believe that there is a job to be done by whoever holds that office, from whatever party. I am not speaking in a partisan way. In fact, those hon. Members who have known me for some years will realise that that is not my style. Often in the House most of us agree on most things—not always; that is the nature of politics, and nor should it be On this matter we should agree. If we did away with the territorial Secretaries of State, the link between the devolved countries and Westminster and Whitehall would disappear. The role of the Wales Secretary is to represent Wales in the Cabinet and to represent the Government in Wales. We would be foolish to do away with that vital link between two Governments and two Parliaments. I can quote dozens of occasions when journalists here in London who do not understand the nature of devolution said, “Let’s put them all together. Let’s do away with the Secretaries of State.” Indeed, many Members of this House believed in that, too, not understanding the very nature of the job. No one is going to take much notice of me, but I make a plea to whoever becomes the Government and the Prime Minister to retain the territorial Secretaries of State. If we do not, it will be another nail in the coffin of the Union, which is so important for all of us as Members of this British Parliament I have had the great privilege of representing my constituency for nearly three decades. I have represented the good people of the eastern valley of Gwent. I hope that whoever succeeds me will have the same duties, responsibilities, privileges and rights. I have been the Member for Torfaen, but also a Member of Parliament of this United Kingdom like any other Member. If we do not maintain that, not only the House but our Union will be in danger.
ParlaMint-GB_2015-03-05-commons.u312	May I say what a great privilege it is for me to follow the right hon. Member for Torfaen (Paul Murphy), who has been such an outstanding Member of the House? I am sure I speak on behalf of all the Members present when I say that we all wish him a very happy retirement, although I half suspect that we may be seeing a bit more of him in the years to come The right hon. Member for Dwyfor Meirionnydd (Mr Llwyd), too, will be leaving this House after a distinguished career. He and I have known each other for a very long time—longer than either of us would care to mention—since we were both practising law in the magistrates courts of north Wales. I wish him, too, a very happy retirement I thank my hon. Friend the Member for Montgomeryshire (Glyn Davies) for his opening speech and the Backbench Business Committee for agreeing to this debate. It is an important debate, which we should have every year because it is, as the right hon. Member for Torfaen points out, extremely important that the unique issues that concern the people of Wales should be ventilated in this Chamber We are in the final weeks of this Parliament and this debate is as useful an opportunity as any for us all to take stock. In constitutional terms, Wales has seen great changes, some of which were initiated by my right hon. Friend the Member for Chesham and Amersham (Mrs Gillan), who gave strong and sterling service as Secretary of State. But there are more changes to come, which were announced by my right hon. Friend the Prime Minister in Cardiff last week. These will be matters for the next Parliament and we will all have our views as to the course that those changes should take, but this is a useful opportunity to consider what has happened over the past five years In 2010 the incoming coalition faced the worst set of economic circumstances that any incoming Government had faced since, possibly, the 1930s. The country was still reeling from the crash of 2008 which, although a global catastrophe, was more keenly felt in Britain than perhaps in any other country in the developed world because Britain was carrying the worst structural deficit of any major country, largely as a consequence of what I would term the economic mismanagement of the Labour Government. The coalition Government therefore, in which I had the privilege to serve for more than four years, had difficult decisions to take. We are constantly criticised for what are styled as cuts by the Opposition, but cuts were essential. It is the easiest thing in the world for any Government not to take the difficult decisions. We took those difficult decisions.
ParlaMint-GB_2015-03-05-commons.u313	Does my right hon. Friend agree that one of the biggest cuts that we have made is in the amount of interest that we are paying the banks on the increasing amount of money that we were previously borrowing, and that that is one cut we should be making?
ParlaMint-GB_2015-03-05-commons.u314	The interest is declining—that is the point. Had we not taken those difficult decisions, we would be spending more money on paying interest to banks than on providing services to the people of this country, so my hon. Friend is right Five years on from that—
ParlaMint-GB_2015-03-05-commons.u315	Does the right hon. Gentleman agree that the styled cuts, as he put it, also resulted in a massive increase in in-work poverty, resulting in an extra £9 billion spending on social security under this Government?
ParlaMint-GB_2015-03-05-commons.u316	The decisions that we took were difficult and, clearly, people have felt pain. But people across the board have felt pain. It is interesting to hear the criticisms from the Labour party. What would have happened if that party had remained in power? Where would we be now? Under this Government 1.85 million new jobs have been created. That is 1.85 million people with the security of a pay packet every week and the dignity that employment brings.
ParlaMint-GB_2015-03-05-commons.u317	rose—
ParlaMint-GB_2015-03-05-commons.u318	No, I will not give way. I will continue for a while Those new jobs would not have been created, had the hon. Gentleman’s party been in power In my constituency, Clwyd West, the improvement is tangible. The last Labour Market Statistics showed that over 12 months, the number of people claiming jobseeker’s allowance or not in work and claiming universal credit fell by 519 over 12 months—an annual decline of 34.5%. Those figures are mirrored right across Wales and right across the UK. In January, the International Labour Organisation measure of unemployment was 1.86 million people, down 486,000 on the previous year.
ParlaMint-GB_2015-03-05-commons.u319	rose—
ParlaMint-GB_2015-03-05-commons.u320	No, I will not give way for the moment These are strong, substantial changes, which we should all welcome, even the hon. Member for Pontypridd (Owen Smith), while acknowledging the task ahead. [Interruption.] He will have plenty of time to speak I would like to focus my attention today primarily on north Wales, which is the part of Wales in which I have lived nearly all my life and which I know best. I was brought up in the village of Rhosllanerchrugog near Wrexham, a very unusual, strange, unique and wonderful village. At the time of my boyhood, most of the working men were employed in coal mines and in the steelworks. Since then, there have been huge changes. We all know that the coal industry has virtually gone and the steelworks in north Wales are much smaller than they used to be. But now, north Wales is the home of dynamic new industries The wings of every Airbus aircraft that flies anywhere in the world are made in Broughton, in north-east Wales. Close to Broughton is the Deeside industrial estate, part of which is now an enterprise zone. There, high-tech industries serve customers across the globe. Deeside is one of the most dynamic, forward-looking, thrusting industrial areas of the United Kingdom and we should all take huge pride in it. On the other side of the region of north Wales is the island of Anglesey, where we see the Wylfa nuclear power station, which will soon, I hope, be replaced by a new power station, Wylfa Newydd. That will be a gigantic project employing many thousands of people for many years during the construction phase, and many people for decades after the station is up and running. It will provide the opportunity for the creation of centres of excellence in skills, education and training and I am tremendously pleased that the island of Anglesey has welcomed the developers so warmly Wylfa is only one element of what I believe is a bright future for north Wales as an energy hub. Out to sea, we have the Gwynt y Mor, Rhyl Flats and North Hoyle offshore wind farms, one of the largest groupings of offshore wind farms anywhere in the world. Let me be frank: as many hon. Members know, I have never been a huge fan of wind power. I believe that it is unreliable, supplying only intermittent and unpredictable energy, and it is far too heavily subsidised. Furthermore, onshore wind, and to a certain extent offshore wind, blight—as my hon. Friend the Member for Montgomeryshire put it—the spectacular landscapes, both onshore and offshore, of north Wales Nuclear power, by contrast, provides predictable and reliable base-load generation, which is precisely what is needed. However, nuclear must be seen as part of an energy mix. Wind is currently part of that mix, but I was extremely pleased when the Prime Minister indicated only a few weeks ago that subsidies for onshore wind farms will be phased out under the next Conservative Government A new technology, and one that has been developed in Wales, is that of tidal lagoons. I remember taking evidence on tidal lagoons several years ago when I was a member of the Welsh Affairs Committee. I was immediately struck by what a tremendous opportunity they represented for Wales, given its huge tidal ranges. The technology has been slow in coming, but it appears that it will soon be here. The company Tidal Lagoon Power has not only made an application for development consent for a new lagoon in Swansea, but has ambitions to create a chain of lagoons stretching from Lancashire in the north, right around the coast of Wales, to Somerset in the south. Only a few weeks ago I chaired a meeting in Colwyn Bay to discuss proposals for a huge tidal lagoon there. It would have a potential generating capacity of 4 GW, which is equivalent to a very large nuclear power station Lagoons have the advantage of being green—they produce no carbon emissions—but they also have what wind power lacks: they are entirely reliable. Nothing on the planet is more reliable than the ebb and flow of the tide. As a result, each tidal lagoon would have the capacity to generate for 22 of every 24 hours. This is a new technology, and a British technology. Moreover, it could be centred in Wales. I believe that Wales could become a leader in what could rapidly become an important export industry Obviously there are environmental issues to consider, not least with regard to transmission infrastructure, which is having a catastrophic effect across Wales. My hon. Friend the Member for Montgomeryshire mentioned the impact that transmission lines would have in Montgomeryshire. Equally, in my constituency of Clwyd West there is now a strong campaign aimed at requiring the transmission lines serving the new Clocaenog wind farm to be buried underground. Saving the planet should not mean at the same time trashing our landscapes and seascapes. I therefore strongly support the proposition that developers of wind farms, which are heavily subsidised, should be required to pay the cost of laying transmission cables underground I would like to touch on transport in north Wales. The railways are increasingly important in north Wales, and they are being used increasingly heavily, as is the case across the country. Journey times have improved tremendously. When I was first elected to his House some 10 years ago, the journey back to London from Colwyn Bay on a Sunday took some four and a half hours. As a result of efforts by both the previous Labour Government and this Conservative Government, that has been reduced dramatically—the same journey now takes almost exactly three hours. The fast train, which I hope to take tonight, takes approximately two and three quarter hours That is all commendable, and it is a tribute to the work done by Network Rail, but we must look to the future. We know that HS2 will be built and that it will go to Manchester. It is important that north Wales should benefit from it, which is why I believe that the new hub proposed for Crewe should be built and that there should be a fast connection right through to Holyhead. We must bear it in mind that north Wales is very much part of the north-western economic region; economically, the region has always looked to the great cities of the north-west, Liverpool and Manchester. I was therefore delighted when last year the Chancellor announced funding for the reopening of the Halton curve, which will put Liverpool and the expanding Liverpool John Lennon airport within easy travelling distance of north Wales In north-east Wales we should seek to maximise the economic benefit we can derive from the new enterprise zone at Deeside by encouraging synergy with the new enterprise zone at Wirral Waters in Birkenhead. There is a railway line linking Liverpool and north Wales, but the difficulty is that passengers have to change at Bidston from an electric train to a diesel one to take them through to Wrexham. I believe that a very good improvement, and one that could be achieved at relatively low cost, would be to electrify that line, certainly between Bidston and Shotton, where a new interchange is proposed. That would mean that the two great enterprise zones at Deeside and Wirral Waters would be within easy commuting distance of each other Tourism has always been the mainstay of the north Wales economy, but I believe that more could be done for it. One simple measure that is acquiring support from hon. Members from all parties is to give serious consideration to reducing the rate of value added tax on tourism businesses. That has been tried out in competitor countries, not least Ireland, and has been found to be entirely successful. It has been calculated that the immediate loss of revenue would be made up within four years. The big problem is that, in areas such as north Wales, most tourism businesses are run by small family undertakings that, in order to remain competitive one way or the other, try desperately to avoid being registered for VAT, the consequence of which is that they are deterred from expanding and improving their businesses because they cannot have the benefit of input VAT to set against the cost. Therefore, one measure which should appeal to my right hon. Friend the Chancellor, and to which I hope he will give serious consideration in the impending Budget, is to reduce the rate of VAT for tourism businesses to 5% Finally, I want to touch on a matter that is worrying to everybody with a constituency in north Wales, namely health care. I know that the issue is a hot potato in this House and that Government Members are frequently criticised for criticising the Welsh Government’s delivery of health care. The fact is, however, that areas such as north Wales are almost entirely reliant on the north-west of England and the midlands for very specialist medical care. It has been a concern for many years that north Wales patients have to wait considerably longer than their English counterparts for elective surgery in English hospitals, simply because of the way in which the Welsh Assembly Government fund health care The situation is getting worse. Yesterday in Prime Minister’s Question Time the hon. Member for Arfon (Hywel Williams) mentioned his constituent, Mr Irfon Williams, who has been obliged to move out of Wales to Ellesmere Port in order to access drugs that he would have got routinely had he been resident in England. He is not by any means a unique example. I have a number of constituents who, because they live in Wales, simply cannot access the medicines they need. They have to go through the most byzantine consenting procedures if they are to have specialist treatment. Frankly, the matter is causing huge distress in north Wales. The situation was compounded recently by the decision of the Betsi Cadwaladr university health board to downgrade maternity care in Glan Clwyd hospital, because it is finding it difficult to attract staff of the necessary calibre and quality I believe that that shows that there are structural difficulties with the health care system in Wales under the Welsh Government. It is suggested that the Welsh Government have been subject to cuts, but the fact is that the Barnett formula protects the health budget in Wales. The simple fact is that the Welsh Government, of their own volition, decided to cut the health budget, and the consequence is that patients in my and other north Wales constituencies are suffering I am rapidly coming to the view that the Welsh Government are finding it almost impossible to run a decent health system in Wales. Before I sit down, I plead with them to look very carefully at the misery being inflicted on a lot of people in north Wales and to turn to the Department of Health in Westminster for advice. They should not be too proud to do so. Until they do so, I believe that health care in Wales will only continue to decline.
ParlaMint-GB_2015-03-05-commons.u321	rose—
ParlaMint-GB_2015-03-05-commons.u322	Order. We have plenty of time for this important debate this afternoon, but if hon. Members take an inordinately long time they will deprive their colleagues of the opportunity to speak. That may be their intention, but to have a degree of fairness I implore hon. Members to take about 12 or 13 minutes. That is a long time: if they have something to say, they can say it in 12 minutes.
ParlaMint-GB_2015-03-05-commons.u323	I congratulate the hon. Members for Ynys Môn (Albert Owen) and for Montgomeryshire (Glyn Davies), who were instrumental in bringing this debate to the Floor of the House, and I am grateful to the Backbench Business Committee for granting permission for it Ultimately, however, I believe that it is a great shame, as was said by the right hon. Member for Torfaen (Paul Murphy), that the Government have not ensured there is always a St David’s day debate in the calendar. That is especially true this year, given the St David’s day announcement last week, to which I shall turn later. It is right and proper that the Government Command Paper should be debated on the Floor of the House, as it is that Welsh Members should get to debate Welsh matters on or as near as possible to St David’s day each year. It is to the Government’s great shame that such debates have not been secured. By making this plea, I once more hope that somebody somewhere will listen and we can revert to the ordinary processes that used to take place I shall talk about the Command Paper, the so-called St David’s day agreement, in greater detail in a moment. Suffice it to say at this stage that the proposals will still leave Welsh devolution far behind that in Scotland and Northern Ireland. The announcement on funding public services still leaves Wales considerably worse off, to the tune of about £1.2 billion per annum, compared with Scotland If I may, I will say a brief word about the discussions that led up to the Command Paper. It is almost an open secret that the main obstruction to any meaningful progress during the discussions was, unfortunately, the London Labour leadership, which it seems to me was often at loggerheads with its Cardiff Bay counterpart. In the end, it is the Westminster wing of the Labour party that has the final say over its colleagues in Cardiff, a point which the electorate will do well to heed on 7 May.
ParlaMint-GB_2015-03-05-commons.u324	I pay tribute to the right hon. Gentleman for his long and excellent service in this House. He sat alongside me in several of the meetings, so he knows that what he has just said is simply not consonant with the facts. Given that the Welsh Labour Government and I, on behalf of the Labour party, have spoken about going further than the current Government on the devolution of the Work programme and policing, what elements of the programme is he suggesting I have blocked?
ParlaMint-GB_2015-03-05-commons.u325	If the hon. Gentleman wants me to tackle him on this, I shall do so. I will throw one in straight away. He argued strongly and vehemently against the devolution of policing.
ParlaMint-GB_2015-03-05-commons.u326	rose—
ParlaMint-GB_2015-03-05-commons.u327	Just a moment. The Silk commission very strongly suggested that we should devolve policing. The hon. Gentleman said that there was no call for that in Wales.
ParlaMint-GB_2015-03-05-commons.u328	rose—
ParlaMint-GB_2015-03-05-commons.u329	Let me finish. If the hon. Gentleman had read the evidence to the Silk commission, he would have seen that four of the forces in Wales were in favour of it, and only one police and crime commissioner—Mr Salmon—said that he was not. All the evidence was in favour and the Silk commission strongly suggested it, but the hon. Gentleman vetoed it.
ParlaMint-GB_2015-03-05-commons.u330	I am grateful to the right hon. Gentleman for giving way again to let me put the record straight. I hesitate to suggest that he is in any way misinforming the House, but that is not my recollection of the conversations we were involved in. My recollection is that we had misgivings about the immediate devolution of criminal justice, but the fact that I announced a fortnight ago at the Welsh Labour conference that we would devolve aspects of policing to Wales—neighbourhood policing and an all-Wales policing plan—gives the lie to what he has just said.
ParlaMint-GB_2015-03-05-commons.u331	No, it does not. I saw the hon. Gentleman sitting next to the First Minister who, while we discussed policing, put his head in his hands when he understood that devolution had been vetoed. We discussed that then, and I made a point of referring to what I have just said in the hon. Gentleman’s presence. It is all very well for him to throw in a sprat later on—some minuscule part of policing—just to salve his conscience and get back on speaking terms with the First Minister, but that is not good enough for me, and it is not good enough for anybody else in the Chamber. I have made the point.
ParlaMint-GB_2015-03-05-commons.u332	rose—
ParlaMint-GB_2015-03-05-commons.u333	I give way for a final time, because I need to get on.
ParlaMint-GB_2015-03-05-commons.u334	For the third time, and for the avoidance of doubt, the right hon. Gentleman is not representing matters accurately in the House. I am clear that, and the leader of the Labour party announced at our party conference that, we would be devolving an all-Wales policing plan, including statutory power over neighbourhood policing and the structures of policing, to the Welsh Government. That is the fact, and he cannot gainsay it.
ParlaMint-GB_2015-03-05-commons.u335	Right. Well, I will not go further on that, but the Secretary of State is in the Chamber and he will no doubt make some comments in due course. He was party to those discussions so perhaps his recollection will be useful, to see whether he agrees with me or with the hon. Gentleman. In any event, I will move on The Command Paper is not an agreement in the full sense. Obviously, we have all been discussing for some months what should or should not be included in it, and there is a promise to legislate after the election. The proposals would still leave Welsh devolution far behind that in Scotland and Northern Ireland, and despite what the hon. Member for Montgomeryshire said, the announcement of the Barnett floor leaves Wales worse off compared with Scotland. We are unable to celebrate proposals that amount to a row-back on a compromise that already existed in the Silk commission.
ParlaMint-GB_2015-03-05-commons.u336	I am grateful for the incredibly constructive and principle-led way that the right hon. Gentleman engaged in our discussions in the run-up to the St David’s day announcement. He says that the package is not as advanced or radical as he interprets the Scottish package to be, but does he genuinely believe that the people of Wales, given the centre of gravity of Welsh public opinion, want a devolution settlement that is the same as Scotland’s?
ParlaMint-GB_2015-03-05-commons.u337	I would argue yes, because we need to get away from this pattern of asymmetrical devolution, which is complicated, time-consuming and ends up in references to the Supreme Court and so on. I know the reserved powers model will assist there. Yes, I do believe that. The major problem—I say this quite sincerely—is that we are not hitting on a fair funding formula for the future. The right hon. Gentleman knows that we discussed that issue in Committee and that the Barnett floor is of assistance. He also knows, as I have said before, that it is not the be-all and end-all or the ultimate answer to fair funding for Wales.
ParlaMint-GB_2015-03-05-commons.u338	When talking about a funding settlement, does the right hon. Gentleman acknowledge that Wales’s current settlement falls within the Holtham recommendation at £116 for every £100 spent in England? His recommendation was a figure between £114 and £117.
ParlaMint-GB_2015-03-05-commons.u339	My point is that the way the Barnett formula operates in Wales is still unfair in comparison with the amount paid out in Scotland—I am sure my friends in the Scottish National party would hit me over the head if they were here, but I will take advantage of the fact that they are not. It is a difference of £1.2 billion per annum, which is a lot of money. I remind Members that the current process on further powers for Wales began about four years ago. The issue of funding was then outside its remit, which I believe was a mistake, whether deliberate or not. Fair funding for Wales has gone for the time being, and it continues to be a major issue that the commission could have settled or commissioned work on for the future We entered these discussions in good faith and attempted to be constructive, as the Secretary of State said. I am not jumping up and down and screaming about the result—there are good things in the Command Paper, which I will refer to in a moment. However, we have missed an opportunity to have all the tools further to develop the economy of Wales, and to give the Welsh people further accountability for and control over the way they run their lives, and over the way money is spent for the economic good of Wales.
ParlaMint-GB_2015-03-05-commons.u340	I would like to take the opportunity to wish the right hon. Gentleman all the best for when he leaves this House and to thank him for his service to it. Is not the logic of the position he outlined on Barnett that, since the unfairness exists between Wales and Scotland, his recommendation would be to take money from the Scottish settlement and redistribute it to Wales, rather than take it from the English settlement to achieve the same thing?
