ParlaMint-GB_2015-02-12-commons.u1	Object Bill to be considered on Thursday 26 February.
ParlaMint-GB_2015-02-12-commons.u222	I am grateful for the Minister’s clarification, but I am sceptical about the potential of the orders to stop demolitions. Earlier in the debate, a colleague of his on the Government Benches—the hon. Member for Worthing West (Sir Peter Bottomley), I think—suggested that the costs of ACV should be placed on the developers, rather than falling on the local authority. Does the Minister see any merit in that?
ParlaMint-GB_2015-02-12-commons.u223	I will very shortly come on to the points raised about the process of listing ACVs and any costs that may arise It is right that non-viable and underused pubs and other commercial buildings should be able to change use quickly to respond to changing local demands. There are lots of reasons why pubs may close. As I said in the debate on the Infrastructure Bill, there could be demographic reasons, and the hon. Member for North East Derbyshire (Natascha Engel) made exactly the same point today. There could also be reasons of local employment—there may be a factory closure, or the location of a football stadium may move, which happens fairly often. There are lots of reasons why pubs may no longer have their former customer base and patronage. We are saying it would be inappropriate, and, in fact, disproportionate, for the planning system to have blanket protection for every single pub in the country, when there may be perfectly good reasons why a permitted development right is appropriate.
ParlaMint-GB_2015-02-12-commons.u224	Can we be clear? This is not about giving more protection; it is simply about allowing people the right to have a say over a change of use. Will my hon. Friend accept that the reality of what is going on is that profitable pubs are being closed deliberately as secret deals are done between large pub companies and large supermarket chains? It is nothing to do with pubs that are not viable or not wanted. Can he accept that point, and what is he going to do about it?
ParlaMint-GB_2015-02-12-commons.u225	I accept what my hon. Friend says about supermarkets, and I assure him I am going to come to that point. The change that he wants and the motion suggests is not modest, however. It is quite a big change to the planning system to give blanket protection to one particular retail use of a piece of land Let me depart slightly from my remarks, as I have been provoked. There are probably lots of high street retail uses that different Members around the House might lament the loss of, as shopping areas have changed during our lifetime. I like going to pubs—I have even been to the pub with my hon. Friend several times and hopefully he will buy me a drink again very soon because we have not fallen out too much over this issue—but I am a bibliophile and really enjoy going to bookshops, and I lament the fact that many towns have lost all their bookshops. Even a seat with well-educated constituents such as mine, Bristol West, where there are lots of book- readers has experienced this; the number of bookshops open and trading in Bristol since I went there as a student in 1985 has shrunk markedly in recent years. Is the reason for that because there is not enough protection? The Opposition Whip, the hon. Member for Clwyd South (Susan Elan Jones), was chair of the Labour club and I was chairman of the SDP-Liberal club at Bristol university at the time, and she will remember that there were lots of bookshops. There are not so many now Has that change happened because there is no protection in the planning system for bookshops—or for bakeries, or for other uses people value in the high street and wish were still there? No, it has not. It has happened because customer tastes and purchasing patterns change. We cannot have a planning permission that stands in the way of people changing how they buy things and exercising their commercial choices.
ParlaMint-GB_2015-02-12-commons.u226	That is not the point we are making. All of us have said pubs that are no longer viable are very different from pubs that are perfectly viable. The Wellington in New Whittington is a heavily used pub, but the company that owns the building can make more money by selling it to a supermarket than by keeping it as a pub. It is still making money, however; it is making plenty of profit.
ParlaMint-GB_2015-02-12-commons.u227	It is, perhaps, difficult to pick on individual examples without getting into trouble, but one of the bookshops in my constituency closed because a well-known TV personality restaurant-owner paid more for the renewal of the lease than it could afford even though it was trading profitably as a bookshop. Now there is a much-shrunken version of it further down the road. We cannot have a planning system to protect every single piece of economic use of land in towns and cities in that way. We have to reflect the fact that commercial patterns change. That is what our constituents are doing; they are changing the way they buy books, and the way they drink and eat.
ParlaMint-GB_2015-02-12-commons.u228	In a previous life, when I last had a proper job, I was a director of a publishing company so I know a little bit about bookshops and the book trade. Bookshops have closed for many reasons, in particular the growth of the internet and Amazon, but that is not the same as the conversion of a bespoke building in a neighbourhood, designed for the one purpose of being a pub, despite its being perfectly profitable and there being no evidence that people are buying their alcohol online from Amazon these days. We are talking about a completely different scenario. We are talking about profitable businesses in bespoke premises being taken over for another use.
ParlaMint-GB_2015-02-12-commons.u229	I do not disagree with my hon. Friend. I am simply saying that the planning system has a column of use classes and different examples of commercial uses, and that it cannot always give protection to every kind of commercial use in that column of use classes. Other factors also come into play.
ParlaMint-GB_2015-02-12-commons.u230	Will the Minister explain to me in simple terms why protected development rights should apply to launderettes—and all those other categories—and not to public houses?
ParlaMint-GB_2015-02-12-commons.u231	I am being invited to depart from my prepared remarks again, but that is the nature of debate. I do not know the whole history of the planning system. It has obviously evolved over a long period since the original Town and Country Planning Act 1947, which was passed by the Attlee Government. There may well be anomalies within the system; I am not aware of its full history. The motion gives examples including theatres and launderettes. I do not know how many theatres there are in Easington compared with the number of pubs, but I can tell the hon. Gentleman that in my constituency of Bristol West there are hundreds of pubs and only two theatres: the Bristol Old Vic, the oldest and longest-running professional theatre in the country, and the Bristol Hippodrome. I am thinking off the top of my head here, but this is probably a matter of proportionality. Theatres are important to the community, and there are likely to be only a few in any given town or city, which might be why they are given that protection The same could apply to launderettes, although on the face of it, that might seem odd. There are far fewer launderettes in my constituency than there are pubs, and every time someone tries to close one, the local residents use the planning protections to fight the closure. Launderettes are obviously important, particularly for people who live in flats or houses of multiple occupancy. They are also important in city centres and university towns, where not everyone has the facility to wash their clothes at home. I think that that is why there is a distinction for launderettes, and I would not put the hundreds of pubs in any given location into that same category. Local planning authorities can currently protect pubs by making an article 4 direction, which has the effect of removing national permitted development rights, and they can use that power where it is necessary to protect the amenity or well-being of an area. Once a direction takes force, a planning application must be made before any development can take place. Article 4 directions can be targeted at individual pubs or applied over a specified geographical area, as appropriate. The shadow Minister had some questions about article 4 usage, but she is no longer in the Chamber. She will be able to read my answers in Hansard, however The Secretary of State no longer has the power automatically to block article 4 applications, but he does have the power to ensure that they are not being applied completely disproportionately—right across a local authority area, for example. They are meant to be targeted. More than 130 local planning authorities currently have article 4 directions in place, 26 of which apply specifically to pubs. They include pubs in the London boroughs of Wandsworth, Camden, and Kensington and Chelsea, as well as in Bristol and Cambridge. So the powers are being used, but not as extensively as CAMRA would like. That is one reason that we considered bringing forward the change that was announced on the day of the Infrastructure Bill’s Report stage The listing of assets of community value under the Localism Act gives local people a greater stake in the future of assets listed and triggers a moratorium on any sale, enabling local people to develop a bid to buy the asset and ensure its continued contribution to their community. We welcome the fact that a third of the 1,800 assets across the country that have been listed so far—around 600—have been pubs. This has been by far the most popular use of the right, which has been in place for the past couple of years—not four years, as my hon. Friend the Member for Leeds North West said. Those pubs include the Greenbank pub in Easton, in my constituency. I know that my hon. Friend the Member for Bristol North West has recently been involved in getting Lamplighters pub in her constituency reopened, and I should like to extend an invite to her. She and I should go to The Lamplighters to celebrate her engagement —maybe this weekend. I will buy the drinks for me and her, and for John, and we will find the necessary 21 people who want to list the pub as an asset of community value so that we can get it protected. Let us see if our diaries work.
ParlaMint-GB_2015-02-12-commons.u232	You’re on!
ParlaMint-GB_2015-02-12-commons.u233	I fully understand the widespread concern that pubs that are valued by communities could still be lost because of the regulatory environment of the planning system. That is why, on 26 January, we announced our intention to disapply the permitted development rights for the change of use or demolition of any pub that is listed as an asset of community value. I hope that that addresses the point made by my hon. Friend the Member for Castle Point (Rebecca Harris) about the King Canute on Canvey Island Pubs are not just useful to local communities as gathering places; they can also be significant landmarks along the high street. That is certainly true of the Ashley Court hotel in my constituency, which I mentioned earlier. It did not quite come up to scratch in terms of architectural merit, which is often the problem in big cities that have lots of listed buildings, but it was nevertheless an important landmark and now it has gone. However, demolition will now come within the scope of the changes that we are making The measure will be effective for a five-year period from the date of disapplication of the permitted development rights. That will affect the loophole to which my hon. Friend the Member for Leeds North West referred. Under the present listing rules, if a sale takes place, the clock starts again on the listing. We have already foreseen that loophole, and I am grateful to CAMRA for discussing it with me. We are therefore proposing that the protection should be in place for five years from the date of the disapplication. That will mean that, for those pubs, a planning application must be made to a local planning authority before a change of use or demolition of the pub can take place. That will give the decision back to the council representing the local community—giving people a say, as has been suggested several times—and provide an opportunity for local people to express their views and offer any counter proposals I want to deal with some of the other points raised in the debate. The process for listing assets of community value has been described as bureaucratic and costly. The hon. Member for North East Derbyshire said that communities might not have the ability to deal with such a process. I understand that these rights are quite new and that there is still some knowledge to be gained about how they should be applied. That is why other Ministers and I, along with representatives of the partner groups we are working with in the Localism Alliance, are going round the country explaining how these community rights work. We know that there is still some awareness to be raised, however. The process for listing assets of community value is actually very straightforward. The requirement is simply to find 21 people who support the listing of a building or piece of land as an asset of community value and to submit an application to the council. There is absolutely no cost to that group of 21 or more people; the cost to them is zero My right hon. Friend the Member for North East Bedfordshire (Alistair Burt)—who has had to leave the debate early to attend another engagement—asked whether we will review the changes after 12 months. They are linked to the Localism Act rights that we have introduced, and we have already committed to conducting a formal review of how that Act is being applied, later in 2015. We have already been gathering evidence informally, including from CAMRA, on how the rights are being used, and that review will certainly happen My hon. Friend the Member for Bristol North West asked how to publicise the rights, and that is particularly important now that the listing of an asset of community value will have even more teeth than before. I suggest that, as constituency MPs, we will all want to publicise all sorts of things over the next few months, so we now have a real opportunity to go out into our communities and raise awareness of these issues. I think that my hon. Friend the Member for Leeds North West mentioned his occasional use of the pubs in Otley. I follow him on Twitter and from what I read I think he is much more than an occasional user. We should go out into our communities and publicise these changes. CAMRA, which has been working with the Department as a valued partner for quite some time now—since the Localism Act rights came into place—has published its own “how to” guide on listing assets of community value. I am sure CAMRA will update it to take into account the new teeth this new right will have I have dealt with the cost of listing, but my hon. Friend the Member for Leeds North West and the hon. Member for Easington (Grahame M. Morris) also mentioned the cost to authorities of listing assets. I was surprised to hear my hon. Friend say that Leeds city council says it takes 16 hours of officer time to deal with each application—I believe that is what he said, but he will correct me if I am wrong. No doubt my officials back in Marsham street will have picked up on that and will check whether it is the case. The procedure is quite straightforward in the legislation. We are aware, and some of the evidence we have been gathering from partners shows, that some local authorities are gold-plating what they need to do under the regulations. I do not suggest that Leeds city council is necessarily doing that, but we are aware that it is happening in some places. The procedure, as laid down in the Localism Act, is straightforward for listing an asset of community value. It is very simple for the promoters of that listing and it ought to be similarly simple for the local authority to consider whether the proposal meets the tests, as set out in the legislation My hon. Friend and others referred to the practices of pub property companies and others who deliberately promote the closure of local pubs in their area. I was made aware this morning of a report in the Evesham Journal about NewRiver Retail writing to 11 of its owned pubs in the Dudley area, which it seems to want to convert into Co-ops, and suggesting that the pub managers, for an incentive—I put it no strongly than that—should not seek to obstruct what it is doing. Planning law cannot stop all those sorts of commercial practices, but if any of the pubs in Dudley or elsewhere are important to the local community, people should get out there right now and list them, in order to give protection We believe the measure we have proposed strikes the right balance between protecting valued community pubs and avoiding the blanket regulation that could lead to more empty buildings around the country. We intend to introduce the required changes to secondary legislation at the earliest opportunity, and we will lay the regulations before the end of this Parliament. The Government have in place common commencement rules for changing business regulations on 6 April and, I believe, 6 October each year. We intend that these regulations will come into place on 6 April 2015—that deals with a key question Members asked—and we will lay the statutory instrument necessary for that in good time to make sure it happens I invite all hon. Members to join me in urging local communities to come together to support their local pub, use the community rights we have given them and nominate their local pub as an asset of community value. As I said, 600 pubs have been nominated so far. That is a good start, and if we all get behind this, working with CAMRA and local amenity groups, that number can expand significantly in a short time. If people think their local pub plays a key social and economic role in their community, they should act decisively and act now. They should not be reactive. I think someone spoke earlier about these changes and people being reactive. People should be proactive. I have been saying that, as other Ministers have, for the past 18 months or so. People should not wait for a threat. The right is there now, so please use it. If people think any community asset is important, they should list it now—they should not wait for a threat to come along The change we are making has been described as “modest”, but giving planning protection to pubs that are listed as an ACV is a significant change. The Government can fairly say that, without doubt, the future of local pubs will now lie in the hands of local people.
ParlaMint-GB_2015-02-12-commons.u234	I thank everyone who has taken part in this debate. I will return to the Minister’s comments, but first I wish to thank him for his congratulations on my engagement. I will be delighted to take up his offer of a pint in The Lamplighters. As he knows, he can get there from his constituency via the Severn Beach line, which may one day be a Henbury loop—who knows?
ParlaMint-GB_2015-02-12-commons.u235	What has that got to do with the debate?
ParlaMint-GB_2015-02-12-commons.u236	It was a terrible abuse of local knowledge, and I apologise to my hon. Friend for taking up his time in that way We heard some fantastic speeches today. The hon. Member for North East Derbyshire (Natascha Engel) summarised excellently the value of pubs beyond the immediately obvious, talking about their community value and all the other activities that take place in them, which include knitting, crèches, children’s tots groups and coffee mornings; some £120 million is also raised for charities each year My hon. Friend the Member for Castle Point (Rebecca Harris) powerfully illustrated the real-world consequences of the current situation, providing exactly the gritty detail that I hope will keep this issue in the Government’s mind through 2015 and beyond. The hon. Member for Easington (Grahame M. Morris) also touched on the enormous amount of work that I know he has done on the statutory code for pubcos, which has until recently been a pretty grim backdrop to the pub situation. I am pleased that the Government have moved on that, largely thanks to his efforts and those of the hon. Member for Leeds North West (Greg Mulholland) The hon. Member for Leeds North West was, as ever, a powerful blast of reality. He illustrated excellently the practical realities of an ACV bid. For some communities it may be easy but for others it is not nearly so easy, depending on discrepancies between local authorities and between the nature of the communities affected by the potential loss of their pub. He also gave news of his Otley Pub Club collective bid. We wish him luck with that and we will be interested to see how he gets on My hon. Friend the Member for Bromley and Chislehurst (Robert Neill), who gave his apologies for not being able to be in his place now, gave a balanced assessment, using the benefit of his experience and expertise as a superb and first pubs Minister. He made some sensible suggestions and I very much hope we can progress them. The hon. Member for City of Durham (Roberta Blackman-Woods), who is also not able to be in her place now and has courteously given her apologies, made a statement that many of us perhaps agree with, especially given the time. She wished that this debate had not been necessary, and a lot of us would say “Hear, hear” to that Let me return to the Minister’s response. As I say, I look forward to discussing this further over a pint in The Lamplighters and perhaps any other pub he wishes to name. Importantly, he reminded us of the significant positive impact the Government have had on pubs, which is possibly easy to forget; in trying to get the best, we should not make an enemy of the good. There is concern that perhaps he had missed the point of the debate, which was not about commercial viability and protecting those things that are not commercially viable, but simply about allowing communities to have their say when there is a change, be it commercially viable or otherwise. His measures to close loopholes on ACV are welcome, as is the pledge that the way ACV is working out—that is separately from aspirations about how it might work out—will be reviewed as part of a formal review of the Localism Act. I am very pleased that we have received assurances that that element will be considered. It is also welcome that we now have a date, 6 April, for the moves that the Government have made to enhance the status of ACV. Most of us in this House would agree that on planning protection of pubs it is, “Time, gentleman and ladies, please. Time.” Question put and agreed to. Resolved, That this House notes New Economics Foundation research showing that local economies benefit twice as much from a pound spent in a pub rather than a supermarket; expresses concern that valued and viable pubs are being lost due to permitted development rights which allow pubs to be demolished or turned into supermarkets and other uses without planning permission, denying local people any say; notes that supermarket chains are deliberately targeting pubs and further notes CAMRA research that two pubs a week are converted into supermarkets; supports CAMRA’S Pub Matters campaign calling for an end to permitted development rights on pubs; notes that any change of use to a nightclub, laundrette or theatre requires planning permission, making it odd to refuse pubs the same status; notes plans to remove permitted development rights from pubs listed as Assets of Community Value (ACVs), and calls on the Government to announce how and when this will happen; notes, however, that pubs achieving ACV status is not as simple as Ministers have suggested, with the requirement for local communities to provide boundaries and plans and that every pub must be listed separately making it unrealistic for communities to protect all valued pubs; further notes that each ACV application costs local authorities over a thousand pounds, and listing all valued UK pubs as ACVs would cost millions of pounds and create significant bureaucracy; and therefore calls on the Government to make a simpler change and put pubs into the sui generis category so that communities can comment on a proposal to convert or demolish a pub Royal Assent
ParlaMint-GB_2015-02-12-commons.u237	I have to notify the House, in accordance with the Royal Assent Act 1967, that Her Majesty has signified her Royal Assent to the following Acts and Measures: Stamp Duty Land Tax Act 2015 Criminal Justice and Courts Act 2015 Social Action, Responsibility and Heroism Act 2015 Insurance Act 2015 National Insurance Contributions Act 2015 Counter-Terrorism and Security Act 2015 Infrastructure Act 2015 Care of Churches and Ecclesiastical Jurisdiction (Amendment) Measure 2015 Ecclesiastical Property Measure 2015 Church of England (Pensions) (Amendment) Measure 2015.
ParlaMint-GB_2015-02-12-commons.u238	I beg to move, That this House has considered destruction and looting of historic sites in Syria and Iraq I thank the Speaker for granting this debate, the Backbench Business Committee for making the debate its own and allowing it to be heard on the Floor of the House, and the Minister and the shadow Minister for taking time out of their schedules to be with us. I also thank those who have far greater knowledge of this subject than I do for their wise counsel, especially Neil MacGregor of the British Museum and his exceptional specialists The current conflict in Syria, which has now enveloped large parts of Iraq, has ended its fourth year. We have seen at least 250,000 people killed, 6.5 million people displaced, 2 million refugees in neighbouring countries, and abuses, killings and ethnic and religious cleansing on an almost unimaginable scale by ISIL, the Assad regime and many others, and there is no sign of abatement. In a time of such terrible human suffering, the question must be asked: why should we turn our attention, even momentarily, to the destruction and looting of heritage—of mosques, libraries, souks, castles and churches The first reason is that the scale of the destruction and loss is so great—the greatest anywhere in the world since the end of the second world war—that it deserves to be better understood as just one element of the tragic conflict in the middle east. These are ancient civilisations of great beauty, accomplishment and intellectual achievement. It is an extraordinarily rich history bound up with our own history and that of other cultures and civilisations throughout the world. Some of the sites in question, such as in Aleppo, Mosul and Nineveh, are relatively well known. ISIL alone now controls more than 4,000 places of historic and archaeological interest as well as libraries, great and small, such as the Mosul library, in which it recently destroyed all the books that it took issue with including the entire children’s section No one group has done more to put the world’s cultural heritage in the gun sights than ISIL, and ISIL is not concealing its destruction; it is doing so brazenly with bulldozers and bombs, and it is available for all of us to see in arresting before-and-after images produced by the university of Pennsylvania and the United States Government. Those images are then broadcast by ISIL on social media. How shocking and shameful it would be if the west did absolutely nothing in the face of this destruction There is also a human dimension. I am talking about the unbelievably brave men and women on the ground—the curators, the site guards, the librarians, monks and academics—who are trying to protect what they hold dear by producing inventories or by bearing witness and producing the facts for the rest of the world. Many are unable or unwilling to leave, and hope—I do not think that it is an exaggeration to say this—still to be alive when it is all over to pick up the pieces Let me tell one story that was told to me by the British Museum. In October, a site warden at Nineveh was executed by ISIL, and every adult male who came to mourn him disappeared, and are presumed murdered. They were remarkable individuals. Most of their stories cannot and should not be told for fear of endangering them. In part, this debate pays tribute to them and salutes what they are doing There is a second reason for focusing our attention on the destruction. These tragic events are occurring for one of two reasons, both of which should concern us. First, it could be a deliberate attempt to subjugate communities by destroying the buildings and the heritage that they hold dear and to rob future generations of any connection to the past, or the ties that bind them together, that might allow reconciliation or even facilitate functioning economies based on tourism and visitors. That is madness applied to monuments. Secondly, systematic looting might be viewed as a significant revenue stream for ISIL, the Assad regime and others. I am talking about sculptures being turned into tanks. There is a fault line in ISIL, as there was in the Taliban in Afghanistan, between those two competing but equally concerning motivations Many will recall watching the TV news and seeing the Taliban dynamiting and destroying 1,700-year-old Buddhas at Bamyan in 2001, but what is considerably less well known—the story that has not been told—is that elements of the Taliban were on the telephone to wealthy individuals only 20 minutes before pressing the button and detonating the explosives trying to negotiate a $10 million ransom in return for saving and exporting those works of art. Those who sought iconoclasm and propaganda won on that occasion, but it is not always the case ISIL and the Assad regime are employing contractors to seek out antiquities, working at times with couriers and agents for dealers. ISIL is deploying militants to ensure its control of sites and to supervise digging in a disturbing fashion that reminds us of blood diamonds in Africa in the ’80s and ’90s. It is also licensing looting with a formal tithe or tax of 20% on those who do the work themselves For some local communities in Syria and Iraq, the harvesting of low-value pieces is a continuation of centuries of tradition—harvesting antiquities instead of crops. We should recognise that they are doing so because they are starving and they have no other source of income. But looting should concern us because it provides an insight into an extremely dark and dangerous underworld that affects this country. We need to understand it and to penetrate it as a way of tackling the financing of terrorism and serious organised crime. That looting, especially at the higher end, almost certainly continues the systematic looting in Iraq that was undertaken by Saddam Hussein and his regime as a significant source of revenue. As ISIL today facilitates the lines of communication that were established by Saddam, we can see that everything in history repeats itself, but with different players. Those lines of communication and passages to neighbouring countries are interwoven with the drugs trade, the arms trade and human trafficking. They are as dark and dangerous as criminality gets There is some mystery over where the looted works are heading. At the bottom end, one can see them freely sold on the market stalls at the Turkish-Syrian border, and some have appeared on eBay. At the top end, many of the artefacts may well be in storage until “the dust has settled”. I am pleased to report that there is little or no evidence of their emergence on the legitimate market of UK auction houses and respectable dealers, but works are believed to be appearing in other countries, most notably Germany and the city of Munich, which has a history of being a conduit for antiquities and stolen works of art There is a pervasive and disturbing culture of private sale in the Gulf states. Many of the ruling families of those states profess to be great lovers of art and are investing vast sums in the legitimate art market and in building some of the world’s most remarkable new museums, often in partnership with western institutions such as our own. It is extraordinary then that those states should tolerate a culture that allows the illicit trade in antiquities to thrive and to be entirely accepted. None of those Gulf states, save Sharjah, has any antiquities law or proper law enforcement. The ruling families of those states, many of whom are personally committed to the arts and view it as part of their own nation’s rise to prominence, should examine their conscience and change that culture The third and final reason for our taking a greater interest in this matter, and it is the most important reason as far as this debate goes, is that while this cultural barbarism appears utterly hopeless—as hopeless as the rest of these conflicts—there are practical steps that we, as one nation, could take to make a real difference and that would do our reputation in the region and the world no harm First, we could raise the priority of this matter in our diplomatic efforts—at the UN where a resolution is being sought; in bilateral relationships with neighbouring countries such as Turkey; through our embassy in Beirut, a key conduit for this market; and in our relations with the Gulf states. There are those in Government and the British royal family who hold some sway with those ruling families in the Gulf states. In the longer term, we should bring into law The Hague convention on works of art from conflict areas, which would be a powerful symbol of intent. It is hard for us to continue to justify not signing it, especially as the United Kingdom—proudly for me, as someone who used to work in the art business—is the leading hub in the world for that growing and extremely successful business Secondly, in the spirit of the monuments men of the second world war, we could make a modest but far-sighted contribution by establishing a commission to gather information to establish the truth from the fog of the war and to introduce actions in concert with our partners around the world. That could be encouraged under the auspices of the unequalled expertise of the British Museum and, as the US has under the leadership of Secretary of State John Kerry, we could make some modest funds available to help those brave individuals on the ground, funding training and mentoring such as that conducted by the British Museum and University college London both in person and, as it is the 21st century, over the internet via Skype. We could help them to inventory their collections, which is key. We need to work with groups such as the one that contacted me—the brave monks in Irbil who are scrabbling to digitise their manuscripts to preserve Iraq’s Christian heritage while time allows Culture is frequently neglected by the international development community in development plans and in funding choices, despite its obvious contribution to civil society, reconciliation and rebuilding economies post-conflict. I suspect that that is because most of us who live in and enjoy the west and our rich cultures take that for granted, like the air that we breathe. That is not the case in many parts of the world and certainly not in Syria and Iraq today Lastly, in case the deeply disturbing networks of organised criminals and terrorists seek to bring this material to our shores in the future, we should get our own house in order by ensuring that our counter-terrorist financing specialists include this work in their many priorities. It might indeed prove easier to trace these works, which are often large, difficult to transport and known to experts.
ParlaMint-GB_2015-02-12-commons.u239	I am listening with fascination and horror to my hon. Friend’s account of what is happening. Does he agree that the importance of this cannot be overestimated? The first written work, the epic of Gilgamesh, is still being uncovered and studied, but the horror is that there are things we will never know about that great work because they have already been destroyed.
ParlaMint-GB_2015-02-12-commons.u240	I concur. These works, once lost, will never be recovered and many have not been properly inventoried. There are not the records that there should be. The inventory of the Kabul museum is only still being finalised with the help of the university of Chicago years after the start of the conflict. These efforts take time and resources, and they require the support of the western community On counter-terrorism, I suspect that it will prove easier to trace some of these incredibly dark and dangerous networks through antiquities than through drugs or arms. They are all bound inextricably together. That work must be done, understandably, without fanfare, but it is incredibly important and I would love to have reassurance that our expertise is being deployed in this area We should resource our current but woefully inadequate law enforcement in this area. The only dedicated law enforcement in this country is the Metropolitan police’s art and antiques squad, which comprises three officers. They are wonderfully dedicated individuals, but they are so hopelessly under-resourced that they are reportedly unable even to attend the relevant Interpol conferences to discuss and co-ordinate these activities. That is policing from an era of lovable antiques rogues in the spirit of Lovejoy and is totally not fit for purpose in dealing with serious organised crime, terrorist financing and the greatest destruction of works of art that we have known for half a century. That is unacceptable and warrants a review We could encourage co-operation, the key to fighting the trade in illicit antiquities, and promote good market behaviour such as the voluntary decision of some of the auction houses to set the year 2000 as one before which sellers must prove the provenance or the collected history of works of art, effectively shrinking the market for illicit works. That good practice is occurring and there is good news within this country, but it deserves the support of Government and deserves some co-operation. The Government could aid those efforts by appointing a co-ordinator to lead on the issue, bringing together the Department for Culture, Media and Sport, the Home Office and the Foreign and Commonwealth Office, and could bring the museums, the art trade and law enforcement together to ensure that this country is a shining example of responsible cultural stewardship, whether in our great public collections or in the art business In conclusion, we are witnessing cultural barbarism at its worst and its consequences run deeper than arts and culture. Madness is being applied to monuments and sculptures are being turned into tanks. I believe we should act to help Iraqis and Syrians protect and preserve their heritage against terror, acknowledging our shared culture and common responsibility. By acting, however modestly, in some of the ways that I have suggested—modest efforts will have the most practical effect—we will do a good that will last long after our own time and, in the world of politics, leave a legacy for future generations.
