ParlaMint-GB_2017-11-21-commons.u1	I call Mr Chris Bryant. Not here.
ParlaMint-GB_2017-11-21-commons.u405	I will come on to that at the end of my remarks. I followed the right hon. Gentleman’s speech very carefully. He is absolutely right that we should deal with this in a serious way, because it is a very significant part of our economic present and, I hope, an increasing part of our economic future as we in this country are particularly well placed to take advantage of the digital economy The other interesting point flagged up by my right hon. and learned Friend the Member for Beaconsfield is the fundamental argument about rights legislation. He pointed out that some decisions on potentially striking down Acts of Parliament would have to be taken by the UK Supreme Court, not the European Court of Justice. He said he was very relaxed about that because he had great confidence in our judges, as do I. For rights legislation, however, there is a different argument to have, which is not about the nationality or otherwise of the judges or the court, but whether such decisions should be taken by judges or by democratically elected politicians in this House. We had this argument when we debated prisoner voting—not on the nationality of the judges and the court, but on whether that was a proper decision to be made in this democratically elected House or by judges interpreting a living document. That was a point my right hon. and learned Friend teased out in his remarks Listening to the debate as it progressed, my right hon. and learned Friend accepted that his amendments may not be the best way to deal with the potential problems he flagged up. The exchange between him and my right hon. Friend the Member for West Dorset was very interesting and spoke to the debate on schedule 1, to which the Solicitor General will reply. Amendment 10 would get rid of paragraphs 1, 2 and 3 of schedule 1. The reason my right hon. and learned Friend gave for removing paragraph 3 was that it talked about the general principles of EU law and not the retained principles. Paragraph 2 tries to deal with the retained principles by saying that we keep all the general principles that have been reflected in decided case law before exit day That was an interesting discussion. It suggests that it might be possible for the Solicitor General to find a way for the Government to amend the Bill on Report. Clearly, my right hon. and learned Friend wanted a little specificity on that, although I do not agree with my right hon. and learned Friend the Member for Rushcliffe, who tempted the Government just to accept the amendments and then correct them. Having been in the Solicitor General’s position at the Dispatch Box, I would prefer the risk-averse approach of inviting the House not to be tempted by the amendments and then coming back afterwards, but I accept that those tempted by the amendments will want a little specificity and detail from him about the nature of what he will reflect on and bring forward. I hope that he can produce the right level of specificity to give my colleagues that confidence.
ParlaMint-GB_2017-11-21-commons.u406	Does this debate not show how technical this is and how good it is—I know people get a bit agitated about lawyers—to have so many lawyers, especially constitutional lawyers, on these Benches? Actually, most people are keen to get the Bill right on a constitutional level, and the more we can debate it, thrash it around, get it sorted and reach sensible compromises, the better it will be for the Bill, for Parliament and for this whole Brexit business, because it will stop some of this division and bring us all together.
ParlaMint-GB_2017-11-21-commons.u407	I am grateful for that intervention. Actually two other useful points came out that I had not previously heard in this debate. One was about rights. A discussion is under way, which will be dealt with partly in this Bill and partly in the other withdrawal Bill, on the extent to which certain important matters will only be dealt with in primary legislation. Ministers will be clear that they will not use the ability to change those important rights in secondary legislation. To some extent, that has been dealt with by the fact that we will have the other withdrawal Bill. I think that the Secretary of State has given a commitment that certain things will only be dealt with in primary legislation On the second point, I hope the Treasury Bench will forgive me—tempting a discussion about amending the Human Rights Act is probably not something that in my previous job as Government Chief Whip I would have wanted to encourage—but a sensible argument has been made for saying that, if there are important rights that we think are not adequately reflected in legislation, at some point, in due course if not perhaps immediately, some of them might benefit from being brought into the Human Rights Act. That might be worth thinking about, although it would have to be done very carefully, because once we start down that process of amendment, I do not know where it will end. Those two avenues for dealing with this were, I think, very sensible I think that my right hon. and learned Friend the Member for Beaconsfield accepted that it might not be right to pursue amendment 8, but, on amendment 10, although I would not agree with the approach of my right hon. and learned Friend the Member for Rushcliffe, a point has been made on which Ministers could sensibly reflect. I hope that when the Solicitor General responds he will be able to make a sufficiently specific commitment to persuade my right hon. and learned Friend the Member for Beaconsfield and others not to press amendment 10 The hon. Member for Sheffield Central (Paul Blomfield), who is not in his place but whose Front-Bench team are more than adequately represented, said that rights were not as effective if their source or root was not clear. I am afraid that this is a lawyerly point that I did not quite follow, but I hope that the Minister dealt with it. The memorandum he is going to bring forward should make clear the source of each of the rights in the charter of fundamental rights, so we should be clear about the retained law being brought forward. I hope, then, that that central point of the hon. Gentleman’s argument will be dealt with Let me return to article 8 of the charter of fundamental rights, to the point made by my hon. Friend the Member for Chelmsford (Vicky Ford) in an earlier debate and to the fundamental underpinning of the argument advanced by the right hon. Member for East Ham (Stephen Timms). I think that my hon. Friend the Member for Chelmsford slightly overstated what the article says. She claimed that it said that everyone owned their data, whereas it actually says that people have the right to protect their personal data. She also spoke about the level at which it was necessary for our law to be exactly the same as ongoing European legislation.
ParlaMint-GB_2017-11-21-commons.u408	The Business, Energy and Industrial Strategy Committee heard some very interesting evidence today from representatives of the aerospace and airline manufacturing sectors. They said, “We want identical regulations for the safety of passengers. It is vital to the industry for our regulations to be exactly matched with those of Europe.” There will be some areas in which we shall need regulatory matching.
ParlaMint-GB_2017-11-21-commons.u409	That is a very helpful point. There may well be areas in which, because of the nature of the product or service involved, the exact matching of regulations will be judged to be right, but that may well not be the case in every single area. Perhaps what we need is a sensible structure that allows us to have some debates and decide what is the right thing to do, and then have conversations with our European neighbours. That will be one of the big arguments as we negotiate the trade deal, because it is relevant to the extent to which we can then have different arrangements that will enable us to seize the opportunities that are undoubtedly available to us around the globe I was on the remain side, as, indeed, was my hon. Friend. There is also the argument that if we continue to match every single regulation introduced by the European Union, particularly when we have no say in the process, we shall not be gaining any of the benefits of not being in the EU, which would rather defeat the point of leaving in the first place. I certainly believe that, given that the country decided to leave, we need a good, deep relationship with our EU partners so that we can continue to trade with them, but we also need to be able to take full advantage of every opportunity of securing that incremental business from around the globe. My hon. Friend is right, however: we should listen to the businesses that are involved in these sectors, and make the right decisions Let me now deal with the specific points made by the right hon. Member for East Ham about amendment 151, which would require the laying of “regulations to create a fundamental right to the protection of…data.” There is an argument here about what will or will not be the behaviour of our European partners, both the member states and the Commission. It seems to me that, if we deliver legislation according with the general data protection regulation in our Data Protection Bill, along with other provisions that protect such data, the European Commission may decide, for what will be political reasons, to rule that there is some incompatibility. If the Commissioners have made up their minds, for political reasons, to be mean and horrible to us and try to damage our economy, there is not very much that we can do about that. Even if we were to do what the right hon. Gentleman has suggested, they would just dream up another excuse to damage us If that is how the Commission is going to behave, it is not an organisation I would want to be a part of, but I do not take the view that that is what the Commission or the other member states are going to do. It is certainly not the way we have approached the negotiations. The Prime Minister has been very clear that we want a deep and special partnership with our European neighbours. We have made clear—this is relevant on the data issue—that we will have an unconditional relationship with our EU partners on security and intelligence co-operation: we will use our assets and resources to help to defend and protect European security. On that basis, it would be very churlish if the European Commission were to take the approach the right hon. Gentleman set out.
ParlaMint-GB_2017-11-21-commons.u410	I agree: I do not think the Commission will be churlish or needlessly spiteful. But the problem is that if we do not have a clear right in law that everyone’s personal data will be protected—if article 8 is not there any longer, we will not—that is an invitation to the Commission to find against us. My point is that we should not be taking that risk.
ParlaMint-GB_2017-11-21-commons.u411	I accept that we should not take unnecessary risks, but it seems to me that we could deal with that. I confess that I am not completely across the content of the Data Protection Bill—I hope the right hon. Gentleman will forgive me—but it seems to me that we could make sure we deal with that concern in that Bill, and Ministers on the Treasury Bench will no doubt listen to that point My final point is about something that has been brought up on a number of occasions. One benefit I have from being on the Back Benches is that I do not feel the necessity to defend every aspect of Ministers’ behaviour, particularly things they did before they were Ministers. The case that keeps being cited—[Interruption.] The Ministers on the Front Bench are looking very worried now, because they do not know what I am about to say. I happen to think that the Secretary of State for Exiting the European Union was not correct in the case he brought against the Government, and I happen to think that the Prime Minister when she was Home Secretary was right to defend it We also dealt with any potential defects in the Data Retention and Investigatory Powers Act 2014 in the ground-breaking legislation this House passed more recently, the Investigatory Powers Act 2016. I am reasonably familiar with that legislation: I had to consider it when I was a member of the Government, and dealt with how we approached the House. The way we proceeded with that legislation was by bringing forward a Bill that was in good shape at the start of the process, and then having a very thorough scrutiny process across parties. The Opposition took a sensible, grown-up approach on it, because it was very important legislation. We dealt with the concerns, and that is the right way to proceed. This House is perfectly capable of dealing with such concerns, and this House is the right place to deal with them The Modern Slavery Act 2015 is a model for legislation to deal with people being kept in servitude, and, similarly, the Investigatory Powers Act is ground-breaking, world-leading legislation on how to balance individual freedoms and rights to privacy with the legitimate rights of the state to ensure it protects those citizens from those who will do us harm. This House and the other place got the balance right in that legislation, and we should have more confidence in the ability of ourselves as parliamentarians The hon. and learned Member for Edinburgh South West (Joanna Cherry), who speaks for the SNP, harrumphed a little a bit—she is not in her place to harrumph again, probably—when my right hon. Friend the Member for Wokingham (John Redwood) spoke about this House being the place where we guarantee those freedoms. She was not hugely impressed by that argument, but the two examples I have given show that we should have a bit more self-confidence about this House being the place where we defend those essential rights. I therefore commend the Bill in its present shape to the House and hope that hon. Members on both sides of the Committee do not press their new clauses and amendments to the vote.
ParlaMint-GB_2017-11-21-commons.u412	Order. I have no power to impose a time-limit in Committee, but I do have the power to advise. We have 20 hon. Members who wish to speak, and if we continue to have speeches of the current length, we will disappoint at least half of them. I therefore advise Members to try to keep the length of their speeches to between 10 and 12 minutes; that is a voluntary instruction.
ParlaMint-GB_2017-11-21-commons.u413	I rise to speak to new clause 79, which is in my name and those of my right hon. and hon. Friends and hon. Members from other parties First and foremost, I recognise that the UK has voted to leave the European Union. It is an outcome that I did not vote for, but it is the position in which we find ourselves. It is now incumbent on us to strengthen this legislation ahead of our exit from the Union. We can only achieve this fully by recognising what European integration has done for us over the past 40 years, and the ways in which we can help one another Before entering Parliament, I was an employment rights lawyer for many years. I represented trade unions and their members for 10 years. More recently, I ran my own business providing advice on maternity discrimination and flexible working to mums and families. So I know at first-hand how many of our employment rights come from Europe. As my explanatory statement points out, my new clause would ensure that Parliament was kept abreast of changes in EU provisions regarding family-friendly employment rights and gender equality, as well as committing the Government to considering their implementation It is clear that working parents and carers in the UK are struggling. The Modern Families Index 2017, which examined the lives of 2,750 working parents and carers, found that more than a third of working families say that they do not have enough time or money for their family to thrive. Half of parents agreed that their work-life balance was increasingly a source of stress. A third said that work had a negative effect on their relationship with their partner, and a quarter said that it led to rows with their children. One in 10 parents would consider resigning from work without having another job to go to. Research by the Equality and Human Rights Commission shows that 54,000 new mothers in Britain may be forced out of their jobs each year as a result of pregnancy and maternity discrimination. The Fawcett Society, Working Families—the work-life balance charity—and trade unions, among others, continually fight to protect against these types of discrimination We have a collective responsibility to ensure that we help to protect the rights of workers and employees amid the cut and thrust of the Brexit negotiations. People voted to leave the EU for many varied reasons, but they did not vote to be worse off. Our laws on these matters must be no less favourable than they would have been had the UK remained a member of the EU beyond exit day. Indeed, the EU may well go on to legislate in ways with which we do not agree. The wording of new clause 79 is clear; it is there to inform, not to commit As many of my hon. Friends pointed out during the previous Committee sitting, we must make every effort to keep this House fully aware of the advancements that occur in Europe. To be clear, the new clause is not about binding the UK into implementing future EU directives in the family-friendly employment and gender equality space. Rather, it would ensure that Parliament was informed of any developments and would commit the Government to considering their implementation In the Prime Minister’s Florence speech, she signalled that the UK and the EU will continue to support each other as we navigate through Brexit. I have much to say on the work that we have collectively achieved in Europe, strengthening workers’ rights, maternity rights and employment practices. For example: the 1976 equal treatment directive established the principle of equal treatment for men and women in access to jobs, training and working conditions; the 1992 pregnant workers directive provided for statutory maternity leave, protected the health and safety of pregnant workers and breastfeeding mothers, prohibited dismissal due to pregnancy or maternity, and introduced paid time off for antenatal care; the 1993 working time directive provided a maximum 48-hour working week, and the right to rest periods and paid holiday; the 1996 parental leave directive provided for the right to unpaid parental leave, as well as time off for dependants; and the 1997 part-time work directive prevented part-time workers from being treated less favourably than full-time employees. All these measures have helped to improve the work-life balance and family-friendly employment rights in the UK, and it is vital that we do not fall behind Europe in the years ahead. To dismiss the last four decades of progress without looking to the future would set a dangerous precedent, which fills me with deep concern.
ParlaMint-GB_2017-11-21-commons.u414	I believe that, taken as a whole, the Bill works and will do what it says on the tin. Indeed, I note that no one has come up with a better plan to extricate us from the EU. Furthermore, the recent Government announcement that we should have a Bill to set out the terms of withdrawal and the implementation period will provide a good opportunity to readdress any legal complexities and tweaks that become necessary—for instance, through the proposals on human rights changing due to EU negotiations. However, the detail is what counts, and I think that this legislation is still something of an unpolished gem. Clause 5 would change the role of the principle of the supremacy of EU law post Brexit and act as a carve-out to the concept of having retained EU law. Many of the related issues were debated on day one of our Committee proceedings in relation to clause 6. With clauses 5 and 6 in place, once the UK leaves the EU, EU law will no longer be supreme over new laws made by Parliament, and the UK courts will not need to follow European Court of Justice judgments made after exit day. However, it is time for a gripe, Mr Hanson. Ministers’ decision to speak twice on different issues within the same group has been somewhat unhelpful, because it disconnects the various parts of what we are debating. I agree the two groupings might have been preferable, but that was not on offer from the Chair. Having had my gripe, I will now move on Amending clause 5 to deal with the requirement of the withdrawal agreement, or even an incompatibility with it, could be activated by use of the Henry VIII powers set out in clause 9, or alternatively by delaying implementation of clauses 5 and 6 using the power in the Bill—a power that the Government currently wish to amend, but which I hope they will not—to set different exit days for different purposes Of course, having the position ironed out in the newly proposed implementation Bill could also be an option. This is a likely issue to be considered, as the Prime Minister did, of course, on 22 September, support a transition period, noting that “the framework for this strictly time limited period, which can be agreed under Article 50, would be the existing structure of EU rules and regulations.” The Government have since complained that the EU has been slow to talk about an implementation period, which is certainly concerning. It has been described as a wasting asset, but this should not reduce our urgent need to consider how we would actually implement it There is no doubt, from reading the views of the significant number of experts, and from what the Exiting the European Union Committee has heard in evidence, that there is some level of confusion about the meaning of clause 5(1) to (3). I hope that the Government will clarify the position, although I have to say that much of the evidence that the Select Committee received was itself conflicting as to its importance. For instance, witnesses queried the intended effect of clause 5(1): is it only a declaratory statement, or is it setting out the position for the retention of the principle in clause 5(2) The point is that the relationship between the supremacy of EU law and retained law is not clear to a number of people. As Professor Mark Elliott noted, “if retained EU law is domestic law, can it inherit the ‘supremacy’ of the ‘EU law?’” Would retained law under clauses 3 and 4 benefit from the supremacy of EU law as provided for in clause 5(2)? Professor Syrpis backed that up in his written evidence to the Committee: “The Bill may be handled in various ways; for example Clause 5(4) excludes the Charter, Clause 6(2) states that: courts need not have any regard to anything done on or after exit day by the European Court” and schedule 1 excludes Francovich damages. But it remains unclear whether these exclusions relate only to the retention of EU law in UK law, in clauses 2 to 4, and the interpretation of retained EU law, in clause 6, or whether they also apply to the principle of supremacy of EU law, in clause 5. In effect, I have seen enough indecision on this to think that the Minister needs to expand on his interpretation of the supremacy principle Of course, if domestic courts decide on the content and meaning of law post Brexit, domestic judges are going to have to respond to the challenge, as I am sure they are very capable of doing. Clearly we should help them on their way, so far as possible, by giving clarity on such issues as scoping the supremacy of EU law, although ultimately they will have to judge— “judges will simply have to do their best”, as Lord Neuberger put it. Frankly, I do not see what could be put in the Bill that would make this an easy process for judges in practice. However, as Sir Stephen Laws and Dr Charlotte O’Brien told our Committee, “there is already an existing principle whereby, when deciding on law, the courts will look at foreign judgements and treat them as persuasive but not binding” Professor Richard Ekins took this a stage further and thought that the provision is only there “to make it the case that no one thinks the judges are doing anything wrong if they read them”— meaning Court of Justice judgments— and that “you could delete the clause and I think the judges would, properly, do the same thing” Clause 5(4) exempts the charter of fundamental rights from being converted into domestic law. The first point here is that, whether or not one agrees with the provision, one could ask whether this is the right Bill to insert it into. That argument was made by the hon. Member for Sheffield Central (Paul Blomfield). The Bill is about converting EU law into UK law in order to have a functioning rule book, rather than dealing with policy issues—providing legal certainty rather than reshaping rights. We could have had a stand-alone Bill to deal with that, but I am not convinced that it would have helped the process, or indeed the outcome. In fact, to the contrary, I think that having the benefit of the clause 5 debate running contemporaneously is helpful—if only Ministers had thought the same when grouping today’s amendments As for the charter itself, it is a matter of fact that it contains certain extra rights other than those that exist in the Human Rights Act, such as the right to dignity and, as the right hon. Member for East Ham (Stephen Timms) elaborated, the right to protection of personal data. There is also a wider class of potential applicants, because it includes anyone with a “sufficient interest”. Also, stronger remedies are arguably available in certain circumstances, but all that still has to be within the scope of EU law, and I agree with the Government that the charter will lose its relevance after Brexit. However, in the wider context and while it is important to debate the issue, I have strong doubts that we will be losing much by removing the charter if we get the drafting of this Bill right, because many charter rights will form part of the general principles of EU law, as has been explained, and will thereby be retained by clause 6(7) and schedule 1 for the purpose of interpreting retained EU law. Retention of the charter would also go against the principle of English courts taking control. There may be initial teething problems, but I note that the Under-Secretary of State for Exiting the European Union, my hon. Friend the Member for Wycombe (Mr Baker), told the Exiting the European Union Committee that an EU legal source exists for each charter right, such that judges will be required to look at the underlying source law or rights when considering cases post exit, rather than the charter. However, I am not sure that that is quite adequate, as it seems as though the Bill will contain no right of action in domestic law based on a failure to comply with any of the general principles of EU law and the courts will not be able to disapply any new law because it is incompatible with any of these general principles, including fundamental rights. Amendment 10, tabled by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve), would address that by allowing challenges to be brought to retained EU law—law after Brexit—on the grounds that it is in breach of the general principles of EU law.
ParlaMint-GB_2017-11-21-commons.u415	Does my hon. Friend agree that a different amendment—perhaps a Government amendment on Report—could achieve the same purpose by restricting that part of schedule 1 to dealing with non-retained general principles of law, so that retained principles could form the basis for a right of action?
ParlaMint-GB_2017-11-21-commons.u416	Yes, my right hon. Friend made that fair point in an earlier intervention. I am happy to say that I am open and willing to hear what the Government have to say on that, and I look forward to the Minister’s contribution later The concept of amendment 10 sounds reasonable to me—not least if we are to get rid of the charter—and I shall be listening carefully. However, I agree that the charter has significantly added to the complexity of human rights applications and that in removing the charter the Bill will provide an opportunity to simplify things outside the EU. The Minister has promised to deliver to the Exiting the European Union Committee a memorandum on charter rights, and I note the idea provided by new clause 16, tabled by the hon. Member for Nottingham East (Mr Leslie), of a report to review the implications of removal of the charter. I would happily accept Ministers’ assurance on that, rather than to legislate for it, and I hope that the document to be delivered to the Committee by 5 December will cover the two issues, as I think the Minister of State, Ministry of Justice, my hon. Friend the Member for Esher and Walton (Dominic Raab), said earlier My underlying acceptance of the Bill’s position is premised on there remaining, as now exists, a significant and meaningful body of human rights legislation in this country. That would include common law and the Human Rights Act and would be underpinned by the European convention on human rights. I am therefore pleased that the Minister took the opportunity to accept the need for retention of the ECHR in the post-Brexit period.
ParlaMint-GB_2017-11-21-commons.u417	I rise to discuss new clause 78 and the amendments that are designed to retain the charter. I listened carefully to what the Minister said earlier, but if the Government are not inclined to retain the whole charter, I urge him at least to look again at new clause 78, because it would protect some equality rights. Conservative Members like to argue that, when Britain decided to join the European Economic Community in 1975, what the British people voted for was an economic union—no less, no more—and that only afterwards the EU became a political union that we should now leave. However, if one looks at the fundamental role played by the British in drafting the European convention on human rights in 1950, this is not true. The convention aimed to protect fundamental freedoms for all Europeans and was driven by British values.
ParlaMint-GB_2017-11-21-commons.u418	The hon. Lady rightly speaks of our living in a global environment, but she will acknowledge that, as has been said by Members on both sides of the House, Britain leads the way in laws for equality? Therefore, what is her concern, particularly as the Human Rights Act 1998 will remain operative?
ParlaMint-GB_2017-11-21-commons.u419	I thank the hon. Gentleman for making that point. Legal experts the Select Committee has listened to have made the point that there are gaps, so what is the point of not taking the charter into our retained EU law as a whole, because we are taking everything else, and making sure these gaps do not exist?
ParlaMint-GB_2017-11-21-commons.u420	Does the hon. Lady agree that it is hard to substantiate the claim that Britain leads the world in equality rights, given that we have so often had to fall back on the charter to fill gaps in our equality laws, as, for example, in the Walker case before the Supreme Court in the summer?
ParlaMint-GB_2017-11-21-commons.u421	The hon. and learned Lady makes a good point. I am proud of the British legacy of fundamental rights, but as is clear, and as seems to be stated in a lot of legal cases—as I say, I am not a legal expert—lawyers are using different kinds of law because different laws apply to different cases. That is why we have this charter and we would lose a fundamental protection if we did not have it.
ParlaMint-GB_2017-11-21-commons.u422	I do not wish to criticise the UK Government, because in many ways and instances they do lead the way in signing up to the UN conventions. As Ministers made clear last week, in terms of international law the UK adopts a dual system. So it is all well and good for the UK Government to sign and ratify UN conventions and treaties, but they do not actually become part of our domestic law unless there is an implementing Act of Parliament, because of the principle of parliamentary sovereignty. So we send out a signal that we lead the way but in terms of enforceable rights the hon. Lady is quite right: rights for the children are not enforceable before our courts.
ParlaMint-GB_2017-11-21-commons.u423	I thank the hon. Lady for making that valuable point. As someone who is not a legal expert, I believe this is about having a safeguard. We are keeping the law in the charter because it fills a gap that we would have otherwise. That is why we should retain the charter Let me give an example: the charter provides specific rights for children that are not replicated elsewhere in UK-wide human rights law. It requires that the child’s best interests must be a primary consideration in all actions relating to children; that children’s views may be expressed and shall be taken into consideration; and that children have a right to maintain a personal relationship with both their parents, unless this is contrary to their interests. The latter right was used in a case relating to two British children, whose father’s deportation was successfully challenged by focusing on the major negative impact on the children of loss of contact with a parent. Cases of this kind might become more common if Britain leaves the EU and EU nationals lose the automatic right to reside in the UK, with the consequent risk of family separation The charter also contains a prohibition on child labour which is not replicated elsewhere in UK human rights law. Another example of the charter providing greater protection is on disability rights. Disabled people would no longer be able to use the charter to support their right to independence, integration and participation in the community. This interpretive tool in the charter goes much further than the non-discrimination provisions in the Equality Act 2010. On healthcare, as we have heard, the charter was decisive in ensuring that bans on tobacco advertising were permitted. The list goes on, so why not retain the charter? Let me be a bit flippant here: I cannot help but wonder whether the Government are making this obvious omission from our statute books because some time ago the Prime Minister, when she was Home Secretary, had a ding-dong over the charter when she unsuccessfully tried to extradite Abu Qatada and this is a bit of late comeback To be serious again, what I worry about most in all the discussions about Brexit is that everything is being done in a big hurry because some eager Brexiteers would rather leave the EU tomorrow and not think about any consequences, even those that would mean real harm for this country. New clause 78, tabled by my right hon. Friend the Member for Carshalton and Wallington (Tom Brake), would specifically provide an overarching domestic guarantee of non-discrimination by the state. It would be a domestic replacement for the safety net for equality rights currently provided by EU law. The new clause would serve a distinctive and different purpose from the rights protected by the Equality Act 2010, and I urge the Minister to consider it again. It would provide a guarantee that our laws must be non-discriminatory in their purpose and effect, along with a mechanism to challenge them if they were. Currently, that cannot be done under the Equality Act. Providing greater protection of our human rights has nothing to do with losing sovereignty but everything to do with doing the right thing by our own people. I am fed up with being branded undemocratic or unpatriotic for merely pointing out that the Government will be failing their own people if the Bill passes unamended.
ParlaMint-GB_2017-11-21-commons.u424	What exactly would the new clause add to the rights that already exist under article 14 of the European convention on human rights?
ParlaMint-GB_2017-11-21-commons.u425	The new clause has been promoted by the Equality and Human Rights Commission. I take it that the commission has done careful research into how it would provide an extra guarantee that is not currently provided. The hon. and learned Gentleman should look at it carefully to understand how it is meant to work, but it is an overarching tool that, as I understand it, we currently do not have. As I said before, as a non- legal person, for me the most important thing is the safe- guarding of our equality laws and the need to match what has been done so far at European and international level Brexit is increasingly nothing to do with what leave politicians promised to the people. I fear it is becoming an ideologically driven process to turn this country into some sort of deregulated free-for-all, in which the progress we have made over the past four decades to protect individuals from exploitation and discrimination, in tandem with our European neighbours, is sacrificed on the altar of sovereignty. The British people did not vote to give away their fundamental rights and protections. If Parliament does not amend the Bill, let nobody claim that this is the will of the people.
ParlaMint-GB_2017-11-21-commons.u426	I apologise for my brief absence from the Chamber during the debate—it was because of the excitement of a Delegated Legislation Committee I wish to say a few words about why I feel unable to support the proposals to bring the charter of fundamental rights into UK law, but before I do so I acknowledge the huge importance we should all place on the scrutiny of this historic piece of legislation. The Bill is of course a critical part of the implementation of the huge decision made by the people of the United Kingdom in the referendum last year, and it obviously has a crucial role to play if we are to avoid a regulatory gap in relation to aspects of our law that are currently covered by EU legislation. Although I do not feel able to agree with the new clauses and amendments we are debating, I fully respect the intentions of those who have tabled them At a time of great change for this country, it is important that we find ways to work across party divides to come together to make a success of the process of implementing the referendum result and leaving the European Union. My goal for a successful outcome is a new partnership with our European neighbours, with which I hope those on both the leave and remain sides of the debate can be comfortable. It will, of course, be important for Ministers to listen to a spectrum of views before the final terms of our departure from the EU are settled, and I know they are strongly committed to doing that.
ParlaMint-GB_2017-11-21-commons.u427	I am grateful to my right hon. Friend for giving way. We are told by the Treasury Front Bench that these are existing rights which apply now, and that they are rooted in legislation from before the European Court. Given that those are rights that are applied now, why does she not wish to protect them and ensure that they continue?
ParlaMint-GB_2017-11-21-commons.u428	That was certainly the stated intention when the charter was originally drafted, but the judicial activism of the ECJ has seen the scope of the charter expanded. Essentially, what we are talking about is the division of power between our courts and our legislature. I do not believe that we have the national consensus to deliver such a significant change to our constitution as to enable our domestic courts to strike down our laws.
ParlaMint-GB_2017-11-21-commons.u429	My right hon. Friend talks about the expansion of the charter through the role of the ECJ. Can she give us an example where it has actually been the charter that has caused that expansion? In reality it is the European convention on human rights rather than the charter of fundamental rights that has tended to lead to an expansion.
ParlaMint-GB_2017-11-21-commons.u430	Of course, the key expansion as far as the United Kingdom is concerned was the confirmation by the European Court of Justice in the Åklagaren v. Hans Åkerberg Fransson case that the charter did actually apply to the United Kingdom and that the opt-out that was supposedly obtained by Tony Blair was not valid That brings me to my final reason for scepticism about the charter and the amendments. I was an MEP during the period when the charter was drafted in the EU constitutional convention with a view to inserting it in the abortive EU constitution.
ParlaMint-GB_2017-11-21-commons.u431	As a former and, I have to say, very distinguished Secretary of State for Northern Ireland, who did a really good job in that office—I mean that most sincerely, although I rarely have the opportunity to say it—the right hon. Lady will know that the UK withdrawing from the charter of fundamental rights will have an impact on the Good Friday agreement and on the perception that half of the community in Northern Ireland will have of respect for human rights, rightly or wrongly. Will the right hon. Lady therefore encourage the Government to draft a Bill of Rights for Northern Ireland, which is, of course, also a key part of the Good Friday agreement?
ParlaMint-GB_2017-11-21-commons.u432	I can assure the hon. Lady that this Government and, I am sure, all successive Governments will remain strongly committed to the Good Friday agreement and to the protection of individual rights. As she will appreciate, of course, the agreement expressly referred to in the Good Friday agreement in relation to human rights is the European convention on human rights. However, I fully understand her point of view on this matter, and it will always be important for us as a Chamber to respect individual rights. The tenet of my speech is that we do not need the charter to enable us to do that. We have extensive legal frameworks available to us as a Parliament, and through our judiciary and legal system, and that will ensure that we properly protect our citizens, whether in Northern Ireland or in the rest of the United Kingdom Let me turn to my final reason for concern. I well remember the clarity of former Prime Minister Tony Blair about the fact that the charter would not be given legal force. As far back as 2000, the Prime Minister and the Europe Minister of the day stated that very clearly for the House. In 2003, the Labour Government’s lead negotiator on the convention, Peter Hain, said there was no possibility of the Government agreeing to incorporate the charter. In 2007, Tony Blair told Parliament that we had an opt-out from the charter, and this approach was supported by a number of pro-EU groups, such as the CBI. Even my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) expressed scepticism about the charter and described it as “a needless diversion” While the ECJ may since have ruled that the opt-out secured by Mr Blair was nothing of the sort, we now have the opportunity to see those promises fulfilled. We have a long history of protecting the rights of the individual against the arbitrary exercise of power by the state. We have ample means to do that in the future, with hundreds of years of case law and statute establishing strong principles of accountability in our unwritten constitution. We can legislate in the future if we ever find any gaps in our current framework. We do not need the charter to protect our citizens, and I appeal to Members not to accept the amendments being debated today.
