ParlaMint-GB_2017-04-19-commons.u1	1. What assessment he has made of the contribution of Scotland to the future of the UK.
ParlaMint-GB_2017-04-19-commons.u270	I support the motion because, as a Government Member said earlier, it seems rather bizarre that the Opposition should say, “We want to keep a Tory Government in power.” That just makes no sense. We have to put our case to the British people and see what happens. We have arrived today at a point that I always thought was inevitable. This was bound to happen. I never bought all that guff about “no election”. There is a political dynamic at work here that has made this decision almost inevitable.
ParlaMint-GB_2017-04-19-commons.u271	Given that the hon. Gentleman is going to support the Government motion, is he confident that a Tory Government will not return after the election with two more years in power? What does he think will happen? What is the follow-through on his actions?
ParlaMint-GB_2017-04-19-commons.u272	The follow-through is to do whatever we can to get rid of a Tory Government as soon as we can. That is always the case. It might not work, but that is up to the British people in an election. It is their choice In saying why I think this position is inevitable, I want to pay a minor tribute to Mr David Cameron—late of this parish. When the history of this country in the early part of the 21st century comes to be written, he will have probably one of the most prominent roles in it, and it will not be a particularly glorious tribute. Decisions that he took will, over time, damage this country immensely I remember serving on the Public Bill Committee on the original European Union (Referendum) Bill, which was known at the time as the “Wharton Bill” after the hon. Member for Stockton South (James Wharton), who picked it up from No. 10. I remember sitting in the Committee one evening and the then Prime Minister David Cameron actually came into, I think, Committee Room 7 or 8 and sat in the Public Gallery simply to pay obeisance to the hard right wingers of the Tory party who were on that Bill Committee. I have never seen or heard of a Prime Minister faced with such ignominy as having to pay obeisance to those to whom he is in thrall. Of course, he gave them the guarantee of an in/out referendum. He did not say, “I am going to renegotiate the terms of our EU membership and then put it to you.” He said, “I am going to renegotiate the terms and then have an in/out referendum,” and this is the consequence Mr Cameron will go down as one of the most damaging Prime Ministers, but prominent none the less. He has not just jeopardised the whole future of the United Kingdom as a trading nation and in our relationship with the European Union; he has jeopardised the future of Scotland as part of the United Kingdom, and people have all kinds of views on that. It was he who granted the referendum that set in train the dynamic that has, frankly, destroyed the Labour party in Scotland and given the Scottish National party the prominent role it enjoys today. He also jeopardised our relationship with the Republic of Ireland and, as the right hon. Member for Belfast North (Mr Dodds) mentioned, put at risk the very stability of Northern Ireland as part of the United Kingdom All those things add up, and the damage done will be with us for decades. The people who pay the greatest price, as others have mentioned, will be the young—the next generation, and those who come after. It will permanently damage this country. I will vote for the general election, but it will not change anything. The landscape will essentially remain much the same after the election, and it all follows from the calamitous decision of last June to leave the European Union. I understand the party political reasons for calling the election, and there is a certain amount of sanctimony and hypocrisy here today. Politics is neither science nor art, and it is certainly not religion. People do things for their own political advantage, and every Prime Minister has always done so.
ParlaMint-GB_2017-04-19-commons.u273	I did not intend to speak in this debate, but the hon. Member for Walsall North (Mr Winnick) would not let me intervene to respond to the question he posed. I have, in fact, received emails from constituents over the past few weeks asking me to encourage the Prime Minister to call a general election and go to the country once again. The hon. Gentleman seemed to imply that nobody in the country was asking for a general election, but some of my constituents were When the Prime Minister made her announcement yesterday, I was initially in shock because, like my right hon. Friend the Member for New Forest West (Sir Desmond Swayne), I was boldly telling people that there was no chance of a general election. I was not quite so bold as to put it in the local paper, but I told people both verbally and in emails that I did not believe it would happen. Having listened to the Prime Minister’s reasons yesterday, I am happy to say that I have come to a position where I believe it is right for the country that we obtain a new mandate to go into the negotiations to leave the EU and put the Prime Minister, and the others who will be negotiating our terms, in the strongest possible position I am happy to stand on the Government’s record of delivering for this country. The election is not just about the Brexit negotiations; it is about a Government who have delivered growth, one of the world’s best performing economies, record numbers of jobs and great investment in our NHS. I am proud to go to the country and say, “Let us continue with the job we are doing to deliver what our country needs and to continue putting us in the strongest possible position.” Finally, we take nothing for granted, but if the Conservative party is returned to government with a substantially increased majority, will the leader of the Liberal Democrats accept that it is the will of the British people to return the Conservative party with a clear mandate to press on and take us out of the European Union on the grounds that the Prime Minister has set out? Will he then drop his opposition and game playing to thwart the democratic will of the British people?
ParlaMint-GB_2017-04-19-commons.u274	As someone who believes that the Prime Minister has presented the case for this election on an entirely false premise, I, too, will be voting against the motion. I was not asking for an election last week or the week before; I was arguing that any move to an election in the near future would not help the negotiations in Northern Ireland. My mind has not changed, so why should I pretend that it has I will not be gamed or goaded into voting differently by the Prime Minister’s actions and stances. She has accused others in this Parliament of playing games. In essence, her argument is that she has no confidence in Parliament. We have this bizarre situation in which, after having a referendum about taking back control and parliamentary sovereignty, the Prime Minister has pronounced that she has no confidence in Parliament. She does not trust the Opposition parties, on which she confers all sorts of exaggerated powers to block and correct. Then, of course, she has her complaints about the House of Lords. If Tory Members are concerned about the House of Lords, they should move to abolish it or to introduce competent, coherent and democratic reform, but they should stop using it as a prop in this argument. This is also a false premise because the Prime Minister is pretending that she needs an election now so that she has a strong hand in the short term, but we know that what she is really after is a free hand in the longer term. She wants wriggle room on the periods of adjustment, the transitional arrangements and other things on which too many of her colleagues have been too strident.
ParlaMint-GB_2017-04-19-commons.u275	Does my hon. Friend appreciate that the nearest parallel to what is happening now in this campaign for an election—
ParlaMint-GB_2017-04-19-commons.u276	Order. I am interested in hearing the hon. Gentleman, but I would like him to face the House.
ParlaMint-GB_2017-04-19-commons.u277	You were busy talking.
ParlaMint-GB_2017-04-19-commons.u278	I was being spoken to by an illustrious member of the Opposition Whips Office, no less, so I would put it rather differently.
ParlaMint-GB_2017-04-19-commons.u279	The nearest parallel is the election of 1974, when the miners were on strike and Ted Heath, the then Prime Minister, decided that the election would be on a very narrow argument about who ran the country. Most general elections are about a lot of things, but that one was about a specific thing. What happened in effect was that the Labour party finished up with the largest number of seats and the Queen asked Ted Heath to try to form a coalition with the Liberals, and the Liberals ran away.
ParlaMint-GB_2017-04-19-commons.u280	I appreciate the hon. Gentleman’s intervention. While we are making comparisons with the election of 1974, an unforeseen casualty of that election was the Sunningdale agreement. The power-sharing Executive formed in Northern Ireland out of the 1973 Assembly ended up falling as a consequence of the 1974 general election because of what was seen to be the balance of forces Of course, this general election has been called without regard to the sensitive ongoing negotiations in Northern Ireland, and it is hard to see how it will not have an impact on those negotiations. First, it will probably colour the parties’ attitude to some of the issues we are dealing with, and it will certainly colour their attitude towards each other and their level of trust. Also, the British Government will not be in a position to give undertakings or commitments in the context of those negotiations as purdah kicks in, so how will we get any sort of comprehensive agreement in such circumstances As someone who worked with might and main for the Good Friday agreement and its implementation, I do not take those issues lightly. I cannot dismiss them. I want to make sure that we fully protect the agreement, which is why I am no saboteur when it comes to anything endorsed by a referendum, least of all what the Irish people endorsed by referendum when they voted for the Good Friday agreement I worry about the implications of Brexit for the Good Friday agreement, and I worry that the Government are in denial about the Brexit process having implications for the agreement. Of course, I also recognise that the agreement gives us the machinery to answer many of the questions and challenges for the whole island of Ireland in terms of Brexit. Strand 2 gives us the material to ensure that, in future, we can operate on a north-south basis in ways that continue to be supported and funded by the EU. We can treat the island as a common market—a single market—in sector after sector under the auspices of the Good Friday agreement We go forward in this election positively, but we have no pretence that the election is necessary or that the Prime Minister is justified in the terms she has used. Nor do we buy the sham fight that the right hon. Member for Belfast North (Mr Dodds) is having yet again with Sinn Féin.
ParlaMint-GB_2017-04-19-commons.u281	I believe this is the sort of thing that gets politics a bad name in our country and it is what is leading to the alienation of many of our citizens from the political process. There is only one reason the Prime Minister wants a general election on 8 June: she figures she has a better chance of winning it now than she does in the future. It is therefore the most blatant abuse of the democratic procedure for party political advantage, and as this campaign goes on it will be seen as that This election has nothing to do with the country’s interests and everything to do with the management of the Conservative party, and I give two clear reasons why that is the case. The Prime Minister has suggested that she needs to have a majority, but she has not won any vote on Brexit over the past year with a majority of fewer than 30, so the majority is already there. She also says that this election will give clarity to the Brexit process, but we on these Benches have been trying for 10 long months to get clarity on the Brexit process, and every question we have asked has been met with silence and with a refusal to say what Brexit does indeed mean. I do not believe for one minute that the Tory party manifesto for 8 June will spell out exactly what the plan for Britain is post-Brexit, so who is kidding who? We will not be any clearer after this election as to what Brexit means than we are right now.
ParlaMint-GB_2017-04-19-commons.u282	The media are reporting that up to 30 sitting Tory MPs face being prosecuted for electoral fraud and that the Crown Prosecution Service will announce very soon whether it intends to press charges. Does my hon. Friend think that might have anything to do with the Prime Minister’s change of heart?
ParlaMint-GB_2017-04-19-commons.u283	Yes, I do; I think that is remarkably suspicious. But my concern is that the Prime Minister wants to silence dissent and disagreement in this House and in this country. Therefore, her instincts are not democratic, but authoritarian, and that is a great worry for our country May I just turn to the situation in Scotland? There are two reasons why the people of Scotland should be given another choice on their self-government. The first is not because the people who lost the referendum in 2014 do not respect the result, but because the people who won that referendum changed the deal afterwards; the United Kingdom that people voted to be part of in 2014 will no longer be there in the future. The second is that although the Scottish Government took a compromise position, which neither challenged the Brexit deal nor argued for independence, it was thrown back in our faces. So there is no option now but to offer people in Scotland the opportunity of the choice between a hard, Tory, isolationist Britain or taking control into their own hands. This election is not required as a mandate to have that second referendum, because the Scottish Government already have that mandate, but this will be a judgment, Prime Minister, on your refusal to agree to the wishes of the Scottish Parliament. I would like to ask this in finishing: if the Conservative party loses the general election in Scotland, will you stop blocking the right of the Scottish people to have the choice in the future?
ParlaMint-GB_2017-04-19-commons.u284	I am pleased to be able to speak in this debate, Mr Speaker. As we all know, Northern Ireland is in a brittle state at the moment. We have no Executive and no Government, and I wonder whether the Prime Minister fully considered what may happen to us. Before the recess, I was given an excellent answer as to our position in the Union, and I was very grateful for it, but I want to get three points across now Although the first is not about this election, because we fully support today’s motion, I must say that the public in Northern Ireland are fed up to the back teeth with elections. They have had so many and they see no point in another Assembly election. Secondly, people who watched what was going on at Easter may have seen paramilitaries—I believe this was in west Belfast and somewhere else—marching and carrying the European Union flag as if it were their banner. Brexit for us is a very different and brittle world. Ulster Unionists fully support the need to find the right way forward, but this is going to be used by Sinn Féin to try to break up the Union and we need that support. So I ask that in their manifesto the Government look not only at how they deal with Northern Ireland’s special status, but at how they ensure we have a workable Government in the future. We need change, which is what the Ulster Unionists have been all about; we need to get back to the central parties running Northern Ireland My last point is about making sure that that manifesto looks after our armed forces and our ex-servicemen. Legacy is playing its way out and it is not protecting the people who should be protected for doing their duty. We will support today’s motion.
ParlaMint-GB_2017-04-19-commons.u285	rose—
ParlaMint-GB_2017-04-19-commons.u286	rose—
ParlaMint-GB_2017-04-19-commons.u287	Two colleagues wish to speak. They can help each other.
ParlaMint-GB_2017-04-19-commons.u288	As several hon. Members have pointed out, the Prime Minister heads up a party with a majority gained partly by it cheating in the last general election, and it has been fined by the Electoral Commission as a result. Yet today she had the brass neck to stand there and give a speech all about leadership, so I want to know, what leadership is the Prime Minister showing on this issue? She refused to answer the questions from the hon. Member for Bolsover (Mr Skinner) and from my hon. Friend the Member for Glasgow South (Stewart Malcolm McDonald) about election cheating and some of her current MPs participating again in this forthcoming general election. What leadership intervention has she made within her party to make sure that this spending cheating does not happen again?
ParlaMint-GB_2017-04-19-commons.u289	On a point of order, Mr Speaker.
ParlaMint-GB_2017-04-19-commons.u290	If the hon. Lady must.
ParlaMint-GB_2017-04-19-commons.u291	On a point of order, Mr Speaker. Twice the hon. Gentleman has accused Members of cheating. There is no proof of cheating and he should withdraw the remarks.
ParlaMint-GB_2017-04-19-commons.u292	I think it is a matter of taste rather than of order, but the hon. Lady has made her point with force and alacrity, and it is on the record. Had the hon. Member for Kilmarnock and Loudoun (Alan Brown) concluded his oration?
ParlaMint-GB_2017-04-19-commons.u293	I have a bit more—about further non-leadership interventions by the Prime Minister. She consistently said that there would be no general election, but she has now done a massive U-turn. She could not answer why she has changed her mind on the single market. We have heard no evidence as to what this hard Tory Brexit is going to mean and what it would mean compared with Scotland staying in the single market. She has consistently ignored the Scottish Government and the Scottish Parliament, so I ask her to show some real leadership now.
ParlaMint-GB_2017-04-19-commons.u294	The right hon. Member for New Forest West (Sir Desmond Swayne) goaded Labour Members over not being turkeys voting for Christmas, but they will be more than turkeys voting for Christmas if they follow the Prime Minister and dance to her tune—they will be turkeys ready to jump into the baking tin. That is exactly what they are doing. The Prime Minister needs 433 MPs to support her today. She has gone on television and told the world that there will be a general election. If Parliament does not back her—if Labour MPs do not dance to her tune—and she does not get the 433, will she resign? The answer on that could change the views of Labour Members as to whether to dance to her tune.
ParlaMint-GB_2017-04-19-commons.u295	I must draw the House’s attention to the fact that financial privilege is engaged by Lords amendment 1. I also remind the House that certain of the motions relating to the Lords amendments will be certified as relating exclusively to England or to England and Wales, as set out on the selection paper. If the House divides on any certified motion, a double majority will be required for the motion to be passed After Clause 1 Financial Support for Students Undertaking Apprenticeships
ParlaMint-GB_2017-04-19-commons.u296	I beg to move, That this House disagrees with Lords amendment 1.
ParlaMint-GB_2017-04-19-commons.u297	With this it will be convenient to discuss the following: Lords amendment 6, Government motion to disagree, and Government amendment (a) in lieu Lords amendments 2 to 5 and 7 to 18.
ParlaMint-GB_2017-04-19-commons.u298	This Bill was introduced to transform the prestige and culture of technical education, providing young people with the skills that they, and our country, need. It provides necessary protection for students should colleges get into financial difficulty, and ensures that the most disadvantaged are able to climb the ladder of opportunity. It left this House after thoughtful scrutiny and, after similar diligence in the other place, I am delighted that it returns for consideration here today I ask hon. Members to support the Government on all amendments made to the Bill in the other place except amendments 1 and 6, where we have tabled an amendment in lieu. Amendment 1 impinges on the financial privilege of this House. I urge the House to disagree to that amendment and will ask the Reasons Committee to ascribe financial privilege as the reason The amendment, costing more than £200 million per year by financial year 2020-21, would mean that the parents of apprentices aged under 20 would continue to be eligible for child benefit for those young people as if they were in approved education and training. It is an issue in which I have a great interest. Apprenticeships provide a ladder of opportunity, and we should seek to remove obstacles to social mobility wherever we can A young person’s first full-time job is a big change for them and for their family, and it marks a move into financial independence that should be celebrated. I know that the adjustment can be challenging for the young person learning how to manage a starting wage and new outgoings and for parents who may experience a fall in income from the benefits they previously received for that dependent child. One of the core principles of an apprenticeship is that it is a job, and it is treated accordingly in the benefit system. It is a job that offers high-quality training and that widens opportunities. Moreover, more than 90% of apprentices continue into another job on completion. Most apprentices are paid above the minimum wage. The 2016 apprenticeship pay survey showed that the average wage for all level 2 and 3 apprentices was £6.70.
ParlaMint-GB_2017-04-19-commons.u299	Although what the Minister is saying is correct, in that those apprentices will be paid, taking child benefit away from low-income families will be a disincentive for them to take up apprenticeships. Those families will be pressed to stay in education so that they can continue to get child benefit. Is that not the case?
ParlaMint-GB_2017-04-19-commons.u300	The crucial point is that the vast majority of level 2 and 3 apprentices are paid more than £6.30 an hour, and 90% of them go on to jobs or additional education afterwards The apprenticeship programme already supports low-income groups. The funding system gives targeted support to the participation of care leavers, and this year we are making £60 million available to training providers to support take-up by individuals from disadvantaged areas. We are committed to ensuring that high-quality apprenticeships are as accessible as possible to people from all backgrounds. We will take forward the Maynard recommendations for people with learning difficulties and our participation target for black and minority ethnic groups With regard to the amendment’s suggestion of a bursary for care leavers, I understand that some young people have greater challenges to overcome. That is why we are providing £1,000 to employers and training providers when they take on care leavers who are under 25. We will also pay 100% of the cost of training for small employers who employ care leavers. There is scope for apprenticeships to benefit social mobility even more. We are working across Government to use the apprenticeship programme to extend opportunities I am grateful to Lord Storey for tabling Lords amendment 6, which introduces a new clause into the Bill to require Ofsted to take into account the quality of the careers offer when conducting standard inspections of further education colleges. I welcome the work that Ofsted has already done to sharpen its approach. Matters relating to careers provision feature in all the graded judgments made by Ofsted when inspecting FE and skills providers. Destination data—published in 16 to 18 performance tables for the first time this year—are also becoming an established part of college accountability. Those are important steps I pay tribute to the good work that is already being done throughout the FE sector to prepare students for the workplace. Ofsted’s annual report for 2015-16 cites the excellent work of Derby College, which has set up employer academies so that learners benefit throughout their course from a range of activities, including workplace visits, talks from specialist speakers, masterclasses and enterprise activities. However, Ofsted noted in the same report that the quality of information, advice and guidance in FE providers can vary and does not always meet the full range of students’ needs. That is why I want us to take this opportunity to go further Lords amendment 6 signals our determination to ensure that every FE student has access to good-quality, dedicated careers advice, which I know this House supports. That is vital if we are to tackle the skills gap and ensure that we make opportunities accessible to everyone. We have proposed some drafting changes to the amendment to ensure that it achieves its intended effect. The amendment makes it clear that in its inspection report Ofsted must comment on the quality of a college’s careers provision. I urge hon. Members to accept the amendment. FE colleges are engines of social mobility, and this is our chance to ensure that students from all backgrounds can access the support they need to get on the ladder of opportunity and to benefit from the best skills education and training I will now turn to the amendments that the Government are asking the House to accept without any further amendment. The Government support Lords amendment 2, which requires schools to give education and training providers the opportunity to talk directly to pupils about the approved technical education qualifications and apprenticeships they offer. I would like to place on the record my significant gratitude to Lord Baker of Dorking for tabling the amendment, and for his unstinting support for the Government’s technical education reforms. As I have explained, high-quality careers advice is the first rung on the ladder of opportunity and will play a key part in realising our ambition for high-quality skills education and training. The amendment will strengthen the Bill by ensuring that young people hear much more consistently about the merits of technical education routes and recognise them as worthy career paths. I urge the House to agree to it. I hope that never again when I go around the country will I meet an apprentice who was refused access to the school they were taught in to talk about apprenticeships.
ParlaMint-GB_2017-04-19-commons.u301	I actually welcome that proposal. We have heard lots of evidence that schools are not allowing FE colleges and apprenticeship providers to access their students and to tell them what the options are post-16. That, of course, is because of the “bums on seats” funding regime for post-16 studies in schools. How are we going to get around the deep-seated culture in schools that prevents careers advisers and others from providing that independent, impartial advice to young people in schools?
ParlaMint-GB_2017-04-19-commons.u302	The hon. Gentleman speaks a lot of sense on this issue. Every time I meet an apprentice, wherever I am in the country, I ask them, “Did your school encourage you to do an apprenticeship?” Nine times out of 10, they say that their school taught them nothing about apprenticeships and skills. We have already changed careers advice so that schools have to offer advice that includes apprenticeships and skills. I believe that Lords amendment 2 will make a huge difference, because technical bodies, apprenticeship bodies and university technical colleges will be able to go into schools, and schools will publish policy guidance on this I agree that a huge part of this is about cultural change. That is why my right hon. Friend the Secretary of State always talks about parity of esteem. Until we ensure that we have parity of esteem between skills and technical education and going to university—that is also a wonderful thing to do—we will not achieve the cultural change that the hon. Gentleman talks about.
ParlaMint-GB_2017-04-19-commons.u303	There is a problem with that, because training providers themselves have a vested interest—just as much as the schools do—in securing those students for their courses or apprenticeships. Is it not true that we need a much more robust process for the provision of impartial advice and guidance that does not include anyone’s vested interests?
ParlaMint-GB_2017-04-19-commons.u304	We are looking at careers guidance in the long term, and at how we can make it more independent and skills-focused. I think that the work of the Careers & Enterprise Company in getting more people to do work experience, along with the money we are investing in these things, will help, but there are no easy answers. There are some great private providers, FE colleges and university technical colleges that I would love to see going into schools. However, I think that this is an important step forward to change the culture and ensure that pupils have the access to learn about apprenticeships and the technical education and skills that they need Lords amendment 3 introduces a new clause specifically providing for regulations to be made about the delivery of documents about an insolvent FE body to the registrar, and how those documents are kept and accessed by the public. Essentially, the new clause allows for the proper management of the paperwork of an insolvency procedure for an FE body I am pleased that the Government were able to accept amendment 4 in the other place, which deleted the words “if possible” from clause 25(2). The original drafting of subsection (2) was intended to offer reassurance to creditors and the education administrator that the education administration would not continue indefinitely while we waited for the education administrator to achieve the impossible. Instead, it caused concern, both in this House and in the other place, that student protection was in some way lessened. That was not our intention. Having sought the confirmation of lawyers that there was no change to our policy objectives, we were content to delete the words in order to address those concerns Lords amendment 5 replaced the original clause in the Bill with a new version in order to fully apply, rather than replicate, the Company Directors Disqualification Act 1986 to further education bodies in England and Wales. The new version of clause 40—formerly clause 37 —still allows the court to disqualify any governors whom it finds liable of wrongdoing from being governors, and now also from being company directors in any part of the UK. It fully prevents disqualified individuals from being able to repeat the mistakes they have made in a different way, potentially at the expense of another FE institution. We have amended the clause to close a potential loophole in the Bill and more fully protect learners at FE institutions from the potential actions of any governor who acts recklessly.
ParlaMint-GB_2017-04-19-commons.u305	I am grateful to the Minister for his considered exposition of the Government’s position, particularly regarding the amendments, with which we are not in dispute. I shall say something about Lords amendment 2 after turning to Lords amendment 1. We welcome the Government’s changes, particularly those to the technical parts of the Bill. The devil is in the detail, and we do not always get these things right first time around. I am grateful to the Government for reflecting on that I particularly take on board what the Minister said about care leavers and local authorities. Without straying outside the narrow confines of today’s discussions, may I say that I hope that the recent debates in the House on the Children and Social Work Bill, in which my hon. Friend the Member for South Shields (Mrs Lewell-Buck) played a strong, positive and constructive part, have been a useful focus for the Minister and his Department in tabling the amendments that he has spoken to today. I am grateful to him for that. I am also grateful for the widened information sharing in schedule 1. As the Minister knows, I have described the present structure as a bit of an alphabet soup. To strain the analogy, I hope that this change will enable us to fish some of the letters out of the soup and make them work together a little easier than they would otherwise have done As the Minister says, the issue in Lords amendment 1could be regarded as one of financial privilege. I accept that he has great interest in matters of financial support and the rest of it. I hope that he understands that I have never, in any shape or form, and in any of the Committee sittings in which we have debated, disavowed his good intentions and commitment to issues of equality. But, of course, warm words of themselves do not necessarily carry through the projects that we all want to see. When he says that most apprenticeships have benefits, one has to ask about the fate of people who do not get those benefits. He says that this proposal will cost £200 million but, as he said, we are already committing £60 million to training providers, so I am not sure that that is a strong or powerful argument.
ParlaMint-GB_2017-04-19-commons.u306	Will the hon. Gentleman give way?
ParlaMint-GB_2017-04-19-commons.u307	I will give way in a little while. I want to make some progress on the main issue before giving way to the hon. Gentleman I am proud of the fact that the noble Lords considered the matter addressed in amendment 1, which I support, in considerable detail. In doing so, they revealed how much further the Government needed to go and, in my view, still need to go. In February, The Times Educational Supplement published an eloquent chart that spelled out in graphic detail the current gap in support between students and apprentices. It showed that apprentices have no access to care to learn grants, and that their families have no access to universal credit and council tax credit. Most trenchant and relevant when it comes to amendment 1, they have no access to child benefit Amendment 1 would enable families eligible for child benefit to receive it for children aged under 20 who are undertaking apprenticeships. The Opposition understand, as I am sure Government Members do, that it is not simply about the benefit itself, but the doors that that benefit opens to other benefits.
ParlaMint-GB_2017-04-19-commons.u308	I have listened carefully to the hon. Gentleman’s argument, which seems to involve a spending commitment of £200 million. How would he pay for that?
ParlaMint-GB_2017-04-19-commons.u309	First, we do not recognise that figure of £200 million. Secondly, as I have said, the Government are already committing £60 million to training providers, so I really do not know why the hon. Gentleman is raising the issue of £200 million, which would be aggregated over a period of time.
ParlaMint-GB_2017-04-19-commons.u310	Will the hon. Gentleman give way?
ParlaMint-GB_2017-04-19-commons.u311	No, I will not give way again. The hon. Gentleman has had one go. I want to make progress The amendment calls for the Secretary of State to use regulations to make provision to ensure that apprentices are regarded as being involved in approved education or training. The Government’s apprenticeships programme has seen the introduction of the Institute for Apprenticeships and the apprenticeship levy this month, while setting the target of 3 million apprenticeships by 2020. However, many commentators have continued to raise real question marks about the potential quality of those new apprenticeships. It is really important that in reducing the growing skills gap in this country apprentices are not given a raw deal. My noble Friend Lord Watson spelled this out vividly in the House of Lords when he said: “Why should families suffer as we seek to train young people desperately needed to fill the skills gaps that I mentioned earlier?”—[Official Report, House of Lords, 27 March 2017; Vol. 782, c. 361.] We simply ask that question I am well aware—we discussed this in Committee in this place and it was also discussed in the other place—that apprenticeships are not currently classed as approved educational training by the Department for Work and Pensions. That is one of the reasons we have raised this issue so many times. The Minister needs to reflect on the situation of apprentices who live with parents and whose families could lose out by more than £1,000 a year through not being able to access child benefit, and could lose more than £3,200 a year under universal credit. If the Government want to reach this target, it cannot be in anyone’s interest for doors to be closed to young people keen to take up and embark on an apprenticeship The predecessor Government—perhaps this has not been heard so much under this Government—were very fond of the concept of “nudge” to achieve results, but, as I have said on other occasions, people can be nudged away from things as well as towards them. In some circumstances, parents may prevent young people from taking up apprenticeships because the economic consequences for the family of loss of benefit payments in various forms could be considerable. Their lordships made this point in their debate on 27 February. Baroness Garden noted that “only 10% of apprenticeships are taken up by young people on free school meals”, adding that “the loss of child benefit” was “a significant penalty.”—[Official Report, House of Lords, 27 February 2017; Vol. 779, c. GC99.] Baroness Wolf spoke very strongly when she said, echoing the Minister, that there needs to be genuine parity if the Government want to fulfil a holistic vision As I have said, the exclusions printed in The Times Educational Supplement justify the anger and disappointment of the National Union of Students and apprenticeship organisations, which feel that they are being treated like second-class citizens. I accept that, as the Minister said, some apprentices are being paid well above the minimum rate, but research has shown that some apprentices earn as little as £3.50 an hour.
ParlaMint-GB_2017-04-19-commons.u312	Since the hon. Gentleman is talking about financial matters again, will he return to my earlier intervention when he said that he did recognise the figure of £200 million? How much would his policy cost?
ParlaMint-GB_2017-04-19-commons.u313	As I say, those issues would be taken forward over a five-year period. The £200 million figure that the Minister quoted has not been recognised, and I do not intend to engage with it any further because no further detail has been given to us on this point.
ParlaMint-GB_2017-04-19-commons.u314	rose—
ParlaMint-GB_2017-04-19-commons.u315	No, I am sorry, but I am not going to give way again. The hon. Gentleman has had two shouts and he is out. [Interruption.] I am going to continue, so he can stop chuntering This will inevitably have a negative effect on the family income in circumstances where the household budget is not covered by the earnings in an apprentice’s salary, given that the apprentice minimum wage is barely over £3 an hour. The National Society of Apprentices made that point in its submission to the Committee, saying: “It seems inconsistent that apprentices are continually excluded from definitions of ‘approved’ learners, when apprenticeships are increasingly assuming their place in the government’s holistic view of education and skills” If apprenticeships are to be seen as a top-tier option, then the benefits should be top tier too. University students receive assistance from a range of sources, from accessing finance to discounted rates on council tax. Apprentices currently do not receive many of those benefits. Their lordships believe, and we agree, that the system must be changed so that both groups are treated equally.
ParlaMint-GB_2017-04-19-commons.u316	I thank the hon. Gentleman for the way in which he is approaching these amendments. He mentioned that some apprentices were paid more than the apprentice minimum wage. Is he aware that 82% of apprentices are paid at or above the appropriate level of the national minimum wage or national living wage?
ParlaMint-GB_2017-04-19-commons.u317	Those figures come from the Minister’s Department, and I am not going to dispute them on this occasion. We are trying to set, in legislation, provisions that will be valid for five, 10 or 15 years. It seems far more appropriate to have a principle under which everybody has equal access. We can trade figures all day about whether this is acceptable or whether it is 10%, 15%, 20% or 25% of apprentices who are not in this position. I do not believe that we should go down this route, and Members of the House of Lords agreed when they passed this amendment Shakira Martin, the NUS vice-president for FE, says: “If apprenticeships are going to be the silver bullet to create a high-skilled economy for the future, the government has to go further than rhetoric and genuinely support apprentices financially to succeed.” In support of this amendment, the Learning and Work Institute has said: “There are currently participation penalties for low income and disadvantaged young people who take an apprenticeship compared to an academic pathway. This amendment would help towards treating apprentices and students in further and higher education equally in the support and benefits system.” The Government’s decision to exclude apprenticeships from the category of approved education or training will serve as a deterrent to young people, particularly those from disadvantaged backgrounds. Together with that, and without any change to the category that apprentices are placed in by the DWP—FE has to accept that, as things stand at the moment—the Government are providing a severe financial disincentive for young people to enter into an apprenticeship as opposed to other routes of education. The National Society of Apprentices agrees In the other place, the Minister’s colleague, Baroness Buscombe, said that there would be discussions about this issue with colleagues in the Department for Work and Pensions, but that did not happen. The Minister has told me on previous occasions that this needed to be addressed and discussed with other Departments, but that has not happened. This is a Government who are long on rhetoric but short on delivery, and it is young people and their families who are suffering. The Government are now blocking a modest proposal from the House of the Lords to begin to remedy their inability to do joined-up government.
ParlaMint-GB_2017-04-19-commons.u318	The hon. Gentleman will know that, as I have mentioned before, we are carrying out a social mobility review of a whole range of issues, from benefits to incentives to providers and employers, to get more apprentices from disadvantaged backgrounds. It is entirely wrong to say that we are not doing so, as a significant amount of work is going into these areas.
