ParlaMint-GB_2017-09-13-commons.u1	Object Bill to be read the Third time on Wednesday 11 October.
ParlaMint-GB_2017-09-13-commons.u312	It is a great honour to have been called in this serious debate. I am pleased by the way in which it has been conducted, as we have heard some very good speeches, in particular the maiden speech by the hon. Member for Portsmouth South (Stephen Morgan). It was an amusing, entertaining, heartfelt and serious speech, and I have no doubt that the hon. Gentleman will make valuable contributions in this Parliament and in years to come. It was a salutary speech because it gave one faith in the House of Commons Having been a Member for seven years, I have seen many debates—and some yah-boo politics—in which people apportioned blame for the crisis. Labour says that the Tories cut too much and that it was all the bankers’ fault that we had a deficit of £160 billion—the largest peace-time deficit in our history. The right hon. Member for North Norfolk (Norman Lamb), who was a Front-Bench member of the coalition Government for their full five years, will remember clearly the context in which we came up with the difficult policy of the pay cap. It was not a whimsy, and we did not do it for the hell of it to put people under pressure. The pay cap was a serious response to a difficult and chronic problem—the deficit I do not want to apportion blame, and I echo my right hon. Friend the Secretary of State in recognising that the global crash was not entirely Labour’s fault—I am willing to give it that—but the history of the public finances from 2001, eight years before the financial crisis happened, shows that we ran a deficit in every single one of those years. To borrow a phrase—a mantra—from a departed colleague, Labour did not fix the roof while the sun was shining. The Labour party had a record of fiscal incompetence, and it was against that backdrop that public sector pay restraint became an issue. It is important to look at the history to explain why the pay cap was instituted in 2011.
ParlaMint-GB_2017-09-13-commons.u313	The hon. Gentleman talks about eight years, but Andrew Lansley’s Bill basically destroyed the NHS. That is why we are in this state with the pay cap. I think the hon. Gentleman has forgotten about that.
ParlaMint-GB_2017-09-13-commons.u314	I would like to allow the hon. Lady to speak early on, and there is nothing wrong with intervening, but we do need short interventions. That would be great. I need to know if Members will be giving way, too. I would like to get all speakers in, but the more interventions we have the less chance there is that I will be able to do that.
ParlaMint-GB_2017-09-13-commons.u315	That was a fair intervention, but I completely disagree with the hon. Lady’s point. The deficit had nothing to do with the then Secretary of State for Health. It was not the previous Secretary of State for Health who caused the £160 billion deficit the Government inherited in 2010. Naturally, when running a huge deficit—I think it was something like 12% of GDP—one has to find savings in the budget. The question I pose to Labour Members is, how would they find the extra money? There are only two ways to do that: the Government can either raise the money through taxation, or the Chancellor has to borrow the money. It is very unclear to me what the Labour party proposes to do to increase the pay of public sector workers. No doubt it will have a plan to increase it by 5% or 10%—I do not know by exactly how much it wants to put up public sector pay—but it would have to fund that. I looked at the Labour election manifesto and I think it spent the tax on people earning over £80,000 about 10 times over to fund their various projects and policies. We cannot go on kidding ourselves and kidding the British people. I very much like the point made by the right hon. Member for North Norfolk about the fact that we have to be serious about how we are going to fund the NHS and social care provision. He described the current model as—his word—unsustainable. I do not share that view—I think we can fund the NHS adequately for the rest of the Parliament—but his general message was right. It does not make any sense for Labour Members to scream, holler and shout about Tory cuts without having a serious proposal.
ParlaMint-GB_2017-09-13-commons.u316	To work together in a constructive, rational and mature way requires the Government to agree to do it. We are still waiting. I met the Prime Minister in February. Please make a decision.
ParlaMint-GB_2017-09-13-commons.u317	I am not privy to the conversations the right hon. Gentleman has had with the Prime Minister—that is something he might wish to take up with her—but this is a serious debate. As he said, we cannot be honest with people on this issue if we are simply screaming and shouting across the Dispatch Box Conservative and Opposition Members have made the point that we have extremely impressive professionals across the public services. The level of public service provision here in Britain is right at the top of the global rankings. I have spent time in Europe, Africa and across the middle east. The public services we have in Britain are really world class and we must never lose sight of that in these discussions. The nature of the debate has been very fruitful and we have had a measure of courtesy, but it does not make sense simply to holler “Tory cuts.” That is what I have heard in seven years of trying to address what are very serious problems
ParlaMint-GB_2017-09-13-commons.u318	I start by saying it was a joy to be in the Chamber to listen to the maiden speech by my hon. Friend the Member for Portsmouth South (Stephen Morgan). I am confident he will be a strong advocate for his area. I would also like to take this opportunity to recognise my hon. Friend the Member for Leicester South (Jonathan Ashworth). NHS workers must take some reassurance in knowing that they have a champion in him As I have mentioned many times in this House, my constituency lies between two hospitals: Dewsbury and District hospital, which has recently seen a significant downgrade; and Huddersfield Royal Infirmary, which is earmarked for future downgrade and closure. Sadly, and probably as a consequence of these NHS cuts, I receive a large number of hospital complaints from constituents covering a variety of different issues. There is, however, one common theme in all the letters and emails: no one wants to point the finger of blame at NHS staff, because they can see how hard they are working, often in unsafe conditions mainly due to chronic understaffing In March this year, it was reported that there were over 30,000 vacant full-time positions across the NHS. There are nearly 200 vacancies at just one of my local hospital trusts alone. This means that in many hospital wards across the country, staff are having to do the work of two or even three people. We have all heard the stories of NHS staff working 12 hour shifts without food, water or even toilet breaks, where staff are close to breaking point mentally because of the undue stresses of their everyday working life. Yet they are consistently ignored when they ask for what should be their basic right: a decent pay rise to reflect the work that they put in on a daily basis in circumstances some of us in this House can only imagine in our worst nightmares. They are, frankly, heroes As we have heard from many of my colleagues today, NHS workers have reported having to: cut back on food shopping; miss meals in order to feed their children; use debt services, taking out payday loans or even approaching loan sharks; and even resort to food banks when the money runs out at the end of the month. Many are leaving the profession to take alternative work in different sectors. Some tell me they choose to work in supermarkets, where the pay is broadly similar but without the stresses and strains of working in a stretched industry where many workers are left feeling undervalued and burnt out from trying to keep up with the unprecedented demand for care. Many worry about the future of their registration, given the pressures they are having to work under By undervaluing our NHS workers to this extent, the Government are presiding over what could be the worst staffing crisis ever seen in the NHS since its inception in 1948. NHS bursaries have been slashed, and we hear that nurse staff recruitment from EU countries is down 96% on last year, mainly because of uncertainty over Brexit. In addition, a huge proportion of the existing workforce is due for retirement in the early 2020s. Instead of looking for solutions to this problem, the Government have chosen to inflict a seven-year, real-terms pay cut on our NHS staff. Yesterday, they came out and offered nothing more than a sticking plaster, with no offer of new money, saying that one group of public sector workers were more valued than another, and a vague promise that maybe in the future there could be a little bit more money made available, but no details on for whom or how much Those of us on the Labour Benches know how those on the Government Benches feel about our public sector heroes. We heard that loud and clear in June this year when they voted to keep the public sector pay cap and then cheered in celebration at their “triumph”. That will stay with me for the rest of my life. These are people who often put their lives on hold for us and put their lives at risk for us. They clearly deserve a pay rise to reflect their dedication and commitment.
ParlaMint-GB_2017-09-13-commons.u319	I declare an interest as a nurse who has worked for over 20 years in the NHS, and who still works as a nurse on my hospital bank. I worked through 2010 to 2015, when the pay freeze and then the pay cap was introduced, so I know exactly how difficult it is to manage on a nurse’s wage and not see an increase. Inflation is now close to 3%, so it is becoming increasingly difficult. Seven years is enough for anyone to have lived with a pay cap or a pay freeze, so I support the RCN’s campaign to scrap the cap No political party comes out of this unscathed. There was a recognition among colleagues back in 2010 that we in the public sector had to tighten our belt if we were to protect jobs and frontline services. We recognised that we had to step up to the plate and play our part, and we did. However, we were promised by those on the Government Benches that that would be for roughly a five-year period. The Government have to take responsibility for not having tackled the deficit completely and for keeping the pay cap going. It is not fair on frontline staff that they are the ones still picking up the pieces of the mess the last Labour Government left the country in It is time now to scrap the cap. Nursing has changed dramatically over the last 20 years. It is now a graduate-only-entry profession. Nurses are taking more advanced roles, including nurse prescribing, and extended roles, such as biopsies and minor ops. Today is National Sepsis day. In A&E, it is often a nurse who sees a patient and, if they suspect sepsis, cannulates, takes blood, does the blood cultures and, if they have done their prescribing course, starts the first line antibiotics. That is done long before the doctor ever sees the patient. That is not because nurses are becoming mini-doctors; it is because they are extending their role, improving outcomes for patients and improving patient experience I want to send a message to Ministers: there are two myths doing the rounds at the moment about nurses’ wages. The first is that nurses are on an average of £43,000 or even £37,000. That is completely untrue. Most nurses are in bands 5 or 6, the average wage for which is £27,000—for an experienced nurse—and the starting salary roughly £21,000. The banding system is used to downgrade nurses and pay them as little as possible. When I do a hospital bank shift, I am on the lowest band 5 wage—after 20 years of working as an experienced cancer nurse who is chemo and intravenous-trained The incremental rise we hear about is also a myth. The banding system is used to start nurses on the lowest-possible salary. They have to wait seven years—each year going up a little bit—till they reach the top of their banding. In no other profession would that happen. We do not see MPs in the 2017 intake being paid less than those in the 2015 intake because they are less experienced or new to the role, but that is exactly what we do to nurses, and then we tell them they should be grateful for that incremental rise. They should be paid what is due for that job, not wait seven years to get the actual pay the job is worth. We do not say to the editor of the Evening Standard, “You’ve never been a journalist before, so you should be paid less than any other journalist in this country.” This is about fair pay for a fair day’s work. We are asking people to save lives or put their own lives on the line to save the lives of others. The time has come to end the public sector pay cap, and I welcome the moves by the Government. As for the motion, I hear that the Labour party wants to scrap the cap, but there is not the money to do it across the board, although there are ways to give nurses, public sector workers and other NHS staff a pay rise. If we focus that pay rise on bands 1 to 7 and help those in high-cost areas with high-cost living allowances, we can make a difference, but using this as a political football will not score any goals. It is incumbent on all of us from all parties to work together When Ministers stand up at the Dispatch Box and say, “More schools than ever are good or outstanding”, “More patients are being treated than ever before” or “There is less crime than ever before”, they should remember it is because of the hard work of public sector workers. We need to reward them for their hard work and effort.
ParlaMint-GB_2017-09-13-commons.u320	As the Member of Parliament with the highest percentage of workers in public sector employment in the UK, I will be supporting the motion today in the name of the shadow Front-Bench team The Government’s public sector pay policy can best be described by the Glasgow word “guddle”. Translation: a tangled mess. The Government, seeking to deflect criticism, and no doubt as a direct result of tricky doorstep conversations in the election, yesterday announced a policy that was spun as ending the public sector pay cap. It was no such thing, however, and instantly attracted criticism from the very set of workers they were hoping to silence. The Prison Officers Association correctly pointed out that the so-called increase on offer would amount to a real-terms pay cut since inflation had just hit 2.9 % The title of this Opposition day debate is “NHS Pay”, and it is right that today there is a focus on a vital set of workers providing life-saving services, but I feel that the whole subject of public sector pay cannot be debated in a silo and in the context of one particular set of workers without reference to others. This week at the TUC conference, all the public sector unions came together in a collective call for parity and fairness in pay awards, not selective cherry picking I come from a public sector background and a trade union, Unison, that has always recognised that not rewarding and supporting public service workers properly is a political choice. It is a choice that the Government are trying to avoid being called out on, as from time to time token efforts are made to imply they understand and value public service. The Prime Minister told the Tory party conference last year: “Our economy should work for everyone, but if your pay has stagnated for several years in a row and fixed items of spending keep going up, it doesn’t feel like it’s working for you.” That sounds good, but it is at odds with the very heart of Conservatism and the shareholder mentality that puts pounds and profits before a public sector ethos. The privatisation of public services is a case in point. Turning public assets into private shareholdings, rather than investing in quality, and targeting public sector pay for quick savings is a hallmark of every Tory Government. I was a public sector worker under John Major’s Government when they, too, had a public sector pay cap We would not be having this debate if the Government really valued public service workers and recognised that although many could earn more in the private sector, they have chosen to contribute their skills to helping others. The systematic punishment inflicted on them year on year by a Government who have chosen to make public sector workers pay the price for the failings of the private sector when the economy crashed in 2008 is morally unjust and unfair and has tested their patience to the limit. I strongly believe that cuts to public sector pay is an issue that affects everyone—not just the workers, their families and service users but the wider community and local businesses. Local economies suffer when wages are held down and jobs are lost, and given the scale of the money involved, this is also a national economic issue. The TUC has produced an excellent report, “Lift the Cap”, that outlines in detail the knock-on economic impact on local economies through wages being systematically depressed How can the national economic picture be anything other than bleak if hundreds of thousands of people are on a low-pay subsistence existence and struggling to afford the basics, never mind boost consumer spending, without plunging even further into debt? All the time the cost of living is rising and hitting low-paid workers hardest, especially on energy and transport costs. The question is not: can we afford it? I advocate turning that miserable ideological argument on its head to say that we cannot not afford it. Paying public sector workers properly works for everyone: it generates tax revenues, reduces social security spending and creates jobs in the private and voluntary sectors I am concerned about the Government’s direction of travel in making announcements on police and prison officer pay over that of other public sector jobs. There is a danger that they are targeting professions dominated by men and not dealing with those public services where employment is dominated by women. I would like to hear from the Minister how they plan to tackle that issue. There is a risk of the gender pay gap increasing if the Government do not get their public sector pay policy correct.
ParlaMint-GB_2017-09-13-commons.u321	I agree with the hon. Gentleman’s comments about the Government seeking to divide public services between those with more men and those with more women. That said, regarding the increase in police pay, an officer in my constituency wrote to me that it was only a 1% increase with a 1% bonus and that they did not get it on their overtime or shift allowances, and that it felt like another kick in the teeth, because it was being sold as 2%.
ParlaMint-GB_2017-09-13-commons.u322	That is a fair point. Two years ago, three months after I was elected, I received a 10% pay increase followed by another uplift of 1.3% last year. As a trade unionist, I believe in a rate for the job and in accepting independent pay review processes, so I donated to local charities following the pay rise. It sticks in my craw, however, that there appears to be one rule for MPs and another for public servants. How much more must it offend my constituents Every Member who has spoken today against raising public sector pay while having accepted their own increase must have a different set of values, and they are entitled to their views. Equally, however, their low-paid public sector constituents are entitled to pass judgement on them, and no doubt they will draw their own conclusions. I say: lift the cap, lift it now and fund it properly.
ParlaMint-GB_2017-09-13-commons.u323	I welcome the opportunity to address the House on the subject of NHS pay. Let me start by praising the excellent work that nurses and other NHS staff perform on a day-to-day basis. In my constituency, the excellent Southport Hospital, part of the Southport and Ormskirk Hospital NHS Trust, is a shining example of how a hospital that has had difficulties can turn itself around with the right leadership. It was commended for being the most improved hospital in the first quarter of this year, and I was grateful to my right hon. Friend the Secretary of State for visiting it, talking to staff and listening to their concerns The Government have continued to listen to the public sector pay boards’ recommendations, and I am particularly pleased that they have announced this level of flexibility, which I hope they will extend to those at the lower end of the pay scale. Opposition Members, who did not sort out our economy when they had the opportunity to do so, should bear in mind that we did not introduce the pay cap to penalise nurses; we did it because of the economic situation that existed at the time. For many years, because of the Labour Government’s policies, the economy was like a patient itself—it was sick, and yes, there was some bitter medicine to take—but now, thankfully, the patient is on the road to recovery We know that the only route towards the building of strong public services is through the building of a strong economy, and that is exactly what the Government are doing. The Opposition have made some egregious claims about the situation of NHS staff, and have even tried to claim that there is a nurse recruitment crisis owing to poor pay, although the NHS Pay Review Body recently emphasised that that was not the case, stating: “We do not see significant short-term nationwide recruitment and retention issues that are linked to pay” I urge the Opposition to welcome the fact that 52,000 nurses are currently in training, and to celebrate the recent announcement that funds have been set aside for a further 10,000 training places by 2020 Let me conclude by making a recommendation to Labour Members. If they are genuinely serious about raising public sector pay, they should consider supporting sensible economic policies that will lead to the nation’s increased prosperity and to rising wages for everyone, not just those in the NHS.
ParlaMint-GB_2017-09-13-commons.u324	Let me join in the congratulations to my hon. Friend the Member for Portsmouth South (Stephen Morgan) on his maiden speech. He was able to demonstrate what Parliament is at its very best, when members of communities come here to give a voice to those communities. It was a fantastic speech I also pay tribute to the members of our Front Bench for the fight that they have put up today, and, indeed, before today. They have ensured that the case has been made—for instance, when representatives of the Royal College of Nursing were across the road campaigning for the cap to be scrapped There is no doubt that we are still in very difficult times. The economy has not grown in the way that people intended; despite the setting of repeated targets, every one of them has been missed, and tax revenues have not been coming in. But, of course, there is always money for priorities, and this situation comes down to that question of priorities. Is the Government’s priority to give money to the wealthiest through corporation tax cuts and personal tax advantages, or is it to establish a foundation of decent public services? Collectively we know that if we are to achieve the type of society that we want, grassroots investment is vital Tomorrow is quite an important day for our country. It will be a decade since the financial crisis began, and queues of Northern Rock customers were forming at the cash machines. Now, our doctors and nurses are experiencing a real-terms pay cut. That is where the axe has fallen. Let us consider the Royal Bank of Scotland, a majority public institution, 73% of which is owned by the taxpayer. Last year it made a £2 billion loss. Let us forget the casino banking that brought our country to its financial knees. A majority publicly owned bank in which the Government had a significant interest, and which had made a £2 billion loss, managed to pay £17 million worth of bonuses. Where is the pay restraint when it matters? It is OK to be tough when that means talking down our doctors, nurses and other public sector workers. Where is that toughness when it comes to sticking it to the banks? The people who caused the financial crisis in 2010 have been allowed to get away with it, and the stress and the strain have fallen on our public sector workers The NHS does not sit in isolation. It is part of a very delicate public service ecosystem. It relies on other public sector agencies to be strong, robust and well resourced to ensure that that pressure is managed. In the north-west, more than 100,000 workers have been taken away from our local authorities and other public sector bodies, which means that there is more pressure on the NHS to deal with matters that ought to be dealt with in the community. Social services departments are under such strain that some are nearly falling over, but rather than dealing with that by paying people a decent amount for a hard day’s work, the Government seem to want to put their fingers in their ears, hum to themselves, and believe that everything is OK I am not fooled, and I do not believe that Conservative Back Benchers are fooled. When they stand up to defend their Government, there is a veneer of support because they have to toe the party line, but they know—they absolutely know—the real impact that their Government are having. [Interruption.] That is the truth. Listen: I know my feelings about the NHS, and they are not just about words. This is about action, about deeds, and about showing genuine support We are sent here to represent our constituents. Can any Conservative Members tell me how continuing to suppress the pay of hard-working public sector workers is to the benefit of any one of their constituents, when at the same time a publicly owned bank is getting away with paying £17 million in bonuses? Let them tell me where the pay restraint is when it really comes to it. Words are one thing, but facts—evidence—another thing entirely This comes down to stark choices. The choice on our side means having decent public services there when they are needed. The choice on the other side means sticking up for the rich at the cost of public services.
ParlaMint-GB_2017-09-13-commons.u325	Order. I want to get everyone in, so I shall have to drop the speaking limit to four minutes because of the earlier interventions.
ParlaMint-GB_2017-09-13-commons.u326	I was going to say that it was a great pleasure to follow the hon. Member for Oldham West and Royton (Jim McMahon), but I truly struggle to do so. If we are to do our job as politicians, the first thing that we must do is drop the rhetoric, drop the slogans and stop the insults. They do not help, they do not achieve anything, and they are insulting. Let me tell the hon. Gentleman, and other Opposition Members, that some of us on this side of the House are getting a little sick and tired of, one, the way that the Labour party continues to run down our NHS, and two, the perpetuation of the stereotype that we do not use it, and, indeed, that we do not have families. In fact, our families have long roots in the NHS I am very proud of four generations of Soubrys all of whom are working, or have worked, in the NHS. My niece is training to be a paramedic, and I am sure that my mentioning that in Parliament in the presence of my right hon. Friend the Secretary of State will advance her career. Of course it will not! Her mother, my sister-in-law, works in a GP’s surgery, and my brother Charlie works at the Queen’s Medical Centre in Nottingham. My mother was a radiographer all her working life; she proudly worked in the NHS for 40 years, finally retiring, long after she should have done, at Doncaster Royal Infirmary. Her mother-in-law—my grandmother—was a nurse, as was my great aunt. I am therefore one of many Members on this side of the House with long, firm roots in the NHS. We get it, we love it, we have a passion for it, and that is why we continue to support it and fund it What the hon. Member for Oldham West and Royton just does not understand, like, sadly, so many of his colleagues, is that the way we achieve the great public services we all agree we want is to have a good, firm, sound economy, and we achieve that through the sort of sensible Conservative policies that we on these Benches have advocated, and have achieved—or we wreck it and destroy that strong economy with the sort of socialism that strangles our economy now being advocated by Labour’s current Front-Bench. The choice for the British people is absolutely clear: if they want a strong NHS delivering those fantastic services, they should support the Conservative party, because it us who deliver the economy to pay for those services I also take grave exception to anybody telling me that I follow the party line; I can think of a few on the Conservative Benches who would take grave issue with that. I make it very clear that there are undoubtedly problems and huge challenges, and all is not well within our great NHS, but, please, we must not talk it down in the way we have done By way of example, a very dear friend of mine died only the other week; he had a terminal illness. Even in her deepest grief, my friend, Dick Benson’s widow, when she called to tell me of his demise, told me of the remarkable care that he had had thanks to the GP in Nottingham who had provided his end-of-life care support. That is just one example of the hundreds of thousands of people who are receiving world-class treatment every day, thanks to our NHS As I have said, however, all is not well. Too many of our NHS workers are working overly long shifts with short breaks. I know of consultant friends of mine having to pay for their lanyards when they are broken at Nottingham University Hospitals NHS Trust, and there are many other examples Finally, let me give an outstanding example from my clinical commissioning group, Nottingham West. It has said that six of the 12 GP surgeries are outstanding. There is much more to be done, but make no mistake: the way we achieve a great NHS and make it even better is to have the strong economy that only the Conservatives can deliver.
ParlaMint-GB_2017-09-13-commons.u327	It is a pleasure to follow the right hon. Member for Broxtowe (Anna Soubry) As a nurse of 40 years, I can say that the issue we are debating today is close to my heart. I, like many other NHS staff, struggled to make ends meet with the 1% pay cap, which acted as a pay cut. Since 2010, NHS staff who have decided to stay in the profession have experienced a real-terms pay cut of 14%. They are overstretched and undervalued, which is making patient care in the NHS a real concern. The 1% cap is forcing many experienced staff out of the profession, putting strain on those left. Others are pushed into the arms of agencies where they could earn many times their normal hourly rate, and others pursue a second job to make ends meet, working extra hours to increase their earnings. This puts a strain not only on their financial life, but on their family too In my constituency of Wolverhampton South West, I have constituents who work as nurses telling me they are leaving the NHS because of increasing workloads, which has caused them great stress, and years of pay restraint that has left them feeling undervalued and demoralised. Many hard-working nurses are turning to food banks, facing missing meals and struggling to pay their bills. Pay has not increased, but utility and grocery bills have. The Royal Wolverhampton NHS Trust employs over 8,000, and 7,297 are non-medical staff. Another constituent who is a ward manager at a local rehabilitation hospital in Wolverhampton contacted me explaining how she had been fortunate to train with an NHS bursary and to then be employed there as a staff nurse since 2001 In response to a recent question by my hon. Friend the Member for Easington (Grahame Morris), the relevant Health Minister said that the Government changed the funding system for pre-registration tuition and bursaries to the standard student support system. This change means we have moved away from centrally imposed number controls and financial limitations, and therefore the artificial cap has been removed. That is not the case, as the latest UCAS figures show that applications for midwifery and nursing have fallen by 23% this year as health students are put off under this Government. Under this Government, it is difficult to train and to make a living as a nurse. That is why I am proud to have stood and been elected in the 2017 general election on Labour’s pledge, in a fully costed manifesto, to scrap the NHS pay cap and reinstate bursaries—unlike the Tories, who have given out massive tax giveaways worth £70 billion over five years.
ParlaMint-GB_2017-09-13-commons.u328	It is a pleasure to speak in this debate. I will not try to compete with my right hon. Friend the Member for Broxtowe (Anna Soubry), but one reason why I am speaking today—and why I often speak on healthcare matters in this place—is that I, too, come from a family of doctors and nurses who work in the NHS. It was wanting to make the NHS better that first got me involved in politics, and I care very deeply about our national health service I welcome the Government’s decision to lift the pay cap, and to do it in a responsible way, but it has served a purpose. Back in 2010, the pay cap was necessary. Indeed, there was a pay cap in the Labour party’s 2010 manifesto as well. Labour also recognised that a level of pay restraint was necessary because of the financial situation in which the country found itself. Pay restraint was urgently needed, because wages are a significant driver of costs in the NHS and the wider public sector, and the public finances were running totally out of control. The pay cap was part of the restoration of financial discipline, of confidence in our economy and of growth, which we are now enjoying. Thanks to that growth, millions more people are now in work It is right to lift the pay cap now, but it must be done with caution because this country still has a sizeable deficit and increasing levels of debt. We are still paying off large amounts of debt interest. We therefore have to be responsible in the way we make commitments on public sector spending. I am very concerned about Labour’s plans for the pay increases that they would be willing to fund. They seem to involve an open promise and a potentially bottomless pit. Labour Members will not tell us how much the pay increases would be, but we know that the proposals in their manifesto would have cost between £6 billion and £9 billion extra. It was not clear where that money was to come from. Time and again, we heard that it would come from corporation tax, but we know that when we put up corporation tax we reduce the tax take, so that policy would not have funded the increases. I am concerned that Labour Members are making an irresponsible promise that they would not be able to deliver, were they in a position to try I welcome the more responsible approach taken by this Government. It will not involve a blanket pay rise; rather, it will draw on the guidance of the next pay review body for the health service and make pay rises where they are most necessary. In my constituency in the south-east, for example, I am aware that the high cost of living affects the people on the lowest pay in the public sector, and I hope that they will be recognised in the pay review. We should definitely draw on the expertise of that body when making proposals for public sector pay, rather than just trying to score debating points and get the right headlines In my experience of about a decade working in many parts of the NHS, including hospitals, and as an MP, I have spoken to people working in the NHS and found that pay is rarely, if ever, the No. 1 concern. The issues that come up much more frequently include having time to care—
ParlaMint-GB_2017-09-13-commons.u329	I thank the hon. Lady for allowing me to intervene. She clearly wishes to champion nurses and their selfless desire to serve the public, but does she acknowledge that nurses in my constituency have to visit a food bank after a long shift at the hospital? Should not their selflessness in wanting to serve the public be recognised by their being paid what they deserve so that they can fund their families and their livelihoods?
ParlaMint-GB_2017-09-13-commons.u330	I genuinely believe that all members of the public sector should be paid a fair amount, and that is exactly what the pay review body will report on in its next report I was making the important point that pay has not been the No. 1 issue among nurses and other healthcare professionals when I have asked them what worries them most. Instead, they mentioned having time to care; being part of a stable team rather than having a high turnover of staff and lots of temporary staff; being listened to by the people they work with, particularly the senior people in the institution; and being valued. Being valued is not all to do with pay; it is much more to do with the way they are treated. In fact, I remember very well talking to one nurse whose line manager had not talked to her since the previous appraisal. To me, that is an extraordinary way of not valuing a member of staff; everyone should have regular conversations with their manager about how they are progressing Part of the problem in some NHS institutions is, therefore, in my view, not good enough management practices. If they were improved, we would have a much better environment for staff to work in, and I would very much like to see more attention paid to creating the right environment for healthcare workers, as well as ensuring that there is a fair and sensible pay settlement.
ParlaMint-GB_2017-09-13-commons.u331	I have already alluded to the fact that I am delighted that the Labour party secured this afternoon’s debate. We will support the motion if this matter goes to a vote tonight, but it will be interesting to see whether we actually reach that point. Maybe the House will agree that the points that have been raised today are such that we should send out a clarion call from this House that we agree with what has been said on both sides of the Chamber today, despite some of the party political divisions that might have informed some of the debate I too declare that, like many Members, I have members of the family in the health service. My wife was a nurse in the Royal Victoria Hospital in Belfast, my daughter is a nurse in the Craigavon Area Hospital, my niece is a junior doctor in a hospital in Belfast, and my nephew is a trainee doctor. Many of us therefore see at first hand and hear about the needs of our health service from our relatives. From time to time we hear churlish points made to the effect that people do not care. I think all Members throughout the House know that at any moment they will know someone who works for or is being cared for in the NHS, and it is important to state that it is a brilliant service and that that service needs to be supported I want to raise two points. The first relates to the number of nursing staff vacancies that currently pertain in the NHS. I quote from a letter from Janice Smyth, a director of the Royal College of Nursing in Northern Ireland, in which she has indicated to me: “The use of agency staff in Northern Ireland and associated agency costs have almost doubled” over the past few years, and that of course puts significant pressure on budgets. Also, it is unfair on regular staff in the service when they see the difference in pay that sometimes accrues. That is not to deny bank staff their right to that pay, but it does have an impact on people’s morale We have 1,300 vacant posts for nurses in Northern Ireland, and about the same again in the private sector. That needs to be addressed, and Northern Ireland has tried to address it by way of ensuring that the bursary remains in place. I believe that has been beneficial, but that is not the only answer. I also believe that the pay difference in Northern Ireland is dramatic and significant. It is important that I put this on the record. A care assistant in Northern Ireland earns about £17,500. Without the pay cap, they would be earning almost £20,000. A newly qualified nurse earns about £21,000. Without the pay cap, they would be earning about £25,000—a shortfall of £3,500 per year. For an experienced staff nurse, there is a significant difference: whereas they currently earn about £28,500, without the pay cap they would be earning £32,000—a shortfall of over £4,000 per annum. A highly qualified, experienced specialist nurse in Northern Ireland earns about £41,000; without the pay cap they should be earning £47,500—a shortfall of a staggering £6,500. That gap must be addressed, and addressed radically if we are to change things I would say to those members of the Labour party who chide us about the £1 billion deal: your party would have quite happily covered a deal that would probably have been better for us—those are the discussions we had in advance of the last election. In chiding us, you only hurt the public servants in Northern Ireland who are benefiting from that £1 billion deal that will allow us to allocate this money to relieve these costs.
ParlaMint-GB_2017-09-13-commons.u332	Order. I am sorry to say this, but we are going to have to go down to three minutes. I still want to try and get everybody in.
ParlaMint-GB_2017-09-13-commons.u333	I will not take that personally, Mr Deputy Speaker I thank the Labour party for giving the Conservative side of the House, and me in particular, the opportunity to put on the record the grateful thanks of all our constituents to public sector workers for their fantastic work in hospitals in places such as Blandford, Shaftesbury, Poole, Dorchester, Salisbury, Southampton and Bournemouth, all of which will have served my constituents over the years. We are all grateful to them I want to make two points to the Labour party. I entirely endorse what my right hon. Friend the Member for Broxtowe (Anna Soubry) had to say, because this is not a bidding war over which party loves the NHS more; it is about all of us trying to come together to ensure that the NHS is fit for purpose for the next 70 years, delivering quality care that is free at the point of use in the face of ever-increasing demand in the ever-more competitive space of medical advancement. At the heart of that, I am afraid to say, is cruelty from the Labour party, which makes huge promises about raising this, doing that or scrapping the other without saying how, by how much, or how it is going to be paid for. Labour raises expectations only for them to be dashed, as always, on the rocks of what would ultimately be the folly of a Labour Government. Labour’s childish approach to economic management defines what it is to be a Conservative. Broadly, being a Conservative in public life is to be the man or woman with the bucket, the brush and the shovel following behind the horse of Labour Government and picking up the mess.
ParlaMint-GB_2017-09-13-commons.u334	I wonder whether the hon. Gentleman is aware of how his Government are reducing supply in the national health service, creating demand for private healthcare. People outside the Chamber are fully aware of the Conservative Government’s privatisation agenda and their agenda of selling off buildings—
ParlaMint-GB_2017-09-13-commons.u335	Order. It is not normal to intervene just after coming into the Chamber. The fact is that Members who have been here all day are desperate to get in, and I am worried that they may not.
ParlaMint-GB_2017-09-13-commons.u336	The hon. Lady has burnished her reselection credentials among the Corbynistas in Momentum as Labour approaches its party conference, and she will be grateful for that There is another great elephant that needs to be put out of its misery. It has been perpetuated by socialists down the decades, usually at public meetings and the like, that my party wants to privatise the national health service. Let me say in all candour that the Labour party misses the fundamental fact that the Conservatives have been in government for longer than Labour during the existence of the NHS. We have had majorities in three figures and two figures and we have had minorities, so if it was a deep-rooted Tory secret that we wanted to privatise the NHS, having privatised everything else we would have jolly well done it by now. We have no intention of doing so. I was born in an NHS hospital, as were my three daughters.
