ParlaMint-GB_2017-04-06-lords.u1	To ask Her Majesty’s Government what steps they are taking to curb the use of tax havens.
ParlaMint-GB_2017-04-06-lords.u121	My Lords, I thank my noble friend Lady Scott for bringing forth this Bill on this important issue—the contributions during this short debate have illustrated that poignantly. My noble friend set out in detail why it is right that we should progress. I am grateful also to my noble friend Lord Black and the noble Lords, Lord Lester and Lord Rosser, for their contributions Although the Bill has limited practical effects, as all noble Lords have acknowledged, and does not change the rights and responsibilities of any person today, it has deeply symbolic importance. As was said by my ministerial colleague on Second Reading in the other place, “the laws that we pass in this place and that form our statute book represent”— in a very real sense— “the established morals and values of our country. It is right therefore that when the statute book contains wording that is inconsistent with those values we should change that wording. For that reason, the Government are happy to state now, formally, that we support this measure”.—[Official Report, Commons, 20/1/17; col. 1236.] Noble Lords will also understand that when the Government decide to support a Private Member’s Bill, they undertake an analysis of whether it is compatible with the rights enshrined in the Human Rights Act. I am happy to confirm for the record that, in my view, the provisions of this Bill are totally compatible with those rights My noble friend Lady Scott has spelled out the proceedings that took the Bill out of the other place and bring it before us today. I do not intend to detain the House further in that respect. However, it is interesting to note in respect of the Wiltshire connection that the Bill was taken through the other place by my honourable friend John Glen, who is the MP for Salisbury, and that it was Viscount Cranborne—now the noble Marquess, Lord Salisbury—who took the Criminal Justice and Public Order Act through this House in 1994. I am glad to see the continuing interest of the good people of Salisbury in this issue I want to take a few minutes to explain briefly the history behind the provisions that the Bill seeks to remove. The Criminal Justice and Public Order Act 1994 was a significant milestone in the development of LGBT rights in the United Kingdom. The Act is the last UK Act to have a whole part entitled simply, “Homosexuality”. As the noble Lord recounted earlier, it was responsible for reducing the age of homosexual consent from 21 to 18. It also removed some of the last remaining criminal liability for acts of homosexual sex. Sex between adults of the same sex was generally decriminalised by Section 1 of the Sexual Offences Act 1967, but that Act maintained criminal liability for homosexual sex that was contrary to military discipline or occurred on board a merchant ship. That liability was removed in the 1994 Act by Section 146(1), (2) and (3), for England, Wales and Scotland, and by Section 147(1) and (2) for Northern Ireland. However, the sections that we are dealing with today, Sections 146(4) and 147(3), were added during the passage of the Bill following amendments made by a Member of your Lordships’ House—a point already acknowledged by noble Lords Of course, time has moved on. We heard a poignant history of how this House, the other House and society have moved on. The noble Lord, Lord Lester, recounted the history of how the rights of individuals have increasingly been protected. It is right that we move forward in line with history and in line with society today As I mentioned earlier, the sections in question are of no current effect. Moreover, any attempt to discharge a member of the UK Merchant Navy from their employment on the basis of their sexuality would now be unlawful by reason of equality legislation. My noble friend Lord Black mentioned Alan Turing. I remember from this very Dispatch Box responding to the Private Member’s Bill in the name of the noble Lord, Lord Sharkey, who is not in his place. I recognise his efforts in that respect as we move forward in the right vein. Today, we shall do so again Sections have become shorter as time has gone on. Sections 146(4) and 147(3) of the Act have been progressively repealed, most recently by the Armed Forces Act 2016, which removed all references to Armed Forces. The Government could not do anything about provisions relating to the Merchant Navy in 2016 because, despite the name, the Merchant Navy is not part of the Armed Forces. Such an amendment could not be made out of scope. Nevertheless, the Government committed that they would address this point as soon as possible. At this juncture, I can only congratulate my noble friend on beating the Government to it We have reached a stage where the provisions in the 1994 Act refer only to the Merchant Navy and they are in any event defunct. Despite that, the policy behind the current statutory wording is unambiguous. It amounts to a statement that homosexual conduct per se is incompatible with employment on merchant vessels. Getting rid of that statement is a wholly laudable aim and I applaud my noble friend and all noble Lords here for supporting it today. It may be true that this measure is symbolic, but as my noble friend Lady Scott has made clear, there are very good reasons to support symbolic measures, including because they give clarity and tidy up the statute book, but also because, as I said at the start of my speech, the laws that are in force in the United Kingdom in 2017 should reflect the values of our great country in 2017. The Bill will do exactly that, and for that reason I hope that it can make rapid progress today and receive the support that it truly deserves.
ParlaMint-GB_2017-04-06-lords.u122	I quite understand that the Bill will apply to British ships in British waters and elsewhere in the world, but what is the position with foreign-flagged ships that happen to be in British waters when the homosexual act takes place? Their foreign laws may not apply in the same way that ours do.
ParlaMint-GB_2017-04-06-lords.u123	I acknowledge my noble friend’s point. Of course, ships are reflective of the flag under which they are registered. In terms of specifics and in terms of territories, when they are in Britain they should reflect the laws of our land, especially laws relating to British territorial waters and British land. I will write to my noble friend on the issue and share that with all noble Lords.
ParlaMint-GB_2017-04-06-lords.u124	My Lords, I thank all noble Lords across the House who have spoken today and who have shown such great interest in this little Bill and welcomed it so warmly. It is a small Bill but, as has been said a number of times, it is symbolically a very big Bill. Thank you for your support. I ask the House to give the Bill a Second Reading.
ParlaMint-GB_2017-04-06-lords.u125	That the bill be withdrawn.
ParlaMint-GB_2017-04-06-lords.u126	That the Bill be now read a second time.
ParlaMint-GB_2017-04-06-lords.u127	My Lords, I have made space for this Bill by withdrawing the previous one. The penny dropped for me about the difficulties of a missing person’s property effectively being left ownerless when I heard the father of a woman who was missing explain the problems. He has heard me say this before, but he is a solicitor and must know how to handle bureaucracy, so this is a real problem. Peter Lawrence—that solicitor and father—is listening to today’s debates and he represents not only himself and his daughter Claudia, because the focus of the Bill is the missing person, but also the families of the many adults reported missing. There are more than 80,000 of them a year in Britain, of whom about 1,500 are missing for more than one year It is normal at the end of the passage of a Bill to thank those involved. I hope I am not tempting fate, but in the hope that we may find ourselves without further substantive debate I want to thank now all the families and others who have recounted their experiences, which cannot have been easy. I thank the charity Missing People, current and previous staff of which have campaigned on this issue since, I think, 2008. I declare an interest as a member of the charity’s policy and research advisory group. I thank the Minister and his predecessor, the noble Lord, Lord Faulks, and the MoJ officials who have understood the need for legislation, even if they could not do more than keep it warm for a couple of years—I particularly thank Paul Hughes there. I thank Clifford Chance, the pro bono solicitors to the charity Missing People, particularly Patricia Barratt, who drafted the Bill that I have just withdrawn, the effect of which would have been essentially the same as that of this Bill. I also thank Kevin Hollinrake, who took the Bill through the Commons I know that there are noble Lords who had hoped to speak today to support the Bill, but the timing has been a little awkward. In particular, I refer to the noble Lord, Lord Kirkhope of Harrogate, and my noble friend Lady Kramer, whose Presumption of Death Act 2013 dealt with another not unrelated provision The words of people affected by the problems that the Bill seeks to address are more effective than mine: “When your loved one is missing you fall into a hole. There isn’t an official category for ‘missing’. Organisations don’t know what to do or how to deal with your situation” The creation of the new status of guardian of the property and affairs of a missing person is to fill a gap in the law of England and Wales. The guardian will be in a position not unlike a donee of a power of attorney, and the Bill draws on some of the provisions of the Mental Capacity Act. A person is missing for the purposes of the Bill if his or her whereabouts are unknown for more than 90 days—fewer in the case of urgency—or, much more unusually, if he cannot make or communicate decisions, for instance if he is held hostage or kidnapped The court will determine whether the applicant for an order of appointment has a sufficient interest to make the application, though certain people, including close family, have an automatic right to apply and interested persons must be notified so they can join in the application. The guardian may be the person applying; it could be an individual, a corporation or a professional person; and the guardian may be remunerated and be repaid expenses. Whoever the guardian is, there must be no conflict of interest. The appointment may be for up to four years, which is expendable, but terminates when the person returns or is declared dead. As one would expect, there are provisions for the guardian to be held to account and supervised, in this case by the Office of the Public Guardian and ultimately by the court What can a guardian do? Everything that the missing person has the right and power to do in relation to his property or financial affairs, subject to any limitations in the court order. He cannot make a will for the missing person or act as trustee. Again, as you would expect, it is a fiduciary position. Crucially, the appointment of the guardian must be, as I have said, in the best interests of the missing person. Clause 18 sets out how that is to be determined These interests will often coincide with the interests of families and, naturally, it is the experiences of that situation which are related by families. Very often, their experiences are ones which one might not have begun to imagine before beginning to think seriously about the situation. For example, a missing person’s salary is not coming in, but mortgage payments and other standing orders and direct debits go out of that person’s bank account. The bank will not make transfers between accounts to keep up the mortgage when the usual account, the usual source of the payments, is depleted. You are not entitled to sell the family home, but you may be threatened with foreclosure. Rent, if the property is rented, goes into a black hole And how do you deal with benefits? A mother maintains her son’s house out of her money to prevent it becoming derelict and says: “I used to put the heating on in the winter, but I can’t afford to do that anymore” A sister says: “We were stuck. We couldn’t use any of”, my brother’s, “money to pay his bills and at the same time we could not cancel his bills” All the people whose experiences have been related to me by the organisation Missing People have said that guardianship would be an enormous help and would mean that the person’s affairs could be dealt with. Financial institutions can take instructions only from the signatory to a bank account, and so on. Many will not give families information, because of “data protection”—I put that in quotes, because that is how it is put. Some simply do not know what to do; some will not even take phone calls; some will not take phone calls but are rather quick on the draw when the money in the account runs out. One person said: “one day I received a telephone call from the bank to say his account was overdrawn and what did I plan to do about it. I was so angry. I had contacted them so many times to try and sort the situation out but they wouldn’t engage with me” The Council of Mortgage Lenders and—from memory, so I hope I am not wrong in this—the British Bankers’ Association support the legislation, as it will provide clarity and protection for businesses and institutions which hold the assets of a missing person. The Association of British Insurers has also said that its members would welcome guidance because of data protection issues The Government consulted in 2014 on proposals for creating this new legal status. According to the MoJ, the response was “overwhelmingly positive” to the principle and to the proposals for implementation. Because the Government had not found an opportunity to introduce legislation, I introduced a Private Member’s Bill at the start of this Session. We now have this Bill, which has come through the Commons, piloted by Kevin Hollinrake, and I am delighted that a slot has been found as we come towards the end of the Session. The Bill reflects the proposals in the consultation to which I have referred Once you see the practical impact of the current legal position, you begin to understand the emotional effect. “I went overnight”, a wife explains, “from being a couple and having two wages to … becoming a single mum who could only work part time, with a mortgage and bills to pay. … my husband was missing, and that in itself was traumatic enough, but there was still the everyday living to do as well” We legislators can at least help with the everyday living. I beg to move.
ParlaMint-GB_2017-04-06-lords.u128	My Lords, what a privilege to follow the hard work and moving speech of the noble Baroness, Lady Hamwee. We on these Benches are more than happy to support the Bill at its Second Reading. It provides a much-needed remedy to the sometimes devastating financial and legal problems faced by the families of missing persons as a result of a gap in the law, which has remained unfilled for far too long As we have heard, each year more than 80,000 adults are reported missing to British police forces. Mercifully, most are found safe and well within the first week but around 4,000 remain missing for more than seven days and up to 1,500 adults are missing for longer than a year For the families left in limbo, the pain of not knowing where their loved one is or what has happened to them is compounded by a range of serious practical, financial and legal difficulties as the result of a disappearance. The vanishing of the individual has no legal impact on the person’s obligations and commitments. As a result, their affairs may be unmanaged and unprotected for the duration of their absence. Without a court mandate, institutions such as banks or insurance agencies are limited in how they can deal with those left behind. This can have disastrous repercussions, particularly for those who have shared assets or liabilities with the missing person, or for those financially dependent on them The creation of a new legal status of guardian of the property and affairs of the missing person would mean that families had an alternative and more immediate recourse when seeking to protect the financial and legal interests of their loved one. Under current law, in the Presumption of Death Act 2013, family members must wait a minimum of seven years before application can be made for a declaration that a missing person is presumed dead and their property can pass to others. Under the Bill, applications can be made after 90 days following a disappearance, and the court would be able to tailor the terms of the appointment of a guardian to the circumstances of the missing individual The charity Missing People has been campaigning to fill the gap for nearly six years, launching its Missing Rights campaign in 2011. Your Lordships will remember that, following calls for reform, the coalition Government launched a consultation in 2014, and in 2015 confirmed that they would legislate to create a new legal status of “guardian of the property and affairs of a missing person”. Despite a Written Statement from the then Justice Minister, the noble Lord, Lord Faulks, in which he expressed his hope that legislation would be brought forward without delay in the new Parliament, it failed to materialise. Today, however, by means of this Private Member’s Bill and through the admirable hard work of Kevin Hollinrake MP in the House of Commons and the noble Baroness, Lady Hamwee, resolution for families left behind is finally in sight. We owe a substantial debt of gratitude to both parliamentarians This much-needed legislation would plug a legal lacuna that has been acknowledged by the previous Government, the present Ministry of Justice and, as of late March, honourable Members in the other place. Support for the Bill in its current form has also been expressed by a variety of stakeholders including the charities Missing People, Prisoners Abroad, Hostage UK and the Council of Mortgage Lenders As my colleague in the other place, Richard Burgon, said at the first sitting of Committee on the Bill: “We must not drag our heels”,—[Official Report, Commons, Guardianship (Missing Persons) Bill Committee, 21/2/17; col. 5.] when there is political consensus on the need for and appropriateness of this legislation. So I urge your Lordships to lend support to this fine Bill and to help ease at least the practical burdens—if not, unfortunately, the ongoing emotional suffering—of those families who continue to wait for news of a loved one or their return Finally, if I may, I thank all of your Lordships for your company and courtesy, and for the enormous contribution that you have made to the life of this country in recent weeks and months. I wish you all a very happy Easter with your own families.
ParlaMint-GB_2017-04-06-lords.u129	My Lords, I add my congratulations to the noble Baroness, Lady Hamwee, on introducing this Bill. The Bill is similar in content and purpose to the Missing Persons Guardianship Bill, which she introduced in June 2016. I am grateful to her for withdrawing her Bill and taking on the present Bill, which is supported by the Government. It will create a new legal status of guardian of the property and financial affairs of a missing person The proposals now in the Bill have taken some time to evolve and have been developed in the light of views expressed from several sources over time. First, the All-Party Parliamentary Group for Runaway and Missing Children and Adults called for legislation in 2011, and the Justice Select Committee recommended guardianship legislation in its Presumption of Death report in 2012. These calls were supported during the passage of the Bill that became the Presumption of Death Act 2013. This parliamentary activity was supplemented by a public consultation on proposals for a scheme of guardianship by the Ministry of Justice in 2014. The response to that consultation, as already indicated by the noble Baroness, was overwhelmingly supportive Before commenting on the content of the Bill that has emerged from this extended period of development, I too acknowledge the work of the campaigners within and outside Parliament for the introduction of this guardianship Bill. I will not detain your Lordships with a lengthy list but in addition to the noble Baroness, Lady Hamwee, I would mention the noble Baroness, Lady Kramer, who introduced a Bill in similar terms to that of her noble friend Lady Hamwee, and my noble friend Lord Boswell, who promoted a Presumption of Death Bill in 2009 that started the train of legislation that we carry forward today. I also acknowledge the work of the Justice Committee in the other place and, outside Parliament, the campaigning of the charity Missing People, along with the help that it and we have received from Clifford Chance LLP in acting as pro bono lawyers to that charity Missing People and the charities Hostage UK and Prisoners Abroad, which have also supported the preparation of the Bill, bring together and give voice to the experiences of the individuals and families caught up in disappearances, as referred to by the noble Baroness, Lady Hamwee. I am grateful to all those who have contributed to their work and in particular to Claudia Lawrence’s father, Peter Lawrence, who I understand is here. He has campaigned to create a practical legal remedy for the benefit of all people caught up in the property and financial effects of disappearances I now turn briefly to the substance of the Bill. The Bill is necessary because, although the law assumes that a missing person is alive until the contrary is proved, the missing person’s property is effectively left ownerless while he or she is missing. No one has legal authority to protect it or to use it on their behalf. This can lead to practical and financial problems for the missing person, his or her family and others At present, people simply have to find ways to get by. Unlike situations where it is thought the missing person has died, there is no legal framework to assist the individuals caught up in the difficult consequences of a disappearance. The experiences of those left behind demonstrate that there is a gap in the law and that suitable advice is difficult to find. Families may be hit hardest, but banks and other institutions have to deal with cases of disappearance on an ad hoc basis, increasing uncertainty and risk Other approaches to reform would have been possible, but the creation of a new status of guardian of the property and affairs of a missing person is intended to fill the gap in the law in a way that will provide an accessible and readily understandable legal solution, while still protecting the interests of the missing person The first and foremost protection is that guardians will be appointed only by the court. The court must be satisfied that the person to be appointed is suitable to act as guardian and will act in the best interests of the missing person. The court will be either the High Court or the Court of Protection, and the Lord Chancellor will make this choice after consulting the Lord Chief Justice. The court will be able to impose conditions and restrictions in the terms of the appointment, including restricting the length of the appointment to less than the maximum four years permitted by the Bill. The court also has power to vary and revoke appointments The Bill also provides that interested parties will be able to hold guardians to account by court action and that guardians will be supervised by the Office of the Public Guardian, which will maintain a register of appointments and deal with complaints about the way a guardian is exercising his or her authority In this last respect and in a number of other places, the proposals in the Bill broadly follow the model of the provisions governing the appointment of deputies in the Mental Capacity Act 2005. The guardian will, for example, be the agent of the missing person, in much the same way as the deputy is the agent of the patient under the Mental Capacity Act 2005. Third parties, such as banks and other financial institutions, will be protected in their dealings with guardians in much the same way as they are when they deal with people acting under powers of attorney. Most importantly, they will be able to see the extent of the guardian’s authority to act on the face of the guardianship order made by the court and will be able to rely on it Some of the detail of the scheme of guardianship will be set out in rules of court, regulations and statutory guidance. To allow these to be drawn up and for potential users to familiarise themselves with them, the Bill is unlikely to come into force earlier than one year after Royal Assent, but the Government will endeavour to keep any delay to an absolute minimum The Government are committed to helping those left behind by the traumatic and disruptive event that is the disappearance of a family member. The number of cases in which the remedy will be used may not be huge, but the effect of each of those disappearances on those caught up in them can be severe and traumatic. The creation of the new legal status of guardian of the property and financial affairs of a missing person will not solve every problem created by a disappearance, but it should provide an effective, practical and relatively straightforward remedy to some at least of the practical problems that are created in these circumstances. There is, of course, concern about the risk of abuse of authority that can never be completely eliminated, but the Government believe that the provisions in the Bill strike an appropriate balance between giving the guardian the freedom to act to do good on the one hand and protecting the interests of the missing person on the other I commend the Bill to the House.
ParlaMint-GB_2017-04-06-lords.u130	My Lords, I am grateful to the noble and learned Lord and the noble Baroness. The hard work is done outside this place by officials and campaigners. In this situation, campaigners are not just people who stand up and shout; they provide material on which we can work The noble and learned Lord answered a question which I thought it might seem a little grudging to ask, which was how soon the Bill might come into effect. I am glad to hear what he said I thank everyone for being so positive about what is a very negative experience for those whom we are trying to assist. I hope that the House will give the Bill a Second Reading Bill read a second time and committed to a Committee of the Whole House.
ParlaMint-GB_2017-04-06-lords.u131	That the Bill be now read a second time.
ParlaMint-GB_2017-04-06-lords.u132	My Lords, as we all know, it is extremely difficult to get a Private Member’s Bill through another place, so I am very happy to congratulate my honourable friend for Gower, Byron Davies, on the excellent work he did in getting the Bill through all its stages in the Commons and to congratulate the Government on helping it get this far The purpose of the Bill is to: “Make provision about the constitution of the Farriers Registration Council”— which I will call the FRC—“and its committees”. The FRC is the regulatory body for the farrier profession in Great Britain. Its statutory responsibilities are provided for by the Farriers (Registration) Act 1975 and include maintaining a register of farriers, determining who is eligible for registration and regulating farriery training. Further, the FRC investigates and, where necessary, determines disciplinary cases through its statutory investigating committee and disciplinary committee—and there is the rub and the mischief that leads to the Bill For those who are following the Bill, I am grateful to the Government for the help they gave me in producing the Explanatory Notes, which go into some detail. I will take the House very briefly through the Bill. At the beginning, I underline that the FRC is not a trade union but a regulating body. As such, it has to have an up-to-date constitution. As we all know, our noble friend Lord Bew reported in September last year. He set out the danger of regulatory capture, where a profession exercises undue influence over a regulator. The whole point of the Bill is to ensure the good name of farriery for the future There are three organisations involved. There is the FRC, but there is also the Worshipful Company of Farriers, which sets professional standards and qualifications on a worldwide basis. People from all over the world use its standards. The British Farriers and Blacksmiths Association is the trade association. They all work in harmony for the benefit of the profession, by and large. Inevitably, there are some tensions—but that is good for a regulatory body as it keeps it up to the mark The Bill has three clauses. The first introduces the schedule and the second gives power to the Secretary of State for Environment, Food and Rural Affairs to make further changes to the constitution of the council and its committees through regulations. That is a significant change. At the moment, everything has to be done by primary legislation, which is why we have the Bill before us today. The third clause gives the extent, commencement and short title of the Bill. The Bill extends to England, Wales and Scotland The schedule is also in three parts. The first part relates to the constitution of the FRC, and the number remains at 16. What is new is that in future the appointment of a member of the council will be for a term of four years, and somebody can serve for only two terms. That is a step forward, bringing the legislation into line with other regulatory bodies. Parts 2 and 3 of the schedule deal with the constitution of the investigating committee and the disciplinary committee. This is where we get the separation of powers from where the regulatory body, the FRC, to date has been judge and jury in its own case to where you now have the regulatory body and then separate investigatory and disciplinary bodies. That is normal procedure. It is for the benefit of not only the profession but of everybody who owns a horse, and for public confidence in the profession To return to the constitution, it is worth pointing out that the council will consist of three persons appointed by the Worshipful Company of Farriers, one of whom must now be a farrier—and there are lots of farriers within the worshipful company; four practising farriers, an appointment made in accordance with the scheme made by the council; two registered persons appointed by the National Association of Farriers, Blacksmiths and Agricultural Engineers; two veterinary surgeons appointed by the Royal College of Veterinary Surgeons; and one lay person from each of five outside bodies. I put it to your Lordships that this is hugely important because it includes bodies such as the British Horseracing Authority and the British Equestrian Federation, which are looking at the health of horses as a whole I ask noble Lords to give the Bill a Second Reading. This is an important, almost unique opportunity, given what is before us in the next two Sessions of Parliament, for us to get the Bill on to the statute book. I commend the Bill and I beg to move.
ParlaMint-GB_2017-04-06-lords.u133	My Lords, I thank the noble Earl for bringing the Bill forward. I am afraid I must take a bit of the responsibility for it being in front of noble Lords in the first place. A while ago, one of the elected farriers on the existing board came to me and said that there were problems. I will not go into details because I do not think it would add anything to the process, but my advice was, “Go and talk to your MP”. He and the other elected farriers on the board—then there were four, as there will be now, but slightly different criteria were used from those in the Bill—went and spoke to their MPs. After a great deal of churn, we have ended up with a new Bill, and I must thank Byron Davies for getting it through the House of Commons. When we initially spoke about this I did not think that would happen, so congratulations to all those involved in piloting the Bill through The problems were basically explained to me as being cultural—there had been a breakdown. The solutions that the elected farriers wanted were not exactly those in the Bill, but I appreciate that this is better. Even they would say that half a loaf is a hell of a lot better than no bread, so I hope we get the Bill through. As the noble Earl has pointed out, this will probably be the last opportunity to do so I have a few questions for the Minister, and indeed the noble Earl if he cares to chip in. Could we get a working definition in the Bill of what a working farrier actually is? Some of the problems stemmed from the fact that it was felt that some of the committees did not understand the realities of being a farrier—that is, a person who travels around the country, usually in a small vehicle, having to deal with half a tonne of horseflesh that may not be that co-operative. Indeed, it has been said that farriers usually have a girlfriend or boyfriend who is a nurse because frequently that is how they meet. It is a hard, dirty, physical job, and having people who understand that would help. I make it at least five farriers on the council specified in the Bill. If the noble Earl or the Minister could give a definition of what exactly the word means, that would help The process of appointing the chair has changed, and a description of how that has changed would help to clarify what has gone on here. The noble Earl has remarked on the capacity to change this much more easily, if something goes wrong, as we are using statutory instruments. I think that would be a last resort, as he has said, but it would mean that things could actually be changed that much more quickly in future If we get these clarifications in place, we should do everything we can to ensure that the Bill gets through because it will make the situation better. With that, I wish the Bill godspeed, and hope that we do not actually have to take up too much time getting it through.
ParlaMint-GB_2017-04-06-lords.u134	My Lords, I am very grateful to the noble Earl, Lord Caithness, for tabling the Bill, and for so ably taking the baton from his colleague, Byron Davies, who sponsored the Bill in the Commons. I now realise I should also be thankful to the noble Lord, Lord Addington, for his initiative, which led to the Bill in the first place. I think we will discover during the debate that that initiative was well worthwhile I make it clear at the outset that we intend to support the Bill without amendment and we very much hope that it can clear the remaining hurdles to become law, although I had some sympathy with the points that the noble Lord was raising, particularly about the definition of a farrier. I certainly had to look up that term before I came into this debate in order to understand completely what it meant. However, I do not want to encourage anything that might mean the Bill does not become law, so I do not know what the logistics of that would be. I am sure the Minister will explain all As the noble Earl rightly recognised, regulation in many professional services and welfare sectors has moved on since the introduction of the original Act in 1975. I have personal knowledge of the standards now expected in the regulated sectors, because I sat for many years as a doctors’ fitness to practise panellist, as well as chairing part of the regulatory oversight for the Royal Institution of Chartered Surveyors. Those regulated areas have moved on and are constantly reconsidering and improving their standards of oversight, and it is right that we should do so in this area I recognise the importance of modernising the regulation of farriers to ensure that the public can have continued confidence in the quality of the service being provided and have recourse to an independent judgment when things go wrong. That is why we support the proposal to separate the powers of the farriers’ registration committee from those of the investigating committee and the disciplinary committee. It is now common practice in regulatory bodies that those who set the standards are different from those who adjudicate on them, so the changes come into line with good practice elsewhere We also support the changed membership of the Farriers Registration Council to increase the number of practising farriers, along with two veterinary surgeons, as well as broadening the involvement of the organisations which have already been mentioned. This should indeed help to strengthen the council’s knowledge of up-to-date, professional, technical and training issues, so that it is better able to set achievable standards and deliver them. We also support the time limits on office and the arrangements for the election of the chair. Again, all these seem to coincide with good practice elsewhere These proposals are a sensible balance between the majority of working farriers and those involved in the Worshipful Company of Farriers. Both have a role to play, but our ultimate aim has to be to provide a modern and professional regulator that commands public confidence and operates transparently. The Bill achieves that aim and we are very happy to support it.
ParlaMint-GB_2017-04-06-lords.u135	My Lords, I am most grateful to my noble friend Lord Caithness for introducing the Bill, speaking so powerfully as to its merits and giving us some of the background to this matter. I also acknowledge my honourable friend Byron Davies for his piloting of the Bill through the other place. As noble Lords will know, farriery has been and is central to the well-being of the horse. Indeed, I was brought up with the expression, “No foot, no horse”, which succinctly captures for me how important the skill of the farrier is. Farriery deserves sensible and proportionate regulation, and the Bill proposes precisely that The proposals have been worked on since 2013. A project team was set up with officials from Defra, the Scottish and Welsh Governments and a working party of members of the Farriers Registration Council and staff. A consultation was jointly held by Defra with the Scottish and Welsh Governments in late 2013, which addressed all the major elements of the proposals. The legislation would extend to England, Wales and Scotland The purpose of the Bill is to protect and maintain the public interest and to protect the welfare of equines, by modernising the governance, structure and operation of the Farriers Registration Council and its statutory committees. This will enable the FRC to overcome practical difficulties caused by out-of-date legislation, reduce the risk of legal challenge and modernise the FRC’s structure and operations in line with the Government’s principles of better regulation and the practices of other regulators. Its most crucial aspect is the need to introduce full separation of powers between the council and its investigating and disciplinary committees. I was most grateful for what the noble Baroness, Lady Jones of Whitchurch, said about the importance of such arrangements The investigating committee is set up to carry out the preliminary investigation of cases or complaints against farriers that could amount to professional misconduct. If the investigating committee deems this to be the case, it is sent to the disciplinary committee. The disciplinary committee determines whether the charges made are proven, and can where appropriate apply sanctions—in the most serious cases, up to and including the removal of a person from the register of farriers, meaning that the person would no longer legally be able to practise farriery. The function of these committees is vital to the regulation of the farriery profession, and the Bill makes changes to modernise the law and ensure that it is fit and proper for regulation in the 21st century. In particular, as my noble friend Lord Caithness said, it imposes a full separation of powers As the law currently stands, the investigating committee and the disciplinary committee are made up of members of the council. This does not fulfil the principle of separation of powers and the removal of possible bias. Currently, the same body which sets the standards for the profession is responsible for investigation of and adjudication on possible breaches of those standards. That is very important, as the decisions of the investigating committee or the disciplinary committee may be subject to legal challenge by those whose cases are being determined on the basis that they did not have the right to a fair trial. Equally, members of the public may view the lack of impartiality as farriers looking after their own. Consequently, it is vital that changes are made to bring the law up to date, as the noble Baroness, Lady Jones, rightly inferred. The Bill proposes that members of the investigating committee and disciplinary committee must be persons who are not members of the council; nor may they be an “officer or servant” of the council—that is, paid staff of the FRC. The provision is retained that a person on the disciplinary committee cannot sit on a case if they served time on the investigation committee in respect of the same case. This ensures that full separation of powers is met and that the investigation and disciplinary committees meet the requirements of a modern regulator I will address some of the issues that have been raised, including the number of farriers who sit on the council. The council is made up of 16 members. Currently six of those members are practising farriers, and the Worshipful Company of Farriers appoints three more members, who may or may not be practising farriers. The remainder of the council is made up of two veterinary surgeons and five lay representatives appointed by various interested bodies, as set out in the schedule to the Bill Following consultation with the farriery profession regarding representation of practising farriers on the council, the Government have responded to the concerns of the farriers, and the Bill proposes that at least one of the members of the FRC who is appointed by the worshipful company must be a currently practising farrier. This brings the constitution of the council to a minimum of seven currently practising farriers out of 16 members. In response to the noble Lord, Lord Addington, and the noble Baroness, Lady Jones of Whitchurch, I emphasise that, as set out in Part 1 of the schedule, “‘practising farrier’ means a registered person who carries out farriery”; that is, is actively and currently engaged in the profession. The Government have also decided, following a consultation process, that the chair of the council is to be elected from among the members of the FRC, rather than appointed directly by the Worshipful Company of Farriers, as is the case currently. The noble Lord, Lord Addington, also raised this I stress that it is vital that as a regulatory body the FRC should reflect a balance of interests rather than bloc voting, and must also avoid the risk of regulatory capture by the profession it is regulating. It is also government policy that the split between farriers and non-farriers should be approximate rather than specified exactly in statute, and managed by the FRC itself according to the needs and skills requirements of the council at any particular time. I believe that the proposals allow for this flexibility, and for fair representation of the farriery profession on the FRC without risking regulatory capture. I also believe that it would not be in the interests of farriers if there were not a fair representation of third parties on the council to assist them in the regulatory environment of their profession Also in response to the noble Lord, Lord Addington, I say that the Government consider that should the FRC require future administrative amendments to its structure or that of its committees in order to continue to function properly and effectively as a modern regulator, such changes should be able to be made more swiftly than currently; that is, without the need for primary legislation. The use of secondary legislation to secure any further changes would clearly need to be on the basis of maintaining the public interest. This would be in keeping with other regulatory environments. For instance, a similar power exists in paragraph 24(1) of Schedule 1 to the Architects Act 1997, under which the Secretary of State may make an order to amend the provisions of that Act. The proposed power in the Bill includes provision for the Secretary of State to consult fully and, additionally, obtain the consent of Scottish and Welsh Ministers, given that farriery is a devolved matter The Government have consulted fully on the proposals, and the nature of the responses suggests widespread support for the Bill. Indeed, it is very much the prevailing view that there is an urgent need for the modernisation and reform that the Bill proposes, and it is vital for the profession that the Bill is passed I endorse the importance of the profession of farriery in terms of equine welfare and the need to ensure that the highest professional standards are maintained. The Bill provides a modern regulatory environment for a profession on which all horse owners rely. Again, I thank my noble friend Lord Caithness for introducing it and I, too, wish it a safe passage.
