ParlaMint-GB_2017-03-14-commons.u1	1. What steps he is taking to support the transition to a low-carbon economy.
ParlaMint-GB_2017-03-14-commons.u434	I congratulate my hon. Friend the Member for Stoke-on-Trent Central (Gareth Snell) on his excellent maiden speech, which I enjoyed very much. It moved many of us to laughter and tears. I gently correct him on one point: Stoke is not the centre of the known universe. That would be another place in the west midlands called Birmingham, but I will let him off on this occasion because that was a first-rate start to his parliamentary career and I wish him all the very best I want to focus my remarks on the Government’s record and their failure on their own terms. I note with interest that the Government Benches are all but empty. That may be because Government Back Benchers are not exactly lining up to defend the increase in national insurance, given the row that has erupted between No. 10 and No. 11 Downing Street, but the reason may go back further than that. Long before the Government’s broken manifesto commitment on national insurance, the Government failed the test they set for themselves: their central mission when they came into government in 2010, and the one promise they made to this country, was that they would eliminate the deficit in five years and that the age of austerity was the only way to achieve it The Budget documents are clear. In 2016-17—I am glad more Government Members are coming into the Chamber, so they can hear about their Government’s failure on the deficit in person—the deficit will be £51.7 billion. In 2017-18, it will be £58.3 billion. Even in 2021-22, it will still be £16.8 billion. On this trajectory, the deficit will not be eliminated until 2025-26: a full 15 years after their famous promise, made in 2010, to eliminate the deficit in five years That is the true shameful record of this Government, but it sits alongside a much starker and more catastrophic reality on living standards for ordinary working people. [Interruption.] Government Members should stop chuntering and listen to what they have done to ordinary working people. On current forecasts, average earnings will be no higher in 2022 than they were in 2007. That amounts to 15 years without a pay rise for ordinary working people. According to the Resolution Foundation, by 2020 families will have missed out on pay growth of £12,000: the worst decade in 210 years. That is what the Government have delivered for ordinary working people country. They used to taunt Labour Members with a slogan about us not fixing the roof while the sun was shining. For people going 15 years without a pay rise, it is as if the sun never shone at all On pay, wages, jobs and growth, I was particularly disappointed that the Government failed to take action to offset the planned cuts to universal credit later in this Parliament. I say to Conservative Members, who rightly kicked up such a fuss on the changes to tax credits planned by the former Chancellor of the Exchequer, that the U-turn was not truly a U-turn. The cuts are still coming down the tracks. Many of the same people will be affected when those currently on tax credits are moved on to universal credit towards the end of this Parliament. At the moment, only 170,000 or so people are in receipt of universal credit, but, by the end of this Parliament, millions of families will be on universal credit The Secretary of State’s warm words on opportunity mean nothing given what the Government are doing to the working poor. The cuts to work allowances will total £6.4 billion by the end of this Parliament. Only a tiny concession was given at the autumn statement by the Chancellor when he reduced the taper rate from 65% to 63%. It remains the case that lone parents on the national living wage with one child in 2021 earning £16,000 will lose £2,800. The measures in the autumn statement will give them back only £200 of that money, so they will be £2,600 a year worse off. Those are not small sums. They are the difference between keeping a roof over your head and being homeless. They are the difference between putting food on the table or watching the children go hungry. That record of delivery that the Government are putting on the people of our country in the 21st century is unacceptable In the end, politics is always about choices and priorities. This Government have made the choice to cut corporation taxes, totalling £11.2 billion by 2021-22. They could make a different choice. They could choose to spend that money elsewhere, perhaps on universal credit or social care or to alleviate the crisis in the national health service. This is a choice that they are making. Cuts to corporation tax are not necessary to ensure that we have job growth in our country. We have seen what has happened to wages, and we know that business investment is nowhere near where it should be. The cuts to corporation tax are therefore being pocketed as profit more than they are delivering for the rest of the economy. They should be reconsidered. The Government’s choices thus far have made ordinary people pay the price, which is unacceptable.
ParlaMint-GB_2017-03-14-commons.u435	Order. As the hon. Member for Birmingham, Ladywood (Shabana Mahmood) cleverly and rightly anticipated, I am afraid that the time limit for speeches has to be reduced to six minutes.
ParlaMint-GB_2017-03-14-commons.u436	Before I start, may I say how proud and delighted I am to be joined on these green Benches by my new hon. Friend the Member for Stoke-on-Trent Central (Gareth Snell) who made a wonderful maiden speech? I am now grateful for every door I knocked on in the rain. [Interruption.] We can send him back now What we heard last week was a Budget bereft of ideas from a Government in want of a plan. It offered no solution to the crisis in our NHS, no vision for our country’s future outside the EU and no offer of hope for the Potteries, which I am so proud to represent. Its alleged support for health and social care amounted to little more than an empty gesture in the face of crippling financial crisis within our NHS The Budget prioritised the vanity projects of an out-of-touch Prime Minister over fixing our struggling education system. It is timid in the face of unprecedented challenges; indeed, it is bold in only one respect—in its choice of victims. The Chancellor will no doubt have been counting his blessings that he had a ministerial car in which to flee the scene last week, because I am sure that the cabbies of central London would have painted him a clear and somewhat colourful picture of what his announcement on national insurance is set to do to their take-home pay.
ParlaMint-GB_2017-03-14-commons.u437	As chair of the all-party parliamentary group on taxis, I can tell my hon. Friend that taxi drivers as well as other self-employed workers cannot understand why their burden as relatively low-paid workers should increase while there are tax cuts for the very richest. Is this not one of the many reasons why there are so few Conservative Members on the Government Benches to defend this terrible Budget?
ParlaMint-GB_2017-03-14-commons.u438	I could not agree more with my hon. Friend. As the niece of a black cab driver, I should really declare an interest It seems that, as far as the Chancellor is concerned, the “strivers” that his party claims to stand up for are not striving quite hard enough. It is beyond belief that at a time when Britain needs to rebuild and rejuvenate its economy, this Government have chosen to impose a tax on hard work and entrepreneurship. It is also a tax on aspiration, something that we should promote, not attack. I remind hon. Members that this was billed by many as the last pre-Brexit Budget, yet the glaring omission in the Chancellor’s plans was any clear vision of what Britain might look like after Brexit and what sort of investment and Government support might be needed to get us there As for constituencies such mine, which voted overwhelmingly to leave, there seemed to be no consideration of the investment and support needed to make sure that places like Stoke-on-Trent can benefit and thrive from our new relationship with the world. There is no clearer example of this than the Government’s approach to education and skills, which is the single biggest issue raised by all the employers and educators in my constituency when we discuss industrial strategy—another phrase sorely missed from the Budget Schools in my constituency are losing an average of £400 per pupil, and our city is crying out for proper investment in skills and education. Instead, the Chancellor is choking the life out of our public education system, while pouring millions into a doomed experiment in selective education. That lack of commitment to our wider education system is deeply concerning, because the single most important thing that we can do to improve the economy of my great city and others is to improve the skills of the people who live and work there It is not a lack of will that is holding my young people back: they are enthusiastic and keen to work. What is missing is the support and investment to ensure that they are fulfilling their potential, learning the skills that they need in order to succeed and gaining the qualifications to prove it. Last week I visited a wonderful primary school in my constituency—the best primary school in the city, even—which is already having to choose between teachers and computers. It is not two to one for books; it is two to one for computers. That is why it is so wrong —at a time when we should be upskilling our communities for the challenges of the future so that they can embrace the fourth industrial revolution—for the Government to focus on a grammar school system that will benefit only a select few and overwhelmingly favour those from more privileged backgrounds, rather than providing the basics for every child in every school We need to ensure that all our schools are properly funded, and that we have a robust system of early intervention to support the most vulnerable families right from the start. That is why our children’s centres, our primary and secondary schools and our further education system need investment, not vanity projects. If we are to make the best out of Brexit, which we now desperately need to do, we must ensure that our communities are ready to seize those opportunities. We need a workforce that is ready for the jobs of the future, we need a universal and properly funded education system, and we need to ensure that all our young people are supported so that they can realise their potential. We need a better deal for the next generation, not this ideologically driven waste of public funds.
ParlaMint-GB_2017-03-14-commons.u439	I echo what has already been said about the fantastic maiden speech of my new hon. Friend the Member for Stoke-on-Trent Central (Gareth Snell). I went with him to visit a maintained nursery school in Stoke, and I know how committed he is to education and skills in the area. That brings me to the main thrust of my own speech After nearly seven years, the cumulative effect of Government policy on education and skills is now being felt by pupils, parents and teachers, and has given rise to a number of serious issues, each of which should demand the full attention of Ministers. School budgets are falling for the first time in 20 years. There is a teacher shortage crisis. There has been a huge rise in pupil numbers, requiring about 400,000 new school places. We are seeing the biggest changes in GCSEs and the curriculum for a generation, of which many people are unaware. Primary assessment is in absolute chaos: the pass rate in last year’s standard assessment tests fell from more than 80% to an appalling 53%. We have seen the introduction of more free childcare with insufficient funding, and serious failings in capacity and oversight in the schools system. Many of the Government’s previous “pet projects” have failed and closed. All that has come on top of what the Secretary of State described today as the biggest revolution for a decade in technical education Any one of those issues should command the undivided attention of Ministers, but they want to impose two huge further changes on the schools system: a new funding formula which seems to have left all sides unhappy, and the reintroduction of grammar schools without a shred of evidence, which has shone a light on the woeful record of existing grammar schools in supporting children from poorer backgrounds. The Budget had nothing to say about social mobility, closing the productivity gap, or creating the high-wage, high-skills economy that we need. Perhaps the Government would have done better to spend more of their time sorting out the last set of experiments that they said would create “more choice”. What has happened to them? Let us take a look Since 2010, when the Government introduced their previous gimmicks—university technical colleges, studio schools and free schools—there have been huge problems and a massive waste of resources. More than 1 in 10 UTCs has closed, and many more are now on the brink. While there are a few excellent UTCs, even the right hon. Member for Surrey Heath (Michael Gove)—who had introduced them—admitted that the experiment had failed, saying: “the evidence has accumulated and the verdict is clear” Three in 10 studio schools have closed or are due to close, as Schools Week analysis has found, and many more are on the brink of closure. Only one has reached the 300-pupil mark that was set. The future is therefore looking bleak for those experimental institutions, yet the Government are hellbent on creating more. One in five free schools are in places where they are not needed. With the starving of capital funds to existing schools, and the failure to meet the places crisis by continuing to throw good money after bad, this Budget does nothing to deal with the real issues facing our schools Even though we are awaiting the outcome of the Government’s consultation, we heard this week that the Government are hellbent on going ahead with their grammar schools programme, which they are now calling “selective free schools.” I note that the Secretary of State is so ashamed of that policy that she did not even mention it in her speech today. I reiterate that there are very few Conservative Members in the Chamber to defend that policy.
ParlaMint-GB_2017-03-14-commons.u440	Does my hon. Friend agree that the Secretary of State probably did not mention the policy because she does not agree with it?
ParlaMint-GB_2017-03-14-commons.u441	Yes. We can infer that. The evidence is clear on selective education. Those systems do not boost social mobility. In fact, in many cases they widen the gap. As we all know in the House, the big challenge facing our education system is the long tail of under- achievement. It is not about how we can better support the already high-achieving. The only argument advanced by Conservative Members is that the tiny number of children on free school meals who get into grammar schools, who by definition are already high-achieving, do better than all the other children on free school meals. What a joke of an argument that is to base the entire policy on. There is a huge amount of evidence going the other way Perhaps that is why, when the Secretary of State addressed the usually mild-mannered and pragmatic Association of School and College Leaders at the weekend, she got booed, which has never happened at that conference before. It may also be why the Sutton Trust, the Government’s own Social Mobility Commission, the Education Policy Institute, the former chief inspector of schools, all the secondary heads in Surrey and many, many others and many Conservative Members have come out against those proposals There are plenty of things that the Government should be doing, and we have mentioned a few of them. Perhaps they should get to those core issues, rather than creating yet more uncertainty and instability in the system. They should get on with doing something about the major funding challenge. This is not about fair funding—it is about funding levels being maintained at the levels they are now. The belts are being tightened even more for some schools, but all schools are losing out from those funding measures The Government should do something about teacher shortages. For five years in a row, they have missed their retention and recruitment challenges. They should do something about the school places crisis and work with local authorities, rather than plonking free schools where they are not needed. And get a grip on what is happening with the new GCSEs and curriculum. There is absolute chaos there If the Government really want to do something about social mobility, they could do a lot worse than look at investing properly in quality provision in the early years, rather than trying to deliver child care on the cheap. There is plenty of evidence to support it, and I am happy to discuss that with Ministers if they want to have a real agenda for social mobility.
ParlaMint-GB_2017-03-14-commons.u442	Sometimes we hear Government Members and the Prime Minister herself talk as though when Labour was in power, we did nothing for health, education, children, the homeless, older people and other vulnerable groups, but let me take the six Conservative Members who are sitting in the Chamber on a trip down memory lane. In 1997, when hospital waiting lists were more than three years, people were lying on hospital trolleys, and hospital staff and others were completely demoralised, we spent millions and millions of pounds on repairing hospitals and investing in people—in nurses and in doctors—and in hospital services, so that when we left office in 2010 our NHS was a brilliant service. The Tories inherited that and they are now destroying it We had the mantra “education, education, education,” and we followed it with real funding in our education system. I am sure people will remember that there were run-down schools, some with leaking roofs, and demoralised teachers, and all the extra funding that we put in. This Government now take credit for our education doing so well, but that is because of the investment we put in from 1997. We also took half a million children out of poverty and began the Sure Start programme, which helps young people; if we really want to help young people from poorer backgrounds to succeed, we need to ensure that early years education is good, and Sure Start helped many families We also introduced the education maintenance allowance for 16 to 18-year-olds, which helped many young people from poorer families to stay on at school or college. That was abolished by the Conservative-Liberal Democrat Government, and now many young people, instead of being able to stay on and study at school or college, are having to go to the jobcentre to sign on, and are not getting any extra training or learning. That is one of this Government’s most counterproductive actions, and it is driven purely by ideological considerations Yes, we did create academies, but only when schools were failing, and often in poorer parts of the country, to improve educational levels. Since 2010 this Government have been forcing many outstanding schools to become academies by offering them extra money. Hundreds and hundreds of millions of pounds have been spent on forced academisation and on free schools when many ordinary schools are suffering, and the funding formula has now been changed, affecting many ordinary schools in my constituency. It would have been far better to spend money on most schools than on the ideologically driven academisation of even very, very good schools. I was very disappointed that the Chancellor did not bother to reintroduce something like the education maintenance allowance or redress the funding formula so that all schools can benefit Everybody accepts that early years education is very important for children. The Bolton alliance of nursery providers has come to see me on a number of occasions and talked about the fact that although the Government have promised 30 nursery hours, the funding formula that goes with it is just not enough for providers to be able to offer proper provision in nurseries. These providers are not big businesses: for example, one nursery owner says that they will go out of business because they just cannot afford to offer a decent level of nursery provision. I raised this point at last week’s Prime Minister’s questions when I asked, “Can we please reconsider the funding for nursery education?” I am afraid that, again, this Budget does not address anything. We are told, of course, that a lot of the cuts and the austerity are all to do with balancing the books, but this Conservative Government have borrowed £1 trillion in the last seven years, so our debt is higher than it has ever been. Let us not have lectures from the Government who say that the Conservative party is the party of economic prudence or the party of getting the country going; it is not The national debt to GDP ratio is now over 80%, yet when the Labour Government came into office in 1997 it was only about 40%, and after a few years of that Labour Government being in power it was 34% of GDP. Again, no lessons are required from the Conservative party about who is economically prudent and who is not We on the Opposition Benches propose a different future, because this Budget has done nothing for jobs, nothing to increase people’s pay, nothing for people on lower incomes, and nothing for many, many people who are worse off and have been the subject of the austerity cuts. We need a Government who will not abdicate their responsibility, nor sit on the sidelines. We need a serious approach to the economy. We do not need a laughing, complacent Chancellor; we need one who protects our living standards and jobs and the environment.
ParlaMint-GB_2017-03-14-commons.u443	I proudly share the mining heritage of the hon. Member for Stoke-on-Trent Central (Gareth Snell), who is no longer in his place. Although I might not agree with quite everything he says, I commend him for his passionate and quite excellent speech, and for his extremely kind and honest words about his predecessor. Stoke-on-Trent certainly has a new champion, and we on these Benches wish him all the very best for his future in this place My hon. Friends on these Benches have made numerous salient points about the shortfalls of this Budget, which is noticeably a much thinner document than last year’s pre-EU referendum spring Budget. A thinner document, and yet thinner gruel within. I would like to focus on the glaring issue of the extraordinarily misleading employment statistics used as a foundation for many of the new proposals in this Budget. The Chancellor has claimed that 2.7 million more people are “enjoying the security and dignity of work than in 2010”.—[Official Report, 8 March 2017; Vol. 622, c. 809.] I cannot fathom how he can describe as dignified the gig economy that has emerged since 2010, which is filled with zero-hours contracts and insecure temporary work, or the huge growth in the number of individuals who are self-employed through necessity rather than choice. In fact, the working conditions faced by many today are far less dignified than those faced by people a decade ago. Also, many of those workers now face the loss of the minimal remaining employment rights that have been secured by the EU due to the coming hard Tory Brexit The Chancellor has stated that he does not want to saddle the next generation with ever increasing debts. I would suggest that he consider addressing that problem by taking a closer look at the funding allocated to the Department for Work and Pensions Work programme. Since 2011, more than £1 billion has been spent on attachment fees, job outcome payments and sustainment payments, all of which are rather nice-sounding euphemisms for what the Government have really been doing: paying off employers—often large chain retailers—to hire Work programme participants to stack shelves or work on shop tills. Not only does this grossly skew the Government’s employment statistics; it also sheds light on the issue of stagnating productivity. It hardly seems a stretch to suggest that if that £1 billion had been used to invest, rather than to aid the UK Government in fudging their employment statistics, productivity might be just a little higher I would like briefly to address the Chancellor’s claim that individuals elect to be self-employed, rather than a regular employee of a business, due to the marginally lower rate of national insurance they are required to pay. This point was made very articulately by my hon. Friend the Member for East Lothian (George Kerevan). That might be the case for wealthy consultants in the City of London, but it is certainly not the case for the numerous builders, joiners, electricians and other tradesmen I have spoken to in my constituency, and others all over Scotland.
ParlaMint-GB_2017-03-14-commons.u444	On 27 October 2015, when the right hon. Member for South West Hertfordshire (Mr Gauke)—then Financial Secretary to the Treasury—gave evidence to the Public Bill Committee on the National Insurance Contributions (Rate Ceilings) Bill, he stated: “I remind the Committee of the purpose here. It is to emphasise and underline our commitment not to increase national insurance contribution rates in the course of this Parliament.”––[Official Report, National Insurance Contributions (Rate Ceilings) Public Bill Committee, 27 October 2015; c. 9.] What does my hon. Friend think went wrong?
ParlaMint-GB_2017-03-14-commons.u445	Alas and alack, it appears that word is seldom kept in this place The people I was describing often do jobs for the same companies for years on end, but the companies will not hire them as regular employees due to the cost of providing them with basic employee benefits. This means that they do not have maternity or paternity leave, sick leave or paid holidays; nor do they have the security of knowing whether they will be employed in a month’s time. The insinuation by the Chancellor that these individuals elect to give up all those benefits for the sake of saving a small percentage of their income on national insurance payments is absurd and hugely offensive. If the Chancellor would like to address the gap in revenue due to the growing trend of self-employment, I suggest that a fairer and more effective way would be to tackle those companies that hire workers only as self-employed contractors, in order to avoid paying employee benefits, rather than blaming those who are subjected to these unfair employment practices The Chancellor has presented yet another Tory Budget that blames working people for the economic problems created by the London-centric elite. It offers nothing new to address the existing economic problems faced by so many; nor will it protect working people from the fallout from this hard Tory Brexit. So much for caring Conservatism!
ParlaMint-GB_2017-03-14-commons.u446	After seven years of economic failure, missed deficit reduction targets, deteriorating public services, increasingly insecure employment, and an explosion in the number of food banks supporting working people, my expectations for this Conservative Budget were already low, but have we ever had a Budget so lacking in substance? With breathtaking complacency, it made no mention of the greatest economic challenge facing this country: Brexit. It is clear from the debate this afternoon that the Government have no clue about what they want from Brexit or how much it is going to cost Eliminating the UK’s deficit by 2015 used to be the Government’s overriding goal. That target has now been dumped and public debt is climbing to almost £2 trillion. Is this the long-term economic plan so often wildly cheered from the Government Benches? Our public services have paid the price of failure. NHS waiting lists are rising, and our social care system faces a huge funding black hole. In Redcar and Cleveland, the amount spent on social care has gone down in real terms by a fifth under this Government despite rising demand, and there are 400 fewer police officers keeping our streets safe in Cleveland Our schools are losing funding, too. In Redcar and Cleveland, schools will lose a whopping £7.8 million by 2020—£422 per pupil in one of the most deprived areas in the country. As my hon. Friend the Member for Huddersfield (Mr Sheerman) said, while our primary schools are in the top 10 in the country, our secondary schools desperately need more support, and the newly departed Lord Heseltine highlighted our poor secondary education in his report on the Tees valley. When the Government close our steelworks and batter our local economy, leading to the loss of over 3,000 jobs and a youth unemployment rate two and a half times the national average, the Secretary of State for Education owes it to our region to invest in the future of our young people, not to snuff out their potential before they have begun Teesside has suffered from the loss of well-paid industrial jobs and from falling living standards. Unemployment in the Tees valley has been above 10% for most of the time that the Conservatives have been in office. Austerity has hit many families in my constituency. Over 2,000 people were affected by the bedroom tax and others by unfair benefit sanctions and cuts to tax credits. Living standards are falling, with average annual wages forecast to rise much more slowly than expected over the next four years. At the same time, families are turning to credit to make ends meet. The household debt forecast has been revised up to £189 billion by 2021 What Teessiders really needed from this Budget was support on the big challenges we face: infrastructure, industry, and skills to give our local economy the boost it needs. Despite the difficulties of the past few years, I strongly believe that our region is on the cusp of a new industrial renaissance. A high degree of investment and development is coming to the region, including the petrochemicals site at Wilton and the former SSI site. Sirius Minerals and MGT Power are both investing in Redcar and Cleveland. However, that investment, and the opportunities that come with it, will not benefit local people unless there is a skills revolution and we get the necessary technical education to capitalise on future industrial opportunities The Chancellor did not face up to the challenges facing our country or our workforce. He did not take action to address the unfairness that is holding back areas such as mine. The north-east continues to lose out on regional investment, funding for infrastructure, and investment in education and skills to develop the industries of the future. The Budget made no mention of the north of England, of the so-called northern powerhouse or, indeed, of the industrial strategy, as pointed out by my hon. Friend and neighbour the Member for Hartlepool (Mr Wright) What is more, the future of Teesside’s economic resilience will depend upon the success of our small and medium-sized businesses. Many small local businesses have been in touch with me about the huge impact of the Government’s business rates revaluation. The Chancellor’s measures to soften the burden are welcome, but there will still be a rise for most. Moreover, the area’s self-employed workers will not have been happy to learn that their national insurance contributions will rise, despite a manifesto promise by the Tories not to increase them. Many ex-steelworkers went self-employed after the closures, with Government funding actively encouraging them, and now many will be hit by the rise. The wrong priorities were at the heart of this Budget. It was a paper-thin, miserable, brittle Budget that came after seven years of crippling economic failure and austerity. I heard no vision in it for a post-Brexit Britain or for the Tees valley.
ParlaMint-GB_2017-03-14-commons.u447	It is a privilege to follow my hon. Friend the Member for Redcar (Anna Turley) and to hear a terrific maiden speech from our new colleague, my hon. Friend the Member for Stoke-on-Trent Central (Gareth Snell), who will be a great asset to the Labour movement, the Opposition and this House It was interesting to hear the Secretary of State for Education begin her speech by saying that the Budget was delivered on International Women’s Day, as indeed it was. That makes the insult all the greater that the Government chose not to mention the WASPI women who have been campaigning for fairness. Those women were born in the 1950s and often left school at 15. They are women who have dedicated their life to their job and their family, yet they got not one word from the Chancellor Like many Members, last week in Parliament I met a delegation of local women who have been affected by the changes to the state pension law. Women came down from Chirk, Rhostyllen and Llangollen in my constituency. Those women, of whom there are more than 3 million across our country, are not political militants. They do not oppose the equalisation of the pension age, and they certainly do not want the state pension age to go down to 60. All they are asking for is a bit of fairness—a bridging pension to provide for them. It is downright shameful that the Government chose not to listen to them Budgets are about choices, and I cannot accept that the Government have put agreeing to £17 billion-worth of corporation tax cuts, £2.8 billion-worth of inheritance tax cuts and many other items above modest bridging support for these women. I am interested in the figures on inheritance tax—my hon. Friend the Member for Leeds West (Rachel Reeves) recently wrote an excellent article on the subject—because I have read that only 15 houses sold for £650,000 or more in my constituency in 2015-16, which is 0.9% of the 1,700 houses sold during that period. The average sale price in June 2016 was £140,000. I wish those 15 people well, but they do not deserve a special tax cut to enjoy their new property Rather than that extravagant change to inheritance tax and the cuts to corporation tax, the Government should have been on the side of the small businessperson and the self-employed. How extraordinary it is that the Conservative party has broken its promise to the plumber in Penley, the cabbie in Cardiff and the grocer from Grantham. Could one believe that a Conservative Government are charging grocers from Grantham more? How extraordinary! We all know it is a trade-off. Being self-employed means no parental leave, no sick pay, no holiday pay and difficulty getting a mortgage, among other things. The hike in class 4 national insurance contributions has broken the consensus that we in this country have believed in for years. It is a £2 billion tax rise. I also hope that the Government will consider what the Farmers Union of Wales has to say, because the Budget has a particular consequence for our rural communities. The union’s managing director, Alan Davies, rightly asked this question last week: “Why is it that tax is being increased for those hard working individuals, some of whom only make a profit just over £8,000, whilst at the same time corporation tax is falling?” The Under-Secretary of State for Wales, the hon. Member for Aberconwy (Guto Bebb), has already said that he thinks the Government should apologise to everyone in Wales who read the 2015 Conservative party manifesto, and I thank him for his apology to me and others. However, I would rather that the Government reversed their tax hike and scrapped the tax We all remember the Tories’ 2012 “omnishambles” Budget—remember the one?—when the Government decided to declare war on caravanners, churches, stately homes and even the humble Cornish pasty. Well, that will seem like a picnic compared with the consequences for the country now. It is high time that the Government listened to the voice of the ordinary self-employed workers, strivers and entrepreneurs in our community. It is high time that the Government listened to those women who have worked so hard right through their life and have contributed so much to society. And it is time that this Government acted in the interest of fairness, listened to our communities—rural, suburban and urban—and recognised that they must now restore fairness by doing a U-turn on this ridiculous tax hike for self-employed people and by giving some decency to the people in this country.
ParlaMint-GB_2017-03-14-commons.u448	It is a pleasure to speak in this important debate and to follow the hon. Member for Clwyd South (Susan Elan Jones). Hers is a fine constituency in north Wales, an area I know particularly well because it abuts my own county of Cheshire. She will know how closely Cheshire MPs work with her and her colleagues in north Wales to benefit the wider economic zone. MPs in Cheshire and north Wales should work together for the betterment of all our constituents. I would like to think that the Budget goes some way towards enabling us to raise tax to invest in infrastructure that benefits our cross-border constituents Against a backdrop of global uncertainty, and as we start our negotiations to exit the European Union, the Budget takes forward our plan to prepare Britain for a brighter future. Nine years ago, the UK was one of the economies worst prepared to face the financial crisis; today, it is one of the best prepared. The OBR forecasts that the UK economy will grow by 2% in 2017. That figure has been revised up from the 1.4% forecast in November. The economy will be growing faster than every major economy in Europe, except Germany’s Any family could sit around the kitchen table and tell us that we cannot keep on spending more than we bring in; the same holds true for the Government. There is no magic money tree. Britain has debt of nearly £1.7 trillion —almost £62,000 for every household in the country—and we must never forget that, under Labour, £1 in every £4 that was spent by the Government was borrowed.
ParlaMint-GB_2017-03-14-commons.u449	Does my hon. Friend agree that it ill behoves the Opposition to oppose every spending reduction over the past 10 years, including every reduction in welfare spending, yet also to make completely uncosted promises that amount to £63 billion?
ParlaMint-GB_2017-03-14-commons.u450	My hon. Friend is absolutely right. In the previous Parliament, the Opposition opposed every single reform made by the then Government, and they have also opposed all the reforms of the current Government. They call our approach austerity; I call it living within one’s means. We have to take the difficult decisions. Judging by the £30 billion black hole in the Opposition’s counter-proposals, however, they have forgotten the mistakes of the past.
ParlaMint-GB_2017-03-14-commons.u451	While talking about the need to balance the books, the hon. Gentleman made a bizarre analogy comparing the country with a family. When he is sitting at the dinner table, can he raise interest rates, print money and quantitatively ease? His analogy is completely and utterly defunct.
ParlaMint-GB_2017-03-14-commons.u452	I did not catch the hon. Gentleman’s final word, but I use that analogy because when I was at school we used to have home economics, and we have to make difficult decisions at home. I was merely making the point that we all have difficult decisions to make. That analogy applies not only to families throughout the country, but to the Government. I am sorry that the hon. Gentleman does not feel it is a good analogy. Perhaps I shall wait to hear his speech and comment on it I welcome the Chancellor’s steps to return balance to the country’s finances and to continue the Government’s commitment to take the lowest earners out of tax altogether by raising the personal allowance to £11,500. I sat on the Work and Pensions Committee in the previous Parliament, when the Government’s mantra was helping to make work pay. That is the right course of action to take I come to a subject that is very close to my heart, and I declare an interest as the chairman of the all-party group on beer. I welcome the relief of £1,000 for pubs with a rateable value of less than £100,000, which will benefit 90% of pubs. I also welcome the discretionary fund, which enables local authorities to make awards to businesses in their areas on a case-by-case basis. However, I am somewhat disappointed about the inflationary rise in beer duty, which is now 43% higher than it was a decade ago, 13 times higher than the rate in Germany, and significantly higher than those of our major brewing neighbours in Europe. None the less, the Government do have a proud track record of three reductions in beer duty, a beer duty freeze and the removal of the hated beer duty escalator. Although I welcome the introduction of duty bands to target high alcohol-by-volume white ciders to encourage responsible drinking, it is important to remember that 70% of the drinks bought in pubs are beer The current bracket for reduced-rate beer sits at 1.2% to 2.8% ABV. However, current HMRC duty receipts demonstrate that, in the six years since the policy was introduced, such beer represents just 0.15% of the market. I know that the Minister will be aware of the cross-industry campaign to split general beer duty rate into two tiers— 2.8% to 3.5%, and 3.5% to 7.5%—and to reduce the duty rate for 3.5% ABV beers, which have much less alcohol in them than the UK average and are highly drinkable for UK consumers. I hope that we can work together on this matter over the coming month to encourage a broader selection of lower strength beers to become part of the norm in UK drinking culture. I will be encouraging the industry to step up to the plate with lower strength beers that can be drunk and enjoyed in the great British pub This Government have a plan to build an economy that works for everyone, and the Budget continues with that plan by building on the foundation of our fundamental economic strength. It makes sure that our economy remains strong so that we can properly fund our public services, it helps ordinary working families to make ends meet, and it makes it clear that Britain is open for business.
