ParlaMint-GB_2017-10-24-commons.u1	1. What recent fiscal steps he has taken to reduce unemployment.
ParlaMint-GB_2017-10-24-commons.u451	On a point of order, Mr Speaker. I appreciate that I have not been in this House for that long, but this is a debate in which the hon. Gentleman has cast some very serious allegations against Conservative Members with no substantiation whatsoever. A number of colleagues have tried to intervene to tease and prise out the argument that he is putting—he is perfectly in order; I take that entirely—but what he has just said, on two occasions, has certainly caused offence to me, and I believe to all Conservative Members.
ParlaMint-GB_2017-10-24-commons.u452	Further to that point of order, Mr Speaker.
ParlaMint-GB_2017-10-24-commons.u453	Order. I can deal with only one point of order at a time, I say to the hon. Lady in terms that frankly brook no contradiction I have heard what the hon. Member for North Dorset (Simon Hoare) has said. I understand that he—an extremely level-headed, even-tempered, equable fellow—is genuinely offended. I am not sure that I can find a cure for his sense of offence. The hon. Member for Coatbridge, Chryston and Bellshill (Hugh Gaffney) may, in the hon. Gentleman’s mind, have been discourteous—although that is a debatable point, as most things are here—but it was not disorderly. I hope that the hon. Member for North Dorset, who is a seasoned graduate of the Oxford Union of some decades ago, has not had his tender sensibilities overly offended.
ParlaMint-GB_2017-10-24-commons.u454	Further to that point of order, Mr Speaker. There was an unfortunate occasion in the House during the universal credit debate last week when a Government Member made an unfortunate comment, or used unfortunate behaviour, although he later apologised to my hon. Friend. To suggest that there was no mocking or inappropriate behaviour is not correct, because the Member in question did have the grace to apologise.
ParlaMint-GB_2017-10-24-commons.u455	I am grateful to the hon. Lady for that attempted point of order. We will take the view that there has been an exchange. Now Mr Gaffney, who is, I think, approaching his peroration, should have the opportunity to do so.
ParlaMint-GB_2017-10-24-commons.u456	Yes, I did get an apology last week. I accepted the apology, and we can move on. It was a disgraceful way to behave, but what made it even worse was the fact that you sat on your hands, and you did not turn up to do your job.
ParlaMint-GB_2017-10-24-commons.u457	Order. I am enjoying the hon. Gentleman’s very spirited speech, but I must just say to him that I did not sit on my hands. I did not fail to turn up to do my duty. I most certainly did my duty. Debate goes through the Chair, and I think that the target of his criticism is other Members; I do not think that his target is me.
ParlaMint-GB_2017-10-24-commons.u458	I certainly did not target you, Mr Speaker; I targeted the Government On a serious note, what happens to people who do not turn up for their universal credit appointment? They get their benefits taken off them. I repeat to the Government that they are showing no respect. If they cannot turn up to do their job, they should just move over. We are ready and willing to do the job for them. Let us halt universal credit.
ParlaMint-GB_2017-10-24-commons.u459	It is incredible fun to follow the hon. Member for Coatbridge, Chryston and Bellshill (Hugh Gaffney), who seemed to be commenting on whether or not the Speaker was here, as far as I could tell. Last Wednesday, when we had the Opposition day debate, was the first day of the roll-out of universal credit in South Suffolk. I will be keeping a close eye on that. Like everyone else, I am sensitive to what people are saying about the real cases that are out there, as we need to be I remind hon. Members that we are here today not just because of process or a parliamentary vote, but because Gordon Brown committed one of the greatest blunders in UK public policy. He extended the means-tested benefits system so that it covered not just the poorest, the incapacitated and those in areas of industrial decay, but every area of the income stream. He nationalised millions of families’ incomes and created a massive new era of benefit dependency through the so-called tax credit system, and that was a fundamental error I am not speaking theoretically. The Opposition have talked about the real world, so let me talk about my experience. When I ran a small business, I had members of staff who refused to work more than 16 hours a week, because they would lose their tax credits if they did so. I even had someone decline a pay rise because of the impact it would have on their tax credits. We have to understand that Gordon Brown created the road to serfdom—the idea that everybody should be dependent on the state—and I fundamentally disagree with that It is impossible to move from such dependency on the state through a cuddly process. When people have been made dependent, it is difficult to break them away from that in the way that is best for them, but universal credit does so. Of course the process is incredibly tricky, but we need to look at the benefits of universal credit. It encourages people to work more hours and make the most of their talents instead of relying on the state. It includes universal support from work coaches, to help people to make the most of their ability. That is the sort of system we want, and we should remember that principle.
ParlaMint-GB_2017-10-24-commons.u460	The last Labour Government lifted more than 1 million children out of poverty and paid off more debt—all inherited from a Conservative Government—than any previous Administration on record.
ParlaMint-GB_2017-10-24-commons.u461	Fundamentally, we asked taxpayers to spend £30 billion a year putting a ceiling on wages and productivity. That is basically what happened, as I saw. Why would people want to earn more or be more productive, if they were so penalised through the benefits system? We ask ourselves why we have had such flat wage growth and such flat productivity. It is because we are paying people not to work harder That has a fundamental implication for the years ahead, because Brexit is coming. We need to remember what the country voted for. I campaigned to remain, but in my view the biggest issue was immigration. We want sustainable numbers of people to come into this country, but if that is to happen when we lose access to this almost limitless pool of very hard-working labour, particularly from eastern Europe, we will have to get the work done by people in the United Kingdom.
ParlaMint-GB_2017-10-24-commons.u462	My hon. Friend is making an extremely passionate case. I want to mention an incident in my constituency of Taunton Deane. A vegetable farmer recently said that he could not get people to work for him, and has to use eastern Europeans. He knows that there are unemployed people, but because of the 16-hour rule they simply will not take the jobs.
ParlaMint-GB_2017-10-24-commons.u463	Order. May I very gently point out that if Members who have arrived in the Chamber relatively recently intervene, they risk preventing colleagues who have been here for some hours from contributing? I know that the hon. Lady, who is a most courteous person, would not want that to happen.
ParlaMint-GB_2017-10-24-commons.u464	It is absolutely right to look at welfare reform in the context of Brexit. My worry, and I say this sincerely, is that—let us look at the seasonal agricultural workers scheme, for example—there is already pressure for a scheme not to get more British workers, but to ask whether we can have workers from Ukraine or Russia. We must think about that, because at the moment unskilled migrants can come to this country only from the EU, not from outside the EU. We have to look at welfare reform through the lens of seeing whether British people will rise to the challenge of stepping into the breach. The Work and Pensions Committee—I was a member of it—carried out an investigation and we looked at these issues before the general election, and the truth is that large parts of our economy are dependent on migrant labour. If we are to change that, we must understand that the sorts of reform we are now introducing will be just the start of it. There will have to be a real look at education, training and welfare. None of this stuff may necessarily be easy or palatable, but it should move us to a situation in which, instead of flat wages and flat productivity, British people are given a fair chance: they do their bit, and we back them. We will give them support through the universal credit system and we will give them training, and we will have a competitive post-Brexit economy.
ParlaMint-GB_2017-10-24-commons.u465	Does my hon. Friend agree that welfare needs to be a platform to build from, not a ceiling people cannot break through?
ParlaMint-GB_2017-10-24-commons.u466	Absolutely. Tax credits created a ceiling.
ParlaMint-GB_2017-10-24-commons.u467	Will the hon. Gentleman give way?
ParlaMint-GB_2017-10-24-commons.u468	I will not give way again. I respect the hon. Lady, but I only have a minute left As a mortgage broker, I had many cases where an extraordinary amount of a family’s income came from the tax credit system. That is not healthy, and it is not sustainable. I give the Government credit for having the courage—yes, the courage—to take these unpopular decisions. Sometimes, we have to back unpopular decisions, because without such decisions the country cannot move forward. We are doing the right thing, and we should be proud to be doing the right thing.
ParlaMint-GB_2017-10-24-commons.u469	Under universal credit, everybody’s monthly pay is automatically sent to Her Majesty’s Revenue and Customs through the pay-as-you-earn RTI—real-time information—system, and HMRC then sends that to the DWP so that it can do the universal credit calculation. There have been rumours for some time that the RTI system does not work very well. I have tabled questions about that, but the Minister has flatly denied that there is a problem It emerged last month, through a freedom of information request submitted by a member of the public, Mr John Slater, that there is a thing called the “Late, Missing and Incorrect RTI Project”. If RTI is late, missing or incorrect, we have a problem, because it is not possible to do the required universal credit calculation. I therefore tabled a question to the Minister: “To ask…what the remit and activities of the Late, Missing and Incorrect RTI Project are.” The Minister sent back an answer telling me that it did not exist and that there was no such thing. Fortunately, Her Majesty’s Revenue and Customs was more forthcoming on this point. I got a written answer last week from the Treasury, dated 16 October, to my written question 107309, which stated: “The vast majority of Real Time Information submissions are accurate and on time. However, a very small number of data quality issues create discrepancies and these can have an effect on an individual’s tax and benefits position.” Indeed they can, because if the information is wrong, people’s benefit calculations will also be wrong The following day, 17 October, also from the more helpful of these two departments, the Treasury answer to my question 107475 stated that, “during the 2016/17 tax year approximately 590m payments to individuals were reported via RTI. 5.7% of these were reported late. HMRC does not hold the information in respect of missing and incorrect reports.” If over 5% of them were just late, never mind the ones that were missing or incorrect, we do have a serious problem Looking through all the submissions we received, briefing us ahead of this debate, I was struck by the one from the Child Poverty Action Group, referring to, “difficulty making claims for universal credit, with many online claims seeming to ‘disappear’ Universal credit being underpaid because ‘real time information’ provided by HMRC regarding income is not always reliable or accurate Claimants being paid the wrong amount of universal credit for no apparent reason.” What is happening is that the IT is not doing what it is supposed to do My hon. Friend the Member for Brentford and Isleworth (Ruth Cadbury) referred to the anonymous report in The Independent a couple of weeks ago by someone working in a jobcentre, who talked about the grim reality of administering universal credit, rather by contrast with the enthusiasm with which Tory Members have told us that people are working on this. That writer made the point that when there is a discrepancy between what people were paid and what HMRC says they were paid—in other words, an RTI problem—it takes ages to sort that problem out. Members representing constituencies where universal credit has been fully rolled out report endless mistakes, delays and errors, which take weeks and weeks to resolve Another reason why this project’s roll-out should be paused and then fixed is to stop these problems being inflicted on tens of thousands more.
ParlaMint-GB_2017-10-24-commons.u470	I am pleased to follow the hon. Member for East Ham (Stephen Timms), who has great experience as a former Pensions Minister. I am sure that he is aware that the idea behind universal credit is to change what has become a very dysfunctional welfare system that not only drains public finances and is very inefficient, but is a huge waste of human potential. Deeply flawed as the old welfare system was and remains, however, it is still a lifeline for many of the poorest and most vulnerable people in our society, and we have to be cognisant of that. Ministers must handle it with extreme care, even when acting with the very best of intentions I am sure that by now we are all familiar with the shortcomings of the old system. Not only was it very complex and difficult—both to navigate as a claimant, and for the Government and jobcentres to operate—but it created huge disincentives to work, as my hon. Friend the Member for South Suffolk (James Cartlidge) said. Many would-be jobseekers found themselves facing marginal tax rates not seen in this country since Denis Healey sat in No. 11. The idea of universal credit is that it rewards work: people can work the hours that they want, effectively. It brings in that flexibility and ensures that people will not face the very difficult decision, which has been mentioned by some hon. Members, of basically turning down work in order to keep benefits.
ParlaMint-GB_2017-10-24-commons.u471	Does not the hon. Gentleman agree that under the last Labour Government’s tax credit system, the clawback of wages was 39%, whereas under universal credit it is 63%? The individual keeps only 37% of what they earn. If they pay tax, the clawback rises to 75%—they keep a quarter of it.
ParlaMint-GB_2017-10-24-commons.u472	I thank the hon. Lady for her intervention. I am about to discuss tax credits and my experience of dealing with that area as a personal finance journalist in 2003, when the credits were launched Work is the only long-term route to financial independence. Not only does long-term unemployment sap an individual’s self-confidence and erode their employability, but children who grow up in workless households are far more likely never to enter employment themselves. Generations of people do not get into work, and therefore poverty beds down. By acclimatising claimants to the rhythms of working life and being designed to ensure that employment always pays, universal credit not only supports today’s claimants, but is helping to steer many of the next generation away from the welfare system altogether, which is a very good thing indeed This is, undoubtedly, an enormous change, and Ministers have been wise to choose to proceed cautiously. The full roll-out of universal credit will not be completed until 2020, a whole nine years after the policy was first trialled and enacted. That involves many dry runs, and the process is in very stark contrast to the introduction of tax credits in 2003, when I remember very well that there was huge disruption to millions of people’s lives.
ParlaMint-GB_2017-10-24-commons.u473	Is the hon. Gentleman aware that 2017-18 was supposed to be the final year for the roll-out of universal credit under the initial plan, but that the Government had already accepted that they needed to improve the process? Does he wonder why the Government are being so stubborn now?
ParlaMint-GB_2017-10-24-commons.u474	I applaud the Government for taking the roll-out to 2022—it shows they are listening. They want to get this right so that we do not end up with the situation we saw in 2003 with tax credits when, frankly, there was a dead ear from the then Government I will conclude as I am aware that many Members wish to speak. It is only right that we acknowledge the measures that the Government have put into place to protect vulnerable users, to provide an advanced payment system for claimants who cannot afford to wait for six weeks for new payments, and to ensure that people who are transferred on to universal credit see no loss in their entitlement in cash terms. The Government have rightly announced a review of DWP phone lines, which is a welcome and positive development. I hope that all Government Departments are cognisant of such situations and people in need are not charged excessively for using phone lines.
ParlaMint-GB_2017-10-24-commons.u475	We have heard in today’s debate, as we heard last week, about the way universal credit has been rolled out and how it is driving families into desperation and hardship. This House expressed its view, yet still the Government bury their head in the sand, wilfully holding their hands over their ears like an errant child. This roll-out must be halted so that the problems that have been identified—many today and many last week—can be examined and fixed The consequence of the hardship we have heard about so clearly in this Chamber is a tearing at the social fabric of our communities in a way that is cruel and completely unnecessary. Some 25% of claimants are waiting even longer than six weeks, according to the DWP’s own figures. Six weeks without support is simply not reasonable. The Government cannot use the excuse of innocence or ignorance. The problems with this benefit have been laid bare and Parliament has spoken. Deciding not to listen to the clamour of disapproval, which has been voiced for very legitimate reasons in this House and beyond, does not provide absolution for what is increasingly looking like wilfully causing harm to those in need of support I believe that since Parliament has spoken on this issue, there is an ethical imperative on the Government to return to this issue in a reflective manner, offering a positive, meaningful way forward on a matter regarding which we can all agree the principles. What is at issue here is the process—the way the benefit is being rolled out. It is surely not beyond the wit of the Government to revisit and improve it. It now seems clear that the reason for not pausing the benefit, which is riddled with errors, must be and can only be arrogance, and an ideological fixation that is really very difficult to understand.
ParlaMint-GB_2017-10-24-commons.u476	The SNP has raised three concerns about universal credit: timeliness; direct payments to landlords; and helping those most in need by closing the gap. Now that the Government have addressed all three, including by providing payments within five days—on the same day for those in urgent need—will she welcome those changes and accept that the Government are not being arrogant but actually listening?
ParlaMint-GB_2017-10-24-commons.u477	The three issues that the hon. Gentleman identifies are not our only concerns about the benefit. We are concerned about split payments, the six-week wait, the cut to work allowance and the flexibility of payments—I could go on, but I am constrained by time. There is much wrong with the benefit. Suggesting that fiddling about with three bits is enough, and dancing on the head of a pin about what the motion said last week, does not cover him in glory Properly administered, this benefit could really support people, but not unless time is taken to review the problems with it, some of which I have just mentioned. In the meantime, urgent transitional protections can be put in place to protect those who are victims of it right now. There is no doubt that universal credit payments need to be more flexible and adaptable to allow people more say, and that the system needs to be more responsive to how people live their lives and manage their household budgets. We cannot even begin to talk about an online digital roll-out unless we have already tackled digital exclusion People in Scotland and across the UK are suffering terribly, and what is heart-breaking is that the suffering is utterly unnecessary. The hardship is the result of how the Government have bungled the benefit. The status quo is no longer tenable. I urge the Government to do the decent thing: pause the roll-out and fix the problems, as the House voted they should do.
ParlaMint-GB_2017-10-24-commons.u478	One of the aspects of last week’s debate—we have seen and heard it again today—was that while Opposition Front Benchers said that they supported the principles of universal credit and that their concerns were about the manner of the roll-out, what we heard from those who sit behind them was abject opposition to universal credit. It appears to me that they do not want so much to pause the roll-out as to completely abandon it I speak as someone who not only supports the principle of welfare reform but wishes to see its implementation go forward. Universal credit is so much better at helping people into a position where they can help themselves. I do not add my name to those calling for a pause or halt to the roll-out of universal credit because the roll-out is already planned to take nine years, and it is taking nine years because the Government are taking time to get it right. It is called check and adjust.
ParlaMint-GB_2017-10-24-commons.u479	rose—
ParlaMint-GB_2017-10-24-commons.u480	It is about learning from experience and adapting. It is about continuous improvement. Calling for a pause or halt does not help that process one jot.
ParlaMint-GB_2017-10-24-commons.u481	rose—
ParlaMint-GB_2017-10-24-commons.u482	It is important to tackle a change of such magnitude in that way. It is important to take the right amount of time to absorb the lessons being learned.
ParlaMint-GB_2017-10-24-commons.u483	rose—
ParlaMint-GB_2017-10-24-commons.u484	Order. The hon. Gentleman is not giving way at the moment.
ParlaMint-GB_2017-10-24-commons.u485	Let us look at what happened when Labour launched its tax credits with a big bang. I am still helping constituents who got caught up in that mess, which included £2 billion in underpayment and overpayment errors It is worth reminding ourselves why universal credit is such an important plank in welfare reform. It is about helping people to prepare for a return to the world of work. It is designed to mirror the world of work. When people return to the world of work, it underpins the promise that people will always be better off in work than on benefits. Under the old system, there was a cliff edge, because it made sense to work for only 16 hours or less, and it cannot be good if we end up penalising people because they chose to do the right thing and go to work. The old system punished work. People could lose more than £9 of every £10 extra they earned. Under Labour, the benefits system was so complicated that some people found that there was no point to working more because they would lose more in benefits than they would earn in work. The old system failed to get young people into work. The old system subsidised low wages by letting the tax credits bill get out of control. It is also worth remembering what work does for people.
ParlaMint-GB_2017-10-24-commons.u486	On the point about low wages, does the hon. Gentleman agree that the Government should pay the real living wage, not the kid-on living wage?
ParlaMint-GB_2017-10-24-commons.u487	I am very proud that the Conservatives have introduced a national living wage. It is worth remembering what work does for people. It instils a sense of confidence and of self-worth. It enables people to manage their own affairs and make their own decisions for themselves and their families, to be independent, and not to depend on anyone or anything. That is what work does, and that is why it is so important to record again today that more people in this country are working than ever before and that unemployment is at a 40-year low. That is a good thing that we should be proud of. Universal credit is helping people to get back into work. Those on universal credit are four percentage points more likely to be in work within six months than jobseeker’s allowance claimants in similar circumstances. Universal credit underlines the salient principle that people should always be better off in work than on benefits I pay tribute to the Ministers at the Department for Work and Pensions. What I have experienced from them is a genuine willingness to engage and to receive feedback, and that is both positive and constructive. They have been impressively responsive to my concerns, and more especially to the cases of my constituents that have been brought to their attention. I am pleased that there has been a response to the urgent need for payments. Claimants who want advance payments should receive them within five working days, and for those in immediate need there is a fast-track payment that can be received on the same day. I was initially concerned about the payback period for advances, but I am assured that repayments can be delayed for up to six months, and for a further three months if necessary. I have also received reassurances from Ministers about the issues that face rural constituencies I repeat that while I accept that no one should have to wait for six months with no money, it should not be beyond our means to make improvements in the system to reduce the time before the first payments are received. However, it would be wholly wrong to pause the universal credit full service roll-out now.
ParlaMint-GB_2017-10-24-commons.u488	Let me start by giving credit to Members in all parts of the House who have listened to their constituents and to people who are suffering under the universal credit system and who have called for changes to be made in that system As many Conservative Members have pointed out, we have been going through the process of universal credit for six years now, and as the previous Secretary of State said, the system seems to be “fix and learn”. I wonder what problems he was seeking to address when his Government cut £5 billion from the annual budget for tax credit, taking it from a system that helped people into work and putting it into a system that will take an average of £2,500 a year from 3 million working families. I urge all Members to look at the Library figures that state how many families in their own constituencies are currently receiving tax credit and will lose such sums. They should come as a revelation to us all; and to those of us whose constituencies have already experienced the roll-out of full service—not just to unemployed single people, but to families and people who are disabled and seeking to work—they must come as a lesson The Government, and other Conservative Members, keep claiming that an extra 250,000 people will move into work under universal credit. I am afraid that that claim is based on figures from 2014-15, based on a small sample of single unemployed claimants before the huge cuts in work allowances were implemented. They do not apply to people who have been claiming employment and support allowance or to families. Analysis of lone parents has shown that their work incentive is reduced by eight percentage points. As for second earners, the huge clawback in universal credit actually reduces their incentive to work and makes it more difficult for families with children to be taken out of poverty. I urge all Members to listen to Citizens Advice and the Child Poverty Action Group, which say that an extra 1 million children will be taken into poverty by universal credit. That must give us all cause for concern The six-week wait was not introduced at the outset; it was introduced in August 2015, along with the extra seven days of unpaid waiting time. It does not mirror the world of work. Those who move into work are paid after a month at the most, but mainly within that period, and even those who must wait for a full month can often receive an advance. So this is not mirroring the world of work; it is putting people into debt. Local authorities have found that 31% of people on legacy benefits are in rent arrears, but under universal credit that proportion more than doubles to 73%. Debt is not a way for people to start in the world of work or start on their way in life. All this means that the number of people going to food banks has more than doubled, and they can only do so when they can actually get access to a food bank. In rural areas such as mine and those of many Conservative Members, food banks are not a panacea; they cannot provide food for families across rural areas, and that will mean children going hungry We are urging most earnestly the Secretary of State and the Government to listen and make sure this does not affect millions more families, especially as we are coming up to Christmas, and to pause now.
ParlaMint-GB_2017-10-24-commons.u489	It is a pleasure to follow the hon. Member for High Peak (Ruth George), who has made some sensible points about the Government listening and our not wanting to get people into debt at the start of this difficult time in their lives Universal credit was introduced into Thirsk and Malton 15 months ago, and I am in no way ignorant or in denial; nor do I lack compassion about some of the difficulties that have been caused. In my experience, the vast majority of people have not suffered difficulties, but some have. Those difficulties fall into two different categories: technical and structural The technical difficulties are to do with mistakes, both by the user entering into the system and the people administering it at the benefits end of the system. There have been difficulties, and I have written to the Minister about them and know he will respond in detail. There are also structural difficulties with the monthly payment cycle, when many of my constituents, especially at the lower end of the income scale, get paid weekly. That has caused some cash-flow problems for some of my constituents Do I want to go back to the old system, or do I want a pause? I absolutely do not. Like many colleagues in this place, I have met staff at my citizens advice bureau, and have sat in on consultations with people accessing benefits, some of whom said before to the introduction of universal credit, “I cannot work more; there is a 16-hour limit on how much I can work.” The CAB itself has advised that that is the position. We do not want to return to that situation. We also do not want to return to a situation that is less effective at getting people into work and keeping them in work I also make a plea for the taxpayer in this debate. There are two sides to this coin. As the Prime Minister said last week, the Government have no money: all money is simply collected from the taxpayer and redistributed. Since the partial introduction of this basket of reforms, there are now 700,000 fewer workless households, and 40,000 households where people have never previously worked who are now in work. That is a benefit both to the taxpayer and the people in those households, particularly the young people in them. There has therefore been a fundamental improvement in many cases I made the point earlier that the shadow Minister, the hon. Member for Oldham East and Saddleworth (Debbie Abrahams), described the upfront payment as a loan. Will she clarify that point? Is she saying that she does not want to make it a loan, but instead wants to make it an extra payment? That would add a burden on the taxpayer; that will mean more money has to come from the taxpayer. If that is what she wants, she should clearly set out her spending plans and calculate what extra payments she is going to make. Would that be fair, too, to those who do not ask for the upfront payments? We must take the taxpayer into account in our discussions on this matter I would unquestionably like to see some changes, particularly to shorten the timescale from six weeks to ease the burden on some of my constituents who are paid weekly and to make sure the upfront payments are available and also publicised to all who apply for universal credit. It would also be sensible to make more people aware that rent can be paid directly to the landlords in the social housing and private rented sectors and to have more training and ownership for the people who work to deliver these benefits. Other than that, I absolutely welcome this change.
ParlaMint-GB_2017-10-24-commons.u490	The Government ignored the decision taken during the Opposition day debate in Parliament last week. When will this Government of the fifth richest country in the developed world start to listen and learn to govern for the benefit of all people? They ignored the pleas expressed in the Westminster Hall debate on the north-west roll-out in January 2016. They ignored the warnings about fundamental flaws, public hardship, debt creation, complex systems, payment delays and the loss of client information. They were asked to fix the problems before the roll-out, but the roll-out continued. There has been some improvement since then in the administration and some people have got jobs and got a named adviser—that has been helpful—but we have also seen the savage implementation of sanctions on people attending training provided by the DWP, on people going for interviews and on people who are hospitalised or on a hospital visit, just for being slightly late. I suggest that the Minister start to carry out some exit interviews among the staff The Government ignored the warnings from Government-commissioned IT companies on the complexity of the system and on the fact that the development timeframe could not be met. They also ignored warnings from councils and the Local Government Association that they could not develop their systems to fit universal credit in the time allowed. They also ignored the former Secretary of State, who quit days after the 2016 Budget after calling on the Prime Minister to reverse the cuts to universal credit The primary aims of universal credit were to simplify the system, to improve work incentives and to tackle poverty among low income families. This was wrecked in the 2016 Budget. Cuts in work allowances and changes to taper allowances resulted in 63% deductions—exactly the same as the tax credit threshold. The incentive to work was gone. Both measures were introduced by statutory instrument, using the negative rather than the positive procedure, so there was no parliamentary scrutiny. That is how they were sneaked through. There will be a £9.6 billion reduction in support to working families over the next five years, and the figure will be £3.2 billion each year by 2020. That illustrates the difference from the initial universal credit, for which there was much support. The incentives have gone, and a lot less money is going to the recipients. A former Prime Minister has described universal credit as “operationally messy, socially unfair and unforgiving” Universal credit has been a universal shambles from the outset. This Tory Government were stopped in their tracks from cutting tax credits by slipping the cuts through via statutory instruments. Things have got worse under universal credit, with the Government deciding to implement further cuts in benefits for vulnerable people by rolling out the system. There was a public outcry on tax credit cuts because we had a debate in this Chamber and the media took up the issue. The results of these changes include increased personal borrowing and soaring debt, hungry children, cold children and schoolchildren suffering mental health issues and long-term damage to their lives. This must not happen in the fifth richest country. It must be stopped. The Government must listen to Parliament and to the Select Committees and make universal credit fit for purpose.
ParlaMint-GB_2017-10-24-commons.u491	This Standing Order No. 24 debate follows last week’s Opposition day debate on universal credit—a debate in which I also spoke, and one in which we heard a number of contributions from both sides of the House offering contrasting views. That debate provided an opportunity for Members on both sides to come to the Chamber and contribute, and they did so. The Opposition motion was debated and heard, and the Minister responded. I know that today’s motion is on the pausing of the full-service roll-out of universal credit, but I am left a little confused about where we are with this. Are we wanting to pause and fix? Are we wanting to pause? Or is it simply a case of the Opposition wanting to stop this really transformational piece of legislation, full stop My hon. and learned Friend the Member for South East Cambridgeshire (Lucy Frazer) hit the nail on the head earlier. Welfare matters, especially when someone relies on it, but improving the system matters, too. We have to ensure that work always pays, so that things are better and fairer for those who need it and for those who pay for it. The old system simply was not working. It was bizarre that it was not worth working more than 16 hours a week. There was no real incentive to work. The system needed change. Evidence shows that universal credit is helping people into work faster and is helping them to stay in work longer I do not want to repeat everything I said last week or what was said in many of the contributions today—that is on the record and I do not have much time—but I just want to touch on the issue of pausing, because the Opposition’s intention is not to pause the roll-out but to stop it. Universal credit has the potential to change people’s lives. To stop a benefit that prepares people for work and helps them get on in work would be wrong. This nine-year programme is designed to enable a gradual move towards universal credit. It is worth remembering that coverage is currently at 8%. Over the next four months, the roll-out will increase coverage from 8% to 10%—just two percentage points by my reckoning. [Interruption.] I am coming to a close now, Mr Speaker; I can sense you speeding me along Universal credit is a response to the overcomplicated system that we inherited from the previous Labour Government. Despite what the Opposition say, recent data show that universal credit is transforming the prospects of those who use it. It is important to continue with the programme, and my hon. Friend the Member for Thirsk and Malton (Kevin Hollinrake) gave us some helpful insight into his constituency, where, yes, there are challenges, but there are positive stories, too.
ParlaMint-GB_2017-10-24-commons.u492	rose—
ParlaMint-GB_2017-10-24-commons.u493	rose—
ParlaMint-GB_2017-10-24-commons.u494	Order. The Opposition Front-Bench winding-up speech of three minutes must begin no later than 4.52 pm, so the final two speakers have a maximum of three minutes left—a bit less.
ParlaMint-GB_2017-10-24-commons.u495	I apologise to the House for missing the start of the debate; I had to be at a sitting of the Finance Bill Committee. Colleagues have obviously already detailed many problems with universal credit, so I just want to focus on two: informed consent and data sharing. I mentioned them in last week’s debate, but the Minister was sadly unable to respond because he ran out of time. I have since written to him and to the Secretary of State, and I hope that he will be able to respond formally at the end of this debate with what he is going to do on both On informed consent, Members will recall the words of the Secretary of State from last week’s debate, when he said: “Very often the CAB needs to call the local jobcentre rather than the national centre, because if it wants to deal with an individual case, dealing with the jobcentre would be more helpful.”—[Official Report, 18 October 2017; Vol. 629, c. 873.] The point is that advice centres cannot directly speak to the jobcentre or to the DWP, because the rules have been changed under universal credit so that advice centres no longer have implied consent. The only individuals who have it now are Members of Parliament. Who is better to deal with a constituent with a head injury, for example, who is trying to work out what their universal credit allocation should be: me, an MP who knows little about it, or a specialist organisation such as Headway? Headway used to be able to provide advice on such issues, but it is no longer allowed to, owing to the new rules on implied consent I will provide a quick example from an advice centre, which I have sent to the Minister: “Our clients are in and out of hospital and often taking heavy duty pain relief drugs. Access to computers and remembering the login details is often impossible.” I will not provide the rest of the details, but I want to finish with this quote: “Monitoring whether my clients have been properly paid through universal credit is a nightmare.” The Minister can end that nightmare immediately today by extending implied consent to advice agencies, just as applied previously. It would be simple to do and would make an enormous difference to some vulnerable people On data sharing, there was some discussion last week about the scope and efficacy of the new landlord portal, which is intended to enable data sharing between landlords and the DWP. The DWP clearly accepts the need to share some data, but it is refusing to share data with local authorities. I do not know whether the Minister is ready for this in his constituency, but I have been informed that about 4,000 households in my constituency will have to take screenshots of their DWP entitlement—if they have a computer; many do not—and then email or take it to the local authority so that it can work out whether they are due council tax benefit, all because the DWP will no longer share that data with local authorities. The system could be changed easily, so I ask the Minister to wave his magic wand and change it.
ParlaMint-GB_2017-10-24-commons.u496	I hope to end the debate on a note of agreement. Everyone in this Chamber wants people to have the opportunity to work, if they are able to work, and to be supported in the process of finding work. And when they do find work, we all want them to be paid properly. That, I hope, we can all agree on I hope we can also agree that the old system was a nightmare. I do not speak just from my experience of working in this place. In my previous career I worked in criminal courts across the country as a prosecutor for the Department for Work and Pensions. I would work through a whole load of cases when I visited a magistrates court, such as Camberwell Green magistrates court, and I cannot say how many single working mums were being prosecuted by the DWP because they had gone one or two hours over their 16 hours. Members of this House talk about being caring, but I dropped those cases myself—I took the decision that it was not in the public interest to prosecute. When did those cases happen? In the late 1990s and the early 2000s. When people speak about a caring welfare system, let us not pretend that the old system cared. Let us instead work together to make the new system work better for our constituents. Let us take advantage of the pause in January 2018 to address some of the issues that have been raised in these debates, but please let us not pretend that the old system worked, because it did not. Universal credit is an effort to design a better system for our constituents, and I support it.
