ParlaMint-GB_2017-01-10-commons.u1	1. What recent assessment he has made of the security and humanitarian situation in Yemen.
ParlaMint-GB_2017-01-10-commons.u328	I am sure my hon. Friend is aware that the CDC last year upped its investment rate to $1.5 billion, which is the level projected for the next five years. Does that investment rate show that recapitalisation is not about some supposed new direction for the CDC but about allowing the good work it has done under its management to continue?
ParlaMint-GB_2017-01-10-commons.u329	My hon. Friend is absolutely right. We have to be clear what is being proposed today. The proposal is not to do more than is being done now, but to enable the CDC to continue to do what it is doing now. If we were to take some of the suggestions from the SNP and others, that might imply that that support should be reduced in the future, and that would be to the detriment of the countries affected and the British taxpayer.
ParlaMint-GB_2017-01-10-commons.u330	ODA flows and gross national income can go up or down, so if, for some reason, GNI were to contract, and the ODA budget were to contract, surely it would make sense for the amount of overall capital investment in the CDC to contract so that more money was available for the traditional aid flows.
ParlaMint-GB_2017-01-10-commons.u331	That is the hon. Gentleman’s point of view, but it is not my point of view, and I will come to the point about balance in a minute A general view of the amendments is that they seek to solve problems that do not exist, but that may exist. Statute is not the right way to approach such circumstances; that is a matter for oversight and scrutiny by the departmental Ministers and by us here in Parliament on behalf of our taxpayers—it is not about putting things into Bills. On that basis, I will oppose every amendment that has been proposed today There would be some validity to the amendments if there was a question about this aspect of foreign direct investment being unusually large. There might be something to them if the CDC had a poor investment record because it was losing shed loads of taxpayers’ money by making poor investments, if it was clearly ignoring development goals and was being held to account in reports for doing that, or if a problem in reporting oversight was evident and explained in various reports. However, not a single one of those conditions pertains to the circumstances of the CDC, so there is no a priori reason to put these amendments in place As I mentioned earlier, the proportion of our development budget that goes to our development finance institution—the CDC—is 4% if taken over five years, which is the usual investment period for a fund. That compares to PROPARCO of France, which has 12% of the development budget; DEG in Germany, which has 8% of the budget; and FMO in Holland, which is a very successful DFI, and which has 30% of the budget. So we are not unusually large—we are actually unusually small. In terms of such initiatives, we should be looking for a measured and slow increase in our ability to invest, so that we can play a fuller role. So I do not think that the point about that really holds The point about the poor investment record does not hold either. I have the numbers here, and the truth of the matter is that in terms of its annual return—this is a commercial return, and we have to understand that there are commercial returns for funds—the CDC was set a target of 3.5%, and it achieved 7.8% over the past five years. So there are not really grounds for saying that it is a poor performer in terms of its core function of investing on a commercial basis or that it is doing something untoward On the missing development goals, I understand that there is a bit of a laundry list of sectors that the hon. Member for Cardiff South and Penarth (Stephen Doughty) wishes to turn his nose up to. I have no idea whether the list in his new clause is a full list or whether it just contains things he does not like. One of my hon. Friends made a good point about why there are good reasons to support parts of them. We will hear from the hon. Gentleman in a minute, and I am sure he will make an excellent case for that laundry list. However, in the meantime, I would say that there is not really any evidence of the CDC missing its development goals. Even the National Audit Office report mentioned that the CDC had met the targets for its financial performance, which was point 11 in its summary. In point 12, it said that the “CDC has exceeded the target for prospective development impact it agreed with the Department.” So there is no basis in that respect for the amendments Are there concerns about reporting for CDC? There may be, but I have not heard them. I cannot point to something that says there are concerns. I do not think that we have heard concerns about reporting on Second Reading, in the evidence stages or today. There may be additional pieces of information we wish to have, and they are listed in some of the amendments, but no real concerns have been raised that these things have not been provided in the past and that we should therefore ensure that the CDC provides them. Therefore, on the issue of whether there is a problem at the CDC that the amendments are needed to correct, there is no justification for the amendments whatever We have to be clear about what the role of tax havens has been. The hon. Member for Edmonton was very fair in pointing out that the CDC’s chief executive had made it clear that the CDC does not use tax havens in its policies, and the chief executive explained where those are used and why they are used. I am perfectly happy to rest on the judgment of the CDC, on its governance structures and on the oversight by the Department to make sure that that continues. I do not need to put a statutory underpinning on that. I also do not see that there is a problem at the moment in terms of the CDC having wandered off from what it said it would do. If there was such a problem, I would say, “Okay, maybe it is time for statute,” but the hon. Lady has not presented—maybe others will—a recent concern where that has happened. Therefore, I cannot see a reason for supporting new clause 1, although I understand that she wants to put it to a vote. I think we broadly accept—from that point of view, having a discussion about this is perhaps valuable—that there should be a strong message from Parliament about the use of tax havens and about what is and is not appropriate. If that is her intention, that is a perfectly reasonable point for her to make The CDC is a valuable institution. It has support from both sides of the House. I look forward to having further discussion on the amendments and then supporting the Bill on Third Reading.
ParlaMint-GB_2017-01-10-commons.u332	In July last year, as part of our ongoing inquiry, the International Development Committee visited the Democratic Republic of the Congo. As part of that, we went to see a hydroelectric power plant in the Virunga national park, which has been part-funded by the CDC. It is reinvesting a proportion of its earnings into community development projects and protecting the environment. The plant is bringing electricity to a region in which only 15% of the population has previously had access to power, and it has the potential to generate millions of dollars each year and thousands of jobs for local communities. I cite that because such projects are impressive and demonstrate the positive impact that the CDC is already having.
ParlaMint-GB_2017-01-10-commons.u333	As the hon. Gentleman knows, I was also on that visit, and that is probably one of the most impressive projects I have ever seen. It provides light to so many people in the DRC who so desperately need it. Those are just the sorts of projects we have talked about and said that the CDC should be investing in more, because they create jobs and make life better for so many more people.
ParlaMint-GB_2017-01-10-commons.u334	The hon. Lady is a highly valued member of the International Development Committee and I agree with her. The purpose of my remarks on Report this afternoon is to reinforce the point she made. Those are positive projects. We want to ensure that the high-quality we saw in that example in Congo becomes the norm for all the CDC’s investments, particularly as the limit is increased, which I will come to in a moment The private sector provides around nine out of every 10 jobs in developing countries. Its development and success is vital in helping countries to achieve sustainable and long-term development. I therefore believe it makes sense to increase the CDC’s investment threshold Poverty reduction must be at the heart of the Government’s development agenda, which must explicitly include the work of the CDC. In 2011, the predecessor International Development Committee produced a report, “The Future of CDC”, as the group approached its then cap of £1.5 billion, as set out in the Commonwealth Development Corporation Act 1999. The Committee’s report concluded that the CDC’s mandate should be changed to a specific focus on poverty alleviation. Given that job creation is one of the very best ways to reduce poverty, it is important that the Government have a development investment arm that will help poorer countries to create new and innovative jobs As has been said by Members on both sides of the House, the CDC made significant changes following the 2008 National Audit Office report and the 2011 International Development Committee report in line with recommendations to move towards a focus on the alleviation of poverty. As has also been said, those changes were reviewed recently by a further NAO report released just before Second Reading of the Bill in November 2016. The report was mostly positive, and noted that the 2012 to 2016 investment strategy shifted the CDC’s investment focus to poorer countries, which is welcome. The report noted that the CDC had exceeded the targets agreed with DFID relating to financial performance and development impact. However, it also said that the CDC should do more to measure the development impact of its investments. That would not only provide a better basis for investment decisions, but increase the transparency of the CDC Poverty alleviation is absolutely central if we are to make a success of the global goals—the sustainable development goals agreed in 2015. Africa needs to generate 15 million new jobs every year if it is to achieve its global goals. That can be achieved only by working with the private sector, including organisations such as CDC. CDC has helped to create nearly 25,000 jobs in Africa and south Asia directly, and it says it has helped to create more than 1 million jobs indirectly. The businesses in its portfolio support around 18 million jobs. I am therefore happy to see the increase in the threshold, but I have a number of concerns to which I should like the Minister to respond.
ParlaMint-GB_2017-01-10-commons.u335	The hon. Gentleman will know that I respect not only his passion, but the balanced way in which he deals with CDC issues. Does he share my concern that we risk having a more prescriptive approach towards the CDC, which is a part-private sector organisation, than we have towards a range of non-governmental organisations that are beneficiaries of large-scale DFID programmes, which might be somewhat distorting? Although he makes valid points about the concerns, if we are to hamstring CDC in the way that one or two of the proposals would have us do, it would be an undesirable outcome for DFID.
ParlaMint-GB_2017-01-10-commons.u336	I am certainly not arguing for prescriptions to be applied to the CDC that would not be applied to other organisations funded by DFID. My hon. Friend the Member for Cardiff South and Penarth (Stephen Doughty) has made the valid point that, shortly before Christmas, the Secretary of State set out a number of conditions for suppliers to the Department, and that they should apply to the CDC. I am emphasising my support for the proposal to put poverty reduction at the heart of the CDC. All hon. Members would agree that that should be at the heart of the Government’s entire development and aid strategy, including DFID. I can plead not guilty to the charge that the right hon. Gentleman puts to me. I am not proposing in any sense to hamstring the CDC. I am certainly not proposing, and I do not believe the Opposition amendments seek, to impose any restriction on the CDC that would be out of step with the restrictions we apply to other bodies funded through overseas development assistance.
ParlaMint-GB_2017-01-10-commons.u337	My hon. Friend makes a strong point, which is very much the point. The proposals are about bringing the CDC more in line with DFID’s overall priority countries and sectors, and with the restrictions placed on other UK aid money.
ParlaMint-GB_2017-01-10-commons.u338	I agree with my hon. Friend. I have read what the Minister said in Committee—reassurance can be gained from it—but I look forward to hearing him again today. It is very important that we have a sense that, with a very substantial increase in the potential money going through the CDC, we will ensure that it is geared towards poverty reduction wherever it is invested. As my hon. Friend rightly points out, part of that is the question of which parts of the world and which countries the CDC will invest in. Investments in some countries can deliver a lot more jobs and poverty reduction than investments in others As I have said, I am happy with an increase in the investment threshold, but we must ensure that the money is spent wisely. The 2012 to 2016 investment plan has expired and we are yet to see the 2017 to 2021 investment plan. I suggest that it would have been beneficial for the Bill, the Government and the CDC if Parliament had seen the plans for the next four years of investment before it was asked to raise the investment threshold. The amendment from my hon. Friend the shadow Secretary of State would ensure that, if the Government introduce regulations further to increase the limit, they would have to be preceded by a detailed plan of investment from the CDC that could be scrutinised by Parliament. I welcome and support that amendment.
ParlaMint-GB_2017-01-10-commons.u339	Successive Governments can be proud of the role played by DFID in improving lives and the economies of some of the world’s poorest countries but, in light of much of the public debate on international development spending, much of what my hon. Friend says on parliamentary scrutiny is correct in principle. Does he agree that that is absolutely essential for maintaining and building public confidence in international development spending?
ParlaMint-GB_2017-01-10-commons.u340	I absolutely agree with what my hon. Friend says, which chimes with my conclusion on the importance of scrutiny of both the CDC and the Government, including scrutiny by the House.
ParlaMint-GB_2017-01-10-commons.u341	I have a lot of sympathy for what the hon. Gentleman says—in the context of the debate it would be useful to have an idea of the programmes that the CDC has in mind for the future. I hope that, when the Bill goes to another place, there is another opportunity to have one. However, does he recognise that, given the nature of the CDC’s expertise and experience, it might to an extent have slightly different goals from other NGOs who receive DFID money? In other words, given the CDC’s expertise, particularly its private sector expertise and experience, the absolute predominance of the alleviation of poverty could in some cases not entirely apply to everything it does.
ParlaMint-GB_2017-01-10-commons.u342	The focus and priority needs to be on poverty alleviation. At the beginning of my speech, I gave the example of a project we visited—the hon. Member for Mid Derbyshire (Pauline Latham) reinforced the point. That project undoubtedly delivered things beyond poverty reduction, but at the heart of that investment and its impact was the reduction of poverty. Keeping the reduction of poverty in mind is a useful lodestar for DFID when it approaches the work of the CDC. I would need some persuading that a project should be funded that did not have some connection to the alleviation and reduction of poverty Let me now turn to the issues of scrutiny that were referred to by my hon. Friend the Member for Ilford North (Wes Streeting). The recent NAO report, as was rightly said by the hon. Member for Bedford (Richard Fuller), revealed that the target development impact score is on average being met, but only on average. The CDC is making some investments that fall below the target. Some 23% of investments since 2013 have fallen below the target score based on their investment difficulty and propensity to generate employment. Given that the objective stated in the CDC’s current investment policy is to “focus its investments into the geographies and sectors where there is the most potential for development impact”, it is unclear why the CDC is investing in projects that achieve lower scores. So I say to the Minister that, along with a more robust approach to measuring development impact, I would like a minimum threshold for impact implemented in the new investment strategy As with all DFID spending—and, indeed, broader aid spending by other Government Departments—the International Development Committee will scrutinise very closely the CDC’s work in the months and years ahead. It is vital that we ensure the British taxpayer gets value for money for every pound spent on international development. As has been said on all sides of the House, the CDC has become more transparent following the Committee’s 2011 report and the NAO report in 2008, but more can still be done to ensure that money is being spent as well as possible. One way that could be achieved—I ask the Minister to explore this—is to allow the Independent Commission for Aid Impact to play a bigger role, for example carrying out a regular assessment of CDC investments, allowing scrutiny so we can really ensure full effectiveness and value for money of the programmes in which the CDC invests I think we can say that the CDC has been a world leader among development finance institutions in publishing details of its investments since 2012 under the International Aid Transparency Initiative. That is very welcome, but I suggest it would improve transparency further if it published similar details on its entire active investment portfolio, including those made prior to 2012. I ask the Minister to address that point when he responds to the debate. That would enable greater scrutiny of the CDC’s entire portfolio and hopefully provide assurance to the public that all the CDC investments are focused where they need to be: on the goal of poverty reduction In conclusion, I believe that the CDC has helped the UK to be a leader in global development, but as with any area of Government spending we need to ensure that every penny is going where it can have the greatest effect: the right places and the right people delivering value for money for the taxpayer. One way to achieve that is by regular scrutiny of the CDC, including by Parliament. I give a commitment that the International Development Committee will play its role in ensuring that we scrutinise and hold to account both the Department and the CDC as the additional money is allocated. Most importantly, as with all areas of development spending, we need to ensure that the ultimate goal is poverty alleviation and eradication, and that we never lose focus on that.
ParlaMint-GB_2017-01-10-commons.u343	Thank you, Madam Deputy Speaker. I am grateful for your generosity in allowing me to contribute for a short time The CDC has a really important discrete role in our international development portfolio. There are few organisations with the skills and abilities to manage such risk in the most difficult markets. Often, it will bring an economic frontier country, area or sector the opportunities leading towards a risk profile that more established and traditional investment vehicles can get involved in. That is to be welcomed. It supports more than 1,200 businesses in more than 70 developing countries to create jobs We discussed a number of issues in Committee, including the fact that investments are not necessarily direct. Amendments tabled both in Committee and on Report address whether that serves to divert resources from the least-developed countries. I would say that it is sometimes necessary to invest in opportunities in other countries as long as the outcomes go to the most needy and the least-developed countries. At the end of the day, that is what we are trying to do with our international development effort As many Members have said, it is important to concentrate on our core goals and the SDGs. In Committee, the Minister was explicit in saying he did not believe we needed more legislation. The International Development (Official Development Assistance Target) Act 2015 already enshrines in legislation the need to focus on poverty reduction and the SDGs, and they are already enshrined in DFID’s own principles and processes, so I do not believe that we need to have yet more primary legislation On the limits referred to in relation to some of the amendments, we have to remember this is effectively an enabling Bill, which is why it is so short. It is not an immediate call to spend. It is not a case of saying, “Here’s £6 billion tomorrow and then we’re going to raise it further the day after.” The Bill simply seeks to bring the CDC in line with other organisations that have similar requests of Departments. In Committee, the Minister said that any requests for money would have to be subject to DFID’s strategy and have to have a robust business plan that was considered fully before any money was handed over. That can easily be done on a departmental level. I totally agree with my colleague and Chair of the International Development Committee, the hon. Member for Liverpool, West Derby (Stephen Twigg). As a new Member, I look forward to being able to scrutinise the work of CDC I note that the CDC has changed. I agree with my hon. Friend the Member for Bedford (Richard Fuller) that some amendments address problems that may not occur or rehearse old problems from before 2010 when the then Secretary of State reorganised the CDC. I do not support amendments on problems that may or may not happen, or have happened in the past but have been largely sorted out. The CDC has moved from pre-2010 looking at low impact, high return investment programmes, to a far more proactive viewpoint to ensure we take into account the SDGs and poverty reduction. I will be scrutinising that along with my colleague the Chair of the Select Committee, but I will not be supporting the amendments, for the reasons I have set out. This can best be done at Department and Committee level through post and pre-decision scrutiny. In conclusion, I look forward to the Bill becoming an Act.
ParlaMint-GB_2017-01-10-commons.u344	I rise to speak in favour of new clause 7 and the other new clauses and amendments in my name and those of my right hon. and hon. Friends It is fantastic to see so great a consensus in the room around the 0.7% aid target and Britain’s role in international development—in contrast, perhaps, to the shriller debate in the media in recent weeks. It might surprise those hon. Members who have criticised my amendments that there is actually much agreement around the role of CDC; I believe it has a vital role to play—I made this clear in Committee, as I am sure the Minister would acknowledge—in the wider portfolio of our international development effort and in the spending of our official development assistance. I would like to thank my fellow Co-operative party MPs and the shadow Front-Bench team, as well as other Members from across the House, for adding their names to many of my amendments. It shows the level of very reasonable concern around the many unanswered questions concerning the priorities and operations of CDC. Those questions need to be addressed before we can countenance such a large increase in the official development assistance resources it receives from DFID. I am not suggesting that CDC should not get any more resources—it has reached the cap of £1.5 billion set in 1999 and clearly needs some increase and headroom to expand its activities—but it is worth recognising that it has coped well by recycling resources within itself, partly thanks to some of the investment successes it has enjoyed.
ParlaMint-GB_2017-01-10-commons.u345	Is not the level of investment now consistent with this increase? For CDC’s current level of activity to be maintained, it requires this level of increase, so cannot concerns about too rapid growth perhaps be overstated?
ParlaMint-GB_2017-01-10-commons.u346	I do not believe that that case has been made; there has been no justification at any point for the actual figures. To maintain CDC at its current level of activity, we need to realise that it has managed perfectly well with £1.5 billion since 1999 and has recycled it within its own budgets. If it was going up by £1.5 billion or £2 billion, I could understand it with a view to creating space for the next 10 years, but £6 billion and £12 billion seem to me to be well out of the appropriate range.
ParlaMint-GB_2017-01-10-commons.u347	From my understanding of the Bill and on the basis of evidence given in Committee, I would like to read the quote that “no money will go to CDC until a full business case is written in huge detail, which will be prepared in the summer of 2017.”––[Official Report, Commonwealth Development Corporation Public Bill Committee, 6 December 2016; c. 9.] The suggestion that we are going to give a huge chunk of money to CDC straight away is perhaps creating an unfair impression.
ParlaMint-GB_2017-01-10-commons.u348	Clearly, the hon. Lady did not listen to what I was saying. I did not say that. I said that the Minister had acknowledged that it was not going to be spent in one year, which was the fear when this was initially proposed. What we are asking for in the amendments is just that clear business case. I hope that the Minister—he was nodding earlier—will be able to set out how that process and scrutiny of it will occur, which is only right. There was only limited scrutiny of the last amounts spent, which were quite significant.
ParlaMint-GB_2017-01-10-commons.u349	What my hon. Friend describes is, in civil service language, the ghastly phrase “absorptive capacity”. He will know that, unfortunately, the Department for International Development has allocated some funding into various World Bank trust funds that have not been fully spent with the originally envisaged timescale, suggesting that the Department is beginning to struggle to find suitable sources that can absorb its money as it wants. My hon. Friend is, in my view, right to worry aloud that this is a huge increase in money without any proven capacity to spend it.
ParlaMint-GB_2017-01-10-commons.u350	Indeed. My hon. Friend, one of the longest-serving Ministers at DFID, knows this only too well. He makes a very important point. I have spoken to other experts in the sector who suggest that to absorb that amount, even a doubling would be a struggle, so it certainly applies to the levels we are seeing. That is why it would be much more helpful if the Minister were clear about the schedule for this spending. What is his idea of the number of years over which this increase would be spent before we might require another Act to increase it even further We tabled some crucial amendments, as did SNP Members, in new clauses 3, 4 and 6 and my own new clause 9, emphasising the importance of focusing on the poorest, least developed and low-income countries and of ensuring that we remain coherent with the sustainable development goals—the global goals agreed by the UN—and focused on poverty eradication rather than other priorities.
ParlaMint-GB_2017-01-10-commons.u351	My hon. Friend is making an excellent case. Has not DFID led the world on the importance of aid transparency and a focus on poverty reduction? The problem at the heart of these proposals is that there is very little prospect of transparency of how these resources are spent. Equally, there is very little ability for the Government to guarantee that the resources will be deployed and focused on poverty reduction. Is that not a matter of major concern?
ParlaMint-GB_2017-01-10-commons.u352	I think it is, and that gets to the point. A lot of information is provided by CDC online, and it is important to acknowledge that much of it is helpful. We can get into individual projects and see the particular spending on those individual projects. However, it is not the same when it comes to the level of spending, which is what the NAO was looking at. It is important to be able to prove prospective development impact and show where it is going To take just one example, the NAO looked at the issue of funding going into the health sector in India, and tried to get clear information about where the money was being spent in a particular hospital group. It looked at whether it was going to the poorest or to middle-income patients. The NAO told us in its evidence that it was going to middle-income patients, which does not strike me as a correct use of CDC’s money. That is not to say that the investment is not good in and of itself—I am sure that enabling access to hospital for people in general is a good thing. The question is whether we should be spending our aid money on that. Surely we should be focusing on the poorest. When we examine the figures in depth—they can be found in a House of Commons Library research paper—we see that although the proportion of CDC’s investments in the least developed countries has increased, it is still significantly lower than the proportion of its investments in middle-income countries. As for spending in individual countries, it is a fact that in India most of CDC’s money is being spent in what are known to be the richest states. The highest proportion of its investments goes to Maharashtra, which is where Mumbai is located. I am not saying that the individual investments there are not good, effective or useful; I am saying that it is a question of priorities. In Committee, it was helpful to hear the Minister speak of the possibility of a cap or restriction on funds that go to India and elsewhere in south Asia rather than to Africa. Giving evidence to the Committee, Professor Paul Collier said that he shared the concern that had been expressed about whether CDC was focusing enough resources on the poorest countries. New clause 9, for instance, relates to those issues The wider issue of spending routes that is raised in both the SNP’s amendment 3 and our new clause 10 is crucial. We are not suggesting that CDC should not be given more money, or that it should not have a chance to expand its operations and the autonomy that it enjoys, but we believe that those elements should be in proportion to other forms of official development assistance. It is important that we introduce safeguards. By 2019-20, 6% of United Kingdom official development assistance will be spent by other Government Departments. Money goes into the prosperity fund and other Government funds, and there is often far less scrutiny and oversight than there is in DFID. That worries me, and I know that it worries other Members on both sides of the House We need to achieve a fair balance. CDC has its role to play in the portfolio, but that must be proportionate to other ways in which we can spend the money. We must ensure that we are pulling all the levers of development, rather than just one at the expense of others. For that reason, I am inclined to support amendment 3 if it is pressed to a vote I want to say something about tax havens, although I shall not do so at length, because we discussed the issue a great deal in Committee and we have also discussed it today. I find it surprising—this relates to new clauses 1 and 8—that CDC continues to use tax havens such as the Cayman islands and Mauritius. A fair point has been made about the importance of stable financial arrangements for investments. In some countries it is clearly not possible to set up arrangements within the legal structures of those countries to ensure that the right fiduciary controls are in place. However, I do not understand why we are not setting up such vehicles in England and Wales, or in other jurisdictions. Why are so many of them in the Cayman islands and Mauritius Moreover—I have asked parliamentary questions about this—we are paying management fees to financial services organisations, in the Cayman islands and elsewhere, that also support the far less transparent activities of other corporations and individuals. I find it deeply worrying that, whether or not there is anything untoward about an individual CDC investment, we may be indirectly supporting the flourishing of the tax avoidance and evasion that exists in overseas territories.
ParlaMint-GB_2017-01-10-commons.u353	Is my hon. Friend aware of comments made by the Secretary of State when she was a Treasury Minister about tax evasion and the need to limit the use of tax havens? Why does the Treasury seem to be concerned about the issue, and why is DFID suddenly not concerned about it? One would have thought that, when it came to such a crucial issue, there would be joined-up government.
ParlaMint-GB_2017-01-10-commons.u354	That was also a great surprise to me. I referred earlier to the letter that the Secretary of State sent to many of the other DFID contractors on 16 December. That letter was very clear about tax avoidance measures and tax havens. It contained a series of criteria, most of which I think are very reasonable, and which we should expect to be observed by organisations that are benefiting from our aid spending. My question is this: why are those criteria not being applied to CDC? The Secretary of State repeatedly refused to confirm that they would be. There seems to be one rule for one organisation and a different rule for others Eurodad research found that 118 out of 157 fund investments made by CDC went through jurisdictions that feature in the top 20 of the Tax Justice Network’s Financial Secrecy Index. That does not seem to me to be coherent with the other statements that are being made by the Government. Indeed, the will of the House has been shown by cross-party support for amendments to other Bills that would crack down on tax avoidance and evasion Lastly, I want to return to the issue of coherence, and I urge colleagues to support new clause 7. The hon. Member for Bedford (Richard Fuller) referred to this as some sort of laundry list and suggested I was creating hypothetical straw men that did not actually exist and was dealing with things that have happened in the past. That is not the case; I am talking about things that are happening now. It is a fact that, as data revealed to me since the Committee stage in parliamentary questions show, in 2015 alone CDC invested £56.9 million in private fee-paying education and £117.9 million in private fee-paying healthcare.
ParlaMint-GB_2017-01-10-commons.u355	I shall speak in support of a number of the measures on the amendment paper, but first I want to make a couple of comments about the political context in which this debate is taking place. I turned on the television over the weekend to see on the tickertape at the bottom of the news channel screen the information that our Government had stopped funding a girl band in Africa. I was shocked by this—I did not realise we were funding girl bands or bands of any other kind in Africa or elsewhere—so I thought I would look into the matter a little more. Of course, on doing so, I discovered that that was not the story at all The story was loosely based on a project in Ethiopia called Girl Effect, which is a huge programme that is aimed at empowering young women throughout that country. It has 500 direct participants and more than 10,000 participants online, and it operates from 8,000 schools throughout the country. It is designed to use music and performing arts to give young women in that country confidence so that they can take part in Ethiopian political and social life. It is undeniably a good thing. It was set up by DFID in 2011, and every time that DFID has reviewed it, it has been given an A* rating. It is exactly the type of project that we should be supporting, but it is unusual and unconventional. It is not the same as handing out food to people who are starving, so the case needs to be made for it. We also need to be aware of how these things can be caricatured and used to argue against the provisions that we are talking about today That entire Girl Effect project was described in the Daily Mail as the British Government funding the equivalent of the Spice Girls. The implication was quite clear: millions of pounds of our taxpayers’ money was being used not to feed the poor, the starving or the illiterate, but to fund five young women and turn them into rich pop stars. That was not true. The reporting was a good example of what we might call fake news—I believe that that is the term used these days. It was connected to reality by the thinnest threads of truth, yet for many people reading the Daily Mail and the other papers that took up the story, or looking at the tickertape along the bottom of their screen, it created the impression that they were given Lots of people, including some in this Chamber who ran to the press to comment on that story, will use these caricatures to denigrate and oppose any foreign aid activity by this country. They use the ridiculous argument that we should be spending money at home before we spend it abroad, as though the poverty and inequality in this country, which we must tackle, was on a par with the hell in sub-Saharan Africa, where poverty, oppression and the daily grind are the normal way of existence for the mass of people in those countries. Knowing that those caricatures exist and that we need to be careful about how we present these arguments brings me to the new clauses and amendments before us today.
ParlaMint-GB_2017-01-10-commons.u356	The hon. Gentleman makes a good case, but considering that a third of all Ethiopian girls do not go to school, would it not be better for female empowerment if the money were spent on giving them an education? Would that not be more empowering than promoting a pop group?
ParlaMint-GB_2017-01-10-commons.u357	I do not want to have a big discussion about the project, but I will respond by saying that we should do both. Of course we should also try to put money into formal education, but the importance of that project was that it understood that digital communication was a much more effective way of reaching young people in Ethiopia than the bricks and mortar of a formal educational establishment. It also understood that music and lyrics can sometimes be better than formal texts at getting through to people, educating them and inspiring them with big ideas. That is true in this country as well. Those things have contributed to the social education of young women in Ethiopia. As I said, the Department for International Development itself said that the project was worth supporting The important point in all these debates is that we can win public support for foreign aid and rally the public behind the 0.7% contribution, provided that we are transparent about what we are doing, and that we demonstrate at every turn that the people who are getting the money are those who really need it. It is therefore important that those criteria are demonstrated through the work of CDC Group and others, and that evidence is produced I am not sure which amendments and new clauses will be pressed to a Division, but I will vote for whichever ones are, because they would all strengthen the Bill. In my 20 months in this Chamber, this is the first time that I have seen a Bill come back on Report without a single Government amendment. I find that surprising. I know that the Bill is concise and brief, but given the concerns that were expressed on Second Reading about the work of CDC Group, I would have thought that the Bill could have been tightened up a little. I hope that the Government will consider supporting some of the new clauses and amendments because they would make the Bill more efficacious in achieving its objectives New clause 6 states that before CDC Group gets a major uplift in funding, the case will have to be made that it is meeting the sustainable development goals and tackling poverty and inequality in the country in which the money is deployed. Let me put it another way. If a project was not tackling poverty or combating inequality, and not contributing to achieving the sustainable development goals, why on earth should we fund it? When it comes to prioritising when money is tight, we have to make sure that it is spent on what it is supposed to be spent on On Second Reading we discussed some of the—shall we say?—past mistakes in a number of CDC’s decisions. We talked about the shopping malls, luxury hotels and other inappropriate projects in which CDC Group invested, and we were assured—by the Minister of State, I think—that those things were in the past, that we had learned from them and that they would not be repeated in the future. Well, if that is the case, what is the difficulty in building such a provision into the Bill so that when CDC gets a budget uplift, it will have an obligation to demonstrate that what that uplift is spent on will contribute to meeting these goals and fulfilling these criteria? That is self-evidently a way of ensuring that we do not rely on hope by instead writing down what, as a matter of policy, we want Amendments 3 and 4, to which I have put my name, would link an uplift in CDC Group’s funds to the overall ODA budget. It is important to look at doing that; the formula that has been suggested is not onerous and is perfectly achievable. There is an idea abroad that what might be happening is the outsourcing or privatisation of our foreign aid activity, and that pre-eminence is given to a market approach. We will have problems if that impression is not countered, because the truth of the matter is that there is a role for spending public money to try to support the creation of a small business sector in developing countries, to invest in such sectors and to create jobs, but let us not kid ourselves. The vast bulk of our priority aid should be directed at people who need it in order to combat the malnutrition, illiteracy, poverty and starvation that are present throughout such countries. That cannot be done by setting up a small business; it needs to be done through direct state and NGO intervention. That is why we should make it clear that the vast bulk of our foreign aid effort will remain in that sphere Although CDC Group and the market have a contribution to make, particularly in countries that are some stages along the process of development, that will not be the primary way in which we do things. I commend amendments 3 and 4 to the House because if we were to agree to them, we would strengthen the Bill and demonstrate to people what our intentions really are: to ensure that the hard-earned taxes that they pay—people politically agree that a small slice should be deployed for foreign aid—are spent doing the things that they want to be done. Those things are combating poverty and inequality in the developing world, and making sure that we get to a more equal world society, which of course is in our long-term interest, too.
ParlaMint-GB_2017-01-10-commons.u358	I am particularly pleased to follow the hon. Member for Edinburgh East (Tommy Sheppard). I am speaking today because of concerns brought to me by constituents, and only concerns brought to me by constituents. No NGOs have lobbied me. Constituents contacted me before Second Reading to express concern that, if the Bill were passed, we would run the real risk of aid money being spent inappropriately, and of our commitment to aid, of which we can all be proud, being undermined. I return to that concern, which I raised on Second Reading, and to what for me and my constituents are the core issues: directing the money to where it is needed most; scrutiny; and transparency On Second Reading, I quoted the recent NAO report on CDC. I know that has already been quoted today, but it bears listening to again. The report concluded: “It remains a significant challenge for CDC to demonstrate its ultimate objective of creating jobs and making a lasting difference to people’s lives in some of the world’s poorest places. Given the Department’s plans to invest further in CDC, a clearer picture of actual development impact would help to demonstrate…value for money” We are not getting the actual development impact promised. We cannot see what the development proposals are for the future; we are being asked to trust. Perhaps the Lords will see that, but we cannot.
