ParlaMint-GB_2017-01-11-commons.u1	1. What recent assessment she has made of the effectiveness of her Department’s work in Tajikistan.
ParlaMint-GB_2017-01-11-commons.u380	I am grateful for this opportunity to raise some of the serious concerns that have been caused by this Government’s refusal to fully fund our NHS. The Government are running out of places to cut corners to save money on the NHS. They are showing a lack of respect and compassion as they fail to provide the healthcare that people need and deserve. Those who need care at home are having to make do with 15-minute flying visits We have seen the pressure in A&E departments building over the past six years and yet every year we reach a winter crisis that is somehow a surprise to the Government. We have seen an increase in A&E waiting times, with more than 1.8 million people waiting more than four hours in 2015-16—an increase of over 400% since 2010 Bed-blocking is increasing as our underfunded social care services struggle to deal with demand. We have seen an increase in the number of patients waiting on trolleys to be treated or admitted, and an increase in the number of hospitals running out of beds. We are also about to see a 12% cut to community pharmacies, which will lead to the closure or reduction in services of our local pharmacies. The time it takes to get a GP appointment is also increasing This is not the most complex of problems. If we want a proper functioning full person-centred care system that works with compassion and treats those in need professionally and efficiently, this Government must fund it.
ParlaMint-GB_2017-01-11-commons.u381	In 2015, the head of the NHS, Sir Simon Stevens, said that the NHS needed £8 billion. It was this party that committed to fund it; the Labour party did not. If the hon. Lady is so keen on funding the NHS, why did the Labour party not pledge to do so back in 2015?
ParlaMint-GB_2017-01-11-commons.u382	I thank the hon. Gentleman for his intervention Let me turn now to pharmacies. This Government fail to grasp the fact that cuts to one service will have a direct impact on another. Let me be clear: only two months ago, I stood on the Floor of this House to condemn the proposed 12% cut to community pharmacies, which could mean the closure of 25% of the 42 pharmacies in my Bradford West constituency. That highlights the short-sighted approach taken by this Government. They are attacking all forms of primary healthcare and frontline services on which people rely If the figures are correct, nearly 30% of people who attended A&E services in Bradford royal infirmary over the past month could have been treated elsewhere for minor ailments. Many of them could go to their local pharmacy, through our local ailments scheme, or see their GP. What is the Government’s long-term approach to these systemic issues if they continue to water down primary care services? All we will see is an increase in the number of visitors unnecessarily attending A&E and an increase in the problems faced by those needing access to services The impact of the reduction in GP services is the same. Only a few months ago, I campaigned with the local community to save Manningham health practice. The proposal was temporarily put on hold, although we still have fears. Thankfully, we managed to prevent that centre from being closed down in the short term, but others in my constituency are at risk. Many other MPs have GP surgeries in their constituencies that face uncertain futures due to the funding restraints. This paints a picture not only of the underfunding of primary care services, but of a strategy that simply does not work together. Even a simple understanding of healthcare provision would allow us to see that if we decrease NHS services in one sector, there is an impact on the rest of it and an increased pressure on other service providers. But this Government continue to underfund and cut funding to all aspects of frontline services, and they expect the quality of care to remain the same. Where is the long-term planning that will ensure that people get access to the care that they deserve and are entitled to The Government’s strategy is the same when it comes to local government social care funding. The cuts to local social care funding have been dramatic. As many other hon. Members have highlighted, nearly £4.6 billion has been taken out of the social care sector since 2010, mainly through local government funding cuts. My district of Bradford has just had to announce that it will need to find another £8 million in savings from its social care budget. The authority is trying to be innovative and trying to find ways to ensure that there is no effect on frontline care by putting its resources into prevention. For me, the Government still fail to recognise the impact of deprivation on care needs. In one of the four most deprived constituencies, health issues go hand in hand with deprivation. The cuts to local government funding make that even more evident. It is not the work of our exceptional healthcare staff that has caused this crisis. It is the reduction in funding and the short-term strategy of this Government that are responsible. It is time for them to wake up and provide the healthcare provision people deserve.
ParlaMint-GB_2017-01-11-commons.u383	Many of my constituents are extremely fortunate to be served by Luton and Dunstable hospital—the hospital that was name-checked twice by the Secretary of State in his statement on Monday. One thing it does extremely well is its excellent streaming process in A&E, with good alternatives when A&E provision is not appropriate. That has helped the hospital to provide very high standards. I am also fortunate that my constituents’ social care is provided by Central Bedfordshire Council, which has been extremely innovative in building extra care court provision for older people. I visited those provisions, which are hugely popular and in central locations. They are much cheaper than residential care and provide a much better living environment for older people. That is exactly the sort of thing that we need a lot more of across the country. Those are two examples of really good individual practice within the NHS and social care. We need to be much better at spreading that good practice across the whole country It is worth putting on the record that since this time last year, we have more than 1,600 more doctors and 3,100 more hospital nurses. Since 2010, we have over 11,000 more doctors and 11,000 more nurses. The proportion of patients harmed by the NHS fell by more than a third between 2012 and 2015, and cases of infection are 50% lower than they were one year ago, which is a tremendous achievement. Health spending in England is actually 1% higher than the OECD average and the UK is spending more on long-term care as a percentage of GDP than Germany, Canada and the USA. The King’s Fund has said that STPs are the “best hope” for the future of the NHS in England, and Chris Hopson, the head of NHS Providers, has said that the system as a whole is doing “slightly better” than this time last year All that is dependent on having a strong economy, and I would argue that the Conservative party has demonstrated its competence in running the economy. Of course, I am not complacent, and I recognise that there is, in a sense, an arms race between the extra provision I am proud the Government have put in and the increasing demands on the NHS One issue that continually disappoints me is that we do not have enough of a focus on quality in these debates—they are always about funding. However, I draw attention again to the “Getting it Right First Time” initiative brought in by the Government just before Christmas, which is projected to save £1.5 billion that could be redirected back towards frontline patient care across 18 specialties. That will result in fewer infections and fewer revision operations, and we are using the data to shine a spotlight on variability, which is absolutely key for our constituents On mental health and the very welcome statement by the Prime Minister on Monday, I was delighted to hear the emphasis on first aid for mental health—something that will take place in our schools. However, as important, if not more important, is the issue of keeping fit for mental health. What do we all need to do to maintain good mental health? The Mental Health Foundation says we need to talk about our feelings, eat well, keep in touch with family and friends, take a break, accept who we are, keep active, drink sensibly, ask for help, do something we are good at and care for others. I do not think those 10 pointers from the Mental Health Foundation are as well known as they should be, so I am pleased to have put them on the record. It is crucial that we all look after our mental health, and that will help to reduce the stigma in this area Another issue I am passionate about is doing something about obesity, because although we have a national health service, we do not do enough to keep our fellow citizens healthy. I would like to see more emphasis placed on the excellent work of Dr Susan Jebb, an academic at the University of Oxford. She published an article in The Lancet just before Christmas showing that where GPs offered obese patients a referral to 12 weekly one-hour sessions, there was a significant reduction in the patients’ obesity.
ParlaMint-GB_2017-01-11-commons.u384	I am sure the hon. Gentleman, like me, is a regular reader of the Daily Mail, and he will have noticed the proposal in yesterday’s paper that people who are obese, heavy smokers or even, God forbid, both should be denied medical treatment until they lose weight or stop the filthy habit of smoking. Would he like to recommend to those on his Front Bench the adoption of that policy?
ParlaMint-GB_2017-01-11-commons.u385	What I am focusing on is what we can do to keep ourselves healthy and to reduce the demands on the NHS by behaving responsibly, and that is what I want to put the emphasis on That is important because a quarter of adults are obese, as are 14% of children between the ages of two and 15, and 18% of children in lower income households. Those figures should shame us all, and that is why I intervened on the hon. Member for Central Ayrshire (Dr Whitford) and mentioned the daily mile, which was brought in by St Ninian’s Primary School in Stirling. We need to see more of that and, frankly, a strengthened obesity policy My daily newspaper at the moment is the China Daily—it happens to be delivered free to my office. I was intrigued to see that students at universities in China actually have to take a physical fitness test lasting 50 minutes at the beginning of each new semester or they will not be given a graduation certificate. I am not necessarily suggesting that we introduce that here, but we should look around the world to see what other countries are doing to promote the health of their populations—to keep them fit and healthy—and to reduce the pressure on health services At the other end of the age spectrum, we need to do a lot more to keep older people fit and healthy, as many of the issues with social care would be greatly lessened if older people were able to stay healthier into later life. I am proud to be associated with the Buzzards 50+ organisation in my constituency, which helps older people to take regular exercise at our local leisure centres. In Andorra, which I mentioned earlier, that is normal for the whole population. Older people in their 70s and 80s will regularly take part in water aerobics classes and go to the gym. When a BBC correspondent went there a few years ago, women in their 70s taking part in these exercises said, “There’s no point in spending your retirement shut up at home. What’s more important than keeping yourself fit? If you don’t keep your body moving, you won’t keep your mind in shape.” Frankly, we need a lot more of that type of activity in our own country to lessen the pressures on our social care system.
ParlaMint-GB_2017-01-11-commons.u386	We have heard from Conservative Members about the so-called annual winter crisis, as though the situation we are in at the moment has always existed. Well, there have been crises in the past, but nothing like on the scale that we have seen recently. We are hearing about corridors being used as wards. I saw this in my own local hospital when I had to take my young son there. We went through into the ward and saw queues of trolleys with patients on them before my little son was seen to Last December, I wrote to the Department with a question—it was answered by the Minister of State, the hon. Member for Ludlow (Mr Dunne), who is in his place—about whether the Government could give the figures for the number of patients left queuing in corridors. I was told that there were no such figures. The Government and the Minister are well aware that this is going on in hospitals up and down the country. If the Government do not collect those figures centrally, but hospitals themselves collect them, the Government should ask for them; and if hospitals do not collect them, they are not carrying out their duty of care to our constituents, because it is important that people know how many patients are being held in corridors We hear stories about ambulances being redirected and bed occupancies being well over the 85% recommended level, and in many cases well over 95%. We have heard about the £4.6 billion of cuts in social care funding. Already, while it has not been made explicit, we are hearing talk of downgrading the four-hour A&E wait. In Preston, as I know myself, it is difficult to get GP appointments. If I ring and ask to see the doctor I want to see, I am often told that I will have to wait two to three hours—I mean weeks—to see that doctor. It probably will be two to three hours, at the very least, if I go to the hospital and it is a serious case. It is no wonder A&E is in crisis. A whole cohort of doctors in their mid-to-late 50s are looking forward to retirement. The number of doctors has increased, as we heard from the Health Secretary today, but that increase is nowhere near matching the number of doctors who are leaving the service or going to work elsewhere On the social care sector, we have seen tens of millions of pounds of Government cuts forced on Lancashire County Council. That is leaving the elderly vulnerable and more likely to have accidents at home, putting pressure on A&E as well. The mental health services—the Cinderella services—continue not to get the support they deserve. Since the closure of the acute mental health ward in Royal Preston hospital, the Avondale unit, I have seen mental health patients being decanted around Lancashire because they cannot get the care and support that they need in Preston Over a five-month period to August last year, we saw a 16% increase in attendance at A&E at Royal Preston hospital. Over the same period, average daily patient attendance increased from 217 per day to 255 per day. A small percentage of that increase was due to the closure of Chorley and South Ribble hospital’s A&E. I am sure that if the Deputy Speaker, my right hon. Friend the Member for Chorley (Mr Hoyle), were here, he would echo what I have said. However, it is not all due to the closure of Chorley’s A&E. Many patients who would have gone to Chorley are now attending the A&E in Wigan, or elsewhere. The Government should not be allowing wards to close when the demand is so high. The daily average for the number of ambulance arrivals has increased from 68 to 91, according to the North West Ambulance Service. In the meantime, a return to a 24-hour accident and emergency service at Chorley hospital has been ruled out. At best, there will be a 12-hour A&E service sometime later this month Preston has one of the 134 of 138 A&E departments up and down the country in which 95% of patients are not seen within four hours. I believe it is an absolute disgrace that only four A&Es in the country are meeting the four-hour standard. It is testimony to the cuts and austerity being forced on the NHS and local government social services departments up and down the country. I call on the Government to increase spending on social care and to fund the NHS further in this year’s Budget as a matter of urgency.
ParlaMint-GB_2017-01-11-commons.u387	It is a pleasure to follow the hon. Member for Preston (Mr Hendrick) in this debate. I am very conscious that I am following many Members on both sides of the Chamber who are far more learned about health matters and who bring with them very valuable experience from the frontline in the NHS Like all Members in the Chamber, I receive letters and visits from constituents who have concerns about the NHS and issues with their own health. As we all know, some of those issues can be very sad and emotive, and we all do our utmost to help them in what can be very difficult situations. However, let us not forget the many positive stories and experiences that we also hear about. Many of us will have had very positive experiences with the NHS in relation to how it has helped and continues to help us and our own families. It would be very wrong and unfair of us not to recognise those experiences I thank all NHS staff and those who work in the health and social care sectors for the work they do not just during the hard times, such as now, when there are winter pressures, but day in and day out throughout the year. In my family—my mother was a home carer for many years, and my sister is currently a practice nurse—I often hear about what it is like to work on the frontline. I also thank our local hospital in Walsall, the Manor hospital, which serves the constituents of Aldridge-Brownhills. Like many other hospitals, it faces many pressures. As we have heard today, A&Es saw the highest number of patients on the Tuesday after Christmas. I believe that all those involved in healthcare are working extremely hard to tackle this problem, and that includes the Secretary of State and his Ministers, with their work to do that and to move us towards a better and more sustainable future Hospitals across the country face huge pressures as we enter the winter period, as I have said. We increasingly have an ageing population, but the population is also increasing in numbers and many more treatment options are available than ever before. As we all know, many of those treatments come at a very high cost, but we would like to be able to meet that cost to help those patients. All these factors place challenges and pressures on the NHS, its staff and its resources. The impact of the ageing population has been raised with me by some of my local GPs, and we need to recognise and tackle this issue. I know that GPs in my surgeries would very much welcome the Minister if he were to drop by Aldridge-Brownhills on his way back to Shropshire one Friday for what would be a very useful and constructive roundtable discussion. That is an invitation to the Minister It is important to develop effective and integrated health and social care, but although money is an important factor, I do not believe this is just about money. In fact, the Secretary of State said in his speech today that we miss a trick if we say that it is. We forget that it is also about making progress on safety, standards and quality. I recall that a number of years ago, the headlines in the papers were always about really nasty hospital bugs and infections such as MRSA and clostridium difficile, and we have come a long way in working to combat those. I am proud that the Government are committed to the NHS, and that as we enter the winter period we have nearly 1,800 more doctors and nearly 3,000 more hospital nurses than we had a year ago. We have launched the largest ever flu vaccine programme and allocated £400 million to local health systems for winter preparedness, and we have bolstered support outside A&E with 12,000 additional GP sessions over the festive period. Of course, there is and always will be more to do, but I believe that we are rising to the challenge and will continue to do so. I am sure that the Secretary of State and his team will continue to rise to that challenge as well.
ParlaMint-GB_2017-01-11-commons.u388	I do not intend to take too long, because I am mindful of the fact that the motion refers largely to NHS England, but I am goaded to speak by the repeated references by the current Secretary of State, the previous Prime Minister and the current Prime Minister to the relative performance of the NHS in Wales. I want to take a few minutes to set the record straight and give a clearer illustration of the relative performance of the two NHS systems Before I do that, I want to reflect on the interesting, thoughtful speech that the Prime Minister gave earlier this week about her desire to create a “shared society”, as she put it, in Britain. I read the speech, as many Members did, and felt that it set out precisely what all Governments ought to be doing at all times. In one passage, the Prime Minister said: “That is why I believe that…the central challenge of our times is to overcome division and bring our country together.” She said that she wanted to create “a society that respects the bonds that we share as a union of people and nations.” I completely agree with her about that, but I find it impossible to reconcile that stated objective and rhetoric with how she and, in particular, her predecessor have sought to divide this country on the NHS. They have illegitimately demeaned the performance of the NHS in Wales, demoralised its staff and destroyed confidence and faith in it among Welsh citizens. With a few statistics, I hope to illustrate how misleading some of the representations in recent years have been The first statistic is that the previous Prime Minister referred to the NHS in Wales in a disparaging fashion 37 times, on every occasion as a political attempt to militate against criticism of the NHS in England. That broke the important bonds between different parts of the UK. I will state a few of the facts. The entire budget for Wales is about £15 billion per annum, and £7.1 billion of that is spent on the NHS. That is 48% of all spending by the Government in Wales. The difference between that and the situation in England is enormous. In England, the NHS budget is £120 billion, and the entire budget of the country is about £750 billion, so 16% of the budget is spent on the NHS in England and 48% in Wales. The Welsh Government’s headroom to expand spending on the NHS instead of other areas is therefore dramatically less than in England. That is the first illegitimate way in which the Government have manipulated statistics on the issue Secondly, over the past six years, the Government have repeatedly referred to the lesser spending on the NHS in Wales than in England per head or in percentage terms. We have heard that three times today already. The truth is that in 2010 the Welsh Government, with the lower headroom that I have mentioned, chose to reduce spending on the NHS by 1% compared with the previous year. In England, there was flat cash spending. That 1% reduction was made to increase and prioritise spending on education in Wales. Since then, we have seen successive rounds of investment by the Welsh Government: £80 million was announced this week for a new treatment fund; last week, there was £40 million for capital spending. It is now broadly comparable in percentage terms. In fact, last year in Wales we spent £2,026 per head, while England spent £2,028. The difference is negligible. If we add health and social care together, we find that Wales spent 6% more per head than England. These are the realities of the comparative spending What has this given us in outputs? There are some things that the Welsh NHS does worse. In Wales, we wait longer for some diagnostic treatment. There is a need to spend more on more MRI scanners and CT scanners. Part of the issue, however, relates to an older and sicker post-industrial population, rural sparsity and a lesser ability to attract people to some of the more far-flung hospitals—all perfectly explicable and reasonable. In England, over the past nine months, we have seen the biggest rise in waiting lists for nine years In other areas, Wales does well. On the crucial eight-minute ambulance response time, 77% of calls meet it in Wales, against only 67% in England. Most would agree that the 62-day cancer treatment target is vital, but in England it is consistently missed. In England, on average, 81% of people are treated within the target time; in Wales, the figure is currently 86%. There are other areas I could turn to. A&E is the crucial area we are looking at today. In Wales, 83% of patients are currently seen within the four-hour target. In England, the figure is 88%. There are 150 A& E departments in England and only six or seven in Wales, so this is another completely ludicrous and, in many respects, meaningless statistical comparison. Thirty seven of the 150 A&E departments in England are below the Welsh average. Several of the Welsh trusts are up at the 95% or 98% mark. This is a further illustration of how meaningless, misleading and frankly abusive it has been of the Tories to use the Welsh NHS as a stick to score political points In conclusion, the truth about the Welsh NHS is that it performs excellently in some areas and that it could be improved in others. As the OECD said, in a 10-year study of all the healthcare systems across the country, no one part of Britain performs demonstrably better or worse than any other. That is the truth about the differences between our NHS in this country. The Minister, the Prime Minister and the Secretary of State need to remember that they are Ministers for the whole United Kingdom, not just England. Their duty is to increase the bonds of solidary, not destroy them.
ParlaMint-GB_2017-01-11-commons.u389	This has been an absolutely first-rate debate, with a number of extremely fine contributions. I was particularly taken, as ever, by the remarks of my hon. Friend the Member for Totnes (Dr Wollaston), the Chairman of the Select Committee. She rightly pointed out that we are all living longer, which is a great thing, but that unfortunately our healthy lives are not expanding. This causes real problems for A&E, which has to deal with that. Although we talk about large numbers of people passing through A&E departments—they are dealing with more people all the time—the truth of the matter is that it is those with chronic long-term and complicated conditions who tend to assume the lion’s share of A&E resources and those of the rest of the secondary care system. As we get older, there will be more and more of such cases. We need to prepare for them We also need to militate against those cases. One thing that has not been discussed very much this afternoon is prevention and public health: our need to ensure that we deal with things that are avoidable. The Prime Minister, in her excellent speech on Monday on the shared society, rightly said: “We live in a country where if you’re born poor, you will die on average 9 years earlier than others.” That is absolutely appalling and we should all be ashamed. Half that health inequality is due to tobacco consumption. Someone in a manual occupation is far more likely to be a smoker or to smoke more than a professional or managerial person. We have to be serious about controlling the scourge of tobacco. I encourage Ministers to produce the tobacco control plan, which is now overdue, as soon as possible, as we need to deal with this issue. I hope that the plan will contain some helpful remarks on the tobacco duty escalator and the licensing of retailers and involve serious conversations with supermarkets. The aim must be to reduce the availability of tobacco, reduce consumption and therefore reduce the burden of diseases that are affecting our NHS and having appalling consequences for citizens I very much support the Government’s amendment to the motion. I was not present when the hon. Member for Central Ayrshire (Dr Whitford), who speaks for the SNP, was speaking about community hospitals. I am sorry about that, because community hospitals are particularly important to me and I would have liked to respond to some of her remarks. I have community hospitals in my area. In particular, there is one serving my constituency at Shaftesbury that is threatened with bed closures under the STP. We need to be very careful about short-term funding cuts that might appear expedient, when we have not properly costed the service. Providing that the case mix is right—and traditionally case mixes have been pretty appalling in the NHS—community hospital beds can provide a cost-effective means of treating people, particularly the elderly, in a setting close to their homes rather than in large acute hospitals, which are the wrong places for elderly sick people. Community hospitals can deal quite effectively with some of the delayed discharge problems currently afflicting our system. As Members of Parliament, we are all sometimes faced with the political choice of whether to oppose, for our own expediency, the closure or reorganisation of services. I have faced that in my constituency. I was pleased to hear my right hon. Friend the Member for Chelmsford (Sir Simon Burns) say that sometimes we need to be brave when approaching such matters If we want to drive up standards and outcomes in our NHS, we will have to look increasingly at specialist centres, which will inevitably mean service reconfiguration and probably some closures. That will be disagreeable to many colleagues, but specialist centres certainly improve standards and outcomes for things such as cancer, strokes and heart attacks, and that implies regional and sub-regional services. I would not be one to oppose a closure, reorganisation or reconfiguration for its own sake. We have always to understand that resources are finite and that we need to get the best service and outcomes for the money available I say gently to the Minister that we need to look at funding. He will be aware of the campaign by the right hon. Member for North Norfolk (Norman Lamb), which I support, in relation to a commission or convention. It seems a non-partisan way of trying to approach the very difficult conundrum of how we will fund the NHS going forward. I commend it to the Minister. I was pleased to hear the Prime Minister say at lunchtime that she was prepared to meet colleagues concerned about the issue to see whether this proposal could be a productive and helpful way forward. We do not spend as much on the NHS as we need to. That is the bottom line. It is no good people saying we spend 1% above the OECD average. That is not good enough, given that the OECD includes countries with which most people in this country would not wish to be compared. As the Government of the day made clear several years ago now, we need to close the gap with the EU 15, particularly with countries such as Germany, France and the Netherlands, whose outcomes are much better than ours. It is no coincidence that they spend much more on healthcare Today, the chief executive of the NHS is being examined by the Public Accounts Committee. I hope he will be examined on the £22 billion efficiency measures that he felt might be achievable in the five year forward view. Two years in and it is clear that those savings will not be met—they never were going to be met. We need to determine how we are going to make up the delta—the difference—between the efficiency measures that the NHS can reasonably achieve and those projected two years ago I want to finish by congratulating the Minister and the Government on achieving what they have. We have heard how things have improved in recent years, particularly in relation to such things as activity and hospital infections, but there is much more to do. In particular, I hope he will look closely at the funding issue.
ParlaMint-GB_2017-01-11-commons.u390	This is a vital issue, and I congratulate my hon. Friend the Member for Leicester South (Jonathan Ashworth) on bringing it before the House. The pressures on our national health service have a multitude of causes. Many of them are societal: whoever was in power would be dealing with an ageing population, limited financial resources and global competition for skills. However, many aspects of the crisis have a political origin, and the Government cannot continue to avert their eyes from that In my contribution today, I want to talk about my own experience of the pressures that our NHS staff, and particularly those in A&E, are facing and ask Members to walk a mile in the shoes of those who are on the frontline, making life-and-death decisions every single day. My exposure to these pressures is both professional and personal. Professionally, in common with many other MPs, I have recently spent time in the A&E department of my local hospital, the Chesterfield royal, shadowing staff on the watch. I have said that my exposure to these issues was also a personal one. Last year, on Friday 15 July, my father died of an aneurysm. Four days earlier, he had been sent home from the A&E department at Coventry and Warwickshire hospital with what a vascular surgeon described at my father’s inquest as “classical aneurysm symptoms”. With a history of vascular problems and a previous near-fatal aneurysm, he presented at the hospital’s A&E department, suffering extreme pain in his right groin, radiating to side and back. He was described as being confused and uncommunicative. Yet, after five hours in A&E, he was sent home in a taxi. Four days later, he died in my arms Although individual mistakes by an experienced and, I believe, respected A&E registrar were clearly made in this case, what was particularly haunting was his response to questions during the inquest about why my father was sent home. He recounted the pressures in the A&E department that day, and said that it was non-stop and particularly busy on that Friday afternoon, so that from one case to another, he was constantly having to decide, as he did most days, which sick patients, all of whom needed to be in a hospital bed, to send home this time. He said: “There simply aren’t enough beds for those who need to be in them, so every day we have to make these choices. I probably sent home 5 people that day who should have been in a hospital bed, but those are the choices we are left with, when there aren’t enough beds” He asked if my father minded going home and when he did not object, he stuck him in a cab These pressures and these life-or-death decisions are not unique to that registrar or that hospital. Dr Stephen Hitchin, an out-of-hours doctor and an A&E doctor at Chesterfield royal said: “Chesterfield Royal Hospital have confirmed to the CCG today that they are experiencing SEVERE pressure (RED STATUS) in A&E, Emergency Management Unit, Clinical Decision Unit and critical care beds…This has come from a toxic combination of underinvestment, social care cuts, staff cuts, poor planning and GP surgery shortages. This is a failure of policy from this Government plain & simple. They are to blame & must take responsibility & action to correct this crisis” Another consultant said: “The only thing keeping the wheels even vaguely on is a grim determination and professionalism. Any good will to the system was eroded months ago. The government have thought that Emergency Departments can just soak up exploitation and abuse ad infinitum but we can’t. We have exceeded ‘acceptable tolerances’ long ago.” If that is the experience of people working within the system, how can we be surprised when it leads to personal catastrophes? How can we be surprised when doctors on whom we have spent tens of thousands of pounds to train, take the expensive training and move to other countries where they feel they are better appreciated? The experiences of those consultants and registrars were echoed by those I met when shadowing the A&E department at Chesterfield royal. Other issues emerged. Certainly there were people in the A&E department who were not urgent cases and should have been at their GP. When I asked one of them why he had come to A&E, he said it was because he had been trying to get a doctor’s appointment for three days at his GP surgery and just could not get one. The scale of the GP crisis is adding to our A&E crisis, not just because people present who should be seeing a GP, but because problems that could have been sorted out or identified if they were seen early enough escalate without access to primary care. The Government must take responsibility. The cuts in training budgets in 2010-11 and 2011-12 were catastrophic for the provision of the next generation of staff, and we are now reaping the full cost of that decision. Quite apart from the ethics of having to rely on overseas staff to keep our NHS sustainable and the impact that has on health services in developing countries, it is crazy that, at a time of a global shortage of trained medical staff, the Government deliberately cut off the flow of new home-grown recruits The story is similar in nursing. In 2010-11, 25,525 students enrolled on a nursing degree course, but owing to budget cuts, that number had been reduced by nearly 15% within two years of a Tory Government, and even now it is more than 10% down. The staff shortages have also led to a ballooning of agency costs: in the past two years, an additional £2 billion has been spent on agency staff. More and more money is being spent on extra staff and not, as it should be, on patient care We need to remind ourselves that things were different under a Labour Government. A Labour Government led to record NHS satisfaction levels, achievement of the 98% waiting target, a sustainable GP and A&E system, and, in the words of the King’s Fund, the most efficient health service in the world. The Labour Government led to much higher patient expectations, but under the present Government that progress is being eroded. By 2008, after 11 years of Labour investment, the UK’s health spending had finally caught up with that of leading EU nations, but OECD figures show that, once again, our spending is now “significantly below” theirs I am ashamed to say that I am grateful that my father experienced his first life-threatening aneurysm on holiday in Germany. The quality of the emergency care that he received in Munich saved his life and gave us, his family, three more years with him. I regret that the same could not be said of our NHS last year We have it in our hands to make our NHS once again a service admired around the world. Although the challenges that it faces are substantial, they are also predictable. If the Government had listened to those who questioned their cuts in training, the impact of pension reforms on GP retention, the impact of GP shortages on A&E departments and the impact of care cuts in the poorest areas on our health service, we would not be facing the crisis that we face today. The call for further action on A&E waiting times and investment in our care system cannot be ignored The Government seem to be presiding over the managed decline of our NHS, but the scale of this crisis will engulf them if action is not taken now. It means old people struggling to cope; it means the disabled being left in their homes rather than being able to take advantage of things that we all take for granted; and it means people being sent home from A&E departments to die. We must do better.
ParlaMint-GB_2017-01-11-commons.u391	There is no NHS A&E waiting crisis in my constituency, because there is no A&E unit. It was closed a dozen years ago by the then Labour Government, and people who need to access emergency services must now travel nearly 10 miles on single-carriageway roads to East Surrey hospital. That is the legacy of the Labour Government in my constituency I am pleased to say that since 2010 services have been returning to Crawley hospital as a direct consequence of the protection and, indeed, enhancement of the health budget to which the Government have committed themselves, and to which they are still committed. I know that this is often dismissed by the Labour Opposition and by others, but it is quite significant that the NHS asked for an additional £8 billion for the coming period and the Conservative Government are delivering £10 billion of extra investment. That has a very real effect I do not deny that there are huge pressures on our health service. As many Members have pointed out today, we have an ageing and a growing population. It is fortunate that people are living longer because new drugs are available to treat conditions that were previously not very treatable, but that puts additional pressure on the health service, although, in a way, those are nice problems to have We should not use this issue as some sort of political tit-for-tat. Concern for the health service and our wellbeing is felt by us all, both for ourselves and, of course, for our families and loved ones. I think that, when discussing how to address the increasing health needs of our nation, we should focus on constructive arguments rather than the political point-scoring of which we have heard so much today. I have to say that, as other Members have mentioned, in the 33 minutes of the shadow Health spokesman’s speech we did not hear a single policy suggestion on how under a Labour Administration there would be a different approach to the NHS I am delighted to say that Crawley this week celebrates the 70th anniversary of being designated a new town. One of the most disastrous decisions in those 70 years was the loss of the A&E in 2005, although, as I have said, some services are returning. Just yesterday, a new clinical assessment unit was opened that seeks to do precisely what we have been discussing: take pressure off A&E whereby those who should not be treated in an emergency environment are triaged and signposted to better support services. That unit is to be welcomed. In recent years, a new 24-hour, seven-day-a-week urgent care centre opened in Crawley hospital as well as an out-of-hours GP surgery. As we strive to achieve that 24/7 NHS, all these steps are ways we can better serve patients and relieve pressure on emergency care in the whole system, which almost every winter comes under additional strain I will support the Government amendment this evening, because we need to recognise the hard work done by our NHS staff and the additional investment. This is not just about funding, however; it is also about the way we deliver healthcare in an acute setting when people present Finally, I want to touch on social care, because, of course, health and social care are inextricably interlinked. We have an ageing population, as many Members have mentioned, and it has increasing health needs. One of the areas of increased health need is dementia, and I am pleased to say Crawley was one of the first designated dementia-friendly towns. That is not just a label; it means multi-agency working between health and local authorities, and indeed the voluntary and private sector, to ensure those with dementia are better supported. I am delighted to announce that recently a new ward, the Piper ward, was opened in Crawley hospital. It is a dementia-friendly ward specifically to better treat the health and social care needs of our elderly population I could say much more in this debate, which is of importance not just today but throughout this Parliament, but as we have limited time I will let other Members contribute, too.
