ParlaMint-GB_2017-02-21-commons.u1	1. When he next plans to meet the US Secretary of State.
ParlaMint-GB_2017-02-21-commons.u300	I will not press new clause 6 to a vote. I do not believe that the Minister has really answered the points that have been made by hon. Members across the House. I am sure that this matter will be picked up in the other place, and I reserve the right to pick it up once again with my right hon. Friend the Member for Barking (Dame Margaret Hodge) when it returns to this place.
ParlaMint-GB_2017-02-21-commons.u301	My new clause 2 was drafted and tabled before Christmas. Since then, I have had a number of meetings with my hon. Friend the Minister and we have also seen the Ministry of Justice’s call for evidence in relation to corporate criminal liability. In the light of what he has said this afternoon, I beg to ask leave to withdraw the clause Clause, by leave, withdrawn. New Clause 17 Public Registers of Beneficial Ownership of Companies registered in Crown Dependencies ‘(1) In Part 1 of the Proceeds of Crime Act 2002 (introductory), after section 2A, insert— “2AA Duty of Secretary of State: Public registers of beneficial ownership of companies registered in Crown dependencies (1) It shall be the duty of the Secretary of State, in furtherance of the purposes of— (a) this Act; and (b) Part 3 of the Criminal Finances Act 2017 to take the actions set out in this section (2) The first action is, no later than 31 December 2017, to provide all reasonable assistance to the Governments of Crown Dependencies to enable each of those Governments to establish a publicly accessible register of the beneficial ownership of companies registered in that Government’s jurisdiction (3) The second action is, no later than 31 December 2019, to publish legislative proposals to require the Government of any Crown dependency that has not already established a publicly accessible register of the beneficial ownership of companies registered in that Government’s jurisdiction to do so (4) In this section— “a publicly accessible register of the beneficial ownership of companies” means a register which, in the opinion of the Secretary of State, provides information broadly equivalent to that available in accordance with the provisions of Part 21A of the Companies Act 2006 “legislative proposals” means either— (a) a draft Order in Council; or (b) a Bill presented to either House of Parliament.” —(Dr Huq.) Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2017-02-21-commons.u302	On a point of order, Mr Speaker. I wonder whether you could advise me. I have been to Downing Street today, along with a constituent who had travelled all the way from west Cumbria to hand in a petition. Unfortunately, we were turned away at the gates. I was told that I would not be allowed to go to Downing Street to hand in a petition that had been booked in through the proper procedures. We had been offered a time to hand in a petition about health services, so it was understood what the petition was about. However, when I asked the security officer from No. 10 Downing Street why I was not allowed to hand in the petition, as had been agreed, he told me that today was “not a good day”. When I pressed him, he told me that I could hand in the petition “after Thursday” I am concerned that I have been prevented from handing in a petition that was properly booked in, through the proper procedures, because of a by-election, and that this has been politicised. Can you advise me, Mr Speaker, on what is my best course of action?
ParlaMint-GB_2017-02-21-commons.u303	I am grateful to the hon. Lady for her point of order and for giving me a moment’s notice of it. She is clearly concerned and aggrieved. My initial response is to say to her that this is not a point of order for the Chair, or, for that matter, a subject for the House authorities. I understand her concern, not least in terms of personal inconvenience, and I trust that her point of order has been heard on the Treasury Bench. It is very much a matter for Ministers, with whom it has not been registered, but I repeat that it is not a matter for the Chair Third Reading
ParlaMint-GB_2017-02-21-commons.u304	I beg to move, That the Bill be now read the Third time Financial profit is at the heart of almost all forms of serious and organised crime, which directly affects the most vulnerable in society. The Bill will significantly improve our ability to tackle money laundering, corruption, tax evasion and terrorist financing. It is a key part of the Government’s critical work to reduce the flow of dirty money into the City and to cut off the funding streams to the fraudsters, money launderers and kleptocrats This country is the largest centre for cross-border banking. The UK is, and will remain, a good place to do business. However, the National Crime Agency estimates that up to £90 billion may be laundered here each year. I have made it clear—as has my right hon. Friend the Prime Minister and, indeed, her predecessor—that we need to make the UK a hostile environment for those seeking to move, hide and use the proceeds of crime and corruption. In an increasingly competitive international marketplace, the UK simply cannot afford to be seen as a haven for dirty money. We must not turn a blind eye to the money of corrupt officials that flows through businesses, banks and property, and that is why the Bill is so important I thank the shadow Home Secretary, the right hon. Member for Hackney North and Stoke Newington (Ms Abbott), and the hon. Member for Ealing Central and Acton (Dr Huq), as well as the hon. Members for Dumfries and Galloway (Richard Arkless) and for Kirkcaldy and Cowdenbeath (Roger Mullin), for their input throughout the Bill’s passage so far. Other hon. Members have also brought considerable knowledge and expertise to the proceedings The Government, and I as the Minister concerned, have been determined to be open to input from all parties, and I am pleased that we have made some concessions towards addressing the issues raised. I know we have not dealt with all the concerns raised, but I hope that I have made sure that the Bill leaving this place is better than when it was introduced and that it has taken on the points raised by both the Labour party and the SNP, and indeed by my hon. Friends on the Conservative Back Benches We had further detailed debate of the Bill on Report today, with many well-informed contributions from all parts of the House. The debate has covered the scope of the unexplained wealth orders and other powers in part 1 of the Bill, as well as the corporate offences regarding the failure to prevent the facilitation of tax evasion Of course much of today’s debate has focused on issues that were not part of the Bill itself, notably the new clause in the name of my hon. Friend the Member for Esher and Walton (Mr Raab) and the right hon. Member for Barking (Dame Margaret Hodge) and others, which sought to impose sanctions on those involved in gross human rights abuse or violations overseas. The strength of feeling on this issue is clear, and the treatment of Sergei Magnitsky was undeniably deplorable This Government are committed to promoting and strengthening universal human rights globally. Our approach focuses on holding to account those states responsible for the worst violations of human rights and working with those states determined to strengthen protections against abuse. But we have listened to the House, and our amendment will allow for the recovery of property connected with torture or cruel, inhumane and degrading treatment overseas. This sends out the strong message that those seeking to profit from torture and other serious abuses will not be able to do so in the UK The House also debated the commitments made by the overseas territories to tackling corruption and money laundering in their financial systems. The UK is at the forefront of the global approach to increasing corporate transparency and tackling tax evasion and corruption. That work started under David Cameron, and it continues I share the desire for the Crown dependencies and overseas territories to take further steps towards full corporate transparency. That is why this Government continue to work closely with them towards that goal, but we must recognise the significant progress they have already made, putting them well ahead of many other jurisdictions The Bill and the wider package of measures of which it is a part will give agencies the powers they need to ensure that crime does not pay in a Britain that works for everyone. It is important that these powers are available to all parts of the UK, but, as I have said, we will await the outcome of elections in Northern Ireland before we commence the provisions there The need for this legislation is significant and particularly timely as we negotiate our future relationship with the European Union. Now, more than ever, we must showcase the UK as one of the best places in the world to do business, as we form new ties with international friends and partners Serious and organised crime costs the UK at least £24 billion annually and deprives people of their security and prosperity. We task our law enforcement agencies with combating the evolving threat from both criminals and terrorists, and I pay credit to those agencies for all the work they do on our behalf, but without the necessary powers to pursue and prevent these illicit activities, they fight a losing battle This Government have done more than any other to tackle money laundering and terrorist financing, but the scale of the threat is clear and we must do more. This Bill sends the clear message that we will not stand for money laundering or the funding of terrorism through the UK, and I commend it to the House.
ParlaMint-GB_2017-02-21-commons.u305	We in the Opposition broadly support the thrust of this legislation, and we have noted that the Minister has proved to be a listening Minister, which we welcome Tax avoidance and money laundering are the opposite of victimless crimes. In the first instance, there are inflated asset prices in the territories where the money is laundered, and there is no bigger example of that than the housing market in this country, particularly in London. In some of the most expensive parts of London, we can walk down streets where most of the houses are completely empty. Some might be empty because it is the wrong time of year for their owner to be there, and others because they have been bought as an investment, but increasing numbers of those properties are being used to launder money, and if this legislation can bear down on that, it will be of value not least to people who are victims of the wildly inflated London housing market Tax avoidance and money laundering mean a loss of tax for some of the poorest communities in the world. I was in Ghana last year looking at tax avoidance and evasion, and I was struck by the fact that a woman selling drinks by the side of the road could pay proportionally more tax than some of the biggest drinks manufacturers in the world. These are distorted systems of taxation, and if this legislation can bear down on that type of tax avoidance, it is to be welcomed. I was pleased to hear the Minister say that we are beginning to return money to some of those territories, notably Macau. I believe that we have also signed an accord with Nigeria. Above all, this legislation is important for suppressing corruption. It is not just a law-enforcement measure; it is also, indirectly, an anti-corruption measure I remind the House that the genesis of the Bill was the Panama papers, which revealed extremely widespread and highly lucrative avoidance of tax on an industrial scale. There were 11 million leaked files, and Britain was the second most prominent country in which the law firms’ middlemen operated. It was second only to Hong Kong. One British overseas territory, the British Virgin Islands, was by far the most popular tax haven state used by the firms in the documents. The Minister has said that we are at the forefront of taking action on tax avoidance and money laundering, and so we should be. The UK has sovereignty over one third of tax havens internationally We welcome the Government’s new clause 7, which will bear down on money recycled as a consequence of human rights abuses elsewhere. We still believe that there is insufficient scope for the civil recovery of assets, and the enforcement powers in the civil recovery provisions could be improved. There are particularly important omissions regarding the penalties for offences relating to the facilitation of tax avoidance, involving middlemen such as lawyers, accountants and straightforward spivs such as those identified in the Panama papers On the disclosure of beneficial ownership, we feel that there is a major problem, as the lack of disclosure can help to facilitate money laundering and corruption. Let us take an example. In the Department for Business, Innovation and Skills consultation paper published in March 2016, the Government said that between 2004 and 2014, more than £180 million-worth of property in the UK was being investigated by UK law enforcement agencies as it was suspected of being funded by the proceeds of corruption. Moreover, more than 75% of those properties had offshore corporate ownership. That is believed to be the tip of the iceberg in terms of scale and of the proceeds of corruption being invested in UK property through offshore companies On the British overseas territories and Crown dependencies, I understand the technical argument that we cannot apply the same regime to those areas, but the moral issue is substantially the same. Some Members have spoken as though the populations of those territories as a whole benefit from financial services, but that is not the case. Only in recent years has the financial services industry been open to employing people born and bred on those islands in advisory, legal and management positions. Just because the political elites in those countries argue for light-touch regulation, let us not delude ourselves that financial services are helping the territories as a whole. We believe that the argument that we cannot impose proper standards on those territories is false. UK jurisdiction applies in all matters of defence and security, and the House has a right and a duty to see how best to impose those laws The people who are benefiting from the secrecy and the lack of regulation are the tax evaders and avoiders, the money launderers, the major criminal enterprises and the terrorist networks. We urge the Government to move forward on those issues. If legislation is required for onshore activity here in the UK, most reasonable people would argue that it is even more pressing to include overseas territories and Crown dependencies The Opposition are calling for a wide-ranging review of the UK tax gap, including an assessment of the loss of income tax due to tax evasion. As several Members on both sides of the House have said, if the legislation simply rests on the statute book and does not result in commensurate prosecutions, it will be a dead letter. We note that the Minister has listened thus far, and I hope that the Government and the appropriate Departments are listening when I urge them to ensure that the legislation amounts to more than just good intentions and that it is actively used to bear down on tax evasion, money laundering and corruption.
ParlaMint-GB_2017-02-21-commons.u306	This debate has been concluded with notable speed Question put and agreed to. Bill accordingly read the Third time and passed.
ParlaMint-GB_2017-02-21-commons.u307	I beg to move, That the draft Social Security Benefits Up-rating Order 2017, which was laid before this House on 16 January, be approved.
ParlaMint-GB_2017-02-21-commons.u308	With this we shall consider the following motion: That the draft Guaranteed Minimum Pensions Increase Order 2017, which was laid before this House on 16 January, be approved.
ParlaMint-GB_2017-02-21-commons.u309	With the leave of the House, and as you have indicated, Mr Speaker, my remarks will cover motions 3 and 4 on the Order Paper. In my view, the provisions in both orders are compatible with the European convention on human rights I will first deal with an entirely technical matter that we attend to in this place each year and that I do not imagine we will need to dwell on today. The Guaranteed Minimum Pensions Increase Order 2017 provides for contracted-out benefit schemes to increase members’ guaranteed minimum pensions that accrued between 1988 and 1997 by 1% The Social Security Benefits Up-rating Order 2017 reflects the Government’s continuing commitment to increase the basic and new state pension with the triple lock by 2.5%, to increase the pension credit standard minimum guarantee in line with earnings, and to increase benefits to meet additional disability needs and carer benefits in line with prices. The Chancellor reaffirmed this Government’s commitment to the triple lock for the length of this Parliament in his autumn statement on 23 November last year, ensuring that the basic state pension will continue to be uprated by the highest of earnings, prices or 2.5%. This year, the increase in average earnings and the increase in prices were less than the baseline of 2.5%, meaning that the basic state pension will increase by 2.5%. From April 2017, the rate of the basic state pension for a single person will increase by £3 to £122.30 a week. As a result, the basic state pension will be more than £1,200 a year higher from April 2017 compared with April 2010. We estimate that the basic state pension will be around 18.5% of average earnings—one of its highest levels relative to earnings for over two decades Last year, the Government introduced the new state pension for people reaching their state pension age from 6 April 2016 onwards, making the system clearer and providing a sustainable foundation for private saving. The Government have previously announced that the triple lock will apply to the full rate of the new state pension for the length of this Parliament. This is the first year that the new state pension will be uprated. As a result, the full rate of the new state pension will also increase by 2.5% this year, meaning that from April 2017 the full rate of the new state pension will increase by £3.90 to £159.55 a week—around 24.2% of average earnings We are continuing to take steps to protect the poorest pensioners, including through the pension credit standard minimum guarantee, the means-tested threshold below which pensioner income should not fall. The pension credit standard minimum guarantee will rise in line with average earnings at 2.4%, meaning that from April 2017 the single person threshold of this safety net benefit will rise by £3.75 to £159.35. Pensioner poverty continues to stand at one of the lowest rates since comparable records began On the additional state pension, this year state earnings-related pension schemes, the other state second pensions and protected payments in the new state pension will rise in line with prices, by 1%. The Government will continue to ensure that carers and people who face additional costs because of their disability will see their benefits uprated in the usual way, so disability living allowance, attendance allowance, carer’s allowance, incapacity benefit and the personal independence payment will all rise in line with prices, by 1%, from April 2017 In addition, those disability-related and carer premiums paid with pension credit and working-age benefits will also increase by 1%, as will the employment and support allowance support group component and the limited capability for work and work-related activity element of universal credit This Government will be spending an extra £2.5 billion in 2017-18 on uprating benefit and pension rates. With the guaranteed minimum pensions increase order we continue: to maintain our commitment to the triple lock for both the basic and the new state pension for the length of this Parliament; to increase the pension credit standard minimum guarantee by earnings; and to increase benefits that reflect the additional costs that disabled people face as a result of their disability, and carers’ benefits, in line with prices. That includes increases to the disability living allowance, attendance allowance, carer’s allowance, incapacity benefit, the personal independence payment and disability carer premiums I commend the orders to the House.
ParlaMint-GB_2017-02-21-commons.u310	I will start with some general comments on the Guaranteed Minimum Pensions Increase Order 2017 before turning to the Social Security Benefits Up-rating Order 2017 Clearly we support the uprating of the guaranteed minimum pension in line with prices. However, I wish to touch on issues raised in last year’s National Audit Office report on the guaranteed minimum pension and the new state pension arrangements that came into effect last year. As we have heard, the Guaranteed Minimum Pensions Increase Order provides an annual increase in the guaranteed minimum pension where there has been an increase in the general level of prices during the period under review When the additional state pension was introduced in 1978, an option was created under which an individual could contract out into another pension scheme on the basis that that other scheme met certain criteria. In that instance, both the employee and their employer paid a reduced national insurance contribution given that they were forgoing the state pension entitlements. Between 1978 and 1997, schemes that took on such new members were required to provide a guaranteed minimum pension—a new test was applied after 1997. Nevertheless, contracted-out schemes still had to provide a guaranteed minimum pension to scheme members for rights accrued between 1978 and 1997 In 2016, the introduction of the new state pension ended contracting out by replacing the additional state pension with a single tier. Working-age people will now have their existing state pension entitlement adjusted for previous periods of contracting out and transferred to the new state pension scheme. Occupational pension scheme providers will continue to revalue any guaranteed minimum pensions that people have built up For people retiring after 6 April 2016, the Government will no longer take account of inflation increases to guaranteed minimum pensions when uprating people’s new state pension. The changes mean any guaranteed minimum pensions accrued between 1978 and 1988 will not be uprated, and the scheme provider will uprate guaranteed minimum pensions built up between 1988 and 1997 only to a maximum of 3% each year The National Audit Office was contacted by people approaching retirement age who had concerns that the new arrangements for a single-tier state pension will leave them worse off than they would have been under the guaranteed minimum pension. People also raised concerns about the lack of notice. Where have we heard that before? The NAO investigated and concluded that there would be some winners and some losers under the new arrangements, depending on the amount of time that people were contracted into a scheme. The NAO also commented that, again, there had been a dearth of information for those new retirees The NAO suggested that those who lose under the new rules may be able to build up additional entitlement to the state pension. The report recommended that the Government, via the Department for Work and Pensions, improve their evidence and analysis of the impact of these reforms, and provide much clearer, targeted information to the public about how they will be affected. I would be very grateful if the Minister updated us on how her Department is responding to the findings of the NAO report The Social Security Benefits Up-rating Order 2017 provides for the annual uprating of social security entitlements excluded from the Government’s freeze to levels of social security enacted in the Welfare Reform and Work Act 2016. This year, the Secretary of State has decided to uprate social security entitlements by inflation under the consumer prices index measure, which is at 1%. As the Minister explained, that covers attendance allowance, carer’s allowance, disability living allowance, the personal independence payment, industrial injuries disablement benefit, bereavement benefits, incapacity benefit and severe disablement allowance, to name but a few. The Secretary of State has also decided to uprate the new state pension in accordance with the triple lock, and pension credit in line with earnings, at 2.4% We would not stand in the way of measures to increase the adequacy of the social security safety net provided by those benefits, especially not after seven years in which the system has been under considerable attack. We will therefore support the uprating order, but I must take this opportunity to expand on my real concerns about the inadequate uprating, particularly in the context of the freezing of many social security payments under last year’s Welfare Reform and Work Act, and the real cuts to some kinds of social security support, such as the employment and support allowance, the support for those in the work-related activity group, the universal credit work allowances, and the widow’s pension allowance, which we discussed yesterday, again to name just a few. This is an erosion of the adequacy of social protection for those who are often the most vulnerable in society.
ParlaMint-GB_2017-02-21-commons.u311	Surely the shadow Minister recognises that our support for those with long-term health conditions and disabilities has increased by £3 billion a year, to a record amount. That shows that we are directing money to the most vulnerable in society—rightly so.
ParlaMint-GB_2017-02-21-commons.u312	I am grateful to the former Parliamentary Under-Secretary of State for Disabled People. Actually, we know that social security support will have declined by 2020.
ParlaMint-GB_2017-02-21-commons.u313	indicated dissent.
ParlaMint-GB_2017-02-21-commons.u314	The former Minister shakes his head, but these are the Government’s own figures. If we look at spending across Europe as a percentage of GDP, we see that we are below the EU average when it comes to social security spending, just as we are on health spending Let us start with rising costs. Traditionally, the link between social security and inflation has ensured that some of the most vulnerable households in our country are not made worse off, year on year, by inflation in the cost of basic goods and services. The adequacy of social security has been heavily eroded over the past seven years. Research by the Joseph Rowntree Foundation demonstrates that the price of essentials has risen three times faster than wages over the past 10 years. When that is combined with the coalition’s initial 1% freeze on uprating, introduced in the Welfare Reform Act 2012, and the complete social security freeze put in place in last year’s Act, it means that low-income households have seen a significant deterioration in the adequacy of social security support since 2010 Clearly, the historic drop in oil prices and subsequent slow-down in inflation of the price of household goods provided some respite to low-income households, but we know that the impact of the EU referendum on, for example, food and fuel prices is only just starting. People on low incomes spend a much larger proportion of their household budgets on the essential goods and services that have been so prone to inflation, so they are likely to have felt the effects of spiralling prices long after they have slowed down The costs of basic household items are beginning to rise again, with last month’s official figures showing inflation at a two-year high of 1.8%. I understand that the actual increase in food prices has been approximately 20%, but that has only just started to be passed on to consumers, so it is going to get worse. That puts real pressure on households that are trying to provide for their basic needs. Indeed, last week the Joseph Rowntree Foundation published a report showing that 19 million people are now struggling to make ends meet and get the basics required for a socially acceptable standard of living In the context I have set out, a 1% uprating to some social security entitlements is unlikely to do much for those who are struggling to get by. If the Prime Minister is really serious about helping those people, I urge that there be some reconsideration. As a matter of principle, it seems only fair that social security should rise in line with inflation and should apply to all entitlements, not just the ones that the Government have cherry-picked. Although the economic arguments for a freeze may once have been founded on the slow-down in the prices of the basics that every household needs, now that prices are predicted to rise by 10% by 2020 even that weak economic justification no longer stands up. That is before we even get to the social argument for protecting the incomes of the poorest people in our society, whom this Government have set out to punish over the past seven years In last year’s inquiry by the all-party group on health into the effect of the Welfare Reform and Work Act 2016 on child poverty and child health, the freeze on social security support payments was singled out as the most damaging. I remind Members that the Institute for Fiscal Studies estimates that child poverty will increase by around 1 million as a direct result of social security and tax changes, and that will impact on those children’s health and futures. I make an impassioned plea to the Government and the Minister: we are approaching April, when several other disability benefits will be cut; I urge the Government to reconsider I shall not detain the House any longer. I urge the Government to review the cap before price inflation begins to pick up again. If they really cared about those struggling to make ends meet, that is exactly what they would do. In the meantime, although we regret the limit on the groups who will benefit from the uprating, we will support the order.
ParlaMint-GB_2017-02-21-commons.u315	I am glad we are able to debate these orders simultaneously. The Scottish National party will obviously not oppose the social security uprating order, and we certainly welcome the pensions uprating order, but this is an opportunity to put on record, again, our deep concern about the ongoing impact on low-income households of the freeze on working-age benefits. We are particularly concerned about tax credits, which are mostly paid to working families with children, and employment and support allowance, which is paid to those who are not currently fit for work but are in the work-related activity group Any of us who regularly pushes a trolley around a supermarket can be in no doubt that the price of basic foods and household essentials is rising, and rising sharply. The depreciation in the value of the pound last year has taken some time to filter through to retail prices, but increases in the price of imported food and other goods is now very visible. The Bank of England has made it clear that it expects inflation to remain well above the 2% target for several years Ahead of the Budget and looking further forward, I hope the Government will look again at the benefit freeze and recognise that those on low and middle incomes spend a much larger proportion of their income on essentials than wealthier households and are disproportionately affected by rising food and fuel prices. In that context, a 1% rise in those benefits that are included in the order is unlikely to keep pace with the increase in prices that we expect to see over the coming months. The hon. Member for Oldham East and Saddleworth (Debbie Abrahams) has already alluded to the Joseph Rowntree Foundation assessment of the rising costs of essentials, which should give us all pause for thought. One simple example is that many of the severely sick and disabled people who will receive a 1% uprating—those who receive ESA as part of the support group—have limited mobility and are likely to spend a lot of time at home. Inevitably, they incur high heating costs during the winter months, yet the cost of energy is rising. Some of the big energy companies have already made announcements of price increases, and others have said that they are set to follow. Benefits that will be uprated by 1% include most disability and carer benefits—ESA, carers and pensioners’ premiums, statutory maternity and paternity pay and statutory sick pay. All are paid to people who are likely to be disproportionately affected by rising energy costs, and all are paid to people who are unable to work or who are limited in their ability to work Financial hardship is an increasing reality for households affected by sickness and disability and, as prices rise, that will only get worse. Even with increases to the minimum wage and personal allowances, large numbers of working parents and disabled people are significantly worse off in real terms and are finding it harder than ever to make ends meet When even the Financial Times is highlighting, as it did earlier this month, the strains on household finances that are already apparent and is warning that “a combination of falling living standards and rising inequality would be extremely dangerous in today’s febrile politics”, we should really heed the warnings I want to turn now to pensions and highlight the proposed increase in the single-tier pension. This has been the first full year that the new single-tier pension has been in effect, but I get the very strong impression that it is poorly understood among the general public Although I welcome the 2.5% increase in the single-tier pension, I am not at all clear how many pensioners will actually receive the full benefit of that increase. We know that there are both winners and losers in the transition process and that most new pensioners will not receive the full single-tier pension. Before its introduction, it was estimated that only around 22% of women and half of men reaching state pension age would be entitled to the full single-tier pension. Perhaps the Minister can clarify what has happened in practice and whether those sentiments were right. What proportion of male and female pensioners have received the full whack, and what ongoing impact assessment has the Department undertaken Perhaps the Minister can give the House an update on the pensions dashboard. I get the sense that there are real gaps in most people’s knowledge of the new system and that many people coming up for retirement are in for a nasty shock when they realise that they will not be eligible for as much as they think In this context, it would be very wrong not to mention the WASPI women, many of whom got insufficient and wholly inadequate notice of the shift in their pension age, and who, as a consequence, will lose enormous sums of money over the course of their retirement This week, I had a letter from a constituent who is one of the WASPI women. She did not get proper information about the changes and she has had no time to plan for them. She is facing an uncertain future in more ways than one in that she is currently undergoing treatment for cancer. She says that she does not know whether she will ever receive her pension. She is hopeful that she will make a good recovery—certainly I send her my good wishes. She makes the sobering point that none of us knows what is around the corner. There is a basic injustice here and that is why, even though she is ill, she is determined to fight for a fairer settlement. We can and we must do better by these thousands of women who are losing out While we are on the subject of women and gender inequality in pensions, I have to say that I am sorry that, in the past year, the Government have removed savings credits for new pensioners. Around 80% of those who previously benefited from savings credit were women, most of whom will have spent their working lives in low-paid jobs and are unlikely to have had access to an occupational pension scheme. Nevertheless, these are people who have managed to save, against the odds, despite the limited opportunities available to them. There is little enough incentive for people in low-paid jobs to save, and reducing savings credit and abolishing it for new pensioners erodes that incentive even further Pensions uprating is a wistful dream for some pensioners. Those who have frozen pensions are left out of the uprating. That is still a very live issue, and one that is likely to be more acute in the months ahead. There are those who are entitled to a UK state pension by virtue of having worked for it and of having paid their contributions but who have, for whatever reason, spent their retirement domiciled abroad. They face very different circumstances depending on whether their country of residence has a reciprocal agreement with the UK for the uprating of state pensions. Those in countries that do not have a reciprocal arrangement with the UK see their pensions frozen at their initial retirement level so, in real terms, the value of their pension falls every single year There are thought to be more than half a million people with frozen pensions, mostly in Commonwealth countries such as Australia, Canada, New Zealand and South Africa, but also in countries with strong family and historical links to the UK such as India, Pakistan, parts of the Caribbean and Africa. The issue will only become more acute in the months ahead as the UK leaves the European Union and European economic area. UK pensioners who retire to sunnier parts of the continent—there are thought to be 400,000—currently get their pensions uprated throughout the EEA as normal, but reciprocal arrangements will need to be put in place when we leave the EU if those pensioners are not to find themselves in the same difficult situation as those living in Canada and Australia. I hope that the Minister will be able to share the Government’s thinking on that issue, and tell us what steps they are taking to protect UK pensioners who live in other parts of Europe We need to deal with the fact that many of those approaching pension age, who have lived through an era of globalisation, will have worked in several EU countries and may have accrued pension rights in several parts of Europe, with wee bits of pension in several systems. That is true for many people who have worked in global industries or for multinational corporations. It is a bit of a minefield, and it would be immensely helpful if the Minister offered reassurance to UK pensioners living in EU countries that those issues are on the Government’s radar and will be addressed. I hope that the Minister will take the opportunity to address all the issues I raised as she closes the debate.
ParlaMint-GB_2017-02-21-commons.u316	I thank the hon. Members for Oldham East and Saddleworth (Debbie Abrahams) and for Banff and Buchan (Dr Whiteford), speaking from the Opposition Front Benches, for their contributions. I will attempt to address the specific points raised in full The Government did respond to the National Audit Office report outlining the online Check your State Pension service, which now delivers personalised information to people many years in advance. The report also acknowledged that the aggregate impacts of the reforms need to be taken into account. Taking account of all elements of the reform, about 75% of people will receive more from the new state pension by 2030 than under the previous systems. There is no statutory requirement for formerly contracted-out pension schemes to increase for those accrued between 1978 and 1988. The Government do not intend to introduce legislation requiring those schemes to index pre-1988 guaranteed minimum pension rights. This needs to be set in context with the changes to the overall pensions landscape. Other aspects of pension reform may offset the loss of indexation—for example, maintaining the triple lock in this Parliament. Since 2011, the basic state pension has risen by £570 a year more than it would had it been uprated by earnings Work, not welfare, is the best and most sustainable route out of poverty, which is why our tax and welfare reforms are designed to ensure that work pays and that increased earnings are rewarded, rather than penalised. However, we remain committed to supporting people who cannot work and those with additional needs, which is why the orders provide for an additional £2.5 billion in 2017-18 to increase benefits for pensioners, carers and the additional costs of disability. We have had to make difficult decisions on spending. To protect those with additional needs, we are increasing the ESA support group component in line with the consumer prices index, and will also increase the enhanced disability, severe disability, carer and pensioner premiums The Government are committed to building a country that works for everyone, which is why the forthcoming Green Paper will identify and address the root causes of child poverty, building on the new statutory indicators of parental worklessness and children’s educational attainment, which were set out in the Welfare Reform and Work Act 2016 The hon. Member for Banff and Buchan will be aware that the current policy regarding overseas pensions is a longstanding one of successive Governments that has been in place for almost 70 years. Many Commonwealth countries, including Australia, Canada and New Zealand, have pension systems that take account of overseas pensions as part of their means test. That means that a significant proportion of any increases in the UK state pension would go to the respective Treasuries of those countries. The hon. Lady is, of course, right to point out the issue of British overseas pensioners in other EU member states. Let me reassure her that their rights are part of the negotiation process. The Government are committed to getting the best deal for those pensioners The Government will be spending an extra £2.5 billion in 2017-18 on uprating benefit and pension rates. We will be spending over £2.1 billion more on state pensions and pension credit; nearly £0.3 billion more on disabled people and their carers; and £100 million more on people who are unable to work because of sickness or unemployment To conclude, the Government are continuing their commitment to the triple lock for both basic and new state pension for the length of this Parliament. We are increasing the pension credit standard minimum guarantee by earnings, and increasing benefits to meet additional disability needs, and carer benefits, by prices. I commend the order to the House Question put and agreed to. Pensions Resolved, That the draft Guaranteed Minimum Pensions Increase Order 2017, which was laid before this House on 16 January, be approved.—(Caroline Nokes.)
ParlaMint-GB_2017-02-21-commons.u317	I inform the House that the motion relates exclusively to England. A double majority is therefore required.
ParlaMint-GB_2017-02-21-commons.u318	I rise to present a petition on the future of our state-run nursery schools. It is the petition of the many parents and supporters of schools such as the Fields Children’s Centre in Cambridge. Those schools do brilliant work that is now threatened by funding changes The petition reads: The petition of residents of Cambridge, Declares that nursery schools have very good outcomes with regard to closing the achievement gap as well as supporting children with complex educational or medical needs; further that the petitioners are concerned by the Government’s proposals for early years funding that would mean that local authorities would pass on 95% of early years funding from central government directly to early year providers; further that should the proposals be accepted all nursery schools in Cambridgeshire will find themselves in dire financial difficulties; and further that the proposals would lead to a loss of early years provision as well as job losses for nursery staff The petitioners therefore request that the House of Commons urges the Government to drop their proposal that would require local authorities to pass on 95% of early years funding from central government directly to early year providers And the petitioners remain, etc [P002014]
ParlaMint-GB_2017-02-21-commons.u319	Banks are more than a utility; they provide a service to communities up and down the land. Today banks are changing definitions and moving the goalposts so that they can close more branches, including in my constituency. This is being done by all banks, at a time when they are seeking to rebuild trust. The people of Odiham want to make it clear to this House—they have done so well into their four figures—that they want their local bank to remain The petition reads: The Humble Petition of the people of North East Hampshire, Sheweth, That Lloyds Bank have proposals to close the Odiham High Street branch on 8th March 2017; that this high street branch is particularly highly valued; especially by older residents and small business owners who often pop in to manage their finances; and that if accounts are moved to Fleet, this becomes a four hour return journey by public transport, which is clearly not in the best interests of our community Wherefore your Petitioners pray that your Honourable House urges HM Government to take all possible steps to urge Lloyds Bank to reconsider this decision and to make sure that the banking industry considers the social implications of their actions And your Petitioners, as in duty bound, will ever pray, &c [P002016]
