ParlaMint-GB_2017-12-21-commons.u1	1. When she plans to announce her decision on a new location for Channel 4.
ParlaMint-GB_2017-12-21-commons.u339	A considerable number of Members wish to speak in this debate. There will be three Front-Bench speeches to boot towards the end and therefore I think that I can say with some confidence that the opening speech by the right hon. Member for Carshalton and Wallington (Tom Brake), a very senior denizen of the House and formerly Deputy Leader of the House, will not exceed 15 minutes.
ParlaMint-GB_2017-12-21-commons.u340	I beg to move, That this House has considered Russian interference in UK politics and society I will indeed seek to stay within your limit, Mr Speaker, and hope to gain some credit for it at some point in the near future This is a very welcome opportunity to debate this subject, and I thank the Backbench Business Committee for making the time available and the colleagues who supported the bid. I am pleased that we have a very good representation of senior Members here who have a long-standing interest in Russia The premise of this debate is that the UK is at risk of neglecting the threat that Russia poses. I argue that Russia is a clear and present danger and presents a threat to our democracy. Some may consider that to be an alarmist statement, but I hope to explain why, in my view, it is not. I will not be able to cover, in the 15 minutes available, all areas of concern, such as the impact of dirty Russian money in the UK and the UK Government’s apparent unwillingness to hunt it down, in relation to Magnitsky in particular; the extent to which the energy industry is vulnerable to Russian takeovers or leverage; or the appropriateness of the London Stock Exchange floating the EN+ Group. I suspect that other Members will pick up on those issues Why do I make this alarmist statement about Russia? First, clearly, there have been attempts by the Russians to influence the outcome of a number of elections. According to the Henry Jackson Society, there is not one smoking gun, but it is a case of joining up the dots, and Russia has a history of interference. The threat is not new; it has been around for a decade, especially, for instance, in the Estonian and Georgian elections in 2008 and 2009. Of course there was the well-publicised Russian interference mainly in the period post the Scottish independence referendum, when they tried to discredit the result of the election In the US, we have seen the most famous example of cyber-interference through the activities of the Internet Research Agency, which has spent more than $2 million on activity in America alone over the past two years, and that funding was directly authorised from the Kremlin. This pattern of behaviour suggests that Russia will also have interfered in the EU referendum.
ParlaMint-GB_2017-12-21-commons.u341	The right hon. Gentleman referred to this interference as having taken place over the last decade. Has this not been the pattern of behaviour ever since the Bolshevik coup 100 years ago?
ParlaMint-GB_2017-12-21-commons.u342	As I said earlier, I only have 15 minutes in which to contribute to the debate. Although I agree with the right hon. Gentleman that we could go back a lot further, perhaps he could do so in his speech, if he makes one. I am focusing only on recent activity Information emerged just last month about hundreds of fake Twitter accounts, probably run from St Petersburg. Research at the University of Edinburgh in relation to the EU referendum showed that at least 419 fake accounts tweeted about Brexit a total of just under 3,500 times, although that was mostly after the referendum had taken place, rather than before. Meanwhile, research by City, University of London from October showed that there was a “13,500-strong Twitter bot army” present on the social media site around the time of the referendum, and in the four weeks before the vote, those accounts posted no fewer than 65,000 tweets about the referendum, showing a “clear slant” towards the leave campaign. However, there was no mention in that report of any specific Russian involvement.
ParlaMint-GB_2017-12-21-commons.u343	I congratulate the right hon. Gentleman on leading this debate. Does he agree that part of the reason that most of the hard evidence seems to come only from Twitter is that Facebook does not co-operate as it should in order to get to the root of these problems?
ParlaMint-GB_2017-12-21-commons.u344	As the hon. Gentleman probably expects, I will discuss Facebook shortly, including some negative and positive things about its activities I should say that I am not attacking the Russians here; I am attacking the Russian Government. Of course, some things that the Russian Government or people associated with them might have been involved with may, indeed, be also activities that other state actors are conducting, so this is not just about Russia, although that is clearly the subject of the debate The United States has a gaping vulnerability to disinformation operations carried out by Russia and other malicious actors across the social media environment. In the USA, just one account from the troll factory in St Petersburg managed to amass more than 120,000 followers, interacted with the Trump campaign leaders, and was quoted in newspapers such as the Washington Post as a voice of the American right. Is the Minister happy that the UK has adequate defences against such interference here The simple truth is that although Arron Banks and Nigel Farage may be Putin fans, President Putin is certainly not a friend of this country. Russia would only have interfered in the EU referendum or any other elections here in order to damage the security of the UK and, indeed, the EU.
ParlaMint-GB_2017-12-21-commons.u345	The right hon. Gentleman is making a brilliant point, but has he noticed that the American national security strategy—published this week—explicitly recognises this threat, whereas our national security strategy does not?
ParlaMint-GB_2017-12-21-commons.u346	That is a very good point, which I will come back to. The Minister now has advance notice that he needs to be prepared to answer that question, because it is clearly a source of concern There is no soft power in Putin’s eyes and, as far as he is concerned, the use of social media to interfere in foreign states is a vital, weaponised tool. The covert interference I referred to is supplemented by more overt attempts to create a media counter-narrative. I am now talking about RT. The RT chief editor, Margarita Simonyan, is on the record comparing RT to the Ministry of Defence, saying in 2008: “We were fighting the information war against the whole of the Western world” She referred to “the information weapon”, which is used in “critical moments”, and said that RT’s task in peacetime is to build an audience, so they can fight the information war better next time. Not surprisingly, therefore, Chatham House and the Henry Jackson Society see RT as a tool of destabilisation from the Kremlin Members will know that RT was found in breach by Ofcom in September 2015 for stories about Assad and chemical weapons. However, as I understand it, Ofcom has not always enforced sanctions as and when appropriate. According to the Library, Sputnik has never been found in breach by Ofcom. Ofcom imposed 84 sanctions against 57 broadcasters in the 10 years up to March 2017—RT was not the subject of a sanction during that time—and found broadcasters in breach of the broadcasting code more than 2,500 times I am certainly not advocating shutting down RT, and I do not think anyone else is. I just want to ensure that it abides by the broadcasting rules and that appropriate action is taken by Ofcom every time it does not. Is the Minister happy with Ofcom’s actions? Does it consistently pursue RT for breaches in the way he would like? As an aside, I would like Ofcom to be much more active in pursuing a number of other TV channels that are broadcast here, in particular when threats are made to the Ahmadi Muslim community on some of those channels No British parliamentarian should be taking money from RT. In fact, I would go one step further and say that, frankly, no British parliamentarian should appear on RT. The only exception to that rule might be if they have complete control and are completely unedited—if they can go on the channel and say what they want, knowing that it will not be chopped, edited and cut by RT. Apart from that, no one here or in the House of Lords should ever appear on that channel. The only time that RT ever contacts me is when I have said something critical about the Government. Well, I am happy to say critical things about the Government on the BBC, but RT is trying to create an agenda that is about attacking the Government at every turn, and I will not facilitate that process The next issue is the question of whether the Russians are infiltrating or leaking content from political party systems. Well, we know what they did regarding the Democrats. Incidentally, they also hacked the Republicans, but they only released the information on the Democrats. We also know that they attempted to infiltrate Macron’s team by setting up a number of websites with pseudo-official titles that would email Macron’s members of staff, trying to get them to click on links and provide back-door access to their systems. As I understand it, Macron managed to defeat that, mainly by inserting some fake news into the content that the Russians were trying to access so that the story was demolished because of the inconsistencies within it As Members will know, Monsieur Macron had a more aggressive and muscular stance towards Russia than any other parties in that French presidential election, and I believe that that is why he was targeted in a way in which the others were not. As I understand it, the other French political parties were targeted, but the Russians were clearly interested in releasing information that related to Macron in particular. Mr Putin has said that these hackers may not be associated with the Government and that they may be “patriotic” hackers. Well, they may be patriotic hackers as far as he is concerned, but one has to suspect that they have the Government’s endorsement, because I am sure that the Russian Government could clamp down on these so-called patriotic hackers if they wanted to do so I am trying to make my questions very clear because I know that the officials in the Box can then provide a written answer for the Minister to read out and get on the record straightaway, so I have another easy question for him. Will he consider making UK political parties part of the critical national infrastructure, and what are the implications of taking such a step To be able to ascertain the level of threat, we have to assess it accurately, otherwise I risk coming across as a conspiracy theorist. I know that I do already in relation to Brexit, but I do not want to become the person known for conspiracy theories in this place. The difficulty we have is that we do not really know the extent of the activity because, frankly, no one has investigated it properly yet. It is only when that has been done that we will know. I regret that it took so long for the Intelligence and Security Committee to be reconstituted, but I welcome the fact that it has stated that Russia will be a topic that it will focus on. Does the Minister think that the Committee should give priority to the subject? Would he also want the ISC to work effectively with the Electoral Commission so that it can go to places that the Electoral Commission cannot? An ISC inquiry would help us to establish accurately the level of threat To pick up on an earlier intervention, we know that Facebook was asked by the Electoral Commission to look at examples of paid ads from Russia, but it was not asked to look at the use of bots or trolls, so the picture we are going to get will, at best, be very incomplete. The response the commission has had—that the Russians apparently spent £7.50 on advertising—does not quite sound right to me.
ParlaMint-GB_2017-12-21-commons.u347	I congratulate my right hon. Friend on securing the debate. We are not talking just about a few Twitter or Facebook accounts with no picture avatar and 10 followers. The David Jones account had more than 100,000 followers and was listed as one of the most influential Twitter accounts during the last general election. It purports to be from Southampton, yet it tweets exclusively in office hours in a Russian time zone. Surely the social media companies have a greater role to play in identifying fake accounts—which are pretending to be something they are not—for the integrity of the debate we should all enjoy online.
ParlaMint-GB_2017-12-21-commons.u348	I agree entirely with my hon. Friend. I do not know whether she has, but I have engaged in exchanges with David Jones—clearly, I will not continue to do so—because whoever he or she is was a very prolific tweeter during that campaign. So, yes, we need to be aware of those issues According to Facebook, neither the Foreign and Commonwealth Office, nor No. 10, nor the intelligence services have given it any advice about what it should be looking for. If that is correct, it concerns me, and I hope the Minister will respond to that point.
ParlaMint-GB_2017-12-21-commons.u349	I think the Americans looked at 47 accounts, which were all provided to the Mueller inquiry by intelligence agencies, but—the right hon. Gentleman is absolutely right—our agencies have offered, I think, only one. The other risk we have to be careful of, though, is that money was transferred onshore—the Electoral Commission is now investigating that—so some of the illicit money may have come from UK onshore accounts.
ParlaMint-GB_2017-12-21-commons.u350	I thank the right hon. Gentleman for that intervention. That is another aspect of this issue that I am not going to be able to dwell on at great length in the few minutes that remain Facebook is doing work on ad transparency, and I welcome that. Personally, I would be comfortable with having the equivalent of a “printed and published” on the political ads that I place on Facebook. Such measures would help people to understand who was actually promoting themselves. I wonder whether the Minister would support that suggestion There is also the issue of authentication. I and, I suspect, every Member here have a blue tick on Twitter, so we have been confirmed as being real people. Maybe Facebook should do something similar to authenticate people with Facebook accounts so that we know that everyone is a genuine person, rather than someone sitting in an office block on the outskirts of Moscow preparing fake accounts. I hope the Minister will agree with that point as well We need to resource our response appropriately, and I have concerns—I certainly had concerns when I was a Minister and had dealings with it—that the Electoral Commission does not, in fact, have the resources to deal with this issue. Dealing with activity abroad is clearly not within its remit, and it would not have any expertise to do that, so we need to hear how it can access that expertise. The Minister is nodding, so hopefully he will be able to clarify that issue. I hope he is confident that the Electoral Commission has the necessary resources and expertise, or can at least access them.
ParlaMint-GB_2017-12-21-commons.u351	I agree with the right hon. Gentleman, and I ask him to emphasise the point about the resources that are needed to investigate. There is a danger that we are sidetracked into the social media side of this, when, ultimately, the more important thing is the money. Does he believe that the Electoral Commission is sufficiently equipped, resourced and empowered to properly follow the money and to ascertain where donations come from, whether the original donors really own that money and whether the agencies and the Electoral Commission need more powers to properly track the finance and the politics?
ParlaMint-GB_2017-12-21-commons.u352	My short answer is, no, I do not think it is. Clearly, that needs to be acted on. It is not just about political parties; it is also about tracking the money associated with political movements, such as the leave campaign or—this may not be controversial for the right hon. Gentleman—Momentum, so that we actually have some clarity about where the money is coming from and so on. We would all benefit if there was more transparency.
ParlaMint-GB_2017-12-21-commons.u353	Until we get a change in mindset among these bodies, additional resources will not have the necessary impact. These bodies have to have the will and the necessary policy framework, and action on the resources may follow that if they are not sufficient. That applies not just to the Electoral Commission, but right the way across the agencies of Government.
ParlaMint-GB_2017-12-21-commons.u354	I thank the right hon. Gentleman for that. Yes, this debate is partly about giving them the will and telling them that they have the backing of Members of Parliament on both sides of the House to take the action that is needed I will conclude by reading out the few questions I have left for the Minister—I have been generous in taking interventions. First, as I understand it, the Government have not tasked the intelligence and security services with investigating Russian subversion as a high priority. Russia is a tier 1 threat, but the six-point national security strategy does not mention defence against Russian interference in our political system, so will the Minister press for that to be changed On the funding of political movements, does the Minister agree, following the intervention from the right hon. Member for Wolverhampton South East (Mr McFadden), that financial accountability for political movements must be improved as well? On the Mueller inquiry, will the Minister confirm that the UK Government will proactively seek and supply any relevant information to the inquiry, rather than just sit there and wait to be approached? Finally, social media companies are, on the positive side, keen to work with the Government to try to close some of the loopholes we have referred to today We need to make sure that Russia is held publicly to account, whether that is through Ofcom or through Ministers, when they know that this has happened, making it clear that the Russians have been actively hacking some of our systems—as they did in relation to the NHS hacking by North Korea. The ISC also needs to come forward with its report I am pleased to have had the opportunity to raise this issue, and I hope the House will give the Minister the oomph he needs to go away and ensure that the respective Departments—one of the problems is that this is an FCO, Cabinet Office and Department for Digital, Culture, Media and Sport issue—will grab this bull by the horns and make sure that Russia, because of the threat it presents to the UK, is dealt with with the degree of seriousness that is required.
ParlaMint-GB_2017-12-21-commons.u355	Order. As Mr Speaker said, there are a number of colleagues wishing to contribute to this debate and to the later debate, so I am afraid I am going to have to impose an immediate five-minute time limit. I would urge colleagues to be very aware that, if they take interventions, it is likely that that will reduce the time for others.
ParlaMint-GB_2017-12-21-commons.u356	It is a pleasure to follow the right hon. Member for Carshalton and Wallington (Tom Brake), and I congratulate him on securing the debate. At the end of his remarks, he rightly raised important issues around the prioritisation of this issue for the intelligence services and the Government’s co-operation with the Mueller inquiry, and I will be interested to hear what the Minister has to say about those questions later This debate feels very timely. On Tuesday, the Digital, Culture, Media and Sport Committee held our first oral evidence session on fake news and disinformation, looking in particular at Russian activity in Catalonia around the referendum. My staff tweeted a link from my Twitter account to where people could watch the Committee hearing. According to an article in The Times today, a Russian-language bot account then responded to my tweet sharing the link to the hearings with the threat that we should be careful because we can all be wiped out in a single stroke—I do not know whether that was just the Select Committee or the entire nation, but, nevertheless, it was interesting On a previous occasion, when I happened to share a link to a discussion I had had with Hugo Rifkind, based on the facts of the US Senate investigation into Russian activity during the presidential election, the official Twitter account of the Russian embassy in London compared me to Joseph Goebbels in seeking to spread big lies about what Russia is doing. Let us not be under any illusion that Russia is, not just anecdotally but in a systematic way, using information as a weapon of war and seeking to intervene in the democratic processes of other countries. It is doing that to undermine people’s confidence in public institutions and to cause division and hatred, and it is part of its strategy of breaking down multilateralism and co-operation between countries in western Europe. That is what Russia is doing In the short time that I have available, I want to focus specifically on the role of the social media companies and the way in which they are responding to the different investigations taking place in the UK. My Select Committee wrote to Facebook asking it not only to give evidence of paid-for advertising through its service during the referendum and the last general election, but to identify activity by fake accounts across the platform. Much of the activity in America was based on pages being set up to promote links to sites where fake news and disinformation were shared and fake events organised. It is important that we understand the breadth of what is being done Facebook’s response so far—certainly its charge that a tiny amount of money is being spent in this country—is not based on an analysis of what is going on across its platform; it is based simply on looking at the accounts identified as part of the American investigation. Those accounts were given to Facebook by the US intelligence services. Facebook had never proactively looked on its site for evidence of this activity. At the moment, its position in this country is that it is refusing to conduct that research itself. As the hon. Member for East Dunbartonshire (Jo Swinson) said, it must be possible for it to look at the geographical location of accounts, the characteristics of the accounts from where information is shared—
ParlaMint-GB_2017-12-21-commons.u357	That is how it makes money.
ParlaMint-GB_2017-12-21-commons.u358	My hon. Friend is exactly right. It must be able to understand how to target users with information based on what it thinks they are interested in and where that information is coming from. It could conduct its own preliminary research to look for the characteristics of fake accounts and disinformation accounts linked to Russian agencies that are based on its platform. At the moment, it is refusing to do that.
ParlaMint-GB_2017-12-21-commons.u359	Facebook’s last quarterly profits were nearly $4 billion. Does the hon. Gentleman agree that it could afford to conduct the research if the will were there to do so?
ParlaMint-GB_2017-12-21-commons.u360	I absolutely agree. I noticed on a recent investor call that Mark Zuckerberg warned Facebook investors that dealing with these issues would have a direct impact on the bottom line. I am glad that he said that, but I would like to see him using that money. I do not see any evidence of the company putting resource into trying to tackle this issue At the moment, Facebook’s position in the UK is that it was only responding to questions put to it by the Electoral Commission. That has a much narrower focus because of the Electoral Commission’s exact remit. Facebook is not answering questions put to it by the Select Committee asking for more evidence of Russian-linked activity across the site, including in pages, group accounts and profiles, not just restricted to paid-for advertising. We have a right to receive information from Facebook, and it could conduct such research. It proactively conducted its own research looking at the activity of fake accounts during the French presidential election. That led to the deletion of more than 30,000 accounts, pages and profiles. Facebook did that itself. If it can do it in France, it can do it in the UK too, but currently it will not If Facebook’s position is that it will respond only to official intelligence directing it towards fake activity, then we need to be working to do that too. Our intelligence services need to be on the lookout, if that is the only trigger open to us to get Facebook to act.
ParlaMint-GB_2017-12-21-commons.u361	Sadly, my hon. Friend was not at this week’s Joint Committee on the National Security Strategy, where the national security adviser said that such activity was not the main priority, and, indeed, just spoke generally about security threats. Does my hon. Friend agree that it should be absolutely one of the top priorities?
ParlaMint-GB_2017-12-21-commons.u362	Absolutely. It must be a major priority. We have to realise that Russia is engaged in a multi-layered strategy to cause instability in the west, and that fake news and disinformation is one of the tools it uses It was interesting to hear in the Select Committee this week that during the Catalan referendum, Russian news agencies RT and Sputnik were the fourth largest source of information, all of it supporting the separatist cause.
ParlaMint-GB_2017-12-21-commons.u363	I grew up in cold war Germany. As I have said, these things have been going for decades. When our political group referred to Russia funding German terrorism, we were seen as paranoid fantasists, yet when the wall came down our fears were reconfirmed when the Stasi files were opened. There must be national recognition across the board, and people need to see this as a real threat.
ParlaMint-GB_2017-12-21-commons.u364	Absolutely. People must see it as a real threat It is not enough for the tech companies just to sit back and say, “We won’t do anything unless you come to us with the evidence. We’re not prepared to conduct our own research on our site about how people are using it and why they are using it.” I do not believe that individual users of these platforms understand the way in which they can be targeted and the reason they receive the information that they receive. That creates confusing echo chambers, where people are not exposed to a plurality of views but systematically targeted—not just with fake news but with hyper-partisan content. It is being done for propaganda reasons and political reasons by foreign actors. If we do not see that as a threat to the democratic institutions of this country, and a threat to the western way of life, we are deluding ourselves The tech companies need to be doing a lot more. I have focused a lot on Facebook, but the same issues apply to Twitter. Twitter has also analysed accounts and information given to it by the US intelligence services. More academic work has been done on analysing those accounts because Twitter is a more open platform and it is possible to do that; in the case of Facebook, which is closed, it is not. The reason much of the interest has been in activity on Twitter is just that it is a more open platform, not because Twitter is being used in such a way and Facebook is not. The tech companies need to do more, and it has to be a higher priority for the intelligence services too.
ParlaMint-GB_2017-12-21-commons.u365	It gives me enormous pleasure to follow the hon. Member for Folkestone and Hythe (Damian Collins). I commend him for the work he is doing. I wrote to his Committee at the beginning of this year suggesting just such an inquiry, and I am absolutely delighted that it is doing one When I began asking questions about this issue more than a year ago, it is fair to say that I was treated as a bit of a crank. I am very pleased to say that we now have multiple investigations and inquiries, including that of the hon. Gentleman’s Committee. We have the ISC investigation, multiple investigations by the Electoral Commission, and the Mueller investigations. However, what strikes me, and rather worries me, is that these are all being carried out by independent or parliamentary bodies, not by the Government, who are responsible for maintaining our security and defences, and have the power to get to the truth at the bottom of all this I have already put much of the evidence and allegations into the public domain, and time is limited, so I will restrict my remarks to a series of questions for the Minister. I hope that he will begin to address and explain what seems to be the Government’s insouciance in dealing with this problem. Why are the Government not investigating this threat themselves but leaving it to others such as parliamentary Committees and judicial inquiries—foreign judicial inquiries, at that The central question that several hon. Members have already asked is this: have the Government tasked our intelligence and security services with investigating Russian subversion as a high priority? The information I have from my sources is that they have not. If that is the case, why not? Russia is classified as a tier 1 threat, but the six-point national security strategy does not even mention defence against Russian interference in our political system. That is not good enough. I would be grateful if the Minister could listen to these questions, or at least his officials could, so that they can pass him the answers What are the Government doing to support the work of the Committee chaired by the hon. Member for Folkestone and Hythe, who has given an admirably robust response to the completely inadequate response from the big tech companies showing nothing short of contempt for Parliament? He needs the Government and the intelligence services to support the very important work that he is doing. What are the Government themselves doing to get the tech companies to reveal Russian ad purchases and make it easier to identify and block troll, bot and other Russian-backed accounts on social media? What discussions have the Government had with UK media companies about adopting the kind of voluntary agreement that was reached very successfully in France not to report material that had been accessed by illegal hacking What co-operation are the Government giving to the Mueller inquiry? When the Foreign Secretary last answered a question from me on this, he said that he had received no request for help from Mueller. However, given that several of the senior figures who have already been indicted by Mueller conducted their central activities here in Britain, it is completely inconceivable to me that there could not have been contacts between the US investigators and authorities and the British authorities. So either our own agencies are not keeping the Foreign Secretary in the loop, or he misspoke in his reply to me. Perhaps the Minister would like to set the record straight I have tabled several written questions to various Government Departments about contacts between Ministers and the Legatum Institute, and the replies are still outstanding. I would be grateful if the Minister could chase up those replies Will the Minister look into, or ask our intelligence and security services to look into, the roles of Vladimir Antonov, who is subject to an EU arrest warrant, and Roman Dubov, and any relationship they may have had in the past with the former UKIP leader, Nigel Farage? Would he care to comment on reports that broke just before this debate started that a man who has been arrested in Ukraine on suspicion of being a Russian spy was photographed with our Prime Minister in Downing Street back in the summer This question is more for our party leaders and Whips than the Minister, but surely it is time for British politicians to stop making useful idiots of themselves by appearing on and taking money from Kremlin propaganda outfits such as Russia Today and Sputnik. A lot of the ties between the Putin regime, the far right and the alt-right are well documented, but it pains me to say that there are still some useful idiots on the left in British and international politics. My message to them is that Russia is a nasty, nationalistic, ultra-conservative and corrupt kleptocracy. It is racist and homophobic, and it makes no secret of the fact that it wants to undermine our democracy. It this debate does anything to give the Government a bit of oomph in tackling this threat and get some reality into our political discourse, it will have been very worth while indeed.
ParlaMint-GB_2017-12-21-commons.u366	We are coming up to Christmas, one of the great feasts of the Christian year that marks the birth of Christ and the bringing of hope to all mankind, but we should recall another event, which is much more recent in time but which happened more than a quarter of a century ago: the dissolution of the Soviet Union on 26 December 1991. When I was elected to this House, 270 million people lived under the direct totalitarian rule of the Soviet Union, with no elections of any meaningful value; and a further 137 million lived in the other countries of the eastern bloc in Europe. On 26 December 1991, Gorbachev went on television to announce that the long nightmare was over. As he went to sign into effect the dissolution of the Soviet Union, his communist-manufactured pen did not work, and he had to borrow a working pen from the CNN camera crew who were filming the event We should all believe in the sovereignty of nations and the general principle of non-interference in the internal affairs of other nations. None the less, I think that we should be proud of the part that this country played in the downfall of the USSR and of communism in Europe. Alongside St John Paul II, President Reagan and our own Margaret Thatcher, we were instrumental in resisting totalitarianism and inspiring the captive peoples of Europe to stand up against their communist overlords. At the same time, the Leader of the Opposition and the shadow Home Secretary were going on motorbike tours of East Germany. If we might have been accused of interfering in the internal affairs of the Soviet Union then, I think we can be proud of it Let us remember to have a sense of proportion. In those years, there were dozens and dozens of Soviet divisions in East Germany and Poland, posing a direct threat to our freedom and democracy, but today we are talking about alleged Russian interference in UK politics and society. We hear things such as “undermining our democracy”, but can we look at the evidence?
ParlaMint-GB_2017-12-21-commons.u367	Will the hon. Gentleman give way?
ParlaMint-GB_2017-12-21-commons.u368	I am about to deal with the evidence, but of course I will give way.
ParlaMint-GB_2017-12-21-commons.u369	Did not the head of the Federal Security Service say only this week that it sees itself as the spiritual heir of the Cheka and the KGB? Does that not tell us all we need to know?
ParlaMint-GB_2017-12-21-commons.u370	I am not seeking to defend the Putin regime. There is much in Russia that is not perfect. I was a member of the Council of Europe delegation to the presidential elections, and I know it is not a perfect democracy, but let us keep a sense of proportion. So much progress has been made, and Russia is an infinitely freer and better place than it was under the Soviet Union. It is not perfect, it is not pleasant and it is not our sort of democracy, so I do not defend the Putin regime, but I want to get a sense of proportion in this debate Let us look at the evidence from the Oxford Internet Institute, which is part of Oxford University. It investigated more than 100 Russian-linked Twitter accounts and their activity in the run-up to our EU referendum. The results of the investigation are worth noting. It found that “(1) Russian Twitter accounts shared to the public, contributed relatively little to the overall Brexit conversation, (2) Russian news content was not widely shared among Twitter users, and (3) only a tiny portion of the YouTube content was of a clear Russian origin.” The fact is that the majority of the UK population—to a significant extent—is not on Twitter.
ParlaMint-GB_2017-12-21-commons.u371	I am familiar with the study that my hon. Friend is referring to, but I would just say that it is very narrowly focused. There is also evidence of more than 13,000 bot accounts on Twitter that were believed to be linked to Russia and were deleted very shortly after the referendum. There is a lot that we do not know about this matter, and we need the tech companies to co-operate with us fully so that we understand the scale of it.
ParlaMint-GB_2017-12-21-commons.u372	I am grateful to the Chairman of the Select Committee, and of course we must keep a sense of proportion. I am quoting from a well-established institute and I want to give another point of view in this debate, which I think is fair enough I mentioned that the majority of the UK population is not on Twitter. Of the Twitter users, the majority do not even log in daily. Facebook did an investigation into the notorious Russian “troll factory” called the Internet Research Agency and found that its advertisements reached fewer than 200 people in Britain during the referendum campaign. If that is the best Russia can do to overturn our long-established parliamentary democracy, I think we can probably rest at ease.
ParlaMint-GB_2017-12-21-commons.u373	rose—
ParlaMint-GB_2017-12-21-commons.u374	rose—
ParlaMint-GB_2017-12-21-commons.u375	I will not give way; I have got to finish now. The paranoid tendency to see a red under every bed is very much alive, albeit changed, and there is an explanation for such paranoia. Look at Trump’s victory, and look at the success of Brexit in the referendum. Things are not going the way of the liberals’ world view, and they cannot accept that the people—the workers, even—are abandoning their ideology, presuming that they ever agreed with it in the first place. The left knows that the people are never wrong, so when the people are wrong, as with Brexit or Trump, the left has a psychological need to find some excuse for the people’s misbehaviour.
ParlaMint-GB_2017-12-21-commons.u376	Will the hon. Gentleman give way?
ParlaMint-GB_2017-12-21-commons.u377	No, I will not give way to the hon. Lady. Russia is that excuse today. Perhaps the reality is that voters might not agree with the established liberal consensus on Brexit. Perhaps voters in Britain, America, Poland, Hungary and elsewhere have legitimate concerns that they feel are not being addressed. Those concerns must be addressed, and we in this House must be the ones to address them. Such was the wisdom shown by Disraeli and others in expanding the electorate. Such is the British constitution that it adapts, evolves and bends instead of breaking The fact is that the referendum was a free and fair vote of the British people. If there was foreign interference, it was so ineffective that I doubt it made any difference at all to the final result. It was not the work of foreigners somewhere distant, plugging away at computers and unleashing Twitterbots. Authority comes from above but power comes from below, and it came from the people in our referendum. If we do not accommodate the legitimate concerns of ordinary people, we undermine the very foundations of our parliamentary democracy. We might find ourselves being replaced and irrelevant, as Mr Gorbachev did on 26 December 1991.
ParlaMint-GB_2017-12-21-commons.u378	There has always been, on the left of British politics, a group of useful idiots for authoritarian communism, and it has included people who have been very sensible on other issues. I refer Members to “Soviet Communism: A New Civilisation?” written by Sidney and Beatrice Webb in the 1930s. There has also always been, on the far right of politics, a group of admirers of the strong leader, the national identity and the patriotic purpose of the Russian, and even the Soviet, regime. They loved Uncle Joe, and many of them today like Vladimir Putin Putin has, over recent years, tried to develop a relationship with various groups in Europe to further his own national interest and ideological goals. He has used, in that process, a man—an ideologist—from the far right who has connections with the American alt-right and with people including Nick Griffin, Nigel Farage and Marine Le Pen, who all attended conferences in Russia. That man is Aleksandr Dugin, and Members can google him and read about his vile ideology of trying to create some kind of Eurasian monolith based on authoritarianism and the crushing of religious minorities That is the essence of the nature of the Russian state. How is it going to develop? Putin has used that man, who was at one point referred to as “Putin’s Rasputin”. There is some concern in many other European countries about this type of work. On 25 November 2016, the European Parliament carried a resolution, by a very large majority, referring to Russia’s use of “a wide range of tools…to challenge democratic values” and to “divide Europe”. Different tools have been used, including the interference in elections, which has already been mentioned, and the attempted coup in Montenegro. The Hungarian regime of Orban has been given financial support via various forms of investment. It acts as an ideological Trojan horse in the European Union against the sanctions on Russia that are the result of the invasion and annexation of Ukraine.
ParlaMint-GB_2017-12-21-commons.u379	The hon. Gentleman is being generous in giving way. I really believe it is important to be aware of beginnings. I celebrated the fall of the Berlin wall, having lived in cold war Germany and I hoped that Russia had changed, but when I went back to Russia only a year ago, people told me that, unfortunately, Russia was facing the same threats and problems that it faced during the cold war, so—
ParlaMint-GB_2017-12-21-commons.u380	Order. When the hon. Lady makes an intervention, she needs to be brief, because there is a lot of pressure on time.
ParlaMint-GB_2017-12-21-commons.u381	Yes, absolutely. There is an idea that there was a fantastic, miraculous transformation in 1989-90, but, sadly, that was not the case. There is an authoritarian kleptocracy—that word was used earlier—and a regime under which opposition leaders are locked up, journalists disappear or are killed, and polonium is used to murder people on the streets of London. The Russian system of government is not a democracy in any sense that we would understand. Everybody knows that Vladimir Putin is going to be President until 2024 and that this regime will continue, and that is not democracy There are very serious flaws in that society, but even more serious is the attempt to undermine cohesion and to sow discord among Europeans in our societies. In the time I have left, I want to mention the kind of tweets put out by the Russian embassy. It put out a picture of a European Union stockade on fire, with a giant Russian bear, and the flag flying over the EU stockade was the LGBT one. That tells us all we need to know about the ideology of the Russian Government and the Russian state. These are not fringe elements; this is the core of the Government I refer hon. Members to the report of the Foreign Affairs Committee in the last Parliament, which was published in March, and the Government response. We must look seriously at these questions. I do a lot of tweets, and I get quite a lot of trolls. Some of them can be identified by the fact that there are eight numbers after the name, because they are produced by algorithms and come at very odd times during the night. I often tweet back, “What’s the weather like in Moscow?” The fact is that we all need to recognise that they are trying to interfere in our politics and to create discord. We need to be vigilant, and the Government must do much more.
