ParlaMint-GB_2017-12-19-lords.u1	That this House takes note of the Report of the Lord Speaker’s committee on the size of the House.
ParlaMint-GB_2017-12-19-lords.u161	My Lords, like the almost 100 noble Lords who have sought to intervene in this debate, I am grateful to the noble Lord, Lord Burns, for his efforts to apply some degree of logic to the problem of this House being allegedly 35%—some might even say 60%—too large. Be that as it may, my conviction is that there are greater parliamentary problems which, if our little local difficulties are not carefully handled, may escalate beyond what we would seek to achieve Having served for almost 35 years in the Commons and this Chamber, it is my experience that the changes we require are not such as can simply be resolved here. By seeking to do so in isolation, we could create a disastrous knock-on consequence. Compared with 1983, when I was first elected, the overall standards across our democratic process are being eroded to a dangerous and damaging degree. We seem to have been conditioned to accept that raw academic ability is the sole arbiter in creating a foundation for success I still yearn for that breadth of commitment and experience I found all around me when I first came to Westminster. It combined years of experience among those who came from the shop floor and the mines, from management both of the workforce and of technical and financial resources, from military experience, and from professional know-how. Is that experienced-based criterion a thing that survives only in this Chamber? Could we be in danger of sacrificing that, not least with the 15-year option? I was already in my mid-40s when I arrived here—but, like so many of my colleagues, I had been tried and tested professionally, militarily and in business before I was asked to stand for Parliament. I was not imposed on my constituency by some remote and faceless party structure. Bluntly, I was more than some privileged or glorified “interim bag carrier” with a predestined ambition whose time had arrived The noble Lord, Lord Burns, has ably sought to give us guidance—but suffice it to say that leadership, planning and practical politics derive from experience, not from patronage. I want to see my United Kingdom with political acumen and with renewed moral standards, which sadly are being steadily and selfishly eroded. That will not happen by our performing some egocentric little local exercise here in this Chamber, and certainly not by increasing the authority and diktats of the faceless back-room shakers and movers, to the detriment of effective, experienced and principled government here in Westminster. Power must never be surrendered to popularity Without wanting to be too controversial, I simply ask noble Lords how long it has been since any UK Government articulated a coherent and strategic foreign policy that they would feel able to explain and justify? The House of Lords must change, but it must not end up neutering itself in the erroneous belief that somehow we alone are, or could be, the sole source of strength amid the United Kingdom’s diminishing national role and responsibility. I therefore conclude by saying that we should not merely identify cosmetic changes in this Chamber, and that it is our clear obligation to properly evaluate all the potential consequences. Let us not throw out the baby with the bath-water.
ParlaMint-GB_2017-12-19-lords.u162	My Lords, like previous speakers before me, I pay tribute to the noble Lord, Lord Burns, and the committee, before moving straight on to say that I disagree with the recommendations—not all of them, but the principal drive towards reducing the number of Members of this House. It was a question that should not have been set. It is not on the public’s lips; it is not in MPs’ mailbags. There is no need to reduce the number of Peers in the House. The only time it becomes an issue is when the quality of the behaviour of some of us brings the rest of us into contempt, or if the Government are defeated and then some Members of this House are no longer required This is not about the size itself. We already have clear evidence that only 490 on average turn up, so we have 200-plus consultants on tap who cost us no money but who have expertise they can bring into the Chamber. They do not get paid if they are not here. Once you take off those who are not paid and those who do not claim, that leaves roughly half the number who can currently sit in this Chamber on the payroll. If this proposal is seen through, and we artificially reduce the number of Peers to 600, it will end up costing the taxpayer more. If there are 600 full-time working Peers in this building, that would cost about another £6 million. I am not aware of any organisation that seeks to wound itself in terms of its experience and capability and at the same time cost the people it serves more money. That would be very perverse It would also drive up the average age of Peers entering this House. I am not sure that anybody aged 40 or 50 would choose to come in—in the middle of a career break—do 15 years and then find out they not only had nowhere else to go but had no pension on top of that, because we are not pensioned here. We also get plenty of complaints that the Chamber is too London-centric, but this would clearly drive up the number of people from London to whom this place becomes attractive, while making it less attractive to those from the shires. It would probably make us more London-centric, more expensive and less experienced On that basis, I cannot really see the point in pursuing this much further. In addition, to expect the Prime Minister or any future Prime Minister to fetter their own ability to reward people who have done good things or to create spaces in the other place is a bit naïve. I am not sure many Prime Ministers would agree to do that, and I do not think it is fair to try to pressurise this one into doing it. If Members seriously are concerned about the size of the House, we should move some formal stuff that locks future Prime Minsters into place as well and not just fetter the current one’s choice Before I sit down, I have a question, but I do not know who to ask and whether I will get an answer. What would happen if the monarch serves a Writ of Summons on somebody and they refuse to come because the Code of Conduct says they cannot?
ParlaMint-GB_2017-12-19-lords.u163	My Lords, I join with other noble Lords in commending the thoughtful efforts of the noble Lord, Lord Burns, and his colleagues and this report. However, with no disrespect, it is a publisher’s glowing dust cover to a hardback book titled Lords Reform. Blank pages and chapters in the book need to be written before those who must abide by the consensus being sought can fully judge its worth. Second-order and other key issues must be addressed and fleshed out. The House must tackle these as part of the effort to gain a broad acceptance of this strategy A Prime Minister, on taking office and while in it, and on departure from office, and party groups, individually by their then leader and severally, must indicate acceptance. These undertakings need to span the period not just of one Parliament but of successive ones and future holders of their offices too. Should it be a matter for a written undertaking, and perhaps Statements in Parliament? I understand the rubric that one Parliament cannot tie the hands of another; nor, presumably, can party leaders bind their successors. But is this of sufficient importance for all to set this aside in some solemn and binding way, short of statute? How realistic is it to harmonise such a gross mismatch between the horizons of a 15-year or 20-year corpus and the near-term partisan volatility of just a few years or even only months—the political in-office lifespans of Prime Ministers and other party leaders? Is this an Achilles heel? I sincerely hope not For the Cross-Bench group, the issue is much clearer so long as the two-out, one-in principle is followed. But the aspirations of those who lobby for an elected second Chamber may be eviscerated for a generation However, there is another issue to clarify. Is the 600, when reached—or indeed the numbers annually being aimed at in the process of reducing to 600—to be deemed a “never to be exceeded” total? If not, what flexibility should be considered and should that be part of the undertakings of parties and Prime Ministers? The report suggests new Ministers given peerages need not be counted in the 600 in the year of their elevation. But if some party or group does not take up a yearly allocation, will pressures to use any headroom below 600 prove irresistible? The House might need some of that number to be effective During my time as Convenor I had a number of exchanges about Cross-Bench membership with the then Lord Chancellor. He was leading on the first of the several attempts to move on to stage two of House of Lords reform. In general it was about Cross-Bench numbers, but I also raised some examples of appointments who, while worthy of a peerage, were not then on the Prime Minister’s list. Some of those have since been added; nor, presumably, will retiring Speakers from the other place be excluded. Traditionally their peerage follows a petition made by the other place As the report mentions, the previous Prime Minister further extended his Cross-Bench appointments list to consider a range of non-public service individuals, which looks very much like a return to the status quo ante Mr Blair’s original decision to forgo making non-party appointments. Before 1997, new year and birthday honours lists used to have about a couple of peerages each time, normally expected to be for Cross-Benchers. A return to that might not be contentious and set a more measured rate of appointments. The dates on which Justices of the Supreme Court take their seat on retirement will not necessarily fall within the once-a-year election proposal, and of course if a Parliament were not to run its five-year term, other variations would apply My point here is that, aside from the arrangements already proposed, there may be a number of special and earmarked cases that come up and do not lie within the normal party and HOLAC ambit or the timing of once-a-year appointments. Equally, I am sure that those I have mentioned are far from the only special cases that one or more might feel justified in promoting. This brings me back to the question: is there to be a “never exceed” limit on membership? If not, how should any variation be expressed? This question may need some very wise heads to put together a universally acceptable answer. It will be important not to fudge it.
ParlaMint-GB_2017-12-19-lords.u164	My Lords, it has been said by everyone but not yet by me: I echo the words of gratitude to the noble Lord, Lord Burns, and his committee. The report has the huge benefit of being not only elegantly written but mercifully brief. I hope to match the brevity if not the eloquence What more is there to be said? We seem to be creating an impetus, a demand, for change that can probably no longer be stopped. We focus almost obsessively on numbers and cutting our House down to size. I wonder if that might lead in the course of time to more professionalism and politicisation—that is a possibility—and more expense too, as we have just heard most eloquently from my noble friend Lord Porter. That would be an unexpected consequence of reform, but change there will be. The question is whether that change will be achieved voluntarily or imposed upon us. Once you put the ferret down the rabbit hole, you can never be entirely sure of the consequences It is not just the reforms that we are discussing today; in connection, there is also renewal and restoration to consider. At some point in the not-too-distant future, it is likely that we will be moved to a different place—well, we move or we burn. I think it was Churchill who said we make our buildings and then our buildings make us. I wonder what the QEII conference centre will make of us. As the noble Lord, Lord Geddes, suggested, that in itself is likely to greatly reduce our numbers. It will also change our practices, how we see ourselves, how others see us, what we do and how we do it. We will not be the same House when and if we return to this place There is a still more pressing factor. Next year we will be immersed in the elected Government’s main legislative vehicle, Brexit. Some noble Lords have already declared that it is a Bill of betrayal, threatened trench warfare and even compared it to the appeasement of Hitler. That sort of action and that sort of language threaten to undermine everything that the Burns committee has been trying to achieve. If this unelected House decided to engage in open trench warfare, what options would that give any Prime Minister other than to appoint new Peers? This has to be thought through. To use a rather hackneyed phrase, we cannot have our cake and eat it. Reform, renewal and restoration, Brexit—this could all come together as a perfect storm that might sink this place completely. So it is evolution or revolution. There is no standing still, not any more. The Burns committee stands for evolution, uncertain as that process usually is. That is why I support it, always bearing in mind that it is the other House, the House of Commons, that is in far more need of reform than we are.
ParlaMint-GB_2017-12-19-lords.u165	My Lords, it is a great pleasure to follow the noble Lord, even if it is as the 82nd speaker in today’s rather long but important debate In all my years in Parliament, I have never been persuaded of the need for an elected second Chamber. I agree with elections—since 1973 I have fought 11, one every four years—but I do not think an elected Upper House will be anything other than a rival to the House of Commons, particularly if that House were elected on the basis of proportional representation. Having been involved over the last decade in the establishment of parliaments in Northern Ireland and Wales, I think it is inevitable that as a new parliamentary institution is set up it will eventually want more powers as it goes along. In Wales’s case, I think that was right, but would that be the case for an elected second Chamber that wanted more and more powers as the years went by However, if we do not have an elected Chamber then we have to have an appointed one that is reformed. In the two years that I have been in this place, I have been deeply impressed at the level of debate and expertise. I have been particularly impressed by the level of scrutiny of legislation, which is infinitely better than that in the House of Commons. At the same time, though, we have to look at the issue of size. When I entered Parliament in 1987, the House of Lords had 1,200 Members. In all the years that I was an MP, I never had one single letter or email about the size of the Lords. That is not to say that it is not an issue, because it is. My noble friend Lady McIntosh and others have said that it is a matter of reputation, not only of this House but of the whole of Parliament. Over the last five or six years, for all sorts of reasons, Parliament has not been seen in the best light. Unless we try to ensure that this House is a reasonable size then we are doomed, particularly on the basis that the Government want the membership of the House of Commons actually to go down. You cannot have a reduced House of Commons and an increased House of Lords; that just does not make sense in a modern constitution. I therefore join in the chorus of approval for the noble Lord, Lord Burns, whose committee has done a tremendous job on the report. “Elegant” is certainly the word; it is also practical, important and, most importantly, possible There are of course other issues that need to be addressed. I think we should abolish the by-elections for hereditary Peers. However, I believe the Bishops’ Bench should remain. I am a Catholic Christian who is quite willing to pass on to the Church of England the issues of Christianity that need to be debated in this place, and I have never heard any contribution from the Bishops’ Bench with which I have disagreed. I think that is important too The other issue that is important, certainly for those of us who do not live in or represent London, is the need in a changed political landscape to ensure that this place properly represents the nations and the regions of the UK. We now have devolution of sorts in Northern Ireland—I hope it will come back—and in Scotland and Wales, and there is an increasing move towards devolution in the north of England as well. Like many second Chambers in the world, this one could do a great job of ensuring that the nations and the regions of the UK in the 21st century were properly debated and looked after There is a problem with all of this, though, which has been touched on by a number of noble Lords during the course of the debate. If we are to listen to the gossip and rumours that are now prevalent throughout Parliament that the Prime Minister is about to appoint anything between—I have heard—25 to 56 Peers into this place, simply for the reason of passing legislation on Brexit, that would torpedo this report. That would never make sense. We cannot have the House of Lords appearing to be extremely united in wanting the report to be implemented and then, only weeks later, for that to be undermined by the creation of dozens of new Peers by the Prime Minister—who, I admit, has been very moderate on this issue in years past. If there is to be a race between new Peers being appointed by the Prime Minister and the implementation of the report, I am all in favour of the implementation of the report.
ParlaMint-GB_2017-12-19-lords.u166	My Lords, I express my thanks to the Lord Speaker for initiating this incredibly important piece of work, and of course to the noble Lord, Lord Burns, and his committee for their report. I strongly support their recommendations. Although all of us might want to tweak the odd one here or there, I strongly support the report I am sure everyone would be delighted if I just sat down at this point, but I want to focus on just one issue. It seems that the underpinning for all other proposals in the report is provided by the proposed fixed cap on the total number of Peers with the right to sit in the House of Lords. Without that reform, the rest of the proposals will probably fall or achieve very little. Fears have been expressed that the Prime Minister will be reluctant to lose her complete freedom to exercise her powers of patronage. I understand those fears. But if the Prime Minister agrees that this House should better reflect the political balance across the country over time, and that the public would not accept an increase in the size of this House to 1,000 or more Peers, I hope she can be convinced of the need for the reforms presented by the noble Lord, Lord Burns The big question is whether Theresa May accepts that it is impractical, self-defeating over time and offensive to the British public for successive Prime Ministers of both political parties to pack the House with their own appointees, to seek to rebalance the numbers of Peers on each side. That is, of course, a zero-sum game. If we can assume the Prime Minister’s support on these issues, an answer to the patronage problem surely lies, as others have said, on page 13 of the report, which makes it clear that, “the monarch is empowered to appoint life peers other than under the Life Peerages Act 1958” This power was confirmed by RP Gadd in Peerage Law, published in 1985—albeit that the power has not been used very recently. Importantly, Peers appointed in that way would not be entitled to a seat in this House. The Prime Minister would thus have complete freedom to appoint any number of Peers, if she really wished to, but she would need to decide which of those Peers could best serve your Lordships’ House. Others would have the honour of a peerage anyway, and if they were suited to sit in this House they could surely apply to the House of Lords Appointments Commission so that when a place became available they could have a position in this House As the noble Lord, Lord Wakeham, said—I find this interesting, as I had not worked it out for myself—the Burns report would, anyway, enable a Prime Minister to create roughly the same number of Peers with a position in this House as have tended to be created, on average, by Prime Ministers over the years. What the Burns report would prevent is the creation of vast numbers of Peers for political purposes—and I very strongly support bringing an end to that type of activity. On this basis, I hope that the Prime Minister and the leaders of the opposition parties can support the report.
ParlaMint-GB_2017-12-19-lords.u167	My Lords, I join virtually everyone who has spoken in congratulating the Lord Speaker, and the committee on its ingenuity in producing the report, which guides us into what I regard as the first step of Lords reform. As many noble Lords will recall, I have been pressing my own plan for the last 12 years—but it would, of course, require primary legislation, so the report, which does not involve primary legislation, obviously represents the way ahead. Some of my own proposals are not a runner in these circumstances, and I am glad that the committee was kind enough to allow me to give evidence before it There are many parts of the report with which I strongly agree. Primarily, there is the essential need to reduce numbers; we need to impose a fixed cap of 600 in 11 years. I had suggested 500. I was interested to hear that the noble Baroness, Lady Boothroyd, and my noble friend Lord Caithness both felt that that was reasonable, and I would much prefer a quicker move than one that took 11 years. My own proposals, which, I am afraid, were cancelled out by the need for primary legislation, would have got us there immediately after the next election I welcome the fact that no party should have a majority and that the Cross-Bench percentage should remain at around 20%, and I can accept the 15-year term for voluntary retirement, in the interests of making progress. I would have preferred, and have proposed previously, that each party caucus should decide who stays and who goes. The party caucuses know best who contributes and who does not. As I read the report—I would be grateful if the noble Lord, Lord Burns, would comment on this when he sums up—I think it would still be possible within its terms for the party caucuses to do that task Finally, I very much welcome what is summarised in Figure 4 on page 21, whereby new party appointments would be based on the average of the percentages of seats won and votes cast at the previous general election. I think I was the first one to propose this, with the help of the Library, in our debate two years ago last September—and I believe it is the best and fairest basis for making the political appointments Those are some parts of the report with which I strongly agree, but there is one area that I do not think the committee addressed—perhaps because of the need for legislation. It is the potential problem to which I have tried to draw attention all these years—the fact that the work of this House would come to a standstill if at an election a new party came to power or into a coalition from a small base, or no base. That has happened in recent years in Turkey, in Italy, and more recently in France—and it could happen here, because we all know that politics and politicians are not the flavour of the time. I remember how, in the mid-1980s, the SDP came quite close to being the dominant party in the public opinion polls. A new party in government or in coalition could find itself with few Ministers or Back-Benchers, and only tiny replenishments under the oblique reference in the third paragraph of Appendix 5 That situation would be one thing that would trigger primary legislation, and I fear that this is one thing I must criticise in the opening speech by the noble Lord, Lord Burns. He said that he thought Appendix 5 would partly deal with that problem—and I stress that it would only do so partially My final comment is that I believe we must support the report, and that we must demonstrate tonight that there is a consensus in the House to do so. In order to achieve that consensus, when at the end of the debate the Lord Speaker puts the Question that the report be noted, I challenge all those who do not like it, and who believe that there is no consensus, to cry no at the appropriate moment.
ParlaMint-GB_2017-12-19-lords.u168	My Lords, those who were in the Chamber earlier and heard the speech of the noble Lord, Lord Grade, will have heard him jokingly suggest that this Chamber should conduct its business under the rules of the Radio 4 programme “Just a Minute”. I am very glad that we do not do that, because I fear that my own contribution and that of many other noble Lords might be disqualified on the grounds of repetition. But that is a risk of speaking at number 85, I fear In my years in this House, I have come to respect and admire the huge amount of work done by noble Lords to improve the legislation that governs our nation. The role of this House is much misunderstood, as a number of noble Lords have said, notably my noble friend Lord Cromwell. A particular misconception is that we make the laws. We do not, really; we do not make any laws with which the Commons does not agree. Our role is as a scrutinising and revising Chamber that accepts the primacy of the Commons but tries to ensure that legislation is fair and unambiguous, fit for purpose and as free as possible of unintended consequences. We must constantly try to get that message across to the public, who, for understandable reasons, do not recognise our real role Other common misconceptions are that we are full of hereditary Peers and resistant to change. Neither, of course, is true, and the debate today is further evidence that this House is self-aware and seeks to remodel itself, while maintaining the fundamental role of a scrutinising legislative Chamber and holding the Government to account The Burns report is the latest, and arguably the most fundamental, of a number of incremental evolutionary changes proposed in recent years by this House, as the noble Baroness, Lady Stowell, mentioned. It seeks to address a particular subject of public and media criticism—namely, the large size of the House—which, of course, has been created by the action of others in the other place Many noble Lords have spoken to commend the excellence of the report, which I fully endorse. Recognising the reality that legislative time, to say nothing of agreement, is unlikely to be possible in the near future, it makes proposals to reduce the size of the House that are pragmatic and realistic and, with good will, I would argue, achievable. The report is beautifully structured and argued, and eloquently written. In short, it is something that one does not often say about official documents: it is a very good read Crucially, the report proposes mechanisms to reduce the numbers and retain a smaller size but, at the same time, to refresh membership, which is important. It suggests means and a timescale that is sensitive to the fact that change in the absence of legislation will have to be voluntary. That will involve some individuals unselfishly agreeing to leave. Most significantly, as many noble Lords have said already, it will depend on the Prime Minister of the day to agree to restraining their level of political patronage—and that is not an easy ask. In restructuring over time the political balance of the House better to reflect that in the country and in the Commons, the report offers some recompense In conclusion, there are a number of areas where we need to work hard in this Chamber to improve and inform public perception of this House. But on the issue of its size, which is a major component of our negative public image, this excellent report advocates a means to effect a progressive and positive modernisation. I congratulate the noble Lord, Lord Burns, and his committee on their brilliant report, which I fully support, and look forward to the Government’s response to it.
ParlaMint-GB_2017-12-19-lords.u169	My Lords, I see this problem possibly from a slightly different perspective from most of your Lordships. It is not just that I am older than most of you, but I have been here longer than most of you and I have heard the hereditary system debated more often than you. I remember back in the 1940s sitting on the steps of the Throne next to Nat Fiennes and hearing his father, Lord Saye and Sele, sitting on that Bench where the noble and learned Lord, Lord Morris, is now sitting, saying that the hereditary system was not a bad system. It was a bit like roulette—it threw up all sorts. “And occasionally”, he said, pausing and turning to Nat and myself, “it throws up the odd black sheep”. There was a long pause and then he went on with his speech. I mention that merely to show that I am rather embedded in this place but, I dare say to noble Lords’ surprise, I am not embedded in it in its present form The next way in which I differ from your Lordships is that I cannot, by retiring or even by dying, reduce the number of Peers sitting in this House; under the present constitution, the gap will be filled by some equally well or better qualified person. But that is under the present circumstances. But if this report is adopted in toto and not weakened, the circumstances will not be the same. I, for one, think that when that is in place, my job is discharged. My job I see as maintaining the effectiveness of this place in the face of government when it becomes irresponsible, as well as revising responsible legislation. That, I think, is achieved by the present proposals, provided that the 15 years is not reduced by one month. That is the absolute minimum tenure required to maintain the individuality of this House aside from the rest of the government, but incorporated in the whole of Parliament That brings me to my next difference of perspective. I have been concerned for some years about the way in which this country is moving. One thing that concerned me very much was the extent and degree and commonness of surprise among Members of the other place when their constituents voted, either with or against what they wanted, for Brexit. I heard astonishment expressed by many Members of the other place as well as this place, and they are the people who are meant to be in touch with what the country is thinking. They attribute—and the generality of people attribute—that vote to a genuine national desire to leave Europe and become independent. It has been so interpreted, and that has been accepted. But I see it as largely contributing to that broad slice of British society for whom things have not got easier over the last 15 years; they got a bit more difficult. To quote Shakespeare again, I think that they were saying, “A plague on both your houses—we don’t like you and we don’t like the system” At that stage, when you also have a far left movement embedded in the Labour Party in the country, and approved of by the leadership of the Parliamentary Labour Party, you have a very unstable situation. If we are to get out of this intact, we need to have a Parliament respected by the country, and neither House is now respected. My enthusiasm for these proposals is that I believe that it is the beginning of getting respect back from the country and that it will, with luck, jolt Members of the other place into looking into their affairs. It would be indiscreet and inappropriate for me to list the things that they could do, but there are a great many, and a lot of them know what they are Therefore, I think that this is a moment of great importance. This debate is more urgent than your Lordships recognise, because the situation is more fragile than you recognise. We are in a boat and we are talking to each other with our backs to the portholes. Outside, the sky is darkening; we need to shorten sail, and we need to do it quickly.
ParlaMint-GB_2017-12-19-lords.u170	My Lords, when I realised that I was speaking 86th in this debate, I was reminded of an apocryphal comment attributed to the seventh husband of Elizabeth Taylor. He knew what to do; the challenge was how to make it interesting. I join every other speaker in congratulating the noble Lord, Lord Burns, and his committee on this report. There was widespread agreement, not least from last year’s debate, on the need for the desired outcome of reducing the size of your Lordships’ House, so to make a recommendation for 600 was probably the easy bit. However, given that there were things that the committee could not do, not least the fact that there was not likely to be any major primary legislation, it is a remarkable achievement to have produced a set of proposals which has commanded such widespread support in your Lordships’ House and, indeed, beyond I do not resile from my own personal party position that we would rather see a predominantly elected second Chamber, with proper buttressing of the voices from the regions and nations of the United Kingdom. However, as my noble friend Lord Beith said, where we are is the “best show in town”, and I readily contribute to the consensus on these proposals. They are not perfect, but that is not necessarily a criticism of the committee; it is because of the inability to produce primary legislation Numerous Members of your Lordships’ House have picked up on two issues that will need to be addressed: the future role of the Bishops and of the hereditary Peers. Tables 1, 3 and 4 in the report extrapolate the numbers in your Lordships’ House to 2047, when I will be 93 and not here, either through death or retirement. It is worth reflecting, as we consider proposals that will take us almost to the middle of the 21st century, that the outcome would be that Bishops and hereditary Peers have a higher proportion of the membership of your Lordships’ House than they do today. I do not believe that that is fatal to these proposals, but they are loose ends. As anyone knows, if a number of loose ends are picked at the garment can slowly but steadily unravel. It is not impossible to address this: it does not need major legislation to have, for example, what one might call an episcopal haircut. The Lords Spiritual (Women) Act 2015 was introduced in the run-up to a Dissolution of Parliament, when there is always great pressure on the legislative programme. It had its Second Reading in the House of Commons on 19 January 2015, its Third Reading in this House on 12 March 2015 and Royal Assent a fortnight later. When people want it to be done, it can be When I tell people about how the House of Lords is constituted, I have to reflect on the fact that at the last hereditary by-election among my own Liberal Democrat colleagues there was an electorate of three and seven candidates. The winner, my noble friend Lord Thurso, achieved a 100% vote on a 100% turnout, which exceeds even North Korean proportions. That situation is not tenable as we go forward. The Bill proposed by the noble Lord, Lord Grocott, has been mentioned. This Session of Parliament goes to May 2019. It must surely be possible to make progress on that legislation, particularly if these proposals have been adopted. The most important point, raised by a number of noble Lords, is that this needs a buy-in, not just from the respective parties and Cross Benches, but also from the Prime Minister. The committee itself, in paragraph 53 of the report, states: “Maintaining the current mechanism of appointment means that the success of our proposals hinges on Prime Ministers undertaking to appoint no more new members than there are vacancies, and to do so in the party proportions implied by the system proposed” That cannot be stressed too much. We are told that a raft of new Peers will be created in the coming weeks and that would change the baseline. Given all the work that has been done and the consensus achieved, that should not be fatal, but it might mean the proposals will be in intensive care. If we do not take this opportunity, it will be missed. It is, therefore, important that the Leader of the House takes back to the Prime Minister and her ministerial colleagues the consensus that there is for these proposals and that we should get on with it.
ParlaMint-GB_2017-12-19-lords.u171	My Lords, the day has been long. I have listened as every point that I might have made has been made by others, probably more eloquently. A few other points have been made as well. I shall not try the patience of the House by rehearsing what I might have said. I give my wholehearted support to the conclusions of the noble Lord, Lord Burns, and my thanks to him and his committee The authority of this House depends on its wisdom and expertise, so I will say a few words on these. Several speakers have mentioned the possible difficulty of persuading Peers to resign when their time is up or even under other circumstances. It occurred to me that something might be learned from other bodies with similar problems. At least one Cambridge college takes advantage of the wisdom of retired fellows by allowing them to attend and speak at meetings, but not to vote. Should we consider a similar offer to any retiring Peer who is interested? They could take part in the proceedings and allow the House to benefit from their wisdom, but by not voting they would not interfere with the evolving political balance that the report proposes. I do not particularly advocate this course, but it might be something to have in one’s back pocket Regarding expertise, several noble Lords spoke about an enhanced role for HOLAC. I support this and believe that this topic merits a debate in its own right. It will not be easy but, along with regionality and diversity, the commission should further its efforts to achieve a spread of professional expertise across all parties in the House. The world becomes more technocentric daily. As a non-engineer I can say that we undoubtedly need more Peers who can speak with authority in this area Let us move ahead without delay with the steps necessary to implement the report of the noble Lord, Lord Burns. Various speakers have suggested that it might not work for this reason or that. I remind them that the only way in which to ensure that it does not work is not to give it our full support.
ParlaMint-GB_2017-12-19-lords.u172	My Lords, I should say at the outset that this report, I am afraid, makes me feel somewhat uneasy. However, I acknowledge that the noble Lord, Lord Burns, and the members of his committee have produced ingenious, persuasive and seductive proposals. They have done exactly what they set out to do and have done it skilfully. They have come forward with a system that reduces the size of this House without the need for legislation. I well understand why the committee wanted a system that did not involve legislation, but that is precisely what causes me unease. Without legislation, the committee is proposing that we in this House, not one of whom has been elected by the general public, should decide for ourselves how many Members we should have. We the unelected will decide that; not the electorate, the elected House of Commons or the elected Government, but ourselves—an unelected elite The report goes on to propose a formula for deciding how many Members of this House should be Conservative, Labour, Lib Dem or independent. It may well be sensible but, in deciding that formula, it would be the unelected deciding the party make-up of this House—not the electorate, the House of Commons or the elected Government. This matters because we are a legislature. This House helps to write the law of the land and, despite the Parliament Acts, every year this House writes or rewrites much of the legislation that reaches the statute book. Yet, under these proposals, this House would decide off its own bat its size and party make-up. If this kind of self-appointed oligarchy were being established in a parliament in some far-off banana republic, I bet that there would be howls of outrage from many parts of this House about the affront to democracy I understand that the report’s objective is to improve the public’s perception of the House of Lords, but I have an inkling that the public may not be as easily appeased as we might think.
ParlaMint-GB_2017-12-19-lords.u173	I have some difficulty with the argument of the noble Lord, Lord Sherbourne. It is not the House of Commons that has decided the size or political composition of this House. The noble Lord is suggesting a remarkable constitutional innovation. This House and its political composition are the size they are for a number of historical reasons. I am very conservative about these things and would not want to follow the revolutionary course he proposed Speaking late in a debate has few advantages but one can pretend that one’s own views were the consensus, and I detect a consensus that coincides remarkably with my own view. I detect a consensus that the noble Lord, Lord Burns, and his committee have done an admirable job, agree that their proposals are the only show in town, as the noble Lord, Lord Beith, stated, and agree with the noble Lord, Lord Forsyth, that we should seize this opportunity that may not recur. Like the noble Lords, Lord MacGregor and Lord Jopling, I wish we could reduce our size to 600 a little quicker than 11 years. But actually, we probably will, because the noble Lord, Lord Geddes, was right to point to the likely exodus when decant, so 11 years may be a pessimistic estimate What most, though not all, are saying is that it all depends on the attitude taken by No.10 and the three great parties. That is true. Like the noble Lord, Lord Forsyth, I pay tribute to what the noble Lord, Lord Newby, said about the position of the Lib Dems. We are about to hear from the Leader of the Opposition, whose stamina in sitting through all this is remarkable. I heard the Leader of the House and was mildly encouraged, although what she said was a little gnomic. I hope she will bring home to the Prime Minister the degree of genuine consensus on the Burns proposals that the debate has revealed To come here is not a reward but a responsibility. I am not sure that the previous Prime Minister, so lavish with rewards for friends, funders and retainers, always understood that or explained it to those he sent here. Much of that army seems to have melted into the mist. We have not heard from many of them today, with the honourable exception of the noble Lord, Lord Sherbourne, who is a regular attender. Being 800 strong makes us a laughing stock but the real scandal is appointing legislators who are not prepared to legislate. The record so far suggests that the current Prime Minister is more responsible regarding our overall numbers and more demanding of the duties of those she sends here. That strikes me as a good omen for the discussion that the Leader is no doubt about to have with the Prime Minister. I should be content and hope that the Leader will report the constructive suggestion of the noble Lord, Lord Armstrong of Ilminster, because it is important that the Government Front Bench should always be properly womanned, manned, personned I would like to add one Scottish point because I am a Scotsman and not many Scottish points have been made today. The debate is, therefore, so far, defective. I will put this right. The Burns plan, as I understand it, entitles the parties—all the parties—to seats in proportion to the votes cast, and seats secured, in the elections to the other place. As I understand it, if a party does not take up its entitlement, the seats in question are not reallocated to other parties but stay vacant, like Sinn Fein’s seats in the House of Commons now. I think we can assume that Sinn Fein would not take up its seats in this House, but what about the SNP? I think it would be quite hard for the SNP to explain to the people of Scotland why the largest party in Scotland, though having no Sinn Fein-type doctrinaire objection to sitting in Westminster, as it is well represented in the House of Commons, should not take up Scottish seats here but should leave them empty. Since I believe that our debates here on Scottish issues would greatly benefit from hearing from the governing party in the Parliament in Edinburgh, making the SNP more likely to overcome its reluctance to come here is an additional advantage of the Burns proposals.
