ParlaMint-GB_2017-10-30-commons.u1	1. What steps he is taking to support economic growth and job creation in coastal communities.
ParlaMint-GB_2017-10-30-commons.u316	I am grateful to the right hon. Lady for the spirit in which she addressed the questions. She asks, if I may say so, the right questions about the way ahead. The UK is substantially committed to the support of the Palestinian Authority and to building up the institutions in Palestine. British taxpayers’ cash helps about 25,000 kids to go to school, we help with about 125,000 medical cases every year and the Department for International Development gives, as she knows very well, substantial sums to support the Palestinian Authority with a view to strengthening those institutions. When it comes to recognising that state, we judge, in common with our French friends and the vast majority of our European friends and partners, that the moment is not yet right to play that card. That on its own will not end the occupation or bring peace. After all, it is not something we can do more than once: that card having been played, that will be it. We judge that it is better to give every possible encouragement to both sides to seize the moment and, if I may say so, I think the right hon. Lady is quite hard, perhaps characteristically, on the current Administration in Washington, which is perhaps her job—
ParlaMint-GB_2017-10-30-commons.u317	It ought to be your job, too.
ParlaMint-GB_2017-10-30-commons.u318	Indeed, and I am hard where it is necessary, but there is a job to be done. At the moment, as I think the right hon. Lady would accept, there is a conjuncture in the stars that is uncommonly propitious. I will not put it higher than that, but there is a chance that we could make progress on this very vexed dossier. We need the Americans to work with us to do that and we need them to be in the lead because, as she will understand, of the facts as they are in the middle east We need the Palestinian Authority, with a clear mandate, to sit down and negotiate with the Israelis and do the deal that is there to be done, and which everybody understands. We all know the shape of the future map and we all know how it could be done. What is needed now is political will, and I can assure the right hon. Lady and the House that the UK will be absolutely determined to encourage both sides to do such a deal.
ParlaMint-GB_2017-10-30-commons.u319	Of course it is right to mark the centenary of the Balfour declaration, but as we have already heard, we often concentrate too much on the first part of the declaration at the expense of the second. Does anyone really believe that the statement—the very clear statement—that “nothing shall be done which may prejudice the civil and religious rights of existing non-Jewish communities in Palestine” has been adhered to? Does my right hon. Friend not agree that a positive way in which to mark this important centenary would be for the UK finally to recognise a Palestinian state, something many of us in this House believe would honour the vision of those who helped bring about the state of Israel in the first place?
ParlaMint-GB_2017-10-30-commons.u320	I agree very much with my right hon. Friend that, as it were, the protasis of the Balfour declaration has been fulfilled, but the apodosis has not. It should have spoken of the political rights of those peoples and, by the way, in my view it should have identified specifically the Palestinian people. That has not yet happened, and it is certainly our intention to make sure that Balfour does not remain unfinished business. As I have said, we want to recognise a Palestinian state as part of a two-state solution, but we judge that the moment to do that is not yet ripe.
ParlaMint-GB_2017-10-30-commons.u321	While the historical context is complex, we have stressed the need to learn some important and relevant lessons from the Balfour declaration. There is plenty of room for lessons to be learned, and for historic and moral responsibilities to be assumed for the betterment of all the peoples of the middle east today. This must start with the recognition of the state of Palestine as a fundamental stepping stone towards a lasting two-state solution. I welcome the Foreign Secretary’s words, at least in principle, on that solution. However, we deeply regret that the UK Government have not fulfilled their commission in the declaration that, as we have already heard, “nothing shall be done which may prejudice the civil and religious rights of existing non-Jewish communities in Palestine” The consequence of this failure remains all too clear. We hope that the centenary of the Balfour declaration will serve as an opportunity for reflection and a reinvigorated peace process across the middle east The Scottish National party supports the European Union position of a two-state solution based on the 1967 borders, and we firmly encourage Palestine and Israel to reach a sustainable, negotiated settlement under international law, based on mutual recognition and the determination to co-exist peacefully. The SNP has consistently condemned obstacles to progress in the peace process, such as the indiscriminate rocket attacks on Israel or the continued expansion of illegal settlements in the occupied territories Opposition Members have repeatedly called on the UK Government to use their influence to help to revitalise the peace process. I repeat those calls and ask the Foreign Secretary what efforts he is making to use his influence to bring about a renewed effort to break through the political deadlock and bring an end to this conflict The Scottish Government have been clear that they would welcome a Palestinian consulate in Edinburgh. Will the Foreign Secretary take this opportunity to recognise formally a Palestinian state as a fundamental stepping stone to a two-state solution by enabling the opening of an embassy?
ParlaMint-GB_2017-10-30-commons.u322	Of course we are doing everything in our power to push on with a two-state solution. I have spoken about the outlines of a deal that everyone can imagine—the land swaps for peace that can be arranged—but it is also vital that we remember that Israel has a legitimate security interest. If we are to get this done, I am afraid it is essential that not just Fatah and the PA but Hamas as well have to understand that they must renounce terror, their use of anti-Semitic propaganda and the glorification of so-called terrorist martyrs. They must commit to the Quartet principles, and then there is genuinely the opportunity to get both sides together The hon. Gentleman asks rightly about what this country is doing specifically to advance this, and we are engaged heavily in the diplomacy. Not only is the Israeli Prime Minister coming this week, as is proper, to mark Balfour, but Mahmoud Abbas, the Palestinian leader, will come next year. We look forward to an intensification of contacts with them in the run-up to that visit.
ParlaMint-GB_2017-10-30-commons.u323	Does my right hon. Friend agree that the best route to rediscover the unique moral authority associated with the Zionist project, delivering after two millennia a safe place for global Jewry in the remarkable state of Israel, is for the state of Israel itself, secured by the support of the world’s pre-eminent power of 2017, to take on responsibility for the delivery of the unfulfilled part of the Balfour declaration by the world’s pre-eminent power of 1917, which it plainly is not in a position now to deliver itself, and for Israel to share the security and justice it has achieved for global Jewry with their neighbours?
ParlaMint-GB_2017-10-30-commons.u324	I am grateful to my hon. Friend, and I recognise the great learning and expertise he brings to discussion of this issue and his passion for the cause of finding a solution to the Arab-Israeli conflict. It is something that I agree strongly is in the hands of this generation of Israeli politicians, and they are certainly aware of that. But it is also in the hands of the Palestinians, and as I said a moment ago, they must do certain things if we are to get this process moving. It is also vital, as my hon. Friend rightly observes, that the greatest patron, ally and supporter of Israel—the United States—should play its full role in moving this process forward.
ParlaMint-GB_2017-10-30-commons.u325	The Balfour declaration recognised the rights of the Jewish people to national self-determination in their historic homelands, which go back more than 3,000 years. Does the Foreign Secretary believe that there are now new opportunities in the middle east to start again to try to secure a negotiated solution to this intractable conflict, so that the Palestinian people as well as the Jewish people can have their own states in the region?
ParlaMint-GB_2017-10-30-commons.u326	I do indeed recognise the opportunity the hon. Lady identifies. I believe there is an unusual alignment of the stars. Effectively, we have the chance to proceed now with a version of the Arab peace plan that has been on the table since 2002. Nobody ever got rich by betting on a successful conclusion of the middle east peace process, but there is an opportunity and we must do whatever we can to persuade both sides that this is their moment for greatness. That is certainly the case we are making to both of them.
ParlaMint-GB_2017-10-30-commons.u327	As we celebrate 100 years of the Balfour declaration, does the Foreign Secretary agree that this event can be regarded as an act of great diplomatic skill on the part of his illustrious predecessor, Lord Balfour, in so far as it triggered a process leading to the creation of Israel, thus providing a strong, stable, democratic and non-sectarian ally for the UK in the heart of the notoriously unstable middle east?
ParlaMint-GB_2017-10-30-commons.u328	I agree totally with my hon. Friend. The Balfour declaration was an historic event that led to a giant political fact: the creation of the state of Israel, which I believe to be one of the most stunning political achievements of the 20th century. As I said, I do not think anybody in this House could seriously wish the undoing of that fact. Nobody looking at Israel—a democracy and a liberal, tolerant society in the middle east—could seriously wish away that achievement. We should celebrate the existence of the state of Israel—we certainly celebrate our relationship with the state of Israel here in this country—but we must recognise and accept that for others the fact of the Balfour declaration carries very different overtones. They remember it in a very different spirit, so it is important we mark this anniversary with sensitivity and balance.
ParlaMint-GB_2017-10-30-commons.u329	The best legacy of the centenary of the Balfour declaration would be to make concrete progress towards the two-state solution we all want to see. Does the Foreign Secretary agree, in this centenary year, to support and properly invest in the International Fund for Israeli-Palestinian Peace, which could help us to take that big step? I desperately want to see a Palestinian state and have campaigned for that all my life, but it is very important that Members understand there is no legalistic, unilateral or bureaucratic route to that objective. It will not be achieved by being imposed from the outside or by unilateral declarations here or anywhere else. It will only be achieved by getting Israelis and Palestinians to work together to build trust, to negotiate and to compromise, and for economic development and trade in the west bank, and the reconstruction and demilitarisation of Gaza.
ParlaMint-GB_2017-10-30-commons.u330	I completely agree with the aspiration the hon. Gentleman sets out. I believe that the future is economic interpenetration and mutual prosperity. That is why next year we are investing £3 million in co-existence projects of exactly the kind he describes.
ParlaMint-GB_2017-10-30-commons.u331	Is there anything we can do about illegal settlements beyond saying that we are very, very cross?
ParlaMint-GB_2017-10-30-commons.u332	I am grateful to my right hon. Friend, who makes a valid point. Beyond our repeated statements of disapproval, Members may recollect that we led the way just before Christmas last year with UN resolution 2334, which specifically condemned new illegal settlements. The Prime Minister and I have been at pains to point out to Prime Minister Netanyahu, both here in London and in Jerusalem, our view that the settlements are illegal. That is a point on which we will continue to insist.
ParlaMint-GB_2017-10-30-commons.u333	It is certainly right that the House celebrates the creation of the state of Israel, but it cannot celebrate—in fact, it must condemn—the failure of successive UK Governments to help safeguard the rights of Palestinians. Given our historical role, will the Foreign Secretary set out what single, concrete international initiative he intends spearheading to help secure a viable Palestinian state, and will he set out what conditions would have to be met for the UK to recognise Palestine?
ParlaMint-GB_2017-10-30-commons.u334	I have been pretty clear with the House already that we see the most fertile prospects now in the new push coming from America, and we intend to support that. As and when it becomes necessary to play the recognition card, we certainly will do it—we want to do it—but now is not yet the time.
ParlaMint-GB_2017-10-30-commons.u335	Notwithstanding the challenges of unfinished business to which my right hon. Friend rightly referred, does he agree that centenaries can be a powerful way to draw people together, thoughtfully and respectfully, even where, as here, the history is complex and nuanced?
ParlaMint-GB_2017-10-30-commons.u336	I strongly agree. It has been salutary for people to look back over the last 100 years at the many missed opportunities and at the reasons Balfour thought it necessary to make his declaration. It was not, as is frequently said, simply that Britain wanted to solicit American support in the first world war; it was genuinely because of a need, an imperative, to deal with the pogroms and the anti-Semitism that had plagued Russia and so many parts of eastern Europe for so long. It was vital to find a homeland for the Jewish people, and history can be grateful that Balfour made the decision he did, though we have to understand at the same time the injustice and suffering occasioned by that decision.
ParlaMint-GB_2017-10-30-commons.u337	In the same week we celebrate the centenary of the Balfour declaration, will the Foreign Secretary take the opportunity to condemn the actions in Abu Dhabi in recent days, when five Israelis who won medals at the judo grand slam were denied the chance afforded to other athletes of celebrating with their country’s flag and anthem during the awards ceremonies and when one athlete refused to shake the hand of an Israeli athlete? There can be no place for this type of discrimination. If we are to see peace, we have to acknowledge and support both the Israeli and the Palestinian people.
ParlaMint-GB_2017-10-30-commons.u338	I completely agree. We condemn anti-Semitism and displays of such prejudice wherever they occur. The example the hon. Lady gives shows the paramount need to sort out this problem and end this running sore.
ParlaMint-GB_2017-10-30-commons.u339	Does my right hon. Friend agree that not only is Israel a beacon of hope and democracy in the middle east but that our strategic partnerships in the fields of security and defence are vital to the safety of both our nations and should be enhanced and developed?
ParlaMint-GB_2017-10-30-commons.u340	My hon. Friend is completely right. We have an intensifying commercial partnership with Israel. It is a country at the cutting edge of high technology of all kinds. We co-operate in financial services, aviation and all kinds of fields, as well as, very importantly, security and intelligence, as he rightly identifies.
ParlaMint-GB_2017-10-30-commons.u341	I welcome the Foreign Secretary’s measured tone in recognising the rights of Palestinians and the obligations that the Balfour declaration places on the UK Government. When he has dinner with the Prime Minister of Israel, may I suggest that he says that sustainable peace in the middle east can be built only on the basis of equal rights, equal dignity and respect for all, Israelis and Palestinians alike? On the UK Government’s role, will he point out that we will uphold the Geneva convention, which Britain co-wrote and ratified after the second world war, in that we will not trade with settlements that he himself has said are illegal? Finally, may I point out that the House considered the issue of recognition at length and, following considered debate, voted by 274 votes to 12 that the UK Government should recognise the state of Israel alongside the state of Palestine as part of our moral obligation to the Palestinian people, as set out in the declaration?
ParlaMint-GB_2017-10-30-commons.u342	I certainly agree with the majority view of Members of the House that we must, in time, recognise the Palestinian state. I have to be honest, however: I do not happen to think that now is the most effective moment to do that. In that, we are at one with our partners around the EU. The hon. Gentleman makes a point about boycotts. I do not think that that is the right way forward. I do not think that boycotting Israeli products makes sense. The biggest losers would be the workers from Palestinian and Arab communities who benefit immensely from the economic activity generated by those Israeli companies.
ParlaMint-GB_2017-10-30-commons.u343	As my right hon. Friend rightly says, we have a long way to go to achieve an end to violence and a two-state solution, but does he agree with me and many of my constituents that this anniversary is an opportunity to celebrate modern Israel, its vibrant economy, its liberty and diversity, its democracy and, above all, the fact that at a time of rising anti-Semitism, it still provides a safe home for the Jewish people?
ParlaMint-GB_2017-10-30-commons.u344	I congratulate my hon. Friend on speaking up for his constituents. He is right to want to celebrate the existence of the state of Israel, though he must recognise that in celebrating the Balfour declaration we must also accept that the declaration itself, on 2 November 1917, today has different echoes for different people around the world, and it is important that we be balanced and sensitive in our approach.
ParlaMint-GB_2017-10-30-commons.u345	For a change, will the Foreign Secretary tell me what the Israeli Government have to do to get a peace settlement? A lot of emphasis is put on the Palestinians. How does he think that Donald Trump can resolve the problem, when he has failed to put pressure on the Israeli Government to stop the settlements?
ParlaMint-GB_2017-10-30-commons.u346	I think the hon. Gentleman answered his own question as he sat down. The Israeli Government need to stop the illegal settlements. They are not yet making it impossible to deliver the new map, but every time they build new units—as he knows, there are new units going up in Hebron in east Jerusalem—they make that eventual land swap more difficult and move us further from a two-state solution. That is the point we make to our Israeli friends—and, by the way, that is the point made by many allies around the world.
ParlaMint-GB_2017-10-30-commons.u347	It is clearly true that residents of the occupied Palestinian territories do not enjoy the full civil rights promised to them in the Balfour declaration, but is it not also true that neither do the more than 800,000 Jews expelled from countries in the middle east and north Africa? We must remember that 21% of the population of the current state of Israel are Arab Palestinians, whereas there has been wholescale ethnic cleansing of Jews from Arab and north African countries, starting in 1948.
ParlaMint-GB_2017-10-30-commons.u348	My hon. Friend has an excellent point and alludes to the third leg of the Balfour declaration. Balfour spoke of the civil and religious rights of the existing non-Jewish communities and then of course of the rights of Jewish communities elsewhere around the world. As my hon. Friend rightly says, hundreds of thousands of them were expelled from their homes, too. They will also benefit from a lasting peace between the Arabs and Israelis. That is what we want to achieve and what we are pushing for.
ParlaMint-GB_2017-10-30-commons.u349	Does the Foreign Secretary agree that it is impossible to reject the Balfour declaration in its entirety, as some may seek to do, and support a two-state solution? Will he therefore join me in celebrating Balfour and commit to redoubling our efforts to achieve a two-state solution and peace in the region?
ParlaMint-GB_2017-10-30-commons.u350	I certainly share the hon. Lady’s enthusiasm for and passionate belief in the vital importance of the state of Israel, which, as I told the House earlier, I believe to be one of the great achievements of humanity in the 20th century, given all the suffering the Jewish people had been through. It is a great immovable fact—I hope—of geopolitics. We also have to recognise, however, that in the course of creating that wonderful experiment, huge numbers of people suffered and lost their homes. Their wishes and feelings must also be respected. It is in that spirit that we mark Balfour today.
ParlaMint-GB_2017-10-30-commons.u351	Is it not the case that the rights of non-Jews in the state of Israel are 100% protected as per the Balfour declaration? Does the Foreign Secretary not agree that it would be wholly inappropriate and wrong for anyone to seek to use this centenary to perpetuate the myth and falsehood that the failure to establish a Palestinian state is wholly the responsibility of Israel, because to do so would be to deny the role of neighbouring Arab countries in 1948 in attacking Israel and preventing the existence of an Arab state, and also the failure of the Arab leadership to grasp peace plans as they have been offered?
ParlaMint-GB_2017-10-30-commons.u352	My hon. Friend is completely right. That is why I speak in the terms that I do about the state of Israel. It is a pluralist society, a society that protects the rights of those who live within it. It is a democracy. It is, in my view, a country to be saluted and celebrated. My hon. Friend is, of course, also right in pointing to the many failures of diplomacy and politics that I am afraid have been perpetuated by the Palestinian leadership for generations. We have to hope now that the current generation of leaders in the Palestinian Authority will have the mandate and the momentum to deliver a different result.
ParlaMint-GB_2017-10-30-commons.u353	Some Members will be aware that I spent nearly a year and a half in Gaza working as a surgeon in 1991 and 1992. I was there when the Madrid peace process started, and by half-past 4 in the afternoon, young men were climbing on to armoured cars with olive branches. When I came back four weeks ago, my feeling was that we were further from peace than we had been a quarter of a century earlier When I spent time on the west bank recently, I saw settlements expanding at an incredible rate. We blame America, and we expect America to come up with a solution, but people in Israel look to Europe, because they see themselves as part of Europe. I think the United Kingdom and Europe need to use their power to secure a new peace process, and part of that is to do with recognition. How can we talk about a two-state solution if we do not recognise both states?
ParlaMint-GB_2017-10-30-commons.u354	Obviously, I have great respect for the work that the hon. Lady has done in Gaza, and I appreciate the suffering that she has seen there. There is no doubt that the situation in Gaza is terrible. As the hon. Lady knows, the UK Government do a lot to try to remedy affairs by supporting, for instance, sanitation projects and education, but in the end a trade-off must be achieved. The Israelis must open up Gaza for trade and greater economic activity to give the people hope and opportunity, but before that happens, Hamas must stop firing rockets at Israel. Hamas must recognise the right of the Israeli state to exist, and it must stop spewing out anti-Semitic propaganda.
ParlaMint-GB_2017-10-30-commons.u355	Last year I had the privilege of visiting Israel and the west bank with members of Conservative Friends of Israel. I am bound to say that I was disappointed by the lack of impetus, or of willingness, on the part of both sides to engage and get round the table. Does not the centenary commemoration present an opportunity both for the resumption of direct peace talks, and for the United Kingdom to continue to engage and encourage the fulfilment of that two-state solution?
ParlaMint-GB_2017-10-30-commons.u356	I absolutely agree. I hope that both sides of the equation, the Palestinians and the Israelis, will study my statement with care, because I believe that it offers a way forward that would be massively to the advantage not just of their countries, but of the whole of the middle east and, indeed, the world.
ParlaMint-GB_2017-10-30-commons.u357	I welcome much of what the Foreign Secretary has said this afternoon, and the sensitivity with which he has said it, although I think he is making the wrong decision about recognition During his visit, will the Foreign Secretary raise with Prime Minister Netanyahu the issue of legislation relating to the annexation of settlement blocs in Jerusalem, which would displace 120,000 Palestinian people? That is clearly an impediment to the achievement of the viable two-state solution that is wanted by Members on all sides of the argument.
ParlaMint-GB_2017-10-30-commons.u358	I can answer the hon. Lady’s question very briefly. I will certainly raise that issue, as I have raised the issue of illegal settlements in the past, directly with Prime Minister Netanyahu.
ParlaMint-GB_2017-10-30-commons.u359	Does my right hon. Friend agree that it is deeply disappointing that the Leader of the Opposition will not attend a dinner to mark the centenary of the Balfour declaration?
ParlaMint-GB_2017-10-30-commons.u360	I believe that it is disappointing. The vast majority of Members on both sides of the House have said this afternoon that this occasion is of huge importance to the world, because it marks an event in which our country played an enormous part—and, indeed, we still have a large part to play. One would have thought that the Leader of the Opposition would at least be interested in trying to achieve a solution to a problem that has bedevilled the world for so long, and would not, by his absence, be so blatantly appearing to side with one party and not the other. I must say that I find that unfortunate.
ParlaMint-GB_2017-10-30-commons.u361	The Foreign Secretary’s refusal to treat Palestinians and Israelis equally, as shown by his refusal to recognise Palestine as a state alongside Israel, is exactly the reason the Israelis are building in Hebron and, last week, annexed further settlements in the Jerusalem municipality. What will the Government actually do to honour Balfour’s assurance to non-Jewish communities? So far, apart from warm words, all I have heard is that the Foreign Secretary seems to support trade with illegal settlements, that he is setting new conditions for the Palestinians, and that he is blaming the Palestinian leaders for their own occupation.
ParlaMint-GB_2017-10-30-commons.u362	It is wholly untrue to say that we have offered the Palestinians nothing but warm words. The hon. Gentleman should consider the huge sums that the UK gives to the Palestinian authorities, the massive efforts that we make to help them with their security concerns, and the intimate co-operation that takes place between the UK and the Palestinian Authority. We are doing everything in our power to ready the Palestinians for statehood, but we do not consider that they are ready for recognition yet. This is obviously not the moment, given the problems that Mahmoud Abbas is experiencing. We think that a much more productive approach would be getting both sides together and beginning the process of negotiation on the basis of the programme that I have outlined today, leading to a two-state solution. That is what we need.
ParlaMint-GB_2017-10-30-commons.u363	I welcome the Foreign Secretary’s measured statement, and his optimism about the prospects for a two-state solution with Israel, rightly, living in security. Does he agree, however, that the accelerated settlement-building is not just to be gently deprecated but is truly egregious, illegal, and a growing obstacle to peace?
ParlaMint-GB_2017-10-30-commons.u364	I totally agree with my hon. Friend, and that is the language that we have been using. It is what my right hon. Friend the Minister for the Middle East has said time and again during his trips to the region. Indeed, whenever representatives of either party have come to this country we have strongly condemned the building of illegal settlement units, and we have denounced the recent acceleration in the building of those units. We think that that is making it more difficult to achieve a two-state solution, but it is not yet impossible, which is why we want to seize this opportunity.
ParlaMint-GB_2017-10-30-commons.u365	I am proud to sit on these Benches as the first ever British Palestinian Member of Parliament. My family are from Jerusalem. They were there at the time of the Balfour declaration, but, like many others, they had to leave as part of the diaspora When it comes to recognition, the Foreign Secretary speaks of playing a card, but this is not a game. He speaks of a prize to be given for recognition, but it is not something to be bestowed; it is something that the Palestinians should just have. Can he not see how Britain leads the world on foreign policy? If we are to have a true peace process, we must ensure that both sides are equal as they step up to the negotiating table.
ParlaMint-GB_2017-10-30-commons.u366	I strongly agree with the hon. Lady’s last point. I am full of respect for the suffering of her family in the face of what took place following the creation of the state of Israel, and I know that the experience of many Palestinian families was—and indeed still is—tragic, but our ambition in holding out the prospect of recognition, working with our friends and partners, and trying to drive forward the peace process leading to a two-state solution is to give Palestinian families such as her own exactly the rights and the future that they deserve, in a viable, contiguous, independent, sovereign Palestinian state. That is what we want to achieve.
ParlaMint-GB_2017-10-30-commons.u367	I know the Foreign Secretary will agree with me that a prosperous democracy where people can freely practise their religion in Israel is part of what we want to see ultimately in the Palestinian state as well. Can he confirm that he will use every opportunity of this centenary of the Balfour declaration to push forward that long-term goal?
ParlaMint-GB_2017-10-30-commons.u368	Absolutely: that is the ambition and the goal, and clearly we hope that the state of which I just spoke will be a democratic, liberal state, just as Israel is.
ParlaMint-GB_2017-10-30-commons.u369	rose—
ParlaMint-GB_2017-10-30-commons.u370	Let us have the busiest MP: Jim Shannon.
ParlaMint-GB_2017-10-30-commons.u371	As a friend of Israel, I look forward to the day when the Palestinian people can enjoy the security of a sovereign state on the successful conclusion of a negotiated two-state solution. One of the biggest obstacles to achieving that is the Palestinian Authority’s counterproductive unilateral steps to gain statehood recognition through international bodies, so will the Foreign Secretary join me in calling for the PA to stop those harmful measures and instead to express support for the renewal of direct peace talks, because that really is the only way forward?
ParlaMint-GB_2017-10-30-commons.u372	By far the better way for the PA to achieve what it wants is not to go through international bodies, but to get around the table with the Israelis and begin those crucial negotiations.
ParlaMint-GB_2017-10-30-commons.u373	On a point of order, Mr Deputy Speaker. Last week in his evidence to the Exiting the European Union Committee, the Secretary of State for Exiting the European Union told us that the list of sectors for which an analysis of the impact of Brexit was completed would be made available imminently. He said: “I have signed a letter to the Lords committee on it, which includes the list. If it has not gone yet, it will go soon.” On Thursday, when I inquired of Department for Exiting the European Union Ministers, who were then giving evidence, about the list, they said: “I know as much as you do in terms of what the Secretary of State said yesterday. I know that there is a list, and as I think he said it has been signed off to go, so it should be with both your Committees before too long, I suspect.” A couple of hours ago the list finally arrived in the Lords, buried in a 25-page document, but it has not been sent to the Commons Select Committee for Exiting the EU, as promised. In fact, it only received it after being sent the document from my office Given that the publication of this list has been promised “shortly” at least since June in this House, including by the Prime Minister in October; that over 120 MPs wrote to the Secretary of State requesting it just some weeks ago; and that the overwhelming interest that Members of Parliament will have, for businesses and families in our constituencies, in the studies the Government are undertaking on the impact of Brexit on our economy, would it not have been in order for the list to have been, at a minimum, published in a written ministerial statement, so that it is equally and easily accessible by all Members of this House?
ParlaMint-GB_2017-10-30-commons.u374	That is not a matter for the Chair, but it is definitely on the record now. I am sure people have heard what the hon. Lady had to say, and hopefully they will respond as they have done for the Lords.
ParlaMint-GB_2017-10-30-commons.u375	I beg to move, That the Bill be now read a Second time We have the best armed forces in the world. From their service in Afghanistan, and their support to the coalition to defeat Daesh in Iraq and Syria, to being at the forefront of the humanitarian response to hurricane Irma, their courage and professionalism are renowned the world over. We are investing some £18 billion a year in new ships, submarines, aircraft and armoured vehicles, but it is not enough just to modernise our armed forces with new equipment; we need to ensure that service within the armed forces reflects a modern lifestyle We know that one of the main reasons why people choose to leave the armed forces is the impact of service on their family life. At the moment, many regular personnel who are unable to meet their unlimited military commitments for periods of time have no other choice than to leave the service. They lose a good career; we lose their hard-won knowledge, skills and experience It is a fact that today people want greater choice over how they run their lives, and when and where they work. If we are to compete for, and retain, the best people, our armed forces need to respond with greater flexibility, making the lives of those who proudly serve our nation easier Total and unlimited choice is not, of course, possible in the disciplined environment of the armed forces, where the requirement to serve the needs of the country is paramount. So maintaining operational effectiveness is our absolute red line, but that does not mean that we should not offer our people more choice about how they live and work.
ParlaMint-GB_2017-10-30-commons.u376	I could not agree more with what the Secretary of State has said so far about both the professionalism of our armed forces and the need for greater flexibility, but does he recognise that one of the reasons why many people have left, and one of the reasons why there has been such an impact on their family life, is the huge reduction in armed forces personnel numbers and the increasing expectation on those people, with all that is going on? That has been one of the causes of their having such poor family lives.
ParlaMint-GB_2017-10-30-commons.u377	The armed forces continue to meet what are called the harmony guidelines and we have stabilised the size of the armed forces—the hon. Gentleman referred to reductions—but I also recognise that we are asking ever more of our armed forces each successive year, with the deployments in different parts of the world The 2015 strategic defence and security review committed us to an ambitious programme of modernisation of our personnel policies. There are already a range of initiatives in place to support flexible working. Subject to chain of command approval, service personnel have already been able to work compressed hours or vary their start and finish times. They can also take unpaid leave for up to three months and longer-term career breaks to help meet life’s commitments—for example, when a partner is posted overseas—and, in certain circumstances, they are even able to work from home We know that these existing initiatives are popular: in the six months to July 2017, 1,400 personnel had taken advantage of them. This Bill will take these initiatives a step further and provide more formal arrangements and certainty, including allowing personnel to work shorter hours.
ParlaMint-GB_2017-10-30-commons.u378	The Secretary of State might come on to answer this question: I acknowledge that members of the armed forces can already apply for flexible working, as he has stated, including late starts and working from home, but it would be helpful to hear more about the gap the Secretary Of State sees being filled by the new forms of flexible working he is introducing.
ParlaMint-GB_2017-10-30-commons.u379	The hon. Lady anticipates my speech, as I will be coming on to that. If I do not do so adequately, I am sure she will have the chance to intervene again More flexible working than we have at present would help alleviate some of the strain people face at critical times in their career, whether because of family responsibilities, caring needs, or a desire to pursue further educational opportunities. It will help us to recruit and retain more of the people we need, and make our services more representative of the society they serve In particular, we are committed to see women account for 15% of our new recruits by 2020, and evidence suggests that they see greater opportunities for flexible working in the services as particularly attractive. Two thirds of the applications approved in our ongoing flexible duties trial are from female service personnel. We are on track to meet our 2020 target, with the latest figure for all services at 11.4%, but I want to do better than that, and the Bill will help. We have opened up every single role in our armed forces to women so that talent, not gender, determines how far anyone can go. That means ensuring that they are able to stay to achieve their potential. At the core of the Bill is our wish to ensure that the armed forces are seen as modern and attractive employers, but that is getting harder to achieve against an increasingly competitive backdrop, with the competition for talent expected to increase in the years ahead.
ParlaMint-GB_2017-10-30-commons.u380	I declare an interest as one of those Members on the armed forces parliamentary scheme; I am currently doing the RAF one. Through the scheme, I have had the chance to meet soldiers and RAF personnel, and I have heard lots of things. Two things have come up on recent visits. The first is a need to ensure that the accommodation is right. Much of the accommodation is not right for families. In particular, it does not suit people who come into the armed forces when they are single and subsequently get married. The second point relates to training. Some of the RAF personnel are saying that they are not getting the training they need to work on the new F-35s. Will the Secretary of State address those two points?
ParlaMint-GB_2017-10-30-commons.u381	We are addressing the important issue of service families’ accommodation, with various new arrangements for ensuring that they have improved accommodation. We are also putting a number of RAF personnel through the F-35 training programme. We have more than 100 personnel in the United States training up and learning how to support and maintain the F-35s, of which we have purchased more than a dozen so far More flexible working will help the services to compete and to attract and retain a better mix of people and skills. That will not only enhance operational capability through improved retention but provide a more diverse workforce. I am absolutely clear that a diverse workforce, with more women and more people from black and minority ethnic backgrounds, will be a more operationally effective workforce.
ParlaMint-GB_2017-10-30-commons.u382	I entirely concur with what the Secretary of State is saying about the roles that women can play in our armed forces, about the importance of diversity and about what the Bill can do to provide opportunities for flexible working. Does he really think, however, that this is going to be the silver bullet to deal with the recruitment crisis that exists, particularly within the Army? Figures released by the Minister for the Armed Forces, the hon. Member for Milton Keynes North (Mark Lancaster) this summer showed that we are under-recruited on every course. When we look at the line infantry, the Guards and the Paras, and when we look at Army Training Regiment Winchester and Army Training Regiment Pirbright, we see that they are significantly below the required recruitment levels and participation levels in those crucial training courses.
ParlaMint-GB_2017-10-30-commons.u383	I have made it clear that the Army faces a recruitment challenge as the economy continues to grow. The Army is about 95% recruited and I am told that Sandhurst places are now filled for the coming courses, but we need to do more. We need to continue to ask ourselves why we are not attracting some of the people we want to attract Flexible working for the armed forces is principally about recruitment and better retention. I want to emphasise that this is not a method of saving money. So what does the Bill do? There are two main provisions. Clause 1 makes amendments to section 329 of the Armed Forces Act 2006, which makes provision regarding terms and conditions of enlistment and service. Service personnel will be able to temporarily reduce the time they are required for duty—for example, by setting aside one or two days a week on which they will not work or be liable for work—or to restrict the amount of time that they spend separated from their normal place of work. The amendments extend the existing regulation-making powers in section 329 to allow the Defence Council to enable forms of part-time service and protection from being separated from a home base for prolonged periods for people serving in the regular armed forces. Clause 1 also enables regulations to be made about the circumstances in which these new arrangements can be varied, suspended or terminated.
