ParlaMint-GB_2017-02-01-commons.u1	Object Bill to be read a Second time on Wednesday 8 February.
ParlaMint-GB_2017-02-01-commons.u233	I shall be as brief as I can. It is slightly depressing when, because of collusion between the Front Benchers, the result is, as everybody knows, a foregone conclusion. Eric Forth, whom many of us will remember, always used to say that when the Front Benchers agree with each other, it is time for the House to be at its most active in examining precisely what that alliance means My hon. Friend the Member for Sheffield South East (Mr Betts) mentioned the fact that yesterday my hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer) said this is a very difficult issue for the Labour party—and indeed it is. I think it is a very difficult issue for every Member, presenting us with a paradox in knowing what is the right thing to do. Some say the result of the referendum means that supporting the Bill is the right thing to do, while others disagree, saying that their duty to their constituents transcends even party loyalties Let me make my position perfectly clear. I am in a very fortunate position. As I told the Prime Minister during her statement on the Monday after the referendum, on 27 June, my constituents voted by about 2:1 to remain in the European Union. As I said then, I always regard my prime responsibility to be towards my constituents My constituents have written to me in unprecedented numbers—I am sure that most Members will have had more contact with, and information from, constituents over this issue than just about any other; it certainly applies to me in my 25 years in this place—urging me to support the constituency’s vote. I will support their objection to leaving the European Union, and I will vote against Second Reading tonight. I will vote for the SNP amendment and against the programme motion—and I will continue to do so. I say to my Front-Bench team that I will be active next week, when the Bill is in Committee. I will seek to amend it, but I will vote against Third Reading as well. I will not be complicit in something that I know and feel to be wrong, and to be against the best interests not just of my constituents or this city, of which my constituency is a small part, but of the whole country and all its people. Anything else—whatever negotiations take place, whatever agreements are made—will be sub-optimal. Reform of the European Union, staying in the European Union and leading the campaign of reform was in the best interests of the British people, and I will do nothing now to undermine their position People have mentioned the status of European Union citizens in this country. I am sure that the Prime Minister is in earnest, and is being genuine, when she says that she wants to secure early agreement on reciprocal arrangements in Europe for British nationals living in EU countries. I say, as do others, that the answer is in her own hands. She can reassure EU nationals living in this country now by saying that their future, and that of their families, is secure. She can then go, quite rightly, to the chambers and the councils of Europe, and say, “We demand the same from you.” [Hon. Members: “What if they say no?”] There is only one reason why I would ever turn my back on the European Union and agree that we should leave. I would only do that if members of the EU denied British citizens the right that we can give to EU nationals.
ParlaMint-GB_2017-02-01-commons.u234	Conservative Members shouted “What if they say no?” Surely that is the point. Is the Prime Minister seriously suggesting that if the other countries said no, she would ask the European Union citizens who are currently resident in this country to leave?
ParlaMint-GB_2017-02-01-commons.u235	That is indeed precisely the point. We can do that, and we can do it now The reason UKIP has so little traction in London, for example, is that most Londoners, within a generation or two, are immigrants themselves—not necessarily from overseas, but from other parts of the United Kingdom: from Scotland, Wales, Northern Ireland, the north or the south-west. The idea of “the other” is nothing new to Londoners. I agree with what Members have said about the pace of social change. People need to feel that they are in control of it, that there is a role for them, and that they understand the nature of the change that is being effected I will vote as I have indicated because I believe it to be right. That might, in the fullness of time, prove to be a mistake on my part, but I nevertheless believe it to be right. What worries and depresses me about today’s proceedings is that I fear that many Members will vote tonight for something that they know is not right, because it is expedient for them to do so. I shall not join those ranks. I shall do whatever I can to ensure that the deal that will inevitably follow is the best it can possibly be, but I will not be complicit in undermining the position of the British people.
ParlaMint-GB_2017-02-01-commons.u236	For centuries Dover has had an important role as the gateway and guardian of the kingdom. During the referendum campaign, I was concerned about the potential impact on border security and cross-border co-operation and the potential impact on trade, because Dover is, in a very real sense, on the front line. I set out those concerns to.my constituents, as well as my concerns about the medium-term risks to the economy that the former Chancellor, my right hon. Friend the Member for Tatton (Mr Osborne), alluded to earlier The referendum followed a long and thorough debate. Whatever Members may think of its quality, there was a proper debate. People knew what they were voting for, and they made a clear decision. I, for one, will vote to respect the result The leader of the Liberal Democrats seems to think that it is all like “Hotel California”: you can check out, but you can never leave. I do not think that that is the right approach. Members of the Scottish National party think that there should be multiple referendums until one of them possibly produces the right result, but given their track record—losing the referendum on the alternative vote, losing the independence referendum and losing the European Union referendum—they are not doing too well. They might start to think that perhaps they ought to accept and respect a referendum result. I shall respect this result We need to be very clear about the red lines that we were given by the British people. My constituents have made very clear that, No. 1, there must be an end to unchecked EU migration, and, No. 2, there must be no more billions for bloated Brussels bureaucrats. That plainly indicates that we must leave the single market, and that if we want to do unfettered trade deals with the rest of the world, we must leave the customs union I make no bones about the fact that there will be a real impact on Dover, which is why I am working hard to make this a success. I have put together proposals on how we can restore border controls at Dover effectively, and I have convened a group to discuss how we can manage customs duties if we leave the European Union in two years, and how we can be ready on day one It is the job of the House, and the job of each and every one of its Members, not just to respect the result but to make it work for the good of the British people. We cannot be here hoping for doom, hoping for things to go wrong. We need to recognise that if things do go wrong, that will have an impact on the people whom we serve and represent. They will lose their jobs; they will lose their homes; they will be less well off. That is why I am making every effort to make this work, and why I implore everyone in the House to make it work and make a success of it. We must recognise that we shall have to leave the single market, recognise that we shall have to leave the customs union, and recognise that we shall have to be ready on day one We also need to recognise that there may not be a deal. We should work tirelessly, in good faith, for a deal, but it may be that no deal is immediately forthcoming—again, for the reason set out by my right hon. Friend for Tatton: that the mindset of our European colleagues is not currently conducive to a deal. That is why we must be ready on day one, and we must be ready for the fact that the EU may not wish to do a deal at that time. We should also bear it in mind that, as any deal-maker or negotiator will tell you, the best way to land a deal is to be prepared for no deal to take place. That is why we need to be ready for border controls, ready for customs duties, and ready for trade with the whole wide world, as well as being ready to do a positive deal and have positive engagement with the European Union in the years to come I implore the House to think and act constructively, to respect the result, and to look to the future of this nation believing that the best days are yet to come.
ParlaMint-GB_2017-02-01-commons.u237	I arrived in the House with my hon. Friend the Member for Lewisham West and Penge (Jim Dowd) 25 years ago. I am delighted to be sitting on the Bench with him today, and I am delighted to say that I agree with every word he said— which gives me four minutes in which to talk about other things. President Donald made a very important statement yesterday—President Donald Tusk, that is. Donald Tusk pointed to the threats that face Europe: the threats from Russia, the threats posed by climate change, and the threats from across the Atlantic, from the other Donald. I suspect that if this situation had arisen before the referendum, we might have seen a different result. More and more people in this country are realising that we need our European partnership, and that this is not the time to be leaving the co-operation of European foreign and security policy, not the time to be leaving the European Defence Agency, and not the time to be leaving that co-operation with our European partners.
ParlaMint-GB_2017-02-01-commons.u238	I understand what the hon. Gentleman is saying, and he is arguing with passion, but neither is it the time to replay the arguments of the referendum. The British public have spoken, and now it is down to us to act on their views and vote with the Government this evening.
ParlaMint-GB_2017-02-01-commons.u239	I am not replaying the arguments. I am dealing with realities. It is interesting to note that, at the last general election in 2015, the hon. Gentleman may have stood on a manifesto in which his party said yes to the single market. It also said that it would hold a referendum: it had a mandate to do that. But as the former Europe Minister, the right hon. Member for Aylesbury (Mr Lidington), said in June 2015: “The referendum is advisory, as was the case for both the 1975 referendum on Europe and the Scottish independence vote last year.”—[Official Report, 16 June 2015; Vol. 597, c. 231.] This Parliament must decide how, when and if the referendum should be implemented. The problem with the position that is being taken by both Front Benches is that triggering article 50 early will place us on an escalator travelling in one direction, with no ability to get off. A legal process is taking place in the Irish courts at this moment about whether—about the possibilities, the implications—article 50 is reversible. We do not know the judgment yet. Why on earth are we triggering before we know the legal position on article 50? Why have our Government decided to go for the hardest possible leaving of the EU—no customs union, no Euratom, problems for Gibraltar, and problems for the Northern Ireland peace process and the Good Friday agreement? All those things have been done before we know whether we could decide in a year’s time, or perhaps in two years’ time, before this process is complete We need not be on this escalator. We need a means to stop this process, and that is why we need clarity before we start triggering it. We did not need to trigger it in March this year; we could have waited. This did not need to be done before the French election and the German election The reality is that the ratification process requires decisions in 27 national Parliaments, in the regional Parliaments of Wallonia and elsewhere in Belgium, and in the European Parliament. If we have that process, we will have a narrow window of opportunity—perhaps just about a year from the autumn of this year to the autumn of 2018—and then there will have to be a ratification process. We will not get a good agreement. We could be in the disastrous position of going off the cliff with no agreement at all—with the terrible economic consequences of World Trade Organisation terms only. That would be an unmitigated disaster for my constituents and for the country I am doing what the right hon. and learned Member for Rushcliffe (Mr Clarke) talked about yesterday: I am voting as Members of Parliament should—I am following my own judgment and I am listening to my constituents and to the country.
ParlaMint-GB_2017-02-01-commons.u240	Will my hon. Friend give way?
ParlaMint-GB_2017-02-01-commons.u241	No, I have to conclude I will not be voting to trigger article 50 at any stage.
ParlaMint-GB_2017-02-01-commons.u242	I cast my personal vote for remain in the referendum. I had, and have, concerns about the security implications of leaving the EU. I have always been opposed to an EU army, and I wonder whether one may come about without us there to veto it. Many of the concerns I had about security issues across Europe have still not even been addressed or answered. I also had concerns about the inflationary effects of leaving, and some of those are kicking in, but I note that inflation has not reached the 2% level that the Bank of England aims for I surprised many of my colleagues, and especially those I sat with on the European Scrutiny Committee, by voting to remain, because they recognised that I never had any truck with the federalisation of Europe—the political side of Europe. I felt that that was wrong and that it impinged too far on the work of this Parliament. Indeed, many people in my constituency said to me, “We joined a common market. We didn’t join an EU.” Even though my personal vote was for remain, there was one thing I always passionately felt and fully supported. I do not class myself particularly as one of the hard right wingers of the Conservative party—one of those whom Opposition Members and those who are against this policy have painted as the only reason why the former Prime Minister was forced into a referendum. I passionately believed that there had to be a referendum, because people were never given their say on the European Union. They were given their say on the common market, and they said they wanted to be in it, but they were never given their say on the European Union What has been clear since the result of the referendum is that the EU has not taken seriously any of the lessons, in terms of why people in this country moved against it. I have to say that I would tomorrow vote to leave. We had an opportunity to negotiate with the European Union and work on some of the issues that were a problem for people in this country, but the European Union ignored our former Prime Minister, David Cameron; it did not think our country would vote to leave. I see the same issues now in the comments of the Maltese Prime Minister and of Donald Tusk, and there are real warnings on the horizon for such people in some of the elections taking place across Europe. This is an organisation that needs to reform; if it does not, I fear for where it will go Above all, the referendum was an exercise in democracy. It would be folly in the extreme for the other place, where politicians may be dominated by parties that have been diminished in the elected House, to try to go against the will of this House. It would be a suicide bid by the other place if it tried to amend or disrupt the will of this House. That is a warning that I give. I am on the record as wanting Lords reform. We cannot get Lords reform if the public are not behind us, but believe me, they will be right behind us if the Lords try to stop the will of this House over the next few weeks. I send that as a friendly warning that the Lords must take note of what this House says, because what this referendum has been about, above all else, is democracy: people saying they did not want to be controlled by unelected bodies in Europe People had their choice, and they expect us to action that choice. The result may not have been the one I voted for, but I am a democrat. Above all, I respect the ballot box and the outcome of the ballot box, and this House must respect the outcome of the ballot box, too.
ParlaMint-GB_2017-02-01-commons.u243	We as a Parliament and a democracy have not done that well by the people who elected us. We took the country into a referendum that had nothing to do with the best interests of Britain and everything to do with attempting to heal deep divisions in the Conservative party Labour Members did not oppose the referendum, because we did not wish to appear not to trust the voters, and I have to admit that we had some divisions of our own. However, all of us failed to set the rules for the referendum. We did not impose a super-majority, and we did not have a requirement for a road map showing the implications of a leave or a remain vote and the cost implications of the two alternatives. Then came the shockingly irresponsible referendum campaign, which was full of lies, misinformation, dog-whistle politics, fear and xenophobia When the people of Bridgend voted by a majority to leave the EU, they did so for a variety of reasons. They wanted the money back that the battle bus told them was going to Europe while, apparently, nothing came back to the UK, and they wanted it spent on the NHS. They are not going to get it. They wanted control of immigration and spending. They wanted an end to austerity, and they wanted to wipe the smug look off the faces of the Prime Minister and the Chancellor—well, they achieved that one On the doorstep, people did not tell me they would be happy to lose their workers’ rights, to lose their jobs, to have lower standards of living or goods, or to have reduced opportunities for their children and grandchildren. Nor did they talk about wanting to leave the single market or the customs union, or to pursue a bold and ambitious free trade agreement. Somehow, we as politicians were to square the circle: stop immigration, get our money back, get control back and become more affluent. I cannot keep on voting for a process that gives the people of Bridgend no assurance of a secure future for them and their children. I will not be voting to trigger article 50.
ParlaMint-GB_2017-02-01-commons.u244	I have taken the unusual step of listening to the debate, rather than contributing to it. Having listened for many hours over the last two days, I will join my hon. Friend in voting against Second Reading this evening.
ParlaMint-GB_2017-02-01-commons.u245	I welcome that information, because my hon. Friend is someone whose integrity and contributions in debates I always take note of, and I am deeply pleased that he will be joining me in the Lobby We are voting today, with the White Paper promised for tomorrow; it was not in place before this debate. We have no risk assessment, no financial assessment and a total lack of clarity on the Government’s policy. We have nothing bar the thin promise of the sunlit uplands—this is not in the Prime Minister’s gift anyway—of a passporting and tariff-free agreement that means that costs will not rise for financial services, or for my Ford engines plant and for Tata Steel next door in Aberavon, both of which send over two thirds of their output into Europe I intend to keep voting no until I see a position that is the best we can obtain for this country. I am ashamed at the way we have abandoned EU citizens and their families, who give their lives, their love and their settled future to the UK. I have a wonderful German daughter-in-law and an extended German family. I have many friends who are MPs across Europe and members of the NATO Parliamentary Assembly and who are deeply saddened by the words and threats emanating from the UK Government I accept the outcome of the referendum. We are leaving the European Union, but that does not mean that I am willing to vote for the Conservative party to lead this country into a treacherous, uncertain future. There is a Gramsci quote that, depending on the translation, says that the old order is dying, the new one is struggling to be born, and in the interregnum monsters are abroad. They most certainly are. We are voting before we know the outcome of three European elections that will influence the deal we finally face. And then there is Trump’s America. Can we trust any part of our economic security to an America that has just had Trump’s inauguration speech: support for torture, a ban on Muslims entering the US, anti-climate-change rhetoric, the clear statement of “America first”, and the commitment to end trade agreements that are not in America’s best interests I am voting as I am particularly because I do not trust this Government taking me to the right place. I trust the British people; I do not trust this Government.
ParlaMint-GB_2017-02-01-commons.u246	I am in an easy position: I have an easy decision to make—in fact I have no decision to make. I campaigned and voted for Brexit, as did my constituency and the United Kingdom, so I am not torn on what to do this evening. However I will not demand that hon. Members vote a certain way, or even suggest how they should vote, because each one of us has a unique combination of local constituency pressures, and I cannot look into the heart of other Members of this House to see where those pressures sit, so I will not call on anyone to vote one way or another. Instead, I will reflect on the implications of the Brexit vote for all of us, irrespective of our political position and how we choose to vote in the Divisions this evening and in Committee next week Brexit provides us with an opportunity, but it also exerts upon us an external discipline; discipline guides our actions and decisions, and also encourages us to do what is difficult but right. The discipline that Brexit imposes on us is to listen very carefully to people in Britain who clearly feel that they have not been listened to up until this point. It is very easy for us to project our own prejudices on to why people voted the way they did, and we all do it. We have seen those who voted for Brexit projecting base motivations on to those who will vote in alignment with their constituents, but we would be wrong to do that. However, we also have to understand why some communities in Britain are concerned about their standard of living, migration and globalisation, and we have to respond to those concerns. Also, we Government Members have to understand that at some point we will need to explain why we are, perhaps, prioritising certain markets and business sectors in our negotiations above others. We will need to explain the value that international migration brings to the British economy, and perhaps why immigration will not suddenly stop overnight, the day after we leave the EU.
ParlaMint-GB_2017-02-01-commons.u247	I thank my hon. Friend for the speech he is making, and his important points on the next steps. Does he agree that the modern industrial strategy that is now being set out will be vital in paving the way for our economy in a post-Brexit world?
ParlaMint-GB_2017-02-01-commons.u248	It is incredibly important that the Government lay out a pathway for moving forwards that explains to many people in Britain how a global economy can work for not just the greater good, but their individual good Ultimately, when Members of this House state that the British people need to have a say, they are absolutely right, but they should remember that Brexit is the start of an ongoing existence, not a discrete process, and that the deal that the Prime Minister and Ministers negotiate will be the deal that is put to the British people at the 2020 general election. Members from other parties might feel that they have a better version of a relationship with Europe. They might prefer a version that prioritises market access over border control. That is not necessarily a position that I would agree with, but it is none the less a legitimate position. If they wish to prioritise membership of the customs union over our ability to strike independent free trade deals, that, again, would not be a position that I would agree with, but it is none the less a legitimate position Parliamentary sovereignty means that those alternative versions of Brexit—a Scottish National party Brexit, a Liberal Democrat Brexit or a Labour Brexit—can be put before the British people in the lead-up to the 2020 general election, and those hypotheses can be tested in the ultimate crucible of the British democratic system. If their versions of Brexit are seen to be more palatable than the Government’s version, we will know, because Members will be returned here in proportion to how palatable or otherwise those various versions of Brexit are. That is how British democracy should work, and how it has been prevented from working up until now, which is why I will not just vote to trigger article 50 this evening and in future Divisions, but will do so passionately and happily—because it means that for the first time in 40 years, the way British parliamentary democracy is meant to work will be the way it is able to work. But I will not ask or force others to vote with me.
ParlaMint-GB_2017-02-01-commons.u249	My constituency voted to remain. My country voted to leave. My conscience continues to believe that the country’s interests are best served within the EU. I believe that my job is to act in accordance with my conscience, in the interests of my constituents, within the parliamentary democracy I am proud to uphold. I believe that my constituents’ trust and belief in parliamentary democracy is the greatest security our country has against the rise of fascistic leaders and the destruction of our national value system. So it would be wrong to reject the result of the referendum. Newcastle is part of a nation, and that which unites us is greater than that which divides us. For that reason, I will vote for the Second Reading of this Bill But there is a “but”, and there was always going to be. This Government are attempting a constitutional land grab. The referendum was about the will of the people, not the will of a Prime Minister who is not even elected. Some 52% voted to leave the European Union but they did not vote to leave the single market, and they did not vote to leave the customs union The north-east is the only region in the country to export more than it imports, and more than half of that goes to the European Union. It is estimated that 160,000 jobs are directly linked to our membership of the single market, while our great universities received £155 million in EU funds in the current funding cycle alone When I talk to businesses, they are incandescent that Tories are rejecting the greatest free trade alliance on the planet. I can also tell the House that, having negotiated joint ventures, regulatory undertakings and multi-million pound contracts across three continents, I have never come across a negotiating position as inept as the one being adopted by this Government: “Give us what we want or we’ll duff up your economy.” I have zero confidence in their negotiating trade deals, in which Parliament will have no say. They will sell our socioeconomic birthright for a mess of right-wing pottage. When the Chancellor talks of changing our economic model, he means turning the UK into a low-wage, low-skilled tax haven with little or no welfare support More than a third of children in Newcastle live in poverty, and one in five of my constituents claim benefits. North-east workers are, on average, almost £4,000 a year worse off than they were 10 years ago. Am I going to vote for a Trumpian, dystopian, “alt-right” free market future for them? Absolutely not. Already, constituents are asking me questions I never expected to hear. They are asking whether they could be deported to the European Union. They want to know just how racist an insult has to be before they should complain. And they are asking whether there will be a nuclear war, and which side we would be on. The Government need to accept amendments to the Bill that will ensure that our values, our socioeconomic model and our membership of the single market are safeguarded; otherwise, democracy for my constituents, and my conscience will—
ParlaMint-GB_2017-02-01-commons.u250	Order. I am sorry, but in a bid to accommodate all would-be contributors, I shall have to reduce the time limit on Back-Bench speeches to three minutes with immediate effect.
ParlaMint-GB_2017-02-01-commons.u251	It is a privilege to take part in the debate on this historic Bill, which is designed simply to start a process. A number of hon. and right hon. Members have signed amendments to the Bill, and I say to them that there will be plenty of time over the next two years to debate aspects of European Union legislation when we introduce the great repeal Bill. To those who feel that now is the time to begin discussing our terms of membership or to cling to certain aspects of the EU, I would simply say that they are too late. Since joining the EU in 1972, we have been subjected to mission creep and stealth integration with no votes and no say. The great British people were clear with their instruction on 23 June: they said, “Leave. We have had enough.” I know that voting on this Bill will present a moral dilemma for many in this place, but for me, it is a relatively easy matter because the will of the people in North Cornwall is clear, with 60% in North Cornwall and 55% in Cornwall as a whole voting to leave the EU. They voted with their eyes open, clear in their belief that they wanted to leave. Some have suggested that the vote was advisory, but I am a democrat and I say to those Members across the Chamber that it was an instruction, and I will vote this evening to ensure that it is carried out. To those discussing the question of a hard or soft Brexit I would say that there is no such thing. There is leaving, and there are different levels of remaining in We have seen the effects of globalisation and EU integration in Cornwall over the past four decades, including coastal communities being left behind while cities increased in wealth and growth. There has been no trickle-down to our rural communities, and it is little wonder that they felt disconnected, under-represented and powerless as decisions taken inside the EU affected their day-to-day lives. Whether because of restrictive Brussels farming policy, foreign trawlers in our territorial waters or immigration levels, people in North Cornwall and the UK have said that they want to be in charge of their own destiny. The erosion of our sovereignty has stopped us dealing with those and other issues, but that will be no more. I know that people across this great nation voted on 23 June for many different reasons, but we in Cornwall have seen with our own eyes the destruction of the fishing industry by the common fisheries policy. Leaving the EU will be seen as a success in that area if the common fisheries policy and common agricultural policy are replaced by British versions that work much more effectively for the people involved The people of Britain have spoken, and the people of North Cornwall have spoken. I stood at the general election to oppose EU membership unless significant reforms were negotiated. That did not happen, and my constituency voted to leave the European Union. That is why I will walk through the Lobby this evening to vote in support of a Bill to trigger article 50, to ensure that the democratic process that started with the referendum is completed in full.
ParlaMint-GB_2017-02-01-commons.u252	At the very first hustings I attended in 2001, at Treorchy comprehensive school, the first question I was asked was, “Will you always vote with your conscience?” I recently visited Ysgol Cymer, also in my constituency, and asked members of the school council how I should vote today, after setting out the problems involved. Every single one of them said, “With your conscience”, and that is what I intend to do. I am a democrat, and most of those in my constituency voted in a different way from me. I am a democrat, but I believe in a form of democracy that never silences minorities. The 48% in this country and, for that matter, the 46% or 45% in my constituency, or whatever the figure was, have a right to a voice, so today I am voting and speaking on behalf of a minority of my constituents All my life I have believed that the best form of patriotism is internationalism. My first political memories are of Franco’s guards in Spain. I was thrown out of Chile in 1986 for attending the funeral of a lad who had been set on fire by Pinochet’s police. I distrust politicians who spuriously use the national security argument to launch campaigns against migrants, refugees and ethnic minorities. I fear the turn this world is taking towards narrow nationalism, protectionism and demagoguery. Distrust of those who are different from us can all too often, although not always, turn to hatred of foreigners. That way lies the trail to war I know that is not the tradition of the Rhondda. We were built on migrants from England, Scotland, Ireland and Italy. This country was built on the sweat, the courage, the ingenuity and the get up and go of Huguenots, Normans, Protestants fleeing the inquisition, Irish Catholics fleeing famine, Jews escaping persecution, Polish airmen, Spanish nurses, Indian doctors and Afro-Caribbeans who wanted to help make this country great I have stood at every election on a platform and a party manifesto that said we would stay in the European Union. That was my solemn vow to the voters of the Rhondda. I admit that I lost the vote, including in my constituency, but I have not lost my faith. It remains my deep conviction that leaving the European Union, especially on the terms that the Government seem to expect, will do untold damage to my constituents, especially the poorest of them.
ParlaMint-GB_2017-02-01-commons.u253	My hon. Friend is making a very brave and compelling case. I came into the Chamber today not having finally decided which way to vote. Does he agree that, if I believe the Government’s plan is not in the interests of my country and my constituents, I should join him in the Lobby and vote no to the Bill tonight?
ParlaMint-GB_2017-02-01-commons.u254	I am going to vote for the reasoned amendment tonight because I believe it is in the interest of my constituents. I know that many of my constituents will disagree with me, and maybe they will take it out on me, just as it was taken out on Burke in Bristol. In the end, there is no point in any of us being a Member of this House if we do not have things that we believe in and that we are prepared to fight for and, if necessary, lay down our job for This moment is so dangerous because the Government have stated that it is irreversible. This is it, folks: now or never. In this most uncertain of times, we are being asked to vote for a completely unknown deal. Yes, I know we are going to leave the European Union and that the House will vote for it. My vote cannot change that, but I believe this Bill—this way of Brexiting—will leave us poorer, weaker and at far, far greater danger in Europe, in the west and in this country, so I say not in my name. Never, never, never.
ParlaMint-GB_2017-02-01-commons.u255	It is a great honour to speak in this historic debate. On 23 June we saw 52% of the United Kingdom, and 57% of Derby, vote for the UK to leave the European Union. In Derby, voter turnout was 70%, almost double that for our local elections, with 18,000 more people voting to leave than to remain I deliberated for a long time over my decision, and I spent time listening to both sides of the argument. I could see strong reasons to leave and to remain. I started veering towards leave, but I finally decided that remain, in my opinion, would be best for the country. I campaigned hard for us to stay in the EU While I was out campaigning, people came to me with clear messages. They said that they wanted to clamp down on immigration and how this was an opportunity to stand on our own and make our own decisions. On the other side, there was uncertainty about the country’s future outside the EU and about the long-term implications and potential consequences. The decision will shape this country for generations, and it is one that we must respect. We must ensure that it becomes a reality, and we must look forward so that future generations benefit from this opportunity. It is now the time to look for the opportunities Brexit can bring to our country. Of course that will be challenging, but the Government are already working hard to create new avenues of trade and investment with new friends and partners, inside and outside Europe. Since the referendum, I have been talking to a wide range of people and businesses in my constituency, and they tell me they are now looking forward to the opportunity that Brexit brings. There is a feeling of optimism about ensuring that small, medium-sized and large businesses thrive after we leave, while of course there is an acknowledgement of the complexity of the negotiations.
ParlaMint-GB_2017-02-01-commons.u256	My hon. Friend the Member for North Cornwall (Scott Mann) spoke about eyes being wide open and looking to the sunny uplands. Does my hon. Friend the Member for Derby North (Amanda Solloway) agree with the many constituents who have written to me to say that they knew what they were doing, they saw both sides of the argument and we should now be looking forward, just as my hon. Friend the Member for North Cornwall said?
ParlaMint-GB_2017-02-01-commons.u257	Absolutely. As my hon. Friend said, people did know what they were doing, and it is clear that in my constituency people are looking for opportunities and the way forward. I am excited by the prospect that lies before us, as I believe we have a genuine opportunity to forge new trade deals and new relationships, and make this great country even greater, taking us forward proudly and successfully. The great repeal Bill will be the starting point for us to look at legislation. I am confident that this Government will, as they must, safeguard and indeed enhance employee and human rights, holding dear the British values that we all share. We should of course be mindful that we are not leaving Europe; we are leaving the EU. As I mentioned, 57% of those who voted in Derby voted to leave, and we now have a responsibility to negotiate the very best deal, not only for the people of Derby but for the people of this country as a whole. Democracy is about listening to the people. As my hon. Friend the Member for Sleaford and North Hykeham (Dr Johnson) said in her excellent maiden speech, this was not a request—it was an instruction. This should therefore be a time for us to come together and not be divided on this decision. Our duty is to the public we represent, which is why I shall be supporting the Bill.
ParlaMint-GB_2017-02-01-commons.u258	I welcome this debate, which has in general been a good one, both today and yesterday, with people speaking from the heart and honestly giving the facts as they see them. This is a historic decision that we are taking in Parliament, but let us not forget that the decision has already been delivered by the people of the United Kingdom. We gave them the opportunity to have their say and they have had it; it was not, as was said earlier, an act of madness of this House. I deplore that suggestion, as this decision was delivered by the people and we must respect it, although people can have their views in here, and I respect those, too My constituency is right out in the west of the UK and is bordered by four counties in the Republic of Ireland. We therefore need to have flexibility, but let us move on and get that. Let us have that common travel area and an open border—one that is as open as possible—so that we can have good friendships with the EU when we leave it. We are not leaving Europe; we in Northern Ireland are just as good Europeans as anybody. Our ancestors went to fight for Europe, just as our colleagues from Scotland, England, Wales and many other Commonwealth countries did. We went to help those Europeans, and we still want that common relationship. The people have delivered a decision for us, and it is more important now that we look to how we make the best of that decision. We need to get the best for all of our constituents—for the people of the United Kingdom—and the only way to do that is by working in harmony, as far as is reasonably possible.
ParlaMint-GB_2017-02-01-commons.u259	Does the hon. Gentleman agree that a key part of maintaining that harmony is by ensuring that we have unfettered access to travel across these islands, that a border between Northern Ireland and southern Ireland would be unacceptable, and that any border controls between Northern Ireland and the mainland UK would be unforgivable?
ParlaMint-GB_2017-02-01-commons.u260	I absolutely agree with the hon. Gentleman, and we in Northern Ireland totally support that position. We want that for the whole United Kingdom, because there is great trade between the Republic of Ireland and Great Britain, and between Northern Ireland and the Republic of Ireland, and we want to see that flourish We must move on, because it is the indecision that is putting our economy in a difficult position. It will progress into a more difficult position if we do not continue to take decisions. The best thing we can do is move on with this decision. Hopefully, we will have negotiators who will do their best for the United Kingdom. I have heard the arguments today: some people are saying that we do not know what the agreement is or what we are getting out of the deal. That is absolutely right, but it is what the people voted for. We need the best negotiators, and we need to have faith in them. It is up to Parliament to make sure that we keep up the pressure on those negotiators to get the best deal possible. We in the Ulster Unionist party will certainly be scrutinising all the amendments. Hopefully, there will be some that could make the Bill better that we will look at positively.
ParlaMint-GB_2017-02-01-commons.u261	One of the benefits of making a later contribution to a debate is the opportunity to reflect on earlier speeches. The standout one for me came late yesterday evening, when my hon. Friend the Member for Boston and Skegness (Matt Warman), who supported remain in the referendum but represents a constituency that voted to leave, set out very clearly why it is important to recognise the referendum result and why we should vote to deliver the wishes of our constituents and the country as a whole. That is also my position Last week, I met some children in my constituency when I visited their school. I was asked some pretty serious questions. They asked me why I voted remain, and I explained why I felt that remaining would have been better for our businesses and given us a sense of certainty. They asked why so many people voted to leave, and I explained that I believe that people were attracted by the proposition of taking control, particularly of immigration. They then came up with the tough one: what happens next? This debate is all about that—the process of triggering article 50 and the negotiations that will take place over the next two years We have before us a clear, simple Bill that represents the result of the June referendum. I supported the Government’s decision to give the people a say. It was in the Conservative party manifesto, and in 2015 my constituents gave me a significantly larger majority and Parliament voted six to one in favour of it. It therefore follows that support for the referendum requires respect for its outcome. As my right hon. Friend the Member for North East Bedfordshire (Alistair Burt) argued, I do not see how anyone can suggest otherwise. No decision had been made for more than 40 years and the body of which we were a member had changed, so it is entirely right that we voted for a referendum. As with the United States election, though, if we ask the public a question, we should not be too surprised if the electorate come back with an unexpected answer. It is now our job to implement their decision The decision to leave the EU presents us with opportunities, as was underlined to me in a discussion with a small business owner in my constituency. He was an ardent remainer who had joined me to hand out leaflets to commuters at the station. Nevertheless, he described the referendum as being like a business owner pitching to retain an account and the custom for his business. The decision had gone against his company—the customer decided not to renew and was not going to change his mind. A businessman in that position has to start to look for other deals elsewhere That is precisely the approach the Government are taking. They have formed the new Department for International Trade and are making deals with new partners and managing the process of the leaving. I have some misgivings about the route we are about to go down, but we must accept the wishes of the people and proceed with the Bill in support of what the people decided.
