ParlaMint-GB_2017-03-01-commons.u1	1. What recent discussions he has had with the Scottish Government on taxation powers.
ParlaMint-GB_2017-03-01-commons.u264	I wonder whether my hon. Friend can offer me some advice. Local authorities that currently have a municipal operator will already tender for a supported service. In my local authority, those supported services are provided not by the municipal operator, but by our community transport organisation. Does that not demonstrate that it is possible to have a municipal operator but still operate a competitive tendering process?
ParlaMint-GB_2017-03-01-commons.u265	My hon. Friend makes an extremely important point. She represents an area in which a successful municipal operator has been functioning very effectively for a long time, and gives us a clear example of how possible conflicts of interest can be addressed. Even at this late stage, I urge Ministers to look again at that issue Traffic management has not yet been mentioned. Buses are important not only for mobility, but in addressing environmental issues, and making transport around our cities and towns easier. Running buses cannot be dissociated from effective traffic management. While there are some relevant provisions in the Bill, I call on Ministers to consider activating the provisions in part 6 of the Traffic Management Act 2004 that would give local authorities powers to act on moving traffic offences. The Act is in statute, but the relevant section has not been activated. Local authorities repeatedly ask for it to be activated as it would be important in helping bus services.
ParlaMint-GB_2017-03-01-commons.u266	Does the hon. Lady agree about the importance of bus priority measures to make bus travel more reliable and therefore more attractive to passengers? Many local authorities are not prepared to make the quite courageous decisions required to deliver priority measures.
ParlaMint-GB_2017-03-01-commons.u267	The right hon. Lady makes an important point. Bus priority measures are indeed important; they are part of the range of measures available to local authorities when they are looking at how buses can be facilitated in their area and how to work with other traffic to make the best and most efficient use of road space The case for the Bill is clear, and the Select Committee welcomes it. We are pleased that it has come forward and very much welcome its comprehensive nature. Many of our communities suffer inadequate bus services. The existing regulatory framework is not fit for purpose, and previous efforts to restore it have not been comprehensive enough and have not been successful. The Bill makes important strides towards supporting bus networks throughout England, but more must be done to ensure that local communities and transport authorities have the information and powers that they need to provide effective bus services. This time, we must get it right. It is clear that we cannot afford another squandered opportunity for reform. I support the Bill, and it is supported by the Transport Committee.
ParlaMint-GB_2017-03-01-commons.u268	I welcome the main aims of the Bill, which are to increase passenger numbers and give local authorities and operators new tools to improve services. With that in mind, I wish to make a brief contribution on rural bus services, which are of huge interest to my constituents, particularly those in the more rural and isolated parts, because I am keen to hear from the Minister how the Bill can help them. Without a shadow of a doubt, the biggest turnouts at the public meetings I have held have been at those at which bus services are being discussed. At a recent event in Kingsbury, where a route was being cut—I will return to that later—such was the strength of feeling that we had to shut people out of the room because capacity was quickly reached Obviously, many people rely on public transport. At a time when we are encouraging more people to use it, it is important that we do not forget the areas that need services, so that people have the opportunity to get good jobs and to shop and socialise, and so that they can choose where they are educated. Sadly, that is not currently happening in North Warwickshire and Bedworth. I hear regularly from constituents that there are not enough buses, that they do not go at the right times, and that they do not go where people need them to go. I have to admit that there is a stark contrast between my time spent in London, when I think of using nothing other than public transport because of how excellently it works, and my time spent back in the constituency, where it is just not viable to use it.
ParlaMint-GB_2017-03-01-commons.u269	My hon. Friend makes an important point about the difference between cities, which are so well provided for, and rural areas such as North Warwickshire and, indeed, west Oxfordshire. I suspect his constituents are in the same position as many of mine. Does he agree that for our constituents—such as the elderly in rural villages who need to get to clinics, the children who need to get to school, or the young people who need get to employment opportunities—the provision of regular, effective and far-reaching rural bus services is a real concern?
ParlaMint-GB_2017-03-01-commons.u270	My hon. Friend is absolutely right. I shall discuss the elderly a little more later, because we need not only to ensure they can get to clinics, but to address issues such as isolation and loneliness, which have a big impact on health services The contrast between public transport in London and in my constituency is demonstrated by the fact that if I wanted to get a bus from my home in Shuttington to my constituency office in Atherstone, which is around 7 miles and takes around 15 minutes by car, it would take me an hour and a half to get there by bus. Similarly, if I wanted to get into the nearest town, Tamworth, which is 3 miles away, the bus journey would take around one hour and 40 minutes. That is not a good service for anyone wanting to get to a 9-to-5 job or to their doctor, or to use other local amenities I am sure the Minister is aware that HS2, which also falls under his remit, is a huge concern for the residents of North Warwickshire—arguably the most affected area outside London. At a time when much is being made of the speed with which people can access other areas of the country, my constituents currently feel let down by the speed of access to their local towns and cities. The promise of the supposed employment and benefits that HS2 could bring to the area are negated by the fact that many of my constituents simply will not be able to access them. For a resident living in Kingsbury, a community with a population of more than 7,000 that is heavily affected by HS2, it currently takes two hours and 10 minutes on public transport to get the 15 miles into Birmingham city centre, with only one bus getting there before 9 am We recently saw the loss of a vital lifeline link, when the 116 bus route was withdrawn with very little notice, leaving people from areas such as Kingsbury and Curdworth unable to get to work, again. The operator complied with the guidelines, but they were not robust enough to enable sufficient notice or consultation to allow people the opportunity to engage or make alternative arrangements, even though for many that would not have been possible in any event because it was their only method of transport. I appreciate that there is a Catch-22 situation, whereby although there needs to be a degree of commercial viability for companies, if they do not run the services when people want them or get people there in a reasonable time, they are simply not going to be used I recently ran an event on the impacts of loneliness and isolation, which have far-reaching consequences for our blue-light services and the NHS. It is clear that access to great public transport could have a huge effect on rural communities and afford people, particularly the elderly, who often need our support most, the ability to enjoy the opportunities that less remote areas enjoy as a matter of course. The benefits to the overall public purse could be very significant, not to mention the health benefits that a more active lifestyle would offer.
ParlaMint-GB_2017-03-01-commons.u271	The hon. Gentleman is making a really important point about how buses can help with social exclusion. Has he considered the potential to create in rural areas what are called total transport networks, whereby social services buses, non-emergency patient transport, and school and college transport are pulled together to provide the sort of services he would like to see for this constituents?
ParlaMint-GB_2017-03-01-commons.u272	The hon. Lady makes a good point. That is something I have been looking at as part of my work on isolation. We need to take the opportunity offered by the Bill to look not only at solutions from the past but at the innovative opportunities out there We need to consider how rural bus services are run, and the passage of the Bill seems like an opportune time to do so. As I have said, I welcome the measures set out in the Bill, but would like the Minster to look at how we can ensure that our rural communities are not cut off and left behind. With an ageing population and the likelihood that people will become more isolated if more is not done soon, as well as the pressures that increased building will put on our already struggling infrastructure in North Warwickshire and Bedworth, better service provision is an absolute must. I look forward to hearing the Minister’s comments on how the Bill can make that happen.
ParlaMint-GB_2017-03-01-commons.u273	It is worth going through a little history to put the Bill into perspective. Although I support this Bill, there is one real sense in which I, as Labour MP, think it is not necessary. The fact is that since the Transport Act 1985 was implemented in 1986, virtually every Labour Member has seen it as a catastrophic failure for people who use buses. It saddens me that a Labour Government did not bring forward a better Act than the Bill before us now. However, the Government have brought this Bill before us, and it is worth supporting Given what the Secretary of State said about reversing the Lords amendments, it is worth remembering why we have this Bill at all. It came about because the then Chancellor, the right hon. Member for Tatton (Mr Osborne), had discussions with the chief executive of Manchester City Council, Sir Howard Bernstein, who retires this month and to whom we should all pay tribute for progressing this item, which will undoubtedly improve buses. The then Chancellor recognised what many of us had been saying for some time—that this country would be much better off economically if we made our major cities work, rather than depriving them of resources and of allowing them to run their transport system in favour of the economy and people who live in the area. Sir Howard Bernstein and Sir Richard Leese persuaded the then Chancellor, and we now have this Bill before us It was always an ideological position of the Conservative party, as we heard from the right hon. Member for Chipping Norton, that it wanted a complete free-market approach to buses. However, the Government conceded that they would allow reregulation if combined local authorities agreed to have an elected mayor. That negotiation was entered into and agreed. One has to bear that in mind when the Government say that they will reverse the Lords amendments. I agree with that in principle, but I would not like to lose the Bill, given that a negotiation happened and an agreement was put in place between local authorities and the Government that will improve life for many people I represent and for many in mayoral combined authority areas I will go through two major issues. First, the right hon. Member for Chipping Norton gave the argument for the exceptionalism of London or, to put it another way, “It’s okay for us in London. You lot can get on with it.” [Hon. Members: “ Chipping Barnet.”] I am sorry; if the right hon. Member for Chipping Barnet (Mrs Villiers) were in her place, I would apologise to her. She put forward three arguments as to why London should have something that the rest of us cannot. One was that it would bring uncertainty to the bus companies. Well, there would probably be a bit of uncertainty for the bus companies, as they will have to compete in a different way to run services, but my prime interest and concern is for the passengers who, for the past 31 years under the deregulation Act, have only had six weeks’ notice—in practice, sometimes less—of bus services being withdrawn. Part of the Bill takes some of that uncertainty away from passengers, so that argument does not stand up, particularly if our priority is the passengers To be completely straightforward, I did not understand the right hon. Lady’s second point, which was about the renationalisation of the buses. The Bill is not about renationalising the buses. It is primarily about reregulation in metropolitan areas. Although I accept the deal, and allowing local authorities to set up municipal bus companies was not part of that deal, I do not think it would do any harm for local authorities that saw the need for it to have the right to set up municipal bus companies, particularly if the private sector moves out, as it has threatened to do on a number of occasions if the Bill goes through The right hon. Lady’s third point was about the finance that goes into London from the congestion charge. The really important thing is that there was a period between 1986 and 2000, when Ken Livingstone won the London mayoralty, when there was effectively no subsidy. There was certainly no congestion charge for there to have been subsidy. There was no loss of bus passengers in Greater London over that period, whereas the number of bus passengers plummeted in the west midlands, Merseyside, Tyne and Wear, and Bristol. The figures fell by two thirds in South Yorkshire and by half in Manchester, but without the subsidy from the congestion charge, the passenger figures in London remained the same. The arguments of the right hon. Member for Chipping Barnet against this Bill do not stack up It is worth taking a deeper look at how the deregulation has worked, why it does not work and the flaw in the arguments in support of it, for those who still support deregulation. When the legislation was introduced—incidentally, I have sadly been around long enough to have campaigned against the introduction of the 1985 Act—the argument was that competition would improve the bus services because bus services were run by municipal authorities that had monopolies and were not providing the best possible service. I do not believe, as the Opposition have been accused of believing, that that was a completely utopian, golden age. It was not; there were flaws. Many bus routes in South Yorkshire, which my hon. Friend the Member for Sheffield South East (Mr Betts) talked about, and in Greater Manchester and Merseyside, were still running on the schedules and timetables of the old tram system. They did not respond quickly enough to the changes in population after slum clearance. There were faults, but there were night services, people could get across the conurbations to see their parents on Saturdays and Sundays because there were bus services, and people could get to work early in the morning or home late at night after shifts. All that has disappeared. So, no, it was not a golden age, but it was a much better service than is being provided by the private sector It is important to understand why the competition that was supposed to deliver has not worked, and it has not worked for two reasons. Where there was severe competition, as there was in south Manchester, Preston, Edinburgh and other places, bus companies went head to head and really had a go at trying to run the other bus company off the road. Those places got not a better service, but terrible congestion. City centres were blocked up. The system did not work where there was severe competition, but that was very rare. The Competition Commission did a study in 2011, finding that there was virtually no on-the-road competition. Supplementary evidence shows that there was very little competition because companies in the London system—as much as the bus companies’ accounts can be understood—were getting a much lower rate of return on their capital than companies elsewhere, although it still enabled them to invest in new buses.
ParlaMint-GB_2017-03-01-commons.u274	Does the hon. Gentleman agree that there is also a myth about deregulation meaning the introduction of the private sector? There were many splendid private sector operators in Liverpool prior to deregulation, such as Crosville and Ribble, which existed alongside the municipal sector.
ParlaMint-GB_2017-03-01-commons.u275	The hon. Gentleman is quite right about Merseyside. In Manchester, Mayne Coaches ran a service in the private sector, but it was regulated; it could not just—as happens under the deregulated system—decide to run a bus service one day and take it off six weeks later, or vice versa. So the issue is not privatisation but the lack of regulation The point I was getting to is that there is supplementary evidence that competition did not work. The rate of return in London was much lower, and FirstGroup moved out of the London market because it could make a much higher return in South Yorkshire and Greater Manchester.
ParlaMint-GB_2017-03-01-commons.u276	My hon. Friend may be aware that, of the major metropolitan urban areas outside London, the west midlands had the least competition, with over 85% of services run by Travel West Midlands and then by National Express. The ridership dropped less in the urban west midlands than in any other metropolitan areas, but, literally, at a price, with some of the highest fares and some of the highest returns on capital. So the competition was not there, and we had the high prices, but at least we had the continued ridership.
ParlaMint-GB_2017-03-01-commons.u277	Indeed. It was often the change that led to the loss of ridership. When companies such as FirstGroup and Stagecoach operated their services, they were certainly, whether by tacit agreement or not—I doubt whether there was a written agreement—operating semi-monopolies, which enabled them to charge much higher fares. It is not only that the ridership has gone down, but fares have gone up by about 43% The question I was coming to in terms of supplementary evidence is this: in terms of the way the legislation has worked so far, does anybody think that we, as the taxpayer, have had our return from Brian Souter and his sister, who have become billionaires out of this—I do not mind people being creative, being entrepreneurs and making money—pocketing money by gaming the system, running semi-monopolies and putting buses out, when every single bus that goes out of the depot has, on average, a 50% public subsidy? Certainly, Brian Souter and his sister have made money out of gaming the way the subsidy works. The system has not worked; it has not been competitive. Moving to a system where there is competition, not on the road, but by tender by private bus companies, will be better for the travelling public. I agree with competition by and large, because monopolies tend towards inefficiency, but the competition is better off the road, not on it I have one question about reliability, which my hon. Friend the Member for Liverpool, Riverside (Mrs Ellman) asked about. We are often told that congestion makes the buses unreliable, and it does. However, when the Transport Committee took evidence, we found that, in the majority of cases where buses did not turn up, that was not because of congestion, but because of mechanical failures in the buses, which had not been properly maintained, or because drivers had not turned up. That is an important point to bear in mind Finally, I would like to ask the Minister, who is in his place, the same question my hon. Friend asked: is saying that mayoral combined authorities have to have a compelling case before they re-regulate the buses trying to bring back the very high hurdle—the very high benchmark—that was in the Transport Act 2000, which effectively prevented those authorities that wanted to re-regulate the buses from doing so? Is it there to undermine what is essentially a good Bill? I hope the Minister will answer that in summing up.
ParlaMint-GB_2017-03-01-commons.u278	The Bill presents a unique opportunity to improve bus services, tackle congestion, support local economies and boost regional growth in my constituency and in Greater Manchester more widely The benefits of franchising mean that Greater Manchester will have the ability to decide the routes, frequencies, timetables and quality standards for buses, as well as a Mayor to hold to account should the service falter—all things that London has and takes for granted. That will particularly benefit people living in areas—especially rural areas—where current bus services are unreliable. Providing these franchising powers only to local authorities with directly elected mayors will ensure that there is a decision maker to hold to account, although other authorities without mayors will not necessarily be excluded and will be considered on a case-by-case basis The Conservative devolution agenda has the potential to be hugely beneficial to those areas included, especially because of the ability to apply joined-up thinking to planning and other areas of governance. Unfortunately, I am not convinced at the moment that the leadership in Greater Manchester is taking the opportunities presented. The Greater Manchester spatial framework has recently been published, and it seems to have been done in complete ignorance of the needs of public transport and of people right across Greater Manchester. It seems designed to optimise urban sprawl and the consumption of our green spaces so that councils can gain the maximum council tax receipts, but it shows little to no evidence of how best to use public transport infrastructure. Bus companies cannot economically operate frequent services from early morning till late at night if their passengers are spread thinly over large areas. We just have to look at where public transport works best, which is in areas of high population density, to know that. The authors of the GMSF need to take the opportunity of the Bus Services Bill to reflect on the needs of public transport and to take serious account of the contributions to the GMSF consultation. Essentially, the current proposals need to be shredded and the whole process started again Good public transport infrastructure has many benefits in relation not just to housing and planning but to improving jobs and employment, including supporting young people to get into work. When I recently chaired the all-party group on youth employment, many young people compared the opportunities and transport links in London and the north of England. Poor public transport in the north is a barrier to their getting into work. With an ageing population, many of whom reach a time in their lives when they are no longer able to drive, it is more important than ever to ensure that vital services are connected to good public transport and, because of their comprehensive nature, especially to buses I met the Guide Dogs for the Blind Association in my constituency, and I note that the hon. Member for Kilmarnock and Loudoun (Alan Brown) took the blind walk, where you are blindfolded and follow the guide dog. That is a disorientating experience for anyone, although, after a few minutes, you get some idea of what you are doing and you get that trust and confidence in the guide dog. I am really pleased that we have now made progress on audio-visual provision, and hearing about it certainly had an impact on me, as it does on anyone else who has spoken with the association. The association briefed me on the importance of visual aids for not just blind people but those with partial sight loss. This is about giving people far more independence than they have at the moment. Sight loss is a significant barrier in daily life, in daily experiences, and in getting and retaining a job I am pleased that the Bill allows enhanced partnership schemes between local authorities and bus operators, to require all buses in a local area to provide audio and visual next-stop information. Authorities using the new bus franchising powers will also be able to place similar requirements on affected operators. It is particularly welcome that the Government have, in clause 17, amended the Bill to enable the Secretary of State to require service operators to make such information about audio-visual aids available to passengers. However, I want the new Mayor of Greater Manchester to use these powers to ensure that all users have an improved service—not just people with difficulties with sight but those who may not use the bus services regularly. I will be lobbying the new Mayor to make sure that all buses in Greater Manchester use AV—no matter who the Mayor might be, whether Sean Anstee or one of the many other candidates The provisions on joint ticketing make it much easier to introduce multi-operator and multi-modal smartcards and e-ticketing, making bus travel easier and more convenient—the starting point for wider application across the whole of the public transport network. Colleagues may be interested to know that the benefits of integrated multi-modal smart ticketing was the subject of the Science and Technology Committee’s evidence check web forum on smart cities. From its introduction—from the very beginning—it is necessary to collect and interpret travel data so that further improvements can be made to Greater Manchester’s public transport system. Again, I intend to raise this with the new Mayor of Greater Manchester and Transport for Greater Manchester The Bill’s requirements for open data on fares and real-time running means that passengers will be able to access details of timetables, fares and routes in a much simpler format, putting an end to the frustration of not knowing when the next service will turn up. This has the potential to be further developed into passenger information apps or websites giving door-to-door real-time travel information and live updates on the status of bus routes, as Transport for London currently does through one of the largest automatic vehicle location systems in existence. AVL allows real-time passenger information, service control, and performance management. I would like to see this and smart ticketing used in Greater Manchester in future, following bus franchising However, I do have some concerns about the Bill. The Government must ensure that small and medium-sized bus operators are able to compete in a franchised environment. It is encouraging that the Bill includes a requirement to ensure that franchising authorities consider in their procurement strategy how to facilitate smaller operators. I hope that as well as considering this in their strategy, local authorities will ensure that there is a wide range of service providers—often innovators coming in with new ideas for new routes, who ought not to be excluded from franchising.
ParlaMint-GB_2017-03-01-commons.u279	The hon. Gentleman may be aware that that is already allowed under clause 4 on franchising. Franchising does not provide a monopoly. Clause 4 provides four different ways in which bus operators can provide a bus service within an area but outside the franchise regime, including additionality—that is, the innovative new routes that he mentioned.
ParlaMint-GB_2017-03-01-commons.u280	It is also incumbent on the new mayors and the new systems that we have in place locally not just to allow that to happen but to encourage it to happen The Conservative party has often led the way on public transport. In Greater Manchester, we need only look back to our reintroduction of the tram network in the early ’90s after an absence of decades, and only this week we have seen the completion of the latest expansion of Greater Manchester’s Metrolink. We need a better integrated and thought through service on buses, as we have on our trams. These improvements to Greater Manchester’s public transport network have not always, unfortunately, been matched with great ideas from Labour, which wanted to impose a congestion charge on people travelling in Greater Manchester—a burden that would have disproportionately affected people in the Bolton, Wigan, Bury, Oldham, Rochdale, Salford, Stockport Tameside and Trafford boroughs.
ParlaMint-GB_2017-03-01-commons.u281	And Manchester.
ParlaMint-GB_2017-03-01-commons.u282	Absolutely—and parts of Manchester outside the two rings. I am pleased to say that Labour bowed to pressure to have a referendum on the damaging congestion charge proposals, and the people of Greater Manchester in all 10 boroughs rejected that idea Currently across Greater Manchester, bus services are not fulfilling their potential in a desired integrated transport system. This Bill provides the tools to achieve that, and we must ensure that it does so. We have to think about buses large and small—not just the larger and double-decker buses but the increasingly used smaller buses—in getting this increased connectivity. Buses must be linked together with all the other forms of transport—with trams and rail, and with car drivers by having more park-and-rides. I will do all I can as a Member of Parliament to ensure that the new Mayor and administration take advantage of every opportunity given by this Government.
ParlaMint-GB_2017-03-01-commons.u283	It is a pleasure to follow the hon. Member for Bolton West (Chris Green). It is noticeable how many Greater Manchester MPs are in the Chamber today. That is an indication of how important this Bill is to us It is funny how sometimes conversations stick in one’s mind. I have a very vivid memory of a conversation in, I think, 1997. I was sitting in Café Renoir in Fallowfield on Wilmslow Road—
ParlaMint-GB_2017-03-01-commons.u284	As you do.
ParlaMint-GB_2017-03-01-commons.u285	As you do. This being south Manchester, Eric Cantona was playing chess at a nearby table. I was sitting with my girlfriend watching empty bus after empty bus go past the window along Wilmslow Road. I was a recently elected councillor, and enthusiastic, and I began to hold forth to my girlfriend about how we really needed regulated buses like they had in London because deregulation was not working. [Interruption.] The relationship did not last, people will not be surprised to hear. Twenty years later, Café Renoir is no longer there, sadly; Eric Cantona is now, bizarrely, a movie actor; my girlfriend, I am glad to say, is happily married to someone else, with four fine children; and we still do not have bus franchising in Greater Manchester I am very proud of the achievements of the Blair-Brown Government. We should never forget, particularly people in my party, how we rebuilt public services in cities and towns across the UK after 18 years of neglect. I am very proud of that record. However, we did not get everything quite right, and that includes public transport management In Greater Manchester, we have been asking for London-style bus franchising powers for many years. That is why I am very pleased today to welcome this Bill, and most especially the bus franchising powers, because, as we have heard, deregulation has not worked for Greater Manchester. Since deregulation, bus use has fallen from 355 million passenger journeys a year to about 210 million passenger journeys a year. The system is confusing for passengers. We have 22 different bus operators running about 440 general bus services, and each of those operators has its own branding. The quality standards of the buses are inconsistent. The variety of fares and the pricing structure is confusing. We have 140 types of bus tickets across the Greater Manchester region, and passengers have to pay a premium for a ticket to use across different operators It does not work in serving our communities, either. In my constituency—at the end of my road—we have what is often claimed to be the busiest bus route in western Europe. I have never been able to verify whether that is the case, but what is not in doubt is that it is a busy and profitable arterial route through to the university and the city centre. Because of that, bus companies are competing for passengers and, as we have already heard, that competition is not always a good thing. Bus companies are running dozens of buses every hour—sometimes full, sometimes empty, but it is always chaotic and always congested At the same time in my constituency we have had cuts to services such as the 44 bus, which served Didsbury, and the 84, which served Chorlton. That leaves communities isolated. The Broad Oak estate in Didsbury and the Arrowfield estate in Chorlton are no longer served, cutting those communities off from access to their local hospitals and to local services. That is no way to run a public service. I am pleased that proper bus franchising will give us the opportunity to design a system that serves our communities properly I mentioned confused pricing, and I am also looking forward to our being able to simplify ticketing and introduce an Oyster-style system. Since I have come to this place, I have realised that one of the great things about London is the Oyster system. A similar system would be fantastic for Greater Manchester because it would integrate our buses with our other great transport, such as our fantastic Metrolink system We have been asking for these measures for some time and we are ready to implement them. We welcome the Government’s clear commitment to introduce them. I agree with the House of Lords and my hon. Friend the shadow Secretary of State for Transport that these powers should not only be available to mayoral authorities; they should be available to others as well. However, if the Government are going to reverse the Lords amendments, which would be unfortunate, I urge them not to delay giving powers to the mayoral authorities and not to water down those powers We need the powers proposed in the Bill and we need to get on with improving the transport system in Greater Manchester, because we have a willingness to prove the model. We can make it work. We have the capacity and willingness to deliver. We can make public services better for the people of Greater Manchester if we are given the opportunity Transport for Greater Manchester is concerned about the recently published guidance on how the system will work, which appears to be pretty opaque and confusing. On Transport for Greater Manchester’s behalf, may I repeat the calls from my hon. Friends the Members for Liverpool, Riverside (Mrs Ellman) and for Blackley and Broughton (Graham Stringer)? Once the consultation on the guidance is complete, we need greater transparency and clarity, particularly on the question of the compelling powers that my hon. Friends mentioned—I will not repeat their points Finally, I welcome the opportunity to make our bus fleets more environmentally friendly. We know that 40,000 people die in this country prematurely every year as a result of poor air quality. It is a silent killer and vehicle emissions undoubtedly contribute a great deal to that problem. Air quality on bus routes is often a problem, so if we can set better minimum standards for buses, we can help to tackle those dangerous emissions and prevent those early deaths We have a growing population in Greater Manchester and we need a transport system that can cater for that growth without leaving our communities too reliant on private vehicles, both to support the economic growth that we are successfully generating and to safeguard the environment. This is a welcome Bill and an important step in putting right some of the problems we have had for the past 30 years. I look forward to working with my right hon. Friend the Member for Leigh (Andy Burnham) when he is elected as the Labour Mayor to design a system that works for all the people of Greater Manchester.
ParlaMint-GB_2017-03-01-commons.u286	It is a pleasure to follow the hon. Member for Manchester, Withington (Jeff Smith). I feel I should apologise for not talking more about Manchester. Fabulous place though it is, I think that it has been well-represented in the Chamber today so, instead, I will talk briefly about the importance of buses to rural communities, which has been mentioned by my hon. Friends the Members for North Warwickshire (Craig Tracey), who is no longer in his place, and for Witney (Robert Courts), among others Just last week I met the Frome and villages bus users group, chaired by the indefatigable Peter Travis. Like many such groups, it faces the challenges of rural areas—thinly distributed populations, some routes with little use at certain times that are busy at other times, and buses that are empty for much of the day—but the bus is a vital amenity for many people for work, school, or health care visits and to combat rural isolation Buses may not appear to be the most glamorous form of transport—they are perhaps more functional than glamorous—but they make a tangible difference to the quality of life in rural and other areas every day. One constituent, whom I know very well, lives on the outskirts of Frome and relies on the bus to see her husband in the Royal United hospital in Bath. In her case—there are endless examples of this—without the bus service, it would be quite impossible for her to function properly. Despite the relative importance of one or two other Bills going through Parliament at the moment, I must say that the Bus Services Bill has every right to stand up against them as a keenly anticipated piece of legislation I joined colleagues last year in asking for the £250 million bus service operators grant to be protected, and I was pleased that that commitment was made. Some 42% of bus operators’ income comes from public funds, and although those funds are extremely welcome, the rural west country in particular still faces enormous and continuing challenges. Ministers both in this House and in another place have emphasised the latent economic potential that can be unlocked by better bus services. The key point is that, on top of the issues of rural isolation and the need for people to travel for school or healthcare, there are also economic benefits for a whole host of reasons in specific areas As I see it, three key areas are particularly vital for rural bus services. The first is co-ordination between operators, passengers and local authorities. The new powers in relation to franchising and partnerships are very welcome, but it is important to note that places where there is no trend of declining bus usage are often areas where there is much more and much closer co-ordination in such relationships. The Government are absolutely right to reflect that reality in their approach to the Bill, which represents a real advance in pushing forward and in pushing for a more coherent strategy. It seems, however, that many of the franchising powers are available only to mayoral combined authorities. That is a real worry for Somerset, in large parts of which the desire for a directly elected mayor has been conspicuous by its absence. I will come back to this point later Secondly, clear communication is very much at the heart of the Bill. The democratising of information will allow people to make informed choices about their travel and to make travel choices using real-time information. We are giving rural communities the same access to information, so that they are armed with the same tools as passengers in London. That can only be positive.
ParlaMint-GB_2017-03-01-commons.u287	In the course of making many important points, my hon. Friend has touched on something of relevance to my area of west Oxfordshire, where there is an absence of rural bus services. As I have mentioned, that causes many difficulties for people in hard-to-reach areas, but in many places the local communities are stepping in. For example, the Our Bus Bartons bus company, in the council ward that I still have the honour of representing, and the Villager Community Bus have volunteers who step in to provide some services. However, an absence of information in many cases makes it difficult for them to know whether it is practicable to set up such a service. Such freedom of information, as it were—my hon. Friend mentioned that it is referenced in the Bill—will make that very much easier. Does he agree?
ParlaMint-GB_2017-03-01-commons.u288	Absolutely. I thank my hon. Friend for making that point, and he must be reading my mind, because that leads on very neatly to my third point, which is about increasing choices in the chain of provision—passenger choice and supplier choice I am conscious that the franchising measure will ensure, as the Government have made clear, that “only authorities with the ability, powers and funding necessary to make a success of franchising…will be granted access to franchising powers.” However, as my hon. Friend the Member for Bolton West (Chris Green) said, I think it is absolutely vital to ensure that this positive framework is available to all who wish to access it. I am therefore keen to hear what the Minister can say to reassure areas that may decide not to adopt that particular model of devolution. What will happen to them and what might, therefore, happen to us? That is even more crucial, given the potential for cross-pollinating and subsidising less profitable routes from more profitable routes, which would help the less-used services in rural areas that we have all been trying so hard to save Those mechanisms and the fresh focus on enabling bus services are long overdue. From a rural standpoint, the Bill should go some distance towards allowing communities to maintain and build on the services that they need.
